e nhaute scrieou	-⌫|---|-⌫----|-|
ma isces ment iaxetces robes il p end ent	--⌫-|--|----⌫--|-|--|----|-|-⌫---⌫--|
xmloit parpo iqu	-||--|--|--⌫|-|
il n eforsanne	-|-⌫|-------|
uintalachanbrelu s brisapuisi	---||-|------||-⌫|----|---||
etq uiertsafemeel l iteta nla	-|-⌫----|-|---|-|-⌫-|-|-⌫|-|
qua nt n el atrueue par poi quil	---⌫-|-⌫|-⌫|-----|--|--|-|-|
neforsanne	-|-------|
he rchanbausquierts afemeole cor sge n t	--⌫--------|-----|-⌫|---||-|---⌫|--⌫-⌫|
q uan tne l a	-⌫---⌫|-|-⌫|
trueu e molt ot le cuer	-----⌫|---|-|-|---|
apellecheuallierset serians	-----|----------|-|------|
singnor f ait ile nt endés	------|-⌫--|-|-⌫--⌫-----|
monsanblan t	--|-------⌫|
deshuimatin uintcispasmi ers saiens	--|--|----|---|--|-----⌫--|-----|
tantap arl étet arie r et aua n t	---||-⌫---⌫--|-|----⌫|-|---⌫-⌫|
fuieenest mamoll ier	---|-|--|-|----⌫--|
aucors gen t	-|---|---⌫|
maisparce luiacuilimons	---|--|--⌫--||--|-|---|
fait reuen irenpresant	---|-----⌫-|-|------|
ielependrai con melaron a uant	-|-|------|---⌫-|----|-⌫---|
enxmnannot	-|-||--|-|
q uecorrecier	-⌫-|--------|
tot maintenantafaitpa nre xm	--|---------||---|--⌫--|-|
ayy ser i ans lefa itlanuitga i tie r	|-|---⌫-⌫--|-|--⌫-|-|---|--⌫-⌫---⌫|
etauuec lu ii	-|----|--⌫||
otzzcheuallier	-|-|---------|
bienrecognustlemarchis au	---|--------|-|------|-|
uers luisetraitc elp rentaaraisnier	---|--|-|----|-⌫||-⌫---||--------|
x mdistil celerniam estier	-⌫|---|-|----||||-⌫-----|
liu ostre peres	-|-⌫----|----|
mefitgrantde storbi er	-|--|----|--⌫------⌫-|
fors dematerremefitat rot	---|-|-|----|-|--||-⌫--|
ain spuisn	---⌫|---||
i ose uenirnerepairier	|--|----|-|--------|
mafaitco nparr ois uous mo ltchier	||---|--⌫-----⌫--|---|--⌫-|----|
iel iraiiaa	-||---|-||
xmno nc ier	-|--⌫--⌫--|
uené ssonpai s	-----⌫|--|---⌫|
sienuolé sme neruost re moll ier	-|-|-----⌫|--⌫--|----⌫-|----⌫--|
xmlententn	-||-----||
i otquecorrecier	|-|--|--------|
a nu ersc elui	-⌫--⌫--|-⌫---|
prentahum iliier	----||---⌫-----|
s eli mienspere	-⌫|-|----|---|
uousfist nu ldestorbier	---|---|--⌫|---------|
iesuilifix ferai adrecier	-|--|-|--|----|-------|
ie uouscrean teuos terres	-|---|-----⌫-|--|-----|
a baillier	|-------|
croistraiuosterres etu os	--------|--|-----|-|-⌫-|
etcisr espontuouslestuetf iancier	-|--|-⌫-----|---||-----|-⌫------|
f iancequ i lnelose	-⌫----|-|-⌫|-||--|
siredist ilne	---|---|-|-|
uou schaut	---⌫|----|
ni aurésmaldont	||-----|--|---|
uous pu isseaidier	---|--⌫---|-----|
aces par oleslaissie rent	|--|---⌫---|-------⌫---|
leplaid ier	-|-----⌫--|
au mat inet	-|---⌫---|
quan t u in ta le sclairier	----⌫|-⌫--⌫|||-⌫--------|
li pohiers	-|------|
ses mand e	--|----⌫|
qui de luitienentfi e	--|-|--|------|--⌫|
u int il liabbescuidiex gart d	-⌫--|-|-|----|--|---|---||
anconbrier	---------|
quifist la dame en so n d ortoirmucier	--|---|-|---|-|--⌫|-⌫-----|-----|
lapriores seolecoraige f ier	-|-------⌫-||-|------|-⌫--|
etxm conmen caaplai d ier	-|-|------⌫-||----⌫-⌫--|
entendésmoi mi homedroiturier	--------|--|-|---|---------|
des huimat inuintsaien scis pasmiers	--|--|---⌫-|---|-----⌫|--|-------|
ta ntma parlé t etauantetarier	--⌫-|||------⌫|-|----|-|----|
quede s aiensse nfuima mollier	--|-|-⌫----||-⌫|--|-|------|
mais par la postrecom a romer equier	---|--||-⌫-----||-||---|-⌫-----|
cilnep rentgarde face repairier	|-|-|-⌫---|----|---|--------|
ielpen deraisensplusde	-||---⌫----|---|---|-|
etdist li abbessesanbleroitpichies	-|---|-|----|-|---------|------|
sir exmdi stl iab esiantis	---⌫|-|--⌫-|-⌫|--⌫-|-----|
lais s ie ́sm a lui	----⌫-⌫--⌫-|||--|
parler zzseulpetit	-----|-|---|----|
d istxm tot auostreplaisi r	-⌫--|-|--||-----|------⌫|
lapriores se et liabbesiantis	-|-------⌫-|-|-|----|-----|
tr aient xmdaleszzmur fai tis	--⌫----|-|----|-|--|---⌫--|
et distliabbespelerinbiaxamis	-|---|-|----|------|---|---|
delafont ainn e por q u uous ce	-|-|----⌫----⌫|--|-⌫|---|-|
t o ttonafairenouspuesbienreie h ir	-⌫-⌫|--|-----|---|---|---|----⌫-⌫-|
niauras m aldont	||----|-⌫-|---|
t e p ui sseg a irir	-⌫|-⌫--⌫--|-⌫-⌫---|
deq uanque dies	-|-⌫-----|---|
iann anpis	-|||-|--|
etdist xmneuousenquier mentir	-|---|-|-|---|-|----|-----|
decelledam edontuousparlés ici	-|----|---⌫|---|---|------|--|
iela cui d oie de lau illepartir	-|-|---⌫-⌫--|-|-|-⌫---|-----|
sil larandisse	--|-|-------|
axmson ami	|-|--|--|
laforsded ensce l boi s foill it	-|---|---⌫--|--⌫|---⌫|-----⌫-|
cheu allier har di	----⌫-----|---⌫-|
laprioresse	-|--------|
la parole entendi	-|-----|------|
grantioie a uoi tporxmso nam i	----|---|-⌫---⌫|--|-|--⌫|--⌫|
ami s dist	---⌫|---|
elleo rauésuousbien dit	---|-⌫|----|---|---|--|
i an aurésmaldontuo us	-⌫||-----|--|---|--⌫-|
puissegarir	-----|----|
dont en apel l exm le	---|-|----⌫-⌫|-|-|
sire di st ellelai ss iéscelpelerin	---|--⌫-|---|---⌫--⌫---|--|------|
bienuous f erade	---|---|-⌫--|-|
quanqu iluou spromist	-----|-|---⌫|------|
m oltest bon s	-⌫--|--|---⌫|
maistresparfoitleuous affi	-------|--|---|-|---|---|
etie feraila damereuen i r	-|-|----|-|---|-----⌫-⌫|
qu a nnodortoir poruo irdeshierse	-|-⌫|-|------|--|--⌫-|--|---|-|
distxm dam e ieuousen	---|-|---⌫|-|---|-|
la priore ssereuintasonmosti er	-|------⌫--|-----||--|-----⌫-|
troua lada meal a utelsaintmichiel	----|-|--⌫-|||-⌫---|----|------|
ouellepl eureet faitz zdu elp laingnier	-|---|--⌫---|-|---|-⌫|--⌫-|-⌫--------|
dame dist ell e cel	---|---|---⌫|--|
duel c o nui entlaissie r	---|-⌫-⌫---⌫--|-------⌫|
ieuousdirainoue lle de	-|---|----|----⌫--|-|
lad e fo rs estoub ois	-|-⌫-⌫--⌫-|--|-|-⌫--|
uous fai tgait ier	---|---⌫|----⌫--|
auuecluisont	----|--|---|
yycheual li ers	-|------⌫--⌫--|
iluousauoi tanuoié tcelpaumier	-|---|----⌫|-------⌫|--|------|
poruoconuinnesauoir	--|-|-------|-----|
etencerchier	-|---------|
carilu ousuueltrauoirasoncouchier	--|-|-⌫--|----|-----||--|-------|
la da me loitdieu pri st ame rciier	-|--⌫-||--|---|---⌫-||--⌫-----|
tou tmaintenant s	---⌫|---------||
enissi delmos t ier	-|---|--|---⌫-⌫--|
uenuea xm lefier	----||-|-|---|
etquantilu oit ladame	-|----|-|-⌫--|-|---|
totmainten ant	--|-------⌫--|
lap rist aa ra i snier	-|-⌫---||-⌫--⌫-⌫----|
dont uen ésda mepor	---|---⌫--|--⌫-|--|
dieuledroiturie r	---|-|---------⌫|
enno n dieusire ie	-|--⌫|---|---|-|
uai nsd e cel mostier	---⌫-|-⌫|--|------|
o u ie alaiadamredie uproier	-⌫|-|---||--------⌫|-----|
q uemoietuous	-⌫-|--|-|---|
puissienssiesploitier	--------|-|---------|
queangenrer	--|-------|
pui ssienszzher itier	---⌫-----|-|---⌫----|
xm loit pluse nn	-||--|---|-⌫-|
otle cue r f i er	-|-|---⌫|-⌫-⌫-|
en moiefoit dist	-|---|---|---|
forment me	------|-|
poisse q uant uo us fis	-----|-⌫---|--⌫-|--|
corre cier	-----⌫---|
ieluous ferairichem entad recier	-||---|----|------⌫--|--⌫-----|
seuousp oé s monafaireespl oitier	-|---|-⌫---⌫|--|-----|----⌫-----|
dispordieule	--|--|---|-|
droiturier	---------|
manraiom oiseria ntne che u al lier	-----||-⌫-|-----⌫-|-|---⌫-⌫--⌫---|
nannib iaxsireselidistsa mollier	----|-⌫--|---|-|-|---|-|------|
fors moietuouse tcelcorto ispaumier	---|--|-|---|-⌫|--|-----⌫-|------|
nel uautpor celaissier	-||---|--|-|-------|
d us q uayy f aitarmer	-⌫--⌫-⌫||-|-⌫--|----|
e nla for et	-⌫|-|---⌫-|
lesafaitanuoier	--||---|------|
porcel efait quildoute	--|-|-⌫|---|-|-|----|
l epaumier	-⌫|------|
et ces c o nuinn esm alu o isementl i	-|--|-⌫-⌫-----⌫-|-⌫---⌫-⌫------|-⌫|
si rexm ce lidistsamolli er	--⌫-|-|-|-|---|-|-----⌫-|
alafontain nealons	|-|-------⌫-|----|
sa ns delai er	--⌫-|-----⌫-|
damed istilt ropnou sp oésco it ier	---|-⌫--|-|-⌫--|---⌫|-⌫---|--⌫--⌫--|
sig r anttale ntn anauiiés	-|-⌫-⌫--|----⌫-||-|------|
xm montes orzz c ou rant	-|----|-⌫-|-|-⌫--⌫---|
des t rie r	---⌫-⌫---⌫|
la iantildame	-|-----|---|
sorzz pale fr oi chier	--|-|----⌫--⌫-|----|
aupeleri n anafaitzz baillier	-|------⌫|-||---|-|-------|
uerslaforetp renn ent a cheua u chi er	---|-|----|-⌫----⌫--||-----⌫-⌫---⌫-|
dedenss anentren tpa r	-----||-|------⌫|--⌫|
zzpetitsentier	-|----|------|
etlamai sniexm lep ohier	-|-|---⌫---|-|-|-⌫----|
fu rentalés	--⌫---|----|
zz a utrechemin	-|-⌫---|-----|
lagent ildame	-|----⌫-|---|
a resgardét xm	|---------|-|
t otmaintenantl e pr ist	-⌫-|---------|-⌫|--⌫--|
aentiercier	|---------|
pa rzzpl a ie qu idesosluelli	--⌫|-|--⌫-⌫-|--⌫|----||--|-|
bienrecognustcest	---|--------||--|
son mari t pr emier	--|----⌫|--⌫----|
pe t i tsanuautne lcor ut	--⌫-⌫-⌫||-|---|-||---⌫-|
e nbracier	-⌫-------|
mai se llen ose	---⌫|-⌫--||--|
por xmle fier	--|-|-|---|
damea xm cogneut	---||-|------|
par zz petitquebaisierne l courut	--|-|----|--|------|-||-----|
p or xm soncoraige atenut	-⌫-|-|--|------||----|
ale ́tparmile gaut foi llut	---⌫-|----|-|---|---⌫---|
dunefontainnetr ouaxmle rut	|--|--------|--⌫--|-|-|--|
toutcontremo nt a lerui ss els eut	---|--------⌫-||-|---⌫--⌫-|-⌫--|
d esosz z arbreonttapis	-⌫---|-⌫|----|--|----|
a estand us	|------⌫-|
coute qu i bien porp oi nt efu	----|--⌫|---|----⌫--⌫--⌫|-|
quantl ilis	----|-⌫|--|
fuatorné sric hement	-|-------⌫|---⌫-----|
xmsir edist x m li uaillans	-|---⌫|---|-⌫|-|-------|
dameuuel parl er	---|---|----⌫-|
sienqu errai	-|----⌫----|
son cueretson	--|---|-|--|
ditesxm faites u o stre	----|-|-----|-⌫-⌫---|
antrexm etla d ame	----|-|-|-|-⌫--|
a zzpartapa rlement	|-|---||--⌫------|
distxmdame ent endésmonsanblant	---|-|---|---⌫-----|--|-------|
le premiersireque	-|------|---|--|
eustesauant	-----|----|
esc haspése stdespaiensme s cr ea ns	---⌫------|-⌫-|--|-----|--⌫-⌫--⌫--⌫-|
tant m e proia	---|-⌫|----|
qu ilmanuo iaauant	-|-||----⌫-|----|
porla bes oingne faireplussostiment	--|-|---⌫-----|----|---|--------|
dam e droisestparsai ntuinc ent	---⌫|----|--|--|---⌫-|----⌫--|
bie n uouscognois saichie ́s	---⌫|---|------|-------⌫-|
xm bia xsire celerni uautnoian t	-|---⌫|---|----|||---|-----⌫|
oruousbaisasse	-|---|-------|
saichie ́ s	-------⌫-⌫|
anosfairenoiant	-|-|----|-----|
qui denosyy	--|-|--|-|
s epre nt garde	-⌫|---⌫-|----|
biensai sans uousn an uenisseau a n	---|--|---|---||-|------|--⌫-⌫|
nousauons cicheuaxf ors etcourans	---|----|-|-----|-⌫--|-|------|
prene ́scelnoir e t	-----⌫-|--|---|-⌫|
iepanrai celblanc	-|-----|--|----|
uers sainquent in	---|---|-----⌫-|
nous enalo nsfuiant	---|-|---⌫-|-----|
etx muouspar léspornoia nt	-|-⌫|---|---⌫---|--|----⌫-|
e nlafontainneseba ingner a	-⌫|-|--------|-|--⌫------⌫|
illeconuient fairepluss ostiment	-|-|-------|----|---|-⌫-------|
enla fontainne tou snusse r aauant	-|-|--------|---⌫|--|--⌫-⌫|----|
tantdisirons nostr epre utporcha sant	------|----|-----⌫|---⌫-|------⌫---|
quanqui lparloien t issi	-----|-⌫|--------⌫|---|
faitiere ment	--------⌫---|
dis t xmquede morés uoustant	---⌫|-|--|--⌫-----|---|---|
pelerin fre reci aloncparlement	------|---⌫-|-||---|--------|
etxmen apellabernie r	-|-|-|-----|------⌫|
pel erinfreretrop	---⌫---|----|---|
po ésdel a ier	--⌫--|---⌫-⌫--|
sire dis t il neuo uschaut	---|---⌫|-|-|--⌫-|----|
car uostrepreu tuousuuelie porchac ier	--|-----|----⌫|---|---|-|-------⌫--|
il uo usco nuientpremerainsd espoill ier	-|--⌫-|--⌫-----|---------|-⌫-------⌫--|
en laf ontain ne antreréstos	-|-|-⌫------⌫-|--------|--|
prem i ers	----⌫-⌫--|
il s edes poille qued rasniu a utlaissie r	-|-⌫|---⌫-----|--|-⌫--|||-⌫-⌫-|-------⌫|
dedenss en entrecar bien cuide espl ot ier	-----||-|----|--|---|----|----⌫--⌫--|
distxm sirepa ryy	---|-|---|--⌫|-|
foisuousp lungie ́s	---|---|-⌫------⌫-|
etil sifist d egre et uo lentier	-|-|-|---|-⌫|--|-|--⌫------|
lagentildameen	-|-----|---|-|
a pel la xm	-⌫---⌫-|-|
prenésbiaxsirecesteespeedacier	------|---|---|----|----||----|
toutmaintenant l a	---|---------|-⌫|
testelitrainchiés	----|-|----------|
non fer aid amepa rles	--|---⌫-|-⌫--|--⌫|--|
i exdemonchief	-⌫-|-|--|----|
quartosio rs maismeseroit	---|--|--⌫-|---|-|-----|
reprochiés	----------|
hons desnuésn iertiap armoitouch ie ́s	---|-------||---|-|-⌫-|--|-----⌫--⌫-|
maismontés tost s orcelpalefroi c hier	---|------|---|-⌫-|--|-------|-⌫---|
ie monterai	-|-------|
courantd estrier	------|-⌫------|
l a damemonte xm litin tlest rier	-⌫|---|----|-|-|---⌫||---⌫---|
meismesmontasans del a ier	------|----|---|---⌫-⌫--|
etxment e nta luib aingnier	-|-|---⌫-⌫-||--|-⌫-------|
li cuens xm	-|----|-|
conme nsaahuchier	-----⌫--||------|
sirexm orpenc ésd elbaingnie r	---|-|-|----⌫--|-⌫-|--------⌫|
enmanrasamo llier	------|-|--⌫----|
xmloitniotque	-||--|||-|--|
correci er	-------⌫-|
en mo iefoitdistilsirexm	-|--⌫-|---|---|-|---|-|
desisaigehome	-|-|----|---|
ne s e puet ongaitier	-|-⌫|---|-|------|
ie mecuida ialadam e	-|-|-----⌫||-|---⌫|
dedens cellitauuecli	-----|--|--|----|-|
etli uillainsle distel reprouier	-|-|-------|-|---|-|--------|
belleparol efait	----|-----⌫|---|
le foleslecier	-|--|-------|
etdist la dameuassalpor	-|---|-|---|-----|--|
dieudelciel	---|--|---|
dune autrefemme uousestuet porchaci er	|--|----|----|---|-----|--------⌫-|
die x marenduea mon	---⌫|||-----||--|
maritpremier	----|------|
a tant sa nt ornentet	-⌫---||-⌫|-⌫-----|-|
la dame et	-|---|-|
dunm ontdaleszz	|-|-⌫--|----|-|
ual plaig nier	--|-----⌫---|
laancontrerent	-|-----------|
sa uari etgarn ie r	--⌫---|-|----⌫--⌫|
qui elpais	--|-|---|
uen oi entaxm	---⌫--⌫--||-|
enlor conpaingneyycheualliers	-|--|---------|-|----------|
xmaidas sent	-|-----⌫---|
eu s t mes ti er	--⌫-⌫|---⌫--⌫-|
illecoururentacole r	-|-|--------|-----⌫|
e tbaisier	-⌫|------|
di stsauaris comaue ́ses pl oiti e ́	--⌫-|------|--|---⌫-|--⌫--⌫----⌫-⌫|
biaxniers moltbi en l amercit	---|----|---|--⌫-|-⌫|-----|
d ieu delciel	-⌫--|--|---|
dedenzzza igueai	-----|-|-⌫---|-|
legloton lais sie ́t	-|-----|----⌫---⌫-|
ainsneleuausadesernetouchier	---|-|-|---|-----|-|-------|
distsauar i s carlemensaingnissié s	---|-----⌫-⌫|--|-||--------------⌫|
ielira iiala	-||---⌫|-|-|
teste re ong nier	----|--⌫---⌫---|
quantde madam e uous	----|-|-|---⌫|---|
o sauer goingnier	-⌫-|---⌫--------|
d istxm biax niersneldite m ie	-⌫--|-|---|----|-||---|-⌫-|
conq ues alinot charne lconpaingnie	|---⌫--||-||-|------⌫|----------|
la m er citdieuqui t o utaen	-|-⌫--⌫--|---|--|-⌫-⌫-||-|
di stsaua ris	--⌫-|----⌫--|
tantsuiiepluslies	---|--|-|---|---|
acesparolesontloruoie aqueullie	|--|------|--|--|---|--------|
uerssainquentin	---|---|------|
cheuauchenta	----------||
anunenuit eteny y	-|--|---|-|-|-⌫|
iorsiluinre nt	---|-|-----⌫-|
pasl ai o ie	--|-⌫|-⌫-⌫-|
quelorfir ent	--|--|---⌫--|
cilde lpaisquan tensanb l e	--|--⌫|---|----⌫|------⌫-⌫|
les uirent	--|-----|
berniersapellesonneueutsau ari	-------|-----|--|-----|---⌫--|
faitostmander	--|---|-----|
mescheualliersdepris	--|----------|-|---|
etsi m e mande	-|-|-⌫|----|
darras lesorxm	|----|-|--|-|
quiuaing neasnoces safille	-||-----⌫-|-|----|-|----|
carrame ne el	--|----⌫--⌫||
a xmdep ontif	|-|-|-⌫----|
distsauarissirea	---|------|---||
uostrep laisir	-----|-⌫-----|
xmma n da a	-|--⌫-⌫-||
a rrassensmentir	-⌫---|---|-----|
mais ni uaut	---|||---|
miea cel efois u enir	--||---⌫|---|-⌫---|
etberneconsmol tbellefestefit	-|--------|---⌫|----|----|--|
delag r a nt ioie	-|-|-⌫-⌫-⌫-|---|
res baudi t	---⌫-----⌫|
la gentil damelape l lasil idit	-|-----|---||---⌫-⌫-|-|-⌫|--|
bernierbi aufre re por dieu	------|--⌫-|---⌫-|--|---|
sauésn ouellesd e iu liien mo n	-----|-⌫------|-⌫|--⌫----|--⌫|
nanniluoir damexmrespon di	-----|---|---|-|------⌫-|
forstantitantcon uousporrois oi r	---|---|----|--|---|------|--⌫|
dedenssaintgi le	-----|----|--⌫-|
limiens osteme	-|----|---|-|
que en espai ngneacordeslafo rtcit	--|-|-----⌫---||-----|-|--⌫-|--|
lalenmenerentpaiene t	-||---------|----|-⌫|
pleure des iexdel uis	-----|--|--|--|--|
etlere greteconia	-|-|--⌫----|--|-|
por roisoir	---⌫---|--|
i uliie ns fi xtrop uousperdi	-⌫-----⌫-|--⌫|---|---|----|
maluais ement auésesténorris	-------⌫----|----|----|-----|
diexnostres sires	---|------|----|
parla soie mercit	--|-|---|-----|
encor de uousencor nouelleoir	----|-|---|----|------|--|
ensanblesonmes bie n	-------|-----|---⌫|
di e xnou s do nraencor n ouelleoir	--⌫-⌫|---⌫|--⌫--|----|-⌫-----|--|
etdistladame	-|---|-|---|
sireuoir auésdit	---|---|----|--|
icelle nuitensanbl e dormit	-----|---|-------⌫|-----|
fil enge nuit	--|----⌫---|
e lle le porteetcesmois	-⌫--|-|----|-|--|---|
aut ermequeli enfes nas qui	-|-⌫---|--|-|----|---⌫--|
auba ptisierl apelle renthen ri	-|--⌫------||------⌫---|---⌫-|
la g entildamele fistmolt	-|-⌫----|---|-|---|---|
bie nnorir	---⌫|----|
etq uant illotyyans	-|-⌫---|--|-|-|--|
debehordere t darmes santremist	-|-------|-⌫||----||--------|
ausibiax fu	---|---|-|
de yy anslimeschin	-|-|--|-|------|
comzz autre enfes estaman dés enyy	--|-|----|----|--|----⌫---|-|-|
xmle uo itmolt ioi ansende uint	-|-|--⌫-|---|---⌫--|-|--⌫---|
asa moll ierlemonstrasilid it	|-|----⌫--|-|------|-|-|-⌫-|
es g ardésdame pordie ude paradi s	--⌫-⌫-----|---|--|---⌫|-|------⌫|
con henrie sestbiax et	--|------⌫|--|---|-|
et distladamesireuoiraué sdit	-|---|-|---|---|---|----⌫|--|
ornelairoieport otl o rquedi exfit	-|-|------|--|-⌫-||-⌫|--|--⌫-|--|
que ieneuoise a ice stuipai s	--|-|-|----||---⌫---|---⌫|
ouiuliien po rterentsarrasin	-|------|--⌫------|-------|
si aprendraise ill est	-|--------|-|--|--|
loittosl isansli fremist	|--|--|-⌫|---|-|------|
e n nondi eu dame	-⌫|--|--⌫-|---|
di st x mliuaillans	--⌫-|-⌫|-|-------|
lairoiepor nulle rien uiua nt	------|--|----|---|----⌫-|
neuois e querreiulii enmone nfant	-|----⌫|-----|-----⌫-|--|-⌫----|
nira omoi cheuallierne	|--||--|---------|-|
fors sauarimo nneueut leu aillant	---|-----|--⌫|-----|-|-⌫------|
et distladame	-|---|-|---|
mercitpordi eu le	-----|--|--⌫-|-|
i alimi enscors	-⌫|-|--⌫--|---|
ne seroitsenst orment	-|-----|---|-⌫-----|
le pereet i aiperdut lenfe nt	-|---|-||-|-----||----⌫-|
ceie rtmeruelle c eli	-|--⌫-|-------|-⌫|-|
cuers ne mefant	----|-|-|---|
dist xm dameplorer niuaut no iant	---|-|---|-----|||---|--⌫---|
conmentquil pra ingne n i demorrai no ian t	--------|-|---⌫----|||-------|--⌫---⌫|
en cellenuit	-|----|---|
lelaissierentata nt	-|----------|---⌫-|
aumatinetalaube	-|------|||---|
aparissan t	---------⌫|
o nt oi tmes se	-⌫-|--⌫|---⌫-|
li cheua lli er uaill ant	-|-----⌫---⌫-|-----⌫--|
apr es lamesse lich euallie r uaillan t	---⌫-|-|----|-|--⌫-------⌫|-------⌫|
c ongietdemanden t a	-⌫-----|--------⌫||
et lacontesseli a dite nplorant	-|-|-------|-||--|-⌫|------|
chiersacelui	-----||----|
u ou s conm ent	-⌫--⌫|----⌫--|
quifistlemon deparsonconmendement	--|---|-|---⌫-|--|--|-----------|
damedis t il diexuousgart de	---|---⌫|-|---|---|---|-|
atantdepar tentse nspl u s de	----|-----⌫---|--⌫-|--⌫-⌫|-|
ua itsen xm	--⌫-||-|-|
etsauar is	-|-----⌫-|
deso rmaisf autlach an con	----⌫----|-⌫--|-|--⌫--⌫--|
porciuel enque ciendroituouschant	------||-|--|-|------|---|----|
x m cheuaucheetsauarili	-⌫|--------|-|-----|-|
a gransiorn eesiss irentdel regne	|----|----⌫--|---⌫----|--|----|
fran cetrespa ssent et briepa rdaler	----⌫-|------⌫----|-|---|--⌫|----|
parendroitsenss onten	--|------|---|-⌫--|-|
bo rgoingnee n trés	--⌫-------|-⌫-⌫----|
io rneesneu ous	--⌫----|-|-⌫--|
d usqua sain t	-⌫---||----⌫|
gile nesesontar estés	---|-|-|---|--⌫-----|
chie sle borioisontuenus	----⌫|-|-----|---|----|
ouill auoientautre	-|--|------|----|
foisconuersé	---|--------|
etl andemainsontl ibaro nmonte ́t	-||-------|---|-⌫|----⌫|-----⌫-|
parlaprouuancesonten gascoi ngne antrét	--|-|--------|---|-|------⌫---|------|
lepaist rueue nt	-|---|-⌫-----⌫-|
escillie ́t etgastét	--------⌫-|-|------|
carlamassorde	--||------|-|
corde i ot	----||-|
libaronuinrentalamaistrecite	-|----|------||-|------|---|
parmilapo rte sont	----|-|--⌫--|---|
e n lauille	-⌫|-|----|
enson palaiso nt corsub let rouét	-|--|-----|-⌫-|------⌫-|-⌫-----|
xm desc e nt sil a bi en saluét	-|----⌫-⌫-|-|||--⌫-|------|
ci luoussauts ire	--⌫|---|---|-⌫--|
creanc e aués	------⌫|----|
et dist corsublesc ilt ecrois se	-|---|--------|-⌫-|-⌫|-----⌫-|
quif ait negier et	--|-⌫--|-----|-|
plouoiretuanter	------|-|-----|
ce f a it xm et xm	-|-⌫-⌫-|-|-|-|
etdist xmsireor	-|---|-|---|-|
men tendés	|--⌫------|
deuostreguerreauonsoitpa r ler	-|-----|-----|----|--|--⌫-⌫--|
uoliésetdoner	------|-|----|
do ntpeussiensbarnaige	--⌫-|--------|-------|
aideriensuostre guerreamener	--------|-----|-----||----|
etdistcorsubles ordi tes	-|---|--------|-|--⌫--|
uousqueber	---|--|--|
s epreudomeestesieu ous donraiasses	-⌫|-------|----|-|-⌫--|-----|----|
lisenesch a x a xmresgardét	-|-------⌫-⌫||-|---------|
bienlecog nutsa c orsu ble	---|-|---⌫--|||-⌫----⌫--|
e scr i ét	-⌫---⌫-⌫--|
parxmsiremolt t est bienancontrés	--|-|---|---||--|---|---------|
tel sau doie r	--|---⌫----⌫|
t axmdonét	||-|-----|
ilnamil loren	-|||---⌫--|-|
lacrestii ente	-|-------⌫---|
d u neautre painneuous a ilde liure ́	|-⌫-|----|-----|---||-|--⌫-----⌫|
q uant illocit	-⌫---|--|---|
aucibier lamiret	-------||-----|
corsublesloitsa	--------||--|||
xmacol e ́	-|----⌫-⌫|
crestiiens frerepor quoit	---------|----|--|---||
ierstucelét	---|-|-----|
tou smestre s orsuous	---⌫|--|---⌫-⌫--|---|
iert aban donés	---|----⌫-----|
en d ementie rsqu illon tainsisparlé t	--⌫-⌫-------⌫---|--|--⌫|-----|------⌫|
es uouszzturquio tno nbod oes	-|---|-|--|--|-⌫|--⌫|---⌫--|
dunroite spietparles	|-|---|-⌫----|--|--|
costesnaurés	-----|------|
asauoiscler es est	|-|---|----⌫||--|
l itur ses c riés	-⌫|---⌫|--⌫-⌫----|
c orsubles tousi ersdes hi retés	-⌫-------|---|-⌫--|---⌫--⌫-----|
la massors estenson pais e ntrés	|-⌫------|--|-|--|---|-⌫-----|
ouyydes gens des on regn et	-|-|--|---|-|-⌫-|----⌫-|
zzao lui cheuall ieramenét	-|||--|-------⌫--|------|
cheualliersestdenouel a dobés	----------|--|-|----|-⌫-----|
uers luinedure n echastel ne	---|--|-|---|-⌫|------|-|
durernushons	----|--|---|
demerene ́	-|---|--⌫|
lep a isgast é	-|-⌫-⌫-|----⌫-|
etd istc or sublesm et uue rite	-|-⌫--|-⌫--⌫-----|-⌫|-⌫|--⌫---|
oiluoir sireparxm mon	--|---|---|--|-|--|
cestiié s oresor celle	|-------⌫|--|--|----|
tormontés	--|------|
pardeuerscordes	--|-----|-----|
uau sissiés resgarder	---⌫-------|--------|
iauer r iés	-|---⌫-⌫---|
totl e paispue pét	--|-⌫|---|---⌫---|
corsublesloit sa	--------||--|||
les de gr es mont és	--|--⌫--⌫-|----⌫--|
par la fen estrede	--|-|---⌫----|-|
latoragar dét	-|--||---⌫---|
uoitl epaisdes paiens a n conbré	---|-⌫|---|--|-----|-⌫-⌫------|
liforiercourentporlesuillesrober	-|-----|------|--|--|-----|----|
desmaisons	--|------|
arcesuo itlesgransf exleuer	----|--⌫-|--|----|-⌫-|----|
ilsan deuales	-||-|-----||
asagentescriét	|-|---|-------|
asp o rtessingnorsifermés	-|-⌫-⌫---|------|-|------|
ieu ous conm entque	-|-⌫--|----⌫--|--|
trestu ituo usarmés	------⌫-|--⌫-|-----|
et ilsifirent qua nt illot conmandét	-|-|-|-----|---⌫-|-||-|---------|
xms armaet	-||---|-|
sau aris libers	---⌫---|-|---|
ainsois leue sprequesolaxsoit	------|-|--⌫---|--|----|---|
xmde iuliien parler	-|-|------|-----|
lesienchierfi lporquoic	-|---|----|--⌫|--|---||
