#MET A# TextURI	----⌫-|------|
Al exisP RI	--⌫-----⌫-|
Siredistelem oultuoustorb leliuis .	---|---|--|-⌫---|---|----⌫-|-|---⌫|
Beledistil car pr ès	---|---|-|--|--⌫--|
s ui de mafin.	-⌫-|-|-|---|
Gr antpaour aicarprèssuid e	--⌫--|----|-|--|----|--|-⌫|
Caroruoiçou queonques	--|-|--|---|--|-----|
uoiqua ntes	--|---⌫---|
m ainsmeu oelentrecuellir	-⌫---|-|-⌫-----|--------|
Huiperirai se Diusneme garist.	--|------|-|---|-|-|------|
Pens e de l corsqu il soit	----⌫|--⌫|---|-|-|---|
Lame a raçouque el ea deserui.	|--|-⌫-|---|--|--⌫||-------|
IIliaditPouramourDi u	-|-||--|---|----|--⌫|
Mafinsapr oce	-|---|---⌫--|
neuiueraima isga ires.	-|------|--⌫-|--⌫----|
S ainsBonifac esque	-⌫---|-------⌫-|--|
on martir apele	-|-----|----|
[ Cil aenRomeuneeglisemou tbele]	-⌫--||-|---|--|-----|---⌫|----|
ifai metre	|--|----|
Quanttumor r ast uiuauroiesestre.	----|-|---⌫-⌫-|-⌫||-------|-----|
Aucongié D iusiredist lapucele.	-|------|-⌫-|---|---|-|------|
Belepucele ço u distsainsAle ssins	---|-----|---⌫|---|----|---⌫----|
S e ore ussetan tD amediuserui	-⌫|-|-⌫---|---⌫|-⌫-----|----|
Pageu01P250	----------|
Queioupeusse less ainsso u neroir	--|--|-----|--|-⌫---|--⌫-⌫--|--|
Dontfuisseli és si seussede fi	---|-----|--⌫--|-|-----|-|-|
eu st sonliuemparad is.	--⌫-|--|--|-|-----⌫--|
Sirecouurastuer sDame diumerci.	-|---------|---⌫|----⌫--|-----|
eure quelisains	---|--|-|----|
Lisaint comme ncenttout ensa nleaferir .	-|----|-----⌫----|---|----⌫--||-----⌫|
Souti e ntaforcela citésretentist	-----⌫-⌫-||----|-|-----|--------|
Ni auoitsaint tantsoit gr ansne	||----|----|---|---|--⌫--|-|
Neso ntpluscler	-|--⌫-|---|---|
queonques ma is ne fist.	--|-----|--⌫-|-|----|
Ains queilmuirelesabi en cle rois.	---|--|-|----|--||--⌫-|---⌫|---|
Belepucele çou dist	---|-----|---|---|
sai n sAle ssis	---⌫-⌫|---⌫---|
oiés lessai nsle Damediumerci.	----|--|---⌫-|-|------|-----|
aproc edontienepu isgarir.	-----⌫|---|-|-|--⌫-|-----|
Quiatous homesfait tousauo irs guerpir.	--||---|----|---|---|---⌫--|-------|
San s lesaumos nesconne	---⌫|--|-----⌫--|--|-|
s enpuettollir.	|-|---|------|
uois c imespalmesque i ai	---|-⌫|--|-----|--||-|
a toutl espi	|---||---|
DeI ersale m	-|-⌫------⌫|
laport aiquantio uu ing	|-----⌫-|----|--⌫|-⌫--|
gardéesiusquau io u r	-------|----|-|--⌫-⌫|
de maf in.	-|-|-⌫--|
A mon caue tquant	|--|----⌫|----|
iouie ́reenf ouis.	--|--⌫--|---⌫----|
Me nfaitescroisetasp i ésautresi	|-⌫|-----|----|-|-|-⌫-⌫--|------|
Dius pen se radelcroi stre etdel	---|---⌫--⌫-|--|----⌫---|-|--|
L anoncemensd un anglele ma	|---------||-|----|-|||
Iou ne s uimie	--|-|-⌫-|--|
dem o u t lointaingpais	-|-⌫-⌫-⌫|--------|---|
Quantmiparentseronta l seuel ir	----|-|-----|-----|-⌫|-----⌫-|
Si ert mes pére	-|--|--|----|
et maméreautresi	-|-|----|------|
Etune e spouse	-|--|-⌫-----|
queiouaideg uerpi.	--|--|-|---⌫-----|
Ot lelabele	-|-|-|---|
unsouspir.	-|-------|
EDius distele	|---|---|--|
iou q uicce st mesamis	--|-⌫--||-⌫-|--|---|
Siredist ele	---|---|--|
s ont il bienloncdec i	-⌫--|-|---|---|-|-⌫|
Mandaslorstuparmes	-----|---|-|--|--|
qui lordesist	--|--|-----|
Nepot par ler	-|--|---⌫--|
sesttransisl esperis	|--|------||------|
dol en tequepl us n elotenquis .	---⌫--⌫-|--|--⌫-|-⌫||-|------⌫|
L ibonsserian s	-⌫|---|------⌫|
quitantiour l otse rui.	--|---|---||-|--⌫---|
Il ua aupére	-|-|-|----|
siliatanto s tdit	-|-||-----⌫-⌫|--|
est lipelerins.	--|-|--------|
Madamoise l e la	-|-------⌫-⌫|||
fait enseuelir.	---|---------|
Libons seriansquiseruiuolentiers	-|---|------|--|----|---------|
Il leno nça sonpére Euf emien	-|-|--⌫---|--|----|---⌫----|
Souefl apeleseliacons illié	----||----|-|-||----⌫-----|
Pageu01P2 51	---------⌫-|
S iredis tilmors esttes prouuendiers.	-⌫--|---⌫|-|---|--|--|------------|
Çou m estauis	---||--|---|
bonscrest iens.	---|-----⌫----|
Moutlo ngementai	---|--⌫------|-|
oluiconu ersé	|--|----⌫----|
De nu le cose c e rtes	-|--⌫-|---|-⌫-⌫---|
neu saiblasme r .	--|--|------⌫-⌫|
Çou m estauis que	---||--|---|--|
çou estlihomD e ́.	---|--|-|--|-⌫-⌫-|
Tou s seusene stEufemienst ornés.	---⌫|---|-|-⌫-|--------|-⌫------|
uaason fil ugist	-||--|--||---|
so ursen degre ́.	--⌫-|--|-----⌫-|
Ledrapsousliéuedont	-|---|---------|---|
il e stoitcouuerz	-|-⌫----|------|
u i tde l sa int	-⌫-⌫|--⌫|--⌫--|
hom le ui s et cieretbel	--|-|--⌫|-|---|-|--|
Etensa mainsa cartre et	-|-|-|---|-|-----|-|
Ensae s cri t trestout	--||-⌫-⌫---⌫|-------|
le s ien couuera.	-|-⌫--|-------|
Euf e miens ueutsau oi rk eleespialt.	---⌫-⌫----|---|---⌫--⌫||--|-------|
II leweut prendremaisnelipot tolir	-|-|---|------|---|-|-|--|----|
Alapostoilereui nt touse sbah is	||--------|----⌫-|---|-⌫----⌫-|
Di uaies demoimer ci.	--⌫|---|-|--|---⌫--|
Or aitrouué	-|-|------|
çou que tantauo nsqui s	---|--|---|---⌫-|---⌫|
Sousmonde gré g i st morsuns pelerin s	---|--|--⌫---|-⌫-⌫-|---|--|-------⌫|
T ientunecar tremai sneli	-⌫---|--|---⌫--|---⌫|-|-|
puist olir.	---|-⌫----|
SainsI nnoc ens	----|-⌫----⌫--|
en ten dilaraison	--⌫---⌫-|-|-----|
Q uiapostoileestoit a iceliour	-⌫-|--------|-----||---|---|
E to tle s sainskisounent a	-⌫|-⌫|--⌫|----|-|------||
D usqual a	-⌫---||-⌫|
nuitde lor g ré t outeiour	---|-|--|-⌫--|-⌫---|---|
Etdes sainsangles uitlap ourcession	-|--|----|-----|--|-|-⌫---------|
Quiportent lame	--|------||--|
ca ntantnostresignour .	--⌫----|-----|-------⌫|
Decele cartreli	-|---|-----|-|
prist moul t granspaours	----|----⌫|----|-----|
[uersle degrésen	|---|-|-----||-|
co rutaband on]	--⌫--||----⌫--|
Ettouslipules esmaris	-|---|-|----|------|
degréuin rentalgra baton	-----|---⌫---|-|---⌫----|
Nenapelere nt c arnesorentsonnon.	|-|-------⌫-|-⌫-|-|-----|--|---|
L i apostoiles etliemp er eour	-⌫|---------|-|-|---⌫--⌫---|
Deuant luiui enentgetentsa orison	-----|--|--⌫----|-----|||-----|
Mis entlor corsengransafflic tions	---⌫--|--|---|-|----|------⌫----|
Pageu01P252	----------|
Selideprientparmout	-|-|-------|--|---|
b elerai son	-⌫--|---⌫--|
Me rcimerci	--⌫--|----|
m ercisain tismes	-⌫---|----⌫-----|
Net e connumesnenete conniss on.	-|-⌫|-------|-|-|-|-------⌫--|
Ci de uant toisoumes doi	-|--⌫---|--|-----|--|
P ar l adiug rasseclaméemper eo ur	-⌫-|-⌫|--|-⌫----|-----|-----⌫--⌫-|
Cestsamercisquil	|--|-|-----|-|-|
no usc onsentlou nou r.	--⌫-|-⌫-----||--⌫---⌫-|
Decestempire soume s gouure ne our	-|---|-----|-----⌫|------⌫--⌫--|
De t on co ns e lsoumes moult	-|-⌫-|--⌫--⌫-⌫|-----|----|
s o ufraito us.	-⌫-⌫-------⌫--|
Cisapos t oiles doit lesames g arir	--|----⌫-⌫----|---|--|---|-⌫---|
Cestsesme sti er sdontilaaser uir .	|--|--|--⌫---⌫--⌫|---|-|||---⌫---⌫|
car treparl a	---⌫--|--|-⌫|
Sinousdi ra que	-|---|--⌫-|--|
il treuueen	-|-----|-|
Sinous doinst	-|---|-----|
Dius quencor	---|-|----|
puisso nsgarir .	------⌫-|-----⌫|
Liapo stoilesmist sa main a	-|---⌫------|---|-|---||
Sai nsAlessi ns	---⌫-|------⌫-|
lasoielialasq ue	-|---|-|-----⌫-|
Ciller eçutkiertde	--|-|-⌫----|-|--|-|
letint silemoustraas autres.	-|---|-|-|------|-|------|
Illu ecf ist	----⌫-|-⌫--|
Di eu s un glorious	--⌫--⌫|-|-------|
Que de samainsenaladroitlacartre	--|-|-|---||-|--|----|-|-----|
Ala pucel e	|-|-----⌫|
sen alaa laplace	|-|--||-|----|
Ense n son	--|-⌫|--|
son bl iautde paile	--|--⌫---|-|----|
Emprèssacar	------|-|--|
o tues tue la haire.	-⌫|---⌫--|-|-----|
Douce men t sert	-----⌫---⌫|---|
leglorious	-|-------|
Eleneu eutc	--|-|-⌫--||
omnefemenel	-|-|---|-||
S ainsInnocens esperd i soncoraige	-⌫---|-------|------⌫|--|------|
Si ot uergoign ede shoumesdela pla ce.	-|-|--------⌫|--⌫|-----|-|-|---⌫--|
EtpaourakeDamediusnelhace.	-|----||-|-------|-||----|
SainsInnocens quantotla c artre	----|-------|----|-|-|-⌫----|
Etu itl es	-|-⌫-|-⌫-|
letresquel isainshomotfètes	-----|--|-⌫|----|--|-|-----|
Ains liescap e	---|-|-----⌫|
q uele peust espialre	-⌫-|-|----|-------|
Toutdroi tenua	---|----⌫|-|-|
elsain dela	-|---|-|-|
bliautentreses deusmameles	-----|----|--|---|------|
U e le pleurelesmals	|-⌫-|-----|--|---|
e tlessou f rai tes	-⌫|--|---⌫-⌫---⌫--|
s a inshom sour led eg ré a tr a ites	-⌫-⌫--|--|---|-|-⌫--⌫--||--⌫-⌫---|
Nesi nesait c	-|-|-|---||
Page u01P253	----⌫------|
M aisperdreencrient l egloriou scelest e.	-⌫--|-----|-|-----|-⌫|-------⌫|------⌫-|
O iéssig nourcon gra nde lo iauté	-⌫---|---⌫---|--|---⌫--|--⌫-----|
T outhome doiuentalo r moill erporter .	-⌫--|---|------||--⌫|-----⌫-|------⌫|
monstrancefist lei o urDamedés	---------|---|-|-⌫-⌫-|-------|
sam éreneuautlacartr e	-|-⌫---|-|---|-|-----⌫|
Nea sonp ére	-||--|-⌫---|
quil auoit	--||----|
Mai sa les pousek i	---⌫|||--⌫----|-⌫|
bien auaitga rd é	---|----|--⌫--⌫-|
L ecompai gn iede	-⌫|------⌫--⌫-|-|
so n amicarnel	--⌫|--|-----|
Laua la ca rtre par	-|-|-|--⌫---|--|
le plais irdeDé	-|-----⌫-|-|--|
f urentes poent é.	-⌫----|--⌫-----⌫--|
Orestremé selacartre a	-|--|-----⌫-|-|-----||
Parleplaisi r	--|-|------⌫|
leglor ious celestre.	-|----⌫---|--------|
Plus tost q ue pot	---|---|-⌫-|--|
leprenta lamain destre	-|----||-|---|-----|
SaintIn n oc e ntlapostoilee nap ele	----|--⌫-⌫--⌫-⌫-||--------|-⌫|--⌫--|
Siredist ele	---|---|--|
queporra de moiest r e	--|----|-|--|---⌫-⌫|
Car meconsille quen	--|-|-------|--||
ensoiem esfet e.	-|---|-⌫-----⌫-|
Beledistil buerfuisses tuains née.	---|---|-|---|------|-|---|----|
To ieestla cart re que D iusl e	--⌫-|--|-|----⌫-|--|-⌫--|-⌫|
t adone ́e	||----⌫-|
Quiquetoipl aist doitestred eli urée .	--|--|--|--⌫---|---|----|-⌫---⌫-----⌫|
Siredis te lei o usui moult	---|---⌫|-⌫-|-⌫-⌫|--|----|
esgare ́e.	------⌫--|
Fairequi tcose	----|---⌫|---|
dontlicorssains me	---|-|---|----|-|
E l eesgardales clers d e lacontrée.	-⌫-⌫|------|--|----|-⌫|-|--------|
A saintA mb roisealacartreliurée.	|----|-⌫--⌫----||-|-----|-------|
Cile rteues quesetcancelierssaintPére	--|-⌫-|----⌫---|-|---------|----|----|
Il list laletr el iau tre l	-|---|-|----⌫|-⌫|--⌫--||
escoutérent.	------------|
dist delpére etdela	---|--|----|-|-|-|
Et decelique il ot espousé e	-|-|---|--|-|-|--------⌫|
Etsilo rdistdequesparais	-|-|--⌫|---|-|---|-----|
Et lamoitié del	-|-|------|-||
anelont trou uée	---|--|----⌫---|
cartretre ́s bienenuo lepée	-----|---⌫-|---|----⌫-----|
Dontl a moitié li otre commandée.	---|-⌫|------|-|-|--⌫----------|
otbi enestoieetg ardée	-|--⌫-|-----|-|-⌫-----|
demandee le	------|-⌫-|
l aaprestée	||--------|
Ill esas samblesisesontacordées.	-|-⌫-|--⌫-----|-|-|---|---------|
Di st lapo s toiles Ces te	--⌫-||---⌫-⌫-----|---⌫-|
ensegneestprouuée.	------|--|--------|
Sire distele quel m	---|---|--|--|||
auie ́stantcele ́e	----⌫-|---|----⌫-|
P ageu01P25 4	-⌫---------⌫|
S i l eseussere n dues	-⌫|-⌫-|----|--⌫-⌫---|
etmoustre ́es.	-|-------⌫---|
Gransf ulidi ex a	----|-⌫|-|--⌫-||
t errec iet pas mé e.	-⌫---|-⌫--|---⌫---⌫-|
Etsilor dist	-|-|--|---|
comsenfuiparmer	--||----|--|--|
Con s en alaenAusislac ité	--||-|--|-|----|-|-⌫---|
l ymaigefistDiuspour l uiparle r	|-----|---|---|---|-⌫-|-----⌫|
Et pourlounor dont	-|---||----|---|
l euaut emcombrer	-⌫|---|--------|
Sen rafuiaRoume la	|-|----||----|-|
Senbonseriant niuautmie	--|--|------|||---|--|
oub lie r.	---⌫---⌫-|
Quemie lslens oitqui	--|---⌫-||-|-⌫--|--|
t antiourlag ardé.	-⌫--|---|||-⌫-----|
Quantotlipe ́rekeon troeueen	----|-|-|--⌫--|-|-|-----|-|
la cartr e	-|-----⌫|
Ase sdous mai ns desrontsablance barbe	|--⌫|---|---⌫-|------|-|-----|----|
Efielsdist il con	|----|---|-|--|
dolorousm esai ge	-------|-⌫----⌫-|
Iou aes mo ie ketuuis repairasses	--|---⌫--⌫-|-|-|--|----------|
PourD iumerci si	---|-⌫-|----|-|
m e reconfortas ses.	-⌫|-----------⌫---|
Ahauteuoisprist	|----|---|----|
lip ére acrie r	-|-⌫---||----⌫|
E fiu s d istilquelsdelsm	|---⌫|-⌫--|-|----|---||
est demorés	--|-------|
Conm alegar de aifai t sousmond egré	--|-⌫--|---⌫-|-|---⌫|---|--|-⌫----|
Etioupeciére	-|--|-------|
compar sui	--|--|--|
Tan tla iue uc a insnelso i	---⌫||-⌫|--⌫||-⌫--|-||--⌫|
FielsAlessi s de tadolante m ére	----|------⌫|-|-|------|-⌫---|
Tantedolour	----|-----|
apo u rtoiendurée	|--⌫-⌫|--|-------|
E t tantgrant fainettant soif trespassée	-⌫|---|----|---|-|---|---|----------|
E ttan tes larmespour l etien cors pl ourées	-⌫|---⌫--|-----|---|-⌫|---|---|--⌫------|
Cisdelslara	--|---||--|
sempres paracorée	------|--|------|
Quiestmoult	--|--|----|
gransan qu ise rat uée.	----|--⌫--⌫|--⌫-|-⌫----|
F ilsquiserontmes grandesiretés	-⌫--|--|-----|--|------|------|
Mes la rg estere sdontiouauoieas se ́s	--|--⌫--⌫-|----⌫|---|--|----|--⌫--⌫-|
Migrantp a laisen	-|----|-⌫-⌫---|-|
R omelacité	-⌫--|-|----|
Par toieam our	--|---|--⌫--|
meni éremoutpenés	|-|-⌫---|---|-----|
uesqu issetenfusseshounerés.	-----⌫---||-|-----|---------|
Blancailec iefet le barbekenue	----|-|-|-⌫--|-|-|----|----|
Mesgranso norsauoieretenues	--|----|-⌫---|----|-------|
Ie uouss eruo ie	-|---|-⌫----⌫-|
mai suousn enau ié scu re.	---⌫|---||-|--⌫---⌫|--⌫--|
Pageu01P255	----------|
Sigran sdolorsm	-|----⌫|-----||
est h ui cestiouruenu e	--|-⌫-|---|---|----⌫|
toieame s oi t	---|--|-⌫--⌫|
el cielabsolue	-|---|------|
At eldolour et	|-⌫-|-----|-|
asi grant pouert e	|-|----|------⌫|
Filstesde duisp a ralienes	---||-|--⌫---|-⌫-⌫|------|
Et decestbienquitou sdeusttiensest re	-|-|---|---|--|---⌫|----|----|---⌫-|
pres is enlatoie h erbe rge	----⌫-|-|-|---|-⌫----⌫--|
Se Diupleus t	-|--|-----⌫|
sir e e n deussi e ́s estre.	---⌫|-⌫|------⌫-⌫-|-----|
To icouueni st l ance et esc uporter	--⌫|-------⌫-|-⌫---|-|---⌫|-----|
Espéeçaindrecom me tesautres	-----|-------|---⌫-|--|-----|
Etg rantm aisniericeme ntco nreer	-|-⌫---|-⌫-----|------⌫-|--⌫----|
Leg onfanonlem per eourport e r	-|-⌫------||--⌫---⌫---|----⌫-⌫|
Sifi sttes pére	-|--⌫-|--|----|
ettoust espare ntés .	-|---|-⌫-|----⌫-----⌫|
De lad o lo ur quedemenoit li pére	-|-|-⌫-⌫--⌫-|--|-------|-|----|
Grans fulanoisesil entro i	----|-|-|----|-||-----⌫|
Lauint corantcomme femederuée	-|---|-----|----|---|------|
Batantse s p al mes corante scau elée.	-----|--⌫|-⌫--⌫--|-----|-⌫----⌫-----|
sonfil ater re	--|--||---⌫-|
ciet pasme ́e.	---|-----⌫--|
Quidon tle uit so n	--|---⌫|-|--|--⌫|
grantdueldemener	----|---|------|
Son pis debat reets onco r sdegeter	--|--|-----⌫-|-|-⌫-|--⌫-⌫|------|
Sescrins derompresonuisdesmaiseler	--|----|-------|--|--|----------|
Etson m ortf i ldetraireet acoler	-|--|-⌫--|-⌫-⌫|-------|-|-----|
lestue ceplourer .	|-----⌫-|-------⌫|
Desrontse s	------|--⌫|
crinssidebats a	----|-|----|-⌫|
Agrantduel met	|----|---|--|
lasoiecar meisme	-|---|--|-----|
Efie x distelecommeus	|---⌫|---|--|--||--|
Etioucai t iueco mpar s uiauulie	-|--|---⌫-⌫--|--⌫|--|-⌫-|-----|
Nelreco unu ionques	-||----⌫---⌫|-----|
tant leu eisse.	---|-|-⌫-----|
Pleure des oelssi escr iea hauscris	-----|--|---|-|----⌫-||---|---|
Puis se regreteMa rte p ortaibiaus fils .	---|-|------|--⌫|-|-⌫----|----|----⌫|
tamé recomnen eus	-|---⌫-|--||-|--|
Pourtoi ueird esiroie a mori r	---|--|---|-⌫------||----⌫|
Çoufum erue l lequepitiés	---|-|-⌫----⌫-⌫-|--|------|
netempris t .	-||-|----⌫-⌫|
Fils A les sins delatoie cart enre	---|-⌫---⌫---|-|-|---|--|-⌫---|
Pa geu01P256	--⌫--------|
[Aqueldolouras	-|---|-----|-|
de duit ta iouente	--⌫---|-|------|
Pour quoi mfuisiat p ortaienmon	---|---||---|-||-⌫----|-|--|
Et D iusleset	-|-⌫--|-|--|
quet otesuid o lente	--|-⌫--|--|-⌫-⌫----|
nierliéep ou rhomene pour	|--|----|-⌫--⌫|---|-|---|
Fil s Alessismo uteusdurcor age]	---⌫|------|--⌫-|--|--|---⌫---|
Siado sastouttongentillignaige	-|---⌫--|---|--|-----|-------|
Seunefois a moiseu le parlasses	-|--|---||--|---⌫-|--------|
Talasseméresilereconfortasses	-|----|----|-|-|-------------|
Quist sidolantebiausfiels bu er	--|-|-|------|----|----|--⌫-|
ialasses .	|-------⌫|
E lassem é re	|----|-⌫--⌫-|
commefortauenture	----|---|-------|
Q ue ciuoimorteto utemanoureture	-⌫-|-|--|----|--⌫--|-|--------|
Malongeatente	-|----|-----|
a quel due lmestuenue	|---|---⌫||--|----|
Q ueporraifaire dolan tecréat ure	-⌫-|-----|----|-----⌫-|------⌫--|
[C epois emoiqu elimiens corstan tdur e.]	--⌫|----⌫|--|--⌫|-|----|---|---⌫|---⌫--|
Ainsqu eteusseenfuisidesi rouse	---|--⌫||----|-|--|-|----⌫----|
Q uanttu fune ́sse n f uiissiioiose	-⌫---|-|-|--⌫-||-⌫|-⌫-|---|-----|
Çoupoisemoike	---|----|--|-|
mafins tantdemo re.	-|---|---|----⌫--|
SignordeRomep our l amorDiumerci.	-----|-|---|-⌫--||---|--|-----|
A id iésma pl aindre	-⌫--⌫---|||--⌫-----|
ledu elde m onami.	-|--⌫-|-|-⌫-|---|
Gra nsestl idelsqui	---⌫-|--|-⌫|---|--|
sor moiestuertis.	--|--|--|------|
ta ntfaire q uem on	--⌫-|----|-⌫-|-⌫-|
cueren sasi	---|-|---|
Ilnestme ruel lena imaisfillenef il.	-||--|--⌫----⌫-||-⌫|---|----|-|-⌫--|
Entrele dueldel	----|-|---|--|
péreetdele	----|-|-|-|
uintla pucele qu iil otespousée	---|-|-----|--⌫|-|-|--------|
laissaen lamaisonsonpére	-----|-|-|-----|--|----|
Sire distele com longedemo urée	---|---|--|--|----|----⌫----|
Atendu t a i enlamai son to n	-----||-⌫|-|-|---⌫--|--⌫|
Tumilaissas do l ante ete sgarée.	-|||------|--⌫-⌫---|-|-⌫-------|
Sire Al essi s	---|--⌫----⌫|
a ides ir é	-⌫|---⌫--⌫-|
Ett ant es	-|-⌫---⌫-|
larm espourleti encorsplouré.	----⌫-|---|-|--⌫-|---|-------|
Ettot pou rbienetnienttoutpourel.	-|--|---⌫|---|-|----|---|---|--|
P ageu01P257	-⌫---------|
SireA lessinsdeta	---|-⌫------|-|-|
iouuen tebele	------⌫-|---|
Consui dolante qu anttoi porrira terre	--|--|------|--⌫--|--|------|----|
E gentiexhomsidolantepui sestre	|------|--|-|------|---⌫|----|
I ouatendoied etoi bones	-⌫-|-------|-⌫|--|----|
Et or lesuoido l erousesetpemes.	-|-|--|--|--⌫-⌫------|-|-----|
Se teseuss eçadefors le degré	-|-|-----⌫|--|-----|-|-----|
Uasgeud elong eenfremeté	|-|--|-⌫|----⌫|---------|
nemenpeusttourner	-||-|----|------|
Quensambletoi n emeste ustposer.	-|-------|--|-⌫||----⌫--|-----|
Orp arsuiueu e	-|-⌫-|--|---⌫|
siredi stlapuce le	---|--⌫-|-|----⌫-|
Ia mais leecena raic arn epuetestre	--⌫---|----||-⌫--|-⌫-|-⌫|---|----|
N aca rn elhoume n arai	||--⌫--⌫-|----||---|
iam aisafaire.	---⌫--||-----|
[Diu seruiraileroiquitoutgouerne	---|-------|-|--|--|---|------|
Nem efaura siluoi t	-|-⌫|----||-|---⌫|
k e ioule serue.	-⌫|--|-|-----|
Tanti plourérent	---||----------|
e tlipér e etlimére	-⌫|-|----⌫|-|-|----|
Etlapuceleq u etrestout	-|-|-----|-⌫-⌫|-------|
s ilas sérent.	||---⌫-------|
Endementierslesai nt corsc on reérent	-----------|-|---⌫-|---|-⌫--⌫-------|
[Totci lseinoret	---|--⌫|-----|-|
bellacoust umérent	--||------⌫-------|
Felix to t cilqui	----|--⌫|--|--|
p arfoilhoner érent]	-⌫-|--||-----⌫------|
Signourquef ait es	------|--|-⌫---⌫-|
çoudistli	---|---|-|
a postoles	-⌫-------|
Queu ousaiuecildeu sn eci ste	--|-⌫--|---|--|---⌫|-⌫|--⌫--|
[Qui quesoitdoelsa nostreoe sest-il	---|--|---|----||-----|--⌫|-----|
Car parcelui aron sboineuictore.	--|--|----|----⌫|----|-------|
Trestoutle prendent quipo rrentauenir	-------|-|-------|--|--⌫----|-----|
Cantantemportentle cor s	------|--------|-|---⌫|
sain tAlessin .	----⌫|-------⌫|
Nestuetsemonr ecels	|-----|------⌫|---|
qu i lorentoi.	--⌫||----|--|
Toutiacorent	---||------|
etlie nfantpetit	-|-|-⌫----|----|
Et tout li prientquedaustous	-|---|-|-----|--||--|---|
ait merci.	--|-----|
Sisenesmu rent toutela gens	-||-|----⌫---|----|-|---|
Plustost i u ientqui	---|---||-⌫---|--|
plustost i pu et	---|---||--⌫-|
Parmicesruesenuinr entsigr ansroutes	----|--|---|-|----⌫--|-|--⌫--|-----|
Nequensne rois ni	-|----|-|---|||
puetfaireenterotes	---|----|--------|
N ecelsa int	-⌫|--|--⌫--|
puent po rterout re.	----|--⌫---|---⌫--|
Pageu01P258	----------|
E ntr els emp ri s ent	-⌫--|--|-|-⌫--⌫-⌫--|
Granse stla pres sen ousniporrons passer	----|-⌫-|-|----⌫-|-⌫--|||------|-----|
Pourcels aintco rsqueDiex	---|--|-⌫---|--⌫-|--|---|
nousa presté	---||------|
Liésestlipules q ui	----|--|-|----|-⌫-|
tant lad es iré	---|||-⌫--⌫---|
T anten iuienent com ne sen	-⌫--|-||------||-|--⌫|-|
puettorner .	---|------⌫|
Respondentcil quile regne baillissent	---------|--|--|-|----|----------|
E stéss igno r	-⌫----|-⌫----⌫|
nouse nquer onsmec i ne	---|-⌫|----⌫--|---⌫-⌫-|
Denosauoir sfaisons	-|--|-----⌫|------|
gr ansdeparties	--⌫--|--------|
La gentme nue q uilaumosnedesirent	-|---|--⌫--|-⌫-||------|-------|
S or nousfontpresse	|-|---|---|-----|
sieniermes deliur e.	-|-|-----|------⌫-|
Delorau oirpr i sentloretl	-|--|--⌫--|--⌫-⌫---||-|-||
Silo n tge te ́deuan tle	-||-⌫-⌫|--⌫--⌫|-----⌫|-|
Pourçou q uidiérentauoirdescombrement.	---|---|-⌫---------|----|-------------|
Que l oraiue ilnen ue ulentni ent	--|-⌫-|---|-||-|--⌫----|--⌫--|
A celsaint	|--|----|
corsonttor nélortalent.	---|--|---⌫--|--|------|
A uneuoiscrientla ge nsmen ue	|--|---|-----|-|--⌫-|---⌫-|
Decestau oircertesnauonsnouscure	-|---|--⌫--|-----||----|---|---|
Mais del s ain t corsqueilnousface	---|--|-⌫---⌫|---|--|-|---|---|
c eluinousiertuierendue.	-⌫---|---|---|--|------|
Soursn au ulésn e contrais n elepreus	----||--⌫----|-⌫|-------|-⌫|------|
Necrestiens qu itantsoit languereus	-|--------|--⌫|---|---|---------|
E nsorquetoutnushompalasine x	-⌫------|---|--|--|--------⌫|
i uintquinalas tmalendos	|---|--||----⌫|-------|
Nenusn iuient quireportsadolou r.	-|--|||----|--|-----|-|-----⌫-|
N i uientenfer sdeceleenf remet é	||----|-----⌫|-|---|---⌫-----⌫-|
Ace l saintcorsl ues ne so it rasene ́s	|--⌫|----|---|-⌫--|-|--⌫-|------⌫-|
Auquant iu ienen t	------||-⌫-----⌫|
auquantsifont porter.	------|||---|------|
Siuraieespesse loraDiusde moustre ́	-|----|------|--||---|--⌫-------⌫|
Qui uie ntplorantcantantl	--|---⌫-|------|------||
en faitaler.	-|---|----|
sig nourq ui leregnegouuernent	---⌫---|-⌫-|-|----|---------|
enuirentlesuertuss iap ertes	-|-----|--|-----|-⌫|--⌫----|
Alquant le prendentetli auquantleseruent	------|-|-------|-|-|------|-|------|
Auq u esparpr oi	---⌫-⌫-|--|--⌫-|
et auquesparpoeste	-|-----|--|-----|
Pageu01P259	----------|
Passen tauantsidesrompen tla pres se.	------⌫|----|-|---------⌫|-|----⌫--|
1305SainsBonifiaces	---|----|---------|
queonmartir e apele	--|-|------⌫|----|
Auoit enR oume uneeg lise moutbele	----|-|-⌫---|--|--⌫---|---|---|
Illuecportérent saint	-----|---------|----|
Aless in acertes.	-----⌫-|-------|
LagentdeRo umequ itantl	-|---|-|--⌫--|--⌫|---||
ont desiré	--|------|
Se tiours le tinrent	--⌫|----|-|------|
sor t er reapoesté.	--|-⌫--⌫-||-------|
lafeste nel	-|----|-||
e st uetdemander.	-⌫--⌫--|--------|
Detout e sp arslo nt siauirouné	-|----⌫-⌫|-⌫--||-⌫-|-|--------|
Souscielnah omequi i p uisthab iter.	---|---|||-⌫--|--||-⌫---|---⌫----|
El setmeiourfu fait e saherbege	-|----|---|-|----⌫|-|------|
saintcors alagemme	----|---||-|----|
celes tre.	-----⌫---|
