#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
Par milechasteletalée	---⌫-|-|------|-|----|
QueClarmondineertretrouué e	--|----------|--|---------⌫|
Et queci lC l éomadèsfu	-|--|--⌫|-⌫-⌫--------|-|
QuiauoitS artanabatu	--|----|-⌫----|----|
P ageu02P 158	-⌫-------⌫--|
Et Durban lors eig nor conquis.	-|-----|--|-⌫---⌫--|-------|
Partoutf uchascunses i ois	------|-⌫|-------|--⌫-⌫--|
De cesnouuelescar plaisans	-|--|-------|--|-------|
Estoient etm o ul t auenans.	-------|-|-⌫-⌫--⌫|-------|
Dep a r Cl éomadèserrant	-|-⌫-⌫|--⌫--------|-----|
Salu alafenme Durbant	----⌫|-|----|------|
P inchonn ès pas	-⌫-------⌫--|--|
n eloublia	-⌫||-----|
CarCléomadès lenpria	--|----------||-|---|
fenmeSart anaussi	----|----⌫-|----|
Et lo rconpai gnie autre ssi	-|--⌫|------⌫---|-----⌫--|
L i priamoultde	-⌫|---|----|-|
Moult durementle	----|-------|-|
mercierent	---------|
Souuentesfois pou r luiprierent.	--------|---|---⌫|--|--------|
Seie de uiseruousuouloie	-|-|--⌫----|---|------|
De ch ascuntrestoute	-|--⌫----|--------|
Qu eil pourles nouue l esorent	--⌫|-|---|--|-----⌫-⌫-|----|
Qu antlacert aine téen soren t	--⌫--|-|----⌫----⌫--|-|-----⌫|
Trop meseroitpesantetgrief	---|-|-----|-----|-|----|
Ienenuenroie	-||-|------|
ma isà chief.	--⌫-|-|-----|
Cl éomadèsrequis	--⌫--------|-----|
D urbanset Sartans	-⌫-----|-|------|
sene fussent	-|-|------|
Les essoignesetlesgrietés	--|--------|-|--|-------|
Que Sartan soteüestés	--|------⌫|-|----|---|
K aincp uisnefude santé ne ̀s	|---|-⌫--|-|-|-|-----|--⌫-|
io us taC léomadès	--⌫--⌫-|-⌫---------|
N ainc pui s s e	|---|---⌫|-⌫|
ne pot si aidier	-|--|-|-----|
Queilpeu ̈stnes	--|-|---⌫--|--|
cheuauchier	----------|
Carandoi enpensé auoie n t	--|----|-------|-----⌫-⌫|
Que ensamble lerequerroient	--|-------|-|-----------|
Pie çaque	---⌫--|--|
Durbansmeu ̈fust	------|---⌫|---|
SeSa rtanatendun	-|--⌫---|-----||
Pageu0 2P159	------⌫----|
Desnouueles	--|-------|
Pin chonnetfurent	---⌫------|-----|
Lieet ioiantk estre le	--|-|-----||----|-|
Bienetbelfournison	---|-|--|-----|--|
P inehonnèsàlo id	-⌫---------|-|--⌫||
a rien oub lié	|---|---⌫---|
il lifu commandé.	-|-|-|---------|
Dela nouue lequot	-|-|-----⌫-|-|-|
F ist main tcu erli e[z]par laco ntrée	-⌫--|----⌫|--⌫-|--⌫---|--|-|--⌫-----|
terreleroiCa rm ant.	----|-|--|--⌫--⌫---|
Maisde cemetairaiàtant.	---|-|-|-|-----|-|----|
Sidi r ai conmentesplo ita	-|--⌫-⌫-|------|-----⌫--|
Cl éomade ̀ squantsen ala	--⌫-------⌫-⌫|----||-|--|
DeSalerneat out	-|------|--⌫--|
Clarmondine	----------|
ch eualquinefine	--⌫---|--|-|---|
D alertant	|---|---|
quilpla ist à celui	-|-|---⌫--|-|----|
manie rede lu i	-----⌫-|-|--⌫|
Mais que il soit	---|--|-|---|
Sa chiez q ue	--⌫----|-⌫-|
licheuaus erttez	-|------|--|--|
Qu eieleuousaidi tdeuant.	--⌫|-|-|---|-|--⌫|------|
Clé omadèsesploitat an t	----⌫------|-------|-⌫--⌫|
K esloigni e	|--------⌫|
ot Sa lernesi	-|--⌫----|-|
Queil li plotetab eli.	--|-|-|---|-|--⌫---|
Qu antde Salerne parti s fu	--⌫--|-|------|-----⌫|-|
apou atendu	|--|-----|
Quiln aitsoncheual	-|-||--|--|-----|
El premier	-|------|
ottrouu é	-|-----⌫-|
Où il faisoitbe le t plaisan t .	--|-|------|--⌫|-⌫|-------⌫-⌫|
Unefon tenelesour da nt	--|---⌫-----|----⌫--⌫-|
Trouuasouz Iarbree n Ip ré.	-----|---||----|-⌫||-⌫---|
Flouretesauoitgrantple nté	--------|----|----|---⌫---|
Elpré etamont et	-|---|-|----|-|
Lo rsaaual e ́soncheual	--⌫-||----⌫-⌫|--|-----|
costé lafontenele	-----|-|--------|
QuiClere e tsourdan t sor	--|----|-⌫|-------⌫|--|
Pageu02P160	----------|
Esto it.Moult i faisoitioli.	----⌫--|----||------|----|
Cléo mad èslà des cend i.	-----⌫---⌫--|--|---⌫----⌫-|
Car mou ltauoitgrantdesirr ie r	--|---⌫-|----|----|------⌫--⌫|
detr o p traueill ier	-|--⌫-⌫|--------⌫--|
Clar m ondinesei lpou ist	----⌫-⌫-----|-|-⌫|---⌫--|
Car mo ult uolentiersli	--|--⌫--|---------|-|
liuenistengré.	-|-----|-|----|
Deceauoitgra ntuolent é	-|-|----|---⌫-|------⌫-|
Sigrantqu ilne	-|----|-|-|-|
trèsloia lam our	----|----⌫|--⌫--|
onnepouoit penser	-|-|-----|-----|
Conmen tplusl oiaume ntamer	------⌫|---|-⌫------⌫-|---|
Pe ü stnus h omque ilfaisoit.	--⌫--⌫-|--|-⌫-|--|-|-------|
Et Clarmondineaussi estoit	-|----------|----|-----|
Po inteau cuerdun tout	--⌫---|-|---||-|---|
sifaitpoin t	-|---|----⌫|
Car tout enaussiloialpoint	--|---|-|----|----|----|
Am oi teleluicomillui.	--⌫--⌫|--|--|--|-|---|
Amoursleco mmandoit ains i.	-----|-|--⌫-------|----⌫-|
commant enfaisoient	------|-|--------|
qu e plusne	--⌫|---|-|
pou oie nt	---⌫---⌫-|
Aucomman td Amoursobéir	-|------⌫||-----|-----|
penoient de seruir	-------|-|-----|
Am ours sia moureus eme nt	--⌫---|-|-⌫-------⌫---⌫-|
lor seruiceengréprent	--|------|-|---|----|
C omdes I Iplus	-⌫-|--|-⌫|---|
loia us amans	----⌫-|----|
Quiain e fussentAmoursseruans.	--|---⌫|------|-----|-------|
Cléomade ̀sfu	---------⌫-|-|
Sou zl a rbr e etsi ot	---⌫||-⌫---⌫|-|-|-|
Clarmondinedoucheua let.	----------|--|-----⌫---|
Lésl afo ntaineoupraë let	---|-⌫|--⌫-----|-|-----⌫--|
Lenmen a etlors s is	|-----⌫|-|---|-⌫||
Moultuole ntiersl uns l	----|----⌫-----||--||
autre uire n t	----|----⌫-⌫|
C ar deloiala mours amoient.	-⌫-|-|----|-⌫---||-------|
D amoreu s iex	|------⌫|--|
seregardoient.	-|-----------|
Pageu02P161	----------|
Longuemente nsa mbleparl e rent	---------|-⌫---⌫---|----⌫-⌫---|
lautremoultraconterent	|----|----|----------|
De c ekauenuIor	-|-⌫||----|--|
DistCléoma dès	---|-------⌫---|
I aib ien dro it	|-|-⌫--|---⌫-|
T rès doucedamed obéir	-⌫---|----|---||-----|
u ouse tAmo u rscar desseruir	-⌫--|-⌫|---⌫-⌫-|--|--------|
NepuisiamaisseDie x me u oi e	-|---|-----|-|---⌫|-|-⌫--⌫|
Ceque p ourmoiquéistesuoie	-|--|-⌫--|--|--------|---|
Sidiuerse queuous qu éisets	-|------|--|---|--⌫------|
Quant uouslehors dou sen sfeïstes.	----|---|-|---|--|---⌫|--------|
auezloial esté	---|----|----|
Decuera uez mainte griet é	-|---|-⌫--|-----|-----⌫-|
Parlag rantloiauté eu ̈e	--|-|-⌫---|-------|--⌫-|
Kenuersmoiauezmaintenue.	|-----|--|---|---------|
O rlem e doins tDiexdesser ui r	-⌫|-|-⌫|-----⌫|---|------⌫--⌫|
Si uraiem entqueledesir.	-|------⌫--|--|-|-----|
EtCla rmo ndinel en me reie	-|---⌫---⌫----||-|--⌫---|
Con rnesageet bien	---⌫--|---|-|---|
ensaig nie	------⌫--|
Et lidistmoult	-|-|---|----|
courto isemen t	------⌫------⌫|
trés apenséeme nt	----|----------⌫-|
Si replusauez faitpourmo i	--⌫-|---|---|---|---|--⌫|
pour uousai nsil e cro i	---|---|--⌫--|-⌫|---⌫|
Qua nt uousmaue zuoulurequerre	---⌫-|---||---⌫|----|-------|
Entantp aysen	-|---|-⌫--|-|
ta nteterre.	--⌫--|-----|
Mainte p aine ma inte	-----|-⌫---|--⌫---|
Conmentmeüssiezretrou ée	------||-------|------⌫--|
Auezeüpour	---|--|---|
moisou uent	--|---⌫---|
Dont ieuou s m ercie forment.	---|-|---⌫|-⌫----|-------|
D eDieu uousso it	-⌫|---|---|--⌫-|
guerredonn é	----------⌫-|
Kenuers moia uezsiouur e ́.	|-----|--|-⌫--|-|----⌫-⌫-|
De des seruir toutmonuiuant	-|---⌫-----|---|--|-----|
Aidesir etuol entégrant.	-|----|-|---⌫----|-----|
ÀCléomadès moultplai soit	-|----------|----|----⌫---|
Pageu 02P162	-----⌫-----|
QueClarmon dine engre ́ prendoit	--|-------⌫---|-|---⌫|-------|
Deceque tantlauoit requise.	-|-|--|---||----|-------|
Mainte parolebien assise	-----|-----|---|-----|
Et beleetàpo intrec orde ́e	-|---|-|-|--⌫--|---⌫----⌫-|
F u daus deuslà en dro itmoustrée	-⌫||--|---|--|--⌫---⌫-|--------|
Ot enau splusquene	-|-|--⌫|---|--|-|
Nequedeuiser ne	-|--|------|-|
Ioiede cue renc eleuo ie	---|-|---⌫|-|-⌫--|--⌫-|
E stoitlormaistrescham bellens.	-⌫----|--|-------|----⌫-------|
Sachie zque An uis	------⌫|--|--⌫--|
neTorm ens	-|----⌫--|
leurconpaignie.	---|----------|
auoits igrantmais tr ie	----|-⌫|----|----⌫--⌫-|
K Anuis ne po uoittou rtrouuer	|----|-|--⌫---|---⌫|------|
Par quoiil peüst arre ster	--|---|-|-----|----⌫---|
N eTor mens .Etsiiclamoient	-⌫|---⌫----⌫|-|-||--------|
Droitpo urce quil i	----|--⌫-|-|-|-||
et iouretencor p lus.	-|---|-|----|-⌫---|
MaisIoieleurdis tque uenus	---|---|---|---⌫|--|----|
Ertenaus lirois de	--|-|--|-|---|-|
P arqu oineAnuisne Tristece	-⌫-|--⌫-|-|----|-|-------|
Ne Tormens en ausne pouo it	-|------|-|--|-|----⌫-|
Ailleurs alerles couue noit	-------|---|--|-----⌫---|
Kenau sor ent Ior oste lpris	|-|--⌫|--⌫--|--|----⌫|---|
Ded uisSola s	---⌫--|----⌫|
etIuset R is	-|--|-|-⌫-|
EtestAmours enausestable	-|--|-----|-|--|------|
to utce e st	--⌫-|-|-⌫-|
connestable.	-----------|
Querezuostrearrestan ee ail lo urs	-----|-----|--------⌫-|---⌫--⌫--|
Cine s erapl usuosseiours.	-|-|-⌫--|--⌫-|--|-------|
Sim alementm ede boutastes	-|-⌫------|-⌫|--⌫--------|
Quan tuous	----⌫|---|
en mon lieu	-|--|---|
sei ornastes	---⌫-------|
Queie nepouoietrouuer	--|-|-|-----|------|
mepo uissearreste r.	-|--⌫----|-------⌫-|
Trop iclamastesgrant	---||--------|----|
Dont nefeïstespasque sage.	---|-|-------|--|--|----|
Pageu02P163	----------|
Amoursm a enmondroit re mis.	-----|||-|--|----|--⌫---|
ai saisietpourpris.	-|----|-|--------|
Ieclaimlelieu par iretag e.	-|----|-|---|--|------⌫-|
maintenrezhostage	---------|------|
Tantquegiaie	---|--|||--|
Comgicuito rendroit auoir.	--|||---|-⌫-------|-----|
Anuis etTormenssepa r tirent	----|-|------|-|--⌫-⌫-----|
Decellieukap ertementuirent	-|--|---||--⌫-------|-----|
Q ueil enest oient b ani.	-⌫-|-|-|---⌫----|-⌫---|
Cléomadèssicomuousd i	----------|-|--|---|-⌫|
Sistso uz l arbrelèslaf ontaine .	---|--⌫-||----|---|-|-⌫-------⌫|
Decele moult seruir sepain e	-|---|----|-----|-|----⌫|
Q ueilaimedecuer entier .	-⌫-|-|---|-|---|------⌫|
Unpetitetla fist me ngier	-|------|-|---|--⌫----|
E t il auoequesli	-⌫|-|-------|-|
Cilmengiersmoult	--|-------|----|
De cuere taussi fistilli	-|---|-⌫|----|---|-|-|
De celmengie r biendepa rti.	-|--|------⌫|---|----⌫---|
Les entre m é sàd roitamours	--|-----⌫-⌫--⌫|-|-⌫---|-----|
Amorousrega rtetdouço urs	------|----⌫-|-|------⌫--|
Esto iente t plaisanceaussi	----⌫---|-⌫|--------|----|
Lientremé sque ieuousdi.	-|--------⌫|--|-|---|--|
As se z o ntm engiéetbeü.	--⌫--⌫|-⌫-|-⌫-----|-|----|
plotcequil o nteu ̈.	---|-|-|-|-⌫-|--⌫-|
Clarmondinelabele	----------|-|---|
Lès l arbresous lafontenele	---||----|---|-|--------|
Et distquelà sedorm iroit	-|---|--|--|-|----⌫----|
Ipetitcarlass éee stoit.	|----|--|----⌫--|-⌫-----|
EtCléomadè s ditlia	-|----------⌫|--|-||
Que so rsongiron	--|--⌫|--|----|
Et serep oseraassez.	-|-|---⌫----|-----|
Lorsest tantost	---|--|------|
aua ntpass ez.	---⌫-|----⌫--|
Souzlarbres	---||----||
Page u02 P16 4	----⌫---⌫---⌫|
Sorsongi ron moultdoucemen t.	--|--|--⌫--|----|--------⌫-|
ÀCl arm ond i neforment plot	-|--⌫---⌫---⌫-⌫-|------|---|
Lioreilliersqueleadontot.	-|---------|-|--|----|--|
Sormaint oreil lier	--|----|-----⌫---|
Mais nenotonques nuleü	---||-|-|-----|--|--|
li fustsi pl aisa ns	-|---|-|--⌫----⌫-|
Com cillifunemiexséans.	--|--|-|-|-|---|------|
La pucele lorssen dor mi	-|-----|---||--⌫---⌫-|
E tCle ́omadèslacouuri	-⌫|---⌫-------|-|-----|
Moulttrèsdoucementet mou ltbe l	----|----|--------|-|---⌫-|--⌫|
Dundescoronsdeson	|-|--|-----|-|--|
Ainsicomelese dormoit.	----|--|--|-|-------|
EtCléom adè sregardoi t	-|------⌫----⌫|--------⌫|
Àmeru eilles lagrantbiauté	-|----⌫-----|-|----|------|
bont el eauoitsi	---|--⌫|----|-|
grantplenté	----|------|
Qu eleplusauoirnenpouoit.	-|--|---|----||-|------|
Laroseformentse penoit	-|---|------|-|-----|
delis honn orer	-|--|----⌫---|
E n son très	-⌫|--|----|
douzuiair e c ler.	---|-----⌫|-⌫---|
Manoientce sflo ursp ar	-------|--⌫|---⌫--|-⌫-|
Si qu ilniot	-|-|-|||-|
point ded escor t	----|-|-⌫-----⌫|
Ni au oir pou oitd e sco rd ance	||--⌫--|---⌫--|-⌫-⌫---⌫--⌫---|
Tantestoient dune aco rdance.	---|-------||--|---⌫------|
L un edesflourst antlau treamo it	|--⌫|--|-----|-⌫--||--⌫--|---⌫-|
àlautrepartoit	-||----|------|
Tout ce qu	---|-|-|
eleauoità droit ure	--|----|-|-----⌫--|
Carconma ndé	--|-----⌫---|
Iorotnature	--|-|-----|
Queelescellieumiex	--|---|--|---|---|
Etkencellieu miexsacordassent	-||-|--|---|---||----------|
K en lieuoùai ne	|-|---|--|--⌫-|
e st éeüs sent	-⌫--⌫-|----⌫---|
iam aisaler	---⌫--|---|
deüssent .	---------⌫|
P ageu02P16 5	-⌫---------⌫|
Bi en auo illaro se. e tli lis	--⌫-|---⌫-|-|--⌫--|-⌫|-|--|
Fai tlec onmantetle deuis	---⌫|-|-⌫-----|-|-|----|
Q u enature lorauoit fait	-⌫-⌫|-----|--|----|---|
Sansoub lianceetsan s mesfai t.	---|---⌫-----|-|---⌫|------⌫-|
À C léomadès	-|-⌫---------|
tantplaisoit	---|-------|
La grant biauté k en li uéoit	-|----|------||-|-|-----|
Qu il n en au oit pouoir	-|-||-|--⌫--|-----|
Sesiexned aillours	--|--|-||-------|
Ne ilnenauoituolent é.	-|-||-|----|------⌫--|
Sio eil s ierent	-|-⌫--|||----|
Sip a rle co nmantdes oncuer	-|-⌫-⌫|-|--⌫----|-|-⌫-|---|
K ail lours	|---⌫----|
nepen s astà nulfu er .	-|---⌫-⌫--|-|--|--⌫--⌫|
Tantli er tplaisans la fa çon	---|-|--⌫|-------|-|--⌫---|
Dou f rontdou nésetdo u men to n	--|-⌫---|--|---|-|--⌫|---⌫--⌫|
Etdela gor g etepolie	-|-|-|---⌫-⌫--|----|
Plusb lancheque ne s tnoisne gie	---|-⌫-----|--||-⌫-⌫|---|--⌫--|
Etde la b oucheuer meillete	-|-|-|-⌫----|---⌫-------|
Plus q ue nesoiten ma y	---|-⌫-|-|---|-|--⌫|
Qui ne stpas	--||-⌫-|--|
toute parcreüe	----|--------|
Queadè sauoit	--|----⌫|----|
Tor néeuerssondouzuiaire.	---⌫---|---|--|---|------|
Ne uouss aroiepas	-|---|-⌫----|--|
Conm en tHardemensle prioit	----⌫--⌫|--------|-|-----|
Delibaisiermaisil nosoit.	-|-|------|---|-||-----|
Bien sifus tDesirsacor dés	---|||---⌫|-----|----⌫---|
Mais Raisonsli disoi t	---|------|-|-----⌫|
G ard ésqueuous	-⌫---⌫--|--|---|
n ela baisiez	-⌫|-|------|
Kesp oirAm our	|---⌫--|--⌫--|
corrou ceriez	------⌫-----|
Etons edoitmoult biengarder	-|-|-⌫|---|----|---|-----|
Desonb onseig nor tormenter.	-|--|-⌫-|----⌫--|---------|
EtAmours u ousar eten u	-|-----|-⌫--||-⌫----⌫|
etuoUsamaintenu	-|---||-------|
Page u02P166	----⌫------|
Encourtoi si e puiscedi	-|-------⌫--⌫|-------|
Queleuousretint	-|--|---|-----|
auoec l i.	----|-⌫-|
Amou rs feriezlarrecingran t	----⌫-|-----|-------|----⌫|
Seuo usla baisiezendo rm ant.	-|--⌫-|-|------|-|--⌫--⌫---|
LoiausAmours o nq ues na ma	-----|-----|-⌫--⌫--||-⌫-|
Larrecinne	-------|-|
ià nefera.	--|-|----|
Dis tHard emensuouslabais astes	---⌫|----⌫----|---|-|----⌫----|
L eprem ier i our q uela trouuastes	-⌫|----⌫--|-⌫--|-⌫-|-|---------|
À Ch astelN o bleparmonlo s.	-|--⌫----|-⌫-⌫--|--|--|--⌫-|
Parueri te ́tesmoi gniero s	--|----⌫--⌫|------⌫----|-⌫|
Queuouslab aisastes à	--|---|-|-⌫-------|-|
Di stRaisons carencor nestoi t	--⌫-|------|--|----||-----⌫|
D Amour saisisne retenu s	|----|-----|-|------⌫|
Parquoi il esto rplu sten us	--|---|-|--|-⌫|---⌫|---⌫-|
ÀAmou r squil	-|----⌫-⌫|-|-|
n estoitadont.	|-----|-----|
EtlorsHardemens lirespont	-|---|--------|-|------|
Que ià pourcene	--|--|---|-|-|
Carilpuis ced ilabaisa	--|-|----⌫---⌫|-|----|
otrete nuosoi.	-|----⌫-||---|
Cestech oseur aie ment	----|--⌫--|--⌫---⌫---|
FaitHardemenscariei	---|--------|--|-||
Souu entai est é auoeelui .	----⌫--|-|---⌫-|----|---⌫|
Parmoi mainte	--|--|-----|
cho s efaita	---⌫-⌫|----|
Ie nesai qui lor	-|-|--|-|-⌫|-|
Certes dist R aisonsbien	-----|---|-⌫-----|---|
Aussia il ouu répar	----||-|---⌫--|--|
Auismonconpaignon	---|--|---------|
Qui aincneli fistse	--|---|-|-|---|-|
b ien no n.	-⌫--|--⌫-|
Nousl iauons ualu	---|-⌫|----|---|
A us siauon s nous	-⌫--⌫-|----⌫|---|
m aintegent.	-⌫----|----|
uouses tessouu ent	---|--⌫--|----⌫--|
trophastiex.	---|-------|
Aussi u ra iement maïtDiex	----|-⌫--⌫-----||---|---|
K ainca ̀ fai reneli lo a i	|---|-⌫|---⌫-|-|-|--⌫-⌫|
Page u02P167	----⌫------|
Outragene ià neferai.	------|-|--|-|-----|
CekàC hastelN oblereu int	-||-|-⌫-----|-⌫---|---⌫--|
l abais aceauint	-⌫|----⌫|-|----|
Parmoiunemoultgrantpitie ́	--|--|--|----|----|-----⌫|
elp eüstesu e illié	-|-⌫----|---⌫-⌫-----|
Sicoiement	-|-------|
q uedunbaisier	-⌫-||-|------|
Car denois enauoit me s tier	--|-|----⌫||----|--⌫-⌫---|
Adontain s liert moultcontraire.	----|---⌫|-|--|----|---------|
macordai àce fa ir e.	|------|-|-|--⌫--⌫-|
N en corepasde linesto it	|--⌫---|--|-|-||----⌫-|
Sais issi quilest	----⌫-|-|-|-|--|
ore ndroit .	---⌫------⌫|
Et puisq ueile nest	-|---|-⌫-|-|-⌫|--|
Ensonc uer	-|--|-⌫--|
doitpenser tous dis	---|-----|---|--|
Co n mept Amour strèsloiaument	--⌫-⌫---|-----⌫|----|--------|
So itseruieamoreu sement	--⌫-|-----|------⌫-----|
Carquil o i au mentsert Amour s	--|--|-⌫-⌫-⌫--⌫---|---|-----⌫|
Ildoitgarderlonnour	-|---|-----||-----|
tou si ours	---⌫|-⌫---|
Dece lecuiilamera	-|--⌫-|--|-|----|
OuenuersAmoursfaussera	-|-----|-----|-------|
C ar Amour sueutestremenée	-⌫-|-----⌫|---|----|-----|
P a r Loy autéetgou uernée.	-⌫-⌫|---⌫----|-|---⌫-------|
dipasque s	-|--|--||
ele es toit	--|--⌫---|
Esueillieeti l liprioit	--------|-|-⌫|-|-----|
Dunbaisier amoreus loial	|-|------|------|----|
Eschieudefolieetde mal	------|-|----|-|-|--|
Plaindeu oloir	----|-|-⌫----|
etded esir	-|-|-⌫---|
De loiaumentAmourss eruir	-|--------|-----|-⌫----|
Que cis baisiers	--|--|-------|
nemep leu ̈ st	-|-|-⌫---⌫-⌫-|
S il aue n istqueai nsi fust.	|-|---⌫-⌫--|--|--⌫--|----|
Cléom ad èsconme courtois	------⌫--⌫--|----|-------|
D euersR ai sonàcele fois	-⌫----|-⌫--⌫--|-|---|---|
Setint.Courrouci ernel osa	-|----|---------⌫-|-||--|
MaisàDes irmo ul t	---|-|---⌫-|--⌫--⌫|
Auss if ist i l	----⌫|-⌫--|-⌫|
àHardeme nt .	-|-------⌫--⌫|
Maisplus enpesagrandemen t	---|---|-|---|---------⌫|
Pageu02P168	----------|
DesirkàHa rdementnefist	----||-|--⌫------|-|---|
Que Rai sons en telpointlemist	--|---⌫---|-|--|----|-|---|
Que il ne bai s a st lapucele	--|-|-|---⌫-⌫-⌫-|-|-----|
Car mo uli sambloitàDesir	--|--⌫--|-------|-|----|
Po urcebienloé li	--⌫-|-|---|---|-|
Àbaisierse Raisonpleü st.	-|------|-|-----|-----⌫--|
Hardemens plus	--------|---|
n e s enmella	-⌫||-|----|
Adont.M aisDesi rsbieniura	-----|-⌫--|----⌫-|---|---|
Quel cuerC léomadèsmanroit	-|-|---|-⌫---------|------|
Tantqueila c he uéaroi t	---|--|-|-⌫-⌫--⌫--|----⌫|
Partie delauolenté	-----|-|-|-------|
DontR aisonsl	---|-⌫-----||
aor ere sté.	|--⌫|--⌫----|
EtRaiso n s dist	-|-----⌫-⌫|---|
bie n liplai roit	---⌫|-|----⌫---|
Quan tta nset li euse tpoins sero it	----⌫|--⌫-|-|--⌫--|-⌫|----|----⌫-|
Et bie nen l air oit	-|---⌫|-|-⌫---⌫--|
Ha rdementet D es ir	--⌫------|-|-⌫--⌫-|
Mais a uoec enlaconpaignie	---|-⌫---|-|-|---------|
Sero itmaisn i uorroitMaistrie	----⌫-|---|||------|-------|
Mene r neel eneAuis.	----⌫|-|--⌫|-|----|
Maisauoeclui seronttousdis	---|----|--|-----|---|--|
Eleet A uiset Atem prance	--|-|-⌫--|-|----⌫-----|
Carno rril	--|--⌫--||
auoientdenfance.	------||-------|
Moult l amon s	----||----⌫|
etlauonsamé	-||----|---|
iou rsapa r nous ou uré	---⌫-||--⌫|---|--⌫---|
E tàtous iours	-⌫|-|---|----|
ma isl amer ons.	--⌫-||----⌫---|
Tout sonu i uant à lui ser ons.	---|--|-⌫-⌫---|-|--|---⌫---|
Ainsi fist Raisonsreman oir	----|---|------|-----⌫--|
ÀDesirriersondouzuoulo i r.	-|--------|--|---|-----⌫-⌫-|
b eleo ta ss ezd ormi	-⌫--|-⌫|-⌫--⌫-|-⌫---|
Lorsse sueill a etd i st Ai nmi	---||-⌫------⌫|-|-⌫-⌫-|--⌫--|
Bia u sdous am isoùestesuous	---⌫-⌫|---|--⌫-|--|----|---|
tr èsfin s cuersdous	--⌫--|---⌫|----|---|
Debonairesetafaitiez.	---------|-|--------|
De uo strerepossuim ou ltliez.	-|--⌫---|----|--|-⌫--⌫-|----|
Page u02P169	----⌫------|
Dormiaue z moult d o ucement.	----|---⌫|----|-⌫-⌫-------|
Aigedo rmi	-|-|--⌫--|
t roplonguemen t	-⌫--|---------⌫|
Faitele.uous	---|---|---|
Certe sdamoiseleneni l	-----⌫|--------|----⌫|
Faitilcar rionsnemeporroit	---|-|--|----|-|-|------|
Anuierpuisquil uousplairoit	-----|-----|-|---|-------|
nemeporro itplaire	-|-|-----⌫-|-----|
Quideriens	--|-|----|
uous deu ̈st desplaire.	---|---⌫--|---------|
S imeso it	-⌫|-|--⌫-|
EtClarmondine l enmercie	-|----------||-|-----|
Siconmepuceles achant	-|----|-----|-⌫-----|
Doitmercie r loialamant.	---|------⌫|----|-----|
Lorsl idistSir e	---|-⌫|---|---⌫|
ieuousp r i	-|---|-⌫-⌫|
Quenousnou s pa rto nmesde	--|---|---⌫|--⌫---⌫---|-|
Etha stéem entle	-|--⌫------⌫--|-|
Ie son ioie orec unsl yons	-|---⌫---|--||--|-⌫---|
Meuouloitu ousretolir .	-|------|-⌫--|-------⌫|
Lorsmesambla	---|-|-----|
queuousferir	--|---|----|
Lalasteset silo ceïs tes .	|------|-|-||-⌫-----⌫---⌫|
Lorsentreuo sbrasme	---|----|--⌫|---|-|
preïstes.	---------|
Si grantpao ureü a uo ie	-|----|---⌫-|--|-⌫--⌫-|
Queentreuos br asme pasmoie.	--|----|--|--⌫-|-|-------|
Pourmoig eterdepasmoison	---|--|-⌫---|-|--------|
Me baisastes	-|--------|
Ce me fu auisune fie.	-|-|-|---|--|---|
quece senefie.	--|-|-------|
DistClé omadès Se	---|----⌫------|-|
C esonge uousaueriroie	-⌫|----|---|--------|
S ilneuousdeuoit anuier.	|-|-|---|-----|------|
Siren enilainsuous re quier	---|-⌫---|---|---|--⌫----|
Quem en ditesla uer it é	--||-|----|-|---⌫--⌫-|
Decek en[aue z]auisé .	-|-||-|----⌫-|------⌫|
Page u02P17 0	----⌫------⌫|
Puisq uiluous plaistet	-----⌫|-|---|-----|-|
ie di r ai	-|--⌫-⌫-|
F ai tila cekauiséen ai.	-⌫--⌫|-||-||-----|-|--|
Orequantdormistes lemiex	--|----|--------|-|---|
Parsamblant	--|-------|
caruos trèsdousie x	--|--|----|---|--⌫|
Auiiéscluig niezdouceme nt	------|-----⌫---|-------⌫-|
Lorsme tintà	---|-|---|-|
grantparlement	----|--------|
De s irsqu i f orm entmelooit	--⌫-⌫--|--⌫|-⌫---⌫--|-|----|
uousabaisiermai s nepl aisoit	---|-------|---⌫|-|--⌫-----|
ÀRaisonqueielefei ̈sse.	-|-----|--|-|-|---⌫----|
uisliertquei e mesf eïsse	--|-|--|--|-⌫|----⌫-----|
