mesireno blelilion s	-|---|--⌫--|-|----⌫|
liparentrenartont	-|-----|-----|--|
grant hon t e	----|---⌫-⌫|
nobl en en ue ut	----⌫||-|--⌫-|
oirnul conte	--|--|----|
ainz conm andequele nlep ende	---|----⌫---|--|--⌫|-|-⌫---|
t ib ert l icha z lesyeus	-⌫--⌫--|-⌫|---⌫|--|---|
etroouneausle z p oi ns lil ie	-|--------|--⌫|-⌫--⌫-|-|-⌫-|
bienontrenartmis	---|--|-----|--|
dep aum ois on fure uenuz	-|-⌫---⌫---⌫-|-|--⌫----|
bienleiorpo rfo l t enuz	---|-|--|--⌫|--⌫|-⌫---|
lormainspeustpartir	--|----|----|-----|
iamai sn iroithome aatir	-----⌫||----|---|----|
tote la cortois siez bruire	---|-|---|---⌫---|-----|
ha stentpor	--⌫----|--|
lidestruire	-|--------|
renar t porsau ie ten cer	-----⌫|--|-|-⌫-|---⌫--|
lelessatcon fe sser	-|-----|---⌫--⌫---|
quaregehirlicouuient	-||------|-|-------|
tozlez pechiezdontil	--|--|------|---|-|
illi ont fai t	-|-|--|---⌫|
uenir be lin	----|--⌫--|
oli amain echanteclin	|-|-----⌫|---------|
r ena rtsefeta	-⌫---⌫-|-|--||
lico nfe z	-|--⌫---⌫|
liench er ge iasonfez	-|----⌫--⌫-|-|--|--|
s e lonclez pechiez qu	-⌫-⌫---|--|------|-|
il auersdieum effet	-||---|---|-⌫----|
si com oncon fessoit renar t	-|--|-|---⌫------|-----⌫|
atantesuousfrereber nart	----|-|---|----|---⌫---|
qui degrantmontie rtrepairiez	--|-|----|---|--⌫-|--------|
tro uu agrimbert quifu irez	---⌫--⌫|-------|--|-|---|
enquis li aetdemandé	-----|-||-|-------|
roislaconm andé	---|||----⌫----|
querenarfustmonttostpand uz	--|----|---|---|---|----⌫-|
por nulline fustdes fenduz	--|----|-|---|---⌫-----|
quantli freresotlapa role	----|-|-----|-|-|--⌫---|
montlipoi se	---|-|---⌫-|
se lenlafole	-|--||----|
il i ert degrantsai ntete plainz	-|-⌫--|-|----|---⌫----|-----|
ilne stoitnefousneuil ains	-||-⌫----|-|---|-|---⌫---|
enson cuera	-|--|---||
por legran tduelqu il aeu	--|-|----⌫|---|-|-||-|
que maineg rimbert li t esso ns	--|----|-⌫------|-|-⌫----⌫-|
lihericons	-|-------|
noblebone m ent	----|----⌫-⌫--|
la s aluém on t dou cement	||-⌫----|-⌫--⌫|---⌫-----|
liroissed resce en so nestant	-|---|-|-⌫----|-|--⌫|-----|
frere qui lainttant	----|-|-⌫|---|---|
iostelile fet	----|-|-|--|
li freres l iqueut	-|-----|-⌫|----|
que pordieuotroit si	--|--|---|-----|||
queren art sainetsaufli let	--|---⌫--|---|-|---|-|--|
racheta lefrere	------|-|----|
seigne urspor dieulede uez fai re	------⌫--|--|---|-|--⌫--|---⌫-|
nepue taleradieul egrant	-|---⌫|---||---|-⌫|----|
quine par donemaltalent	--|-|---⌫---|--------|
ite lconseillte weil l	---⌫|-------|-|----⌫|
q uetulessesrenart aler	-⌫-|-|-----|-----|---|
montdepr ialempereor	---|----⌫-||-------|
querenartlidoi nt paramor	--|-----|-|---⌫-|--|---|
pour ce fait ilsu i	---|-|---|-|--⌫|
par uous w eilln e	--|---|-⌫---|-⌫|
soit pe nduz	---|--⌫---|
ainco iz l essiezre nartaler	-----⌫-|-⌫-----|--⌫---|---|
deus le uouspuisseguerredonner	---|-|---|-----|-----------|
don nezlenousadieuseruir	---⌫--|-|---||---|-----|
qui selessa	--|-|----|
pornousmorir	--|---|----|
paramo rdieuse	--|---⌫|---|-|
lnousdonez	|---|----|
renartdetoiseta ff ichiez	-----|-|--|--|-⌫--⌫-----|
cuit fai remo ine	---|---⌫-|--⌫--|
en totlem onden arason per	-|--|-|-⌫---||--|--|--|
lifr ereditalempereor	-|--⌫--|--|||-------|
dieux ne ueut mo rt de pecheor	----|-|---|--⌫-|-|------|
maissoitconfesetsegart biens	---|---|-----|-|-|---|----|
doncs erassa us licre sti e ns	---|-⌫---|--⌫-|-|---⌫---⌫-⌫-|
sil e retretdeg ue rpillag e	|-||-----|-|-⌫--⌫-------⌫|
au mainselrepentage	-|----|-|--------|
noblesententquebienadit	-----|-----|--|---||--|
n e l u od ro it a uoirescondit	-⌫||-⌫--⌫--⌫-|-⌫---|-------|
derie nq u ilidemendast	-|---⌫|-⌫||-|--------|
ne qua faireleconmend ast	-|-||----|-|-------⌫--|
r enart li	-⌫----|-|
rendibonement	----|-------|
sanz nulautrearrestement	---|--|----|----------|
renartagité de prison	-----||----|-|-----|
frere enafaitensa maison	----|-||---|-|-|-----|
poi ssonslidonnent por	---⌫----|-|------|--|
bienledotrin erentdel ordre	---|-|------⌫----|-||----|
de drap samoinelontuestu	-|----⌫||----||--|----|
lefillapin t a in	-|---||---⌫-⌫-⌫-|
a inz laquinzaine fu	-⌫--|-|--------|-|
cilqui fusttan t	--|--|---|---⌫|
forment ma riz	------|--⌫--|
t ostfugari z etrespass ez	-⌫--|-|----⌫|-|-------⌫-|
p a rma in t mauuai s pas est	-⌫-⌫|--⌫--⌫|------⌫|--|--|
bienretientce	---|------|-|
quenlienseigne	-|-|-|-------|
nef aitpassemblantqu ilse faigne	-|-⌫--|--|-------|-|-|-|-----|
lezs ignesf aitde moniage	--|-⌫----|-⌫--|-|------|
montletienn en tl e	---|-|-----⌫--⌫|-⌫|
moineasage	----||---|
chieresttenuz etmontamez	----|--|----|-|---|---|
o restrenart frere clamez	-⌫|--|-----|----|-----|
montest ren ar td ebelseruise	---|--|---⌫--⌫|-⌫|--|------|
uolentier s uaita sainteeglise	---------⌫|---||-----|-----|
souuentlimembredesgelines	------|-|-----|--|------|
dontsotrungi erlezesc h ines	---|--|-----⌫-|--|---⌫-⌫---|
a poinetientest acions	|----|----|---⌫-----|
cars ouuenta e nten cions	--|-⌫-----||-⌫----⌫----|
bie nli sieent siuestement	---⌫|-|-----|-|--------|
mont seded ui tho n nestement	---|-|---⌫--⌫|--⌫-⌫--------|
sentent e enlordreprendre	|------⌫|-||----|------|
qu iln i a q u e	-|-||||-⌫-⌫|
zziorf u lame ssechantee	-|--|-⌫|-|--⌫--|------|
renar tde cuer lotesco utee	-----⌫|-|---||-|----⌫---|
toutderrainsisthorsdumoustier	---|-------|--|---|-|-------|
en sama intenoit zzsaut ier	-|-|--⌫-|-----|-|----⌫--|
y y chapons bienseuranez	-⌫|------|---|-------|
leur auoit	---|----|
qui auoitt iboutli	--|----|-⌫----|-|
uerseulzn est oi t n auernechiches	---|---||---⌫--⌫||---|-|------|
renartlezaaperceuz	-----|--||-------|
orserailbi endece uz	-|---|-|--⌫-|----⌫-|
seiln en fa itses	-|-||-|--⌫-|--|
gu a rno n sbr uire	--⌫-⌫---⌫-⌫|--⌫---|
bellement secu i de	--------|-|--⌫-⌫-|
faitil n em	---|-|-⌫||
ap artient	--⌫------|
cilquide charmangierseti ent	--|--|-|---|------|-|--⌫--|
naipas faitueu demangierchar	|-|--|---|--|-|------|---|
montle tendraia	---|-|------||
gr ante schar	--⌫--|-⌫----|
qui ceueu fa ire	--|-|--|--⌫--|
iesaibien qu	-|--|---|-|
estr e neporroit	----⌫|-|------|
de char n emeporroietenir	-|---|-⌫|-|------|----|
puiz enlieuu enir	---|-|---|-⌫---|
iemousterraiqu e	-|---------|--⌫|
i esaifaire	-⌫|--|----|
quiqua ndoieparler netaire	----|-⌫|---|-----|-|----|
leio rtrepa sseetl anuit uient	-|--⌫|-----⌫--|-|-⌫|---|----|
renart qui	-----|--|
deschapo nssouuient	--|-----⌫-|-------|
mettre enou bliance	-----|-|--⌫------|
tot trespas s eobedience	--|-------⌫-⌫|--------|
uientas ch apon ssilezd elesche	----|-|--⌫----⌫|-|--|-⌫------|
zzenmeniaau cuer l	-|-|----|-|---||
lez autres	--|-----|
yyamisaterre	-||--||----|
lendema in	|------⌫-|
lezu endra querre	--|-⌫----|-----|
couuertle z a	------|--⌫||
bi endeterrier	--⌫-|-|------|
a rrieresest ue nuz cochier	-⌫------|--|--⌫--|------|
n e sot n u l motdes onagait	-⌫|--|-⌫-⌫|--|-|-⌫-|----|
so nlarcinquotfa it	--⌫|-----|-|-|--⌫-|
parauenture	--|-------|
montretret	---|-----|
l en demain apres matines	|--⌫-----|----|------|
renartquitant	-----|--|---|
aimeg elines	---|-⌫-----|
dund es chaponsse restdinez	|-|-⌫-|------|-|---|----|
puizen le ncloistreestreto rnez	---|-||-⌫--------|--|----⌫---|
le tierzm enia nulzn	-|----|-⌫---|---||
auyy m en gierilecpassot	-|-|-⌫--⌫---|---|-----|
zzfr eres q uibienl	-|--⌫---|-⌫-|---||
ape rco it	---⌫---⌫-|
querenartle rousledecoit	--|-----|-|---|-|-----|
quantraconté fuel cou uent	----|-------|-|-|---⌫---|
mon ten otrenart	---⌫|-|-|-----|
bla smegrant	---⌫--|----|
renartleurenueut droit offrir	-----|---|-|---|----|-----|
frereb ernart	----|-⌫-----|
ne l u ot souffrir	-||-⌫-|-------|
ia rauoit m engiézzcorbel	-|-----|-⌫-----|-|-----|
quil auoientenleurpr ael	-|-|------|-|---|--⌫--|
larrecins l orauoitfait	--------|-⌫-|----|---|
b ienuoi t ce quilameffet	-⌫--|---⌫|-|-|-||-----|
ar enartonttolule zdr as	|-⌫----|--|---|--⌫|--⌫-|
congiel idonent	-----|-⌫|-----|
tozfu g ras	--|-|-⌫--|
ne dem andoitautrel ora ins	-|---⌫-----|----|-⌫---⌫--|
maisqueforsfeustdelormains	---|--|---|----|-|--|----|
amer ueil le sli ez senfeso it	|---⌫----⌫--⌫|--⌫-||-|----⌫-|
totlechem in	--|-|----⌫-|
encornuieray sengri n	----|-----|-⌫------⌫|
t ot seulsenua	-⌫-|---||-|-|
nulne l c onuoie	--|-||-⌫-----|
montmenaca sesanemiz	---|-----|--|-----|
parcui ilfu en poinemiz	--|--|-|-|-|----|--|
sateste i ure cou r onee	-|----|-⌫--|---⌫-⌫---|
qu e i asiren iert pardonnee	--⌫|-⌫||--||---|--------|
ays engrinneatibe rt	|--⌫-----|-||----⌫-|
tantmalsofert	---|--|-----|
roouneausyerten une	--------|---|-|--|
deloings leuo it for ments esmaie	-|-----|-|--⌫-|---⌫---||-----|
siescr ie ueez le re ndu	-|----⌫-|---|-|--⌫--|
quedeu ionauoirpendu	--|---⌫--|----|----|
cilnatalentde r am posner	--|||-----|-|-⌫--⌫-----|
formentsaqueuta trestorne r	------||-----||---------⌫|
tantquiluintens a te sniere	-----|-|---|-|-⌫|--⌫-----|
ouil trouuasa fame chiere	-|-|-----|-|---|-----|
quantelleleuit	----|---|-|--|
grant ioieena	----|---|-||
ensonc uer	-|--|-⌫--|
montseell esca	---|-|---⌫---|
carmont auoi t grant duele u	--|---|----⌫|----|---|-⌫|
deysengrinq ui	-|-------|-⌫-|
sif illenon tioiemontgrant	-|-⌫--|-|--⌫|---|---|----|
pe reuoi e ntdeuan t	--⌫-|---⌫-⌫-|-----⌫|
quant sainleuoient	----|---|-|-----|
nu lzn elzporroit mais	--⌫-||--|------|---|
corr ocier	----⌫----|
montfubien acesmezli	---|-|---|------|-|
re nartquifuresconmeprestres	--⌫---|--|-|--|----|-------|
otmon tgranttalentdemengier	-|---⌫|----|-----|-|------|
leueconmenca a huc hier	|--|-------||---⌫---|
tota portee	--|-⌫-----|
sifi llontlatablep osee	-|--⌫-|--|-|----|-⌫---|
a g rant planteson tuia ndes	|-⌫---|------|--⌫|---⌫---|
rasetsourise t piaus d	--|-|-----|-⌫|----||
ladame zataintlezbot eriaus	-|----⌫|-----|--|---⌫-----|
ren art lorcr oistfor ment lor piaus	---⌫--|--|--⌫---|---⌫---|--|----|
reinesuota	-----||-||
chiseh art	------⌫--|
quorent prisez le s fieu srenart	-|----|-----|--⌫|----⌫|-----|
etbonspastez ore nt d anguiles	-|---|-----|---⌫-||-------|
sauezco nmen t	----|--⌫----⌫|
il fur entpri se s	-|---⌫--|---⌫--⌫|
zz hai ron uenoitde	-|---⌫--|-----|-|
quis assitde seurleur tesni er e	--||----|--⌫---|---|-----⌫--⌫|
l anguilled u	|-------|-⌫|
ethermelinel asaisi	-|--------|-⌫|----|
sil escorchas enf istpastez	-||-------||-|-⌫--|-----|
dantren ar tlenamontloez	---|---⌫--⌫||-||---|---|
auderrain ma is	-|------|--⌫-|
orent limas	----|----|
quifurentmengez ausa bras	--|-----|-----|-|--⌫---|
renartmenia au ezsa fam e	-----|----|--⌫-|-|---⌫|
quantotmengié	----|-|------|
si l i d itdam e	-|-⌫|-⌫-|---⌫|
mont ailon ct em psreclusesté	---|-|---⌫|-⌫--⌫-|-----|----|
enlabaiecor oné	-||----|---⌫---|
gue rpilai del tot en	---⌫--||-|--|--|-|
dyabl eyso itquanteni fot	-----⌫||--⌫-|----|-||--|
estoucorpsranclé	--|-|----|------|
a paineen serai	|----|-|----|
maiss ane ́	---|-⌫---⌫|
dam eilcouuie nt	---⌫|-|------⌫-|
q ueieuous	-⌫-|-|---|
m oines aientla	-⌫----|----|-|
maleg oute	---|-⌫---|
p risepar lestrumel	-⌫---|--|--|-----|
descouslidone	--|---|-|---|
bienlidonaacele chaude	---|-|---||---|-----|
du uitetdelacoulle	-|--|-|-|-|-----|
lezill ers li fistes cumer	--|---⌫--|-|---|--⌫----|
aussi comgeuledesang lie r	----|--|----|-|----⌫---⌫|
quant otfoutus idescendi	----|-|----|-⌫|-------|
huimais n elcorbast	------|-⌫||------|
par de rrie r elapelal ast	--|--⌫----⌫-⌫|-|--|--⌫--|
s ilneu ouloitboiure	|-|-|-⌫-----|-----|
de lcul liissoit montfor uent	--⌫|--|-|-----|---|--|---|
quantil auoit estroit co rbe e	----|-|----|------|--⌫---⌫|
tote leschinel	---||------||
adeslochee	|--------|
si feraid amed ist	-|----|-⌫--|-⌫--|
si en buura chascunssapart	-|-|----|-------|-|---|
