pourlanoble ch eualerie	---|-|----|--⌫-------|
bri e ment	---⌫-⌫---|
poruo testament	--|-|--------|
d enossainsperesquiia	-⌫|--|----|----|--|-|
si pro domeque ilmorurent	-|---⌫---|--|-|-------|
sai ntefoiqu	---⌫--|--|-|
anos trepeuledepiechea	|---⌫--|----|-|-----||
siuosramembré sdeloroueures	-|--|---------⌫|-|--|------|
com entauiord ui ont	---⌫--|-|--||-|--|
te u proue ues	--⌫|-----⌫--|
lauo ns puis	|---⌫-|---|
uosdique renomé	--|-|--|------|
iertuost refaismesatos	---|----⌫-|---|--||--|
enloengeeten	-|-----|-|-|
g rans ualors	-⌫---|-----|
abrahamsico m uos	------|-|--⌫|--|
fudediuiadis	-|-|--|----|
mouttenpt e ́s	---|-----⌫-⌫-|
de sonfilisaac qu il	-|--|--|----|-|-|
pl us que raison selimostra	--⌫-|--|-----|-|-|-----|
i len feis tsac refisse	-⌫|-|----⌫|---⌫------|
apre sdeiose phuosdeuisse	----⌫|-|----⌫-|--|------|
qu enlangoi sseq ue	-|-||-----⌫--|-⌫-|
le comantdediu si	-|-----|-|--|-|
etporcou fusiredegip te	-|--|--|-|---||----⌫-|
f ineesneuoltie s tre c uite	-⌫----|-|---|--⌫-⌫--|-⌫---|
quilne doutast diuet	-|-|-|------|--|-|
etama des ip ar faitnon	-|--|-|-⌫|-⌫--⌫---|--|
ihes us porcouq uilaco mpli	----⌫-|--|--|-⌫|-|---⌫---|
laparoledeson ami	-|-----|-|--|--|
dameldi u qui esttospoissans	-------⌫|--|--|----------|
disrael que biene st seu	|-----|--|---|-⌫-|--|
enlistoireo uraileu	-||------|-⌫|--|--|
galle hporcou queil p orta	-----⌫|--|--|--|-|-⌫---|
letiestimoi nerecoura	-|---------⌫-|------|
s eniretae ns e	|-|----|-⌫-||
da uid dont	--⌫--|---|
apre suos deu ise	----⌫|--|---⌫--|
quilf u miser ico rs	-|-|-⌫|-----⌫---⌫-|
conquistpar lese ns de soncors	-------|--|-|--⌫-|-|--|---|
sonregne ens i	--|----|---⌫|
com nos trou on	--|--|----⌫-|
he liaspor	--⌫---|--|
qu ilauoitason	-|-|----||--|
furaui s ensel chiel amont	-|----⌫|--|-|----|----|
ananias dontieuos con t	------|---|-|--|---⌫|
azaria s etmysael	------⌫|-|-----|
quilcrut en ma nuel	-|-|---|--⌫--⌫---|
furent deliurémaint e nant	-----|-------|-----⌫-⌫---|
doufu de la fornai se ardant	--|-|-|-|------⌫-|-----|
danielpo ursagrantsimp le ce	-----|--⌫-|-|----|----⌫--⌫-|
sifudeliuréssa ns des tre c he	-|-|--------|--⌫-|---⌫---⌫-⌫-|
delafamine	-|-|-----|
ausi mifiluosdedui sons	---|-|--|--|-----⌫---|
q uenuosuosdeuésp orp en ser	-⌫|-|--|--|-----|-⌫---⌫--⌫--|
etens uoscuer saregarder	-|--|--|----⌫|--------|
lueur e deu osa nciiens	|----⌫|-|-⌫-|-⌫------|
quecilquiontcran cescleres	--|--|--|--|----⌫--|-----|
en damelediu etensonnon	-|--------|-|-|--|--|
nep uentap ierdi sion	-|-⌫---||-⌫-----⌫---|
uenirnescomfisent icil	----|--|--|-----|---|
paourdeper il	----|-|---⌫-|
p orces chaitisp uanspaiiens	-⌫-|--|------|-⌫---|------|
car lor gloire ie rtcome f iens	--|--|-----|--⌫-|---|-⌫---|
o unientautrecome	-⌫|----|----|---|
huile sue rrésfelet c uue rs	--|--⌫|--⌫----|--|-|-⌫---⌫-|
demainnentrouerésnesun	-----||-|--------|--|-|
car il retornent	--|-|--------|
en lorte rreet en lo rpaiis	-|--|--⌫--|-|-|--⌫|----|
ouildemouront uraichaiti f	-|-|--------|---|------⌫|
carlalorcogitations	--|-|--|----------|
per issentcomnosbiensauons	---⌫-----|--|--|---|-----|
don t mibiel fil confortésu ous	---⌫|-|---|--|---------|-⌫--|
soiié s hardi pr euetuigrous	------⌫|----|--⌫-|-|------|
saciésgrans	------|----|
bie nsu os	---⌫-|-⌫-|
ueés cisy mon q u igrantse ns a	----|-|--⌫--|-⌫-⌫|----|--⌫-||
uostre fre recreés	-----|---⌫-|-----|
sines erés f olne	-|-|-⌫----|-⌫-|-|
ma isapens e ́	--⌫-|-----⌫-⌫|
aluisoi ent tuit	|--|---⌫--|---|
uorep aire	-|---⌫---|
etiluos sera tres bonpere	-|-|--|---|---|--|---|
iel sa i deuoirsil e c ompere	-||--⌫|-|---|-|-⌫|-⌫-----|
alaf oi squi conseilne croit	|-|-⌫--⌫|--|------|-|----|
etquid ecou croirerecroit	-|--|-⌫|--|-----|------|
souenti piertcese uent	-----||----|-|--⌫---|
cilqui enfo lconseil re maint	--|--|-|--⌫|------|--⌫----|
c ons ausn	-⌫---⌫--||
estpreusquin	--|----|--||
enboneclereourecreus	-|---|----|-|------|
s oitpar bienf aireenrecreant	-⌫--|--|---|-⌫---|-|-------|
depro d o meferm eetcreant	-|---⌫-⌫-⌫-|----⌫|-|-----|
carquibiencroitne rec roit mie	--|--|---|----|-|---⌫---|--|
enrecroire na sens	-|-------|||---|
pourcouuospriquere ceués	---|--|--|--|--|--⌫-----|
lec onseil que	-|-⌫-----|--|
uos iciu és	--|--|-⌫--|
desparolesqueuosaidit	--|------|--|--|-|--|
mibiel enf an te ncor uo us cit	-|---|---⌫--⌫|-⌫---|--⌫-|--|
que u o senten désenuiersmoi	--|-⌫-⌫|-----⌫---|------|--|
iudasie uosotr oi	----|-|--|---⌫-|
qu emerueilles	--⌫|---------|
estpreus et fors	--|----|-|---|
aii és tosuos c on fors	---⌫--|--|--|-⌫--⌫---|
ciliert p rinches des cheu aliers	--|---|-⌫------|--|----⌫-----|
caril e st	--|-|-⌫-|
sipois sansetfiers	-|----⌫---|-|----|
quilferalescrueus batailles	-|-|---|--|-----|--------|
ciltrai rahorsles	--|----⌫-|---|--|
grans entrail le s	----|-------⌫--⌫|
desprincesetdesdus	--|------|-|--|--|
co ntrese sco sn e durra	--⌫---|--⌫|--⌫|-⌫|----|
toutlefuirontpors a noblece	---|-|------|--|-⌫|------|
quantiluerralagra nt d estrece	----|-|----|-|---⌫-|-⌫------|
de sonpeulequ	-|--|----|-|
il t ens er a	-|-⌫---⌫--⌫|
laouil le srens	-|-|-|--⌫|---|
chierqu era	-------⌫--|
lesgrans p riessesetle sest o rs	--|----|-⌫------|-|--⌫|---⌫-⌫-|
pordiuuosp ri queu osl abor s	--|--|--|-⌫-|--|-⌫-|-⌫----⌫|
soientdeuengi eruo s amis	-----|-|-----⌫-|--⌫|---|
ont detrenciése tocis	--|----------|-⌫|---|
apresso iié s sor touteriens	----|--⌫----⌫|--|----|----|
ententiuque u osgardésbien	-------|--|-⌫-|------|---|
la uostre loym i biele nfant	-|-----|--|-⌫|---|-⌫----|
s ac iés q ueioumeuois	-⌫--⌫---|-⌫-|--|-|---|
pui s ouosdemorer	---⌫||--|------|
mainte nantm e st uetd euier	------⌫---||-⌫--⌫--|-⌫----|
mabeneiconuos	-|-------|--|
adiu uosco mancetu o s moi	|--|--|--⌫---|-|-⌫-⌫|--|
quan tisio t	----⌫|--|-⌫|
mathatia s	--------⌫|
parléetditeneslepas	-----|-|--|--------|
m orut ett re spassa	-⌫---|-|-⌫--⌫-----|
s ifillefirent noblement	-⌫|--|-|-----|--------|
entierer entre se samis	-------|----|--⌫|---|
e nmodin o uil	-⌫|----|-⌫|-|
l o rslo ntmis	-⌫-⌫-||-⌫-|--|
entresesancissorspro domes	----|--|--------|---⌫----|
loiausetpr eus sicom tr ouomes	-----|-|--⌫--|-|--|--⌫-----|
qu e gra ntduelfisentetgrantcr i	--⌫|---⌫-|---|-----|-|----|--⌫|
ci l d isr ael do nt i eu osc r i	--⌫||---⌫--|--⌫-|-⌫|-⌫-|-⌫-⌫|
q ui ne plour ast	-⌫-|-|-----⌫--|
etmouttres grant	-|---|---|----|
duel nemenast	---|-|-----|
com cilq uideura icuerla merent	--|--|-⌫-|-|---⌫|---||-⌫-----|
por sabontequi l es proue re nt	--|-|----|-|-⌫|--⌫-----⌫--⌫-|
parpl uiso rs foissiconraconte	--|--⌫----⌫-|---|-|--|------|
quiplusa uantde l uineconte	--|---|-⌫---|-|-⌫-|-|----|
pour cequ epluis ouront	---|-|--⌫|-----⌫--|--|
aucunscontesdon tesio i	-----|-----|---⌫|----⌫|
ses on tala foisliuai llant	-|-⌫--⌫||-|---|-|---⌫----|
mal sou do iant	--|---⌫--⌫---|
nenfontfor sgab ere nmoc ois	|-|---|---⌫|---⌫-|-⌫|---⌫--|
neueilqu euossacié s	-|---|--⌫|--|------⌫|
pour cuimet raual	---|--|-|-⌫----|
etsos pene	-|---⌫---|
car tieu suiestb ien deua irepe ne	--|----⌫|----|-⌫--|-|--⌫--|--⌫-|
e t cheuaucea dorésl or a ins	-⌫|-------||-----|-⌫--⌫-⌫--|
quil auantieteroit lorains	-|-|----|-------||-|---|
fangequildonast mie	----|-|-|-----|--|
une maille	--|-----|
por corto isi e	--|-----⌫---⌫|
mosdir e nere tra ire	--|---⌫|-|--⌫---⌫--|
mai sp oriausneme uel retra ire	---⌫|-⌫-|---|-|-|--|-----⌫--|
q ueiened ieetface entend re	-⌫-|-|-|-⌫-|-|---|------⌫-|
a monsignorporcuii etendre	|--|-----|--|--|-⌫|-----|
ueila usouerainqui onquesfust	---|-⌫|-------|--|-----|---|
ne qui defiernequidefust	-|--|-|---|-|--|-|---|
dona st o nquescop	----⌫-|-⌫----|--|
d iuscomefu cele bue r	-⌫--|---|-|---|---⌫|
etcila u s i	-|--|-⌫-⌫-⌫|
quilengen dra	--||-----⌫--|
h adiusconci uallantgendre a	-⌫|---|--|-|------|-----||
dont onengendretelmatere	---|-|-------|--|-----|
parcoi lenpuet direquemere	--|--|--|---|---|--|---|
doitce ste iestre	---|--⌫--|-----|
