#META# TextURIP erc e u alKu	-----|------|-⌫---⌫-⌫-⌫---|
#META#DEA Fn od ata	-----|---⌫|-⌫--⌫--|
#M ETA#FEW	--⌫---|--|
#META#ARLIMAhttps/ / www .arlima .net/ad/chretien_de_troyes.html# g r a	-----|-----|------⌫-⌫---⌫-------⌫--------------------------------⌫-⌫-⌫|
#META#AuthorChrétiendeTr o yes	-----|-----|--------|-|--⌫-⌫--|
#META#AuthorBorn	-----|---------|
#ME TA#AuthorBornAmb	---⌫--|------------|
#ME TA#A uthorDied	---⌫--|-⌫--------|
#META#AuthorDie dA mb	-----|---------⌫--⌫-|
#ME TA# Aut horFl1	---⌫--|---⌫-----|
#META#AuthorFl2	-----|--------|
#META# TextTitlePerceual	-----|--------|-------|
#MET A# TextSubtit leLe	----⌫-|----------⌫-|-|
#M ETA# Textuols	--⌫---|-------|
#META# TextSub i rom an c e	-----|-------⌫|---⌫--⌫-⌫|
#M ETA# TextDomlit	--⌫---|------|--|
#M ETA#Tr a nslationf alse	--⌫---|--⌫-⌫-------|-⌫---|
#META#Collection	-----|---------|
#META#Colle ct ionNo	-----|-----⌫--⌫----|
# META#TextDescARL u e rsoctos yllabi ques à	-⌫----|----------|-⌫-⌫-|-----⌫------⌫---|-|
— Par foi fetmessire	|--|--|--|------|
cis tr etorne rsseroituilains.	---⌫|-⌫------⌫-|-----|-------|
(385b.6379)	----------|
Geneu ingp aspors eiorner	-|-|-⌫--|-⌫-|--|-⌫------|
lan le medeuroitatorner	|-|-|-|------|------|
atroplei d er ecrea ntise	|---|---⌫-⌫|-⌫-----⌫----|
geailauoiea npris e	-|-|-|---|-⌫-----⌫|
segede cimanretornoie.	-|-|-|-||-|---------|
Ieiraiçatan tq ue ge uoie	-|---|--|---⌫|-⌫-|-|---|
porcoiretornerannanpuet .	--|--|-------|-||-|----⌫|
bi en qu af erele stuet	--⌫-|-||-⌫--||-⌫----|
fet li ch eualiers	--|-|--⌫-------|
u osi iroizquantleu olez .	-⌫-||----|----|-|-⌫----⌫|
M es uolantiersu osp rieroie	-⌫-|---------|-⌫-|-⌫------|
s eauan tureuosauoie	-⌫|----⌫---|--|----|
conques cheua liersanul tan s	|-----|-----⌫----||--|---⌫|
nepotauoir sico n gepans	-|--|----|-|--⌫|-|---|
q ueseilauientporn ulpleit	-⌫-|-|-|-----|--|-⌫-|----|
queuos nea ltresne nus l eit	--|--|-|-⌫----|-|--||--|
queu osanr euaigniezpar	--|-⌫-|-|-⌫--------|--|
etuer roiz lauostre merci	-|---⌫---|-|-----|----|
sege seraioumorzou uis	-|-|----|-|---|-|--|
sera mialzo upis.	---|----|-⌫|---|
Segesuimorzparch a rité	-|-|--|---|--|--⌫-⌫----|
etpor laSainte Trinité	-|--|-|-----|-------|
pucel euos	-----⌫|--|
queuo saiez mer cideli	--|--⌫|---|---⌫-|-|-|
quele n aith on tenemese i se.	-|--||--|-⌫--⌫-|-|----⌫-⌫--|
fe reuos pleise	--⌫-|--|-----|
q ueDex nefistneneuolt feire	-⌫-|--|-|---|-|-|---|----|
plusfranchene	---|------|-|
plus debon eire	---|-----⌫---|
plus cortoisepl usaf eitiee.	---|-------|--⌫-|--⌫------|
Ormesan ble que	-|-|---⌫--|--|
deshei tiee	------⌫---|
est moutpor m oisina pas	--|---|--|-⌫-|-|||--|
queelemeuo itpres	--|--|-|--⌫-|---|
Messir e Gauuainsliotroie	------⌫|-------|-|-----|
seess oines	-|---⌫----|
neledesu oie	-|-|----⌫--|
ou deprison oud	-|-|-----|-||
queilsan reuanra parlui	--|-||-|------|--|--|
etalapuceledonra	-||-|-----|----|
si boen consoilconilporra.	-|---|------|--|-|-----|
Lorsleslessesisachemi ne	---|--|----|-||------⌫-|
parp lains	--|-⌫----|
nepar forez ne fin e	-|--|----|-|---⌫|
tan tqueiluit.i.	---⌫|--|-|-----|
chas tel f ort	----⌫--|-⌫--|
eue uen o itau regort	--|---⌫-⌫-|-|-----|
deme rmoutgran tet denauie.	-|--⌫|---|----⌫|-|-|-----|
Petitualoit moins	----|-----|----|
(385c .6423 )	-----⌫-----⌫|
li chastiaxqui moutestoit	-|-------|--|---|-----|
Da utrepart	|-⌫---|---|
es toitli uignobles	--⌫---|-|--------|
etlibois biaxetauenanz	-|-|---|---|-|------|
q ui mo utestoitbiaxpard edanz	-⌫-|--⌫-|-----|---|--|-⌫----|
et lariu ierefu des oz	-|-|---⌫---|-|---⌫-|
qui ace i ngnoitlesmurs trestoz	--|---⌫-⌫-----|--|---|------|
sa uoiti usquan la mer	|-⌫---|-⌫---|-|-|--|
Li chastiaxestoit e t	-|-------|-----|-⌫|
mout bienantor de	---|---|----|-|
mu r sferm ez.	--⌫-⌫|----⌫--|
Me ss ire Gauuainsest antrez	--⌫--⌫--|-------|--|-----|
elplusfort	-|---|---|
detotle c hastel	-|--|-|-⌫-----|
Des oz.i .yf otun	---⌫----⌫|-|-|-|
elchaste lpardesor unpont.	-|------⌫|--|----|-|----|
E tqua ntilfuu enu zamont	-⌫|---⌫-|-|-|-⌫---⌫|----|
t roua unepuc elesole	-⌫---|--|---⌫--|---|
qui miroitsonuis etsa gole	--|-----|--|--|-|-|---|
quip lusestoitb lancheque	--|-⌫--|-----|-⌫-----|--|
D un cercelet	|-|-------|
auoit anto r	----|----⌫|
s onchiefcorone.	-⌫-|----|------|
MessireGauuainses pe rone	------|-------|--⌫--⌫---|
uerslapucele	---|-|-----|
lanble ü re	|-----⌫--⌫-|
etelel i crie	-|--|-⌫|---|
mesuresireBelemant	-----|---|-------|
queuos ale ztrop	--|--|---⌫|---|
Fosestquiporneantes p loite.	--|--|--|--|----|--⌫-⌫-----|
—DeDeusoiez	|-|--|----|
uosbeneoite	--|-------|
fetmessir eGauu ains pucele.	--|------⌫|----⌫---|------|
Orm e dit e samie	-|-⌫|---⌫-⌫|---|
de coifustesuos	-|--|-----|--|
q uisi tostmauezamanbr e e	-⌫-|-|---||---|------⌫-⌫|
mesurenesauez	-----|-|----|
— Si faz cheualie rs	|-|--|--------⌫-|
par mafo i	--|-|--⌫|
quegesaibienqueuos pansez.	--|-|--|---|--|--|------|
—Et coi fet	|-|--|--|
il. — uosme uolez	--||--|-|----|
prandr e etporte rcicontreual	------⌫|-|-----⌫|-|--------|
so rlec ol de uostrecheual.	--⌫|-|-⌫-|-|-----|------|
dites bienuoird ame isel e.	----|---|---|-⌫---⌫----⌫-|
—Gelesauoie bien	|-|-|-----|---|
Maldahéa itquile	--|----|-⌫-|--|-|
Gard enelepa nser tu ia	----⌫|-|-|--⌫---|-|-|
sorton cheua lmemetes.	--|--|-----⌫|-|-----|
Ie nesuip as decesfol et es	-|-|--|-⌫-|-|--|---⌫--⌫-|
doncil cheualiersedeportent	--|--|--------|-|--------|
quidesorlor ch e uaxlespo rten t	--|----|--|--⌫-⌫--|--|--⌫----⌫|
(385d .6467)	-----⌫-----|
qu antiluont anc heualeri e.	--⌫--|-|---|-|-⌫--------⌫-|
Mes moin anporteras tum ie	--|--||-|-------|-|-⌫-|
Etneporquantse	-|---------|-|
ta n tualoies	--⌫-⌫|------|
auoec t oimenerman porro ies.	----|-⌫-|----||-|-----⌫---|
Setanttanuoloies pener	-|---||-|------|----|
alas sesamen e r	----⌫--|----⌫-⌫|
iardi nmonpale froi	-----⌫|--|----⌫---|
iema n iroie	-||-⌫|----|
auo eque s toi	---⌫----⌫|--|
tant quemal eurtez etpesance	---|--|---⌫-----|-|------|
etdiaxetmeses tance	-|---|-|-----⌫----|
taueni stanma conpaignie.	|-----⌫-|-|-|----------|
— Etremanrail beleamie	|-|------|-|---|---|
seporh ardementnonfetil.	-|--|-⌫-------|--|--|--|
—Parle m i enesciantnenil	|--|-|-⌫-⌫-|------|----|
dameis el euasax.	------⌫--⌫|-----|
— H abele amiemesc heu ax	|-⌫|---|---|--|-⌫---⌫-|
oure manrai lsegipas	-|--⌫----|-⌫|-|||--|
Que passer nep orroitilpa s	--|-----|-|-⌫-----|-|--⌫|
parce le p lanche	--|--⌫-|-⌫-----|
— No nuoirsire bailliez lemoi	|--⌫|---|---|-------|-|--|
passezou tre a pié.	-----|--⌫--||----|
Lecheua luos ga rdera ig ié	-|-----⌫|--|--⌫-----⌫|-⌫--|
tan tc ongeleporra igarder.	---⌫|-⌫-|-|-|-----⌫|------|
Mes hastezuosdelreto rner	--|-----|--|--|----⌫---|
qu i ln em eschapou	-|-⌫|-⌫||-----|-|
einzqueuos soi ez reuenuz.	---|--|--|---⌫-|-------|
— uer ité fet	|---⌫---|--|
il auezdite.	-|---|----|
leuos tolts	-|--|---||
an so iezquite	-|--⌫--|----|
esch apeautrete l	----⌫--|-------⌫|
q ueianem an o rroiz	-⌫-|-|-||-|-⌫----|
Ensi libaille	---|-|-----|
etsanpasse*	-||-|-----|
etpansaqueilportera	-|----|--|-|------|
t otesses armesauoec	-⌫---|--|----|----|
seiltru eueeluergiernelui	-|-|---⌫--|-|------|----|
q uiue er li uu elle et desfa ndre	-⌫-|--⌫-|-|--⌫---|-|-----⌫---|
q ue ilnaillelec heual	-⌫-|-||----|-|-⌫----|
einziaura n oise et estor	---||---|-⌫---|-|----|
que il nel	--|-|-||
an m aint auretor.	-|-⌫---|-|-----|
Atantala planc hepassee	----||-|-----⌫-|-----|
etuoit asez gen t amassee	-|---|---|---⌫|------|
quia grantmeruoillel esgarden t	--||----|--------||--------⌫|
et dïenttuitQue*deableardent	-|-----|---|---|-----|-----|
p ucelequita ntasmalfait	-⌫----|--|--⌫-|-|--|---|
Li tuensc orsmaleauantureait	-|----|-⌫--|---|-------|--|
(3 85e.6511)	--⌫--------|
conq uesprodomeneüsc h ier	|---⌫--|------||---|-⌫-⌫--|
Amain t enaurasfettra nchier	|----⌫|-|----|--|---⌫-----|
la test edoni lestgranzdiax.	-|----⌫|--|-⌫|--|----|----|
Cheual iersqui meneranuiax	------⌫---|--|----|-|---|
le pal efroi	-|---⌫----|
quenesez ore	--|-|--|--|
qu exmax t an	--⌫-|--||-|
auandraan c ore	------|--⌫-⌫--|
setudetama iniatoc h es	-|-|-|-|--⌫-||----⌫-⌫-|
H acheua lier spor coi	-⌫|-----⌫----⌫|--|--|
l apro ches	|----⌫---|
uoir n el atoche r oies	---|-⌫||------⌫-⌫---|
setulagranthontesauoie s	-|-|-|----|----|------⌫|
e t lesgranz	-⌫|--|----|
maxet les granzp oinn es	--|-|--|----|-⌫----⌫-|
quit a uandr o ntsetulanmo innes.	--||-⌫-----⌫-⌫-|-|-||-|--⌫-----|
Ensituitet totesdisoient	---|---|-|----|-------|
por ceque chastieru oloie nt	--|-|--|-------|-⌫-----⌫-|
monsegnor Gauuain quilnalast	--------|------|-|-||----|
aupalefroi a inzretorn ast.	-|-------|-⌫--|------⌫---|
M es ill esotetantantbien	-⌫-|-|-⌫-|-|-|-----|---|
nanleirailrie n	|-|----|-|---⌫|
einzsa nua saluant lesrotes	---||-⌫|-|------|--|----|
etil li randenttuit	-|-|-|------|---|
sonsalusi con	--|---|-|--|
il l isa nble	-|-⌫|--⌫---|
etillisolen ttuitansan ble	-|-|-|-----⌫|---|-----⌫--|
angoisse etandestresce.	-------|-|-|---------|
Et messire Gauuain ssadre sce	-|------|-------⌫||----⌫--|
aupalefr oiet t antla main	-|------⌫-|-|-⌫--|-|---|
etle uialtpanr epar	-|-|----|----⌫|--|
quef r ain snesele nifaill oit	--|-⌫-⌫---⌫|-|---|||-----⌫--|
mes.i.grant	-----|----|
cheu alierauoit	----⌫----|----|
soz.i.o liuier ue rdeant	-----|-⌫-----|--⌫-----|
q uidi tCheualiersporneant	-⌫-|--⌫|---------|--|----|
porle palefroi.	--|-|--------|
Ornit andestu	-|||-⌫----|-|
qui lteuandroitdegrantorgue l	-|-⌫|-|-------|-|----|-----⌫|
Etneporqua ntge neteuuel	-|--------⌫-|-|-|-|---|
nec ontredirenedesfandre	-|-⌫--------|-|--------|
s etu a sboental ant del prandre.	-⌫|-|-⌫|---|---⌫--|--|-------|
Mesgete loquetut	--|-|-|-|--|-||
aillorsdec isetu	------|-|-⌫|-|-|
leba illes	-|--⌫----|
trop g rant desfans se	---|-⌫---|-------⌫-|
itroueras.	|--------|
—Por ceneleleiraigepas	|--|-|-|-|-----|-|--|
fetmessi reGauuainsbiau	--|-----⌫-|-------|---|
pucelequisemire	-----|--|-|---|
arb rem i anuoie	---⌫-|||-----|
etse geo r ne li menoie	-|-|-|-⌫|-|||-----|
(385f. 6555)	------⌫----|
qu estero ie ge uenuzquerre	-|------⌫-|-|----|-----|
Ge se roiehonizanterre	-|--⌫---|----|-|----|
come recreanz et	---|-------|-|
—Ettuanserasmal bailliz	|-|-|-|----|--|------|
fet ligranz	--|-|----|
cheualiers b iau frere	---------|-⌫--|----|
queparDeu lesouera inpe re	--|--|--|-|------⌫-|--⌫-|
uoldroie mamerandre	-------||--|-----|
onquescheualiernelui	-----|--------|--|-|
ensicon tumenerlanuiax	---|--|-|----||-|---|
nela nauenist diax	-||-⌫|------|---|
quiln aüst lateste	-|-||----|-|----|
tranc hiee.	-----⌫----|
Ensidot genet	---|--|-|-||
an me schi ee .	-|--⌫----⌫--⌫|
Et sege let ai	-|-|-|-||-|
desfan d u	------⌫-⌫|
genia inul malantandu	-|||-⌫|--|--|------|
ques etuuiaxtul	--|-⌫|-|---|-||
iaporneluinelleisseras	-|--|----|--|--------|
neporhomequetu ciuoies.	-|--|---|--|-|-|-----|
M es tuantanrasmales	-⌫-|-|-|-----|----|
s e tul a mainiosesmetre.	-⌫|-|-⌫|---||---|-----|
an lomieae n t remetre	-|-|--||-⌫-⌫-⌫------|
quetuanperdroies la	--|-|-|--------|-|
MessireGauuainsn iares te	------|-------|||----⌫-|
q u ant aprésic e mot.	-⌫-⌫--|-----|--⌫|---|
Lepalefroi quilatesteot	-|-------|--|-|----|-|
d unepa rt	|--|--⌫-|
noi reetdautre	---⌫-|-||----|
fetdeua n tlui passerlapla nche	--|----⌫-⌫|--|-----|-|---⌫---|
quemo utbienpasser la sauoi t	--|--⌫-|---|-----|-|-----⌫|
quesouantpassee l auoit	--|-----|-----||----|
s i anestoit duiz	-⌫|-|-----|---|
Etmessire G auu ains	-|------|-⌫---⌫---|
parla regn equifu de	--|-|----⌫|--|-|-|
alau bre droiteuoie	||--⌫--|-----|---|
oula pucele	-|-|-----|
quisonmantellessié auoi t	--|--|-----|------|----⌫|
etsa guin plea	-|-|----⌫--||
te rreche oir	--⌫--|---⌫--|
lanpuisseu eoir	|-|-----|-⌫---|
safaceet s oncor s adeliure.	-|---|-|-⌫-|---⌫||-------|
Et messire Gauu a insl iliure	-|------|----⌫-⌫--|-⌫|----|
lepalefroiatot la sele	-|-------|---|-|---|
etdi t Orçauenez	-|--⌫|-|--|----|
si uosaiderai amonte r.	-|--|------||-----⌫-|
— Ce nete lest ia D exconter	|-|-|-|---|-|-⌫-|-----|
fetla pucelea nleuou uaingnes	--|-|-----|-⌫|--|-|-------|
qu et uantretesbra z	--⌫|-⌫|----|--|---⌫|
met aignes	-|-⌫-----|
(386a .6599)	-----⌫-----|
Set uauoiesr ientenue	-|-⌫|-----|-⌫--|----|
q ui fust sormo i	-⌫-|---|--|--⌫|
d e ta mainnue	-⌫|-|---|--|
maüssesnessantie	|------|--|-----|
i e cu ideroie	-⌫|--⌫------|
estr ehonie .	----⌫|-----⌫|
Il mesero it	-|-|----⌫-|
tropmescheü	---|-------|
estoit cont én ese ü	-----|----⌫-|-⌫|--⌫-|
quama chareüs s estochié.	-||-|---|----⌫-⌫-|-------|
Mialzanuoldroie auoirtranchié	----|-|-------|----|--------|
etlach ar iusqu	-|-|--⌫-|----|
diluecandroitbiend irel os.	|----|------|---|-⌫--||--|
Leissiez metost lep alefroi	-------|-|---|-|-⌫------|
gemonteraibienpa r ma foi	-|-------|---|--⌫|-|--|
taïenequier poi nt.	|---|-|----|---⌫--|
Et Dexhuian cesti o r me	-|--|--|-|---|-⌫-⌫|-|
deto iueoircequege cuit	-|--⌫|----|-|--|-|---|
grantioieauraiancorenuit .	----|---|----|----|-----⌫|
Et uaq uelpartqu etuuoldras	-|-|-⌫--|---|--⌫|-|------|
q ue amon corsne	-⌫-||--|---|-|
a mes dras	|--|---|
n etocherastu de pluspres	-⌫|-------|-|-|---|---|
e tg eirait oziorza p r és	-⌫|-⌫|---|-⌫-----|-⌫-⌫-⌫--|
tant quep armoi tie rt	---|--|-⌫-|--||--⌫-|
aucune granz	-----|----|
desc ou enu e	----⌫--⌫---⌫|
d e honte etd emesauanture	-⌫|----|-|-⌫|----------|
que geansuitotes eüre	--|-|-|--|---|-⌫----|
q uegeteu errai mal	-⌫-|-|-|-⌫----|--|
nequa la mo rtn ip uezfa illir .	-|-||-|--⌫-|||-⌫--|--⌫-----⌫|
MessireGauuainstot escoute	------|-------|--|------|
quanque ladameiseleest oute	------|-|--------|---⌫---|
lid itc onqu esmot n e li sone	-|-⌫-||----⌫-|--|-⌫|-|---|
mesques o npalefr oi	--|--|-⌫-⌫|------⌫-|
ete leso n c heualli	-|-⌫-|--⌫|-⌫----|-|
Et me ssireGauuainss abesse	-|--⌫----|-------||-----|
qui deterr eu oloitleuer	--|-|----⌫|-⌫----|----|
s o nmantel porli	-⌫-⌫|-----|--|-|
et la dame is elelesgarde	-|-|----⌫--⌫--||------|
quin estoitlante	--||-----|----|
a.i.cheualierhonte	---|--------|----|
uasa x f etelea	----⌫|-⌫-|--||
uosque monte	--|--|----|
ma ntelnedema	--⌫---|-|-|-|
ParDe ugenesuipassisinp l e	--|--⌫|-|-|--|--|-|----⌫-⌫|
con tucuid es delamitié.	--|-|----⌫-|-|-|------|
aiuoirnu le	-|---|--⌫-|
couo i tié	----⌫-⌫---|
q uedemo iseruir tan tr emetes	-⌫-|-|--⌫|-----||--⌫--⌫-----|
cartun a sm ie t esmains	--|-||-⌫|-⌫-|-⌫-|----|
(3 8 6b. 6643)	--⌫-⌫---⌫----|
portenirchose q ue ge	--|----|----|-⌫-|-|
ge meteantormate ste.	-|---|----|-|--⌫---|
Doiztutenirch ose	---|-|----|--⌫--|
nea mesialzne ama boche	-||--|---|-||-|----|
neam onfrontneama face	-||-⌫-|----|-||-|---|
Ia aufilDame deune	-|-|--|----⌫--|-|
que geiaaie	--|-|-|--|
annuleguise	-|---|----|
talan tdeprandretonse ruise.	-----⌫|-|------|--|--⌫-----|
puceleestmontee	-----|--|-----|
e st liee et afublee	-⌫-|---|-|------|
Cheualiersor ale z	---------|-|---⌫|
quel part que	---|---|--|
uosonquesuolez	--|-----|----|
etgeuos siurai	-|-|--|-----|
tan tquepormoihonir uosuoie.	---⌫|--|--|--|----|--|----|
ancuis eDeuple st .	----|-⌫|--|---⌫--⌫|
E t m essireGauuainsse	-⌫|-⌫-----|-------|-|
c onquesnes motnel irespont.	|-----|--|--|-|-⌫|-------|
Toz ho nteusmonte si sanuont	--|--⌫----|----|-||-|---|
si san tornele	-||-|----|-|
chie fb essié	----⌫|-⌫-----|
uerslec hasne ouilotle ssie ́	---|-|-⌫----|-|-|-|--⌫----⌫|
lapuceleetlecheuali e r	-|-----|-|-|-------⌫-⌫|
qui de mire eu ̈stgr an tmesti er	--|-|---|--⌫--|--⌫--⌫|-----⌫-|
por ses plaiesque	--|--|-----|--|
EtmessireGauuainssauoit	-|------|-------|-----|
plus quenushom d e garir plaie.	---|--|--|--|-⌫|----|-----|
Uneherbeuoitanunehaie	--|----|---|-|--|---|
mout bonepordolort olir	---|---|--|----|-⌫---|
deplaie et il	-|----|-|-|
lau acoill ir.	-|-⌫|-----⌫--|
Lerbeaco illiesis an ua	|---||--⌫----|-||-|-|
aléquei ltroua	---|--|-⌫|----|
l a pucele so n duel menant	-⌫|-----|--⌫|---|-----|
etelelidistma intenant	-|--|-|---|--⌫-------|
queleleuit Biax sire c h iers	-|--|-|--|---|---|-⌫-⌫---|
or cuit geq uecistcheualiers	-|---|-|-⌫-|---|---------|
soit morz qu	---|---|-|
m es ne antant.	-⌫-|-|------|
Etmes sireGauuains descen t	-|---⌫---|-------|------⌫|
sitrueu equ il	-|-----⌫|-|-|
auoitmoutroide	----|---|----|
lepos etnauoit pas trop	-|--|-||----|--|---|
nelabochene	-|-|----|-|
lam essele	-|-⌫-----|
et dist Cilch eualiers pucele	-|---|--|--⌫-------|-----|
to teansoiez	--⌫-|-|----|
a bo en pos etboenealainne.	|--⌫-|--|-|----|-------|
plaiemortel	----|-----|
ge liap ortuneherbetel	-|-|--⌫--|--|----|--|
(386c. 66 8 7)	------⌫--⌫-⌫-|
qui moutc ecuitl iaid era	--|---|-⌫|---|-⌫|---⌫--|
etsesdolo rsliostera	-|--|----⌫-|-|-----|
de sesplaies u ne par tie	-|--|-----|-⌫-|---⌫--|
tanto stque illaur a santie	-----⌫-|--|-||---⌫|-----|
quel annesetsor plaie	--||-|-|--|--|----|
meillorherbecedit	------|----|-|--|
qu i tesmoignequelea tel f orce	--⌫|--------|-|--||--|-⌫---|
quila metroit desorlescorce	--|-|------|----||------|
duna rbre qui fustanci siez	|-|-⌫---|--|---|----⌫---|
delt ot nefusttranchiez	--|-⌫-|-|---|--------|
que laracinerepr and roit	--|-|-----|----⌫---⌫---|
et lia r brestexdeuand roit	-|-|-⌫-⌫---|--|------⌫---|
quilporroit fuillieretf lo rir.	-|-|------|-------|-|-⌫--⌫---|
Puisnau roitga rd edemor ir	---||--⌫---|--⌫--⌫|-|---⌫-|
madameis eleuostr eamis	-|------⌫--|-----⌫|---|
qu iceste herbe	--⌫|----|----|
l i auroitmis	-⌫|-----|--|
so rses plaieset	--⌫|--|-----|-|
Mesuneguinpledeliee	--|--|------|-----|
porb ien liericouandroit.	--|-⌫--|---||----------|
uosba i lleraiorandroit	--|--⌫-⌫-----|--------|
fetcelecuiil n estpasgrief	--|---|--|-||--|--|----|
celimeïsmes de m onchief	---|-------|-|-⌫-|----|
qu au tre n aig eci aportee .	-|--⌫--||-|-⌫|-|-------⌫|
Laguin plea	-|----⌫--||
de sonchiefost ee	-|--|----|---⌫-|
quimout fudelieeetblanche	--|---|-|-----|-|------|
etm essireGauuains latranche	-|-⌫-----|-------|-|------|
q uai n sifere li	-⌫|--⌫-⌫-|---|-|
co uen oit	--⌫---⌫--|
etde l erbequeilteno it	-|-||---|--|-|----⌫-|
sortote sses plaiesli lie	--|----⌫|--|-----|-|--|
et lapuceleli aïe	-|-|-----|-|---|
au m ialzquel sete tqu	-|-⌫---|-|-|--|-⌫|-|
MessireGauuains ne se	------|-------|-|-|
tantquelic h eualierssopire	---|--|-|-⌫-⌫-------|-----|
etpar olee t di st Dex lim ire	-|---⌫--|-⌫|--⌫-|--|-|-⌫--|
quila parolemara ndue	--|-|-----|||--⌫---|
que mout aigrant pe oreüe	--|---|-|----|--⌫-|---|
de morirsanzconfess ion.	-|----|---|-------⌫---|
Lidea blea proc ession	-|---⌫--||----⌫-----|
estoientmameuenuquerre.	-------||--|---|------|
Ein zque mes cors	---⌫|--|--|---|
uoldroie moutestre	-------|---|----|
G esai.i.ch apelaincip re s	-⌫|-----|--⌫------|-|-⌫--⌫|
seiauoie so rcoimonter	-||----|--⌫|--|-----|
cu igiroiedireetcon ter	--⌫||----|---|-|---⌫--|
(386 d. 6731)	----⌫--⌫----|
me spechiez anconfession	--⌫|------|-|---------|
etpanroi ecome nion.	-|------⌫|----⌫----|
Ialamor tnan redot eroie	-|-|---⌫||-|-----⌫----|
p uisquecomeni ezser oie	-⌫--|--|------⌫-|---⌫--|
etmaconfesseaur oieprise.	-|-|-------|---⌫--|-----|
Mes or me faites.i.seruise	--|-|-|--------|------|
uosd oitenu ier	--|-⌫--|---⌫--|
lero ncin a	-|--⌫---||
cel escuier	--|------|
me d onezquila	-|-⌫---|--|-|
uientle tr ot .	----|-|--⌫--⌫|
Et quantm essir e Gauuai ns lot	-|----|-⌫-----⌫|------⌫-||-|
si setrestorne	-|-|--------|
et uoituena nt	-|---|----⌫-|
.i. escuierdesau enan t.	--|------|-----⌫----⌫-|
Etquexfuildiraileuo s	-|---|-|-|----|-|--⌫|
lescheuoxotmerlezet ros	--|-----|-|-----|-|--|
ro ideset contre m ontdreciez	--⌫---|-|------⌫-⌫--|------|
comeporsq ui esthericie z	---|---|-⌫-|--|-------⌫|
etl essorc ix otautretés	-|-⌫-|----⌫-|-|--------|
qu e totleui se t	--⌫|--|-|--⌫|-⌫|
li cour oient iusquas grenons	-|----⌫----|----|-|------|
que ilauoittortize tlons.	--|-|----|-----|-⌫|----|
Bocheo t fandueetbarbelee	----|-⌫|-----|-|----|--|
puis rec erce lee	---|---⌫----⌫--|
etcortl ecoletlep izhaut.	-|---|-⌫|--|-|-|-⌫-|----|
Talantaqu ancon treluiaut	-----||-|-----⌫--|--|--|
m es sireGauuai nspor sa uoir	-⌫--⌫---|------⌫-|--|--⌫---|
sil porr oi tle	|-|----⌫--⌫|-|
ronc in auoir	----⌫-|----|
mesençoisauch eualier dist	--|------|-|--⌫------|---|
SireseDamedexm aïst	---|-|------||----|
nesaiquiest	-|--|--|--|
liescuiers	-|-------|
einzuosdonroie.uii. de striers	---|--|-----------|--⌫------|
segesauoieciandestre	-|--|----|-|-|-----|
q uesoncheualtex	-⌫-|--|-----|--|
—Si ref et	|--⌫-|-⌫-|
ilorsa chi ez	-|-|--⌫---⌫-|
qu ilneuaquerant nu lerien	-|-|-|-|------|--⌫-|---|
s euos tremalnonsei lpuet.	-⌫|---⌫--|--|--|-|-⌫|----|
Et messireGauuains	-|------|-------|
contrelescu ierquiuenoit	-----||----⌫--|--|-----|
si li demandeouilaloit	-|-|------|-|-|----|
etcilqui n ertpas	-|--|--||--|--|
li distuassa xquastu	-|---|-----⌫|-|-|-|
ou geuoise	-|-|----|
ne do nieueingne	-|--⌫|-|------|
quel uoie q ue getei n gne	---|---|-⌫-|-|---⌫-⌫--|
Lituenscors a it malea uantur e.	-|----|---|-⌫-|---|-⌫------⌫-|
MessireGauuainsadroit ure	------|-------||-----⌫--|
(386e.6775)	----------|
tanto s tli	-----⌫-⌫|-|
pa ie sa des serte	--⌫-|-|---⌫----|
si le fiertdela	-|-|----|-|-|
paume ouerte	----|-----|
a cequi l o tle	|-|-|-⌫|-⌫|-|
et del f er irgrant uolanté	-|--|-⌫--⌫-|----|-------|
si quiluerss eetlasele	-|-|-|-----⌫|-|-|---|
e tquantilr eleuersecuide	-⌫|----|-|-⌫-----|-|----|
si rechanceleet	-|---------|-|
sic hi e tius	-|-⌫--⌫-⌫|--|
e tse pas me.i x.f oizou	-⌫|-|---⌫----⌫-|-⌫--|-|
Etquant il se	-|----|-|-|
sidistuassaxferumau e z.	-|---|-----|---||--⌫-⌫-|
—uoirefet i lferut ai gié	|----|--|-⌫|---||-|---|
mesnetaigai re sdomagié	--|-||-|---⌫--⌫|-------|
etsima npoise toteuoie	-|-||-⌫|----|---|---|
quanttaifer useDex meuo ie	----||-|---⌫|-|--|-|--⌫-|
de ïsgra ntm usardie.	--⌫--|---⌫-|-⌫-------|
—O rnele i raifetciln eldie	|-⌫|-|--⌫-⌫--|--|--|-⌫-|--|
queldesse rte u os	---|-----⌫--|-⌫-|
en auroiz.	-|------|
Le poing e t lebraz	-|----|-⌫|-|---|
anperdr oiz	-|-----⌫--|
do n uosm aue zlecopdo né	--⌫|--||---⌫|-|--|--⌫--|
qu eiane uosertpardo né.	--⌫|-|-|--|--|-----⌫---|
An d emantreq ue ceauint	--⌫-⌫------|-⌫-|-|----|
aucheualierparole uint	-|--------|-----|---|
elch iefq uiloteümout	-|--⌫--|-⌫|-|-|--|---|
amonseignorGauuai n	|---------|------⌫|
Lessiezcelescuier	------|--|------|
orroiziariendire	-----|-|---|---|
ou uos doiezenor	-|--|----|---|
Lessiez lesifero izsauoi r	------|-|-|----⌫-|-----⌫|
