formElnondelperee t	---|-|--|--|---|-⌫|
iure q uela chose	---|-⌫-|-|----|
porceremaint ilpasquel i demanderesne	--|-|------|-|--|--|-⌫|---------|-|
chal ong ier et	----⌫---⌫--|-|
iasoitcequ es	-|---|-|--⌫||
ent encionzs oit ueraiece es tquel a	---⌫------|-⌫--|-----|-|--⌫|--|-⌫|
c hose soit	-⌫---|---|
se uenonporquant	--⌫-|--|-------|
il nes tpazdroizque	-||--⌫|--|----|--|
cilquila porsietso it	--|--|-|------|--⌫-|
condenp nés .	-------⌫---||
a plaidié ot oi ouparactionseur	|-------||-⌫-|-|--|-----|---|
une certai nnechoseetou personel po rce	--|------⌫--|----|-|-|-------|--⌫|-|
nerem a intpas li obligemenzetpor	-|---⌫-⌫--|--|-|---------|-|--|
plaidierderec hi efde	-------|-----⌫--⌫-|-|
celemei smeschosemaistu d ois estredeliurés par exce ption	---|---⌫---|----|---|-|-⌫--|----|--------|--|----⌫----|
dechoseiugie.	-|----|----||
Iln ozs o sfice que noz auons aion sd itces choses	-|-⌫-|-⌫-⌫----|--|--|----|----⌫|-⌫-|--|-----|
par caus edessemple .	--|----⌫||-------||
Etpardes us	-|--|---⌫-|
ce p uetlon	-|-⌫--||-|
entendre es liurez deDigestequeexceptions	-------|-|-----|-|------|--|---------|
soitnecessa i res porp lusorsd iuersescau ses	---|-------⌫-⌫--|--|-⌫-----|-⌫------|---⌫--|
le sunesuienentdeslo isetlez	--⌫|---|------|--|--⌫-|-|--|
la i uridic ion aupreu o st.	-|-⌫------⌫--|-|----⌫-⌫-||
L ezunesde s exce pcionssu ntapelees pardura blez et les	-⌫-|---|--⌫|----⌫-----|--⌫-|------|-------⌫---|-|--|
autrestemporel z oudil ato ires .	-----|--------⌫|-|---⌫---⌫---||
Lesexceptionspardurabl esetpe re mptoires	--|---------|---------⌫-|-|--⌫--⌫-------|
q ui costrete nttozior sasdemandeursetdestr uissent toz iorslaction	-⌫-|--------⌫-|------⌫|-|---------|-|-----⌫------|---⌫---||-----|
p arcoi lonple de	-⌫-|--||-|---⌫-|
siconmeexc eptions detr icheri e	-|----|---⌫------|-|--⌫------⌫|
oudece quiest	-|-|-|--|--|
faitparpoor oude	---|--|---|-|-|
couenantquant tel z	-------|----|---⌫|
couenanz aestéfaizque lacho s e ne	-------||----|---|--|-|---⌫-⌫|-|
soitdemande eiamaiz.	---|-------⌫|-----||
Les exception s temporeuz et	--|---------⌫|--------|-|
d i latoiressuntcelesquinuiss entast ens	-⌫-⌫-------|---|----|--|-----⌫--|-|-⌫--|
et delai ent lac hosesi	-|-----⌫--|-|-⌫---|-|
conmeexceptiondeco uen antte mporelqua n t	----|--------|-|--⌫---⌫--|--⌫-----|---⌫-⌫|
couenansa estéfai zq uelachosenesoit	-------||----|---⌫|-⌫-|-|----|-|---|
demandeedeuant . i.	-------|-----|-⌫-|
cer taintenssi	---⌫---|---|-|
conme deuant. u.	----|-----|-⌫-|
an z quarquant ci st tenzestpassézl i	--⌫|---|----|--⌫-|---|--|------|-⌫|
demander resn es tp as empee schiézqu eil nepuis se	--------⌫--||--⌫|-⌫-|-----⌫------|--⌫|-|-|----⌫-|
porsiur esa c hose	-------⌫|-|-⌫---|
Ci lqui u uelentdontplaid ier dedensleterme	--⌫|--|-⌫-----|---|-----⌫--|-----|-|----|
esté mizenconuenantà	----|--|-|--------|-|
quiexcepcions decoue n antes t	--|---------|-|----⌫-⌫--|--⌫|
oposee ouaut resanblan cedoiuent pr oloingnier loractioniu squau	-----|-|---⌫-|-------⌫-|------|--⌫---------|--|-----|--⌫--|-|
c on mencierleple taprés le terme carporce	-⌫--⌫------|-|---⌫|-----|-|----|--|--|-|
sun ttes exceptionsapeleesdil a toires care les	---⌫|--|---------|------|---⌫-⌫-----|--|-⌫--|
del ai entle plet.	---⌫--⌫--|-|---||
Ets elidema nderesplaidededenz le	-|-⌫|-|----⌫-----|-----|-----|-|
terme etexcept ion s liestopposee	----|-|------⌫---⌫|-|--|------|
ilneconquerrariensporlexception	-|-|--------|----|--||--------|
E til soloit iad isestreque	-⌫|-|-----|---⌫-|----|--|
ilnepooientpaspl aidie r apré sleterme	-|-|------|--|--⌫-----⌫|-----⌫|-|----|
porce qu e ilamenoient folementlachos e	--|-|--⌫|-|--------|-------|-|----⌫|
eniuge men tetparceleraison laperden tperdoientil	-|----⌫---⌫|-|--|---|-----|-|------⌫|--------|-|
uolonspa sorandroit q uel a	-----|--⌫|--------|-⌫-|-⌫|
chos esoit s ide stro itemaisci l	----⌫|---|-⌫|--⌫----⌫--|---|--⌫|
qui osse mouoir pletd euentleterme	--|---|-----|---|-⌫----|-|----|
delacouenance oudelo bligement	-|-|--------|-|-||-⌫--------|
s oit sozmisà	-⌫--|-----|-|
les tablissementàlempe reu rZeno nqu e	|--⌫-----------|-||----⌫---⌫|----⌫|--⌫|
p rincesfist de celzquidemandentpluz quelo n	-⌫-----|---|-|---|--|--------|---|--||-⌫|
nelordo itporcequeildemandent	-|--|--⌫-|--|-|--|-|--------|
ains letermec equelonlor	---|-|----|-⌫|--||-|--|
queiladespit	--|-||-----|
letermeq ue il meesmes donna ouqu e l anature	-|----|-⌫-|-|------|----|-|--⌫|-⌫|-----|
de laction	-||-----|
c o ntientcilà qu i	-⌫-⌫-----|--|-|--⌫|
il afaittel	-||---|--|
tor taita ctio ncon trelui po rres tor er	---⌫|--|-⌫----⌫|---⌫--|--|--⌫|---⌫---⌫-|
liàdoublezsondamage	-|-|------|--|-----|
et quant ceserafait cil queiltra i ro it	-|----|-|---|---|--|--|-|---⌫-⌫--⌫-|
traioitenca use	------|-|--⌫--|
nesoitpazco nstrains	-|---|--|--⌫-------|
derespondreà lui deuant queilliait randu es	-|--------|-|--|-----|--|-|-|--|-----⌫-|
to ut es les despansezque	--⌫--⌫-|--|--------|--|
il a f aiteselpla itsiq uelidemandeur soi ent	-||-⌫----|-|---⌫-|-|-⌫-|-|--------|---⌫--|
esp o enté par tel pa inn e et pregnent àgarderdelter me	---⌫-⌫----|--|--|--⌫---⌫|-|-------|-|-----|--|---⌫-|
del pl ait.	--|--⌫--||
Ense urquetotaucunes e xceptionzsuntdilatoires por	-|--⌫-|--|--|------|-⌫--------|---|---------|--|
lapersone.	-|------||
Te les sunt	--⌫--|---|
cel e s quisu ntp roposeescontre	---⌫-⌫|--|--⌫-|-⌫-------|-----|
les pr ocurateurssi co nmeseaucuns uu etfair eson	--|--⌫---------|-|--⌫--|-|-----|--⌫-|----⌫|--|
procurateurd echeua lieroude	----------|-⌫|-----⌫---|-|-|
famecar il nestpas	---|--|-||--|--|
otr oiéqueilplaident	---⌫---|--|-|-------|
depr oc urateur sneporlor peresne	-|--⌫--⌫-------⌫|-|--|--|----|-|
meresne por lorfa m ez .	----|-|--|--|--⌫-⌫-||
Maisilpuentsanz nul	---|-|----|---|--|
me sfait mainteni r	--⌫----|--------⌫|
les leur caus es et noz	--|---|----⌫-|-|--|
iuionsquele s exceptio nsqui	-----|--|--⌫|--------⌫-|--|
estoientiadis	-------|----|
op posee spa rles a us pr ocurateurspar	--⌫-----⌫|--⌫|--|-⌫-|--⌫---------|--|
la m aler enomeeà celzqui lesestab lissoient	-|-⌫--|-⌫-----|-|---|--|--|-----⌫--------|
ou à procurateursmeisme s	-|-|-----------|------⌫|
c essentdeci	-⌫-----|-|-|
enau antqu e la findoupletne	-|--⌫--|--⌫|-|--|--|---|-|
so itpr olo ing nie tandisconme l on estriue dece schoses	--⌫-|--⌫---⌫---⌫--|-----|----||-|------|-|--⌫|-----|
Cisttitresestd ereplicationz .	---|-----|--|-⌫|-----------||
I l auien t	-⌫|-----⌫|
aucune foiz que	-----|---|--|
lexceptio ns qu isambloi t	|--------⌫-|--⌫|-------⌫|
a uconmencementestre droitureln uist àt ort.	-⌫|-----------|----|--------|-⌫---|-|-⌫--||
Et quantceau intauient il	-|----|-|--⌫--|-----|-|
estmestresmestiersdautre	--|------|-------||----|
allegac ionpo rai dieraud emandeu rqui estapelee replicati oncar	-------⌫--|--⌫|--⌫---|-|-⌫-------⌫|--|--|-----|---------⌫-|--|
parli estdesploiéetd epeciéladroiturede	--|-|--|--------|-|-⌫------|-|-------|-|
lexception.	|--------||
Siconmeseaucunsafaitcouena nt	-|----|-|-----||---|------⌫-|
às on d ete ur queilnelid ema ndedem andera	-|-⌫-|-⌫---⌫-|--|-|-|-|-⌫---⌫--|---⌫-----|
pasceque i l	--|-|--|-⌫|
l i doit eti lfonta p rés.i.	-⌫|---|-|-⌫|---|-⌫-⌫---|--|
autrec ouenan t quei lli seau	----|-⌫------⌫|--|-⌫|--⌫-|-|
creancieràde mand e r sadeite li deteur sepuetdes fandre	--------|-|--⌫----⌫-⌫|-|----|-|-----|-|---|---⌫-----|
par exceptiondecouenantporce	--|--------|-|-------|--|-|
que ilfirentcouenantque	--|-|-----|-------|--|
il neli dem anderoitrien mais	-|-|-|---⌫-------|---|---|
q ue i ln es tpasdroisque	-⌫-|-⌫||--⌫|--|----|--|
licreancie rsperde	-|--------⌫-|----|
sa de t ereplic a tionsli s e radonneedel	-|--⌫-⌫|------⌫-⌫----|-|-⌫-⌫-|-----|--|
darreniercouenant .	--------|-------||
Etaucunefoisauientq uelar eplicationz	-|-----|---|-----|-⌫-|-|-⌫----------|
qui samb loitdroiturelnuit à	--|----⌫---|--------|---|-|
Etquant ce auintauientilestmest iersdautre	-|----|-|----|-----|-|--|----⌫---||----|
alegationporaidierau desfende urqu iestape le e	--------|--|-----|-|--------⌫-|--⌫|--|---⌫--⌫|
diplication s.	-----------⌫||
Etseilape rtpar	-|-|-|---⌫-|--|
auent u r equeladuplicatio n soitdroitureletelenu i t	-----⌫-⌫-⌫|--|-|----------⌫|---|--------|-|--|--⌫-⌫|
àtort a udemande uril li est mesti ers	-|---|-⌫|-------⌫-|-|-|--|-----⌫--|
d auoir un e	|----|--⌫|
au tr e allegationporaidi erli	--⌫--⌫|---------|--|----⌫-|-|
qui est apeleetrip lication.	--|--|-----|----⌫-------||
di uersi tétd iuersi tédesbesoing nesamainneaucu nef oisl us agede	--⌫-----⌫---|-⌫------⌫--|--|-------⌫--|------|----⌫-|-⌫--||--⌫--|-|
toute s ces	-----⌫|--|
exceptions pluzauantquenoz nauonsdit	---------|---|----|--|--||----|--|
lespuet connoistrepluz	--|---|---------|---|
legierem ent parlauole ntéle	--------⌫--|--|-|----⌫---|-|
uolu medeDiges tes	----⌫-|-|-----⌫--|
Lesexception spar	--|---------⌫|--|
coiaucunspuet estre des fanduzsuel ent estredonneesàses	--|-----|---|----|---⌫-----|----⌫--|----|------|-|--|
plege setce	-----⌫|-|-|
est par d roit carilaper tquec equiest	--|--|-⌫---|--|-|----⌫|--|-⌫|--|--|
demandéaupleg ee stdem andéau deteur	-------|-|----⌫|-⌫-|---⌫----|-|-----|
meismez caril	------|--|-|
c onue ndroit quil	-⌫----⌫-----|-|-|
liran dit par actiondem ande mentquan que il	-|---⌫--|--|-----|-|-⌫----⌫---|----⌫--|-|
pai eroitporlui	---⌫----|--|--|
Etparce st eraison seaucunsfist couent	-|--|--⌫--⌫|-----|-|-----|---|-----|
deteurque ilneli	-----|--|-|-|-|
dem anderoit pas	---⌫-------|--|
sa deteilnoz	-|---|-|--|
p lestquel on secorre	-⌫---|--||-|------|
parexceptionde c ouenantà celzqui	--|--------|-|-⌫------|-|---|--|
suntob legie ́por lu i autresi co nmesecouenan seust	---|--⌫-----⌫|--|--⌫|------|--⌫--|-|-------⌫|---|
esté fais oelzmeism esquelidenier ne	----|---||--|-----⌫-|--|-|-----|-|
lor seroient pasdemandé.	--|-------|--|-------||
Mais aucunesexcepcions suntqui suntdonnees à	---|------|---------|---|--|---|------|-|
dete ursqui	----⌫--|--|
n es u nt pasdonnees	-⌫|-⌫-⌫-|--|------|
àleurpleg ezsi	-|---|----⌫-|-|
conmese lideteu r abando n neses	----|-|-|-----⌫|------⌫-⌫-|--|
biensàsoncr eancieretlic reanciers plaideapr és	----|-|--|--⌫------|-|-|-⌫--------|-----|---⌫--|
àluii lestdesfandus pa r l	-|--|-⌫|--|--------|--⌫||
excepcion decequeilabandonnases bi ensmaisceste	--------|-|-|--|-|--------|--|--⌫--|---|----|
excep cionsnestp as donnee às esplegezcarpor	-----⌫----||--|-⌫-|-----|-|-⌫-|-----|--|--|
autre au tresioble gié	----|--⌫----|----⌫---|
d eteur q uequanti l	-⌫----|-⌫-|----|-⌫|
n aura decoi pa ier licre ancier puisseco nquerre sa	|---|-|--|--⌫--|-|---⌫-----|-----|--⌫------|-|
celzqui sunt	---|--|---|
oblegiéa ̀lui	-------|-⌫|--|
porleu rdete	--|---⌫|---|
le deteur.	-|-----||
Cistt itres estdesantredis .	---|-⌫----|--|--|-------||
Ilcou ientque	-|---⌫---|--|
noz t raitonz desentredis et desactions	--|-⌫------|--|-------|-|--|------|
quisuntmeues	--|---|----|
porles entredis.	--|--|-------||
Entred issolo ie nt	------⌫-|----⌫--⌫-|
es tref orme zetconceuemenz	--⌫--|-⌫----⌫|-|----------|
dep aro les	-|-⌫---⌫--|
parcoilipre uozconmandoit q ueau cunech ose fu st	--|--|-|---⌫--|---------|-⌫-|--⌫---|--⌫--|--⌫-|
fait eetce fa isoit	----⌫|-|-|--⌫----|
m eesmement q uan t plaisestoit	-⌫--------|-⌫---⌫|----|-----|
entre aucu nsdepo ssessions et	----|----⌫-|-|--⌫--------|-|
de saisine.	-|------||
L asouerainediuision s desentredisestces teque ilsun t	-⌫|--------|--------⌫|--|-------|--|---⌫-|--|-|---⌫|
oud ed esfa nce oudere stituci on	-|-⌫|-⌫----⌫--|-|-|--⌫-------⌫-|
oude fairechose uenirau a nt.	-|-|----|----|----|--⌫-⌫-||
Li entred i t dedesfens e suntcil parcoi lipreuoz	-|------⌫-⌫|-|-------⌫|---|--|--|--|-|-----|
desfantque	------|--|
unechosene	--|----|-|
soitfaitesi	---|----|-|
co n me que forcene	--⌫-⌫-|--|----|-|
s o it fait e àcelui qui po rsi et sanz nu luice	-⌫-⌫-|----⌫|-|----|--|--⌫---⌫-|---|--⌫|---|
ouà celuiquiu u et	-|-|----|--|-⌫-⌫-|
anfouir .i.	------|--|
mort la ̀ou ̀iladroituredenfoui r le ou	---|--⌫|--⌫|-||-------||------⌫|-|-|
edefiementensain t le uouque nule chosene	---------|-|----⌫|--⌫|-|--|---|----|-|
soitfeteen	---|---|-|
flou e oua n r iuierequi	----⌫|-|-⌫|-⌫-----|--|
to l lequelesnés nepuissental e rparmi .	--⌫-⌫-|--|--|---|-|-------|--⌫-⌫|----||
Lientreditderestitucions ontparc oii lconman deque	-|-------|-|----------|-⌫--|--|-⌫-|-⌫|------⌫-|--|
aucune chose soit res tore esiconmequ antil	-----|----|---|---⌫----⌫|-|----|--⌫--|-|
conmandeque	-------|--|
laposs essionde ler itagequeaucunspo rsiet con me o irs	-|----⌫-----|-||--⌫----|--|-----|--⌫----|---⌫-|-⌫--|
ou c onmeporsierress oit	-|-⌫---|---------|-⌫--|
retor eeàcelui qui	-----⌫-|-|----|--|
doit auo ir laposs ession	---|---⌫-|-|----⌫-----|
desbienzouquantilco nmandequela	--|----|-|----|-|--⌫-----|--|-|
po ssessionzsoit ran due	--⌫--------|---|---⌫--|
àceluiquien	-|----|--|-|
a estém i shorspar	|----|-⌫-⌫|---|--|
Liantredisd ef ai reuenirchoseauantsontcil	-|-------|-⌫|-⌫--⌫-|----|----|----|---|--|
p arcoil ipreu o zconmandequeune	-⌫-|--|-⌫|----⌫-⌫|-------|--|--|
chose s oit a port eeauantsi conm e	----|-⌫--|-⌫----⌫-|----|-|----⌫|
cilde quifranchiselonplaide o u	--|-|--|--------||-|-----|-⌫|
celu i quia est éfra nc h isà qui ses patron z d e m ande	----⌫|--||---⌫-|---⌫--⌫-⌫-|-|--|--|------⌫|-⌫-⌫-⌫---|
besongnesouquant ilconmandea upere	--------|-|----|-|-------|-⌫|---|
queilamaintauant se s en fanzquis untensa	--|-|-----|----|--⌫|--⌫---|--|-⌫--|-|-|
po esté .	--⌫----||
Nonporquantaucun suntqui quidentq ueli seul	--|-------|----|---|--|------|-⌫-|-|---|
entr edit quis untdedesfances oie ntpropre ment apeléi u gement	----⌫---|--|-⌫--|-|-------|-⌫---⌫-|------⌫---|-----|-⌫-⌫-----|
estér eceuqueilsunttuit	----|-⌫---|--|-|---|---|
apelé entred it	-----|------⌫-|
s untchoses	-⌫--|-----|
quisun tditesentr elez.ii .	--|---⌫|----|----⌫|--|---⌫|
L autrediuisionsdentredisesttele qu e	|----|--------||-------|--|---|--⌫|
fure nt trouéporconq u e rre l e zpossessions li	----⌫-|-----|--|----⌫-⌫-⌫--|-⌫-⌫|----------|-|
retenirlaetl ia utre por	------|-|-|-⌫|-⌫---|--|
recour erla.	------⌫-|-||
Por causedeconquerrepos sessions estdonnés unsentredis	--|----|-|--------|---⌫-------|--|------|--|-------|
lapo ssession des biensaumort apar ti entqui	-|--⌫-------|--|----|-|---|----⌫--⌫--|--|
estapeleed es qu elzbiens.	--|-----|-⌫-|--⌫--|----||
L a forcee tl ap oes tédecel entredit	-⌫|----|-⌫|-⌫|-⌫---⌫--|-|--|-------|
est qu ecil qui po rsiet co nmeoirsou	--|--⌫|--|--|--⌫----|--⌫--|---|-|
c onmeporseer e zaucundesbienzde	-⌫---|-------⌫-⌫|----|--|----|-|
coilapossessionestdonnee	--|-|---------|--|-----|
lidoierandre.	-|---|-----||
quecilpor sietco nme	--|--|---⌫---|--⌫--|
oirs quiq uidequeilsoitoirsetcil	---|--|-⌫---|--|-|---|---|-|--|
pors ietco nme	----⌫--|--⌫--|
porseeresqui p orsietsanznuldroitt otl iretageou	--------|--|-⌫-----|---|--|----|-⌫-||------|-|
une partie	--|-----|
q ue i lsetbienqu en	-⌫-|-⌫|--|---|--⌫||
apartientp asà lui	--------|-⌫-|-|--|
Etpor cedi tl	-|--|-|--⌫||
on que cil	-|--|--|
entredis es tde conquerrepossession quei lpo rf itableàcelui	-------|--⌫|-|--------|---------|--|-⌫|--⌫--⌫-----|-|----|
tantsolemen tquisesforc edeconquerreore à prim e	---|-------⌫|--||------⌫|-|--------|--|-|----⌫|
lapo ssessio nde	-|--⌫-------⌫|-|
Se au cunsad ontperdulapossession	-|--⌫---||-⌫--|----|-|---------|
d unechos ecistentredi s	|--|----⌫|---|-------⌫|
ne li estpas	-|-|--|--|
porfitablesàconquerrelaetdecesta ntredituse	----------|-|--------|-|-|-|---|-⌫------|--|
li sir esdelchamp contreles	-|---⌫-|--|----|-----|--|
chosezaucortiueu r	-----|-|--------⌫|
couena nce conue nançaqui fussenttenueseng ageporle	------⌫--|-----⌫-----|-||------|-----|-|-⌫--|--|-|
loi erdelch amp.	---⌫-|--|--⌫--||
E ntredit furenttroué porcause dereteni r poss ession	-⌫------|-----|-----|--|----|-|------⌫|----⌫-----|
qu antplaizestdun epart	--⌫--|----|--||--⌫|---|
etdautrede	-||----|-|
lapropriété d a ucune cho seet lon	-|----------||-⌫----|---⌫-|-||-|
d e mande premiereme nt liquelzdoitporseoir	-⌫-⌫----|----------⌫-|------|---|-------|
lachoseet liquelzla doit demand er.	-|----|-|------|-|---|------⌫-||
Car se il nest auan te nq u isàq uel	--|-|-||--|----⌫|-⌫--⌫-⌫-|-|-⌫--|
lapossessionendoitest rel actionzau dema nde ur	-|---------|-|---|---⌫-||------|-|----⌫---⌫-|
ne pu etes tre establie carla r aisonsciteainneetla	-|--⌫-|--⌫--|-------|--|-|-⌫-----|--------|-|-|
naturelfait qu e li unsporsietlachose	------|---|--⌫|-|--|------|-|----|
e tliautres lademantàceluiqu il a	-⌫|-|-----|-|-----|-|----|--⌫|-⌫|
Etporceque ila greig neurpreu an	-|--|-|--|-||-----⌫---|---|-|
porseoirque an dema nder por ceestsouentaprésque	-------|--|-|----⌫---|--|-|--|-----|-----|--|
etp resque	-|-⌫-----|
granzcon tensd e lapossession.	----|---⌫---|-⌫|-|---------||
Li preuzdeporse oirl a choseest	-|----|-|-----⌫--|-⌫|----|--|
enc equeias oitce	-|-⌫|--|-|-⌫--|-|
queelen est	--|--||--|
pas àcelui qui	--|-|----|--|
la porsiet	-|------|
quarp or ceque eleest dro iturelzl es	---|-⌫-|-|--|--|--|---⌫------|-⌫-|
droitureza ̀lune et àl autres unt	--------|-⌫||--|-|-||----|-⌫--|
o nseut iugier	-⌫|---|-----|
contre ledemand eur.	-----|-|------⌫--||
Mais il i a .i.	---|-|||--|
en tredisquiest	--⌫-----|--|--|
ap elésunp ossitanzdecoilonuse	--⌫----|-|-⌫-------|-|--||-|--|
q uantlon plaided eposs essi on dechanz ou	-⌫---||-|-----|-⌫|----⌫----⌫-|-|----|-|
dedef ieman zet	|----⌫-----⌫|-|
autreq uiestapelézut	----|-⌫-|--|------|-|
ro bide coilon use quant l	--⌫-|-|--||-|--|----||
on plaide por lapo sses siondesc hosesmouablez	-|-----|--|-|--⌫----⌫---|--|-⌫----|-------|
Et ladroiture et lapoes tédec ez	-|-|-------|-|-|----⌫--|-|-⌫-|
e ntr edi sauoitm oltgr antdisferance	-⌫---⌫---⌫|----|-⌫--|--⌫--|---------|
antre lezanci enz carcilguaai ngnoitparlentr e ditde	----|--|----⌫--|--|--|-----⌫-----|--||----⌫-⌫--|-|
coilonuseporl apossession	--||-|--|--|-⌫|---------|
des terres quiestoitenpos ses sione l	--|-----|--|-----|-|---⌫---⌫---|-⌫|
tenzde lentreditseiln i	---|-||-------|-|-|||
estoit en t rés parfor ce	-----|--⌫-⌫---|--|---⌫-|
ouen repostouparproiere	-|-|-----|-|--|------|
ceestse il nena u oit	-|--|-|-||-|-⌫-⌫--|
sona u ersaire par forceou s eil nelau oit	--|-⌫-⌫------|--|----|-|-⌫|-|-||--⌫--|
rauiee n repost	----|-⌫|-----|
ouseiln au oitproiéà aucunqui	-|-|-||--⌫--|-----|-|----|--|
lileustà proisierporseo ir	-|----|-|-------|------⌫-|
l a chos e .	-⌫|----⌫||
Ma ise n lentredit de coi	--⌫-|-⌫||-------|-|--|
lonus e por	|-|--⌫|--|
la possession des	-|---------|--|
choses moua blez uainco it cilqui auoitporsisl achose	-----|----⌫---|------⌫-|--|--|----|-----|-⌫|----|
en l agreignorpartiede	-|-⌫|-------|-----|-|
celanse iln	--|-|-|-||
esto itentré s enlapossession parforceouenrepost	----⌫-|------⌫|-|-|---------|--|----|-|-|-----|
oupar proiere.	-|--|------||
Mais longa rd eorendroitautrement	---||-|--⌫--⌫|--------|--------|
car lapoesté del u net del	--|-|------|-||-⌫|-|-||
autreentred it estcel	----|------⌫-|--|--|
en tant conme ilapartientà l apossession que	-|---|----|-|--------|-|-⌫|---------|--|
ciluainquee nchose mouableeten c hos equin	--|------|-⌫|----|------|-|-|-⌫---⌫|--||
estpa smouable	--|--⌫|------|
qui es toi ten	--|--⌫---⌫|-|
possessionentenqueli pl aisfu	---------|-|--|--|-|--⌫--|-|
entam e ́zse il	-----⌫-⌫-|-|-|
niestoitentr ésoupa rforce ouen	||-----|----⌫--|-|--⌫|----|-|-|
repost oupar	-----|-|--|
Ilapert q ueauc unsproi se porsiuenonpastantsole ment	-|----|-⌫-|---⌫--|----⌫-|------|--|--|---|----⌫---|
seilmeismespor siet	-|-|------|---⌫---|
me zseaucu ns autres porsiet en so nnonia	--⌫|-|----⌫-|-----|------|-|--⌫|--|-|
soitce que ilne	---|-|--|-|-|
soit pas sozmisàsadroiture s i con me	---|--|-----|-|-|-------|-⌫|---⌫-|
est li cortiuerre s.	--|-|----------⌫||
Etil aper tqueilp o rsie t lachose	-|-|----⌫|--|-|-⌫-⌫----⌫|-|----|
la porsietàqu iil labailla	-|------|-|--⌫|-|-|-----|
àgarde roucilqui ill aprest aet	-|-----⌫|-|--|--|-|-⌫|-----⌫|-|
ce est ce que	-|--|-|--|
l on dist queaucunzpuet reten ir l a	|-|---|--|-----|---|-----⌫-|-⌫|
possess i onparcelui	-------⌫-⌫-|--|----|
q uila tie nte nsonnon	-⌫-|-|---⌫-|-⌫|--|--|
Et ilnozplestq ueaucunz	-|-|--|----|-⌫-|-----|
puiss etenir	-----⌫|----|
re ten ir posse ssionpars eul	--⌫---⌫-|-----⌫----|--|-⌫--|
coragesi q ueia	-----|-|-⌫-|-|
soitce queilnestoi t pasenpo s session	---|-|--|-||-----⌫|--|-|--⌫-⌫------|
nea utres ensonnon neporqua n tse	-|-⌫----|-|--|--|-|------⌫-⌫|-|
il not pascoragequan tilsen p arti	-||-|--|-----|----⌫|-||-|-⌫---|
delais sierlapos session maisdereuenir	-|----⌫---|-|---⌫------|---|-|------|
a pertqueil	-⌫---|--|-|
retient sap ossession.	------|-|-⌫--------||
Noz deismeze lsecontliu re par	--|------|-⌫|-----|---⌫-|--|
queaucunspuet conquerre	--|-----|---|--------|
posse s sio n etile stcertainnechose quenuznepuet	-----⌫-⌫---⌫|-|-|-⌫-|--------|----|--|--|-|---|
c onquerreposs essionparseul corag e.	-⌫-------|----⌫-----|--|---|-----⌫||
Entreditfur e nttroué porcausede	-------|---⌫-⌫-|-----|--|----|-|
retor reco ureir p ossess ionseaucunsest m isp ar forcehors	----|----⌫----|-⌫------⌫--|-|-----|--|-⌫-|-⌫-|----|---|
depossessio ndechampou de m aiso nquarlors puet	-|---------⌫|-|----|-|-|-⌫----⌫|---|---|---|
l entredit de fo rce par coicilquile mist	|-------|-|--⌫--|--|--|--|--|-|---|
horse stconstrainzdera ndr e lapossession .	---|-⌫-|---------|-|--⌫---⌫|-|---------||
nozauon z deuant ditse lach ose	--|----⌫|-----|--|-|-|--⌫--|
queaucunsapri se	--|-----||---⌫-|
estoitdeses bien s maisunz autres	-----|-|--|----⌫|---|--|-----|
l a porsietpa rloialtytr eilen pert	-⌫|------|--⌫|----|----⌫|-|-|---|
laseignoriepar lessains	-|--------|--|--|----|
est ablisemenzetse elee sto it	---⌫---------|-|-|--|-⌫---⌫-|
àautrequa ntil l aurara ndueil	-|----|---⌫-|-||---|--⌫---|-|
se ra constrainsderandreautretant a ̀ c elu iàqui il	--⌫-|---------|-|-----|--------|-⌫|-⌫---⌫|-|--|-|
fist la force.	---|-|----||
Cilquiaparforceaucunm is	--|--||--|----|----|-⌫-|
hors desapoestépossession esttenus parlaloi	---|-|-|------|---------|--|----|--|-|--|
queIu liusfist de forcepriue eou de forceconmune	--|--⌫---|---|-|----|-----⌫|-|-|----|------|
deforc ep ri ue e	-|----⌫|-⌫--⌫--⌫|
laforcesanz	-|----|---|
armesdefor ce conmuneseil le	----|-|---⌫-|------|-|-|-|
misthorsdesap ossessiono ar mez	---|---|-|-|-⌫--------||--⌫--|
No zantand onzparnon	--⌫|------⌫--|--|--|
d a rmesnonpastantsoleme nt escusne g laiuezet	|-⌫---|--|--|---|------⌫-|----|-|-⌫-----|-|
hia umes maisbas tons	---⌫---|---|---⌫---|
etpierres .	-|------||
Latierc ediuisio nsdes entredi s e stt elequeliun	-|-----⌫|-------⌫-|--|-------⌫|-⌫-|-⌫--|--|-|-|
suntsimp leetliau tredoub le	---|----⌫-|-|-|--⌫--|----⌫-|
Etlisimple suntencoiliunzest	-|-|-----|---|-|--|-|--|--|
demanderesetliautres	---------|-|-|-----|
estde sfan de rressiconme s un tcil	--|--⌫----⌫--⌫---|-|----|-⌫--⌫|--|
d erestitucion	-⌫|----------|
etcild efaireueni rleschos es auan tcar	-|--|-⌫|----|----⌫|--|----⌫-|----⌫|--|
cilest demanderes quirequiert que	--|--|---------|--|-------|--|
une choselis oi trandueou	--|----|-|-⌫--⌫|-----|-|
soitap o rtee auantcil	---|--⌫-⌫---|----|--|
est des fenderesàqu ilondemandequeill a	--|---⌫-------|-|--⌫||-|------|--|-|-⌫|
randeouqu eil	----|-|--⌫|-|
laportauant.	|----|----||
