#META# Text URI Cliges	-----|----⌫--|-----|
#META#DEAFno data	-----|---|--⌫---|
#ME TA # TL	---⌫--⌫|-|
#ME TA#FEW	---⌫--|--|
#META#A RLIMAhttps/ /www .arlima.net/ad/ chretien_de_troyes.html#cli	-----|-⌫----|------⌫----⌫---------------⌫--------------------------|
#META# Autho rC h rétiend eTroyes	-----|-----⌫|-⌫-⌫------|-⌫|-----|
#META #Autho rBorn	-----⌫|-----⌫----|
#M ETA#AuthorBornAmb	--⌫---|------------|
#MET A#Aut horDied	----⌫-|---⌫------|
#META#Autho rD iedA mb	-----|-----⌫--⌫----⌫-|
#MET A#A uthorFl1	----⌫-|-⌫-------|
#ME T A#AuthorFl2	---⌫-⌫-|--------|
#META #Tex tTitleCli gès	-----⌫|---⌫-----|---⌫---|
#META# TextSub t itle	-----|-------⌫-⌫---|
#M ETA# Textuo ls	--⌫---|------⌫-|
#META#TextSub iromance	-----|-------⌫|------|
#META#TextDom	-----|------|
#META#Translation	-----|----------|
#M ETA#Collection	--⌫---|---------|
#META#Collect i onNo	-----|-------⌫-⌫---|
# ME TA#TextDescA RL uer soctosyllabiquesa ̀	-⌫--⌫--|---------⌫-|---⌫|--------------|-⌫|
l e io rpleü	-⌫|--⌫|----|
quemoutestboe neet be le.	--|---|--|---⌫-|-|--⌫--|
Bien is erasa	---||-⌫--|-|
Tozles iorz	--|--|---|
que eleuiura	--|--|----|
Quei a nusho n ne	--|-⌫|--|--⌫|-|
Non uoi rsire ian i e rt seüe .	--|---⌫|---|-||-⌫-⌫-|-----⌫|
Or cu idiezuos	-|--⌫----|--|
auoirue ü e	----|--⌫--⌫|
Tot ema toretmesded u iz	---⌫|-|--|-|--|---⌫-⌫-|
detex reduiz	-|--|-----|
Qu enushom ne	--⌫|--|--|-|
porroit trouer	------|-----|
u osi loist	-⌫-||----|
Aumialz queuos p orro izcerc hier	-|----|--|--|-⌫----⌫-|----⌫---|
I an isauroiztant	-⌫|||------|---|
r euerchier	-⌫--------|
Nenus tant soitsout i x etsages	-|--|---|---|----⌫-⌫|-|----|
Quep lus trouas t cea nzestages	--|-⌫--|------⌫|---⌫-|------|
Sai nçoisn elimostremoutbien.	|--⌫-----|-⌫|-|-----|---|----|
Sachiez ilnifau tnul erien	------|-|||---⌫|---⌫|---|
Ne chosequa damecoueingne .	-|----|-||---|---------⌫|
Or niaplusmes	-||||---|--|
qu e çaue ingne	--⌫|--|--⌫----|
Ca rmo ut estbele	--⌫|--⌫-|--|---|
et aeisiee	-|------|
E tsest parde s o zesleisiee	-⌫||--|--|--⌫-⌫-⌫|--------|
Ce stetor z si	--⌫--|---⌫|-|
conuos uerrez	--|--|-----|
N eialuistr ouerni	-⌫|-||--|--⌫---|||
Ne antree denule	-|-----|-|---|
Parte lengin etpartel art	--|--⌫|----|-|--|--|--|
huisdepier redure	---|-|----⌫-|---|
Queianitroueroiziointure.	--|-|||--------|--------|
-Or oi meruoillefet	--|-|--------|--|
Alez auan t etieaprés	---|----⌫|-|-|-----|
Carmoutmest tart qu eie ce	--|---||--|---|--⌫|-|-|
LorssestIehanz misala	---||--|-----|--||-|
Simain neCligéspar	-|----⌫-|------|--|
Iusqua .i.hu is po li	----||--|--⌫-|--⌫-|
Quitozestpoinz	--|--|--|----|
etcolorez.	-|-------|
sest Iohanzacostez	|--|-----|------|
Et t intCligésparlama indestre.	-|-⌫--|------|--|-|--⌫-|------|
il hu isnefenest re	-|--⌫-|-|------⌫-|
qu iancestmurseüst.	--⌫|-|---|--|------|
Etcuidiezuosque l en p eüst	-|------|--|--||-|-⌫----|
guiset respasser	----|-⌫--------|
Sanzanpi rieretsanzquasser	---|----⌫---|-|---|------|
Cligésrespont que ilnelcroit	------|------|--|-|--|----|
Ne nelcrerraia silnel uoit.	-|--|-----|-||-|--|----|
L orsditIehanzquille	-⌫--|--|-----|-|-|-|
Et luis del mu rliouerra.	-||--|--|--⌫|-|------|
Ieh anz q uiauoitfeitelueure	---⌫--|-⌫-|----|----||----|
L uisdel mur li	|--|--|--|-|
desserr e etoeu re	-------⌫|-|---⌫-|
Si ne lemalmetn e	-|-|-|-----|-⌫|
L iuns auan t lautretrespasse	-⌫|--|----⌫||----|--------|
Et descendentpar uneuiz	-|---------|--|--|--|
Parmi.i.est age uostiz	----|--|---⌫--|-----|
OuIehanzsesoeure s fe isoit	-|-----|--|-----⌫|--⌫----|
Qant riens a feire	---|----||----|
l ipleisoit.	-⌫|--------|
S irefetilci	-⌫--|--|-|-|
ouno s somes	-|--⌫|----|
N otonquesdet restozlesh omes	|-|-----|-|-⌫-----|--|-⌫---|
QueDexafe z fors	--|--||--⌫|---|
quenosdeus	--|--|---|
Etsestsiaeisiezcist	-||--|-|------|---|
Co nuos uerroizi usqu ana	--⌫|--|------|-⌫---||||
An ce stleusoitu os trere paires	-|--⌫-|--|---|-⌫--⌫--|--⌫-----|
Et u ostreamiei soit repo ste.	-|-⌫----|---||---|----⌫---|
Texos tex est boensateloste	--|--⌫--|--|----||--|---|
chanbr eset	------⌫-|-|
Eteue chau depar	-|--|----⌫-|--|
Quiui entparconduit desozterre.	--|--⌫--|--|------|----|-----|
Q uiuoldroitleu a eisiéquerr e	-⌫-|-------|--|-⌫-----|-----⌫|
Por samiemetr eet celer	--||---|----⌫|-|----|
Moutlicouandroit	---|-|---------|
l o ing al er	-⌫-⌫--|--⌫-|
Einzqu iltrouastsi	---|-|-|------|-|
couenable.	---------|
M outle tan roiz a	-⌫--|-|---⌫---||
Q ant uosau roiz par t ot esté.	-⌫--|--|--⌫---|--|-⌫-|-----|
S ilia Iehanztotmostré.	-⌫|-||-----|--|-------|
Lorsd istCligé s	---|-⌫--|------⌫|
Iehanam is	----|--⌫-|
uoset trestozuoz	--|-|------|--|
oirs franch i s	---|------⌫-⌫|
Etsuiuostrestrestot sanzbole.	-|--|------|------|---|----|
Cean zuuelquesoit tote	----⌫|---|--|---|---|
Mamiemes nelsac henus	|---|--|--|---⌫-|--|
Fors uos etmoietlisan zpl us.	---|--|-|--|-|-|---⌫|--⌫--|
Iehanz respontu o stre	-----|------|-⌫-⌫---|
Orauonsa sez	-|----|-⌫--|
Niauonsore plu squ e	||----|--|---⌫|--⌫|
Si nosmeton sto stelrepeire.	-|--|-----⌫|--⌫-|-|-------|
-Bien auez	----|---|
dit Cligé srespont	--|------⌫|------|
Alonsnos an.Lorssan r euon t	----|--|--|---||-|-⌫----⌫|
Siso ntissuforsdelator.	-|--⌫-|---|---|-|-|---|
uile oent elretor	---|---|-|----|
Que liunsalautre c onsoille	--|-|--|||----|-⌫-------|
uosnesa uezcon gran t meruo ille	--|-|--⌫--|--|----⌫|-----⌫---|
D ema damelempereriz	-⌫|-|---||--------|
Santé lid oint	-----|-|-⌫---|
SainzEs periz	----|--⌫----|
El egist an	--⌫|---|-|
mou t g rant malage.	---⌫|-⌫---|------|
QantCligésan tantle murmure	---|------|--⌫---|-|------|
A l a cort	|-⌫|---|
uin t g ra nt a l eüre	---⌫|-⌫--⌫-|-⌫-⌫----|
Me sniotioien ede duit	--⌫|||-|---|-⌫|--⌫---|
Cartristeet	--|-----|-|
matestoient	--|-------|
Por l empererrizqu ise fa int	--||---------|--⌫|-|--⌫--|
Carlimaxdontele se plaint	--|-|--|---|--|-|-----|
Ne ligri euenenesedialt .	-|-|---⌫--|-|-|-|-----⌫|
tozqueleneuialt	--|-|--|-|----|
Que nu shom	--|--⌫|--|
an sac han b reueingne	-|-|-⌫---⌫-⌫-|------|
Tantconcistm axsi fort lateingne	---|--|---|-⌫-|-|---|-|------|
Don lic uersli dial t	--|-|-⌫---|-|----⌫|
etli chiés	-|-|-----|
Se liroisn	-|-|---||
sesn i és	--|-⌫-⌫--|
Ces.ii. n en ose eleescondir e	--|---||-|--|--|--------⌫|
M esse le mpereres sessire	-⌫-|-||-⌫-------|--|---|
Ne u ientalin el en chaut	-|-⌫---||-|-⌫||-|----|
Agran t torteta gra nt peril	|----⌫|---|-||---⌫-|----|
PorCligé smetrelacouient	--|------⌫|----|-|------|
D ece lipoise quilneuient	-⌫|-|-|----|-|-|-|----|
Carrien forsluiueoirnequiert .	--|---|---|--|----|-|------⌫|
Cli géspar tansd eu antli iert	---⌫---|--|---|-⌫--⌫--|-|---|
Tantquilliau ra	---|-|-|-|--⌫-|
ueü ettroué .	---|-|------⌫|
Deuantli uint s ili	-----|-|---|-⌫|-|
demo ra petit	----⌫-|----|
CarFenice porcequancui t	--|-----|--|-|-|-|---⌫|
Quece que li	--|-|--|-|
A d itan hautFui e z fuiez	|-⌫-|-|---|---⌫-⌫|----|
Trop megre u ez	---|-|---⌫-⌫-|
et enui ez	-|----⌫-|
Carsisu i demal agreu ee	--|-|--⌫|-|--|-----⌫-|
Ia n en seraisa inne l e uee.	-||-|----|--⌫---|-⌫-⌫---|
Cligéscuicistmoz atalante	------|--|---|--|-------|
Sanuetfeisan tchi e re dola nte	|-|--|------⌫|---⌫-⌫-|----⌫--|
Quainzsi do lante ne	-|---|-|--⌫----|-|
ueï st es.	----⌫--⌫--|
Moutpu etestrepardefors tristes	---|--⌫-|----|--|-----|------|
Messescuers	--|--|----|
liezd edanz	---|-⌫----|
i oie est atendanz.	-⌫--|--|--------|
L empererrizsanz malqueleai t	|---------|---|--|-|--|--⌫|
Seplaintetmalade se	-|-----|-|-----|-|
Etlem pereresquila	-||--⌫------|--|-|
feireneserecro it	----|-|-|-----⌫-|
Etmi resqu errelienuoie	-|--⌫--|--⌫---|-|-----|
Mes elneuialtquenus	--|-|-|----|--|--|
Neles leisse a li ades er.	-|--|-----||-|----⌫--|
Ce puetl empereor pes er	-|---||-------|---⌫-|
Queleditqueia	-|--|--|--|-|
Mirefors.i. qui li	---|---|--|--|-|
Legiere mantdoner santé	-------⌫---|----|-----|
Qa ntluiuendraauo lanté.	--⌫-|--|-----||--⌫------|
Cill aferamor ir	--|-⌫|---|---⌫-|
Ancelui se m etadel iu re	-|----|-|-⌫-||---⌫--⌫-|
Etdesantéet de	-|-|-----|-|-|
c ui de ntque	-⌫--⌫--⌫-|--|
Mesm outamaleent ancion	--|-⌫--||---|---⌫-----|
nantant s aCligés non	|-----|||------|--|
dexquilapuet garir	--|--|-|---|----|
Et qui lapuetfe ire morir.	-|--|-|---|--⌫--|-----|
Ensilem pererriz se g arde	---||--⌫-------|-|-⌫---|
mires nesan prantgard e	----|-||-|----|----⌫|
N el e neuialt	|--⌫|-|----|
mangierneboiure	------|-|-----|
Porl empereormialz dec ̧oiure	--||-------|----|---⌫-----|
Tantquetotee st	---|--|---|-⌫-|
etpaleetper se.	-|---|-|---⌫--|
Et samestreantor lico nuerse	-|-|-----|----|-|--⌫-----|
Qui parm out merueilleusegui le	--|--|-⌫--|-----------|---⌫-|
A quispartr estot ela	|---|--|--⌫-----⌫|-|
Celeemant quenus	--------|--|--|
Deson entouchementp lein pot*	-|--|-----------|-⌫---|--||
De m ortelmal s anz garison .	-|-⌫----|--|-⌫--|-------⌫|
Por m ialzfeire latraï son	--|-⌫---|----|-|-----⌫--|
Laloit uisitermoutsouant	|----|------|---|-----|
Et si limetoita nco uant	-|-|-|-----|-⌫|--⌫---|
Qu elelagarroit	-|--|-|------|
deson mal.	-|--|---|
i orunorin al	-⌫-|-|----⌫-|
Li portoitporueo ir	-|------|--|---⌫-|
Tant queleuitquemedecine	---|-|--|--|--|-------|
Iameseidier n elipor ro it	-|--|-----|-⌫|-|---⌫--⌫-|
E tmeïsm e sceior morr oit.	-⌫|------⌫-⌫|-|--|----⌫---|
orinerapo rtee	----|----⌫---|
estroitemantgardee	-----------|-----|
Tant quel emper eresleu a .	---|--||-----⌫---|---⌫-⌫|
Maintenantdeuantlui sanua	---------|-----|--||-|-|
Seuoscomandez	-|--|-------|
Sire toz uozmires	---|--|--|----|
Carmadameasorinefeite	--|-|---|||----|----|
Quidecestma lmoutsedesheite	--|-|---|--⌫|---|-|-------|
queli m irela	--|-|-⌫--|-|
Mes queiadeu antlinesoient.	--|--|-|---⌫--|-|-|------|
Limireu indr ent anla	-|---|-⌫----⌫--|-|-|
Lorineuo ient	|----|--⌫---|
pesmeetmale	----|-|---|
Siditch as cunsceque luisa nb l e	-|--|--⌫--⌫---|-|--|--|--⌫--⌫-⌫|
Ta ntq u a cesac ordent ansanble	--⌫-|-⌫||-||--⌫-----|-------|
mesn e respassera	--|-⌫|---------|
Et s etant uitdontau plustart	-|-⌫|---|--|---|-|---|---|
Neprandra Dex	-|------|--|
Ceon ta consoilmurmur é.	-|--⌫||------|------⌫--|
Lorslor adi t etconiuré	---|--||--⌫|-|-------|
Len p ereresque	|--⌫-⌫-----|--|
uoira n dï ent.	---|-⌫|---⌫---|
Cil responentqu ilnese fïent	--|--------|-|-|-|-|-----|
Denean tanson respasser	-|----⌫|-|--|--------|
Neneporra nonepa sser	-|-|----|---|--⌫---|
naiteinç oislamerendue.	|--|-----⌫--||--|------|
Qa nt laparoleaentandue	--⌫-|-|-----||-------|
Le mper ere apoin nes setient	|-⌫----⌫--||----⌫--|-|----|
Quep asmez at erre	--|-⌫----||-⌫---|
Et maint de sautres quil oïrent.	-|----|--⌫|-----|--||-------|
Onquesmes g entt eldu elne firent	-----|--|-⌫--|-⌫-|--⌫-|-|-----|
Con lo rsotparto tle pal ais.	--|--⌫-|-|--|--⌫|-|---⌫---|
Lap aroledelduel uos lais	-|-⌫----|--|---|--|---|
Sauezque Tessalaporchace	----|--|------|-------|
Quilapoisonde stranpre et	--|-|-----|--⌫-------|-|
Destrempree laet	----------|||-|
Deloingsefu aparceüe	-|----|-|-|--------|
D etotquanqueele sauoit	-⌫|--|------|--|-----|
Quala p o ison mesti erauoit.	-||-|-⌫-⌫---|-----⌫-|-----|
.I.petiteinzloredenone	--|----|---||--|-|---|
a boiureli	|-----|-|
Etlors des q u	-|---|--|-⌫|
elelo tbeüe	--||-⌫|----|
troblee laueüe	------|-|----|
Et aleuissi paleet	-||-|--|-|---|-|
Consele eüstper dulesanc	--||--|----|---⌫-|-|---|
Nepiénemainnereme üst	-|---|-|---|-|----⌫---|
Qui uiuee scorchie r la de üst	--|---|-⌫--------⌫|-|--⌫---|
Nel nesecrosle ne dit	|-|-|-|-----|-|--|
Etsantantelebienet ot	-||-----|--|---|-|-|
Leduel que	-|---|--|
lempereresm ainne	|--------|-⌫----|
don la salee stpla inne.	--|-|---|-⌫-|---⌫----|
Et p art ot el a	-|-⌫-|-⌫--⌫|-⌫|
uilecr ïe nt	---|--⌫---⌫-|
Lesge nz qui plorent etquidïent	--|--⌫-|--|------|-|--|-----|
Dexquel enuiet q uel contraire	--|---|---|-|-⌫--|--------|
Nosafetlamorzdep utaire	--||--|-|---|---⌫-----|
M orztro pesmaleet couoiteuse	-⌫--|---⌫|-|---|-|---------|
Etsorprenanz etenuieu se	-|---------|-|------⌫-|
Quinepuez estres aoulee .	--|-|---|----|-⌫------⌫|
Onq ue smessimalegolee	---⌫--⌫|--|-|---|----|
N ep oïstu doner au monde.	-⌫|-⌫---|-|----|-|-----|
Morzqu astufet	---|-|-|-|--|
Dext eco nfonde	--|-⌫|--⌫-----|
Quias totebiautéestainte.	--|-|---|------|--------|
Lameillo rchose etla plussaint e	-|------⌫|----|-|-|---|-----⌫|
Queonques[ ...]afeire	--|-----|-⌫---||----|
andu rast.	----⌫----|
TropestD ex degrantpacie nce	---|--|-⌫-|-|----|-----⌫--|
done auoirpuiss ance	---|----|-----⌫---|
Des soe sch ose s depeci e r.	--|---⌫|--⌫---⌫|------⌫-⌫-|
OrsedeüstDexc orrecier	-|-|-----|--|-⌫-------|
hors detab ataille	---|-|-|-⌫------|
a sfetgran tanu iaill e	-⌫|--|----⌫|---⌫-----⌫|
Etgrantorgueletgrant oltrage.	-|----|-----|-|----|-------|
Ensitozlip ueples	---|--|-|-⌫-----|
To rdentlorpoi nzbatentlorpau mes	--⌫----|--|---⌫-|-----|--|---⌫--|
Etliclercan	-|-|----|-|
lisen t lor saumes	-----⌫|--|-----|
Et p rïentpor l a boen edame	-|-⌫-----|--|-⌫|----⌫|---|
Qu eDexmercili f ace alame.	--⌫|--|----|-|-⌫--|||---|
lermesetles	-----|-|--|
t esmoin g ne li es criz	-⌫------⌫-⌫-|-|--⌫---|
Son tuenutroi fisicien	---⌫|---|---|-------|
De Salernemout	-|------|---|
Oulong ueman t	-|----⌫-----⌫|
or entesté	--⌫--|----|
Por le duelsesontares té	--|-|---|-|---|----⌫--|
Sidemandent etsian qu ierent	-|--------|-|-|--⌫--⌫-----|
criet leslermesierent	--|-|--|-----|-----|
Por cui safolentet con fondent.	--|--||------|-|---⌫-------|
Cil lordïen t	--|--|-----⌫|
q uilorre spon dent	-⌫-|--|--⌫----⌫---|
Dexseignordo nn elsauez	--|------|--⌫|-⌫-|----|
Decedeuroi t ansanbleonos	-|-|------⌫|-------||--|
Desir rertoz limonde satire	-----⌫--|--|-|-----⌫||---|
Silsauoit lograntdueletlire	|-|-----|-|----|---|-||--|
Etl ed omag eet lagrant perte	-|-⌫|-⌫----⌫|-|-|----|----|
Quan cestiorn os es tauenu	-|-|---|--|-⌫-|--⌫|----|
Dex domestesu os	--|--|----|-⌫-|
Quines auezquestauenu	--|-|-⌫---|-|--|----|
Oren droi ta ncesteci té	-|--⌫----⌫|-⌫|----|--⌫--|
Nos uosd iron s laue rite ́	--|--|-⌫----⌫|-|--⌫----⌫|
Car aconpaignieruo s uolons	--|-----------|--⌫|-----|
coinosno sdolons.	--|--|--⌫|------|
Ne sauezde la mortdestroite	-|----|-|-|---|--------|
totcouo i te	--|----⌫-⌫-|
Etentozleusle	-|-|--|---|-|
mialzagaite	----|-----|
Quel felen ieaele o rfait e	---|-----⌫-||--|-⌫|----⌫|
Sicome lean estcostumier e	-|--|-⌫-|-|--|---------⌫|
Duneclartédunel umiere	|--|------||--|-⌫-----|
AuoitDex l e mo nt	----|--|-⌫|--⌫-|
CequeMo r zaacostumé	-|--|--⌫-⌫||--------|
müerqu e le ne face	----|-|-⌫-|-|---|
Toziorzas onpooiresface	--|---||-⌫-|----|-----|
Lemial z queele	-|----⌫|--|--|
pue t t ro uer.	---⌫|-⌫--⌫---|
Oruialt son	-|----|--|
pooiresp rouer	----|---⌫----|
Saprispl usdebienen	||---|--⌫-|-|---|-|
Quelenena lessiéd efors	-|--||-||------|-⌫----|
Seleeüst totlemonde p ris	|--|----|--|-|----|-⌫--|
Ne üst el emiefetpis.	|-⌫---|--⌫|--|--|---|
Biautéco rteis ieetsauoir	------|--⌫-----⌫-|-|-----|
Etq u anquedamepuet	-|-⌫-⌫----|---|---|
Qu apartenirdoie abonté	-|--------|---||-----|
Nosa tolue t m es cont é	--||---|-⌫|-⌫--⌫----⌫-|
Lamorz qui tozbiensaperiz	-|---|--|--|----||----|
Enma dame lempererriz	-|-|---||---------|
Ensi n osa	---|-⌫-||
lamorz tuez.	-|---|----|
-HaDexfontl i miretuh ez	--|--|---|-⌫|---|-|-⌫-|
C estecité bienles au omes	-⌫---|----|---|-|-⌫--⌫---|
Q an t gran t pieçauenu nisomes .	-⌫--⌫|----⌫|----||---|||-----⌫|
Sen osfussiensuenu	-|-⌫-|-------|---|
Moutsepoi ̈st la morzp risier	---|-|---⌫--|-|---|-⌫-----|
Seaforce rien nostolsist.	-||----|---|--|-------|
-Seignor ma dam ene	-------|-|---⌫|-|
Porrienqueuos la	--|---|--|--|-|
u eïss iez	-⌫-----⌫--|
Neq ua li poinnem eïssiez .	-|-⌫||-|-----|-⌫--------⌫|
Des boensmiresassez i o t	--|----|----|----||-⌫|
Me s onquesma	--⌫|-----|-|
dame neplot	---|-|---|
Queu nsneautres	--|-⌫-|-|-----|
N edesonmalsantremeïst.	-⌫|-|--|--||-----------|
Nonpar foi	--|--|--|
cen e fistelmon.	-|-⌫|---|-|---|
so uintdeSalemon	--⌫---|-|------|
fame ta ntl e haï	---|--⌫-|-⌫|---|
Que com e morte	--|---⌫|----|
Espoirautel a ceste fet	-----|----||----|--|
Messe i lpueentparnul plet	--|-|-⌫|-----|--|--|---|
Fe iretant q ueillasant issent	--⌫--|---|-⌫-|-|-|----⌫-----|
homnez porquan	--|--|--|-|-|
ma nti ssent	--⌫---⌫----|
Se barat i pu een tueoir	-|----||--⌫---⌫|----|
Que iln end ïent	--|-||-|-⌫----|
totle uoir .	--|-|----⌫|
ue rslatorsanuontmainte nant	--⌫-|-|--||-|---|------⌫---|
Oulen n oï stpas Deutonant	-||-||---⌫-|--|--|-----|
Te lnoiseettelcrii auoit.	--⌫|----|-|--|--||-----|
Lim estresd	-|-⌫-----||
axquiplussauoit	-|--|---|-----|
Est dro ita labiereaprochiez.	--|---⌫-||-|----|---------|
lidist N iatochiez	-|---|||-------|
Nenu s arrierenelen oste.	-|--⌫|------|-||-|----|
Etsorlepi z et sorl a	-|--|-|--⌫|-|--|-⌫|
lamainet santsanz	-|---|-|---|---|
Quee leaelcorslame	--|-⌫-||-|---||--|
Bienleset e t bien	---|-|--|-⌫|---|
l apar çoit.	|----⌫-----|
Lemp ereordeuant	|---⌫----|-----|
Quid e duel safoleetocit	--|-⌫|---||----|-|---|
Enhaut sescriesili di t	-|---||-----|-|-|--⌫|
Empe r ere sconfor tetoi	----⌫-⌫---⌫|------⌫-|--|
Ie s ai certa innemant e tuo i	-|-⌫-|-----⌫-------|-⌫|--⌫|
Qu ecesteda mene s t pasmorte.	--⌫|----|--⌫-||-⌫-⌫|--|-----|
Leissetonduel si	-----|--|---|-|
teco nforte	-|--⌫-----|
Car se uiue ne la tera nt	--|-|---|-|-|-|--⌫-|
ocioutum e	--|-|-|-⌫|
Maint enan tabe iss eet ac oi se	-----⌫----⌫|---⌫---⌫|-|--⌫--⌫-|
Pa rle pal e ́stot elanoise	--⌫|-|---⌫-⌫-|---⌫|-|----|
Etl empereresd itaumire	-||--------|-⌫-|-|---|
Cor li l oist	|-|-|-⌫---|
coma nderetdir e	----⌫---|-|---⌫|
Sauolan t étotadeli ure	-|-----⌫-⌫-|--||----⌫--|
Sel emperer rizfe tre uiure	-||-------⌫--|--⌫|--⌫----|
Sorluiier tsireetcomanderres	--|--|---⌫|---|-|----------|
Mespanduz seraco melerr es	--|-----|---|--⌫-|----⌫-|
Seil liaman tid e	-|-|-||---⌫-|-⌫|
Etcilr espon tIel	-|--|-⌫-----⌫|-||
aiez merci	---|----|
Sauospa rlerne	||--|--⌫---|-|
Totsanzpa nser	--|---|--⌫---|
etsanzcu i dier.	-|---|--⌫-⌫----|
Fa itesmoicestpalésuuidier	--⌫---|--|---|-----|------|
Q ueunsneau tres niremain g ne.	-⌫-|--|-|--⌫---|||------⌫-⌫--|
Lemal qui ladamemehaingne	-|--|--|-|---|--------|
M est uetueoir priueemant.	|---⌫--|----|----------|
Cistdui mire	---|--|---|
t antseule m an t	-⌫--|-----⌫-⌫--⌫|
icirema ndront	--|----⌫-----|
Cardemaconpaignieso nt	--|-|-|---------|--⌫-|
E tt ui tliautrefor ss	-⌫|-⌫--⌫|-|----|---⌫||
Cestechose	----|----|
contredeïsse n t	-------------⌫-⌫|
CligésIe han z etTessala	------|--⌫---⌫|-|------|
Mestu i tcilqui estoien t	--|--⌫-⌫|--|--|-------⌫|
Lepoïssent	-|--------|
a mal torner	|--|-----|
S il leuolsis senttrestorn er	|-|-|------⌫---|--------⌫-|
Porce seteisentet	--|-|-|------|-|
Cequeasautresloer oent	-|--|-|-----|---|---|
Si sont for s de l	-|---|---⌫|--⌫|
palésissu.	-----|----|
Etlitroi mireont d escosu	-|-|---|---|--|-⌫-----|
Lesuair eladame	-|-----⌫|-|---|
Onq uesniotc ostelneforc e	---⌫--|||-|-⌫----|-|----⌫|
PuislidïentDamenaiez	---|-|-----|---||---|
Peor nene uosesmaiez	---|-|-|--|------|
Mes p arleztotseu ̈remant.	--|-⌫----|--|---⌫-------|
Nossa uonsbien certainn em ant	--|--⌫---|---|--------⌫--⌫--|
Que toteestes sainneet heitiee	--|---|----|-----|-|------|
Messoiez sageet	--|----|---|-|
Nederienneuosdesperez	-|-|---|-|--|-------|
Car sec onso il nos requerez	--|-|-⌫----⌫-|--|-------|
T uit troiuosass eürerons	-⌫--|---|--|---⌫--------|
Qu anoz pooirs	-||--|-----|
uoseiderons .	--|--------⌫|
Neldeuez mierefuser.	--|----|--|-------|
cuid entamuser	----⌫--|-----|
Etd escourir mes nelorualt	-|-⌫-------|--|-|--|---|
Quel n e na soingneli	-|-||-⌫||----|-|-|
Delseruise	--|------|
qu illi prometent	-|-|-|--------|
De grantoiseu se s antremet e nt.	-|----|-----⌫-||--------⌫-⌫--|
Etquantl i	-|----|-⌫|
fisicienu oient	-------|-⌫----|
Que uerslir i e n n	--|---|-|-⌫-⌫-⌫||
esploiteroient	-------------|
Par los engen e parp roi ere	--|---⌫---|-⌫|--|-⌫---⌫--|
giete nt forsdela	-----⌫-|---|-|-|
Et d i ̈ ent sele n e par ole	-|-⌫-⌫-⌫--||--|-⌫|---⌫--|
Qu elseta nra	-|-|-|--⌫--|
ancuipo rfole	----|--⌫|---|
Que il feront	--|-|-----|
teleme ruoille	---|--⌫------|
Del iquainznefula	-|-⌫|-|---|-|-|-|
Denul corsde famecheitiue.	-|--|---|-|---|--------|
Bien sauonsqueuos es tes uiue	---|-----|--|--|--⌫--|---|
Neparler anos ne daigni ez	-|-----||--|-|------⌫-|
Biens auons queuosuos faigniez	---|-⌫----|--|--|--|-------|
Sitraïssiezlempereor.	-|---------||--------|
Naiezmiedenos	|---|--|-|--|
Mes s en usuos acorreciee	--|-⌫|-⌫-|--||--------|
Einçoisque	-------|--|
uos a ie nsbleciee	--|-⌫--⌫-|------|
uostrepleisir n os des c ourez	-----|------|-⌫-|---⌫-⌫----|
Car t rop ui len emantourez	--|-⌫--|--⌫---⌫----|----|
uosseronsen	--|-----|-|
sauoir o ud efolie.	-----|-⌫|-⌫|-----|
Ne pue testreriennelorui alt .	-|---⌫|----|---|-|--|--⌫---⌫|
Lorslidonerent. i. assalt	---|-|-------|-⌫-|-----|
Parmiledosdelorcorr oies	----|-|--|-|--|----⌫---|
San perentco ntreual lesro ies	|-|-----|--⌫------|--|--⌫--|
Ettantlib atents acha rtendre	-|---|-|-⌫----|-⌫|---⌫|-----|
Queil anfontle s an cespendre.	--|-|-|---|-|-⌫--⌫|--------|
Qant des corroieslontbat ue	---|--|-------||--|---⌫-|
l acharliont ronpue	-⌫|---|-|--|-----|
Etlisan s contr eu allicort	-|-|---⌫|-----⌫--⌫-|-|---|
Qui parmilespla ieslis ort	--|----|--|---⌫--|-|-⌫--|
Nenporentil a nco rrie nfa ire	|-|-----|-|-⌫---⌫|---⌫|--⌫--|
ne p arole traire	-|-⌫----|-----|
crosl enem uet.	-----⌫|-|-⌫---|
Lors dïentqu eillor	---|-----|--⌫|-|--|
Feu etplon c querreq uil	--|-|----⌫|-----|-⌫|-|
Qu espaumes gi tier	-|-|-----|--⌫---|
liuol dront	-|---⌫----|
Ei nçoisquep arler	--⌫-----|--|-⌫----|
Feuetplon c qui eren tet porchace nt	--|-|----⌫|---⌫----⌫|-|--------⌫-|
Le feualumentetplonc	-|--|------|-|----|
Ensiafolentet confonden t	---|------|-|---------⌫|
La dame lifelo nribaut	-|---|-|----⌫|-----|
Qui leplo nctotboi llant etchaut	--|-|---⌫-|--|---⌫----|-|----|
Sicomill ontdelfeu osté	-|--|-||--|--|--|----|
L i ontanz es paumescolé.	-⌫|--|--|-|-----|-----|
N enc ornelorestpas as sez	|---⌫-|-|--|--|--|--⌫--|
Deceque liplo ns estpassez	-|-|--|-|---⌫-|--|-----|
Parmiles pau mesdoutre enoutre	----|--|---⌫--||----|-|----|
Einzdïe ntlicuiuertau outre	---|----⌫-|-|------|--⌫----|
Quesele ne	--||--|-|
paroletost	-----|---|
