#ME TA# TextURIAigarB	---⌫--|------|-----|
#META# DEAFhttp//www.deaf-p age.de/bi bl/ bib99a .php#AigarB	-----|---|----------------⌫---------⌫---⌫------⌫----------|
#ME TA#FEW	---⌫--|--|
#META#ARLIMAhttps// ww w.arlima.net/ad/aigar_et_maurin . html	-----|-----|-------⌫--⌫-------------------------------⌫-⌫---|
#ME TA#Au thor	---⌫--|--⌫---|
#META#AuthorBorn	-----|---------|
#META# AuthorB ornAmb	-----|-------⌫-----|
#META#Au thorDied	-----|--⌫-------|
#META#AuthorDiedAmb	-----|------------|
#MET A#AuthorFl1	----⌫-|--------|
#MET A# Au tho rFl2	----⌫-|--⌫---⌫---|
#META# TextTitle Aiga ret	-----|--------|----⌫|-|
#META # TextSubtitle	-----⌫|-----------|
# ME TA#T extuols	-⌫--⌫--|-⌫------|
#META# Tex tSubiepic	-----|---⌫----|---|
#META#Text Dom lit	-----|----⌫--|--|
#META #Translati onfalse	-----⌫|---------⌫-|----|
#META#Coll ection	-----|----⌫-----|
#META#CollectionNo	-----|-----------|
# META#TextDescARLuersdécasyl labique s rép artisenlaissesmono rimes	-⌫----|----------|---|--------⌫-------⌫|----⌫----|-|------|----⌫----|
#META#TextDe scuers	-----|------⌫-----|
#META#Te xtDa teARL12e	-----|--⌫----⌫----|--|
#META# TextD ateAdi	-----|-----⌫-----|
#META#TextDateMin1 166	-----|----------|-⌫--|
#M ETA# TextDa teMax	--⌫---|------⌫----|
# META# EdEditor Alfred	-⌫----|-------|-----|
#META#EdP l ac e	-----|---⌫-⌫--⌫|
#META#E dPublisherRomanischeF orschungen	-----|-⌫---------|---------|-⌫---------|
#META#Eduol14	-----|----|-|
#META#EdYear1903	-----|-----|---|
#ME TA#EdPages1 -102	---⌫--|------|-⌫---|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
#ME TA#MsN u m1	---⌫--|---⌫-⌫||
#META#MsDateARL	-----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
#M ETA# Formu	--⌫---|---||
#META#Complete true	-----|-------|---|
#META# NoWords	-----|------|
#M ETA#NoLines	--⌫---|------|
#META# DialAuthocci tan	-----|-------|----⌫--|
# META # D ia lS cribe	-⌫----⌫|-⌫--⌫--⌫----|
#META #ScanURLhttps//archi u e .org/ d etai ls/romanisc heforsch14franu oft	-----⌫|------|------------⌫-⌫-⌫-----⌫-⌫----⌫-----------⌫---------------⌫--|
#MET A# ScanURIOther	----⌫-|-----------|
# META# ArkID ark/13960/t93 77i81 z	-⌫----|----|-------------⌫-----⌫|
#ME TA#Lccn I D	---⌫--|----⌫-⌫|
#META# Oc lcI D	-----|--⌫---⌫|
#MET A# We bAuth or Dau id	----⌫-|--⌫-----⌫-|---⌫-|
I osephWr isley	-⌫----|--⌫----|
Descielfucre guslifi ls	----|-|-|---⌫--|-|--⌫-|
Cilqui nollauede parlar	--|--|--|---|-|-----|
Tuit oautreient maislo uescompsSicars.	---||--------|---|-|-------|------|
Se guentre parl eDraugue	--⌫------|----⌫|------|
lape rçobus	|---⌫------|
M a urinscaualge egarde nono mus	-⌫-⌫----|------||----|--||--|
Ke lore ises	-|-|--⌫-|-|
merma setconfondus	-----⌫|-|--------|
u assauantl orcaua lsperdus	-⌫----|--|-⌫-|----⌫-|-----|
Elautr eaueirq ueçaiesrema sus.	||----⌫|----|-⌫-|---|-|----⌫---|
Abansquesie amendaserendu s	----|--|--|------||-----⌫|
Ni e lderencobrase	-|-⌫|-|--|-----||
Iassor breluie	--|---⌫--|--||
despoille t os	--------|-⌫-|
Enlon ges terrese rloblasmes	-|---⌫--|-----|-⌫|-|------|
Kesorbrelreii a sMaurins locanus.	-|------|--|-⌫-⌫|------|-|-----|
Se beniperssi seras erobus.	-|--||---|-|----|------|
S eguent relui parlet F ol quesdosmoz	-⌫------⌫-|--|-----|-⌫--⌫---|--|--|
Maurinscaualge unon sies ia	------|------||--|---|-|
Erenpos moureg rantiree grant	-|-|--|----|-⌫---|--||----|
Maineta geldeelsborioiselsnoos	----|-|----|--|------|--|---|
Kilorenpirente les fonse t	-|--|-------||--|---|-⌫|
Etuerberges e suerdïersdeso s	|-|-------|-⌫|--------|-|--⌫|
E laissecorre	|-----|----|
tosfils etos	--|---||--|
Kepe c hoasnert bons	-|--⌫-⌫---||--|---|
cast elseros.	----⌫--||---|
Autr iasforese	----⌫--|---|-|
f os auispertos	-⌫-|---|--|--|
rauseac pa uque la uos.	---||-|--⌫---|-|---|
S eguentre p arle Alerans li	-⌫-------|-⌫---|------|-|
Lip roslis aibe slob onconfanoners	-|-⌫--|-|-⌫----⌫|-|-⌫-|----------|
fobofarsni	-|-----|-|
trop pariere	---|------|
Sicartest os	-----|-|-⌫-|
mosconsïers	--|--------|
K el esdecors aibeseconseillers	|-|-|-|--|-⌫----||----------|
batailleardise f aisenders	-------|----||-⌫--------|
Croirel odeudeconse il uns	-----|-⌫|--|-|-----⌫-|--|
Seluiplogue s	-|--|------⌫|
que lui nonlaueste rs	--|--|--|--|----⌫-|
BonuederfiredeTubieelscloce rs	--|----|---|-|----|--|-----⌫-|
Eltorneis fosloretorsuolunte rs	-|------|--|-|-----|-------⌫-|
reis esforshomebons	---|-|---|--||---|
Esos f ils tantde maltalantlegers	|--|-⌫--|---|-|--------|-----|
Kemanderantde cap	-|--------|-|--|
lor ostelers	--|-------|
E a breuioruiram losa r enge rs.	||---|--|----|--|-⌫-⌫----⌫--|
E nosaiqui	|--|----|
eneisa iquelgrauers	-|--|-⌫----|------|
Siemarmatalei de cauaillers	---|----||--|-|---------|
Efazemrancz degelde s e d ar cers	|----|----|-|-----⌫|||--⌫---|
ueientloster rers	-----|--|---⌫---|
Kantdinsdenos auracentesd estrers.	---|---|-|--|---|---|-|-⌫-------|
Dien tliautreBenodi stlo Baiuers .	----⌫|-|----|--||--⌫-|-|-------⌫|
Desqu ant Si cars los	--|--⌫--|--⌫---|--|
atosesc oltas	|--|---⌫----|
Demalta lentes	-|-----⌫---|-|
s usen pesleuas	-⌫-|-|--|----|
Ahi Maurincom es malcon seillas	--|-----|--|-|--|---⌫------|
Detosconsaustieseniouenttorn as	-|--|------||--|-|-----|----⌫-|
Kartu ittedien tMaurin	--|--⌫-|-|----⌫|-----|
carca uali as	--|--⌫----⌫-|
El no nsegardent	-|--⌫|-|------|
si esse nsof oldas	-|-|--⌫-||-⌫----|
Car se ue n f ui sse cr e gusni esc olt as	--||-⌫|-⌫|-⌫--⌫--|--⌫-⌫--|-|---⌫---⌫-|
Espiessemcargrans es liregnas	--------|--|----|-|-|-----|
Unde srixbors	-|--⌫|--|---|
od elasfor scitas	|-⌫|--|---⌫|----|
Ef u issem ia nscomen	|-⌫-⌫----||-⌫-||-|-|
fos sela s	--|----⌫|
Epreïssemaure argent as sas	|--------|--||-----|--⌫--|
Emusemulese d estrerssoio rna s	|--||----||-⌫------|----⌫---⌫|
E uair egrisebo ns pai lespel as	|---||---||--⌫-|---⌫--|---⌫-|
Dequei tufuissesrixh o m	-|---|-|------|--|-⌫-⌫|
Unagra nt partdet o sambars p aias	--|---⌫-|---|-|-⌫-⌫|-----|-⌫---|
tuuasaTubieei ia s	-|--||----|||--⌫|
La ore is esters desconfis to rnas	-||--⌫-|--|--|--------|--⌫---|
Tul as iurat fi ances e	-||-|----|--⌫----||
Euieemenbre quei a	|--||-----|--|-⌫|
nolprenias	--|------|
E si me ssiegesino s	|-|--⌫|----|-|--⌫|
non adannas	--||-----|
D aiq uienan tseras	|---⌫-|----⌫|----|
sospariuras	--|-------|
queDex tensieira s	--|--||-|--|---⌫|
Keno nesdrei squelreis	-|--⌫|-|----⌫|---|---|
sieaseias.	--|------|
Maistantt esforc et amaleuol untas	---|---||------⌫|-⌫|---|---⌫----|
Eto sorguels e t os sorbrepens as	|--⌫|------||-⌫-|----------⌫-|
Ketu iras iamos	-|-|---|-|--|
no ner canias	--⌫|-|-----|
abtei iasoitc eque	-|--|-|---|-⌫|--|
Seuremanief erie que maluas	|-|------|-⌫---|--|-----|
Mais lentirai uersquant	---|---|---|---|----|
uenraiuias	-----|---|
Kelo r e is	-|-|-⌫-⌫-|
esrixhomenpo estas	-|--|--|----⌫----|
E cobrar antsoi homedetoslas	|------⌫--|--|---|-|--|--|
E erdeca psos rerebanscridas	|-|-|--⌫|--|-------|-----|
Quenonremaig neho m uisde	--|--|------⌫-|--⌫|--|-|
E sos fils es tant	|--|---|-|---|
p rosetantm enbras	-⌫--||---|-⌫-----|
Kansnonpartratr o	|--|--|-----|--⌫|
ses ieuenias.	-|-⌫-|------|
ia nonseraiblas mas	-|--|----|----⌫--|
N edel g aiaignonu olesser	-⌫|--|-⌫----|--|-⌫-|----|
Queligramairediient e li	--|-|-------|-----||-|
Korguelsnon ch aide sci ques aus montas	|------|--|--⌫-|--⌫--|-|-|--|-----|
Maisatantesdomesapoderas	---|----|-||---|-------|
Ketosiors n as	-|--|---||-|
X XXmiledarmas.	-⌫-|---||-----|
Ianongarras nieste rasem pas	-|--|-----|-|----⌫--|-|--|
De sci e nsiesamesuretor nas	--⌫--|-⌫|---||-----|---⌫--|
A doesmilequenasdetos	|---|---|-|-|-|-|--|
Loconsauspart	-|------|---|
q ueSicars nesforzas.	-⌫-|-----||-|------|
Tr oa tiercior	--⌫||----|--|
al c uns iras.	--⌫-⌫--|----|
Lic o nsau sparteil	-|-⌫-⌫----⌫|---||-|
uantarberiar	---|-------|
Ealma tin fantl e s	|-|--⌫--|---|-⌫-⌫|
gr aisless onar	--⌫-----|-⌫---|
EMaurinsfaitalLansso nban	|------|---|-|---|--⌫|--|
Esi el fainonpocarreirres tar.	|-|-|--|--|--|-----|---⌫---|
Falconcomande	-----|------|
EaBosun lo[s]prem i ersagu i dar.	||----|----|----⌫-⌫--||--⌫-⌫---|
Soslecas t el passen t alpo nt de l	--|-|---⌫-⌫-|------⌫|-|--⌫-|--⌫|
Elcamp Gre s leis loncla ribedeClar.	-|---|---⌫-⌫---|---|-|---|-|----|
Ai qu i uir astantbonuassausarma r	--⌫--⌫|---⌫-|---|--|------|----⌫|
Tant bl anchosber c e tantelmelaçar	---|--⌫--|------⌫||---|---|-----|
E tante iupeuestireafublar	|----|---|-----||------|
Faitesd e pail e	-----|-⌫|----⌫|
grisedeuar.	---||-|---|
Ma u rinslos re nge	--⌫-⌫---|--|--⌫--|
rix homebar	--|--||--|
Mi l napremers e scarit fet	--⌫|||------|-⌫-----|--|
Ei aTubie lor irant l assaut fa r	-||----|--|----||-----|--⌫|
EAlerans f ait	|------|-⌫--|
lensegneportar	|------|-----|
Perdreitsadognequ ilo r	-------|-|----|--⌫|--⌫|
aut caleniar.	--|--------|
elme sfet s eguentre lsa nna r	----⌫|--|-⌫------|-⌫-|-⌫---⌫|
E s abatailleapresentc a ualcar.	|-⌫|-------||------|-⌫-⌫------|
Elfils del rei ala mais nade	-|---|--|--||-|----⌫---|
Es taitde nuitsorlar ibede	--⌫---|-|---|--|-|-⌫--|-|
nausf et son c astelfer m ar	---|-⌫-|--|-⌫----|---⌫-⌫-|
Asnautoners quenon	-|--------|--|--|
laissentdesf ar	-------|----⌫-|
K i ason si egesepuisse recobrar .	-⌫||--|--⌫--|-|-----|--------⌫|
Eala lun eal premeriaucantar	||-|---⌫|-|-----|--|-----|
Dreit ue rsTubie senenquet	----|--⌫-|----||-|-----|
Ansiorsemet e nlesaiesgesm ar	--|--|-|--|-⌫|--|---|----⌫-|
El reis Aigarsco mencetaparl ar	-|---|-----|--⌫-----||----⌫-|
F ranchemais nadetantuosuoldraipregar	-⌫-----|----⌫---|---|--|------|-----|
Ke m aiudesques	-||-----|---|
honte aueniar.	----||------|
L ost maues faitquemdeuesper	|--||---|---|---|----|--|
Mossoldaders uos uo lrai ap elarP	--|--------|--|--⌫---|--⌫---||
ermon aueirquem annesaiu d a r	-|--|----|--||----|---⌫-⌫-⌫|
Sien uos met co stume d	-|-|--|--|--⌫----||
Euse r a i larsde m ona ueirdonar.	-|--⌫-⌫-⌫|---|-|-⌫-|-⌫---|-----|
T otmontre sauruosuoeil	-⌫-|--|---⌫---|--|----|
Laurelargentuosferaiaport ar	|--|||-----|--|----|-----⌫-|
El u air e l grise ls	-|-⌫--|-⌫|---|-⌫-|
p ailesd espleiar.	-⌫----|-⌫--------|
Eelresponde nt	|-|--------⌫-|
Bonesa essa iar.	--|-||----⌫---|
Aita nt uenclorGaniel	----⌫-|---|--|-----|
Ki uit lanuitMaurinGuirepassar	-|--|-|---|-----|----|-----|
A ta nt g ran tost	|--⌫-|-⌫---⌫|--|
quenonl apo tesmar.	--|--|-⌫|--⌫|-----|
Ta nta c ochat sonpalefreiliar	--⌫-||-⌫----|--|-------|---|
Kemorscadet a	-|---|----||
las no ues contar .	--|--⌫--|------⌫|
De usdislo reis tant	--⌫-|--|-|---|---|
uos deiaorar	--|--|----|
Donperlos tor sque tai	--|--|--|---⌫|--||-|
fe tnonla issar	--⌫|--|--⌫----|
Lorg u elMaurinkenolf ac e abaissar	|---⌫-⌫-|-----|-|--|-⌫--⌫|-------|
Elomeudr ecsabeiredemostr ar.	|-|--|--⌫-|-----||-------⌫--|
Atantdescentcorent	----|------|-----|
Coch e enerfaitenonoquermescela r.	----⌫|-|-|----|--||---|--|----⌫-|
de laf orestdArm ite	-|-|-⌫----||---⌫--|
Sont desce nd ut enlessartdunermite	---|-----⌫--⌫-|-||-----||-|-----|
K ilordisme ssesagrete e	-⌫|--|--|--⌫--|------||
ben edite.	---⌫-----|
saumosnen iau f iz te	|------|||--⌫-⌫--⌫-|
L aipenitencent	-⌫-|----------|
epar antsa carite	|---⌫--|-|-----|
Taussesconfesqui	---||-|-----|--|
Al reinonn u i s possaterre	-|--|--|-⌫-⌫-⌫|--|-|----|
enaqui te.	-|----⌫--|
armen t tuitaprese nte	-----⌫|---|------⌫--|
Ai quiuirastantobre	--⌫--|----|---|---|
a ltreuesti mente.	-⌫---|-----⌫-----|
Lor e is lo sreng e a	-|-⌫-⌫-|--⌫|----⌫||
labone esciente	-|---|-------|
Abun poncel	-|-|-----|
d uneaiguetecorente	|--|------|------|
Tr ai ssoncenbelsansga b q ue	--⌫--⌫|--|-----|---|--⌫|-⌫-|
lai omsente.	|-|-|-----|
Sosfils laipa ssepreme rscaire riente	--|---|--|--⌫--|-----⌫-|----|-----|
A ta l ar di tque re n	|--⌫|--⌫--⌫|--|--⌫|
non l espaue nte	--||------⌫--|
ab l uitui t menbr a t	-|-⌫-|---⌫|-----⌫-⌫|
ObAlerant penra ancu icontente .	-|------|----|----⌫|--------⌫|
El autre e scale mane dusd Aiguilente	||----|-⌫----|---|--||---------|
ElLandoneis	-|--------|
el p alaïn d	-|-⌫-----||
Esu ntumil eabel mes	|--⌫-||---⌫|-|--⌫--|
senesmente .	----|-----⌫|
Eloreismane altregen t co nesse nte	|-|---|---|----|---⌫|--⌫-----⌫--|
Duneconpai gneeforte e	|--|------⌫--||----||
conbat ent e	------⌫---⌫|
Fore d elborec aual ietaparuente	---|-⌫-|---|-⌫----⌫--||-------|
En lari bereesdunalegu e gente.	-|-|--⌫---|-||--|----⌫|-----|
Saicoescause e	--|-|-|----||
Deusla lor	---|-|--|
Ensegneblancener tuermeille esanglente	------|-----||--⌫|--------||--------|
Eplorera maire	|------|----|
eso r eparente	|--⌫||------|
Edelordrusper	|-|--|---|--|
al trebenuolen te.	--⌫--|--|-----⌫--|
L unec onpaignen erir a dee	|--|-⌫-------||-|--⌫-⌫-||
rice anor adee man en te.	---|----⌫--||---⌫--⌫--|
Elcanp Gresleislonc laribede	-|---|-------|---|-|---|-|
uirasMaurin tantgente escal e faire.	----|-----|---|----|-----⌫|-----|
E lsprime rs	-⌫-|-----⌫-|
eFolcerslo	|------|-|
E Aler anslos cadele elpoignaire	|----⌫--|--|-----|-|--------|
autreescaleB eraus eBrunssos	----|-----|-⌫----||----|--|
ElcomsBertransqu	-|---|-------|-|
esdec ocheenperaire	-|-|-⌫---|--------|
Esab deguer reemol tesdeb onaire	|--|-|----⌫-||---⌫|-|---⌫-----|
de streua iBec	--⌫---|--⌫|--|
desant Yl aire	-|---|--⌫---|
A quat recensde Monblanclore paire	|----⌫-|---|-|-------|-|--⌫----|
tuit blancli	---|----|-|
Esuntleior	|---|-|--|
quel nai ssent d el or	-|-|---⌫----|-⌫|-⌫-|
Blanclo caual cunsolno ni	----|-|----||-|--|--⌫||
En saig nesblances de p orpredeMonchaire	--⌫----⌫--|------|-|-⌫----|-|--------|
Pauqu econpaigne mai snon es iabela ire	-----⌫|--------|---⌫|--|-|-|----⌫--|
Çoesai quele quinonfuïtanc	--|-|--⌫----|--|--|----|--|
Franq ueesdaiquel ssegn er	-----⌫-|-||------⌫|----⌫-|
ecapde laire	|-----⌫----|
donetMaurinslobons donaire	----|------|-|---|------|
Ab lu i S icarteEn rizdesant Dai re	-|--⌫|-⌫----||--⌫--|-|---|---⌫-|
uitlabataileque n onlapoc desfaire	--|-|------|--|-⌫-|-|--|-------|
Kar uenguts unt a lancharea traire	--|-----|-⌫--||------|||-----|
Sinaccoa rtmoltsen	--|-|---⌫-|---||-|
uo ldrieraire.	--⌫----|-----|
L ocanps Gresleisnonesestranssenters	-⌫|----|-------|--|-|------|------|
ribere d epra s edeuergers.	-----|-⌫|---⌫||-|-------|
Celsdecha iguideMaurins lobons guerrers	---|-----⌫|----|------|-|---|-------|
E lre islosaltresqu i esforsbatail le rs .	-⌫|--⌫-|--|-----|--⌫|-|---|------⌫--⌫--⌫|
Cascuns cenb elses d emilcauali ers	------|----⌫--|-|-⌫|--|------⌫--|
cascun a doe mile	-----||--|---|
L osMaur ingui d eAlera n sloBaiu ers	|-|----⌫-|---⌫-⌫|-----⌫-⌫|-|----⌫--|
u enc lo filsd e l rei premers.	-⌫--|-|---|-⌫-⌫|--|-------|
Baissent l oslances elsgonfanonsenters	-------|-⌫-|-----|--|--------|-----|
u ant s ef erirper escusdequarters.	-⌫--|-⌫|-⌫---|--|----|-|--------|
puissent des bons gonfan o ners	-------|--|---|------⌫-⌫---|
Kal fild elreinessangle ns li	|-|--|-⌫-|--||-|------⌫-|-|
D el sansd elpiski	-⌫-|---|-⌫-|--|-|
d eualetosclers	-⌫----|--|----|
Elosonsco ps fufers	|-|---|--⌫-|-|---|
esobrancers	|---------|
KancAl erannonual osbers	|--|--⌫---|--|--|-----|
Parmi lescinenonpasoltrePacers	----||-----|--|--|----|-----|
Mortlo c rabenteentre pa us auliuer s.	---|-|-⌫------|----|--⌫-|-------⌫-|
Granseslap erte els	----|-|-|-⌫---|--|
damsels des torbers	---|--|---⌫------|
Ma urineabtossosmaisners	--⌫---||-|--|--|-------|
En isleF aden ac grant doelse pleners	-|---|-⌫--||-|----|----||------|
P erlareigine ep erset	-⌫-|-|------||-⌫-|--|
C mill e rs.	|----⌫-⌫--|
Iu onde Besnes	--⌫-|-|-----|
laietemort Folcers	-|---|---|------|
Dontes tra lrei libr asgransencon brers	---|--⌫---⌫|--|----⌫-|----|-----⌫----|
Non aueitf ernen inonlai sse	--|----|-⌫---|-⌫|--|---⌫--|
sosarmesere	--|----|--|
bonsfa isender s	---|--⌫-------⌫|
Decentca stels	-|---|--⌫----|
sosenpers.	--|------|
uantse iferir	---|--⌫|----|
Bos delLanse	--|--|---||
Anduisabatent d esb ons caua lscor sers.	----||------|-⌫-|-⌫--|----⌫-|---⌫----|
Son nentligraileemesclent	---⌫---|-|-----||-------|
licaple r s	-|-----⌫-⌫|
Nolpoc sufrirco ars nilau zengers.	--|--|-----|--⌫--|-|---⌫-------|
En la ribere Claire del can p Gresleis	-|-|-----|-----|--|---⌫|-------|
uiras mescla run	----|------⌫|-|
fortest or	---|---⌫-|
Lanonefangeencontres ni t orne is .	-|--|-----|--------|-|-⌫----⌫--⌫|
Fr aignen tlosa ste sperescusquartereis	--⌫------⌫|--|-⌫---⌫|--|----|---------|
Ronpentensegnes depail es e daufres	------|-------|-|----⌫-|||-----|
F a ls ent las lanceslos	-⌫-⌫--⌫--|--|-----|--|
osberstio n es	-----|---⌫-⌫-|
Tr encent los e lmes	--⌫-----|--|-⌫---|
li bonb rant ui anes	-|--|-⌫---|--⌫---|
icaient ab osesde corue s	|-----|-|---|-|-----⌫|
Morten afrat	---||-⌫----|
cans rennonsap loses.	|--|--|--|--|-|---|
Asuissabhon co n forc e lorpar es.	-|--|--|--|--⌫|----⌫|--|---⌫--|
La besBeraus	|-⌫--|-----|
lo priosBrunsab es	-|----|----|-|-|
E lc oms Bert ranse	-⌫|-⌫--|----⌫---||
Folq uel Espanes	----⌫-||------|
E suntu mil sanscon ted e	|---||--|---|---⌫-|-⌫|
Edela uen cGarinloLandone s	|-|-|---⌫|----|-|-------⌫|
EdAguilan tli prosduslicortes	||-------⌫|-|---|--|-|-----|
Baiss ent laslances e ua nt	-----⌫--|--|-----||--⌫-|
f er i rma nes	-⌫--⌫-⌫|--⌫--|
Benn i auraquedemorsque d epres.	--|||---|--|-|---|--|-⌫|----|
EntreBertrant	----|-------|
e loducd Aguilen t	|-|--||-------⌫|
Seuant fe rir	-|---|--⌫--|
andui de maltale nt	----|-|-------⌫-|
Kedo[ise ] falss entliosberci asere nt	-|---|--⌫|-----⌫--|-|-----|-⌫-----⌫-|
EB ertransna logonf anon sanglent	|-⌫------|||-|----⌫---|-------|
El dus laplagen onpr ese renient	-|--|-|----|-⌫-|--⌫---⌫-|----|
Mais aiçopresequ e estreg rat	---|----|----|--⌫|----|-⌫--|
Fol q ue lai	---⌫-⌫-|--|
ioigab lomarcisdArtent	---|-|-|-----||-----|
EB er a usTabesal Landones	|-⌫--⌫-⌫-|----|-|-------|
sosfr airelo Leon e isperprent	--|--⌫---|-|----⌫-⌫-|-------|
Fraignent lo shastesper granscops	--------|--⌫|-----|--|----|---|
maintenent	---------|
Ab lesespades fierentespessement	-|--|------|------|----------|
a iq uesnaiostenttal uI I	-⌫--⌫--||-------|--|--⌫|
i coignucamie ne	|------|---|-|
benu oeil lent.	--|-⌫----⌫----|
Kitr obe mortnifraireni	-|--⌫--|---|-|-----|-|
Nolmet enplaitdes on	--|--|-|----|-|-⌫-|
confes sament	------⌫-----|
M a is poig	-⌫-⌫-|---|
penreueniame nt	----|-------⌫-|
Ecas cunsdaus abseimodesenten t	|---⌫---||--|-|--|----|-----⌫|
Daitalperi lcomeiss ea gar iment .	|----|----⌫|--|----⌫||---⌫-----⌫|
Lo trauer se r	-|------⌫--⌫|
lossoc orent poignen t	--|---⌫----|-------⌫|
Montbl anc el iuermeil	------⌫--||-⌫|------|
Esc anps Greslesdesoslos	-|-⌫---|------|----|--|
puisp ela s	---|-⌫---⌫|
Ecuos losBla nse lsuer melsaiostas.	-|--|--|---⌫-|-⌫-|---⌫---|-------|
Odeel uermelsasosborne sg uidas	--|-|------||--|-----⌫|-⌫----|
Katre c ens elmes deMontuer meilietas	----|-⌫--|----|-|-------⌫---|----|
Tosdecastel esoshomesp riu as	--|-|-----||--|----|-⌫---⌫-|
Ki a ntuer mei lleslascairese	-|-⌫-|---⌫---⌫---|--|-----||
Losielsuer mause los manselos bras	--|---|---⌫---||--|---||--|---|
Eesuermaus	|-|------|
c ascunsd e spo sfu nas	-⌫-----|-⌫-⌫---⌫|-|--|
E antuermauscauausentresegnas	|--|------|-----|----------|
Osbersuerm ausede ue rmeil saf r as	-----|----⌫--||-|--⌫----|---⌫-⌫-|
I u pesuer meillesde paile s entaillas	-⌫-⌫--|---⌫------|-|-----⌫|--------|
Espadesch aintesaponsuermalsdamas	------|--⌫-----||---|------|----|
Escusuermelsede uerme ilboclas	----|------||-|-----⌫-|-----|
Elmes uermels	----|------|
antenlorcaps	--|-|--|---|
E en segneresuermeill es de	|--⌫-------|--------⌫-|-|
Odeslorsegnreser ehuimatin u anas	---|--|-----||--⌫|--|----|-⌫---|
Kancnonfuïne n onfu encalchas.	|--|--|---|-|-⌫-|-|---------|
rei e pleu iseiuras	--||----⌫-||----|
Mais persa cochenon	---|--|-|----|--|
se raiamandas	--⌫-|-|-----|
Non li dec	--|-|--|
osn eseruice stail l as	-|-⌫|-------⌫|----⌫-⌫-|
reise suencusniuergo ig nas	---|-⌫|-----|-|-----⌫--⌫--|
O a cperdut oesarr er tor nas	|-⌫|-----||-|---⌫-|---⌫--|
Kan te llo	---⌫|-⌫|-|
sapelde manesuenias	--|-|--⌫--|-|-----|
Oper bataillequa nt	|--|-------|---⌫-|
essosbans cridas	-|--|---|-----|
Eseu mesagequeia	|--|-----|--|-|
sie renias	--|-----|
Quan til oa uentsis arm entperpal as	----⌫|-||-⌫---|-||---⌫--|--|---⌫-|
Efantsocorstostebene	|---|-----|---||--||
Ia p erloreinonserauns ren i as	-|-⌫-|-|--|--|---|--|---⌫-⌫-|
Kablortalentuontpercanp se per	|-|--|-----|---|--|----⌫||--|
Olorseigner los	|--|------|--|
ma ne c omlui plas	--⌫-|-⌫-|--|---|
Odespremersde son e lmeenbronchas	---|------|-|--|-⌫--|---------|
Eci l lestra ignentasflans	|--⌫||-----⌫-----|-|----|
eascostas.	|-|------|
Ede la iFr ancloderrerde s abas	|-|--⌫|--⌫--|-|-----|--⌫|---|
ManelosBlansqueMa urins	---|--|----|--|--⌫----|
lacdo nas.	|-|--⌫---|
Baiss entlaslances	-----⌫--|--|-----|
elsgonf anonsfrainias	--|----⌫----|-------|
uantse iferir perescusco loras	---|--⌫|----|--|----|--⌫----|
Andu is abatentdesdestre r çsoiornas	----⌫||------|--|------⌫-⌫-|-------|
E lisocorsesp oroned	|-|-----|---⌫----||
Daiques tepartfu	|------⌫-|---|-|
Mon bl ansescridas	---⌫--⌫--|-------|
foMontuermausessauc ̧as.	-|----------|------⌫---|
Cilsontuermeil come feus enfornas	--|---|------|---|---|-|-----|
sont blanccomen eis sorbre	---|----|---|-⌫--|-----|
Ec uoslos Bla nsablos	-|--|--|---⌫-|-|--|
uer mausiosta s	---⌫---|-----⌫|
A iqu is estorsesforse	-⌫---⌫-|-----|-|---||
Lai os encontrentliBlanc	--|||---------|-|----|
eliuermeil	|-|------|
Fraignentlosaste s	--------|--|----⌫|
mantenentlidon zel	--------|-|---⌫--|
Ablore spades adurentl o tornel	-|--|-⌫-----|------|-⌫|-----|
Ke s on ttrenchat	-|-⌫--⌫|-------|
elm ecol e cabe l	--||--||----⌫|
Ekan tsabatentpa rten t	|---⌫||------|--⌫----⌫|
seiper caumel	--|--|-----|
P osseconbatent	-⌫-|-|--------|
De son segnera cas cuns ques	-|--|-----||---⌫---|---|
Kecent ni morentfor sSimon	-|---|||-----|---⌫|----|
Kancuns non	|--|--|--|
ac n iga rd e niperue l	-|-⌫|--⌫--⌫|-|-----⌫|
E ssre lalande e	-⌫---|-|----||
lerbeet le solel	|---|-|-|----|
Keobsl oragre unsdes sig no r sd	-|--|-⌫-|---|--|--|---⌫--⌫-⌫||
Kilo r donerealoranemesconsei l.	-|--⌫|-----||--|-----|------⌫-|
Desqu ants encontrentliuermeileli	--|--⌫--||---------|-|------||-|
D aitantpaucd omes talestornonuis	|-----|---||---|--|----|--|--|
Andui s ab atentOde el	----||--⌫----|--|-|
uermaus eFranc	------||----|
Pos sedetre ncent	--|-|-----⌫----|
lospislo u ente e l fla n c	--|--|-|-⌫---|-⌫|---⌫-⌫|
Epet epoig	|--||---|
s unt cl opemanc.	-⌫--|--⌫-||----|
T alcentnicaient cu ns non	-⌫-|---|||-----||-⌫-|--|
es en s on banc	-|-|-⌫-|---|
Per ne gligencecarnon es quisestanc.	--|--⌫-------|--|--|-|---|------|
Totloca umil uirasuermeilde	--|-|--⌫---|----|------|-|
Quantli Bl ancuirent	----|-|--⌫--|-----|
que Fra ncesabatus	--|---⌫-|-|-----|
Eliuerm eil que	|-|----⌫--|--|
