roi gouern erentl acite	--|------⌫----|-⌫|---|
fus se ntensementiugiéco m eanemi	---⌫--⌫-|-------|-----|--⌫-⌫|----|
etcoum an dali senazque	-|----⌫--⌫-|-|----|--|
cycerons gardastlauileantoines	-------|------|-|---|-------|
sesconpainzalast	--|-------|----|
hastiuementa ost	----------||--|
contrecatilina	-----|-------|
meruei lles fu	------⌫---|-|
cedistsalu ste s	-|---|----⌫---⌫|
que nusdetotela	--|--|-|---|-|
coni ur o iso nca tiline neuin tauant	----⌫--⌫-⌫---⌫|--⌫-----|-|---⌫|----|
por nomernepord esc ourir	--|----|-|--|-⌫---⌫----|
la choseconli	-|----|--|-|
iugemenz do u	-------|--⌫|
senateust sigrantcho s epromis e	----|---|-|----|---⌫-⌫|------⌫|
con defranchi seauserf	--|-|-------⌫-|-|---|
quitee auforfetetautresdons	-----|-|-----|-|-----|---|
ass ezmesce	---⌫-|--|-|
ligra nzdesirriersquechascu ns	-|---⌫-|---------|--|------⌫-|
auoit de lamesleeporgaaingnie r	----|-|-|-----|--|---------⌫|
des autresq ui iu ré	--|-----|-⌫-|--⌫--|
n estoie nt	|------⌫-|
pas al erentauquanta	--|--⌫----|------||
catil i neou cou ma nc em ent fulu ius li	-----⌫-⌫-|-|---⌫--⌫--⌫--⌫--|----⌫--|-|
filz a un sena torfu	---||-|----⌫--|-|
rame nezdouchemi nouil aloit	----⌫--|--|-----⌫|-|-|----|
acat ilinesi que sesperes	|---⌫----|-|--|--|----|
m e ismes lefisttanto s to cirre	-⌫-⌫----|-|---|-----⌫-⌫|-⌫----|
lentulusqu i	-------|--⌫|
ar o meestoit	|-⌫-⌫-|-----|
remesparle con seilcatili n eenlacoit	----|--|-|---⌫---|------⌫-⌫|-------|
et uns et autres	-|--|-|-----|
etp ri uez etestra n ges	-|-⌫--⌫--|-|-----⌫-⌫--|
dontil secuidoit	---|-|-|------|
encel tens auoitmessagiers	-|--|---|----|---------|
defra ncearome lentulus	-|---⌫--||---|-------|
quisauoit bienquefrancois esto ient b ateillero us	--|-----|---|--|-------|----⌫---|-⌫---------⌫-|
parna turepensaqueil	--|--⌫---|----|--|-|
les po rroi t	--|--⌫----⌫|
tr ereasoi espo ir	--⌫--||--|----⌫-|
porcequeil	--|-|--|-|
cu idoite nconbrezdedetesetenuoia	--⌫----|-⌫-------|-|----|-|-----|
un marchean taeusou	-|--------⌫||--|-|
pled o ier de	----⌫-⌫--|-|
romel im archea nz	---|-⌫|-⌫------⌫-|
n on umbrenuscilauoi t esté	-⌫-|-------|--|----⌫|----|
asforrese nfran ce	-|-----|-⌫|----⌫-|
connoissoit me intric he homeet	----------|--⌫--|---⌫-|---|-|
e s toit c onneuz	-⌫-⌫---|-⌫-----|
luesquecil umbrenus uit	------|--|-------|--|
m es sag esilles	-⌫--⌫---⌫-|-|--|
s alua et l or	-⌫---|-|-⌫-|
con mencatot auanta	---⌫----|--|----||
e n querreque	-⌫-⌫-----|--|
illorsembloitdelestate	-|--|-------|-||-----|
fist ch ie re de	---|--⌫--⌫-|-|
dole ntseignors d istpor	----⌫-|-------|-⌫--|--|
di euqueuossembl e a	--⌫-|--|--|-----⌫||
qu oicuidiez	--⌫-|------|
uosque cist afere s	--|--|---|-----⌫|
tortcou mentcu idiez uos	---|---⌫---|--⌫----|--|
de ci eschap er pard ieu	-|-|------⌫-|--|-⌫--|
distrentlimessagierl i	-------|-|--------|-⌫|
senatoret libaillid e ceste	------|-|-|-----|-⌫|----|
uilesenble ntaue ret	---|------⌫-|---⌫|-|
cou oiteuset d e poure	---⌫-----|-|-⌫|----|
nos necu ido ns	--|-|--⌫---⌫-|
ia ue nira fin	-|--⌫--||--|
de cest e dolorsemorznenos	-|----⌫|----|-|---|-|--|
i metquantumbrenusceoi	|--|----|-------|-|-|
seignordistilie	------|---|-|-|
uo senseigne rai bien	--⌫|--------⌫--|---|
coume ntuoseschaperezde ce st	-----⌫-|--|---------|-|--⌫-|
pe rils euosuol ezestre	--⌫--|-⌫|--|---⌫-|----|
homeetpre n dre cuerquantcil	---|-|---⌫-⌫--|---|----|--|
oi rentces ifurenten	--⌫---|-|-⌫|-----|-|
grantesp eran c eetl econmenc erent	----|---⌫----⌫-⌫|-|-⌫|-------⌫----|
aproierque ileust	|-----|--|-|---|
eusc omedec eus	--|-⌫--|-|-⌫--|
quiest oien tenco mbrédedete	--|---⌫----⌫|----⌫----|-|---|
etnesesauoientgi t e rdou	-|-|-|-------|--⌫-⌫-⌫|--|
perilqu iestoitpresenza	----|--⌫|-----|------||
lipromistrent	-|----------|
q uenule rie nsnesto i tsi	-⌫-|---|---⌫-||----⌫-⌫|-|
griesque i lne f eiss en t	----|--|-⌫|-|-⌫----⌫--⌫|
po rlo rdeliuranc ecil les	--⌫|--⌫|---------⌫|--|--|
mena luesen lameson	---|---|-|-|----|
brutiqui es toi tpre s	----|--|--⌫---⌫|---⌫|
i luec se n pr oniaest oitsaf ame	-⌫---|--⌫-⌫--⌫---|---⌫--|-|-⌫--|
q ui tot sauoitce c ons eil	-⌫-|--|-----|-|-⌫---⌫--|
con n o sauonsdistarriere	--|-⌫-⌫|----|---|------|
brutus n e st oitpasa	-----||-⌫--⌫--|--||
ostelai n zestoit fors derome	----|--⌫-⌫|-----|---|-|---|
gabi niusuintaceconse il	----⌫---|---||-|-----⌫-|
quibienparl anz estoitumb renus	--|---|----⌫--|-----|---⌫----|
aouriasmessagiersla	----|-|---------|-|
coniuro ison nomalespersoneset	-------⌫---|---|--|-------|-|
richeshomes	-----|----|
ens a u o ientpor l es	-|-⌫-⌫-⌫-⌫---|--|-⌫-|
messagiers mie lz au i uerpu is	---------|---⌫-|--⌫-⌫--|--⌫-|
se departirentqu antli mesagier	-|----------|--⌫--|-|-------|
o rentloraidecrean te e	-⌫---|--|---|-----⌫--⌫|
