Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
deueureeleuintasainte	------|--|---||-----|
Illies tueta gue r pi rle siec leq uelemout	-|-|--⌫---||---⌫-⌫--⌫|-|----⌫-|-⌫|--|---|
Eleertendormieen	--|--|-------|-|
Eleotacheueesaba taille	--|-|------|-|--⌫-----|
ou tier ziourdeia nu ierqu el eauoi taumonde	-|----⌫|---|-|--⌫--⌫--|-|--⌫|----⌫|-|----|
touz ioursfet	---|----|--|
Elesenalaa	--||-|--||
Damedieusipureetsine tequ	-------|-|---|-|-|--⌫-|-|
eleestoit apareill ieed e receu oi rces	--|-----|--------⌫--|-⌫|-----⌫--⌫|--|
m erites s em es tieresto itcedon tnus	-⌫-----|-⌫|-⌫--⌫---|----⌫-|-|---⌫|--|
nepeust auoirsensnememoire	-|----|----|---|-|------|
d e raconter	-⌫|-------|
Ele uesq uisanznule	--|----⌫-|---|---|
teched e pechié	----|-⌫|------|
IIIIXX et X anz	-----|-||--|
Elef ist t ouz	--|-⌫--|-⌫--|
ioursbiena	----|---||
sonpooirtant	--|----|---|
queasonura iperepl otquedesonresg ne	--||--|---⌫|---|--⌫-|--|-|--|----⌫-|
laf eroitpartir	-|-⌫----|-----|
Ilenmenasa filleausicommeperedoit fere	-|-----|-|----|---|----|---|---|---|
coronnee en tresesangre sdehaute couronnequ	-------|--⌫--|--|-----⌫|-|----|-------|-|
illiauoitpie çapramise	-|-|----|---⌫--|------|
lieulamedela beneoiteui erg e f u	---||--|-|-|-------|--⌫---⌫|-⌫|
Oruoeildiredu	-|----|---|-|
cors quiels i ecleremest quelene nfis t	---|--|-|-⌫-⌫---|-----|--||-|-⌫|---⌫|
L a saint e uie rgepr ecieuse fu	-⌫|-----⌫|---⌫--|--⌫------|-|
enseuelie ete nter ree dehorslesmuriaxde	--------|-|-⌫----⌫--|-----|--|-----|-|
Parisquilors	----|--|---|
estoientap eléz	-------|--⌫----|
Illecparl oientl esgenzettenoientleurs	----|----⌫----|-⌫-|---|-|-------|----|
Ilu ecestoi ent fai zet torset dr o iz	---⌫-|-----⌫--|---⌫|-|---|-|--⌫-⌫-|
et en laneur	-|-||----|
b eneoiteuierge	-⌫------|-----|
estorendro itlimonzapel ézl imonz des aint e	--|-------⌫-|-|---|----⌫--|-⌫|---|-|-⌫----⌫|
Geneuieueco mmant quel en	--------|--⌫----|--||-|
lenomm a stdeuant	-|----⌫-⌫-|-----|
Las aint e	-|-⌫----⌫|
u iergegistiluec	-⌫----|---|----|
D am ediexne lami stonques	-⌫--⌫----|-|-|--⌫-|-----|
en ou bliainço isifist pour luimai n t biau	-|--⌫--|------⌫-||---|---|--|---⌫-⌫|---|
miracleetfetencores	------|-|--|------|
uousp orroiedirener aconterl esm iracl es que	---|-⌫-----|---|-|-⌫------|-⌫-|-⌫-----⌫-|--|
Diexafa izap rés samort	---||--⌫-|--⌫---|-|---|
I enen u oeil auoir n ul	-⌫||-|-⌫---|----|-⌫-|
blas mecarce que ietruis	----⌫-|--|-|--|-|----|
enescrituouse nconterai	-|-----|---|-⌫|-------|
toutsanzmençonge	---|---|--------|
Carsicomme	--|-|----|
lestoire nousdi st et	|------|---|--⌫-|-|
conteilneso ntmie to uzen escrit	----|-|-|--⌫-|--|--⌫-|-|-----|
Ele aidaamaint maladeaprésceque	--|---||----|-----|-----|-|--|
ele f uenfoie	--|-⌫|-----|
Unsho ns quiestoitforsenéz fuamenézasasepout ure	--|--⌫-|--|-----|--------|-|------||-|------⌫--|
Iles toitpar sonnonapeléz	-|--⌫---|--|--|--|------|
Il estoitplainsde grant	-|-----|-----|-|----|
deuo ci onetau oit perduelaueue	----⌫--⌫-|-|--⌫--|-----|-|---|
etloïemes laui erge	-||---|--|-|--⌫---|
li otr enduesitostcomm eiluint	-|-|-⌫----|-|---|----⌫|-|---|
deu antluiSenferm eté le lessaque	---⌫--|--||------⌫---|-|----|--|
o nques puisnel eti nt	-⌫----|---|-|-⌫|--⌫-|
Augen scontoient cel	-|---⌫|--------|--|
Liparent a	-|-----||
un homequi es toi entdolantpor	-|---|--|--⌫---⌫--|-----|--|
ce que il estoitma ladessi l am enerentdeuant la	-|--|-|-----|--⌫----|-||--⌫------|-----|-|
Ildemenoientgr antduel p orce	-|---------|--⌫--|---|-⌫-|-|
que ilni atendoient	--|-|||---------|
quel a mor t	--|-⌫|---⌫|
Chascunsdemenoit g rant	-------|-------|-⌫---|
du elp or ceque lamort traueillo itleur	--⌫-|-⌫-|-|--|-|---|---------⌫-|---|
am i s ilont	--⌫|-⌫||--|
mis deuant	--|-----|
le se p ulcre	-|--⌫-⌫----|
S i prierenta la uierge de cuer	-⌫|-------||-|-----|-|---|
simpleethumble qu elor amisqui e stoitespaumizd e	-----|-|-----|--⌫|--|---|--|-⌫----|-------|-⌫|
lamortleurrende	-|---|---|----|
Ilni orentpasmout	-|||----|--|---|
lo n guementdemoré quan t	--⌫-⌫------|------|----⌫|
Diex donnasan téa lomep orlamorsainte	---|----|---⌫--|||--|-⌫-||---|-----|
Il selieuad	-|-|----||
entreussainzethaitiéz	---|--|----|-|-------|
uoian tceul zquileuoldre n t	-----⌫|----⌫|--|-|------⌫-⌫|
ue oir ets iparenten orentmerc i é	--⌫--|-|-⌫|-----|-|----|----⌫-⌫-|
Die uporlaioiequ il	---⌫|--|-|---|-|-|
Unshonsquiauoitperd ulesbra s	--|---|--|----|----⌫|--|---⌫|
estoitu en u z deuantsa	-----|-⌫--⌫-⌫|-----|-|
s e pou t ureet auoitles	-⌫-⌫---⌫-⌫--|-|----|--|
IImainscontrait esporlesoeures qu ilauoit	-|----|--------⌫-|--|--|-----|-|-|----|
fait es etbastiesaudieman ch esi enauoit	----⌫-|-|------|-|------⌫--⌫|-|-|----|
Cil auoit en mauués	--|----|-|------|
deliz som isleiorque	----|---⌫-|-|--|--|
Diexauoitesleuason eus	---|----|----||--|--|
Co nmancesonouuraign e	--⌫-----|--|--------⌫|
Ilnepuet e str e	-|-|---|-⌫---⌫|
queplanténesa illee t	--|------|-||-⌫---|-⌫|
bienqui euurefetsi	---|--|----|--|-|
c onme lisagenousr acon t e quidis tque	-⌫---|-|---|---|-⌫----⌫-⌫|--|---⌫|--|
ue ngedeceul sq u ieuurent a s on	--⌫--|-|----⌫|-⌫-⌫|------||-⌫-|
di eman che	--⌫----⌫--|
De pechiéet de mauuesti é	-|------|-|-|--------⌫-|
le ur sera moutcruel me ntmisdeuant	--⌫-|---|---|-----⌫--⌫-|--|-----|
contraite sot lesma insporles	---------⌫|-|--|--⌫--|--|--|
oeur esqu ilauoit fait es requista	----⌫-|-|-|----|----⌫-|------||
l a b ene oiteuier geque	-⌫|-⌫---⌫---|----⌫-|--|
ele lifeist	--|-|----|
aid ede samala diepa r la	---⌫|-|-|----⌫--|--⌫|-|
Et par labenoit euie rg e senrepairasai nz	-|--|-|------⌫|---⌫--⌫||-|------|---⌫-|
ethaitie ́z	-|------⌫-|
Deuantlesepulcrea la	-----|-|-------||-|
benoiteuiergedont lameestes ciex lassus	------|-----|---||--|--|-|---|-----|
la mpem out cler ement	--⌫--|-⌫--|----⌫----|
Onques anulior ne destaingnoit ne	-----||--|--|-|-----------|-|
nusni meisthuileque	--|||----|----|--|
lenueist n eneseust	|-|----|-⌫|-|----|
Tuitc il quiiuenoi entde cueri	---|-⌫-|--||-----⌫--|-|---||
gariss oi entdetouzmax	------⌫--⌫--|-|---|--|
La lampeauoit t eln atur eque	-|----|----|-⌫-|-⌫----⌫|--|
ipouoitnu lefoiz dest a in dre	|-----|--⌫-|---|----⌫-⌫--⌫--|
Ele estoittourneeenfontai nne	--|-----|------|-|------⌫--|
Eleestoit touziourspla in ne	--|-----|---|----|---⌫--⌫-|
sanzmetrehu ileet siestoit tourne e enmedecine	---|----|--⌫--|-|-|-----|------⌫|-|-------|
Cestebonté	----|-----|
estoi tf ineetb one	-----⌫|-⌫--|-|-⌫--|
Ma intesgensl ongu ement igari ssoie nt depl useurs	--⌫----|---|-⌫----⌫----||----⌫-----⌫-|-|--⌫-----|
mauxetifutantqueuns	---|-||-|---|--|--|
roisnormanzquipuissanz	---|------|--|-------|
estoitetsagesde	-----|-|----|-|
guerresu inta	------|-⌫--||
Pa rissiard i lemousti er	--⌫--|-|---⌫|-|------⌫-|
Asse ́z po ïst miexesploiti erenaut remanier eque	----⌫-|--⌫---|---|--------⌫-|-|---⌫-|------⌫|--|
fereteld esloialté	---|--|-⌫---------|
pardue lalampeneles	-----|-|----|-|--|
ge nsquil auoient	--⌫-|--||------|
ueuededeuantn enoïrentonquespuis	---|-|-----||-|------|-----|---|
es t tout dr oit uenuzau moustier quiestoitetcie x	--⌫|---|--⌫--|----|-|-------|--|-----|-|---⌫|
etmu zetquantil	-|--⌫|-|----|-|
entr adedenslygl yse	----⌫|-----||---⌫--|
il chanto ient	-|------⌫---|
Faciamtuam illuminadonudomino	-----|---|-------|---|-----|
superseruum tuumA cel point	----|-----|---||--|----|
Diexamené et	---|-----|-|
sau ézuousquecil mo z	---⌫--|---|--|--|--⌫|
cene fient	----⌫----|
Ceest adire	-|--||---|
Enlumin eta f aceseu rton se riantetsi	-------⌫|-|-⌫--|---⌫|--|--⌫----|-|-|
effacesesmeff ai zet	-----|--|----⌫--⌫|-|
sa m a uuestié	-|-⌫-⌫-------|
I l ses ttraizuers lasepoultur e	-⌫||--⌫|----|---|-|---------⌫|
et m i sts entencione n	-|-⌫-⌫-||--------|-⌫|
Ilnelepo t f ereforsqu e d ucors t ant	-|-|-|--⌫|-⌫--|---|--⌫|-⌫|---|-⌫--|
seulemantcarilneueoit	--------|--|-|-|----|
sinepooi t	-|-|----⌫|
Il sacoutadeuantlase p oulture	-||-----|-----|-|--⌫-⌫------|
Diexl a iluece nlu miné porl	---|||----|-⌫---⌫----|--||
amord e la sai nteuierg e et	---|-⌫|-|---⌫--|-----⌫|-|
creuelidonailueue	----|-|---|-|---|
Par isert et	---⌫-|--|-|
e s t oi tapeléz	-⌫-⌫-⌫--⌫|------|
F relconisonqu esensauienul i our nauoit	-⌫-------|----⌫-|-|-|--|--|-⌫--||----|
enui nt tou tdroit aliglise	-|--⌫-|---⌫|----|||-----|
La messe estoit conm enciee etsi lisoit onl	-|----|-----|----⌫-----|-|-|-----|-||
e u an gilequant	-⌫-⌫--⌫---|----|
limue ́z iuint	-|---⌫-||---|
Iliesto it	-||----⌫-|
eurecarlen lisoit du	---|--||-|-----|-|
Espe riz cestadire	----⌫--||--||---|
p arl erceulsquisont muzet	-⌫---⌫-|----|--|---|--|-|
feto ïrceuls	--|-⌫--|----|
quinoïentgoute	--||-----|----|
Q uant len	-⌫---||-|
fesoitcest e deuisionli muéz entraen	-----|----⌫|-------|-|----|----|-|
Tan tostcommeilcrutsiparla	---⌫---|----|-|---|-|----|
Damedieu l	-------||
pour lamor	---||---|
del a ben e oiteui erge et ren duesaparole	-|-⌫|---⌫-⌫---|--⌫---|-|---⌫--|-|-----|
Trestouz lipeuplesparloita lui	-------|-|------|------||--|
Neis li ab e ́sde lamesonlideman da e t enquist	---|-|--⌫-⌫-|-|-|----|-|-----⌫-|-⌫|------|
seilonqu esmesauoitoïg oute ne se	-|-|----⌫-|--|----|--|-⌫---|-|-|
ilauoitonquesmespar l équi si tresbien franço iz	-|----|-----|--|---⌫-⌫-|--|-|---|---|-------⌫-|
parloitetilrespondi	------|-|-|-------|
Die x li auoit	---⌫|-|----|
tre nchiéqui lilioitlaparole	---⌫-----|--|-|----|-|-----|
Chascunss e	-------|-⌫|
merueill ad e c e	--------⌫|-⌫|-⌫|
Damedieufetilensoita ouréz	-------|--|-|-|---|-⌫-----|
si e stoit par s onnon apeléz	-|-⌫----|--|-⌫-|--|------|
Ilfubo nshonsetrel igieussifum outliéz	-|-|--⌫-|---|-|---⌫-----|-|-|-⌫--|----|
du miracle	-|------|
Ami sfet ilr emaind réz uous auesques nousen	---⌫|--|-|-⌫------⌫---|---|-------|---|-|
cest leu etserui roiz labeneoit e	---|--|-|-----⌫---|-|-------⌫|
uiergeparquiuousauézreceue nou el e ioi e	-----|--|--|---|----|-----|---⌫--⌫|---⌫|
S i refe t i l ie ne	-⌫-⌫-|--⌫|-⌫|-|-|
uoeilremanoirailleurs	----|-------|-------|
Iene memouraii amésdeci ilecques ainc ̧oiz	-|-|-|-----|-⌫----|-|-|-------|----⌫---|
iseruire ́	|-------⌫|
Dieu etlabeneoite uiergequimoutmaregard é	---|-|-|-------|-----|--|---|||------⌫-|
Damedieu amo ut bienesploitié quecil quio nques n	-------||--⌫-|---|---------|--|--|--|-⌫----||
otparlé ensotasséz enpetitd	-|-----|-|--|-----|-|----||
Ma intesgensuire ntcelm ira cle quiendeg uerpir ent leur s	--⌫----|---|----⌫-|--|-⌫---⌫--|--|-|---⌫------⌫--|----⌫|
pechié z etpluse nfurenta moreus uers	-------⌫|-|---|-⌫|-----|-⌫-----|---|
p lusledouterentetseruir entet	-⌫--|-|--------|-|------⌫--|-|
plusenam erentl a uie rge	---|-|--⌫----|-⌫|---⌫--|
sedormoitsi lifuauisc	-|------|-|-|-|---||
u neuoizlidisoit q u elealas ta	-⌫-|---|-|-----|-⌫|--|----⌫||
men astson f uilz	---⌫--|--|-⌫---|
auecluiporlasepoutureaourer	---|--|--|-|--------|-----|
estoi tmisequicuroit	-----⌫|---|--|-----|
etdeliuro it	-|-------⌫-|
touzlesenf ers	---|--|---⌫--|
liure quinousdist	----|--|---|---|
etco ntequelie nfesne	-|--⌫--|--|-|-⌫---|-|
uitgo utedeuantq ue il	--|--⌫--|-----|-⌫-|-|
f u amenéz au s epulcre	-⌫|------|-|-⌫------|
al abeneoiteuierge	|-⌫|-------|-----|
Damedie uapo rsamoralenfant	-------⌫||--⌫||---|||-----|
renduesa ueu equeil	-----|-|---⌫|--|-|
nauoitonq ueseue etlaenluminé	|----|---⌫--|--|-|||--------|
Uns ho nsquiestoitne ́zde	--|--⌫-|--|-----|--⌫-|-|
Parisfuam enézalasepouturetouz	----|-|--⌫----||-|--------|---|
arragiéz e t horsd us ensLen	--------|-⌫|---|-⌫|-⌫--||-|
lau oitmené en maintleuet	|--⌫--|----|-|----|--|-|
amaintesai nte	|-----|---⌫--|
O nq uesporcenefu	-⌫--⌫--|--|-|-|-|
es ta int esad ouleurne	--⌫--⌫---⌫|-|-⌫-----|-|
Damedieune	-------|-|
Tantostc ommeilfu ausepulc re	------|-⌫---|-|-|-|------⌫-|
onques puisli	-----|---|-|
deable squeil auoi tou c orsn otpoi nt de	------⌫|--|-|----⌫|-|-⌫--||-|---⌫-|-|
uer tu quilsen is si	---⌫-|-|-||-|--⌫-|
maintenantetcilremesttouzsain z	---------|-|--|-----|---|----⌫|
Beneo iz soit	-----⌫-|---|
Esperiz qu i porla b e neo it e	------|--⌫|--|-|-⌫-⌫---⌫--⌫|
u ierge que il o t tantchiere	-⌫----|--|-|-⌫|---|-----|
deliuralomeenragie ́	------||--|-------⌫|
Unebon efame q ui estoitnee d	--|---⌫|---|-⌫-|-----|--||
une u i leste d el éz	--|-⌫-⌫----|-⌫--⌫--|
toutdro itde uant la fiertresainte	---|---⌫-|--⌫---|-|------|-----|
Geneui eu e	------⌫--⌫|
Celeu ileteauoitnon	---|-⌫----|----|--|
L imeg nis	-⌫----⌫--|
Cele f a mesiestoitmalement g reu ee	---|-⌫-⌫-|-|-----|-------|-⌫---⌫-|
d u ne fieurequila	|-⌫-|-----|--|-|
teno itetdestraingn oitmout	----⌫-|-|----------⌫--|---|
Eleliauo it le c orse mpirié	--|-|---⌫-|-|-⌫--|-⌫------|
et em palieet	-|--⌫----|-|
lacoulortainte	-|-----|-----|
Tan tostc ommelafamecrutensainte	---⌫---|-⌫---|-|---|---|-|-----|
Geneuie u eelefugariedes	-------⌫-⌫|--|-|----|-||
e nfermetéA	-⌫--------||
Parisde d ensla cité meis mes leior de	----|--⌫-⌫--|-|----|----⌫--|-|--|-|
l ana tiuitéalasainte	-⌫|--⌫------||-|-----|
uiergep ar quoi noussommes	-----|-⌫-|---|---|-----|
depoines getéz le i orme ismes	-|-----|-----|-|-⌫-|--⌫----|
charp iso itlainneu nefameque pour nului	-----⌫---⌫-|-----|-⌫-|---|--|---|----|
uo uloitle s s iert ant queleen otet	--⌫----|--⌫-⌫-⌫--|-⌫--|-|--|-|-|-|
poinneetanuiettant	-----|-|---|-|---|
queu neseue uoisinelipramistque seele	--|-⌫-|---|------|-|------|--|-|--|
ne lessoitcestebesoingneelen ig aaingneroit	-|------|----|--------|--|||-⌫----------|
quiainsila	--|----|-|
chastioitlidisoitquelost a stces te besoingne	--------|-|-----|-|-|---⌫-⌫-|---⌫-|--------|
Ianesauéz uousquera cestui iorde	-|-|-----|---|---||-----|--|-|
maintenantlabeneoiteparqui nousauons	---------|-|-------|--|--|---|----|
ioierecouree nasq u i	---|-------|----⌫-⌫|
Ienesaifetele quele	-|-|--|--|--|----|
Dontnefuel e ouuriere	---|-|-|--⌫|-------|
ausi comme lesautresfa mesAcest motqu	---|----|--|-----|--⌫--||---|--|-|
eledistpard il aue ued es eulzetsil a	--|---|----⌫|-⌫|--⌫-|-⌫-|---|-|-|-⌫|
tourmen ta	-------⌫-|
Diexdemaint esautres enfer me téz	---|-|-----⌫-|-----|-----⌫--⌫---|
L i uia ireslit aintetpalist etsie rt	-⌫|---⌫---|-|-⌫---|-|-----|-|-|-⌫-|
co ntraited e uenue	--⌫------|-⌫-⌫----|
ueoit nenepouoitaler	----|-|-|-----|---|
nenepooitbail lier rien squeele	-|-|----|----⌫---|----⌫|--|--|
E leestoittrauail li eepou r	-⌫-|-----|-------⌫--⌫-|---⌫|
chasc undesesmaux	-----⌫-|-|--|---|
Lesgenslo rent portee	--|---||-⌫---|-----|
au moustierausicometouteforsen ee	-|-------|---|---|----|------⌫-|
I l lamener en t d euantlesepulc realabeneoite uierge	-⌫||------⌫--⌫|-⌫----|-|------⌫-||-|-------|-----|
Geneu ieue	-----⌫---|
Etcele p riadecuer	-|---|-⌫--|-|---|
e tplouraet	-⌫|-----|-|
Dameme rci	---|--⌫--|
Es tanchiézmes mauxneprene ́zmiegardea mes	--⌫--------|--|---|-|-----⌫-|--|----||--|
Dameieaipassé	---|-|-|-----|
resonet mesuresi uoire m entc omme	----|-|-----|-|-----⌫-⌫--|-⌫---|
pitiézcestenclos edede n suous	------||--|------⌫|----⌫-⌫|---|
O ste ́z moicestedolore tcestedestresce	-⌫---⌫-|--|----|----|-⌫|----|--------|
quisime ioustice	--|-|-|-------|
Damedieu uitlasimp lesc edela fame	-------|--|-|----⌫----⌫|-|-|---|
et quelesusmelie ent el	-|-|--||------|-|-⌫-|
ma niere sil ap orla mor de sa	--⌫----|-|||-⌫-||-⌫--|-|-|
mereetde sa b e neoiteuiergeque il ainma	---|-|-|-|-⌫-⌫-----|-----|--|-|----|
et tintchieredesliee desenfermetéetla	-|---|-----|------|-||---------|-|-|
oueleestoitentre lesgenzlirendipi é et	-|--|-----|----|--|---|-|----|--⌫-|-|
mainsetueue	----|-|---|
Unefoizauinta	--|---|----||
Sain nec rut	----⌫-|-⌫--|
tantque ilcouuint lesg en saler h ors	---|--|-|------|--|-⌫--⌫|---|-⌫--|
siqueonq u es nusn	-|--|---⌫-⌫-|--||
i potde mourer	|--|--⌫-----|
Le seuesestoi ent es pandue sparmil esmesons	--⌫|---|-----⌫--|--⌫------⌫|----|-⌫-|-----|
e tlimous tiers enestoient	-⌫|-|----⌫----|-|-------|
siplainsque lescl ers nipooient cha nter	-|-----|--|--|--⌫--|||------|---⌫---|
nench apelen	|-|--⌫----||
Lieuesqu e a un clercapelé	-|------⌫||-|----|-----|
Amisfeti l alézsauoir seuousporr ézt rou er	---|--|-⌫|----|-----|-|---|----⌫--|-⌫---⌫-|
moustiertantquenous ai o nsfet nostre	-------|---|--|---|--⌫-⌫-|--|-----|
Liclers senen tramain tenant enu ne	-|----||-|--⌫--|----⌫-----|-|-⌫-|
nef sialaparlacite ́	--|-|--|--|-|----⌫|
nai anttantq uei l	---⌫--|---|-⌫-|-⌫|
beneoi teuierg eauoitlo nguementesté	------⌫-|-----⌫|----|--⌫-------|----|
Ilestuenuz	-|--|----|
droitalacelleou ele	----||-|----|-|--|
souloite stre	------|-⌫---|
Atan tsen estdeden s	----⌫||-|--|-----⌫|
entréz si l	------|-||
a t rouee touteneste	|-⌫----|----|----|
deue queonques	|--|--|-----|
dedensn enio t go ute	-----||-||-⌫|--⌫--|
Ce fubia u miraclequeleue	-|-|---⌫|------|--||--|
n aprochao nque s d ulitou	|------|-⌫----⌫|-⌫|--|-|
la beneoite u ierge	-|-------|-⌫----|
souloitcouchier ainzauiron nalelit	------|-------|---|------⌫-|-|--|
n e n iadesa de	-⌫|||----|-|
Chascunsseme rueilloitd ece quela placeie st oit	-------|-|--⌫--------|-⌫|-|--|-|----||-⌫--⌫--|
touteseich e e tsi batoient lesnez	----|-----⌫|-⌫|-|-------|--|--|
ausmesiere stoutentour	--|-------⌫|---|-----|
etse teno ient ill uectouten unmo ntLen	-|-|----⌫---|---⌫--|---|-|-|--⌫-||-|
i poo ite stres eu rementque l eue	|---⌫-|-⌫---|-⌫--⌫-----|--||--|
estoit de toutesparz le	-----|-|-----|---|-|
Beneoizsoit	------|---|
Cristquantilfist	----|----|-|---|
cele nestr e porq u i	---|-----⌫|--|-⌫-⌫|
cilmi r acle sfufaiz	--|--⌫-⌫----⌫|-|---|
Liclerssenistdelabitacle	-|----||-|--|-||-------|
benei ssantle	-----⌫----|-|
E sperit si s enreuinta	-⌫-----|-||-|-----||
leues queet siliconta lagrant	|----⌫--|-|-|-|----|-|----|
m eruei lleque	-⌫-----⌫--|--|
Die xa ap a r eil liee i llecques	---⌫||--⌫-⌫-⌫---⌫---|-⌫-------|
Mout fu l iézde cestenoue lesia	---|-|-⌫---|-|----|----⌫-|-||
leiorc hanteem eseen lacha p ele	-|--|-⌫-----|-⌫--|-|-|---⌫-⌫--|
Ele fup uisplushanteedes	--|-|-⌫--|---|-----|--|
gen zette nue engrantauc tor itéplusquele	---⌫|-|--⌫--|-|----|---⌫---⌫---|---|-|--|
n auoitest eedeuant	|----|---⌫-|-----|
Lachapele queieuousdi est	-|------|--|-|---|-|--|
Parisauint	----|----|
gensorentpris un	---|----|---|-|
l arronsi lede u oi ent pend relendemainque il	-⌫----|-|-|--⌫-⌫--⌫--|----⌫-||-------|--|-|
neuouloient	-|--------|
pl usdemoure r	--⌫-|-------⌫|
Li lerr es otdist	-|----⌫-|-|---|
augait esque ilauo it	-|----⌫-|--|-|---⌫-|
talentdalerla dontnusnepuetconcidererque	-----||---|-|---|--|-|---|---------|--|
ilne cou iegneque il	-|-|---⌫----|--|-|
Il co uendra	-|--⌫-----|
autelfere a chas cun	----|---||----⌫--|
lerres q uidelapr isonestoit greuéz dut aleren	-----|-⌫-|-|-|--⌫---|-----|------|--|---|-|
s onaferesi sen	-⌫-|----|-||-|
alaquanqu il	--|-----|-|
pot fui ant	--|---⌫--|
aum ou stiersainte	-|-⌫--⌫----|-----|
Geneuieu eet	--------⌫|-|
chascunsuetcr iant	-------|--|--⌫---|
aprés luiquelenpraingnelela rr on	-----|--|--||-|-------|-|--⌫--⌫-|
Uncheualierqui	-|--------|--|
Raco nauo it n onlotlors sesiet	----⌫|---⌫-|-⌫-||-|---|---|-|
pris etdistqu eilnel i	---|-|---|--⌫|-|-|-⌫|
porroi t eschaper se sainte	------⌫|-------|-|-----|
Geneuie uelau oitiure ́etdist	-------⌫-||--⌫--|----⌫|-|---|
quetout euoieslenmainra il quei aaidier	--|----⌫-----||-|-----|-|--|-⌫|-----|
Maintenant quilot ce dist il chaï a	---------|-|-|-|-|---|-|----||
terreto uze standuzet	----|--⌫-|-⌫------|-|
mor tsoubite	---⌫|------|
Ei nsialabe neoite uiergeaqu ité	--⌫--||-|--⌫-----|-----|---⌫---|
lelarronquia l	-|-----|--|||
eglis es enfuioitgr antaleure	-----⌫||-|-----|--⌫--|-----|
Il en terrerent le che uali erhorsdel a cite ́sanz	-|--⌫--------|-|---⌫----⌫-|---|-|-⌫|----⌫|---|
Ilotmo utmauuessemen terré	-|-|--⌫-|-----------⌫|----|
I len po rtamoutpesantfeselcaril nefu	-⌫|--⌫--⌫--|---|-----|----|--|-|-|-|
ne confes nerep e ntanz	-|-----|-|---⌫-⌫----|
auin t queli	----⌫|--|-|
Norm entq ui	----⌫--|-⌫-|
mout conquera ntesto ient	---|--------⌫-|----⌫---|
u indrent pourassai llir	-⌫------|---|-----⌫---|
Paris qui alor snestoitmiemout	----|--|----⌫||-----|--|---|
Et cil estoientgran z eta uoientgregneurs pooir	-|--|-------|----⌫|-|-⌫-----|--------|----|
norentonquespui s	|----|-----|---⌫|
Ilenporteren tlecorsala beneeoi teuiergeporce	-|----------⌫|-|---||-|-------⌫-|-----|--|-|
queild outoientles	--|-|-⌫-------|--|
Nor menz a uneui le	---⌫---||--|--⌫-|
la uilelereçur e nt	-|---|-|------⌫-⌫-|
amoutgr antioieetquan t	|---|--⌫--|---|-|----⌫|
uenue al igliseli autiex	----|||-----|-|-----|
seremua touzet lat err ed	-|----|---|-|-|-⌫---⌫||
en tor m ua	--⌫--|-⌫-|
contre lecorsd ela beneoiteuierge q u i lap ortoi e n t	-----|-|---|-⌫|-|-------|-----|-⌫|-⌫|--⌫-----⌫-⌫-⌫|
U ncier geespristdesus	-⌫|----⌫-|------|----|
lautels anzcequenul laluma st	|----|-⌫--|-|--|--||-----⌫-|
ostélec orsd	----|-|-⌫--||
A rciesetlontpo rtéa	-⌫----|-||--|--⌫---||
Deauel ettant commeil	-----|-|---|----|-|
fuenlauilei	-|-|-|---||
Dieum ai ntesuert u zpor l	---|-⌫--⌫---|----⌫-⌫|--||
amordelui et les garidemaintes	---|-|--|-|--|---|-|------|
langorsetleurtolimainte fieure	------|-|---|---|-----|-----|
etredrec ̧amaintco ntre t	-|------⌫-|----|--⌫----⌫|
D a medieuifi st p orlui main te suertuz	-⌫-⌫-----||--⌫-|-⌫-|--|----⌫--⌫|-----|
etm aintbiaumiracle	-|-⌫---|---|------|
Unsabés q ui	--|----|-⌫-|
Her be rzauoitnonuint	---⌫--⌫-|----|--|---|
uniorl a sai nteui erge aourersi fist	-|--|-⌫|---⌫--|--⌫---|-----|-|---|
tantd eseiorettant ie s ploita queil	---|-⌫|----|-|---||-⌫-⌫-----|--|-|
liosta une	-|---|--|
dentde labouche q ue	---|-|-|-----|-⌫-|
ildutmoutcomparer par	-|--|---|-------|--|
unpouqu eilnenreçut	-|--|--⌫|-||-|-----|
Diexl iuendimout	---|-⌫|----|---|
chiercequeillar achacar uneangoissele	----|-|--|-||--⌫---|--|--|-------|-|
pri stquiforment	---⌫-|--|------|
le traueilla	-|--------|
Il e stoit mou td estroiz etmoutdoulereus	-|-⌫----|---⌫|-⌫------|-|---|--------|
Il deuenoitsou e ntpalesetfroizet m uoitsouuentc oulor	-|-------|---⌫-⌫-|----|-|----|-|-⌫---|------|-⌫----|
Ilest oitmout	-|---⌫--|---|
destroizetmout	-------|-|---|
engoisseusdegrantmani ereet	---------|-|----|----⌫--|-|
iluint ause ingneur etsisecon fessa dela	-|---|-|--⌫------|-|-|-|---⌫----|-|-|
dent q ueilauoitar rachieee tdece pechié	---|-⌫-|-|----|--⌫------|-⌫|-|-|------|
Seingneursfetilie	---------|--|-|-|
meconfesse etsi	-|-------|-|-|
m edescharge dufesselqu i	-⌫|--------|-|-----|--⌫|
m outmaneuet	-⌫--|||--|-|
dont ie ai	---|-|-|
mouteu enn uietpoineI au oie	---|-|---⌫-|-|----||--⌫--|
cestedent de ssembleedesautresd e	----|---|--⌫-------|--|-----|-⌫|
cestebeneoit euierge	----|-------⌫|-----|
