quipetit semepetitquielt	--|----|---|----|-----|
si enl arobe sote	-|-|-⌫|---|---|
esri uelinseenla	-|--⌫-----||-|-|
dece rf malfaitee malbaillie	-|--⌫-|-------||---------|
que s amereliouttaillie	--|-⌫|---|-|--|------|
eliprod homse f ist chaucer	|-|----⌫--|-|-⌫--|------|
unsesperonstren chanzdascier	--|-------|----⌫----||-----|
que liualetz	--|-|-----|
out apporté	--|-------|
lecheualmonte ́	-|-----|-----⌫|
el escuparlag ui gepent	||---|--|-|-⌫--⌫-|---|
e lalance pre nt	|-|----|---⌫-|
e ditbelsa misoreapernez	|--|---|-⌫--|--|------|
darm e segarde	|---⌫-⌫||----|
coment lende it lance tenir	-----|--|--⌫-|----|----|
echeualpoindreerete ni r	|-----|------||----⌫--⌫|
lorsaddespl eie l en seig ne	---|-|-----⌫--||--⌫----⌫-|
silaprente	-|-|----||
silen seigne	-||--⌫-----|
deit sones cuprendre	---|--|--⌫-|------|
unpetitlefaitaua lpendr e	-|----|-|---|---⌫|-----⌫|
siquealcol de lcheua lleioint	-|--|-|--|--⌫|-----⌫|-|----|
puis met la lanceelfea utre	---|--|-|----|-|---⌫---|
lecheual quicentmarz	-|-----|--|---|---|
quenulsde liplustostnaloit	--|---|-|-|---|---||----|
ne de p lusgra n tuertu	-|-|-⌫--|---⌫-⌫|----|
li prodhomsou t m ult de les cu	-|------|---⌫|-⌫--|-||--⌫-|
edelcheu aled elalance	|--|----⌫-||-⌫|-|----|
outaprisdesen fance	--|----|--|--⌫----|
sip loutmult	-|-⌫---|---|
alua letesist	-|--⌫--||---|
trestut qu an tquelip rodhomefist	------|--⌫--⌫---|-|-⌫------|---|
qua nti lout	---⌫-|-⌫|--|
faittut son	---|--|--|
deuantleuale t bi en	-----|-|----⌫|--⌫-|
q uibiensenoutg ardedonee	-⌫-|---||-|--|-⌫---|----|
sisenreuin t lanc e leuee	-||-|-----⌫|----⌫|----|
ed eman dali	|-⌫----⌫-|-|
am issa uer iez uosfaireissi	--⌫-|--⌫---⌫--|--|----|---|
lalan ceel	-|---⌫-|||
escudeme ner	---|----⌫--|
ele cheual po indre	|-|-----|--⌫----|
e cildisttuta deli ur e	|--|---|--||----⌫--⌫|
nequer oitiauniour	-|----⌫--|-|-|---|
plusuiu re	---|---⌫-|
ne terrenauoirneust	-|----||----||---|
maisquefair ei ssi leseust	------|----⌫|-⌫--|-|----|
ceoque hom	--|--|--|
putlenaprendre	--|--|-------|
quisenuielt pe nere	--||-|----|--⌫--||
fait liprodhomebeau s	---|-|-------|----⌫|
amischi ers	---|---⌫--|
il couienta che s cun mestiers	-|------||---⌫-⌫--|-------|
epeine equeore usauoir	|----||----||-|----|
pa rceoputl entresbi en sau oir	--⌫|--|--|-⌫-|---|--⌫-|---⌫--|
uo sonq uesnelfeistes	--⌫|---⌫--|-||------|
neautrefaire	-|----|----|
siuosfaire	-|--|----|
honte ne blasmeniauez	----|-|-----|||---|
ma i ssiuosbien ne	--⌫-⌫|-|--|---|-|
la pe rnez	|-⌫--⌫---|
ehon t eeblas meenauer e z	|---⌫-⌫||----⌫-|-|----⌫-⌫|
lorslefist liprodhom m onter	---|-|---|-|------|-⌫----|
e il comenc aapor ter	|-|------⌫||---⌫--|
si adr oi tlalance	-||--⌫--⌫|-|----|
cum s illeu st toziorsuestu	--||-||--⌫-|--|---|----|
entorn eiemen zeen guerres	-|----⌫------⌫||-|------|
e ale ́ partutesles terres	|---⌫|--|----|--|-----|
querant bataille e a uenture	------|-------||-⌫------|
carceoliu enoit den ature	--|--|-|-⌫----|-|-⌫----|
eq u antnat ureli aprent	|-⌫-⌫--|---⌫--|-|-----|
e l iqueor sde	|-⌫|-----⌫|-|
tutiattent	--||-----|
nelipu t estrerieng reuaine	-|-|--⌫|----|---|-⌫------|
lanatur eel queorsepei ne	-|-----⌫|-|----|-|---⌫-|
p ar cesdeussi bi enle	-⌫-|--|---|-|--⌫-|-|
qu ealprodhomemult plaisoit	--⌫|-|-------|---|-------|
equil disoi tensoncorag e	|-|-|-----⌫|-|--|-----⌫|
fusttre stutsune age	---|---⌫---|--|-⌫--|
darmesport eren tremis	|----|----⌫-|--⌫-----|
si f u stilassezbien apris	-|-⌫-⌫-|-|----|---|----|
quantleualetoutfait s on	----|-|----|--|---|-⌫-|
deuant le p rodh omeare tour	-----|-|-⌫----⌫--||--⌫---|
lan c eleuee	---⌫-⌫|----|
s enrepaire	|-|------|
sicom illiout	-|--|-|-|--|
edistsireieolaibienfait	|---|---|--||-|---|---|
q uidezuosdont mest ier mait	-⌫----|--|---|----⌫--||--|
famesi i eomettreiuoil	---|-|-⌫-|-----||---|
on quesrien	--⌫---|---|
neuirentmi o il	-|-----|-|-⌫-|
dontieotie le coueitis e eus se	---|--|---⌫-|--------⌫|---⌫-|
multuoudroieque	---|-------|--|
ieoenseu sse	--|-|---⌫--|
al treta ntcumuosensauez	--⌫-----⌫-|--|--|-|----|
faitl ip rodhome raison auez	---|-⌫|-⌫------|-----|---|
ebiento st asse zen saue riez	|---|--⌫-|----⌫|-|----⌫---|
iamarpourenauerez	-|--|---|-|-----|
liprodhomemontapartre is	-|-------|----|--|---⌫-|
darmesli moustra	|----|-|------|
tuzles d roiz	--|--|-⌫---|
tut quant que moustrerlipout	--|-----⌫--|-------|-|---|
tantq u eassezmustré	-----⌫-⌫|----|------|
treisfo izmonterlifist	----|--⌫-|-----|-|---|
al aderaine	|-⌫|------|
a missiuosencontrez	-⌫--|-|--|--------|
uncheualier que fe riez	-|--------|--|--⌫---|
fe rro it ieo le refer roie	--⌫---⌫-|--|-|-----⌫---|
esi uostre	|-|-----|
lancepeco ie	----|----⌫-|
apres ce o n iaueroit	----|--⌫|||------|
maisque asp oignzlecurroiesu s	------|-|-⌫----|-|------|--⌫|
amisceoneferiezuosmie	---|--|-|-----|--|--|
qu eferai d oncpar e s kermi e	--⌫|----|-⌫--|--|-⌫-⌫-----⌫|
d espeeledeue zreq uere	|----|-|----⌫|---⌫---|
lorsfiche deuantlui enterre	---|----|-----|--|-|----|
enes tan t	-|--⌫---⌫|
totedreite	---|-----|
liprodhomquimultlecoueite	-|------|--|---|-|------|
darmesense ignere aprendr e	|----|----⌫----||-------⌫|
qui lsesachebien	-|-⌫|-|----|---|
al espee si	||----|-|
hom lerequiert	--|-|-------|
e as saillir q uan tlui se nert	|--⌫------|-⌫---⌫|---⌫|-⌫|--|
puisa dsamainal espee mise	---|-⌫|-|---|||----|---|
il eni tiel g uis e	-|-|-⌫---|-⌫---⌫|
uosdefendrezsi	--|--------|-|
homu osa salt	--|-⌫-|-⌫---|
de ceofait il si de usmesalt	-|--|---|-|-|--⌫-|-|---|
nulshomtant cum	---|--|---|--|
ieo enfa z	--|-|--⌫|
asbo rrel se	-|--⌫----⌫||
as taleuaz	-|------|
me re e n aprisass ez	--⌫-|-⌫|----|---⌫-|
tantquesouentifui lassez	------|-----||--|-----|
do nc aloms hui mes alostel	--⌫-|----|--|--|||----|
fatliprod homqu iln	--|-|----⌫--|-|-||
e u os auere zo stela nuit	|-⌫-|-----⌫|-⌫---|-⌫---|
bon quiqu il onqu esennuit	--|----|-|----⌫-|-----|
uontamd u icos teaco ste	---|---⌫-⌫|---⌫-||--⌫--|
e liu aletzd istas on oste	|-|-⌫----|-⌫--||-⌫-|---|
si remameremenseigna	--⌫-|-|---||-------|
queoue c home	--|---⌫|---|
nalass e ia	|-----⌫|-|
necompaignie neu sse	-|---------||--⌫--|
g ra ntmentques onno nneseuss e	-⌫--⌫-----|--|-⌫-|--⌫|-|-----⌫|
issimensei gna elepuruoir	---||-----⌫--|--|--|---|
purceouoiluostreno ns auoir	--|--|---|-----|--⌫|-⌫----|
beausamischiersfaitli	----|---|-----|---|-|
gorneman z degroo ltain on	--------⌫|-|----⌫-|-|-⌫-|
en siiesq uoste l se n	--⌫-|----⌫|----⌫||-⌫|
main amai n am dui setienent	---||---⌫|--⌫--|-|------|
a lamont eedeld egre	|-|----⌫-|--|-⌫---|
u int unsu aletztrestutdegre	-⌫--|--|-⌫----|------|-|--|
qui aportaun mantelc urt	--|-----|-|-----|-⌫--|
leualet afublere ncurt	-|----|------|-⌫|---|
q ueapres lechaudnelip reist	-⌫-|----|-|----|-|-|-⌫----|
froidurequ e mal lifeist	-------|--⌫|--|-|----|
ri ches m aisonsb el eseg rantz	--⌫---|-⌫-----|-⌫--⌫-||-⌫----|
outliprodhomemul tbien seant	--|-|-------|---⌫|---|----|
elimangiers fu atorn ez	|-|-------|-|-----⌫-|
e bons ebealseacemez	|---||----||-----|
silauer ent	-|-----⌫--|
lecheualer	-|-------|
e sassistre ntalmanger	||--------⌫-|-|-----|
eliprodhomlez li	|-|------|--|-|
le ualetemangier li f ist	-|----||------|-|-⌫--|
oueclienunesquele	---|-|-|-|------|
desmes ne f azautre n oue le	--|--|-|-⌫-|----|-⌫---⌫-|
quanz en ioutnequielsilfurent	----|-||--|-|-----|-|-----|
maisassezmange rentebu rent	---|----|-----⌫---||--⌫---|
delma n giernefaz	--|--⌫-⌫---|-|--|
autrefable	----|----|
quantleuezfurentd elatable	----|----|-----|-⌫|-|----|
li p rod hom quimoutfucur t ois	-|-⌫---⌫--|--|---|-|---⌫-⌫--|
prie d edemorerun	---|-⌫|------|-|
leu alet qui	-|-⌫---|--|
delezlisist	----|-|---|
u nantutplain s	-⌫|-|--|----||
le retenistilu olenti ers	-|-------|-|-⌫------⌫--|
s iapreistendementiers	-⌫|------|-----------|
tieleschosessi	-----|-----|-|
eleslipleusse nt	---|-|-------⌫-|
quialbos o ignmestierli	--|-|---⌫-⌫--|------|-|
sirefaitliualetzap re s	---|---|-|-----|--⌫--⌫|
ieosui getés pres	--|--|-----|---|
del manoi rou ma	--|-----⌫|-|-|
me remeint	--⌫-|----|
maisieoprideuqueali memeint	---|--|--|--|--||-|-|----|
s ique oncore lapusse	-⌫|--|-----|-|----|
quepasmeela	--|-----|-|
alchiefdelp ont deu antsap orte	-|----|--|-⌫--|---⌫--|-|-⌫---|
nesai selees tou uiue oumorte	-|--||--|--⌫|-|---|-|----|
quant la laissai	----|-|------|
chaitpasmee bienlesai	----|-----|---|-|--|
ep urceo ne	|-⌫-|--|-|
porreitpasest re	------|--|---⌫-|
ies queieoseuss eson	---⌫--|--|-----⌫|--|
q ue ieofeisselongso ior	-⌫-|--|-----|---|--⌫--|
irrai demainal	----|-----|-|
lipro dhom ot	-|---⌫---|-|
que rienne ualt	--|---|-|---|
prie reeleiour lurfalt	----⌫-||-|---|--|---|
siuontc ochier	-|---|-⌫-----|
quelilitesteienttuit	--|-|--|-------|---|
liprodh ommatin seleua	-|-----⌫-|----|-|---|
allita l ualets	-|--|-⌫|----||
l ao u letrouagisant	-⌫|-⌫|-|----|-----|
si lifistporter un	-|-|---|-----|-|
chemise ebraiel s de c heisil	------||------⌫|-|-⌫-----|
echa uce s teintes	|---⌫---⌫|------|
enb ras il	-|-⌫---⌫-|
e coteded rap tois su	|---|-|-⌫--|----⌫-|
quifufaitetoissue n	--|-|---||-----|-⌫|
p urc eoqueuestir le feist	-⌫-|-⌫-|--|-----|-|----|
e silid ist	|-|-|-⌫--|
amiscesdrazque	---|--|---|--|
uestirezsiuo sme	-------|-|--⌫|-|
e liualetrespon t bealsire	|-|----|------⌫|---|---|
par deuuos porrie z mielz dire	--|--|--|------⌫|----|---|
ledrap quemamerefi st	-|---|--|-|---|--⌫-|
dontneualo itilm ielzq u ec ist	---|-|----⌫-|-|-⌫---|-⌫-⌫|-⌫--|
uole zq ueieo les	----⌫|-⌫-|--|--|
ua letfo ique	--⌫--|--⌫|--|
ieod e imateste	--|-⌫-⌫|-|----|
fait li p rodhom einzual entpis	---|-|-⌫-----|---|---⌫--|--|
uos me deistesbeals	--|-|------|----|
quantie ouosamenaica enz	----|--⌫|--|-----|--⌫--|
q ueuostuzmes	-⌫-|--|--|--|
co ma ndemenz	--⌫--⌫------|
fer ieze ieosi	---⌫--||--|-|
faitliua letzianeserrai	---|-|--⌫---|-|-|-----|
encontr e uosdenu lechose	-------⌫|--|-|--⌫-|----|
as dr azuestirplus ne repose	-|--⌫-|-----|---|-|-----|
siad lesdraz	-|-|--|---|
samerelessez	-|---|-----|
eli prodhom esesta bai ssez	|-|-------⌫||--|-⌫---⌫---|
si lichau cal esperon	-|-|----⌫-||------|
la cus tomesoleit t iele	-|---⌫---|-----|-⌫---|
que cilqu ifaisoitcheual ie r	--|--|--⌫|------|------⌫--⌫|
lideuoi tlesperonchauc er	-|-----⌫||------|-----⌫-|
d a utre s ualetzasseziou t	|-⌫----⌫|-----|----||--⌫|
chescu ns qui	------⌫-|--|
au eniripout	--⌫---||---|
aliarmerad	|-|----|-|
la mainmise	-|---|---|
lepro dhomeadl espee	-|---⌫----|-||----|
si leceintes i libaisa	-|-|----||-⌫|-|----|
edit quedo n e ́ lia	|--|--|--⌫-⌫-⌫|-||
leplushalto rdreouec	-|---|---|-⌫---|---|
eitfait enecomandee	--|----⌫|-|-------|
ceoestordr e decheual erie	--|--|----⌫|-|------⌫---|
q uideitestr e sanzuilainie	-⌫-|---|----⌫|---|-------|
edist beal f rere ore	|---|---|-⌫---|--|
uossouiegne	--|-------|
s il auient quil uos	|-|-----|-|-|--|
coui e g ne	----⌫-⌫-⌫-|
co m batre aa lku n cheuale r	--⌫-⌫----||-⌫---⌫|-------⌫|
iceouosuoildir eeprier	---|--|---|---⌫||----|
siuosenuenezal desuz	-|--|-|----|-|----|
queuersuosnese p usse	--|---|--|-|-|-⌫---|
defend re ne contr ete nir	------⌫-|-|-----⌫---⌫--|
einzlesteus seamer cit enir	---||------⌫-||---⌫-|-⌫---|
gardezquemerci en eiez	-----|--|----|-|---|
que a escientnel occiez	--||------|-||-----|
neparler pastrop uolentie rs	-|-----|--|---|--------⌫-|
nul s ne putestretr op p arliers	---⌫|-|--|----|--⌫-|-⌫------|
que s ouen t tiele chose nedie	--|-⌫----⌫|----|----|-|--|
qu ilito rnea	--⌫|-|--⌫--||
elisages diteretrait	|-|----|--||------|
quitropparole pech e fait	--|---|-----|----⌫|---|
pur ceobealsire	--|--|---|---|
detro pparler e siuosdi	-|---⌫|-----||-|--|-|
siuostrouez homenefemme	-|--|-----|---|-|----|
ou seit dameisel e	-|---|--------⌫|
desconseillee dalkunerien	------------||-----|---|
conseil lezla	-------⌫--|-|
siferezbien	-|----|---|
siuo sconseille rl en	-|--⌫|---------⌫||-|
es ilepoeir enau ez	|-⌫|-|----|-|--⌫-|
unea utr echoseuos aprei gn	--|-⌫---⌫|----|--|-----⌫-|
qu ene tornez	--⌫|-|-----|
pasa de sd eign	--||--⌫--⌫---|
quilnefa itpas adesde igner	-|-|-|--⌫-|--||-----⌫----|
uo le nt ier sa ler	--⌫--⌫--⌫---⌫|-⌫--|
al mostier	-|------|
pur celip r ier quitut ad fait	--|---|-⌫-⌫--|--|--|-|---|
qu il de uost real memerci	-|-|-|----⌫-|--⌫-|----|
equeence stsiecleterrien	|--|-|--⌫-|-----|------|
uosgardcum son	--|---|--|--|
liual et r espont alprod home	-|---⌫-|-⌫-----|-|----⌫---|
d et uzles apost oilles d erome	-⌫|-⌫-|--|-----⌫-----|-⌫|---|
se iezu osbenoi t be al sire	--⌫--|-⌫-|-----⌫|--⌫-|---|
queautel oi mameredire	--|----|-|-|---|---|
ore nedites iamaisbealf rere	--|-|----|-----|---|-⌫---|
faitliprodhom quemamere	---|-|------|--|-|---|
rienaprissiieo	---|----|-|--|
deceopasne	-|--|--|-|
uosblasmom	--|------|
s iuosl auez ditiesque	-⌫|--||---|--|-----|
maisdesoremes	---|--------|
uos tremerci	---⌫--|----|
uo sprique uos	--⌫|--|--|--|
enchastiez	-|-------|
q uesiuosplusledeiss ez	-⌫-|-|--|---|-|-----⌫-|
a fo lieletend reitlen	|--⌫--|-|----⌫---|--|
purceouosdi taise z u osen	--|--|--|-|-----⌫|-⌫-|-|
eq uedir raidoncbe aldouz sire	|-⌫-|---⌫--|---|--⌫-|---|---|
le uau as our distceo poe zdire	-|---⌫--⌫--|---|--|---⌫|---|
quiuostreespero nuos chauca	--|-----|------⌫|--|-----|
leuosapriste	-|--|-----||
eil liad l edon doné	|-|-|-|-⌫|--|----|
queiamesneserra soné	--|----|-|----|----|
unmottantcum i l serraui fs	-|--|---|--|-⌫|----|--⌫-|
forsdeliqui liad	---|-|-|--|-|-|
estbiens qu	--|----|-|
il lienseigne	-|-|-------|
liprodhommain tenant	-|------|----⌫-----|
siad la mainleuee enhaut	-|-|-|---|----|-|---|
edistbealsire	|---|---|---|
deusuos saut	---|--|---|
al ez ad eu quil	--⌫-||-⌫-|-|-|
uosconduie	--|------|
quela demoereuos e nnuie	--|-|------|--|-⌫----|
lin ouels cheual e rs se n part	-|-⌫----|------⌫-⌫-||-⌫|---|
desonhostemultli e sttart	-|--|----|---|-|-⌫-|---|
qu e asa mereu enir pusse	--⌫||-|---|-⌫---|----|
sainee uiue latruis se	----||---|-|-----⌫-|
sisem et esforestzso u taines	-|-|-⌫-|-|------|--⌫-⌫-----|
m ielzsiet queles	-⌫---|---|--|--|
t erres plaines	-⌫----|------|
fores tz sereconuissoit	-----⌫-|-|-----------|
echeuauchetantqui luo it	|--------|-----|-⌫|--⌫-|
unchastelforte bienseant	-|------|---||---|----|
maisdeh orsni uoit ni ent	---|---⌫--|||---|--⌫--|
forestaimeete rre gaste	-----|---||--⌫--|----|
de erre ruer s	-|----⌫|---⌫|
le ch as tel sehas te	-|--⌫--⌫--|-|---⌫-|
ta ntqu ede uantla	--⌫----⌫|--⌫---|-|
porteuient	----|----|
pon tpasserlico u i en t	---⌫|-----|-|--⌫-⌫-⌫--⌫|
s ifie bleei nzquela porte	-⌫|---⌫--|--⌫----|-|----|
poinequid quille	----|---|-|-|-|
le che ualersurlepontmo nte	-|---⌫----|--|-|---|--⌫--|
s il epasseq uem al nehont e	-⌫|-⌫|----|-⌫-|-⌫-|-|----⌫|
neencombrierne	-|---------|-|
iesqua laportetantost uint	----||-|----|------|---|
sil atrouafermédeclief	-|-⌫|----|-----|-|----|
cilnehurta mie	--|-|----|--|
iapp ella bas	|---⌫---|--|
tantiferri que	---||----|--|
ignielpa s	--------⌫|
uintasfenestres dela sale	---|-|--------|-|-|---|
une pucel emaegreepa le	--|-----⌫|-----||--⌫-|
edist quiestquilaappelle	|---|--|--|--|-|------|
cilregardeuersla pucele	--|------|---|-|-----|
dist beleamie	---|---|---|
uns cheualier ssuiqu i uos	--|---------⌫|--|--⌫|--|
queenlacu rtmelaissez ent rer	--|-|-|--⌫-|-|------|---⌫--|
o stelanu it	-⌫---|---⌫-|
me fa it espres te r	-|--⌫--⌫-|----⌫--⌫|
eleuoslaue rez	--|--||---⌫--|
mais iagrenenusen sauerez	---|-|--|-|--|-|------|
e n e po rquantnosuo sferoms	|-⌫-⌫--⌫-----|--|--⌫|-----|
seb elostelcumnos	-|-⌫-|----|--|--|
lorss estlapuce leen bastrai te	---||--|-|----⌫-|-|--|----⌫-|
ecilquialapo r te a gait e	|--|--||-|--⌫-⌫-|-⌫----⌫|
cr ientquene lifacetropeste r	--⌫---|--|-|-|---|---|----⌫|
sirecomence	-|--------|
tantostq uatre	------|-⌫----|
sergan z uind rent	------⌫|----⌫---|
qui granzh a chesen lormainstindr ent	--|----|-⌫-⌫---|-|--|----|-----⌫--|
e chescuns outses pee	|-------|--||--⌫--|
siontlaportedef fermee	-|--|-|----|---⌫-----|
die nt uenez auant	---⌫-|----|----|
fussentsisergant	------|-|------|
mu lt fuss ent belmaisil auoient	--⌫-|----⌫--|--|---|-|------|
mesaise outantquilestoient	------|-|-----|-|-------|
de iun ered e	-|---⌫-||-⌫|
tielquehoms enpustmerue iller	---|--|--||-|---|-----⌫----|
eilout bien dehors	|-|--|---|-----|
g asteebruillee	-⌫---||-------|
dedenzrienneliamenda	-----|---|-|-|-----|
quepartu tlaouil ala	--|--|--⌫|-|-|-|--|
t rouadegaste es	-⌫---|-------⌫-|
e lesmaisonsuit dechaues	|--|------|--|-------|
que home ne femmeniauoit	--|---|-|----|||----|
deusmos tiersenlauil eauoit	---|---⌫----|-|-|---⌫|----|
quiesteien t deusabbeies	--|-------⌫|---|------|
liun sfudenonainesesbaies	-|--⌫|-|-|-------|------|
l autredem oineses garrez	|----|-|-⌫----|--⌫-----|
nestrouamiebien	|-|----|--|---|
lesmostiersn e	--|-------|-⌫|
bienportendu z	---|--------⌫|
einzlesu it	---|--|-⌫-|
creueze fend uz	-----||----⌫-|
les meurs e lestor sdescouerte s	--|----||--|---⌫|----------⌫|
e lesmaisonsfurent	|--|------|-----|
nuitzcum deiors	----|--|-|---|
imiel t ne necuit fors	|----⌫|-|-|---|---|
e nmil eu d elchastel	-⌫|---⌫-|-⌫-|------|
iauo itpain negastel	|---⌫-|---|-|-----|
nenulerien quefustauendre	-|---|---|--|---||-----|
dontlen peu s tun denierprendre	---|--|---⌫-⌫|-|-----|------|
ensitroua lecha stel	---|----|-|---⌫---|
qu il n io ut	-|-|||-⌫-|
neuinne sisdreneceruoise	-|--|-|-----|-|-------|
ue rs unpaleiscouertd azoise	--⌫-|-|-----|-----||-----|
li quatre sergantmené	-|-----|------|----|
edescendu e des ar mé	|-------||---⌫--⌫--|
e tantos tunsergantauale	|------⌫|-|------|----|
parmi undegredela sa le	----|-|----|-|-|--⌫-|
qu iap orta	--⌫|--⌫---|
unmantelg ris	-|-----|-⌫--|
alcolalcheualer l	-|--|-|-------||
eunsaltres ad	|--|-----|-|
est a blé	---⌫-⌫---|
son cheuallaou ilnenad	--|-----|-|-|-||-|-|
nepainneforresi poin on	-|---|-|----|-|--|-⌫-|
esteitenlamaiso n	-----|-|-|-----⌫|
li altre pard eu ant	-|----|--|-⌫--⌫--|
eus lefon t	--|-|---⌫|
parles degre z	--|--|-----⌫|
monter am ont	-----|--⌫--|
enlasale quemu ltfubele	-|-|---|--|--⌫-|-|---|
duiprodhomeeune pucele	--|-------||--|-----|
lencontreuenu	|-------|---|
liprodho m eestoientchanu	-|------⌫-⌫|-------|----|
nonpas quetut	--|--|--|--|
fussentblanc	------|----|
debelaageonttutlur	-|--|---|--|--|--|
ea totelurforc efussent	||---|--|----⌫|------|
siennuiepes a nce n e ussent	-|----||---⌫-⌫--||-⌫-----|
ladamei sele	-|-----⌫---|
e plus acesmeee plu sio inte	|---|------||---⌫|--⌫---|
que esperu iersne	--|------⌫---|-|
sis mantealsfu esis blialz	--|-------|-||--|-----|
d une purprenei re estellee	|--|-----|---⌫-|-------|
dor enesteitmiepelee	|-|||-----|--|----|
lepene que	-|---|--|
d unsabe linnoir e cha nu	|-|----⌫--|---||---⌫-|
qui nesteit	--||-----|
trop longne	---|---|-|
fulimantelsal c ol orlez	-|-|------|-|-⌫-|----|
esiieoonques	|-|--|-----|
debealt e quedeuseust mise	-|-----⌫|--|---|---|---|
en ch iefdef emmeneenface	-|--⌫--|-|-⌫---|-|-|---|
o remerep laist qu ei eoen face	-⌫-|-|---⌫----|--⌫|-⌫-|-|---|
que ia ne ment irai	--|-|-|----⌫---|
deslieefu esiot	------|-||-|-|
lescheuoilztiels	--|-------|----|
sies trepoe ist	-|--⌫--|---⌫--|
q u e b ie nquid as tqui les	-⌫-⌫|-⌫--⌫|----⌫--⌫|--|--|
qu il f ussen t tuit	-|-|-⌫-----⌫|---|
tantesto ie nt	---|----⌫--⌫-|
lefront out blanc	-|----|--|----|
c umsilfustou erez	-⌫-||-|---|--⌫---|
qui a main d omeo ueré fust	--||---||--|-⌫----|---|
decir e ou dep iere oude fust	-|---⌫|-|-|-⌫---|-|-|---|
surcilzbrun ezelargeentreoil	------|----⌫-||----|-------|
enlatestefurent li oil	-|-|----|-----|-|--|
ria nt e u airclier efendu	---⌫-||-⌫--|----||----|
out dreiteestendu	--|----||------|
emul tauenoitensonuis	|---⌫|------|-|--|--|
libla ncso dlero u ge	-|---⌫--|-⌫|-|--⌫-⌫-|
cum s inoplesura rg ent	--|-⌫-----|--|-⌫--⌫--|
corsoutbienfaite	---|--|---|---||
deuqui l auoitfaitameru e ille	--|--||----|---||----⌫-⌫---|
unquespuis n efistsa pa reille	-----|---|-⌫|---|-|--⌫-----|
nedeuantfait nelauoit	-|-----|---|-||----|
equantli c heualers la uoi t	|----|-|-⌫-------|-|---⌫|
elicheualeramb edui	|-|-------|---⌫---|
elad ameiselel iprent	|-|-⌫-------|-⌫|----|
parlama indebonairement	--|-|--⌫-|------------|
edistb eal	|---|-⌫--|
sireci stost els	---|--⌫-|---⌫--|
certesniert pas enqu e n uit tie l s	-----||---|--|----⌫-⌫-⌫--|---⌫-⌫|
cum apro dhome	--||---⌫----|
c oue ndroit	-⌫---⌫-----|
siie o uos diso ie oreendroit	-|--⌫|--|----⌫-|---------|
tu tnostrecouineenostreestre	--⌫|-----|-----||-----|----|
uosquideriezputcel estre	--|--------|--|--|----|
quedemaluaistel e deiss e	--|-|--------|-⌫|-----⌫|
aleruosen feisse	---|--|-|-----|
maiss iuos p lais to reuenez	---|-⌫|--|-⌫----⌫|-⌫-|----|
l ostelti elcum i l est pern ez	|----|--⌫-|--|-⌫|--|----⌫-|
edeuuos doinstmeillordemain	|--|--|-----|------|-----|
en silenmeineparlamain	--⌫-||------|--|-|---|
iesqu eenune ch ambrecelee	-----⌫|-|--|--⌫----|----|
q uemultert bele el ongeelee	-⌫-|---|--|---||-⌫---||--|
suruneco ted e sam it	--|--|--⌫-|-⌫|---⌫-|
quifuestend ue e nu nlit	--|-|------⌫-|-⌫|-⌫|--|
sisuntambedu ila enz assis	-|---|------⌫|--⌫--|----|
echeua lers biendis	|-----⌫---|---|--|
laenzuindrente s i s	----|-------||-⌫||
assistrent	---------|
deuant la dam ee	-----|-|---⌫||
mot nedistrent	--|-|-------|
ecild e p arlerse	|--|-⌫|-⌫----|-|
qu edel cha stilisouenoit	--⌫|--|---⌫--|-|-------|
queli prodhom li auoitfait	--|-|------|-|----|---|
sientenoie nt gran tplait	-|-|------⌫-|----⌫|----|
cheualiera co nseil	--------||--⌫----|
deusfai tchascunsmoutm emerueil	---|---⌫|-------|---|-⌫|------|
si cist cheualerestmu et z	-|---|-------|--|--⌫--⌫|
pechesereitcar	----|-----|--|
bien estfai tz	---|--|---⌫-|
unqu esnenas quiplus be l	----⌫-|-|---⌫--|---|--⌫|
m ultauientdelezla dame	-⌫--|-----|----|-|---|
e madameb iend elezlui	|-|---|-⌫--|-⌫---|--|
sine fussen t	-|-|------⌫|
tant esti lbels	---|--|-⌫|---|
e el ebele	|--⌫|---|
que onquescheualernep ucele	--|-----|-------|-|-⌫----|
n a u indrentmais	|-⌫-⌫------|---|
si bien ensemble	-|---|-------|
unedelautre	-||-||----|
purceoqueensembl eles	--|--|--|-------⌫|--|
quedeus lun	--|---||-|
autrefeist	----|----|
ensituzgranz	---|--|----|
plaitzten o ie nt	-----|---⌫-⌫--⌫-|
aladam eisel eentendoient	|-|---⌫-----⌫|----------|
queelero uastde	--|--|--⌫---|-|
que iq ue soit	---⌫--⌫-|---|
eledameisele	|-|--------|
att endoit	---⌫-----|
tant que ele uittr es bi en esot	----⌫--|--|--|--⌫-|--⌫-||--|
dirroi tiamaism ot	------⌫|-----|-⌫-|
siel eneparlast p r im ie rement	-|--⌫|-|------|-⌫-⌫--⌫--⌫-----|
sired ontleuastesuoshui	---|-⌫--|-------|--|--|
dameiselefaitil ieo gui	--------|---|-|--|--|
chie fun prodhomaun ostel	----⌫|-|------||-|----|
ou ieooibon ebel ostel	-|--|-|--||--|----|
s i ad cink	||-|---|
tursforzeeslites	---|---||------|
une grante quatrepet ites	--|----||-----|---⌫---|
nesai tutel	-|--|---||
o ue reasomer	-⌫--⌫-|-----|
ne lechastelne sainomer	-|-|------|-|--|----|
