la u ctoritenosdituneraisonpor uoir	|-⌫-⌫------|--|--|--|-----|--|---|
enlafossere sgardent pa rgrant esm arison	-|-|----|--⌫-------|--⌫|----|---⌫-----|
si niuoientdedenzsemanne	-|||-----|-----|-|----|
pu is ontlafosse	--⌫-|--|-|----|
emplie deterreetre couuerte	-----|-|----|-|--⌫-------|
quil r a uoien ttrouue e	-|-|-⌫-⌫-----⌫|------⌫|
toutewideetouuerte	----|---|-|------|
cascu nio riauint	-----⌫|--⌫||----|
une miracleap erte	--|------|--⌫---|
sor lafosseaubaron dontla	--|-|----|-|----|---|-|
p aroleest cer te	-⌫----|--|---⌫-|
soi t nus deno seneffroin enredout	---⌫|--|-|--⌫|-|-----||-|-----|
quil est uoirsque	-|-|--|----|--|
la terresesmuetad eset bot	-|----||-----|--⌫-|-|--|
sor lafossec e lu i	--|-|----|-⌫-⌫--⌫|
quilwaut assezetmo nt	---|---|----|-|--⌫-|
si quesemb lecunshon s ildormetout	-|--|----⌫-||--|---⌫|-|----|---|
unpe tit suiendoutenesai	-|--⌫--|--|-|----|-|--|
e phesedient c	-⌫----|----||
omq ues ne rechutmort	---⌫--|-|-----|---|
porla terrequi l	--|-|----|---⌫|
b outetoutades	-⌫---|---|---|
et res ort	-|---⌫--|
ainzdien t encoruitsise	---|----⌫|----|--|-|-|
reposeetdort	-----|-|---|
puisq u e iai	-----⌫-⌫||-|
translat eec este matire	--------⌫-|-⌫---|-----|
diredoiet despondre	---|--|-|--------|
trestoutel amatire	--------|-⌫|-----|
p orquoi l	-⌫-|---||
ew angelistes nelsentinul mar ti r e	--⌫---------|--|----|--|---⌫--⌫-⌫|
etquesacharhuma inn e dem or a	-|--|-|---|----⌫---⌫|---⌫--⌫|
toutent iere	---|---⌫---|
entieredemoratoute	------|-----|----|
s umainnechars	|------|----|
kerdetout bienfu la rg eset	--|-|---|---|-|--⌫--⌫-|-|
depechie eschars	-|-----|------|
riensneforfisten terre dontfu	----|-|------|-|----|---|-|
c endroitescha rs	-⌫-|----|-----⌫-|
ne fud e colez cr uchefie z nears	-|-|-⌫-⌫----|--⌫-------⌫|-|--|
co nmentdexrechutmorten	--⌫----|--|-----|---|-|
croixetfuplaiez	----|-|-|-----|
puet dontcis	---|---|--|
sainsestresanzm ar tire	----|----|---|-⌫--⌫---|
oilet senf u ildemaint	--|-||-|-⌫|-|-|----|
m al essaiez	-⌫-|------|
mesai ncporce nn e fues f reez	--|--⌫-|--|--⌫|-⌫|-|--⌫-⌫---|
ne sm aiez	|-⌫--⌫---|
uoi rs e st que dex souffrigrief martirep ornos	---⌫-|-⌫-|--|--|------|----|------|-⌫-|--|
kantil souffri lamo rtdo ntli	---|-|------|-|--⌫-|--⌫-|-|
pui sfist souff rir martire asesapost restous	---⌫|---|-----⌫--|------||--|-----⌫--|---|
m essanzmaltrespa ssalewangelistesdous	-⌫-|---|--|------⌫--||-----------|---|
seintygliseconfortsolas lumiere	----|-----|------|----|------|
dontdexf istetdist	---|--|-⌫--|-|---|
amonseignor saint pierre	|--|------|----|-----|
atoifait il nedure necist	|--|---|-|-|---|-|---|
nesa m aniere	-|-|-⌫-----|
ainzwoilq ueissi	---|---|-⌫-|---|
maigne tantq ueie	-----|-----⌫-|-|
uen usiere	---⌫-|---|
delsaintewangelisteaila uieretraite	--|----|----------|-|-|--|-------|
etmisseenz en roumans etdelatim	-|----|--|-|------|-|-|----|
d emen sciencei a i	-⌫||--⌫------||-⌫|
mi seetatraite	--⌫-|-|------|
nemendoitdirewillainmot	-||-|---|---|------|--|
ner e tra ite	-|-⌫-⌫---⌫--|
hautbar o ndo n tiaifaitrec orda nc he	---|---⌫-⌫|--⌫-⌫||-|---|---⌫----⌫--⌫-|
quilfacheuenir mameasidroite	-|-|----|----||--||-|-----|
acordanche	---------|
faceen ce stsiecledesesmaus	---|-|--⌫-|-----|-|--|---|
amendanche	---------|
etilpar sa	-|-|--|-|
pitiemedoi nstforchee ta id an che	----|-|---⌫--|-----|-⌫|-⌫--⌫--⌫--|
