#ME TA#TextURIErecF	---⌫--|------|----|
#META#DE AFh t tp//www.deaf-page.d e/ fr/bib l/b ib99e. php#ErecF	-----|--⌫-|-⌫-⌫-------------------⌫--⌫------⌫---⌫------⌫--------|
#META#TLErec	-----|-|---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttps//www.a r li ma.net/ad/chretien_de_ tr o yes.html#ere	-----|-----|------------⌫-⌫--⌫----------------------⌫--⌫-⌫-----------|
#META# AuthorChrétiende Tr oye s	-----|-----|--------|-|--⌫---⌫|
# META#Author B or n1 130	-⌫----|------⌫-⌫--⌫|-⌫--|
#META#AuthorB ornAmbc	-----|-------⌫-----||
#META# AuthorDied 1180	-----|---------|---|
#META #Auth orDie dA mba	-----⌫|----⌫-----⌫--⌫-||
#META#AuthorFl1	-----|--------|
# META # AuthorFl2	-⌫----⌫|--------|
# META#TextTitle Ericet	-⌫----|--------|---|-|
#META# TextSubtitl e	-----|-----------⌫|
#ME TA#Textuols	---⌫--|-------|
#META# Text S ubi	-----|----⌫-⌫--|
#META #TextDoml it	-----⌫|------|-⌫-|
# META#Translation	-⌫----|----------|
#META#C ollection	-----|-⌫--------|
#M ETA#CollectionNo	--⌫---|-----------|
#META#Text DescARLuersoctosyllabiquesa ̀rim es	-----|----⌫------|---|--------------|-⌫|---⌫-|
#META#TextDescuers 8	-----|-----------||
#META# Tex tDa teARL117 0	-----|---⌫---⌫----|---⌫|
#META# TextDateAdi 1170	-----|----------|---|
#META#TextDateMin	-----|----------|
#META# TextDateMa x	-----|----------⌫|
# META#EdEditorFoerst erWendel in	-⌫----|-------|------⌫-|------⌫-|
#META#EdPlaceHall e	-----|------|----⌫|
#META# EdPub lisher	-----|-----⌫-----|
#META# Eduol	-----|----|
#META# EdYear	-----|-----|
#META# EdPages	-----|------|
#META#MsBaseH[ P8]	-----|-----|--⌫--|
#META # MsOther	-----⌫|------|
#META# MsNu m1 3	-----|----⌫|-⌫|
# META#M s Date ARL	-⌫----|-⌫-⌫----⌫--|
#META#MsDateAdi	-----|--------|
#META#For mu	-----|---⌫||
#META#Com pl ete true	-----|---⌫--⌫--|---|
#META#NoWords39059	-----|------|----|
#META# No Li nes 6 956	-----|--⌫--⌫--|-⌫--|
# META #DialAuth	-⌫----⌫|-------|
#META#Dial S cribe	-----|----⌫-⌫----|
#META #ScanURL	-----⌫|------|
Guiuretprie	------|---|
quenelig riet	--|-|-|-⌫---|
EtdistHaïbia usdo uz	-|---|---|---⌫-|--⌫-|
nostre osteussoit pris	-----|-----|---|---|
Elch astelmesneuos enui t .	-|--⌫----|--|-|--|----⌫-⌫|
Tansestdeherber gieranuit	---|--|-|------⌫---|----|
Etp orceuuel qu	-|-⌫-|-|---|-|
i l ne uo s poist	-⌫|-|--⌫|----|
nuleenorsno sicro ist	---|----|--⌫||---⌫--|
Ceuosdeuroitestre mout	-|--|------|----|---|
De l auantu reuosapel	-||------⌫-|--|---|
Quesolemantlen on m e	--|-------|-|-⌫-|-⌫|
De lsoreplus soiieztozqu ites.	--⌫|-------|-----|--|--⌫----|
Sirefetilne	---|--|-|-|
p uisteisir	-⌫--|-----|
Que nedie uostre pl eisir.	--|-|--|-----|--⌫-----|
Li n o nsestmoutbiaus a	-|-⌫-⌫-|--|---|----||
M esmoutestgriés	-⌫-|---|--|-----|
Quenusn anpuet es c haperuis.	--|--||-|---|--⌫-⌫----|---|
Lauan tu receuosp leu is	|----⌫--⌫-|-|--|-⌫---⌫-|
LACORTanon.	-|---||---|
Deus anioi en	---|-|---⌫||
asebienno n	|-|---|--⌫|
FetErecceuoisie	--|---|-|---|-|
Iane mal ez de sespera nt	-|-||--⌫-|--⌫-------⌫-|
Biau s do uzamis de c en ed	----⌫|--⌫-|---|-|-⌫|-⌫||
Mes fe isonspr andr enostreost e l	--|--⌫----|--⌫----⌫|-----|---⌫-⌫|
Q uegranzb iens nosanp uetu e ni r.	-⌫-|----|-⌫---|--|-|-⌫--|-⌫-⌫--⌫-|
Rien snem eporr oit re tenir	----⌫|-|-⌫|----⌫--|--⌫----|
nail l e querrela Ioie.	|---⌫-⌫|-----|-|----|
ilDeus uos an	-|---|--|-|
Queuosioie puissiezt r ouer	--|--|---|-------|-⌫-⌫---|
Etsanz anc onbrier	-|---|---⌫------|
Bien u oiqualernosi	---|-⌫-|-|---|--||
Desqu autrema nt e strene	--|-|-------⌫-|-⌫---|-|
Alonsi Nostreosteus est	----||-----|-----|--|
Que nuscheual ier sde	--|--|------⌫---⌫|-|
h aut pr i s	-⌫--|--⌫-⌫|
(Ce aioï direetcon ter)	--|-|--|---|-|---⌫---|
an cestchastel antrer	-|---|------|-----|
Porcequeh erbergi er iu uelle	--|-|--|-⌫-------⌫-||-⌫----|
Qu elirois Eurainsnel rec uelle.	--⌫|-|---|------|--|---⌫-----|
Tan testiantis etfranslirois	---⌫|--|-----|-|----|-|---|
fetbanasesbo riois	--|--||--|--⌫----|
Si chie r conchascuns	-|----⌫|--|-------|
Queprodonquiua ingnede fors	--|-----|--|--⌫----|-|---|
An lormei sonsostel	-|--|---⌫---|----|
ilmeïsmespuisse	-|-------|-----|
Toz les prodomese norer	--|--|-------|-⌫----|
Q uilea nzuou dront demo rer.	-⌫-|---⌫-|---⌫----|----⌫---|
AINSIu ers le	----|-⌫--|-|
chastel sanuont	------||-|---|
Les l icespassentet lepont	--|-⌫---|------|-|-|---|
le slices ont passees	--⌫|----|--|------|
L esi an zquifurent	-⌫-|-⌫--⌫|--|-----|
uoientErec qui	-----|---|--|
mo utest biaus	--⌫-|--|----|
E t parsanbla nt cuidentet	-⌫|--|------⌫-|------|-|
Que t re stuitli	--|-⌫--⌫----|-|
autrealuisoient.	----||--|------|
Ameruoilles lesgar de nt	|---------||-----⌫--⌫-|
Lauileanfremisttote	-|---|-|------|---|
T uit anconsoillen t etparolent	-⌫--|-|----------⌫|-|-------|
Nes lespucelesquicarol ent	--|--|------|--|-----⌫--|
L orchan tanleissent et retardent	-⌫-|----⌫|-|-------|-|--------|
T otes ansa nbleleregar dent	-⌫---|----⌫---|-|-----⌫---|
Etdesagrantbiautésesaingnent	-|-|-|----|------|-|--------|
Et agra ntmeruoille	-||---⌫-|--------|
leplaingnent.	-|----------|
Anbasditlune	-|--|--||--|
ala utr eLasse	||-⌫---⌫|----|
Cistcheualiersquiparcipass e	---|---------|--|--|-|----⌫|
uetala Ioiede	--||-|---|-|
Dolanzani ertainz quil sa n tort	-----|-|-⌫--|---|-|-||-⌫|---|
Onquesnu s	-----|--⌫|
d autreterre	|----|----|
LaIoie del a Cortrequerre	-|---|-|-⌫|---|-------|
Quilnieüsthonte	-|-|||----|----|
Etn il eissas tlatesteangage.	-|||-⌫------⌫|-|----|-|----|
Apr ésporceque il	---⌫--|--|-|--|-|
Dïentan hautDeus tedeffa nde	-----|-|---|---|-|-----⌫--|
Cheualiersdemesauanture	---------|-|----------|
Carm outesbiaus a	--|-⌫--|-|----||
d esmesure	-⌫-------|
Etmoutfet t a b iautez	-|---|--|-⌫|-⌫-----|
apla indre	|---⌫----|
Car demainla uer r onse staindre.	--|-----|-|---⌫-⌫--|-⌫--------|
Ademain estta morz	|-----|--|-|---|
Demain morras	-----|-----|
sanz at andue	---|--⌫----|
SeDeusnete	-|---|-|-|
g ard eetdeffant .	-⌫---⌫|-|-------⌫|
Erec otbienetsi anta nt	---|-|---|-|-|----⌫-|
Quandit de lui	-|-|--|-|--|
Plusle pleignoientd e deus mile	---|-|----------|-⌫|---|---|
Outre sanu asanz delaiier	----||-|-⌫|---|-------|
Salua ntdeboneiremant	-----⌫-|------------|
Tozetto tes c o munalmant.	--|-|--⌫--|-⌫-⌫---------|
Et tu i tetto tes le	-|--⌫-⌫|-|--⌫--|-|
plusord a ngoissesuent	-----||-⌫------|----|
Quiplus doten tqueil	--|---|-----⌫|--|-|
sahont eet	-|----⌫|-|
de son let.	-|--|---|
Seuldeueoir s a contenance	---|-|----|-⌫|---------|
bi a ut é e t sa sanblance	--⌫-⌫--⌫-|-⌫|-|--------|
Asiles cue rsdetoza lui	|-|--|---⌫-|-|--||--|
Que tui tredotentson enui	--|---⌫|-------|--|---|
Cheualierd ames et puceles .	--------|-⌫---|-|-------⌫|
Eurainsotlesnouel es	------|-|--|-----⌫-|
Queteusi anza sa cort ueno ient	--|---|-⌫--||-|---|----⌫---|
Qu igrantconp eign ie menoient	--⌫|----|----⌫----⌫-|-------|
Etbienr essanbloit asherno is	-|---|-⌫---------|-|-----⌫-|
Queli sireestoit cuensourois.	--|-|---|-----|----|-|----|
Eur a ins anmilarue	---⌫-⌫--|---|-|--|
uintancontre	---|-------|
aus si lessalue.	--|-|--|-----|
Bienuaingne fetilc este	---|------|--|-|-⌫---|
sires et l aianztot e	----|-|-⌫|---|---⌫|
BienueigniezseignorDesc ̧andez	---|-------|------|----⌫-----|
De sçandu sont il fuass ez	--⌫------|---|-|-|---⌫-|
Quilor cheuaus reçut etprist.	--|--|------|-----|-|-----|
Li r oi s Eurainspas n antreprist	-|-⌫--⌫|------|--||---------|
Qua ntil uitEnideuenant	---⌫-|-|--|----|-----|
Silasalue mainte nant	-|-|----|------⌫---|
Etli cor t eid ier adesç an dre.	-|-|---⌫|---⌫--||-----⌫--⌫---|
Parlam a i nqueleot	--|-|-⌫-⌫-⌫|-|--|-|
blancheet tandre	------|-|-----|
L anmainne	|-|-----|
anz el palésamo nt	--|-|-----|---⌫-|
Siconfra nchise	-|--|---⌫-----|
enorade q uan quil pot	----|-|-⌫---⌫-|-|--|
Carbien etbelfeirele	--|---|-|--|----|-|
San zfol ieet sanz	---⌫|---⌫-|-|---|
ma l pa nser.	--⌫|--⌫----|
Une chanbre fistançanser	--|------|---|--------|
Danç ansdemyrrreetdaloe ́.	|----⌫--|-|-----|-||----⌫-|
Alantr eranz ont tuitloé	||----⌫-|--|--|---|---|
Lebel sanblan tauroi	-|--|-------⌫|-|--|
Anlachan breantrentmain amain	-|-|----⌫--|------|---||---|
Siconli roisles i me na	-|--|-|---|--||--⌫-|
Quid ausg rantioiedemena .	--||--|-⌫---|---|------⌫|
M es porquoiu osdeuise roie	-⌫-|--|---|-⌫-|------⌫---|
Les peint ur eslesdrasde soie	--|-----⌫--⌫-|--|---|-|---|
cha nbre estoit anbe li e	---⌫---|-----|----⌫--⌫|
Le tansgasteroie	-|---|--------|
uuelpas gaster	---|--|-----|
Einçoismeuuel un po haster	-------|-|---|-|-|-----|
Carqui tost ualadroite	--|--|---|-|-|-----|
Passec eluiq uise	----|-⌫---|-⌫-|-|
Porce nem iu uel ares ter.	--|-|-|||-⌫--|----⌫---|
Liro iscomandeaaprester	-|--⌫-|------||-------|
L esoperquanttans	-⌫|----|----|---|
Por ceneuuelfeire	--|-|-|---|----|
Se trouer puis uoie	-|-----|---|---|
plusdroite.	---|------|
Quanquecuersdesirr e et couoi te	------|----|------⌫|-|-----⌫-|
Orentplenieremantl a nui t	----|-----------|-⌫|---⌫|
Oisia us etueneison etfru it	-----⌫-|-|-------|-|---⌫-|
Et uinde diuerse meni ere	-|--|-|------|----⌫--|
Mestotpas selabelechiere	--|--|---⌫-|-|---|-----|
Ca rde tozmesest liplus	--⌫|-|--|--|--|-|---|
chiere et liliezuouz.	-----|-|-|---|----|
Moutfurent	---|-----|
seru iric hem ant	----⌫|---⌫---⌫--|
Er ecestrosseeman t	--⌫-|------------⌫|
Leissalemangier	-----|-|------|
etleboiure	-|-|-----|
S icomança aramanto iure	-⌫|-------||-------⌫---|
Cequiau cue rplu s	-|--|-|---⌫|---⌫|
Del aIo ieli s ouenoit	-|-⌫|--⌫-|-|-⌫------|
a laparol e	|-|-----⌫|
Li rois Eurai ns l a	-|---|-----⌫-|||
maintenue.	---------|
Sirefetil orestbientans	---|--|-|-|--|---|---|
Queie dieceque	--|-|--|-|--|
Etporquoiiesuic ̧a uenuz.	-|--|---|-|--|-⌫-|-----|
Tropme s uid eldire t enuz	---|-|-⌫-|-⌫-|---|-⌫---|
Ornelpuisceler an auant.	-|--|---|----|-|-----|
La Ioie delaCortde m ant	-|---|-|-|---|--⌫-⌫--|
Que nulerien tant	--|---|---|---|
necouoi t.	-|-----⌫-|
Donezlamo i	----|-|--⌫|
queus quele soit	----|-|--|---|
anestespoest is .	-|----|-----⌫--⌫|
Certesfetl iroisbiausamis	-----|--|-⌫|---|----|---|
Pa rleruosoide gran t oiseuse.	--⌫---|--|-|-|----⌫|-------|
Cestechose es tmoutperilleuse	----|----|--⌫|---|---------|
Qu ido lanta fetmain tprodome	--⌫|--⌫---||--|----⌫|------|
uos meïsmes a la parsome	--|-------||-|------|
An seroiz m orz etafolez	-|-----|-⌫--|-|-----|
Seconsoilcroire neu olez.	-|------|-----|-|-⌫----|
Messeuosme uoliiezcroire	--|-|--|-|------|-----|
Ieuosloero iear ecroire	-|--|-----⌫-||-⌫------|
De dem an d erchosesigrief	-|---⌫--⌫-⌫-|----|-|----|
neuand ri iez achief.	-|----⌫--⌫--||-----|
NanparlezpasTeisiez uosan	|-|-----|--|------|--|-|
Ne uos ua n droitpas deg rantsan	-|--|--⌫-⌫----|--|-|-⌫---|--|
Seuo sne creezmon consoil.	-|--⌫|-|----|--|-------|
nu le nememeruoil	--⌫-|-|-|------|
Se u os que rez	-|-⌫-|---⌫--|
Me sseuos ueoieantrepris	--⌫|-|--|----|--------|
Oudeuostrecors anp irié	-|-|-----|---|---⌫----|
Ianauroie l ecuerir ié.	|-|-----|-⌫|---|--⌫---|
Et sachiez bien queiaiueu	-|------|---|--||-|--|
Maint p rodome estrere creu	----|-⌫-----|----|--⌫---|
Quicesteioiedemanderent.	--|----|---|-----------|
Onques de rie nniama nderent	-----|-|---⌫|||---⌫------|
Ainzisonttuit mortet peri .	---||---|---|---|-|----⌫|
Ainz quede mainsoitasseri	---|--|--⌫---|---|-----|
Poezautel loier	---|----|----|
la Ioieuolezantand re	-|---|----|------⌫-|
u oslauroiz mes	-⌫-||-----|--|
chosequeu os loist	----|--|-⌫-|----|
Arepa ntiretaret reire	|----⌫---|-||---⌫----|
uolezuostrepre u	----|-----|---⌫|
u osd ique traï son	-⌫-|-⌫|--|-----⌫--|
uersuosf eroie etmesprison	---|--|-⌫----|-|--------|
Set otle uoir	-|-⌫-|-|---|
neu o sdis oie.	-|-⌫-⌫|---⌫---|
Erecantantet bienot roie	---|-----|-|---|--⌫---|
Queliroisa droitle c on soille	--|-|---||----|-|-⌫--⌫-----|
Mesco nplusgranzest	--|--⌫|---|----|--|
la meruoi lle	-|------⌫--|
auan ture plusg reu ainn e	----⌫---|---|-⌫---⌫----⌫|
Pl usla cou oi teet	--⌫-|-|---⌫--⌫-|-|
EtdistSiredireuos	-|---|---|---|--|
Quep rodomeet	--|-⌫-----|-|
leal u ostrui s	---|-⌫-|----⌫|
Neblasm e neuos	-|-----⌫|-|--|
Decestdonme uuel antremetre	-|---|--|-|---|---------|
Coma n t que des orm esmanchiee	----⌫-⌫|--|--|-|-⌫-||-|----|
Cianestlabroch etra nch iee	-|-|--|-|-----⌫|---⌫---⌫--|
Cariader ienqueiaie	--|-|-|-⌫--|--||--|
Nefe rai t elrecreantise	-|--⌫--|-⌫-|----------|
Q ueietotmonpoo irnanface	-⌫-|-|--|--|---⌫-||-|---|
Einc ̧oisq ue	----⌫---|-⌫-|
iiss e delaplace.	|---⌫|-|-|-----|
Bien lesauo iedistlirois	---|-|----⌫-|---|-|---|
uos errez ancontremon po is.	--|----|-------|--|--⌫--|
La Ioieauroizque uo squer ez	-|---|-----|--|--⌫|----⌫-|
Me smouta ns uide sesperez	--⌫|---|-⌫|-⌫-|--⌫-------|
Que mout dotuostremescheance.	--|---|--|-----|----------|
Mes ormessoi iez a fiance	--|-|--|---⌫--||-----|
Dauoirq uanq ue uoscoueiti ez.	|----|-⌫----⌫-|--|-------⌫--|
S euos aioie an esploitiez	-⌫|--||---|-|---------|
Conquiseauro iz	-------|----⌫-|
sigrant enor	-|----|---|
hon ne conquis t	--|-|-------⌫|
EtDeussi conie le des ir	-|---|-|--|-|-|---⌫-|
uo sa ndointa	--⌫|-⌫|----||
io iepartir .	--⌫-|------⌫|
DEc e tote la	-|-⌫|---|-|
nuitparler ent	---|------⌫--|
Iusquat antquecouchieralerent	----||-⌫--|--|-------|------|
Q uelil itfure nt atorné.	-⌫-|-|-⌫-|----⌫-|-------|
Er ecq ui fuan	--⌫-|-⌫-|-|-|
so n esuoil	--⌫|-----|
ui tl aubecle re	--⌫||---|---⌫-|
et lesoloil	-|-|-----|
Siselieue tos t	-|-|----|---⌫|
Enidea mo utgrantenui torn e	----||--⌫-|----|---|----⌫|
Et mou tanest	-|---⌫|-|--|
tr isteetirie e	--⌫---|-|----⌫|
Mout anestl anuita npiriee	---|-|--|-⌫|---|-⌫------|
Desospeç on et de peor	-|-------⌫-|-|-|---|
Que eleauo itde	--|--|---⌫-|-|
sonseignor	--|------|
Quise uiaut metre an	--|-|----|----|-|
grantperil.	----|-----|
M estoteuoiesatorneil	-⌫-|---|---||-----|-|
Quenusnelanpuetdesto rner.	--|--|-||-|---|-----⌫----|
L iroisporsoncors atorn er	-⌫|---|--|--|---|-----⌫-|
Asonleuerlianuoia	|--|----|-|-----|
Armes quemoutbien a nploia.	----|--|---|---|-⌫------|
Ere cnesapa s refusee s	---⌫|--||--⌫|-------⌫|
Carlessoesie rentusees	--|--|---|--⌫---|----|
Et anpiri ees etm aumises.	-|------⌫--|-|-⌫-------|
Les armesa uola ntiersp rises	--|----||----⌫-----|-⌫----|
armer an lasale.	----|-|-|----|
Quantar mez fusisanauale	----|--⌫--|-|-||-|----|
T restozlesdegrezcontre	-⌫-----|--|-----|-----|
Ettrueueanselé s oncheual	-|-----|------|-⌫-|-----|
Etleroiquim ont ezestoit.	-|-|--|--|-⌫---⌫-|------|
Cha scunsdemo nt er sap restoit	---⌫----|-|--⌫--⌫-||--⌫------|
lac ortetasostés.	-|-⌫--|-|-|------|
A ntotlechastelnaremés	-⌫|--|-|------|||-----|
Homenefamedroitne tort	---|-|---|----|-|---|
Gran tne petit	----⌫|-|----|
foiblenefort	-----|-|---|
Qui aler puiss equin iuoise.	--|---|-----⌫|--|||-----|
mout gran t	---|----⌫|
Etgrantbr uit par tot e slesrues	-|----|--⌫--|--|---⌫-⌫|--|---|
Car lesgranz ianzet	--|--|----|---|-|
Diso i ent tu itHaï haï	----⌫-⌫--|--⌫-|---|---|
Che ualiersIoietat r aï	---⌫------|---|||-⌫-⌫--|
Celeque tucuides	---|--|-|-----|
co nquerre	--⌫------|
Mesto nduel ettamortuasquerre.	--|--⌫|---|-|-|---|--|------|
Etnia unse ulquine di e	-||||-|--⌫-|--|-|--⌫|
Ce steI oie Deusla	--⌫--|-⌫--|---|-|
p rodo m eisontocis.	-⌫----⌫-⌫||---|----|
ior fer ale	--|---⌫|-|
mes feïst sanzdote .	--|-----|---|----⌫|
Erecotbienetsi escote	---|-|---|-|-|-----|
Qu andistd e luie tsuseti us	-|-|---|-⌫|--|-⌫|--|-|-⌫-|
Haï haïT antmari fus	---|---|-⌫--|--||--|
Biaus cheua liers ianz etadroiz	----|-----⌫----|---|-|-----|
s eroitm iedro i z	-⌫----|-⌫-|---⌫-⌫|
Quetauiesitostf enis t	--|-|--|-|---|-⌫----⌫|
enuistauen ist	----||----⌫--|
Don bl ecie zfussesetleidiz.	--|--⌫----⌫|-----|-|------|
Bienot lapa rol eetlesdiz	---|-|-|--⌫---⌫|-|--|--|
Mestotesuoiesou trepas se	--|----|----|--⌫--|---⌫-|
Ne tientmie	-|----|--|
Nenefi st sanb lantdec oa rt.	-|-|--⌫-|----⌫---|-|-⌫--⌫--|
Qui que parotmout liesttart	--|--|----|---|-|--|---|
Queil uoiee tsache et	--|-|---|-⌫|----|-|
c ono isse	-⌫---⌫---|
Dontilsonttuitantelangoisse	---|-|---|---|-|--|-------|
Antelenu i	-|--|---⌫|
etantel painne.	-|-|--|------|
Li rois f ors delchastelle m ainne	-|---|-⌫--|--|------|-|-⌫----|
Anun u ergierqui	-|-|-⌫-----|--|
e stoit pr es	-⌫----|--⌫-|
laian z uetaprés	-|---⌫|--|-----|
Proiantquedeceste	------|--|-|----|
Deu saioie pa rtirl andoingne	---⌫||---|--⌫---||-|------|
Mesn e fetpas	--|-⌫|--|--|
atrespasser	|---------|
Porlanguedebatre	--|-----|------|
Quedeluerg ie rneuosretrai e	--|--|----⌫--⌫|-|--|------⌫|
Lonc l esto irechoseuer aie.	---||----⌫--|----|---⌫---|
ELue rgier nauoitanuiron	-|--⌫----||----|------|
Murne palizse delerno n	--|-|----|-|-||-|--⌫|
Mesde l e r est detotes	--|-||-⌫|--|-|----|
Parnigroma nceclos liiarz	--|-------⌫--|---|-|---|
Siqueriens	-|--|----|
antre rni poo it	-----⌫|||---⌫-|
Se p ardess oreniuo l oit	-|-⌫-|----⌫--|||--⌫-⌫--|
N equesi lfust	-⌫|--||-⌫|---|
tozclos de	--|---|-|
Ettotestéettotiuer	-|--|----|-|--|---|
I auoitflors	|----|----|
Et li fru i zauoit	-|-|---⌫-⌫|----|
Queleanzs el eis soitmangier	--|----|-⌫|-⌫---⌫---|------|
Auporterforsf eisoitdangi er	-|-----|---|-⌫-----|-----⌫-|
Carquipoi n t p or t eranuossist	--|--|---⌫-⌫|-⌫--⌫-⌫-|-|------|
a luisne reuenist	||--|-|-------|
Neiam es del ue rgier n i ssist	-|-|-⌫-|--|--⌫----||-⌫----|
Tantquansonleulefruitm eïst	---|-|-|--|--|-|----|-⌫----|
n a oisel uolant	||----|-----|
Qu i pleise aho me qu i	--⌫|-----||--⌫-|--⌫|
Porluide duire etresi oïr	--|--|--⌫----|-|----⌫---|
Que l annan ip oïst	--||-||-||-⌫----|
Plusorsde c hascune natu re	------|-|-⌫------|----⌫-|
Etterretant come eledu re	-|----|---|---|--|--⌫-|
Neporte espece	-|----|-----|
Qu iu aillea	--⌫|-⌫----||
nulemedecine	---|-------|
an ieüstp lanté	-||----|-⌫-----|
Sa ni auoita	|-⌫||----||
grantp la n té.	----|-⌫--⌫-⌫---|
Le anz paru ne estroite antree	--⌫--|--|-⌫-|-------|-----|
Est latorbedes ianz antre e	--|-|----|--|---|-----⌫|
Liroi sEurains et	-|---⌫|------|-|
tuitliautre.	---|-|-----|
Erec aloi t	---|----⌫|
lan cesor fau tre	---⌫-|--|---⌫--|
Parmile uergi e r cheua uchant	----|-|-----⌫-⌫|-----⌫-----|
Q uimout sedelit oitelch ant	-⌫-|---|-|-----⌫--|-|--⌫--|
Des o isiaus q uile anz chantoient	--|-⌫-----|-⌫-|--⌫--|---------|
Sa Ioielirepres antoient	-|---|-|------⌫-------|
La choseaquoiil plusbeoit	-|----||---|-|---|----|
Mesune meruoille ueoit	--|--|--------|----|
Quipoïst feireg rantpeor	--|-----|----|-⌫---|---|
Auplus hardiconbateor	-|---|----|--------|
De trestoz çaus quenos	-|------|----|--|--|
SefustTiebauzli Escla u ons	-|---|------|-|-----⌫-⌫--|
OuOspiniausou Fernaguz	-|--------|-|-------|
Car deuantaus sor peus aguz	--|-----|--|--|---|---|
Auoit hiaumes luisanz etclers	----|------|------|-|----|
Et s auoitdessoz	-||----|-----|
les cercl ers	--|-----⌫--|
T estedomedessozchascun	-⌫---||--|-----|------|
Mes auchiefd es peusauoitun	--|-|----|-⌫-|---|----|-|
n auoit n eantancor	|----|-⌫---|----|
Forsq uetantsol emantuncor.	---|-⌫-|---|---⌫----|-|---|
Ilnes etquec esenefie	-|-|-⌫-|--|-⌫|------|
Nede neant nesedetri e	-|-|----|-|-|-----⌫|
Ainzdemandequece puet estre	---|------|--|-|---|----|
Le roi qu ilezluiiere a dest re.	-|--|--⌫|--|--|---||----⌫--|
Liroisl iditet sili conte	-|---|-⌫|--|-|-|-|----|
A misf etil sauez qu e monte	-⌫--|-⌫-|-|----|--⌫|----|
Cestec hosequ e ciue ez	----|-⌫---|--⌫|-|--⌫-|
Mout a nd eu ezestreesfreez	---|-⌫|-⌫--⌫-|----|------|
Se uo s amez	-|--⌫|---|
r i enuost recors	-⌫-⌫-|----⌫-|---|
Carcilseus peusqui	--|--|---|---|--|
estde f ors	--|--⌫-⌫--|
Ouuosueezcest corpan d u	-|--|---|---|--|---⌫-⌫|
longue mant atandu	------⌫---|-----|
M esnosne sauonsmie cui	-⌫-|--|-|-----|--|--|
u osouautrui.	-⌫-|-|------|
Gardetatesten i	----|-|----|||
Car lipeussiet an teldeuise.	--|-|---|---|-|--|------|
Bie nuo s a n	---⌫|--⌫|-⌫|
a uoiegarni	-⌫---|----|
Einçoisque	-------|--|
uo suenis siezci.	--⌫|-----⌫---|--|
quem esan issiez	--|-⌫-|-|-----|
Si soi iezmorz	-|---⌫--|---|
etd etranchiez	-|-⌫---------|
Carnos ansauomes i a tant	--|--|-|------|-⌫|---|
Queli peus uostretest e atant.	--|-|---|-----|----⌫|-----|
Etsilauientquelei soitmise	-||-|-----|-|--||---|---|
Si conchoseliest	-|--|----|-|--|
Desquetes chi és	--|--|--|---⌫--|
i ie rtfichiez	|--⌫-|------|
Unsaut repeus	--|---⌫-|---|
seradreci ez	---|-----⌫-|
Ap résceluiquia t andra	--⌫---|----|--|-⌫-⌫----|
ne saiquireuandra.	-|--|--|--------|
neuosdiraiie pl us	-|--|----|-|--⌫-|
Mesonq uessoner nelp ot nus.	--|---⌫--|----|--|-⌫-|---|
Mes cil quis on erleporra	--|--|--|-⌫--⌫-|-|----|
ancroistra	-|-------|
Deua nt toz ça u sdelacont r ee	----⌫-|--|---⌫-⌫|-|-|----⌫-⌫-|
Que tuitenorer leuan dron t	--|---|-----|-|---⌫----⌫|
E taume llord	-⌫|-|--⌫---||
a us letandron t.	-⌫-|-|-------⌫-|
aplus deces t	|---|-|---⌫|
ianz arriere	---|------|
Ca r laIo ieuandra	--⌫|-|--⌫-|-----|
Q u iuosfe ra d olantcepan s.	-⌫-⌫|--|--⌫-|-⌫----|-|---⌫-|
ATANT liro is Eurainsleleisse	----|-|--⌫-|------|-|-----|
Etcil uersEn ide	-|--|---|--⌫--|
Quian son cuerg rantduel fe isoit	--|-|--|---|-⌫---|---|--⌫----|
N e po rquants elese teis oit	-⌫-⌫--⌫-----||--|-|----⌫--|
Car d iau s quelanface de boche	--|-⌫---⌫|--||-|---|-|----|
Nemonteri ensau cuer n	-|----|--⌫-||-|---||
Etcilqui b ien con u tson cuer	-|--|--|-⌫--|---⌫-⌫|--|---|
Li a ditBeled ouc esuer	-||--|---|-⌫---⌫|---|
Iantisdameleause ts age	-----|---|----|-⌫|-⌫--|
Ie conoistotuostreco ra ge.	-|-----|--|-----|--⌫--⌫--|
Grantpeoraue z	----|---|---⌫|
bien le uoi	---|-|--|
sauez anc orpor quoi	----|---⌫-|--|---|
Mesporn eant uos esm aiiez	--|--|-⌫---|--|---⌫----|
Iusquatantque ueü aiiez	----||---|--|---|----|
Quem e sescuz ie rtdepeciez	--|-⌫-⌫|----|--⌫-|-------|
Etiededanz	-|-|-----|
lecorsbleciez	-|---|------|
Etuos uerroizcourirde s anc	-|--|------|-----|-|-⌫--|
Les mai ll esde monhaub erc blanc	--|---⌫--⌫-|-|--|----⌫--|----|
Et monh iaumefretet quassé	-|--|-⌫----|---|-|------|
Etmo irecreant etlassé	-|--⌫|-------|-|-----|
Quepl usne meporraideffandre	--|--⌫-|-|-|-----|--------|
estouramerciatandre	------|----|------|
Etdeproiie routre mon	-|--------⌫|----|--|
Lorsporroizfei reuostreduel	---|------|---⌫-|-----|---|
tostcomancie ́	---|--------⌫|
Doucedame ancorne sauez	----|---|----|-|----|
Que ce serane	--|-|---|-|
Dene ant estesanesm ai	-|--⌫--|----|-|---⌫-|
Mes biensachiezueraiema n t	--|---|------|--------⌫-⌫|
