anceltans quelimostier	-|--|---|--|-|------|
et c onmantmapelestu poures qui	-|-⌫-----||-----|-|-----|--|
suefilzderoieta ito tesle sri chescesq ue	--|---|-|--|-|-⌫|--⌫--|--⌫|--⌫------|-⌫-|
ge uo ilauoir	-|--⌫-|----|
balaamlirespondipor ces ege	-----|-|-------|--|-|-⌫|-|
frer e nesti entmier ichedel auoir	----⌫||----⌫--|--|-⌫---|-||----|
t errienne	-⌫-----|-|
gemie q uilfusentpoure mescauxquison	-|--|-⌫|-|-----|----|--|---|--|--|
cha rgié desauoirs	---⌫----|--|-----|
terriensetso nttouior zansouciet en penseeco nm a nt	-------|-|--⌫-|------⌫|-|----|-|-|-----|--⌫--⌫-⌫-|
ilpuissentlor auoirterrien	-|-------|--|----|------|
acroistre ca uxapel e	--------|--⌫-|----⌫|
gesoufraitous etpouresdetres gr ant pouret e.	-|----------|-|-----|-|---|--⌫--|------⌫||
mescauxquiontdespité sles robes	--|---|--|--|--------⌫|--|----|
etlesuia ndes deliciouse s et	-|--|---⌫---|----------⌫|-|
les autres richesces	--|-----|--------|
t erri ennesettie g ne nttoutce	-⌫----⌫----|-|---⌫-⌫--⌫-|---|-|
pl usuil que l a bo ue desouz lorpie zp or amor	--⌫-|--|--|-⌫|--⌫-|-----|--|---⌫|-⌫-|---|
de deuic aux t ie n	-|--|--⌫--|-⌫--⌫|
g e ariches etaconble squeil	-⌫||-----|-||------⌫|--|-|
onttantquilneuoillentplusquilont.	--|-----|-|-|-------|---|-|-|--||
tumeismesa urasencore	-|------|-⌫---|-----|
cestesperiteil ri che sce porlaidede deu.	---|---------|--⌫---⌫--|--||---|-|--||
gequ esegerapo rtoieamesfreresl	-|--⌫|-|-|----⌫----||--|-----||
an emiquil ont piecaueincuetdefolédesor lor	--⌫--|-|-|--|----|-----|-|------|----|--|
piez ielorauroiege mont male	---|-|--|-----|-|---|---|
guerreetsi	-----|-|-|
me sambleque geauroieiaienchagié lesmestier sau	-|-----|--|-|-----|--|--------|--|-------⌫|-|
deaublemesdexm	------|--|--||
andesfende .	-|-------||
cu idiermie que i	--⌫----|--|--||
amportoieto n	--------|--⌫|
a uoirne tesro bes	-⌫---|-|--|--⌫--|
quarilse tiegnent	---|-|-|-------|
miau l z a pai é det eis	----⌫-⌫|-⌫---⌫-|-|-⌫--|
uesteuresqueil porchacent	--------|--|-|---------|
porlouboisqueil neferoientde tes	--|--|---|--|-|-|-------|-|--|
peliconsg ris nedetes robes	-------|-⌫--|-|-|--|----|
mesl auoir	--||----|
etlesrobes quetu	-|--|----|--|-|
lor uoloiesenu oier sidone tout as	--|------|---⌫---|-|---|---|-|
po ur es quime stieren	--⌫--⌫-|--|--⌫----|-|
ontet e nsi ncferastuton tressor escielz	--|-|-⌫---⌫-|----|-|--|------|-|----|
quanttuaurasto tdoné etdeparti	----|-|----|--⌫|----|-|------|
armedesarmesnostresegnor.	---|--|----|-----|-----||
caing tes reinsdela centure	----|--|----|-|-|------|
dechastee eta orneta la ngedeuerite .	-|------|-|-⌫---|-|--⌫--|-|-----||
de iustise et	-|------|-|
pranl escu de droitefoi etprenen	---||---|-|-----|--|-|---|-|
tameinlespe e d elseinte spe ritet	-|---||----⌫|-⌫-|----|-⌫---⌫--|-|
puis si me ttes piez	---|-|--⌫|--|---|
anlauoie de	-|-|---|-|
leu angile et uatot	|--⌫-----|-|-|--|
seuremantconbatrea u	--------|-------|-⌫|
deau ble .	----⌫--||
et getedi quetu	-|-|-|-|--|-|
leueintrasetabatrasd esou z tes	-|-------|-|------|-⌫----⌫|--|
pie zetserascoronés	---⌫|-|----|-------|
de lacor onede uictoire de lame in	-|-|---⌫--|-|-------|-|-|--⌫-|
meismeno stresegnor ihesucr it	-----|--⌫---|-----|----|--⌫-|
etr egnepartoz les secles	-|-⌫---|--|--|--|-----|
desseglex .	--|-----||
quan t b alaam outa pris lefilleroy	----⌫|-⌫----|--|-⌫---|-|--|-|--|
mei nere qu e ge uosaideuisee seli	---⌫---|--⌫|-|--|-|------|-|-|
distquilsapar oillata	---|-|-||----⌫-----||
receuoirbaptesmeet fu	-------|-------|-|-|
auec lui parplus orsiorset le fist	---|--|--|----⌫--|---|-|-|---|
estreengehunn eset en	----|-|------⌫-|-|-|
et lien segnaitouzlespoinzdesa	-|-|--⌫-----|---|--|----|-|-|
crean ce et li	-----⌫-|-|-|
recontales	------|--|
euangiles et lesensoignem anzas	--------|-|--|---------⌫--|-|
es pos treseti lespont l es	--⌫---⌫---|-|-⌫|-----|-⌫-|
propheti es que ilsauoittoutleuie l	--------⌫-|--|-|-----|---|-|---⌫|
tes tament et lenouel.	---⌫-----|-|-|----||
etleiorquille du it	-|-|--|-|-|-|--⌫-|
bap tisiersi	---⌫-----|-|
uint a lietse	---||-|-|-|
lidistuoiztudoi zreceuoir le signe	-|---|---|-|---⌫|-------|-|----|
del a sei nt e	-|-⌫|---⌫--⌫|
croiz ihesucri tetestr e segniezdelamaniere d e	----|----|---⌫|-|----⌫|------|-|-|------|-⌫|
s onuolte t	-⌫-|---|-⌫|
estrefilzdeu	----|---|--|
ettam plesdel	-|---⌫---|--|
se int esperit	--⌫--|------|
lorslirecomm encaitotela force	---|-|------⌫----|---|-|----|
dela creance	-|-|------|
d ema nd ai silla	-⌫---⌫--⌫-||-|-|
creoste nsintcommeill auoitrecordee	-----|-⌫----|----|-||----|-------|
etquan ti osaph a t li out	-|----⌫|-⌫-----⌫-⌫|-|--|
re sponduquil la cro itsile bapt izai	--⌫-----|-|-|-|---⌫-|-|-|----⌫---|
ouno n del	-|--⌫|--|
pereetdoufiletde l seint	---|-|--|--|-|--⌫|----|
esper itet balaam ch antalames se et li ref it	-----⌫-|-|-----|--⌫---|-|---⌫-|-|-|---⌫-|
receuoirleseintsacremantdelc o rs n ostre	-------|-|----|--------|--|-⌫-⌫-|-⌫----|
etpuisdist	-|---|---|
bene oiz soitnostresiresquita	----⌫--|---|-----|----|--|||
gite ́dela seruitute audeauble	----⌫|-|-|--------|-|------|
bi aus tres	--⌫--|---|
chiers filzori parrai conmant tu	-----|---|-||-----|------|-|
te garderas deslazdon tuesachap ezet	-|-------|--|--|--|-|-|-----⌫-|-|
con manttu oure ras sor lef ondemantde	---⌫---|-|----⌫--|--|-|-⌫-------|-|
ladroitefoi quarfo iz seinzoureestmorte et	-|-----|--|---|--⌫-|----|---|--|----|-|
oiures ai nzfoi .	----|-⌫--⌫-|--||
tu esnouelemant	-|-|---------|
en gen d rezetnez.	--⌫---⌫-⌫--|-|--||
or gardeque	-|----|--|
tu tenorrisesdel latde uer tuz et	-|-|-------|--|--|-|---⌫--|-|
que tu uoisesle droitchemindes	--|-|-----|-|----|-----|--|
conmandemanznos tr e segnor quargete di	-----------|---⌫--⌫|-----|---|-|-|-|
encores s oit	------|-⌫--|
il a pelezaspre s et	-|-⌫----|-----⌫|-|
estro izporletrauau ldou	-----⌫-|--|-|------⌫|--|
corss i ast	---|-⌫|--|
illegie rsetd essirraublea caus q ui	-|-----⌫-|-|-⌫----------||---|-⌫-|
iu oillentueni r.	|-⌫------|----⌫||
bientiga rdesquetun	---|||--⌫---|--|-||
ilaissesnul emaul ua i seacostume nce auoir s egnories eur	|------|---⌫|----⌫--⌫-⌫-|--------⌫--|----|-⌫------|-⌫--|
t oime s sitost que	-⌫-|--⌫|-|---|--|
tuserascheuze nauscun petit pechiesiter elieue	-|----|----|-⌫|-----|----|-----|-|-|-⌫-----|
tantost etl	------|-||
araicheendementres quilast nouiauxc arcon plus	------|-----------⌫-|-|--|------|-⌫-|--|---|
l elai rasenr acinerplus en aurasdepeine	-⌫|---⌫--|---⌫-----|---|-|----|-|----|
a laraichier.	||--------||
etpor ceestonessail lizdeg ranzpechiez	-|--|-|--|-|------⌫--|-|-⌫---|------|
quamne s chiuemieles	-|-||-⌫-⌫----|--|--|
con m ele smaulua ises p ensee set l es oiseuse sparoles	---⌫-⌫|--⌫|------⌫---|-⌫-----⌫|-|-⌫-|-------⌫|------|
et asezautresmani e res d epechiez quine sont	-|---|-----|----⌫-⌫--|-⌫|------|--|-|---|
m ieelnonbredesmortex.	-⌫-|-|-----|--|-----||
porcefetilmo utque saig es quid e	--|-|--|-|--⌫-|--|----⌫-|--|-⌫|
ces choses s erelieuequ antilenastcheuz	--|-----|-⌫|------|--⌫--|-|-|--|----|
qua r i l auie ntsouan tque q uant len	---⌫|-⌫|----⌫-|-----⌫|--|-⌫---|--|
aiunepetite p laie et	-|--|-----|-⌫---|-|
enlamota no nchal oir	-|-|--||--⌫|----⌫--|
siporistla	-|-----|-|
menelou co rs	---|--|--⌫-|
asi grantenf erme tequilenmuer t.	|-|----|---⌫----⌫-|-|-|-|----⌫||
li p etitpechie dem o i rentanla rm esi la	-|-⌫---|-----|---⌫-⌫-⌫---|-||-⌫--⌫|-|-|
porrise ntet lesmoinent	-------⌫-|-|--|------|
asg ranzpechiezcr iminexporq uoi l armemuer t	-|-⌫---|------|--⌫-----|--|-⌫--||---|----⌫|
d eparduraublemortquarel e ne	-⌫|----------|---|---|--⌫|-|
la puorainz	-|---|---|
sedelit eetsoilleausi	-|-----⌫|-|-----|---|
co nmela truequisoillean	--⌫--|-|---|--|-----|-|
etquantil auint que	-|----|-|----|--|
au scuns seuoiltrepantirdesonp echiesili	--⌫----|-|----|-------|-|--|-⌫----|-|-|
cou ient si chieremant	---⌫---|-|---------|
conp arersama u luaiseacostumencequemont l i c ouient	----⌫---|-|--⌫-⌫-----|----------|--|---|-⌫|-⌫-----|
repan t irde cuerauan tquil en puetreue nir aue rai e	-----⌫-⌫-|-|---|----⌫--|-|-|---|----⌫--||--⌫---⌫|
repantancequ armon t est griesc hose	---------|--⌫-|---⌫|--|----|-⌫---|
deduremanthairce qu en	-|-------|---|-|-|-|
aidurem antamé.	-|-----⌫--|---||
e t quantlam ise rico rde	-⌫|----|-|-⌫---⌫----⌫--|
de de u aiaais é tantl ome	-|--⌫|-|----⌫-|---||--|
quilsere pen t	-|-|-|--⌫---⌫|
pechie silicouientfairela	-----|-|-|------|----|-|
penitance telecomme	--------|---|----|
ilafiertaupech ie.	-|-----|-|----⌫-||
por cetepri	--|-|-|--|
tugarde stoide tozpechie zetque tufa ces	-|-----⌫|--|-|--|------⌫|-|--|-|--⌫--|
lesconmandem anznostresegnor	--|---------⌫--|-----|-----|
ihesucrit .	----|---||
ost e de toi ireetdesdieng	---⌫|-|--|--|-|-------|
quarcesontles choses porq u oi	---|-|---|--|-----|--|-⌫-⌫-|
lesorisonssontplusrefu seesdeuantdeu.	--|------|---|---|----⌫---|-----|--||
quantbal aam out enseigniéle	----|---⌫--|--|---------|-|
fi ll ero i ces choses sialaias o n	--⌫|-⌫|--⌫|--|-----|-|---||-⌫-⌫|
li sergantiosap hat	-|------|-----⌫--|
quichascunio ru eoientbalaam aleret	--|------|--⌫|-⌫-----|-----|---|-|
uenirslors	-----|---|
se meruoille rentmont.	-|---------⌫---|---||
lizz daus qu iauoitnonzardanqui	-|-||--|--⌫|----|--|-----|--|
es toitplussaigesquetuit liautresi	--⌫---|---|-----|--|---|-|----|-|
uintasons egnore t	---||--|-⌫----|-⌫|
sil iditsire	-|-⌫|--|---|
donnesauezuo	--|-|----|-|
co mma ntgeaitouziors	--⌫---⌫-|-|-|---|---|
m onsegnor	-⌫-|-----|
leroiu ostreperea mé et	-|--|-⌫----|---|-⌫--|-|
leaumantserui	-------|----|
et por l agrantfiancequilauo itan	-|--|-⌫|----|-----|-|-|---⌫-|-|
moimemi stil a	--|-|--⌫-|-||
uos poruosgarder et	--|--|--|-----|-|
serui ret medesfendiqueg enelaissassepas	-----⌫|-|-|-------|--|-⌫|-|--------|--|
c eanznuluentrerneauos parle r.	-⌫---|---|-----|-||--|-----⌫||
e t ie doutqueiena ie mie	-⌫|-|---|--|-||-⌫-|--|
feitsonco nmand ema n tquarcilueilla rzqui	---|--|--⌫-----⌫---⌫-⌫|---|--|------⌫-|--|
sisouantui e ntentor uosse dou tqu	-|-----|--⌫-⌫-|----|--|-|---⌫|-|
i lnes oitde celesept e	-⌫|-|-⌫--|-|---|----⌫|
quemessi resli rois ai tant	--|--|--⌫--|-|---|-|---|
haietse ceest uoirsge	--|-|-|-|--|----|-|
sap bien que ge	--|---|--|-|
suisiugiez	---|-----|
por ceuosprig equeuos sofrez	--|-|--|--|-⌫|--|--|-----|
quenos faci onssauoirmonsegno rle	--|--|----⌫--|-----|--|-----⌫|-|
roisonestreou que uosreue gne z des	--|--|----|-|--|--|----⌫---⌫|--|
oreenauantdeparleral ui.	--|-|----|-|-----||-⌫-||
et seuosne	-|-|--|-|
uolezcefaireieuos p rique	----|-|----|-|--|-⌫-|--|
uos mo stezd e ntoruoset que	--||-⌫---||-⌫---|--|-|--|
uos p riezmonsegn oruostr e perequ	--|-⌫---|--|----⌫-|-----⌫|---|-|
ilmetezzautre	-|---|-|----|
enleudemoi.	-|--|-|--||
ios aphatl irespondi	---⌫----|-⌫|-------|
zardan ge tediraiquetuferas.	-----|-|-|----|--|-|----||
entrededanz macortine	----|-----|-|------|
etes couteconman t ilparole a	-|--⌫----|------⌫|-|-----||
moiet puis	--|-|---|
si metrasc onseilan	-|-----|-⌫-----|-|
etquantbalaam fureuenuz aluise mi stio saphat	-|----|-----|-|------||--|-|--⌫-|--⌫-----|
zar daindarieresaco r tin e etdis taba laamr ecordemoi	---⌫---|------|-|--⌫-⌫---⌫|-|---⌫||--⌫---|-⌫-----|--|
lad iuinedoctrine	-|-⌫----|-------|
porcequeanso ieplu srem anbran z.	--|-|--|-|--⌫-|---⌫|---⌫------⌫||
et balaamli conmencaa	-|-----|-|-------||
p ar ler de deuet desacreancee tco nm anten	-⌫--⌫--|-|--|-|-|-|------|-⌫|--⌫--⌫--|-|
doitlui s uol	---|--|-⌫--|
doteretameret f eressesconmandemanze tco nmantil	----|-|---|-|-⌫---|--|-----------|-⌫|--⌫----|-|
fi sttot eschosesueaublesetn eantueauble setco nman t	--⌫-|---⌫-|-----|-------|-|-⌫---|-------⌫|-|--⌫----⌫|
il fist adan e t lemist	-|---|---|-⌫|-|---|
enparadisetconmantil	-|------|-|------|-|
enf ug i tez	-|-⌫|-⌫-⌫--|
porsonforfet	--|--|-----|
et puis l i	-|---|-⌫|
acont a lesb ienparduraub les etconmanthumene	-----⌫|--|-⌫--|---------⌫--|-|------|-----|
natur elepue tc onoist reet quedex a ipromis	-----⌫|-|---⌫|-⌫------⌫-|-|--|--|-⌫|-----|
asesamis etles poinesp ardurau bles qui	|--|---|-|--|-----|-⌫-------⌫---|--|
s o nt aparoillies as	-⌫-⌫-|----------|-|
pu is lidistconm antlifi lz	--⌫-|-|---|----⌫--|-|--⌫-|
deude sc endi en	--|--⌫--⌫---|-|
terreporle monderacheter quiperduz	----|--|-|----|-------|--|-----|
estoitpa r	-----|--⌫|
lepechie denostrepremiere in pereet	-|-----|-|-----|--------⌫-|---|-|
limostr a i	-|-----⌫-⌫|
t otelamenierede	-⌫--|-|------|-|
linca rnati on	|----⌫-----⌫-|
etdesmiracle squ il fit enterreetd e	-|--|-------⌫|-|-|--|-|----|-|-⌫|
laresur re ctionet d el	-|-----⌫--⌫----|-|-⌫||
ascensionet	--------|-|
lauene man tdel	|-----⌫---⌫|--|
seintesperitsuer	----|------|---|
lesapostre s.	--|-------⌫||
et pui sl icontala uanite	-|---⌫|-⌫|----|-|-----|
des presantes	--|--------|
chosesetla descoue neue	-----|-|-|-------⌫---|
d e lauiet errienne et lachaitiuetedecaux	-⌫|-|--|-⌫-------|-|-|---------|-|---|
quies delizdel monde	--|-|----|--|----|
sabando nen t .	|------⌫---⌫||
etpu i sf ist	-|--⌫-⌫|-⌫--|
anos tres egno rqu e ilporsamis ericordetenist	|---⌫--|-⌫----⌫|--⌫|-|--|-|---⌫-------|-----|
iosapha tenson bounproposem ant .	-------⌫|-|--|---|--------⌫--||
li outtotes	-|--|----|
ce sc hoses etas eza utr e s r et orneessi retornaason	--⌫|-⌫----|-|--⌫-|-⌫---⌫-⌫|-⌫--⌫-----|-|------||--|
et q uant ilsan fureto r nez	-|-⌫---|-||-|-|----⌫-⌫--|
si uint iosaphataza rdainetli	-|---|-------||--⌫----|-|-|
distas t uoyquecisthons m	---|-|-⌫|-|--|---|---||
i lmec udedeceuoirpa ru en es	-⌫|-|-⌫--|-------|--⌫|-⌫--⌫-|
paroleset fere	------|-|---|
a cro irenes apquele strange	-⌫---⌫--|-|-⌫-|---|-⌫------|
deuqui lpre esche.	--|-|-⌫|---⌫----||
zardanlirespondi	-----|-|-------|
biauz doulz	----|----|
sire s m essaiés uos	----⌫||-------|--|
i esapbie n que	-⌫|--|---⌫|--|
plu ssu n pree schemantqueuosne n	---⌫|--⌫|----⌫-------|--|--||-⌫|
feiteslesamblant .	-----|-|-------||
nos auo nsautres	--|---⌫-|-----|
foiz tei l preescheman toy m espuisque	---|---⌫|-----------⌫|-|-⌫-|------|
uostreperesp ris t	-----|----|-⌫---⌫|
gerreas crestiensn enoy mesnosgaires	----|-|--------||-|--⌫--|--|-----|
quarill e sa i toz c ha ciez de	---|-|-⌫-⌫|-⌫|--|-⌫--⌫---|-|
cestpais siquelorpreeschemanzestauq ues remes	---|---|-|--|--|-----------|--|---⌫--|----|
messe sespr ee s chemanz uosplaitetuo s uolez	--|-|--|--⌫--⌫-⌫------|--|----|-|--⌫|----|
saspre uieemprend re	|----|--|-------⌫-|
chai tis quedeu endrai	----⌫--|--|---⌫-----|
certesgene	-----|-|-|
sap q uege p uis e respondreamonsegnor le	--|-⌫-|-|-⌫---⌫|--------||--|-----|-|
r oi uers cui geai trop	-⌫-|---|--|-|-|---|
m esp risquan t ieonqu e slaiss anel uentrer ce ans	-⌫---⌫--|----⌫|-|----⌫-⌫|-----⌫|---⌫|-----|--⌫--|
iosa phat lidist	----⌫---|-|---|
porce queget	--|-|--|-||
que touzmesa utres sergenzte cudoie geretraire	--|---|--|-⌫----|------|-|-----|-|-------|
d e ta f olie	-⌫|-|-⌫---|
etdetacreanceett uconeu sseston criatoret	-|-|-|------|-|-⌫|-----⌫---|--|------|-|
seussesporquoi	------|--|---|
tufusf e zmes	-|--|-⌫-⌫|--|
oruo i gebienquemesperancem ad ece u	-|--⌫|-|---|--||--------|||-⌫---⌫|
e t que t unas	-⌫|--|-⌫||-|
riensentendudec hose qu e tuaiesoye.	----|------|-|-⌫---|--⌫|-|---|--||
se t ufa i zces chose s	-|-⌫|--⌫-⌫|--|-----⌫|
sauoiramon peretunigahenne rasriensfors	-----||--|---|-|||-------⌫--|----|---|
quetantquetu l eferas cor oc ieret dolant	--|------|-|-⌫|----|---⌫--⌫--|-|-----|
t edi gequesetuuo ilz fai r es on	-⌫|-|-|--|-|-|--⌫--|---⌫-⌫|-⌫-|
preuetle meinne l i faidetote s	---|-|-|---|-|-⌫|--|-|----⌫|
ces choses riensasauoirde ua n tque tu	--|-----|----||-----|--⌫--⌫-⌫---|-|
leuettans.	--|-|---||
mes de quanqu	--|-|-----|
il li ensoigna perdiil sapoine .	-|-|-------|----|-|-|----||
le matin reui ntbalaametlidi t qu i l	-|----|----⌫-|-----|-|-|--⌫|-|-⌫|
lancou enait ara u lerlai	|-|---⌫----||--⌫-⌫--|--|
don ilestoit uenuz.	--|-|-----|----||
lorscommencaiiosaphatm ontdurem ant	---|--------|-------|-⌫--|-----⌫--|
a plor er com m e	|----⌫-|---⌫-⌫|
montenfu dolanz .	---|-|-|-----||
mesbalaam lereconfort a	--|-----|-|---------⌫|
aumiau lzqu	-|----⌫-|-|
ilpotde laparo lenostresegnor et li	-|--|-|-|----⌫-|-----|-----|-|-|
dist queenco reseroie nt ilconpaignonneant	---|--|----⌫-|------⌫-|-|---------|----|
depart auble	------⌫----|
ce quebalaamneuoutiosaph a t corocieret po r	-|--|-----|-|---|------⌫-⌫|-------|-|--⌫|
ildoutoitquezardain	-|------|--|------|
l acusast asonperesinefit	|------||--|---|-|-|--|
mie gra ntpoine alui retenir	--|---⌫-|----||--|------|
ainz lid ist m es	---|-|-⌫--|-⌫-|
t resdoulz peresesper itexp uisquetut	-⌫--|----|----|-----⌫---|-⌫-----|-||
anuois aule r	-|---|----⌫|
entas e inte conuersati um et moila isse r	-|-|-⌫-⌫---|----------⌫-|-|--|--⌫----⌫|
etlauani te de c e stmondeie	-|-|----⌫-|-|-⌫-⌫-|----|-|
n anoisdesd iretauol un te	|-|--|----⌫--|-|---⌫--⌫-|
laiounostr es ire ssoit	--|-|-----⌫|-⌫---⌫|---|
gardede toncorsetdetarme	----|-|--|---|-|-||---|
etsites ou eign e d e	-|-|-|-⌫--⌫----⌫|-⌫|
ces t chaitifentes orisonset site pri	---⌫|------|-|--|------|-|-|-|--|
fac esunes uele chosequegetedirai	---⌫-|--|-⌫---|----|--|-|-|----|
tun euoilzrienspre ndredemoipor	-|-⌫|----|----|---⌫---|-|--|--|
te sfrere s .	--⌫|-----⌫||
ortepri quetu pren nesdoumien	-|-|--|--|-|----⌫--|--|---|
auscunpouau	-----|--|-|
tuen oi sport on	---|--⌫|--|-⌫-|
uiure etportauesteure .	----|-|--|-|-------||
balaam lirespondipui sq uegeneuoilriensprendre por	-----|-|-------|---⌫--⌫-|-|-|---|----|------|--|
mesfrerescon m ant enprendroie ge pormoi	--|-----|---⌫-⌫--|-|--------|-|--|--|
deuplaitneprendrair iens	--|----|-|-------|-⌫---|
negeneilnan serons	-|-|-|-||-|-----|
enconbrépormoi.	--------|--|--||
et iosaphatl iditp uisque	-|-------|-⌫|--|-⌫-----|
uoilz fai remaprie reor te pripordeuet	----|---⌫-|-|----⌫-|-|-|--|--|--|-|
po rlamorquetu	--⌫||---|--|-|
asuersm oi et geuers toique	-|---|-⌫-|-|-|---|--|--|
tunemescondiesmie	-|-||--------|--|
unech osequegetedem anderaienco req uetu me	--|--⌫--|--|-|-|---⌫------|----⌫-|-⌫-|-|-|
laisse ce leaspreueste urequetuas	-----|--⌫-|----|-----⌫--|--|-|-|
uestue ettuenporteuneautreque ge	-----|-|-|------|--|----|--|-|
tebailleraipor	-|--------|--|
cequ ilt esouiegnedemoiet	-|-|-|-⌫|-------|-|--|-|
moide toi.	--|-|--||
balaa mli respondi	-----⌫|-|-------|
g ene tedonrai pasm a	-⌫|-|-|-----|--|-⌫|
mauluaiseueste ureporauoi rla	--------|-----⌫--|--|----⌫|-|
bone que generecoiu een	---|--|-|-|------⌫|-|
eschangele guerredundemonpetittreua ul.	-------|-|--------|-|--|----|-----⌫-||
me sporcequege n e u oiles cond ireta	--⌫|--|-|--|-|-⌫|-⌫--|--⌫----⌫--|-|
priereormefaiquerreyyheresausi ntd espites	-----|-|-|--|-----|-|----|----⌫-|-⌫------|
c ommelesmoiessuntetge	-⌫---|--|----|---|-|-|
le sprandra iettelerailes	--⌫|-------⌫|-|-|----|--|
moies uest eure	----|----⌫---|
et quantias aphat li	-|----|---⌫----|-|
otfetquerrete le s co nmeilli	-|--|-----|--⌫--⌫|--⌫--|-|-|
de ma ndoit siles libaillaetbalaam	--⌫--⌫----|-|--|-|-----|-|-----|
li bailla lessue set iosap haten fist plusgrant	-|-----|--|---⌫|-|-----⌫--|-|---|---|----|
ioiequ eilnefei stdelamelor	---|--⌫|-|-|---⌫-|-|-|----|
ro be delmonde.	--⌫-|--|----||
atant pristb alaam	----|----|-⌫----|
con giealuietli d itmestreschiersfilz	---⌫--||--|-|-|-⌫-|--|---|-----|---|
me sttoteta poineatenirfermemantl a lo iq u e	--⌫-|---|-|----||----|--------|-⌫|--⌫|-⌫-⌫|
aiensoign ieet	-|-------⌫-|-|
aies en re menbrancetoziorz la mortette	---|-|--⌫--------|--|---|-|---|-|-|
soue ig ne despoines	----⌫--⌫-|--|-----|
da nferco mm eelesserontgries et les	|-⌫---|--⌫--⌫|---|-----|----|-|--|
paradiscomme ele s serontdelitau bles	------|----|---⌫|-----|-------⌫---|
lorscommencaiiosaphatap loureretdisthay	---|--------|-------||-⌫-----|-|---|--|
bonsmestre s	---|------⌫|
cestel assedarme	----|-⌫---||---|
outro uerai elem ais	-|---⌫----|--|-⌫--|
sibonpastrecontu lia sest é	-|--|-----|--|-|-|-⌫|---⌫-|
senes auroie	-|-|-⌫-----|
touzle s bi ensreconterquetulia sfez et	---|--⌫|--⌫--|-------|--|-|-|-⌫|--|-|
po rcequege n e	--⌫|-|--|-|-⌫|
tepuis rendre dex quitoz	-|---|-----|--|--|--|
biensregerdonelesterand e .	----|--------|--|-|----⌫||
atanttend isesmains balaamuerslecielet dist	----|----⌫|--|----|-----|---|-|---|-|---|
b iauss ire dexqui ceste	-⌫---|-⌫--|--|--|----|
criaturefeisatasamblance	-------|---||-|--------|
etasmiseenuoie	-|-|---|-|---|
deu eriteparce sttuenser ge nt	-|-⌫----|--|--⌫-|---|---⌫--⌫-|
nea ntdignei e	---⌫-|----|-⌫|
terangrace s etmercietsit epri	-|--|-----⌫|-|----|-|-|-⌫|--|
etrequierque tula confor teset	-|------|--|-|-|------⌫--|-|
mainteigne s a	----------⌫||
tonsein tseruisee tfacesfere ta	--|----⌫|------|-⌫|----|---|-|
uelunt e etlefacesparconierdelaioiepa rdurauble qui	------⌫|-|-|----|--------|-|-|---|--⌫--------|--|
uiz etre gnes	--|-|--⌫---|
portoz lessieglesdessiegles	--|--|--|------|--|------|
etqu antios aph atoutrespon d u amenet	-|--⌫--|---⌫---⌫-|--|------⌫-⌫|---|-|
ilsefurententr ebaisié	-|-|-----|----⌫-------|
etent recommandéadeus iissi	-|---⌫----------||--|-⌫|---|
b alaamdoup ales etse mistenla	-⌫----|--|-⌫---|-|-|---|-|-|
uoie ioianz	---|-----|
etliezetlo uant nostresegnorihesucristde ce	-|---|-|--⌫---|-----|-----|----|----|-|-|
quilauo i tsonouremonte pliéen	-|-|---⌫-⌫|--|---|-----⌫----|-|
q uantba laamsen	-⌫---|--⌫---||-|
f udepartizsi se	-⌫|-------|-|-|
coich aii osaphatenor ison set distan p lorant biaus	-----⌫-|-⌫------|-|--⌫----⌫|-|---|-|-⌫-----|----|
siredexsoiesenayde	---|--|----|-|---|
ac estpoureor phelin quinatantme sde	|-⌫--|----|--⌫-----|--||----|--⌫|-|
neluiaydeset oinon.	----|---|-|-⌫-|--||
sire puisquetuu oilz queuns c hascunsuiegne	---|------|-|-⌫---|--|--|-⌫------|-----|
alaconois san ce de uerite	|-|------⌫---⌫-|-|-----|
aies demoim erciet ensegnemo ila	---|-|--|-⌫---|-|------|--⌫|-|
uo ied etescommandemanzquarges uisneantsuffisanz	--⌫-|-⌫|--|-----------|---|-|-⌫--|----|--------|
ab i en f airesanzt aid e.	|-⌫-⌫-|-⌫---|---||---⌫||
pu i s celeoi re	--⌫-⌫|---|--⌫-|
enauantgardaiosaphatnetemant so n	-|----|----|-------|-------|--⌫|
montenten t isa toutes	---|-----⌫-⌫-||-----|
b onesoiure snomeemant	-⌫---|-----⌫|--------|
enorison s.	-|------⌫||
et quantil au en oit quil ne	-|----|-|--⌫--⌫--|-|-|-|
pouoi tentend reoupor son	-----⌫|------⌫-|-|--|--|
p er eo uporsessergensse	-⌫--⌫|-⌫|--|--|------|-|
rendoitlanuistc equil anpr into it	------|-|----|-⌫|-|-|----⌫----⌫-|
dei oretestoittresquei l anuito itd us quel a u be	-|-⌫-|-|-----|------|-⌫|------⌫-|-⌫--⌫--||-⌫-⌫-|
deliour enorisons	--|---|-|------|
et larmesporl amornostr esegnor .	-|-----|--||---|-----⌫|-----||
zardanquid e s a uiese	-----|--|-⌫|-⌫|--|-|
p regnoi t plus	-⌫------⌫|---|
g arde queli	-⌫---|--|-|
autresestoitpens isenquel m an i erei l se	-----|-----|----⌫-|-|---|-⌫--⌫-⌫--|-⌫|-|
