quipetitseme petitq uialt	--|----|---|----|-⌫----|
le cha ceo rqua nt ielauoie	-|---⌫---⌫|---⌫-|-||----|
anlamei so nmamere pris	-|-|---⌫--⌫|-|---|---|
etde uozarmesbiax amis	-|-|--|----|---|---|
qu ansauezfair e	-|-|----|----⌫|
iess ai bienuestir	|-|-⌫-|---|-----|
et ret raire	-|---⌫----|
sicom liuaslezmana rma	-|--|-|-----||-|-⌫--|
quideuant moia ndesar ma	--|-----|--|-⌫|-----⌫-|
lec h eualierquauoie mort	-|-⌫-⌫------|-|----|---|
etsilegierement le s p ort	-|-|----------|--⌫|-⌫--|
que lesn emegr i euentrien	-|-⌫--|-⌫|-|--⌫-⌫----|---|
p arl ame deuc e	-⌫-||--|--|-⌫|
prisiebien	---|-|---|
fetli p rodom	--|-|-⌫----|
o rmeditessineuos griet	-⌫|-|----|-|-|--|----|
quex besoi nzuosamena	---|-----⌫-|--|----|
siremameremansei gna	---|-|---||-----⌫--|
queu ersl es prod omesalasse	--|-⌫--|-⌫-|----⌫---|-----|
et que aau sme cons eillasse	-|--||--⌫|-|----⌫-------|
secreussecequil diro ien t	-|------|-|-|-|----⌫---⌫|
ion tcilqui les	|--⌫|--|--|--|
etliprod omrespontbiau frere	-|-|----⌫-|------|---|----|
beneoitesoit uostremer e	-------|---|-----|---⌫|
qu eeleuoscon s eilla bien	--⌫|--|--|---⌫-⌫----|---|
mes uo lezuosplus nuleri e n	--|--⌫--|--|---|---|--⌫-⌫|
oil etquoitan t	--|-|---|---⌫|
queuosme herbergie zhuimes	--|--|-|---------⌫|--|--|
mout uolantiersfetli prod om	---|---------|--|-|----⌫-|
mesqueuosmotr oiez undon	-----|--||---⌫---|-|--|
dontgrantbienueni ruosuerroiz	---|----|---|----⌫|--|------|
et c oifeti lque uos cr esro iz	-|-⌫-|--|-⌫|--|--|--⌫----⌫-|
l e c onsoi luostremere etmoi	-⌫|-⌫-----⌫|-----|---|-|--|
fetil eti elotro i	--|-|-|-⌫||----⌫|
donc descendezet	---|--------|-|
il descent	-|------|
unsde suaslezsoncheu al	--|--⌫|-----|--|----⌫-|
quifuren t uenula	--|-----⌫|---|-|
etli altre s ledesarm a	-|-|-----⌫|-|------⌫|
siremestanla	-|-----|-|-|
r obeso te	-⌫--|--⌫-|
esreu elinsetan	-|---⌫----|-|-|
d ecerfmalfeteetma ltailliee	-⌫|---|------|-|--⌫--------|
quesa mereliot baill iee	--|-|---|-|-|-----⌫--|
etliprodom s efi stchaucier	-|-|-----|-⌫|--⌫-|-------|
lesesperonstranc hanzd	--|-------|-----⌫---||
queliuaslezo taport ez	--|-|-----|-⌫|-----⌫-|
sorlecheualmontez	--|-|-----|-----|
et lescupar laguigepant	-||---|--|-|----|---|
a soncol etla lanceprant	|--|--|-|-|----|----|
etditamisorapr en ez	-|--|---|-|---⌫--⌫-|
darmes etgardeuosprenez	|----|-|----|--|-----|
comantlan d oi tlance	-----|--|-⌫--⌫|----|
etcheual poindre	-|-----|------|
etrete nir	-|----⌫--|
lorsadesploieelanseigne	---||--------||-------|
mo streetselianse igne	--⌫---|-|-|-|----⌫---|
comantandoit sonescupr an dre	-----|-|---|--|---|--⌫--⌫--|
unpetitlefetauantpandre	-|----|-|--|----|-----|
tantqu aucoldel cheualleioin t	-----|-|--|--|-----|-|----⌫|
etmetla lance	-|--|-|----|
elfautr eet point	-|-----⌫|-|----|
lecheualquiyymarsualoi t	-|-----|--|-|---|-----⌫|
quenus pl usuolant iersn	--|--|--⌫-|------⌫---||
plu stostnede graignoruertu	---⌫|---|-|-|-------|----|
s ot moutde lescu	-⌫-|---|-||---|
et del cheualet delalance	-|--|-----|-|-|-|----|
carillotapris de sanfance	--|-||-|----|--⌫|------|
siplotmoutau	-|---|---|-|
uasletetsist	-----|-|---|
tr es totquanq uelip rodomfis t	--⌫--⌫--|-----⌫-|-|-⌫----|---⌫|
qantilot fettotsoncenbel	---|-|-|--|--|--|-----|
de ua nt l euaslet	--⌫--⌫-|-⌫|-----|
bienetb el	---|-|-⌫-|
anertgarde d onee	-|--|----|-⌫---|
sisanr eu ientl a nceleuee	-||-|-⌫--⌫---|-⌫-⌫--|----|
au uasle tetdema n de li	-|-----⌫|-|----⌫-⌫-|-|
amissauriez	---|------|
la lanceet l escudemener	-|----|-||---|------|
et lecheua l poin dree tmene r	-|-|-----⌫|----⌫--|-⌫|----⌫|
e tci lditquetota deliure	-⌫|--⌫|--|--|--||------|
nequeroit ia mesunioruiu re	-|------|--⌫--|-|--|---⌫-|
neterreneauoirn eust	-|----|-|----||---|
mesqu ausi fer ele seu st	----|---|---⌫|-|---⌫-|
an nesetpuet an ap randr e	-|-|--|---|-|--⌫-----⌫|
quipainn ei u ial t metreet	--|-----⌫||-⌫---⌫|----|-|
fetli pr odo mb iax amis chiers	--|-|--⌫---⌫|-⌫--|---|-----|
il couientatozlesmestiers	-|------||--|--|-------|
etpoinneetcueretialzauoir	-|-----|-|---|-|---|----|
t otsauoir	-⌫-|-----|
etqu a nt u osonquesnelfeistes	-|--⌫-⌫-|-⌫-|-----|-||------|
neaut ruifere	-|---⌫--|---|
nelu eistes	-||-⌫-----|
seuosfe re n eles aue z	-|--|--⌫-|-⌫|-|-⌫---⌫|
honteneblasmeni auez	----|-|-----|||---|
l ors le fistl iprodom m onter	-⌫--|-|---|-⌫|-----|-⌫----|
et ilcom ancaaporter	-|-|---⌫---||-----|
siadroit la	-||----|-|
lanceetlescu	----|-||---|
coms il eu sttoz	--||-|--⌫-|--|
antornoi emenz	-|------⌫----|
et angu erres	-|-|--⌫----|
par to tesl este rres	--|--⌫--|-⌫-|--⌫---|
querantbataille etauantu re	------|-------|-|------⌫-|
ca r illiuen oitde nature	--⌫|-|-|---⌫--|-|-----|
etquantnatureliap rant	-|----|-----|-|--⌫---|
etli cuersdeltotiantan t	-|-|----|--|--||-----⌫|
estre riensgreu ainne	----|----|----⌫----|
laounature	-|-|-----|
etcuerssepainne	-|----|-|-----|
pa rcesyy sibienlefeis oit	--⌫|--|-|-|---|-|----⌫--|
queauprodomemoutplei s o it	--|-|------|---|----⌫-⌫-⌫-|
e t qu ildisoitanso n	-⌫|-|-|-----|-|--⌫|
que seil fu sttotsonaaige	--|-|-|--⌫-|--|--|----|
darmespenezetantremis	|----|----|-|-------|
s an fustil as ezbie n apris	|-|---|-|--⌫-|---⌫|----|
qant liuaslez ot fetson t or	---|-|-----|-|--|--|-⌫-|
deuantleprodome au reto r	-----|-|------|-|----⌫|
lanceleueesan repaire	----|----||-|------|
liotueufaire	-|-|--|----|
sidistsireaile g ebienfait	-|---|---|-|-|-⌫|---|---|
cuidiez uo squeiamestie rm	------|--⌫|--|-|------⌫||
poin neseiemetrel i	----⌫-|-|-|----|||
onques rien	-----|---|
ne ui rentmioel	-|--⌫---|-|--|
gran tcoue i tiseeusse	----⌫|----⌫-⌫---|----|
moutuoldroie queia nseusse	---|-------|--||-⌫|-----|
autr etant comuos ansauez	----⌫----|--|--|-|----|
amis se lecueriauez	---|-|-|---||---|
fetl iprodommou ta nsa u roiz	--|-⌫|-----|---⌫|-⌫|--⌫-⌫---|
iamarcusanco nen auroiz	-|--|-------⌫|-|-----|
liprodompary y	-|-----|--|-⌫|
foiz monta	---|----|
pa ry yfoizdarm eslanseign a	--⌫|-⌫|---||---⌫-||-------⌫|
tres tot quanque m ostrerli s ot	----⌫--|------|-⌫-----|-|-⌫-|
tan tqueasezmostr élan ot	---⌫---|---|-----⌫-||-|-|
foizmonterle fist	---|-----|-|---|
dasreai nneli dist	-------⌫--|-|---|
amiss euosan cont riez	---|-⌫|--|--⌫----⌫---|
uncheualier que feriez	-|--------|--|-----|
sil uosferoitielrefer roie	|-|--|-----|-||-----⌫---|
ets e uostre lancepecoi e	-|-⌫|-----|----|-----⌫|
apres ce niaura ilplus	----|-|||---|-|---|
a yy poinz	|-|----|
licorroie sus	-|------|--|
feroizuomie	-----|-|--|
donc parescremie	---|--|-------|
d elespeel iroizrequerre	-⌫||----||----|-------|
lor sf ichedeu ant luianterre	---⌫|-⌫---|---⌫--|--|-|----|
sala nceane s tanttote dr oite	-|--⌫--|-|-⌫-⌫---|---|--⌫---|
liprodom quimout lecouoit e	-|-----|--|---|-|------⌫|
darm esan seign i eretap randre	|---⌫-|--⌫-----⌫-⌫-|-|--⌫-----|
quei lses aiche	--|-⌫|-|-⌫----|
bien d esfand re	---|-⌫------⌫-|
lerequier t	-|-------⌫|
quantleus ani ert	----|---|-|-⌫--|
puisamainalespeemise	---||---|||----|---|
amisfetilancesteguis e	---|--|-|-|----|----⌫|
u os desfan droizsanuosasal t	-⌫-|------⌫----||-|--|----⌫|
dece fet il sedex	-|-|--|-|-|--|
tantcome ie	---|---|-|
quasborriax et	-|-|------|-|
as taleuaz	-|------|
c hi esmamereanaprisasez	-⌫--⌫-|-|---|-|----|---|
t antquesouant anf uilasse z	-⌫-----|-----|-|-⌫-|-----⌫|
donc alons huimesa lo stel	---|----|--|--|||-⌫---|
fet li prodom	--|-|-----|
qu il nia el	-|-||||-|
etuosauroizcuiqu i l enu it	-|--|-----|----|-⌫|---⌫-|
l oste l sanzuilen ieenu it	|----⌫|---|-----⌫-|---⌫-|
lorssan uont anduicoste a	---||-|---|----|----||
etliuasle za ditsono st e	-|-|-----⌫||--|--|-⌫--⌫|
sirem ameremanseigna	---|-⌫|---||-------|
ne conpai gnie	-|------⌫---|
o lui n eusse	|--||----|
granmantque sonnon ne	-------|--|--|--|-|
si lemanseignaa	-|-||-------||
uostrenonsauoir	-----|--|-----|
biaxdolz am isdistli prodom	---|---|--⌫-|---|-|-----|
gornemanzde goorz	--------|-|----|
ensiius qu a lo stels anuienent	---|---⌫-|||-⌫---||-|------|
main a main andui s ant retienent	---||---|----||---⌫--------|
a l amon te e d	|-⌫|---⌫--⌫||
uintuns u aslez totdeson	---|--|-⌫----|--|-|--|
quiaportaun ma ntelcort	--|-----|-|--⌫---|---|
le uasletafubler ancort	-|-----|------|-|---|
qu apresl e chautnelepreist	-|----|-⌫|----|-|-|-----|
froidure quimal lifeis t	-------|--|--|-|----⌫|
ric hes meisonsb eleset	---⌫--|------|-⌫---|-|
o tl ip rodometbiaxsergenz	-⌫|-⌫|-⌫----|-|---|------|
etliman gie rsfu ator ne z	-|-|---⌫---⌫-|-|----⌫--⌫|
biax etge nzetbien conreez	---|-|--⌫-|-|---|------|
silauerentli cheualier	-|-------|-|--------|
puis si sasistren ta uman gier	---|-||--------⌫|-⌫|---⌫---|
prodom lez lui asist	-----|--|--|----|
leuasletet ma ng ier l efis t	-|-----|-|--⌫--⌫--|-⌫|---⌫|
auoec luian	----|--|-|
un eescuele	--⌫|------|
des mesn e	--|--|-⌫|
fazautrenouele	--|----|-----|
q uanz en i otet qu elilfurent	-⌫---|-||-|-|--⌫-|-|-----|
mes asezmangierent et	--|---|---------|-|
delmang iernefazautre	--|----⌫--|-|--|----|
qantle u é furentde la	---|--⌫-⌫-|-----|-|-|
lipro domqui moutfu	-|---⌫--|--|---|-|
c or t ois	-⌫--⌫-⌫--|
priad e r emenoir u nmo is	---|-⌫|-⌫------|-⌫|--⌫-|
le u asle t	-|-⌫----⌫|
quidelezluisist	--|----|--|---|
un antotplainseil uol sis t	-|-|--|----|-|-|---⌫---⌫|
lere tenist iluolan ti ers	-|--⌫-----|-|-----⌫--⌫--|
siaprei standemantiers	-|-----⌫-|-----------|
texchosessele s	--|-----||---⌫|
lipleussent	-|--------|
quabesoi n gmestierli	-||-----⌫-⌫|------|-|
uaslez lidistapres	-----|-|---|----|
sirenesai se iesui pres	---|-|--|-|-|--|---|
del ma no i roum ameremai nt	--|--⌫--⌫-⌫|-|-⌫|---|---⌫-|
mesie prideu	--|-|--|--|
qu alim em aint	-||-|-⌫|-⌫---|
etquanco rlapuise	-|-|----⌫|-|----|
quepas mee lauic heoir	--|---⌫--|-|-|-⌫----|
auc hiefdelp ontdeuan tsaporte	-|-⌫---|--|-⌫--|-----⌫|-|----|
s inesaisele e st uiue ou	-⌫|-|--||--|-⌫-|---|-|
demoiquantla les sai	-|--|----|-|---⌫--|
chei pasmeebien lesai	---|-----|---|-|--|
et porcene porr oitpasest re	-|--|-|-|----⌫--|--|---⌫-|
tant que i e seu sse sonestre	----⌫--|-⌫|---⌫--|--|----|
que iefeisse	--|-|-----|
einzmanir ai dema inauior	---||-|--⌫-|----⌫-|-|--|
lipro dom otque rien ne	-|---⌫--|-|--|---|-|
proiere et	------|-|
siuon t couchiersanzplusde	-|---⌫|-------|---|---|-|
que lilitesto ient ia	--|-|--|----⌫---|-|
liprodomparmatin leua	-|-----|--|----|---|
au lita u uas let s an	-|--|-⌫|---⌫--||-|
i l letroua	-⌫|-|----|
si li fis t	-|-|---⌫|
porteran pres ant	-----|-|----⌫--|
chemiseetbraies decheinsil	------|-|-----|-|-------|
et chaucest aintesan b r esil	-|------|-⌫-----|-|-⌫-⌫---|
etco tedundrap	-|--⌫-||-|---|
desoi eynd e	-|---⌫|---⌫|
qui futissuz et	--|-|-----|-|
fezan ynde	--|-|---|
porcequeuestirli	--|-|--|-----|-|
lianuea et	-|----|-|
amis ce sd rasqueciueez	---|--⌫|-⌫--|--|-|---|
u e stiroi z seu os mecr eez	-⌫-⌫------⌫|-|-⌫-|-|--⌫--|
et liuaslezrespon tbi au	-|-|-----|------⌫|--⌫-|
uos porreie z a se z mia lz	--|-------⌫|-⌫--⌫|---⌫-|
lidrap quemamere	-|---|--|-|---|
dontne uale ntilmialz que cist	---|-|----⌫-|-|----|--|---|
et uosuo lezqueiel es ues te	-|--|--⌫--|--|-|-⌫-|---⌫-|
uas lezfoiqueiedoimateste	---⌫--|--|--|-|--|-|----|
festl iprodomainzualentpis	---|-⌫|-----|---|-----|--|
uosmedei stesb iax amis	--|-|---⌫---|-⌫--|---|
uosamen aiceanz	--|----⌫-|----|
queuo stoz	--|--⌫|--|
mescom an demanz	--|---⌫--⌫-----|
f er eiezetgesiferai	-⌫--⌫---|-|-|-|----|
fetliuaslezian anserai	--|-|-----|-||-|----|
ancontreuosdenulech ose	-------|--|-|---|--⌫--|
asdra suesti rplus nerepose	-|---⌫|-----⌫|---|-|-----|
sia le ss a	-||--⌫|-⌫|
merelessiez	---|------|
etliprodomsestabessiez	-|-|-----||--|-------|
selichauca lesperondestre	-|-|-----||------|-----|
lacostumesoloit tex estre	-|------|-----|--|----|
queci lqu i	--|--⌫|--⌫|
fei soi tcheualier	---⌫---⌫|--------|
l i deuoi t l esperon chau c ier	-⌫|-----⌫||------|----⌫-⌫--|
dautres u aslezasezi ot	|-----|-⌫----|---||-|
chascunsquia ueniripot	-------|--|-⌫----||--|
aluiarmer a	|--|----||
sa mainmise	-|---|---|
etli prodo m	-|-|-----⌫|
se l ceint	-||----|
etd i tquedonee	-|-⌫-⌫|--|----|
laplushauteordreauoec	-|---|----|----|----|
qu e dexafeteetcomande e	--⌫|--||---|-|-------⌫|
ordredecheualerie	----|-|---------|
qu idoit e stresanzuile nie	--⌫|---|-⌫---|---|----⌫--|
et dist biau frere or	-|---|---|----|-|
uossoua ingne	--|----⌫----|
s eilauientquilu os	-⌫|-|-----|-|-|-⌫-|
conbatr eaaucun	-------⌫||----|
cheuali er	-------⌫-|
iceuosuoeldireet proier	--|--|---|---|-|-----|
uenezaud e sus	----|-|-⌫-⌫--|
que u er suos ne se	--|-⌫--⌫|--|-|-|
pui sse plus	---⌫--|---|
des fan drenecontretenir	---⌫---⌫--|-|----------|
einz l estuisse	---||-------|
a merci uenir	|----|----|
qua esciantnel ociez	-||------|-||----|
queuos nesoiez	--|--|-|----|
t roppa rlanzne	-⌫--|--⌫----|-|
tropnoueliers	---|--------|
n u snepuet	-⌫-⌫|-|---|
es tretro p	--⌫--|---⌫|
telch osene	--|--⌫--|-|
qu an li atortauileni e	-|-|-|----||------⌫|
e tlisaigesditetretret	-⌫|-|-----|--|-|-----|
quitropparole pechi efe t	--|---|-----|-----⌫|--⌫|
p orce biaufr er e uo s chasti	-⌫-|-|---|--⌫--⌫|--⌫|-----|
detrop p arle rets iuos	-|---|-⌫----⌫|-|-⌫|--|
trouez puceleoufame	-----|-----|-|---|
d ameiseleou	-⌫-------|-|
desconse llieesoit de	--------⌫----|---|-|
co nselliezla siferoizbi en	--⌫-------|-|-|-----|--⌫-|
seu osco n sellier	-|-⌫-|--⌫-⌫------|
u neaut r e choseuosapraing	-⌫-|---⌫-⌫|----|--|------|
etne ltenezmi ea	-|-||----|--⌫||
quinefetmiea de sd aignier	--|-|--|--||--⌫--⌫------|
uolantiersalez aumos t ier	---------|---|-|---⌫-⌫--|
proierceluiquitotafait	-----|----|--|--||---|
qu ede uostre ame	--⌫|-|-----|--|
merc i ait	----⌫|--|
an cestsiegle terrien	-|---|-----|------|
u osgartcomes on	-⌫-|---|---|-⌫-|
e tliuaslezdist au prodome	-⌫|-|-----|---|-|------|
de tozlesapos tres de ro me	-|--|--|----⌫---|-|--⌫-|
soiezuos beneoiz biausire	----|--|------|---|---|
q uautel oimamere	-⌫|----|-|-|---|
iamesbiauf r ere	----|---|-⌫-⌫--|
fet liprod omq ueu ostre	--|-|----⌫-|-⌫-|-⌫----|
uosa it apr iset anseignié	--|-⌫-|---⌫-|-|---------|
ne uosblasgie	-|--|---|--|
seuoslauezditiusqueci	-|--||---|--|-----|-|
mesdesorlauost r e merci	--|--|-|-|----⌫-⌫|----|
queu os a n chas tie z	--|-⌫-|-⌫|----⌫---⌫|
qu eseuospluslediseiez	--⌫|-|--|---|-|------|
a foliele tanroi t	|----|-|------⌫|
porce uospriga rdez uosan	--|-|--|--|--⌫---|--|-|
etquediraigedoncbiausire	-|--|----|-|---|---|---|
l iua uas ors ce poezdire	-⌫|--⌫---⌫--|-|---|---|
quiuostre esper onuoschauca	--|-----|-----⌫-|--|-----|
leuosapri stet anseign a	-|--|----⌫-|-|-------⌫|
et c il lialedondoné	-|-⌫-|-||-|--|----|
que iamesniaura sone ́	--|----|||---|----⌫|
un m ottantco mil	-|-⌫-|---|--⌫|-|
sed eluinonq uilli	-|-⌫|--|--|-⌫|-|-|
queceestbiensq u	--|-|--|----|-⌫|
illiansaigne	-|-|-------|
li prodom main te n ant lesaign e	-|-----|----⌫--⌫-⌫--|-|-----⌫|
si ala mainleue e	-||-|---|----⌫|
etdistbiax sire dex uossaut	-|---|---|---|--|--|---|
alez adeuquiu oscond uie	---||--|--|-⌫-|----⌫--|
quela demoreuosenu ie	--|-|-----|--|---⌫-|
linouia xcheualierss anpart	-|-----⌫|---------||-|---|
ostee tmoutliesttar t	---|-⌫|---|-|--|---⌫|
queasamereueni r	--||-|---|----⌫|
sainne etuiuelatruisse	-----|-|---|-|------|
si se m etes forez	-|-|-⌫-|-|----|
sosta innes	-----⌫----|
queasezmialzquasterres	--|---|----|-|-|-----|
es fore z sereq uenuissoit	-|----⌫|-|---⌫---------|
etcheualc het antque il uoit	-|-------⌫-|-⌫-----|-|---|
unchastelfortetbie nseant	-|------|---|-|---⌫|----|
deforslesmursneuoi tneant	-----|--|---|-|---⌫|----|
eue et te rr egast e	--|-|--⌫--⌫|----⌫|
derreruers l e	|----|---|-⌫|
chastelsehaste	------|-|----|
tantq uedeua n tlap o rteui ent	-----⌫-|----⌫-⌫|-|-⌫-⌫--|--⌫--|
mes unpontpa ss erli	--|-|---|--⌫--⌫-|-|
si foibleainzqu a la	-|-----|-----||-|
porte ueingne	----|------|
quapoinnes	-||------|
cuitqu ele sosteingne	---|--⌫|-|---------|
lic heua l ierssorlepontmonte	-|-⌫----⌫-⌫---|--|-|---|----|
si lepassaque maxne	-|-|----|--|--|-|
ne anconbriersneli auint	-|----------|-|-|----|
iusque d eua ntlaporte u int	-----|-⌫---⌫-|-|----|-⌫--|
trouafermé ala	----|-----||-|
nenihur ta	-|||---⌫-|
ne niapela mi ean	-|||----|--⌫|-|
tant iferique nesle pas	---||---|-|-⌫-----⌫--|
uintasfenestresde	---|-|--------|-|
unepuce lemeigr e etpale	--|----⌫-|-----⌫|-|---|
etdis t qui	-|---⌫|--|
estquilaapele	--|--|-|----|
ci lregarde	--⌫|------|
uerslapucele	---|-|-----|
s ilau oit e t	-⌫|-|-⌫--|-⌫|
ditbeleami e	--|---|---⌫|
un scheualier ssuiquiuo s prie	--⌫|---------⌫|--|--|--⌫|---|
quele anzme fa ciez antrer	--|--⌫--|-|--⌫---|-----|
et lostel enuit mespres ter	-||----|----|--|----⌫--|
s ire feteleuosl	-⌫--|--|--|--||
mesiagre ne	--|-|--|-|
nos ansaur oiz	--|-|----⌫--|
e tnepor quan tsiuosf erons	-⌫|-----⌫----⌫|-|--|-⌫----|
sibonostel	-|--|----|
comnos porro ns	--|--|-----⌫-|
lor ssest l a pucelearr iers treite	---⌫||--|-⌫|-----|---⌫---|-----|
etcilquiala p o rte ag ueite	-|--|--||-|-⌫-⌫--|--⌫----|
crientquanlifacetro pe ster	-----|-|-|-|---|---⌫|-⌫---|
sirecomanca ahurte r	-|--------||-----⌫|
ett antostyy sergent uindrent	-|-⌫-----|-|------|-------|
quigranz haiches alorcos	--|----|------||--|--|
et chascunsotceinteuneespee	-|-------|-|-----|--|----|
port ede sf ermee	----⌫|--⌫--⌫----|
etdientsireuene zanz	-|----|---|----⌫|--|
esteust a ss erge nz	------|-⌫|-⌫----⌫-|
moutfussent	---|------|
b el mes il auoient	-⌫-|--|-|------|
meseiseeuta ntq uil e stoient	------|-|--⌫---⌫|-|-⌫------|
tel qua ns anpois tmeruell ier	--|-|-⌫||-|----⌫|-------⌫--|
degeuneret deu ellier	-|-----|-|-|-⌫-----|
biendeforstrouee	---|-----|-----|
laterregasteet	-|----|----|-|
dedanzrienneli	-----|---|-|-|
q uepa rtotlaou ilala	-⌫-|--⌫|--|-|-|-|--|
trou aanhermies les rues	----⌫|--------|--|---|
etlesme iso ns uiezdecheues	-|--|--⌫---⌫-|---|-------|
yymostiersanlauile auoit	-|-------|-|-|---|----|
quiestoientyyabaies	--|-------|-|-----|
nonainsesbaies	------|------|
la utresdemoi nnes	|-⌫----|-|---⌫---|
ne trouamiebi e n parez	-|----|--|--⌫-⌫|----|
les mostiersnebienportand uz	--|-------|-|---|-------⌫-|
encoisuitc reu eze tfan duz	-----|--|-⌫---⌫-|-⌫|---⌫--|
lesmursetlestorz	--|---|-|--|---|
descouertes	----------|
e t lesmei son sere n touertes	-⌫|--|---⌫---⌫|---⌫-⌫|------|
ausi denuizcome dei o rz	---|-|---|---|-|-⌫-⌫-|
mo linsnimial t	--⌫---|||----⌫|
neni cuistf or z	-|||----|-⌫--⌫|
an nu lle udetotlechastel	-|--⌫|--⌫|-|--|-|------|
nenetrouapain negastel	-|-|----|---|-|-----|
neriennul equif usta uandr e	-|---|---⌫|--|-⌫--||-----⌫|
don lanpoistun den i erpr andr e	--|--|----|-|---⌫-⌫-|--⌫----⌫|
ensitro ualecha stelgaste	---|---⌫-|-|---⌫---|----|
que n i tr oua nepainnepaste	--|||--⌫--|-|---|-|----|
n euinne sidr enecer uoise	-⌫|--|-|----⌫|-|---⌫----|
u ersun pales couer tda toise	-⌫--|-|----|-----⌫||-⌫----|
lo ntliyyserge nt	|-⌫-|-|-|-----⌫-|
etdescenduet desarmé	-|-------|-|-------|
ettantostunsu as lezauale	-|------|--|-⌫--⌫--|----|
parmiles degrezdela	----|--|-----|-|-|
q uiaportaunman telgris	-⌫-|-----|-|---⌫--|---|
che u alierlamis	---⌫-⌫----|||--|
etunsautresaestabl é	-|--|-----||------⌫-|
s oncheu alla ouilnot	-⌫-|----⌫-|-|-|-||-|
nefain ne fu erre	-|---|-|--⌫---|
que il nestoit an la	--|-||-----|-|-|
li autre deuantaxlefont	-|----|-----|-|-|---|
mon ter p arles d egrez	---⌫--|-⌫-|--|-⌫----|
an la sale	-|-|---|
qu imo utfubele	--⌫|--⌫-|-|---|
duipro domeetune	--|---⌫---|-|--|
l isonta lancont reuenu	-⌫|---|||------⌫-|---|
li p rodomeestoientchenu	-|-⌫-----|-------|----|
q ue tuitf usse nt blanc	-⌫-|---|-⌫----⌫-|----|
debel aaigeatotlorsan c	-|--|----|---|--|---⌫|
etatotelor force fuss ent	-|----|--|----|----⌫--|
pesanceneuss ent	------||----⌫--|
et lapuce l euint	-|-|----⌫-⌫|---|
plusioi nte	---|---⌫--|
plusacesmeeetplus c ointe	---|------|-|---|-⌫----|
q ue espre uiers	-⌫-|-----⌫----|
ne pape gauz	-|----⌫---|
sesmantiaxfu	--|------|-|
et se sbliauz	-|--⌫|-----|
dune p or prenoire	|--|-⌫--⌫--|----|
et nertmie	-||--|--|
la panequi	-|---|--|
dermin e fu	|-----⌫|-|
d unse be linnoir etchenu	|-|--⌫--⌫--|---|-|----|
qu in estoittroplonsne	--⌫||-----|---|---|-|
ful imantiax aucol or lez	-|-⌫|------|-|--|--⌫--|
ieonq ues fisdeu ise	-|---⌫--|--|---⌫--|
anbiaute quedexeustmise	-|-----|--|--|---|---|
ancor sdefame neanface	-|---⌫|-|---|-|-|---|
ormep lestq ueu nean refa ce	-|-|-⌫---|-⌫-|-⌫-|-|----⌫-|
o ugeneman tirai	-⌫|-|-|---⌫----|
deslieefuetsiot	------|-|-|-|-|
lescheuoxtexses tr epoist	--|-----|--||--⌫--⌫|----|
q uebien cu idastqui les ue ist	-⌫-|---|--⌫----|--|--|--⌫--|
que ilfus sent tui tdefin or	--|-|---⌫---|---⌫|-|--|-|
tantestoien t luisantetsor	---|-------⌫|------|-|--|
ot bl ancethautet pla in	-|--⌫--|-|---|-|---⌫-|
comse ilfust	--|-|-|---|
o urez demain	-⌫---|-|---|
quede main dome lueu re	--|-|---||--||---⌫-|
depierreou d	-|-----|-||
iuoire ou de fu s t	-----|-|-|--⌫-⌫|
sorcixbrunezetlarge	-----|-----|-|----|
anlatest e	-|-|----⌫|
furentli oel	-----|-|--|
riante t ueir	----|-⌫|---|
lenesotdroit et	-|--|-|----|-|
etmialzliaue noit el u is	-|----|-|---⌫---|-|-⌫-|
liue rmauzsor le	-|--⌫----|--|-|
blanc asis	----|---|
q uelisinoplessorl	-⌫-|-|-------|--||
por anblersan etcu erde g ent	--|-----|--|-|--⌫-|-|-⌫--|
p assemeruoil l e	-⌫-----------⌫-⌫|
puis nefist la paroille	---|-|---|-|-------|
nedeuant feitenel	-|-----|----|-||
et qua ntlich eua l ierslauoit	-|---⌫-|-|--⌫---⌫-⌫---|-|---|
salueet ele lui	----|-|--|--|
etli ch eualier amedui	-|-|--⌫------|-----|
etladameisele le	-|-|--------|-|
parlam aindebonere ment	--|-|-⌫--|--------⌫---|
etdistbi aufrereuostreostex	-|---|--⌫-|----|-----|----|
certes n iertpas anqu enuittex	-----||---|--|----⌫----|--|
coma prodome couandroit	--||------|---------|
mesquiuos di roit orandroit	--|--|--|--⌫---|--------|
totn ostre cou ineetnostre es t re	--|-⌫----|---⌫--|-|-----|--⌫-⌫-|
uoscuid ere iezpuet celestre	--|----⌫---⌫--|---|--|----|
qu e demalue stie le	--⌫|-|-----⌫---|-|
porc equale r	--|-⌫|-|---⌫|
uosanfeisse	--|-|-----|
mess euo s	--|-⌫|--⌫|
los te ltel com il	|--⌫--⌫|--|--|-|
estpre nez	--|---⌫--|
et dexuosd ointmeillordemain	-|--|--|-⌫---|------|-----|
ensil anmainnepa rlamai n	---||-------|--⌫|-|---⌫|
iusqu anune chanbre	----|-|--|------|
quimouter tbeleet	--|---|--⌫|---|-|
longueetlee	-----|-|--|
c oute desam i t	-⌫---|-|---⌫-⌫|
tanduesor un li t	-----|--|-|--⌫|
se sontle anzand ui	-|---|--⌫--|---⌫-|
cheualierquatrecincet	--------|-----|---|-|
uindrent le anzet sise s istrent	-------|--⌫--|-|-|-|-⌫------|
tot partrop eax	--|--|----⌫--|
