map aineme traiet	-|-⌫---|--⌫---|-|
cil selieuede l iureme nt	--|-|----|--⌫-⌫------⌫-|
qu e na curequeplus	--⌫|||---|--|---|
en uienental yg lise	-|------|||--⌫---|
sicommel o t di t	-|----||-⌫|--⌫|
iluecasafametrouuee	----||-|---|------|
qu e lauielleli	--⌫|-|-----|-|
ot r etrait	-|-⌫-----|
etlib orgoi s uers lui se t rait	-|-|-⌫-----⌫|---|--|-|-⌫---|
parl ameinc ontremont ladrece	--|-⌫|---|-⌫--------|-|----|
puisl i adit quepar yurece	---|-⌫||--|--|--|-----|
fa ittel e	--⌫-|---⌫|
mespri son	------⌫--|
uienentenmais on	------|-|----⌫-|
si secouchieren tde rechief	-|-|----------⌫|--⌫------|
laborgoisecueuresonchief	-|-------|-----|--|----|
quidedormir	--|-|-----|
auoittalent	----|-----|
est p oidumaltal ent	--|-⌫-|-|------⌫--|
que sessir es a uoiteu	--|--|---⌫-|-⌫---|-|
nen a rie nsplus seu	|-||---⌫-|---|--|
etlimarizd autre	-|-|----||----|
partcui de	---|---⌫-|
ques afeme	--|-⌫|---|
aitlat es teuui de	--|-|-⌫--⌫-|---⌫-|
e t deu eillier etdepl o urer	-⌫|-|-⌫------|-|-|--⌫-⌫---|
etq uepuis nefinadourer	-|-⌫-|---|-|---||----|
deuantlauteletnuit e tior	-----||----|-|---|-⌫|--|
et depriapors onseign o r	-|-----|--|-⌫-|-----⌫-⌫|
ainsilezsafe mes e iut	----|--|-|--⌫-|-⌫|--|
li borgo is	-|-----⌫-|
tant que ior p arust	---|--|--|-⌫----|
queli s oulaus enh auts e	--|-|-⌫-----|-|-⌫--|-⌫|
libo rg oisseuest	-|--⌫--⌫--|-|---|
etse ch auce	-|-|--⌫---|
etlaistsafemeq uise	-|----|-|---|-⌫-|-|
maintenantde son os tel ist	---------|-|--|--⌫--|--|
etsaigneson	-|-----|--|
uis etsoncors	--|-|--|---|
etdameaub ereesautfors	-|---|---⌫---|---|---|
etsescri ea haute	-||-----⌫||----|
yysousla ueraie croiz	-|---|-|-----|----|
yysousdolentechaitiue	-|---|------|-------|
ornemechaltquegeplusuiue	-|-|-|----|--|-|---|---|
suitrop maleureuse	--|---|---------|
y ysouslassedoleruse	-⌫|---|----|-------|
ormest iltrop	-||--|-|---|
lebor g oisuen u	-|---⌫-⌫--|---⌫|
dameau beree ueul	---|--⌫----|--||
sicrieencoret	-|---|----|-|
lasseyysous	----|-|---|
or uenra c aienzlipre uoz	-|----|-⌫----|-|---⌫--|
sipranderacepouquegai	-|-------|-|--|--||-|
yysouslass e	-|---|----⌫|
q u eferai	-⌫-⌫|----|
yysou se t	-|---⌫|-⌫|
ou les prandr ai	-|--|------⌫-|
cestlesongequ eg esongai	|--|-|----|--⌫|-⌫|-----|
borgois quises bahist	------|--||--⌫-----|
por qu oi uos faites	--|--⌫-|--|-----|
sigra ntduel	-|---⌫-|---|
parmonchieffait elemon	--|--|----|---|--|--|
fa it el egeleuosd ir ai	--⌫-|--⌫|-|-|--|-⌫--⌫-|
iademotneuos me ntirai	-|-|--|-|--|--⌫-----|
z z ualletuintciauanthie r	-⌫|-----|---|-|----|---⌫|
p o rr ecoudreetpor	-⌫-⌫|-⌫------|-|--|
sime ba illa zzsiensercot	-|-|--⌫---|-|---|-----|
que ronp uotaun	--|----⌫|-||-|
ne sai yyescureusouyy	-|--|-|-------|-|-|
gelep r i ss im ala ies batre	-|-|-⌫-⌫-⌫|-⌫||---⌫|--⌫----|
atotle sercot r ec ousant	---|-|-----|-⌫--⌫-----|
poime sentoiepesant	--|-|------|-----|
ainsiatote	----|----|
menissiparmesa uen tu re	|-|---|--|----⌫---⌫--⌫-|
ce l uiior f ors d e	--⌫-⌫-|--|-⌫--|-⌫|
m on ostel	-⌫-|----|
m ai scheu mestdemon chetel	-⌫--⌫|---||--|-|--|-----|
quantg ea imon sur cotpe rd u	----|-⌫|-⌫|--|---⌫--|--⌫--⌫|
don ti ai si moncu er esperdu	---⌫||-|-|--|--⌫-|------|
quege ne s ai ou	--|-|-|-⌫-|-|
que feraise genem en fui	--|----|-|-|-||--⌫--|
quegen ensainul	--|-||-|--|--|
autreensaigne	----|-------|
negene truisqu i lemensaigne	-|-|-|----|--⌫|-||-------|
uelt ain sinoier	---|---⌫-|----|
g enferai escommeni er	|-|----|---------⌫-|
di emenche a toz	--⌫------||--|
lesmosti e rs	--|-----⌫-⌫-|
il nemest oit	-|-||---⌫--|
or nus me sti ers	-|--|--⌫---⌫--|
de receuoir si lai de p erte	-|-------|-|---⌫-|-⌫---|
beau ssireoroezchose aperte	----⌫|---|-|--|----|-----|
sedieusmedo i nt	-|----|-|--⌫-⌫-|
gelaissie p endre mondee l	-|------|-⌫----|--|---⌫|
auueclaguilleen celsurco t	----||------|-|--|-----⌫|
dontgesuilasseatel	---|-|--|----||--|
s ainsire ndrel e	|----|--⌫---|-⌫|
m e c ou ient	-⌫|-⌫--⌫---|
etli uassauscha scunio ruient	-|-|------|---⌫---|--⌫|----|
simangoisseetsimedemande	-||-------|-|-|-|------|
yysousetlisurcoz re nd e	-|---|-|-|-----|--⌫--⌫|
maisderendr esui esgaree	---|-|-----⌫|--|------|
or me d itesdameauberee	-|-|-⌫---|---|------|
f ustes u ospiecaen maiso n	-⌫----|-⌫-|----|-|-----⌫|
oils i re para choi son	--|-⌫-⌫-|--|-⌫----⌫--|
dauoir z zpe titd e	|----|-⌫|--⌫--|-⌫|
filleauoit mal	----|----|--|
cefuauant h ierorme	-|-|----|-⌫--|-|-|
la d ametrouuai ensa chanbre	-|-⌫--|------|-|-|------|
quiilu eque spignoit sonchief	--|---⌫----⌫|------|--|----|
enzzlitui de chie fenchief	-|-|--|-|-|----⌫|-|----|
estandre unecoute point e	-------|--|----|-----⌫|
el zneui si cointe	--⌫|-|-|-|-----|
tantimusaiil uecdeioste	---||----|--⌫--|-|----|
que m endormi sor	--||------|--|
et q ue ladame seleua	-|-⌫-|-|---|-|---|
quiuolentiersm	--|---------||
aparei lla	------⌫--|
ce quedemandé	-|--|-------|
etlors si memi sala uoie	-|---|-|-|--⌫||-|---|
ain siiceluiior a uint	---⌫-|-----|--|-⌫---|
maisne s ailasse qued eui nt	---|-|-⌫-|----|--|-⌫---⌫-|
le sercotfors	-|-----|---|
tantque gefuse	---|--|-|---|
qu e geloublia isorlacousche	--⌫|-||------⌫|--|-|------|
quant l i borgois	----|-⌫|------|
ot l esnoueles	-|-⌫-|------|
m olt li fu ren tp laisanze tbele s	-⌫--|-|--⌫---⌫|-⌫------|-⌫|----⌫|
maisseiltrueue lede el	---|-|-|-----|-|--⌫-|
teli oie ensonae	--|-⌫--|-|--|-|
c omilauraseilletrueue	-⌫-|-|---|-|-|-|-----|
estquiluoiela	--|-|-|---|-|
atantasonostels	|---||--|----||
unehuch eoeur efors lent rait	--|----⌫|----⌫|---||-|-⌫---|
qu e ilotcharchié	--⌫|-|-|--------|
etquantiltrueue	-|----|-|-----|
t ote lagu il le	-⌫--||---⌫--⌫-|
quilidonastt restotepuil le	--|-|-----|-⌫------|----⌫-|
il pas ioie g raignor	-|--|---|-⌫------|
pardieu faitille	--|---|---|-|-|
mien seignor	---|------|
orsaigebiencertai nem ent	-|--|-|---|------⌫---⌫--|
quela uielled eriens ne	--|-|-----|-⌫|----|-|
queiaitrouueela costure	--||-|------|-|------|
ainsifuliezde s	----|-|---|-||
liborgoise tbel sen dep or te	-|------|-⌫|--||-|---⌫--⌫-|
et damea ubereeraporte	-|---|-⌫-----|------|
sonsurcotsisendeliura	--|-----|-||-|------|
ains i lauielle del iura	----⌫|-|-----|---⌫---|
l e borgoisdemauuaispensser	-⌫|------|-|------|------|
quepuisnesepot	--|---|-|-|--|
q ua ntildusurcotfud e liures	-⌫--⌫-|-|-|-----|-|-⌫-⌫-----|
etcel ot les yy	-|--|-|--|-|
bienot sonloier dese rui	---|-|--|----|----⌫--|
totyyf urent engre	--|-|-⌫----|-|--|
parcestflabe luo suu eilmonstrer	--|---|-----⌫|--⌫|--⌫--|-------|
porpo i puetonfeme tr ouuer	--|--⌫|---|-|---|--⌫----|
q uideso ncorsface meffait	-⌫-|-|--⌫|---|---|------|
separautrefe men e l	-|--|----|--⌫-|-⌫||
te leestbie n ensadroiteuoie	--⌫-|--|---⌫|-|-|-----|---|
se feme ueltq uilade suo ie	-|---|---|-⌫-|-|--⌫---⌫-|
quiseroitnetepure et fine	--|-----|---|---|-|---|
ainsinostre flabe aus define	----|-----|-----⌫--|-----|
