or s enuet	-||-|--|
aterm e deui sé	|----⌫|----⌫--|
ne lamostra nce ne	-|-|------⌫--|-|
serapas faite d esloialmentne sanspreu domemais	---|--|----|-⌫----------|-|---|----⌫---|---|
parcheualierser a	--|--------|---⌫|
pr ouéq ui totecestech oseaoie et ueu e	--⌫---|-⌫-|---|----|--⌫--||--|-|---⌫|
e t cil quicontr edire leuoldra	-⌫|--|--|-----⌫----|-|-----|
soit autretels quei lsachebie nuraimentce	---|--------|--|-⌫|----|---⌫|-------|-|
dontiluoldrafe redeffense karissido itlen	---|-|-----|--⌫-|-------|--|---|--⌫-|--|
fe reetmostrance etcontreditde sihautec hose	--⌫-|-|--------|-|--------|-|-|----|-⌫---|
comeceste .	---|----||
quantl adamoiseleote nsi	----|-⌫|--------|-|-⌫--|
parlési sontsimui	-----|-|---|-|--|
co nquesni otu n mot	|-⌫----|||-|-⌫|--|
sonéetliroisfumolt	----|-|-|---|-|---|
sir egarde e nhaut et seseigne	-|-⌫-----|-⌫|---|-|-|-----|
menuet souentet	---|-|-----|-|
tie ntagr antmerueillece qu ila oi si	---⌫-||--⌫--|--------|-|-|-||-|-|
ateldue let telh onte	|--|---⌫|-|--|-⌫---|
del b lasm equela damoiseleli metsus	--|-⌫----⌫|--|-|--------|-|--|--|
queparunpoiquilnedesueet	--|--|-|--|-|-|-|----|-|
bienpertals ambla ntde sonuisque	---|---|-|-⌫-----⌫-|-|--|--|--|
licuer snestoit mie aa ise.	-|----⌫||-----|--||-⌫--||
da mefetil	--⌫-|--|-|
roi neuenésauant	---⌫-|-----|----|
quebie nest dro i s	--|---⌫|--|---⌫-⌫|
quelen loie deu ostrebo chemeismes	--|--||--|-|-⌫----|--⌫--|------|
si u os deli urés d eces techose	-|-⌫-|----⌫----|-⌫|---⌫-|----|
simaitdi ex seuosestes	-||--|--⌫-|-|--|----|
telecomces tepucele uo smetsus uos	---|--|---⌫-|-----|--⌫|--|--|--|
deserui esor	-------⌫|--|
toteslespech erescesqui	----|--|----⌫------|--|
o nquesfuissente t	-⌫----|-------|-⌫|
apres ce aués lemonde	----|-|----|-|----|
laidementd eceukarlen	--------|-⌫---|--|--|
uos atenuealaplus uailla ntdamedelmonde	--||----||-|---|------⌫-|---|--|----|
etuosserie ́slaplusde sloi aletla	-|--|-----⌫-|-|---|--⌫----⌫-|-|-|
plusfause seces toituo irs .	---|----|-||--⌫---|--⌫--||
lorssestleuee la ro i ne etne fetnul	---||--|----|-|--⌫-⌫-|-|-|--|--|
sa mblant depoor	--⌫-----|-|---|
e tencontre	-⌫|-------|
lisa illentroisetconte s	-|--⌫-----|---|-|-----⌫|
e tautresbarons .	-⌫|-----|-----||
siuenoitme sire g auuain	-|-----|-|---|-⌫-----|
deuantliunbastoneten	-----|-|-|-------|-|
e s t s ichausd elagrant ir e	-⌫-⌫|-⌫|----|-⌫|-|----|--⌫|
qu ilaqu i sambleq ue	-|-||-||-----|-⌫-|
lesanc uer me il li doiesailir parmile	-|---|---⌫--⌫-|-|---|-----|----|-|
laroinefudeuant l eroitotenestant	-|----|-|-----|-⌫|--|--|-|-----|
etmesir e gauua inaprise laparoleso r	-|-|---⌫|-----⌫-||----|-|-----|--⌫|
lui et dist ala damoisele quiot c ontee	--|-|---||-|--------|--|-|-⌫----|
cestenoueledamoiselenosuolons sauoir	----|-----|--------|--|-----|-----|
seu os auésmis	-|-⌫-|----|--|
ces t blasme s or	---⌫|-----|-⌫-|
madamelaroi nequ i c iest .	-|---|-|---⌫-|--⌫|-⌫|--||
etceledist	-|---|---|
r oinenestilpaskarde	-⌫---||--|-|--|--|-|
laroineni uoiie	-|----|||--|-|
mais ie le met sor	---|-|-|--|--|
celedamel acar	---|---|-⌫|--|
el ef istla	--⌫|-⌫--|-|
t raisonde sadamee t del a	-⌫-----|-|-|---|-⌫|-|-⌫|
-ydet raisonfetmesiregauuainest	|--|-⌫-----|--|-|---|------|--|
m adameto t esauuesi maitdiexet	-⌫|---|--⌫-⌫|----|-||--|---|-|
biene nser adeffend ue .	---|-⌫|---⌫|-------⌫-||
etsac hiés	-|---⌫----|
q u epar un poiqueu osnema uésmene ́	-⌫-⌫|--|-|--|--|-⌫-|-||-⌫---|----⌫|
la ouie nepoi onquesestre me nésparfeme	-|-|-|-|--|-----|----|--⌫---|--|---|
nef u stplu sp or l ahonte	-|-⌫-⌫-|---⌫|-⌫-|-⌫|----|
monseignor que por	--|------|--|--|
uos feisseaperceu oirqueuo sa ués	--|-----|-------⌫--|--|--⌫|-⌫---|
m ené lagre ignorfolieetcomenciee	-⌫---|-|---⌫----|----|-|--------|
c onq uesdamoiseleme ustkarsetuit cil	|---⌫--|--------|--⌫--|--|-|---|--|
pai sl auoient i u ré nemetroient	---⌫||------|-⌫-⌫--|-|--------|
i l enuoirce que	-⌫|-|---|-|--|
uos aués tesmoi gné.	--|----|------⌫---||
