moutparfugente c reature	---|--|-|----|-⌫------|
siquillesontesquartelés	-|-|-|--|--|-----------|
l a mell ee fudes	-⌫|----⌫-|-|--|
biens e ntrefier ent demanois	---||-⌫--------⌫--|-------|
maisnel pore ntlorg entso ffrir	---|-||----⌫-|--|-⌫--|--⌫----|
quelorsei gnorueissentmorir	--|--|---⌫---|-------|----|
card yyparsm ai nsu aincroie n t	--||-|---|-⌫--⌫-|-⌫--------⌫-⌫|
se lorseig no rperdu	-|--|----⌫--⌫|----|
monte rlesfontd	-----⌫|--|---||
tin drent mie p or co ars	---⌫----|--|-⌫-|--⌫--|
roierentbacheler	--|----|-------|
sis euoloientesprouuer	-|-⌫|-------|--------|
proce liasetlaid es	-----⌫---|-|----⌫-|
lip reus canor etcaride s	-|-⌫---|----|-|------⌫|
sentrefe r i ren ttrestuityy	|-------⌫-⌫-⌫---⌫|-------|-|
les deusen ueissi e ́s a batre	--|---|-|------⌫-⌫-|-⌫----|
de c hascune partenchiet uns	-|-⌫------|---|-|----|--|
por cef ulipoindres com muns	--|-|-⌫|-|-------|---⌫---|
canorsli biausfu abatus	-----|-|----|-|-----|
etl aid es fu retenu s	-|-⌫---⌫-|-|------⌫|
p roceliasles ien enma ine	-⌫-------|-|-⌫--|-|--⌫--|
canor der e monte rse pain e	----|-|-⌫-⌫-----⌫|-|----⌫|
quantfum ontéssi trait	----|-|-⌫-----|-|----|
caridesfiertde	------|----|-|
maintena nt	--------⌫-|
celuiquil a uoi t aba tu	----|--||-⌫---⌫|---⌫-|
si quelenes li	-|--|-|--|-|
deses pe ronshur tele	--|--⌫--⌫---|---⌫-|-|
etioint unneueucanor	-|----|-|----|----|
etcil a lui hardiement	-|--||--|---------|
deslancessefi re nt	--|-----|-|--⌫--⌫-|
sorlesescuslihauber cf a illent	--|--|----|-|------⌫|-⌫-⌫-----|
asfers deslan ces	-|---|--|---⌫--|
lesdesmaill ent	--|--------⌫--|
a n auré so r leflanc	|-⌫----|--⌫|-|----|
des trierblanc	---⌫----|----|
perteusfudeb ilecuens	------|-|-|-⌫--|----|
par m ilestour condui st les suens	---⌫-⌫||-----|------⌫-|--|----|
m outparauoitric he compaigne	-⌫--|--|----|---⌫-|--------|
ioint a un	----||-|
p r incederommaigne	-⌫-⌫---|-|--------|
lifaussedeuers	-|-----|-----|
parmil eschineli f ai tnestre	----||------|-|-⌫--⌫|-----|
trestouts onfer sil abatmorne	-------|-⌫-|--|-||---|----|
lech e ual prentsise nret orne	-|--⌫-⌫--|----|-||-⌫|---⌫---|
d el autr e par tertunsarchiers	-⌫||----⌫|---⌫|--|--|-------|
qui detrairees toitbienmaniers	--|-|-----|--⌫---|---|------|
o te ncochiee	-⌫|-⌫-------|
parmilecors lialanc iee	----|-|---|-||----⌫--|
lic uenscha i l anoi selieue	-|-⌫---|---⌫|-⌫|---⌫-|----|
luilesb ilai nsgrieue	--|--|-⌫----⌫-|-----|
fumoutgrantd uel	-|---|----|-⌫--|
l isi en i firentcris et	-⌫|--⌫-||-----|---|-|
carilnauoit deuersleroi	--|-||----|-----|-|--|
nuls ih authomme forsque soi	--|-⌫|-⌫--|----|------|--|
bilas n auoit nulsi haut homme	----||----|--|-|---|----|
moutledo magentcildero mme	---|-|--⌫-----|--|-|--⌫--|
maruit de gaiet el	--|--|-|-----⌫||
souuentiaperte etirour	------|||----|-|----|
son fre re et sesmei ll oursami s	--|---⌫-|-|--|---⌫--⌫---|---⌫|
lion t de celeguerreocis	-|--⌫|-|---|-----|---|
mou t parsen uaitd escon fo rtant	---⌫|--||-|---|-⌫-----⌫--⌫----|
etceulsderommea redouta nt	-|----|-|----||-------⌫-|
sor lesb ilains poignente t pr oient	--|--|-⌫-----|-------|-⌫|--⌫----|
e t uilainementl esconroient	-⌫|----------|-⌫-|--------|
dec i que presde	-|-⌫|--|---|-|
sont libilain fer ant	---|-|-----|---⌫--|
li sergante t li citoi en	-|------|-⌫|-|-----⌫-|
issent del	-----|--|
muruie nnentau plain	--|---⌫----|-|----|
u negent estde b ile	-⌫-|---|--|-|-⌫--|
qu ilo rafaite	--⌫|--⌫||----|
grant aiue	----|---|
lor sueissiés moutgra ntestour	---⌫|--------|---|---⌫-|-----|
q uant cilde densissenta slour	-⌫---|--|--⌫---|-----|-⌫|---|
bila sotbi enfel oncorage	----⌫|-|--⌫-|---⌫-|-----|
moutlipoisede lmariage	---|-|----|--⌫|------|
degaieteq u auoirn epuet	-|-----|-⌫|----|-⌫|---|
etq u e l essierlaliestuet	-|-⌫-⌫|-⌫-----|-|-|-----|
sil nesen ue nge mouts	|-|-||-|--⌫--|---||
u negr antlancetintmout	-⌫-|--⌫--|----|---|---|
q u ilauoit	-⌫|-|----|
aescientprise	|------|----|
porpen sseen queleguise	------⌫--|-|----|----|
porraproc el ias	----|----⌫--⌫--|
deuerslades trepartseuire	-----|-|---⌫--|---|-|---|
bila s otmout	----⌫|-|---|
f elon talen t	-⌫---|-----⌫|
proceliashet	--------|--|
po r so nfrere q u	--⌫|--⌫|----|-⌫|
il liocis t	-|-|----⌫|
e tsousr omm ele	-⌫|---|-⌫---⌫|-|
d es confist	-⌫--⌫------|
ne lepotconsie urreenlescu	-|-|--|------⌫---|-||---|
sorl e haubercmaill ié	--|-⌫|------|-----⌫--|
lef iertderrier	-|-⌫---|------|
entrespassant	-|----------|
delalance grosseet trenchant	-|-|----|-----|-|--------|
l e s m aill es	-⌫-⌫|-⌫----⌫-|
par d euersl edestre c oste	--|-⌫----|-⌫|-----|-⌫---|
lefiertelcors la	-|----|-|---|-|
char li trenche	---|-|------|
b ilaslia faitune	-⌫---|-||---|--|
unriso ut re	-|--|-⌫--⌫-|
p roceli as per tune masse	-⌫------⌫-|---⌫|--|----|
delsa n cquii st parmi la plaie	--|--⌫-⌫|--|-⌫-|----|-|----|
c anorsleuitmoutsen	-⌫----|-|--|---||-|
can orsuoitsoncousinna uré	---⌫--|---|--|-----|--⌫---|
leroibil as	-|--|---⌫-|
oultrepass é	-----|----⌫-|
m outfu dolan squantuit le	-⌫--|-|-----⌫|----|--|-|
quili issoit	--|-|-----|
del destre flanc	--|-----|----|
pointpargrant a leure	----|--|----|-⌫----|
par foif ait ilcuiuert pariure	--|--|-⌫--|-|------|------|
traitres marl aués	-------|--||----|
iauousseramo utchieruendu	-|---|---|--⌫-|----|----|
bilas re spo n t uousi mentés	----|--⌫---⌫-⌫|---||------|
sireb ilasettorta ués	---|-⌫---|-|---|-⌫---|
deuousmeism e	-|---|-----⌫|
au r és paour	--⌫-⌫--|----|
ainsquepartésde	------|------|-|
ceste stour	---|-⌫----|
ie uous rendrai l e grant ho ntage	-|---|------|-⌫|----|--⌫----|
queme fei stesel ri uage	--|-|---⌫---|-|--⌫---|
courreuer s	-----|---⌫|
canors bienl e	-----|---|-⌫|
req uie rt	---⌫---⌫-|
p asne failli	-⌫-|-|-----|
mer ueil louscopsileferi	---⌫----⌫---|--|-|-|---|
delalance qu il po rte	-|-|----|-|-|--⌫--|
lesc ulife ntialeustmort	|---⌫|-|--⌫-|-||---|---|
quantuers destregli ca lifers	----|---|-----|---⌫-|-|---|
ne fa ussamie lihau bers	-|--⌫---|--|-|---⌫---|
lalanceaen l esculessiee	-|----||-||---|------|
canoralasoe	----||-|--|
outresenpasse ettraitlespee	----||-|----|-|----||----|
lalan cea en	-|---⌫-||-|
liduiuassal son t dess e u ré	-|--|-----|---⌫|----⌫-⌫-⌫--|
carentreuls	--|---|---|
yyauoitpassé	-|----|-----|
de ceulsde	-|----|-|
r omme uneco mpaigne	-⌫---|--|--⌫------|
bilas tolentla p laigne	----|-----|-|-⌫-----|
procelias sefu bendés	--------|-|-|------|
car il estoitelf lanc naurés	--|-|-----|-|-⌫---|------|
b ilas lenco ntreson bran ctra it	-⌫---||----⌫---|--|----⌫|---⌫-|
quiasrommainsdomag efait	--|-|-------|-----⌫|---|
s alancet intparl e squamois	-⌫|----|-⌫--|--|-⌫-⌫|------|
ia set e ndral iroispormois	-|-|-⌫-⌫---|-⌫|---|--|---|
uerslero i poin t	---|-|--⌫|----⌫|
sala nceesloingne	-|--⌫--|--------|
netendrapascest plai t	-|-----|--|---|----⌫|
pisfiertson cheual	--|----|--|-----|
cestei oustelifi s tmoutmal	----|-⌫----|-|--⌫-⌫|---|--|
lifer sseni st	-|---⌫||-|-⌫-|
parles re gnons	--|--|--⌫----|
lalanc eb riseendeustronco n s	-|----⌫|-⌫---|-|---|------⌫-⌫|
enes tentre ́slibous	-|--⌫|-----⌫-|-|---|
li ch e u ausent rauersetous	-|--⌫-⌫-⌫--|-|-⌫------|---|
en t reles	--⌫-⌫-|--|
tron consentrauerse	----⌫---|-|-------|
n epotal er	-⌫|--|--⌫-|
sesc heuausuerse	--|-⌫-----|----|
liro is cheietse s	-|--⌫-|---|-|--⌫|
lireleuersli fumou tg r ies	-|-------|-|-|---⌫|-⌫-⌫--|
lirois auoitmoutgrant anui	-|---|----|---|----|---|
carses cheua us	--|--|-----⌫-|
gi soitsor lu i	--⌫---|--|--⌫|
nepotleuer nauoit l	-|--|----||----||
carsesche ua us ertsorlu imors	--|--|---⌫--⌫-|--|--|--⌫|---|
procelias isn elemen t	--------|---⌫------⌫|
de s orl e	--⌫-⌫-|-⌫|
roibil asdescent	--|---⌫-|------|
leslas delhiaume l i colp a	--|--|--|-----|-⌫|----⌫|
en uolta son brancprendr e	-|---||--|----|------⌫|
quant bilasuitqu ilseui eultrendre	----|----|--|-|-|-|--⌫---|-----|
criém erci	----|-⌫---|
fransc h eualierspordiu me rci	----|-⌫-⌫-------|--|--|--⌫--|
merci fa it	----|--⌫-|
ilproce li as	-|-----⌫--⌫-|
setume ocis pechief eras	-|-|-|---|-----|-⌫---|
se ne mocisa	-|-||---||
tontal e nt	--|---⌫-⌫-|
e npuesauoi roretar gent	-⌫|---|----⌫|-|-|--⌫---|
procel iasfudeb onai re	------⌫--|-|---⌫----⌫-|
quant u oitbilasquil ueultplet	----|-⌫--|----|-|-|----|---|
e tquenuers l ui sisumelie	-⌫|-|-----|-⌫-|-||-----|
neli ueultpartolirla uie	-|-|----|--|----|-|--|
moutgrant pi tie lipristdel	---|----|--⌫--|-|----|--|
lec heualboute deso rsoi	-|-⌫----|----|----⌫|--|
lafia ncedebilas	-|---⌫--|-|----|
sespee liren t	|----|-|---⌫|
canorsest ce lepartuenus	-----|--|--⌫-|---|----|
des orle roiestdescendu s	---⌫-|-|--|--|--------⌫|
qu antuit q uilotprisonpleuie	--⌫--|--|-⌫|-|-|-----|-----|
etqueilfuenlor b aillie	-|--|-|-|-|--|-⌫-----|
unch eualliaamené	-|--⌫---|-||-----|
si ontl eroibilas m on té	-|--|-⌫|--|----|-⌫--⌫--|
der ommel e liurerent	-|-⌫---|-⌫|--------|
ensam erci l epre s en terent	-|-|-⌫---|-⌫|---⌫-⌫--⌫-----|
quant c ildeb ileetdel	----|-⌫-|-|-⌫--|-|--|
uir entq uelorseigno r fu p ris	---⌫--|-⌫-|--|------⌫|-|-⌫--|
tuit ont la batailleguerpie	---|--|-|-------|------|
q uantlor seignor n	-⌫---|--|------||
iu oientmie	|-⌫----|--|
e nlac itesenrepairie rent	-⌫|-|-⌫--||-|--------⌫---|
deldef fendr e sa p pareillierent	--|---⌫-----⌫||-⌫-⌫------------|
fermen tlesporte ssorle	------⌫|--|-----⌫|--|-|
sinesontgairesasseur	-|-|---|-----|-----|
et bilasfudeuantler oi	-|----|-|-----|-|-⌫-|
p ri so net par sa	-⌫--⌫--⌫|-|--|-|
pla itlo r	---⌫-|--⌫|
ueultfairea lortalent	----|----||--|-----|
athis rendra premierement	----|-----|-----------|
et sat er retendrade	-|-|-⌫--⌫-|-----|-|
dor enauan tlaurontsi	---⌫------⌫||-----|-|
lis ie nsouslui seront	-|-⌫--⌫|---|--|-----|
tous iours	---|----|
por eulsd es p e ndra	--|---|-⌫--⌫-⌫-⌫---|
mout lor donra arg ent etor	---|--|----|---⌫--|-|-|
pro celiaset romulus	---⌫-----|-|------|
lir ois euascan orl idus	-|-⌫--|---|---⌫-|-⌫|--|
dientnuspl u snelidem ande	----|--|--⌫-⌫|-|-|---⌫---|
lirois bilasostag esmande	-|---|----|-----⌫-|----|
amisde sesparens	---|-|--|-----|
tantquebienfual or tal en t	------|---|-||-⌫-|---⌫--⌫|
ses ostage sa f aituenir	--|------⌫||-⌫--|----|
assesen ontalor plais ir	----|-|--||--|-----⌫-|
songranttresor a	--|----|-----||
eff ondr é	---⌫----⌫-|
a sseslor aauoirdonné	-⌫---|--||----|-----|
athis ad e la prison	----||-⌫|-|-----|
cuiilauoitmoutgra nt	--|-|----|---|---⌫-|
romul us le rendieuas	-----⌫-|-|----|---|
mouten fu lies	---|-|-|---|
q uan tilotdeliure ́athis	-⌫---⌫|-|-|-------⌫|----|
q uebil as otenpris on m i s	-⌫-|---⌫-|-|-|----⌫-|-⌫-⌫|
etli romma infurentmoutlie	-|-|-----⌫-|-----|---|--|
de c eq u ill	-|-⌫|-⌫|-||
orentga aignié	----|--⌫------|
toutela ter r esans de ui se	----|-|---⌫-⌫|---|--⌫--⌫-|
etlaci tedesousaus	-|-|--⌫-|-----|--|
etquanconqu es bilasauoit	-|----|----⌫-|----|----|
sa te rr e et s ondestroit	-|--⌫--⌫|-|-⌫-|-------|
sonhommage pris tl emperere	--|------|----⌫||-------|
tou tela premier e c on queste	---⌫-|-|-------⌫|-⌫--⌫-----|
q ueromm ainfi rent	-⌫-|----⌫--|--⌫---|
apre sc onquistrent	----⌫|-⌫----------|
toutl emont	---|-⌫|---|
cloten reo nt	---|-|---⌫-|
toute la terr es ous soi tint	----|-|----⌫|-⌫--|--|---|
ce sarli p rousquiapres	--⌫--|-|-⌫---|--|----|
asromm ainsfubienauenu	-|----⌫---|-|---|----|
e tparproesceet paruertu	-⌫|--|------|-|--|----|
orentfineeceste g uerre	----|----|----|-⌫----|
etdesousaulsmisela	-|-----|---|---|-|
lor nesontfa itappareillier	--|--|--|--⌫-|-----------|
quil s enuoloientrepa irier	-|-||-|-------|----⌫----|
f ors l e so ntfaitesaporte r	-⌫--|-⌫-⌫|-⌫-|-----|------⌫|
et tout lorafaireatorner	-|---|--|-----|------|
de tost correpar mer	-|---|----|--|--|
s empaign ent	|-------⌫--|
bilasetsiamiremaignent	----|-|-|--|---------|
en romm aig nes on t	-|----⌫---⌫-|-⌫--⌫|
mout presde romme	---|---|-|----|
desnesissentg ra n tioieenont	--|--|-----|-⌫--⌫-⌫|---|-|--|
etcilderommeencontre u ont	-|--|-|----|-------|-⌫--|
r e cho iuent agrant uictoire	-⌫-⌫---⌫----||----|-------|
cestfaitmistrent	---|---|-------|
enlorestoire	-|--|------|
de c ecommencie ren t	-|-⌫|---------⌫---⌫|
moutfurentpu is prouet	---|-----|--⌫-|---|-|
lirommainquideceulsissirent	-|------|--|-|----|-------|
terreso usa ulsmistrent	----|--⌫-|-⌫--|-------|
a rommemain entteldeduit	|----|----⌫--|--|-----|
par la citeau oitte lbruit	--|-|---|--⌫--|--⌫|----|
grantetpet i t sesioissoient	----|-|---⌫-⌫||-----------|
et grant leescedemenoient	-|----|-----|---------|
gaiete de sa ioieestlie	-----|-|-|---|--|--|
qui lonct a n s ot	--|---|-⌫-⌫-⌫|-|
est éir ie	---⌫-|--⌫-|
moutlifu bonelanouuele	---|-|-|---|-|------|
sortoutes autreslifubele	--|-----|-----|-|-|---|
grantioie deso npere	----|---|-|--⌫|---|
deson amiet	-|--|--|-|
de son frere	-|--|----|
m aisla ioiedesona mi	-⌫--|-|---|-|--|-⌫-|
cue rtoutesbaudi	---⌫|---|------|
po r luiauoit	--⌫|--|----|
e ugra ntire	-⌫|---⌫-|--|
mout fulie q uantoi dire	---|-|--|-⌫---|-|---|
orentsainam ené	----|---|--⌫---|
et quedieusliauoit donné	-|--|----|-|----|-----|
quantlem pe rere entraenr omme	----||--⌫--⌫---|----|-|-⌫---|
laueissiés	-|--------|
ios t ermaint h omm e	---⌫-⌫-|----|-⌫---⌫|
quienchantant mainentgranti oie	--|-|-------|------|----|-⌫--|
de squ eneasissi d etro ie	--⌫--|----|---|-⌫|---⌫-|
etmenelaus	-|-------|
lotessilie e	|-|-------⌫|
neuitongent	-|--|-|---|
si forment	-|------|
com mea rommefurentle i our	---⌫-||----|-----|-|-⌫--|
p orla ge ntet porlor seignour	-⌫-|-|--⌫-|-|--|--|-------|
lirois descenten selpales	-|---|------|--⌫|-|----|
eua sel sien cardiones	---⌫|-|---|--------|
recu tlesga ns recutlespee	----⌫|--|--⌫-|----||----|
moutotgr antioie	---|-|--⌫--|---|
ca rdionesbai saauan t	--⌫------|---⌫-|----⌫|
et pui ssaf illeensousp irant	-|---⌫|-|-⌫---|-|-----⌫----|
dema ndeluisil est	----⌫--|--||-|--|
etilrespontoil	-|-|------|--|
lors a commandé	---||--------|
m outriche m ent aatorne r	-⌫--|-----⌫-⌫--||------⌫|
mai s at hi s etprocelias	---⌫|--⌫--⌫|-|--------|
et gaieten i	-|-----|||
penssent pas	-------|--|
n e card i one s	-⌫|----⌫-⌫---⌫|
enune chambre solement	-|--|------|-------|
sen alere ntt uit	|-|-----⌫-|-⌫--|
y yensamble	-⌫|-------|
ilo ecdientcequelorsamb l e	---⌫-|----|-|--|--|----⌫-⌫|
duiet duisonta ppareillié	--|-|--|---|-⌫----------|
liunsontmoutdesautreslie	-|-|---|---|--|-----|--|
maine nt lorioie	-----⌫-|--|---|
et lorleesc e	-|--|-----⌫|
etl o rdeduitet lorbaudece	-|-⌫-⌫|-----|-|--|------|
euasnasoing dep lusatendre	---|||----|-|-⌫--|------|
oru eultathis gaiet erendre	-|-⌫---|----|-----⌫|-----|
ils etquentreulsagranta mo ur	-|-⌫-|-|---|---||----|-⌫--⌫-|
or le tendroi tle n	-|-|-------⌫|--⌫|
sille sfais oi t plu s estr e	|-|--⌫|----⌫--⌫|---⌫|----⌫|
trau ausd amorsles paine	----⌫--||----|--|----|
tous sesamisman der	---|--|---|---⌫--|
achie fueult	|----⌫|----|
tr a irede cest p lait	--⌫-⌫--|-|---|-⌫---|
p ar leconseil de	-⌫-|-|------|-|
a sa f ille d onneeathis	|-|-⌫---|-⌫----|----|
espouseel arichemen t	-------|||--------⌫|
les nocesfirent haut ement	--|----|-----|----⌫----|
mainsr ichesdons iotdonné s	----|-⌫----|---||-|------⌫|
deiou gle orsfumoutloés	-|---⌫---⌫--|-|---|----|
onq ue s p lusrich es nep otestre	---⌫--⌫|-⌫--|----⌫-|-|-⌫-|----|
ioera lapal estre	---||-|---⌫----|
entre gaieteetsonseignor	----|-----|-|--|------|
erentenioi echascun ior	----|-|---⌫|------|--|
bien auoientloruo lente	---|------|--|--⌫----|
d e c eque tant ontdesir ré	-⌫|-⌫|--|---|--|-----⌫--|
cestseiour orentlonguement	---|-----|----|---------|
car mou t est oitalor talent	--|---⌫|---⌫--||--|-----|
lirommainfurent essaucié	-|------|-----|--------|
etpa rm aintregnesont	-|--⌫|-⌫---|----|---|
parcequilorent por	--|-|-|-|----|--|
bil as e tson regne	---⌫-|-⌫|--|----|
moutpare stoient g ra nslorlos	---|--|-⌫------|-⌫--⌫-|--|--|
grant piecefurenta re pos	----|----|-----||--⌫--|
aseiourfurent plusd unan	|-----|-----|---||-|-|
q u ilnor entpain e nea han	-⌫|-||--⌫--|----⌫|-|-⌫--|
u nioursa l oit	-⌫|---||-⌫-⌫--|
esb anoier	---⌫-----|
ath isliprouso	---⌫-|-|----||
samoillier	-|-------|
proceli as cardiones	-------⌫-|--------|
tui tqua t r eissirent	---⌫|---⌫-⌫-⌫|-------|
etmont eren tlicompaig non	-|----⌫----⌫|-|-------⌫--|
chascunssorunmularragon	-------|--|-|--|------|
et l ormoill i er stoutenssement	-|-⌫-|-----⌫-⌫--⌫|---|--------|
remon terent moutrichement	-----⌫-----|---|--------|
deforsromme sen uontdeduire	-----|----||-|---|------|
chascunsueultsafemme conduire	-------|----|-|----|-------|
uestuestoienta train	----|-------||----|
trestui tdepaileal exandr in	-------⌫|-|----|--⌫------⌫-|
etdui etdui	-|--|-|--|
u ont cheu auchant	-⌫--|----⌫------|
main entretena nt	---|---------⌫-|
chascund auls yy	------||---|-|
menoits amie	-----||---|
mout par auoientbeleuie	---|--|------|---|--|
ai nsneuei st es yyparaus	--⌫-|-|---⌫--⌫-|-|-----|
t antbonsamisne sifeaus	-⌫--|---|---|-|-|----|
trestu it quatre mouts	------⌫-|-----|---||
entramoient	----------|
amerueill e	|--------⌫|
sentrauenoient	|------------|
lonclaci te iouste lemur	---|-|--⌫-|-----|-|--|
cheuauchoie nt lieetseur	-----------⌫-|--|-|---|
proc el iasaloit	----⌫--⌫--|----|
il e t lasoe conseillan t	-|-⌫|-|--|----------⌫|
lipreusath is	-|----|---⌫-|
apreslui uient	----|--|----|
parl aregne ga ietet ient	--|-⌫|----|--⌫---|-⌫---|
unepieceontpar	--|----|--|--|
apres resonttuitas samble ́	----|-----|---|--⌫------⌫|
orparlerentensa mb letuit	-|--------|----⌫--⌫-|---|
de lorafai re	-|--|----⌫-|
p ardeduit	-⌫-|-----|
premierementpa r laathis	-----------|--⌫-⌫-|----|
compains fai tiluous	-------|---⌫|-|---|
maue ́sm is	|---⌫-|-⌫-|
engra nthonnouretenriche ce	-|---⌫-|------|-|-|-----⌫-|
et enualouretenhautece	-|-|-----|-|-|------|
auésdo n nee	----|--⌫-⌫--|
t ousioursplusdesir ee	-⌫--|----|---|-----⌫-|
mesl ignagesme de sh erite	--|-⌫------|-|--⌫--⌫----|
e tsitien nentmaterrequit e	-⌫|-|----⌫---|-|----|----⌫|
etie dem our	-|-|---⌫--|
i ciaromm e	-⌫-||----⌫|
bienmetiennen t a	---|-|-------⌫||
maluaisho m me	------|--⌫-⌫-|
ma i sparl afoi que ie uous d oi	--⌫-⌫|--|-⌫|--|--|-|---|-⌫-|
ne lauro ntmesen	-||----⌫-|--|-|
paissans mo i	---|---|--⌫|
oueu lscouientmorir	-|--⌫-|------|----|
ienespuismai s	-||-|---|---⌫|
s uidesherités	-⌫-|----------|
ne doiauoirmesuolentes	-|--|----|--|-------|
enautreterrequ enlamoie	-|----|----|-|-|-|---|
aut re s a or ceq ueiauoie	---⌫--⌫||-|-|-⌫-||----|
ouurermestuetparautrui mai n	-----||-----|--|-----|---⌫|
or mecouient q ue ie m e pain	-|-|------|-⌫-|-|-⌫|---|
dontiepuisse uiuree nauant	---|-|-----|----|-⌫|----|
acest mot le lais tai tant	|---|--|-|----⌫||-⌫---|
desherités setu	----------|-|-|
tupuesassesau oi rencore	-|---|----|--⌫--⌫|-----|
lensueffre bien un ansahonte	--|------|---|-|-|-|----|
a pres ti ent o nuna ut re conte	-⌫---|--⌫--|-⌫|-|-⌫--⌫-|----|
ab i enlonc	|-⌫-⌫-|---|
tan spueton u en gier	---⌫|---|-|-⌫--⌫---|
so ndomagee t s o nencombrier	--⌫|-----|-⌫|-⌫-⌫|---------|
ie ai as ses	-|-|--⌫--|
terr e ano u sdous	----⌫||--⌫-⌫|---|
nepoonsestresoufraitous	-|----|----|----------|
etpar lemondeasse s	-|--|-|----|----⌫|
teus nen a po intqui enaura	---||-||--⌫--|--|-|---|
q uiestpreudon sse ilna te rre	-⌫-|--|-------⌫|-|-|||--⌫--|
siface roi	||---|--|
d autreconquerre	|----|--------|
athisres pontuousdi t e s	----|---⌫---|---|--⌫-⌫-⌫|
maisquinepuetl es ienauoir	---|--|-|---|-⌫|-⌫--|----|
maluaisementporralautrui	-----------|----||-----|
conquerrequant	--------|----|
procelias respont pa r	--------|------|--⌫|
compainsu aietiet otroi	-------|-⌫||-|-||----|
etsim enons mout grant c ompaigne	-|-|-⌫----|---|----|-⌫-------|
dece ulsdebileetderommaigne	-|--⌫--|-|---|-|-|--------|
parl aterr e	--|-⌫|----⌫|
s offe rons p ain e	-⌫----⌫---|-⌫---⌫|
tendonsno s	------|--⌫|
tresdeuantathene	---|-----|-----|
etsen nela teuoloi trendr e	-||-|-|-|-|-----⌫|-----⌫|
sipreissons co nseil d elprendre	-|--------|--⌫----|-⌫-|------|
sempres soi t arse	------|---⌫|---|
et destruite	-|--------|
commentabatc ilq uine	------|---|-⌫-|-⌫-|-|
a this respont	-⌫---|------|
bienaue ́sdit	---|---⌫-|--|
cistplai sme torne a g rantdelit	---|----⌫|-|----||-⌫---|----|
quantilorent	----|-|----|
asses parlé	----|-----|
en r ommesontparlant entré	-|-⌫---|---|------|-----|
enlorchambresles dam es uon t	-|--|-------|--|---⌫-|---⌫|
en grantpaine liuassalsont	-|----|----|-|-----|---|
deu a nteuase n sontuen u	---⌫-⌫-|---|-⌫|---|---⌫|
cestplaitl i ontamenteu	---|----|-⌫|--|------|
euas es toitd em ou tgrants ens	---|--⌫---|-⌫|-⌫--⌫|----|-⌫--|
enfa ntfaitilde uo stretens	----⌫-|---|-|-|--⌫---|---|
uouscou endro it faireet pener	---|---⌫-----⌫-|----|-|----|
dontpeu ssiés	---|---⌫-----|
croist reetmonter	------⌫-|-|-----|
iaref urentuostreancessour	-|---⌫----|-----|--------|
tousiours e npaineeten dolour	---|----|-⌫|----|-|-|-----|
sicome i l	-|---|-⌫|
erentencestplait	----|-|---|----|
unsme ssagesdescentahai t	--|--⌫-----|------||---⌫|
quie rranmentuenoitd a tha ine	--|-⌫-------|-----||-⌫---⌫--|
sescheuausertengrant ala ine	--|------|--|-|----|---⌫--|
euassalueet sesamis	---|----|-|--|---|
et enapres de mande	-|------|--⌫----|
athi sr e spont qu ant illoi	----⌫|-⌫-⌫----|--⌫--|-||-|
messagierfre r eu oimeci	--------|---⌫-⌫|-⌫-|-|-|
si refa itil ton	--⌫-|--⌫-|-|--|
pereestmors	---|--|---|
sachesledueil	-----|-|----|
enestmo ut fors	-|--|--⌫-|---|
moutenso ntcil	---|-|--⌫-|--|
da thaineirié	|-⌫-----|----|
sonre gnet a	--|--⌫--|||
quitelaissié	----|-------|
tienscousinsletetost	----|------|-|-|---|
lidesquainsamerne	----|-|---|---|-|
tuna slapl us pr ochai npare nt	-||-⌫|-|--⌫-|--⌫-----⌫|----⌫-|
porce asaisit ontenement	--|-||----|-⌫-|-------|
richesh o nse stde f o rtlign age	-----|-⌫-⌫-|-⌫-|-|-⌫-⌫-|----⌫--|
tolt ton he ritage	---|--|--⌫-----|
etdit queia mais nel laira	-|--|--|--⌫---|-||----|
nepor nulhommenelrendra	-|--|--|----|-||-----|
porchacet oicomment tul aies	-------|-⌫-|------|-||---|
s oras amissi les	|-|-|---|-|--|
dontastu mou tfolesci ent	---|-|-|---⌫|--|----⌫--|
se ain ssi pers	-|---⌫--|---|
t o n tenement	-⌫-⌫|-------|
de lano uuelepoi se	-|-|--⌫----|---⌫-|
moutfaitgrantdu elprocelia s	---|---|----|--⌫-|--------⌫|
pasmequatrefois	----|-----|---|
sorle marbrecheito us frois	--|-|-----|---|--⌫-|----|
qu ant ilreu int se scheueusront	--⌫--|-|---⌫--|--⌫|------|---|
cil font grant dueil qu entorlui	--|---|----|----|-|----|--|
peresfa itilcourtois et s age s	----|--⌫-|-|-------|-|-⌫---⌫|
deu ostremort est	-|-⌫----|---|--|
gran sdoma ges	----⌫|----⌫--|
uou smamiés	---⌫||-----|
conuos tre fil	--|---⌫--|--|
ch assastesenessil	--⌫-------|-|----|
parlel o s	--|-|-⌫-⌫|
uospa rens	--|--⌫---|
qui au o ientlorcue rsdole n s	--|--⌫-⌫---|--|---⌫-|----⌫-⌫|
p ortantqueiauoi e	-⌫-|------||----⌫|
dema moilliermo n	-|-|-------|--⌫|
compaignon	---------|
quilfusip orli en	-|-|-|-|-⌫-|-|-|
lamorte n estoit	-|---|-⌫|-----|
aluireui ng ence st pais	|--|----⌫-|-|--⌫-|---|
