uousau és deuantbienoit	---|--⌫--|-----|---|--|
latiercepars	-|-----|---|
mais roufu preus s enes capa	---|--|-|----||-|--⌫---|
etunegranspars enentra	-|--|----|---|-|----|
de sagenten une fort	-|-|---|-|--|---|
fors de la ui lecomgentsote	---|-|-|--⌫-|--|---|---|
liquenstiebaus les i a s is t	-|----|------|--||-⌫-⌫--⌫|
maislanuitsi	---|-|---|-|
comlue uredist	--||--⌫--|---|
issirentparmilortres	-------|----|--|---|
etliquens sen e std est raués	-|-|----||-|-⌫-|-⌫---⌫-----|
quari lquida de grantpaour	---|-⌫|----|-|----|----|
quilreuissentr o ulorsignor	-|-|--------|-⌫-⌫|--|-----|
etquantrouki sen fu	-|----|--|-||-|-|
sa gentrasamblés	-|---|---------|
si fu dirue ́sete sma ris	-|-|-----⌫-|-|-⌫---⌫--|
de couquil estoitdesconfis	-|--|-|-|-----|--------|
lorss e n alat out	---||-⌫|--|-⌫--|
dest ruisant	----⌫------|
la i ssariendem orant	--⌫-⌫--|---|---⌫----|
et quantc a rleslisimplessot	-|----|-⌫-⌫---|-|------|--|
quescapé sfugrant	-|-------⌫|-|----|
pa rleconselde	--⌫|-|-----|-|
man daro uetse s	---⌫-|--⌫|-|--⌫|
compagnons	---------|
silse uoloientb atissier	|-|-|-------|-⌫-------|
que il donroitrouamoullier	--|-|------|--||-------|
gil a insafilleatotgra nttiere	---⌫-⌫-|-|----|---|---⌫-|----|
etpa ritantfinast	-|--⌫|----|-----|
la g ierre	-|-⌫----|
li dusro biers licons illa	-|--|--⌫----|-|----⌫---|
larc euesquesfrank e	|---⌫-------|-----⌫|
es to it la	--⌫--⌫-|-|
k ideruemies toituen us	-⌫|-|---||--⌫---|---⌫-|
cillialadi resa lus	--|-|--|--⌫-|--⌫--|
li donroi tnorm en die	-|------⌫|----⌫--⌫--|
et flandres a uoe c sans boidie	-|-------|-⌫---⌫|---|-----|
ensourqueto utla fill ea l	-----------⌫-|-|----⌫|-⌫|
parsi qu il	--|-|-|-|
laisas tsond esroi	------⌫|--|-⌫----|
et quila dieuuosistentendre	-|-|-||---|-----|-------|
flandresprend re	-------|-----⌫-|
pourcouquetro piotpalus	---|--|--|---⌫||-|----|
et la rceuesq ues	-||-⌫-------⌫--|
lifistplus	-|---|---|
quarb retagneli fist do n ner	---|-⌫------|-|---|--⌫-⌫--|
pour lemariag eordener	---|-|------⌫|------|
roufu baptisiéses ran ment	--|-|---------|--⌫---⌫---|
partied e sagent	-----|-⌫|-|---|
larceuesq uesle baptisa	|--------⌫--|-|------|
et li quens	-|-|----|
robiersleleua	------|-|---|
etpourrou trestot	-|---|--|------|
leclam erentasfonsrobiert	-|----⌫----|-|---|------|
sifupardoune ́sl i mesfais	-|-|--------⌫-|-⌫|------|
mari agesfais	----⌫---|---|
et l a tier eliful iuree	-|-⌫|----⌫|-|-|-⌫----|
etseurte slenfuiuree	-|------⌫||-|-|----|
et delconte robiert	-|--|----|------|
quisenescausier tenapiert	--|--------|---⌫|-|-----|
etdelco n t e alain sa ns	-|--|--⌫-⌫-⌫|----|--⌫-|
etp uisde lconte bierengi er	-|-⌫--|--⌫|----|--------⌫-|
qui pereesto it	--|---|----⌫-|
popain samie	-----||---|
ki de baioesfurauie	-|-|-----|-|----|
cist co nteor e ntbretagnequite	---|--⌫--|--⌫-⌫-|-------|----|
ten cene lui te	---⌫-|-|---⌫-|
tuit lereciu re nt	---|-|-----⌫--⌫-|
et liport ere ntgra n touno r	-|-|----⌫---⌫-|---⌫-⌫|----⌫|
maisquan tli	---|----⌫|-|
donsl en fud onnés	---||-|-|-⌫-----|
lisenesca uskifu senés	-|-------⌫-|-|-|-----|
l idist r oualés si baisiés	-⌫|---|-⌫-|----|-|-------|
sicomdroises tle roisespies	-|--|----|--⌫|-|--|--|---|
etroulid istque ianiroit	-|--|-|-⌫--|--|-||----|
neautruipiesneb ai ser oit	-|-----|---|-|-⌫--⌫---⌫--|
etfrancois disent	-|-------|-----|
tout lipl ushaut quei liot	---|-|--⌫-|---|--|-⌫||-|
que p our rec oiu re sibieldon	--|-⌫--|---⌫---⌫-|-|---|--|
etfillea roibien	-|----||--|---|
baisiersonpiequi que ilsoit	------|--|--|--|--|-|---|
celui quisibieldon d ounoit	----|--|-|---|--|-⌫-----|
dont r ouua	---|-⌫---|
rouzz ceualie r	--|-|-------⌫|
alerpourlui le piet baisier	---|---|--|-|---|------|
et liceualier s	-|-|--------⌫|
lepi et leroi p rist se l bai sa	-|--⌫-|-|--|-⌫---|-||---⌫-|
pourso nsignour kile	---|--⌫|------|-|-|
etsicom illepiet tenoit	-|-|--|-|-|---|-----|
al bais siersihau tleleua	-|----⌫---|-|---⌫|-|---|
roisatiere uiersa	---||----|-----|
pa rquoi lipaien	--⌫|---|-|----|
risentmoult	-----|----|
e t francois en	-⌫|-------|-|
gab e r en ttot	---⌫-⌫-⌫--⌫|--|
d ontpristrousafeme	-⌫--|----|--|-|---|
sisen p artial endemai n	-||-|-⌫---|||-------⌫|
aruemsenu in tnit arga plus	|---||-|-⌫--⌫|||-⌫---|---|
agran t ounourfu receus	|----⌫|-----|-|-----|
alq uint io ur furoudesa ubés	-|-⌫---|--⌫-|-|--|----⌫----|
et darceuesques etd	-||----------|-||
deue squesdedus etdecontes	-|--⌫----|-|--|-|-|-----|
etdesceual iersnifu c ontes	-|--|-----⌫---|||-|-⌫----|
pu i s dem anda roularceuesque	--⌫-⌫|---⌫---|--||---------|
etaebard eureusle	-||---||-----|-|
lesqueusglise sd elacont ree	--|----|-----⌫|-⌫|-|----⌫--|
i e rent de	-⌫-⌫---|-|
plusgrant renommee	---|----|-------|
e t l arceue squesli a dites	-⌫||------⌫----|-||----|
lesqueus sontd eplusg rantmerit es	--|----|---|-⌫|---|-⌫---|-----⌫-|
d eman daqueussains	-⌫----⌫-|----|----|
estoi ten la	-----⌫|-|-|
tiere souurains	----|--------|
larc euesques di st sainsdenis	|---⌫-------|--⌫-|----|----|
qu esains clem ens	--⌫|----|----⌫--|
lorottramis	--|-|-----|
pourcr estientet exaucier	---|--⌫--------|-------|
e tlanouuiele loi	-⌫|-|-------|--|
parfoidistroua	--|--|---|--||
ceseglises	--|------|
queu ousmauéssiauan tmises	--|-⌫--||----|-|----⌫|----|
d o nraiains qua m esceu al iers	-⌫-⌫---|---|-||-⌫-|---⌫--⌫---|
etsimont sierui uolentiers	-|-||--|-----|---------|
que iou d ausp uisseaieauo ir	--|--||--|-⌫----|--|---⌫-|
nauraiderie n	|----|-|---⌫|
le premieriorsansconuoitis e	-|------|--|---|---------⌫|
do una il alam ereglise	--⌫--|-||-|-⌫--|----|
nostredame deruemg ransrentes	-----|---|-|---|-⌫---|-----|
kifur en tbien seanset gent es	-|---⌫--⌫|---|----|-|----⌫-|
etaus e con tiour autresi	-|-|-⌫-⌫---⌫|---|------|
granttiereens i	----|----|---⌫|
etautierciou r de	-|-|----|---⌫|-|
s ontresor	-⌫-|-----|
alquartiour	-|----|---|
r icesdras encor	-⌫---|---|----|
et alquintfi st aumosnes	-|-|----|--⌫-|-------|
alsisteioursans	-|----|---|---|
plus datentes	---||------|
a gumegesetaaapie re	|------|-||-|---⌫-|
dou na grant	---⌫-|----|
cose sansp roiere	---|---|-⌫-----|
al sietme iouraaa	-|-----|---||-|
bi erneuale t	--⌫------|-⌫|
touslesafis	---|--|---|
dounaqui temen t sans fa il lan ce	----|---⌫-----⌫|---|--⌫--⌫---⌫-|
p ourcouquil	-⌫--|--|-|-|
er tdegrantuallanc e	--⌫|-|----|-------⌫|
al uitmei oursi	||----|-⌫--|-|
fistmoultbiel	---|----|---|
donqu es ostarousoncre smiel	-----⌫-|---|--|--|---⌫----|
sidouna as es compa gnons	-|----||-⌫-|-----⌫----|
tie resetfie setrice sdons	---⌫--|-|---⌫|-|----⌫|---|
eldemainsafe meesp ousa	-|-----|-|--⌫-|---⌫---|
gransnoc esf is tmoulti do una	----|---⌫-|-⌫--⌫|----||--⌫--|
yyio urslauoi tiaeue	-|--⌫--||----⌫|-|--|
auoita carsentue	----||--|-----|
lanuitigutquansenl eua	-|---||--|---||-|-⌫--|
moultforment	----|------|
del ise loa	-|-⌫|-|--|
et aprie smanda sesbarons	-|-----⌫|----|--|-----|
douna moultricesdons	----|----|----|---|
etles iugemens et leslois	-|--|-------|-|--|---|
lo urotria c on tint	--⌫-|----||-|---|
desa tierefure nt	-|-|----|----⌫-|
orent gransdonssi c omil	----|----|---|-|-⌫-|-|
qui uore nt	--|----⌫-|
iest r e c restii en	----⌫-⌫|-⌫------⌫-|
uotielsaimoultbien	--|-||--|----|---|
po ur enleurpaisraler	--⌫-|-|---|---|----|
lorfi stnesetdenie rsliurer	--|--⌫-|--|-|-----⌫-|-----|
et toutquanquemes tier lor fu	-|---|------|---⌫---|--|-|
i usque slagne	-⌫-----⌫|----|
po urfa i r e fu	--⌫-|--⌫-⌫-⌫|-|
sainte gliseamaetsostint	-----|----|--|-|------|
etmoulthaute iusticeti nt	-|----|----|------|--⌫-|
sidesfendi etloa bie n	-|-------|-|--|---⌫|
c on pour laron snegarda s trien	|-|---|-----⌫|-|-----⌫-⌫|---|
quartres toutr e ndre	---|----⌫---|-⌫-⌫---|
lorferoi t	--|-----⌫|
quantqueleresi em bleroit	-------|----||--⌫------|
puis au i ntilqu enune rue	---|--⌫-⌫-|-|-|-|--|--|
fier s desacie rue	----⌫|-|-|---⌫--|
unsuilains si uint enmai son	--|------|-|---|-|---⌫--|
maisnelenfistse g abernon	---|-||-|---|-|-⌫---|--|
safemeets esal a embler	-|---|-||-|--⌫|-----|
pourluifa ire folresanbler	---|--|--⌫--|--|--------|
etqua ntliuilainsmangié ot	-|---⌫-|-|------|------|-|
alacomainsil	--|--|---|-|
mais de sesf iers n etrouamie	---|-|--|-⌫---|-⌫|----|--|
q u emblésli au oit sanemie	-⌫|------|-|--⌫--||-----|
alho stelre uinttousi rés	||--⌫---|--⌫---|---|-⌫---|
e t d istcon	-⌫|-⌫--||-|
liauo i temblés	-|---⌫-⌫|------|
les fiersdesacierueasc ans	--|----|-|-|-----|-|-⌫--|
lorsniotfabl esnecans	---|||-|----⌫-|-|---|
safeme adituousenirés	-|---||--|---|-|----|
a lpaienrousilidirés	-⌫|----|--|-|-|-----|
male urousfosestor dis	----⌫----|--|-----⌫--|
on quesnecreistesmes dis	--⌫---|-|-------|--|--|
aléss orés qu il uos	----||----|-|-|--|
etliuil ains l u es	-|-|---⌫---|-⌫-⌫-|
c onta lietr ouli fi st	-⌫---|-|-|-⌫-|-|--⌫-|
autantconenpres istalue ndre	-----||-|-|----⌫--|-|--⌫---|
p uis fistrou	-⌫--|---|--|
porterl eiuise	-----|-⌫|----|
atoussesuois ins par deuis e	|---|--|----⌫--|--|-----⌫|
mais sauuéfu rentc om droisfu	---|-----|--⌫---|-⌫-|----|-|
d eiuisedaigu eetdef u	-⌫|----||----⌫|-|-|-⌫|
dontpri st	---|---⌫-|
ro u laf emealui lain	--⌫|-|-⌫--|-|--⌫---|
kimoultes toi t deputemain	-|----|--⌫---⌫|-|---|---|
silefist metreen teldestr oit	-|-|---|----|-|--|-----⌫--|
queleg ehitrestoutadroit	-|--|-⌫--|-------||----|
queles fiersson ba ronembla	--|--|----|--|--⌫--|----|
pour couquefosli	---|--|--|--|-|
resam b la	-----⌫-⌫-|
lorsdemandaroule u ilain	---|------|--|-|-⌫----|
sauoitdete lp e l a in	-----|-|--⌫|-⌫-⌫-⌫-⌫-|
sa feme e t qu ele	-|---|-⌫|-|--|
fu larnese	-|------|
nesimaleoitebarnesse	-|-|-------|-------|
liuila insrespondu	-|----⌫--|-------|
ettuseraspe ndu sdistil	-|-|----|--⌫---⌫|---|-|
par yyiugemensauoec	--|-|-------|----|
pouritant quiltabieli	---|----|-|-||-----|
a iestre oli s anscastoier	|-----||-|-⌫--|-------|
e t dela utrepo ur	-⌫|-||-⌫---|--⌫-|
quetu sonfait li co nsent o ies	--|-|--|---|-|--⌫-----⌫-⌫--|
e t auoecli manansestoies	-⌫|----|-|-----|------|
ensifurentandoi pendu	---|-----|----|----|
estred es fen du	----|-⌫--⌫---⌫-|
etpar lepaisenuiron	-|--|-|---|------|
furentcastoiét li laron	-----|--------|-|----|
unefoisala roukaci e r	--|---|--|--|----⌫-⌫|
pour esb anoier	---|---⌫-----|
sitrouuazzaig uedormant	-|-----|-|---⌫-|------|
queon ualama re clamant	--|-|-|-|--⌫-|------|
lasistl idusrou aldisn er	-|---|-⌫|--|--|-|----⌫-|
etfi stsourzzarbregiete r	-|--⌫-|---|-|----|-----⌫|
noscesd orani ause t afices	-----||-|---⌫--|-⌫|-----|
et iuiausautresbiauserices	-|-----|-----|----||----|
yyanslesilaisar oupendre	-|--|--||----|-⌫-|-----|
conquesleres n e sosapren dre	|-----|----||-⌫|--|----⌫--|
parcelfa it	--|--|--⌫-|
etpar cel tresor	-|--|--|-----|
an onliliusrouma re	|-⌫-|-|---|-----⌫-|
etsac iésquengrantetenp ou	-|---⌫---|-|-|----|-|-|-⌫-|
buens iusticiererou	----|---------|--|
cisroufuquequenusm en die	--|--|-|-----|--||-|--|
l i prem iersdusde norm e ndie	-⌫|----⌫---|--|-|----⌫-⌫---|
caretn ormendie etbretag ne	--|-|-⌫-------|-|------⌫-|
ango poitosetaquitagne	---|-----|-|--------|
iere nt adontleroide fr ance	----⌫-|----|-|--|-|--⌫---|
ligement commet ierefrance	-------|----|-⌫---|-----|
mais ap riesrou l ore nt si oi r	---|--⌫---|--||---⌫-|-|--⌫|
cenosfaitl	-|--|---||
estoresauoir	-----|-----|
encor enf ont cilles omag es	----|-|-⌫--|--|--|----⌫-|
q u idela tiereont sign ou rages	-⌫-⌫|-|-|----|--|----⌫--⌫----|
a sro is defranceet a lor	-⌫|--⌫-|-|-----|-||--|
e tde castiau setdemanoirs	-⌫|-|-------⌫|-|-|------|
etsi doiuentsierui r enost	-|-|------|------⌫|-|--|
leroidefrancea lbesoing	-|--|-|-----|-⌫|------|
isifistroutantco m uesqui	--|---|--|---|--⌫|-----|
etm a int fort est o ur iuenqui	-|-⌫-⌫--|---|---⌫-⌫-||-----|
pui sauint q ueci ssinplesrois	---⌫|----|-⌫-|--⌫|------|---|
carlesenuoia yy francois	-----|-----|-|-------|
c eualier sparlera safille	-⌫-------⌫|-----||-|----|
etele lescela	-|--|--|---|
ensaca mbren e saipour qoi	-|-|--⌫---|-⌫|--|---|--|
ior si fu rentqo i	---⌫||--⌫---|--⌫|
mais unsuallesqui l e s i	---|--|-----|--|-⌫-⌫||
ledistarou anc oiskil	-|---||--|---⌫--||-|
fist prendree t ocire	---|------|-⌫|----|
co nques nus	|-⌫----|--|
nel i potadire	-|-⌫|--||---|
parquoicarles ledesfia	--|---|-----|-|-----|
guerroiierlafia	---------||---|
maisrobierssenescaus de fra nce	---|------|--------|-|---⌫--|
ki sesparins ert	-|--|-----|--|
sansdota nce	---|----⌫--|
luesqueilseutla uer ite	---|--|-|---|-|---⌫--|
queliroiot	--|-|--|-|
rou desfié	--|------|
t out es rant	-⌫--|--⌫---|
l e roi desfi a	-⌫|--|-----⌫|
etr ousonf illuelafia	-|-⌫-|--|-⌫-----|---|
aideroituiersler oi	-------|----|-|-⌫-|
kico mmenc i e ́t o tle desroi	-|--⌫-----⌫-⌫-⌫-|-⌫|-|-----|
luesotci lrobiers	---|-|--⌫|------|
tant degent	---|-|---|
oretp arson argent	-|-|-⌫-|--|-----|
qu ilsefistaroi coronner	-|-|-|---||--|-------|
ayylepuisconter	|-|-|---|-----|
maism oult petit een fu saioie	---|-⌫---|-----⌫|-|-|-|---|
sicom lesto re	-|--||----⌫-|
nousra uoie	---|--⌫---|
parlesesc ris de aa denis	--|--|---⌫--|-|-|----|
quarl anmeismesfu ocis	---||-|------|-|---|
de la gentle roi en batail le	-|-|---|-|--|-|------⌫-|
kifu faitea sessonssans	-|-|----||------|---|
carlessenrepai ra	-----||-|-----⌫-|
dela batai llekifu	-|-|-----⌫--|-|-|
l iquens herbiersde	-⌫|----|-------|-|
ui erm endois	--⌫---⌫-----|
quimou l tfuc rueusetredois	--|---⌫-⌫|-|-⌫----|-|-----|
lepristet misten	-|----|-|---|-|
kili tournaamesproiso n	-|-|-----||---------⌫|
robiers dangoki fuocis	------||---|-|-|---|
a sissons donto rainsuousdis	|------|---|-⌫----|---|--|
si comle storelem	-|--||-⌫----|-||
ot afeme l a	-||---|-⌫|
fi llealconte	--⌫--|-|----|
de uierme n dois sen ot zz fil	-|------⌫-⌫---||-|-|-|--|
hu eligrans otanoncil	--⌫|-|----|-||--|--|
sifufaisse nescausdefrance	-|-|---|--⌫------|-|-----|
aprie ssonperesans douta nc e	-----⌫|--|---|---|-----⌫--⌫|
m a isendementr esque cisr ois	-⌫-⌫-|---------⌫----|--|-⌫--|
iertencor enla	---|----|-|-|
prisonqois	-----|---|
force alconteherb iert	----|-|----|----⌫---|
e tde ses parens	-⌫|-|--|-----|
ena p i ert	-|-⌫-⌫-⌫--|
et dehuonle	-|-|---|-|
grant ausi	----|---|
s entraseureren ten si	|-------------⌫|--⌫-|
q u ent r aus fisentroisansbesougne	-⌫|---⌫|--|-----|--|---|-------|
ra ou l filleducdebourgogne	--⌫--⌫|--|-|--|-|--------|
r icartki l ot de	-⌫----|-||-|-|
fons leué	---|----|
cel uionttou te	-|-⌫-|--|---⌫-|
pui slon tenuoiiétasess ons	---⌫||--⌫|--------||----⌫--|
lalifisent	-|-|-----|
porter couronne	-----|-------|
maisencoreestoit api eron ne	---|-----|-----||--⌫----⌫-|
carlesli si mplese n	-----|-|--⌫----|-⌫|
n iestr e n e	|-----⌫|-⌫|
pot araencon	--||------|
etquantil sotlauerite	-|----|-|--|-|-----|
quetuit lorentsi	--|---||----|-|
quau tre roiorentfait	-|--⌫--|--|----|---|
sienfuside duel	-|-|-|-|-|---|
kil morudedens	|-|---|-----|
l etierciou r	-⌫|----|---⌫|
eno t plusde	-|-⌫|---|-|
apentecouste eltansdeste	|----------|-|---||---|
yyan so troisesté	-|--⌫|-⌫|---|----|
aaadeni se f uport és	|-|----⌫-|-⌫|----⌫--|
etlafusescorse ntierés	-|-|-|--|---|-⌫-------|
la ro ineogiu e sa	-|--⌫--|----⌫|-|
ki d autresiertsafirsetgemme	-||-----|---|-----|-|----|
prist son fil loey s	----|--|--|----⌫|
sisen alafors	-||-|--|---|
a sonpere le roiantiau me	|--|---|-|--|------⌫-|
engle tiereetduri aume	-----⌫----|-|----⌫---|
pour cr iemed elcon te hierbiert	---|--⌫---|-⌫-|---⌫-|--------|
quele sotfelon etc uuiert	-|--|--|----|-|-⌫-----|
etpourhuon legrant ausi	-|---|---|-|----|---|
qu elesotf e lo nethardi	-|--|--|-⌫-⌫--⌫|-|----|
et si iert sene sc au sd e franc e	-|-|---|----⌫--⌫--⌫|-⌫|-----⌫|
ensila roineenso ufrance	---|-|----|-|--⌫------|
f uen engletie re od sonpere	-⌫|-|--------⌫-|-|--|---|
pourcouquesai eli	---|--|--||--⌫|-|
donquesaprie s ice m oult pou	------|-----⌫|--|-⌫---|--|
morugillel afeme rou	---|----|-⌫|---|--|
etilpristpopaina moullier	-|-|----|-----||-------|
fil lelecontebieren gier	---⌫-|-|----|------⌫---|
quilauoit ameeett enu e	-|-|----|---|-|-⌫---⌫|
quarillo tde gaaingeue	---|-||-⌫|-|-----|--|
maint conte iot	----|----||-|
pr inci er	--⌫----⌫-|
ce lelama m oulte t tintci er	--⌫-||--|-⌫---|-⌫|---|--⌫-|
sen o tzz f ilde	|-|-⌫|-|-⌫-|-|
grantrenon	----|----|
guillaumes lo n geespeeot	---------|--⌫-⌫-|----|-|
rou fi stsa	--|--⌫-|-|
gen tiurer de	---⌫|----|-|
quede celuiferoient oir	--|-|----|-------|--|
apr ies sa mort etilsi f isent	---⌫--|-|---|-|-|-|-⌫----|
maisteus i	---|---||
otquelc ont redisen t	-|--||-⌫---⌫-------⌫|
qu arcascuns moult dolans	--⌫-|------|----|-----|
que deg il lainnuloir	--|-|-⌫--⌫---|--|--|
fil lecarlonqu il	---⌫-|-----|-|-|
ful aplainteseue	-|-⌫|------|---|
q u antr oufu	-⌫-⌫--|-⌫-|-|
mor ssilentiererent	---⌫|-||----------|
doli menerent	--||-------|
fais fud usguillaumesse sfius	---|-|-⌫-|---------|--⌫|---|
qui moultie rtual lan set	--|----|--⌫-|---⌫---⌫|-|
bienresanblasonpere rou	---|-------|--|---|--|
maisapries ciltierm inezzpou	---|-----|--|-----⌫--|-|--|
quensbier engiersetqu ensalai ns	----|----⌫------|-|--⌫--|----⌫-|
ki bret a gnet enoientains	-|----⌫-⌫--|-⌫------|---|
tou te ncontre le u rsairement	---⌫|-⌫------|--⌫-⌫|--------|
lifisent guerr edurement	-|-----|-----⌫|-------|
maisbierengiersuinta mierci	---|----------|---||-----|
etalainskilote stourmi	-|-----|-||-|-⌫------|
en e ngl etieresenala	-|-⌫---⌫-----||-|--|
al roiantiaume et	-|--|-------|-|
aprie s rihous siredelmans	-----⌫|-----|---|--|---|
quistcheualiersetquist	----|---------|-|----|
etcometraitresmauuais	-|---|-------|------|
deu iersaa gieruais	---⌫---|-|-------|
tant q uelidusk in enpot	----⌫-⌫-|-|--|-⌫||-|--|
liu o t doun erpar	-|-⌫-⌫|----⌫-|--|
boine pai s	----|---⌫|
to ute latieredelarill e	--⌫--|-|----|-|-|----⌫|
etrihousenredist	-|-----|-|-----|
mai slidus	---⌫|-|--|
q uimoultestoit t art	-⌫-|----|-----|-⌫--|
parl elosdel co nt e biernart	--|-⌫|--|--|--⌫--⌫|-------|
s enissiforssileuenqui	|-|---|---|-|-|-----|
e t touslesenk ac adenk i	-⌫|---|--|---⌫--⌫||---⌫|
p ri se tm orseni	-⌫--⌫|-⌫|-⌫--|-||
tantque cascunsenfulasés	------|------|-|-|-----|
ri h ous senescapafui an t	--⌫-⌫--||-|-----|---⌫--⌫|
enco r apielen t li a uquant	----⌫|-------⌫|-|-⌫-----|
celliulecamp de	--|--|-|---|-|
lab atalle	-|-⌫-----|
et li d us guillaumesansfaille	-|-|-⌫-|--------|---|-----|
quiauoita n onlonge	--|----||-⌫-|----|
d e liuratoutelacontre e	-⌫-⌫----|----|-|------⌫|
u int unenouiel e	-⌫--|--|------⌫|
quim oultli fuplaisans	--|-⌫---|-|-|-------|
quedunemes cineotz zf il	--||--|---⌫---|-|-⌫|-⌫-|
cyproetecedientcil	-------|-|----|--|
damoisieleanon	---------||--|
etfil leestoitdun	-|---⌫-|-----||-|
ha ut baron	--⌫-|----|
etlifius ot a	-|-|---|-||
non ricars	--|-----|
li quenshierbierski	-|----|--------|-|
fu g agna rs	-|-⌫----⌫-|
etorgillouse t	-|--------|-⌫|
b eub ancier s	-⌫---⌫------⌫|
l igranski fufiers	-⌫|----|-|-|----|
c o nteguillaumed epoitou	-⌫-⌫--|--------|-⌫|-----|
li meneren taprieszz pou	-|-------⌫|-----|-|--|
gerlocs aserourlido una	-----|-⌫|-----|-|--⌫--|
et lafillehierbiert pri s ea	-|-|----|--------|---⌫-⌫||
liquens guillaumes	-|----|---------|
trestoutpar leur atireme nt	-------|--|---|-------⌫-|
li dusguilla ume s longe	-|--|------⌫---⌫|----|
ot e nsig erlocespousee	-|-⌫--|-⌫----|-------|
etbiensottie re	-|---|--|---⌫-|
iusti cier	-----⌫---|
pour rouso npereki lot cier	---|--|--⌫|---|-||-|---|
al tansq ue	-|---|-⌫-|
rouuiuo it cildus	--|----⌫-|--|--|
oma ruem uen us	-||---|---⌫-|
s o rzzblancceualq u i l amainne	-⌫-⌫|-|----|----|-⌫|-⌫|------|
parent reyy ondesdesainne	--|---⌫-|-|----|-|-----|
ausicompartierefesist	---|--|--|----|-----|
so n ostelpr ist	--⌫|----|--⌫--|
am ieruellesfuesg ardés	|-⌫--------|-|---⌫-----|
etde plusiours	-|-|--------|
fusalue ́ s	-|-----⌫-⌫|
par zz diemence	--|-|-------|
nequidiédpas	-|-------|--|
q ueieuous mence	-⌫-|-|---|----|
quar moultdegentalui	---|----|-|---||--|
parl ere nt	----⌫---⌫-|
desoniestre li	-|--|-----|-|
demanderent	----------|
et i l nelor di stp assonnon	-|-⌫|-|--|--⌫-|-⌫-|--|--|
a ncois aditiousuiunsom	-⌫----||--|--|--|--|-|
etsaciésquimainpa rensag ne	-|------|--|---|--⌫|-----⌫-|
partideriesnes	----|-|------|
en br etagne	-|--⌫-----|
aurenc e medis nai	------⌫|-|---⌫--|
coutieloubliai	------|------|
ets edecoune me cree ́s	-|-⌫|-|--|-|-|----⌫-|
enuoiiési	--------||
si lesaure ́s	-|-|-----⌫-|
cilpr e udo mfuasonostel	--|--⌫-⌫---⌫|-||--|----|
sileuraditet	-|---||--|-|
lidu srouadonquesuiuoit	-|--⌫|--|-------|-----|
commep reudomquim oultsauoit	----|-⌫-----|--|-⌫---|-----|
et quantte l cosedire oi	-|----|--⌫|---|---|-|
mieruillas ent e tesgo i	--------||--|-⌫|----⌫|
etpa rso nmesli	-|--⌫|--⌫|--|-|
etcomme signourcommandé	-|----|------|--------|
quelendemaina	--||-------||
luiparlast	--|------|
ancoisqueforsd e ruemalast	--------|---|-⌫|---|----|
ci lli mandaquiliparroit	--⌫|-|----|-|-||------|
m ou ltuolen tiers	-⌫--⌫-|-----⌫----|
quantlui plaisoit	----|--|-------|
mai s lau es pre edeparde	---⌫|-|-⌫--⌫---⌫|-|--|-|
li otsesostes dem andé	-|-|--|----|---⌫----|
qui l lidesist	-|-⌫|-|-----|
seilsauoit	-|-|-----|
s ela lignier oudur roit	-⌫|-|-----|-⌫-|---⌫---|
auques longe me ntetc ombien	-----|-----⌫--⌫-|-|-⌫-----|
e tcilnel irespondirien	-⌫|--|-|-⌫|-------|---|
en sa m aintint	-|-|-⌫--|---|
zzbastonciel	-|---------|
deuantluizzmonciel	-----|--|-|------|
de c endresen	-|-⌫-----|-|
lai stredelfeu	|--⌫---|--|--|
e sparsesl esae ncel leu	-⌫------|-⌫-||-⌫|--|--|
y y roi es ifistd un	-⌫|---⌫-||---||-|
qu il n iaditne	-|-||||--|-|
et sides fitlesroieslue s	-|-|---⌫--|--|----|---⌫|
qu arde plusn e	--⌫-|-|---|-⌫|
liestoit wes	-|-----|--|
quecoufuen senefia nce	--|--|-|-|-------⌫--|
quedonquesiroita faillance	--|------|----||--------|
lalignierouensi fu	-|-----|--|---|-|
etlipr eu d omot despondu	-|-|--⌫--⌫-⌫-|-|-------|
couciétse	-------|-|
li preu do mdormie nsonli t	-|----⌫--⌫|----|-⌫|--|--⌫|
et bienpar matin seleua	-|---|--|----|-|---|
si tostcoml e io u r ueua	-|---|--|-⌫|--⌫-⌫|--||
maislidu sne fupasl eués	---|-|--⌫|-|-|--|-⌫----|
pour tantsini e st pa s a lés	---|---|-|||-⌫-|--⌫|-⌫---|
qua rilliauoitencouuent	---⌫|-|-|----|-|------|
qualiouriparroituoi rement	-|-|---||------|---⌫-----|
en sip asau ducne pa rl a	--⌫-|-⌫-|-|--|-|--⌫--⌫|
sonceualpristsis	--|----|----|-||
tout ensiquilestoi tuen us	---|---|-|-|-----⌫|---⌫-|
ets ifudepl usiours	-|-⌫|-|-|--⌫------|
parquoi liduspoint	--|---|-|--|----|
auo it menti	---⌫-|----|
quant aléssenfu si diston	----|----||-|-|-|---|-|
pourle d emandeet pourra isson	---|-|-⌫-----|-|---|--⌫----|
queiusque sen yyoirsdu rroit	--|------⌫|-|-|---|--⌫----|
laroulig ni e e t dontfauroit	-|--|---⌫--⌫|-⌫|---|------|
pourle syyroies delba ston	---|--⌫|-|----|--|--⌫---|
q u es cendreso tfaitli	-⌫|-|------|-⌫|---|-|
etles yyoirsuous	-|--|-|---|---|
no ume rai	--⌫---⌫--|
