qui peti tpetitkeut	--|----⌫|----|---|
donlenpeustun den i er p rendre	--|--|----|-|---⌫-⌫-|-⌫-----|
eiss it roualecha stel gaste	----⌫|-⌫---|-|---⌫---|----|
qu ilni aueit	-|-|||----|
ne painnepaste	-|---|-|----|
ne uin necid re	-|--|-|---⌫-|
nec erueise	-|-⌫------|
uersunpaleiscouertd ateise	---|-|-----|-----||-----|
lenontliyy seria ntm ené	|-|--|-|-|-----⌫-|-⌫---|
et descendu et desar m é	-|-------|-|-----⌫-⌫-|
et tantos tun	-|------⌫|-|
uaslet auale	-----|----|
parmielesdegre z del a	-----|--|-----⌫|-|-⌫|
qui aportaunmant elgris	--|-----|-|----⌫-|---|
auco l au cheualierla mis	-|--⌫|-|--------|||--|
etun altreae stablé	-|-|----||-⌫------|
son cheuallaouil notble	--|-----|-|-|-||-|--|
nefainnefoere sepoi	-|---|-|----|-|--|
cariln es teit	--|-||--⌫---|
enla mais on	-|-|----⌫-|
liautredeuantel s lefont	-|----|-----|--⌫|-|---|
monter parlesdegr ez	-----|--|--|----⌫-|
e nl asale quimoutfubele	-⌫|-⌫|---|--|---|-|---|
duiprodom e	--|------⌫|
etunepucele	-|--|-----|
lisont a l en c on treuenuz	-|---|||--⌫-⌫--⌫--|----|
lip rodome esteient	-|-⌫-----|-------|
nen passi que	--|--|-|--|
tuitfussentblanc	---|------|----|
delbela ageotot lesanc	--|--|-⌫--||--|-|---|
e to totelor forcefus sent	-⌫||---|--|----|---⌫---|
etpesanceneussent	-|------||------|
l adamoi sele fumo utcoi nte	-⌫|-----⌫---|-|--⌫-|---⌫--|
plusac esmeeetplu s	---|--⌫----|-|---⌫|
q ueespreu ier ne	-⌫-|------⌫--|-|
paep eg a uz	----⌫--⌫-⌫-|
s imant elfuet	-⌫|----⌫-|-|-|
porpr e neireest elee	-----⌫|----|---⌫---|
etsinefumie	-|-|-|-|--|
quid erminef u	--||-----|-⌫|
dun sabelinneir etchanu	|-|------|---|-|----|
qui nes teittroploncnetrop	--||--⌫---|---|---|-|---|
f ul imantelalcolorlez	-⌫|-⌫|-----|-|--|----|
e tseieonques	-⌫|-|-|-----|
fis de uise	--|--⌫---|
debelt eque deuseustmise	-|----⌫|--|---|---|---|
de feme neen f ace	-|---|-|-|-⌫--|
ormerepl estqueune	-|-|----⌫--|--|--|
etienenmentira idemot	-|-||-|-------⌫|-|--|
desliefu et siot	-----|-|-|-|-|
lescheuels siestre poist	--|------|-|----|----|
qu ebie nqu idastquiles	--⌫|---⌫|--⌫----|--|--|
queilfus senttuit defino r	--|-|---⌫---|---|-|--|-⌫|
t an licheuelsor	-⌫-|-|-----|--|
lefrontot blanc	-|----|-|----|
soe fet plein	---⌫|-|----|
comseilf u s t	--|-|-|-⌫-⌫-⌫|
amaindo meeuré	|---||-⌫-|----|
de cirreou de pire	-|----|-|-|---|
etlarge entroi l	-|----|------⌫|
t estef uren tli	-⌫---|-⌫----⌫|-|
etcler etrian t	-|---|-|----⌫|
leneso t dre itetloncet grant	-|--|-⌫|---⌫-|-|---|-|----|
etmouta uenei ten son	-|---|-⌫-----⌫|-|--|
leblancole	-|----||-|
rogeademis	---|-----|
comesinople o argent	---|------||-----|
corsotbienfaitet	---|-|---|---|-|
bel etgen t	--|-|---⌫|
dexqui l au oitfaiteamerueille	--|--||--⌫--|----||--------|
onquespuisnefis tsa pareille	-----|---|-|---⌫|-|-------|
ne deuantfa ite	-|-----|--⌫--|
quantlicheualie r	----|-|--------⌫|
silasalu eet ele l ui	-|-|----⌫|-|--|-⌫-|
etlicheualieram e dui	-|-|--------|--⌫-⌫--|
etladameise leleprent	-|-|-------⌫-|-|----|
parla main	--|-|---|
etdist biau sire cesto stel	-|---|---|---|---|-⌫---|
certes n i ertpasenquenuittel	-----||-⌫--|--|--------|--|
com meaprodomecouendreit	---⌫-||------|---------|
sei ou osdisoieorendreit	-|-⌫|-⌫-|-----|--------|
tosn os trecouiengeetn o streestre	--|-⌫--⌫--|-------|-|-⌫-⌫---|----|
uosqui d eriez	--|---⌫-⌫----|
p uetceestre	-⌫--|-|----|
quedemaluaistie le	--|-|---------|-|
porcequaleruosa n	--|-|-|---|--|-⌫|
maissil uos pletoren	---||-|--|---|-|-|
lostelt elcom ilestper n ez	|----|-⌫-|--|-|--|---⌫-⌫-|
etdex uo sdoin s tmeillor	-|--|--⌫|----⌫-⌫|------|
eiss i le m enapar l a	----⌫|-|-⌫--|--|-⌫|
iusqu aunechambrecelee	----||--|------|----|
etleeesteitetlonge	-|--|-----|-|----|
so r unecote	--⌫|--|---|
qui ert estendueen unlit	--|--|-------|-|-|--|
se sontanduilaienz a sis	-|---|----|-----|-⌫--|
cheual iersuindrentyye t yy	------⌫---|-------|-|-⌫|-|
laienz uindrentet	-----|-------|-|
s isasis trent	-⌫||----⌫----|
deuantleda meet motne	-----|-|--⌫-|-|--|-|
par ler set enoit	---⌫--|-|-⌫----|
qui dunchasti	--||-|-----|
li s ouenoit	-|-⌫------|
quelipro dom liaueit fait	--|-|---⌫--|-|----|---|
sien teneient	-|-|-------|
un telpl a it	-|--|--⌫-⌫-|
tuitl icheu alie raconseil	---|-⌫|----⌫----⌫||------|
dexdi s t cha scun	--|--⌫-⌫|---⌫---|
moutm erueil	---|-⌫-----|
s e muz e st eitcistda meisels	-⌫|--|-⌫--⌫--|---|--⌫------|
grant doelsereitquermoutestbiaus	----|---|-----|---|---|--|----|
on c nenaquiplusb elde	--⌫|-|----|---|-⌫-|-|
mout au ient biendel ezmadame	---|--⌫---|---|---⌫-|-|---|
et mad ame	-|-|-⌫--|
ausi delezlui	---|----|--|
s il nefusent	|-|-|-----|
m uezandui	-⌫--|----|
tant pares t	---|--|--⌫|
bi aus etce s tebe le	--⌫--|-|--⌫-⌫-|--⌫-|
co nquescheu alier nepuce le	|-⌫----|----⌫----|-|----⌫-|
nen uindrent	|-|-------|
a u si b ienensembl e	-⌫-⌫-|-⌫--|-------⌫|
unet delaut re senble	-|-|-||---⌫-|-----|
quede xporlun	--|--⌫|--||-|
lautre feist	|----|----|
por ce quensenble le smeist	--|-|-|-------|--⌫|----|
trest uitgrant par oleenfaiseient	-----⌫--|----|---⌫--|-|--------|
etladame iseleatendeit	-|-|----⌫----|-------|
quel aparl atd e que quesoit	-|-|-----⌫-|-⌫|---⌫--|---|
etladameiseleatendoi t	-|-|--------|-------⌫|
tantquel euitt re s bienetsot	-----|--⌫|--|-⌫--⌫|---|-|--|
quecilnel idire tiames	--|--|-|-⌫|----⌫|----|
selnela rai soneaua nt	|-|-||-⌫---⌫---|---⌫-|
etdis tmoutdebonairement	-|---⌫|---|------------|
sire donuenis t e s	---|--|-----⌫-⌫-⌫|
damaisele distil ie gui	--------|---|-|-|--|
chiez un prodo me	----|-|-----⌫-|
de lc hastel	--⌫|-⌫-----|
oui oiostel etb on	-||-|----|-|-⌫-|
corsfort e teslites	---|---|-⌫|------|
une grantet	--|----|-|
yy petites	-|------|
nese tote loureas omer	-|-|---||---|--⌫---|
nelechastelne	-|-|------|-|
mais ie sai bienque li prodo m	---|-|--|---|--|-|-----⌫|
gornemanz degoort	--------|-|----|
ha belsirefaitla pucele	-|--|---|---|-|-----|
moutestuostre parole bele	---|--|-----|-----|---|
etm ou t aue zdit que corteis	-|-⌫--⌫|---⌫|--|--|------|
grezu osensaced eu	---|-⌫-|-|---|-⌫-|
quant uosprodomelapelastes	----|--|------||--------|
un quesplusueir neparlastes	--⌫---|---|---|-|--------|
pu issantesti lassezet rices	--⌫-----|--|-⌫|----|-|----|
maiscaienzn	---|-----||
en aqueyy miches	-||--|-|-----|
quiest priors	--|--|-----|
moutsaintho me	---|----|--⌫-|
etrelegios	-|-------|
m enueiaporso per	|-----|--|--⌫--|
et un bocel plei n deu incuit	-|-|----|----⌫|-|-⌫-|---|
deuita illenaplus	-|----⌫---|||---|
cosace deu	-|---|--|
p u isa nt	-⌫-⌫---⌫-|
forsuncha urelqunsmiens seriant	---|-|---⌫---||--|----|------|
dameise lmou tangoisos	-------⌫|---⌫|-------|
ocis t huio unesaete	----⌫|--||--|----|
ata n t c ommandeq u e le nmete	---⌫-⌫|-⌫------|-⌫-⌫|--⌫|---|
l es tab leselessuntmises	-⌫-|---⌫--|---|---|----|
etlesgenzau soperasises	-|--|---|-|----|-----|
alma ing ierontmout petitsis	-|--⌫---⌫--|--|---|----|--|
ma isparm outgranttalentlontpr is	--⌫-|--|-⌫--|----|-----||--|--⌫-|
apres mai ngiersedep artirent	----|---⌫----|-|---⌫-------|
c il remestrent	-⌫-|---------|
dor mi ren t	---⌫--⌫---⌫|
quil autre	--||----|
nui t u e ill ié aueient	---⌫|-⌫-⌫---⌫--|------|
enissirentqui deue ient	-|-------|--|----⌫---|
lanuitporlechaste l u eil lier	-|---|--|-|------⌫|-⌫---⌫---|
seriant furentet cheu alier	------|-----|-|----⌫----|
quitotecel enuit	--|---|---⌫|---|
ueil lierent	----⌫------|
etli autre setraueillierent	-|-|----|-|-------------|
de lo rost emout aaisi er	-|--⌫|---⌫|---||----⌫-|
bon sdra se t couertor sotchi er	---⌫|---⌫|-⌫|--------⌫|-|---⌫-|
un oroi llier al chiefli mist	-|----⌫----|-|----|-|---|
cilqui decociers	--|--|-|-----||
entre mis t	-----⌫---⌫|
tr estotleseet tot de lit	--⌫----||--|-|--|--⌫--|
qu en sacedeuisere nlit	-|-|---|------|-⌫|--|
ot lecheual iercelenuit	-|-|------⌫--|---|---|
forsquesolementle	------|-------|-|
dep uceleseluipleust	-|-⌫----|-|--|-----|
oude ma dame	-|-|-|---|
seil peust	-|-|----|
maisilne s aueitencorrien	---|-|-|-⌫----|----|---|
n eni ne po nebien	-⌫|||-|-|-|---|
si sendormi au quespartens	-||------|--⌫---|--|---|
esteitderien en porpe ns	-----|-|---|-|-----⌫-|
maissostese pasnerepose	---||-----|--|-|-----|
quiensa cha mbreeste it	--|-|-|---⌫---|----⌫-|
cildort ad e set cel ep e n s e	--|---|--⌫-⌫|-|---⌫|-⌫-⌫-⌫-⌫|
que en lui	--|-|--|
na nulede sfen se	||---|--⌫----⌫-|
d un ebatailleest en asalt	|--⌫|-------|--|-|----|
moutsetorneie etmou tt ressalt	---|-|------|-|---⌫|-⌫------|
m out sedegete	-⌫--|-|-----|
unmant el cortdesoi e	-|----⌫-|---|-|---⌫|
aafublésorsach emise	|------|--|-|--⌫----|
au enture mise	--⌫-----|---|
c omehard ie et c o raig osse	-⌫--|----⌫-|-|-⌫-⌫----⌫---|
nest pastot p aroissose	|--|--|--|-⌫-|------|
ai nz se pensa	--⌫-|-|----|
ostesilidira	---|-|-|---|
desonafereunepa rtie	-|--|----|--|--⌫---|
lorssestdesonlie t	---||--|-|--|---⌫|
eteissue forsdela chambre	-|-----|---|-|-|------|
telpoora que totl imembre	--|---||--|--|-⌫|-----|
litr emblent et lacharl isue	-|--⌫------|-|-|---|-⌫|--|
p l ora ntestde la chambre iss ue	-⌫-⌫---⌫-|--|-|-|------|---⌫-|
etuient al	-|----|-|
etplore e t	-|----|-⌫|
so spir emoutfort	--⌫----⌫|---|---|
sag eneille	|--⌫------|
etploresi que	-|----|-|--|
ellimei lle	-|-|---⌫--|
lermes totelaface	-----|---|-|---|
nahardem ent queplu sen	||------⌫--|--|---⌫|-|
tantap lor équecilsesueille	---||-⌫---⌫-|--|--||-------|
sis esbahistm outet	-||-------|-⌫--|-|
meru eille	----⌫----|
desafacequilsent	-|-|---|-|-|---|
m oi ll ie	-⌫--⌫--⌫-|
etuitceleagenoillie	-|--|---|---------|
deuant son lit queleteno i t	-----|--|--|-|--|----⌫-⌫|
par lecolenbraciée stroit	--|-|--|--------|-⌫-----|
corteisiefist	--------|---|
sesbrazlepreis t	--|---|-|-----⌫|
maintenantu erslila tra ist	---------|-⌫--|-|-|---⌫--|
si lidi stbe le	-|-|--⌫-|--⌫-|
que uosplest	--|--|----|
porq uei estesuenueici	--|-⌫--|----|----|--|
ha gentilche u alier merci	-|-----|---⌫-⌫----|----|
prietpors onfilz	--|-|--|-⌫-|---|
q ueuosne me naie z	-⌫-|--|-||-⌫|---⌫|
porce que sui ciu enue	--|-|--|--|-|-⌫---|
eissi que iesu i presde n ue	----|--|-|--⌫|---|-|-⌫-|
ionipensa ionques	-|||-----⌫|-----|
nemal uaistiene uilanie	-|---⌫------|-|------|
tantdolen tesuiet	---|-----⌫-|--|-|
de shaitie	--⌫------|
queieiene m	--||--|-||
n o nqu esnulior san d e lne	|-⌫---⌫-|--|--|--|-⌫-⌫|-|
e is simaleurosesui	-⌫--⌫-|--------|--|
etio ne uer r aiiamaisnuit	-|-|-|---⌫-⌫-|-----|---|
que so lement	--|--⌫-----|
cele danuit	---||----|
n eior que cel ui	-⌫|--|--|---⌫-|
anceismenm e r rai	-----||-|-⌫-⌫-⌫--|
mou tprocain	---⌫|------|
deyycheualier setde	-|-|---------⌫|-|-|
doncestch asteilesteit garnis	--|---|--⌫-----|-----|-----|
nenia remesquec i n quante	-||||----|--|-⌫-⌫-⌫-----|
etdisetoitmeins deyy	-|--|-|--|----|-|-|
