enlamarchede	-|-|-----|-|
mo n signoura	--⌫|------||
to usiours	--⌫-|----|
damefait l abeesse	---|---||------|
chert esuou s	-----⌫-|---⌫|
nesa ués pas comi lia	-|--⌫---|--|--|-⌫|||
gra nt carge a	---⌫-|----||
tenirordre	----|----|
car tout litrauails ettoute slesdolors	--|---|-|-------|-|-----⌫|--|-----|
ettou sles perieus	-|---⌫|--|------|
d ar mesiso nt	|--⌫--||--⌫-|
mais uenés uousentauoecnousennostre	---|-----|---|--|----|---|-|-----|
abeieetsoiésdutout dame si	----|-|-----|-|---|---|-|
com uousdeuésestre c a rli	--|---|-----|----|-⌫-⌫|-|
a n chisormonsignourle	-⌫-⌫-----|--|------|-|
roi fond erentlelieu	--|----⌫----|-|---|
etestabli rent.	-|-------⌫---||
damepourd ieu	---|---|-⌫--|
faitl a roineie uousreq uierpour dieuet	---|-⌫|----|-|---|---⌫---|---|---|-|
sor uostrearmequeuusmefach iés	--|-----|---|--|--|-|----⌫---|
noune carien ai	----|--|-||-|
pluscu redel	---|--⌫-|--|
sie clenelisiecles namestierde	---⌫--|-|-|------|||------|-|
e tseuousdechemefale ́ sie	-⌫|-|---|-|--|-|----⌫-⌫|-|
meniraiparcheste forest	|-|---|--|-----|-----|
sauuagecommechaitiueet	------|----|-------|-|
esgar eeetsip orai	-----⌫-|-|-|-⌫---|
tost perdrelecors etlarme.	---|-----|-|---|-||---||
dam efaitl	---⌫|---||
abeesse pu isqueuoussiach erte slauése npriso re	------|--⌫----|---|-||--⌫----⌫||----|-⌫----|-⌫-|
aourésdieuetgrat iiésc armoultenauonsg rant	------|---|-|----⌫----|-⌫-|----|-|----|-⌫---|
ioie quantdiexdesiboine dameet d e	---|----|---|-|-|----|---|-|-⌫|
si hauteroi neno usdoune la compaignie.	-|----|---⌫-|--⌫-|----|-|---------||
a tantileucsansplus atend re furent trenchies	-⌫---|----|---|---|-----⌫-|-----|--------|
le sbelestre chesl aroine car	--⌫|----|---⌫---|-⌫|----|--|
ele a uoitleplus be l chiefdetout	--|-⌫---|-|---|--⌫|----|-|---|
lemo nde .	-|--⌫--||
apres lifurentap ortélidrap si le	----|-|-----|--⌫----|-|---|-|-|
uele r entenlaplache.	----⌫-⌫--|-|-|-----||
etquantli ual les leuit ue e lé qui	-|----|-|---⌫--|-|--|--⌫-⌫--|--|
auo equesli esto itue nussi	---⌫----|-|----⌫-|--⌫--|-|
distqueau siecleneseroit iamaispuisquesa	---|--|-|-----|-|-----|-----|------|-|
dames enestoitissuesideuint ileucrendus	---||-|-----|----|-|-----|----|-----|
etlifurent uestu	-|-|-----|----|
lid rap a insquede la	-|-⌫--|-⌫-----|-|-|
apresont prinsle cors	----|--|----|-|---|
laporte rent a labeiequigairesnes toit	|------⌫---|||----|--|-----||--⌫---|
l oin sdiluec	-⌫---⌫||----|
seruicetelcom lendeuoit fairedec ors	------|--|--|--|-----|----|-|-⌫--|
deroietfu autre men te nseuel is	-|--|-|-|-----⌫---⌫|-⌫------⌫-|
me i smeiu squa tant queellie u	--⌫-⌫--|--⌫--||----⌫--|-|---⌫|
ouilauo i te sté mors	-|-|---⌫-⌫|-⌫---|---|
fustfaisunsmoustiers.	---|---|--|--------||
quantli cor s fuenterré s la roin e	----|-|---⌫|-|--------⌫|-|----⌫|
demou raen labeilet lab eessefis tfaire	-----⌫-|-||----|-||--⌫----|---⌫|----|
un mousti er mo ultbella	-|------⌫-|--⌫--|--|-|
ou li rois	-|-|---|
auoitesteimorset moultbele offenchinesetfutous	----|----|---|-|----|---|----------|-|-|---|
fa i s deden s chel	--⌫-⌫|-----⌫|---|
etqu antilfu tous fais	-|--⌫--|-|-|---|---|
siifu li roisportés .	-||-|-|---|------||
iu in tlaroi nesoi tierchedenoun ains e t s i	|-⌫--⌫|-|---⌫-|--|------|-|----⌫---|-⌫|-⌫|
iotyy capela inset	|-|-|------⌫--|-|
yy rendus .	-|-----||
l es i oursquil	-⌫-|-⌫---|-|-|
ai ourn oit auoitladameunec ou st ume	--⌫----⌫--|----|-|---|--|-⌫--⌫--⌫--|
que a uss itostcom eleotoiela messeque	--|-⌫---⌫|---|--|--|-|--|-|----|--|
lenchantoit p our le	--|-------|-⌫--|-|
roisi e nuenoitso urle lac il uece ndroitqu	--|-|-⌫|-----|--⌫-|-|--|--⌫--|-⌫-----|-|
el e auoits onfil	--⌫|----|-⌫-|--|
perdu silisoitson sautierteusfois esto i tet	----|-|-----|--|------|---|---|----⌫-⌫|-|
disoitteusbiensquele sauoitetploroitmou l tdurement	-----|---|----|-|--|-----|-|------|---⌫-⌫|-------|
lachosefu s eueparle paisque	-|----|-|-⌫--|--|-|---|--|
laroinehelene debenoych est oit	-|----|-----|-|------|---⌫--|
n ouneetchi s lieussi	-⌫---|-|---⌫|----|-|
fu ape lés	-|---⌫---|
mous tiersro iaus.	----⌫----|--⌫---||
dur ementcrutli	---⌫----|---|-|
lieus etess aucha	----|-|---⌫----|
etlesgentiexfemesdu pais	-|--|------|----|-|---|
r endoientespesementetpourdieuetpouramourde	-⌫-------|---------|-|---|---|-|---|----|-|
lar o ine.	-|-⌫-⌫--||
m a is ata n tsetaistorel icontesd elar oine	-⌫-⌫-|---⌫-⌫|-|----|--|-⌫|-----|-⌫|-|-⌫---|
etde s acompai gnieetretourne	-|-|-⌫|------⌫---|-|-------|
auroic laudas	-|--|-⌫-----|
delaterredeserte .	-|-|----|------||
chiendroitdis tlicontes	--|------|---⌫|-|-----|
que ta nt esplo ita claudas l i	--|--⌫-|-----⌫--|------|-⌫|
roisquil ot	---|-|-|-|
terredelroiaumede	----|--|------|-|
benoyc h et t outela terre d e	------⌫|-|-⌫---|-|----|-⌫|
iau nes quepuisquela mors au	---⌫--|--|------|-|---|-|
ro i ba nf useuene uesquili rois bohorsque	--⌫|--⌫|-⌫|---|-|-----|-|---|-----|--|
siqui de len e n maint lieuqu i l	-|---⌫-|--|-⌫|----|---|-|-⌫|
soit morsdel	---|---|--|
du eldesonfrere	--⌫-|-|--|----|
anchoisque de las oie maladie.	---------|-|-|-⌫--|------||
il auoit yy moultb iausfi ex	-|----|-|----|-⌫---|--⌫-|
dontliuns auoitnon lyounia us e tliautrebohors	---|-|--|----|--|-------⌫-|-⌫|-|----|-----|
si estoien tameruellesbelenf antmais	-|-------⌫||--------|--|---⌫--|---|
ilestoientde	-|-------|-|
si petiteeage	-|-----|---|
quelioneaxnauoitqueyy moiset	--|------||----|--|-|---|-|
bohorsnenau oitque yy.	-----||-|--⌫--|--|-||
enlaterred e iaunesauoitdemoult preudo mmeset	-|-|----|-⌫|-----|----|-|----|------⌫---|-|
de moult boi ns cheualiers	-|----|---⌫-|---------|
s iconti ndrent tant	-⌫|-----⌫-----|---|
l aterre comille	-⌫|----|--|-|-|
porentcontreteni r.	-----|----------⌫||
etlaroineeuanelafemeau roibohor testoit	-|-|----|----|-|---|-|--|-----⌫|-----|
en un chastel qui	-|-|------|--|
esto itdeson doairesi a uoit nommont la iretestoit	----⌫-|-|--|-----|-|-⌫---|--|----⌫--⌫-|-|-----|
meruelles fort .	--------|---||
sifuto u te laterre prise	-|-|--⌫-⌫-|-|----|----|
forschischastiaxou	---|---|-------|-|
estoitlaroineetsienfant	-----|-|----|-|-|-----|
etquant claudas ot tout lepaisen sa baillie	-|----|------|-|---|-|---|-|-|------|
siuintdeu antchelc has tels eoir.	-|---|---⌫--|---|-⌫---⌫--|-⌫---||
laroinequi femefu	-|----|--|---|-|
al roiboh ort	-|--|---⌫--|
quantuitso nchastelasegiési ni	----|--|--⌫|------|------|-|||
osaplu s demore r	--|---⌫|------⌫|
pourpao ur q ue	---|---⌫-|-⌫-|
iln elifeisth ontesillapeustpar	-|-⌫|-|----|-⌫---||-|-|----|--|
forchepre ndre si senfui del	-----|---⌫---|-||----|--|
chastelluietsesyy enfa nset	------|--|-|--|-|----⌫-|-|
se fist nagieroutreun e	-|---|-----|----|--⌫|
riuiereq ui desousle chastelcouroittantqueleuint en	------|-⌫-|-----|-|------|------|-----|--|---|-|
une f ore stdesus	--|-⌫---⌫-|----|
la riui ere quisoie auoit	-|----⌫--|--|---|----|
es tém a intiour.	--⌫--|-⌫-⌫--|---||
iluecmonta laroineet sagent	----|----|-|----|-|-|---|
cheuaus s is enaloitapoidege ntet	------|-⌫||-|----||--|-|--⌫-|-|
pensaquel enefinero it d errer	----|-|--⌫|-|------⌫-||----|
tantqueleu enroitaumoustierousa seu r	-----|--|-⌫-----|-|-------|-|-|---⌫|
laroinede benoych	-|----|-|------|
estoit uelee	-----|----|
ensisenaloi tenteilm aniere	---||-|----⌫|-|---|-⌫-----|
etsidoi enfantauoeques luisiuint en une	-|-|--|-----|-------|--|-|---|-|--|
moultbelelandeetmoultgr ant.	----|---|----|-|----|--⌫--||
