s eig nors preueire	-⌫---⌫---|-------|
deseruiroufu t ce ditzz	-------|-|--⌫|-|--|-|
fistz z gr antmen ge r ei sem onsistmot	---|-⌫|--⌫--|---⌫--⌫|||---⌫-----|--|
ho m mesequant limenge rsfut	--⌫-⌫--||----|-|-----⌫-|--|
appar eil lezs i	-----⌫---⌫--|-⌫|
enueiason siruent por ceausapeler	-----|--|------|--|----|-----|
qu il aueit	-|-|----|
conuiezqu iluenguisse ntmengere cu m	------|-|-|---------⌫-|-----||--⌫|
ceaus sise comm encerentaescusersi	----|-|-|----⌫-------||------|-|
premersge aifist	------|-|-|---|
il ac hat éune	-|--⌫---⌫-|--|
lame conuen talerueersi	-|-|------⌫|---|---|-|
teprecqu e tumescusesuers	-|---|--⌫|-||------|---|
tonseignor	--|------|
e tli autresdist geaia chete ́ yy iozde	-⌫|-|-----|---|-|-|-⌫-----⌫|-|--|-|
si les uoi l	-|--|---⌫|
ueeree ssaie rcommentiltir ent	---||-⌫-----⌫|------|-|---⌫--|
sitepriqu etumencusesuerstonseignor	-|-|--|--⌫|-||------|---|--|------|
eliaut res	|-|---⌫--|
li distgeaifemmereceguenouelement e	-|---|-|-|----|------|---------||
n ip u isa le rmas	||-⌫-⌫-|-⌫--⌫|--|
e scusemeuers ton	-⌫----|-|---|--|
seignorquant	------|----|
li siru enzuinta sonseignor e	-|----⌫--|---||--|------||
illicon ta lesnoueles	-|-|---⌫-|--|------|
sifut liprodom mot irez	-|--|-|-----|--|---|
s idist asons iruentuai	-⌫|---||--|-⌫-----|--|
fistil laforse ncezcheminse onsru es	---|-|-|---|-⌫|--|------||--|--⌫-|
etozl espouresquetupo iras trou erfebles a uog l es	|--|-⌫-|-----|--|-|--⌫---|----⌫-|-----|-⌫---⌫-⌫-|
clopsm amaine ceanzsire dist lis iru enzuol un te rs	----||-----|----|---|---|-|-⌫---⌫--|---⌫--⌫--⌫-|
qua ntc eufut faitqu il l esotam enez	---⌫-|-⌫-|--|---|-|-|-⌫-|-|--⌫---|
distlisiru enz qui lniaueitpasprou	---|-|----⌫--|-|-⌫|||----|--|---|
gent issez	---|----|
donquesla for sdistli sires	------|-|---⌫|---|-|----|
siuai par e	-|--|--||
pa re si trobeshommes	--⌫||-|-----|-----|
s iles faicaenz	-⌫|--|--|----|
entre rquarge uoilquemamaisonseit	-----⌫|---|-|---|--|-|-----|---|
totepleine	---|-----|
e sapchez ce rtai n ementquenen guns	|------|--⌫----⌫-⌫----|--|---⌫---|
dece zmaluais	-|--⌫|------|
h o mmes cuii aue iesemons nemengerade	-⌫-⌫---|--||---⌫-|-----|-|------|-|
mengerseignorsor o iezquecesi gn ifie	-----|-------|-|-⌫--|--|-|--⌫--⌫---|
liprod om signifienostre	-|----⌫-|-------|-----|
seignor decuiuent tote	------|-|--|---|---|
pr o ece etotebonteli	--⌫-⌫--||---|----|-|
mengers parquei li homm e	------|--|---|-|----⌫|
furentsemonssign ifie lacreanc equetuitont en	-----|-----|----⌫---|-|------⌫|--|---|--|-|
d amered eea cui	-⌫------⌫|||--|
nostresiresa promisla	-----|----||-----|-|
gl oire dau	--⌫---|--|
celsil lauolentdeseruirli	--||-|-|-----|-------|-|
seruenzquialaapel er	------|--|--|----⌫-|
c e aus qui	-⌫-⌫--|--|
este i ent semonssignifiela clergiede	----⌫-⌫--|-----|-------|-|------|-|
sain teigleseles arce uesq uesle s euesqueslespreueire s	----⌫-|-----|--|----⌫----⌫--|--⌫|-------|--|--------⌫|
to z c eausquilacre stiente ense ignente amonestent	--⌫|-⌫---|--|-|---⌫------|----⌫-----||---------|
lo malalai sserelobenafa ire	-|--||---⌫---||-|--||--⌫--|
q ui sescuse rente q ui ne uouguirent aler au	-⌫-||------⌫---||-⌫-|-|---------|---|-|
m e ngerouilestei entsemonssi g nifi e nt les maluaiz	-⌫-⌫---|-|-|-----⌫--|-----|--⌫-⌫----⌫-⌫-|--|------|
cre stiensquipar le s choses terrienesepar	---⌫-----|--|--|--⌫|-----|--------||--|
d ecest secle epar le delitdel achar	-⌫|---|----||--|-|----|-|-⌫|---|
laissent dea	-------|-||
amer egu erpentlau eieparqueiildeiuent a ler	---||--⌫-----|-|-⌫--|--|---|-|------|-⌫--|
lagloiredaucellipour e li feble li	-|-----|--|--|-|----⌫|-|----|-|
li clo p signifientle scha itislesmal ades	-|---⌫|---------|--⌫|---⌫---|--|---⌫---|
lescontr aizles	--|-----⌫--|--|
pouressegontcestsecle	-----|-----|---|----|
etoz ceaus	|--|----|
quices tsecle naimentn eprisentne cure	--|---⌫|----||-----|-⌫|------|-|---|
n e nontsi	|-⌫|--|-|
c um fistsainz beneiz	-⌫-|---|----|-----|
emai ntautrepro domm e	|---⌫-|----|---⌫----⌫|
si resfis tquer re dontildistalez fi sti l	--⌫--|---⌫|----⌫-|---|-|---|---|--⌫-|-⌫|
par cezueieseparcez sous e	--|--|----||--|--|---||
toz ce a us quiuos	--|--⌫-⌫-|--|--|
trouerezdestreignez	-------|----------|
ta ntqu iluengent caen z t an t	--⌫---|-|------|----⌫|-⌫--⌫|
que mamaison sseitto teplaine icistsignifient	--|-|------⌫|---|--⌫-|-----|----|---------|
ceaus quequant ilparea usm ei smesne	----|--|----|-|--|--⌫-|-⌫--⌫---|-|
parb one s	--|-⌫---⌫|
par olesqu iloientd autruine	---⌫---|-|-|----||-----|-|
uolen tlaisse rlomal	-----⌫|------⌫|-|--|
e fa ire l obensilor	|--⌫--|-⌫|--|-|--|
contraire ou	--------|-|
oupourete outele oreestl	-|------|-|---|--|--||
unelautretot	-|||----|--|
ensen bleparquei illeschastiee	-----⌫--|--|---|-|--|------||
parq uei i l s a mendent	--|-⌫--|-⌫||-⌫------|
e parqueiil sepo rpensent	|--|---|-|-|--⌫-------|
quemaluaise chose	--|-------|----|
uanite deces tsecle eenlamor	-----|-|---⌫|----||-||---|
eon maluaiz de lit	|-|------|--⌫--|
quiiestep o r ceu s epe rnenta	--||--||-⌫-⌫|--|-⌫|--⌫----||
deedesiru ent	-||------⌫--|
lagloiredauce ls ei gnorsentende z	-|-----|--|--⌫|-⌫--⌫----|-------⌫|
p arol e s deleuangi lee sgardezuersuosm eis mes	-⌫----⌫-⌫|-||------⌫-|-⌫------|---|--|-⌫---⌫--|
u ee z quede xn	-⌫--⌫|--|--⌫||
deceausq uilo mesprisent	-|----|-⌫-|-|---------|
nequi plus aimentlo benterrienqu iln e	-|--|---|-----|-|--|------|-|-|-⌫|
gardezqueuosnesei ez delaconpaignieaceaus	-----|--|--|-|---⌫-|-|-|---------||----|
ses cuser entecontredist rent d alerau	|--⌫-----⌫--||----------⌫---||---|-|
men ge r au	---⌫--⌫|-|
prodomme ouli	-------|-|-|
siruenz les	------|--|
apela garde zq ue	----|-----⌫|-⌫-|
lob enterrienqui	-|-⌫-|------|--|
per izest etrespassabl esn e	---⌫-|--||-----------⌫-|-⌫|
perdezloben	-----|-|--|
dau cel qui e st	--|--|--|-⌫-|
granz edu rablesal ez	----||--⌫-----|--⌫-|
aub ea u men gerauprodommeou	-|-⌫--⌫|---⌫--|-|-------|-|
lisiruenzuosa pela	-|------|--|-⌫---|
cest dameredexneuos	|--|--------|-|--|
escusezpasfaites iceles	------|--|-----|-----|
d ex comand e ason cre stie n a	-⌫-|------⌫||--|---⌫----⌫||
f airee si	-⌫---||-|
uosoufaite sd oncalez uos au	--|-|-----⌫|-⌫--|---|--|-|
beau meng er	---|----⌫-|
q uarcilqui ben fai tuaita d e ecil	-⌫--|--|--|--|---⌫|---||-⌫||--|
quimalf a it	--|--|-⌫-⌫-|
uait adeabl esatendez que dexnos	---||-----⌫-|------|--|--|--|
semo nt a son	----⌫-||--|
beaumeng er c estalaso egloireneu o s	---|----⌫-||--||-|--⌫|-----|-|-⌫-⌫|
esc ondisez	---⌫------|
m iene respo nezsicumcil	-⌫-|-|-----⌫--|-|--|--|
firentausi ruentau	-----|-|--⌫----|-|
prodo mme qu ises condistrentda lerau beau	-----⌫--|--⌫||--⌫----------||-⌫--|-|---|
n e diezpassicum lipre mers quidist	-⌫|---|--|-|--|-|---⌫---|--|---|
geaiachetéuneuile	-|-|------|--|---|
conuentalerueerc	------|---|---||
ne seiez passiententis aus tenemenzeaus	-|----|--|-|-------|--|-------||--|
honorsterr ienes	-----|----⌫----|
conquerre que uosen	--------|--|--|-|
perdeziceles daucel n e reseiez	-----|-----|--|--|-⌫|------|
cilquipor esprouerlesbues ne	--|--|--|-------|--|---|-|
au beau men ger on loml	-|---|---⌫--|-|--||
apelot c est	-----||--|
neseiezmiesicuriosaus	-|----|--|-|-----|--|
richecester rien es queuos	-------|---⌫----⌫-|--|--|
enpe rdezlesbensdauceau	-|--⌫---|--|---|--|---|
p as sicum	-⌫-|-|--|
quidistqui lau eitrecegue	--|---|-|-⌫|--⌫--|------|
femm enou element	----⌫|---⌫------|
uouguitaleraubeau	------|---|-|---|
seiez passisorl a	----|--|-|--|-⌫|
luxu r ene	----⌫-⌫|-|
sorlesd eliz dela	--|--|-⌫---|-|-|
charqueuosenperdezloben	---|--|--|-|-----|-|--|
u os escusez entau uieuos	-⌫-|------|-|--|--|--|
demenezq ueala	------|-⌫-||-|
gl oire de puiss ezparuenire t noset uo s	--⌫---|-|-----⌫-|-------|-⌫|--|-|--⌫|
n ostr esire nos	-⌫----⌫|---|--|
enseig n eenleuangiled	------⌫-⌫|-||-------||
comande quenosseiomm ise ricordi eusne	------|--|--|----|-⌫---⌫-------⌫--|-|
iugezp ar autresi ne serezpas	----|-⌫-|----|-|-|----|--|
iugédouscho s es	----|---|---⌫-⌫-|
suntenquenos ne	---|-|--|--|-|
deuompasautr eiuger l	----|--|----⌫|----||
estquantnosu eiom	--|----|--|-⌫---|
faireaaut reau cunechosequ e	----||---⌫-|--⌫---|----|--⌫|
lompuet aornerau tres iau ben cumaum auquar	--|---|-----|--⌫----⌫|-|--|--|-|-⌫-|---|
no s nesauom	--⌫|-|----|
pas par qua ucorage il la	--|--|---⌫|-----|-|-|
f ait epor	-⌫--||--|
c eunosne deuom pas dampnerne i ugeraut re	-⌫-|--|-|----|--|------|-|-⌫---|---⌫-|
cum ilfaseit	--|-|-----|
ape rtement lo ma ul autre	---⌫------|-|--⌫||----|
que n os nedeuompas	--|-⌫-|-|----|--|
iuger dauschoses q ui sunt	----|---|-----|-⌫-|---|
a uenirq uarno s	|----|-⌫--|--⌫|
n esauom pasquausilseraou	-⌫|----|--|----|-|---|-|
bonsoum aus d auscho sesp resentes	---|-|-⌫--|-⌫--|---⌫--|-⌫-------|
a pertementeque n os ueiompr esentement	-⌫--------||--|-⌫-|----|--⌫---------|
elessuntoubonesoumales	---|---|-|----|-|----|
de c eschos espoomnos	-|-⌫-|----⌫-|---|--|
ben iuger ediresegontce	--|----||---|-----|-|
quelessu nt ne	-|---|--⌫-|-|
passe d istsineserezpas	--|-|-⌫--|-|-|----|--|
i uge ́n e d ampnez	-⌫---⌫|-⌫|-⌫-----|
autrepa ruos	----|--⌫|--|
paro lessineser ezpa s dampnédonez	----⌫--|-|-|---⌫-|--⌫|------|----|
de taubencumuos gaignerez leiaume nt en	-|--|--|--|--|--------|-------⌫-|-|
terresiuo sen seradonezlo ben dau	----|-|--⌫|-|---|----|-|--|--|
ceauaautr esi	---||----⌫--|
bon eme sureea	---⌫|--⌫---|||
autresiplene re que c uers nelpo rpens er	------|-----⌫-|--|-⌫---|-||--⌫-----⌫-|
issi granz segonti cele mesurecedist	---|----|-----|-⌫---|-----|-|---|
queuosmesurezaau t re	--|--|------||--⌫-⌫-|
segontce u uosmesur er a il	-----|--⌫|--|-----⌫--⌫|-|
cesta dire s egontceuqeuosfer eza	|--||---|-⌫----|--|-|--|---⌫-||
sego nt ce ureceurezuos	----⌫-|--⌫|-------|--|
ceu qu osunt	--|-||---|
mainthommeent errequ iloben	----|----|-|-⌫---|--⌫|-|--|
am onestene	--⌫-----|-|
uolent faire mesl oma lfo ntuolunter s	-----|----|--|-⌫|--⌫|--⌫-|--------⌫|
l ordeffenteia seit ceuquil	-⌫-|------||-|---|--|-|-|
ne uei entgote	-|---⌫--|---|
si uolentil les autresparla	-|-----|-|--|-----|--|-|
ueiedesal umene r ou	---|-|---⌫|----⌫|-|
ilnese uenteausmeismes co nduireporceu lor	-|-|--⌫---|---|------|--⌫-----|--|--|--|
tr eis parole s	--⌫--|------⌫|
aspres puet donques lauogle	-----|---|------||-----|
men erl auogl edontnec hei ron til	---⌫-||-----⌫|---|-|-⌫---⌫---⌫|-|
amb eduienlafossesi	---⌫---|-|-|----|-|
tune ueizlo ben ne n el	-|-|---|-|--|-|-⌫||
comen t lepues tu	-----⌫|-|---|-|
aautreenseignerneaut re	|----|--------|-|---⌫-|
menerp arla ueiedebenoutu	----|-⌫-|-|---|-|--|-|-|
meismes ne sezne	------|-|--|-|
al erepor ceu	--⌫-||--|--|
quefaseitloben	--|-----|-|--|
quildise it eense igno tep ardoneitlo mal	-|-|----⌫-||----⌫----⌫||-⌫-------|-|--|
lomlif a s eit nos	--|-|-⌫-⌫-⌫--|--|
dona il essanpl e de maulaisser	---|-|-------⌫|-|--|------|
deben fa ire e depa rdonerlomauqu	-|--|--⌫--||-|--⌫-----|-|--|-|
e nos demostrequ enosnedeuomfai refors ceu	|--|-------|--⌫|--|-|----|---⌫-|---|--|
faseitlaouil	-----|-|-|-|
distcesta direo u t r eme i	---||--||---|-⌫-⌫-⌫-⌫|--⌫|
uostre mestre nedeu ezfairenulechose	-----|-----|-|---⌫-|----|---|----|
epor ceuqu o	|--|--|-||
suntmaint e s gen zquisu nt enmo t granzp ech eze	---|-----⌫-⌫|---⌫|--|--⌫-|-|--⌫|----|-⌫---⌫-||
orible se uolen tlesau t reschas tierdau s menuz	------⌫||-----⌫|--|--⌫-⌫--|----⌫---|---⌫|----|
pecheze poricele manerede	-----||--|----|-----|-|
gentre prendred e lor	---|--⌫------|-⌫|--|
fo lie edelor	--⌫--||-|--|
outra geseai ostaenleuangile	-----⌫-|-|--⌫---|-||-------|
d uiedis typocritegit e preme rementle tre	|-||---⌫|-------|---⌫|-----⌫-----|-|--|
tonoil eado n cpoiras uee r	--|--||---⌫-⌫|-----|---⌫|
e giterlefes tud eloil	|----|-|---⌫-|-⌫||--|
tonfrere lifestuzsignifie	--|----|-|-----|-------|
le s menuz pechez	--⌫|----|-----|
signifielesgran z	-------|--|----⌫|
orauent ma intes fezq u	-|----|--⌫----|--|-⌫|
q uiestenauoutireouenfornicati on	-⌫-|--|-|-------|-|-|---------⌫-|
ou enusure	-|-|----|
autrepeche dampnablep arq ueiilestdepa rtiz	----|----|--------|-⌫-|-⌫--|-|--|----⌫---|
delaconpa ignies	-|-|-----⌫----||
sei tirez adoncu e ntci lqui est	---⌫|---|----|-⌫-⌫-|--⌫|--|--|
ongrantpechesi	-|----|----|-|
achis onecelui de sireelo	-----⌫--|----|-||--||-|
iugefie rementsin e	---|---⌫-----|-|-⌫|
ilmeismesfer eitplusaochisoner	-|------|---⌫--|---||--------|
r eprendree ai uger dau	-⌫-------|||-⌫---|--|
pecheou ilesteparqueiile st	----|-|-|--||--|---|-|-⌫-|
auog lezseignor s	----⌫--|-------⌫|
es ga rd ez ons parol esde l	--⌫--⌫--⌫-|--|-----⌫-|-||
euangile d uientendez i	-------||-|-------||
entend ezenuosmeism e srep ren dre iugom nos	------⌫-|-|--|-----⌫-⌫|---⌫---⌫--|----|--|
meismese nceisquautruin e digompastaus	------|-⌫----|-|-----|-⌫|----|--|---|
cist netausestcis tne	---|-|---|--|---⌫|-|
tausfutiln edeparlom	---|--|-|-⌫|-------|
prodesho mmesdau secle ne lesma istres	-----|--⌫---|--|----|-|--|--⌫-----|
igleseneles p ri n ce s	-----|-|--|-⌫--⌫-⌫--⌫|
dela terr eentendoma	-|-|----⌫|-------||
autruibenfa ire esegont nos meffa iz	-----|--|--⌫--||-----|--|-----⌫-|
pardonomlot ot	-------|-|-⌫-|
entendom sor	-------|--|
to te s c hoses anos sauuement	--⌫--⌫|-⌫----||--|--------|
conduirea dep or luiamer e	-------||-|-⌫-|--|---||
p or luiseruireissi	-⌫-|--|-----||---|
auromlagrace	----|-|----|
en ter reesagloir e	-|---⌫-||-|-----⌫|
nostro uomons ainteu angile d uiquenostrede mentre	--|---⌫--|-|-⌫---|--⌫-----||-|--|-----|--⌫-----|
qu ilalotcorporaum entent erreesteitune	-|-|---|---------⌫--|-|-⌫---|-----|--|
fez d eiostezz	--|-⌫-----|-|
estancquiesteit	-----|--|-----|
ape lezg enesareth siaueit iquiyy ne z	---⌫--|-⌫--------|-|----|---|-|--⌫|
dont lu n ee steit monseignor saintperee	---||-⌫-⌫|-⌫----|--|------|----|---||
enseignot iquilopoplequi ier et	--------|---|-|----|--||--⌫-|
uenuz poroi rsa	----|--|--⌫|-|
p a roleme tezce	-⌫-⌫---|--⌫--|-|
dist lanef plusparfon t	---|-|--|---|------⌫|
enlaigu e e	-||----⌫||
ator nezuos rez	----⌫--|--|--|
porprend redauspeisons	--|-----⌫-|---|------|
emissiressainz peres	|--|----|----|----|
esiconpai gnon	|-|------⌫---|
a ue ienttotenuittrauaillé iqui	-⌫--⌫---|---|---|---------|---|
po rpeis sonprendre	--⌫|----⌫--|------|
sinau eie nt	-||--⌫---⌫-|
rensprissiresp ondi tmis siressainz	---|---|-|----⌫----⌫|--|----|----|
peres ae si lidistc om andairefistiltote	----|||-|-|---|-⌫--⌫------|---|-|---|
ueillési nauo m ren spr isor e	------|-||---⌫|---⌫|--⌫-|--⌫|
atoncomandementgeterai	|--|----------|------|
l o rez sigi tamis siressainz pereslerez	-⌫|--|-|--⌫-|--|----|----|----|-|--|
tant de peissons	---|-|-------|
quel irezen	--|-⌫|--|-|
rompite q ue ci l qui	-----||-⌫-|--⌫|--|
esteient en lanefn e	-------|-|-|--|-⌫|
leporenttrair eaeaus siapele rent	-|-----|-----⌫||---|-|-----⌫---|
leshomm esqui esteient	--|----⌫-|--|-------|
enl a utren esi lor	-||-⌫---|-⌫|-|--|
aiuere nt atrairelorez ate r re	------⌫-||-----|-|--||--⌫-⌫-|
siiot tant dep ei sson	-||-|---|-|-⌫--⌫---|
emplirent anbedousles nez e quant	--------|-------|--|--||----|
missiressainzperesuit lo	--|----|----|----|--|-|
miracleque	------|--|
aueitfaitsi di stsir efitiloste	----|---|-|--⌫-|---⌫|--|-|---|
tediciquar	-||--|---|
ge soipecheressine	-|--|-------|-|-|
sui pasdignes quetu seies	--|--|-----|--|-|----|
deioste me i	------|--⌫|
pas paordistquardesorma is	--|---|---|---|-------⌫-|
pe scherastules hommes e missi res	--⌫------|-|--|-----||--|--⌫--|
sai n z p eres e si	---⌫-⌫|-⌫---||-|
autre conpaignon	----|---------|
l ais serent lor	-⌫---⌫-----|--|
nezelor rez	--||--|--|
silese guirent seignors	-|-|--⌫------|-------|
qu e cesig ni f ie laiguesig nifiecest se cle	--⌫|-|---⌫--⌫-⌫-||----|---⌫----|---|--⌫--|
quarautre si	---|-----⌫-|
comelai gue	---||--⌫--|
estescoloriabl eautresiestcistsecles	--|-----------⌫|------|--|---|-----|
escolori ablesetrespassables l aigueundei e	--------⌫----||------------||----|-----⌫|
enepu etest er enpaiz eces t	|-|--⌫-|---⌫-|-|---||---⌫|
secles est toz iors	-----|--|--|---|
en tr ibulationmissires sainz	-|--⌫--------|--|----|----|
pereseliautrep escheor	----||-|----|-⌫------|
signifie ntles	--------⌫-|--|
b ons mai stres	-⌫--|---⌫----|
pre cheorsde	---⌫-----|-|
sain teigl ese l irezsignifielessaintes	----⌫-|---⌫--|-⌫|--|-------|--|------|
predica cions que lom i	-------⌫----|--|--||
ditlipe isson signifient	--|-|--⌫----|---------|
lespecheors	--|-------|
elespec her es sesoretotes lesh ores que	|--|---⌫---⌫--⌫--|--|----|--|-⌫---|--|
disomlap ar oledamerede p aru osens eigner	----|-|-⌫--⌫--|-------|-⌫-|-⌫-|---⌫-----|
coment uos	-----|--|
deuezcreireeamere seruirnos besoign e re it	----|-----||---||-----|--|-------⌫-⌫--⌫-|
ilqueno smostrast e enseignast	-|--|--⌫|-------||---------|
sicum i lfist	-|--|-⌫|---|
monseig nor	--|----⌫--|
saint pere cum nos	----|---|--|--|
de uriom git erlo rez	--⌫----|---⌫-|-|--|
cesta us quaus n o s deuri omdir e la	|--|-⌫-|----|-⌫-⌫|-----⌫-|---⌫|-|
par ol eesaiben	---⌫--⌫||--|--|
quenos fa illomsouent	--|--|--⌫----|-----|
aprendre p eisso nsquant nosgito m	|------|-⌫-----⌫-|----|--|----⌫|
nozrezcestqua ntnos	--|--||--|---⌫-|--|
disomlaparol ede qu artel e hore	----|-|-----⌫|-|--⌫-|---⌫|---|
e st quenen g uns	-⌫-|--|---⌫-⌫--|
n esamende detozce aus	-⌫||-----|-|--|--⌫--|
oientporrienq ue	----|--|---|-⌫-|
nossa pchomdir equarnossauo m	--|--⌫----|---⌫|---|--|----⌫|
bience rtainementquedeablesa	---|--⌫---------|--|------||
les p lusorsqu ilne	--|-⌫-----|-|-|-|
uo lent e nt endr e	--⌫---|-⌫--⌫----⌫|
l o ben s i cum	-⌫|--|-⌫|--|
l escrip tureditda umaluaizhomme	|------⌫---|--|--⌫|------|----|
ilne u otentendre	-|-|-⌫-|-------|
qu i lfeist ben	-|-⌫|----|--|
equant nosparlom obtau maner e	|----|--|-----|-|--|-----⌫|
degent qui nont	-|---|--||--|
cu redentendr elobenadonc	--⌫-||-------⌫|-|--|----|
faillomnos de pren dre dauspeissonsadonc	------|--|-|----⌫--|---|-------|----|
trau ai llomnos	----⌫--⌫---|--|
totenuitue ra iement e	---|---|--⌫--⌫-----||
nientne pernom	----|-|-----|
si c u mfistmissiressainzperes esi	-|-⌫-⌫|---|--|----|----|----||-|
conpai gno n qui	------⌫---⌫|--|
tot enu it	---⌫|--⌫-|
trauailleren teren s	------------⌫||---⌫|
nepristre nt	-|-------⌫-|
lanuitsuntsig nifiélimalua iz	-|---|---|---⌫-----|-|-----⌫-|
h ommeeles	-⌫---||--|
m alu aisesfemmes cu ideablesadeseurezde	-⌫---⌫----|-----|--⌫|------||-------|-|
d e deetornez ensestenebres	-⌫|-||-----|-|--|-------|
een s os curte	|-||--⌫----|
loiorsunt signifiéc ilqui	-|--|---|--------|-⌫-|--|
aporueuza sa lum inair e	|------||-|---⌫-----⌫|
ede iorsge to m	|-|---|--⌫--⌫|
n oslo rezpar	-⌫-|-|--|--|
locomandement	-|----------|
quan tnosprechoma ceauslob en q ui	----⌫|--|------||----|-|-⌫-|-⌫-|
uolun te rsloiente e ntend ent	-----⌫--⌫-||----||-⌫-----⌫--|
ef o nt ceu quele n	|-⌫-⌫-|--|--|--⌫|
lorcom mandeadon cc harg et	--|---⌫----|----⌫|-⌫----⌫-|
lesrez e prent	--|--||----|
quar adonc profitenostreparole eenlacete	---|----|------|-----|-----||------||
ac uiltaopscea us	--⌫---||--|---⌫-|
quinos oie nt	--|--|---⌫-|
adoncpern om nos lebo ns	----|----⌫-|--|-|--⌫-|
p eis s onscesuntcilqui	-⌫---⌫-⌫--|-|---|--|--|
parnosbonhome ens ainteiglesee	--|--|--|---|-|-⌫----|-----||
quimaintesbelesoures	--|------|----|----|
ifontsi lor traiom	|---|-|--|-----|
l amerd ede nzlor	|---|-⌫---⌫-|--|
cuer squ ant	----⌫|--⌫--|
tolomlamale	----|-|---|
uolun tequ ilont ogucai en	-----⌫-|-|-|--|--|--|-|
arrereseneaus meism es	------|-|---|-----⌫-|
eles aschac esd efors	|--|------⌫-|-⌫----|
os to mquantnos ostomdeaus	--⌫--⌫|----|--|----||---|
lesmales oures	--|----|----|
il ont es técharg é cai en arrereseles	-|--|--⌫--|-----⌫-|--|-|------||--|
met omau fuc	---⌫-|-|--|
r ostirquantnos parnozbonesparolesleseschaufom	-⌫----|----|--|--|--|----|------|--|--------|
de de ame rlanguilequisef icheon	-|-|---⌫||------|--|-|-⌫---|-|
uent pa suoluntersala clarte	---|--⌫|--------||-|-----|
eschapetele	------|---|
de nostr erez languilesignif ielemaluaiz	-|-----⌫|--||------|------⌫-|-|------|
hommequi tot sest miso ns choseterrienes	----|--|--||--|--|-⌫-|----|--------|
en lam oreonsde lizde	-||--⌫-||--|--⌫--|-|
lalux uredela char eq u i	-|---⌫--|-|-|---||-⌫-⌫|
a g rantforcedeguer pit sonpechehom	|-⌫---|----|------⌫--|--|----|--|
tel e manere	---⌫|-----|
estnepuetpaslege rementestr e	--|-|---|--|----⌫-----|----⌫|
tornéabenquarq uantil	-----||--|---|-⌫---|-|
ot parle r dede sis	-|-----⌫|-|-|-||
siscuerseesloigneseitelehoreestde l a	--|----||-------|--|---|---|--|-|-⌫|
de ese trait a l amor	-||-|----|||---|
daup ec he ouil alongement	--|-⌫--⌫-|-|-||--------|
ge guautresicumla nguile quantele	--⌫-|------|--||-⌫-----|----|--|
sentlo rezsi	---|-|--|-|
siserebonton tai	-|-|-----|-|--|
qu elene se itpris e	-|--|-|--⌫-|----⌫|
seignors esgardez	-------|-------|
uersuos meism esquau	---|--|-----⌫-|---|
uosest e sgardez q ueuosneseiez	--|---⌫-⌫|-----|-⌫-|--|-|----|
comelanguile	---||------|
esloignezuosda urezcestesloi gnezuosdaus	--------|--|--⌫|--||--|-----⌫---|--|---|
richec esqui aparte nne nta laterre no ezencontrele	------⌫-|--|------⌫---⌫-||-|----|--⌫-|-------|-|
montc est aprosmezu osdaucelc	---||--|-------|-⌫-|--|--||
estadire s eiez	--||---|-⌫---|
coueitosdaus c h osesquiapartene nt au	-------|---|-⌫-⌫---|--|--------⌫-|-|
celsoffrez	--|------|
qu ela pr edicacions de	--⌫|-|--⌫---------|-|
uosacuilleen seieque	--|------|-|--||--|
parliep uiss e z p aruenirau	--|--|-⌫----⌫-⌫|-⌫------|-|
regne cel e stiau	----|---⌫-⌫----|
dameredexparla	--------|----|
unefez obses a postres	--|--|-|--|-⌫------|
sicumnosreco nt etli	-|--|--|----⌫--⌫-|-|
euangilesd	--------||
d i stque silor saintete n es or mo ntotla	-⌫-⌫-|--|-|--|-------|-⌫|-⌫--⌫--⌫---|-|
saintetedau s	-------|---⌫|
e scriu ansedaus ph arises	-⌫-----⌫--||---|--⌫-----|
qu ilnenterr eienton	-|-||------⌫----|-|
regnedausc eausliescriua n e	----|---|-⌫---|-|-------⌫||
li phari seiesteit	-|-----⌫--|-----|
li cle rcd eierusalemqu ise fase ient bonhomme	-|---⌫-|-⌫|--------|--⌫|-|----⌫---|--|----|
religiospar l adem ostra nce dausreligio sesuesteures	-------|--|-⌫|---⌫-----⌫--|---|-------⌫--|--------|
quil uist eient	-|-|----⌫----|
masil ne st eien t	--|-||-⌫--⌫----⌫|
pas b onhomme	--|-⌫-|----|
ne religi os	-|------⌫-|
quar ilhaisseient	---|-|---------|
esesp aroleseses	|--|-⌫-----||--|
c omandemenz ese souressies teit lorsaintetez	-⌫---------||--⌫|----|-|--⌫---|--|--------|
lorbo nteztants oleme nten	--|--⌫---|---|-⌫-----⌫-|-|
lor dem os trancedefors	--|---⌫--⌫-----|-----|
quar delauerte deben	---|-|-|----|-|--|
ni aueitpointenl or cuer s	||----|----|-|-⌫-|----⌫|
e por ceudis ta sesapostresquesil or	|--|--|---⌫||--|-------|--|-|-⌫-|
ne sormonto tla lor quil nen terrei entpas	-|--------⌫|-|--|-|-||--⌫------⌫--|--|
daus c eaus	---|-⌫---|
il nelipla i stp asquelom	-|-|-|---⌫-⌫-|-⌫-|--|--|
senbl ant de ben	-----⌫--|-|--|
deforssi la uer tuz	-----|-|-|---⌫--|
e lab o n teze	|-|-⌫-⌫-⌫--||
lamor debennestonco rage ded enz	|---|-|--||--|-|--⌫---|---⌫--|
e apre sceu	|----⌫|--|
que otcedit	--|-|-|--|
