etmo utgrantnoise demen oient	-|--⌫-|----|----|-----⌫----|
decefetilse	-|-|--|-|-|
diex mesaut	---|-|---|
ne setnus homs tantcomgefaz	-|--|--|---|---|--|-|--|
asbourria xetastaleuaz	-|-------⌫|-|-|------|
chie sm amer e enap ri sassez	----⌫|-⌫|---⌫|-|--⌫--⌫|----|
tantquesouent	------|-----|
d ontalo ns huim esa	-⌫--|---⌫-|--|-⌫-||
pre udomgenisai	---⌫---|-|||--|
etuousau rezencoreennuit	-|---|--⌫--|-----|-----|
hostelmoutbo nq uqui len nuit	-----|---|--⌫|-⌫--|-⌫|--⌫---|
lorsse n uont andu icosteacoste	---||-⌫|---|----⌫|----||----|
et lega loisdistason oste	-|-|--⌫---|---||--|---|
s irema meremenseigna	-⌫--|-|---||-------|
ienesaisele	-|-|--||--|
quenconqueslieuq ueiehantasse	----------|---|-⌫-|-|-------|
quau oecnulpreudomenala sse	-|--⌫--|--|-------||---⌫--|
necom pa ig niea luineusse	-|---⌫--⌫--⌫--||--||----|
segesonnonbienne	-|-|--|--|---|-|
e t se elemedist sa uoir	-⌫|-|--|-|---|--⌫---|
i eueull leuostrenon sa uoir	-⌫|----|-|-----|--|--⌫---|
b i axamis ce dis t	-⌫-⌫-|---|-|---⌫|
lepr eudom	-|--⌫----|
gorneman tdegohortai non	--------⌫|-|-----|-|--|
ai n ssintiusqu	--⌫-⌫----|----|
alostels enuienent	||----||-|------|
ma in amai nambedui	--⌫-||---⌫|------|
alam on te e d un	|-|-⌫--⌫--⌫||-|
u intzz uallet	-⌫--|-|-----|
tou t de s on gre	---⌫|-|-⌫-|--|
quiaportazzmant elcourt	--|-----|-|----⌫-|----|
le galoisafu bleren	-|-----|---⌫---|-|
quapreslechautne	-|----|-|----|-|
froidur e quimal	-------⌫|--|--|
etlemengie r fuapresté	-|-|------⌫|-|-------|
bonetbel etbie n	--|-|--|-|---⌫|
sila uerentsan zplustargi er	-|--⌫-----|---⌫|---|-----⌫-|
e tpui s assistrent	-⌫|---⌫|---------|
aumen gier	-|---⌫---|
etle preudoml ezlui a ssist	-|-|------|-⌫-|--|-⌫----|
le ualle t et m engi er	-|-----⌫|-|-⌫----⌫-|
auequ esl ui en s escuele	-----⌫-|-⌫-|-||------|
de mesn e sa iaut re	-|--|-⌫|--⌫|---⌫-|
quanzenyo t nequiex i	----|-||-⌫|-|----||
mesassezmengierentet burent	--|----|---------|-|-----|
dumeng ier	-|----⌫--|
ne saiautrefable	-|--|----|----|
qua ntl euez	---⌫-|-⌫---|
fu rentdela table	--⌫---|-|-|----|
l i preudomq ui fumoutcou rtois	-⌫|------|-⌫-|-|---|---⌫----|
pr oiaderem anoir	--⌫--|-|---⌫----|
p erceualquilezluises ist	-⌫------|--|--|--|-|-⌫--|
antoutp lainsiluousist	-|---|-⌫---||-|------|
leretenistil	-|-------|-|
uol entiers	---⌫------|
siapr eist	-|---⌫---|
e ndementiers	-⌫----------|
de tel choseseil peust	-|--|----|-|-|----|
qu abesoig mestier	-||-----|------|
etleua lletli dist apres	-|-|--⌫---|-|---|----|
si re n esai se gesuipres	--⌫-|-⌫|--|-|-|--|---|
manoirouma	-----|-|-|
m eremaint	-⌫--|----|
mesg ep r i	--|-⌫|-⌫-⌫|
die u queilm imain t	---⌫|--|-|||----⌫|
tantqu elemepui sse ueoir	-----|--|-|---⌫--|----|
q uep asmeela uicheoir	-⌫-|-⌫----|-|-|-----|
au ch iefdupont deuant laporte	-|--⌫--|-|---|-----|-|----|
ienesaiseleestuiue oumor te	-|-|--||--|--|---|-|---⌫-|
pasmeeche y bienle sai	-----|---⌫|---|-|--|
de moiquantla lessai	-|--|----|-|-----|
ceneporroitpa sestre	-|-|------|--⌫|----|
que nalass eueoirsonestre	--||-----⌫|----|--|----|
face lonc seiour	---|---|-----|
eniraidemain au	-|---|-----|-|
li preu dons uoitque	-|----⌫---|---|--|
ri ensneuaut	--⌫--|-|---|
proiree tla pa rolefaut	-----|-⌫|-|--⌫---|---|
siuontcouc hiersanzplus	-|---|----⌫---|---|---|
quali litestoient	-||-|--|-------|
li preudomp arm ainse l eua	-|------|-⌫-|-⌫--|-|-⌫--|
aulitauuallet en ala	-|--|-|-----|-|--|
l a o uil letroua gesant	-⌫|-⌫|-|-|----|-----|
silifistporte renpre sant	-|-|---|-----⌫|-|---⌫---|
chemi seetbraiesd e	-----⌫-|-|-----|-⌫|
si li fist porter	-|-|---|-----|
etrob ededrap desoie	-|---⌫|-|---|-|---|
q ui fufez	-⌫-|-|--|
etti ssuzenynde	-|--⌫---|-|---|
po ur c eque uest ir l ifeist	--⌫-|-⌫|--|----⌫-|-⌫|----|
lienuoiaetsi	-|-----|-|-|
amis ce sdr asqueuou su e ez	---|--⌫|--⌫-|--|---⌫|-⌫-⌫-|
uestirez se uous mecreez	-------|-|---|-|----|
etliuallezli d istbiausire	-|-|-----|-|-⌫--|---|---|
uous porriez assezmie x	---|------|----|---⌫|
li drapquema	-|---|--|-|
dontne ualen til mielzque cist	---|-|-----⌫|-|----|--|---|
queuoulezoreque geueste	--|-----|--|--|-|----|
u alletf oy queie doimateste	-⌫----|-⌫-|--|-|--|-|----|
fetlipreudom	--|-|------|
ainzua lentpis	---|--⌫---|--|
uosmedeiste sb iausamis	--|-|------⌫|-⌫---|---|
uousamene cee n z	---|----|---⌫-⌫|
que u oustouzmescomma ndemenz	--|-⌫--|---|--|-----⌫------|
fe riezsi reetge	--⌫---|--⌫-|-|-|
dist le galois	---|-|-----|
i amen i rai	-⌫||-|-⌫--|
encont reu ousde nu lechose	------⌫-|-⌫--|-|--⌫-|----|
a sdrasue st ir plusnerepose	-⌫|---|--⌫--⌫-|---|-|-----|
sia les s amer ele ssiez	-||--|-⌫|---⌫|--⌫----|
etle p reudom sestabessiez	-|-|-⌫-----||--|-------|
chauca l esperon dest re	-----||------|----⌫-|
lacoustume so uloit teleestre	-|-------|--⌫----|---|----|
que cil qu ifesoit cheualie r	--|--|--⌫|-----|--------⌫|
lisoloit l	-|-----||
espero ncha ucier	------⌫|---⌫----|
d autresua llez a ssezyot	|-----|--⌫---|-⌫---||-|
ch escu nquiau e niry pot	--⌫----⌫|--|--⌫-⌫--||--|
a l uiarmerala main mise	|-⌫-|----||-|---|---|
etl epreudomlespee ap rise	-|-⌫|------||----||-⌫---|
siliceinte tpuisl ele ssa	-|-|----|-⌫|---|-⌫|--⌫--|
etdist qued onee lia	-|---|--|-⌫---|-||
la pl ushauteordreet prestee	-|--⌫-|----|----|-|------|
quediexaitfete etcommandee	--|---|--|---|-|--------|
c estlor dre deche ualerie	|--||--⌫--|-|---⌫------|
qu idoitestr esanzui lanie	--⌫|---|----⌫|---|--⌫----|
et distbiausire oruoussouiegne	-|---|---|---|-|---|-------|
silau i e ntque	|-|--⌫-⌫-⌫-|--|
iluo uscouiegne	-|--⌫-|-------|
co mbatrea acuncheua lie r	--⌫-----||---|-----⌫---⌫|
ice uous ue u ll diree t proier	--|---|--⌫-⌫-|---|-⌫|-----|
seu ousenuen ezaudesu s	-|-⌫--|-|---⌫-|-|----⌫|
qu eue rsuo us	--⌫|--⌫-|--⌫-|
nese puisseplus	-|-|-----|---|
def endrenecont retenir	---⌫----|-|----⌫------|
ainzlestuisseamerciuenir	---||-------||----|----|
gard ezq uemerci e n	----⌫-|-⌫-|----|-⌫|
nelocci ezque u ouspui ssiez	-||----⌫-|--|-⌫--|---⌫----|
ouqueuousu iegniez	-|--|---|-⌫------|
ga rdezbien que uousnesoiez	--⌫---|---|--|---|-|----|
tropparlantnetropnou e liers	---|------|-|---|---⌫-⌫----|
homnepuetestretrop parlier s	--|-|---|----|---|-------⌫|
qu e onn e	--⌫|-|-⌫|
ltiegne au ilanie	|-----||-⌫-----|
etc e sero i t m ou tgrantfolie	-|-⌫|----⌫-⌫|-⌫--⌫|----|----|
queli sages dit ent reset	--|-|----|--|---⌫----|
parle rtropp echier	-----⌫|---|-⌫-----|
pourcebi au	---|-|--⌫-|
filzuousen chasti	---|---|-|-----|
detr op parler	-|--⌫-|-----|
e t uous pri	-⌫|---|--|
s euousueezne pres n e	-⌫|---|---|-|---|-⌫|
d amequidaideaitbe soig	-⌫--|--||---|--|--⌫---|
sestde sconsseillieederien	|--|--⌫------------|-|---|
c onsseilliez lasi fere zbien	-⌫----------|-|-|----⌫|---|
se uouslepooirenauez	-|---|-|----|-|---|
seco nsseillier	-|--⌫---------|
uneautrech osenousaprein g	--|----|--⌫--|---|------⌫|
tenezpasadesdaing	----|--||-------|
quarnef etpa sadesde ignier	---|-|-⌫-|--⌫||-----⌫-----|
alez uolentiers aumoustier	---|---------|-|-------|
proier celuiquitrest o ut	-----|----|--|-----⌫-⌫-|
qued e uost re amemer ci ai t	--|-⌫|----⌫-|--|---⌫-|--⌫|
enc est sie c le t errien	-|-⌫--|---⌫-⌫-|-⌫-----|
c omeboncrestien	-⌫--|--|-------|
etleuallet distau preud ome	-|-|-----|---|-|-----⌫--|
detouz les apost elesderome	-|---|--|-----⌫---|-|---|
s oi ezuous be neoitbi ausi re	-⌫--⌫-|---|--⌫----|--⌫-|--⌫-|
a uss ioy mamere	-⌫---⌫|-|-|---|
orneditesiames biauf rere	-|-|----|----|---|-⌫---|
fetli preudom	--|-|------|
que uostremere	--|-----|---|
uousaitaprisne ens eignié	---|--|----|-|---⌫------|
d ece a m isnemeplaingie	-⌫|-|-⌫-⌫-|-|-|----|--|
l aue z fet iusques	|---⌫|--|------|
fetl epr eudomuostremerci	--|-⌫|--⌫----|-----|----|
uosproiqueuous	--|---|--|---|
enchastiez	-|-------|
qu eseuousmesledis iez	--⌫|-|---|--|-|---⌫--|
afolieletendroi t en	|----|-|-------⌫|-|
pou rceuousproigar dez uousen	---⌫|-|---|---|---⌫--|---|-|
etquedirai ge	-|--|----|-|
dont biausire	---|---|---|
leuauasseurce poezdire	-|--------|-|---|---|
q ui uostreesper on uouschaucha	-⌫-|-----|-----⌫-|---|------|
leuou s aprist et	-|---⌫|-----|-|
etcil l i ale	-|--|-⌫||-|
queiamesne sera	--|----|-|---|
motta ntcom	--|--⌫-|--|
il soituis	-|---|--|
se delui non quil	-|-|--|--|-|-|
est porbienq u illi	--|--|---|-⌫|-|-|
maint ena n tlepr eudom	-----⌫---⌫-⌫|-|--⌫----|
main leueeenhaut	---|----|-|---|
et distbiausire	-|---|---|---|
die x u ouss aut	---⌫|-⌫--|-⌫--|
a lezadieuqui uousconduie	-⌫--||---|--|---|------|
quar ledemourer uouse n nuie	---|-|-------|---|-⌫-⌫---|
lenouel che ualiersem	-|----|---⌫-----||-|
de sonoste m outliest tart	-|--|---|-⌫--|-|--|---|
queils a m ereueoir	--|-|-⌫|-⌫--|----|
etquesaine et	-|--|----|-|
uiuelatruisse	---|-|------|
en uneforest	-|--|-----|
lech eualiertantque il uoit	-|--⌫------|------|-|---|
z zch astelb eletb ien seant	-⌫|--⌫----|-⌫-|-|-⌫--|----|
dehorslesmursn	-----|--|---||
auoitnoient	----|-----|
forseueet meret	---|--|-|--|-|
terreg as te	----|-⌫--⌫-|
d a leruersle	|-⌫--|---|-|
chas telseha ste	----⌫--|-|--⌫--|
tantquedeuan t le manoir uint	------|-----⌫|-|-----|---|
meszzpo nt	--|-|--⌫-|
pass er licouint	----⌫-|-|-----|
quainzq ueilensuieg ne	-|-----⌫-|-|--|----⌫-|
quapain e cu itqu il	-||----⌫|--⌫-|-|-|
les oustiegne	-|-⌫--------|
le ch eualiersuslepontm onte	-|--⌫------|--|-|---|-⌫---|
silepa sseque nuleho nte	-|-|--⌫--|--|---|--⌫--|
neencom brier ne	-|-----⌫----|-|
tan tqued eu antl a	---⌫---|-⌫--⌫--|-⌫|
porte uint	----|---|
si lat r ou afermeeaclef	-|-|-⌫-⌫--⌫|-----||---|
il nihurta mie	-|||----|--|
neniap elamie	-|||--⌫--|--|
tantihu rtaquenel l epas	---||--⌫--|-|----⌫-⌫---|
uintasfenest res	---|-|------⌫--|
unepucelemaigreet	--|-----|-----|-|
s idi stqui	-⌫|--⌫-|--|
estc equiapele	--|-⌫|--|----|
l orsregard euers lapucele	-⌫--|------⌫|---|-|-----|
si lidistneu ousennuit mie	-|-|---|-|-⌫--|-----|--|
zz ch e u aliersuiquiuousprie	-|--⌫-⌫-⌫----|--|--|---|---|
q uelaie nz	-⌫-|----⌫-|
m efetese n trer	-⌫|----|-⌫-⌫---|
o ste lenhuimesprester	-⌫---⌫|-|--|--|------|
eleuousl aurez	--|---||----|
gre n em en saure z	--|-⌫||-|-----⌫|
et nonpo urq uant nousuos ferons	-|-----⌫---⌫---|---|--|-----|
ostelquepou rrons	----|--|---⌫----|
lorssise rest a rriere	---|-|-|---|-⌫-----|
etcilqui a	-|--|--||
lapo rte aguete	-|--⌫--|-----|
crient que le	-----|--|-|
facetro pmus er	---|---⌫|---⌫-|
sirecomm encaahurter	-|------⌫---||-----|
ettantostyy seri anzuindrent	-|------|-|----⌫--|-------|
qu igranzhaches enl eu r	--⌫|----|-----|-|-⌫--⌫|
m ainstindrent	-⌫---|-------|
etc h escun otcaint e s espee	-|-⌫-⌫----|-|-----⌫||----|
siontlap ortede sfermee	-|--|-|-⌫---|--⌫------|
sidist rentsi r euenezenz	-|----⌫---|--⌫-⌫|----|--|
sebien esteustas serianz	-|---|------|-|------|
moutf ussentbiax mesilauo ient	---|-⌫-----|---|--|-|---⌫---|
mesesetantque ilestoient	-----|------|-|-------|
d ege uneretde ueillier	-⌫|--⌫---|-|-|-------|
ti e xc o msenpeust merueillie r	--⌫-⌫||-⌫||-|----|----------⌫|
etilotb ien dehorstrouué	-|-|-|-⌫--|-----|------|
laterreetle	-|----|-|-|
pais g asté	---|-⌫----|
nedede nzderien sn	-|----⌫-|-|----⌫||
quepartou t la oui la la	--|--|---⌫|-|-|-⌫|-⌫-|
trou ua en herbeesles	----⌫-|--⌫------|--|
lesme son s gaste setcheues	--|--⌫---⌫|-----⌫|-|-----|
homenefame ni auoit	---|-|---|||----|
yy moustiers en l auile auoit	-|--------|-|-⌫|---|----|
ouilauo ityyabbaies	-|-|---⌫-|-|------|
lunede nonainsesba hies	|--|-|------|----⌫---|
lautredemo in es esgar ez	|----|-|--⌫--⌫-|-----⌫-|
netrouam iebienparez	-|----|-⌫-|---|----|
les autie x	--|-----⌫|
nebi enpourtenduz	-|--⌫-|---------|
anco is uoitcreuez et fenduz	----⌫-|---|-----|-|-----|
lesmurs etlestou rsdescou ertes	--|---|-|--|---⌫-|------⌫----|
etl es portes	-|-⌫-|-----|
erent ouertes	----|------|
aussiden uit commedeiour	----|-|-⌫--|----|-|---|
molinnimeut neni	----|||---|-|||
e nnull ieuentoutle chastel	-⌫|--|-⌫--|-|---|-|------|
niauoi tnepa inne	||----⌫|-|--⌫-|-|
neriensnul en	-|----|---⌫||
iot auendre	|-||-----|
dont lenpeustzz	---|--|----|-|
denierprendre	-----|------|
sitrou uale	-|----⌫-|-|
chastelgaste	------|----|
i auoitnepainne ble	|----|-|---|-|--|
nesydrenautrechose	-|----||----|----|
uer szzpalesco uuertd e	---⌫|-|----|--⌫----|-⌫|
l ontli yy seriant	|--|-|-|------|
onte t desar mé	--|-⌫|-----⌫--|
tantostzz ser iantsen	------|-|---⌫---||-|
parmi lesdegrezdelasale	----|--|-----|-|-|---|
qia portazzmantel gris	-|-⌫----|-|-----|---|
aperceual laau col	|-------|||-|--|
e t liautres ontestablé	-⌫|-|-----|--|-------|
soncheualouil n auoitble	--|-----|-|-||----|--|
nefainnefuerrese	-|---|-|-----|-|
queyuerierten	--|---|---|-|
li a utres deuan t eu lslefont	-|-⌫----|-----⌫|--⌫-|-|---|
monte rparlesde grezamo nt	-----⌫|--|--|--⌫---|---⌫-|
en l asalequimoutfubele	-|-⌫|---|--|---|-|---|
du ip reudo mme etunepuc ele	--⌫|-⌫-----⌫--|-|--|---⌫--|
lisontal encontre u e nu	-|---|||-------|-⌫-⌫-|
etlipr eudo mierentchen u	-|-|--⌫----⌫|-----|----⌫|
e tla pucele uintplus	-⌫|-|-----|---|---|
e tpl usace sm ee et	-⌫|--⌫-|---⌫--⌫-|-|
plus ioin te	---|----⌫-|
queespeuriernep apega ut	--|--------|-|-⌫-----⌫-|
son mantel	--|-----|
fue t sonbliaut	-|-⌫|--|-----|
dune pourpreuert etou uree	|--|------|---|-|--⌫---|
nestoitmiepelee	|-----|--|----|
lapanequelmantel	-|---|-|-|-----|
d u iseb elinno i rcomme	-⌫-⌫|---⌫---|--⌫-⌫|----|
furentdeua ntet parfierte	-----|----⌫-|-|--|-----|
fu lemantelau col ourlé	-|-|-----|-|--|-----|
etse gefis	-|-|-|--|
onquesd euis	-----|-⌫---|
debi autequediex	-|--⌫---|--|---|
en ch iefdefame n eenface	-|--⌫--|-|---|-⌫|-|---|
or me ple stil	-|-|---⌫-|-|
qu eunen face	--⌫|-|-|---|
d ontie n e me ntirai demot	-⌫--|-|-⌫|--⌫-----|-|--|
desloiefuetsi	------|-|-|-|
lescheueustiexsestrepouist	--|------|---||----|-----|
qu ecilcuidastqu iles	--⌫|--|------|--⌫|--|
tan testoientl uis antet	---⌫|-------|-⌫---⌫--|-|
queil fussenttuitdefin or	--|-|------|---|-|--|-|
lefront o t	-|----|-⌫|
belet sitresplain	--|-|-|---|----|
fu stfet alama i n	--⌫-|--||-|--⌫-⌫|
quide m ai nd	--|-|-⌫--⌫||
ome fetefust	--|---|---|
de pierredureo u d efust	-|-----|---|-⌫|-⌫|---|
sourci lzfourn isetlarge entrueil	------⌫-|-----⌫-|-|----|-------|
etsateste furent siueil	-|-|----|-----|-|---|
cleretriant etauenant	---|-|----|-|------|
uou sd ibie n	---⌫|-⌫|---⌫|
ur aie me n t	--⌫---⌫--⌫-⌫|
que miexauenoiten	--|---|------|-|
le uermeillsusle blanc	-|-------|--|-|----|
q uelesyno ples usl	-⌫-|-|----⌫--|-⌫-||
pore mblerlescuersdela	--|-⌫----|--|----|-|-|
diexetp a rg rant me rueille	---|-|-⌫-⌫|-⌫---|--⌫------|
onque smes notfetsaparei lle	-----⌫|--||-|--|-|-----⌫--|
nep l us bele fete nauoit	-|-⌫-⌫-|---|---||----|
sitostc omlega loislauoit	-|---|-⌫-|-|--⌫---|-|---|
et sot queleuint contre lui	-|--|-|--|---|-----|--|
si lasalue etelelui	-|-|----|-|--|--|
lors la damoisel elep rent	---|-|--------⌫|-|-⌫---|
par lamain	--|-|---|
debonerement	-----------|
nostreostiex	-----|-----|
niertmie ennuit espoir itiex	|---|--|-----|-----|----|
co ma preudomecouend ro it	--⌫||-------|------⌫--⌫-|
segeu o u sdis oieorendroit	-|-|-⌫-⌫-⌫|---⌫--|--------|
to utnostrec ouuinee tnostreestre	--⌫-|-----|-⌫-----|-⌫|-----|----|
uos cuideriez bien p uet e stre	--|--------|---|-⌫--|-⌫---|
queparmauuestiele deisse	--|--|--------|-|-----|
al eruousen	--⌫-|---|-|
mess i l uous p lest	--||-⌫|---|-⌫---|
or enuenez	-|-|----|
los telt elcomil	|--⌫--|-⌫-|--|-|
est prenez	--|-----|
di ex uousdonrameillor	--⌫-|---|----|------|
ainss ilenmain e parla	-----⌫||------⌫|--|-|
i usquenune	-⌫---|-|--|
chambrec el ee	------|-⌫--⌫-|
qui estoi t moutlo ngue	--|-----⌫|---|--⌫---|
su s une coutedesamit	--⌫|--|----|-|----|
deq uoie stoi t	-|-⌫--|-⌫----⌫|
couertlelit	-----|-|--|
sesont andoil eenz assis	-|---|----|-⌫---|----|
cheual iersy y puceless is	------⌫---|-⌫|------|-⌫-|
uind r entle enz	----⌫-⌫--|--⌫--|
part ropiaxsistrent	--|-⌫-----|-------|
seulmo tilne d is trent	---|--⌫|-|-|-⌫--⌫----|
si uirent celui	-|-----|----|
dele zleurdameet mot nedist	----⌫|---|---|-|--|-|---|
pourcedeparlersetenoi t	---|-|-|-----|-|-----⌫|
cha stilisouuenoit	---⌫--|-|--------|
quelipreu d ons	--|-|----⌫-⌫--|
l iauoit fet	-⌫|----|--|
si en te no ient entreuls	-|-|--⌫--⌫---|---|---|
tuit licheuali eraconsse ill	---|-|-------⌫-||------⌫--|
dexfet chescunmo utmemerue ill	--|--|------|--⌫-|-|-----⌫--|
se cecheualierest	-|-|--------|--|
grant duelseroi t	----|---|-----⌫|
conquessi bel	|-----|-|--|
cheu a lie r nef unez d efame	----⌫-⌫---⌫|-|-⌫|--|-⌫|---|
mo ut aui ent biendele z madame	--⌫-|---⌫--|---|----⌫|-|---|
et mada m emoutdelez	-|-|--⌫-⌫|---|----|
fus sentmuel a ndui	---⌫---|---|-⌫---|
que tante stbi a xetel e	--|---|-⌫-|--⌫-⌫|-|--⌫|
conquescheua lier ne	|-----|-----⌫---|-|
sibienn auindr en tme se nsemb le	-|---||------⌫--⌫|--⌫|-⌫-----⌫-|
lun d elezlautrece mesemble	|-|-⌫---||----|-|-|-----|
que die x lunpor la utre	--|---⌫||-|--||-⌫---|
porcequ ense mblelesme ist	--|-|-|----⌫---|--|--⌫--|
et ladamoise leatendoit	-|-|-------⌫-|-------|
q uillaresnast	-⌫|-||-------|
dequoiquesoi t	-|------|---⌫|
tantqu eeleuit bienet	------⌫|--|--|---|-|
nelidiroit nu lmot	-|-|-----|--⌫|--|
pa rle aluiauant	--⌫--||--|----|
distdebonereme nt	---|----------⌫-|
siredontueni stesuou s	---|---|----⌫---|---⌫|
d amoi sele fetilgeiui	-⌫----⌫---|--|-|-|--|
chiesz zpreudom	----|-⌫|------|
azzchastel	|-|------|
ouioiostelet bon etbel	-||-|----|-|--|-|--|
yytoursforset esli tes	-|----|---|-|----⌫--|
un e grantetqua trepetites	--⌫|----|-|---⌫--|------|
nes aitoutel oeuureasoumer	-|-⌫-|----||-----|------|
nele chastelnesa i nonme r	-|-|------|-|--⌫|-----⌫|
sai bienque li preudom	--|---|--|-|------|
gornemantdegohort an on	--------|-|-----||-⌫-|
ha bi ax amisfetlapucele	-|--⌫-|---|--|-|-----|
come uostreparolee st bele	---|-----|-----|-⌫-|---|
et moutauez dit quecourtois	-|---|---|--|--|-------|
gre uousensached ie uli	--|---|-|----|-⌫--⌫|-|
queu o uspreud omelapelastes	--|-⌫-⌫-|-----⌫--||--------|
o nquesiourplusuoir ne parl aste s	-⌫----|---|---|---|-|----⌫----⌫|
quilestpreudom parsaintrichier	-|-|--|------|--|----|------|
icepuisge bien	--|---|-|---|
tesmoig nier	-------⌫---|
etsachiezqueiesuisaniece	-|------|--|-|--|-|----|
mesnele uimo utagrantpiece	--|-|-|-|--⌫-||----|----|
et puis certesq ue u ousmeustes	-|---|-----|-⌫-|-⌫--|------|
ost elneconn eustes	---⌫-|-|----⌫-----|
plus preudo memien esci ent	---|------⌫-|---|----⌫--|
moutbon nech iere etmoutioiant	---|---⌫-|--⌫---|-|---|-----|
uou sfistqu ari l le sot	---⌫|---|--⌫-|-⌫|-|--|
comme gentil etde bone re	----|-----|-|--⌫----⌫-|
puissanset a aisiez etr iche s	-------|-|-⌫-----|-|-⌫----⌫|
m es ceenz naforsqueyymiches	-⌫-|----|||------|-|-----|
quezz mienonclezzsaint	--|-|---|----|-|----|
zzsaint home rel egious	-|----|---|---⌫-----|
menuo iapour souperennuit	|----⌫-|---|-----|-----|
etplainbouceldeuingecuit	-|----|-----|-|--|-|---|
de uitailleceanz	-|-------|----|
fo rszzcheurel c unmienserianz	--⌫-|-|------||-|---|------|
occist hui maindun esai ete	-----|--|---||--⌫|---⌫--|
atant c o mmande que l enmete	----|-⌫-⌫-----|--|-⌫-|---|
lestables etelessontm ises	--|-----|-|---|---|-⌫---|
mengierassises	------|------|
au s o uperontmout p e titsis	-|-⌫-⌫---|--|---|-⌫-⌫--|--|
mes mout lontpar g ran ttalentpr is	--|---||--|--|-⌫---⌫|-----|--⌫-|
apresme ngierse departi rent	----|--⌫----|-|-------⌫---|
ceulssirem e strent	----|-|---⌫-⌫-----|
quido rmi re nt	--|--⌫---⌫--⌫-|
quilaut re	--||---⌫-|
nuitu e ill ieeore nt	---|-⌫-⌫---⌫--|---⌫-|
etceusiss irentq uid orent	-|---|---⌫----|-⌫-|-⌫----|
la nuitparle	-|---|--|-|
chastelueillier	------|-------|
seri antfurentetcheuallier	----⌫--|-----|-|---------|
y y qui la n uit uei l lieren t	-⌫|--|-|-⌫--|---⌫-⌫------⌫|
e tli aut r esetraueillierent	-⌫|-|---⌫-⌫|-|-------------|
de leu r ost e bienaai sier	-|---⌫|---⌫|---|---⌫---|
bons draset	---|---|-|
couertoi r mout chie r	--------⌫|---|----⌫|
etoreillierau chieflimist rent	-|--------|-|----|-|----⌫---|
ceu s quiducouc hiers	---⌫|--|-|----⌫---||
entre mistren t	-----⌫-------⌫|
aai seettout	---⌫-|-|---|
quensache deuiser e nlit	-|-|----|------|-⌫|--|
otle cheualiercelenuit	-|-|--------|---|---|
forsseul sanzplusque le	---|---|---|---|--|-|
dunepu cele	|--|--⌫---|
sil leu st	|-|---⌫-|
mesnensauoi ten quorerien	--||-|-----⌫|--⌫----|---|
nilnipenssoitn emal ne	|-|||-------|-⌫|--|-|
si sendo rmi auq ues p a r te mps	-||----⌫--|---⌫--|-⌫-⌫|--⌫--|
quarilnestoi tderiens empen s	---|-||-----⌫|-|----|-----⌫|
mess os tessepas ne	--||--⌫----|--|-|
quiensachambre	--|-|-|------|
esto itenclose	----⌫-|------|
cildor taa ise etcele pensse	--|---⌫||-⌫--|-|---|-----|
quenaenlipoint de defe nsse	--|||-|-|----|-|----⌫---|
d une batailleq uelassaut	|--|-------|-⌫-||-----|
mou t detournemouttress aut	---⌫|-------|---|-----⌫--|
forments edegratee t	------|-⌫|------|-⌫|
zzcourtmanteldesoieen grain e	-|----|-----|-|---|-|-----⌫|
afubla desus la chem ise	-----|----|-|----⌫--|
sisesten auenturemise	-||--|-|-------|---|
commehardi e etcourageuse	----|-----⌫|-|---------|
mesce nestoit pasporo i seuse	--|-||-----|--|--|-⌫-⌫----|
ainzse pensse que ele	---|-|-----|--|--|
osteetsili dira	---|-|-|-|---|
desonuouloir	-|--|------|
unepa rti e	--|--⌫---⌫|
tantostsestdulit dep ar tie	------||--|-|--|---⌫--⌫--|
la chambre	-|------|
atelpaourque tuit	|--|----|--|---|
l i me m bre	-⌫|--⌫-⌫--|
e tlec orsdepaour	-⌫|-|-⌫--|-|----|
plorantest delach ambre	------|--|-|-|--⌫----|
etuientaulitoucil sedort	-|----|-|--|-|--|-|---|
sipl eureet sos pir e	-|--⌫---|-|---⌫---⌫|
sagen oulle	|----⌫----|
d e lermesettoute laface	-⌫|-----|-|----|-|---|
n ah ard ementqueplusliface	||-⌫---⌫----|--|---|-|---|
t antaploréquecils esueille	-⌫--||-----|--|--||-------|
sise sbahistetsemerue il le	-||-⌫------|-|-|-----⌫--⌫-|
facequilsentmoul lie e	---|-|-|---|----⌫---⌫|
etu oi t labeleagenoulliee	-|-⌫--⌫|-|---|----------|
deuant sonlit	-----|--|--|
quiletenoi t	--|-|-----⌫|
embraciél auoit	--------||----|
ett antdeco urtoi sie fist	-|-⌫--|-|--⌫-----⌫--|---|
bele entr es e sbras prist	---|----⌫|-⌫-⌫|---|----|
etmaintenantuerslisetrest	-|---------|---|-|-|----|
si li distbele que uousplest	-|-|---|---|--|---|----|
pourquoiestes uenueci	---|---|----|----|-|
agentis homs p ar dieumer ci	|-----|---|-⌫-|---|---⌫-|
pourdieuuous	---|---|---|
proi etpors on filz	---|-|--|-⌫-|---|
que uous nemenaiezplusuilz	--|---|-||-|---|---|---|
po u rceque ie suici uenue	--⌫-⌫|-|--|-|--|-|----|
etsi s ui presque toute nue	-|-|-⌫-|------|----|--|
mesnipensseonques	--|||-----|-----|
n emauuestie	-⌫|--------|
ne ui lan ie	-|--⌫---⌫-|
