cefu eltans carbre	-|-|-|---||----|
querantbatalleet	------|------|-|
u enoitden ature	-⌫----|-|-⌫----|
nature liaprent	-----|-|-----|
cue rs deltouti entent	---⌫-|--|---||-----|
nelipu etestre riens greuaine	-|-|--⌫-|----|----|-------|
natur e etcuers	-----⌫|-|----|
sibienl efa isoit	-|---|-⌫|--⌫----|
que au preudomemoutplais oit	--|-|-------|---|-----⌫--|
etsidis oit ensoncorage	-|-|---⌫--|-|--|-----|
ques i l se fus t tout	--||-⌫|-|---⌫|---|
d arm esp en és	|---⌫-|-⌫--⌫--|
etentre mis	-|-----⌫--|
sen fust ilasses bie napris	|-|---|-|----|---⌫|----|
quantliuarleseutfa i tsontor	----|-|-----|--|--⌫-⌫|--|--|
de uant lep reudome	--⌫---|-|-⌫------|
lance leuees	----|----||
enrepair e	-|------⌫|
si conil li o t	-|--|-|-|-⌫|
ueut f aire	---|-⌫---|
siredist ilaiiebienfait	---|---|-|-|-|---|---|
quidiésuousqueia me stier	-------|---|--|-|--⌫----|
paine se iemetre liuoel	----|-|-|----|||---|
onquesr ie nne ui rentmio el	-----|-⌫--⌫|-|--⌫---|-|-⌫-|
t r esgr ant enuieeusse	-⌫-⌫-|--⌫--|----|----|
mout uorroie queienseusce	---|------|--||-|-----|
autretantc on	--------|-⌫-|
uosensau e ́ s	--|-|---⌫-⌫-⌫|
faitl ipreudomuos	---|-⌫|------|--|
amisse l ecuer i au és	---|-|-⌫|---||--⌫--|
iamaisquisenconnen	-----|--------||-|
lipreudompar	-|------|--|
y y foismonta	-⌫|---|----|
par yyfois d armesl ensegna	--|-|---||----||------|
tantcomeilmostrer len pot	---|---|-|------||-|--|
ta ntkeassesmo stre ́l	--⌫---|----|--⌫----⌫||
et pary y foism o nterle fist	-|--|-⌫|---|-⌫-⌫---|-|---|
eta celifoisseli di st	-||---|---|-|-|--⌫-|
amis se uousencontr i iés	---|-|---|-------⌫-⌫---|
uncheualierque fer iiés	-|--------|--|---⌫----|
s iluosf ero i t ie lre ferro i e	|-|--|-⌫---⌫-⌫|-||--⌫-----⌫-⌫|
etseuostre	-|-|-----|
lanche peco ie	-----|----⌫-|
apries co u n iaroitilplus	-----|--⌫|||----|-|---|
mais k a spuins	----⌫|-⌫|----|
licor roiesus	-|---⌫---|--|
n e ferés uousmie	-⌫|-----|---|--|
qu eferaiiou parescrem ie	--⌫|----|--|--|------⌫-|
i résreq ue rre	-⌫---|---⌫--⌫--|
lorsficedeuantl uien terre	---|---|-----|-⌫-|-|----|
la l ancetouted roi teestant	-|-⌫---|----|-⌫---⌫-|-----|
li preudomlecouoitetant	-|------|-|------|---|
darmes e nsignieretap rendre	|----|-⌫-------|-|--⌫-----|
s ensacebiendeffe ndre	|-|---|---|-----⌫---|
alesp ee se l enrequi e rt	||---⌫-|-||-|-----⌫-⌫-|
etenuair quantl i us	-|-----|----|-⌫-⌫-|
puisamaina	---||---||
lespeem ise	|----|-⌫--|
amisfaitileni tel	---|---|-|-|-⌫--|
uosdesf end roi s son	--|----⌫---⌫---⌫||-|
uosas saut	--|--⌫---|
dece fa itilsedexme s aut	-|-|--⌫-|-|-|--|-|-⌫--|
nesetnustantcome ieface	-|--|--|---|---|-|---|
bouriausetast aleua s	-------|-|-|-⌫-----⌫|
ci e smameree naprisa sse s	--⌫-⌫|-|---|-⌫|----|-⌫---⌫|
t antque souent	-⌫-----|-----|
enfuilassés	-|--|------|
dont alons	---|----|
fa itli preudom quil n	--⌫-|-|------|-|-||
arés quiq uilanuit	----|----⌫|-|----|
ostel sans uilonie anuit	----|---|------|----|
uo nt anduicost eacoste	--⌫-|----|----⌫||----|
et li ua rles dista s on oste	-|-|--⌫---|---||-⌫-|---|
siremamerem	---|-|---||
k auoechomen al asse	|----|---||--⌫---|
necompagnie	-|--------|
grammentk e	-------|-⌫|
sonnonne seusse	--|--|-|-----|
etselemensegnas auoir	-||--||------|-⌫----|
l e uos tr e	-⌫|---⌫--⌫|
non sauoir	--|-----|
biausamis ciers faitli	----|---|----|---|-|
gonemansdegelb ort ain on	-------|-|----⌫--|-|-⌫-|
issi iusqua	---|----||
loste lsen uinrent	|----⌫||-|------|
etmain amainandu i seti nr ent	-|---||---|----⌫|-|--⌫--⌫--|
a lamontee deldegre	|-|-----|--|----|
uin tzz uarles	---⌫|-|-----|
totdesongre	--|-|--|--|
quiaportazz mantel	--|-----|-|-----|
leuarle t af ub lerencourt	-|-----⌫|--⌫--⌫--|-|----|
kapri esle cau t nelip resist	|----⌫-|-|---⌫|-|-|-⌫-----|
fro idurequimall ifesist	---⌫----|--|--|-⌫|-----|
ricesmaisonsbeleset	----|------|----|-|
otli preudometbiau s enfans	-|-|------|-|----⌫|-----|
mangiersfu a torn és	-------|-|-⌫----⌫--|
bi aus etb ien c onree ́s	--⌫--|-|-⌫--|-⌫-----⌫-|
sont assi saumangier	---|----⌫|-|------|
quil niotautredelaier	-|-|||-|----|------|
e tlipr eud omlesl uiassist	-⌫|-|--⌫---⌫-|--|-⌫-|-----|
leu a rletet ma n g ierle fist	-|-⌫-⌫---|-|--⌫-⌫-⌫--|-|---|
enuneescuiele	-|--|-------|
de s mesnefacautreno uele	--⌫|--|-|--|----|--⌫---|
quan se n iotne qu elil	----⌫|-⌫||-|-|--⌫-|-|
maisassesman gieren t	---|----|---⌫------⌫|
del mangiernef ac a utre	--|------|-|-⌫-|-⌫---|
qua nt leu é furen t dela tabl e	---⌫-|---⌫-|-----⌫|-|-|----⌫|
lipre udom ki moutfucor to is	-|---⌫---|-|---|-|---⌫--⌫-|
priade remano ir zz mois	---|-|------⌫-|-|---|
leuarlet kideles l uisist	-|-----|-|----|-⌫-|---|
l eretenis tiluolenti ers	-⌫|-------⌫|-|-------⌫--|
s iapreistendementiers	-⌫|------|-----------|
teschosessel eslip leussent	--|-----||--⌫-|-|-⌫-------|
caubesoing mestier lie ussent	|-|------|------|-|-⌫-----|
et li uarlesred i stapres	-|-|-----|---⌫-⌫-|----|
sirenesaise	---|-|--|-|
iesui pres	-|--|---|
del manoir u	--|-----||
ma isi epridie u	--⌫-|-⌫|--|---⌫|
que i l m i maint	--|-⌫|||----|
e ncorlepuisseueoir	-⌫---|-|-----|----|
quepasmee l euice oir	--|-----|-⌫|-|--⌫--|
aucief del	-|---|--|
pontdeuant la	---|-----|-|
sai seleest	--||--|--|
uiueum o rte	---||-⌫-⌫--|
dedue ldemoi	-|---⌫|-|--|
quant lelai ssai	----|-|---⌫---|
cai pasm ee	--|----⌫-|
et pourcoune poroitpasest r e	-|---|--|-|-----|--|---⌫-⌫|
seuscesones tre	-----|--|--⌫--|
li pr eu d om ot	-|--⌫--⌫-⌫-|-|
proi ereet laparolefaut	----⌫--|-|-|-----|---|
siuont c ociersansplusdepla it	-|---|-⌫----|---|---|-|---⌫-|
q ueli lit	-⌫-|-|--|
estoie ntfait	------⌫-|---|
l i pr eu domparmatinleua	-⌫|--⌫--⌫--|--|----|---|
aulitl euarletenala	-|--|-⌫|-----|-|--|
lauilletroua gisant	-||-|-|----|-----|
se lifistporterenpresa nt	-|-|---|-----|-|-----⌫-|
cemiseetbraiesde cainsil	-----|-|-----|-|------|
etcaucestai n tes enbresil	-|-----|---⌫-⌫--|-|-----|
etc ot edu ndrap de	-|-⌫--⌫||-⌫|---|-|
quifutis sus e t	--|-|---⌫--|-⌫|
faisen ynde	---|-|---|
por couqueue stirlifeist	--|--|--|--⌫---|-|----|
lienuoiaet selidist	-|-----|-|-|-|---|
am isces drasquec i ueés	--⌫-|--|---|--|-⌫|----|
uiestirésseu o smencreé s	---------|-|-⌫-⌫||-|-----⌫|
etli uarles res pontbiaus	-|-|-----|---⌫---|----|
uou s poriésassesmiusdir e	---⌫|------|----|---|---⌫|
kemam eremefis t	-|-|-⌫--|-|---⌫|
dontneu al entilmius	---|-|-⌫--⌫--|-|---|
et uo usuol és	-|--⌫-|---⌫--|
queielesueste	--|-|--|----|
uarletfoi queie doi mateste	-----|--|--|-|--|-|----|
faitlipreudomainsualent	---|-|------|---|-----|
uo smedesistesbiausamis	--⌫|-|-------|----|---|
quan t ie uos am enaicaie ns	----⌫|-|--|--⌫---|----⌫-|
queuoustousmescomandemens	--|---|---|--|----------|
f eriésetiousiferai	-⌫-----|-|--|-|----|
fa itliuarlesia	--⌫-|-|-----|-|
e ncontreuousdenulecose	-⌫------|---|-|---|---|
asdrasuestirplus	-|---|-----|---|
siales samerelaissiés	-||--|-|---|--------|
et l ipreudoms est abais sie ́s	-|-⌫|------||--|-----⌫---⌫-|
silicaucal esporon destre	-|-|----||------|-----|
la coustumesoloittel eestre	-|-------|-----|---⌫|----|
queciusqu ifaisoit ch eualier	--|---|--⌫|------|--⌫------|
lideuoitl esporoncauc ier	-|-----||------|----⌫--|
d a utresuarl es assesiot	|-⌫----|----⌫-|----||-|
cascunsk iauenir	------|-⌫|-----|
aluiarmera la	|--|----||-|
etli preudomlespeea prise	-|-|------||----||----|
seli caint et	-|-|----|-|
si lebaisa	-|-|----|
etdistquedon ee li a	-|---|--|---⌫-|-||
l aplushau t e ordeneapr es	-⌫|---|---⌫-⌫|-----|---⌫-|
quediexaitfa iteetcomandee	--|---|--|--⌫--|-|-------|
orden edecheualerie	-----⌫|-|---------|
e stresansuilon ie	-⌫---|---|-----⌫-|
etdistb iaus frere or uos	-|---|-⌫---|----|-|--|
souiengn e	--------⌫|
siluosaui ent quiluosco uiengne	|-|--|---⌫--|-|-|--|--⌫------|
combatrea aucuncheualier	-------||----|--------|
ic eu os uoeli ebi enproier	--⌫|-⌫-|---|-⌫|--⌫-|-----|
s e uou senuené saude su s	-⌫|---⌫|-|-----⌫|-|--⌫--⌫|
qu enuers uous	-|-----|---|
nes ep uisseplus	-|-⌫|-⌫----|---|
deffendrenec ontretenir	--------|-|-⌫---------|
ainslestu ec ea merc iuen ir	---||----⌫--⌫||----⌫|---⌫-|
ga rdésque uosne	--⌫----|--|--|-|
e tgarde ́s qu e	-⌫|-----⌫-|--⌫|
uousnes o i és	---|-|-⌫-⌫-⌫--|
tropparl iers netr opnoueliers	---|----⌫---|-|--⌫-|--------|
nus ne pu et	--|-|--⌫-|
estre trop parliers	----|---|-------|
q uisou ent telcho senedie	-⌫-|---⌫--|--|---⌫-|-|--|
q ue on litourneauil on ie	-⌫-|-|-|-----||---⌫--⌫-|
l is agesledistetr etrait	-⌫|-⌫---|-|---|-|-⌫-----|
quitropparole	--|---|-----|
pech ie fait	----⌫-|---|
de c ebi aus	-|-⌫|--⌫--|
frere uouscasti	----|---|----|
de t ropparle r etsiuospri	-|-⌫--|-----⌫|-|-|--|--|
seuoustroués	-|---|------|
homene fame	---|-|---|
u s oitdam osel e	|-⌫--|---⌫----⌫|
d es con selliesd aucunerie n	-⌫--⌫---⌫------||-----|---⌫|
conse lliésle sifer és bien	-----⌫-----|-|-|---⌫--|---|
seuouscon sselier lesau és	-|---|---⌫------|-|---⌫--|
etselepooir enaués	-|-|-|----|-|----|
une autre cose uosaprenge	--|----|---|--|------|
quene te nésmiead esdagne	--|-|--⌫---|--||-⌫------|
carne faitmieades dagnier	--|-|---|--||---⌫------|
uolentiers alésaumoustier	---------|----|-|-------|
priiésce luikitoutafait	------|--⌫--|-|---||---|
qued euostre arm e mer ci	--|-⌫|-----|---⌫|---⌫-|
et liu arlesdista upreu dome	-|-|-⌫----|---|-⌫|----⌫---|
d etousles	-⌫|---|--|
apostlesde ro me	-------|-|--⌫-|
soiésuous	-----|---|
beneois biau s si re	------|----⌫|--⌫-|
quautel oi mamere dire	-|----|-|-|---|---|
encest si e cletier riien	-|---|--⌫-⌫--|----⌫----|
u osg art comeson crestiien	-⌫-|-⌫--|---|--|--------|
orne dites iama isbiausfrere	-|-|----|----⌫-|----|----|
f ai t lipreu domqueuostre mere	-⌫--⌫|-|----⌫--|--|-----|---|
apris neensignié	----|-|--------|
uousplusledis iié	---|---|-|---⌫---|
afoli e le	|----⌫|-|
te nroitlen	--⌫----|--|
por couuos prigardés uous	--|--|--|--|------|---|
quedir ai dont	--|---⌫-|---|
fait il biaussire	---|-|----|---|
liuauasoursce por ésd ire	-|--------|-|---⌫--|-⌫--|
quiuost reesporonuos cauca	--|----⌫-|------|--|----|
leuousaprist	-|---|-----|
etens engna	-|---⌫----|
etcil li a led ondo une ́	-|--|-||-|-⌫-|--⌫---⌫|
queianiaramai snom é	--|-|||--|---⌫|---⌫-|
ilseraui s	-|---|--⌫|
quec estbiensque	--||--|----|--|
illiensagne	-|-|------|
ma int enantlipreudomlensagne	--⌫---⌫----|-|------||-|----|
siasamai nleuee en h a ut	-||-|---⌫|----|-|-⌫-⌫-|
etdist bia usfreredex	-|---|---⌫-|----|--|
alésadieu qui	----||---|--|
uosc onduie	--|-⌫-----|
que lid emorersu os	--|-|-⌫------|-⌫-|
l inouiauscheualiers senpart	-⌫|------|---------||-|---|
desonostequil	-|--|---|-|-|
liest tart	-|--|---|
que asamereu en ir pu isse	--||-|---|-⌫--⌫-|--⌫---|
et saineleret ruisse	-|----|-|---⌫-----|
met esfori es	--|-|----⌫-|
carasse s miusca s	--|----⌫|---||-⌫|
tiere sp laines	-----⌫|-⌫-----|
es for iessereco nissoit	-|---⌫--|-|----⌫------|
etcheuaucetantqueiluoit	-|-------|------|-|---|
zz ca s tiel	-|--⌫-⌫---|
fortet biensea nt	---|-|---|---⌫-|
mais fors de smur s	---|---|--⌫|---⌫|
n a u oit n iant	|-⌫-⌫--|-⌫---|
for s mer eteuetoteert	---⌫|--|-|--|---|--|
d erre r uers le castelsehaste	|----⌫|---|-|-----|-|----|
tantkedeuantlaporteuint	-----|-----|-|----|---|
maiszzpontpasser li	---|-|---|-----|-|
si foibleainscal aporte u i egne	-|-----|----||-⌫|----|-⌫-⌫---|
capainequicquil le	||----|---|-|-|-|
sostieg ne	-------⌫-|
licheualierss orlepontm onte	-|---------|-⌫-|-|---|-⌫---|
sile passekem alneh onte	-|-|----|-|-⌫-|-|-⌫---|
neencombrier sneli	-|----------⌫|-|-|
tantkedeuan tla porte t int	-----|-----⌫|-|----|-⌫--|
siletroua fremeeaucief	-|-|----|-----|-|---|
nilnihurta mie	|-|||----|--|
neseniapie laenbas	-|-|-|----⌫-|-|--|
t ant i ferik enesl epas	-⌫--||---||-----⌫---|
uitasfenestresdelasale	--|-|--------|-|-|---|
unepuceletainteetpale	--|-----|-----|-|---|
et distkiestkilaapiel e	-|---|-|--|-|-|-----⌫|
cil regardeuerslapucel e	--|------|---|-|-----⌫|
sileuoitetdist	-|-|---|-|---|
unsc heu aliers	--|-⌫---⌫-----|
anuituos prie	----|--|---|
quelaiens mefaciésentrer	--|-----|-|------|-----|
et lostelanuitmais	-||----|----|---|
sirefaitel euousl arois	---|---|--⌫|---||----|
mais iagrenenosen s arois	---|-|--|-|--|-|-⌫----|
et neporquantnos	-|---------|--|
u osferons	-⌫-|-----|
si be lostel con nous	-|--⌫|----|--|---|
lors sest lapucelearr es tee	---||--|-|-----|---⌫--⌫--|
etcilkila paroleagree	-|--|-|-|-----|----|
crientquel	-----|-|-|
nelfacetropeste r	-||---|---|----⌫|
si recomenc a a hurte r	-|--------⌫||-----⌫|
et tantosyyseriant uinrent	-|-----|-|------|------|
qui granshacesen lormains	--|----|----|-|--|----|
et casc unsotca inte uneespee	-|----⌫--|-|--⌫---|--|----|
si ontlapor te de sfremee	-|--|-|---⌫-|--⌫------|
e tdien tfrereue nés ans	-⌫|----⌫|----|--⌫---|--|
sebien e steustass e rians	-|---|-⌫-----|-|-⌫-⌫----|
moutfuscentbi elmaisila uoient	---|------|--⌫-|---|-|-⌫-----|
m esaiset antqueil	-⌫-----|-⌫-----|-|
deieun e r et do uuellier	-|----⌫-⌫|-|--⌫|------|
sen pe uistmeruellier	|-|--⌫---|---------|
etsilot bien	-||-|-|---|
de for strouuee	--⌫---⌫|------|
latieregast eetesc ouuee	-|----|----⌫|-|---⌫----|
dedensrie ns ne l ia menda	-----|---⌫-|-|-⌫|-⌫----|
que partoutl a u ilala	--|--|---|-⌫||-|--|
trou a degastesles	----⌫|-------|--|
etlesma isonsius deceues	-|--|--⌫----|--|------|
nomenefameniauoit	|--|-|---|||----|
yymoustiers en la	-|--------|-|-|
u ileauoit	-⌫--|----|
quiestoient yy a b eies	--|-------|-|-⌫-⌫---|
lune d en o nainsesbah ies	|--|-⌫|-⌫-⌫----|-----⌫--|
la utrede moineses garés	|-⌫---|-|-----|--⌫-----|
mie bie n p arés	--|---⌫|-⌫----|
lesmostiers nebien porten dus	--|-------|-|---|------⌫--|
ancoisuitcrois iés	-----|--|-----⌫---|
lesmurs et lestoursdescouertes	--|---|-|--|----|----------|
et lesporteserentouert es	-|--|-----|----|-----⌫-|
ausidenuit co me	---|-|---|--⌫-|
moli nsnimieutne nequistfors	----⌫-|||----|-|-|----|---|
en null iudede ns	-|--|-⌫-|----⌫-|
le caste l	-|-----⌫|
auoitn euinne gas tel	----|-⌫|--|-|---⌫--|
ne riensnu l e	-|----|--⌫-⌫|
d on t onpe ustzzdenier prendre	-⌫--⌫|-|--⌫--|-|-----|------|
is sitrouu a le	--⌫-|-----⌫|-|
caste lga ste	-----⌫|--⌫--|
tro uane painne paste	---⌫-|-|---|-|----|
neuin nesy dreneceruoise	-|--|-|--⌫--|-|-------|
uerszzpalaiscouert d ardoise	---|-|-----|-----||------|
li yyse rian t mené	-|-|--⌫----⌫|----|
et d escenduet desarmé	-|-⌫------|-|-------|
et tantoszzuallesauale	-|-----|-|-----|----|
parmilesdeg res delas ale	----|--|---⌫--|-|-|-⌫--|
quiaporta zzmantel gris	--|-----|-|-----|---|
cheualierlami s	--------|||--⌫|
e t u nsautr esa e stablé	-⌫|-⌫-|----⌫-||-⌫------|
sonc eualla u	--|-⌫---|-||
nauaines epoin o n	|-----|-⌫|--|-⌫-⌫|
caril nestoiten lamaison	--|-||-----|-|-|-----|
li autrede uantlui e nu ont	-|----|--⌫---|--|-⌫|-⌫--|
puisdrec ierentencontremont	---|----⌫-----|-|---------|
sal e kimout f ubele	---⌫|-|---|-⌫|---|
dui preudome e t	--|-------|-⌫|
sisont a le ncontreu e n u	-|---|||-⌫------|-⌫-⌫-⌫|
etlipreudom esto it	-|-|------|----⌫-|
nonpassiq uetu itfuscentblanc	--|--|-|-⌫-|--⌫-|------|----|
debeleageatout	-|--|---||---|
e ta toutelor forcefu ssen t	-⌫||----|--|----|--⌫----⌫|
s anuietpesanceneuscent	|---|-|------||------|
et la pu ciel euintpluscointe	-|-|--⌫----⌫|---|---|-----|
plusacesm ee etplus iointe	---|-----⌫-|-|---|-----|
quees preuiersnep apegiaus	--|--⌫-------|-|-⌫-------|
limanteaus etsesbli a us	-|-------|-|--|---⌫-⌫-|
duneporp renoire estel ee	|--|----⌫-|----|-----⌫-|
d o retn estoit	|-⌫|-||-----|
lapenne ki	-|----|-|
dermine fu	|-----|-|
dun sebelin no ire tkenu	|-|------|--⌫-|-⌫|---|
qui n es toit troplonsnetr o p	--||--⌫---|---|---|-|--⌫-⌫|
fulimantiausa u colorlés	-|-|-------|-⌫|--|-----|
etseiouon que sfisdeuise	-|-|--|--⌫---⌫|--|-----|
en biauteque	-|-----|--|
dexe ustmise	--|-⌫--|---|
encorsdefem eneenface	-|---|-|---⌫|-|-|---|
ormere plaistque	-|-|--⌫-----|--|
queien enmentiraide	--|-||-|-------|-|
des fubleefu	---⌫-----|-|
lescheuiausteus	--|-------|---|
s estrepo ist	|----|--⌫--|
quidast quelen de ist	------|--|--|--⌫--|
queilfuscent tout de	--|-|------|---|-|
tant esto ient luisa nt etsor	---|----⌫---|-----⌫-|-|--|
comme sil fus t	----||-|---⌫|
quede m ai n	--|-|-⌫--⌫|
d omeoureefust	|--|----|---|
de pierediuo ireou	-|----||---⌫--|-|
so rciusbien	--⌫----|---|
fais e tlarge e ntru el	---|-⌫|----|-⌫----⌫-|
enlati estefurentsioe l	-|-|--⌫---|-----|-|--⌫|
uertetriantcleretfendu	---|-|----|---|-|----|
lenesotdroitet esten du	-|--|-|----|-|-----⌫-|
etmo ut a uenoiten	-|--⌫-|-⌫-----|-|
liu e rmaussorleblan ca ssis	-|-⌫-⌫----|--|-|----⌫|-⌫---|
quelisinoples sorl argent	--|-|-------|--||-----|
pore mblercuer	--|-⌫----|---|
e tsensd egen t	-⌫|---|-⌫|---⌫|
f ist dexenlipassemeruelle	-⌫--|--|-|-|------------|
onquespuisnefu sapa rell e	-----|---|-|-|-|--⌫----⌫|
ned euant faitenel auoit	-|-⌫----|----|-||----|
etqua ntlicheuali ersl e	-|---⌫-|-|-------⌫--|-⌫|
salueet elle lui	----|-|---|--|
cheualiera mbedui	--------|-⌫-----|
e tladamosel ele prent	-⌫|-|-------⌫|-|----|
par lamaindebonairement	--|-|---|------------|
et distbia usf rere uostreosteus	-|---|---⌫-|-⌫---|-----|-----|
certesnertm ieanquenui tteus	-----||--|-⌫-|--------⌫|---|
comme apr eudome couendr oit	----||--⌫-----|-------⌫--|
u osdisoieorendroit	-⌫-|-----|--------|
toutenocouineet	----|-|-----|-|
uous qui der iie ́spuet	---|---⌫---⌫---⌫-|---|
que pourmauuestieledeisc e	--|---|--------|-|-----⌫|
po r ce q ua leruosen feisce	--⌫|-|-⌫|-⌫--|--|-|-----|
maisseuousp laistor en uené s	---|-|---|-⌫----|-|-|-----⌫|
lostel t eusc om ilest prendés	|----|-⌫--|-⌫-|-|--|-------|
etd exuosdoinstmellor	-|-⌫-|--|-----|-----|
ensilen maineparlemai n	---||--⌫----|--|-|---⌫|
unecambrecelee	--|-----|----|
quimoute rtbele longeet lee	--|---|-⌫-|---|----|-|--|
sourunekuite des amit	---|--|----|-|-⌫---|
q ui fuestendueen	-⌫-|-|-------|-|
sesontlaiens and uia ssis	-|---|-----|---⌫-|-⌫---|
cheual ier yy	------⌫--|-|
uinre ntla iensetsi sasirent	-----⌫-|--⌫---|-|-||------|
par t rop iausanulmotn edirent	--|-⌫---⌫---||--|--|-⌫|-----|
etuirentcelui ki segist	-|-----|----|-|-|---|
dal esl ormotetmotnedis t	---⌫-|-⌫-|--|-|--|-|---⌫|
porc oudeparler	--|-⌫-|-|-----|
seten o it	-|---⌫-⌫-|
que delcast ili souuenoit	--|--|----⌫|-|--------|
quelip reudom li auoitfait	--|-|-⌫-----|-|----|---|
sen tenoiententreus grant plait	|-|-------|---|--|----|----|
t outlich eual i er	-⌫--|-|--⌫----⌫-⌫-|
de xfait cascuns mou t	--⌫|---|------|---⌫|
m esmeruel	|-------|
cheualiers est muiaus	---------|--|-----|
grantdiusseroitconque s s ib iaus	----|---|-----||-----⌫|-⌫|-⌫---|
cheual iersnefunésde fame	------⌫---|-|-|---|-|---|
mout parsiet bien	---|--|---|---|
d ales no dame	-⌫---|-|---|
et madame ausidaleslui	-|-|---|---|----|--|
si lnefuscentmuielandui	|-⌫|-|------|----|----|
t an t es t c il bi aus etcelebi ele	-⌫--⌫|--⌫|-⌫-|--⌫--|-|---|--⌫--|
conque s che uali erne	|-----⌫|---⌫----⌫-|-|
auinrent ma isensam bl e	-------|--⌫-|-----⌫--⌫|
l u net del	|-⌫|-|-||
autreensamble	----|-|-----|
quediex lunporl	--|---||-|--||
autrefeis t	----|----⌫|
porcequ ensam blelesmeist	--|-|-|-----⌫--|--|----|
e ttrest uitcilkila estoi ent	-⌫|-----⌫--|--|-|-|-----⌫--|
grantparole tenoient	----|-----|-------|
etladamoisele	-|-|--------|
quill araisn as tdequoique so it	-|-||------⌫--⌫|-|------|--⌫-|
tantk el eui t tresbien et	----|--⌫|--⌫|---|---|-|
q ue il nelidiroitiamot	-⌫-|-|-|-|-----|-|--|
sel e nelarai sn oit deuant	|--⌫|-||----⌫--⌫--|-----|
l ors lidist debouna iremant	-⌫--|-|---|-------⌫------|
siredont ueni stesu osh ui	---|---|----⌫---|-⌫-|-⌫-|
damosiele ieuin giehui	--------|-|---⌫|----|
cieszz pre udo medunc aste l	---|-|---⌫---⌫-||-|-⌫----⌫|
o ui ocoste letbonet	-⌫||-|----⌫|-|--|-|
siayyto ursforset	|||-|--⌫--|---|-|
unegr andeyype t ites	--|--⌫---|-|--⌫-⌫---|
touteloeures aiasoumer	----||----|-⌫-|------|
maislecastieln e sai n omer	---|-|------|-⌫|--|-⌫---|
saibienque	--|---|--|
lipreudo m	-|------⌫|
gonem an sdegohort	-----⌫--⌫|-|-----|
habia usamisfaitla	-|---⌫-|---|---|-|
mout est uostreparolebele	---|--|-----|-----|---|
etmoutaué sdit	-|---|----⌫|--|
k ec ortois	-⌫|-⌫-----|
gretuos ensa cedex	---|--|-|--⌫-|--|
quantuo uspr e udo m el	----|--⌫-|--⌫-⌫---⌫-⌫||
a pe la stes	-⌫--⌫--⌫---|
onquesplu s uoirmotneparla stes	-----|---⌫|---|--|-|-----⌫---|
preudomparsaint r icier	------|--|----|-⌫----|
ice puisie bi en aff ic hie r	--|---|-|--⌫-|---⌫--⌫---⌫|
etsaci e ́s q u eiesuisa niece	-|----⌫-⌫-|-⌫-⌫|-|--|-|----|
maisie ne luimouta gra ntpiece	---|-|-||-|---||---⌫-|----|
p ui squeuousmeustes	-⌫--⌫---|---|------|
de uost re o steln ecoun eus t es	-|----⌫-|-⌫---|-⌫|----⌫---⌫-⌫-|
pluspreudo memienensiant	---|------⌫-|---|------|
moutlieo stelet mout ioiant	---|--|-⌫---|-|---|-----|
uo sfist cari l lesotb ien	--⌫|---|--|-⌫|-|--|-⌫--|
come preudomet	---|------|-|
poissa nset aaisiésetr ices	------⌫-|-|-------|-|-⌫---|
mais na cai ens que seu lyy	---|||---⌫--|--|---⌫|-|
cun smien son cles	|--⌫|----⌫|--⌫---|
quiest priors	--|--|-----|
mout sainshomet r elegious	---|----|--|-|-⌫-------|
m enuoiapor	|-----|--|
so peranuit	--⌫--|----|
et zzboucel	-|-|-----|
plain deuin c uit	----|-|--|-⌫--|
deuitallen	-|------||
aplu scaians	|---⌫|-----|
forszz k ie uroel	---|-|-⌫--⌫----|
cuns mie nsser gans	|--|---⌫-|---⌫---|
ocisthuimain	----|--|---|
dune seai te	|--|----⌫-|
atantco ma ndequ eonme te	----|--⌫--⌫--|--⌫|-|--⌫-|
l esta bles etelessont mise s	-⌫-|--⌫---|-|---|---|----⌫|
etlesgensa u soperassi ses	-|--|---|-⌫|----|----⌫--|
aumangieront m outpetit sis	-|------|--|-⌫--|----|--|
moutgranttalen t l o ntpris	---|----|-----⌫||-⌫-|---|
apresmangie rs edeparti rent	----|------⌫|-⌫|-------⌫---|
c ilremes entq uisedo rmirent	-⌫-|-----⌫--|-⌫-|-|--⌫------|
quilautre nu itu elliéauoient	--||----|--⌫-|-⌫-----|------|
cils enis ci rent qui	--||-|--⌫--⌫---|--|
l anu itpar le casteluel lie r	-⌫|--⌫-|--|-|-----|---⌫---⌫|
seri antfurent et	----⌫--|-----|-|
cilki cel e nuitiuellierent	--|-|---⌫|---||---------|
mouts e trauellierent	---|-⌫|------------|
delor ostel mout aaisier	-|--|----|---|------|
blansdrasetcouerto ir m outc ier	----|---|-|-------⌫-|-⌫--|-⌫--|
etor ell ierau cie flimet	-|--⌫---⌫--|-|---⌫|-|--|
cil ki delcoci ers en trem et	--|-|--|----⌫-||--⌫----⌫-|
trest outela iseetledel it	-----⌫---||-⌫--|-|-|---⌫-|
qu e onp uistdeui s ere n lit	--⌫|-|-⌫---|----⌫-⌫-|-⌫|--|
ot l i cheualie rs	-|-⌫|--------⌫-|
forskeseulement le deduit	-----|--------|-|-----|
depucele seluipl eust	-|-----|-|--|--⌫---|
udedamelerecheust	|-|---|-|-------|
mais il ne	---|-|-|
sauoitn ul erie n	-----|-⌫--⌫|---⌫|
da mor nedenu lea ut r e rien	|-⌫--|-|-|--⌫-|-⌫--⌫-⌫|---|
