Quel par tque	---|---⌫|--|
Nene feseitaltr e mal ice	-|-|-----|----⌫|---⌫--|
Mes tu tela perdiparguer re	--|--⌫-|-|----|--|----⌫-|
Dolenzfud emaleürus E	-----|--||--------||
atutegenthaïnus	|---|---|------|
En sun tensuint lagrantsuruerse	-|--|---|---|-|----|-------|
Depae ns ed e	-|---⌫-||-⌫|
g entaduerse	-⌫--|------|
Gurmuntam ena	------|--⌫--|
Bienenauez oï	---|-|---|--|
Kifire ntladestru ctiun	-|----⌫-|-|------⌫----|
Br et a in e pe rdis unnun	--⌫--⌫-⌫--⌫|--⌫--|-⌫-|--|
Gurmun z fud richesepu issa nzEdesun	------⌫|--|-----||--⌫----⌫-||-|--|
cor sforment ua illanz	---⌫|------|--⌫-----|
HardizfuddenoblecurageEmult	-----|--|-|----|-----||---|
esteit degr ant p arageD	-----|-|--⌫--|-⌫----||
A lfrikefud fiz aunrei	-⌫-----|--|--||-|--|
K i esteitdepaeine	-⌫|-----|-|-----|
Leregneempréss unpereeüst Ere is enfust	-|----|------|-⌫-|---|----||--⌫-|-|---|
se li p leüst	-|-|-⌫-----|
Mes ilne uo lt ne	--|-|-|--⌫-|-|
nedeignaA unsunfrereleduna	-|-----||-|--|----|-|---|
A unsuenfrereiuue nur	|-|---|----|----⌫--|
Otriasa ter ree	----|-|---⌫-||
Sidistqueiareis	-|---|--|-|---|
ne serrei t	-|------⌫|
Sir ealme necu nqu ereit	-|-⌫----|-|--⌫---⌫----|
Par merçodist	--|--|--|---|
irrei t conquerre	-----⌫|--------|
Quer eis serreiten altr e t er re	--|-⌫--|------|-|----⌫|-⌫--⌫-|
De lui prophetiza	-|--|---------|
Queç oserreitun s lusmarrins	--|--⌫|------|--⌫|--|------|
Marinier s quisteestiermansEn efs	--------⌫|----||---------||-⌫--|
e bargesecalans	|-----||-----|
Centeseis antem ilar mez	---||----⌫---|-⌫-|--⌫--|
Tuz cuneüze tuznumez	--|------||--|----|
Estre est iermanse	----|---⌫------||
m ariniers	-⌫-------|
Es t re s eruanz eestrearchiers	--⌫-⌫-|-⌫-----||----|-------|
Gur muntensunnau ire	---⌫---|-|--|---⌫--|
Nesaidesbargesnumbre dire	-|--|--|-----|-----|---|
Mult otnefse g rant gentmena	---|-|---||-⌫---|---|---|
Maintegra nt merauiruna	-----|---⌫-|--|------|
Maintidlepris tm aintreiuenqui	----|---|----⌫|-⌫---|--|-----|
Main t e terre priste	----⌫-⌫|----|----||
Reisuenquantt e rresc unquerant	---|-------|-⌫-⌫---|-⌫--------|
Yrlandeui nt salu e ment	------|--⌫-|----⌫-⌫---|
La te r re prist	-|--⌫-⌫-|----|
deliu rement D	-----⌫-----||
Yrlandesefistreiclamer	------|-|---|--|-----|
Puis u olten	---|-⌫--|-|
Engleterr ealer	---------⌫|---|
Seidnesau eit	------|--⌫--|
Engleterr e	---------⌫|
Br etunsfese ient gu erre	--⌫----|----⌫---|--⌫---|
Suue ntauei entchalengié Epurcunquerreg uerrié	----⌫-|----⌫--|---------||--|--------|-⌫------|
Twancastreen	---------|-|
Henguist ot	-------|-|
premier ementEço	-------⌫----||--|
quetintsis fiz	--|---|--|--|
Escocecun uersa	-----|---⌫----|
Suuent aueient tut	-----|------|--|
Suuent aueien tt utperdu	-----|------⌫|-⌫-|----|
Suuent orent du néh ostagesEsu uen t orent faithumages	-----|----|--⌫--|-⌫------||--⌫---⌫|----|---|------|
Bretuns recun uistreient E pais	------|-----⌫---------||---|
etrieweslur te ndreient	|------|--|--⌫-------|
Qua ntilaueient t utpramis	---⌫-|-|------|-⌫-|-----|
Hu mag esfaiz	--⌫---⌫-|---|
hostagesmis	-------|--|
Ta ntpareste itlu rf eimalueise	--⌫-|--|----⌫-|--⌫|-⌫-|-------|
Desqueilueientli eue aiseEdesque	--|--|-|-----|--⌫-||---||--|--|
alcunsreismureit Udesuncorsafiebliseit	-----|---|-----||-|--|---|----------|
Sempr eser ent ar euelerE atolire	-----⌫-|--⌫--||-⌫-----|||----||
No r thumberl and ema neient	--⌫-⌫--------⌫---⌫|--⌫-----|
La repe iroen tlaueneient	-|----⌫-----⌫|-|-------|
Gurmund oïren tparl er	------|------⌫|----⌫-|
Ki tant estei t	-|---|-----⌫|
puissant eber	-------||--|
Bretun spaise triewespr ist rent	------⌫|---||------|--⌫---⌫---|
Entreta nt a	-------⌫-||
Gurmundtr amistrent	------|--⌫--------|
Mul tlidunerentp l uspramis tre n t	---⌫|-|-------|-⌫-⌫-|------⌫---⌫-⌫|
preier enterequ istrent	------⌫--||----⌫------|
Bretainea els	-------||--|
pass astElate rrelur deliurast	----⌫--||-|--⌫--|--|--------|
uolentiersde	---------|-|
luilaten dreientEuole ntierslen s eruire ient	--|-|---⌫------||----⌫-----||-|-⌫------⌫---|
Treüc hasc un	----|-⌫----⌫-|
durrei ent E	------⌫--||
a sei g nurle n cunuistreient	|---⌫-⌫--||-⌫|------------|
Paensesteite ilpaenE	----|-----||-|---||
Bret unerentcristïen	----⌫-|----|--------|
Bi ensedeueient entr	--⌫-|-|-------|---|
aidier Ecris tïen te ́abaissier	-----||----⌫-----⌫--⌫|--------|
Sicu mi lerentd unelei	-|--⌫|-⌫|----||--|--|
Sideueient auerunrei	-|-------|---|-|--|
Gurmundoï	------|--|
lur requeste	--|-------|
Od saflote qui l	-|-|----|-|-⌫|
au eit p res t e	--⌫--|-⌫---⌫-⌫|
No rthumber landepassaA cesd e	--⌫--------⌫----|----||--|-⌫|
Saisuine parla	-------|----|
A f erméuntl urcuuenance	-⌫-⌫----|--|-⌫-|--------|
Parhosta g es epar fian c e	--|-----⌫-⌫-||--|----⌫-⌫|
Gurmun ddelpai ̈s	------⌫|--|---⌫-|
deliur er E	------⌫-||
S eidnesen fieu	-⌫-----|-|---|
l iurer E li	-⌫----||-|
Seidne d efeiporterE detreu ̈parandune r	-----|-⌫|--|-----||-|----⌫|--|-|----⌫|
D uncpristr ent laterrea des truire	-⌫--|------⌫--|-|----||---⌫-----|
De usqueld olu r e queliniuir e	--⌫-|---|-⌫---⌫||---|------⌫|
Debo neterre e de gentil	-|--⌫-|----||-|-----|
Queturné esta	--|-----|--||
Saisne les	-----|--|
Alf ri canscunduient	---⌫--⌫---|--------|
Maisunsardent uilesdes truient	------|-----|----|---⌫------|
L escheualiers elesuileins	-⌫-|---------||--|------|
Lesclersles muinesles nuneins	--|----|--|-----|--|------|
Batentechac enteocient	-----||----⌫--||-----|
Damnedeucu ntra lient	-------|--⌫----⌫----|
Mu l t ueïssi ezterreeissil lier	--⌫-⌫|-------⌫-|----|------⌫---|
Fem meshunir	---⌫--|----|
hu mesper cier	--⌫--|---⌫---|
Enfanze nberzesbü eler	-----|-⌫|---|-----⌫---|
Aueirs saisirpreiesmener	-----|-----|-----|----|
Tursabatreui lesar deir	---|-----|--⌫--|--⌫---|
Lirei snertm ie delp oeir	-|---⌫||--|-⌫-|--|-⌫---|
Nenepoei ttan t gentauer	-|-|----⌫|---⌫|---|---|
Que ilos ast	--|-|--⌫--|
Gurmundueer	------|---|
Nel o sot miees	-||-⌫--|--|-|
pleinsatendre	-----|------|
Karpr une sepo e itdefendr e	--|--⌫|-|-|--⌫-⌫-|-------⌫|
Lipaenuunttu tpurpernant	-|---|---|--⌫|---------|
Clercnep restreni	----|-|-⌫-----|||
a dguarant	-⌫|------|
L ibonesue sque e l ich anoine	-⌫|--|----⌫---||-⌫|--⌫-----|
Lib on a béne	-|-⌫-|-⌫--|-|
li bonmoineN	-|--|----||
untpa s seür tédelur	--|--⌫|-----⌫--|-|--|
C elleslaissente	-⌫----|-------||
Corssainz ereliquesen portent	---|----||-------|-|------|
Liunles altresdescunfortent	-|-|--|-----|------------|
Encriemee endolursunt tuit	-|-----||-|----|---|---|
Kiplustostpuet fuïrsifuit	-|---|---|---|----|-|---|
F u ientpou re fuientmanant	-⌫-⌫---|---⌫-|-----|-----|
Fui ent b urge ise	---⌫--|-⌫----⌫-||
Fuientuilain	-----|-----|
euau assurE des	|---⌫----||--|
baru ns tuitli plusur	----⌫-|---|-|-----|
Petitsefientesgran z	----|-|----|-|----⌫|
Quantil espeirnuntdesucurs	----|-|-----||--|-|-----|
Chambresu o identguerpissent	-------|-⌫-⌫----|----------|
Liunsen sunt fuï	-|-||-|---|---|
püente kinés	-----||-|---|
Br eta inelamenur	--⌫---⌫--|-|----|
C ornuaille sunt remés	-⌫--------|---|-----|
C ilkineporentauernés	-⌫-|-|-|-----|---|---|
Gurmuntala	------|--|
Karizque rantE	----|---⌫---||
Kariza la tan tfuiant	----|-⌫-|---⌫|-----|
Cirecestre fudsupprisE	---------|--|------||
Gurm undl adilocasis	----⌫--||-|---|---|
Ysembarduintal siege	-------|---|-|----|
Ne pottroueraillur s refui	-|--|-----|------⌫|----|
Lowises teit	----|--⌫---|
Francech acié l	-----|--⌫----||
aueitfor sietéE	----|---⌫|----||
de sunfieudeserité	-|--|---|--------|
Ysembard a	-------||
Gurm untparla	----⌫--|----|
Deu re n ea	--|--⌫-⌫-|
Deure neaesacr ea nce	--|--⌫--||-|--⌫--⌫--|
Puruengierseidelreide	--|------|--|--|--|-|
Tan t fudlicha itisdeceüz	---⌫|--|-|---⌫---|------|
Tant fuddesue zemescreüz	---|--|-----⌫||--------|
Lamur guerpi del	|---|-----|--|
Sirec ̧utlaleipaenur	-|---⌫--|-|--|-----|
Paen sasistrent	----⌫|--------|
C irecestre	-⌫--------|
Tels fudd edenzniuolsist	---|--|-⌫----|||------|
L urpaueillu nsentu r tendirent	-⌫-|--------⌫-|----⌫|--------|
Tentes leuerent	-----|-------|
logesfirent	----|-----|
T ut eunt guasteela	-⌫--⌫|--|------|-|
La uiandepr iseeportee	-|-----|--⌫--||-----|
Lacitéunt	-|----|--|
entur sic lo se	----|-|-⌫--⌫-|
decelsissirnen	-|---|----||-|
Peri eresfiren t	----⌫---|-----⌫|
e berfreiz	|-------|
Sis asaillire ntplusursfei z	--|---------⌫-|------|---⌫|
Lur enginz f irentasmurs	--|-----|-⌫----|-|---|
Mes nepoe ient enginfaire	--|-|---⌫---|----|----|
Que cildedenzn ecuntrefacent	--|--|-----|-⌫|-----------|
M airiens ecleies entrelacent	-⌫------||-----|----------|
Kernelsrefu nt port esa faitent	------|----⌫-|----⌫-|-⌫------|
Le iorourent lan uit se	-|--|-----|-|-⌫--|-|
Breteschesemursapareille n t	---------||---|---------⌫-⌫|
u n dorment liunueilent	-⌫|------|-|-|------|
Asd efenses pieresatraientEn equedent for ment s	-|-⌫------|-----|-------||-⌫-------|---⌫---||
Kari lneseuent nene uei ent	--|-⌫|-|-----|-|-|---⌫--|
Enginparq uei d efe ndu seient	----|--|-⌫--|-⌫---⌫--|-----|
Ci l de fors	--⌫|--⌫---|
s uuentles asaillentEpurelsprendres e tr auaillent	-⌫----|--|--------||--|--|------|-⌫|--⌫--------|
Mescil se p ei nentdeldefendre	--|--|-|-⌫--⌫---|--|-------|
Gurm u nd parforce p rendre	----⌫-⌫-|--|----|-⌫-----|
Q uant i lu e itquep re ndrenes	-⌫---|-⌫|-⌫-⌫-|--|-⌫--⌫---|--|
de murer li	--⌫----|-|
Entur lacitéfis t chast els	----|-|----|---⌫|-----⌫--|
Abreteschese	|---------||
akernelsL unenliuraa	|------||-|-|----||
Quedeue rs luilacitéguard	--|----⌫-|--|-|----|----|
Altre liura a s esbarun s Ealtre as	----|----||-⌫-|-----⌫||----|-|
princesdes	------|--|
SeissunsAsunu é s	-------||--|-⌫--⌫|
fi stfair eune	--⌫-|----⌫|--|
estei ttutas uiur	-----⌫|--||-⌫---|
Iloc esteit ilo c gi seit	---|-----|---⌫|--⌫---|
Iloc iueitilocdormeit	---|----|---|------|
La gentdedenzn	-|---|-----||
est pasmalueise	--|--|-------|
Suue ntqua nt ilueientlur aise	----⌫-|---⌫-|-|-----|--|---|
Funtacelsd eforsasail l ies	---||---|-⌫----|-----⌫-⌫--|
En abandun	-|------|
met tent luruies	---⌫---|--|---|
S uuentiotgran tpodneï z	-⌫----||-|----⌫|-------⌫|
Esuue nt g rant palateïz	|----⌫-|-⌫---|--------|
Suu ent eniaueitdepris	---⌫--|-||----|-|---|
S uue ntde n afre z edocis	-⌫---⌫-|-|-⌫----⌫|||---|
Mes cil d efor ski plusursunt	--|--|-⌫----⌫|-|-----|---|
Enlacitéplatirlesfunt	-|-|----|-----|--|---|
Ilocl eschace nteenteitent	---|-⌫-|-----⌫-||--------|
Mesdesm ursprendrepoi espleitent	--|--|-⌫--|------|--|---------|
Lung ements esuntdefendu Elungementsesunt	----⌫----|-⌫|---|------||--------|-|---|
te nu Eplus lungementse teni ssen t	--⌫-||---|--------|-|----⌫----⌫|
Qu ecilpar force ne s preïssen t	--⌫|--|--|----|--⌫|---------⌫|
Sif euslauile	-|-⌫--|-|---|
n es preïs t	|--⌫------⌫|
Grant malegrantdamagefist	----|--||----|-----|---|
Cildeforspargrant tricherie	--|-----|--|----|--------|
Q ue puisneainzne	-⌫-|---|-|---|-|
Untlacitétuteenflambee Oëzcumil l unt	--|-|----|---|--------|---|--|-||--|
Muissun sod reizeodgl u pristrent Een	-------⌫|-|---||-|--⌫|--------||-|
c roisés denoizfumistrent	-⌫------|-|---|-|-------|
Odlefuf ire nt enz	-|-|-|-⌫---⌫-|--|
Esprises de linede tundre	-------|-|--||-|-----|
Aspiezd es muiss unsles	-|---|-⌫-|-----⌫--|--|
pend irent	----⌫----|
Merue il luse ueis diefirent	-----⌫--⌫---|----⌫--|-----|
q uan t uint ala u esprer	-⌫---⌫|---|||-⌫-⌫-----|
L aissierentl es mussuns	-⌫---------|-⌫-|------|
Cilsaler e ntlanoit	--||----⌫-⌫-|-|---|
Lau ilsoleientnie r	-||-|-------|---⌫|
Esta s desbleze	-|--⌫|--|---||
esmui dlun sEes seurunde sdes	-|---⌫----⌫||-|--------⌫|--|
Lifeu s nurrie esc halfa	-|---⌫|----||---⌫----|
espris tealuma	------⌫||----|
Bretunuirentlauile ardeir	-----|-----|-|---|-----|
Flambeuolermaisuns c haei r	-----|----|------|-⌫----⌫|
A cumbatre se cu nreerent	|-------|-|--⌫-------|
Mesuencufurentka rpoi	--|----|-----|--⌫|--|
Karizsetresturna	----|-|--------|
Tri ésuntriésaltre	---⌫--|-|-----|----|
Guales drei t saue ietint	-----|----⌫|-|--⌫-|---|
Nesaidi reque puis deuint	-|--|--⌫-|--|---|-----|
Issifud lacité p reisie	---|--|-|----|-⌫-----|
Tute destruitee	---|--------||
Purçoque par	--|--|--|--|
muissunsfud priseE par muis sunsissi	-------|--|----||--|----⌫---|---|
Las olei entiadis alquant	-|-⌫----⌫--|----|------|
E funtenc o rli	|---|---⌫-⌫|-|
pai ̈ sant	---⌫-⌫---|
Lacite ́ asmuissuns	-|----⌫|-|-------|
Purlamerue iller ecorder	--|-|-----⌫---|-⌫------|
Queparces ois elsfud perdue	--|--|--|---⌫--|--|-----|
Lacitéquetantfud tenue	-|----|--|---|--|----|
Gu rmund dest ruistmein tecit é Em a in t chas te ldantiq uité	--⌫----|----⌫----|----⌫-|---⌫-||-⌫-⌫--⌫|----⌫--⌫||-----⌫----|
Mainte yglisemaintec le rgie	-----|-----|-----|-⌫--⌫---|
Mainteuesquiém ainteabeye	----|--------|-⌫----|----|
Kine furentp uisrestorees	-|-|-----|-⌫--|--------|
Ne p uisn e	-|-⌫--|-⌫|
furentabitees	-----|------|
Encorei pe rent	-----||--⌫---|
les ruine sEles deserz elesgua stines	--|-----⌫||--|-----||--|---⌫-----|
Gurmundfistenplusursl ieus	------|---|-|------|-⌫---|
Pur tolir as	--|----|-|
Bretun slur fieus	------⌫|--|----|
Quantilotguastélupaïs	----|-|-|------|-|----|
Lesuiles arses l aueirp ri s	--|----|----||----|-⌫--⌫|
Lur egne adas	-|-⌫---|-|-|
Sedn esdune ́Eilluraueit af ié	----⌫-|----⌫||-|--|----|--⌫--|
A duners ille cunquerei tEi l s ifist	|----||-|-|---------⌫||-⌫|-⌫|---|
bien lurfis tdrei t	---|--|---⌫|----⌫|
C iluntlaterre	-⌫-|--|-|----|
recu illie	----⌫----|
Ki mul t laueient en couie	-|---⌫||------|--⌫----|
Pur un lig nage	--|-|---⌫---|
duntcilfuren t	---|--|-----⌫|
Ki la terreprimesreçurent	-|-|----|-----|--------|
Engleisa peler	------|-⌫----|
Purlurorine remenbrer E	--|--|----|--------||
Englela ndeu ntapelee	-------⌫--|-⌫-|-----|
L aterrekilurertdunee	-⌫|----|-|--|--|----|
Engleterreen franceis	---------|-|-------|
Engle land e enen gleis	-----⌫----⌫|-|--⌫----|
Eng leisçodit	---⌫---|--|--|
Ço e nestlespositi uns	--|-⌫|--||--------⌫--|
Troie uint	----|---|
Bretaine sunnun tint	-------|--|--|---|
Iesqualt ermequeiouusdi	----|-|-⌫---|--|-|--|-|
Gurmun dsunnunper di	------⌫|--|--|---⌫-|
Siotno ue lsabite ürs	-|-|--⌫--⌫-|-----⌫---|
Nouel sreis e nouelsseig n urs	-----⌫|---||-----|----⌫-⌫--|
Ciluoldren ttenirlurusage	--|-------⌫|----|--|----|
Neuold rentpre ndrealtrelang uage	-|----⌫---|---⌫---|----|----⌫---|
L es nunsd esuiles trestur ner ent	-⌫-|---|-⌫-|----|-------⌫---⌫--|
languagelesnomerent	-------|--|-------|
Eng leisuoldrent	---⌫---|-------|
reiestablir	--|-------|
Mesn ese porentassentir	--|-⌫|-|-----|-------|
Que unreisuleme nteüssentE	--|-|--|------⌫-|-------||
a un reitu it su ge tfussent	|-|--|--⌫-|--⌫--⌫|------|
Nes ac or derent mie a un	-||--⌫--⌫-----|--||-|
Ainz firent	---|-----|
parcunseil co mmun	--|------|--⌫---|
Plusursreis	------|---|
enplusurscunt rees	-|------|----⌫---|
d eui sees	-⌫---⌫---|
Plusu rsfeiz sentreguer rierentEplusurs	-----⌫-|---||---------⌫------||------|
feizse rap aierent	---|-|---⌫------|
Sicumchascun plusfo rtesteit	-|--|------|---|--⌫-|-----|
Sur leplu sfieblecun quer ei t	--|-|---⌫|-----|---⌫----⌫--⌫|
Issi untl ungementesté	---|--|-⌫-------|----|
Queil n orent	--|-||----|
reicurun é	--|-----⌫-|
Nemustiern i otrest oré	-|------|||-|----⌫---|
Ne tenuecristïente ́	-|----|-----------⌫|
Alt elsacr éne dedié	---⌫-|----⌫-|-|-----|
En fan t leué	--⌫---⌫|----|
n ebaptizié	-⌫|--------|
Ce ntanz eplusi o nt esté	--⌫-|--||---||-⌫-|----|
Sen z leiesenzcrestï ente ́	---⌫|--||---|-------⌫----⌫|
Parle renoï saint	-----⌫|-|--|----|
Kia celtensertapostoire	-||--|---|--|--------|
Aug ustini en ueia	---⌫----||--⌫---|
Clers estei tbo nsemult	----|-----⌫|--⌫-||---|
lamaAluise	|--||--|-|
suntacumpaignié	---|-----------|
Quarante clercformentpreis ié	-------|----|------|-----⌫--|
Ta netuint prem ierementEde	--⌫--|---|----⌫-------||-|
Tanet p as s a en	----|-⌫--⌫-⌫|-|
Kantuorbiresa pri smaElipueple smult	----------||-⌫---⌫--||-|------⌫|---|
Ald ebert ki	---⌫----|-|
Kentten eit	---|---⌫--|
Del lignage	--|------|
Henguis test eit	-------⌫|---⌫--|
Augustinoi ̈	-------|--⌫|
B apti siez fuen	-⌫----⌫---|-|-|
Emp ré slu reifudsa meisni e	---⌫---⌫|-|--|--|-|------⌫|
Regenereeebaptizi e	--------||-------⌫|
Augustin mu lts	-------|--⌫-||
kisicunu erti	-|||----⌫---|
Elnundesainte	-|--|-|-----|
Fi stu nmustieren lacité	--⌫-|-⌫|------|-|-|----|
Par la ter re alasermunant	--|-|---⌫-|--|--------|
Mustiers f eisa ntcl ersordenant	-------|-⌫----⌫-|--⌫--|-------|
Parlie ustroua g enzde putaire	--|---⌫-|----|-⌫--|-|--|---|
Kiaenui zuoldren tbienf aire	-||----⌫|-------⌫|---|-⌫---|
Aug us tin mult s epena Elungementi trauai lla	---⌫--⌫--|---|-⌫|---||--------||------⌫--|
illes peüst aturnerA	-|--|-----|------||
Deuseruirna	--|-----|||
Quant l upaïsotp uraléEmulte n	----|-⌫|----|-|-⌫-----||---|-⌫|
otauironé A	-|-------||
Dorecestreuint	---------|---|
Damnedeuanunciant	-------|--------|
Dorecestreotun eg en t	---------|-|--⌫|-⌫--⌫|
Deuerssuthestpr ueceinement	-----|---|--|--⌫----------|
Aug ustinlur serm unaEla l ei	---⌫----|--|----⌫--||-|-⌫-|
Deulura nu nci a	--|--|-⌫--⌫---⌫|
C ilfu rentdema lenature	-⌫-|--⌫---|-|--⌫-|-----|
sermunne orentcure	-----|-|----|---|
S ai nz lurserm uno t E	-⌫--⌫-|--|----⌫---⌫||
del urpru aelsparlotA se sdras	-|-⌫-|--||--|-----||--⌫|---|
detriéslipend eien t	-------|-|----⌫----⌫|
raie s qu ilaueient	----⌫|-|-|------|
Odles c u es	-|--|-⌫-⌫-|
lene nueierentEasez	|-|-⌫--------||---|
l ungesle chacierent	-⌫----|-|---------|
Eilp ria nos tre	|-|-⌫--|---⌫--|
Q uedec e le grant desenur Ede	-⌫-|-|-⌫-⌫-|----|------||-|
cele orrib le auilance	---|-----⌫-|-------|
AitenelssigneeremembranceE	--|-|--|----||----------||
ilsiorentu eirement Eauruntperpetuel ment	-|-|----|-⌫-------||-----|---------⌫---|
Kart restuitcilkilescharnirent E ki	--|-⌫------|--|-||-----------||-|
lescueslipendir ent	--|---|-|------⌫--|
F u re nt cué ec uesorentEunkespu is	-⌫-⌫--⌫-|---||-⌫--|----||----|--⌫-|
perdrene sporent	-----|--⌫|-----|
Tu itcil un tpuisestécué	--⌫-|--|--⌫|---|----|---|
K iuin dren tde celpar e nté	-⌫|---⌫----⌫|-|--|---⌫-⌫---|
Cué furent ecuésunt	---|-----||---|---|
C ues orent ecues unt	-⌫--|----||---|--|
C uesuntdetriésen lachar	-⌫--|--|-------|-|-|---|
Enrememb rancedeleschar	-|------⌫----|-||-----|
Ki descues lor entlaidi	-|--|---||--⌫--|----|
Equ antil fuddelsesc hapé	|--⌫--|-|--||--|---⌫----|
ualeeestentré	----|--|-----|
Dorec estreacincluees	-----⌫----||---|----|
ue r s northwes tentredousualees S est	--⌫-⌫|----|---⌫|----|---|-----||--|
alpiéde l m unt arestez	-|---|--⌫|-⌫--|------|
Od sescu mpaignuns tut	-|--|--⌫--------|--|
Purre posersiar esturen t	--|--⌫----|||--⌫-------⌫|
Cha lt esei orentelasfurent	---⌫-||--|----||--|-----|
Augustinprist a penser	-------|----||-----|
Cumen tpurre it maisen durer	-----⌫|-----⌫-|---|--⌫----|
quel umlifeseit	--||-|-|-----|
Purpensot sei quils	--------|--|-|-||
Deuliestaparu a tant	--|-|--|----||---|
Apertement odluip arlant	---------|-|--|-⌫-----|
T iendistil tunpurpose me nt	-⌫--|---|-|--|-------⌫--⌫-|
Site cuntien se üreme nt	-|-|------|--⌫------⌫-|
Tuiésmisser fse	-|---|--|---⌫-||
tu mep leisE	-|-|-⌫---||
bienmeplaistçoque	---|-|-----|--|--|
aï e auras	---⌫|----|
io sui odtei Çoq u e tu requi ers	-|--|-|--|--|-⌫-⌫|-|-----⌫--|
Ouertetestdelcielle ntree	-----||--|--|---||-⌫----|
Eaentr ert est	||----⌫-||--|
Tutroue r as lu cie louert	-|-----⌫-⌫-|-|---⌫|----|
Ucil entr ekibien	|--|----⌫|-|---|
Aug ustinot	---⌫----|-|
Deu ueüEsu n cunf o rtoten tendu	--|---||--⌫|----⌫-⌫-|-|--⌫----|
Tant lesguarda	---||-------|
cum e ilpot Ec ̧ofutant	---⌫|-|--||-⌫-|-|---|
Allieuuint u	-|---|---||
Deuotesté	--|-|----|
Enplura nt adilocu ré	-|-----⌫-|-|---|-⌫--|
Ius semist laterrebeisa	--|-|---|-|----|----|
Emeintefeizsagenuilla	|-----|---||--------|
Puisadunbastun fic hié	---|-|-|-----|---⌫---|
U neueinedew eensa illi	-⌫-|----||--⌫|-|--⌫---|
K itute la	-⌫|---|-|
placecuur i	----|----⌫|
Lewesurteli ru issels	|--|---||-|--⌫-----|
Sun cane lfis t	--|----⌫|---⌫|
aualcurutN	---|----||
esteitmie anceis lacuntree	-----|--|-----|-|------|
He rbergie ne cultiuee	--⌫------|-|-------|
queewenicure it	--|--|||----⌫-|
Nequefunteine	-|--|-------|
ni surdeit	||------|
August ins	------⌫--|
Deu mercia Esescumpaignunscunf orta	--|-----||--|----------|----⌫---|
Cernelapelé Uilauei t	-----|-----||-|----⌫|
Deuesga rdé	--|----⌫---|
Cernelcest nun	-----|---|--|
queio aid it	--|-|-|-⌫-|
Enromanzest	-|-----|--|
Deuueituuit	--|---||--|
Licle rclep oën t	-|---⌫-|-|-⌫----⌫|
biensau eir	---|---⌫--|
C erno cern isç o estueeirE	-⌫---|----⌫-|--⌫|--|----||
De cesdous mozest fait	-|--|---|--|--|---|
ue ilautreditDé	--⌫||----|--|--|
Maisunelettre en est se uree	---|--|-----|-|--|--⌫---|
Delafin de	-|-|--|-|
Cernoo ste e	----|-⌫---⌫|
Si est parunea bs cisi un	-|--|--|--|-⌫--⌫----⌫-|
Faitelaco mpos it iunL	----|-|--⌫----⌫--⌫--||
u neste breulautre latinsÇ o	-⌫|--|-⌫---||----|-----|--⌫|
uo ltsaint	--⌫-|----|
Cern e lcestnunmist	----⌫-⌫|---|--|---|
Queremen brance	--|-----⌫-----|
nus feïst	--|-----|
Da mnedeu ence lli eufuE	--⌫-----|-|--⌫|--⌫-|-||
encel lieulaueitueü	-|--|---||----|---|
Qua nt nuscestnun	---⌫-|--|---|--|
Ce rnel oüm	--⌫---|---|
S auereremenbrer deuum	-⌫---||--------|----|
D a mnedeusidemustraE	-⌫-⌫-----|||-------||
estree pa rler	----||--⌫---|
Englei s eli	------⌫||-|
Primeslirei puisl i barun	-----|-|--|---|-⌫|----|
Orenttuitreceübaptesme	----|---|-----|-------|
De f unz l euéenointdecresme	-|-⌫--|-⌫---|-----|-|-----|
A ugustin ioius en fu	-⌫------|----|-|-|
K imultdesiral ur s alu	-⌫|---|-----|-⌫-|-⌫--|
Esterres qu e	-|-----|--⌫|
Bretun teneient	-----|-------|
Englei ss edefendei ent	------⌫|-⌫|--------⌫--|
Troua moinestrouaab ez	----|-----|----|--⌫-|
Tro ua seteuesquessacrezEtrouaun arceues quié	---⌫-|--|-------|-----||----|-|-------⌫----|
Karliunauei t	------|----⌫|
Bangorotuneabeÿe	-----|-|--|-----|
Ancïe ne ment establie	------⌫--⌫---|-------|
Dionot abb eseneste it	-----|---⌫-|-|----⌫-|
Présde dousmilmoines aueit	----|-|---|--|-----|----|
Depar t iz en s etcumpa ignies	-----⌫-⌫-|-|-⌫-|-----⌫-----|
En chascunedessetpar ties	-|-------|--|--|---⌫---|
Aueitm oinesprésdetreiscenz	----|-⌫----|----|-|----|---|
Issierenten	---|----|-|
se tcuuenz	--⌫|-----|
Della b ur	--|--⌫-⌫-|
delurmain suiueient	-|--|----⌫|-------|
De lu rlabursesusteneient	-|--⌫|----|-|----------|
Augustinsdemanderfist	--------|-------|---|
Lesseteuesquessilurdist	--|--|-------|-|--|---|
Queil ert de	--|-|--|-|
Romel egat Ed	---|-⌫---|||
Engle terr eesteit primat	-----⌫----⌫|-----|-----|
Sideueie ntb eneïçun	-|------⌫-|-⌫--------|
De lu ireceiur epa rraisun	-|--⌫|-------⌫|--⌫|-----|
ensasubiect iun	-|-|-------⌫--|
Cilrespun direntnudeuum	--|------⌫-----|-|----|
Karnusnostrearceue sq ueauum	--|--|-----|------⌫--⌫-|---|
Kiadsu nsiéa	-|-|--⌫|---||
Parlecunfermement	--|-|-----------|
I a nenierttresturn é parhume	-⌫|--|---|--------⌫-|--|---|
Ens urquetutneldeuumfaire	---⌫-------|--|----|----|
