ceoauint al quinzimean	--|----|-|-------|-|
no sten unennosliens .puet	--⌫|---⌫-|-|--|----||---|
celestrequetuescelie sude	--|----|--|-|-|--|--⌫-|-|
qui nostrepri nce sathan	--|-----|---⌫--|-----|
diseitq ueparlamortdesa	-----|-⌫-|--|-|---|-|-|
araies lapoestedelmun d	-----|-|-----|--|---⌫|
duncdechacamort lerei	---|------|---|-|--|
seignor ensa	------|-|-|
qu ip ristsath an le	--⌫|-⌫---|----⌫-|-|
liuraalapoestede	----||-|-----|-|
en f er et	--⌫-⌫-|-|
adame n saclarte.duncdistenfer	---|-⌫|-|-----||---|---|----|
eschar alprincesathan	-----|-|-----|-----|
oprince d e	|-----|-⌫|
mortbelzebuc duitre	---|-------|-----|
demo rtescharasa ngres	-|--⌫-|-----|-|-⌫----|
d espi tasdroitur iers p orquei	-⌫----⌫|-|-------⌫---|-⌫-|---|
uou sistes uo scrucefier le re ide	---⌫-----|--⌫|--------|-|--⌫|-|
gloireenquimort nos	-----|-|--|---|--|
pram eistes	----⌫-----|
telcunquest.	--|-------||
uosmesc un neu st es	--|----⌫--⌫---⌫--⌫-|
c ummefol ceo que uos	-⌫---|--|--|--|--|
fe iste s.	--⌫----⌫||
u ez ceoest iesuqui	-⌫-|--|--|---|--|
chaceles te nebresde	----|--|--⌫-----|-|
respl endisorde	-----⌫------|-|
sa deite et	-|----|-|
les forcesdenoschar tresd epiece	--|-----|-|--|----⌫---|-⌫-----|
sieniete l eschetifset	-|-|---|-⌫-|------|-|
des lieles liez .ett ozcels	---⌫--|--|---||-|-⌫-|---|
q ui so loientso spirersosn os	-⌫-|--⌫-----|--⌫-----|--|-⌫-|
sinos es charnissentetpa rlor s	-|--|--⌫----------|-|--⌫|---⌫|
pr oieressunt	--⌫-----|---|
destruiz et hu maineligneepasnenos	-------|-|--⌫----|-----|--|-|--|
crien tainz	-----⌫|---|
formen tquionquesnesourent uers	------⌫|--|-----|-|------|---|
noseno rguellir tantcu mme	--|---⌫-------|---|--⌫--|
il furentchaitifennostre	-|-----|------|-|-----|
poeste .oprince sathan pe r edet oz	-----|||-----|-----|--⌫-⌫|-|-⌫-|
malsporqueiuous istesuosceo	---|--|---|----⌫----|--|--|
faire icels qui furent	----|----|--|-----|
des esperé	---⌫------|
t resq uesaoredesalu et	-⌫----⌫--||--|-|---|-|
deui e oren	-|--⌫|--||
n e eneusne pertt racede	-⌫|-|--|-|---|-⌫---|-|
oprince sath anmaistre	|-----|----⌫-|------|
clauierdenf erceles touesrichess es	------||---⌫-|----|----|-------⌫-|
qu etua ue ies	--⌫|-|-⌫--⌫--|
p orchacies	-⌫--------|
par le trespassementde adamet delf ust	--|-|------------|-|---|-|--|-⌫--|
deueéetparla	-----|-|--|-|
perte de parais orepa r	----|-|-----|--|--⌫|
le fust del a	-|---|-|-⌫|
cr oiziesuastuto tceo	--⌫--|---|-|-|--⌫|--|
per duetouoctote taleece	---⌫-|-|---|---|-|----|
. etquanttu	|-|----|-|
ce st rei de gloirechrist	--⌫-|--|-|-----|-----|
crucifi asencuntremei etenc untre	-------⌫-|-------|--|-|---⌫----|
te imesouras .	--⌫|-------||
conoistras les pardurablestormenz	---------|--|----------|------|
quetusofrirasenma	--|-|-------|-|-|
gar de.oprince	---⌫-|||-----|
sathanautor de	-----|----|-|
morte tcummenc em ent	---|-⌫|-------⌫--⌫--|
deorgeiltudeussesprimesaueir	-|-----|-|------|-----|----|
co ne ula mal ic e	--⌫--⌫|-|---⌫--⌫|
ldeu ssezaueirtr ai. maist u	|---⌫---|----|--⌫-||---|-⌫|
nule trouer .et	---|-----||-|
porqueiletudunc	--|---|-|-|---|
ato rt etsen z	|--⌫-|-|---⌫|
rais un tuamen as	----⌫-|-|----⌫-|
ennosregiuns	-|--|------|
unhome nientnu is ant e t	-|---|----|--⌫--⌫--|-⌫|
astup erdu	-|-|-⌫---|
tozlesnuisanzdel	--|--|------|--|
m undettozles	-⌫--|-|--|--|
et to zles	-|--⌫|--|
nondroituriers.etcumm e	--|----------||-|----⌫|
sat hanparl erentissi	---⌫--|----⌫----|---|
e nsemblesidist lerei degloirea	-⌫------|-|---|-|--|-|-----||
enfersathaniertenta	----|-----|---|-|-|
poeste tr esqu esaspardurablessiecle s	-----|--⌫----⌫-|-|----------|------⌫|
ellieuad ame tses fiz	-|---|--⌫-|-⌫|--|--|
dr oituriers .	--⌫--------||
dun cestendinos tre	---⌫|------|---⌫--|
seignors a main	------|-⌫|---|
sidist ueneza	-|---|----||
me i tozme s fiz qui	--⌫|--|--⌫|--|--|
auez maym age	---|-|--⌫--|
etmafigur e etqui	-|-|-----⌫|-|--|
l efust deueée tparledeable	-⌫|---|-----|-⌫|--|-|-----|
fustes d ampnez amort. ore	-----|-⌫-----||---||--|
uenquezpar lefust delacro izet	------|--|-|---|-|-|---⌫-|-|
deableet mort an eire	-----|-|---|-|---|
s asamblerent	|----------|
tuitlisaint	---|-|----|
des o s lamainn ostre	---⌫-⌫|-|---|-⌫----|
seignor. dunc	------||---|
ti nt nostreseignorlamaindestre	--⌫-|-----|------|-|---|-----|
adamet distpai s atei	---|-|---|---⌫||--|
etat o ztes feelzetasmiens.	-||-⌫-⌫|--|----|-|-|----||
a dam se getaases piez o	-⌫--|-|---||--|---||
ploran teuoiz e tdi sti ot	------⌫-|---|-⌫|--⌫-|-⌫||
es hau ceraibel sirec ar tu m	--⌫---⌫----|--|---|-⌫-|-||
rece u. ensementtuit lisai nt	----⌫||-------|---|-|---⌫-|
chairenta se spiez etdistrent	-------||--⌫|---|-|-------|
b els ire si cummetuasmi s l a	-⌫-|-⌫--|-|----|-|-|--⌫|-⌫|
cr o iz s ignedeu i ctoire et	--⌫-⌫-|-⌫---|-|-⌫-⌫-----|-|
de re d empciu n enterresilameten	-|--⌫-⌫------⌫|-|----|-|-|--|-|
enfere nseignede	----|-⌫------|-|
uict oir e quemortnes	----⌫---⌫|--|---|-||
plu s.duncestendili s ires	---⌫||---|------|-|-⌫---|
samain sifist signede la	-|---|-|---|----|-|-|
croi z sus	----⌫|--|
ad amet s u s	--⌫-|-|-⌫-⌫|
lessain z.	--|----⌫||
duncsescriaah a lteuoi zdauile	---||-----||-⌫-⌫--|---⌫|---|-|
prophete sidist chantez	-------|-|---|------|
a nostre seign or nouel	|-----|-----⌫-|----|
chant c aril	----|-⌫-|-|
a f aitmerueilles. ettote	|-⌫--|---------||-|---|
lacumpai gniedessainz dist	-|------⌫---|--|----|---|
ceo s esc ria	--||---⌫--|
sidist tueissiz	-|---|-|-----|
sire elsalu de	---|-|---|-|
tunpoplepordeliurer tes	--|----|--|-------|--|
esliz. e ttuitlisaint	----||-⌫|---|-|----|
respun dir ente tdistre ntbenei t	------⌫---⌫--|-⌫|------⌫-|-----⌫|
soitqui uinte l nu nnostre	---|--|---|-⌫|--⌫|-----|
se igno r.et pu isapres	--⌫----⌫||-|--⌫-|----|
ceo m ichea slepr ophete	--|-⌫-----⌫|-|--⌫-----|
distquiestdeussi	---|--|--|---|-|
c umm etusi retolantl es felunnieset	-⌫---⌫|-|--⌫-|-----|-⌫-|--------|-|
estrepantlesp echies	--------|--|-⌫-----|
etdetauolenteestmisericorde .	-|-|-|------|--|----------||
ettuitli saintr espun di rent	-|---|-|----|-⌫-----⌫--⌫---|
etdi strent ici st	-|--⌫-----|---⌫-|
deu pa rdurablem entet elsiecle	--|--⌫---------⌫--|-|-|-----|
d essiecl es .ettuit	-⌫-|-----⌫-||-|---|
c rierent et	-⌫------|-|
nostreseignor.	-----|------||
duncp ri stnos tre	---|-⌫--⌫-|---⌫--|
seignorada m parla	------|---⌫|--|-|
main sil liuraa saintmi chiell	---|-||----||----|--⌫----||
angre.ettui t	----||-|---⌫|
s euirent s a i nt	-⌫------|-⌫-⌫-⌫-|
michieletille smena as	------|-|-|--⌫|---|-|
de lit ablete zdepara is.	--⌫---⌫------⌫|-|----⌫-||
duncloruin drentencuntredeus	---|--|---⌫----|-------|---|
baru nsanc iens	----⌫-|---⌫---|
silo rdemanderent l isaint qu i	-|--⌫|----------|-⌫|----|--⌫|
estes uosquine fustespas	----|--|--|-|-----|--|
morzneonosen enferetenpara dis	---|-||--|-|----|-|-|----⌫--|
estes oco r srespun d i	----||--⌫-⌫|------⌫-⌫|
lu ndeelssi dist io su i	|-⌫|-|--|-|---|-|--⌫|
eno cqu ipar	---⌫|--⌫|--|
la paroledeusui	-|-----|--|--|
isimi s.icestuisiest	--|--⌫||------|-|--|
hel yas qui	---⌫--|--|
furauizel cure	-|----|-|---|
t resquesorepa sne	-⌫------|--|--⌫|-|
gostasmes mort	--------|---|
mai s enlauenem entan te crist	---⌫|-||------⌫--|--⌫--⌫----|
nos c umbatrumosesdecipleseto	--|-⌫-------||--|-------|-||
lu iparsignesetpa r	--⌫|--|-----|-|--⌫|
mi racles.etal	--⌫-----||-|-|
deerainserunocis	------|----|---|
i erusalem .	-⌫-------||
apres letiers ioretdemialtrefiee	----|-|----|--|-|---|----|---|
serunra uizuifs as	----|--⌫--|---|-|
nues .etcummehelyaset saint	---||-|----|-----|-|----|
pa r loue nt is si	--⌫-⌫----⌫-|--⌫-|
si so rui nt u n hommepo rtantune	-|--⌫---⌫-|-⌫|----|--⌫----|--|
sussesespauless i	--|--|-------|-⌫|
li d emanderenttuitlisain t	-|-⌫---------|---|-|----⌫|
quies tuta ueue resemble	--|-|-|-|---|-------|
ue u e de larrun	--⌫-⌫|-|-----|
.etque est ceoque	|-|--|--|--|--|
tupo rtesate sespaulesil lor	-|--⌫---||--⌫|-------|-|--|
distuairement fui ieo larun	---|--------|--|--|----|
m alf aisantenterreet ligieu	-⌫---⌫-----|-|----|-|-|---|
mecr uce fierentoiesu	-|--⌫---⌫------||---|
ui l essignesquiauindrenten	-|-⌫-|-----|--|--------|-|
m ortsicrui qu il	-⌫--|-|---|-|-|
fucreat orde	-|-----⌫-|-|
to te screatures	--⌫--⌫|--------|
silipriaimerci si dissire	-|-|----|----|-|--|---|
rememb rete i	------⌫-|--⌫|
demei enton	-|--|-|--|
regne.etil	----||-|-|
eneirerecutma priiere	-|---|----|-|------|
simedistsenzfaute	-|-|---|---|----|
medona le signede	-|---|-|----|-|
cr oiz e tdist	--⌫--|-⌫|---|
porteice osiua	----|---⌫|-|-|
enparais. etsel	-|-----||-|-||
cuntredit lentreesidi	--------||-----|-|-|
ueez cestecroiziesu cristle	---|----|----|---|----|-|
deumenueiec a.e tan	--||-----|-⌫||-⌫|-|
amen a enla destrepartde	----⌫|-|-|-----|---|-|
p arais si medisticit est asi	-⌫----|-|-|---|--||---⌫|-|
e ntreral eperedehu m ain e	-⌫-----|-⌫|---|-|--⌫-⌫---⌫|
ligneeadamo tozlesfeels nostre	-----|---||--|--|----|-----|
seignor iesu cris tle	------|---|----⌫|-|
crucefié. acesparoles tuit li	--------|||--|------|---|-|
saint aune uo izloerent	----||--|--⌫-|------|
distren t ben ei tsoitdeu	-------⌫|---⌫--⌫|---|--|
omn ipotent peredemiserico rde	---⌫------|---|-|--------⌫--|
q u i te legracedonaa	-⌫-⌫|--⌫-|----|---||
pecheors.ceo	-------||--|
suntlessecreis	---|--|------|
quenos leuciusetk a r ini u s	--|--|------|-|-⌫-⌫-⌫---⌫-⌫|
ueim e set o ismes .neplusn e uos	----⌫-⌫|-|-⌫----||-|---|-⌫|--|
osuncunter des secreisnostre	---|-----|--|------|-----|
seignor ca rlarch an g r elenos	------|--⌫||----⌫--⌫-⌫-⌫|-|--|
des fendisi distalez	---⌫----|-|---|---|
freresenier usalemet	-----|-|---⌫-----|-|
serezen oroi sunscriantet	----|-|----⌫---|-----|-|
glorefiantlaresurecti uniesu	---------|-|---------⌫-|---|
crist nostre se ig norq uie nsemble o lui	----|-----|--⌫--⌫--|-⌫-|-⌫------||--|
uosres usc itade	--|---⌫---⌫--|-|
neuospa rlerezonul homm eain z	-|--|--⌫-----||--|----⌫|---⌫|
serezcummemu	----|----|-|
tr e sq ues loreu ieng e que nostr e	--⌫-⌫--⌫--||--|-⌫----⌫|--|-----⌫|
seignoruosdoinst	------|--|-----|
decunter lessecrezd e sadeite	-|-----|--|-----|-⌫|-|----|
ap resceonos dis t	--⌫--|--|--|---⌫|
larcangresaintmichi el	|-------|----|-----⌫-|
alisieno utrele fluniordan	------|-⌫---|-|---|-----|
ou out mulzde cel s qui	-|--|---|-|---⌫|--|
resusci terenton os eltestemoigne	-------⌫-----||-⌫-|-|----------|
de laresurectiun ie su	-|-|----------|--⌫-|
cris t.tant	----⌫||---|
solement nos estot rié	-------|--|--|--⌫---|
eni eru salem	-|-⌫---⌫----|
treis iorsporcelebrerla	----|---|--|-------|-|
pasc h e o	----⌫-⌫||
nos parenz	--|-----|
u ifzel t estem oigne dela	-⌫--|-|-⌫-----⌫----|-|-|
resurectiuni esucr ist.	----------|-⌫--|--⌫--||
etnosquant	-|--|----|
aruncelebrélapasche si	---|-------|-|-----|-|
serun rauias nuesotot cels qui	----|---|-|---|---|---|--|
no sresusciterent sise run	--⌫|------------|-|--⌫--|
portez outr el e flun	-----|----⌫|-⌫|---|
iord a nou nul	----⌫-⌫|-|--|
hommen e nosuera fors	----|-⌫|--|---|---|
nos .etceo	--||-|--|
es tlecunte	--⌫|-|----|
quenostresei g no r	--|-----|---⌫-⌫--⌫|
n osaotriéqueno suos	-⌫-||-----|--|--⌫|--|
cunti sun.orel	-----⌫--||--||
en ren dez	-|---⌫--|
loengeetcu nfessiun	-----|-|--⌫-------|
siuo sr epentez	-|--⌫|-⌫------|
et ilara mercid e uos	-|-|--|----|-⌫|--|
pai saié s deiesu c r is tles alueor	---⌫|----⌫|-|---|-⌫-⌫--⌫|-|-⌫-----|
quantchascun ou tescri t	----|------|--⌫|-----⌫|
cunteensa chartresi	----|-|-|------|-|
se sdrec ierentsisdonere nta	|-⌫-----⌫-----|-||------⌫-||
n icodeme et a io s ep .puissi	-⌫------|-||--⌫-⌫-||---|-|
fure nt hastiuementtr es figurezet	----⌫-|----------|--⌫--⌫------|-|
enblanchizet puis nefurent	---------|-|---|-|-----|
ueu.l orsescris sunt troué ouel	--||-⌫--|-----|---|-----|---|
neune l ettr eplusen lun	-|--|-⌫----⌫|---|-||-|
q uenlaltre .quantceo	-⌫|-||----||----|--|
lasy nag oge desgieus si	-|--⌫---⌫--|--|----|-|
chasc unaaltreueiremen t	-----⌫-||----|--------⌫|
s untceschoses dedeu.be neit	-⌫--|--|-----|-|--||--⌫---|
el siecledes s ie cles	-|-----|--|-⌫--⌫---|
dunciss irenttuitdela	---|---⌫----|---|-|-|
synagoge ogrant poour ba tan z	-------||----|----|--⌫---⌫|
lor spi z .	---⌫|--⌫||
s ialachascun	-⌫|--|------|
asamaisun.	|-|-----||
ett oteslesch osesqui	-|-⌫---|--|--⌫---|--|
furentfaitesa	-----|-----||
lasynagoge	-|-------|
nicodemusetios e plesracu nterent	--------|-|---⌫-⌫|--|----⌫------|
a pila te .e tpilate	|----⌫-||-⌫|-----|
totesleschoses qui	----|--|-----|--|
furentauen ues	-----|----⌫--|
e n terrede iesuetde s	-⌫|----|-|---|-|--⌫|
gieus carilles	----|--|-|--|
u olttotesman der	-⌫--|----|---⌫--|
lenpereorc laudie cesa r	|-------|-⌫-----|----⌫|
