laiieperdue	|-|-|-----|
secestesont de	-|-----|--|-|
uos m estier	--|-⌫-----|
ser ue zles	---⌫--⌫|--|
de uostre mestier	-|-----|------|
fereleur deue zcortoisie	---|---|----⌫|--------|
cestunec hosem outpr oisie	|--|--|-⌫---|-⌫--|--⌫----|
me squilnepuissent a perc oiu re	--⌫--|-|-|-------|-⌫----⌫---⌫-|
queuoslesbaiezadecoiure	--|--|--|----||-------|
ainsincuos esteutdemener	------|--|-----|------|
le sbrazaucoldoitlenmener	--⌫|---|-|--|---|--|----|
sonanem ipendre	--|----⌫|-----|
pa rchuerparapla noier	--⌫|----|--|----⌫----|
s aut r ementn en	|---⌫-⌫----||-|
m esb ienpuisiureretpleuir	-⌫-|-⌫--|---|----|-|-----|
quil naciautre cheuissance	-|-|||-|----|----------|
caril sunt d etelepoi ssance	--|-|---|-⌫|---|---⌫-----|
q ui enape rt lesassaudroi t	-⌫-|-|---⌫-|--|---------⌫|
asonproposcecroi	|--|-----|-|---|
apres ainsintuoscon tendrez	----|------|--|---⌫------|
quantaus autre sport ie rsuendrez	----|--|-----⌫|----⌫--⌫-|------|
seuos iauenir i	-|--|-|----||
telsdon scon	---|---⌫|--|
sidirem o ez	-|---||-⌫-|
chapiausdefleursenesclicetes	-------|-|-----|-|---------|
aumonie resouc respine t es	-------⌫--|-|-⌫-------⌫-⌫-|
ouautresi o elezpetiz	-|-----|-⌫-⌫---|----|
ge ntiz etbiauset	--⌫---|-|----|-|
bienfet iz	---|---⌫-|
seuosenaue zlais em ent	-|--|-|---⌫||---⌫--⌫--|
sanzuosmetre a dest ruiemen t	---|--|----||----⌫-------⌫|
por apesier leu rpresa ntez	--|------|---⌫|-----⌫---|
d esmausa presuosdem antez	-⌫-|---|-⌫---|--|---⌫----|
etdutrauaillet dela pe ine	-|-|-------|-|-|-|--⌫--|
quamorsuos	-|----|--|
uosm ei ne	--|-⌫--⌫-|
etse uos nepo ezdo ner	-|-|--|-|--⌫-|--⌫--|
parpromesseesteut sermoner	--|-------|-----|-------|
promete zfor t	-------⌫|---⌫|
s anzd e laier	-⌫--|-⌫-⌫----|
conmentq u il ailledu pai er	--------⌫|-|----|-|---⌫-|
iu rezf ortet	--⌫--|-⌫--|-|
la foiba illiez	-|--|--⌫-----|
ain zqueconclusuos e nailliez	---⌫---|------|--|-⌫|------|
prie z qu iluossequeurent	----⌫|-|-|--|---------|
etseuost reoildeuantelspleure nt	-|-|----⌫-|--|-----|--|------⌫-|
ceuosiertmoutgranz auantages	-|--|---|---|----|--------|
plorezsi ferez t rop ques ages	-----|-|----|-⌫--|--|-⌫---|
deu anteusuos	---⌫--|--|--|
agenoilliez	----------|
ioint esmainse tuozeuzmoill iez	-----⌫-|----|-⌫|--|--|-----⌫--|
lermesenla	-----|-|-|
q uiuoscou lentauall aface	-⌫-|--|---⌫---|---|-⌫|---|
bienchoair	---|-----|
cestmoutgrant	|--|---|----|
pitie zauoair	-----⌫||----|
lermesn esuntpasdespit eus es	-----|-⌫|---|--|------⌫---⌫-|
m eesmementa	-⌫--------||
genz piteu ses	---|-----⌫--|
etseuo snep oezplorer	-|-|--⌫|-|-⌫--|-----|
cou ertementsanzd emorer	---⌫-------|---|-⌫-----|
s al iuepregni ez	-⌫--⌫--|------⌫-|
ou ius doignons et leprengniez	-|--||------|-|-|--------|
ou d auzoudautr es liqu e u rs	-||--|-||----⌫-|----⌫-⌫-⌫-|
don uoz pa lperes soi ent teintes	--|--|--⌫-----|---⌫--|------|
sains inclefetez s iplorrez	|----⌫--|-|----|-⌫|------|
toutesles foizqueuos uorre z	-----|--|---|--|--|-----⌫|
ainsin clont	------⌫||--|
f e t maint boleor	-⌫-⌫|----|-----|
f uren tfinameor	-⌫----⌫|--|----|
quele sdames less aient p andre	--|--⌫|----|----⌫----|-⌫----|
aulazq u illeur uouloient	-|--|-⌫|-|---|--------|
tant queparleurmise r i cor de	----⌫--|--|---|----⌫-⌫-⌫---⌫-|
leurostassentd ucolla corde	---|--------|-⌫|--|-|----|
partelsba raz	--|---|--⌫--|
ploreren t	--------⌫|
quionq uesparamorsnam eren t	--|---⌫--|--|----||--⌫----⌫|
ai nz dece uoientle s pucele s	--⌫-|----⌫-----|--⌫|------⌫|
parte lspleur set partelsfaueles	--|--⌫-|-----⌫|-|--|---|------|
lermeslescuersde	-----|--|----|-|
telsge nzsachent	---|--⌫-|------|
m esquesanzplusbara t n i sachent	-⌫----|---|---|----⌫|||------|
mes seuostre baratsauoient	--|-|-----|----|-------|
iamesdeuosmerc inauroi ent	----|-|--|----⌫||-----⌫--|
crier merciseroit neanz	----|----|-----|----|
iamesnen tre r iez leanz	----||--⌫---⌫-⌫--|----|
nepo ezaler	-|--⌫-|---|
fetes iparauc un	----||--|---⌫-|
quisoit mesagiersco nuenables	--|---|--------|--⌫--------|
ouparletresoupar ta bles	-|--|-----|-|--|--⌫---|
nimetezp ropre	||----|-⌫----|
i acilnisoitsecele	-⌫|--|||---|-|---|
ce l eresoitcil apelee	--⌫-⌫|-----|--|-----|
i e rttropmie uzcelee	-⌫-⌫-|---|---⌫-|----|
cil soit d amecele soitsire s	--|---|-⌫--|---|---|----⌫|
ai nsi ncesc r iuezuozmatires	--⌫---⌫-|---⌫-⌫---|--|------|
carmainz a manz	--|----|-⌫---|
maintlarr onpar lescr it	----|----⌫-|--||----⌫-|
li am ant e n	-|--⌫--|-⌫|
sunt e ncusé	---|-⌫-----|
etl ideduitd	-|-⌫|-----||
amor srusé	----⌫|----|
en fanz ne uosfiez	--⌫---|-|--|---|
caruos seriez	--|--|-----|
ilnesu nt pas bonme sagier	-|-|--⌫-|--|--|--⌫-----|
touriorz ueulent enfanz ragier	-------|------|-----|-----|
iangleroumoutrerce	------|-|------|-|
quilportent	-|-|------|
aus t reit eursquilesen o rtent	--|-⌫----⌫---|--|--|--⌫-⌫----|
ouf ontnicement	-|-⌫--|-------|
le ur mesag e	--⌫-|-----⌫|
porcequiln e	--|-|-|-|-⌫|
s untm iesage	-⌫--|-⌫-|---|
toutseroit tant ost publié	---|-----|----⌫--|------|
estoien t uezie ́	-------⌫|-----⌫|
cistportiercestchos eseure	---|------||--|----⌫|----|
suntdes ipiteu s e nature	---|-|-⌫|-----⌫-⌫|-----|
q ueseuozdonz	-⌫-|-|--|---|
daign entrecoiure	-----⌫--|-------|
uosu e ulen t pasde coiure	--|-⌫-⌫----⌫|--|--⌫-----|
sachiez quereceuz seroiz	------|--|-----|-----|
enpres l esdonsqueuosferoiz	-----|-⌫-|---|--|--|-----|
puisqu ilprene nt	-----|-|-----⌫-|
cho s ef ete	---⌫-⌫|-⌫--|
c ar siconliloerresaffete	-⌫-|-|--|-|------|-----|
por uenirau	--|----|-|
esperuier a main	--------||---|
a usint sunt aff etiépardons	-⌫----|---|---⌫----|--|---|
a done rgraces etpard ons	|----⌫|-----|-|----⌫--|
lipor t ie r aus	-|---⌫-⌫--⌫|--|
fi n s a moreus	--⌫-⌫|-⌫-----|
tuitseren dentuaincuporeus	---|-|---⌫---|-----|--|--|
ets ilauientque lest r ui ssiez	-||-|-----|--|--|-⌫-⌫--⌫----|
siorgue ill e us que nespuissiez	-|-----⌫---⌫-⌫-|--||-|-------|
flechir pardonsne	------|--|---|-|
p ar p ri eres	-⌫-|-⌫--⌫---|
parple ur s	--|---⌫--⌫|
neparautr es manieres	-|--|----⌫-|-------|
ainzu osre gietent tou tarrieres	---|-⌫-|--⌫------|---⌫|-------|
fezp ar parolesfi eres	--|-⌫-|------|--⌫---|
etuosledan gentdurement	-|--|-----⌫---|-------|
partezuosdeus	-----|--||--|
c ortoisement	-⌫----------|
e tleslessiez enc e sain	-⌫|--|------|-|-⌫|---|
onqu esfromagede gain	----⌫-|------|-|---|
cu istquils e cuiront	--⌫--|-|-|-⌫|------|
paruostr ef uite seduiront	--|-----⌫|-⌫---|-|------|
mai n t esfoizauosenchaucier	---⌫-⌫-⌫-|---||--|---------|
ce uosporra moutessaucie r	-|--|----|---|--------⌫|
uilain scuersuntd etel	------⌫|---|---|-⌫|--|
c elsquipluslesont	-⌫--|--|---|--|--|
pl us lesprient	--⌫-|--|-----|
etma insles prisent	-|--⌫--|--|------|
plusl esseru entplus les despisent	---|-⌫-|----⌫--|---|--|--------|
mes q ua nt ils un tdes	--|-⌫--⌫-|-|-⌫--⌫|--|
genzles sié	---|---⌫---|
tost on tleurorgeuill abessié	---|--⌫|---|-------|-------|
celsquildes pis oient leurp le sent	---|-|-|---⌫---⌫----|---|-⌫--⌫---|
lors sedonte ntlors	---|-|-----⌫-|---|
sera pesent	-|--⌫-----|
nele u r est pas bel meslet	-|--⌫-⌫|--|--|--|--|--|
moutdurementquantenleslet	---|-------|----|-|--|--|
limariniersquipar mer nage	-|--------|--|--|--|---|
cerchantmaint eterre	-------|-----⌫|----|
toutregart ila	---|-----|-||
unee st oile	--|-⌫--⌫---|
ilp astorio rzdunuoile	-|-⌫-|-----⌫-||-|----|
ainz letres cha ngemout	---|-|----⌫---⌫--|---|
poresc heuerta mpest	--|---⌫----|--⌫----|
ausincque urquidamern ecesse	-----|---⌫-|--||---|-⌫|----|
ne cortpas torior zdunelesse	-|---|--|------⌫||--|----|
chacieror doi tfoir	------|-|---⌫|---|
quiueut debone	--|---|-|---|
dautrepartc est	|----|---||--|
bienple inechose	---|---⌫--|----|
ien euos imetre iaglos e	-|-⌫|--||----|-|----⌫|
outiex teu ospoez f i er	-|----⌫-|-⌫-|---|-⌫-⌫-|
bon fetcesyy portier s	--|--|--|-|-------⌫|
carnuleri enscil ni peut	--|---|--⌫--|--|||---|
quise u e utauprieraherd re	--|-|-⌫-⌫-|-|----|-----⌫-|
con bienqu ilsoie nt bobancie r	---⌫-----|-|----⌫-|--------⌫|
etsisip eutbien	-|-|||-⌫--|---|
pri erles peut seurem ent	---⌫-|--|---|------⌫--|
c arilseracerteineme nt	-⌫-|-|---|----------⌫-|
ou refusezoureceu z	-|------|-|-----⌫|
nepeut guierees tre	-|---|-----|--⌫--|
rien niperdentli	---|||------|-|
forstant c onil iont musé	---|---|-⌫-|-||--|----|
ne iacilmaugre	-|-|--|-----|
priez les a uront	----|--|-⌫----|
ainzleursaurontbo n gre ne is	---|---|------|--⌫|--|--⌫-|
quant lesauron tb out ezleis	----|--|-----⌫|-⌫---⌫-|---|
quil nestnul	-|-||--|--|
tantf elquilesoi e	---|-⌫-|--|--|--⌫|
quinenaiten son	--||-|--|-|--|
queurgrant ioie	----|----|---|
etsepensenttretuit tesant	-|-|------|------|-----|
quor suntil preu	-|-|---|-|---|
beletplesan t	--|-|------⌫|
etqu ilo n ttou t es	-|-|-|-⌫-⌫|---⌫-⌫-|
tachesbones	-----|----|
q uan tamésunt de	-⌫---⌫|---|---|-|
telspersones	---|-------|
conmentqu ilail ledunaier	--------|-|---⌫-|-|----|
oud escuseroud otrai er	-||------|-||-----⌫-|
r ec eu bienlesaient	-⌫--⌫-|---|-|-----|
do nq uesontil cequil q uer ai ent	--⌫--⌫--|--|-|-|-|-|-⌫---⌫--⌫--|
etsetantleur meschietqu ilfai llent	-|-|---|---|-------|-|-|---⌫----|
tuit fra nc ettuitquite s	---|---⌫-|-|---|----||
en aill ent	-|----⌫--|
sestli faillirsenuiz	|--|-|-------|----|
tant es t noueaus de liz plesibl es	---|--⌫|------|--⌫--|-------⌫-|
mesnesaient pas	--|-|-----|--|
cous t umi er	----⌫-⌫---⌫-|
au sportiersauprumier	--⌫|-------|-|------|
ueille ntd e sacoster	------⌫-||-⌫|------|
por la fleur duros i er oster	--|-|----|-|---⌫-⌫-|----|
mespar amorl ealetfine	--|--|---|-⌫--|-|---|
de netepe nseee nterine	-|---|--⌫---|-⌫------|
sachiez quil sunttretuitdontable	------|-|-|---|------|-------|
pasparoledoutable	--|-----|-------|
porquilsoitqui	--|-|-|---|--|
bie n lesrequiere	---⌫|--|-------|
ian enseraboute z	-||-|---|-----⌫|
n usn i doitest re	-⌫-|||---|---⌫-|
mes sedem onc onseill usez	--|-|-|-⌫-|-⌫------|---|
iadelsprierne uos	-||--|----|-|--|
se la choseaf inne m enez	-|-|----||-⌫-|-|-⌫---|
care spoirse uaincunes toient	--|-⌫----|-|-----||--⌫-----|
destrerequis seuenteroie nt	|----|-----|-|---------⌫-|
m es ia puisn e	-⌫-|-|---|-⌫|
senuenteront	|-|--------|
quedufetparconie r seront	--|-|--|--------⌫|-----|
tuitdetelmaniere	---|-|--|------|
conbienquilfa centfierechiere	--------|-|--⌫---|----|-----|
quese requ isaua nt n estoi ent	--|-|----⌫-|---⌫-||-----⌫--|
certeineme ntilrequerroient	----------⌫-|-|-----------|
etse do nroient	-|-|--⌫------|
iroitaspr oiant	----|----⌫----|
hastif sermone ur	-----|-------⌫-|
et li follarge	-|-|--|----|
si formentles enorgueillissent	-|------|--|---------------|
quele u r rosesleur	--|--⌫-⌫|----|---|
enchierissent	------------|
sisecuident f e reauantage	-|-|------|-⌫-⌫-|-------|
fontleurc rueldomage	---|---|-⌫---|-----|
c artretoutpo r neanteussen t	-⌫-|------|--⌫|----|------⌫|
seiarequestenenmeussent	-|-|-------||-|-------|
porquo ichasc unsautel f eist	--|---⌫|-----⌫--|----|-⌫---|
quenus auant ne sr equeis t	--|--|----||-⌫|-⌫------⌫|
etsiseuousissentl oier	-|||-|---------|-⌫---|
mouten eussentbonloier	---|-|------|--|----|
se tretui tacesemeissent	-|------⌫||-|-|-------|
conuenancesfeissent	----------|-------|
queia mesnusn	--|--⌫--|--||
esse rmonast	-|--⌫------|
n ep or neantnesedo nast	-⌫|-⌫-|----|-|-|--⌫---|
ainz lessastporels mieuzmestr ir	---|------|--|--|----|-----⌫-|
ausportier leur	--|------|---|
rosesflestri r	----|-------⌫|
mesporrienshomn e	--|--|----|--|-⌫|
meple ro i t	-|---⌫--⌫-⌫|
q u id eson corsmarchieferoit	-⌫-⌫|-⌫|--|---|------|-----|
de uroitmieplere	--⌫----|--|----|
po rtelbesoignefere	--⌫|--|-------|---|
me son qu es porce nat endez	--⌫|--⌫--⌫-|--|-||--⌫----|
requerez le s e tleurtendez	-------|--⌫|-⌫|---|-----|
leslaz po ruo stre praiep ren dre	--|--|--⌫|--⌫---|----|-⌫---⌫--|
caruo sp orrieztantatendre	--|--⌫|-⌫-----|---|------|
quetostsiporroientenba tre	--|---|||--------|----⌫--|
ou zzouyyouyy ou y y	-|-|-|-|-|-|-|-⌫|
uoir eyy dozeines	----⌫|-|-------|
deda nzy y semei nes	----⌫-|-⌫|-----⌫--|
tost se r oien tailleurstorné	---|--⌫-⌫----⌫|-------|-----|
s etropauie zseiorné	-⌫|---|----⌫|-------|
en uiz at ens iuendri ez	--⌫--||-⌫--||------⌫-|
por ce quetropat endri ez	--|-|--|---|--⌫-----⌫-|
neloqu e nus homtantatande	-|-|--⌫|--|--|---|-----|
quef am es amorlidemande	--|-⌫--⌫||---|-|------|
car t ropensa biaute	--|-⌫--|-|-|-----|
qui at entquefamele prie	--|--⌫--|--|---|-|---|
etquiconques	-|---------|
ueutconma ncier	---|-----⌫----|
por tostsa	--|---|-|
besoi gneauancier	-----⌫--|-------|
n aitia p oorquelele	|--|-|-⌫--|-|--|-|
tants oito rgueilleuse ne	---|-⌫--|-⌫----------|-|
etquesanef a portne uiegne	-|--|-|--||---|-|-----|
por quoi sagem e ntse contiegne	--|---|-----⌫-⌫-|-|--------|
ain sinc conpainz esp leterez	---⌫---|-------|---⌫------|
quantaus portiersuenuz se re z	----|--|-------|----|--⌫--⌫|
mesq uantcor roci ezles	--|-⌫---|---⌫----⌫-|--|
ia dece ne	-|-|-|-|
les requerrez	--|--------|
e sp iez les	-⌫--⌫--|--|
en leurl eesce	-|---|-⌫----|
ianesrequerez en	-||-|-------|-|
t rist ece	-⌫----⌫--|
selatr i stec ene st oi t n e e	-|-|--⌫-⌫----⌫||-⌫--⌫--⌫|-⌫-⌫|
d e ialousie	-⌫|-------|
quiporuosleseustbatuz	--|--|--|--|---|----|
dom corrozsifustenbatuz	--|-----|||---|------|
et sepoez a	-|-|---||
qup riuéles pu issieztenir	-|-⌫----|--|--⌫-----|----|
quelil eussoi t	--|-|-⌫--|---⌫|
siconuenanz	-|--------|
qu e nidouteznussoruenanz	--⌫|||-----|--|--------|
e tbel a cuellsoiteschapez	-⌫|--|-⌫----|---|-------|
o re atrape z	-⌫-|------⌫|
q uantb el a cuellf etuos a ura	-⌫---|-⌫-|-⌫----|-⌫-|--|-⌫--|
si biau sembla ntcon i lsaura	-|---|------⌫-|--|-⌫|----|
car mout s etbel genz	--|---|-⌫-|--|---|
lorsdeuez larosecuillir	---|----|-|---|------|
t outuaiez uosneisdangier	-⌫--|----|--|---|------|
quiuos acuellealedang i er	--|--|------||------⌫-⌫-|
po o re ngrocent	--⌫-⌫|-⌫|------|
mesquefeint e mentse n corrocent	-----|-----⌫-⌫---||-⌫|--------|
et qu elas c hementse	-|--⌫|---⌫-⌫-----|-|
deffende nt	--------⌫-|
quandeffenda ntuainc u	-|-|--------⌫-|-----⌫|
serend ent	-|----⌫--|
sicon lors uosporra semb le r	-|--|---|--|----|----⌫--⌫|
tou tuoie z uospoort rembler	---⌫|----⌫|--|---|-⌫------|
honterogirdangierfremir	----|----|------|-----|
ou tretozyypleindre et gemir	-|-----|-|-------|-|----|
neprisiez tretoutunee scorce	-|------|------|--|-⌫-----|
cu illezlarose to u taf orce	--⌫----|-|---|--⌫-⌫||-⌫---|
etmoutrezqueuosestes hon	-|------|--|--|----|--|
quantleus iertettens et seson	----|---|---|-|---|-|----|
carriensn ele ur porroit	--|----|-⌫|--⌫-|------|
tantp lere	---|-⌫---|
co ntelforce q uilas etfere	--⌫|--|----|-⌫-|-|-⌫-|---|
car maintesgen z suntc oustu m ier es	--|------|---⌫|---|-⌫-----⌫-⌫---⌫-|
d auoir si diuerse smaniere s	|----|-|-------⌫|-------⌫|
quilueulentparforc edoner	-|-|------|--|----⌫|----|
ce quiln osent abandoner	-|-|-||----|--------|
etfai gnen tqu il leur soit tolu	-|---⌫----⌫|-|-|---|---|---|
il ontsoffertet uolu	-|--|------|-|---|
sisachiez que dolent sero ient	-|------|--|-----|----⌫---|
separ t el	-|--|-⌫-|
d effanseeschapoient	-⌫------|----------|
q uelqueleesce qu ilfainsissent	-⌫-----|-----|-|-|----------|
sidoutquil u o sen	-|---|-|-|-⌫-⌫|-|
tantenseroien tco rrocié	---|-|-------⌫|--⌫------|
conb ienquileussentgrocié	----⌫----|-|------|------|
me sseparparolesapertes	--⌫|-|--|------|------|
les sen tez corroci eza ce rtes	--|---⌫--|-------⌫-||--⌫---|
etuig ue reusementdeffe ndre	-|---⌫--⌫--------|-----⌫---|
uosnideueziala main	--|||----|-|-|---|
mestouteuoisprisuosre ndez	--|--------|---|--|--⌫---|
merci c riantet atend ez	----|-⌫----|-|-----⌫-|
i uqueciltroi portier senaillent	-⌫---|--|---|------||-|------|
grieuent ettrauaillent	-------|-|----------|
etbelacu elltouzseusre mai gne	-|--|---⌫--|---|---|--⌫---⌫--|
quitoutaban doner uos daigne	--|---|----⌫----|--|-----|
a insinc uerseusuoscontenez	-⌫-----|---|--|--|-------|
etpreuzetuaill anzetsenez	-|----|-|-----⌫--|-|----|
debelacuell r eprenez	-|--|-----|-⌫------|
par quelsemblantil	--|---|-------|-|
uos regarde	--|------|
conmentqui lsoit ned equelchiere	--------|-⌫|---|-|-⌫|---|-----|
conformezu osa	--------|-⌫-||
sa manier e	-|------⌫|
s elest ancieneet meure	|-|--|------|-|----|
uo sm etrez toute u ostr e cur e	--⌫|-⌫----|----|-⌫----⌫|---⌫|
en uosten irm eureme nt	-|--|---⌫-|-⌫------⌫-|
etsilse c ontientn icem ent	-||-|-|-⌫------|-⌫----⌫--|
nicemen tuoscontenez	-------⌫|--|-------|
de lui ensuiureuos penez	-|--|-------|--|----|
silestliezfetes	|-|--|---|----|
chiereliee	-----|---|
corrociez corroci ee	--------|-------⌫-|
s i l r it	|-⌫|-⌫-|
riezplorezs i p leure	---|-----|||-⌫----|
ainsincuoste ne zchascuneheure	------|--|--⌫--⌫|-------|----|
il amera si amez	-|----|-|---|
ceq u iluodrab lame r	-|-⌫|-|----|-⌫----⌫|
etloez quanquilloera	-|---|-----|-|----|
mo ut plus en uo s	--⌫-|---|-|--⌫|
se n fiera	|-⌫|----|
cuid iezquedame aqueur	----⌫--|--|---||----|
aintungar confolet saillant	---|-|---⌫--|--|-|-------|
parnuitresue r	--|---|-----⌫|
ainsinccon	------|--|
s ildeustdesuer	|-|----|-----|
etchante ra	-|------⌫-|
desmienui t	--|------⌫|
cuiqu i lsoit bel ou quilen nuit	----|-⌫|---|--|-|-|-|--⌫---|
elencre indroitestreblasme e	-|-|---⌫------|----|------⌫|
tenueet diffamee	----|-|-------|
telsamorss unttantost se ues	---|----|-⌫--|------|--⌫--|
quille sfleutentpar	-|-|--⌫|-------|--|
neleurchau tguieres	-|---|----⌫|------|
quilessache	--|--|----|
foleestquis on	---|--|--|-⌫-|
queuriatache	----||-----|
et suns sag edamorsp arol e	-||--|---⌫||----|-⌫----⌫|
a unedamoisele fo le	|--|--------|--⌫-|
silli fet semblant	|-|-|--|-------|
destresages	|----|----|
ial a neto rr as e s	-|-⌫|-|--⌫--⌫|-⌫-⌫|
nepenseziaqu il iauiegne	-|-----|-|-|-||------|
por quois ageme ntseco ntiegne	--|---|-⌫-----⌫-|-|--⌫------|
facesesmeursausiensxxx	---|--|----|-|----|--|
ou autre mentil ierthonn iz	-|-----⌫---|-|---|----⌫-|
il s oituns lobierres	-|-⌫--|--|--------|
un s renarzuns	--⌫|-----|--|
anfantosmierres	--------------|
tantostl ache tiue	------|-⌫|---⌫---|
et prentuna utreou moutsabe sse	-|----|-|-⌫---|-|---||---⌫--|
leuaillanthomearr ier eboute	-|-------|---|---⌫---⌫|----|
etprent lepiredelaro ute	-|----|-|---|-|-|--⌫--|
lanorristses am orsetcouue	-|------|--|--⌫--|-|----|
tou tau tresintco nme lalouue	---⌫|--⌫------|--⌫--|-|----|
folietan tenp ire	----|---⌫|---⌫--|
quelp r entadesdeslouslepire	-|-|-⌫-⌫--|---|--|---|-|---|
sebel acuellpoeztrouer	-|--|-----|---|-----|
p uissiezaluiiouer	-⌫------||--|----|
a useschesausdez o uaus tables	-⌫-|-----|--|--|-⌫|--|-----|
ouautr esieusde litables	-|----⌫-|---|--⌫-------|
desieusades	--|---|---|
toriorz audeso uz ensaiez	------|-|----⌫-|-|----|
auieudon uosentre metrez	-|--|--|--|-----⌫-----|
perdezquanqu euosi	-----|------⌫|--||
preigne desi eusla	------|--|-⌫--|-|
seigneurie	---------|
deuoz pertes se gabe etr ie	-|--|-----|-|---|-|-⌫-|
loeztoute ssesco ntenances	---|-----⌫|--|--⌫--------|
et ses ator set	-|--|----⌫|-|
sess emb lances	--|-⌫---⌫-----|
et seruezdeuostre poair	-|-----|-|-----|----|
s edeura so air	-⌫|----|--⌫--|
aportezliquarre l ou sele	------|-|------⌫|-|---|
mieuz e nuaudrau ostrequerele	----|-⌫|-----|-⌫----|------|
se potiep oezuoair	-|----|-⌫--|----|
seu rli de q u elquepart choair	---⌫|-|-|-⌫-⌫----|---|-----|
ostez li tantos tl a pou tie	----|-|------⌫|-⌫|---⌫--|
niestoitmie	||-----|--|
o usesarobe trops	-⌫|-|-|---|---||
souzleuez l a	--------|-⌫|
li delapoudre	-|-|-|-----|
briefmentfetesenquelque	--------|----|-|------|
quanque uos pensez quilli	------|--|-----|-|-|-|
sainsinclef etesnen	|------|-|-⌫---||-|
ian i seroizarrier s	-|||-----|------⌫|
ainzuendreza uostr e propos	---|------||-----⌫|-----|
tout ainsinccon	---|------|--|
ielepropos	-|-|-----|
douzamisqu estcequeuosdites	---|---|-|--|-|--|--|----|
f ausypoc rite s	-⌫--|----⌫----⌫|
c estedeablie	-⌫---|------|
noncnefugreigneur establi e	|--|-|-|--------|-------⌫|
uosuole zqueiehoneur eetserue	--|----⌫|--|-|------⌫|-|----|
ces tegentquies tfause etserue	---⌫-|---|--|--⌫|----|-|----|
serfsuntiletfaus	---|---|-|-|---|
uoirem ent	------⌫--|
fors belacu ellt ant	---|--|---⌫--|-⌫--|
uostrecon seil l est ilortex	-----|---⌫----⌫|--|-|-|--|
traistre s seroie	--------⌫|-----|
se seruoiepordeceuoir	-|------|--|-------|
car bienpuis d iredeceuoir	--|---|---|-⌫--|-|-|---|
u eill lesgen z	-⌫---|--|---⌫|
ie les seull	-|--|----|
aua ntdef fier	---⌫-|---⌫---|
soffrezaumainsqueie deffie	------|-|----|--|-|-----|
malebouchequi simes pi e	---|-----|--|-||--⌫--⌫|
ainzquai nsint l ailledeceuant	-----|--⌫----||----|-------|
o ulipr ie	-⌫|-|--⌫-|
que de c e uant	--|-|-⌫|---|
leuéqu e ill abate	----|--⌫|-||----|
ou il conuien tqueiele	-|-|-------⌫|--|-|-|
plestquille	----|-|-|-|
ou ien prend repar moi	-||-|-----⌫-|--|--|
ou seu eausnonq ueiem en	-|---⌫---|--|-⌫-|-||-|
au iugequi uenianceenpr eigne	-|---|--|-------|-|--⌫----|
conpainzconpainz	-------|-------|
ce doiuent que rre	-|------|---⌫--|
suntenaperteguerre	---|-|-----|-----|
mes malebou cheest tr o pco uerz	--|---|---⌫--|--|--⌫-⌫|--⌫---|
i l nestpasanemis	-⌫||--|--|-----|
carquant ilhetou	--|----|-|--|-|
h om e oufame	-⌫--⌫|-|---|
parderiersl a blasme etdiffame	--|------|-⌫|-----|-|------|
tra istre sestd e xle	---⌫-----⌫|--|-⌫-⌫|-|
sifetdro izq uelen	-|--|---⌫-|-⌫-|--|
letra isse	-|---⌫---|
dometr aist rei endifi	|--|--⌫----⌫-||-|-|-|
puisq u iln	-----⌫|-||
afoi poin tnemifi	|--|----⌫|-|||-|
ilhetles genz	-|--|--|---|
e tleurritdeboucheet	-⌫|---|--|-|-----|-|
onqueste lshom nem	-----|--⌫-|--|-||
demoi se gartetie	-|--|-|---|-|-|
droiz estquiatrahirs a mort	----|--|--||-----||-⌫---|
quilra itpartraisonsamort	-|-|--⌫-|--|------|-|---|
selenne se n peutautrement	-|--|-||-⌫|---|--------|
uaingierplus honora blement	-------|---|------⌫------|
uolez pleindre	----|-------|
licuidezuosla	-|-----|--|-|
iangleesta in dre	-----|----⌫--⌫--|
nene po rroizespoi rprouer	-|-|--⌫----|-----⌫|-----|
nesoffisanz	-|--------|
t esmoinztrouer	-⌫------|-----|
etsepreu u esauiez or e s	-|-|----⌫-⌫-|----|--⌫-⌫|
nesete roitil	-|-|--⌫---|-|
pasencore s	--|------⌫|
seplusprouez plusia ngler a	-|---|-----|---|--⌫-----⌫|
plus iperdr ezqu il nefer a	---||-----⌫-|-|-|-|---⌫|
siriertla choseplus seue	-|----|-|----|---|---|
etuos trehontepluscreue	-|---⌫--|----|---|----|
cartexcuide	--|--|----|
abessiersa ho nte	-------|-|--⌫--|
ouuaing ie r qu	-|-----⌫--⌫|-|
illacraitet monte	-|-|----|-|----|
deprie rquesoit abatuz	-|----⌫|--|---|-----|
cistbl a smesou q ui lsoit batuz	---|--⌫-⌫---|-|-⌫|-⌫|---|----|
po r cenelabatroit	--⌫|-|-||-------|
nonpardieupasquilebatroit	--|--|---|--|--|-|------|
d atendrequil leuo s	|------|-|-|-|--⌫|
nea nzseroit sedex	---⌫-|-----|-|--|
iauoi r amende	-|---⌫|-----|
n eprendroi e	-⌫|--------⌫|
bien loffri st	---||-----⌫-|
ainz lipardo nroie	---|-|-----⌫----|
de ffiement	--⌫-------|
se ur sainzuos iur que uraiement	--⌫-|----|--|--|--|--------|
bel acuel li e rt mi s es aineaus	--|-----⌫|-⌫-⌫-|--⌫|-|------|
a rsenfeus	-⌫-|-|---|
