puisquececi feniauons	------|---|---|----|
etpor cequ e	-|--|-|--⌫|
cell e iornee	----⌫|-----|
p eu sta uoirtantde du ree	-⌫--⌫-|-⌫---|---|-|--⌫--|
quet uitfussent	--|-⌫--|------|
escrauenté	----------|
loranemiet se urmonté	--|----|-|--⌫-------|
iosuetelprie re fist	----|--|----⌫-|---|
quediex en gre	--|---|-|--|
resutetpri st	----|-|---⌫-|
q uar l isolauxsenz mocion	-⌫--|-⌫|-----|---|-----|
si fist enson	-|---|-|--|
cors stacion	---|------|
aussicomfichez	----|--|-----|
c orsnulce sachez	-⌫--|--|-|-----|
lisol lauxertsus	-|---⌫---|--|--|
e tlalunedesushelon	-⌫|-|---|----|----|
tantquetu it	------|--⌫-|
furent s urmonté	-----|-⌫-------|
lianemi et tuit gasté	-|----|-|---|-----|
quimontd emauxau bons	--|---|-⌫|---|-|---|
cest nesetboyche e t oy emens	|--|--|-|-----|-⌫|--⌫----|
a toychemensetuo yemens	-⌫---------|-|--⌫-----|
cistnousuollent surmener	---|---|------|-------|
en ma uuesement gouerne r	-|--⌫--------|-------⌫|
mes certes lid ouzihes ucriz	--|-----|-|-⌫--|----⌫----|
par doucesprieres	--|-----|------|
n os an emisapraintetple sse	-⌫-|--⌫---|------|-|---⌫--|
si quanousnui r e ne leslesse	-|-||---|---⌫-⌫|-|--|----|
neli uoyrssol lauxde	-|-|----|---⌫---|-|
queno usseonsuaincunacure	--|--⌫-|----|-----|||---|
mes auec noussest a it senzf able	--|---|---||---⌫-⌫-|---|-⌫---|
sp lendor p ardur able	--⌫-----|-⌫-----⌫---|
iuqua tant q ue	---||---|-⌫-|
nos anemis	--|-----|
cor poresanoussouz mis	---⌫----||---|----⌫--|
et iuquatantqu	-|---||---|-|
il aitlié	-|--|---|
le colsathansoznostr epie	-|--|-----|--|-----⌫|--|
e tporcest faitses diz lui	-⌫|--|---|---|--|--|--|
toziorsfaitilauecuous	--|---|---|-|---|---|
etferetoz dis	-|---|--|--|
tant comci ss eclesaitduree	---|--|--⌫|-⌫----|--|----|
quant l agentf umorte ocise	----|-⌫|---|-⌫|----|----|
quiertenlat erre prom ise	--|--|-|-|-⌫---|----⌫--|
terre d euisee	----|-⌫-----|
gent hebree	---|-----|
to tedeparti e	--⌫-|-------⌫|
quechas cunse n setsapartie	--|----⌫---|-⌫|--|-|-----|
totaussitihe suster re tost	--|-----|---⌫--|---⌫-|---|
auss it comterre	----⌫-|--|----|
nousdepart	---|-----|
aban d one	----⌫-⌫--|
quantilse sdons ach ascun	----|-|--⌫|---||--⌫----|
deuxd iuisi on s	---|-⌫-----⌫--⌫|
furent fetes	-----|----|
oupe uplequiia sont	-|--⌫---|--|-|---|
r et r aites	-⌫--⌫-⌫----|
dommoysesfistlapremiere	--|-----|---|-|-------|
e t iosu e laderreniere	-⌫|----⌫|-|---------|
quarmoys esn	---|----⌫-||
ob lia mie	--⌫--|--|
ausy ylignieset demie	--|-⌫|------|-|----|
deuiserl aterrede	------|-⌫|----|-|
pardeladou	--|---|--|
flunior dain	---|---⌫---|
etiosue desa le flun	-|----|---|-|---|
donad elaterre ac hascun	---|-⌫|-|----||-⌫-----|
deneufligniesetdemi e	-|---|------|-|----⌫|
etceuoyrements enefie	-|-|--------|-⌫-----|
queihes u c rizpl us	--|----⌫-⌫-⌫--|--⌫-|
que laloy fetnauoit	--|-|--|--||----|
enla diuinecompaignie	-|-|-----|---------|
le syy ligniesetdemie	--⌫|-|------|-|----|
notentlepeuplepremerain	-----|-|-----|--------|
dei tez deplai n	---⌫--|-|----⌫|
nefu mani fest ee onq ue s	-|-|----⌫----⌫-|---⌫--⌫|
une demiesenfau tdo n ques	--|----||-|---⌫|--⌫-⌫---|
qu elnesoyenty yplainemen t	-|-|-|-----|-⌫|---------⌫|
qu aronques encienne ment	--⌫-|-----|--------⌫---|
trois pers oynes	----|----⌫----|
quison t ensainct etrinite	--|---⌫|-|------⌫|------|
nefure nta perte snicleres	-|----⌫-|-⌫-----⌫|-|-----|
nesehue sespremi ersperes	-|-----⌫|-|-----⌫--|----|
e s yyligniesetdemie	-⌫|-|------|-|----|
quinombrebien parfezne s t	--|-----|---|-----||-⌫-⌫|
ce est le peuple ihesu	-|--|-|-----|----|
qu is es don sdoneapresb a ptesme	--⌫|-⌫-|---⌫|---|----|-⌫-⌫-----|
ettotau s siten tel p oint	-|--|--⌫-⌫--|-|--|-⌫---|
c omencetu inombren	-⌫-|-|----⌫|-----||
depleniereparfection	-|-------|---------|
totau s sitnesetd ieunu s hon	--|--⌫-⌫--|-|--|-⌫--|--⌫|--|
totesuoyess ontplusasez	----|----|-⌫--|---|---|
ihesucriz a sauuez	--------||-----|
quelal oyencienement	--|-|-⌫-|----------|
nepeutmeneras auuement	-|---|----||-⌫-------|
quantiosue deuisemen t	----|----|---------⌫|
de laterr e fist a sa g e nt	-|-|----⌫|---||-|-⌫-⌫-|
acalephque ilottroué	|-----|--|-|-|-----|
aushermes for te sproué	--|-----|---⌫|-⌫------|
et ua il lant etdegrant fierte	-|--⌫--⌫---|-|-|----|-----|
lor sune cite	---⌫|--|---|
estoitapellee	-----|------|
illecquesrot	--------|--|
d uremellee	-⌫--|-----|
e tbataillemotfiereet	-⌫|-------|--|----|-|
q uaraufil d enableieant	-⌫--|-|--||---|-|----|
ot calebgr antbataille et	-|----|--⌫--|-------|-|
fusts i res delaterre	---|-⌫-⌫--|-|-|----|
mespu is fust	--|--⌫-|---|
etlaterret ot e	-|-|----|-⌫--⌫|
apre s aconquer reen p rist	----⌫||-------⌫-|--⌫-⌫---|
lac i te de sephetet	-|-⌫-⌫-|-|-----|-|
det o tesa mesnie	-|-⌫-⌫-|-|-----|
qu il auoitbelleetbiengarnie	-|-|----|----|-|---|-----|
le plus grantpri s enporteroit	-|---|----|---⌫|----------|
aceluisafille donr oit	|----|-|----|----⌫--|
auretornerde la	-|-------|-|-|
bat ail le	---⌫---⌫-|
e tlorsoth on ielsenzfaille	-⌫|---|---⌫--⌫--|---|-----|
montfie rements aparei lla	---|---⌫-----||------⌫--|
e nlabata ille	-⌫|-|----⌫---|
porsa proecef ist	--|-|-----|-⌫--|
citedesephet	---|-|-----|
etpo rceq uetantsepena	-|--⌫|-|-⌫-|---|-|---|
calep hsafi lle l idonna	-----⌫|-|--⌫--|-⌫|----|
t otenssi tcom	-⌫-|-----⌫|--|
promi s auoit	-----⌫|----|
quiaxaapel lee es toit	--|--|----⌫--|--⌫---|
etlidon aenher itage	-|-|---⌫|-|---⌫----|
p ar raysonde son mariage	-⌫-|-----|-|--|------|
terre soiche que il hauo i t	----|-----|--|-|----⌫-⌫|
e taxa cui	-⌫|--|--|
ilmout greu oit	-|---|----⌫--|
dontelterreli	--|--|----|-|
er t donnee	--⌫|-----|
qu antsu rl a rnesse fut	--⌫--|--⌫||-⌫-----|--|
a plorerdurementsepris t	|-----|-------|-|----⌫|
asonpe re enplorentdist	|--|--⌫-|-|------|---|
sirequantm	---|----||
auez asen ee	---|----⌫-|
etlaterresoichedonee	-|-|----|-----|----|
donez pa r	----|--⌫|
domgel ipu issetr ere hum or	--|-|-⌫|--⌫---|--⌫--|---⌫-|
siason p ere	-||--|-⌫--|
quemain ten antliadoné	--|----⌫---⌫--|-||----|
te rredontg rantym orso rdoit	--⌫--|---|-⌫---|--⌫-|--⌫----|
par l es fonta ines qu	--|-⌫-|-----⌫---|-|
axaporuoi rp ensee no te	--|--|---⌫|-⌫----|--⌫-|
q uilachalordechar debote	-⌫-|-|-----|-|---|-----|
etlesesmoueme n sapraint	-|--|--------⌫-⌫|------|
ceux quel arne s seenlui contie nt	---|--||----⌫-⌫-|-|--|------⌫-|
c alep hl i uaillanz l i	-⌫----⌫|-⌫|-------|-⌫|
asafill e donayydons	|-|----⌫|---|-|---|
etcist duidon n ousso ntdoné	-|---|--|--|-⌫--|--⌫-|----|
d ous ouue rain ro y	-⌫-|-⌫----⌫---|--⌫|
c ha rue autieune	-⌫--⌫|--⌫--|----|
doneeliestsoic he terre	----|-|--|----⌫-|----|
etquant laler me e stespendue	-|----|-|---⌫-|-⌫-|-------|
terremoiste	----|-----|
l iest rendue	-⌫|--|-----|
quantla terre	----|-|----|
fudepartie	-|-------|
li diacrenullepar tie	-|-----|----|---⌫--|
del aterre auoirneporent	-|-⌫|----|----|-|-----|
di e xfu laporcionq uil or en t	--⌫-⌫|-|-|------|-⌫|-|--⌫--⌫|
mesi osue l orotri a	--|-⌫---|-⌫-|----⌫|
p reuelegia	-⌫--------|
quepartoutla ouil	--|------|-|-|-|
uousiss e nt	-------⌫-⌫-|
en totes les citezmainsi ssent	-|----|--|----|------⌫----|
et sur trestotes l es	-|--|--------|-⌫-|
et i l ett otes lor mesnie s	-|-⌫|-|-⌫---|--|------⌫|
n ostrediac re cestlauoyre	-⌫----|----⌫-||--|-|----|
sontcinote ́et li preuoyre	---|-|----⌫|-|-|-------|
qui nous parfontedifie n t	--|---|------|------⌫-⌫|
de ssain cte sparollesqui ldient	--⌫|----⌫---⌫|-------|-|-⌫|----|
quicuren tl es souer ainsbiens	--|-----⌫|-⌫-|-----⌫---|----|
lesterri ens	--|-----⌫--|
etqui ontleurpenseemise	-|--|--|---|-----|---|
entie rementa udieuseruis e	-----⌫-----|-⌫|---|------⌫|
et commeli ouriers poruoir	-|----|-|------|--|---|
soitdi gnesdouloyerauoy r	---|--⌫---|--|----|----⌫|
seimen tcequigueri st	------⌫|-|--|-----⌫-|
et sicuillentceuquiperist	-|-|-------|--|--|-----|
s auc unstedonelauien de	|---⌫--|-|---|-|----⌫-|
qu el ame requiertetdemende	--⌫||--|-------|-|------|
la uiendedou cors	-|-----|--|---|
quarl e s criptureainssi lesonne	---||-⌫-⌫-------|-----|-|----|
etce que cetegenttant	-|-|--|---|---|---|
queyyet yyci tezprirent	--|-|-|-|--⌫--|------|
fuli droizsi gnifiemens	-|-|----|--⌫---------|
a cequ ed iz commendemenz	|-|--⌫|-⌫-|-----------|
donadiexenlaloy	---|---|-|-|--|
pre mie re	---⌫---⌫-|
etpu is e nlaloydarreniere	-|--⌫-|-⌫|-|--|---------|
quinouelle estnomee etdite	--|------|--|----|-|---|
furen t li	-----⌫|-|
y yeuangelite	-⌫|---------|
yyfoizyy s ont	-|---|-|-⌫--|
et donqueslimestre quiont	-|------|-|-----|--|--|
le s y yloisenseygne nt	--⌫|-⌫|---|--------⌫-|
aq uarentecitezataignent	|-⌫------|----|--------|
lisensmoreusetlimisteres	-|---|-----|-|-|-------|
sontles yyciteztotescleres	---|--|-|----|----|-----|
a q uoylimestrefon tlorfor ce	|-⌫--|-|-----|---⌫|--|---⌫-|
d osterlenoelde l escorce	|----|-|---|-||------|
ne furent passicomie	-|-----|--|-|--|-|
lisarraz in es silie ́ tuit	-|------⌫-|--⌫-----⌫|---|
cilqui m anie nto upais	--|--|-⌫----⌫-|-⌫|---|
enc oisauecquesle siuis	---⌫--|-------|--⌫|---|
aucuns arrazi n	----|-⌫------⌫|
por cequei l	--|-|--|-⌫|
trehuzdonerent	-----|-------|
canan ehus et	-----⌫---|-|
demorerentenl a	---------|-|-⌫|
def f raimqua roncpuisne	|--⌫-⌫---|---⌫|--|---|-|
que ilne lo r	--|-|-|--⌫|
pe asttrehu	--⌫--|----|
effraim po rce lesouff ri	------|--⌫|-|-|-----⌫-|
ca payer threh useoff r i	||----|-----⌫|-|---⌫-⌫|
u ice sq ui demo reentoncour	-⌫---⌫|-⌫-|----⌫-|-|--|---|
etquetu ne	-|--|-|-|
p euz an ulfeur	-⌫--||-⌫-|---|
ne ua inc renesu remonter	-|--⌫---⌫-|-|--⌫-------|
deuonsacetu iadon ter	-----||----⌫|----⌫--|
quar totsoitilainssi	---|--|---|-|-----|
ayesen toyplusor uertu	---|-|--|-----|----|
tu trancher com mesage	-|-------|---⌫-|---|
uicesdeton corage	----|-|--|-----|
de te l co rp ees t d ons	-|--⌫|--⌫--⌫|--⌫|-⌫--|
mestuis li trehu z	|--|--|-|-----⌫|
cisuices d onequetuuoies	--|----|-⌫--|--|-|----|
comentt uh u milia ns s o y es	-----|-⌫|-⌫-⌫-----⌫-|-⌫-⌫-⌫-|
ces cho ses p arfai t e sains si	--|---⌫--|-⌫-----⌫-⌫-⌫|----⌫-|
cest s iecle issi	---|-⌫----|---|
quitot enssicom	--|--|----|--|
montbienacompl i	---|---|------⌫|
ett repassa ceditl estoyre	-|-⌫------|-|--||------|
ene statdeb onemem oy re	-|-⌫---|-|-⌫--|---⌫--⌫-|
ausp er e s	--|-⌫--⌫-⌫|
quid enciennete	--||---------|
qui deua ntl uiorentesté	--|----⌫-|-⌫-|----|----|
a p resiosuefetl estoire	-⌫-⌫--|----|--||------|
douli urede siugesmemoyr e	--|--⌫--|--⌫|----|------⌫|
desquiexlalignieebree	--|----|-|-----|----|
haaidea lui	-|---||--|
lia postreentot	-|-⌫-----|-|--|
autelg uise	----|-⌫---|
etli mestre	-|-|-----|
de saincteyglise	-|------|-----|
apresihesucrit ue nu	----|--------|--⌫-|
quinozbatail lesfet es ho nt	--|--|------⌫--|---⌫-|--⌫-|
mesquant iadisoul	--|----|----|--|
a ue noi t	-⌫--⌫---⌫|
quel i peuplesdi eu	--|-⌫|------|--⌫-|
mesprenoit	---------|
ilfesoitou uressi	-|-----|--⌫---|-|
que ilao roitles ydoles	--|-|--⌫---|--|-----|
aus si tost les	---⌫--⌫---|--|
a uoitdiexmis	-⌫---|---|--|
audesozde le ur	-|----|-|--⌫-|
etquant r epentir seuollai nt	-|----|-⌫------|-|------⌫-|
et dieudeboncourreclamaint	-|---|-|--|---|---------|
leuranemi porladegrace	---|----|--|-|------|
gurp issaintmaintenantl a	----⌫------|---------|-⌫|
etdeuan tlep ueple fua int	-|-----⌫|-|-⌫----|---⌫--|
quarenuerseux fo rce	---|-----|--|--⌫--|
autelpoonsmai ntenent dire	----|----|---⌫------|---|
s i tuu e aux	-⌫|-|-⌫-⌫--|
en toncourd e spire	-|--|---|-⌫-⌫----|
saincte orde nence	------|----⌫----|
anemisa su r	-----||--⌫|
toy poissence	--|--------|
priesdieuasez	----|---|---|
serafr oyssez	---|--⌫-----|
etliiuiflorsmontpecherent	-|-|---|---|---|--------|
quantilbaalim aorerent	----|-|-----|-------|
por d ieude sai ncted eite	--|-⌫--|-|---⌫---|-⌫---|
o blierentla bonte	-⌫-------|-|----|
q uediexlor	-⌫-|---|--|
fi st m aintefeye	--⌫-|-⌫----|---|
lor ge n taye	--|--⌫-⌫|--|
ettrestotlep euples ouzmis	-|------|-|-⌫----|-⌫-----|
desozzzdeloranemis	----|-|-|--|-----|
qui cusansenzd oteauoitnon	--|----|---|-⌫--|----|--|
p aryy ansuo ssissentounon	-⌫-|-|--|--⌫-------|-|--|
furentdesoz lu iaserui	-----|----|--⌫|-----|
etp ar yya nzlonttuitserui	-|-⌫-|-|-⌫-||--|---|----|
maintenantapresces y yans	---------|----|--|-⌫|--|
fuli pueplesbie nrepentens	-|-|------|---⌫|--------|
s o spir a ge mitet	-⌫-⌫----⌫|--⌫--|-|
etdieudeuostementora	-|---|----------|--|
et quant il	-|----|-|
esta inssi pr ie z	--|-⌫----|--⌫--⌫|
ilestmonttostam olliez	-|--|---|---|--⌫-----|
othoniellorsleur aiuge	-------|---|---|----|
adeffendeoura i uge	|----------||-⌫--|
etc il quantil lefespris	-|-⌫-|----|-|-|--|---|
comeu aill anset bien	---|-⌫----⌫--|-|---|
lef ist t an t uig oreusement	-|-⌫--|-⌫--⌫|---⌫---------|
et secontin ts ifiereme nt	-|-|------⌫|-⌫|-------⌫-|
tan t f iste ttant	---⌫|-⌫--|-⌫|---|
se combati	-|------|
quetrestuitfurenta mati	--|-------|-----|-⌫---|
sicontrayr e ettan tlabora	-|--------⌫|-|---⌫|-----|
quelate rreenpez	--|-|--⌫--|-|--|
nili pe uplesal uis ozmis	-|-|--⌫----||-⌫-|-⌫----|
nesentiforce danemis	-|----|----||-----|
nene cr em utfoiblenefo rt	-|-|--⌫--⌫-|-----|-|--⌫-|
tantqueseuint	---|--|-|---|
apres samo r t	----|-|--⌫-⌫|
lorsfutotenautre semblence	---|-|--|-|----|--------|
or oez lasenef ience	-|--|-|-----⌫----|
siapechi ete ueaux	-||-----⌫|-|----|
tonanemit estuetsouffrir	--|----||-----|-------|
quar desur to y seygnorira	---|----|--⌫|---------|
pechi etese ntira	-----⌫|-|--⌫----|
mes siuousp lore z uos pec hiez	--|-|---|-⌫----⌫|--|---⌫---|
diexuousaiderace	---|---|-----|-|
li p euples pechadere chief	-|-⌫-----|----|----⌫----|
dom ilsouffrimontgrant	--|-|------|---|----|
etmainta ffli ction	-|----|-⌫----⌫----|
et ma inctepe rsecucion	-|--⌫----|--⌫--------|
quar roysegl onsureux mon ta	---|---|---⌫-|--|--|---⌫-|
qu i m o ntasprementl esmena	--⌫|-⌫-⌫-|--------|-⌫-|---|
e tquantl i peup le s a	-⌫|----|-⌫|----⌫--⌫||
que sozegl on	--|--|---⌫-|
enu ers diumoutsumilia	---⌫--|--|---||-----|
etdoucem entme rci cri a	-|------⌫--|--⌫--|---⌫|
mescilq uitoz	--|--|-⌫-|--|
io rs ententis	--⌫-|-------|
est asecorrele s chestis	--||------|--⌫|------|
etquiato zaage s	-|--||--⌫|----⌫|
atotegrantm isericorde	|---|----|-⌫---------|
a iotaiuyg elo rd on a	-⌫--||----⌫|--⌫|-⌫--⌫|
qui sa geme ntles	--|--⌫----⌫-|--|
a iotn esepooitdepl ain	-⌫--|-⌫|-|----|-|--⌫--|
aydierdela	-----|-|-|
senestr emain	-------⌫|---|
mesde ladest re	--|-|-|----⌫-|
estoit si fors	-----|-|---|
quilenfesoit degranzeff ors	-|-|-|-----|-|----|---⌫--|
asad e strecuissemist	|-|-⌫-⌫---|-----|---|
lespee deq uoyilocist	|----|-|-⌫--|-|----|
le ro yeglonlemalfaitor	-|--⌫|----|-|--------|
ainssides on per secutor	-----|-|-⌫-|---⌫------|
o tl i peuplessadeliurance	-⌫|-⌫|------|-|---------|
aiothporte	----|----|
sen efienc e	---⌫------⌫|
desiu s quien lorfaizsont destre	--|--⌫|--|-|--|---|---|-----|
riens ne uollentfereasenes tre	----|-|------|---||-----⌫--|
laparo lle dieuqui argue	-|----⌫--|---|--|----|
espee aiothague	----|----|---|
parl aqueledi uini t ez	--|-⌫|----|--⌫----⌫-⌫-|
d estr uittotesiniquitez	-⌫----⌫--|----|--------|
p uis lorfu	-⌫--|--|-|
aiugedonez	|---|----|
sengarquiles	-----|--|--|
agoue rnez	|----⌫---|
parzzseulantantseullement	--|-|---|-|---|---------|
e tbien ententiuement	-⌫|---|------------|
cissengar sg ra nsm eruei llesfi st	--|------⌫|-⌫--⌫-|-⌫-----⌫---|--⌫-|
quaryy censpersoynesocist	---|-|---|--------|----|
socsenznul autreb as ton	--|---|--|----|-⌫--⌫--|
par cetuile me stren oton	--|----|-|--⌫---|-⌫---|
le so cde doctrine	-|--⌫|-|-------|
l espenseesarer n efin e	-⌫-|------|---|-⌫|---⌫|
etporos teren tredu i sans	-|--|--⌫--|--⌫-----⌫-⌫---|
totes chos esnu i sa ns	----|----⌫-|--⌫-⌫--⌫-|
sengarfu definez	-----|-|------|
enquores estab andonez	------||--|--⌫------|
lipeuples tozapechiefere	-|------|--||-----|---|
sonanemietson contraire	--|----|-|--|--------|
s ouffri diexle royiabinestr e	-⌫-----|---|-|--|----|----⌫|
p ar d es u reu xseygnor etmestre	-⌫-|-⌫--⌫-⌫|--⌫|------|-|-----|
sifiersenuerseuxs econtint	-|----|-----|--|-⌫|------|
ses piezle urcos tint	--|---|--⌫-|--|---|
meslipeuples prieresfi st	--|-|------|------|--⌫-|
adie uetmercilirequist	|---⌫|-|----|-|------|
etdiex totpardon élora	-|---|--|------⌫-|--||
en loraidede lbora	-|--|---|--⌫----|
quipropheteestoitmontsene e	--|-------|-----|---|----⌫|
lor apor iuge lo rs donnee	--||--|---|--⌫-|-----|
cete soz une	---|--|--|
palme sist	----|---|
se s iugemenz i llecquesfist	--⌫|-------|-⌫-------|---|
tiexque li peup les mo ntama	---|--|-|----⌫--|--⌫-|--|
cestentrebetheletrathma	|--|----|-----|-|-----|
e tlors auint ceditla	-⌫|---|----|-|--|-|
q uecys arauoloitsozmetre	-⌫-|---⌫--|-----|-------|
lepo uplesou z luien seruage	-|--⌫---|---⌫|--|-|------|
mesdelboraquier tmont	--|------|--|--⌫|---|
barach maintenant	-----|---------|
demainte schosesli parla	-|------⌫|-----|-|----|
etpuis a u da rr enier lid ist	-|---|-⌫|--⌫--⌫----|-|-⌫--|
queildizmil homesqueist	--|-|--|--|----|-----|
quarguerrefet ellesera	---|-----|--|---|---|
entre lepeupleetcy sa ra	----|-|-----|-|--⌫--⌫-|
etsin ousconuien dras en z fai lle	-|-|-⌫--|-------⌫--|-⌫--⌫|---⌫--|
encontr eluiauoyrbata ille	-------⌫|--|----|----⌫---|
si sache s bienqu etuser as	-|-----⌫|---|--⌫|-|---⌫-|
cisquiles diz m ilconduiras	--|--|--|--|-⌫-|--------|
etbarach fo rmentse nc u soi t	-|-----|--⌫----||-⌫--⌫-⌫---⌫|
affermoitmont etdisoyt	--------|---|-|-----|
que iaenbataille nir o it	--|-|-|-------||--⌫-⌫-|
sauecl uidelboranes toit	|---|-⌫-|------||--⌫---|
fetdel bora senz faill e	--|---⌫---|---|-----⌫|
auecquesto y	-------|--⌫|
enlabataille	-|-|-------|
meslegranthon ornilagloyre	--|-|----|---⌫-|-|-|-----|
nert pa s toedela uict oire	|--|--⌫|--|-|-|----⌫---|
unefameestrangesenz doute	--|---|-------|---|----|
lagloyre tote	-|-----|---|
l orssontaupoign eis	-⌫--|---|-|-----⌫--|
en t elpoin t sesontcontenu	-|-⌫-|----⌫|-|---|------|
q u eloranemin e se	-⌫-⌫|--|----|-⌫|-|
tenirneforce n orent	----|-|----||----|
quantc ysa ra	----|-⌫---⌫-|
setbienetuoit	--|---|-|---|
que poerne forcena u oit	--|---|-|----||-⌫-⌫--|
torné sisenfu it	-----|-||-|--⌫-|
a lessé totson con duit	|-----|--|--|---⌫---|
enfu en tle puepleisrae l	-|--⌫--⌫|-|-----|-----⌫|
fist tantc a u pau aillon	---|---||-⌫|---⌫-----|
estuenuz trauailliez	--|----|----------|
et li requist	-|-|------|
q uen so n	-⌫|-|--⌫|
ost el ler eceust	---⌫-|-|-⌫-----|
etde layueq ue	-|-||---|-⌫-|
lidon asta stiue ment	-|---⌫--|-⌫-----⌫---|
quar tropa	---|---||
grantsoyfmalement	----|---|-------|
l ia tanto st trait	-⌫||-----⌫-|----|
dona lilait	---|-|---|
etquantcy saraotbehu	-|----|--⌫---|-|---|
tantcomlip lot	---|--|-|-⌫--|
etbon li f u	-|--|-|-⌫|
etquesas oyf fuestanchee	-|--|-|-⌫--|-|--------|
oubie n l enuiegneo umallen	-|---⌫||-|-----|-⌫|--||-|
couchese n z	-----|--⌫-⌫|
pordor miretpor	--|---⌫--|-|--|
repos prendre	----|------|
quart ropgrant m estie renau oit	---|-⌫--|----|-⌫-----⌫|-|--⌫--|
etq uantiahel	-|-⌫---|----|
dormirle uo it	-----|-|--⌫-|
si fermement quedelegier	-|--------|--|-|-----|
nesepeust pasesueillie r	-|-|----|--|---------⌫|
doupauaillonaferméluis	--|--------||-----||--|
etlacheu illea prisepuis	-|-|----⌫---||----|---|
qu idefer ert en s a s enestr e	--⌫|-|--|--|-|-⌫|-⌫------⌫|
etun mailleten	-|-|------|-|
sa main destre	-|---|-----|
acelui qui dortamerue ille	|----|--|---||-----⌫---|
la cheuill ed eda nz l	-|-------⌫|-⌫---⌫-||
lia oulemail emba tue	-||-|-|---|----⌫--|
elleli aespe ndue	---|-||----⌫---|
lacerue lle	-|-----⌫--|
e t tolulauie	-⌫|---|-|--|
org ardonsque	-|-⌫-----|--|
de lbora qui n estoit pasfol e	--⌫----|--||-----|--|---⌫|
sen efieaboille o uparolle	---⌫---|------|-⌫|------|
quarce nous ditla prop hecie	---|-|---|--|-|----⌫----|
selonlemistere est	----|-|------|--|
elleestplus do uce a ta bo yche	---|--|---|--⌫--||-|--⌫---|
q uesibres ched e	-⌫-|-|----⌫--|-⌫|
miel itoyche	---||-----|
que ensa deu ise	--|-|-|---⌫--|
otde lbor apalme	-|--⌫----⌫|----|
par quo y douiustflor ist ladestre	--|---⌫|--|---|----⌫--|-|-----|
dut elledesoz palmeestre	--|---|----|----|----|
r at hma autechosee stse nz dote	-⌫--⌫--|---|----|-⌫-|--⌫-|---|
etbethelmesondedieunote	-|-----|----|-|---|---|
cen ousdi tla u oizdou p rophete	-|-⌫--|--⌫|-|-⌫--|--|-⌫------|
qui c e syychosesn ous repe te	--|-⌫-⌫|-|-----|-⌫--|----⌫-|
bara cfut dous et delbora	----⌫|--|---|-|------|
ape le zquiresplend or a	---⌫--⌫|--|--------⌫-||
me scetereplendorfaut enc e	--⌫|---|--------|---|-|-⌫|
q uarele donedeceuence	-⌫--|--|---|--------|
dont po rtebarac	---|--⌫--|----|
totde plain	--|-|----|
form e doupeuple primerain	----⌫|--|-----|--------|
que liprophete quiuiuoint	--|-|-------|--|------|
parleurparoulles enseignain t	--|---|--------|----------⌫|
cispeuple ssicom i elen tens	--|------⌫|-|--|-⌫||--⌫---|
lui st enlabor mont po	---⌫-|-|----|---|-|
paslonguemen t	--|---------⌫|
cemest u is replen disseme nt	-||--|-⌫-|------⌫-------⌫-|
i ahe lqui estr angeestoitnote	-⌫---⌫|--|----⌫---|-----|---|
ascensionsen znulled ote	--------|---⌫|----|-⌫--|
domligli seestsenef iee	--||----⌫-|--|-----⌫--|
quidespayens	--|--|-----|
fuconcri ee	-|------⌫-|
ceestl eschielle	-|--||--------|
etlidegrez	-|-|-----|
deceuxquifontadieuses grez	-|---|--|---||---|--|---|
c eest leschiellequiataint	-⌫|--||--------|--|-----|
aucie lpar o u monte ntlisaint	-|---⌫|--|-⌫|-----⌫-|-|----|
et sipeuzentendre	-|-|---|-------|
e t sauoyr	-⌫|-----|
queli prem ierspeuples auoyr	--|-|----⌫---|------|----|
nepeutne fo rceni ue rtu	-|---|-|--⌫--|-|--⌫--|
a l encontreceuoyztu	||-------|-|---|-|
que lipeuplesdesaincteyglise	--|-|------|-|------|-----|
a loengeeten eur	|-----|-|--⌫--|
fer set f ustencete	---⌫|-|-⌫--|-|---|
fu rentmors	--⌫---|---|
aceluiquiere	|----|--|--|
anemisa u peuple i sra el	-----|-⌫|-----|-⌫---⌫-|
loen gea io hel	----⌫-||--⌫--|
auss idoiuentestreal osé	----⌫|------|----|--⌫---|
lacroiz etli cloarouse ́	-|----|-|-|--|------⌫|
douu er moil	--|-⌫--⌫---|
sanc deihesucrit	---|-|--------|
qu im ortporno stre salut prist	--⌫|-⌫--|--|--⌫---|----|----|
et chassaleneminon monde	-|-----||----|--|----|
de l a p rinc ee de c estmonde	-|-⌫|-⌫----⌫-|-|-⌫--|----|
lii u ifne uainquire ntmie	-|-⌫-⌫-|-|---------⌫-|--|
del anemi la	-||----|-|
s eygnorie	-⌫-------|
m e stu parlacroizse nzdoutenc e	-⌫-⌫|-|--|-|----|--⌫-|-------⌫|
ua inzdelanemilapuissence	--⌫--|-||----|-|--------|
lipeup lesencor se	-|----⌫--|----|-|
don dieuxpar soncorr oz le mist	--|----|--|--|----⌫-|-|---|
desozlespi ez de	----|--|--⌫-|-|
ouilsouffrimont gr ant aham	-|-|------|---|--⌫--|---|
neporquant f ist a dieupr iere	---------|-⌫--||---|--⌫---|
etsou pliaentel	-|---⌫---|-|--|
doux samollia	---||------|
u n angedes ceaux enui a	-⌫|---|--|----|----⌫|
agedeo n de ioh a sfil	|-----⌫|-|---⌫-⌫|--|
