#META#TextURIAlexisP13	-----|------|--------|
#META #DEAF http//www.de a f -pag e.d e/fr/bibl/bib99 a.php #AlexisP	-----⌫|---|------------⌫-⌫-⌫----⌫---⌫---------------⌫-----⌫-------|
#META #T L A lex.Alex .S.	-----⌫|-⌫|-⌫---|----⌫|-|
#META# ARLIMA	-----|-----|
La estlisire d o ntu osancui	-|--|-|---|-⌫-⌫-|-⌫-|----|
Parlu iserachisregnesho norés	--|--⌫|---|---|-----|--⌫-----|
E tt oslipueles	-⌫|-⌫-|-|-----|
de Romegouerne ́s .	-|---|-------⌫--⌫|
Liapostole sfu t moutsain ti s mesh on	-|--------⌫|--⌫|---|----⌫--⌫-⌫--|-⌫-|
De le uoisDiu ententbienleraison	-|-|---|--|-----|---|-|-----|
KEufemienslicuens de Pret Noiron	|--------|-|----|-|---|-----|
Ilch el Diusierfauoitens ema ison.	-|--⌫-|--|----|----|-|-⌫|--⌫----|
Enpié sse	-|----⌫|-|
drechesi fineso raison	-----|-|---||-⌫-----|
contesiconteseraison	----|-|----|-|-----|
Chier tesd istil fait	-----⌫--|-⌫--|-|---|
asgrantmespr ison	-|----|-----⌫---|
nosas cheletchesain t baron	--|-|-----|--|----⌫|----|
Page u01P30 9	----⌫------⌫|
Dont D iusnosfaitsi gr ant	---|-⌫--|--|---|-|--⌫--|
anonc hion.	-----⌫----|
Mostrelenossiledeproie ron	-----|-|--|-|-|-------⌫--|
Kil desp eciés	|-|--|-⌫-----|
n osfa cheurai pardon.	-⌫-|--⌫--|---|------|
Eufemi ensen amo utgrantp aor	------⌫--|-||--⌫-|----|-⌫--|
Carla posto leset li empereor	--||-⌫-----⌫--|-|-|-------|
Etli abet etli	-|-|---|-|-|
ri cecont or	--⌫-|----⌫-|
Crien ts orluiet meinent grant tenchor	-----⌫|-⌫-|--|-|------|----|------|
Most renos tostle si erfaucreator.	----⌫-|--|---|-|--⌫--|-|-------|
Bar on d isti lmie rc hit po rDiuamor.	---⌫-|-⌫--|-⌫|---⌫--⌫--|--⌫|--|----|
Ieuosiu rra isorlesaintSauueor	-|--|--⌫---⌫|--|-|----|------|
Ai ncmaisnoiparlerde	--⌫-|---||-|-----|-|
Eu femienslo r	--⌫------|--⌫|
asortoscr iet	|--|--|--⌫--|
Ainc ma is	---|--⌫-|
noi p ar lerdesebontet.	|-|-⌫--⌫--|-|-|------|
Maisiausne cautdekank	---|---|-|---|-|---|
aient e sco utet	----|-⌫---⌫---|
Asen palaisenso nt trestotalet.	|--|-----|-|--⌫-|------|----|
Ilcuert d euant	-|----|-⌫----|
etlabien enchenset .	-|||---|---------⌫|
Liapostolesetlisaintisme abet	-|--------|-|-|--------|---|
Etlidoiroi etli	-|-|--|--|-|-|
ricebarn et	---|----⌫-|
uiénenta ua nt etsi lont demande t	-------|-⌫--⌫-|-|-||--|-------⌫|
sasisentesbanski sontparet.	|------|-|---|-|---|----||
Etlifr ansc uenskilecue r a senet	-|-|--⌫--|-⌫---|-|-|---⌫||----|
Pre nts em aisnieaun conseil priuet	---⌫-|-⌫|-⌫-----||-|------|-----|
Sesconi ura desainte	|-|----⌫--|-|-----|
Kedoucorssaintli dientueritet	-|--|---|----|-|----|------|
Il diren t	-|-----⌫|
tuitkenusdiausne le	---|-|--||---|-|-|
Kechous oitchius ki g i stsosle	-|---|-⌫--|----|-|-⌫-⌫-|--|-|
Cui tantes	--|-----|
foisontmoulie tetgietet.	---|--|------⌫|-|------|
sont par le	---|--|-|
pala is assis.	----⌫-|-----|
Etli esposecuert	-|-|-----|----|
asaint Alexis	|----|-----|
Sir efa i telemoutuostorbleliuis.	---⌫|--⌫-⌫|--|---|--|-----|-|---|
Chiert espuchie leor m	------⌫-|------⌫-|-||
aproc eme fins.	-----⌫|-|----|
Gr an tpa orai porchou	--⌫--⌫|--⌫-|-|--|---|
le tepl e uis	-|-|--⌫-⌫--|
uois ke chiade ches	---|-|--||-|---|
noirsanemis	----|-----|
Pageu01P3 1 0	---------⌫-⌫|
Dolentchelui ki	-----|-----|-|
enlormainser t mis	-|--|----|--⌫|--|
Diue n aiioudemesdospiésrequis	--|-⌫|-|--|-|--|--|----|-----|
sep ulcr eouil	---⌫----⌫|-|-|
futmorsetuis	--|---|-|--|
palmeetliespis	----|-|-|----|
K ai en lho norsain tAbraham	|-|-||--⌫--|----⌫|------|
tiereiercmis	----|---|--|
Lemeplanton si sera	-|-|----|-|-|---|
luesrepris.	---|------|
Diusletemir e	---|-|-|---⌫|
les bi e nskemefesis	--|--⌫-⌫-|-|-|----|
Esforch etoidequierrep aradis.	-------⌫|--|-|------|-⌫------|
Fran cepuchielepensedenseuelir.	----⌫-|-------|----||---------|
Maint bienmas	----|---||-|
fait D iuslete puist m erir	---|-⌫--|-|-|----|-⌫---|
Totmiparent	--|-|-----|
iert la n e porai faillir	---|-|-⌫|---||------|
S iier tli pé re	-⌫|---⌫|-|---⌫-|
ki moiengenuit	-|--|-------|
Et u nedame	-|-⌫-|---|
keiou doim ainburnir	-|--|--|-⌫--------|
moutfutdolentekant demoisepartit.	---|--|------|---|-|--|-|------|
Otlelibiele sigietaunso spir.	-|-|-|----|-|----|-|--⌫----|
Sire faitele ous ontli tien	---|---|--|-|-⌫--|-|---|
Kant iluerrontaten	---|-|------||--|
defineme n t	--------⌫-⌫|
Dont sontil c hi	---|---|-|-⌫-|
uoisi nproç ai nement	-----⌫|-----⌫--⌫-----|
parlern erespondrenient	-----|-⌫|--------|----|
C arlar meen	-⌫-||--⌫-|-|
douchement.	----------|
futnés ki achel uise	--|---|-||----⌫-|-|
Ki le ssie nssierssi bielemierchit re nt	-|--⌫|---⌫-|----|-|----|-------|--⌫-|
Li an geleso nt iluecto t enpre sent	-|--⌫---|--⌫-|----|--⌫|-|---⌫---|
Semp ortentlar meui erslechiel liement.	|---⌫-----||--⌫-|--⌫--|-|----|-------|
L isainde R ome sonentcommun eument	-⌫|---|-|-⌫--|-----|------⌫-----|
Sikenushon	-|-|--|--|
nis ace ne ni tent	||-⌫--|-|||---|
M aisdelor g retsonentsi douchement	-⌫--|-|--|-⌫--|-----|-|---------|
Kai ncm aisn	|--⌫-|-⌫--||
oirent nul son tant doucheme nt.	-----|--|--|---|--------⌫--|
Kantlesposeotle miracletantgent	---||-----|-|-|------|---|---|
cuer sepensa etrepr ent	---|-|----|-|----⌫--|
nifut uenuepluss ouent.	||--|----|---|-⌫-----|
Pageu01P311	----------|
Etli sierganskil aime sif o rment	-|-|-------|-||---|-|-⌫-⌫----|
Ilcuertaupéres i	-|----|-|----|-⌫|
lidis t coi emen t	-|---⌫|---⌫----⌫|
SireDius arecueillitte npa um ier.	---|---||---------|--⌫|--⌫--⌫---|
Disetsi e tans o ntpasset totentier	--|-|--⌫-⌫|-|-⌫-⌫-|-----|--|-----|
Tulemasfait s osten degret	-|-||-|---|-⌫-|--|-----|
Ai nsunefoisn e lpe ucfai r ebaignier	--⌫-|--|---|-⌫||--⌫-|---⌫-⌫|-------|
Nainspuis nenot autre coutea uco ucier	|---|---||-|-|----|----|-⌫|--⌫----|
For sune naleetunpoidestramier	---⌫|--|---|-|-|--||--------|
Onkesnulior	----|--|--|
nel seuctantanui ier	-||---|---|----⌫--|
Konk es uaus istke une	|---⌫-|----⌫--|-|--|
fois manghie r.	---|-------⌫-|
liDi usiersbienletos afic ier	-|--⌫|----|---|-||-|----⌫--|
Don tchilsignorteuuelent em plaidier	---⌫|---|-----|-|------|--⌫-------|
K e Diusnosfaitparseu oisanonchier.	-⌫|---|--|---|--|-|-⌫--|---------|
Otle li pére Diuprentagrachiier.	-|-|-|----|--|----||---------|
T otsoef istdougrantpalaispl eni er	-⌫-|---|--|--|----|-----|--⌫---⌫-|
ni meinesiergan tne	||----|-------⌫|-|
Deuant sen fil senuait	-----|--|--||-|---|
agenoil li er	-------⌫--⌫-|
liue utfors dou poingesrac ier	-|--⌫-|---|--|----|-----⌫--|
Mais li s ains corsneliuoutpas	---|-|-⌫---|---|-|-|---|--|
baillie r.	-------⌫-|
Es uosle pére dol entet esware t	-|--|-|----|---⌫--|-|------⌫|
La isse senf il sicomil la t rou et	--⌫---|--|-⌫-|-|--|-|||-⌫---⌫-|
Siremon tasu selpalais liste t	-|-----⌫-|--⌫|-|-----|-----⌫|
Ahauteuois lor asor	|----|---|--||--|
Uns pel erinsgist mor s	--|---⌫----|---|---⌫|
sosmende gret	--|--|--⌫---|
Disesietans aodnosconuierse t	--||---|--||-|--|---------⌫|
K a insnusdenosnedeu i t sebontet	|-⌫--|--|-|--|-|---⌫-⌫|-|-----|
Ettientunbrief en senpoingensier et	-|----|-|----|-|--|----|------⌫-|
Iou leuauc	--|-|---|
prendremaisil l e	------|---|-|-⌫|
K e tresbiens aike	-⌫|---|---|-⌫-|-|
moutformen tmehet	---|------⌫|-|--|
Et m alementenaiuiersl uierret.	-|-⌫------|-|-|----|-⌫-|-----|
S ire apostol esuienip a rte	-⌫--|-------⌫-|---||-⌫-⌫|-|
doneconse ildeueritet.	---|-----⌫-|-|-------|
Liapostolesfu t	-|--------|--⌫|
mo ut s a intismeshon	--⌫-|-⌫-⌫-------|--|
Siesc outadou	-|---⌫---|--|
péreleraison	----|-|-----|
Pageu01P312	----------|
Etde ssa insangelesentenditlorison	-|--⌫|--⌫--|------|-------||-----|
K i portent	-⌫|------|
larmeagrantporchession	|---||----|----------|
u ier slede gr etsen	-⌫---⌫|-|--⌫--⌫-||-|
c oruta bandon	-⌫---||-----|
Etapries luitot	-|-----|--|--|
li autreb aron.	-|----|-⌫----|
Apie letlont	----⌫--||--|
mais ne séue ntsennon	---|-|-----⌫-|--|--|
Et deuier slui cien ta oris on	-|------⌫|--|----⌫||----⌫-|
misentengrantafflictio n.	-----|-|----|---------⌫-|
Au oises crient	|-⌫--|--⌫-----|
li do i emper eor	-|--⌫|-----⌫--|
M ie rchitcie r ssirepo r le	-⌫--⌫----|---⌫-⌫|---|--⌫|-|
toiedouc hor .	---|----⌫---⌫|
En ichest s iècle nos faitDiustel	-|-----|-⌫-----|--|---|---|--|
Kedesosluisome s go ureneor	-|----|--|----⌫|--⌫------|
Maisl apo sto lete nom esa signor.	---||---⌫---⌫-|--⌫---⌫-||------|
cartresire	-----|---|
por Di u amor	--|--⌫|---|
Sinousd i résshon oretseualor.	-|---|-⌫-⌫---||---⌫-|-|-|-----|
K antlapostoles ot	-⌫--||--------|-|
le raisonoie	-|-----|--|
Kel idoiroion t	-|-⌫|--|--|--⌫|
por lui obeie	--|--|----|
D euantle saintsabaisseet h u melie	-⌫----|-|----||------|-|-⌫-⌫----|
Lec ar tre aprise	-|-⌫--⌫--||----|
Lisainslia	-|----|-||
dou ch e men t consentie	---⌫--⌫-⌫---⌫|--------|
Puis ledesploi e siueutlireseuie	---|-|-------⌫|-|---|---|-|--|
M ais Diune plotlefil sa inteMar ie	-⌫--|--|-|---|-|--|--⌫---|---⌫-|
Fors deses mainsliest	---|-|--|----|-|--|
Et e n l e sein lespose	-|-⌫|-⌫|---||-----|
enest salie.	-|--|-----|
Ch ipuetonb ien apren dre et escouter	--⌫|---|-|-⌫--|-----⌫--|-|-------|
Keesposailles	-|----------|
fontformentaa mer	---|------||-⌫--|
semére neuoutlicartre	-|----|-|---|-|-----|
Nesorsenpére	-|--|--|----|
c aoir ne ariester	-⌫---|-|-------|
esposelefistDius ariester	-----|-|---|---|-------|
Kecascunshondoitsefem mehonor er	-|------|--|---|-|---⌫-|-----⌫-|
Aus s i lesd ameslorsignorb ien wa rder	---⌫-⌫|--|-⌫---|--|-----|-⌫--|--⌫---|
Etki n e l	-|-|-⌫||
fait trésbien se	---|----|---|-|
Dedensi nf ierleu estoura	-----|-⌫--⌫--||-|------|
Odlesdia blestot defi	-|--|---⌫---|--|-|-|
co nuierser.	--⌫--------|
Pageu01P313	----------|
Orfutlicartresor	-|--|-|-----|--|
lespose aries tée	|-----|-----⌫---|
A l a postole en esta	||-⌫------|-|--||
t otealée	-⌫--|----|
S ire distele iou suimout eswa rée.	-⌫--|---|--|--|--|---|----⌫----|
Bi eledist i la bienfussiésuosn ée .	--⌫--|---|-⌫||---|-------|--|-⌫---⌫|
T oie estlicartre Ie susle t	-⌫--|--|-|-----|--⌫--|-||
Et licors sains k ile ta present ée.	-|-|---|----|-⌫|-|||-------⌫---|
Orl efailirecara	-|-⌫|--|---|--||
toiestalée	--|--|----|
Cuiketoiplai tdoit iestredéliurée.	--|-|--|----⌫|---|-----|----------|
Eleeswarda lescler sdele contr ée	--|------|--|----⌫|-|-|-----⌫--|
Un cardon al	-|------⌫-|
alec artre	|-|-⌫----|
Ki tos iorsotsain teuiemenée.	-|--|---|-|----⌫-|--|------|
le c artree tchi l lontescoutée	-|-⌫----|-⌫|---⌫||--|--------|
Dichelegemme keil uecont trouée	|-----|----|-|--⌫--|--|------|
lenon etleuiecontée	-|--|-|-|--|------|
Etle s ien pére et se mérenom é e	-|-|-⌫--|----|-|-|----|---⌫--⌫|
Etle puchieleke	-|-|-------|-|
il out esposée	-|--|-------|
moi tietdela nielonttrouée	---⌫---|-||-⌫---|--|------|
E nsenleca rtretresbien e nuolepée	-⌫-|-|-|--⌫---|---|---|-⌫--------|
Dontlemoitietl i ot	---|-|------|-⌫|-|
rec omandé e	---⌫-------⌫|
Onlidemandeelel a	-|-|------|--|||
Lunep ar ta alautreraiosté e.	|--|-⌫--⌫||||----|--------⌫-|
Etnostre s irela tr esbie nrasoudée .	-|-----|-⌫--|||--⌫-|---⌫|---------⌫|
Iluekesot tanteuoisescriée	------|-|----|---|-------|
Et tanteba rbedesacie ettirée	-|----|--⌫--|------|-|-----|
Ains puiske R om efutpremiersestorée	---|---|-|-⌫--⌫|--|-------|-------|
N io tioucu it si grantdolor	||-⌫|--|--⌫-|-|----|----|
K a nt sescierspéreotlebriefet	-⌫-⌫-|--|----|----|-|-|----|-|
Ke chest s esfius ki lagist si	-|-|--|-⌫-|---|-|-|---|-|
Sigra nt duelaapo id	-|---⌫-|---|||--⌫||
Fi usAlexi s	--⌫-|-----⌫|
huimefa issi dolent	--|-|--⌫-|-|-----|
Ke iamais niercu nsoliorsans torme nt.	-|-|---||---|-⌫|--|--|---|-----⌫--|
Cho udis t lipéreAi	---⌫|---⌫|-|----|-|
f iu s Alexis	-⌫--⌫|-----|
Encorehuimainatendoitc his caitis	-----|--|---|-------|-⌫--|-----|
K etu deussesamoi repairieruis	-⌫|-|------||--|--------|--|
Pageu 01P314	-----⌫-----|
Etconforterles tiensdolensam is.	-|--------|--|----|-----|--⌫--|
M outmesmerueil outuchel	-⌫--||--------|-|-|---|
cuerpresis	---|-----|
Ainsu n e foissieruirne tefesis .	---|-⌫-⌫|---|------|-|-|-----⌫|
Ah auteuoisalipéreescriet	|-⌫---|---||-|----|------|
moutma lewarde	---|--⌫-|----|
taifa it sosmende gre t.	|-|--⌫-|--|--|--⌫---⌫-|
Dolenspec iérescon	-----|---⌫-----|--|
euel esens	--|-⌫|---|
Kedetantiorn	-|-|---|--||
aime nf il reui sdet	-|--⌫|-⌫-|----⌫---|
Fiu sAlexisco n doler osmessaige	---⌫|-----|--⌫|-----⌫-|-------|
Akel torm ent asuset	|--|----⌫--|-|---|
Commenteussiuil tengrantpa raige	------|--|-|--|--|----|--⌫----|
Ettenesp o s eettenrice	-|--|---⌫-⌫-⌫|-|--|---|
Ketantioraschigiut atel	-|---|--|-|--|---||--|
Telduel m efaisa poikeu is	--|---|-⌫|---||--|-|-⌫-|
n esraige.	|-------|
Fiuskitenrameslargeshireté s	---|-|----|--|-----|-------⌫|
E t mes alueset mes grans fermetés	-⌫|--|----|-|--|----|--------|
palais dont iou auo ie	-----|---|--|---⌫-|
Por toieamormenestoiepene ́s	--|---|---||-|-----|----⌫-|
K apriesmemorte nf usses	|-----|-|---|-⌫|-⌫----|
hiret és.	-----⌫---|
Kantlimérealedo lor	---|-|----||-|--⌫--|
Parmile priesse e stasenfilcorue	--|-|-|------|-⌫-||--|--|----|
Etuo itgesirsec ar trestote	-|--⌫-|----|-|-⌫-|-------|
Moutpouremen tsorlenateuelue	---|--------⌫|--|-|---|----|
Pa rmilecor sf ustpasmeekeue	--⌫|-|-|---⌫|-⌫--|-----|---|
Kantli signor lon tentre	---|-|-----||--⌫|----|
iausrecheue.	---|-------|
Lifr an cefe mme	-|--⌫--⌫-|--⌫--|
setraueilleetdem ente	-|--------|-|---⌫---|
F iusAlex is mou tm asf a ite	-⌫--|----⌫-|---⌫||-|-⌫-⌫--|
Commenteussitrés uil	------|--|-|----|--|
te iouente	-|------|
Iasuiiou ore	-|--|--|--|
dechitéssi	-|------|-|
Bientenfesissedoner	---||-|------|----|
soissanteoutrente.	--------|-|------|
Diusdistlimére conpesan tauenture	---|---|-|----|--|-----⌫|-------|
Moutmesmerueil	---||--------|
mienscors tantdure.	----|---|---|----|
K eil n ernuert deduel et	-⌫|-|-⌫|-----|-|---|-|
d erancure	-⌫|------|
Pageu 01P315	-----⌫-----|
Kechi uoimo rtetotemeporteure	-|--|--|--⌫--|---|-|-------|
Iamaisnaraichie rtes du	-|---||---|----⌫---|-|
uiurec ure.	----|-⌫---|
Parmilepri e sseestesuosl e puchiele	--|-|-|---⌫-⌫--|----|--|-⌫|-------|
Ses crinssa cantet	--|----|--⌫---|-|
b atant sef orchiele	-⌫----|-|-⌫-------|
secla im eet caili ueetmes iele	-|---⌫--⌫|-|-----⌫-|-|---⌫---|
Pa rmilepriesse fust	--⌫|-|-|------|---|
pasmee li biele	-----|-|----|
Kantlapostolesle retient etapiele	---||--------|-|------|-|-----|
crie cou femmefor senee	---|--|----|---⌫----|
Fré reAlexi s con longhe	----⌫-|-----⌫|--|-----|
Taiatendut e nlecambrechelee	|-|------|-⌫|-|-----|-----|
K a ntmelaissastesdolenteet	-⌫-⌫-|-|---------|------|-|
SireAlexistantiortaiawar det	---|-----|---|--||-|----⌫--|
Et t anteslarmesporletien cors p loret	-|-⌫----|-----|--|-|---|---|-⌫----|
seuissechaienssosle degret	------|------|--|-|-----|
asgiut de si longheenfretet	-|---|-|-|-----|-------|
laissassepor trestotche stregnet	--------|--|------|---⌫-|-----|
Kensembleod toi n	|-------|-|--||
e usseconuierse t .	-⌫---|---------⌫-⌫|
Distl ipuch iel e Gentiuscorsprechios	---|-⌫|----⌫---⌫|------|---|-------|
Outrouuas tuchelcuer s im er uillos	-|------|-|---|---|-⌫|-⌫--⌫-----|
Keme ueisdedeuan ttoi ta ns	-|-|---|-------⌫|--|--⌫-|
Por le tiencorsme nersigransdolors	--|-|---|---|--⌫--|-|----|-----|
Kai nc net en prist n epitiésne	|--⌫-|-||-|----|-⌫|------|-|
do uchor s	--⌫-----⌫|
10Orpa rsuisi re keueenueueet	---|--⌫|--|--⌫-|---|-|-----|
Iamaisnarai c hiertes autre esposet	-|---||---|-⌫------|----|------|
Ainss i eruiraile roidemaistet	---|-⌫-⌫------|-|--|-|------|
lautresiècleenleuraiec lartet	|----|------|-|-|----|-⌫-----|
Puissentnosa rmes auoirsochietet.	-------|--|-⌫---|----|---------|
Mou tleregret e	---⌫|-|------⌫|
chilkiluie ngenra	---|-|--|-⌫-----|
Aussi lim érekiaf il le porta	----|-|-⌫---|-||-⌫-|-|----|
puchielekitantforment lama	-------|-|---|------||--|
Ainspuis cheliorkil	---|---|---|--||-|
solele laiss a	---|-|-----⌫|
Anes unh ome	|--|-|-⌫--|
do u siécle neparla.	--⌫|------|-|-----|
Page u01P316	----⌫------|
En de ment iersquechil	--⌫--⌫----⌫---|--|---|
troi le crièrent	---|-|--------|
Liapostolesetli doiroi	-|--------|-|-|--|--|
Moutbielement	---|--------|
le Diu sie rf	-|--|---⌫-|
ator nérent	----⌫------|
G oia nttoschi aus kialuec habitérent	-⌫---⌫-|--|---⌫--|-|----|----------|
Etkil e iordebon	-|-|-⌫|--|-|--|
honorérent .	-----------⌫|
Dist lapost olesS ignor car	---||-----⌫---|-⌫----|--|
esploitomes	----------|
foli ekenos	----⌫|-|--|
telduelmeno mes	--|---|----⌫--|
auants igran t goie atendomes.	----|-⌫|----⌫|---|---------|
Leué suossusetsinos enal o mes	-----⌫|--|--|-|-|--|-|--⌫-⌫--|
Trues k elmost i er kemaisniseiornomes.	-----⌫|-|----⌫-⌫-|-|---|||----------|
Atant leprendentsiontla i ssie t le crit	----|-|-------|-|--|--⌫-⌫----⌫|-|---|
Ca ntantl en	--⌫----||-|
portentet ploran tetmarit	------|-|------⌫|-|----|
Et sili proient kila itd	-|-|-|------||-|-⌫-||
iaustosmie rch it.	---|--|---⌫---⌫--|
N est ue tsemonrechiauskilorentoit	|---⌫--⌫|------|-----|-||----|--|
acueren tneslienfan tpetit .	-------⌫|--|-|-----⌫|-----⌫|
...Ne dus nero is ne set ke l par tal e r.....	----|--|-|--⌫-|-|--|--⌫|---⌫|--⌫-⌫-----|
Distlapostolesmoutsome sencombr et.	---||--------|---|----⌫|-------⌫--|
Po rchest cors	--⌫|----|---|
sai ntkeD ius nos a mostret	---⌫-|-|-⌫--|--||------|
lipuel e skitantl	-|----⌫-⌫|-|---||
ontdesiret	--|------|
Sini u ien ttantseneso ntretor net	-|||-⌫---⌫|---|-|-|--⌫-|-----⌫--|
Iaen se romesesteinte tafol et.	-|-|--⌫----|------|-⌫|----⌫--|
Entreiausont prisunh a stiuparleme nt	----|---|--|---|-|-⌫-⌫---|-------⌫-|
Delor tre sor prendentloretl	-|--|---⌫--|-------||-|-||
ont gietet deuantle	--|-----|-----|-|
po uregent.	--⌫--|----|
Parich ou cu identuenirasauuement	--|---⌫-|--⌫----|----||--------|
Kel oraiue il	-|-⌫-|---|-|
uuel entnient	----⌫--|----|
Achestcors saintontt rest ot	|----|---|----|--|-⌫----⌫-|
lor talent.	--|------|
Au neuoiscrient	|-⌫-|---|-----|
ligent menue	-|---|----|
De chestau oirsaciés.nauonnoscur e.	-|----|--⌫--|-------||---|--|---⌫-|
corssaintnequierons cosenule.	---|----|-|-------|---|----|
C a rparchestuin arons coseki nuise.	-⌫-⌫|--|------||----|---|-|-----|
Pageu01P 3 17	--------⌫-⌫-|
Diusquelgra ntgoienosest	---|---|---⌫-|---|--|--|
OnkesaR omenenotteleu eu e .	----||-⌫--|--|-|---|-⌫--⌫-⌫|
...Telgoie meinent	-----|---|------|
nestnuskile	|--|--|-|-|
lieprosne ma lad esneso rs	------|-|--⌫---⌫-|-|--⌫-|
enfers ne nuspa lasi nos	-----|-|--|--⌫----⌫--|
Niest alés k i nportast	||--|----|-⌫||------|
se slangors .. .	--⌫|-------⌫--⌫|
Aukantiuont	-----||---|
aukantsifontporter	-----|||---|-----|
Ki plorant ui ntcantantsenestalés	-|------|--⌫-|------||-|--|----|
Niaenferd esigrantenfertet	|||----|-⌫|-|----|-------|
Sil uien talui	|-|----⌫||--|
kinenportesan tet.	-||-|----|---⌫---|
SainsBonifachesque onmartirapiele	----|---------|--|-|-----|-----|
Il otaRomeuneeglise mou tbiele	-|-||---|--|-----|---⌫|----|
Iluec enfueentsaintAlexi sli	----|-------|----|-----⌫|-|
Mo ut gentem e ntlontposetenletier e	--⌫-|------⌫-⌫-||--|----|-|-|----⌫|
ent lipu eleset	--|-|--⌫---|-|
lipéreetli mére	-|----|-|-|----|
Etl ipuchiele on kes nedeseurérent .....	-|-⌫|-------|--⌫--|-|------------⌫----|
Co nbo nesueuresDiuset	--⌫|--⌫--|-----|---|-|
co nbonsieruich e	--⌫|--|--------⌫|
Achius corssainsmenetenchest euie	|----|---|----|----|-|-----⌫|--|
Conbuerfutnés	--|---|--|---|
kifait leDiu seruiche	-|---|-|--|-------|
Sign or a iésche	----⌫-|-⌫---|--|
sa inte ngrantmemore	--⌫--|-⌫|----|-----|
S i li proiés po r D iuke uosa ssoille	-⌫|-|------|--⌫|-⌫-|-|--|-⌫------|
Et en c hestsie cl enosamonestegoie	-|-|-⌫---|---⌫--⌫|--|-------|---|
ch e lautred eparadis	--⌫-⌫|----|-⌫|------|
Etdecheluiki leuieen	-|-|-----|-|-|--|-|
Deuésproiier	-----|------|
keDiuse na itmerchit.	-|---|-⌫|-⌫-|-------|
Etlesiuearme m eche ensaint	-|-|---|---|-⌫---|-|----|
Aussil esn o stres	----|-⌫-|-⌫-⌫----|
et de tosnos ami s	-|-|--|--|---⌫|
Par lep roiiére leb oinsaint	--|-|-⌫-------|-|-⌫--|----|
§ Chide fineliromans des aintAlesin.	-⌫--|--⌫---|-|-----|-|-⌫---|------|
