qui mul tdolenz en	--|---⌫|-----|-|
ce estoitdespr emieres	-|-----|--|--⌫------|
semencesdeson c h anpsai nzyl ariens	-------|-|--|-⌫-⌫--|---⌫-|--⌫-----|
d istahe seciumfreredont	-⌫--||--⌫-----|----|---|
n e senztula	-⌫|---|-|-|
tresgrantp uorence s	---|----|-⌫--|-|--⌫|
chicheset aua rice	------|-|---⌫---|
puirauec henelesorl esmet deuant	---|---|------|-|-⌫-|--|-----|
lesbu eset de u antlesuach e s e n	--|--⌫-|-|--⌫-⌫--|--|----⌫-⌫|-⌫|
lorgreb ie s e tsiuoiesselesmues	--|----⌫--⌫|-⌫|-|----|-|--|---|
bes tes lesmen geroie nt	---⌫--|--|---⌫------⌫-|
d ontfisthesecius	-⌫--|---|-------|
c equesainz	-⌫|--|----|
ylariensl ic onmandaetmist	-------|-⌫|-⌫------|-|---|
l eschichesdeuantlesbeste s mues se	-⌫-|------|-----|--|-----⌫|---|-|
eleslesmenge roi ent	---|--|-----⌫---⌫--|
t antostcomli buefles s entirent	-⌫-----|--|-|---|--|-⌫-------|
si conmencie rent p eor	-|---------⌫---|-⌫--|
et amu ir esilor liensa	-||--⌫--⌫|-|--|----||
gr ant forcesise traistre	--⌫--|----|-|-|-------|
arr iere dontfis tlenoste rles	---⌫---|---|---⌫|--|----⌫|--|
chichesetgiteren u oieetmaintenant	------|-|----|-|-⌫--|-|---------|
furentlesbestesrapaisiese t	-----|--|-----|--------|-⌫|
sigrantgrace auoit	-|----|----|----|
nostresire	-----|---|
doneeasainty l ar iens quepa r	----||----|-⌫-⌫--⌫---|--|--⌫|
deschosesettotcequ	--|-----|-|--|-|-|
ilachatoit sauo it quel uiceet	-|-------|----⌫-|---|---|-|
quelmauuais tieiauoi tetce	---|-------⌫--||----⌫|-|-|
ertbiausmiracles	--|----|-------|
sainzh omot men eetelui e	----|-⌫-|-|---⌫-|--|--⌫|
comie uosaicon teeet	--|-|--|-|---⌫--|-|
diteetfaites	---|-|-----|
tantesou resbonescom	-----|--⌫--|----|--|
en laagedeyy	-||---|-|-|
anziluitlabaie	--|-|--||----|
ouilabitoit	-|-|------|
multcreu e	---|----⌫|
et grant multitude	-|----|--------|
d ef r eresqui	-⌫|-⌫-⌫---|--|
ens embleluie sto ientqui	---⌫----|--|-⌫---⌫---|--|
teluie dordredemoiniageparmiqui	--|--||----|-|-------|----|--|
ens igniezet doctrinez	---⌫-----|-|--------|
bons pe re sm ai sil ui t	---|--⌫--⌫|-⌫--⌫|-|--⌫|
quegrant torbedegenz	--|----|----|-|---|
et gr anz pressesue noie nta luiqu i	-|--⌫--|------|--⌫----⌫-||--|--⌫|
amenoient malades en trepris	--------|------|--⌫------|
diuerses lan gorsdes trangescontre essi	-------|---⌫---||--⌫------|------⌫-|-|
qu etoz li leus ou il	--⌫|--|-|---|-|-|
h abitoitq usol oi testre	-⌫------|-⌫|---⌫--⌫|----|
estran g esdesertine estoit	------⌫-⌫-|--------|-----|
rep lenize tabitezd egenzporceste	---⌫----|-⌫|-----|-⌫|---|--|----|
chosee st oitli s ainzhom	----|-⌫--⌫--|-|-⌫---|--|
sidolanzquilplor oitc h ascun	-|-----|-|-|----⌫--|-⌫-⌫----|
io r e testoit entristece	--⌫|-⌫|-----|-|-------|
quar illi sembloitquilfust	---|-|-|-------|-|-|---|
reuenuz a usi ecl eporce	------|-⌫|--⌫---⌫|--|-|
me n oitsisolitaire	--⌫-⌫--|-|--------|
auoi tpremi ers acos t umee	----⌫|-----⌫--|----⌫-⌫---|
ace pensoitil plus	|-|------|-|---|
q uenule autre	-⌫-|---|----|
c hoseetc e	-⌫---|-|-⌫|
oquoi sonde seslermes etd eses dolors	-----⌫--|-|--|-----|-|-⌫|--|-----|
si freresli demandoient	-|-----|-|----------|
au oi tetild isoitsicom	--⌫--⌫|-|-|-⌫----|-|--|
lui senbloi t quil estoit	--|-------⌫|-|-|-----|
r epairiez ausiecle	-⌫-------|-|-----|
receuoit sonloi eretsa meri t e au	-------|--|---⌫-|-|-|----⌫-⌫|-|
tanc omil uiuoitlif rere qui ce	--|-⌫-|-|-----|-|-⌫---|--|-|
liooi ent direlo gardoient	-|---⌫--|---|-|--------|
moltententiueme nt	---|-----------⌫-|
quilne semblas t	-|-|-||------⌫|
eu sls nenef uistet	--⌫--|-|-|-⌫---|-|
meesmementesechiusquip l usert	---------|-------|--|-⌫-⌫-|--|
fam ilie rsquenus	---⌫----⌫-|--|--|
uos o ez menasainz	--|-⌫-|---|----|
yla r iens cestedoloryyanz tantc	---⌫-⌫---|----|----|-|--|----|
un ioru int	-|--|-⌫--|
aluilafame	|--|-|---|
ainomeecuiilrendi	-|----|--|-|----|
sesyyfilsquant	--|-|---|----|
elerepai roitd e	--|-----⌫---|-⌫|
s aint anthoines ilidist	-⌫---|-------|-⌫|-|---|
que leueno italuiprendre	-|-⌫-|----⌫-||--|------|
parale r asaintanthoinequele	--|---⌫||----|-------|-|--|
uoloit ueoir	-----|----|
sainzylariensli respo nditote n	----|-------|-|-----⌫--|--|-⌫|
plorantet silidistqueausi	------|-|-|-|---|--|---|
i uoloitila ler	|-----|-|-⌫--|
espl et er oit rien	----⌫--⌫--⌫--|---|
d es onafaire quar	-⌫|-⌫-|-----|---|
duiiorestoientpa ssé qu e li	--|--|-------|--⌫---|--⌫|-|
sai nzho m sain z anthoine	---⌫-|--⌫|----⌫|-------|
mis enter re lafame crutsain z	--|-|---⌫-|-|---|---|----⌫|
ylariensdecequ e leli	-------|-|-|-|-⌫-|-|
diresi nesemistpasala	---|-|-|-|---|--||-|
auoitentreprisa	----|--------||
aprescene saiquanzi ors uintli	----|-|-|--|----|-⌫--|---|-|
mesage sasaintylariens	------⌫||----|-------|
qui li no icaet	--|-|--⌫--|-|
distquesaint	---|--|----|
anthoineestoit	-------|-----|
t respassezd e	-⌫--------|-⌫|
morteluieainsicomuosauez	-----|--|----|--|--|---|
soti llotresp asse ment	--|-⌫|-|-----⌫----⌫---|
d osainthomedeuant	-⌫|----|---|-----|
fustnoi ciéneditpa r	---|---⌫---|-|--|--⌫|
tozlimontqu iot	--|-|---|--⌫|-|
parlerdesaint	-----|-|----|
ylariensed oit meruilier	------|-|-⌫--|--------|
desgranzsignes et de	--|----|-----|-|-|
lagrantscien ce	-|----|-----⌫-|
et de lagra nthumilitequi en	-|-|-|---⌫-|-------|--|-|
meruoil tant de nule	------|---|-|---|
chosecomde	----|--|-|
co nmentilpooitsitote la	--⌫----|-|----|-|---|-|
gloire etl onordecestsiecle	-----|-||---|-|---|-----|
eu esqueset liprestre setlimoines	--⌫-----|-|-|-------⌫|-|-|-----|
uenoient a	-------||
to rbesa luidetotesparz etl es	--⌫---||--|-|----|---|-|-⌫-|
et li puepledescitezet lihaut h ome	-|-|-----|--|----|-|-|---|-⌫--|
iustic eestoien tdesterr es	------⌫|-------⌫|--|----⌫-|
beneiconauoirta nt	-------|----|--⌫-|
so lement et	--⌫-----|-|
p orrecoiurede	-⌫-|-------|-|
luipain benoit	--|---|-----|
se sioissen t	|-⌫--------⌫|
unq u es por	---⌫-⌫-|--|
totcenesen o rgueli	--|-|-||--⌫-⌫-----|
sescuersnen epensoi t	--|----|-|-⌫|------⌫|
aaut rechosequ amenerplussolitaire	|---⌫-|----|-||----|---|--------|
uiequ eiladonc nem ena st	--|--⌫|-|----|-|-⌫---⌫-|
uniorauint	-|--|----|
sepensa qu il s	-|----|-|-||
en iroi tsi fistame nerzzasnel	-|----⌫|-|---|---⌫--|-|----|
pormontersus quaril est o it si	--|-----|--|---|-|---⌫-⌫-|-|
destrainzparle s ieun es	--------|--|--⌫|----⌫-|
et parlesg ranzueile squilauoit	-|--|--|-⌫---|-----⌫|-|-|----|
fai t e squap aine	---⌫-⌫-⌫|-||-⌫---|
se po oitso stenir	-|--⌫--|--⌫-----|
nealerlauoie qua ntlanouellefu	-|---|-|---|---⌫-|-|------|-|
espan due qu ils endeu oitaler	-----⌫--|-|-||-|---⌫--|---|
p l u s de yy mile	-⌫-⌫-⌫|-|-|---|
que home s	--|----⌫|
fa messasembloien tpor lui	--⌫--||----------⌫|--|--|
retenirmais	------|---|
il lordisoitqui lne	-|--|-----|-|-⌫|-|
demorroiten	--------|-|
ne nule m aniere	-|---|-⌫-----|
silnele nlaissoientaler	|-|-||-⌫|---------|---|
il nebeuroit	-|-|------|
iame stan dist q ala p arfin	----⌫|--|---|||-|-⌫----|
departi ilet uint aunl eu	------|-|-|---||-|-⌫-|
quibetulesestoit	--|------|-----|
laa resta il	-|-⌫----|-|
por legr antpueple	--|-|--⌫--|-----|
quilesuiuoit silor di st	--|-|------|-|--|--⌫-|
q u il ret ornassentquaren semblel ui	-⌫|-|---⌫--------|---|--⌫-----|-⌫-|
n ir oientilpl us auant	|--⌫----|-|--⌫-|----|
dontesl u tyymoi n es prodom espor	---|---⌫-⌫|-|---⌫-⌫-|------⌫-|--|
ensemblelui aler en conpaignie	-------|--|---|-|---------|
etlorala lis ainzhom quil uin t	-|--|--|-|-⌫---|--|-|-|---⌫|
auior ape lusece est	-|--||--⌫---|-|--|
uile d e lacontreede betules	---|-⌫|-|------|-|------|
au o itun desertqui	--⌫-⌫-|-|-----|--|
estoi tapelezsii abitoient	-----⌫|-----|-||--------|
sain z homesen ermi tage s ceu s	----⌫|----|-|----⌫----⌫|---⌫|
sai nzylariens u iseterpuis sen	---⌫-|-------|-⌫-----|---||-|
rala a u n	---||-⌫|
chastelthobast an	------|-------⌫-|
ape lez porce qu il uolo itpar ler	---⌫--|--|-|-|-|----⌫-|---⌫--|
uooirdracconsleuesque etconfes	----|-------||------|-|-----|
quila abitoientd el a sen	--|-|--------|-⌫|-⌫||-|
ralaen babiloinepor uis eterf ilone	---|-|--------|--|---⌫---|-⌫----|
eue sque etc onfeset pui ss	---⌫---|-|-⌫----|-|---⌫||
enyyiorsa unchastelqui	-|-|---||-|------|--|
affroditonesto it apelezla	---------|----⌫-|-----|-|
trouai lbasien lo diak enequi	----|-⌫|-----|-|----⌫--|--|
soloit l esch amous	-----|-⌫-|--⌫----|
loierpor p orter	----|--|-⌫----|
laigueen ladesertinea ce us qui	|----|-|-|--------||--⌫-|--|
aloientasaintanthoine etsisen	------||----|-------|-|-||-|
alaensemble ausetalerent	--|-------|--|-|------|
entroisiors	-|----|---|
parl adesertinequ il	--|-⌫|--------|-|-|
uindrent enla	-------|-|-|
ha u te montaigneou	--⌫-⌫-|--------|-|
anthoinesso loitabi terquant il	--------|--⌫---|---⌫--|----|-|
ertenuielatrouerent il	--|-|--|-|--------|-|
quifurentdisciplede	--|-----|-------|-|
anth oinel iunsa uoit n onysaac	----⌫---|-⌫|--|-⌫---|-⌫-|----|
au tre splusianu s	--⌫---⌫|--------⌫|
c il ysaac	-⌫-|----|
auoitesté latimiersde saint	----|----|--------|-|----|
porparle raquia	--|-----⌫||--||
uen oientdediue r s lang ages	---⌫----|-|----⌫-⌫|----⌫---|
ylaries uintaulo u ousain t	------|---|-|--⌫|-|----⌫|
a nthoinessolo it	-⌫-------|----⌫-|
abiterillou	-----|-|--|
multquartropli sembloit	---|---|---|-|-------|
delitableslarochee stoit	---------|-|----|-⌫----|
etbelle etaupiedesoz	-|----|-|-|--|----|
sordoientfon taines qui	--------|---⌫-----|--|
ren doient	---⌫-----|
aigue doceet clereet de soz lo	----|---|-|----|-|--⌫--|-|
rui sel deces fontainessiauoi td	---⌫--|-|--|--------|-|----⌫||
autrepaumiers	----|-------|
plentequigrant	-----|--|----|
profitre ndoient	-----|--⌫------|
e nbelliss oientmult	-⌫--------⌫----|---|
lo leusainz	-|--|----|
ylariesaloit d etotes pa rz au ec	------|----|-⌫|----|--⌫-|--⌫-|
des c ipl essain z	---⌫-⌫---⌫-|----⌫|
an thoinesqu i l	--⌫------|-|-⌫|
t roue zetsidisoie nt	-⌫----⌫|-|-|------⌫-|
cie st oitsa inz a nthoinesen	-|-⌫--⌫--|--⌫--|-⌫-------|-|
oroisonse ticioroitilet d eca	-------|-⌫|--|----|-|-|-⌫--|
repousoitilquantilert	--------|-|----|-|--|
arb re sici plantai l	---⌫--⌫|--|-----|-⌫|
etces herbes	-|--|-----|
ases mains m eismes	|--|----|-⌫-----|
et cestepecine	-|----|-----|
fist il pargranttra u ailporaroser	---|-|--|----|---⌫-⌫--|--|-----|
soncor tise l	--|---⌫----⌫|
sachet ot ilmul t	-----|-|-|---⌫|
longuementp o rfoir	---------|-⌫-⌫|---|
sainzylariessecochoitenla	----|------|-|------|-|-|
cellesaintanthoin eet	----|----|-------⌫|-|
baisoit lo	------|-|
auoite s tét otausi	----|-⌫-⌫--|-⌫-|---|
docementcomse lesa in z	-------|--|-|-|--⌫--⌫|
feustencorre	----|------|
l a cellenauoit deloncnede	-⌫|----||----|-|---|-|-|
la rg ecese	--⌫--⌫--|-|
tantnonq u ns	---|--||-⌫-|
estendredonts ena lere nt	-------|---||-|-⌫----⌫-|
paineen sonlemont l a	----|-|--|-|---|-⌫|
il yyc e ll e tesou s aintanthoine	-|-|-⌫-⌫--⌫-⌫--|-|-⌫---|-------|
a uoithabité po rfuir l ennui des	-⌫---|------|--⌫|---||----|--|
to rbesuenoient aluiet	--⌫---|-------||--|-|
ces yycelletesest oient	--|-|-------|---⌫----|
entailliesen la uiuepierr e	---------|-|-|---|-----⌫|
reuintarriere	-----|------|
parla ysaacasai ntylarien si li	----|----||---⌫-|------|-|-|
dist ueezuoscel paumieret	---|---|--|--|------|-|
cesher besen to r	--|---⌫--|--⌫--⌫|
ilauint ore a	-|----|--||
anthoi n e ainzq	------⌫-⌫|----|
unsgr a nttrope	--|--⌫-⌫-|----|
saluagesuinrent ici si	-------|------|--|-|
conmencierentamangierlerbe	------------||------||---|
anthoine c o nman da luned el es a	-------|-⌫-⌫----⌫-||--||--⌫-||
arester et pu isquelisainz hom	------|-|--⌫----|-|----|--|
lot conmandéla besten ese	|-|--------|-|----|-⌫|-|
os arem o uo irdontlaconme nc aa	--⌫|---⌫-⌫--⌫-|---|-|-----⌫--⌫||
batrep armi	----|-⌫---|
lesco st ez dune ue rgeet	--|--⌫--⌫-||--|--⌫--|-|
porquoi me ngiezu os	--|---|--⌫----|-⌫-|
cequeuosnesemastes pasplus ne	-|--|--|-|-------|--|---|-|
dist conman da a	---|------⌫-||
labes te qu e	-|---⌫-|--⌫|
sauoie ainz	-|---|---|
puisce l iorles	---|--⌫|--|--|
hardies qu	------|-|
atochassen t asher bes i afust ce	----------⌫|-|---⌫--|-⌫|---|-|
que l esuenissent boiurea	-|-⌫-⌫-|--------|-----||
fon t a ine	---⌫-⌫-⌫--|
quantl i moine	----|-⌫|----|
otasaintylarie n	-||----|------⌫|
contécestechoseillor	-----|----|----|-|--|
saint anthoineli	----|-------|-|
mostra ssentiene sai	------⌫----|-|-|--|
mostreren tne	---------⌫|-|
ensi gniere ntporceq ue	----⌫------⌫-|--|-|-⌫-|
anth oines lorauoitdesfendusi	----⌫----|--|----|-------|-|
comtéariere ensauieadoncse	-----|-----|-|-|--|----|-|
partisainzylariesd e	----|----|------|-⌫|
tantquiluint auchas tel defro diton	-----|-|---|-|----⌫--|-|---⌫----|
quiestoit al	--|-----|||
ent r eede la	---⌫-⌫-|-|-|
deser tine lade part i	-----⌫---|-|--⌫----⌫|
conpaigni esiquilneretint	---------⌫|-|-|-|-|-----|
l ui qu eyy	-⌫-|--⌫|-|
etdonts en ala	-|---||-|--|
demo rer el pl us	----⌫--|-|--⌫-|
prochain abitaclequiillu ec estoit	-------|-------|--|----⌫-|-----|
meneruiesolitairedo ntcon menca	----|--|--------|--⌫-|---⌫----|
a auoirsigrant astinen ce	|----|-|----|-------⌫-|
charneus cho s es	-------|---⌫-⌫-|
etatenir de	-||----|-|
sigranzsi lence c onmesilentrepris t	-|----|--⌫----|-⌫---||-|---------⌫|
a d on tprimes aseruirnos tre seignor	-⌫-⌫--⌫|-----||-----|---⌫--|------|
quariln ecuidoitmi eque sa	---|-|-⌫|------|--⌫|--|-|
poiste st re aseztra u ai ll i e por	----|-⌫--⌫-|---|---⌫-⌫--⌫--⌫-⌫|--|
auoiruieparmenable en ce l tempore	----|--|---------|-|--⌫|------|
ado ntauoi tyyanzqu ilnauoit	---⌫-|----⌫|-|--|-|-||----|
cel eco ntreesiiestoient	---⌫|--⌫----|-||-------|
lesterres sisec hesq ueh er be	--|-----|-|---⌫--|-⌫-|-⌫--⌫-|
au treschoses q uideter redeust	--⌫---|-----|-⌫-|-|---⌫-|----|
is sirnipooitr euer dir	--⌫--|||----|-⌫----⌫--|
ge nzd iss oient quecelegra nz	--⌫-|-⌫---⌫----|--|---|---⌫-|
secher eceestoitporl a mo rt saint	------⌫--|-----|--|-⌫|--⌫-|----|
an thoi neetqueli	--⌫----⌫-|-|--|-|
element lor	------|--|
ploro ient cestqu e l es natures	-----⌫---||--|--⌫|-⌫-|------|
delsde fai lloientporc equil	|--|--⌫---⌫------|--|-⌫|-|-|
trespassez deces siecle	---------|-|--|-----|
dontuintla	---|---|-|
renomeede saintylarien a	------|-|----|------||
cels del paisquarilmurent	---|--|---|---|-|-----|
homesetfame s qui t uitestoient	----|-|----⌫|--|-⌫--|-------|
paleet descoloré parfamine si	---|-|---------|--|-----|-|
uindrentausain thomesili	-------|-|----⌫|---|-|-|
requistr ent etdema nd erentqu	--------⌫--|-|----⌫--⌫----|-|
anostreseignor	|-----|------|
proiast que pluie	------|--|----|
uenists o z	-----|-⌫-⌫|
te rredo ntelefu st	--⌫--|--⌫-|--|--⌫-|
aroseequant y lariensuit	-----|----|-⌫------|--|
ens igrant	-|-⌫|----|
dolorete nsigrant	----|-|-⌫|-|----|
destrec eilf udolen zolt re mes ure	-------⌫|-|-⌫|-----⌫|---⌫-|---⌫--|
etd ontleua	-|-⌫--|---|
lisain zhomeses	-|----⌫|---|--|
loc ieletsi	-|-⌫--|-|-|
oraisonanostreseignor	------||-----|------|
enuoiast a sorla ter raquit ro p	-------||--|-|---⌫-|--|-⌫--⌫|
conmencaaplouoir	-------||------|
p arl aproier e d o sa int hom ee t	-⌫-|-⌫|------⌫|-⌫|--⌫--|---⌫|-⌫|
tan tostcom laterrefu aros eede	---⌫---|--|-|----|-|----⌫-|-|
docor de laigue sigrantplente	----|-||----|-|----|-----|
deserpenzetdebe st esqui uenim	-|------|-|-|--⌫--⌫-|--|----|
porto ients esboliren tforsque	-----⌫---||---------⌫|---|--|
pooitsemblergrantme ruo illeetsi	----|------|----|--⌫---⌫---|-|-|
eussent morz mult des genz	------|---|---|--|---|
del a co n tre epar louenimse il ne	-|-⌫|--⌫-⌫---⌫|--|-|----|-|-|-|
fussen t alé ausainthomepor	------⌫|---|-|----|---|--|
secors et aie mes	-----|-|--|--|
sainzylariens lo	----|-------|-|
b ene ioile deq ueli anier	-⌫---⌫|---|-|-⌫-|-|----|
et li pas tor quiestoient	-|-|---⌫--|--|-------|
enueniméoignoientlor	--------|--------|--|
plai es et	----⌫-|-|
maint enant	-----⌫----|
erentgari z p ar	----|----⌫|-⌫-|
conmencierentcil delaco ntree	------------|--|-|-|--⌫----|
aten irensigrantreuerenceet en si	|---⌫-|-|-|----|--------|-|-|-|
grant seignor ie comce	----|-------⌫-|--|-|
enforme hom equifust d escen duz	-|----|---⌫|--|---|-⌫-----⌫--|
porelxsaluerde	--|--|-----|-|
granzaue rsitez etdelorgranz dolors	----|---⌫-----|-|-|--|----|-----|
qu a ntli sainzhomuit quil	--⌫-⌫-|-|----|--|--|-|-|
estoit siconneuz e ts i	-----|-|------|-⌫|-⌫|
enceleterre	-|---|----|
et com liuoloit	-||-|-|-----|
p lusdon orqu	-⌫--||--⌫-|-|
ilneuosistil se	-|-|-----|-|-|
dela si sen	-|-|-||-|
alaenali xan dre por	--|-|---⌫---⌫--|--|
iluoloita lere n	-|-----|-⌫--|-⌫|
grant d ese rtine la	----|-⌫---⌫----|-|
nuitquil uinten	---|-|-|---|-|
alixan dreneuolt i lmie	------⌫--|-|---|-⌫|--|
herbergier	---------|
enla uileporceque ado ntqu	-|-|---|--|-|--|---⌫---|
auoit receu la b i t d emoinen	----|----||-⌫-⌫-⌫|-⌫|----||
ieuenci teainz senalala	--|-|--⌫-|---||-|--|-|
asfreres quipresdalixandre	-|-----|--|---||--------|
demoroien t	---------⌫|
etbienlocogn ois soient	-|---|-|----⌫---⌫-----|
recurenta grant	-------||----|
quan tuintdeuant iorneesi	----⌫|---|-----|-----|-|
discipl econmencierent	-------⌫|------------|
asne dosaintho me	---|-|----|--⌫-|
tenir lauoie	----|-|---|
limoinede l a maisonlicheiren	-|----|-|-⌫|-----|-|------|
piez etli proierent	---|-|-|--------|
feist il mienene les	----|-|--|-|-|--|
deguerpistmiequaril uorroient	---------|--|---|-|--------|
melzm orir	---|-⌫---|
qu ilneuss ents a	-|-||----⌫--|-⌫|
conpa ignie illorrespo ndiquilse	-----⌫----|-|--|-----⌫--|-|-|-|
hastoitd alersauoieporce qu	------||---|-|---|--|-|-|
n ele f eissent mo leste	-⌫|-|-⌫------|--⌫----|
quarbienseu ssenti l	---|---|---⌫----|-⌫|
sauro ie ntpar c el squiapres	-----⌫--⌫-|--|-⌫--⌫|--|----|
ueno ient par	----⌫---|--|
que lchose ilenestoitalez	---⌫|----|-|-|-----|---|
lorsse departili sainzhomdels	---|-|------|-|----|--||--|
et quant uint	-|----|---|
l autre iorapres	|----|--|----|
g aseuinren t a	-⌫--|------⌫||
labaiepo r losa int	|----|--⌫|-|--⌫--|
homequerreet	---|-----|-|
si l e uolo ien t ocir el ui	-|-⌫|----⌫---⌫|----⌫|-⌫-|
etheschium	-|-------|
sondiscipleparlo conmandementiulien	--|-------|--|-|-----------|-----|
lem pere orqu iquerelofaisoitpar	|--⌫----⌫-|--⌫|----|-|------|--|
totes terres etqu antcilqui lo	----|-----|-|--⌫--|--|--|-|
que roientnelo	---⌫-----|-|-|
trouer entenl	------⌫--|-||
abaieouilauoiteste ́la nui t	----|-|-|----|----⌫|-|---⌫|
ilconmencierententreelx	-|------------|----|--|
iluo iremen t estoitil	-|--⌫------⌫|-----|-|
e nchanteres si conme liplusor	-⌫---------|-|----|-|-----|
testemoigno ient puisquil	-----------⌫---|-----|-|
les chos esa	--|----⌫-||
aueni rli sainz homqui	-----⌫|-|----|--|--|
la se stoi tpartizen tra	-||-⌫----⌫|-----|--⌫--|
enlagrantdeserti ne	-|-|----|-------⌫-|
e t lafuil un	-⌫|-|-|-|-|
antantqu eplusorsgenz lo	-|------⌫|------|---|-|
quialuiuindre nt	--||--|------⌫-|
qu ant iluitquiln e	--⌫--|-|--|-|-|-⌫|
troue z etque genz	-----⌫|-|--|---|
asemblassenta	-----------||
luiilsepensaquil	--|-|-|----|-|-|
seme troit	-|--⌫----|
etqueroittantquil	-|------|-----|-|
trouer oit	------⌫--|
quineseroitmieabit e ede	--|-|-----|--|----⌫-⌫|-|
areste roitils els	------⌫---|-|-⌫--|
nepooi tabiteren nulleu	-|----⌫|-----|-|--|--|
enterreou ilpeustmeneruie	-|----|-|-|----|----|--|
ado ntuintunsuensd isciples de	---⌫-|---|-|----|-⌫-------|-|
palestinea	--------||
luiadriens auo it non	--|------|---⌫-|--|
silidistque iuli ens	-|-|---|--|----⌫--|
li empereor	-|-------|
estoitociset qui l ia uoit	-----|---|-|-|-⌫||-⌫---|
crestienem pereorqui gouerno it	-------|--⌫-----|--|-------⌫-|
reigneetpor ce s	-----|-|--|-||
en deu s t	-|---⌫-⌫|
ilre p ai ri er	-|--⌫-⌫--⌫--⌫-|
a sesfreresquantli sain z	|--|-----|----|-|----⌫|
lo iissiparle r il	|-⌫|---|-----⌫|-|
n iretorneroitmiedont	||----------|--|---|
de l a s i	-|-⌫|-⌫|
par lagrantdesertineiu squeaunec ite	--|-|----|--------|--⌫---||--|-⌫--|
del ibequi	-|-⌫--|--|
susla mer estoit	--|-|--|-----|
asissela se	-----|-|-|
d eparti adriens	-⌫-----|------|
d e sciplesdeluiqui multli	-⌫-⌫------|-|--|--|---|-|
demalqu arilenp o rta si queli	-|--|--⌫-|-|---⌫-⌫--|-|--|-|
n ensotmot	|-|--|--|
uneues teure	--|---⌫----|
que si fr ere liauoienten uoie	--|-|--⌫--|-|------|--⌫---|
mes puislaco npara il mult	--|---|-|--⌫----|-|---|
qu a r unee nfer mete zlo p ristdontil	--⌫-⌫|--|-⌫----⌫----⌫|-|-⌫---|---|-|
fumorzparg rant	-|---|--|-⌫---|
li sainzhomqu ialacitequei euo s	-|----|--|--⌫||-|---|--|-⌫|--⌫|
aideuantdite	-|-----|---|
esto ittrouaune nef	----⌫-|----|--|--|
mar che anzqu i	---⌫---⌫--|--⌫|
s en deuoitaler en	|-|-----|---|-|
siduidisciplesn	-|--|--------||
plusdetoz auoi ersterri ensq	---|-|--|----⌫--|-----⌫--||
u n liu redeua ng ileset lo raffu bleure	-⌫|---⌫-||---⌫--⌫---|-|--⌫|----⌫-----|
li sainzhomentrae n	-|----|--|----|-⌫|
nefdes marcheanz	--|--|--------|
etpensaquece	-|----|--|-|
liuredon roitil au	----|---⌫---|-|-|
noton nie r	-----⌫---⌫|
p orsa des er te	-⌫-|-|---⌫--⌫-|
quan ttuitfurent	----⌫|---|-----|
e nla nefetilorentplainement	-⌫|-|--|-|-|----|---------|
coru paryyi orz ou	---|--|-|-⌫--|-|
plusparlamer li	---|--|-|--|-|
deables entra	------|----|
elfilz del	-|---|--|
marin iersi	-----⌫--|-|
comenca acriere t a	------||----|-⌫||
y lar iesserf ihesu c ristconment	-⌫---⌫--|---|----|-⌫---|------|
p uet ce estre quilnenos	-⌫--|-|----|-|-|-|--|
l aist mie	-⌫---|--|
partoiquenos	--|--|--|--|
soiomesseurenterre	------|---|-|----|
do nemoiespaiceque ie	--⌫-|--|------|--|-|
enter re queie nesoiedeci	-|---⌫-|--|-|-|---|-|-|
endroit trabuchiez en	------|---------|-|
ylaried ist	-----|-⌫--|
se i hesucrist	-|-⌫---|----|
mesdieustotroieque	--|----||-----|--|
arestes demoreitot	------|-----||--|
plainemente tseil tenuia ult	---------|-⌫|-|-||-|---⌫--|
giterque mendemandes tu	----|--||-|-------|-|
suipechieres	--|--------|
hometpou res	--|-|---⌫--|
ce d isoitil porc e queli	-|-⌫----|-|--|-⌫|--|-|
et limarcheanz	-|-|--------|
quien l an ef	--|-|-⌫|-⌫-|
est oient ne lensig nassentne	---⌫----|-||-----⌫------|-|
dem ost rassent	---⌫---⌫------|
daucun miraclequant iluenissent	|----|------|----|-|--------|
terre apresce nonmie	----|----|-|--|--|
enfesgariz et ore nten	----|----|-|---⌫-|-|
conuantt uitcil quien lanef	------|-⌫--|--|--|-|-|--|
est oient pa rueritequeia de luine	---⌫----|--⌫|-----|--|-|-|--|-|
parleroient	----------|
adon tcorure nt tan tpa rla mersa nz	----⌫|------⌫-|---⌫|--⌫|-|--|--⌫-|
auoirt orme nzsiconnostr e	----|-⌫----⌫-|-|--|-----⌫|
lou ost qu il ariu er e nta	-|-⌫--|-|-|----⌫--⌫-⌫-||
pristren tport enseziledont	--------⌫|---|-|-----|---|
traist lisainzho ma unot oniersi li	-----|-|----|--⌫|-⌫|---⌫----|-|-|
u ostdone r	-⌫--|----⌫|
letexte del	-|----|-||
euangile et safub leurepo r soloier li	-------|-||----⌫----|--⌫|------|-|
no t onnierquibienuooit	--⌫-⌫-----|--|---|----|
qu il nauoientnule aut r e ch os elor	-|-||------|---|---⌫-⌫|--⌫--⌫|--|
u esteure set ce liurei ura q uil	-⌫-------⌫|-|-|----|-⌫--|-⌫|-|
nenprendroit nulerienm es	|-|--------|---|---|-⌫-|
quiauoit ausi grant	--|----|---|----|
f i anceen la	-⌫-⌫---|-|-|
pouretee tp lus s	------|-⌫|-⌫--||
