#META #Text URI BenTro ieC	-----⌫|----⌫--|------⌫--|
#M ETA#DEAFhttp//ww w.deaf-page.de/bibl/bib99b.php#BenTroieC	--⌫---|---|--------⌫---------------------------------------|
#META#TLTroie	-----|-|----|
#META# FEWBenSMaure	-----|--|--------|
#META#ARLIMAhttps//www.arlima. net/ad/ benoit_ de_sainte-m aure.html#tro	-----|-----|------------------⌫-------⌫-------⌫-----------⌫------------|
#META#AuthorBenoît	-----|-----|------|
deTroiemoutam ez.	-|----|---|--⌫--|
S oue nt io glot sescompa ig nons	-⌫---⌫-|--⌫---|--|-----⌫--⌫---|
Quan tili tr ouot ach eisons.	----⌫|-||--⌫---|---⌫------|
Unfil auei tPolidamas	-|--|----⌫|--------|
DontliLi uresnesetai stpas	---|-|--⌫---|-|-|---⌫-|--|
Qua rmerueillesesteitp reisiez	---⌫|---------|-----|-⌫------|
P ageu0 1P 287	-⌫-----⌫--⌫--|
E beaus egen z	|----||---⌫|
e ense i gniez	|----⌫-⌫----|
Graisles ed reize bru nle uis	-------||-⌫---||---⌫|-|--|
Debons afaite menz ap ris	-|---|------⌫---|--⌫--|
Forzehardiz edefe nsables	---||-----||----⌫------|
Ee n tozest oueir s metabl es.	|-⌫|--|---⌫-----⌫|------⌫--|
Largese douzefransesteit.	-----||---||----|------|
Pointnesteitfei nzp oiert ir os	----||-----|---⌫-|-⌫-|--|--⌫-|
Maisas armesertuertuos.	---|-|----|--|-------|
Lireis Mennonfugenze gr anz	-|---|-----|-|---||--⌫--|
Echeualiersmout	|---------|---|
Si ertçoconteliEscriz	-|--|--|----|-|-----|
Parle sespaulesbien forniz	--|--⌫|-------|---|-----|
du r piz ounsforz braz	--⌫|--||--|---|---|
chiefcre speaubornaz	----|---⌫-||-------|
Ounlonc u i so	|-|---|-⌫-⌫||
unt raitiz	-|-⌫-----|
O unsg ros ieuz	|--|-⌫--|---|
e tresha rdiz	|---|--⌫---|
Poienue i s iez poi emparlez	--|----⌫-⌫-⌫--|--|-------|
Pageu01P288	----------|
E asar mesdesmesure z.	|-|--⌫--|---------⌫-|
Ri en ned otot rienne	--⌫-|-|-⌫---|---|-|
E partotbienliau enei t .	|--|--|---|-|--⌫----⌫-⌫|
M aintdur estor	-⌫---|--|----|
Merueillosfumerueilles	---------|-|---------|
Sagr ant pro ëceesi gr antfai t	-|--⌫--|---⌫---||-|--⌫--|---⌫|
Ser ontato ziorzm a is	---⌫--||--⌫|---|-⌫-⌫-|
uueil miet aire	----|--|-⌫---|
Ce q ueDairesenuoust	-|-⌫-|-----|-|----|
r etrair e	-⌫------⌫|
En si aue it nonlareïne	--⌫-|---⌫-|--|-|-----|
Moute steit debone do trine.	---|-⌫----|-|---|--⌫-----|
assezebel e	----||---⌫|
semblo thome abienprès	------⌫|---||---|----|
Nauei tpasfemenintalant	|----⌫|--|------|-----|
Nec oragen etantne qua nt.	-|-⌫----|-⌫|---|-|---⌫--|
Iusteertepie edr e ituriere	----|--||--||--⌫-⌫-------|
Esagedam eea um osniere.	|---|---⌫||-⌫--⌫-------|
Andromacha f ubelee	---------|-⌫|---||
E plusblanchequ enestf lor dente.	|---|------|--⌫||--|-⌫--||----|
Pag eu01 P289	---⌫----⌫---|
Blois fu sischie ́s e	----|-|--|----⌫-||
uair si ueil	---|-|---|
Francheert e simp l ese nzorgue il	------|--||----⌫-⌫|--⌫-|-----⌫-|
Lecol auei tdel onc e spac e.	-|--|----⌫|-|-⌫--|-⌫----⌫-|
rie nq u e bien ne stace	---⌫|-⌫-⌫|---||-⌫----|
E n son corsneensasembl ance	-⌫|--|---|-|-|-|-----⌫---|
N a ueit un pointdemesestan c e.	|-⌫---|-|----|-|--------⌫-⌫-|
Leger ienefo l	-----⌫-|-|--⌫|
Nau eitenli n etantne	|--⌫--|-|-|-⌫|---|-|
Cassandraf udet el	--------|-⌫|-|-⌫-|
Quene potestr e de	--|-|--|----⌫|-|
Rose otlachieree le nti llos e.	---|-|-|-----||--⌫---⌫----⌫-|
Merueilles ertesciëntose	---------|--|----------|
e dessegreizdeuins	|--|------|-----|
Sau eitles someseles fins	---⌫--|--|----||--|---|
De la chosequeaueneit	-|-|----|--|------|
D iseittot quantquil ensereit.	-⌫----|--|----|-|-|-|------|
Les ieuzot cle rs e reluisa n z.	--|---|-|---⌫-||-------⌫-⌫-|
Pageu01P290	----------|
Tozert d iuers lisuens semblanz	--|--|-⌫----|-|----|-------|
Esises tres	|--|--⌫---|
esispensez	|--|-----|
Ertdautres femmesde uise z.	--||-----|-----|--⌫----⌫-|
Dela beaut éPolixenain	-|-|-----⌫-|---------|
uosporreit lom par ler	--|------||-|---⌫--|
Ne porreit pas	-|------|--|
e stre d escrite	-⌫---|-⌫------|
Nep armeine parautr edite.	-|-⌫-|--|-|--|----⌫|----|
Hauteerteg railee lon ge	----|--||-⌫----||---⌫-|
flan sdeug ieeeest reite	----⌫|----⌫--||---⌫----|
Lechiefot bloilescheueus	-|----|-|---|--|------|
Qui lipass oe ̈nt les tal o ns	--|-|----⌫--⌫--|--|---⌫-⌫-|
L esieuzclersuairse am or os	-⌫-|---|----|----||--⌫--⌫-|
Lessorcizdeug iezambedous	--|-----|----⌫--|-------|
Lafaceblanche	-|---|------|
cl erleuis	--⌫-|-|--|
roseneflord elis .	---|-|---|-⌫|---⌫|
Mo utaueitde gen tefaçon	--⌫-|----|-|---⌫-|-----|
Le n es labocheel ementon.	-|-⌫-|-|----||-⌫|------|
aueita uques longu e l	----|-⌫----|-----⌫-⌫|
Pageu01P29 1	----------⌫|
Gent s afublotde	---||------|-|
sonmantel.	--|------|
Notpasespaulesenc roëes	|-|--|-------|---⌫-----|
N erenttrop corbes ne	|----|---|-----|-|
trop lee s.	---|---⌫-|
Plus lib lancheot iapeitrine	---|-|-⌫-------|-|-------|
deli s n eflor desp ine.	-|--⌫|-⌫|---||---⌫---|
aueitebla nc he s mains	----||---⌫--⌫--⌫|----|
Les de iztraitizdeugieze	--|--⌫-|------|------||
Oncpucelenefumeinsf ole.	--|-----|-|-|----|-⌫---|
Le c u er otdouzelapar ole	-|-⌫-⌫-|-|---||-|---⌫--|
Ebei semblante	|--|-------||
bonc o ra ge.	--|-⌫-⌫--⌫--|
Oncfille arei nefuplussage	--|----||--|-|-|---|---|
Neplus large nepluscorteise	-|---|----|-|---|-------|
Dafait emen tnede p roëi s e	|-----⌫----⌫|-|-|-⌫-----⌫-⌫|
Nedebeauté ne deualor	-|-|------|-|-|----|
N aueitmieuz gua rnie	|----|----|---⌫---|
Selabeautédelaut r egent	-|-|------|-||---⌫-⌫|---|
Fust trestote en uns olem ent	---|-------|-|-|-⌫----⌫--|
Si somesnos de	-|----|--|-|
çocertain	--|------|
Pageu01P 292	--------⌫--|
en Pol ixenain	-|---⌫------|
Plus beleertemieuzenseigniee	---|---|--||----|---------|
Ede totesla pluspreisiee.	|-|----|-|---|--------|
Autregen t ot aTroie	----|---⌫|-||----|
Richessagese	-----|----||
estcifaitemencion	--|-|----|------|
Ner ec ontee	-|-⌫--⌫----|
ElLiure nen trui spluse scrit	-|----||-|----⌫|---|-⌫----|
Neden ulDa iresplus n	-|-|-⌫-|--⌫---|---||
#|DÉ NOMBREMENT DE SNAuIRES.	||---⌫---------|--⌫|-------|
uait seni uersestezr epaire	---||-|-⌫---|----|-⌫-----|
Elitermesde cestaf aire	|-|-----|-|---|--⌫---|
Quinepot maisguaires	--|-|--|---|------|
targ i er.	----⌫-⌫--|
Trestuitainzlafindefeurier	-------|---|-|--|-|------|
Furent liGrezeisassemblé	-----|-|------|--------|
A A thenes la grant	|-⌫-----|-|----|
Q uant quil porentde gent aueir	-⌫---|-|-|-----|-|---|----|
Pag eu01P293	---⌫-------|
Ne par for cene	-|--|---⌫-|-|
Parg r e ́ne	--|-⌫-⌫-⌫|-|
parautremani ere	--|----|----⌫--|
Pars omonse nep arp r eiere	--|-⌫-----|-|-⌫-|-⌫-⌫----|
AAthenes fu assemblee	|------|-|--------|
On quessi grantne fu	--⌫---|-|----|-|-|
sigr a ntni ertmais oïe.	-|--⌫-⌫-||-⌫--|---|----|
Aprestee f u lana u ie.	-------|-⌫|-|--⌫-⌫--|
L or nes i oren tai oste es	-⌫-|--||----⌫|--⌫----⌫-|
Tuit li richehome descontr ees	---|-|----|---|--|-----⌫--|
Bienaprestees	---|--------|
ços pleuis	---|-----|
C ontrelor morte use nemis.	-⌫----|--|-----⌫-|-⌫-----|
rienmenti r	---|-----⌫|
De Micein esi fi s tuenir	-|------⌫-||--⌫-⌫|----|
Agamenn oncent nesg uarnies	-------⌫-|---|--|-⌫------|
d armesr eplenie s.	|----|-⌫-------⌫-|
DeParteeniotMenel a us	-|----|-||-|-----⌫-⌫-|
Seisantepleines de uassaus	-------|------|-|------|
Ede Boëceedel onor	|-|-----||-||---|
Entre Archelaus eProthenor	----|--------||--------|
Eni orent cinqu a nte bel es	-||----|-----⌫-⌫--|---⌫-|
Tr es totes fresches e nouel es.	--⌫--⌫----|-------||-----⌫--|
Pageu01P294	----------|
Ascalaph useAlmenu s—	--------⌫-||------⌫||
Liu n sertcuens	-|-⌫-⌫|--|----|
liautredus—	-|----|--||
Enorenttrentealorp artie	-|----|-----||--|-⌫----|
Dela terre dOrcom enie.	-|-|----||-----⌫----|
Epistrophuse Scedius	----------||------|
Enorentcinq uanteenon	-|----|----⌫----||--|
Bie n gu arnies	---⌫|--⌫-----|
iol uos pleuis	--|--|-----|
Dela terredePh oc idis.	-|-|----|-|--⌫--⌫----|
Telamon ius Aïaus	-------⌫--|-----|
I uinttresbie ncomeuassaus	|---|---|---⌫|---|------|
Cin quante en o te n lamarin e	---⌫-----|-|-⌫|-⌫|-|-----⌫|
Q uotfaituenirdeSalemi ne.	-⌫|-|---|----|-|------⌫--|
a compaignon	|---------|
EAmphimaceDorion	|-------||-----|
Pa geu01P295	--⌫--------|
Poli xen arteTheseüs	----⌫---⌫--||-------|
Lipluspou refucuenso	-|---|---⌫-|-|----||
auei toitante	----⌫|------|
Nestortotesacante	-----|----||----|
Cinquan teeni aueitT hoas	-------⌫-|-||----|-⌫---|
Dela citédeT olias	-|-|----|-|-⌫----|
Huneriu squarante etr eis	-------⌫|-------||--⌫--|
D e late rredEssimiëis.	-⌫|-|--⌫--||----------|
Trenteesetenotli	-----||--|-|-|-|
Oi ̈le ïusAïaus	--⌫---⌫---|-----|
P ageu01P2 96	-⌫--------⌫-|
N iaueit celi	||----|---|
nefust pleine	-|---|-----|
Dom esdarm es	|--⌫-||---⌫-|
e deuitaille	|-|-------|
Tozuolenteïs de	--|---------|-|
Trente enad ui std e	-----|-|--⌫--⌫-|-⌫|
Senzesc on dite s enzessoi ne	---|---⌫--⌫--||-⌫--|-----⌫-|
Philitoase Antipus	--------||------|
Liuns fureis liautre dus .	-|--|-|---|-|----|---⌫|
Idomeneuse Me rion	--------||--⌫---|
De C re te	-|-⌫--⌫-|
edelaregion	|-|-|-----|
Eniamene ren toitante	-||-----⌫---⌫|------|
Beles e granz totesa can te.	----||----|----||---⌫--|
gran zeforz adès	----⌫||---|----|
Pageu01P297	----------|
Eniotcinquante U lixès .	-||-|--------|-⌫------⌫|
Emeliuseni otdis	------|-||-|--|
D ela contreedePigris	-⌫|-|------|-|-----|
Delaterre e de	-|-|----||-|
Q uePi lacaestapelee	-⌫-|--⌫---|--|-----|
cinqu ant ePotarcaus	-----⌫---⌫|--------|
Eil edanzProteselaus.	|-||---|-----------|
D anz Macha onda nz Po lidri	-⌫--|-----⌫-|--⌫-|--⌫----|
filEscol api	--|-----⌫--|
Eniaduistrent	-||---------|
Dela te rre	-|-|--⌫--|
deT ricios .	-|-⌫------⌫|
DePh i cequedemerest	-|--⌫-⌫-|--|-|--|--|
EniotcinquanteAchillès.	-||-|--------|---------|
Pageu01P298	----------|
DeRodeu ne is le	-|---|-⌫-|--⌫-|
Enfistdis pleines	-|---|--|------|
Te l e pol usunsri chesreis	--⌫-⌫-⌫---⌫-|--|--⌫---|---|
Qui m outertam ezdeGrezeis	--|-⌫--|--|--⌫-|-|------|
Euripilus dOrcomenie	--------||--------|
Unsreisdemout gra ntsei g norie	--|---|-|---|---⌫-|---⌫-⌫----|
Enotcin quant ebie ng uarnies	-|-|---⌫-----⌫|---⌫|-⌫------|
Bienchargieesebienempli es.	---|--------||---|-----⌫--|
D El ide une terresau uage	|--⌫--|--|----|---⌫---|
Enot oseion ze al ri uage	-|-||--|--⌫-|-|--⌫---|
DanzA n tipus	---|-⌫-⌫----|
eAmphima u s	|-------⌫-⌫|
Nener t adiretrefnemaus.	|-|--⌫||---|---|-|----|
Letremedeuise	----|-|-----|
Pageu01P 299	--------⌫--|
Se isanteen i otdeLarise	--⌫-----|-||-|-|-----|
Poli betèseLeontins	----⌫-----||-------|
Qui este ientgermains cosins.	--|----⌫---|-------|------|
Diomede ̀seSthelenus	-------⌫-||--------|
E libeausEürialus	|-|----|--------|
I adui str ento ita nte bar ges	|----⌫---⌫--|-⌫---⌫--|---⌫--|
De la cité delon ord	-|-|----|-||--⌫-||
Dela terredeMeli be e	-|-|----|-|----⌫--⌫|
Que d onc n ertguaires h a bitee	--|-⌫--||--|------|-⌫-⌫----|
En iotsetPhilote tè s	-||-|--|-------⌫---⌫|
de CipeCun eüs	-|---|---⌫---|
io ten e ientp lus.	|-⌫||-⌫-⌫---|-⌫---|
Cin quanteen i otdeManes e—	---⌫-----|-||-|-|-----⌫||
Pa geu01P300	--⌫--------|
Nen i auei tnule remese —	|-||----⌫|---|-----||
Protho ïlusquineste itsire	------⌫----|---|----⌫-|---|
Riches poissa nz degrant emp ire.	-----|------⌫-|-|----|---⌫---|
Ag apenorde Capadi e	--⌫-----|-|------⌫|
Enrotcinquanteenla nauie	-|--|--------|-|-|----|
eniotCrenos	-||-|-----|
Trestot par	------|--|
co nteuinte dous.	--⌫--|---||----|
Menesteüs li dus	---------|-|--|
auei tcinqua ntetele s	----⌫|------⌫--|----⌫|
Forzeguar niesd esmeillo rs.	---||----⌫---|-⌫-|------⌫--|
Qua rant ee	---⌫----⌫||
nueffurent parnon	---|-----|--|--|
Pageu01P301	----------|
Tu it richer eie	--⌫-|----|-⌫-||
f ortbaron	-⌫--|----|
Quimilecentnes	--|--||---|--|
Etr enteaitantles n ombre r ent.	|--⌫---||----|--|-⌫-----⌫-⌫---|
#|ACHILLEADELPHE S CA LCHAS	||------||------⌫|--⌫----|
P ASSEDUC ÔTÉ	-⌫---|-|-⌫----|
SACR IFI CEA DlAN E.	----⌫---⌫-||----⌫-|
Ensicomuospoëz	---|--|--|----|
Deuerit e ́esenzmentir	-|-----⌫-⌫||---|-----|
Fua A thenes l assemblee	-||-⌫-----||--------|
Ia maissigrant n	-|---|-|----||
ie rtaiostee.	--⌫-|-------|
tant ertsage s eproz	---|--|----⌫||---|
Equilacureaueit so rtoz—	|--|-|---|----|--⌫|--||
Ç oer t Agamennonli reis—	--⌫|--⌫|--------|-|---||
Mand alesprincesdes Grezeis	----⌫|--|------|--|------|
Lesdus etoz lescheuetaignes	--|--||--|--|-----------|
Fors d el a	---|-⌫|-⌫|
cit euun es p la igne s	--|-|--⌫-|-⌫--⌫----⌫|
otricheparlement	-|----|--------|
Quarmouti ot de	---|---||-|-|
hautegent.	----|----|
Pageu01P302	----------|
Laontconté lorcheuali ers	-|--|-----|--|-------⌫--|
Quenachas cunse	-|-||----⌫---||
quanz mi lliers	----|--⌫-----|
Maistanteni	---|---|-||
au eit uenu	--⌫--|---|
Qu apeinespotestrese ü .	-||-----|--|----|--⌫--⌫|
Agamennonlorpristadire	--------|--|----||---|
Sirefa itilriche conc ir e	---|--⌫-|-|----|----⌫--⌫|
Aueziosté enceste place.	---|-----|-|----|-----|
Troppesantfaispre n te emb race	---|-----|---|---⌫-⌫||---⌫---|
Quiuersuoss	--|---|--||
aati stdeguerre	----⌫-|-|-----|
Petitaimesei e sater re.	----|---|--||-|---⌫--|
Telcenten uei almienes peir	--|---|-|--|-|---|--⌫---|
Dontcil quia meno rpoëir	---|--|--||----⌫|-----|
Deureitbien parforce acheuer	------|---|--|----|------|
Çoque no s	--|--|--⌫|
afa itassembler.	|--⌫-|---------|
Li laizela honte	-|---||-|----|
estmoutgr ant	--|---|--⌫--|
Quenos afait li f izPria nt	--|--||---|-|-⌫-|----⌫-|
Meüsomesporl auenianc e	---|----|--|-⌫|-------⌫|
Quarneuolonsquere parlance	---|-|-----|--|--⌫-------|
Neuilanienehontages	-|------|-|-------|
Page u01P303	----⌫------|
S ei trepro chiez a noz lignages .	-⌫--⌫|-----⌫----||--|--------⌫|
Oncnefirentnostre	--|-|-----|-----|
Rienquenos	---|--|--|
tortadeshonor	---||-------|
Nenos neredeuons sofrir	-|--|-|-------|-----|
Nozheirsabaiss ier ne	--|----|------⌫--|-|
Laseignori ee	-|--------⌫||
lan oblece	-|-⌫-----|
QuaGreceeüelahautece	-||----|--||-|------|
Ne deit pasen dreitnosbai ssier	-|---|--|--⌫----|--|---⌫----|
Anceis deureitmoutessaucier	-----|------|---|--------|
Quartantsomesdune	---|---|----||--|
acord ance	-----⌫---|
Etan tuaitloinznostre poissa nce	|---⌫|---|----|-----|------⌫--|
Quilnes tnu sr eisquifaire	-|-||--⌫|--⌫|-⌫--|--|----|
Ch oseuersnosquenos	--⌫--|---|--|--|--|
Ne maisque ceste ge ntho nie	-|---|--|----|--⌫-|--⌫--|
Q uimaruirent lorgrant fo lie.	-⌫-|--|-----|--|----|--⌫---|
Bienpertquem auuéscons eil	---|---|--|-⌫-----|----⌫--|
Quar tuitseuentcilqui	---|---|-----|--|--|
Pageu01P304	----------|
Q uene sai quant denostre	-⌫-|-|--|----|-|-----|
De struistrentTroie siuil ment	--⌫----------|----|-|---⌫---|
nen ilaissier ent	|-||--------⌫--|
La contreetot eeissilier ent	-|------|---⌫|---------⌫--|
quep or en tfairesi s	--|-⌫--⌫--⌫|----|--⌫|
Nepor ront	-|---⌫---|
Puet ce lestreQuisil	---|--⌫|----|--|--|
Equiuenia nce	|--|-----⌫--|
nenprendreit	|-|--------|
Ancornosfereients ordeis	----|--|-------|-⌫-----|
S isendeuanciss ons anceis.	-⌫-|-|---------⌫--|------|
Quargentqui font	---|---|--|---|
ho nte econtrair e	--⌫--||--------⌫|
Ne deith o m	-|---|-⌫-⌫|
passorsei atraire	--|--|--|------|
Ainzlesdeithomsideuancir	---|--|---|--|-|-------|
n aientmie grant	|----|--|----|
Deusguarnirnedeus enforcier	|--|------|-||--|--------|
N edaiu toire	-⌫||---⌫----|
porchacier.	----------|
Ç osaiiobien t ota estros	--⌫|--|-|---|-⌫-||-----|
Qu e guarni sesont	--⌫|-----|-|---|
c ontrenos	-⌫----|--|
Equegranzg enz o nt	|--|----|-⌫--|-⌫-|
ass emblees	---⌫------|
Page u01P305	----⌫------|
diuerses contrees	-------|-------|
Alor poëir	|--|-----|
se d efendront	-|-⌫--------|
ilonques plus porront.	-|-----|---|-------|
E sospl aiseitio loëreie	|--|--⌫-----|-|-------|
Eendre itme i	|-----⌫-|--⌫|
con seillere ie	---⌫--------⌫-|
Qua nc eis	-|-⌫--⌫--|
quede ci me ü ssons	--|-|-|--⌫--⌫----|
AApo lloen ueïssons	|---⌫--|--⌫--------|
Prendrecon seildecest a faire	------|---⌫---|-|---|-⌫----|
Saueiraquel en	-----||---|-|
porronstra ire.	------|---⌫---|
Li deusnos endirabienu e ir	-|---|--|-|---|---|-⌫-⌫-|
Se nzf a ill iresenzdece ueir .	--⌫-|-⌫-⌫---⌫-||---|----⌫----⌫|
Bonconseillierse	--|----------|-|
Quarbiensac hei z sic omi ocui	---|---|---⌫---⌫|-|-⌫-|-⌫|--|
Ia deri en	-|-|--⌫-|
puisnedoterons	---|-|-------|
Qu iln osaura do né r espons.	-|-|-⌫-|---|--⌫--|-⌫------|
Deçonos estmout	-|--|--|--|---|
granzbosoinz	----|------|
P ag eu 01P306	-⌫--⌫--⌫-----|
N enestmieDelfossi	-⌫||--|--|-----|-|
Queto stnepu is s e n trepairie r	--|--⌫-|-|--⌫--⌫-⌫-⌫-⌫|--------⌫|
i irontsacrefiier.	|----|----------|
Ceste paro leontagraee	----|----⌫-|--|-----|
Tuitcil ac ui ei fu	---|--||-⌫-|-|-|
Parlecomune sguart de toz	--|-|----|-⌫-----|-|--|
Achillèsli	--------|-|
Patroclusm eineensembleolui	--------|-⌫---|-------||--|
EnDe lf o nuindrent	-|--⌫--⌫-⌫|-------|
am be dui.	--⌫--⌫---|
Senz escharsfaireesen z	---|------|----||---⌫|
E ntrenteltemp leApol linis	-⌫-----|-|----⌫-|----⌫----|
o deuocion	|-------|
Fir e nt aldeu	---⌫-⌫-|-|--|
lorore ison.	--|---⌫----|
Unsac refise apareillié	-|---⌫-----|----------|
AAchi llèssacrefiié.	|----⌫----|----------|
La nuit o ï e s otde ue ir	-|---|-⌫-||-⌫-|-|--⌫-|
Çoquileste itu en u zsaueir.	--|-|-|----⌫-|-⌫--⌫-⌫|------|
Lires ponsli aditenbas	-|---⌫---|-||--|-|--|
Pageu01 P307	-------⌫---|
As Grezei s fait ilnon ceras	-|------⌫|---|-|---⌫----|
Que aldisme	--|-|----|
a n senznulefaill e	-⌫|---|---|-----⌫|
lert tot efind elabataille.	---|---⌫|--|-⌫|-|--------|
Çoa it bi enchasc uns en memoi re	--|-⌫-|--⌫-|-----⌫--|-|-----⌫-|
Qu e enland is me	--⌫|-||-|-⌫--⌫-|
a uro ntuit oire	-⌫---⌫-|---⌫---|
Ebiensachentdeuerité	|---|------|-|------|
Qu adoncauronttot	-|----|-----|--|
Quar Troiei ertpris eeab atue	---|----|-⌫--|----⌫||--⌫---|
Ela gentdes trui te e uencue.	|-|---|---⌫----⌫-||------|
Totçoqueli responsa dit	--|--|--|-|------||--|
AAchi llèsmisene scrit.	|----⌫----|--|-|-⌫-----|
aoreesil mer ci e	----|--|---⌫--⌫|
Edeuant lautels umelie.	|-----||----||------|
Oïrpoë z comfaitement	---|----⌫|--|--------|
Aiceliord emeinement	|---|--|-⌫---------|
Est ei tCalcasil u ec uenuz	---⌫--⌫|-----|--⌫-⌫-|----|
Sa ges poët esco neüz.	--⌫--|-----⌫-|--⌫-----|
Fizert Te sto r un Troï en	--|--|--⌫---⌫|-|-----⌫-|
au ei tCalc asgr ant sen	--⌫--⌫|----⌫-|--⌫--|--|
Pageu01P308	----------|
Donsaporto t Apollini	---|------⌫|-------|
Aldeuueneitcri ë rmerci	-|--|-----|---⌫--⌫|----|
Porceu sdeTroie	--|---⌫|-|----|
q u il fer eient	-⌫|-|---⌫----|
Ecomentils ec onte ndr eient.	|-----|-|-⌫|-⌫----⌫---⌫-----|
Li r eis lipueple s	-|-⌫--|-|------⌫|
Iaueien t Cal ca stramis	|------⌫|---⌫--⌫|-----|
Po rofrirs or	--⌫|----|-⌫-|
lautellordons	|----|--|---|
Epo roïrdeuinsrespons	|--⌫|---|-----|------|
Esaueircome il lorprendreit	|-----|---|-|--|--------|
Dela gentquesore u sueneit.	-|-|---|--|--|-⌫-⌫|------|
Çodistrentli respo nsdeuin	--|-------|-|-----⌫-|----|
Guardefa it	-----|--⌫-|
il queparmatin	-|--|--|----|
Augestotdreit	----|--|----|
DelaGrezesche	-|-|--------|
compa ig nie.	-----⌫--⌫---|
S agesié s	-⌫---|---⌫|
sis dotrinera s.	--|---------⌫-|
Tissenslorauragrantmestier	--|---|--|---|----|------|
Nes enlaimi erepai ri e r	--|-|--|--⌫|-----⌫--⌫-⌫|
Deuantqu ilaie nt Troie pri se	-----|-|-|---⌫-|----|---⌫-|
Edel agent	|-|-⌫|---|
f aite ios tise.	-⌫---|---⌫----|
P ageu01P 309	-⌫-------⌫--|
En sil estuetaauenir	--⌫-||-----||-----|
Quarensim eui en t	---|---|-⌫|--⌫--⌫|
aplai sir.	|----⌫---|
Ent reC alcas e Achi llès	---⌫-|-⌫----||----⌫----|
Quineserentueu ̈oncmais	--|-||----|---⌫|--|---|
Sesont eltem ple	-|---|-|---⌫--|
entrencontré	------------|
P u is ontent reeusdoustant parlé	-⌫-⌫-|--|---⌫-|--|---|---|-----|
De lor se greizse d escourirent	-|--|--⌫----|-|-⌫----------|
Estrangeioiesentre firent .	-------|---||-----⌫------⌫|
Ach ille ̀sosei lenmena	---⌫----⌫-||--||-|---|
Asonostel le	|--|----|-|
Moutsepenadeluiserui r	---|-|---|-|--|-----⌫|
Etdefa iretot	-|-|--⌫--|--|
son plai sir.	--|----⌫---|
De porterfeie co mpaignie	-|-----|--||--⌫-------|
S ontotr e ie ́	-⌫--|---⌫-⌫--⌫|
parfei ple uie.	--|--|---⌫---|
T anto nta léeesplei ti é	-⌫--|-⌫-|-⌫--||------⌫--⌫-|
QuaA thenessont re pairié .	-||-⌫-----|---|--⌫-------⌫|
Achille ̀scontaasba rons	-------⌫-|----|-|--⌫---|
Ço q ue liotditli respo ns	--|-⌫-|-|-|--|-|-----⌫-|
Tote lora dite	---|--||---|
Pageu01P310	----------|
Lapramess e	-|-------⌫|
qu el orest	--⌫|-⌫-|--|
u itoire auro nt	-⌫-----|----⌫-|
ç osac hent bien	--⌫|---⌫---|---|
Iamaren doter o ntde rien .	-|--|-|-----⌫-⌫-|-|----⌫|
Onctel io iene fuoïe	--|--|--⌫-|-|-|---|
Comc ilo nt fait	--|-⌫-|-⌫-|---|
de la nau ie.	-|-|---⌫--|
Calcasloradit	-----|--||--|
Totenordre laueri té	--|-|----|-|----⌫--|
d eTroielenueoë nt	-⌫|----||-------⌫-|
c ui lor donspre sentoënt.	-⌫-|--|---|---⌫---------|
Eporo ïreporsaueir	|--|-⌫--||--|-----|
lordeïstueir	--|-----|---|
Comfaitementl or auendreit	--|--------|-⌫-|--------|
NeseT roie	-|-|-⌫---|
se defendreit	-|---------|
Nes ilseporreien ttenir	-||-|-|--------⌫|----|
uersuosqu ideuiëz	---|--|-||------|
Me i i eslurent etram ist rent	--⌫||-------||----⌫---⌫---|
Esormei la parolee nmis trent.	|--|--|-|-----|-⌫|---⌫-----|
uenuz ie steie	----||-⌫----|
e ndrei t e us	-⌫-----⌫|-⌫-|
Mo uten uolei ele	--⌫-|-|-----⌫|-|
Totmonpoëirfaitenaueie	--|--|-----|---|-|----|
De d en zle t emple aldeuestei e	--⌫-⌫--⌫|-|-⌫----|-|--|-----⌫|
Sorlautel oi	--||----|-|
lesdons p ose z	--|---|-⌫---⌫|
Pageu01P311	----------|
Quede Troie aueie aportez	--|-|----|----|------|
Faitliaueie sacrefis e	---|-|----|--------⌫|
Ala manieree alaguise	|-|------|||-|----|
Cuiiesoi qu	--|-|--|-|
il faiseita	-|------||
Neuosen quier lonc	-|--|-|----|---|
contef ai re	----|-⌫--⌫-|
Maisço medistlauoizdeuine	---|--|-|---|-|---|-----|
Qua Athenes so rlamarine	-||------|--⌫|-|-----|
u enis s eça a	-⌫----⌫-⌫|--||
Por d ir ee por amonester	--|-⌫--⌫||--|--------|
Quene de partisseiz iamais	--|-|--⌫---------|-|---|
Na sTr oïen sn eüs s ei z	|-⌫|--⌫-----⌫||----⌫-⌫--⌫|
DeuantqueTroiefus tfond ue	-----|--|----|---⌫|----⌫-|
Elagentocise euencu e.	|-|---|----||-----⌫-|
Com andéma qu	---⌫----|||-|
o uosremai g ne	|--|-----⌫-⌫-|
Porenseignier uostre	--|---------|-----|
compa igne	-----⌫---|
O uosm estuetaTroi ealer	|--||-----||----⌫|---|
Poru o strege nt a	--|-⌫-⌫---|--⌫-||
Ç oq u A pollo	--⌫|-⌫|-⌫----|
u ientaplaisir	-⌫---||------|
Me couient faire	-|------|----|
D ès queliplaist que	-⌫--|--|-|-----|--|
a ugeo uos	-⌫--||--|
Pageu0 1P312	------⌫----|
uueil fa ire refusos.	----|--⌫--|-------|
