o ezseignurs pur deuuuspri	-⌫-|-------|--|--|--|--|
uusp lar radelesculter	--|-⌫---⌫-|-||-------|
unsl arrunsotencel	--|-⌫-----|-|-|--|
abesseaueitas is	-----|----|--⌫-|
un sunmuste rbel	-|--|-----⌫|--|
pei n eepo e rmis	---⌫-⌫||--⌫-⌫|--|
de lab eieesbraser	-||--⌫--|-------|
le l iudes tr uire eabeiser	-|-⌫-|---⌫--⌫---||------|
m esniosen taprismer	-⌫-|||----⌫|-------|
pu rtuitlaueirdesque n	--⌫|---||----|----|-⌫|
m aisnemesmerueilde	-⌫--|-||--------|-|
si lesmalueisunt	-|--|------|--|
uerscelsquimeinentseinteui e	---|---|--|------|-----|--⌫|
quantdiableena dbaillie	----|-----|-|-⌫|------|
karsicumdeusestauoé	--|-|--|---|--|----|
ech efdebonspar	|--⌫-|-|---|--|
ueirli fel	---|-|--|
ilad enpoeste	-|-|-|-----|
au n iurauintis si	|-⌫|--|----|--⌫-|
kelilar ru nd untc un t	-|-|---⌫--⌫|-⌫--|-⌫--⌫|
d elu rpaissesuntparti	-⌫|--⌫|---|-|---|----|
purmesfairesicumioqui	--|-------|-|--|-|--|
tres tuteiuruntsier ré	----⌫---|--|--|-|--⌫--|
k eunkes home n u nten cuntré	-⌫|----|---||-⌫-|--⌫------|
f o rsu neueillequ il u nt robbé	-⌫-⌫-|-⌫-|-----|-|-|-⌫-|-----|
diuafuntilduntuenez	---|---|-|---|----|
duntest esnee euale z	---|---⌫-|--|||---⌫|
ele redutelur	--|-----|--|
maluei stez	------⌫---|
silurditmerciaiez	-|--|--|----|---|
ne esuidela c untree	--⌫|--|-|-|-⌫-----|
cha itiuepouremaluree	---⌫----|----|------|
dequ anqueoim aue z robbé	-|--⌫----|-||---⌫|-----|
plu s neno i dunt f uis seaid é	---⌫|--|-⌫|---|-⌫---⌫-|---⌫-|
ioal o i eacest mus ter	-|--⌫-⌫-⌫||---|---⌫--|
odl abbe sse cunseiller	-||----⌫--|---------|
mien busun gliuoil	---|-----⌫|-|---|
cu nseilr equereedeman der	--⌫----|-⌫-----||-----⌫--|
n i potnulhum	||--|--|--|
q uilnen ait asun plaisir	-⌫|-|--|--||--|------|
cunse ilcunf orta su n partir	-----⌫-|----⌫--||--⌫|-----|
tantest pl e ine delsei nt	---|--|--⌫-⌫--|--|---⌫-|
alezuus dunca l	---|--|---|||
oil faitele ne uusment	--|---|--|-|--|---|
labbesse est eleen uie	|------|--|--|-|--|
cu mentse porte	--⌫---|-|----|
cuments egu ie	-----|-⌫|--⌫-|
benseignurs	--|-------|
ladeumerci	-|--|----|
gardquimo rtsuffr i	---|--|--⌫-|-----⌫|
par lieimes	--|-|----|
edefe nduzegaran ti	|----⌫---||-----⌫-|
enuseimesdecestpais	|--|----|-|---|---|
ses bienuoillanzesesamis	--|-----------||--|---|
nus a uumparuoupra mis	--|-⌫--|--|--|---⌫--|
de ueerlamaist ropt ardis	-|---|-|---|-⌫--|-⌫----|
a uumest é p u rceo	-⌫--|---⌫-|-⌫-⌫|--|
ke p aramurguerdun	-|-⌫-|---|------|
lip o rtezunno stre dun	-|-⌫-⌫---|-|--⌫---|--|
karoreen tendre	--|--|--⌫-----|
ele mult ducement	--|---|-------|
orca du ncleserrement	-|-|--⌫-|-|--------|
certesfai telemult bonement	-----|---⌫|--|---|-------|
keio lefrai	-|-|-|---|
mu ltlealment	--⌫-|-------|
quantsa feie nad pleuie	----|-|--|-⌫|-|-----|
ueez cifuntil ladruerie	---|-|---|-|-|------|
k eporterezala beie	-⌫|-------|||-⌫---|
denostre partsa nzeschampie	-|-----|---|--⌫-|--------|
liunt mustree	-|--|------|
e puisalc ol liunt	|---|-|-⌫-|-|--|
tant parest de smesuree	---|--|--|--⌫-------|
pur poinestdelfes brisé	--|--||--|--|--|-----|
ma ispur lafeique uolt	--⌫-|--|-|--|--|---|
e lelaport e almuster	-⌫-|-|----⌫|-|-----|
l a u troiueladameester	-⌫||-----|-|---|----|
deuantsespiezlauaitiet e r	-----|--|---|-|---|---⌫-⌫|
dam efaitele n e	---⌫|---|--|-⌫|
saiquelg ent	--|---|-⌫--|
auus aueient	|--|------|
cestpresent	---|------|
m espurdeuomnip otent	-⌫-|--|--|-----⌫----|
naezuersmeinulmaltalen t	|--|---|--|--|--------⌫|
fissacezde gre	--|----|-|--|
bienleuusdien uerite	---|-|--|-|-|-----|
mais qu antiol oi	---|--⌫--|-||-|
nelpoielei ssersanzpech e	-||---|---⌫---|---|----⌫|
fille fai tel en aezpour	----|---⌫|--⌫||--|---|
k arnelfaistespar d eshonur	-⌫-|-||------|--|-⌫------|
iocrei bienparl aduc ur	-|---|---|--|-⌫|---⌫-|
de iesucrist	-|---|----|
li mien seig nur	-|---|----⌫--|
kee nc est	-|-⌫|-⌫--|
f aitnau rumdamage	-⌫--||--⌫--|-----|
mesliculuertdeput	--|-|------|-|--|
nusunt ic est ultr age	--|--|--⌫--|----⌫--|
ilauer unt c eocreih un tage	-|----⌫--|-⌫-|---|-⌫--⌫---|
mais ai nzque leeitbie nfinee	---|--⌫---|-⌫-|--|---⌫|----|
sa raisun neterminee	-|-----|-|-------|
enselgentil e n	-|--|-----|-⌫|
estchang ee	--|-----⌫-|
la pere dure quefud	-|---|---|--|--|
seignur spurdeuor ees gardez	-------⌫|--|--|--⌫|--⌫-----|
enuuscuragessiesmez	-|--|------|-|----|
cumele estdegra ntb untez	--|--|--|-|---⌫-|-⌫----|
ceste damedunt uusoez	----|---|---|--|--|
par qu imeritela durepere	--|--⌫|-----|-|---|---|
q ueli tramistrentlileche re	-⌫-|-|----------|-|-----⌫-|
la chait i uegent	-|-----⌫-⌫-|---|
sechangesientel	-|-----|-|-|--|
quecoquilfire ntp urui lte	--|-|-|-|----⌫-|-⌫-|--⌫--|
litraitredesmesuré	-|------|---------|
dampnedeuparsabunte	--------|--|-|----|
honur li adturné	----|-|-|-----|
quantlau ertufudacum pl ie	----|-|-⌫---|--|----⌫--⌫-|
ladamedeu dequorde prie	-|---|--|-|---|--⌫---|
neses tpur coenorguillie	-||--⌫|--|-|----------|
ennule rienne esbaldie	-|---|---|-|-------|
ainzua i tp ar tuit	---|--⌫-⌫|-⌫-|---|
amende ment	------⌫---|
enu ersdeueenue rsla	---⌫--|--||----⌫-|-|
quan que ueitelmun dpresent	----⌫--|---|-|---⌫|------|
ne pr iseplusquele uent	-|--⌫--|---|--|-|---|
aueirnepoet sun	----|-|---|--|
nep ouerte abeiser	-|-⌫-----|------|
lo seng enule atend rier	--⌫----⌫|---|-----⌫---|
nedur esce purri enqueiser	-|---⌫---|--|--⌫-|------|
karel eadsu n quor sifermee	--|--⌫|-|--⌫|---|-|-----|
amurde u eataché	---|--⌫||------|
kelap ouerteela pleinte	-|-|-⌫-----||-|------|
uelemen t acuilt a gre	-------⌫|-----||--|
icest miraclefin éau um	----|------|---⌫-|--⌫-|
unpetite t	-|------⌫|
nusrep osum	--|---⌫---|
qua ntuusplerra uusredi rum	---⌫-|--|-----|--|----⌫--|
unautregrantkarpre stlauum	-|----|----|--|---⌫-||---|
lenled it enreprouer	--|-|-⌫-|-|-------|
ke promettreerien doner	-|--------||---|----|
faitlefolrecun forter	---|-|--|-----⌫-----|
m aisiodeceonaimester	-⌫--|-|-|--||-|-----|
m apromesseuusuoil tenir	-⌫|-------|--|---|----|
puisa c eofail lir	---||-⌫-|----⌫--|
oreniadf ors	--|||-|-⌫--|
a uniurestauenu	|-|--|--|----|
laientendu	|-|------|
kelipastursunteissu	-|-|-----|---|----|
e s untuenu	|-⌫--|---|
orelurbe stes	--|--|--⌫---|
duntuntlacure	---|--|-|---|
desus un boisen	----|-|---|-|
l apastu re	-⌫|-----⌫-|
ul urachet u ne	|-⌫-|----|-⌫-|
dol enta desm esure	---⌫--||----⌫----|
cumles au ersi uuntpeisant	--|--|--⌫--||---|------|
e nu ne la nd e	-⌫|-⌫-|--⌫--⌫|
quem ultestgr ant	--|-⌫--|--|--⌫--|
leus lur uien i entpar deuant	---|--|----⌫-⌫--|--|-----|
kidel b oisiuenents aillant	-|--|-⌫--||-----|-⌫------|
les a uerssensuntfui	--|-⌫---||-|---|--|
e lipasturlieuentle	|-|-----|------|-|
at antlileu se n suntparti	--⌫--|-|--||-⌫|---|----|
odunueelquil untraui	-|-|---|-|-|--|---|
trestut uif leunt	------|--|-|--|
en lespeise de lbois	-||------|--⌫|---|
enu nplanetquilunt	-|-⌫|-----|-|-|--|
uif es einlunttuitleissé	--||-⌫--||--|---|------|
puisle u unta uironer	---|-|-⌫--|-⌫------|
ke ilne puis see sc h aper	-|-|-|----⌫-|-⌫--⌫-⌫---|
osentadeser	----|-----|
purnulerienneb lescer	--|---|---|-|-⌫-----|
lipasturqui	-|-----|--|
suntdolent	---|-----|
returné sun t ignelemen t	-------|---⌫|---------⌫|
alabbeiepriu eement	||-----|----⌫-----|
cu nte nt lu rdesturbem ent	--⌫---⌫-|--⌫|---------⌫--|
p osafaitele quec eodistfu	-⌫-||---|--|--|-⌫-|---|-|
quemalegardepaistle leu	--|---|----|----|-|--|
sibieni eusez entendu	-|---||----|------|
rienne eusez	---|-|----|
mesfizperdu	--|--|----|
mais nepeist	---|-|----|
del auentur e	-||-------⌫|
k ariosu i t resbiens e ure	-⌫-|-|--⌫|-⌫--|---|-⌫-⌫--|
que d emainenlapasture	--|-⌫----|-|-|------|
le ueeltrouerez	-|---|-------|
en bonecure	-|---|---|
li fell e udesmesurez	-|--|-⌫-⌫|---------|
neserruntiaciosez	-|------|-|-|---|
keliuealssei t a desez	-|-|----|---⌫|-⌫----|
demein l e	-----|-⌫|
fiz n aezp our	--||--|-⌫--|
deul adsu ff e rt purn ost reh on ur	--||-|--⌫--⌫-⌫-|--|-⌫---⌫-|-⌫--⌫-|
demainaliur	-----|-|--|
siltro uerez sa nz nul retur	-||---⌫----|--⌫-|--|----|
e illefu nt	|-|-|--⌫-|
tuit autresi	---|------|
ne l mett ent	-||----⌫--|
mi een ub li	--⌫|-|--⌫-|
eiuunt tuitesbai	||---|---|----|
i urfud escla ri	-⌫-|--|-----⌫-|
quantilelchampsu ntentré	----|-|-|----|--⌫-|-----|
u eals fudo sté	-⌫---|--|-⌫---|
sein e salf l unttruué	---||---||--|-----|
eles leuskilunt mené	|--|---|-||--|----|
liuealsr emaint	-|----|-⌫-----|
leslu s sen uunt	--|--⌫||-|---|
enl a forest	-|-⌫|-----|
dunt nurrisunt	---|----|---|
purpr a iermes	--|--⌫-⌫--|--|
n i uendrunt	||-------|
pastur grantio iefunt	-----|----|--⌫-|---|
lip astur quantuntue u	-|-⌫----|----|--|--⌫|
lamer ueille e la uertu	-|---⌫-----||-|----|
l aioieestgrantque unt e u	-⌫|---|--|----|--|--|-⌫|
egraces a deusenu ntrendu	|-----||---|-|-⌫-|----|
ilnedoten td esor em ie	-|-|-----⌫|-⌫-|--⌫|-⌫-|
queladam e ne seitgarnie	--|-|---⌫|-|---|-----|
de lespirde prophecie	-||----|-|--------|
duntla uei entsireplenie	---|-|---⌫--|-|-------|
allas queldolequeldamage	----|---|--||---|-----|
n adsei ncurage	|-|---⌫|-----|
quesiest deg rant parage	--|-|--|-|-⌫---|-----|
qua ntl ileuquisunt	---⌫-|-⌫|--|--|---|
dedeuuntcremeepour	-|--|--|----||---|
kialadamefunt ce sth onur	-||-|---|---|--⌫-|-⌫---|
purqueipurceoke	--|---|--|--|-|
aduersdeus un crea tu r	-|---|--|-⌫-|----⌫--⌫|
icest miracle nestpas petit	----|------||--|--|----|
tost d escrit	---|-⌫-----|
maisalaf i n chascu ndeprit	---||-|-⌫-⌫|------⌫|-----|
que ladameluiait	--|-|---|--|--|
aicel iurkelid ampne ́	|---|--|-|-|-⌫-----⌫|
denf erserru ntie té	|---⌫-|-----⌫-|--⌫--|
purlurmai sfaite lurpeche	--|--|---⌫----||--|----|
unt faitenz en l ur	--|---|--|-|-⌫-|
ilot desus celeabeie	-|-|----|---|----|
quela dame otenbaillie	--|-|---|-|-|------|
unefemm edesei n te uie	--|----⌫|-|---⌫-⌫-|--|
mais t antparf ud	---|-⌫--|--|-⌫-|
que riennotdunt fust	--|---||-|---|---|
entel p ouertefud chaue	-|--|-⌫-----|--|----|
maisla da mequant	---|-|--⌫-|----|
sa pouertel adsuccu rrue	-|------||-|-----⌫---|
enuia n de eenu es ture	-|---⌫-⌫-||-|-⌫--⌫---|
asezlitro ueamesure	---|-|---⌫-||-----|
aune meschineduntfudseure	|--|-------|---|--|----|
adla da meliu ré	-|-|--⌫-|---⌫--|
nesef aitd erienpreier	-|-|-⌫--|-⌫|---|-----|
ladammeiseledecel meste r	-|---------|-|--|-----⌫|
ch ascuniur liuaitporter	--⌫----|--|-|---|-----|
aureasise asunmanger	|--|----||--|-----|
iur est espiee	--|--|-----|
uiandequea d po rt ee	-----|--|-⌫|--⌫--⌫-|
cel esendol t s i	---⌫||-|---⌫|-⌫|
des larruns	--|------|
quilunt robbee	--||--|-----|
dreitarier e al abeie	----|-----⌫|||----|
ealadamele	||-|---|-|
fait nunciee	---|------|
la dameli ditmabeleamie	-|---|-|--|-|---|---|
iluntfaitgran tbriconie	-|--|---|----⌫|-------|
illauiand ene i oirunt	-|-|-----⌫|-|-⌫-----|
karunemien	--|--|--||
e n t astirunt	-⌫|-⌫-------|
iu rl apo rter unt	--⌫|-⌫|--⌫----⌫--|
caareire e re storrunt	-|-----||--⌫-------|
ne tu rienn i perd iras	-|-|---|||----⌫---|
della burqueeu a s	--|--⌫--|--|-|-⌫|
kar bo ngre dedeua u er as	--|--⌫|--|-|--|-⌫-⌫--⌫-|
purceofillen edut e zpas	--|--|----|-⌫|---⌫-⌫|--|
ue ezmerueillede	--⌫-|--------|-|
dous chaiti fs	---|------⌫-|
dunt auan tmemorie	---|----⌫|------|
si entrepr is	-|-------⌫-|
conoise ntle	-------⌫-|-|
mult grantpei nel urest	---|----|---⌫-|-⌫-|--|
pechekilesargue	----|-|--|----|
depourlurchartresue	-|---|--|---|-----|
e l aculurdel uruismue	|-⌫|----|-|-⌫-|--|--|
suzcielneseuentqueu parttur ner	--|---|-|-----|---|---|---⌫--|
quelcunseiltrairene ualer	---|------|-----|-||---|
lanenosentarester	-|--|----|------|
t antp arcrementlencu mbrer	-⌫--|-⌫-|------||----⌫----|
q uepri s n e seenteretenu	-⌫-|---⌫|-⌫|----||-----|
arsenpudre u pendu	--|-|----||----|
ka r ilu ntbienentendu	--⌫|-|-⌫-|---|------|
siil s untaparceu	-|-|-⌫--|------|
que rien nes	--|---||-|
pot de mort	--|-|---|
nesal uernegaranti r	-|---⌫--|-|-------⌫|
es tutado l m urrir	--⌫--||--⌫|-⌫----|
purceo sepeinentd efoi r	--|--|-|------|-⌫|---⌫|
ore uunt arei ree	--|---|----⌫-||
e lepais enu ironant	|-|---|---⌫------|
lesmun zdeual en te	--|---⌫|-----⌫--⌫||
lu rtraua ilenu ein	--⌫|-----⌫-|-|-⌫--|
guas tan t	----⌫---⌫|
treisiursplenersuntsie r ré	----|---|------|--|-|-⌫-⌫--|
eles desersenuironé	|--|-----|--------|
pardiableques	--|-----|-|-|
q u esaueit enpoes t e	-⌫|-|----|-|----⌫-⌫|
quantl iquart iur esteituenu z	----|-⌫|----|--|-----|----⌫|
biense suntaparc euz	---|-|---|-----⌫--|
qu il suntmorz ecunfun duz	-|-|---|---||------⌫--|
sedeun enpenst par sesue rtuz	-|--||-|----|--|--|--⌫---|
ore seuentbienquelur pe chez	--|-----|---|--|--|--⌫---|
les u ntmort eencumbrez	--|-⌫-|---||--------|
silisire dema geste z	-|-|---|-|--⌫-----⌫|
pitenenad parsesbun tez	---||-|-|--|--|---⌫--|
iledeuami e	-||--|---⌫|
gr acereplenie	--⌫--|-------|
beisezuersn usuos tr e oie	-----|---|-⌫-|---⌫--⌫|--|
encest busungqu enus	-|---|-----|--⌫|--|
m odew enne ladeu ancele	-⌫----⌫---|-|--|-----|
quetant pa r ies	--|---|--⌫|--|
eboneebele	|---||---|
est lanouele	--|-|-----|
q ue nusoumsin usrapele	-⌫-|--|--|-|-⌫-|-----|
l umerekeauumperdu	-⌫----|-|---|----|
par diab lequicunfundu	--|----⌫-|--|-------|
q ueo rto lu	-⌫---⌫|--⌫-|
pur le s pechezu	--|--⌫|-----||
p uissumanusuenir	-⌫-----||--|----|
nosmals conuistreeespen ir	--|---|--------||-----⌫-|
ainzqu il uienge acel	-----|-|-----||--|
estoetlescorsguer pir	-----|--|---|----⌫--|
ain zqu ilai en tbien f i ni e	---⌫--|-|--⌫--⌫|---|-⌫-⌫--⌫|
lur ureisun	--|------|
ne acumplie	-|-------|
luresc l ari e	--|---⌫-⌫---⌫|
u e ientlabeie	-⌫-⌫---||----|
laio ieestgra n t q uilunt	-|--⌫-|--|---⌫-⌫|-⌫|-|--|
e dampn e d eumercié	|-----⌫-⌫-⌫-|------|
kisile sad	-|-|--⌫|-|
enl uminé	---⌫-----|
parsa ducur esabunte	--|-|----||-|----|
dec estedamed un tuus oez	-|-⌫---|---|-⌫--⌫|--|--|
en qui seruisesesu ntuoez	-|--|------|-|--⌫-|---|
pu issanzde mu re	--⌫-|---|--⌫--⌫-|
a labeieu suntmenez	||----||---|----|
lauian deu n tpor té	-|----⌫-|-⌫-⌫|---⌫--|
ouocel sque fud robb é	---|--⌫|--|--|----⌫-|
uncparelsne	--|--|--|-|
neblesmeeneadesee	-|------|-|-----|
quant deuan tl isuntuenuz	----|-----⌫|-⌫|---|----|
aterecheent es tenduz	|---|-----|--⌫-----|
d epours untsie sperduz	-⌫|---|-⌫--|-|-⌫------|
kegra ntpose setenentmuz	-|---⌫-|---|-|-----|--|
les dolursquil u ntmenee s	--|-----|-|-|-⌫-|-----⌫|
mul tpar suntdesmesurés	---⌫|--|---|----------|
lurpeit rinessuntmuillés	--|----⌫----|---|-------|
de slermesduntsuntaru sees	--⌫|-----|---|---|---⌫---|
mesfizfaiteleemesseig nurs	--|--|---|--||--|----⌫---|
lessez o reuosgranzplurs	-----|-⌫-|--|----|----|
l a chaisunditesde uosdolurs	|-⌫------|----|-|--|-----|
dun tdeu uus doinst hatifssucurs	---⌫|--|--|-----|-----|-----|
damef untilpituse men t	---|-⌫--|-|------⌫---⌫|
delciel uers nusentent	--|---|---|--|-----|
ue squiauummult	--⌫---|---|---|
m ale ment	-⌫---⌫---|
de nos treenfance desqu enprese n t	-|---⌫--|------|----|-|-----⌫-⌫|
purceopriumpurdampn ede	--|--|----|--|-----⌫--|
ke nus paruusseium	-|--|--|--|----|
de l ado lure	-|-⌫|--⌫--||
del pec he	--|---⌫-|
unusauumi t antesté	|--|---|-⌫-⌫--|----|
purdeudam e aiez merci	--|--|---⌫|---|----|
ke nu s neseium aliur peri	-|--⌫|-|----|-|--|---|
q uant bienemal serrameri	-⌫---|---||--|----|---|
acels qui auruntdeserui	|---|--|-----|------|
c eo se rraa icel iur	-⌫-|--⌫--||---|--|
quantar derun tl i pecheur	----|--⌫-----⌫|-⌫|------|
d enfer enlap uur	|----|-|-|-⌫--|
duntnauer untiames	---||----⌫--|----|
karn usau umnostreuie	--|-⌫-|--⌫-|-----|--|
tute guas tee	---|----⌫--|
enmalueiste en l ech erie	-|--------|-|-⌫---⌫---|
enlarecinenro b erie	-|------|-|--⌫-⌫---|
purc eomadame	--|-⌫-|-|---|
nu sp r eum	--⌫|-⌫-⌫--|
ke nusparuusaiumpardun	-|--|--|--|---|-----|
de pech e zkef ait	-|----⌫-⌫|-|-⌫--|
kar nusdeso rem esnicharru m	--|--|----⌫---⌫-|||------⌫|
q uanteleles ot is ci	-⌫---|--|--|-|--⌫-|
sisfe t leuer	-||--⌫|----|
de samein les	-|-|---|--|
uait sei gner	---|---⌫---|
e puis les p renta cunsieller	|---|--|-⌫---||---------|
siuusdemals uusrepentez	-|--|-|---|--|-------|
cunfes siunsien receiuez	------⌫---|-|-|-------|
epuis d emal uusatenez	|---|-⌫|--|--|-----|
karesgardezlefol delit	--|-------|-|--|----|
de cies tsiec l ecum estpetit	-|----⌫|----⌫-⌫|--|--|----|
orec umenceeore defit	--|-⌫-----||--|----|
creist decreistsan z	-----|-------|---⌫|
nulr espit	--|-⌫----|
cumboide f einasol le ié	--|--|-|-⌫--|----⌫--⌫--|
quiestespr isealiume ́	--|--|----⌫-||------⌫|
dunt la c ha lure la c lart e	---|-|-⌫--⌫--||-|-⌫----⌫|
enuneuretteest	-|--|-----|--|
t respacé	-⌫-------|
isciuai tde	---|---⌫|-|
fiezpurc eomie	---|--|-⌫-|--|
kars iesc hetqueplus s efie	--|-⌫|---⌫--|--|---|-⌫|--|
e plustostchet parsa folie	|---|---|---|--|-|----|
pu rceosei gnurspur deu uuspri	--⌫|--|---⌫----|--|--|--|--|
d eua ntlamort seezga rni	-⌫---⌫-|-|---|---|--⌫--|
nedonezliu	-|----|--|
encestbreftens qu	-|---|---|---|-|
quantenla feiles ot f ermez	----|-|-|--|--|-|-⌫----|
p artels ermuncun uusoez	-⌫-|--|-⌫----|--|--|--|
damefuntilmercize grez	---|---|-|-----||---|
karpar deu e uosbuntez	--|--|--||--|-----|
e imesen finde mortieté	-⌫---|-|--|-|---|----|
ulidiablesnus tint	|-|------|--|---|
qui nusaueitenpoeste	--|--|----|-|-----|
su spris demal eencumbré	--⌫----|-|--||--------|
puspern e nt cu ng edelpa rtir	--|----⌫-⌫-|--⌫--⌫|--|--⌫---|
mangerebi en s eruir	-----||--⌫-|-⌫----|
atale nt eaple isir	|----⌫-|||---⌫---|
dous mespl enersunte u	---|--|--⌫----|--|-⌫|
acelm a ngerduntsuntpeu	|--|-⌫-⌫---|---|---|--|
delunestli corssustenu	-||-|--|-|---|------|
delautread	-||----|-|
lalme sa uertu	|---|-|----|
le corsdemande sulum	-|---|------|----|
pa in euinmesamesu re	--⌫-||--|--||----⌫-|
mesalalme estlapousture	--|||---|--|-|-------|
parolede d euen teire	-----|-|-⌫-|--⌫----|
sicum lacha r rienadduree	-|--|-|---⌫|---|-|----|
quant l auiandeliestueé	----|-⌫|-----|-|--|---|
a usie stl almeen seiblescee	-⌫--|-⌫-||---|-|--|------|
quantlaparoleli estc elee	----|-|-----|-|--|-⌫---|
ilrep aire ntenlur pais	-|---⌫----⌫-|-|--|---|
quantiluntlecunge	----|-|--|-|----|
de cosesuntm ul tentremis	-|-|-|---|-⌫--⌫|-------|
des biensprecherq ui luntapris	--|----|------|-⌫|-⌫|--|----|
si deit agrela	-|---||--|-|
gentseruir	---|-----|
maeneue ie lestuttenir	----|--⌫-||----|----|
n edie purpleisir	-⌫|--|--|------|
ne trop petitpur	-|---|----|--|
deplei sir	------⌫--|
pu r couus	--⌫|-|--|
uoilissicunter	---|---|-----|
i cestees toir eque lungparler	-⌫----|--⌫----⌫|--|---|-----|
peuseennue r	----|-----⌫|
ne labreftederiengreuer	-|-|-----|-|---|-----|
ladame est i amultalosee	-|---|--|-⌫|---|-----|
creue e m untee	----||-⌫----|
nemie sulen	-|--|--|-|
l acunt ree	-⌫|----⌫--|
uf ud nurrie e e ngen dree	|-⌫-|-----||-⌫----⌫---|
lafameestissi	-|---|--|---|
qu enen gletere	-|-|--⌫------|
esteituenue	-----|----|
partu it s eue	--|--⌫-|-⌫--|
gwale s espa ndue	-----⌫|----⌫---|
la nou elei ssi s epant	-|---⌫--|-⌫--||----|
queliriche r ei poant	--|-|----|-⌫-|----|
p ruzeleuaillan t	-⌫--||-|-------⌫|
quebritaigne tin tlagrant	--|--------|---⌫|-|----|
quil la dtrei	-|-||-⌫|---|
parun mesquelu i	--|-|--|--|--⌫|
cistreisesteitd ebone uie	---|---|-----|-⌫|---|--|
escritq uenementmie	-----|-⌫-|-|---|--|
cistreidunta ii ci tuché	---|--|---|-⌫|-⌫-|-----|
un f iz aueit degran tbunt e	-|-⌫-|----|-|----⌫|----⌫|
quant e nbaptesme fudleué	----|-⌫|-------|--|----|
auureesteit sisnun s n ume ́	----|-----|--|---⌫|-⌫---⌫|
multest eitdeseons amez	---|---⌫--|-|----|---|
multch e rizehonurez	---|--⌫-⌫--||------|
pa rles u e rtu zeles	--⌫|--|-⌫-⌫---⌫||--|
duntdeulaueitenluminez	---|--||----|--------|
quisaual uruoldra sau er	--|-|---⌫-|-----|---⌫-|
e ses buntezsialt chercher	|--|-----|-|--|-------|
les granze sto iresu pottrouer	--|----|-⌫---⌫---||--|-----|
sunsendes crite	--|--|---⌫---||
leperead io i edel engend rure	-|---|-|--⌫-⌫|-||------⌫---|
e li puplemultsaseure	|-|----|---||-----|
karensemblant n en port ure	--|-|-------||-|----⌫--|
ne ueientnuledesmesure	-|-----|---|--------|
mai slurhait e	---⌫|--|---||
lurbaldurs	--|------|
lurchangetost	--|-----|---|
e n grantd olurs	-⌫|----|-⌫----|
karilc heten tellangur s	--|-|-⌫--|-|--|------⌫|
dunt ilnepot aue r sucu rs	---|-|-|--|---⌫|----⌫-|
entellangurestiakeu	-|--|-----|--|-|--|
laforcee la uertu	-|----||-|----|
lepere en adtel doleu	-|---|-|-|--|--|-|
pu rpo inen es tde lsenissu	--⌫|--⌫||-|--⌫|--⌫|--|---|
sunma lagreg e e	--|--⌫|-----⌫||
quelifa it	--|-|--⌫-|
lachardefire	-|---|-----|
s agrantdolur nesam artir e	-⌫|----|----|-|-|-⌫-----⌫|
ne pot nuls hu m	-|--|---|--⌫|
purriende sc rire	--|---|--⌫--⌫---|
mires fai t	----|---⌫|
asezmande r	---|-----⌫|
edel soen l urf ait doner	|--|---|-⌫-|-⌫--|----|
mes nelpotnulcunseiller	--|-||--|--|---------|
d ecelmalnerienaider	-⌫|--|--|-|---|----|
li cunte suntpur	-|----|---|--|
lui dolen t	--|-----⌫|
e l i bar un	|-⌫|---⌫-|
tuit ens e ment	---|---⌫-⌫---|
c lerc cheualer	-⌫---|-------|
communeme nt	---------⌫-|
lepleignent	-|--------|
tu i tp itusement	--⌫-⌫|-⌫--------|
ca rperdre qu identlurgarant	--⌫|-----|--⌫----|--|-----|
u ils aloentmult	|-||-----|---|
lurespe irlur uetc heant	--|----⌫-|--|--|-⌫----|
p urc oseuu nt il tantpleignant	-⌫-|-⌫|-|--⌫-|-|---|--------|
enluinatend e ntforl amort	-|--||-----⌫-⌫-|--|-⌫|---|
p u r con epoentaueircunfort	-⌫-⌫|-|-⌫|----|----|------|
ah ideutantdur esort	--⌫|--|---|---⌫|---|
si ilperdentiteldeport	-|-|------|---|-----|
maiscilq ui a de	---|--|-⌫-|-⌫||
enpoe steeenb ailli e	-|---⌫--||-|-⌫-----⌫|
illidonalamalad i e	-|-|---|-|-----⌫-⌫|
purmo strerlaseignurie	--|--⌫----|-|--------|
mor t ainz ot ria	---⌫|---|--⌫--|
alazarunquiltantama	|------|-|-|---|--|
duntil puis lerele ua	---|-|---|-|----⌫-|
al sepulcr edunt	-|-------⌫|---|
quant quatre iorsiotie u	----|-----|---||-|--⌫|
il le releiuep ar	-|-|------|-⌫-|
g rantuertu	-⌫---|----|
il uolt qu ilfust eim u	-|---|-|-|---|---⌫|
epurdeudetu izte nu	|--|--|-|--⌫-|--⌫-|
purc ouoltil cosuffrir	--|-⌫|---|-|-|------|
auuredetantlanguir	----|-|---|------|
pur coquil	--|-|-|-|
s euoltgar ir	-⌫|---|---⌫-|
uertucumpoezoir	----|--|---|--|
cels quierentde lreipri ué	---|--|----|--⌫|--|---⌫--|
haltde sun barne	---|-|--|----|
a u niursunta lientre ́	|-⌫|--|---||-|-----⌫|
silun t requis	-||--⌫|-----|
ecun seillé	|---⌫------|
sirefuntilkaren ueez	---|---|-|--|--⌫---|
uostrefizqueuus perdez	-----|--|--|--|-----|
modew enne dequibuntez	-----⌫---|-|--|-----|
ket ant e st	-|-⌫--|-⌫-|
debienga rni e	-|---|--⌫---⌫|
