cicomenceli	-|------|-|
cilquidaqueioseph	--|----|--|-----|
nel epeust oir	-|-⌫|----|--|
tre s tuitplorentet crientque	---⌫-⌫---|------|-|-----|--|
il quidentmorir	-|------|----|
qantde cel iugement lesuirent	---|-|--|-------|--|-----|
si gnor cedistiosepzzpetitmen t end ez	--⌫---|-|---|----|-|----||--⌫-⌫---⌫-|
ainzque uo sle siugiezuoilqueuosmescoutez	------|--⌫|--⌫|-----|---|--|--||-------|
unepar oledistrentn esai sestu eritez	--|---⌫--|-------|-⌫|--||--|-⌫-----|
iasoi tcequeil	-|---⌫|-|--|-|
soienttrestuitlarron pro ué	-----|-------|-----|---⌫--|
il monticia ntr axetdit	-||--|--|-⌫--|-|-|--|
et raconté	-|-------|
queilsontyy frere ni est	--|-|---|-|----|||--|
paslimainznez	--|-|-------|
e sprou eraiu oi l quilsoit	-⌫-----⌫---|-⌫--⌫|-|-|---|
etqant ilie rt uenuzeta moi	-|---|-|--⌫-|----|-||--|
pres entez	----⌫----|
senferaimonplaisi rostagese m prenez	|-|----|--|------⌫|------|-⌫|-----|
ostagespenraiieetsi lecho isirai	------|-----|-|-|-|-|---⌫-----|
comenta cis tanon	-----||---⌫||--|
r ube nselret end rai	-⌫---⌫|-||---⌫---⌫--|
dess ique azztermequ e ieuos n omerai	----⌫---||-|----|--⌫|-|--|-⌫-----|
yy iorzrubanitant	-|---|----|----|
tegarde rai	-|-----⌫--|
sautermeneuenezsa chi ezge	|-|----|-|----|--⌫---⌫-|-|
l panderai	|-------|
lemeffaitquilon t f ait tresto u tlorpardonrai	-|------|-|-|--⌫|-⌫--|------⌫-⌫|--|--------|
a m enez u o st r efrerepari tantuos c roira i	-⌫-⌫---|-⌫-⌫--⌫-⌫|----|--|-⌫---|--|-⌫-----⌫|
desliiezlestrestozs e slai ssiezc onsillier	-------|--|------||-⌫|---⌫----|-⌫--------|
tr esbienles	--⌫-|---|--|
g arderainiaura	-⌫------|||---|
nul dongier	--|------|
ni aura ia sof fraite	||---|-|---⌫-----|
de bo iureetd e	-|--⌫---|-|-⌫|
cil ontdituolentier s or pansezdo u	--|--|--|---------⌫|-|-----|--⌫|
a nost re t ermemissepo ez repairie r	|----⌫-|-⌫---|--|-|--⌫-|--------⌫|
ame nezmo i celui queme	---⌫--|--⌫|----|--|-|
nonmastes ier	--------|--|
gardezqueuostre	-----|--|-----|
n u ldestorbier	-⌫-⌫|---------|
biau s ir e	---|-⌫--⌫|
sene s chau slecongiedemandom	----⌫-⌫----⌫|-|-----|-------|
parfoic edist io sephetnosl eu os	--|--|-⌫|---|--⌫---|-|--|-⌫|-⌫-|
gardezque destorbierdeuozge nz n en	-----|--|---------|-|--|--⌫-||-|
autermeqauezmis certestuit	-|----||---|--|-----|---|
etnos tre p et i t frereseuisest	-|---⌫--|-⌫--⌫-⌫|----|-|--|--|
do ntr espondiiosephn iait nuleoquison	--⌫-|-⌫------|-----|||--|---|------|
pa rfitem entc reezn e uo s	--⌫------⌫--|-⌫---|-⌫|--⌫|
en mentirom	-|-------|
q uesene lamenezquenos	-⌫-|-|-||-----|--|--|
cestuipandr om	-----|-----⌫-|
c ilont leue ́lorsig leelrepaireso nt	-⌫-|--|----⌫|--|---⌫-|-|------||-⌫-|
adroitportsont uenuquediexlorf u	|----|---|---|---|--|---|--|-⌫|
tuit baiserentl epereet o ntle	---|--------|-⌫|---|-|-⌫-|-|
bleforsmis	--|---|--|
parfoicedi st iacobie nai pas t o z	--|--|-|--⌫-|----|-||-|--|-⌫-⌫|
d ont responentli	-⌫--|--------|-|
frer eremeises te lpais	----⌫|-----|--⌫|-⌫|---|
h a lasdol anzporqoiquenos	-⌫|--|---⌫--|--|--|--|--|
fumes tuitpris	----|---|---|
s ire mestenostagese ra	||--⌫---|-|-----|--⌫-|
rub enocis	---⌫-|---|
qui ledeliuerra	--|-|--------|
uos t re fizbenia mins	---⌫-⌫-|--|-----⌫---|
c ome ntiert	-⌫---⌫-|---|
beniamins enlaterre mene z	--------|-|-|----|----⌫|
autr ement iertrubenocis	----⌫----|---|----|---|
qu e c hieraue z	--⌫|-⌫---|---⌫|
a uosilter me mis	|--|-|---⌫-|--|
queuo srep a irere z	--|--⌫|---⌫-⌫-----⌫|
oilyyiorziequit	--|-|---|-|---|
t ropdemorez	-⌫--|------|
par foiiee nmorra ise uos ne	--|--|-|-⌫|-----⌫|-|--|-|
lmere ndez	|-|--⌫---|
prenezt ostbeniaminala	-----|-⌫--|-------||-|
neflemenez	--|-|----|
diez uos doint	---|--|----|
bienalerpar l essoiespitez	---|---|--|-⌫-|----|----|
querubensoit deliure squi	--|----|---|-------⌫|--|
poruosest remeis	--|--|--|-----|
u oirsdiexomnipo t ensquifeis	-⌫---|---|------⌫-⌫--|--|---|
qanteus f ait adanladeda nsle meis	---|--|-⌫--|---|-|----⌫-|-|---|
osa moi llierla	|-|---⌫----|-|
belequedesoncors	---|--|-|--|---|
etpa rto ifuno eisd ou deluge	-|--⌫|--⌫|-|--⌫--|-⌫-|-----|
tutemtasabreham me s	-|-----|------|--⌫|
pe resfuses	--⌫--|-|--|
tuli rouas o cirreqant	-|-|----|-⌫----|---|
tulitremeis	-|-|------|
tonan glede las suzainzq u	--|--⌫--|-|---⌫--|-----⌫|
i l leustoc is	-⌫||---|--⌫-|
et desmain sesaufuiiep artoip arti z	-|--|----⌫|---|--|-|-⌫-|--|-⌫----⌫|
ie uo sdepribiaus ir erendezmoimesa mis	-|--⌫|----|---|-⌫--⌫|-----|--|--|-⌫--|
merci deioseph monbi aus fiz	----|-|-----|--|--⌫--|--|
li yy fildant iac obne s isontdemoré	-|-|--|---|---⌫-|-|||---|------|
antré sont enlornef sont	-----|---|-|--|--||--|
l or uoi leleué	-⌫-|---⌫-|----|
a port so nta rri ué	|---|--⌫-|-⌫---⌫--|
etsontuenuat err ele termeo nt	-|---|---||-⌫---⌫|-|----|-⌫-|
biengardé	---|-----|
ta nt ont leseneschaletqui set demende ́	--⌫-|--|-|--------|-|---⌫|-|-------⌫|
quilo ntluiet	-|-|-⌫-|--|-|
ruben enzzgreniertroué	----|-|-|------|-----|
pais a nzauoi t faitl iurer b le	----⌫-⌫-|----⌫|---|-⌫----|-⌫-|
si se suntabaissié puisli	-|-|---|--------|---|-|
onta ncliné	--|-⌫------|
iosep h qantu itses	-----⌫|---|-⌫-|--|
freres grantioiedemena	-----|----|---|-----|
et lor fr eres rubendamerdeu merc ia	-|--|--⌫---|----|-------|----⌫-|
iosep huit benia m inent r	-----⌫|--|-----⌫-⌫-|---⌫|
axleregarda	-|-|------|
sitostcomill e uit	-|---|--|-|-⌫|--|
t oz l isenslimua	-⌫-|-⌫|---|-|--|
biensoutques ertsesfreres	---|---|--||--|--|-----|
qantlachar sli	---|-|----⌫|-|
entr esesbr az	----⌫|--|--⌫-|
lepris tmolttendreme nt plo ra	-|----⌫|---|--------⌫-|---⌫-|
assistledelezlui	-----|-|----|--|
etyyfoi z leb esa	-|-|---⌫|-|-⌫--|
qantlot as sez bai siésonnonlid emanda	---||-|--⌫--|---⌫---|--|--|-|-⌫-----|
biausire beniaminis sima pele lon	---|---|-------|--⌫-||-⌫---|--|
ui tdonques	--⌫|------|
nostreperes ne sais	-----|----|-|--||
es t u os t re	--⌫|-⌫--⌫-⌫-|
maisbiensai	---|---|--|
quele mienlaiss ai	--|-|---|-----⌫-|
uos n e nosconnoissiez commentuosc onnoistrion	--|-⌫|--|----------|------|--|-⌫----------|
sisomesnoscom m enttres bienle	-|----|--|---⌫-⌫--|---|---|-|
cistau tr emeuendi rentp orpoure raancon	---|--⌫--⌫|-|-----⌫---|-⌫-|----|------|
i cistyym euendirenta poune fuituez	-⌫---|-|-⌫|--------||--|-|--|---|
nefu ssentm archeanti anen	-|--⌫----|-⌫-------|-⌫||-|
fus seeschape z	---⌫-|-------⌫|
anon iose phforszzs eulsuipuisnez	|--|----⌫-|---|-|-⌫--|--|------|
lisonges que s oniai	-|-----|--|-⌫----|
lorest bien auerez	--|--|---|-----|
q antloirentlifrere	-⌫--||-----|-|----|
sontpasmez	---|-----|
dontquiderent tuitestrepandu et afol ez	---|--------|---|----|----|-|----⌫-|
maisiosephles atoz ensambler eleuez	---|-----|--||--|-------|-⌫-----|
plorant lo rdistmifrere neuosdes co nfo rtez	------|--⌫|---|-|----|-|--|---⌫--⌫---⌫---|
lipechie z quef eistesuos	-|------⌫|--|-⌫-----|--|
soittoz pardonez	---|--|-------|
pardon ezmoimi frere	------⌫-|--|-|----|
icequeuo saifait	--|--|--⌫|-|---|
qan tieuosfis loi erce rte s	---⌫|-|--|--|---⌫-|--⌫---⌫|
moltf isgran t lait	---|-⌫-|----⌫|---|
etmislor enuoz	-|--||-|-|--|
sasueniruos fis apl ait	--|----|--|--||--⌫--|
pardonez lemoi fr erequenulco rro z	-------|-|--|--⌫--|--|--|--⌫---⌫|
ieu oilauoir m o n	-|-⌫--|----|-⌫-⌫|
p erece sachi ezantresait	-⌫--|-|-----⌫-|--------|
amplissiezbienuo	---------|---|-|
uoilqu e tostsoitfet	---|--⌫|---|---|--|
oru osapa rill iezmet e zuosel repaire	-|-⌫-|---⌫----⌫--|---⌫-⌫|--|-|------|
bi en se rez conra écom anfan tde bonnaire	--⌫-|--⌫--|-----⌫-|--|-----⌫|--⌫-------|
ampl issiezbien uon e fet m	----⌫-----|---|-|-⌫-⌫|-||
amenez monpair e	-----|--|----⌫|
ditesqueie su i	----|--|-|--⌫|
uis uaingneamoisa nzretraire	--|------||--|--⌫-|-------|
anzsi fer agrantcontraire	--|-|---⌫|----|--------|
sireuostre	---|-----|
mess ag edeuonmes	----⌫--⌫|-------|
nosbienfair e	--|---|----⌫|
sit ostcomnosporronsnos metrons	-|-⌫--|--|--|------|--|------|
au repai re	-|-----⌫-|
sireauostrecongienosnosapresterom	---||-----|-----|--|--|---------|
nosuos auons	--|--|----|
mef fai t e tm erci uos	---⌫---⌫|-⌫|-⌫---|--|
diexq uefustnosle	---|-⌫-|---|--|-|
uos pardonnom	--|--------|
sire puisqestesuisno	---|----|----|--|-|
p ereledirom	-⌫--|-|----|
grantdu el aucuernos	----|--⌫-|-|---|--|
l e sleecerom	|-⌫--------|
qa nt nosdeuostreuienouelesli diron	--⌫-|--|-|-----|--|------|-|----|
demorra gairesqueauoslamenr om	------|-----|--||--||-----⌫-|
o uosmenezruben	|--|----|----|
be niaminretenro m	--⌫-----|-------⌫|
de bonspailes daufrique	-|---|-----||-------|
sesfreresconre a	--|-----|-----⌫|
etles n ei sa ampliesgrantauoirlor dona	-|--|-⌫--⌫||------|----|----|--|---|
enlor nef lesamis adeule scommanda	-|--|--|--||--||--|--⌫|-------|
qantuintau departirm olttendrement	---|---|-|-------|-⌫--|---------|
tantasissor la riuecom	---||--|--|-|---|--|
illesauisa	-|--|----|
qa nt pl usnes	--⌫-|--⌫-||-|
pot ueoir arr ierere torna	--|----|---⌫---|--⌫----|
son frerebeniamin	--|----|-------|
par lamainen	--|-|---|-|
r obe lifisttailli e rde bonpaile qu ila	-⌫--|-|---|------⌫-⌫|-|--|----|-|-||
m olt bi enap arilliéanneldorlidonna	-⌫--|--⌫-|--⌫-------|----||-|-|----|
cil quisunten	--|--|---|-|
lane fnetarderentnoient	-|--⌫|-|--------|-----|
loruoile sont le uezsiontc oruauuent	--|-----⌫|--|--⌫--|-|--|-⌫--|-|---|
uestude paile smoltontor et argent	----|-|-----⌫|---|--|-|-|-----|
quequila ienttroué iln ensontpas	----|-|-⌫---|-----|-||-|---|--|
moltsontlie	---|---|--|
delorfreremo lt siglentli emen t	-|--|----|--⌫-|------|--⌫----⌫|
moltenmercientdeut r estuitcommun ement	---|-|-------|--|-⌫-⌫-----|------⌫----|
des pai nn es des tra ua usq onteuem	--|---⌫--⌫-|--|---⌫--⌫-||--|-|-|
uenuso nt adroit port moltoneu	---|--⌫-||----|---|---|-|-|
neson tpasis sufo rsco mpoure	-|---⌫|--|--⌫-|--⌫-|--⌫|----|
s ontissu comricheso ldoier	-⌫--|---|--|----|--⌫-----|
bie ns ontaparilliéet	---⌫|-⌫--|---------|-|
l i pere esto it pesanzn	-⌫|---|----⌫-|-----||
e sto itmielegi ers	-⌫---⌫-|--|----⌫--|
nedem oracumpo uuintlizz messagiers	-|---⌫--||-|--⌫|---|-|-|---------|
soauetl iconseill eenl oreil ledarriers	-----|-⌫|--------⌫|-||-----⌫-||------|
si re uosne sauezuof il s ontcheualier	--⌫-|--|-|----|-|-⌫-|-⌫--|--------|
biausireneuosm entfuide ci	---|---|-|--|-⌫--|--|-|-|
pautonniers	----------|
ettucommentle s ezce nest paslo r	-|-|------|-|-⌫-|-||--|--|--⌫|
parlafoiqueu o s doine	--|-|--|--|-⌫-⌫|--|-|
ment aumien espoir	---|-|---|-----|
u osmenpoezbiencroir e	-⌫-||-|---|---|-----⌫|
ieuosaidittot uoir	-|--|-|--|--|---|
ueneze nauoecmo isi	----|-⌫|----|--⌫|-|
lesporrezueoir	--|-----|----|
uestudepailesriches	----|-|-----|-----|
etatozcexqenuoelentdepartir l o r	-||--|--||-|------|-------|-⌫-⌫|
t antontoretar gentriche sont	-⌫--|--|-|-|--⌫---|----|---|
tu ituostre oir	--⌫-|-----|--|
ne seroit passa uoir	-|-----|--|-|---|
l e u ezuenezueoir i enemepuis	-⌫-⌫-⌫-|----|----|-⌫|-|-|---|
n otp asli uallezfin eesaraison	|-|-⌫-|-|-----|---⌫-|-|-----|
qantantrer entsifi ltuit dedanzl a	---|------⌫--|-|--⌫|---|-----|-⌫|
moltbellesaluerentsi firentqueb aron	---|--|-|--------|-|-----|--|-⌫---|
nossome srep a iriémoltgran tauoirau om	--|----⌫|---⌫-⌫----|---|----⌫|----|--⌫-|
peredeuozyyfizn ouel es aportom	---|-|--|-|--|-⌫----⌫-|------|
e negyptela lar genos	-⌫|-----|-|---⌫-|--|
t ecelerom	-⌫|------|
iluequeslesla issamesetnospor toiuenom	-------|--|--⌫------|-|--|--|--|----|
ben ia minslautre	---⌫--⌫---||----|
iosepa non	----||--|
q antoit nomerio s ep ia co bsisestleuez	-⌫--|--|----|--⌫-⌫-|--⌫--⌫|-||--|----|
ilauoit l escheuexm e nuzr ecercele z	-|----|-⌫-|-----|-⌫-⌫--|-⌫--------⌫|
s i estoitses	-⌫|-----|--|
chapiausdunepartau alez	-------||--|---|--⌫---|
ertmoltuiexsesfi z a regard ez	--|---|---|--|--⌫||------⌫-|
ille suittozdeu estuz	-|--⌫|--|--|-|-⌫----|
etconra ez	-|-----⌫-|
dites uaque l gent estes qu ideiosephparlez	----|-|---⌫|---|----|--⌫|-|-----|-----|
ilfu morzyy anz aet	-|-|---|-|--||-|
p orq oimegab e z	-⌫-|-⌫-|-|---⌫-⌫|
cer tesgrantpechiefaites que	---⌫--|----|-----|-----|--|
rame nteu ez	----⌫----⌫-|
biausperesiosep	----|----|----|
uit nosnete gabons pas	--|--|-|-|-----|--|
bien le s achespor uo ir	---|-|-⌫----|--|--⌫-|
tene zmie a gas	----⌫|--||--|
se gelue rraioil tu leue rras	-|-||--⌫---|--|-|-|--⌫---|
puisuoldroiem orir	---|-------|-⌫---|
biauspere snimo rr as	----|----⌫|||--⌫--⌫-|
u osuenuznenila lu i iras	-⌫-|----|----||--⌫|---|
feronszzlite n la	-----|-|--|-⌫|-|
nefsigerras	--|-|-----|
siiro nse negypteiluecle trouer as	-|---⌫-|-⌫|-----|----|-|------⌫-|
aidiezmo imi	-----|--⌫|-|
anfantsostenez m oimesbraz	-----|-------|-⌫-|--|---|
alons nosenenfant niq uie r plus demorer	----|--|-|-----|||-⌫---⌫|---|------|
f ait esf aire litetla ne f ap rester	-⌫---⌫-|-⌫---|--|-|-|--⌫|--⌫-----|
d oncsai llisuz	-⌫--|---⌫--|--|
iacobqui nepoo i taler	----|--|-|---⌫-⌫|---|
do usolier ou	--⌫|-----|-|
sepristaaualer	-|----||-----|
sitre s ui exque i l	-|---⌫|--⌫-|--|-⌫|
s olo itcroler	-⌫---⌫-|-----|
zzpou etsi solo it a	-|--|-|-|----⌫-||
grantpainne parler	----|-----|-----|
dont crieah auteu oiz mi	---|---||-⌫---|-⌫--|-|
fil ordouhaster	--|-|--|-----|
ditsesfizruben moltbon e ment	--|--|--|----|---|---⌫-⌫---|
sireperesplusatempreement	---|----|---|-----------|
quiies tuqu i parolessi re i e sui	--|--|-|--⌫|------|--⌫-|-⌫|--|
de monfil med iuoirne me	-|--|--|-|-⌫|---|-|-|
m en t irnoien t	-⌫--⌫-⌫-|-----⌫|
pere i lest	---|-⌫|--|
siresde cele gent	----|-|---|---|
lirois n e se n tremetderien s o utreem ent	-|---|-⌫||-⌫-⌫-----|-|----⌫|-⌫------⌫--|
iosephen e sttoz sires etdepartle	-----|-|-⌫-|--|----|-|-----|-|
doncantre nt en	---|-----⌫-|-|
lanefetsigl eren tauuent	-|--|-|----⌫----⌫|-|---|
qan t uindren te nla	---⌫|-------⌫|-⌫|-|
ne fa ualle u esiglant	--⌫|-⌫--||-⌫-⌫|------|
iacobourilesiex latesteua	----|---|--|--|-|----|-|
qantuendrons	---|-------|
a lanefdi tesmoimianf ant	|-|--|--⌫--|--|-|---⌫--|
biausperesuos	----|----|--|
ie stes dientc il en	|-⌫---|----|-⌫-|-|
ue rrai m o n	--⌫---|-⌫-⌫|
fil que iaide sirréta nt	--|--||-|--⌫-----|--⌫-|
parfoit h ast iu ementno s	--|---|-⌫---⌫--⌫----|--⌫|
a prochant	-⌫-------|
bien iuenron s	---||------⌫|
au beaparis s ant	--⌫-|------⌫-⌫--|
o r uosgisezbiausperessi irez toutdormant	-⌫|--|----|----|----|-|---|---|------|
ditiacobne saise tant ui urai	--|----|-|--|-|---|--⌫---|
dit rube n	--|----⌫|
bonspl e gesense r ai	---|--⌫-⌫--|-|--⌫-⌫-|
biausfiz commentiertc eiele	----|--|------|---|-⌫|-|-|
uosmoster rai	--|------⌫--|
ie quituos	-|---|--|
m egab ez on quesnel me pansa i	-⌫|---⌫-|--⌫---|-||-|-----⌫|
nefaitesag aber certe s iel ilaissai	-|-----||-⌫---|-----⌫|-|||------|
etbeniamin olui qantd egypte t or nai	-|-------||--|---||-----|-⌫--⌫--|
et sa lu zuosmand aet ieuos	-|--⌫--⌫|--|----⌫|-|-|--|
nel enten distes uospar foi ie ne lesai	-||-----⌫-----|--|--|--|-|-|-|--|
lo ndemain	|-⌫------|
au matin qant l	-|----|---||
espa ndu e pa rtotel a contree	----⌫---⌫|--⌫|---|-⌫|------|
adroitportest lane ismaintenant	|----|---|--|-|--⌫-|---------|
dont o nt lifiliacob	---|-⌫-|-|--|----|
bienlor n efaancree	---|--|-⌫-|------|
lorssen issiia coba t outesama isnee	---||-|---|--⌫--||-⌫---|-|--⌫----|
n ouele etlagranz renomee	-⌫----|-|-|----|------|
queue nuzesti acobenicelecontree	--|--⌫--|--|-⌫---|-|----|------|
ad onciua ia cobosag ranta u nee	--⌫--||-|--⌫--||-|-⌫---|-⌫-⌫--|
qa ntiosep hui tsomp er eteli oiea de menee	--⌫-|-----⌫|--⌫|--|-⌫--⌫|--|-⌫--||--⌫----|
neuose mporroitestrelamoi tiez acontee	-|--|-⌫|------|----|-|---⌫---|------|
qantson tan tre baisiéb ienunegrantlue e	---||--⌫|--⌫---⌫------|-⌫--|--|----|---⌫|
doupereetdelenfa ntad ure ́	--|---|-|-||----⌫-||-⌫---⌫|
l assamblee	|--------|
iosephqantui t som	-----|---|--⌫|--|
p eresi ploratenrement	-⌫--|-|----|--------|
liperesqantle uitne	-|----|---|-|--|-|
l connuttant	|-----|---|
ouest mes fiz iosep hditesle m o i	-|--|--|--|-----⌫|----|-|-⌫-⌫|
cilqu iuosbaisa peres orainzt ant longuement	--|--⌫|--|----|----|-----|-⌫--|---------|
a do ntp loraioseph e tdegypte	-⌫--⌫-|-⌫---|-----|-⌫||-----|
filetdoup ere	--|-|--|-⌫--|
ambraceme nt	---------⌫-|
autreregreterissitre sdouc ement	----|-------|---|---⌫|----⌫----|
eteustgeuné yyiorz	-|---|-----|-|---|
entieremen t	----------⌫|
sachiez nelipreistiademangi ertalent	------|-|-|-----|-|-|-----⌫-|-----|
parfo i fiz iequidoiequef ussiezes tr an glez	--|--⌫|--|-|------|--|-⌫-----|--⌫--⌫--⌫---|
daucun or soudebe ste sauuage deu orez	|----|--⌫|-|-|--⌫--|------|---⌫---|
d olanz f uisi chai eng r anz enfermetez	-⌫----|-⌫-|-|---|-|-⌫-⌫--|---------|
et diex ensoitloezqant	-|---|-|---|---|---|
ci es tes tro uez	-|--⌫--|---⌫--|
e tporqoime	-⌫|--|--|-|
guerp istesne l	-----⌫----|-||
fis pa r u eritez	--|--⌫|-⌫-----|
liu estemenzquime	-|-⌫-------|--|-|
ienesaidequelsancfu toze nsanglante z	-|-|--|-|---|---|-|--|-⌫----------⌫|
peresne fupasm iensques auoir	----|-|-|--|-⌫---|--|-⌫----|
quitqueasicanioseph	---|--||----|-----|
uosa nuoi ai	--|-⌫----⌫-|
queq eissi ez u ozfreres is si uosc ommendai	--|-⌫-----⌫-|-⌫-|-----|--⌫-|--|-⌫-------|
issil efi s biauspe reslemengierlor	---|-⌫|--⌫|----|--⌫--|-|------|--|
parmafoisimepristrent por	--|-|--|-|-|--------|--|
qoi ieluo s dirai	--|-||--⌫|----|
souient biausperes dousongequesoniai	------|----|----|--|----|--|-----|
fuste sprispo rle song ea grant	-----⌫|---|--⌫|-|----⌫||----|
painneesc h apai	-----|---⌫-⌫---|
marcheantmachateren t etoaus m enala i	--------||---------⌫|-||--||-|---⌫|
li r ois decesteterre qantmeuit	-|-⌫--|-|----|----|---|-|--|
deni er sd onapor moi	----⌫--⌫|-⌫--|--|--|
marche ant	------⌫--|
elpertrin o u	-|------|-⌫|
tra uai lsouff ri grant	---⌫---⌫|-----⌫-|----|
li rois parsa mercipuisme	-|---|--|-|----|---|-|
fis ts i pu issan t	---⌫|-⌫|--⌫-----⌫|
s igno rme fistdegypte	-⌫----⌫|-|---||-----|
tui tfi rent moncomman t	---⌫|--⌫---|--|------⌫|
madamemacusa bien enfuc onn oi ssant	-|---||----|---|-|-|-⌫---⌫--⌫----|
en chartre mettretost	-|------|-----|---|
etisnelement	-|---------|
ien oiquimepleuist	-||-|--|-|------|
for sdeuomnipote nt	---⌫|--|--------⌫-|
ilmabiendeliuré comel e	-|||---|-------|---|-⌫|
siensergent	---|------|
orsuicide uanttoi	-|--|-|--⌫---|--|
s iferaiton com mant	-⌫|----|--|---⌫---|
orescoute biaus	-|------|----|
que te dira i	--|-|----⌫|
amonsignor	|--|-----|
iro nsal uitemoste rrai	---⌫-||-⌫-|-|-----⌫---|
iose phceuoi l ieb ie n s i l e	----⌫-|-|---⌫|-|-⌫--⌫|-⌫|-⌫|
del onorq u ilt	-||---|-⌫|-||
tuit liserezserge ntetie	---|-|----|-----⌫-|-|-|
sessersserai	--|---|----|
uerraien samblesiuosa corde rai	-----|--⌫-----|-|--|-⌫-----⌫--|
deuant leroidegypte trestoz	-----|-|--||-----|------|
uos ba is erai	--|--⌫--⌫---|
omabeneiconetpui s simemorra i	|-|-------|-|---⌫|-|-|-----⌫|
molt esto ituiexiac obdegran t	---|----⌫-|---|---⌫-|-|----⌫|
son cha pelen	--|---⌫--|-|
so nch iefsen e st	--⌫|--⌫--||-|-⌫-|
antorlui l o ntsifil trestoutanuironé	----|--||-⌫-|-|--|-------|--------|
etqa ntuindrentauroi siliont	-|--⌫-|-------|-|--|-|-|--|
liroisph a raons sestdesonsiegeleué	-|---|--⌫-⌫----||--|-|--|----|----|
dant iacob	---|----|
ab a isiéet mol tla h onoré	|-⌫-⌫----|-|---⌫|||-⌫-----|
li roismandas es homes d egyp telacontree	-|---|----|-⌫-|----||----⌫-|-|------|
mandalesparsachartrequimoltfur edoutee	----|--|--|-|------|--|---|-|-⌫------|
dontfist une g rantfestequi	---|---|--|-⌫---|----|--|
molt furenommee	---|-|-------|
qantiacob enlasale u it la	---|----|-|-|---|-⌫-|-|
g ent aunee	-⌫--|----|
priaque sapar olefust de to z	---|--|-|---⌫--|---|-|--⌫|
adontdepar	----|-|--|
leroi fulapa is co mmendee	-|--|-|-|--⌫-|--⌫------|
iac obse leua suzdistpa role	---⌫-|-|---|--|---|--⌫---|
sire roisph araon entendezmaraison	---|---|--⌫----|-------|-|-----|
quediexquinosgo uernenosdointbeneicon	--|---|--|--|--⌫----|--|----|-------|
signorbien	-----|---|
que iesui moltu iexhom	--|-|--|---|-⌫--|--|
uo s ne nosconnoissi ez nosneuos	--⌫|-|--|---------⌫-|--|-|--|
connoissom	---------|
nez suidouual de b rondune	--|--|--|--||-⌫-⌫--||--|
autreregion	----|-----|
la g is entno streancestresedeu plait l ag err om	-|-⌫--⌫--|--⌫---|-------|-|--|----|-⌫|-⌫---⌫-|
a dans ig istsanz faille	-⌫---||-⌫--|---|-----|
quif u lipremiers	--|-⌫|-|-------|
etd am eeue safam es i	-|-⌫--⌫|--|-|---⌫|-⌫|
com lis anttrouom	--|---⌫--|-----|
lagen zqui del uiuintdiex	-|---⌫|--|-|-⌫-|---|---|
pa sne lesam a	--⌫|-|--|--⌫|
ne sescommanzdurementsen ueni a	-|--|------|-------||-|----⌫|
signor etdoudeluigen oe lenressauua	-----|-|--|------|-⌫--⌫|-|-------|
deluietdesesoirs	-|--|-|-|--|---|
cestsieclerestora	---|-----|------|
delui uintabrehans	-|--|---|-------|
que diextantparam a	--|---|---|--|--⌫|
q ue de sompremierfillisir es le	-⌫-|-|--|------|--|-|---⌫-|-|
illir ouaocirreparpou neletua	-|-|-⌫--|-----|--|--|-|-|--|
non ysa ac mais	--|---⌫-|---|
diexsilespargna	---|-||-------|
iesu isesfiz	-|--⌫|--|--|
par foiquide uantuosesta	--|--|--|--⌫---|--|---|
sign oriesuimolt uiexne leuosquier celer	----⌫-|-|--|---|---|-|-|--|----|----|
ysaac sicommoe z co nter	----|-|--||--⌫|--⌫---|
qa nt dousi eclemortel	--⌫-|--|--⌫---|-----|
dutliprodom torne r	--|-|-----|-----⌫|
ioisabenei conbi en	|-|-|-----⌫--|--⌫-|
l amepot donner	-⌫|-|--|-----|
mesfrereses au meuostdeseriter	--|-----|--⌫-|-|---|--------|
chaca moido upaisqueienepou	----|--|--⌫|---|--|-|-|--|
ielaroi deumerci	-|-|--|--|----|
ancorlaia garde r	----||-||-----⌫|
cistsont miyy fil quec i ue ezester	---|---|-|-|--|--|-⌫|--⌫-|----|
bienayyan z	---||-|--⌫|
queien ip oira ntrer	--|-|||-⌫-|--⌫----|
perdii oseph queie tantpou ame r	----|-⌫----|--|-|---|--|---⌫|
deu merci trou e ́	--|----|----⌫-⌫|
laien cestereg ion	|-|-|----|---⌫--|
cuidiex prist ensapartil	--|---|----|-|-|---|-|
naconfundison	||----------|
deuanticel signorquede u	-----|---|-----|--|--⌫|
signordon ne rlo u oil	-----|---⌫--⌫|-|-⌫--|
partirezet	-------|-|
nosbi enl otroiom	--|--⌫-||------|
etrespond i li	-|-------⌫|-|
roisio s ephest sages h om	---|--⌫-⌫--|--|----|-⌫-|
biens a i qu ilma	---|-⌫-⌫|-|-|||
gari ettoutema m es on	---|-|----|-|-⌫--⌫-|
toutemagentdegited e grant	----|-|---||----|-⌫|----|
c h aitiui s o n	-⌫-⌫------⌫-⌫-⌫|
l uiac hat aiaserf maisor lefranchirom	-⌫-|--⌫---⌫-||---|---|-|-|---------|
tantprai n gne dematerr e en	---|----⌫-⌫--|-|-|----⌫|-|
sa possessio n	-|---------⌫|
men a nt soientsifrere eti l soitriches hom	---⌫-⌫-|-----|-|----|-|-⌫|---|-----|--|
signorq uiad oncfustaicele a ssamblee	-----|-⌫-|--⌫--|---||----|-⌫-------|
