multay usécum pechere	---|-|---|--|------|
du ncuiueient p l us	--⌫-|-------|-⌫-⌫-|
lon gement	---⌫-----|
desezqueorenefuntlag ent	|---|--|--|-|---|-|-⌫--|
oswene rtla	----|-⌫-|-|
se inte damesagee	--⌫---|---|---||
un euesque theodredoutnoun	-|------|-------|--|---|
sei nthommede grantrel igiun	---⌫-|----|-|----|---⌫----|
e uesque ertde la contree	-⌫-----|--|-|-|------|
oyezcum dieus li	---|--|----|-|
admu stree	-|--⌫----|
parsa grace lauerit e	--|-|----|-|-----⌫|
cum nusauum de suscunt é	--|--|---|--⌫--|----⌫-|
deseintedmun dlebon barun	-|----|-----⌫|-|--|----|
kientergistsanz coruptiu n	-|----|---|---|--------⌫|
tute nterinsenchar	--|-⌫------|-|---|
ensas eintimecaseenclos	-|-|-⌫------|---|-----|
odbele chie ree od	-|---|----⌫-||-|
cumil futuncoreuifs	--|-|--|-----|---|
entelem anere leproua	-|---|-⌫----|-|----|
li euesqueki dieuama	-|------|-|---|--|
purrez oir	-----|--|
a l fe rtre dels eintma rti r	-⌫|--⌫---|--|-⌫---|--⌫---⌫|
uenirent g entde	-------|-⌫--|-|
pur dieuepur	--|---||--|
leseintrequere	-|----|------|
e reys ecuntes e baruns	|---||-----||-----|
iueneientenoreisuns	|-------|-|-------|
offrirentmulz	--------|---|
belb el ez	----⌫--⌫-|
n uschesd orbos	-⌫-----||-|--|
doreanelez	|-||-----|
harpunsdor preciusesp ieres	------||-|--------|-⌫----|
besanz emargar itescheres	-----||------⌫---|-----|
dunt le fer t r ed e seintedmund	---|-|---⌫-⌫-⌫|-⌫|----|-----|
plu srichedecestmund	---⌫|----|-|---|---|
detutesparz iuindrent gent	-|----|---||-------|---|
tel offri ore t elargent	--|----|-||-⌫-|-----|
depl usurs richesregiuns	-|--⌫----|-----|------|
genzen oreisuns	---|-|-------|
multpar lur ueneitgr an t aport	---|--|--|-----|--⌫--⌫|----|
de suthdel westdeles tdel	-|---|--|---|--|--⌫|--|
detutesp arziuind r entgent	-|----|-⌫--||----⌫-⌫--|---|
riches poures	-----|-----|
comunalment	----------|
ki lesaportoien t lebien	-|--|---------⌫|-|---|
rich eertl iliusur tu teri en	----⌫|--|-⌫|--|--|--⌫-|--⌫-|
o yentlarunsplein de felonie	-⌫---|-----|----|-|------|
liua ueientenuie	--|-⌫-----|----|
f eluns erente nt ute sguyse s	-⌫----|----|-⌫|-⌫---⌫|-----⌫|
m urdr erse	-⌫----⌫--||
fr ussiersd eglises	--⌫------||------|
det ute smaneresdema ls	-|-⌫---⌫|------|-|--⌫-|
furent mestrescelsuassals	-----|------|---|------|
ilaueientent r	-|------|---⌫|
els mac hiné	--|---⌫----|
ec on seilé e	|-⌫--⌫-----||
keleglise d es pescerunt	-||-----|-⌫--⌫--------|
letresoremblerunt	-|-----|--------|
qua nquee nclosertdelcimitire	---⌫---|-⌫----|--|--|-------|
ke riennenauer aa dir e	-|---||-|----⌫||---⌫|
ilses unt multtost apres té	-|-|-⌫--|---|---|-----⌫--|
e acele rage	||---|---|
unenute que f u mul toscure	--|---|--|-⌫|---⌫|-----|
uindrenti l	-------|-⌫|
tutbaldesure	--|---||---|
quantla gentfurent	----|-|---|-----|
mistrentto s t enleclos	-------|--⌫-⌫|-|-|---|
deleglisedeseinted mund	-||-----|-|----|--⌫---|
epuis tost al mustersenuu nt	|---|---|-|-----||-|--⌫-|
od lur engeins odl ur ustilz	-|--|------|-|-⌫-|-----|
duntilfu rentduiz esutilz	---|-|--⌫---|---||-----|
des quelsilunt	--|----|-|--|
oelsaparfeir e	---||-------⌫|
l e larcin	-⌫|-----|
ele contr eir	|-|-----⌫--|
kan talmu s ter	---⌫|-|--⌫-⌫--|
fure ntue nu	----⌫-|--⌫-|
si senforcentpar grantuertu	-||--------|--|----|----|
trestuz deleg lise enfundrer	------|-||--⌫---|--------|
liunprent seschiele a drescier	-|-|----||-------||-------|
s usalp areiedel muste r	-⌫-|-|-⌫----|--|-----⌫|
se urementsan zencumbrer	--⌫------|---⌫|--------|
mett ep arla	----⌫|-⌫-|-|
muster la ou iluoleit	-----|-|-|-|-----|
li autre o d sal imedure	-|----|-⌫|-|-⌫--|---|
limedelus laserrure	---|--|-|-|------|
etrenc helescl ousou	|-----⌫-|--|--⌫--|-|
sa marteliui ent	-|-----||--⌫--|
e se peyne de martelier	|-|----|-|--------|
ka rleusneuol tdescloer	--⌫|-|-|-|---⌫|-------|
li au tre odbesquese od	-|--⌫--|-|------||-|
qu i luntafeitiezalur	-|-⌫|--|-------||--|
suffo ententurlaparei	-----⌫--|----|-|----|
ch escun sep e ineendreit sei	--⌫----|-|-⌫-⌫--|------|--|
de celoueregnepar funir	-|--|-------|---⌫----|
k ara chiefen qui dentue nir	-⌫-||----|-|---⌫---|--⌫--|
sunt enl urestal	---|-|-⌫-|----|
partieamuntpartieaua l	-----|----|-----|---⌫|
tutal urme sterentendant	--||-⌫-|--⌫---|--------|
telabaisiételenestant	--|-------|--|-|-----|
les liad ieu e	--|--|-⌫--||
kenul dels	-|--||--|
n esepoutpartir	-⌫|-|---|-----|
neli curb n epoutdrescie r	-|-|---|-⌫|---|-------⌫|
necil enest antabai sier	-|--|-|---⌫--|----⌫---|
purentremuer	-----|-----|
desqualmatin	----|-|----|
queiour fucli er	--|---|-|---⌫-|
ce l e nute iu stunmariner	--⌫-⌫|---|--⌫-|-|------|
ki sonoutlesseyns	-|-----|--|----|
enlemuster	-|-|-----|
qu itutoit	--⌫|--|--|
c estb atest al	-⌫--|-⌫-----⌫-|
kefe seientamu ntea ual	-|--⌫-----|---⌫-||-⌫--|
meispur lamu r d elseintma rti r	---|--||---⌫|-⌫-|----|--⌫---⌫|
ne poutdel l iu	-|---|--|-⌫-|
nemo tdire	-|--⌫|---|
desqual demain qui l fucleriou r	----|-|-----|-|-⌫|-|---|---⌫|
ke lagentuindrentd entour	-|-|---|-------||-----|
q ui untape r temenueu	-⌫-|--|---⌫-⌫----|--|
cel mi racle e celeu erte u	--|--⌫----||---|-⌫----⌫|
de larunsquisi suntli é	-|-----|--|-|---|--⌫-|
en leour e que a ueientc o mencé	-|-|---⌫|--|-⌫-----|-⌫-⌫-----|
de loqu eslesunt	|-⌫----⌫-|--|--|
o stez epris	-⌫---||---|
en fierges eenprisunmis	-|------||-|-----|--|
puisfurentparleuenge ment	---|-----|--|-|-----⌫---|
delseinteues que	--|----|----⌫--|
theodred mis tuz ala har t	-------|--|--||-|---⌫|
kipuissenrepentittroptart	-|---||-|-------|---|---|
lesoutsia mor tiugé	--|--|-||---⌫|----|
dolen t enfuecoru scé	-----⌫|-|-||----⌫---|
kar agr antpec hiele ten eit	--||--⌫--|---⌫--|-|---⌫--|
issi iugezle saueit	---|----|--⌫|----|
sisenfu s t	-||-|--⌫-⌫|
ein z purpense ́	---⌫|--------⌫|
ne les outpasa mort eliu eré	-|--|--|--||----⌫|---⌫---|
ne pensapask antilceo fist	-|----|--|-⌫--|-|--|---|
kedieusparlep r oph etedist	-|----|--|-|-⌫-⌫---⌫--|---|
deldel iuer erianece ssez	--|---⌫----⌫-|-|-|--⌫---|
sunt ala mortiuge z	---||-|---|----⌫|
silesditde lprophe tedieu	-|--|--|--⌫|------⌫-|---|
ku mapeleeli seu	|-⌫|----|---⌫--|
kigar isteremistal aui e	-|---⌫--||-----||-⌫|--⌫|
leslaruncels de	--|--------|-|
epaineeu we lesdona	|---||--⌫-|--|---|
eenlurp aisen ueia	|-|--|-⌫--|--⌫---|
edefenditle rei	|-------|-|--|
quilpas amorte nelesmist	-|-|--||----|-|--|---|
purla quelechos e c istp rodome	--|-|----|----⌫|-⌫--|-⌫-----|
cis te ue sque	---⌫|-⌫--⌫---|
qu antilse	--⌫--|-|-|
furepu rpensé	-|----⌫------|
multfu tdol ente	---|--⌫|---⌫--||
trespensé	---------|
deceoquil o utfetdeslaruns	-|--|-|-|-⌫-|--|--|-----|
m ult enfutdolente enbruns	-⌫--|-|--|-----||------|
epenitenc e gref en	|--------⌫|---|-|
emerci dieu bienlaparfist	|----|---|---|-|------|
epurceosemi ste n granz dolo urs	|--|--|-|--⌫-|-⌫|----|----⌫--|
longtense noreisunse enplou rs	-------|-⌫|-------||-|----⌫-|
e par multgrantc ompun ct iu n	|--|---|----|-⌫-----⌫--⌫--⌫|
priadampne dieu	---|------⌫---|
ka ntparfeiteout sa pe ni tance	--⌫-|-------|--|-|--⌫--⌫----|
s i ma nda	-⌫|--⌫--|
pargrantpacience	--|----|-------|
p arsae ueschiee nuir un	-⌫-|-|-⌫------|-⌫----⌫-|
que tutela gent a bandu n	--|---|-|---||-----⌫|
apaineeuwegeu na se nt	|---||---|---⌫--⌫--⌫-|
enostre segnu r priass ent	|-----|-----⌫|------⌫--|
trei siu rsenl angese	----⌫|--⌫-|-|-⌫----||
kedieu slipardunt sespec hie z	-|----⌫|-|------|--|---⌫---⌫|
pars on pleisir	--|-⌫-|------|
puse le corsdel mar tir	---|-|---|--|---⌫--|
ueeiredemainsmanier	----||-|----|-----|
silgist sicu mhomm e dit	|-|---|----⌫|----⌫|--|
ei l sifeseiententreset	|-⌫|-|-------|-------|
k an taueientl aiunefet	-⌫--⌫|------|-⌫|---|--|
a lachaseu ienent	|-|----|-⌫-----|
tutd r eit	--|-⌫-⌫--|
oul i b ersein tedmu ndgisei t	-|-⌫|-⌫-|----⌫|----⌫-|-----⌫|
chieta genuliuns	----||--------|
deuant lachaseenure isuns	-----|-|----|-|---⌫----|
kant au eit u réeprié	---|--⌫--|-⌫--||----|
alachasese estapro chi é	|-|----|-|--|----⌫---⌫-|
la ch asepristtostauueri r	-|--⌫--|----|---||-----⌫|
el ecorsein t	|-⌫|-------⌫|
a descouerir	|---------|
lecors troua	-|---|----|
esient erinelapel	|-|---⌫----|-|--|
funteuis e neisem entun	---||--||---||-⌫----|
epiez emeinseue ntre	|---||----||--⌫---|
odcharser ree su rlesos	-|---|---⌫--|--⌫|--|-|
fuquantil fu uifs	-|----|-|-|---|
sec lepoestifs	---⌫-|-------|
e lac hare	|-|-⌫---|
cum nusauumditce en arier e	--|--|---|--|-|-|-----⌫|
keunkesblesceure n i parut	-|----|--------|||----|
desgra nzp la iesquila inzresceut	--|---⌫-|-⌫--⌫--|-|-|-⌫--|------|
li eu esquequi	-|--⌫----|--|
prozhommefu	--------|-|
sicumdieus	----|----|
laueitpu rueu	|----|--⌫---|
leseint cor s deses mainslaua	-|----|---⌫|-|--|----|---|
eleuest it e le aurna	|-|----⌫-||-|----|
de sdrasdes ey	--⌫|---|-|-⌫-|
d e splus c hiersqui lp o uttrouer	-⌫-⌫|---|-⌫----|-|-⌫|-⌫-⌫-|-----|
e puis en u ne	|---|-|-⌫-|
chas e c her e	----⌫|-⌫---⌫|
d eer tplusrichemanie re	-⌫|--⌫|---|----|-----⌫-|
que lautrefu ouilainzius t	--||----|-|-|-|---|---⌫|
lenseuelisicumil dust	|-------|----|-|---|
be nes quir en tdieu enloa nt	--⌫---⌫----⌫--⌫|---|-|---⌫-|
lesei ntimrei tut puisant	-|---⌫---|--|--|------|
q uie nsesseinzestmerueilus	-⌫-|-⌫|--|----|--|--------|
e en seso uresglorius	|-|--|-⌫---|------|
euit erengee	|--||----||
dieus esires	----||----|
se cles partuze mp ires	--⌫---|--|--|-⌫--⌫---|
translatéauumlauenture	---------|---||-------|
solumleliuree lescr ipture	----|-|----|||----⌫-----|
de seintedmundcome nt	-|----|-----|----⌫-|
en e n g le tere qu e iltin t	-|-⌫-⌫-⌫--⌫---|--⌫|-|---⌫|
dunt reyfut an tcum il uesquit	---|--|-|-⌫--⌫|--|-|------|
martir quilsuf frit	-----|-|-|---⌫---|
tr ans late ́ l ai desque a	--⌫---⌫----⌫||-|-----||
e del englei se de l	|--|------⌫||--⌫|
queen f ran ceislepoente ntendre	--|-|-⌫---⌫---|-|----|-⌫------|
eli gr ant elimendre	|-|--⌫--||-|-----|
uncore u olum auant	-----|-⌫---|----|
elesgranz miracles	|--|----|-------|
que nost r es ireihesucrist	--|----⌫-⌫|-⌫--|----|----|
parsamurmustra efist	--||---|-----||---|
diten ai grantpartie	--|-|-|----|-----|
en su nm artireeensa	-|--⌫|-⌫-----||-|-|
me is oreuus	--⌫-|--|--|
dirra i la summe	-----⌫|-|----|
tintpas afa is neagrant	---|--||--⌫-|-||----|
denispira musk ilad	----|----⌫--||-|-|
tra n slaté	---⌫-⌫-----|
nel tientpas	-||----|--|
afa is neab ar atte	|--⌫-|-||-⌫--⌫---|
liseintes pi ritmeseitgrace	-|----|--⌫--⌫--|-|---|----|
ke ieo renablement lafa c e	-|--|----------|-|--⌫-⌫|
e gremes acedema	|--|-|-⌫--|-|-|
ed ie useseintedmund	|-⌫--⌫-||----|-----|
ede l eglise	|-||-----|
ki meu n te n chargi écest labur	-|-|-⌫-⌫|-⌫-⌫------⌫-|---|----|
delp rimertensque dieusfurm a	--|-⌫----|---|--|----|----⌫|
lemund elesecleestora	-|---||-|----|-----|
ou tci nkmilanz	--⌫|--⌫-|--|--|
p ard re i tnum br e	-⌫-|-⌫--⌫-⌫|---⌫--⌫|
tensquedie usen umbre	---|--|---⌫-|-|----|
fuenlauirginemar i e	-|-|-|------|---⌫-⌫|
purnusgetterde morte	--|--|-----|-|----|
e deceltenssanzmesprisun	|-|--|---|---|--------|
desqual martire	----|-|------|
se intedmun	--⌫--|----|
s eysantedis	-⌫-----||--|
iss ilea uum	---⌫|-|-⌫--|
enliureapris	-|----|----|
elescripturlen usdit	||--------|-|-⌫-|--|
ki lestreseintedmund	-||----|----|-----|
liseint floristenceste uie	-|----|------|-|----|--|
arbreq ue fruc tifie	----|-⌫-|----⌫----|
por te belesflurs	---⌫-|----|----|
dunt ist latre sdulce flairurs	---|--|-|---⌫|----|-------|
bouch ede hommenepoetdescrire	-----⌫|-|----|-|---|-------|
kantuertuz dieuno stre	---|-----|---|--⌫---|
purlese intmartir	--|-|--⌫--|-----|
ancei sfist	-----⌫|---|
quiluenist	-|-|-----|
laouoregist	-|-|--|---|
meintclaretei ui re nt	----|------||--⌫--⌫-|
os cure fula	--⌫---|-|-|
laclarte nert pa sm ainouer ee	-|-----||--|--⌫|-⌫-------⌫-|
den gi ndehommeneau rnee	|--⌫--⌫|-|----|-|--⌫---|
ainzertesp irital	---|--|---⌫-----|
keueneitdese intemanere	-|-----|-|--⌫---|-----|
cum gr anzraisd elc ielamunt	--|--⌫--|---|-⌫-|-⌫--|----|
desu r latumbe s eintedmund	----⌫|-|----|-⌫---|-----|
ce o enest lasignifia nce	--⌫|-|--|-|--------⌫--|
parsagrant puisance	--|-|----|-------|
sonreg nealeué	--|---⌫-|-----|
ens a pardurableclarete	-|-⌫|---------|------|
ueirement ila uint	--------|-|-⌫---|
cum esc rit es te	--|---⌫--|--⌫||
i e oleuusdi	-⌫-⌫|-|--|-|
que ap resque seintedmundl i	--|--⌫--|--|----|-----|-⌫|
dunt uus meoy ezcicunte r	---|--|-|--⌫-|-|-----⌫|
s uffrite morte	-⌫-----||----|
pu rlamurdieuepur sonnoun	--⌫||---|---||--|--|---|
engle terelespar ties	-----⌫---|--|---⌫---|
ten eientp lusurssegnu ries	---⌫----|-⌫-----|-----⌫---|
emulz plusursreisiaueient	|---|------|---||------|
lurr ealm esquilt e neien t	--|-⌫----⌫-|-|-|-⌫-⌫-----⌫|
plusqu iln iou t	---|-|-|||--⌫|
neisestangle trestutades	---|-------|------|---|
ertsanzreiesanz chief	--|---|--||---|----|
que de tuzlespai sdeentur	--|-|--|--|---⌫|-|----|
ni outgrantne maienne mendre	||--|----|-|----|-|-----|
queosas t segn urieenpr endre	--|----⌫|----⌫---|----⌫----|
terealseintimrey	---|-|------|--|
nul nenosapre n dre	--||-|--|---⌫-⌫--|
degrantma nere ledoute rent	-|----|--⌫---|-|-----⌫---|
kar enlurcu ragesnoterent	--|-|--|--⌫----|-------|
qu ebiendeitestrereis e	--⌫|---|---|----|---||
delpaisousuffrit m artire	--|---|-|------|-⌫-----|
karmultlenaueit	--|---||-|----|
uersdampnedieu ebien meri	---|---------||---|---|
que nul reis charnelpoes te	--|--|---|------|----⌫-|
oustsurli en	---|--|-|-|
son regnee	--|-----|
e ncelcontempleia ueit	-⌫|--|--------||-⌫---|
unreyqu imu ltprod om me esteit	-|--|--⌫|--⌫-|----⌫--⌫-|-----|
esierteadredappelé	|-|--|-----|------|
ensontenscristiente fu	-|--|---|---------|-|
bieneshalcié emeintenu	---|--------||-------|
par tut engletere enuirun	--|--|--------|------|
fors sulen la tere albarun	---|--|-|-|---|-|----|
sei ntedmundla fuesquaisié	---⌫-|-----|-|-|---------|
e degra ntmanereab ais ié	|-|---⌫-|-----|--⌫---⌫--|
pardaneisuiiconuerserent	--|-----|-||-----------|
quiapresyn garre misierent	--|----|--⌫--|--⌫--||----|
e ce lefolurqu il	|--⌫-|----|-|-|
ma intin d ren t	--⌫-----⌫-⌫---⌫|
purse nenlur	--|--⌫|-|--|
guyse tindrent	----|-------|
par t utengletere	--|-⌫-|--------|
fereerrersi	---|----|-|
il poeient	-|------|
meisea dr ed lireisdreiture rs	---|--⌫--⌫-|-|---|--------⌫-|
k im ult estei tbonchiualers	-⌫|-⌫--|-----⌫|--|--------|
lesab aisa delurfolur	--|--⌫---|-|--|----|
elesfistm e intdeshonur	|--|---|-⌫-⌫--|-------|
quantdaneisod lurgr antacost	----|-----|-|--|--⌫--|----|
s urliue neiento d	-⌫-|-|--⌫-----|-⌫|
souentfeiz	-----|---|
purguerreer	--|-------|
fu lur liencombreer	-|--|-|---------|
li r ey eadred pas neles a m a	-|-⌫-|-----|--|-|--|-⌫-⌫|
meintenocci st emeint tua	----|-|----⌫-||----|--|
e m eint fi sten uieescorchier	|-⌫---|--⌫-|-|--|---------|
e mei ntardeir e mei ntneir	|---⌫-|-----||---⌫-|---|
emeintfis t	|----|---⌫|
les mem bres	--|---⌫---|
karu nkesiour	--|-⌫---|---|
mult par hait lurueisinage	---|--|---|--|--------|
uindrentsanzdamage	-------|---|-----|
cestbataileic isthaanz	---|------|--⌫--|----|
duraent rels	---|---⌫|--|
e nturcink anz	-⌫---|---|--|
que unkesli felun uassal	--|----|-|----|-----|
neporenttenir nulestal	-|-----|----|--|----|
cuntreeadredle	-----|-----|-|
kisur tutrienleshai	-|--|--|---|--|--|
kituziours le s descomfist	-|--|----|--⌫|---------|
karmultferement les requist	--|---|-------|--|------|
quan t lesdaneis	----⌫|--|-----|
serfsalmafe	----|-|---|
ueientesesun t purpensé	-----||-|---⌫|--------|
q u ilneporen t p lusmal feire	-⌫|-|-|-----⌫|-⌫--|--|----|
en latere nepluscon trer e	-|-|---|-|---|---⌫----⌫|
enmerentrentodlur n a uie	-|--|------|-|--|-⌫-⌫--|
siuintsiglantue r snorm andie	-|---|------|--⌫-⌫|----⌫----|
cumil ai nzporent ariuerent	--|-|--⌫-|-----|--------|
latereen passere nt	-|---|-|-------⌫-|
de norm andietut lefr un t	-|----⌫----|--|-|--⌫--⌫|
tant u nt erréque uenusunt	---|-⌫-|----|--|---|---|
e nfrancedreit	-⌫|-----|----|
deua nt paris	----⌫-|----|
s iunte ntr els lur	-⌫|--|-⌫--|--|--|
conseilpris	------|---|
kelaciteparforce prendre	-|-|---|--|----|------|
uoelentsil n e	------||-|-⌫|
se uoe lentrendre	-|---⌫---|-----|
aelsefeireles homa ge	|--||----|--|----⌫-|
erendre chescun ancheuage	|-----|------|-|------|
meischarles lichalf	---|------|-|----|
qui reif u	--|--|-⌫|
defrance est	-|-----|--|
tostco ntrels uenu	---|--⌫--|--|---|
f rancei s eodsa	-⌫------⌫||-|-|
elesde sco nfist erran tment	|--|--⌫---⌫----|-----⌫----|
fistfu ire	---|--⌫-||
ohu eleuéuersl a	|--⌫|----|---|-⌫|
mul z en occistr ente nfuant	---⌫|-|-------⌫--|-⌫|----|
lic hiu alereli seruant	-|-⌫---⌫---||-|------|
mu lzeni outnafre z amort	--⌫-|-||--|-----⌫||---|
ainzquiluenisent	---|-|-|-------|
ou ilariuerentenceis	-|-|--------|-----|
tant lesme nerentl ifranceis	---|--|--⌫-----|-⌫|-------|
q uem ulzenunt	-⌫-|-⌫--|-|--|
nafrez epris	-----||---|
parf orcelesunten nefes mis	--|-⌫---|--|--|-|----|--|
echarlesle	|------|-|
chalf odsa gent	----|-|-|---|
reuei tenfranceerrantment	-----⌫|-|-----|---------|
elesda nes multtostlur nefes	|--|--⌫--|---|---|--|----|
a prestrenteleu entlurtre fes	-⌫--------||---⌫--|--|---⌫--|
cu mainz p or ent	--⌫|---|-⌫--⌫--|
ariueuindre nt	|---|------⌫-|
unkes puisen	----|---|-|
fra ncene r e ui ndrent	---⌫--|-|-⌫-⌫--⌫-----|
les c o lsde france	--|-⌫-⌫-|-|-----|
tantdoterent	---|-------|
kifierementles encontrerent	-|--------|--|-----------|
lidane islid ieu	-|----⌫-|-|-⌫--|
sensuntenhaltemerfui	|-|---|-|----|--|--|
u nc ore ne uoleie nt pasc essier	-⌫--⌫--|-|------⌫-|--|-⌫-----|
del u rgrant ragedeme ner	-|-⌫-⌫|----|---|----⌫--|
ainzcuilli erent errant ment	---|------⌫----|------⌫---|
grantcompanyeemultgran tgent	----|-------||---|----⌫|---|
mult greindre qu	---|-------|-|
aue ientenc eis	---⌫---|---⌫--|
desconfistr entfranceis	-----------⌫--|-------|
sialerentdetereentere	-|------|-|---|-|---|
arda ntroba nt feis an tgrant gue re	----⌫-|----⌫-|----⌫--⌫|----|---⌫-|
equanquil s ur munt erpoeient	|-----|-|-⌫--⌫----⌫-|------|
defieremortemo rir feiseient	-|----|----|--⌫--|--------|
lesfelunsdaneis la	--|-----|-----|-|
dem enerent cesteriote	---⌫------|----|----|
tantque de richief	---|--|--⌫------|
return eren t	------⌫----⌫|
u ersengletere eariuerent	-⌫--|--------||--------|
kar iluoleientengletere	--|-|-------|--------|
e assayl ire conquere	|------⌫-||-------|
d eun reialurea ueit noun	-⌫|-|--|----|-⌫---|---|
frere001fueadred lebarun	-------|-|-----|-|----|
qui regnad euantli	--|----|-⌫----|-|
prodommesf urentambe dui	--------|-⌫----|----⌫--|
meis ainzquil	---|---|-|-|
al rey asemblasent	-|--|----------|
equil de rieni ap rochas ent	|-|-|-|---||--⌫------⌫--|
sienueialadieupusanc e	-|-----|-|---|------⌫|
sur elstelei re	--|--|---|-⌫-|
etelep esan ce	|---|-⌫----⌫-|
e seintedm undlebon	|----|---⌫--|-|--|
neama lur uenir	-|--|--|----|
lesmist tostalamorte	--|---|---||-|----|
san z recoureresanzresor t e	---⌫|-------||---|-----⌫-⌫|
pestile nces for tesefieres	-------⌫---|---⌫--||-----|
denfermetezdeplu su rs	|---------|-|---⌫--⌫-|
lesfe ri si subde y ne ment	--|--⌫-|-|-----⌫-⌫--⌫---|
feit deuint a nient	---|-----||----|
q uantal urele re il	-⌫---|--⌫--|-|--⌫||
kesifu rentanein ti	-|-|--⌫---|-----⌫-|
parle smerites s eint	--|--⌫|------|-⌫---|
dunc s u sp irade	---|-⌫-⌫--⌫--|-|
querparfunt	---|------|
dieu el emartir	---||-⌫|-----|
en plorant nesepouttenir	-|------|-|-|---|----|
lecorsein t tant	-|-------⌫|---|
cumiluesqui	--|-|-----|
amaho nu ra echeri	--|--⌫--⌫-||----|
cont emplequedunc fu	----⌫----|--|---|-|
nemu stradieunuleuertu	-|--⌫---|---|---|----|
li corseintg i se it	-|-------|-⌫-⌫--⌫-|
e ceo esteitamultbondreit	|--|-----||---|--|----|
karcelsquiie rentconuersa nt	--|---|--||-⌫---|--------⌫-|
ne e stei entmyebien crea nt	-|-⌫----⌫--|--|---|----⌫-|
esidieusmir aclesi	|-|----|---⌫----||
nulne not a nel	--|-|---⌫|-||
nenulene senperneit	-|---|-||-|------|
karlur creancefiebleeste it	--|--|------|-----|----⌫-|
meis u napostoileout ar om me	---|-⌫|--------|--||-⌫--⌫-|
martinoutnountreseint	-----|--|---|-------|
qu i uneparti ead tram ys	--⌫|--|-----⌫|-|----⌫-|
de la c roice o uihesu fumys	-|-|-⌫----|-⌫|----|-|--|
enla tere al re i	-|-|---|-|--⌫|
ka ro iaueit	--⌫|-⌫|----|
des a bonte	-|-⌫|----|
quebon cristie nsfu lireis	--|--|-------⌫-|-|-|---|
sa ge hommem ult pruzec urteis	--⌫-|----|-⌫--|---||-⌫-----|
eparlareq u est ealure	|--|-|---⌫-⌫---⌫|----|
li outlap ape granté	-|--|-|-⌫--|------|
e nglesche tutdis	-⌫-------|--|--|
lafra nchise duntfut requis	-|---⌫-----|---|--|-----|
parcesreliques quil tramist	--|--|-------|-|-|------|
parlagrace d eihesu crist	--|-|----|-⌫|----|----|
lapostoilea lrey alu re	|--------|-⌫|--|---⌫-|
enueiala cristiente	-----|-|---------|
cesreliquessuntb i en	--|-------|---|-⌫-⌫-|
echeriez eh onurez	|------||-⌫-----|
en en gletereag r anthonur	-|--⌫------||-⌫-⌫--|----|
cum drei test iesquacestiour	--|----⌫|--|----||---|---|
apres ces fesancesfeni	----|--|-------|---|
e decestsecled eparti	|-|---|----|-⌫-----|
alurelireisho nuré	----|-|---|--⌫----|
e apress esioursco runé	|----|-⌫-|----|--⌫----|
uielzedwa rd enlapais	----|----⌫-|-|-|---|
si enfur e ispoestis	-|-|-|-⌫-⌫-|------|
meism ultpoidetens	---|-⌫--|--|-|---|
ea p resses iours siregna	|-⌫-⌫--|--|----|-|----|
reyat helstonn	--|--⌫-------|
libonba run	-|--|--⌫--|
epuisunreyedmundoutnou n	|---|-|--|-----|--|---⌫|
ealuredautres i	------|------⌫|
eapre slile r ei edw i	|----⌫|-|-|-⌫-|---⌫|
epuisedgar son fre rea pres	|---|----|--|---⌫-|-⌫---|
regna enle pais	----|-|-|---|
quant cil f iniouto st	----|--|-⌫--|-|--⌫-|
leseintrey edw a rd	-|----|--|---⌫-⌫-|
e apre ssesiou rs si	|----⌫|--|---⌫-|-|
elar egiungouerna	|-|-⌫----|------|
un reyqu i ertaielred	-|--|--⌫|--|------|
amacri stien ete	--|---⌫-----⌫--|
eenses ouresuereiment	|-|--|----|--------|
simustradieu om ni pot ent	-|-----|---|--⌫--⌫---⌫--|
efistmei ntebeleuertu	|---|---⌫--|---|----|
pu rseintedmunds ontrescher dru	--⌫|----|-----|-⌫-|---|---|--|
quelieuesqueeli abe	--|-|------||-|--|
pres tre diacne cle rclettré	----⌫--|-----|---⌫-|------|
mistrentenesc riterrantm ent	-------|-|---⌫--|-------⌫--|
d untoreuus	-⌫--|--|--|
dirrai en present	-----|-|------|
une b el emi racleunegrantu ertu	--|-⌫--⌫|--⌫----|--|----|-⌫---|
c oment a uintecoment fu	-⌫----|-⌫---||-----|-|
l esto ired it e pur ue ircunte	|----⌫--|-⌫-||--|--⌫-|----|
quil auint	-|-|----|
s iqueunues cunte	-⌫|--|-|---⌫----|
lefstanoutnounsi fun omé	------|--|---|-|-|-⌫---|
uescu nt esteit de l	-----⌫-|-----|--⌫|
seintedmund	----|-----|
meis surtu te rien	---|--|--⌫-|---|
f el esteit	-⌫-|-----|
unkes fer e	----|---⌫|
a seintedm undle che rseg nur	|----|---⌫--|-|---⌫|---⌫--|
meistutlemalelacon traire	---|--|-|--||-|---⌫-----|
qu ilpoe itesout asuen s fere	-|-|---⌫-||---||----⌫|---|
meissa g ueresursei	---|-|-⌫---|--|--|
karseintedm undbi en l i ren di	--|----|---⌫--|--⌫-|-⌫|---⌫-|
lemal lapeynelagrant p erte	-|--|-|----|-|----|-⌫---|
delilon gtenssuferte	-|-|---⌫|---|------|
dieu secoruscea	---|-|-------|
multforment	---|------|
si enp rist deli	-|---⌫---|-|-|
ue ngemen t	--⌫------⌫|
si auintduncquecilues quens	-|----|---|--|--|---⌫----|
