XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
chedist lie nfes	--|---|-|-⌫---|
granttortauésTr opl aideme nt u osaioi parler Si	----|---|----|--⌫-|-⌫------⌫-|-⌫-|-|-|-----|-|
neuosuoléson ques	-|--|-----|--⌫---|
ames urerNe	----⌫---|-|
porquantlauant ageu os	-------||-----⌫--|-⌫-|
done ́ Ianel uos retanrai ma is	----⌫|-|--|--|-------|--⌫-|
ore ale ́ s. Dontsen	--|---⌫-⌫-|---||-|
tornaMakai res lidesfaésAlbruit e speronant tout abr iués	----|-----⌫--|-|-------|-|----|-⌫--------|---|---⌫----|
Aiol[s]se tienttouscois	------|-|----|---|---|
lesprésTantc u n	--|----|---||-⌫|
ar pentdetere aitt respasséu oi replus sil uenist	--⌫---|-|---|--|-⌫--------|-⌫--⌫-|---||-|-----|
mesurer.Etquant	-------|-|----|
le uoitliroismolt fu irésIlapela	-|---|-|---|---|-|----|-|----|
A iol parg r ansfier t ésuasaldistl	-⌫--|--|-⌫-⌫--|----⌫-⌫--|----|---||
enpererequ elen	-------|--⌫-|-|
feré s L airésuos en t Makaire ensi alerS	-----⌫|-⌫-----|--|--⌫|------|---|---||
anç ois uenirenla chitéEtsorlep ont	----⌫--|----|-|-|-----|-|--|-|-⌫--|
monterLauoir ua uraau oir tou tconquestéEt i	-----||----|--⌫--|--⌫--|---⌫|---------|-||
molt dolants e leper d és. -Sireche	---|-----|-⌫|-|---⌫-⌫---||---|--|
dist Aiol [s]n euos	---|----⌫--|-⌫|--|
do ut ésTantmafi io u enDi eu	--⌫--⌫--|---||--|--⌫|-|--⌫-|
demaiestéEt	-|-------|-|
boin ceualquechiuee ́sQuetostlarai	---|----|--|--|---⌫-|--|---||---|
ata int ettre spasé.	---⌫--|-|---⌫------|
Il brocheMarchegaiparles costés	-|-----|--------|--|--|------|
Des esperonsa	--|-------||
amorésSi que	------|-|--|
lesancuermelenfa it uoler	-|---|-----|-|--⌫-|----|
EtMarch eg ailen port epar	-|-----⌫--⌫-||--⌫----⌫|--|
grantf ierte ́Quili ueist	----|-⌫-----⌫|--|-|----|
les aut r es	--|---⌫-⌫-|
t oust r espaserI l faitle spieres	-⌫--|-⌫-⌫------|-⌫|---|--⌫|-----|
fendreetfu	-----|-|-|
u oler Qu elesesclos	-⌫---|--⌫|--|-----|
enfaitestincheler	-|---|----------|
Lesgranset	--|----|-|
lespetistous	--|----|---|
trespasser uenusest	---------|----|--|
aMa kairesilaoutré .	|--⌫----|-|||------⌫|
Etqua n tAi o l[s] u int	-|---⌫-⌫|--⌫-⌫---|-⌫--|
outrequ il otpasséF ierementle	----|-|-|-|-----|-⌫-------|-|
regard esia c riéSireche	------⌫|-||-⌫---|---|--|
dist Aio lscar uosastés	---|---⌫-|--|--|-----|
u ostr ecorant	-⌫----⌫|-----|
de strie r(s) esperone ́ suenés.i.poi plus	--⌫-----⌫---|--------⌫-⌫|-----|--|--|---|
tostseuo s poés Carche uous di iebien	---|-|--⌫|----|--|--|---|-|-|---|
paruerite ́	--|------⌫|
Seuousuenés silen t uosperd[e]rés.Aiol[s]	-|---|-----|-|---⌫|--|-----------|------|
lifiexEliea	-|---|---||
tantalé Que i luinta	---|---|--|-⌫|---||
leported elachit éDesorle	-|----|-⌫|-|----⌫-|----|-|
de Lo iresesta re s tésEtregardaarieredeuersles	-|--⌫--||--|-⌫--⌫-⌫---|-|------|-----|-----|--|
uit lescheuausde	--|--|------|-|
Franchetous arestésMa islidestr ie r[s]	------|---|-------|--⌫-|-|-----⌫--⌫---|
Makaire estsimene ́sQu ilnese peut mouoir	------|--|-|----⌫-|-|-|-|-|---|-----|
Par gas i sont u enuscis	--|--||---|-⌫---|--|
bacelerSel u ont	------|--|-⌫--|
batantdefust et	-----|-|---|-|
detinés La	-|-----|-|
coelimanachen[ t]	--|-|---------⌫-|
arecoper Etre creant	|------|-|--⌫-----|
ro nchilont apelé. Aiol s fuaOrliensla	--⌫---||--|------|----⌫|-||------|-|
fortchit é	---|----⌫-|
Cheu a lieret	----⌫-⌫---|-|
borgoi slont esgardéEtdistliunsa	------⌫||--|-------|-|---|-|--||
a utreM oltes tchisbe r	-⌫---|-⌫--|--⌫|---|--⌫|
Moltpa rl abienIesu enluminé.	---|--⌫|||---|---|---------|
Mieu ssambleK a rlem ai gne que	----⌫|-----|-⌫-⌫----⌫--⌫--|--|
home néI e quic qu e s tdel	---|--|-⌫|---|-|-⌫-⌫|--|
lina g edelparentéCar pl e ust Dameld éde maiestéQue	----⌫-⌫|--|-------|--|--⌫-⌫--|------⌫-|-|-------|--|
Maka irese ustlecie f cau péEt fustas	----⌫---|-⌫--|-|---⌫|---⌫--|-|---|-|
uis diablestous	--|------|---|
comma ndés Et	-----⌫----|-|
ciseustde Fr anche	--|---|-|--⌫----|
laducetéQuetin t li	-|------|--|---⌫|-|
dusEliequi tantfu	--|---|--|---|-|
ber.EDieus comil seroitbienrecetés	---||----|--|-|-----|---|-------|
Qua n tilsip ar	---⌫-⌫|-|-|-⌫-|
tansmaine telbarné.	---|----|--|------|
Atan teuou s	----⌫|----⌫|
Ma kaire tout	--⌫----|---|
a i ré Et ten oit.i.baston	-⌫-⌫--|-|---⌫--|--|-----|
gra ntet quarréS en u autAiol	---⌫-|-|------||-|-⌫--|---|
len fan t.i.cop do ner	|--⌫---⌫|--|--|--⌫--|
Mais Aiol[s]trai tlespee alpuin	---|------|----⌫||----|-|---|
auoitdesou s	----|-----⌫|
co te e stra int liberSoreli est	--⌫-|-⌫----⌫--|-|--|---|-|--|
couruspa rgrantfierte ́	-----|--⌫|----|------⌫|
Ia li eustdel b u	-|-|---|--|-⌫|
lecief seuréQuantla rescousBern arset	-|---|-----|----|||------|----⌫--|-|
Gu inem er[s]Sans es et	--⌫----⌫----|----⌫-|-|
Amo ri[s]etdansQu arésTorné s	---⌫----|-|---|--⌫----|------⌫|
sire nefa iteslaisiéseste r.Mak a irese stforment	---|-|--⌫---|-------|----⌫-|---⌫-⌫---|-⌫-|------|
en parent és Ilestd us de Losanelefortchite ́	--⌫------⌫--|-|--|-⌫-|-|-----|-|---|-----⌫|
songrantlinag eto ut asamblé.	--|----|-----⌫|--⌫-|--------|
aroien tmortet	------⌫|---|-|
uosn enporié smieuisesca per.Quant	--||-|------⌫|--|--|----⌫---|----|
Aiol [s]molt	----⌫--|---|
fu irés.Ilset bien q uillidi ent la	-|-----|-|--|---|-⌫|-|-|--⌫--|-|
Unpo i sest	-|--⌫||--|
traisariereli bac helersQuantdes c onsaus	----|-----|-|---⌫-----|----|--|-⌫-----|
l i estmembr é(s )Et descastiem ensde lgau t	-⌫|--|-----⌫----⌫|-|--|-------⌫--|--⌫|---⌫|
Uns des neueusM akaireiestalésFieusfude	--|--|-----|-⌫-----||--|----|----|-|-|
sa serorc ho i	-|----|-⌫|-⌫|
c onterCheualier [ s ] funoui auset adoubésManechier ot	-⌫----|---------⌫-⌫-⌫|-|----⌫--|-|-------|--------|-|
senfuirésNo saenuersAiolas	|-|-|----||-⌫-|-----|---|-|
p uinsaler	-⌫---|---|
leuittenirle	-|--|----|-|
brancle tréIl sai sit un	----|--⌫---|-|---⌫--|-|
espielgr os	-----|--⌫-|
etq uaréCunsescuiers te noitenmile	-|-⌫----||--|-------|--⌫---|-|-|-|
pré Si en ala	---|-|-|--|
Aiol.i. caup donerDeuantenmil e	---|--|---|----|-----|-|-|-⌫|
pislaencontré	--|||--------|
La cot ed es ca rlateade spanéMais l i haubers	-|---⌫||--⌫--⌫----||--⌫-----|---|-⌫|------|
la[bien]de	||-----|-|
mort tensé	---|-----|
Queilauoitue stu	--|-|----|--⌫--|
et endossé	-|-------|
Ilbr iseson	-|--⌫--|--|
espiel s i l	-----|-⌫||
a froé. Aiolslifi eusEliesetie ntli	|-----|----|-|--⌫--|---|-|---⌫-|-|
Encoretenoitil	-----|-----|-|
sonbra nc letréSen	--|---⌫-|-----||-|
alalegouto n .i.	--|-|-----⌫|--|
caupdonerAmont par	---|----|----|--|
mile cief l a encontréEnfressi	-|-|---|||--------|-------|
q uee s denslifistco ulerQuemort	-⌫-|-⌫|---|-|---|--⌫---|--|---|
la a b atu et	||-⌫-⌫--|-|
Outref ait il lechieresni gariré s Comment	----|-⌫--|-|--------|||-------⌫|------|
plaitprenghe chiremanrés	----|------|--|--------|
Iamaiss o[n]ne	-----||---|-|
u o sportene	-⌫-⌫|----|-|
leuerés.A	--------||
uos me su i	--|-|--⌫|
pais iés et acordés O rai	----⌫---|-|-------|-⌫|-|
anemis en ce	-----|-|-|
resne ́Di eu sme consautdesau tres	-----⌫|--⌫--⌫|-|------|--|--⌫---|
b onté. Etquant che uoit	-⌫-----|-|----|--|---|
Makairess enf uirésA sa	-------||-|-⌫|----||-|
uois qu il othaut e prist acrierOu	---|-|-|-|----⌫|----||----|-|
es te suosd istil	--⌫--⌫|--|-⌫--|-|
mesparentésuos	--|--------|--|
qui d emoiten é s bours	--|-⌫|--|---⌫--⌫|----|
Do ntn aués uous ueu cest auoléQui	--⌫-||----|---|--|---|-----|--|
monneueumamo rtet	--|----|||--⌫-|-|
af ole ́Eta mes ieu suoiantlach i tué	--⌫---⌫|-||--|---⌫|-----|||--⌫|---|
Seilu is e n	-|-|-⌫-|-⌫|
esc ape bien peutuan terTous	---⌫--|---|---|---⌫--|---|
de sauiesenpeut	-|-|--||-|---|
cil o nt respond u Nen peutaler. Plus	--|-⌫-|-------⌫||-|---|----|---|
furent de .l .dunparentéDe sne u eu s	-----|-|--⌫||-|-------|--⌫|--⌫-⌫--⌫|
Guene lo net de Hardré	-----⌫--⌫|-|-|------|
Etdespare[n ]sMakaire le	-|--|------⌫-|------|-|
desfaé.Aio lcorurentsus par grant	-------|---⌫|-------|--|--|----|
fiertéMais i ln	------|---|-⌫||
eurentnu l[e]arme laaporté	-----|--⌫---|---|-|------|
q ui dierentAiol asp uins c ombrer Mais il ten oitencorele	-⌫--⌫------|---|-|-⌫---|-⌫-----|---|-|---⌫--|-----|-|
brancletré.Ensespare n sMakaires	----|------|--|-|----⌫-⌫|------||
est mellésA	--|------||
de str eeta se nestrepri stacapler Cui ilconsieut	--⌫---⌫|-||--⌫-----|---⌫-||-----|--|-|-------|
peutdurerIama rmander amire pourluisaner.Plus	---|----|-|--⌫|------⌫|---|---|--|-----|---|
de.xiiii.ileu ctués	-|------|----⌫|----|
LisaudoierAiollontesgard é	-|-------|---||--|------⌫-|
i lauoitl auoir aban doné	-⌫|----||----|----⌫----|
Et distliunsa	-|---|-|--||
lautreCar esga rdésDecel franc	|----|--|----⌫----|-|--|----|
che ualie rdegran tbonte ́Comilaleceur	---⌫-----⌫|-|----⌫|-----⌫|--|-||-|---|
pl a indegrant	--⌫-⌫-|-|----|
fierté Moltde sfendbiensoncorsa saue téEt	------|---|--⌫----|---|--|---||----⌫--|-|
some s nou ssor sains iuréQueia	----⌫|---⌫|--|----|----|--|-|
nelifauro ns ennotreaé.	-|-|-----⌫-|-|----|---|
P arfoino us somesi a toutpariuré Quant si li	-⌫-|--|--⌫-|----|-⌫|---|-------|----|-|-|
d euant non és Ca r lialons aidier seuos	-⌫----|-|-⌫--|--⌫|-|----|-----|-|--|
uolés. Plus	------|---|
furentde.l.desbachelersQui s a il l ent	-----|-|--|--|--------|--|-⌫-⌫--⌫-⌫--|
a smaisonset as	-⌫|------|-|-|
oste ́s Etrequirentbastons fus ettinés Etroisespieus	----⌫-|-|--------|------|--|-|-----|-|---|------|
trenchansetb rans	--------|-|-⌫---|
letrés.Al estorr epa irierenttout	-------|||----|-⌫---⌫-------|---|
abriué(s)Granscosetme[r]uel lousi	---------|----|--|-|--------⌫---||
ont donésLa	--|-----|-|
secourentAiol parg r ans	--------|---|--|-⌫-⌫--|
f iertés La otmaint	-⌫------|-|-|----|
cheualier mortet	--------|---|-|
nau ré (s)Liroisiuintcorant	---⌫---⌫--|-|---||---|-----|
p ord esmeler.CuIII	-⌫-|-⌫-------|----|
Loe ysotlanoises igrant et uoit. Il esc rie	---⌫-|-|-|----|-⌫|----|-|----|-|---⌫--|
Pre ndés le moi	---⌫----|-|--|
Gardés queci s	------|--|--⌫|
t rai tr e nemefoloi tI	-⌫---⌫--⌫|-|-|-----⌫||
enferai meiustiche	-|----|-|-------|
en poistSeloncchou qu il	-|----|-----|---|-|-|
semainea tel desroi.EtFranço isli	-|----||--|------|-|-------⌫-|-|
ontdit uousa ués	--|--|---|-⌫---|
droit.CIXFran c ̧oi s i sont u enu	-----|--|----⌫-⌫---⌫||---|-⌫--|
comm una l mentEt	----⌫---⌫-⌫---|-|
sai sirentMakair e de maintenant Tousli	---⌫-----|------⌫|-|---------|---|-|
on t desronpu ses	--⌫|-------|--|
ga rnimens .Loeysiure Dieuomnipotent Ian i strade	--⌫-------⌫|----|---|---|---------|-||-⌫---|-|
prisonensonuiuan t S El ie mon	-----|-|--|-----⌫||--⌫-|--|
serougeuifne	------|--|-|
Fieusaputainlech ier esfelsouduiantDe liuréstos t	----||-----|----⌫---⌫-|--|--------|--⌫------|---⌫|
.m.mars dargent	--|---||-----|
Etlorqu e lieu s	-||-|--⌫|-|--⌫|
mis enc ouent.	--|-|-⌫-----|
-S ir eche distMakaire squ iledes fentTa nt	|-⌫--⌫|--|---|-------⌫|--⌫|-|---⌫---|--⌫-|
donraidestr ie rset	-----|-----⌫--⌫-|-|
g ar nimensLacord[anch]e enertfaite a	-⌫--⌫-----||-----------|-|--|----||
so ntalent.CX-	--⌫|------|-||
Sir e chedist	---⌫|--|---|
Makair es por	------⌫-|--|
merch i Tant li	-----⌫|---|-|
donraidestrie ret uairet	-----|-------⌫|-|---|-|
aco rd a nche enferai a sonp laisir.Puisi raiaLossane	---⌫--⌫-⌫---|-|----||--|-⌫------|---|-⌫--||------|
ui(e)ngch i Iamais	------|--⌫|-----|
nequircen t rerence spais. - Tais	-|----|--⌫-⌫--|-|--⌫|----||---|
glo usdis t	---⌫-|---⌫|
l enp ereres nest	|---⌫-----||--|
mieensi Iam ais e n to n	--|---|---⌫--|-⌫|--⌫|
uiuantniras	-----||---|
de chiSEliemon	-|--||---|--|
s erougene me	-⌫-----|-|-|
r ensuif .	-⌫--|---⌫|
Fieusaputain	----||-----|
p ariure s felDe ́(x)	-⌫------⌫|--|--⌫---|
menti[s]Tul	-------|-||
aforchedece s paisSi	|-----|-|--⌫|---|-|
lef esis deF ranche atort bannir.	-|-⌫---|-|-⌫-----||---|------|
CXILoeysapelacontesetdusSil ora	--|----|----|-----|-|--|-|-⌫-||
escriéamol t	------||---⌫|
gra nth u(s )Prende ́smoiche	---⌫-|-⌫---⌫|------⌫-|--|--|
gloutoncheDieu pariur	------|--|---|-----|
Sel i ete ́sen ma	--|-⌫---⌫-|-|-|
cartree lfont l aius.Etil sifisse nt	-----|-⌫|---|-⌫|---|-|-|-|-----⌫-|
senpre n at ar gentplus. Lisa intsonen t a su espre[s ]	-----||--⌫--⌫---|----|-|--⌫--|-----⌫|-⌫|-⌫-------⌫|
uo nt t uit Partoutelachitél eua	--⌫-|-⌫--|--|----|-|-----|-⌫--|
li bruis Chedientqu	-|----|--|----|-|
furentquil ontueuLiboin[s]destrier[s]Aiol	-----|--||--|--|-|------|----------|---|
a to ut uencu . CXIILiro isistdel moustier	|--⌫-|-----⌫|---|-|--⌫-|--|--|-------|
apre ̀sE t pristlenfant	----⌫-|-⌫|----||-----|
Aiol parle mantel.	---|--|-|------|
roi[s]LoeysaldamoiselDescheuauscas	-----|----|-|-------|--|------||-|
uencus me st il	-----||-⌫-|-|
mol t belOr serés com paignonuouset Iobert	---⌫|--|-|-----|---⌫------|---|-|-----|
er tl iti ers	--⌫|-⌫|--⌫--|
deSai ntLam bertL autre iormenpr oieren ta	-|---⌫-|---⌫---||----|--||-|--⌫------⌫||
saintMarc e l .-Sir e chedist	----|----⌫-⌫-⌫||---⌫|--|---|
Aiol[s]sicomuous	------|-|--|---|
Desqueuousleuole ́smolt	--|--|---|-|----⌫-|---|
m enestbel.	|-|--|---|
CX III Aiols	--⌫--|----|
fu cheualiers	-|---------|
pr eu setco rtois Yl aires	--⌫--⌫|-|--⌫----|--⌫----|
e t I obersf u	-⌫|-⌫----|-⌫|
moltadroisSi sesontcompaignié	---|-----|-|-|---|----------|
d eua ntle roi	-⌫---⌫-|-|--|
Sorsainzse son t iuré	--|----|-|---⌫|----|
un s nefaural	--⌫|-|----||
riensquisoit .	----|--|----⌫|
Barondi stl enperereorestes	----|--⌫-||-------|-|----|
troiOrpoésuo s ma guerremi ex	---|-|----|--⌫|-|-----|--⌫-|
main tenoirEtfaire par	----⌫-----|-|----|--|
to ut uouoloir.Auousm an cleim faitil	--⌫-|-|------||---||-|----|---|-|
François Sarrasinmedemainent	--------|-------|-|--------|
agran tb elloiEt sonta	|----⌫|-⌫----|-|---||
Panpelune iel saideuoir.Un [s]	--------|--|--|-|----|--⌫--|
paien[s]ledistchi que	-------|-|---|--|--|
bie n encroi Si	---⌫|-|---|-|
meu i(e) ntdesfierdeuantFrançois	-|-⌫----⌫-|------|-----|--------|
Cuidés uo sdontsi gnorque nem en	------|--⌫|---|--⌫---|--|-||-|
poist Signo rfranc	----|-----⌫|----|
cheualierquim ii r o itCertesqu ices t	--------|--|||-⌫-⌫-⌫-|-----|--⌫|---⌫|
mess ag e me	----⌫--⌫|-|
furniroi tTouslesio r s	--------⌫|---|--|--⌫-⌫|
demauie mongréaroit Et	-|-|--|--|---|----|-|
desistMibrienquilm	-----|------|-|-||
a tendroitEt lai sastmoi	-⌫-------|-|---⌫---|--|
bienfero i t.Do n tseteur ent N o rmant etHurepois Et	---|----⌫-⌫-|--⌫-⌫|-|----⌫--|-⌫-⌫----|-|-------|-|
Flamencet Bert onet li Fra nço isMalaitcil	------|-|----⌫-|-|-|---⌫----⌫-|--|--|--|
leue r de sdois	----⌫|--⌫|---|
TantdoutentMibri encel r iche roi .Aiols	---|------|-----⌫-|--|-⌫---|---⌫|----|
mol tcortois	---⌫|------|
Q ui ses compaignonstraisten	-⌫-|--|----------|-----|-|
.I.recoi. CXIuAiolsenape lasescompa ignons	--|-----|---|----|-|---⌫-|--|-----⌫-----|
E n tendés fait	-⌫-⌫------|---|
ilchasignorbaro n.Dont nauésuous oi	-|--|-----|----⌫-|---||----|---|-|
de lfil K arlonQuis is	--⌫|--|-⌫----|--||||
est dementésuo ia ntaustous	--|--------|--⌫--⌫-|--|---|
Que Sarrasin li	--|-------|-|
tolent t outa	-----|-⌫--||
ban donLonor que	---⌫--||---|--|
conqui stKarles a espero n	------⌫-|-----||------⌫|
Etsontaparellié	-|---|---------|
ca rialo ns.	--⌫||---⌫--|
Des crestie n s ochientagr ant	--|-------⌫-⌫|------||--⌫--|
fuisonEt dame setpu celes et	-----|-|----⌫|-|--⌫----|-|
enfanç ons.Signo r	-------⌫---|-----⌫|
porlamorDieu	--||---|---|
car ia lons	--||-⌫---|
Nosceuausetnosa rmesi	--|-----|-|--|-⌫---||
conduisons Ets oionsen l a	---------|-|-⌫----|-|-⌫|
t eresiseiornons. Par le mienensi an t	-⌫--|||---------|--|-|---|----⌫--⌫|
iane n uenrons	-||-⌫|------|
Tantcaronsfaitbata illeu ers	---||----|---|----⌫---|-⌫--|
lesfe lonsDont	--|--⌫---|---|
par l atere	--|-⌫|---|
ir a molt gransren ons.Etci lli	--⌫|---|----|---⌫---|-|--⌫|-|
respo ndirentpar grant amor	-----⌫------|--|----|---|
Sire auostrepla isir	---||-----|---⌫---|
n os enferons Cariapornuleriens	-⌫-|-|-----|--|-|--|---|----|
neu osf aurons Mai s faites uouoloir	-|-⌫-|-⌫-----|---⌫|-----|-|-----|
nouslotr ions.	---||---⌫----|
CXuLitro ibaronrepairentquant ore ntconsel li e ́	--|-|---⌫|----|--------|----|---⌫-|------⌫--⌫-⌫|
assises rensdes barons cheualier[s]. E ncore	----|-|---|--|-----|------------|-⌫----|
se demente	-|------|
rois quiF rancheti e ntBar ondist	---|--|-⌫-----|--⌫-⌫-|---⌫-|---|
lenpere repar	|------⌫-|--|
sa insdesosie lDon tnetroueraiioue n	--⌫--|-------⌫|---⌫|-|-------|--|-⌫|
macort ch eualier	-|---|--⌫------|
Qui uo is taPanp elun e	--|--⌫--⌫||----⌫----⌫|
m onmessa ge	-⌫-|-----⌫-|
nonc hierEnco rs e t eurent	----⌫---|----⌫|-⌫|-⌫-----|
tout AlemantetBaiu ie rEt	---|------|-|----⌫--⌫|-|
Nor mantetBreton	---⌫---|-|-----|
etFlament et	-|------|-|
P ohierMalde(l) cel	-⌫----|--|----|--|
quiosastneleuernedrechi er	--|----|-|----|-|------⌫-|
Tantdouten tSarra sinsetcel ro iMibrien.Aiol[s]l i fieus	---|------⌫|-----⌫---|-|--|--⌫|-------|------|-⌫|----|
Elieestsaillissusen p iés	---|--|------|--|-|-⌫---|
E n trestoutelacortnotplus	-⌫|--------|-|---||-|---|
b el cheual ier Ne nulmiexacesm énemieusa parellié	-⌫-|------⌫--|-|--|---|-----⌫-|-|----|-⌫--------|
mieussacheparolle apreudome	----|----|------||-------|
non chier. De uantle roide	---⌫-----|--⌫---|-|--|-|
Fran c hesen	----⌫-⌫-||-|
uintest eren piésSihaute mentparlaq ue onl	---|---⌫-|-|----|-|-----⌫---|----|-⌫-|-||
entendibie n Siredr oisenpereresfaitespais si	------|---⌫|---|--⌫--|--------|-----|---|-|
Sarrasi nuo s gueroient	-------⌫|--⌫|--------|
sien estes	-|-|----|
irie ́s Etsont a	----⌫-|-|---||
Panpel uneparforchehebergié(s).Iou et mi	------⌫--|--|-----|------------|--|-|-|
compaign on qui	--------⌫-|--|
molt f o nta pr o si erQue uosmaués biaus sire	---|-⌫-⌫-||--⌫-⌫--⌫-|--|--||----|----|---|
fianciésI rons a Panpeluneuo messagenonchier E tde	--------|-⌫---||--------|-|------|-------|-⌫|-|
lauostrepartuotere	-|-----|---|-|---|
calen gier.-Amischedistli	-----⌫----||---|--|---|-|
nepeutes treotr oi é(s )uosmauésde	-|---|--⌫--|---⌫--⌫----⌫|--||----|-|
m aguere richement	-⌫|----|--------|
tr ai t a ciefNeuos u auroi [ e]perdreporla	--⌫--⌫||---|-|--|-⌫-----⌫-⌫-|-----|--|-|
Asséstrouerai mès	-----|-------|---|
q u iuaurai en uoier.- Si r e che	-⌫||-----|--⌫-----||--⌫-⌫|--|
distAio l [s]nepla chea Dé(x)de l	---|---⌫-⌫--|-|---⌫--||-----|--⌫|
cielQ ue ia enlieusd e	---|-⌫-|-|-|----|-⌫|
moii so itautre enuo iés	--||--⌫-|----|----⌫---|
Carnusnesedoit faindrede son	--|--|-|-|---|------|-|--|
signora idierAcel[e]eurequ	-----|-⌫----||-----|---|-|
iluoit qu ilen a	-|---|-|-|-||
mest ier.-Amischedistl irois tant	----⌫---||---|--|---|-⌫|---|---|
su ieplusiri és.	-|-|---|---⌫---|
Orme po ésdontdirelefor t	-|-|--⌫--|---|---|-|---⌫|
roiMibrie nC	--|------⌫||
agrant tort	|----|---|
tientla terredon t	----|-|----|---⌫|
ie suiiretiersQu ec on quis t	-|--|-------|--⌫|-⌫--⌫----⌫|
Karlemaign es me speresliproisi ésMais	----------⌫-|--⌫|----|-|------⌫--|---|
uieng eamoi dro it	-----⌫||--|---⌫-|
faire [ui]ci	----|-|---|
aO rl iens APar isu a Cart res	|-⌫--⌫---||---⌫-|||----⌫--|
bourcSaint	----|----|
Michie lUlauie seraietm acor tplus	------⌫||-||-|----|-|-⌫|---⌫|---|
gr anti]ert	--⌫--|----|
Facheluietseshome sl e uer	----|--|-|--|----⌫|-⌫-⌫--|
et baptisier	-|--------|
fa irenelicel é snientQue ie lirai requerre	--⌫--|-|-|---⌫--⌫|----|--|-||---|-------|
encest es té	-|---|--⌫--|
pr emi erNeli larai chité	--⌫---⌫-|-|-|----|-----|
neborc adesrochi erNe	-|---||--------⌫-|-|
ha uteto rdepiere necastel	--⌫--|--⌫|-|----|-|-----|
abrisier Et seielpuis	|------|-|-|--|---|
neamesmainsbaillierAins	-||--|----|-------|---|
l aidem ort ne fu	-⌫---|-⌫--|-|-|
essilliés Congefer a ison co r shoni retuer gongier. -	---------|--|-|---⌫-⌫|--|--⌫-⌫|----⌫|-|---⌫-------||
Sir e di s tliAiol sche lidir agebienEt	---⌫|--⌫-⌫|-|----⌫|--|-|---⌫|-|---|-|
encoreassés	-----|-----|
miex se Dex laot roié. Del palaisenauale	---|-|--|||--⌫-----|--|-----|-|----|
quantil ot	----|-|-|
congiéAl ost el	------|||---⌫-|
Ysabelsont	-----|---|
la nuitrepairie ́Amolt	-|---|--------⌫||---|
grant ioie sont	----|---|---|
lan uitesbanoiéEtaprèsle souper sesontalé	-|-⌫--|--------|-|-----|-|-----|-|---|---|
couchie[r]SAiol[s]dortenson lit a ente peut	---------||------|---|-|--|--||---|---|
Car l iparentMakairesef urentporcachiéEtfurent	--|-⌫|-----|------|-|-⌫----|---------|-|-----|
iusca .x.liquiuertrenoié.En . I.	---||--|-|------|-------|-|-⌫-|
esconssemis entdeden s	-----|-|---⌫--|-----⌫|
.i. mostieru ie ́sDist Feransde Losan equi	--|------|-⌫--⌫-|---|-----|-|-----⌫|--|
Makaire estoit	------|-----|
niésEntendés chauersmoinobile cheualierCon	----|--------|--|---|--|-----|--------|--|
somes trestout honi	----|-------|---|
et uergongie ́Parun glouton	-|---------⌫|--|-|------|
e strainge	-⌫-------|
cliné et abaisiéCar parlui est mes onclesen	-----|-|-------|--|--|--|--|--|-----|-|
trebuchi é [s]	--------⌫--⌫--|
Etto us nosgransl inages ho n ni[s]etuergo ngié[ s]	-|--⌫-|--|----|-⌫-----|--⌫-⌫----|-|-----⌫------⌫-|
d ru[s]le roiet maistre c on seillier[s]Etuait a	-⌫----|-|--|-|------|-⌫--⌫----------|-|---||
Panpeluneson messagenonc hier. Le	--------|--|------|----⌫----|-|
enirane(n)n	-|--|----||
e straqueil tiersMaisquior se poroitanuit	-⌫---|--|-|----|---|--|-|-|-----|----|
porcachierEl bos deQ uintefeu lle fu isiemesenbusc ié	---------|-|--|-|-⌫--------⌫--|--⌫------|------⌫--|
poriens dem aintous les	------|---⌫--|---|--|
memb r estranchie r Il ne seroit	----⌫-⌫-|--------⌫|-|-|-----|
iam aisp ar nul	---⌫--|-⌫-|--|
homeueng iés Ne sauonsdontil est	---|----⌫---|-|-----|---|-|--|
terreu ient.Li. x.s	----|-⌫----|-|-⌫-||
entrafierentgrant etfor tpautonn ier	-----------|----|-|---⌫|-------⌫--|
fauroitlautreporles m em brestran cier	------||----|--|--|-⌫--⌫---|----⌫---|
La mortA iol iur erent	-|---|-⌫--|---⌫----|
so r l es sainsdelmostie r	--⌫|-⌫-|----|--|------⌫|
Puismonteren t	---|--------⌫|
essele[s]desauferans corsier[s] Et	-|------|--|-------|---------|-|
pendenta l or cau s l es	------||-⌫-|---⌫|-⌫-|
quartier Et eu rentenlorpuin slesrois	-------|-|--⌫---|-|--|----⌫|--|---|
espi elsEt ontesroideslancesles confanons	----⌫--|-|--|-|-----|-----|--|--------|
Bienfur entilarméliquiuert re noié	---|---⌫--|-|----|-|------|--⌫----|
Daubercetde brun	|-----|-|-|---|
et desp e edac hier.Parnuitse n	-||---⌫-⌫||--⌫----|--|---||-⌫|
sontiss u de la	---|---⌫|-|-|
Orli ens Touten uit	----⌫--|----|-⌫--|
nefinerent lechité eslongierEl b os	-|-------|-|-----|--------|-|-⌫-|
deQuintefeulles e	-|-----------|-⌫|
fur e nte mbuissie ́Cil	---⌫-⌫-|-⌫--------⌫|--|
sires le s co nfong equi	----|--⌫|--⌫-----⌫|--|
[a]iugierToutelanui tif ur ent	--|-----|----|-|---⌫||-⌫--⌫--|
dessia lesclarier.	----|||---------|
