quant limundesfuestabliz	----|-|-----|-|-------|
ple ins derichec e s ed a ueirs	---⌫--|-|------⌫-⌫|||-⌫----|
dunte umesanozuoleirs	---|-⌫---||--|------|
nosenuousismesrepairier	--|-|--------|--------|
deceumes grantdesier	-||----|----|-----|
riches mocta	-----|---||
do nnoserion	--⌫|--|----|
for sie tez	---⌫|--⌫--|
nozgr a nzl igne es	--|--⌫-⌫-|-⌫----⌫-|
quiden os remestrent irees	--|-|-⌫-|---------|----|
lacuidames ioios sigler	-|-------|----|-----|
maisorriblenosful amer	---|------|--|-|-⌫|--|
eperilloseedemalaire	|--------||-|--|---|
furentli u e nt	-----|-|-⌫-⌫-|
contrai re	-------⌫-|
tantnosun ten pai nzesachiez	---|--|--⌫|--⌫---⌫-||------|
nesummes perilliez	-|-----|--------|
ia m ai s iusqu	-|-⌫--⌫|----|
a lafin deu mun t	|-|--|--|---⌫|
ientdesi fort neschaperont	---|-|-|---||----------|
ne nosestremesc u irs esmains	-|--|--|----|-⌫-⌫--|-|----|
d elangoisse detraireas rains	-⌫||-------|-|-----|-|----|
liezodc ordesodfuneaus	---|-|-⌫----|-|------|
odl a i ue denoz bateaus	-||-⌫-⌫-|-|--|------|
nonuolontiers quid ireespris	--|---------|--||--|-----|
auumici lez	---|--|--|
uos port pri s	--|---|---⌫|
maisdenuairuost re cite	---||-----|----⌫-|---|
n au umc orage	|--⌫-|-⌫----|
ne def orcer nedetolir	-|-|-⌫----|-|-|----|
ne deuostrepreieacoillir	-|-|-----|----|-------|
norreiz ia	|-----|-|
cridenos leue r	--|-|--|----⌫|
n e claim nosenestue tgarder	-⌫|----||-|-|-----⌫|-----|
tantpa rn osa	---|--⌫|-⌫-||
lamerg regez	-|--|-⌫----|
es inos a afebleiez	|-⌫|--||--------|
queagrant pai neestonsorpiez	--||----|---⌫-|----|--|---|
sipa r so mmesmesa ais iez	-|--⌫|--⌫---|----⌫---⌫--|
n eporr ionrien con mencer	-⌫|----⌫--|---|---⌫-----|
ne rientolir	-|---|----|
ne ri en forcer	-|--⌫-|-----|
l ach osedum nauums oing	-⌫|--⌫--|--||---|-⌫---|
mesterau umgrante beso ing	-----|--⌫-|----||----⌫--|
dereposere deseior	-|------||-|----|
tantuosrequeronpor a mor	---|--|-------|--|-⌫--|
paiz nos do nn ezentiere esa ine	---|--|--⌫--⌫-|------||--⌫--|
s egu re esi cer taine	-⌫---⌫-||-|---⌫----|
quennos treienz	-|-|---⌫--|---|
naitmesestan ce	|--|--------⌫-|
irecorr ozne	--|----⌫-|-|
ma uuoillance	--⌫---------|
sico nm and e zquaion marche	-|--⌫--⌫---⌫-⌫|-|---|-----|
querd re itementert esligi é	---|-⌫--⌫------|--|------⌫-|
niserafait for cene to rt	||---|---|---⌫-|-|--⌫-|
arienque nus	|---|--|--|
nosi aport	--||----|
nostresireest toz	-----|---|--|--|
moct malad emoctenfer mez	---|-----⌫|---|-----⌫--|
e moctdesoncor s enpei rié	|---|-|--|---⌫|-----⌫---|
querm octaura esté pl aié	---|-⌫--|---|----|--⌫---|
aura les mers sosfertes	---|--|---|--------|
pesmesorribles ecuuertes	-----|-------||-------|
ie u tozarm eza la	--⌫|--|---⌫-||-|
dumnaturesouents	--|-----|-----||
ta ntasofertpaine e labor	--⌫-||-----|----||----|
ass ezmale	---⌫-|--||
en uersuoss	--⌫---|--||
acuseedescue ure	----||------⌫--|
mes eest e ́aen	--||---⌫-⌫||-|
prouamau faitmoctsen repent	---||--|---|---||-|-----|
o ruossopleied ocement	-⌫|--|------|-⌫------|
queen c eusaintismebatesme	--|-|-⌫-|--------|------|
ou estmeslezluile e lecresme	-|--|-----||---||-|-----|
lefaceiz sanz	-|-----|---|
de la i ement	--⌫--⌫-⌫----|
prendre l ere genere men t	------|-⌫|--⌫------⌫---⌫|
pa rqueiraienzseitdes m es faiz	--⌫|---|-----|---|--|-⌫--⌫---|
edespeche zqueil a f aiz	|--|-----⌫|--|-||-⌫--|
ceuo sd imes ce sache z bie n	-|--⌫|-⌫---|-|-----⌫|---⌫|
moctdesire estrecrestien	---|-----|----|-------|
esecimuer t eciafin e	|-|-|----⌫||-|----⌫|
ei s icom mechascunsdeuine	--⌫-⌫|---⌫-|-------|-----|
saluliseiezerefui	---|-|----||----|
misericordeaiezde lu i	----------|---|-|--⌫|
quequantaura	--|----|---|
prisbate stire	---|----⌫----|
queciregisseencimitire	--|-|------|-|-------|
ci n lai ssiezlecor saporter	-||---⌫----|-|---⌫|------|
dece uo s uoilmerci	-|-|--⌫|---|----|
orentmoctde	----|---|-|
lisainze uesques elicuens	-|----|-⌫------||-|----|
erenten grant dotance	----|-|----|------|
quene loruenistmesc ha ance	--|-|--|-----|----⌫--⌫---|
parceleien tdesm esu ree	--|---|---⌫|----⌫---⌫--|
sor autrescriente	--|-----|------|
asme ssages unt graant é	-|--⌫-----|--|------⌫-|
c equilunt	-⌫|-|-|--|
quisedema ndé	---||----⌫---|
pa iz lort end rontferme eseg ure	--⌫-|--|-⌫---⌫---|----||---⌫--|
esaur ont marchi ea mesure	||---⌫--|------⌫||-----|
nedelorseignorb atizer	-|-|--|------|-⌫-----|
nele sconuientiapluspreier	-|--⌫|-------|-|---|-----|
quer tuitensuntapa reillié	---|---|-|---|---⌫-------|
od tan tsen suntc ilr epairié	-|---⌫||-|---|-⌫-|-⌫-------|
au reneie ́au deslaial	-|------⌫|-|-------|
al enne mipesme	||----⌫-|----|
untlaresponse re contee	--|-|-------|--⌫-----|
consa requeste ert	--|-|-------|--|
tantu nt parléd enbed eu sparz	---|-⌫-|-----||-----⌫--⌫|---|
quel a dotancee liregarz	--|-⌫|------||-|-----|
quiertentreusuint	--|--|---|--|---|
a paizfine	|---|---|
san zmauuoillanc eesanz haine	---⌫|-----------⌫||---|----|
de quantqu	-|------|
acors d omme	|---||---|
t rouen tmarch iegrant eplenier	-⌫-----⌫|-----⌫-|----||------|
sanz torzs anz	---|---|-⌫--|
noiseesanz	----||---|
a gran tconmune entrelor	|----⌫|------|----|--|
tuit liaueir	---|-|----|
quisunt uenal	--|---|----|
uend ret rait conmu nal	----⌫-|-⌫---|-----⌫--|
souentsenu ient esemo nn ent	-----||---⌫---||----⌫--⌫--|
epl usorsaueir ssent r edon n ent	|--⌫----|-----⌫||---⌫-⌫----⌫-⌫--|
en tretantu ntapareillié	--⌫------|-⌫-|----------|
comle i ud asseit batiz ié	--|-|-⌫--⌫-|---|-----⌫--|
li euesquesdommeinement	-|-------|-----------|
a f aitle saintefi e ment	|-⌫--|-|--------⌫-⌫---|
poplesdelac i te	-----|-|-|-⌫-⌫-|
i est uenuzeasemblé	|--|----||-------|
lasun talumé ligrant	-|---⌫|-----|-|----|
quantto t fuprestle	----|--⌫|-|----|-|
aporter sif ist li	------|||-⌫--|-|
li r eneiezlis oduianz	-|-⌫-----|-|-⌫------|
e sfonzentrema isr ienni p rent	-⌫|---|----|--⌫-|-⌫--|||-⌫---|
forsasarmedestruie ment	---|||---|--------⌫---|
ni receit pointdebatesti re	||-----|----|-|-------⌫-|
quantne s amend eai ceis s	----|-||-----⌫|--⌫---||
quantqu ilrespont e ditesonne	------|-|------||--||----|
a diable sse liure e donn e	|------⌫|-|----||----⌫|
las lieu es qu esfu	--|-|--⌫--⌫--⌫-|-|
esieutintliquens od	|-|-|---|-|----|-|
quantl i me sti ersfua c ompliz	----|-⌫|--⌫---⌫--|-|-⌫-⌫-----|
pl aignanzpalesdescoloriz	--⌫------|----|---------|
sen est fa izporter en	|-|--|--⌫-|-----|-|
commaladeses nesarriere	--|------|-|--|------|
aube octeensonchef	---|--||-|--|---|
por fa i replus celant	--|--⌫-⌫-|---|-----|
amandésonconse il	|-----|--|-----⌫-|
e c eus qu iplus lisuntfee il	|-⌫--|--⌫|---|-|---|---⌫-|
bier e des autresplusors	---||--|-----|------|
sagese desmaiors	----||--|-----|
satra isone same r ueille	-|---⌫---||-|--⌫-⌫-----|
lo r dit econc reit	--⌫|--||----⌫---|
eco nseille	|--⌫------|
eis icomi l la	---⌫|--|-⌫|||
es ga rdee	--⌫--⌫---|
eporueue ep orpensee	|------||-⌫-------|
enuitfaitil	----|---|-|
san z plustarzer	---⌫|---|-----|
mir eizplorant direenoi ncier	|--⌫--|------|---||---⌫----|
laienzleuesq ueapertement	-----||-----⌫-|---------|
eau contetotensement	|-|----|--|-------|
sui passez efeniz	--|-----||----|
preieze lo rcrie z m erciz	-----||--⌫|----⌫|-⌫----|
oddeolod plor	-|---|-|---|
que nla cite	-|-⌫|-|---|
seie enfoie enterré	---|----||-------|
l aenlaisse ntmo ncors porter	-⌫|-|------⌫-|--⌫|---|-----|
quer co n e	---|-|-⌫|
deiuent pas uee r	------|--|---⌫|
lo rf illosuiecrest ien	--⌫|-⌫---|--||-----⌫--|
si les e n prie re querbien	-|--|-⌫|--||--⌫---|---|
mesarmes t otes ma uaiselle	--|----|-⌫---|-|-------|
madespuil le qui m octe stbele	-|-------⌫-|--|-⌫--|-⌫-|---|
e ce quimien est	|-|--|---|--|
tres t otmo nore	----⌫-⌫-|--⌫|-||
monar gent	--|--⌫---|
lordo nc h lorliur ee lor ot rei	--|--⌫--⌫|--|----⌫||--|--⌫--|
porde saien tmerci	--|-||----⌫|----|
cis t penseren t de lor message	---⌫|--------⌫|-|--|------|
dedesleiferm apri se sage	-|-----|---|----⌫||---|
dauantlesseig norssunt uenuz	-----|--|----⌫---|---|----|
pl aignanzploros eirascuz	--⌫------|-----||------|
auisonqu es puentparler	--------⌫-|----|-----|
n e uospoom	-⌫|--|---|
f u ntil celer	-⌫-⌫-|-|----|
uostr e fillolnostr e seig nor	-----⌫|-----|-----⌫|----⌫--|
m orut ennuitentorle ior	-⌫---|-----|----|-|--|
deol edama ge	---||----⌫-|
lemeillo r	-|------⌫|
homme eleplus	----||-|---|
qui s eiten totl e	--|-⌫--|-|--|-⌫|
muntr emes	---|-⌫---|
merci uoscrientcil desnes	----|--|-----|--|--|--|
uolent tu itsopleier	-----|--⌫-|-------|
quelaenmice	--|-|---|-|
gra ntmos tier	---⌫-|---⌫---|
que mand eizsoncors seuelir	--|----⌫--|--|---|------|
eenterrer eenfoir	|-------||-----|
dons uos laissagranza sa	---|--|-----|----||-|
q u il commandaque n u os aport	-⌫|-|-------|-|-⌫|-⌫-|----|
quimoctsuntg ra n te	--|---|---|-⌫--⌫-⌫||
merueillos	---------|
ebeleprecios	|--||------|
des queil un toil a ueir	--|--|-|--⌫|-||-⌫---|
s igrantsifait ame n teueir	-⌫|----|-|---|---⌫-⌫-----|
d ece ufurent maintenant	-⌫---⌫|-----|---------|
deu receiur esuntdesirant	--|-------⌫|---|-------|
chas cunsleuoctele desire	----⌫---|-|---||-|-----|
ni oct neientde	||--|-----|-|
lescondire	|--------|
quainzuntot r eie ́ epramis	-|---|--|--⌫-⌫---⌫||-----|
quenmil iglisesera mis	-|---||-----|---|--|
odgr a nthonnorhonnest em ent	-|--⌫-⌫-|-----|-------⌫--⌫--|
com il p luspor enthau temen t	--|-|-⌫--|---⌫--|---⌫-----⌫|
cil su nttuitioio setuitlie	--|--⌫-|---|----⌫||---|--|
arr ere ahast en c	---⌫--||----⌫--⌫|
repa ir ié	----⌫--⌫--|
die ntcon l et reianc e	---⌫-|--||--⌫------⌫|
penst qu e l eureseitacheftraite	----|--⌫||---|---||---|-----|
quant licuuerzoctlarespons	----|-|-----|--|-|------|
pensisnenbrons	-----||------|
quihaitiez epleins	--|------||-----|
de sioiance	|-⌫-------|
semundre afait	-------||---|
sanz de morance	---|--⌫------|
le sprinceseles	--⌫|------||--|
cheuetain es	---------⌫-|
e lesp l usmai stresdes com paign es	|--|-⌫-⌫-|---⌫----|--|---⌫-----⌫-|
tuit sasemb lerentcon munal	---||-----⌫-----|---⌫----|
puislorad it	---|--||-⌫-|
seigno ruassal	------⌫|-----|
sifai teoure	-|---⌫-|---|
uuilconmenc er	---|-------⌫-|
por uos pluscreistreeessaucer	--|--|---|-------||-------|
i elaisif aiteesitra itee	-⌫||-|-|-⌫---||-|---⌫---|
es i uerseusa pareillee	|-⌫|---|--|-⌫--------|
qu eniaf i ert pasgranzesmais	--⌫|||--⌫-⌫--|--|----|-----|
moctdeu um	---|---⌫-|
enbrace rgrantfais	-------⌫|----|---|
porsifaitecitec onquerre	--|-|----|---|-⌫-------|
quesirichenaenterre	--|-|----|||-|----|
oulitre sorsu nt am assé	-|-|---⌫--|--⌫-|--⌫----|
de loingconquis	-|----|------|
ce est ro mmeque ciu eez	-|--|--⌫--|--|-|-⌫--|
ladamedesautr e scitez	-|---|--|----⌫-⌫|----|
p asl egereaf orce a prendr e	-⌫-|-⌫----||-⌫---||------⌫|
t rop iaueitient	-⌫--||----|---|
au de sfendre	-|--⌫------|
m ai siaitantfait p arler aslor	-⌫--⌫||-|---|---|-⌫----|-|--|
porr eiz estreseignor	----⌫--|----|------|
parartde itlonceengignier	--|--|--⌫-|--|-|--------|
oufor cenulen a mes tier	-|---⌫-|---|||---⌫---|
mortmefaid reizmaisdesnozienz	---|-|----⌫---|---|--|--|---|
ne se i tpeti zliploremenz	-|--⌫-⌫|----⌫|-|--------|
libraiz l icriznela me rueille	-|----|-⌫|---|-|-|--⌫------|
dune chere	|--|----|
porp reuermeille	----⌫-|--------|
me cou err eiz enune	-|---⌫---⌫--|-|--|
eisiplaignantenteu maniere	---|--------|-|--|------|
memp orter eizen l acite	|---⌫-----⌫--|-|-⌫|---|
demesarmesmoctb i enarmé	-|--|----|---|-⌫-⌫-|----|
m espeem emetreizle zmei	|----|-⌫|------|--⌫|--|
e ce usqui f erontleco nuei	|--⌫-|--|-⌫----|-|--⌫---|
plore nteplaignentdurement	-----⌫-||--------|-------|
e tuit cildesnex e nse ment	|---|--|--|--|-⌫---⌫---|
armes belesegarnemenz	----|----||--------|
eaueirsprecioseienz	|-----|------||---|
eu aiseaus dor chersaue nanz	|-⌫------||-|----|---⌫---|
ouait perresresplendissanz	-|--|-----|-------------|
porte zdauant	-----⌫|-----|
pordepartire	--|-------||
por donner	--|-----|
s ozlescha pes aiezmucees	-⌫-|--|---⌫--|---|-----|
le sesp ees e l esc oignee s	--⌫|---⌫--||-⌫-|-⌫------⌫|
ele s coteauslonsgra nz dacer	|--⌫|------|---|---⌫-||---|
rienqu apare i ller	---|-|-----⌫-⌫---|
cipareis seuostre uistece	-|------⌫-|-----|------|
uostre ualor uost re	-----|----|----⌫-|
cesteour e est grante cest	----|---⌫|--|----||---|
g ardezna itenuos quer efaire	-⌫----||-⌫-|-|--|--|-⌫-----|
non au raelceli responn e nt	--|--⌫-|-|-|-|-------⌫-⌫-|
hastentmoct lesemonnent	------|---|-|--------|
demurt querennulsens	-----|---|-|--|---|
iauenir a te ns	-|----||--⌫-|
trestot issi com	------|---|--|
fus em presgr anz	-|-⌫--⌫---|--⌫--|
licr i zleuez	-|--⌫-⌫|----|
li b raizliusl eme nzliplors	-|-⌫---|-|---⌫---⌫-|-|----|
n efuoietex dolors	-⌫|-|--|--|-----|
leueque sfa i tle s sain zs onner	|------⌫|--⌫-⌫|--⌫|----⌫|-⌫----|
as ienzeau	-|---||-|
poplea ssembl e r	----|-⌫------⌫-⌫|
quienmaint sene rte spandu	--|-|----|--|-⌫-|-⌫-----|
tuitli couenti	---|-|-----||
e liclergiezconmu naument	|-|-------|-----⌫------|
reu es tubele	---⌫--⌫-|--||
a lo u sequechantere	||-⌫-⌫----|------||
alascon doloro s afaire	---|--|------⌫|-----|
comfaitpechecomgr antd o lor	------|----|--|--⌫--|-⌫-⌫--|
tu itlihaut prin cee limei llor	--⌫-|-|---|----⌫-||-|---⌫---|
is untuenumort receueir	|-⌫--|---|---|-------|
po ctlonmais	--⌫-|--|---|
nire maint dam equi n iuie n ge	||--⌫----|---⌫|--|||---⌫-⌫-|
entorr ontmaiscecr ienge	-|----⌫--|---|-|--⌫--|-|
odcroizdoreodence nsiers	-|----||-||-|----⌫-----|
desi glisesedesmostiers	--|-⌫-----||--|-------|
s en eis sirentensemb leforz	|-|---⌫-----|------⌫-|---|
conmunau ment con tre locors	--------⌫---|---⌫--|-|---|
quel ipaienent re usporterent	--|-⌫|----|---⌫|-⌫-|--------|
quiestrangedo l	--|-------|--⌫|
demenerent	---------|
nondol qui semblantdedol or	--|--|--|-------|-|---⌫-|
commef elo netraito r	----|-⌫---⌫||------⌫|
lor ri blechienle	|--⌫--⌫--|----|-|
en untporté a	-|--|-----||
leuesqu ie	|------⌫-|
ousiss ar queus esi to n beiaus	-|--|-⌫--⌫----||-|--⌫-⌫-----|
ertapare il l ez	--|-----⌫--⌫-⌫-|
ienz ebeiaus	---||-----|
d umroisseizm en er	-⌫-|-------|-⌫--⌫-|
li euesques pors on fill ol	-|-------|--|-⌫-|----⌫-|
chan telamess ehau temen t	----⌫-|-|----⌫|---⌫-----⌫|
e lipoples u intela ient	|-|-----|-⌫--||-|---|
quantditefuecelebree	----|---|-||-------|
m aneissanza utr ed emoree	-⌫----|---|-⌫---⌫|-⌫-----|
un tlabere	--⌫|-|---|
e le corsassis	|-|---|----|
laouildeueit estre	-|-|-|-----|----|
iaobsequeniertmais	-|------||---|---|
ausicrueu m entdepartie	---|-----⌫-⌫--|-------|
eli paien quig rantdeolf unt	|-|----|--|-⌫---|---|-⌫--|
dientque iane	----|--|-|-|
usofriront	|--------|
que lorseigno rseitenterrez	--|--|------⌫|---|-------|
ainz ertcosuz eenbasmez	---|--|----||-------|
silemporterontcestl a fin s	-||----------||--|-⌫|---⌫|
del arequeste as sarraz i ns	-|-⌫|-------|-|------⌫-⌫-|
su nt crestientuitesbahi	--⌫-|-------|---|-----|
e haste ncest em	|-----⌫-|--|-|
piezsailli	---|-----|
enzens onpoi ng s e speen ue	--|-|-⌫-|---⌫-||-⌫---|-⌫-|
comm aledesertea rendu e	--|-⌫--|------||-----⌫|
a sainteuesqu es omparr ein	|----|------⌫|-⌫-|----⌫--|
fendideci queu sa in	----|---|-|-|--⌫-|
mortl ae le conte	---||||-|----|
s a i ldesmeil lorsplus de cent	||-⌫|--|----⌫---|---|-|---|
paien untle s po rt es serrees	----|--|--⌫|--⌫--⌫-|------|
lese is ues e lesentrees	--|-⌫--⌫--||--|------|
li cleriezestenzdesarmé	-|------|--|--|-------|
e tuiticild ela	|---|---|-⌫|-|
nuntdesfensen	|--|-------||
enu nt odquei	-|-⌫-|-|---|
fu mais o izsifaitdeslei	-|---|-⌫-|-|---|-----|
detr enchentlesn ossaiplus di re	----⌫------|--||-|--|---|--⌫-|
alas comdolero s ma rtire	---|--|------⌫|--⌫----|
h auzcriz criente	-⌫--|---|-----||
an goiss os	--⌫-----⌫-|
denulepartnesun trescos	-|---|---|-|---⌫|-----|
braient dame s	------|----⌫|
plorentpuceles	------|------|
cui lencopebrazemame le s	--|--|---|---||----⌫--⌫|
sozlesa utexles escer uient	--|--|-⌫---|--|-----⌫----|
tot detrenchenteto tocient	--|----------||--⌫|-----|
desancpleinsli	-|---|-----|-|
atozfuicil iorzde r riers	|--|-|---|---|--⌫-⌫----|
perdue un tuie temporal	-----|--⌫|--|-------|
orlor dont d e xlespe rital	-|--|---|-⌫-⌫||----⌫----|
parmilauiles	----|-|---||
espan dirent	-----⌫-----|
ou de s plusforzs ed e sfendir ent	-|--⌫|---|---|-⌫|-⌫-⌫-------⌫--|
quiui f n ese lai sse ntbaillier	--|--⌫|-⌫|-|---⌫---⌫-|-------|
des fensen	---⌫----||
toteuei eslancent	-------⌫-|------|
e traie nt	|-----⌫-|
e m octocient d	|-⌫--|-----||
euseplaient	--||------|
maisci ldesnexarmez eprez	---|--⌫|--|--|----||---|
se furen ttost io stezodcez	-|-----⌫|---|--⌫---|-|--|
d um n i octpuisretenement	-⌫-|||--|---|---------|
ceusliurerenttoza	---|--------|--||
quiltro uer entie n	-|-|---⌫---⌫--|-||
en saiplus	-|--|---|
esttoz lo rlidesus	--|--|--⌫|-|----|
d esor un t	-⌫-|-|--⌫|
il tantespleitié	-|---|---------|
amaist ra i t nelancié	|---|-⌫--⌫-⌫|-|------|
n e l a ioine	-⌫||-⌫|-|-|
nee nnuleestoir e n eu l is	-|-⌫|---|------⌫|-⌫||-⌫-|
ienznenit eugui se	---||-|--⌫-|---⌫-|
dore occise	|--|-----|
oru ntlauile e n	-|-⌫-|-|---|-⌫|
lor domai ne	--|-----⌫-|
d aueirsederiche cespla ine	|-----||-|-----⌫--|---⌫--|
poenttres orstro uer	----|----⌫--|---⌫--|
nesempor runtdemi	|-|-|---⌫---|---|
des danze les desiouenceaus	--|-----⌫--|--|---------|
q uipl us lorsembl en ti enze	-⌫-|--⌫-|--|-----⌫--⌫|-⌫--||
prennent sisfuntasnexcondui re	-------|-||---|-|--|------⌫-|
em puet nusf oirnesduire	-|---|--|-⌫--||------|
quodforz l iens	-|-|---|-⌫---|
l esfunt destrein dre	-⌫-|---|--------⌫--|
desorunt maisa ssezque p l aind re	--|-|--|---|-⌫---|--|-⌫-⌫----⌫-|
ora hastencetuit	-||------||---|
lo rioie edelorbuen	--⌫|---||-|--|---|
desor es t ilmoctglorios	--|-|--⌫|-|---|------|
l ariendump lus ert d esiros	-⌫|---|--|-⌫--|--|-⌫-----|
atraitachefquan t rommea	|----||---|----⌫|----||
cecuide ecrei ttotsanz	-|----||----⌫|--|---|
c e s eitelenen	-⌫|-⌫--|--||-|
quideu mundeala	--|--|----||-|
s eignor ie	-⌫------⌫-|
quichese nestda me apelee	--|---|-⌫|--|--⌫-|-----|
quantcelehonnorl enestdon nee	----|---|-----||-|--|---⌫--|
q ue caeti ent	-⌫-||||--⌫--|
cepuetau eir	-|---|--⌫--|
so r trestozceuscuideualei r	--⌫|------|---|----|-----⌫|
quiausegle untse igno rement	--|-|----|--|--⌫----⌫-----|
necuidemaistroue r	-|----|---|-----⌫|
de sauolunte ac om plir	-|-|------|--⌫--⌫---|
de u tot prendrenautotsaisir	--⌫|--|------||-|--|-----|
cecreit mai s	-|----|---⌫|
bie n s enen tremete	---⌫||-|--⌫------|
quele munde abiersoz me te	--|-|----||---|---⌫--⌫-|
aserracoronne	-----|------|
a inzque d emai npast or enon ne	-⌫-----|-⌫----⌫|---|--⌫|---⌫-|
netruisne pasnesui	-|----|-|--|-|--|
com queslisu ens corsf ust aid a nz	|--⌫---|-|--⌫--|---|-⌫--|---⌫-⌫-|
acestemo rt eltraison	|----|--⌫--⌫-|------|
n a cestegrantoccision	||----|----|-------|
orsu ntpa rmila ui leaaise	-|--⌫-|--⌫--|-|--⌫-||---|
riens nen estnulequi	----|--|--|---|--|
belef ennene ric he aue ir	---|-⌫---|-|---⌫-|---⌫-|
enaientaloruolei r	-|----||--|-----⌫|
enceste ioie ence ste honnor	-|----|---|-|--⌫--|-----|
quennec uidoctaueirgrai gnor	-|-|-|-⌫-----|----|----⌫---|
apristhastenc cene st lasomm e	-----|------||-|-⌫-|-|----⌫|
quecen e nes teit mie	--|-||-⌫|--⌫---|--|
sinfu d esue zeiras cuz	-||-|-⌫----⌫||----⌫--|
parpoiqu il n est	--|--|-|-||--|
deusene issuz	--|--|-⌫----|
lessuensafaitaseiuen ir	--|----||---||--|---⌫-|
coragedesco urir	-----|-----⌫---|
bier ifusisau oez	---||-|--|--⌫--|
edesautres plusors as sez	|--|-----|------|--⌫--|
iecui do e fa itil seignor	-|---⌫--⌫|--⌫-|-|------|
q ue cesteuilee c estehonnor	-⌫-|----|---||-⌫---|-----|
fustrommemais	---|----|---|
la chos eai	-|----⌫|-|
a p risee oie	-⌫-⌫---||--|
pensoe ce stnostre seignor	-----|--⌫-|-----|------|
enfeis sonemper eor	-|----⌫--|-----⌫--|
coronne eusteu ch efass ise	------|---|-|--⌫-|---⌫--|
ma is orest toten	--⌫-|-|--|--|-|
autreguise	----|----|
p ens aici fustli remaneirs	-⌫---⌫-|-|---|-|--------|
equece fus tma is anozeirs	|--|-|---⌫|--⌫-||--|---|
tr oploinge enfort ter re	--⌫-|----||-|---|---⌫-|
legereaconquerre	-----||--------|
sinoscelepartalion	-|--|---|---|----|
engrantperilnosmetrion	-|----|----|--|------|
tornonnos enenf r anc e	-----|--|-|-|-⌫-⌫---⌫|
terre estrichee plen ere	----|--|----||----⌫--|
edelitablee beleesaine	|--------||---||----|
nou nama i sgranttrauail ne	|-|||--⌫-⌫|----|------|-|
nouianeser onmaisdesdit	|-|-|-|---⌫-|---|-----|
tuito treientgrantepetit	---|-⌫------|----||----|
e issi cum soldeu snesen t aist	-⌫---||-|--||--⌫|-||-|-⌫---|
queces tlarie ns	--||--⌫|-|---⌫-|
quiplus l o r plaist	--|---|-⌫-⌫|-----|
o rfait loril deliurement	-⌫|---|--|-|----------|
naitqui s delaiement	|--|---⌫|---------|
seitgastie cest econtree	---|-----|----⌫|------|
es idestruite esirobee	|-⌫|--------||-|----|
que ni remaingebelaueir	--|||-------|--|----|
faim esaparei stre esa ueir	----⌫-|------⌫---||--⌫---|
u nc cornesuntné	-⌫--⌫--|-|---|--|
que nosaioniciesté	--|--|---|--|----|
cesteuiletote	----|---|---|
emparten ostr erote	-|----|-⌫----⌫|---|
seiente n cil	-----|-⌫|--|
me ne ́chaistif	--⌫--⌫|-------|
quiiserontbeltrouéuif	--||-----|--|-----|--|
mestier nos	------|--|
aurontgrantlesfennes	-----|----|--|-----|
quantlesauronen	----|--|----|-|
autresr ennes	-----|-⌫----|
elib a chel erdes fensab le	|-|-⌫-⌫----⌫-|---⌫------⌫-|
n os reseront partotaidable	-⌫-|-------|--|--|------|
si cum il disteissilefirent	-|--|-|---|----|-|-----|
unquesenceis nendep artirent	-----|-----||-|---⌫-------|
gasteef ularegion	-----|-⌫|-|-----|
etex ifulocision	|--||-||------|
queriens neu saureitreconter	--|----|-||------|-------|
lacite f ai tt oteesbra ser	-|---|-⌫--⌫|-⌫--|-----⌫--|
odgla iueeod	-|---⌫--||-|
feuco mmunal	--|--⌫-----|
est lida magese	--|-|--⌫----||
sigra n tquetotlaissent	-|---⌫-⌫|--|--|-------|
remaintui nneble	------|--⌫|-|--|
nemur net emplenepalai s	-|--|-|-⌫----|-|-----⌫|
sifa i tda mage norreiz	-|--⌫-⌫|--⌫---||-----|
quantlornexfurent apre stees	----|--|--|-----|----⌫----|
edaueirpreciosr asees	||----|------|-⌫----|
e derobesedeprisons	|-|----||-|------|
saisilesauiron s	----|--|------⌫|
hautdr eic ee s	---|--⌫---⌫--⌫|
qu i au uent fure nt despleiees	--⌫|-|---|----⌫-|---------|
u ersfrancet in drentlorcors dreit	-⌫--|-----|-⌫--⌫----|--|---|----|
celepartsiglentaespleit	---|---|------||------|
portre pristrent	---|--⌫--------|
quantbuen lorfu	----|---|--|-|
ertgairescontendu	--|-----|-------|
tantcunnemerse u nsf orzuenz	---||---|---||-⌫-|-⌫--|---|
eu ns moctorribles to rmen z	|-⌫-|---|-------|--⌫----⌫|
lesi ateint q ui leschaca	--||-----|-⌫-|--|----|
maslo rde bruisa	--|--⌫|--⌫-----|
lor u eillese lorgouernaiz	--|-⌫-----||--|--------|
unctexdo lors ne tex trauaiz	--|--|--⌫---|-|--|------|
nesofriientcomils ofr irent	-|----|---|--|-|-⌫---⌫----|
pluso rs de	-----⌫-|-|
lornexiperirent	--|--||-------|
nush uemnesetl au eir esme r	--|-⌫--|-|--||--⌫--|----⌫|
quilieterentaufonz	-|-|-------|-|---|
porlo rnexa uquessozleg ie r	--|--⌫|--|-⌫----|------⌫--⌫|
i celoragee c eutemper	-⌫--|----||-⌫-|-----|
lor duratantque	--|---|---|--|
portuntp ris	---|--|-⌫--|
en engle terr ecem estuis	-|-----⌫----⌫|-||--|--|
morze tu ez ee s t o rdiz	---||--⌫-||-⌫-⌫-⌫-⌫---|
resuntdepar tiz	-----|-----⌫--|
enu oct retorner	-|-⌫--|-------|
