nob leslil ions	---⌫--|-|-⌫---|
deiosteluilaasegié	------|--|||------|
bernarzli apr ié	------|-||--⌫--|
ensonlanga gedo uce ment	-|--|-----⌫-|--⌫---⌫---|
porr enart	--|-⌫----|
leuasermonent	-|-|--------|
enson langag e uost parler	-|--|------⌫|---|-----|
et li roisde bien onnore r	-|-|---|-|---|------⌫|
querenartuol oitdeliurer	--|-----|---⌫--|-------|
se uer slui l e	-|---⌫|--|-⌫|
peusttr ouer	----|--⌫---|
gentiz roisd istil entendez	-----|---|-⌫--|-|-------|
eta mapa r olees cout ez	-||-|--⌫-⌫--|--⌫----⌫-|
nepuetauoi rou	-|---|----⌫|-|
qui n e pardoneaucun	--|-⌫|------|----|
iesu cristpardonasa mort	---|----|------|-|---|
alui de ue zpa nreconfort	|--|--⌫--⌫|--⌫--|------|
aiezmercidoupecador	---|----|--|------|
se uer sdieu a	-|---⌫|---||
au cuneamor	--⌫---|---|
partelco nseilconsai d ona rt	--|--|--⌫----|--|--|-⌫---⌫-|
laissieza uoir ren art	-------|-⌫---|---⌫--|
p oruostreamor sui	-⌫-|-----|---|--|
etquere na rtne	-|--|--⌫--⌫-|-|
s oi t panduz	-⌫--⌫|-----|
mo ltfortpria lenperador	--⌫-|---|---||--------|
quilnecreust losa nia dor	-|-|-|-----|----⌫---⌫--|
elsieclenefont el quemal	-|-----|-|---|-|--|--|
enaurontinfernal	-|-----|-------|
po rqantserenart estuainc uz	--⌫----|-|-----|--|-----⌫-|
donezle moi si ertranduz	----|-|--|-|--|-----|
bons roisetpor	---|---|-|--|
to iespurg ar	--⌫|------⌫-|
encor p o rra b iend ieu	----|-⌫-⌫--|-⌫--|-⌫--|
sir epor dieule	---⌫|--|---|-|
de renartuossui afi gaz	-|-----|--|--|---⌫--|
moi neenferonsdieu seruira	---⌫-|-|-----|---|------|
enlordr eaman dera	-||----⌫|----⌫---|
auiazdis t	----|---⌫|
ilemperador	-|--------|
dieus neuiaut	----|-|----|
a ments o i e tface	-⌫---|-⌫-⌫|-⌫|---|
sa uuersepuetsa	--⌫---|-|---|||
selonclest at dougorpillaie	-----||---⌫-|--|---------|
ie rtma is touiorz ou	--⌫-|--⌫-|------|-|
no b lesententqueuoir a	--⌫-⌫--|-----|--|---||
n e luodro itauoirc ontredi st	-⌫||-----⌫-|----|-⌫-------⌫-|
der iens q ueil li	-|-⌫---|-⌫-|-|-|
afaire commandast	|----|---------|
renartlirandi bon em ent	-----|-|----|---⌫--⌫--|
sanznulautreretene ment	---|--|----|------⌫---|
renartageté d eprison	-----||----|-⌫|-----|
frere enafaitensa	----|-||---|-|-|
po is ons li done p oramordre	--⌫--⌫--|-|---|-⌫-|------|
etbienl endoutrin e delord re	-|---||---------⌫|-||---⌫-|
doudrapd elo rdre l	--|---|-⌫||-⌫---||
ainz quifust	----⌫-||---|
ior zfu ilsene z	---⌫|-|-|----⌫|
main tmausa	----⌫|---||
bi enre tint ce conl iensai n gne	--⌫-|--⌫---|-||-|-⌫|-----⌫-⌫--|
ne faitsanbl antq ueilsen faing ne	-|---|-----⌫--|-⌫-|-||-|-----⌫-|
lesin gnefaitdoumoni ag e	-|---⌫--|---|--|----⌫--⌫|
moltlet in drentli frere	---|-|-⌫--⌫----|-|----|
c hiersesttenuze tbien am e z	-⌫----|--|----|-⌫|---|--⌫-⌫|
et frererenar test c lam ez	-|----|-----⌫|--|-⌫---⌫-|
eti lfaitmoltle papelart	-|-⌫|---|---|-|-------|
tant que senpuisseissirpar	----⌫--||-|-----|----|--|
molte st renartdebiauseru is e	---|-⌫-|-----|-|---|----⌫--⌫|
uolentier suaasainte i glise	---------⌫|-||-----|-⌫----|
men br edesgelines	---⌫--⌫|--|------|
dont il siaut rungier	---|-|----|------|
les eschines	--|-------|
souenten atempt acions	-----|-||-----⌫-----|
apo in etien t	|--⌫--⌫|----⌫|
e stac ions	-⌫----⌫---|
bien lisient siuestem ent	---|-|----|-|------⌫--|
contien tonestement	-------⌫|---------|
si mi st sententealordre apr andre	-|--⌫-||------|||----|---⌫----|
poois trepra ndre	-----⌫|-----⌫---|
zz i o rfulamessechantee	-|-⌫-⌫|-|-|----|------|
renart lotdecue rescoutee	-----||-|-|---⌫|-------|
totd a rrien	--|-⌫-⌫----|
istdelmostier	--|--|------|
ensa main teno itzz s autier	-|-|---|----⌫-|-|-⌫-----|
yych aponsforzsoranez	-|--⌫----|---|------|
zz borioisdonez	-|------|----|
quiauoi t nontieberzliriches	--|----⌫|--|------|-|-----|
ni ertausa uers nechiches	|-⌫--|--|-⌫---|-|------|
renar t les aapa rceuz	-----⌫|--||---⌫----|
orserailbi endeceuz	-|---|-|--⌫-|-----|
seiln en fait	-|-||-|---|
sesguernonsbruire	--|-------|-----|
l ieeme nt sen	-⌫-----⌫-||-|
quidededuire	----|------|
pard ieu fai ti l	--|-⌫--|---⌫|-⌫|
nem apartient	-||--------|
cilquide char mangiersetient	--|--|-|---|------|-|----|
n ai p asfaitueu	|-|-⌫-|---|--|
d em angierchar	-⌫|-⌫-----|---|
m oltlenten ro ie	-⌫--||-|---⌫--⌫-|
agrant eschar	|----|-----|
quitel ueufairem eferoit	--|--|--|----|-⌫|-----|
dieuslesetmolt me mesferoit	----|-|--|---|-|--------|
decha r neme puisg eten ir	-|---⌫|-|-|---|-⌫|---⌫-|
enpuisenleuuenir	-|---|-|--|----|
iemos terrai queie saif aire	-|---⌫-----|--|-|--|-⌫---|
quiq uendoie	--|-⌫|-|---|
parlerne taire	-----|-|----|
l iiorztrespasselanuit uient	-⌫|---|--------|-|---|----|
ren artq uidescha ponssouient	---⌫--|-⌫-|--|---⌫---|------|
ne lespotme streen oblience	-|--|--|--⌫---|-|-------|
toziorz trespas obedience	--|---|------|--------|
uintasch aponssi lide stoche	---|-|--⌫----|-|-|--⌫-----|
si enmen iueab oneboche	-|-|---⌫--||-⌫--|----|
les au tr esyy	--|--⌫--⌫-|-|
amisa nterre	|--|-⌫|----|
queildemainreuanraquerre	--|-|-----|------|-----|
coue rz le s abie ndestr a mier	----⌫-|--⌫||---⌫||----⌫-⌫---|
arri eresesuenuz couchier	----⌫--||-|----|-------|
nenset nusmotdesonatrait	|-|--|--|--|-|--|-----|
del larrecin qu e il a fait	--|-------|--⌫|-||---|
bienli cheidesauanture	---|-|---|-||-------|
moltseretraita sa nat ure	---|-|------||-|---⌫--|
lendemainapres lesmatines	|-------|----|--|------|
re nartquitant aimeg elin es	--⌫---|--|---|---|-⌫----⌫-|
chaponsserestdingnez	------|-|---|------|
puis esto u cl oitrere tor n ez	---|--|-⌫|--⌫----|--⌫---⌫-⌫-|
les yymeniaque nus	--|-|----|--|--|
lalest intbienrenartpor s ot	-|--|-⌫--|---|-----|--|-⌫-|
zz fr erequibien	-|--⌫--|--|---|
querenartli	--|-----|-|
ro u sle sdecut	--⌫-⌫|--⌫|----|
qant r ec ontéfuen couent	---|-⌫--⌫----|-|-|-----|
renart enfublasmezfor ment	-----|-|-|------|---⌫---|
etil loren	-|-|--|-|
uostdroitofrir	---|----|----|
fr erebernartne	--⌫--|------|-|
luostsoufrir	|---|------|
qu imangiéauoitzz	-||------|----|-|
qu ilauoient enlorprael	-|-|------|-|--|----|
tantlarrecinslora uoitfaiz	---|--------|--|-⌫---|---|
q uebien setqueilest	-⌫-|---|--|--|-|--|
arenartont tolulordras	|-----|--|---|--|---|
c ongielidonent or est	-⌫----|-|-----|-|--|
ne desirroit plu sautre	-|--------|---⌫|----|
ma is quefo rsfustdel orliens	--⌫--⌫--|--⌫-|---|-|-⌫-|----|
ameruoil lesliez enest oit	|-------⌫--|---|-|---⌫--|
queliordre s	--|-|-----⌫|
lidesplesoit	-|---------|
tornez sen e sttot zzchemin	-----||-|-⌫-|--|-|-----|
en cornuirail ysan grin	--⌫--|----|-|----⌫---|
lifrere lont mis	-|----||--|--|
a l a uoie	|-⌫|---|
t ozseus senuanus nel conuoie	-⌫-|---||-|-|--|-||------|
moltm e nace	---|-⌫-⌫---|
tel pa in e mis	--|--⌫--⌫|--|
sa teste iure coro ne e	-|----|---|----⌫--⌫|
sirenie rtpardonee	|--||--⌫-|-------|
ayseng rinnea t ibert	|-----⌫--|-||-⌫----|
main zma us s oufe rz	----⌫|--⌫-|-⌫----⌫-|
r ooi gniausestde lez lauo ie	-⌫---⌫-----|--|--⌫--|-|--⌫-|
del oingleuo itformentl aboie	-|-⌫---|-|--⌫-|------||----|
si escrieuezlerandu	-|-----|--|-|----|
q uedeum esau oirpandu	-⌫-|----⌫-|--⌫--|----|
renartnotsoingderanp oner	-----||-|----|-|----⌫---|
ne nacurede	-|||---|-|
se iorn er	--⌫----⌫-|
tant queil uint ansatesniere	----⌫--|-|---|-|-|-------|
ouatrouee sa famechiere	-||-----|-|---|-----|
qa nt eleuitgr ant ioieen a	--⌫-|--|--|--⌫--|---|-||
dedanz s o ncuers esleesc a	-----|-⌫-⌫|---||-------⌫|
et li enfants ir er enart	-|-|-----|-⌫--⌫|-⌫----|
f ire n tgrantioieda u trepart	-⌫---⌫-⌫|----|---||-⌫-⌫--|---|
