s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
moncuermamien e	--|---||---|-⌫|
que iouai mtan splusde	--|--|--⌫|---⌫|---|-|
et sinesaidi repourcoi	-|-|-|--|--⌫-|---|--|
h ontemedo itbienauenir	-⌫---|-|--⌫-|---|-----|
douce amiela issiésueir	----|---|--⌫------|---|
tai iou mal	|-|--|--|
f aitmou strele mo i	-⌫--|---⌫---|-|--⌫|
i amorrai dedolou r iec r oi	-⌫|-----|-|-----⌫|-|-⌫-⌫-|
uas comf ortant	--|----⌫-----|
embracierle	--------|-|
uama inte nant	-|--⌫----⌫---|
la uleueras mie xplo urer	-||-|----|---⌫|---⌫---|
p laindreformen tet	-⌫------|------⌫|-|
uasi l estraintetsilembrace	-|-||-------|-|-||------|
l es l ar meset laface	-⌫-|-⌫--⌫--|-|-|---|
libai ssemolt	-|---⌫--|---|
tresd ouceme nt	---|-⌫------⌫-|
et labou ce to ut ense ment	-|-|---⌫-|--⌫-|----⌫---|
et lidibiellesimple	-|-|-|-----|-----|
si maitdex	-||--|--|
ir i ése stoie	--⌫-⌫--|-⌫----|
ienesai parquel	-|-|--|--|---|
qui tost fait	--|---|---|
faire maint	----|----|
i eu ssepluscierl e ma lage	|--⌫--|---|---|-⌫|--⌫---|
d une fi eurequ artaineauo ir	|--|--⌫---|--⌫------|---⌫-|
ca faitamorsie l	||---|----|-||
saide uoir	--|-|---|
quicbien pierdreparf oi	---|---|------|--|-⌫-|
la u uosti enget sencetuoi	-||--|--⌫--|-|---|-|--|
son u iset	--|-⌫-|-|
sa face ba issant	-|---|--⌫-----|
ke rran tenface ston plaisir	|-⌫----⌫|-|----⌫|--|------|
dune fo isaliregesir	|--|--⌫-||-|------|
limautalensiertou bliés	-|--------|---|--⌫-----|
ettous li mesf aispardounés	-|---|-|----⌫--|---------|
faitan tqu etulefacesrire	--|---⌫|--⌫|-|-|----|---|
sapries parles cheueux t etire	|-----|--|--|------|-⌫|---|
et ellete batbienet	-|---|-|--|---|-|
suef fre tou t quebieni aff iert	----⌫--|---⌫|--|---||---⌫---|
ent elmanier e liferas	-|-⌫-|------⌫|-|----|
croire que ialo us enseras	-----|--|----⌫-|-|----|
bienque rra parlaialousi e	---|---⌫--|--|-|-------⌫|
sanst rec erie	---|-⌫---⌫---|
unegrant dam e un e gr a ntbuf fe	--|----|---⌫|--⌫|--⌫-⌫-|---⌫-|
dounaineltenésmi e	-----|-||-----|--⌫|
grantduelen fist molten	----|---|-|---|---|-|
as o n conselcel eem ent	|-⌫-⌫|-----|---⌫---⌫--|
ma islendem aintoutautreme nt	--⌫-||-----⌫--|---|-------⌫-|
ottos tsonc orag ecangié	-|---⌫|--|-⌫----⌫|------|
tropauoitle cuer	---|----|-|---|
or sui iedistellese ure	-|--|-|---|---|--⌫--|
kilmaime bien	|-||---|---|
outre mes ure	----|---⌫--|
i auoirensi nem atouca st	-⌫|---|---|-||------⌫-|
desmesuren emamast	--------|-⌫||----|
mam astpar loiau te	|--⌫--|--|-----⌫-|
ia lous demoin eustesté	--⌫---|-|--||---|----|
o ruoiioue ts ai m olttre sbien	-⌫|--|--|-⌫|-⌫-|-⌫--|---⌫|---|
k eilm aimesor	-⌫|-||---|--|
ensi distelle	---|---|---|
et ensifist	-|---|---|
cainc pior	|---|---|
samblantnemen fi st	-------|-||-|--⌫-|
et encorfisap ries	-|----|--|--⌫---|
etlimoustraimol tgranscourous	-|-|-------|---⌫|----|------|
dangierfis de l iregarder	------|--|-|-⌫|-------|
e t en apriesd a liparler	-⌫|-|-----|||-|-----|
etparsam blantieli moustroie	-|--|---⌫----|-|-|--------|
q uedelipluscure	-⌫-|-|-|---|---|
et s au oies ig ranttalent	-||--⌫--|-⌫|-⌫---|-----|
li ue n ir a	-|--⌫-⌫-||
que deldesirmoroie	--|--|----|-----|
tanten esto iecouuoitous	---|-|----⌫-|---------|
etdesirans plusco nques mais	-|-------|---||-⌫----|---|
fukelle eustsa	-||---|---|-|
puism ie x m	---|-⌫--⌫||
et toutadies plus m e nprisa	-|---|----|---||-⌫|----|
re n ouueler etenforcier	--⌫-⌫------|-|--------|
amorqueuoloitlaissier	---|--|-----|-------|
sor m onpris	--|-⌫-|---|
pa rl oita autru i	--⌫--⌫--||-----⌫|
pa rcoii elifis cestanui	--⌫|--|-⌫|-|--|---|---|
en simau int ete nsifis	--⌫-||--⌫--|-|-⌫--|--|
or uoiesse d e	-|----|-|-⌫|
riens mespri s	----|------⌫|
e sttroporghilleuse	-⌫-|---|----------|
troppa rler ess e	---|--⌫----⌫---⌫|
ettrop noise use	-|---|-----⌫--|
suef frele deb onnairement	----⌫--|-|---⌫----------|
tousi o rssoi esas onta lent	---|-⌫-⌫-|---⌫-||-⌫-|--⌫---|
garde sepaisc ertco rtoisie	----|-|---||--|--⌫------|
a ton amietatamie	|--|--|-|||---|
peuestdegent	--|--|-|---|
un ait a dire	||--||---|
porco u tamie nedesp ire	--|--⌫||---|-|----⌫--|
n estriueparparol e a li	|------|--|-----⌫||-|
otr oielitou tie	---⌫--|-|---⌫|-|
damesse uoellent hounerer	----|-|-------|-------|
cie r ir sieruir et redouter	---⌫-⌫-|------|-|-------|
sil auie ntqu elleiue a	|-|----⌫-|-|---|--||
aensient piertiete n proi	|------|----|-||-⌫|---|
atornet ongiumale ment	-----|-⌫-|--|----⌫---|
sikelle enriebo in ement	-||---|-|--|--⌫--⌫----|
seell edistal és	-|---⌫|---|--⌫--|
essoigneerr an t i	-------|---⌫--⌫||
e nquel liu c a itde	-⌫|---|--||-⌫-|-|
c onmentquecete soit	-⌫-----|--|-|-|---|
co ntraire	--⌫------|
atonpooirlidoisa idi er	|--|----|-|---|-⌫---⌫-|
etlautupuesauancier	-|-||-|---|-------|
ne soiesmiepere cous	-|----|--|----⌫---|
dacon plirsesuol o irst ousiors	|----⌫---|--|---⌫-⌫--|-⌫--|---|
c ar pereceushomne	-⌫-|-------|--|-|
damors goir	|----|---|
enn ule ndr oit	-|-⌫-|-⌫---⌫--|
amors nacure d eperece	----|||---|-⌫|-----|
ainsueutco nait mai nte	---|---||-⌫|--|---⌫--|
d e strece	-⌫-⌫-----|
m ain teangoisseetmaintefroidu r e	-⌫---⌫-|-------|-|-----|------⌫-⌫|
et mai ntegran tmalauentur e	-|---⌫--|----⌫|--|-------⌫|
maintperiletma in tepaour	----|----|-|--⌫--⌫-|----|
souffiertetnuit eti our	--------|-|---|-|-⌫--|
maistre sto ut	---|---⌫---⌫-|
douc o urme	----⌫-⌫-|-|
et quantma	-|----|-|
dameapries sauoit	---|-----|-----|
leperilu este ́auoie	-|----||----⌫|----|
senrio itetmenoitg rantioie	|-|---⌫-|-|-----|-⌫---|---|
la u len pesoit	-|||-|-----|
de lahonteetdou grief torment	-|-|----|-|--|----|------|
ueoitcauoie eu t	----||----|--⌫|
so uffiertetconsentut	--⌫------|-|--------|
simestoitbien aprie s m eri	-||-----|---|-----⌫|-⌫--|
carsouuentmiexmenconioi	--|------|---||-|-----|
s at oiui entu tuuasali	||-⌫-|--⌫--||-|--||-|
ort en so uuie ngne ietenpr i	-||-|--⌫----⌫---|-||-|--⌫|
sons en ssadebounairete	--|-⌫--⌫|-|-----------|
etsa grant biau te	-|-|----|----⌫-|
so ngentc orssa	--⌫|---|-⌫--|-|
bouceson uis	----|--|--|
ausiquesoies esbahis	---|--|----|------|
conmentquesoita pparell ie	------|--|---|-⌫-------⌫-|
di quetresbien es t afaitie	-|--|---|---|--⌫|------|
ens il e blangeensi lelobe	---⌫|-⌫|-----|---|-|---|
etquetresbien lisiet sarobe	-|--|---|---|-|---|-|---|
toute nloant	---|-⌫|----|
damorsoit quelelo es	|---|---|--|-|--⌫-|
usel lecante u s	||--⌫-|----|||
el lepleu re	--⌫-|----⌫-|
dex mesekeure	--|-|------|
tresbien uosauientdame et	---|---|--|-----|---|-|
i lsanlequerien sneu os griet	-⌫|----|--|----⌫|-|-⌫-|----|
damecoze que uous faciés	---|---|--|---|------|
tr op na itementuosafaitiés	--⌫-|--⌫------|--|--------|
letiensaloisi r	-|----||-----⌫|
ettu doi sfairetonp laisir	-|-|---⌫|----|--|-⌫-----|
loesonp isets e s m amielle s	--|--|-⌫-|-|-⌫-⌫|-⌫-------⌫|
etdi quetro p	-|-|--|---⌫|
te samble ntbi elles	-|------⌫-|--⌫----|
lo e costesetbrasethance	--⌫|-----|-|---|-|----|
et diqueuouspar	-|-|--|---|--|
iestes blan ce	-----|----⌫-|
ne s tdameu	|-⌫-⌫|---||
tantai tdedel it	---|--⌫|-|---⌫-|
maisgar debien	---|---⌫-|---|
s ed extait	-⌫|-⌫-||--|
que neseuois t apie rceuant	--|-|-|----⌫|----⌫------|
t uleuasga bant	-⌫|-|--|--⌫---|
legasenperceu o i t	-|--|-|------⌫-⌫-⌫|
lededuitmains	-|-----|----|
enprisero it	-|-------⌫-|
etauoectoipl u sa enui s	-|----|--|--⌫-⌫||----⌫|
se deduiroit ce m	-|--------|-||
et selle uoitq uepo r uoirdie	-||---|---|-⌫-|--⌫|---|--|
adont teser a enuoisie	----|-|---⌫|-------|
de ma insde	-|--⌫--|-|
iambesetdebras	-----|-|-|---|
lorsa urastu tantdesolas	---|-⌫---|-|---|-|----|
c ap ai ne s	||-⌫--⌫--⌫|
croire le poroies	-----|-|------|
fa ito usiorsq ue sou u entle uoie s	--⌫|--⌫-|---|-⌫-|---⌫-⌫--|-|----⌫|
etca diesoiete s	-||-⌫---|--|--⌫|
sages enuoisies et fo les	----|--------|-|--⌫--|
et so uuentfai de toidangier	-|--⌫----|--|-|--|------|
quantplu s en	----|---⌫|-|
aras desir ier	---|-----⌫--|
ta ntleferas plusescaufer	--⌫-|-|----|---|-------|
sesouuent le	-|------|-|
faisdesirer	---|------|
sourto ialum eret esprendre	---|--⌫|----⌫-|-|--------|
m a i s nel	-⌫-⌫-⌫|-||
failongementatendr e	--|--------|------⌫|
que partroplongedemorance	--|--|---|----|--------|
feroit molt tostautre acointance	-----|---|---|----|---------|
consed oit bien arriere	|-|-|-⌫--|---|------|
ac hi efdepiecepormiex faire	|-⌫--⌫-|-|----|--|---|----|
kemiexe nfacele	-|---|-⌫|---|-|
etconaitdetoi desirier	-||-|--|-|--|-------|
quantmenel aus tropdemora	----|-----⌫--|---|-----|
etela inepari s ama	-|---⌫--|----⌫|--|
tost cuidefeme es treacoupi e	---|----|---|--⌫--|------⌫|
parli fui r	--|-|---⌫|
est tropirie	--|---|---|
lors set rauailleet	---|-|-⌫-------|-|
lors se pain e	---|-|----⌫|
d eliuengierconfist elaine	-⌫|-|------|--|---|-----|
par mau t alentd a coperie	--|---⌫-⌫----||-⌫------|
aontostfaitgrant deru e rie	|-|---|---|----|----⌫-⌫--|
nonporquant i ete uoe lloer	----------|-⌫|-|---⌫|---|
c aciefdefoisle	||---|-|---|-|
cau truineuoelles acointi er	|--⌫---|-|------|-------⌫-|
etpourautr ui amourlaie r	-|---|----⌫-|----|----⌫|
en cornenaies	--⌫--||-|---|
t u talent	-⌫|-----|
defois e n faisamblant	-|---|-⌫|--|-------|
amorsquestseureestdesroute	----|-|--|----|--|-------|
etce lledureq ui	-|--⌫--|---|-⌫-|
sa ciéskensi	--⌫----||---|
souuentaifait	------|-|---|
souue ntmena onfait maint lait	-----⌫-||-||-|---|----|---|
liessuiquant	---|--|----|
onmeuabata nt	-|-|-|----⌫-|
e ttoutmonuis dongles gratant	-⌫|---|--|--||-----|------|
batus en fui etmolt pilés	----|-|--|-|---|-----|
ribau sf iexap u tain clamés	-----⌫|-⌫--||-⌫-⌫---|------|
m aismoltdoucement	-⌫--|---|--------|
le soufr oie	-|-----⌫--|
toutm e stoit bonlorsl idis soi e	---||-⌫----|--|---|-⌫|---⌫---⌫|
douce sueries	----|---|--|
tufoursenee	-|--------|
dextauertisse	--||--------|
abi entonsonge	|--⌫-|--|----|
ast us ongiét	-|-⌫|-⌫------|
cesteme nconge	----|--⌫-----|
uousmemescreés a grant to r t	---|-|--------||----|--⌫-⌫|
ancoismedoinsedex lamort	-----|-|-----|--|-|---|
que uiers uos mesprengenefac e	--|----|--|--------|-|---⌫|
cosedon tuostr eco rsme hace	---|---⌫|-----⌫|--⌫-|-|---|
nequeiouaimeau truiqueuo us	-|--|--|---|--⌫---|--|--⌫-|
n emenmescree ́ sianulsi ors	-⌫||-|-------⌫-⌫|-|---|-⌫--|
tenés mafoiie uosp le uis	-----|-|--|-|--|-⌫--⌫--|
lo rs li baisselesiexleuis	--⌫-|-|-----|--|--|-|--|
silaura stoute rapaye	-||----⌫|----|-----|
iatant nelauras co urecie	-|---|-||----|--⌫-----|
orententbiena	-|-----|---||
ne uapas tamie	-|-|--||---|
ie teloctout adroiture	-|-|--|---||-------|
car cilquiertsa	--|--|-----|-|
mala uentur e	--|-⌫------⌫|
quiuiutsauo ir sesamieaim e	--|---|----⌫-|-||---|---⌫|
souuentporlas dolant	------|--|--|-----|
queteuau ts a ho n te sauoi r	--|-|---⌫|-⌫|--⌫-⌫-|-----⌫|
puesau oi r	---|--⌫--⌫|
delsau oir naies	--|---⌫--||---|
couuoitise	---------|
necroi camastennulle guise	-|---||----|-|----|----|
aut ruiquetoianc ois morro it	---⌫--|--|--|---⌫--|-----⌫-|
k e lleau truiq ue toiameroit	|-⌫--|--⌫---|-⌫-|--|------|
clo tesorellesett esiex	--|--|------|-|-⌫-|--|
lemeskerrasmiex	-|--------|---|
p or tonmal	-⌫-|--|--|
achieuerled i	-------|-|-⌫|
et porton dueltouta u tres i	-|--|--|---|---|-⌫-⌫----⌫|
saut rui trouuero liquidoies	|---⌫--|------||-|-------|
a l er pasciertesni	-⌫-⌫-|--|------|||
uien t estrepoiialous	----⌫|----|--|-----|
q ue u oi anttesiexe stre	-⌫-|-⌫--⌫--|--|--|-⌫---|
qu ehontearoieset uiutance	--⌫|----|-----|-|-------|
setu ne npren doiesuengance	-|-||-⌫|----⌫----|-------|
apainessen puet onuengier	|-----||-|---|-|------|
san ssoihouniret	---⌫|--|-----|-|
da ma gier	--⌫--⌫---|
miexuientta	---|----|-|
honte sacesseus	----|----|---|
c autres c es tt ounors ettes	|-----||--⌫||-----|-|--|
et s e t ulesauoiesbie n	-|-⌫|-⌫|-|------|---⌫|
io uso urtoute rien	--⌫|--⌫-|----|---|
fai sa nlantquen	--|--⌫----|--||
ensaces mie	-|----|--|
d aut r ecosefai ci er eli e	|---⌫-⌫|---|--|--⌫--⌫|--⌫|
lors pao ur	---|---⌫-|
d eso nmesfaitsedo utera	-⌫|--⌫|------|-|--⌫----|
sise r aplushumeli a ns	-|--⌫-⌫|---|------⌫-⌫-|
plusdebo nnair eet plu sseruans	---|----⌫-----⌫|-|---⌫|------|
seuauramai s gaitier	-|----|---⌫|------|
de toi to ur menterna irier	-|--|--⌫--⌫-----||-⌫----|
e n cortel oc	-⌫-⌫--|-|-⌫-|
semeu eu s croi r e	-|-|-⌫--⌫|----⌫-⌫|
setamie est	-||---|--|
pa leet noir e	--⌫-|-|----⌫|
u lais densaitulaide bouce	|---|---|--||----|----|
son messeantn elireprouce	--|-------|-⌫|-|-------|
selleestgrasset asbounekoute	|---|--|-----||-|----|----|
a ti ere negironttikoute	|--⌫--|-|-----|-|----|
sepeti t e est	-|----⌫-⌫|--|
plusdelitable	---|--------|
estaumes tieret a uena ble	--|-|---⌫---|-|-⌫----⌫--|
etsellealonge u	-||---||----||
gran teskine	----⌫|-----|
elleresa mbleunechuine	---|----⌫---|--|-----|
ets elleest cuneuake grosse	-||---|--||--|---|-----|
unsto uniau selle	--|--⌫-----⌫|---|
senoireest claim elebru nete	-|----|--|-----⌫|-|---⌫---|
s e palle est c laime le blankete	-⌫|----|--|-⌫----|-|-------|
ensid oisenbien ret our ner	---|-⌫--|-|---|---⌫---⌫--|
lesuisces quetu puesnoter	--|-----|--|-|---|----|
etsellee s tbaudeusours al ie	-||---|-⌫-⌫|----||-----⌫--⌫-|
dik elleest mignoteetiolie	-||---|--|------|-|----|
et sellee stuiel le	-||---|-⌫-|----⌫-|
tienslea sage	----|-||---|
etdou me stiers etbien lusa ge	-|--|--⌫----|-⌫-|---||---⌫-|
toutl e malkenl i trouueras	---|-⌫|--||-|-⌫|--------|
et capremier senli u eras	-|||-------⌫|-|-|-⌫---|
apre ns leensibie l anoum er	----⌫-|-|---|---⌫||----⌫-|
enlafinne tepuet greu er	-|-|--|-|-|---|----⌫-|
qui ualescuirs	--|-|--|----|
tanésueoir	-----|----|
lapuour sentie	-|----|---|-|
l saideuoir	|--|-|---|
toutapremiersielesaibie n	---||-------|-|-|--|---⌫|
seloncen estne l	-|---|-|--|-||
en souuient	-|-------|
carparl a longe a coustumance	--|--|-⌫|----|-⌫----------|
ail de lap aour souffrance	|-|-|-|-⌫---|---------|
t am ieen si	|--⌫-|--⌫-|
sueff r e a	-----⌫-⌫||
selletestgri esauco mmencier	|---||--|---⌫-|-|--⌫-------|
p ar lé qu es u i aulit	-⌫--⌫--|--⌫|-⌫-⌫|-|--|
fairel e delit	----|-⌫|----|
etquant lau ie ns	-|----|-|-⌫--⌫-|
nesoies tex	-|----|--|
quepar toinesoit faisli	--|--|--|-|---|---|-|
keo n d esire ta ntafaire	-|-⌫|-⌫----|--⌫-||----|
del sourplus medoi ie bientaire	--|-------|-|--|-|---|----|
maistes m ainsmettrestoutpa rtout	---|--|-⌫---|--|-------|--⌫----|
uil te s ietsans	|-|-|-⌫--|---|
nulredou t	--|-----⌫|
carienemen	--|-|-||-|
tenr oiemie	----⌫--|--|
demesmains	-|--|----|
me ttreen lepartie	--⌫---|-|-|-----|
que laf emeuotmiexcouuri r	--|-|-⌫--|--|---|------⌫|
etsineme n poc ainstenir	-|-|-||-⌫|--|---|----|
ques ellefuubielle	--||---|-||-----|
le ue ntre	-|--⌫---|
lepi set la hanc e	-|--⌫|-|-|----⌫|
neuei s seadescouuiert	-|---⌫-⌫-||----------|
etleso urplu s touten api ert	-|-|--⌫-----⌫|---|-|---⌫--|
maintesfois m en suico nba tus	------|---||-|--|--⌫---⌫--|
ueoir aiesté ba tus	----|-|----|--⌫--|
copmenaondoun é	--||-||-|----⌫-|
e tpor malle c e ourcl amé	-⌫|--|--|--⌫-⌫-⌫--|--⌫---|
encort euo elieconm ander	----|-⌫|--⌫-|-|----⌫----|
labe soingnenedoishaster	-|--⌫------|-|---|-----|
seb onliuaset	-|-⌫-|--|-|-|
bon loi sir	--|---⌫--|
s ueffreque soitasonplaisir	-⌫-----|--|---||--|------|
t amieaussia s ontalent	|---|----||-⌫-|-----|
ac ordésu ous	--⌫-----|-⌫--|
aufinement	-|-------|
k e facié sla besoingneensanle	-⌫|------⌫|-|--------|------|
ausilipla ir aceme	---|-|---⌫--⌫|-|-|
as pointdeseior	-|----|-|----|
demorernaspaor	------||-|---|
quanquetepues	------|-|---|
porcou connetepui st	--|--||-|-|-|---⌫-|
o rastamieor	-⌫|-||---|-|
etpo r coi pl ust ensegnero ie	-|--⌫|--|--⌫-||---------⌫-|
forsc unpoi te	---||-|--|-|
uauraimous trer	-----|----⌫---|
conment tute dois at ourner	------|-|-|---|--⌫-----|
sauant plus	|----|---|
par l éen eusse	---⌫-⌫-|-|----|
mamatere cope eeusse	-|-----|----⌫|----|
sib ielso iesapparelliés	-|-⌫--|--⌫--|-----------|
sibiau uiestus	-|---|------|
si biaucauciés	-|---|-------|
pooir et plaisan m ent	----|-|-------⌫-⌫--|
kenplaisesmi ex	|-|------|--⌫-|
atout eg ent	|----⌫|-⌫--|
faie troengnier	--|-⌫|--------|
a bonmestre	|--|-----|
etsou u entpignier	-|---⌫-⌫--|------|
t ienbien nai stostes	-⌫--|---|---⌫|--|--|
garn emens	----⌫----|
si fai bientous	-|--|---|---|
m esco nma ndeme ns	-⌫-|--⌫---⌫-----⌫-|
ad ie ssoies corto is	--⌫--⌫|----|-----⌫-|
etbiauspar liersentous end rois	-|----|---⌫----|-|---|---⌫---|
ienete uoelplus	-|-|-|---|---|
damesuauraiparler	----|-----|-----|
lesda mes uaurai ensegni er	--|--⌫--|-----|-------⌫-|
monuoelnes	--|---||-|
poroit e ngingnier	-----|-⌫--------|
nus homnetrairneghiller	--|--|-|----|-|------|
lesuauraidoctriner	--|-----|--------|
k e lles sesacent	|-⌫---|-|-----|
biendesfendre	---|--------|
q uenu shom	-⌫-|--⌫|--|
nelespuistsosp rendre	-|--|----|----⌫-----|
bienuauroi ekellesseuss ent	---|------⌫||----|-----⌫--|
k id ecuer pr o iee tconneussent	-⌫|-⌫|---|--⌫-⌫-|-⌫|----------|
lesfausamanslestr ai to rs	--|---|----|--|--⌫--⌫--⌫-|
les losen gier slesm enteo rs	--|-----⌫----⌫|--|-⌫-----⌫-|
traito urseroie nthouni	------⌫-|------⌫-|----|
etli menteorescarni	-|-|------|------|
d ameles auoit	-⌫--|-|-⌫----|
con laimdec ueretconniss oit	--||--|-|-⌫--|-|-------⌫--|
molttost motroieroitsamor	---|---||---------||---|
e tguerpiro it letra itor	-⌫|--------⌫-|-|---⌫---|
kese pain e	-|-|----⌫|
kibeeali dou touthoun ir	-|--||-|--|---|----⌫-|
et iou nibee sa bien	-|--|||--|||---|
seiel facce stgrant mesprison	-|-||--||-⌫-|----|--------|
kesttant delosengie rs	|--|---|-|--------⌫-|
dames grans	----|----|
ke lles seussentretenir	|-⌫---|-------|------|
loial amantetcon ioir	----|----|-|---⌫---|
cartr o pd oumesghilleorsuoi	--|--⌫-⌫||----|--------|--|
si m en poise t rop	-||-|----|-⌫--|
endroi tmoi	------⌫|--|
peud efemes se ue n tghiller	--|-⌫|----|--⌫--⌫-⌫|------|
mesaenuis uoellent	--||----|-------|
l o ramorie l	-⌫-⌫|---|-||
carad ies doutentdou	--|--⌫--|------|--|
etcertes ellesontgrantd roit	-|-----|----|--|----|-⌫---|
folsest ki les en blasmeroit	---|--|-|--|-|---------|
sell edoute elleagrantr aison	|---⌫|----|---||----|-⌫----|
plusmetenamorquelihom	---|--|-|---|--|-|--|
g rant duel	-⌫---|---|
etgr antenuie	-|--⌫--|----|
quant uo iua il lant dameengig nie	----|--⌫|--⌫--⌫---|---|-----⌫--|
paruntraitoursouduian t	--|-|-------|--------⌫|
et par unuilainnon sacant	-|--|-|-----|--|-----|
quitostaprie ssenueut	--|---|-----⌫||-|---|
a poiquilne me f ait	|--|-|-|-|-|-⌫--|
deld ue lkenaie t de	--|-⌫--⌫||-|-|-⌫|-|
aucuerenaisigrant dolour	-|---|-|-|-|----|-----|
encorenmuir iecascuniour	----|-|---|-|-----|---|
cilmuertbienquipo rteenson cuer	--|----|---|--|--⌫--|-|--|---|
telduelqui lne	--|---|-|-⌫|-|
puet gieterpuer	---|-----|---|
et do nt le stuetioieou blier	-|--⌫-||-⌫----|---|--⌫----|
ethairco uqui ldoitamer	-|---|--⌫|-|-⌫|---|---|
ilnestdo l ors	-||--|--⌫-⌫--|
maus neango isse	---|-|----⌫---|
qui acestiprendrese	--||----|------|-|
porcoudo itmoltdamegaitier	--|--|--⌫-|---|---|------|
acuid o itsamorotroyer	|--|-⌫-⌫-||---|------|
u aumainsk ell eensoitcelee	|-|----||---⌫|-|---|----|
kel aidement nen	-|-⌫-------||-|
soitblasmee	---|------|
auenoitconle nbla smast	------||-||-⌫|---⌫----|
c atoutlema instelhomeamast	||---|-|--⌫--|--|---|----|
k il fustsi co rtoiset ua illans	|-|---|-|--⌫----|-|--⌫-----|
ke li blasmesenfust	-|-|------|-|---|
mai nsgrans	---⌫-|----|
liho m nese pu eta baissier	-|--⌫|-|-|--⌫-|-⌫-------|
ne lifem e trop	-|-|---⌫|---|
soushaucier	----------|
moltbi enregarder	---|--⌫-|-------|
kicestq ui le priedamer	-||--|-⌫-|-|---||---|
enquel maniere et enquel	-|---|------|-|-|---|
siliaghillenefaintisse	|-|||-----|-|--------|
proi erelongement	----⌫--|--------|
maintiente tsans repentement	--------|-⌫|---|----------|
aimedecuer lo ial	---|-|---|--⌫--|
s ilnebeeuierslinul mal	|-|-|--|----|-|--|--|
f orsdroiteamor sicom i ldoit	-⌫--|-----|---|-|--|-⌫|---|
se telletrue ue e t	-|--|-|----⌫-|-⌫|
a perc oit	-⌫----⌫--|
sen amorestbien	|-|---|--|---|
conuissable s	-----------⌫|
sagescortoiset	----|------|-|
eti l ne soitpasmesdissans	-|-⌫|-|---|--|---------|
neua nteres mais	-|--⌫-----|---|
b ience lan s	-⌫--|--⌫---⌫|
asonpooir sa ns rep entir	|--|----|--⌫-|---⌫----|
bienledoitdameas on conmant	---|-|---|---||-⌫-|------|
tenir etfaire	----|-|----|
bielsamblant	---|-------|
en sid amo rgoirporra	--⌫-||---⌫|---|----|
et ensidamori oie aura	-|---||---|-⌫--|---|
dame qui ueut	---|--|---|
sonta nsu ser	--|--⌫-|-⌫--|
enamormettreetd eporter	-|---|-----|-|-⌫------|
oie dont mon conm andement	--|---|--|----⌫-------|
ielidia ucon m encement	-|-|-|-⌫|---⌫-⌫-------|
ende mentierskelleestp l aisans	----⌫--------|---|--|-⌫-⌫-----|
au siecleetb ielle et	-|-----|-|-⌫----|-|
su effre etatendec	--⌫----|-|-----||
on le proie	-|-|----|
etmultdebonnairementoie	-|---|-------------|--|
celui quile proi edamer	----|--|-|----⌫||---|
ne doit l aissierso n	-|---|-⌫------|--⌫|
tanspasser	---|-----|
que ellenemploitsa iouu ente	--|---||------|-|----⌫---|
e namoretmetes	-⌫|---|-|---||
ca rtro plaidementse	--⌫|---⌫|--------|-|
quiatentt an tqueuiel le soit	--|----|-⌫--⌫|--|----⌫-|---|
cadont nusnel e nproiera	|----|--|-||-⌫|------|
adonques se de smentira	-------|-|--⌫-------|
kelleauerason	|---|----|--|
tans perdu	---|----|
nedamorn ara riens	-||---||--|----|
porcoulil ocquensai ouuent e	--|--|-|-⌫-|-|-|-|-⌫------⌫|
face tantqu enes enr epente	---|---|--⌫|-||-|-⌫-----|
quantel le	----|--⌫-|
ert et ui elleet	--|-|--⌫---|-|
etdesabia u tedecheue	-|-|-|---⌫-⌫-|------|
dontespanis sesespecies	---|-------⌫-|--|-----|
carsotieestet	--|----|--|-|
mauuaisties	----------|
delaissier pa sser saiouuente	-|-------|--⌫---|-|-------|
sauiel lece	-|----⌫---|
dam e q uipeci é	---⌫|-⌫-|----⌫-|
dec oi dont serepentira	-|-⌫-|---|-|--------|
amé sdo nqu e s amésamés	----⌫|--⌫---⌫-⌫|----|----|
endeme ntiers quetans	------⌫------⌫--|---|
etqu euo s treamorsatalente	-|--⌫|--⌫-⌫--|----|-------|
et uostrebiautessepresente	-|-----|------|-|-------|
onuos p roieetuosrequiert	-|--|-⌫---|-|--|-------|
adont labiau tes i	----|-|----⌫--||
esgardésdameauconmencier	--------|---|-|---------|
quiestcil qu i	--|--|--|--⌫|
uos u eutproier	--|-⌫--|-----|
etsesaué squ ilneleuai l le	-|-|-----⌫|-|-|-|-|---⌫-⌫-|
escondisen uoist et sifaille	-------|-|----|-|-|-----|
conne doitlongesesc oute r	|-|-|---|-----|---⌫----⌫|
cose k enpr is ne puetmo nter	---||-|--⌫-|-|---|--⌫---|
neon nedoit g ent	-|-|-|---|-⌫--|
beearetenir	--||------|
non ne ledoitlai ssiermuser	|-|-|-|---|---⌫----|----|
maism o lt tostarr ierebouter	---|-⌫-⌫-|---|---⌫---|-----|
e t son penseetson c ointan ce	-⌫|--|----|-|--|-⌫------⌫-|
siquemais niaites perance	-|--|---|||--|--⌫------|
n ea pr iesfairebielsamblant	-⌫|-⌫--⌫--|----|---|-------|
neliregard er tantne	-|-|------⌫-|---|-|
enapries le	-|-----|-|
regardiés	---------|
enespe r ance le	-|----⌫-⌫---|-|
reu enoitauousarrie re	---⌫----||---|-----⌫-|
derecieffaire saproiere	-|-----|----|-|------|
