fa ms. f r.	-|---⌫-⌫-|
tre stout s onsenset sa uertu	---⌫----|-⌫-|---|-|-|----|
tousseroit mors sil ie rtbrisiez	---|-----|---||-|--⌫-|------|
quantlidragon sfueslungiez	----|-|------⌫|-|--------|
s isestliuilainsporp ensés	-⌫||--|-|------|----⌫-----|
queliouezniert	--|-|---||---|
par luigardés	--|--|------|
parlouefocirra	--||---|-----|
puisa ura l o r tout abandon	---|-⌫--||-⌫|---||-----|
liouez fudepeci ez	-|---|-|------⌫-|
etlidrago ns furepairiez	-|-|-----⌫-|-|--------|
lescrais seuitges iraterre	|-------⌫-|--|---⌫-||----|
si licon menca a enquerre	-|-|---⌫----||-------|
porc oi o t louef s im al	--|-⌫-|-⌫||---|-⌫|-⌫-|
orse ut ilbi ensa uolente	-|--⌫-|-|--⌫-|-|------|
bien apercut	---|------|
satric herie	-|----⌫----|
departie est l or c onpaingnie	-------|--|-⌫-|-⌫---------|
por ceu osdienc es t	--|-|-⌫-|-|-|-⌫--⌫|
q uatr ich eour neafelon	-⌫||--⌫---⌫---|-||----|
ne d oitnulconman der sonn our	-|-⌫--|--|------⌫--||---⌫--|
neabandonnersontresor	-|---------|--|-----|
ac ouuoiteu sne	|-⌫--------⌫|-|
nesed oitia nushonfier	-|-|-⌫--|-|--|--|---|
renc lu scon te quia uoit	----⌫--⌫|---⌫-|--|-⌫---|
zzuilain quioluiesto it	-|-----|--||--|----⌫-|
quantl iren cl usde dieu parloit	----|-⌫|---⌫--⌫-|-|---|------|
po r co iadansmenia le	--⌫|--⌫|----|----|-|
etliu ilains li demando it	-|-|-⌫-----|-|-------⌫-|
po rcoihommefurentdestruit	--⌫|--|----|-----|-------|
quantl apomme	----|-⌫|----|
por coidi exneli pardonnoit	--|--|--⌫-|-|-|---------|
au r e nclusfor ment enpesa	-|-⌫-⌫----|---⌫---|-|---|
tantc unne	---||---|
f oissepourpensa	-⌫--|-|--------|
queleuilainappeleroit	--|-|-----|---------|
de lademande quil	-|-|------|-|-|
u neescueledemanda	-⌫-|------|------|
seur latablelara dan t a	---|-|----|-|--⌫---⌫-⌫|
zzsourisotdesous mis e	-|-----|-|-----|---⌫|
puisde ffe ndiennulequise	---|--⌫---⌫--|-|---|----|
auilainquilnel	|-----|-|-|-||
et qued es ousneresgardast	-|--|-⌫--⌫--|-|---------|
en iro itaumo ustier	-|---⌫-|-|--⌫-----|
en oroi sons pordieuproier	-|----⌫---|--|---|-----|
quantlirencl ussenf ualez	----|-|-----⌫-||-|-⌫|---|
sisestliuila insp o urpensez	-||--|-|----⌫--|-⌫-⌫-------|
agra ntme ruoil lelisambla	|---⌫-|--⌫-----⌫-|-|-----|
delescuelequ ilg arda	-||------|-|-|-⌫---|
nes enpot mied etenir	-||-|--|--|-⌫-----|
quenelau eille	--|-|-|-⌫----|
de scourir	--⌫------|
p o r ueo irce	-⌫-⌫|---⌫-|-|
quedesous fu	--|-----|-|
quant ill osta sia ueu	----|-||---|-||--|
la sour isquilieschapa	-|----⌫-|--|-|------|
et qua n tsessires	-|---⌫-⌫|--|----|
molts ec or rouca d urement	---|-⌫|-⌫--⌫----|-⌫------|
si dem andaparma ltalent	-|---⌫---|--|--⌫|-----|
l esc ueleostee	|---⌫---|----|
n ots adeff encepa sg ar dee	|-|-⌫|----⌫---|--⌫|-⌫--⌫--|
liuilains lirespontapre s	-|------|-|------|----⌫|
sir e fait i lie nenpoim e s	---⌫|---|-⌫|-||-|--|-⌫-⌫|
cue rsm edeustpartir	---⌫-|-⌫|----|-----|
al aiss ei e desc ourir	--⌫----⌫|-⌫|----⌫----|
e t qu est l a so ur is deu enue	-⌫|-|--|-⌫|--⌫--⌫-|---⌫---|
astudete nue	-|-|----⌫--|
ta f oli e fustpard onnee	-|-⌫---⌫|---|----⌫----|
ilmefueschapee	-|-|-|-------|
ammisfai til orlai ester	----|---⌫|-|-|--|----|
ne ueil l esmaisadamblasmer	-|----⌫-⌫-|---|---|------|
sele fruit	-|-|----|
de l arbr eman ia	-||----⌫|---⌫-|
qu eno st res ires	--⌫|--⌫--⌫-|-⌫---|
carlidiables l i conseilla	--|-|------|-⌫|--------|
quipar safamm el	--|--|-|----⌫||
e tli p romists i	-⌫|-|-⌫-----|-⌫|
gr anthonnour	--⌫--|------|
que persseroita ucreatour	--|---|-----|-⌫|-------|
pourcenedoitnu sestoper	---|-|-|---|--⌫|------|
autruifaisanceneblasm e r	-----|-------|-|-----⌫-⌫|
dem etrefamm e so rsonproisme	-|-⌫---|----⌫|--⌫|--|------|
cha scuns repraingne soi mei s me	---⌫----|---------|--|---⌫-⌫-|
tex peutblasm er lefait	--|---|-----⌫-|-|---|
qui miexdeuroitrepr endrelu i	--|---|------|----⌫----|--⌫|
d unuilain co ntequi entra	|-|-----|--⌫--|--|----|
enunmoustieretsioura	-|-|-------|-|-|---|
zzsienche u a lauoitmol t	-|---|---⌫-⌫-⌫|----|---⌫|
sil atacha	-||-----|
hors doumoustier	---|--|-------|
adieurequist q uiliaidast	|---|------|-⌫||-|-----|
cunautreche ualli	|-|----|---⌫--|-|
confistc e l eorois o n	--|---|-⌫-⌫-⌫|-----⌫-⌫|
sonc heual amblentli larron	--|-⌫----|------|-|-----|
quantilfudou	----|-|-|--|
moustierissu s	-------|----⌫|
siestoitses cheuausperdus	-|-----|--|------|-----|
arrieresua	-------|-|
hastiuement	----------|
sipria deu	-|---|--|
deuo t ement	----⌫-⌫----|
chose nere queroit	----|-|--⌫------|
n aut re chiualne li donroit	|---⌫-|-----|-|-|------|
ma is facelui rauoirle	--⌫-|---|--|-----|-|
car naue ra iamai s sibo en	--||---⌫-|-----⌫|-|--⌫-|
po urcenedoitn us homprier	--⌫-|-|-|---|-⌫-|--|----|
de plusauoir qu il	-|---|----|-|-|
namesti er	||-----⌫-|
dexliadonné	--|-||-----|
sili souffiseenloia ute	-|-|-------|-|----⌫--|
u n s uilains ala au moustier	-⌫-⌫|------|--|-|-------|
so uuent esfois po urdieup rier	--⌫-----⌫-|---|--⌫-|---|-⌫---|
adie urequist queilidonnast	|---⌫|------|--||-|------|
etque safammeconsoill ast	-|--|-|----|--------⌫--|
etses enfa nsetnuluip lus	-|--|----⌫-|-|----|-⌫--|
cesteparoleauoi t enus	----|-----|----⌫|-|-|
souuente sfo isf aisoit h autcri	--------⌫|--⌫-|-⌫-----|-⌫--|--|
unsautresuila i nslen t endi	--|-----|----⌫-⌫-||--⌫-⌫---|
si li re spont has tiuement	-|-|--⌫----|---⌫-------|
de xte maudieomnipotent	--⌫|-|-----|---------|
ta fammeettesenfanspetis	-|----|-|--|-----|----|
et nusautresnesoit maudis	-|--|-----|-|---|-----|
exempleuei lr etr aire	------|---⌫|-⌫---⌫---|
chascunsdoit telp r oiere	-------|---|--|-⌫-⌫----|
soitnuisable	---|-------|
adieu soi tacceptable	|---|---⌫|---------|
dun uila in	|-|----⌫-|
con tequiauoit	---⌫-|--|----|
zzch ouequ il no rr i ssoit	-|--⌫--|-|-|--⌫--⌫-⌫----|
t antlanorriq uele parla	-⌫--|-|----|-⌫|--|----|
uoisinssilit ua	------|-|-|-⌫-|
clamm aa l aiu stice	-----⌫||-⌫|--⌫----|
et li conta	-|-|----|
en itelguise	-|---|----|
concis ois i ax soul oit	--|--|---⌫-⌫-|----⌫--|
lesmatines et pui s ch anter	--|------|-|---⌫|--⌫----|
liiugesdist qu	-|----|---|-|
fa it semondre auplait	--⌫-|-------|-|----|
einsi s c on	-----⌫|-⌫-|
ciles toit	--|--⌫---|
quideuoitfa iresonrespons	--|-----|--⌫--|--|------|
de corduanprist	-|------|----|
si la mistde s ousson	-|-|---|--⌫-⌫--|--|
l undeschi ezlaissedehors	|-|--|---⌫-|-----|-----|
liiu ges deustentendre	-|--⌫--|----|-------|
que li apportapourloir	--|-|------|---|---|
end e usauenir	-|-⌫-⌫-|-----|
quede sonplait li	--|-|--|----|-|
d oiaidi er	-⌫-|----⌫-|
c onmenceaha ucier	-⌫------||--⌫----|
s ouantdesc ouri	-⌫----|----⌫---|
tantqueliiugeslachoisi	---|--|-|----|-|-----|
la utreuilain	|-⌫---|-----|
fistappell er	---|------⌫-|
quilsie rtuenu saluiclammer	-|-||--⌫-|----⌫||--|------|
dela choue lidemanda	-|-|----|-|------|
quecestoi tetque le chanta	--||-----⌫|-|-|-⌫-|-----|
e t quelparoleele disoit	-⌫|---|-----|--|-----|
et l iprodonsdistqu ine	-|-⌫|------|---|-||-|
distilri en nensauoies	---|-|--⌫-||-|------|
paro lesnentendoies	----⌫--||---------|
quantnoiant estoit sa chancons	----|-----|-----|-|-------|
dois ia auoi rrespons	---|-|----⌫|------|
cil senalase n ssa droiture	--||-|--|--⌫-⌫|-|-------|
port elloier dontil	--|-⌫-|----|---|-|
prinstcure	-----|---|
doitp rinces ne	---|-⌫-----|-|
ses c onmendemensnes es lois	--|-⌫----------|-|-⌫-|---|
acouuoit eus met treen b aillie	|-------⌫--|---⌫--|-|-⌫-----|
c arsadroitureenestperie	-⌫-|-|-------|-|--|----|
dun uilaincont e quiprist ia	|-|-----|----⌫|--|----|-|
zzfolet que lonctens	-|----|--|---|---|
s elido nn a yyor emens	-⌫|-|--⌫--⌫|-|--⌫----|
parcequil n	--|-|-|-||
oumon s trasta s	-|---⌫-⌫----|-⌫|
fui oia ns	-|-⌫---⌫-|
q uantasafa mmeest	-⌫---||-|--⌫--|--|
lesyyoremenslidonna	--|-|------|-|----|
z zen r etint	-⌫|-|-⌫----|
preunou garda	---||-|----|
einsis furentbienlongement	-----|-----|---|--------|
quilne f irentnulorement	-|-|-|-⌫----|--|------|
iu s qu auzziour	--⌫-⌫-|-|-|---|
a un meng ierquilauoient	|-|----⌫--|-|-|------|
duneberbisleschin eet l	|--|-----||------⌫|-||
moleparoit l i	---|-----|-⌫|
en otgr antdesirrier	-|-|--⌫--|--------|
uolentiers lauoussistmengier	---------|-|-------|------|
maisnelap otauoirasmains	---|-|-|-⌫-|----|-|----|
siaouréqueli	-||----|--|-|
eustt elbecconluiplairoi t	---|-⌫-|--|--|--|-------⌫|
conmeli widecosauoit	----|-|------|----|
einsinc aui ntco neleoura	------|---⌫-|--⌫|--|---|
et li uilains s enmeruilla	-|-|------||-|-------|
si ouraquequant	-|---|--|----|
sonu ismeisme eust	--|-⌫-|-----|---|
de uso uremen sore ntperdus	--⌫-|-⌫------⌫|---⌫-|-----|
que nusn enestaprou uenus	--|--||-|--||---|----|
ap lusours ests iauen u	|-⌫------|--|-⌫|----⌫|
souuentesfoisi ontperdu	--------|---||--|----|
quetropcroientautr ui pa rolle	--|---|------|----⌫-|--⌫----|
que to uslesdecoitet	--|--⌫-|--|-----|-|
lifouscuide	-|---|----|
quileueil leauoir consoillié	--|-|----⌫-|----|----------|
consoimeismes illi fau t	--|--|------|-|-|---⌫|
kartantne set	--|---|-|--|
netan tneuaut	-|---⌫|-|---|
dun gourpilditq u eune nuit	|-|------|--|-⌫-⌫|--|---|
estoit al ezanson deduit	-----|--⌫-|-|--|-----|
surun e mare tresp as sa	--|--⌫|---|-----⌫--⌫-|
quantdeden sl	----|-----⌫||
iaue resgarda	---|-------|
lum brede l alune	|--⌫--|-|-⌫|---|
m aisne sot	-⌫--|-|--|
miequec efu	--|--|-⌫|-|
puisapensé en soncou rage	---||-----|-|--|---⌫---|
qu ilauera zz grantfromage	-|-|----|-|----|------|
meismes cel uiq u	------|---⌫-|-⌫|
lomb reotaperceu	|---⌫-|-|------|
leueconme ncaa laper	|--|-----⌫--||----|
moltbien cuida e n son penser	---|---|----|-⌫|--|-----|
s eleueenla mareestoit mend re	-⌫||--|-|-|---|-----|----⌫-|
quele fromaige pourroitprendre	--|-|-------|-------|------|
tant abeuqu eilcreua	---||--|--⌫|-|----|
i l euc ch ai pu is nen	-⌫-⌫--|--⌫-|--⌫-||-|
mainshon espoire outr e sond roi t	----|--|------|----⌫|--|-⌫---⌫|
etoutr ece quiln edeuroit	-|----⌫|-|-|-|-⌫|------|
auoirtout esses uole n te z	----|----⌫-|--|----⌫-⌫--⌫|
dontpuis estmorset afolez	---|---|--|---|-|-----|
dun leu contequi	|-|--|----|--|
f u i adis	-⌫|-⌫---|
ouunsc orbiax estoit assi s	-|--|-⌫-----|-----|----⌫|
desseurledos	------|-|--|
duneber bis	|--|---⌫--|
lil e us parlapar	-|-⌫-⌫-|----|--|
no bles dis	--⌫---|--|
ie uoi dist ilmoltg rantmerueille	-|--|---|-|---|-⌫---|--------|
ledosd u neoeille	-|--||-⌫-|-----|
s ielaousieli	-⌫-|-|-|--|-|
corbiax dist	------|---|
faiautr etel s e ns	--|----⌫---|-⌫-⌫-|
contred ist	-------⌫--|
lileusrespont n en	-|---|------||-|
ferairi e n	----|--⌫-⌫|
segeiseusseie	-|-||-----|-|
quetoutesgens mehuieroient	--|-----|---|-|---------|
de tout esp a rs mescri ero ient	-|----⌫-|-⌫-⌫-||-----⌫---⌫---|
u ourroie mengie r	-⌫------|------⌫|
nemilairoie ntaprochier	-|||-------⌫-|--------|
einsisest il dou tricheour	-----|--|-|--|--------|
ete n offriretenp eour	-|-⌫|-----|-|-|-⌫---|
quecons ciencele	--|----⌫-----|-|
quetr est uitu oientsontalent	--|--⌫---⌫--|-⌫----|--|-----|
formentl ipoised es	------|-⌫|----|-⌫-|
quinetorneses	-||-|----|--|
duncoc uousdiraiq u iest oit	|-|--|---|----|-⌫-⌫|---⌫--|
enzz fumier	-|-|-----|
et s i gratoit	-|-⌫|------|
par delez luiuint	--|----|--|---|
silappellapar moltbiaxd is	-||------|--|---|---|-⌫-|
s i refa itil molt t e uoi	-⌫-⌫-|--⌫-|-|---|-⌫|--|
onques neu i	-----|-|-⌫|
sigentoisel	-|---|----|
clere uoi sas surtoute	----|---⌫|-|--|----|
forston perececuit iebien	---|--|---|-|---|-|---|
o nquesoisia x	-⌫----|-----⌫|
miexne ch a nta	---|-|--⌫-⌫--|
ma ismiexd i st	--⌫-|---|-⌫-⌫-|
quantlesi exclui ngna	----|--|-⌫-|----⌫---|
s ip u is iefaire dist li	-⌫|-⌫-⌫-|-|----|---|-|
leseles ta u tlesiex ac los	--|---|--⌫-⌫|--|--||-⌫--|
chanterc u idaplus cle re ment	------|-⌫-⌫--|---|---⌫--⌫---|
l ewlpiluaau ant	-⌫|----|-|--⌫--|
uers laforest atout	---|-|-----||---|
par m ile champ	---⌫-⌫|-|----|
ou ilpassoit	-|-|------|
courentpares	------|----|
tuitli pastour	---|-|------|
leschi enslihuient tout entour	--|---⌫--|-|-----|---|-----|
uersle gourpil qui l ecoc tient	---|-|------|--|-⌫|--|----|
marl encharia s e	--||-------|-⌫|
parc iuient	--|-⌫|----|
uafait li cossilor esc rie	-|---|-|--|-|--|---⌫--|
qu eietain gne	--⌫|-|----⌫|-|
la ira imie	--⌫---⌫|--|
li gourpisuautparler enhaut	-|------|---|-----|-|---|
et licosdesabouchesaut	-|-|--|-|-|-----|---|
grantfust enestmontez	----|---|-|--|-----|
q uant ligou rpiss estr esga rd ez	-⌫---|-|---⌫---||--|-⌫----⌫--⌫-|
mol t se parti nt aconchie	---⌫|-|--|--⌫-||------|
q uan t lic os	-⌫---⌫|-|-⌫-|
la si engignié	||-|--------|
dem a l talent etdedroiteire	-|-⌫-⌫-⌫-----|-|-|-----|--|
l aboucheconmenceamaldire	-⌫|-----|-------||------|
q u ipar ole	-⌫-⌫|---⌫--|
quant ildoit taire	----|-|---|----|
respontsi doiie	------|-|--|-|
maldirelueilqui ueut	------||---|--|---|
quanti ldoi tueillier et gaitier	----|-⌫|---⌫|-------|-|------|
quemax neui engnea sonsig nou r	--|--|-|--⌫----||--|---⌫---⌫|
ce font l i foltuitli	-|---|-⌫|--|---|-|
parolentquant doiu entcesse r	-------|----|----⌫--|-----⌫|
et taisent	-|------|
quant doiuentparler	----|------|-----|
dun couloncon te	|-|-----|---⌫-|
estoitdeseuruncruesa s s i s	-----|-----|-|----|-⌫-⌫-⌫-⌫|
unsgo urpis uint dessours el	--|--⌫----|---|------|-⌫-|
enhautparla	-|---|----|
s ili adit	-⌫|-||--|
pourcoifaitilies tulaissus	---|--|---|-|--|-|------|
ensigrant uentcar descent	-|-|----|---|--|------|
ie no npar foi cilrespondi	-|--⌫|--|--|--|-------|
pornoiantasp eour	--|-----|-|-⌫---|
s itefa i bi en direpour coi	-⌫|-|--⌫|--⌫-|---|---|--|
ge fuimaint	-|--|----|
iourenzz dec re	---|-|-|---⌫-|
ougrant peuple auoit assamblé	-|----|-----|----|--------|
uint depar l eroi	---|-|--|-⌫|--|
quico nmandapar	--|--⌫-----|--|
que bestea	--|----||
autrene mef face	----|-|---⌫---|
que entreus na itmais	--|---|--||-⌫-|---|
sifaiteguer re	-|----|----⌫-|
pai sueutme trededens	---⌫|---|--⌫--|-----|
ensamblepor runtme sa ler	-------|---⌫---|--⌫|-⌫--|
oi sel et b e stes	--⌫--|-|-⌫-⌫---|
don cuendraiiedistli	---⌫|------|-|---|-|
co u l ons	--⌫-⌫-⌫--|
uoi lalescel boisson	--|-|--|--|------|
deus ch eualiersileucaler	---|--⌫-------|----|---|
et f untyyc hienso euxmener	-|-⌫--|-|-⌫----||--|----|
distliwlpissontil	---|-|----|---|-|
ilcheuauchentditi lades	-|----------|--|-⌫|---|
miex est qu	---|--|-|
ence leb oueu ois e	-|--⌫-|-⌫--|-⌫---⌫|
queparaus aiee strifnenoi se	--|--|--|--|-⌫----|-|---⌫-|
n esaisil ontlebeufoi	-⌫|--||-|--|-|---|-|
quiuin tdouroi ie uosafi	--|---⌫|--|--|-|--|--|
n emestouuroit pa sremueer	-⌫||---------|--⌫|------|
sil auoient	|-|------|
siuade pluseurs uisie z	-|-|-|-------|-----⌫|
paraus son t pluso urengigniez	--|--|---⌫|-----⌫-|--------|
parparoleetparfauss e rmon	--|-----|-|--|---|-⌫-⌫---|
ei nsisuo ltfair elecoulon	--⌫---|--⌫-|----⌫|-|-----|
li aigl esestdesoisiaxrois	-|----⌫-|--|--|-----|---|
pource quilest prouset cort oi s	---|-|-|-|--|----|-|----⌫--⌫|
etl ioistour ses t senes chaus	-|-⌫|-------⌫|--⌫|-----⌫----|
senest ilmieto us loiaus	-||--|-|--|--⌫-|-----|
liaig le sist	-|---⌫-|---|
par u n grantchaut	--|-⌫|----|----|
surlabranchedunc hasne en	--|-|------||-|-⌫----|-|
liostours sistpl usbas	-|------|---|--⌫-|--|
garda aua l	----|---⌫|
s enotanui	|-|-|---|
deus c oulons	---|-⌫-----|
quid eso usbelo ient	--|-⌫---⌫-|----⌫---|
iusalaterreentr	--||-|----|---|
axiouoient	-|-------|
uous iouezic idesousmoi	---|----|--⌫|-----|--|
uost reroi	----⌫-|--|
s ils efust deci remuez	|-|-⌫|---|-|-|-----|
e t seur zz autrefust alez	-⌫|---|-|----|---|---|
li geus iroitenautreguise	-|---|----|-|----|----|
ieferoied euo us ioustise	-|-----|-⌫|--⌫-|-------|
pourc ene doitpri ncesuoloir	---|-⌫|-|---|---⌫---|-----|
se neschal en	--⌫------|-|
son res neauoir	--|---⌫-|----|
ne couuoiteu snementeour	-|---------⌫|-|-------|
enueutfaire son	-|---|----|--|
uns cheuausuitqueherbe	--|------|--|--|----|
dedensun premes napercut	-----|-|--|--||------|
la haiedontclo s fu	-|---|---|---⌫|-|
asail lirenss estacesme z	|----⌫--|--||--|------⌫|
es tparmicreuez	--⌫|----|-----|
cefon tp lus eur	-|---⌫|-⌫---⌫--|
bien lesaues	---|-|----|
tantcou uoiten t loruolent es	---|---⌫------⌫|--|------⌫-|
neuo ientpasqu eleauenture	-|--⌫---|--|--⌫--|-------|
a uientaprespesa ntetdure	-⌫----|----|----⌫-|-|---|
unsricheshoncedist	--|-----|--|-|---|
zzcheu alqueuendre uoloit	-|----⌫-|--|-----|-----|
pory ydi sta ses ammis	--|-⌫|--⌫-||--|----|
quechas cund	--|----⌫--||
a xuoloitdonner	-⌫|-----|-----|
le uoloi tache ter	-|-----⌫|----⌫--|
uns marchean sleretenra	--|--------⌫|-|------|
lecheual qui le	-|-----|--|-|
ma isle beuf neualoi t	--⌫-|-|---|-|-----⌫|
lirichesh on	-|-----|-⌫-|
parmalt ale nt	--|----⌫---⌫-|
distquambedouslesacha troi t	---|-|-------|--|----⌫----⌫|
ouembedous les retenroit	-|-------|--|--------|
sauoir poezdou nonsachant	-----|---|--|---------|
qu e sonmalp riseautretant	--⌫|--|--|-⌫---|--------|
conson bie ntouthonni e ment	--|--|---⌫|---|-----⌫-⌫---|
nepeutlaissierson	-|---|-------|--|
ciu ousr aconte queunsleus	-|-⌫--|-⌫-----|--|--|---|
enun e grangeiusttousseus	-|--⌫|-----|---|---|---|
desouslakeue auallientre	-----|-|---|---|-|----|
zzes c harbosdesiau uentre	-|--⌫-⌫-----|---|-|-----|
lileussautsu s si	-|---|---|--⌫|-|
molt e ngois s em en t	---|-⌫-----⌫-⌫--⌫--⌫|
tan twuitrillaettants ailli	---⌫|--------|-|---|-⌫----|
queli escharb oss	--|-|-------⌫-||
q uantli le uses garda etuit	-⌫---|-|--⌫-|--⌫----|-|--|
m olt parli sam bla g rant de spit	-⌫--|--|-|---⌫--|-⌫---|--⌫---|
ha lasd istildolenschaitis	-|--|-⌫--|-|-----|------|
que deden smo i estoies mis	--|-----⌫|--⌫|------|--|
lie s charbosarespondu	-|-⌫-⌫------||-------|
certesd isti lcestbienseu	-----|-⌫--|-⌫||--|---|--|
queieuolasse miex	--|-|------|---|
quan t dem aingnestu	----⌫|---⌫------|-|
o rass ambl etaconpa ingn ie	-⌫|---⌫----⌫|-|-----⌫----⌫-|
e tc eusquitesonten aie	-⌫|-⌫--|--|-|---|-|--|
etierassa mbleraimes gens	-|-|-----⌫------|--|---|
et mescou sins etmes	-|--|---⌫---|-|--|
demainfe ronsunebataille	-----|--⌫---|--|-------|
e nmicelchamp	-⌫--|--|----|
soions sansfaill e	-----|---|-----⌫|
lileuslaein si	-|---|||---⌫-|
o ut roié	-⌫--⌫----|
pour des ai de nsaenuoié	---|--|--⌫--⌫-||------|
li escharbosmanda	-|--------|----|
n i auoi t	||----⌫|
nesunfol remes	--|-|--|----|
ne grosse mouchenetahon	-|-----|-----|-|----|
neslewespe qui estfelon	--|-|----|--|--|----|
qu antildeuoientaprochier	--⌫--|-|-------|--------|
li leusuatl essiens ensei ngn ier	-|---|--|-⌫-|----|-----⌫---⌫--|
cons eildient	----⌫--|----|
loresteutprendre	--|-----|------|
s ilseueule nt de	|-|-|-----⌫-|-|
ceuxdeffendre	---|--------|
chascunesteut gar dersa coue	------|-----|---⌫--|-|---|
ouilira amaleuoie	-|-|--||---|---|
lice rslidistno usnou sbandr ons	-|--⌫-|-|---|--⌫-|---⌫|-----⌫--|
pa rtn ouses tupons	--⌫-|-⌫--|--⌫-----|
quilnep uissentparlapasser	-|-|-|-⌫------|--|-|-----|
lorsporrons pl usseu raler	---|------|--⌫-|---⌫|---|
einsi s lont	-----⌫||--|
faitconmu nal ment	---|-----⌫---⌫---|
sontestroitement	---|-----------|
maisquantceuintal assa mblee	---|----|-|---|||----⌫----|
unedes wespes s	--|--|-----||
estdesr ee	--|----⌫-|
lece rflezlescos te s	-|--⌫-|--|--|---⌫--⌫|
et li cerfc est s ief freés	-|-|---||--|-⌫|--⌫-----|
semesfist u ilainn ement	-|------|-⌫------⌫----|
q uela bendederontet f ent	-⌫-|-|----|-----|-|-⌫--|
ce dist lileusqu i estoitpre s	-|---|-|---|--⌫|-----|---⌫|
signorpordeu n	-----|--|--||
i estons mes	|-----|--|
moltno us es tore m esch eu	---|--⌫-|--⌫|--|-⌫----⌫-|
quant lil ie nsontderompu	----|-|-⌫--⌫|---|------|
fuionsnousent hastiuemen t	-----|---|--|----------⌫|
senousi do mour ons n oient	-|---||--⌫----⌫--|-⌫----|
n iauraneszzseul	||---|--|-|---|
de souslaco ue nenait dous	--⌫---|-|--⌫-||-|--|---|
cestexemple nousdit de ceus	---|------|---|--|-|---|
qu edespise ntlesmenorsd e us	--⌫|-------⌫-|--|-----||-⌫-|
tant le sauil lentde lordis	---|--⌫|----⌫---|-|--|--|
quaugr ant besoi ng	-|-|--⌫--|-----⌫-|
que miex se seuentsil	--|---|-|-----|--|
lo uil e non tm i l lor	|-⌫|-|-⌫|--⌫|-⌫-⌫-⌫--|
parzz exempleconte ci	--|-|------|----|-|
quetuitlilou sontau tresi	--|---|-|--|---|--⌫----|
encelep el ouilsontné	-|---|-⌫-|-|-|---|--|
mainnent etl on cet le	-------|-|-⌫--⌫|-|-|
quisor le le u metroitbonmestre	--|--|-|--⌫|------|--|-----|
quel doctrinas taestre p restre	--||---------⌫||----|-⌫-----|
sis eroitade sgr islilous	-|-⌫----|---⌫|--⌫-|-|---|
f el ete ngreslaiset	-⌫-|-|-⌫----|---|-|
ciuosra contedunoistour	-|--|--⌫----||-|------|
quiso r l e fust	--|--⌫|-⌫|---|
sassistzziour	|-----|-|---|
oulir ossi gnos o tsonni	-|-|-⌫----⌫---|-⌫|--|-|
et ousesoisellonsnourri	-|-|--|--------|-----|
pristaappe ller	----||----⌫---|
etlic on mandaa	-|-|-⌫--⌫----||
siredistil ie n e	---|---|-|-|-⌫|
tant consi pre sde	---|--|-|---⌫|-|
seiluosplaista	-|-|--|-----||
e t seurzz	-⌫|---|-|
aut refustuo ler	---⌫-|---|--⌫--|
ie chant eroie molt plu s	-|-----⌫----|---|---⌫|
c es eue nttu it	-⌫|-⌫---⌫-|--⌫-|
cilautre o ise l	--|----|-⌫---⌫|
autresiua dema integent	------|-|-|--⌫---|---|
ne peuentpasseurement	-|-----|--|--------|
l aouildeuront	-⌫|-|-|------|
bienparler	---|-----|
con laouleuresteut	--|-|-|---|-----|
d uncorbelco n te	|-|-----|--⌫-⌫-|
qui trouua	--|-----|
parmilechampouilala	----|-|----|-|-|--|
plu m esetpennesdunpaon	---⌫-⌫-|-|-----||-|---|
sis esgar datout	-||-----⌫-|---|
p lus u il	-⌫--|-⌫-|
setin tque nulo isel	-|---⌫|--|--|-⌫---|
pour cequiln eseuit	---|-|-|-|-⌫|-|--|
toutes ses plumesarrach a	-----|--|-----|------⌫|
c onquesnu les nen illaissa	|-----|--⌫--||-|-|-----|
despennesdoupaon s a tourne	--|-----|--|---||-⌫-----|
tre sto ut ento rmolt biensaourne	---⌫---⌫-|----⌫|---|---||-----|
puis sassam b la o lespaons	---||-----⌫-⌫-||--|----|
ne s ambla	-|-⌫----|
pas lourcon paingn on s	--|---|---⌫------⌫--⌫|
aleurelesledebati ren t	|---|---|-|------⌫---⌫|
et cequi lpourentpis lifi rent	-|-|-|-⌫|------|--|-|--⌫---|
lorsreuolt a sc o rbiax aler	---|-----|-⌫|-⌫-⌫----|---|
siconilse u t co urbia u s	-|--|-|--⌫-⌫|--⌫-----⌫-⌫|
maisillo nt	---|-||-⌫-|
toutdesc onneu	---|----⌫----|
sillont dechacié et	|-||--|--------|-|
onfaire deplusors	-|----|-|------|
qui auoirso nt etg ranshonnors	--|-----|-⌫-|-|-⌫---|------|
encoruaurroient plusqueillir	----|---------|---|-------|
ilnepeuent	-|-|-----|
ceq u ilcouuoitent	-|-⌫|-|---------|
nonti lmie	|--|-⌫|--|
lorp e r dent par folie	--|-⌫-⌫-⌫---|--|----|
unslionsfu moltdesha tiez	--|----|-|---|-----⌫---|
d e malsoupris etempiriés	-⌫|--|------|-|--------|
touteslesbe stesialerent	-----|--|--⌫---||------|
en tr aus dirent etesgarderent	--⌫-|--|-----|-|----------|
c on ledeustmed i c iner	|-|-|----|---⌫-⌫-⌫---|
se nusliset conseildo nne r	-|--|-|--|------|--⌫---⌫|
a ugourpilse tinr ent	-⌫|------|-|----⌫--|
q ui desbestessetleretou r	-⌫-|--|-----|--|-|-----⌫|
