qui ueu th enor	--|---⌫|-⌫---|
quant uoscaienz lerequellistes	----|--|-----|-|-----------|
bealsireorsoieztozenpais	---|---|-|----|--|-|---|
n iaureiz uoshuim ais	||-----|--|----⌫--|
ne sed iexplaist que	-|-|-⌫--|-----|--|
nos p uis son	--|-⌫---⌫--|
u enezsee r si	-⌫---|---⌫|-|
cequeciueiappa reillié	-|--|-|--|----⌫-------|
tantl iaditet tantprié	---|-⌫||--|-|---|----|
que iostesa fa me	--|----|-|--⌫-|
luimengierle	--|------|-|
ensembl emengiere ntet burent	-------⌫|--------⌫-|-|-----|
ettot eiore nsemblefur ent	-|---⌫|--|-⌫------|---⌫--|
quantlanuituint s is ena la	----|-|---|---|-⌫||-|-⌫-|
q uibienabriconnezeste it	-⌫-|---|---------|----⌫-|
quer deriennesaperc e uei t	---|-|---|-||-----⌫-⌫---⌫|
dexdis tlifilzet	--|---⌫|-|---|-|
il comment	-|------|
quicuidastquesi so dement	--|------|--|-|--⌫-----|
p eust ho m ne	-⌫---|--⌫|-|
f ametrouer	-⌫--|-----|
sig ra nt engienne porpenser	-|-⌫--⌫-|-----|-|--------|
qui trest ot lormaporter e it	--|-----⌫-||-||-------⌫-⌫-|
quie sten a ra beetdo rreit	--|-⌫-|-|-⌫--⌫-|-|--⌫----|
ne u oudreieie	-|-⌫------|-|
senescuidoierecourer	-||-|------|-------|
cez tr eis fableausquedit mauez	--|--⌫--|-------|--|--||---|
mescheles pere oruos	--|-----|---|-|--|
etsi recommen ciezlequa rt	-|-|--------⌫---|-|---⌫-|
querc ertesbelpereilm	---|-⌫----|--|---|-||
e st ta rt	-⌫-|--⌫-|
queliquart sei t recomm enciez	--|-|----|---⌫|------⌫-----|
pu isestreasaziez	--⌫-|----|------|
distl ipere tu es	---|-⌫|---|-|-|
iat en ai geor treiscontez	-||-|-|-|-|----|-----|
e tencores siangoissos	-⌫|----|-|-|--------|
iecriemque na uiengeentre nos	-|----|--||-⌫-----|----|--|
co mentreunreiq ui franceti nt	--⌫|----|-|--|-⌫-|-----|--⌫-|
etun soenfableor	-|-|---|------|
perequermedites	---|---|-|----|
si mertgr ant aso agement	-||--|--⌫--|---⌫------|
deb oenuolentelo rrai	-|-⌫--|------||-⌫---|
et mo utboen	-|--⌫-|---|
greuos en sarai	--|--|-|----|
e tge lteconterai assez	-⌫|-||-|-------|----|
l ireises teitaco stumez	-⌫|---|--⌫---|---⌫-----|
d es onfableorescouter	-⌫|-⌫-|------|-------|
chascunenui tapres soper	-------|---⌫|----|----|
iace nulenuit	-|-|---|---|
quecincfable sneli d eis t	--|---|-----⌫|-|-|-⌫---⌫|
tant queillaueit endormi	---|--|-||----|------|
orauintunenuit ei ssi	-|----|--|---|--⌫--|
reis fuauquesp ensis	---|-|-----|-⌫----|
qu erguerre aueite n sonpais	--⌫-|-----|----|-⌫|--|---|
tantpensou tcom	---|------⌫|--|
laf inereit	-|-⌫------|
queendor mirne	--|-----⌫--|-|
lifablerresqu il i contout	-|--------|--⌫|-⌫|------|
les c inc fab les	--|-⌫--|---⌫--|
finees out	-----|--|
aurei d istquedormirireit	-|--|-⌫--|--|-----|----|
reis dist que nonfereit	---|---|--|--|-----|
une enuoleitoncoroir	--|-|-----|----|--|
puisseporr e it alerdormir	---|-|----⌫-⌫-|---|-----|
cildit que pasnelidira	--|--|--|--|-|-|---|
queri lnepuettelsome la	---|-⌫|-|---|--|----⌫||
lir eiss e feras	-|-⌫--|-⌫|----|
une longuemenacont eras	--|-----||-|-----⌫---|
trei squetu	----⌫|--|-|
ontdassezest étro p peti tes	--||----|---⌫-|---⌫|----⌫--|
et cilrespontfaire l	-|--|------|----||
si otr eie q uemaisnepuet	-|---⌫--|-⌫-|---|-|---|
unpa isantiadise ste it	-|--⌫----|----|-⌫---⌫-|
qu imils olz aunez aueit	--⌫|--|-⌫--|----|----|
porpensasei que	-------|--|--|
sesdeniers	--|------|
metreiten tel leuuo len tiers	------|-|--|--|--⌫---⌫----|
ou auc uner iengaagnassent	-|---⌫--|-⌫--|----------|
et ouil semo n teplea ssent	-|-|-|-|--⌫-⌫------⌫----|
unio uraune	-|--⌫-||--|
et cezdenierso se i	-|--|------||--⌫|
plu sors chosesi	---⌫---|-----||
mes onquesnulen	--|-----|---||
ousibienpeustmarcheer	-|-|---|----|-------|
comenbr ebizachater	--|-|--⌫---|------|
e mple a sesdenier s	-⌫----⌫|--|------⌫|
pormilsolzenoutdous milliers	--|--|---|-|--|---|-------|
aferei tu eirdiz	|-----⌫|-⌫--|--|
a siseindenierla	|-----|-----|-|
asezeniout	---|-||--|
boe nma rchie	---⌫|--⌫----|
s irequant totoutesligié	-⌫--|----|--|--|-------|
sia que li queses	-||--|-|-----|
t otessesbrebizaquel lies	-⌫---|--|-----|-----⌫---|
eueuintdesriuee	--|---|-------|
quimout e steit parf onde	--|---|-⌫----|----⌫---|
ne pontneguenipout	-|---|-|--|||---|
ous esbre bi z p eust	-|-⌫-|---⌫--⌫|-⌫---|
nenefne batel niaueit	-|--|-|----|||----|
sol ounipoeit	--|-|||----|
que dou sbreb iz a	--|---⌫|----⌫-||
male peine	---|----|
uillote qui lmeine	------|--||----|
l i prodo nsfutozesbahiz	-⌫|-----⌫-|-|--|------|
quer mo uti aueitd es	---|--⌫-||----|-⌫-|
bateals petit esteit	------|----|-----|
bien s out que mo uti	---|-⌫--|--|--⌫-||
seio r re it	----⌫-⌫--⌫-|
setan tliestuet demorer	-|---⌫|-|-----|------|
le sai tfet passer	--⌫|--⌫|--|-----|
par dous etdoustant sol ement	--|---|-|---|---|---⌫----|
lp uet f ereautr ement	|-⌫--|-⌫--|----⌫----|
la ueilleaseiaap ele e	-|-----||--||--⌫---⌫|
et q uantsanef out aloee	-|-⌫---|-|--|--|----|
dousdesbrebizdedenzb ota	---|--|-----|-----|-⌫--|
etlaueil le	-|-|----⌫-|
outrelesporta	----|--|----|
apr esre ui nt p ordesbrebiz	---⌫-|--⌫--⌫-|-⌫-|--|-----|
aitantses tcil	|----||--⌫|--|
end orm iz	---⌫---⌫-|
quiceste fableaurei	--|----|----|-|--|
lete ste mistiussi setou t	-|--⌫--|---|--|-|-|---⌫|
lir eislecommence a has ter	-|-⌫--|-|-------||---⌫--|
f ormentab lasmer	-⌫-----||-⌫-----|
quela fabl enefenisse i t	--|-|----⌫|-|-------⌫-⌫|
que com menceeliaueit	--|---⌫-----|-|----|
siredi st cil granttortauez	---|--⌫-|--|----|---|---|
abrebiz ce sauez	|-----|-|----|
etl eueestleeet la	-||--|--|--|-|-|
nestnigrandenei snele	|--|-|-----|-|-⌫----|
bienpoonunsommedormi r	---|---|-|----|-----⌫|
treist o t ale isir	----|-⌫-⌫||--⌫---|
ainzqu etote sles aitpa ssees	------⌫|----⌫|--|--|--⌫----|
lau ielle qui	-|-⌫----|--|
lesa aloees	--||-----|
donc aprimesquantc esera	---||-----|----|-⌫----|
quet otesout reles aura	--|-⌫---|---⌫-|--|---|
etliuilainss erapassez	-|-|------|-⌫--|-----|
seienedisi	-|-|-|-|-|
mes entre tant	--|----|---|
nesaiquedi re	-|--|--|--⌫-|
etli r eis c omm encaarire	-|-|-⌫--|-⌫---⌫---||---|
certes d ist	-----|-⌫--|
il gra nttortaroie	-|---⌫-|---|----|
se entretantt e n	-|--------||-⌫|
cor taisement m as	---⌫--------||-|
bien as deserui le	---|-|------|-|
adieusite repose	|---|-|-|-----|
qu erou tren iront	--⌫-|--⌫--||----|
il en pose	-|-|---|
ei siapaisicistle rei	--⌫-|-----|---|-|--|
filzautretel tedemei	---|-------|-|-|--|
que se tum enchaucesg ranment	--|-|-||--------|-⌫------|
iee ssaerai	-|-⌫------|
deliurermeic om me cil f i st	-------|--|-⌫--⌫-|--|-⌫-⌫-|
dirai comil lidist	----|--|-|-|---|
per ece dis t li fi lzmerci	---⌫|-|---⌫|-|--⌫-|----|
neuaitpasentre	-|---|--|----|
no seis s i	--⌫|---⌫-⌫|
qu erc i lquil esfablesdiseit	--⌫-|-⌫-⌫|--|-⌫-|-----|-----|
denulerienn e	-|---|---|-⌫|
forsdetantquau	---|-|---|-|-|
nelireisnena ueit quefair e	-|-|---||-|-⌫---|--|----⌫|
f ors tantque il se delit out	-⌫--|---|--|-|-|-----⌫--|
el nelicontout	-|-|-|------|
mesuosme deue zchast i er	--|--|-|----⌫|-----⌫-⌫-|
etdoct r ineret enseignie r	-|----⌫-⌫---|-|---------⌫|
eln eluosdemant	-|-⌫||--|-----|
nen e uosuaissi en querant	-|-⌫|--|---|-|--⌫------|
mes porsaueir	--|--|-----|
meiplusgard er	--|---|----⌫-|
uoildesdameso ir	---|--|----|-⌫-|
s i uospri queuosme co nteiz	-⌫|--|--|--|--|-|--⌫----|
quanquedel ore ngienzsaureiz	------|-|-⌫-|-⌫-----|------|
fil zunpr odomiad isesteit	---⌫|-|--⌫---|---⌫-|-----|
quiune bone d ameauei t	--|--|---|-⌫--|----⌫|
degrant bealteertreplanie	-|----|-----|--|-------|
etmoutmenout honeste uie	-|---|-----|------|--|
querbi enetde	---|--⌫-|-|-|
se rueitetamoutson seigno r	--⌫----|-|----|--|------⌫|
peusta ce traire	----||-|-----|
que au treamor li peustp laire	--|--⌫--|---|-|----|-⌫----|
asonseign oruinte n corage	|--|-----⌫-|---|-⌫|-----|
qui li reitenpel er ignage	-|-⌫|-⌫---|-|---⌫--⌫-----|
amonseign ors aint pe re aromme	|--|-----⌫-|-⌫---|--⌫-||----|
uolt laissiernehome	---|-------|-|---|
nefame agarder sa mol lie r	-|---||-----|-|---⌫---⌫|
quernesteitde ce	---||-----|-|-|
nul me stier	--|--⌫----|
celi ert uis tan t secreeit	-|-|--|--|---⌫|-|-----|
en labontequ eleaueit	-|-|----|-|--|----|
qua ntil el	---⌫-|-|-|
le conueia	-|------|
etaudepa rtirmout plo ra	-|-|----⌫---|---|---⌫-|
etlisireslaconforta	-|-|----|-|-------|
etlidistetamo nesta	-|-|---|-|---⌫----|
quelbiense	-|-|---|-|
tenistfermement	-----|--------|
domeleau eit commencem ent	--|--|--⌫--|---------⌫--|
lada mereuint	-|--⌫-|-----|
qui naueitpensé sebien non	--||----|-----|-|---|--|
con tin t s ei	---⌫---⌫|-⌫-|
si c om elsoleit	-|-⌫-|-|-----|
encorsemiel zpoeit	----|-|----⌫|----|
unioreissi	-|--|----|
d esameson	-⌫|-|----|
mesnelfistpassanz acheso n	--|-||---|--|---|------⌫|
une soeuei sine	--|--|---⌫---|
mo ut humblemen t latesteencli ne	--⌫-|---------⌫|-|----|-----⌫-|
alaou eleaue ita faire	--|-|--|---⌫-||----|
et quantele esteit el	-|----|--|-----|-|
r epa i re	-⌫---⌫-⌫-|
un damaiseldela co ntree	-|-------|-|-|--⌫----|
la pa rauentu re	||--⌫|------⌫-|
moutlauithumblement	---|-|--|---------|
ethonestement contenir	-|----------|-------|
commenca l a acouertier	-------|-⌫||--------|
et nusnesendeit merueillier	-|--|-||-|---|----------|
ca rla me ndredeses b onte z	--⌫|-|--⌫---|-|--|-⌫----⌫|
ertaliec ouuertiera ssez	--||--|-⌫--------|-⌫---|
cillasa luabo nemen t	--|-|--⌫--|--⌫-----⌫|
etels if istluiensement	-|-|-⌫|-⌫--|--|-------|
ladameas o no stelala	-|---||-⌫-⌫|-⌫---|--|
e tcilsestutsi lesgarda	-⌫|--||----|-||------|
et quant nelapout	-|----|-|-|---|
p lusueier	-⌫--|----|
lieu s ala a	---||--||
ounul nelpeustesga rder	-|--|-||----|----⌫---|
sicommen caarecorder	-|------⌫-||-------|
lagrant bealtequeleaueit	-|----|-----|-|--|----|
qui l alumoutetesperneit	--||------|-|--------|
sonbelco ntenement	--|--|--⌫--------|
ettotlierta uiuement	-|--|-|--|-⌫-------|
carcommeil plus i	--|----|-|---||
plus esperneit etalumout	---|--------|-|------|
etdexdist ilq uedeige fair e	-|--|---|-|-⌫-|--|-|----⌫|
se ie ne l apu i sa	-|-|-|-⌫|--⌫-⌫||
queiesoiesoensetel	--|-|---|----|-|-|
doncmaruincie huicesteuo i e	---|--|---|-|--|----|--⌫-⌫|
mallauinc ieienendot	--|-|---|-|-||-|--|
car mout tendra en g rant folie	--|---|-----|-|-⌫---|----|
sei e larequierd amistie	-|-⌫|-|------||------|
carelnason	--|-|||--|
detelm arc hie	-|--|-⌫---⌫--|
m ar fu sab eautee t sonsens	-⌫-|-|-|-⌫----|-⌫|--|---|
quant deltotp art issi	----|--|--|-⌫--|---|
pornientfut bele	--|----|--|---|
neuautrien	-|---|---|
quant el neueutaueir nul	----|-|-|---|----|--|
di i e orbienpa rf ei	-|-⌫|-|---|--⌫|-⌫-|
anceis di folieetgran tmal	-----|-|----|-|----⌫|--|
carelfetc equ e	--|-|--|-⌫|--⌫|
el deitfaire	-|---|----|
dei pasenmalretraire	--|--|-|--|-------|
etiemortelment pec hereie	-|-|---------|---⌫-----|
sedesonbienlaretraie	-|-|--|---|-|------|
ia nemen ser ai	-|-||-|---⌫-|
donti asofrerai	---|-⌫|-------|
longuesne puissoffrir	------|-|---|------|
si m estoura lessier morir	-||------|------|----|
morirce serreitmauuestie	----|-|------|--------|
etgrantreproche etgrantpechie	-|----|-------|-|----|-----|
quer ciles tperd uqui socit	---|--|--⌫|----⌫|--||---|
deson g rece nos	-|--|-⌫-|-|--|
dit lescrit	--||-----|
etiedem o ngremocireie	-|-|-|-⌫-⌫|--||------|
seentelmanieremoreie	-|-|--|------|-----|
que rpuetcel estre	---⌫|---|--|----|
selsau ei t	|-|---⌫--⌫|
commeiesuipo r liedestreit	----|-|--|--⌫|--|-------|
to staur eit	--⌫-|---⌫--|
el mercid emei	-|----|-⌫|--|
et enp rend re it aucun	-|-|-⌫----⌫--⌫-|----|
ia nedeur e itlen en foir	-|-|----⌫-⌫-|--|--⌫---|
se l es se morir	-|-⌫--⌫-|----|
por mauuestie de deman de r	--|--------|-|-----⌫--⌫|
mecineaq uil enpuet doner	-----||-⌫-|-⌫-|---|----|
e us t cons eilpris	-⌫--⌫|----⌫--|---|
andrieuquifu mort	------|--|-|---|
parmau ue s tiequil nousout	--|---⌫--⌫-⌫--|-|-||-----|
regehirlamortq ui l	------|-|---|-⌫-||
oncor uesqu istpar auenture	----|-----⌫--|--|-------|
ia lada men efust	-|-|--⌫-|-⌫|---|
luinesasou pleast	--|-||----⌫-----|
a nceisquemorirle	-⌫-------|----|-|
silenqu idast	|-|-|--⌫----|
est redetraiz	---⌫-|------|
a ronc i nso uars	|----⌫-⌫-|-⌫|--|
oud e sfaiz	-|-⌫-⌫----|
oumorirdeplu saspre	-|----|-|---⌫|----|
s ilifust cemoutgrantco nfort	-⌫|-|---|-|---|----|--⌫----|
s euealsqueladame seust	-⌫-----|--|-|---|----|
que desamortacheisonfust	--|-|-|---|-------|---|
puisn en deustilb l asme	---||-|----|-|-⌫-⌫---|
quefaiteneustsonpoeir	--|---|-|---|--|----|
ornendeitnus	-||-|---|--|
a ueirpiti e	-⌫---|----⌫|
queril f u mortp ar	---|-|-⌫|---|-⌫-|
malu es t ie	----⌫--⌫-⌫-|
eissineueiie	----|-|--|-|
nient faire	----|----|
aquelchiefm en	|---|----||-|
conui enttraire	-----⌫--|-----|
auant monmesa ge	----|--|----⌫-|
par queiie saurai son corag e	--|---|-|-----|--|-----⌫|
et seilnipuetes pleitier	-|-|-|||---|--⌫-------|
i e mesm esli raipre ier	-⌫|----⌫-||-⌫--|---⌫--|
lid a meseausissilef ist	-|-⌫-⌫------|---|-|-⌫--|
plusorsm es sagesitra mist	------|-⌫--⌫----||---⌫---|
etpar plusorsfeizle sseia	-|--|------|---||-⌫----|
meso nquesriennelimo nta	--|-⌫----|---|-|-|--⌫--|
ladameto zles refusou t	-|---|--⌫|--|-------⌫|
ete st ran ge mentlipesout	-|-⌫--⌫---⌫--⌫---|-|-----|
qu etelchose lirequereient	--⌫|--|----|-|----------|
rien nes p letr eient	---||--⌫-⌫----⌫----|
uitcem outs esmaia	--|-|-⌫--||-----|
etilmeismes i	-|-|------||
m esn ebel preier neplor er	-⌫-|-⌫|--|-----|-|----⌫-|
neprametre n aueirdon er	-|-------||----|---⌫-|
nelapou renta ce	-|-|---⌫---||-|
quesol leuo u sistescout er	--|--|-|--⌫-⌫---|------⌫-|
c i lso uuentefeiz semeteit	-⌫-⌫|--⌫-----|---|-|-----|
e nlau eieoui lsaueit	-⌫|-|-⌫--|-|-⌫|-----|
oula dame deueitpasser	-|-|---|-----|-----|
porlie uoie ret esgarder	--|--|----⌫|-|-------|
de uant lieplorutte ndr ement	--⌫---|--|-----|--⌫---⌫----|
criouthumb lement	-----|----⌫-----|
mes traua il ertrien ne ualeit	--|-----⌫-|--|---|-|-----|
que rnulepiti en enaueit	---⌫|---|----⌫||-|----|
saueitconseillier	-----|----------|
un ioruen eit	-|--|---⌫--|
dolenz et pensisethon to us	-----|-|-----|-|---⌫--⌫-|
com ci lqui moutert	--|--⌫|--|---|--|
ango is sous	----⌫--⌫---|
et nepoe i t	-|-|---⌫-⌫|
conseiltrouer	------|-----|
comencasei ad ementer	------|--||-⌫------|
asei meismeentel baillie	|--|-----|-|--|------|
il ta nt meine maleuie	-|--⌫-|----|---|--|
tantsui folez et	---|--|----|-|
ie po rquei	-|--⌫----|
quan ti aimce quin	----⌫||--|-|--||
ienen puism essipuiscomment	-||-|---|-⌫-|-|---|------|
ie laamaitropf olement	-|-|---|---|-⌫------|
deussearreretraire	-----|-----|-----|
se iel p eussefai re	-|-||-⌫----|---⌫-|
m es n en puisostermon corage	-⌫-||-|---|----|--|-----|
parfeidoncn esui	--|--|---|-⌫|--|
saiueshomsento rnast	-----|--||-|--⌫----|
ou seu ealss agement	-|---⌫---|-⌫------|
sagementic e	-------|--⌫|
nepue t estre	-|---⌫|----|
querchascunsho m	---|-------|--⌫|
estdamermestre	--||---|-----|
liplusfolen estplussenez	-|---|--|-|--|---|----|
quisens iquiertsiestdes ue z	--|---||-----|-|--|---⌫--⌫|
et tosti p ue taueir	-|---||-⌫--⌫|----|
q uenamorueutestre	-⌫|-|---|---|----|
ic elne puisiepasueeier	--⌫-|-|---|-|--|-----|
quesens uenaitpartotmestier	--|---|-----|--|--|------|
forsenamormesil uec faut	---|-|---|--|--⌫--|---|
i luecneseit ilne	-⌫---|-|---|-|-|
ie u ei c eluiqui n nestsoupris	-|-⌫-|-⌫---|--|||--|------|
u o udr eitaueir	-⌫-⌫---⌫--|----|
sonpereoc is	--|---|--⌫-|
maintef eizettot sonligna ge	-----|-⌫--|-|--|--|-----⌫-|
poraemplir sonfol corage	--|------|--|--|-----|
querluin ec haut que chescundi e	---|--|-⌫|-⌫---|--|------|--⌫|
mesquil face au	--|-|-|---|-|
talents amie	-----||---|
am orsfetcelsdeltotfoler	--⌫--|--|---|--|--|----|
quiuulent sagementamer	--|-----|-------|---|
nusnideitesg ardermesure	--|||---|---⌫----|-----|
mais laistaler enauentur e	---|----|---|-|-------⌫|
etprengesorse i	-|-----|--|--⌫|
hard ement	----⌫----|
issi puetame rsag eme nt	---|---|---⌫|---⌫---⌫-|
dem eine sai	-|-⌫-|-|--|
geque gedie	-|--|-|--|
carneparsensnepa rfolie	--|-|--|---|-|--⌫|----|
na uraigece que	|-⌫---|-|-|--|
ie couueit	-|------|
mout m amisceleengrant	---|||--|---|-|----|
quidemeina nuleme rci	--|-|--|||---|--⌫--|
mortmontmioil	---||--|-|--|
etmal ball i	-|---⌫----⌫|
cuer mostrerentlent	---|---------|---|
donc il na espeir	---|-|||-----|
lefruitl en faceb i e n	-|----||-|---|-⌫-⌫-⌫|
silco ueites or tot erien	-||--⌫----|-⌫-|---⌫|---|
se dementou t	-|--------⌫|
d euan tseiga rd aetcho isi	-⌫----⌫|--|--⌫--⌫|-|---⌫--|
uneu eillequiesc outout	--|-⌫----|--|---⌫-----|
legran tduel	-|----⌫|---|
q uil demen out	-⌫|-|-----⌫--|
drasauei t	---|----⌫|
d e religion	-⌫|-------|
etsapuioutounb aston	-||------||-|-⌫----|
bi ensemblout chose esperitable	--⌫-|-------|----|----------|
et c ees teitmenbré adeable	-|-⌫|--⌫---|------||-----|
quep ormalsengienzporpenser	--|-⌫-|---|------|--------|
naueite n tot lemontsaper	|----|-⌫|--|-|---|-|--|
audameiseldeuant	-|-------|-----|
si l idem anda	-|-⌫|---⌫---|
maintenan t	---------⌫|
queil a ueit	--|-|-⌫---|
qu issipl orout	-|---|--⌫----|
sedementout	-|--------|
damedistilie nainu lb ien	---|---|-|-||-|--⌫|-⌫--|
me s q uant to tlemal en est	--⌫|-⌫---|--⌫|-|--|-|--|
par meisolle	--|--|--|-|
mesoufrerai	-|--------|
i am esahom e nel dira i	-⌫--⌫-||---⌫|-||----⌫|
amidistele	--|---|--|
ceer tfolor	-|--⌫|----|
bie n deitcil gesirenlangor	---⌫|---|--|----|-|-----|
aumiregehir	-|---|----|
quel malce	---|--|-|
estquif etlangui r	--|--|-⌫-|------⌫|
e tquantilmostr e senferte	-⌫|----|-|-----⌫||------|
sienuien t pl us tost a	-|-|----⌫|--⌫-|---||
cilsout bienqueueir li	--|---|---|--|---|-|
porpens a seiquillidireit	-------⌫|--|-|-|-|-----|
delachose lauerite	-|-|----|-|-----|
d ech iefench ief l iaconté	-⌫|--⌫--|-|--⌫--|-⌫||-----|
delad amcommeillamout	-|-|-⌫-|----|-||----|
etcomme e lelerefusout	-|----|-⌫-|-|-------|
si nen poei t consei l	-||-|----⌫|------⌫|
cedist elen ete	-|---|--|-⌫|-|
olaiedieutaiderai	||--|---||------|
or tenuaie	-||-|-|-|
enp en serai	-|-⌫--⌫----|
la u iellediluec	-|-⌫----||----|
asonost el ala	|--|---⌫-|--|
uneliessetequel e	--|-------|-|--⌫|
liaaunpostbien	--||-|---|---|
tr ei siorzlatint	--⌫--⌫|---|-|---|
auqu ar tquantellades l ia	-|--⌫--⌫|----|-|-|---⌫-⌫-|
mengi er lifistmoutgrantplente	-----⌫-|-|---|---|----|-----|
depain enmostar detempré	-|---|-|------⌫-|------|
que q ue la	--|-⌫-|-|
lesselemen io ut	----|-|---⌫--⌫-|
l eue desoil zli defil ou t	|--|--|---⌫|-|-----⌫--⌫|
porlangoisseque eleaueit	--||-------|--|--|----|
sauorqui forteest eit	----|--|----|---⌫--|
q ua nt c eleenoutassezmengié	-⌫--⌫-|-⌫--|-|--|----|------|
et lioil furentbi enmol lié	-|-|--|-----|--⌫-|---⌫---|
lauielledilue cs ento rna	-|-----||----⌫||-|--⌫--|
et laliesseteosei	-|-|-------||--|
aladameenala totdreit	|-|---|-|--|--|----|
porqui liuaslet	--|--|-|-----|
languisseit	----------|
quan t laprode	----⌫|-|----|
aa ge etpor	--⌫-|-|--|
reli g io n senb lo ut	----⌫-⌫--⌫|----⌫--⌫-|
lenoraa quantq u	|----||------⌫|
lalesseesg arda	-|----|---⌫---|
estrangement semeru eilla	-----------|-|----⌫----|
qu ele aueitquise	-|--|----|--|-|
que tote laterre	--|---|-|----|
enuironlaou	------|-|-|
e leest eit	-⌫-|---⌫--|
qui desoilz c o reit	--|--|---|-⌫-⌫---|
ala uiell ela	|-|-----⌫|||
de mand é	--⌫----⌫-|
el por amorde	-|--|---|-|
m editesetparguerredon	-⌫|----|-|--|--------|
seceste liesse ploreo uno n	-|----|-----|----|-⌫|--⌫|
q ueest ic e	-⌫-|--|--⌫|
seutelplorer	---|-|-----|
oulesoi lzli suelentlermer	-|--|--⌫-|-|------|-----|
parcost ume toztenseissi	--|----⌫--|--|---|----|
cert esonquesmestelneui	----⌫-|-----|--|--|-|-|
fill e dist lauiellemer ci	----⌫|---|-|-----|---⌫-|
ienesuipasuenueici	-|-|--|--|----|--|
porma grantdolorramembrer	--|-|----|----|--------|
ce r tesian enorraiparl er	--⌫-⌫--|-||-|----|----⌫-|
q uene soietriste etdolen te	-⌫-|-|---|-----|-|-----⌫-|
dext egaris seor	--|-⌫|-----⌫-|-|
quenetauiegne a utresi	--|-||------|-⌫-----|
comme a ceste quetu ue izci	----||----|--|-|--⌫-|-|
quante leatel paro le	----|-⌫-||--|----⌫-|
alauie lle	|-|---⌫--|
grant merc icrie	----|----⌫|---|
qu el lidie coment	-|-|-|--|-----|
etlauiellea	-|-|-----||
unsospi rfait	-|-----⌫|---|
apresliadit belef ile	----|-||--|---|-⌫--|
grantm ar abil le	----|-⌫--⌫----⌫-|
ceste liesse que	----|-----|--|
fumafillei e	-|-|----|-⌫|
lai no rri	|-|--⌫--|
tantq uelefufame forme e	-----⌫|--|-|---|-----⌫|
naueit entote la contree	|----|-|---|-|------|
dame nulene damai sele	---|---|-|-----⌫---|
plu sheno r a ble	---⌫|----⌫-⌫-⌫--|
nep lusbele	-|-⌫--|---|
trop fuelbeleengrant tristor	---|-|-|---|-|----|------|
en estmon c u eretnuitetior	-|--|--|-⌫-⌫-|-|---|-|--|
chieredameora uinteissi	-----|---|-|-⌫---|----|
quundameise l l e ncoui	-|-|-------⌫||-⌫----|
q ui nezesteit de lacontree	-⌫-|--|-----|-|-|------|
o utb ien a amee	-⌫-|-⌫--|-⌫---|
preia laetpr i er lafist	----|-|-|--⌫-⌫-|-|---|
beaus donslidonaettramist	----|---|-|---|-|------|
donernebelpreier	----|-|--|-----|
nelapourentamoleier	-|-|------|-------|
qu e rn elesdonsnereceu eit	--⌫-⌫|-⌫|--|---|-|-----⌫--|
n l es pre ieresnenoeit	|-⌫-|---⌫----||-|---|
ne ia enpla ce narest ast	-|-|-|---⌫-||-----⌫--|
ounushomde	-|--|--|-|
c e la parl a st	-⌫|-|----⌫-⌫-|
quer enproposement a ueit	---|-|----------|-⌫---|
q uec h astementt ozdis uiure it	-⌫-|-⌫-⌫-------|-⌫-|--|-----⌫-|
n aprismereit	|----------|
hom sesenespos nesteit	--|-|--|----||-----|
li dame iseals	-|----⌫-----|
n esoutqu e faire	-⌫|---|--⌫|----|
q uer nenpoeitsoncuerretraire	-⌫--||-|----|--|---|-------|
linau eitnul confort	-||--⌫--|--|------|
maladesat o cha amort	------|--⌫-⌫--||---|
etquant lo nguem entlangui	-|----|--⌫-----⌫--|-----|
morirlestutonqu esmerci	----||----|----⌫-|----|
ne pitiemafi l le n	-|----|-|--⌫-⌫-||
enu engaquantliplo ut	-|-⌫---|----|-|---⌫-|
querde p rimesl a fistcontraite	---|-|-⌫----|-⌫|---|--------|
por lacruelt e qu el outfait e	--|-|------⌫|-|-|--|----⌫|
queceluioutlessié	--|----|--|------|
qui lepeust demo rt garir	--|-|----|-|--⌫-|----|
quer dexh etmo ut itelpechie	---|--|-⌫-|--⌫-|---|-----|
que huemnenad autr epitie	--|---||-|||----⌫|----|
qu anteleoutlangui	--⌫--|--|--|-----|
longuem ent	-------⌫--|
dexlamistenpl u s grief torment	--|-|---|-|--⌫-⌫|----|------|
querlies selafistdeuenir	---|----⌫-|-|---|------|
p orle pechie espene ir	-⌫-|-|-----|------⌫-|
oru s esauieendolor	-|-⌫-⌫|-|--|-|----|
quero nquespuisne nui t neior	---|-⌫----|---|-|---⌫|-|--|
nefurente ssuié sioil	-|-----|-⌫-----|-|--|
eissi seuengede ud orguil	----|-|----|--⌫||-----|
quant ladameace	----|-|---||-|
quisimple etsanzmal enginfu	--|-----|-|---|--|----|-|
uie l ledist humblement	---⌫-⌫-|---|---------|
damemercitant e nsement	---|----|---|-⌫------|
auenu querautresi	----|---|------|
maintundamaiselpresdeci	----|-|-------|---|-|-|
quipormeimu ert moutdebonaire	--|--|--|--⌫--|---|--------|
e tienenc ert e s	-⌫|-||-|-⌫---⌫-⌫|
quer uescu a idesici	---|----|-⌫|---|-|
s anztel fo lie	-⌫--|--|--⌫--|
dieume rci	---|--⌫--|
orm estuetc ommencier	-||-----|-⌫--------|
