chiconmenche	--|--------|
moltgr antmo ltitude	---|--⌫--|--⌫------|
defrer esqui	-|----⌫-|--|
auec luiestoientet m en oient	---|--|-------|-|-⌫--⌫----|
sainteu ie	-----|-⌫-|
d em oniaigepar	-⌫|-⌫------|--|
illesau oit enseigniés	-|--|--⌫--|----------|
etd oc trinés	-|-⌫--⌫------|
conme lorbo ns	----|--|--⌫-|
perese tiluitquegrans	----|-⌫|-|--|--|----|
gensuenoient alui	---|-------||--|
e nfe rsetlesmaladesamenoientde	-⌫---⌫-|-|--|------|--------|-|
di uerseslangorsetdeplusors ma ladie s	--⌫-----|------|-|-|------|--⌫-----⌫|
deses t ranges	--|--⌫-⌫-----|
co ntreessiqueto s	--⌫-----|-|--|--⌫|
liliusouilestoitqui solo itestre estrange	-|---|-|-|-----|--|----⌫-|----|-------|
deser tineestoit rae mplis	-----⌫---|-----|---⌫----|
d e ge nsde di uersesman ierespour	-⌫|--⌫-|-|--⌫-----|---⌫----|---|
ceste coseestoit	----|---|-----|
li sains homsi dolans	-|----|--|-|-----|
quilplouroit cascuniouret	-|-|-------|-----|---|-|
entristececar il li	-|-------|--|-|-|
samb loitquil	----⌫---|-|-|
fust reuenusaus i ecleporce quil	---|------|-|-⌫-⌫---|--|-|-|-|
nemenoituie sis o litair ecomil	-|-----|--|-|-⌫-⌫------⌫|--|-|
pr emiers acous tum eeac hepensoit	--⌫-----|-----⌫---⌫-||-⌫-|------|
autr ecoseetce	----⌫|---|-|-|
es toit loqoisondesesle rmeset	--⌫---||------|-|--|--⌫---|-|
do loursi frere li	--⌫---|-|----|-|
de man d oien t q uil	--⌫---⌫-⌫----⌫|-⌫|-|
auoi te t ildisoitquil estoit sico m	----⌫|-⌫|-|-----|-|-|-----|-|--⌫|
luisamloitrep airiésaus iecle	--|------|---⌫------|-|-⌫----|
quilrecheuoit	-|-|--------|
so n loier	--⌫|----|
frerequ ichou	----|--⌫|---|
direle gardoientmolten tentiement	---|-|--------|---|--⌫---------|
qu ilne sem blast	-|-|-||--⌫----|
nene fui std	-|-|---⌫-||
iaus etmeesmementhesicusquiplus	---|-|---------|------|--|---|
es toit sesfamiliers quenusdes autres	--⌫---|--|--------|--|--|--|-----|
ainssicomuo s	-----|--|--⌫|
oés m ena	---|-⌫--|
sainshylairesc est edolo ur	----|-------|-⌫---⌫|----⌫-|
deus ansta ntquezz i oruint	---|--|--⌫----|-|-⌫-|---|
quei euosai	--|-⌫|--|-|
deu antnonmee cui il	---⌫--|-----|--|-|
rendisesyy fiusqant	----|--|-|---|---|
elerepairoit	--|--------|
de sainta nt hoinesilidistq ue leuenoi t	-|----|-⌫--⌫----|-|-|---|-⌫|-⌫-|-----⌫|
prendrecongiea l ui poraler	------|-----||-⌫-|--|---|
anthoinequeleuoloit uisiter sai ns	-------|-|--|-----|------|---⌫-|
hylaires l i re spondi t ou templourant	-------|-⌫|--⌫-----|-⌫--⌫|-|-------|
sil idis t c auss ii uolo itilal ermais	-|-⌫|---⌫||----⌫||----⌫-|-|--⌫-|---|
niesploiteroitriensdes onafaire	||-----------|----|-|-⌫-|-----|
cardoiiour e stoientpasséque li	--|--|---|-⌫------|-----|--|-|
homsa insanthoines esto itmisen	--|--⌫--|--------|----⌫-|--|-|
le feme crei sain th ylairesd eceq u el	-|---|---|----⌫|-⌫------|-⌫|-|-⌫|-|
semistmiea le uoiequ	-|---|--||-|---|-|
auoitentreprisea	----|---------||
fai re apresche	---⌫-|----|--|
nesaiq ans	-|--|-⌫--|
ioursuintlimessaig es	----|---|-|-------⌫-|
asaint yla ire qu i	|----|---⌫--|--⌫|
lino nchaetdi stqu esaint	-|--⌫---|-|--⌫-|--⌫|----|
anto ineestoit	----⌫--|-----|
tres pass ésde ce ste	----⌫----⌫--|-|--⌫--|
uieainssi comuosoéssotilletr espassem ent	--|-----|--|--|---|--|-|-|--⌫--------⌫--|
sainta nt hoi ne	----|-⌫--⌫---⌫-|
deuantchequi	-----|--|-||
non chiénedi t pa rhom e	---⌫----|-|--⌫|--⌫|---⌫|
mons quiot	---|--|-|
parler d e sainthylairesedoit	-----|-⌫|----|------|-|---|
esmer ueillier desgranssignes et des	-----⌫-------|--|----|-----|-|--|
gr ans miracles quilfistet	--⌫--|-------|-|-|---|-|
de legra nt	-|-|---⌫-|
absti nenceetd ele g ra nt science et	-----⌫----|-|-⌫|-|-⌫--⌫-|------|-|
delegrant humilitequien	-|-|----|-------|--|-|
estoitiem eis mesnem	-----|-|-⌫---⌫--|-||
esmer ueil	-----⌫---|
tantden uleco se conmedececonment	---|-|-⌫--|--⌫-|----|-|-|------|
ilpooits idespiret outele gloire	-|----|-⌫|------|-⌫---|-|-----|
etl onor decestsiecleli eue sque	-||---|-|---|-----|-|---⌫---|
liprestre etlimoineuenoient	-|------|-|-|----|-------|
a luidetoutes	|--|-|-----|
pa rties et leshautes	--⌫----|-|--|-----|
dames etlipueples desci tese t	----|-|-|------|--|--⌫--|-⌫|
lihau t home	-|---⌫|---|
qui estoientiustice	--|-------|------|
de t erre pour sebeneicho nauoir	-|-⌫---|---|-|--------⌫|----|
tantseulementet	---|--------|-|
p orre cheuoir	-⌫-|--⌫------|
desemainpainbe n eoitdontil	-|-|---|---|--⌫-⌫---|---|-|
s esioiss oiento n ques	|-------⌫----|-⌫-⌫---|
nesenorgueillissoitses cuersne	-||-|-------------|--|----|-|
nep ensoit aaut rec osequ	-|-⌫-----||---⌫-|-⌫--|-|
plus soli taire uiequ	---|----⌫----|--|-|
iln e faisoitpar deuant	-|-⌫|------|--|-----|
dont auint	---|----|
uni our q u il se pensoi t	-|-⌫--|-⌫|-|-|------⌫|
quil seniro it si f istamener	-|-||-|---⌫-|-|-⌫--|-----|
zzasnel p or	-|----|-⌫-|
montersus carilestoitsidestrai nset	-----|--|--|-|-----|-|-------⌫-|-|
men éspa rl esgran sgeunes etpar	---⌫--|--⌫|-⌫-|----⌫|-----|-|--|
gransueille squilauoitfaitesque	----|------⌫|-|-|----|-----|--|
apain essepooit il	|----⌫-|-|----|-|
so ustenirne	--⌫------|-|
qantlenouele fu esp a nduequil	---|-|-----|-|---⌫-⌫---|-|-|
s enuoloitaler	|-|-----|---|
plusde yymilequehome s	---|-|-|---|--|----⌫|
quefemes sassambl ere nt porluiretenir	--|----||-------⌫---⌫-|--|--|------|
mai sillor d isoitqu	---⌫|-|--|-⌫----|-|
il n e demoerroit	-|-⌫|---------|
ennule man ereetsil a le rne	-|---|---⌫--|-||-|-⌫--⌫|-|
la issoienti lnebuuer oitn en e	--⌫-------|-⌫|-|-----⌫--|-⌫|-⌫|
me ngeroit iamais tant distq	--⌫------|-----|---|---||
ale pa rdefin	|-|--⌫-----|
sepa rtide	-|--⌫--|-|
la etu inta	-|-|-⌫--||
b etullesestoitap elés l aar restail	-⌫------|-----|--⌫----|-⌫|--⌫----|-|
porl e tr esgr antpueple qu ilesiu oit	--|-⌫|--⌫-|--⌫--|-----|--⌫|-|---⌫--|
si l ordistqu ilre to rnassentquil	-|-⌫-|---|-|-|--⌫--⌫-------|-|-|
p lusauant auec lui	-⌫--|----|---|--|
es lutyy moinesdespl usprodomes	--⌫--|-|-----|--|--⌫-|-------|
auec luienconpaigniee t	---|--|-|---------|-⌫|
d ontalatantquil	-⌫--|--|-----|-|
u intau quint	-⌫--|-|----|
io ur a pelusec est un euil	--⌫-||-----||--|--⌫|--|
d e le contree	-⌫|-|------|
l apre sauo itzzdesertqui	-⌫|---⌫|---⌫-|-|-----|--|
estoit apelé ssiiabito ient	-----|------⌫|-||-----⌫---|
sainthomeenhermitaigechiaus a la	----|---|-|---------|-----|-⌫-|
lisainthomuisiteret puissenra la	-|----|--|------|-|---||-|--⌫-|
a zzcastelqueonapeloitt hobaston	|-|-----|--|-|------|-⌫-------|
quiluoloitueiretp arle r	-|-|-----|---|-|-⌫----⌫|
asai ntdracouseleuesque	|---⌫-|-------||------|
qui lahabitoitdelasen	--|-|-------|-|-||-|
iorsen babi lo ineporu isitersaint	---|-|----⌫--⌫--|--|-⌫-----|----|
filonel e uesque etlecon fes	-----||-⌫-----|-|-|---⌫--|
rala enyy iors	---|-|-|---|
azz cast e lqui af fr idi cion	|-|----⌫-⌫|--|--⌫--⌫---⌫---|
auoitnon latroua il	----|--|-|----|-|
basy en le diacre	----⌫-|-|-----|
q uiso loit lecamelusloerporporter	-⌫-|--⌫---|-|------|---|--|-----|
enledesertineac hiausqui	-|-|--------||-⌫----|--|
aloientasaintan tho inecils en	------||----|--⌫---⌫--|--||-|
iauset alerenttantquiluinrr ent	---|-|------|-----|-|-----⌫--|
parledesertine a lehaute	--|-|--------||-|----|
montaingneousa int an thoinesoloit habite r	---------|-|--⌫--|--⌫-----|-----|------⌫|
qant iles to itenuie l atroue rentil y y	---|-|--⌫--⌫-|-|--|-⌫|-----⌫---|-|-⌫|
freresmoinesqui fu re nt d e ci ple	-----|-----|--|--⌫--⌫-|-⌫-⌫--⌫--|
saintanthoine	----|-------|
li unsauoitnonysaac	-|--|----|--|----|
etliautre s	-|-|-----⌫|
plus ian uschilysaac auoit	----⌫---⌫-|---|----|----|
estélat imi erssaintant hoinepor	----|---⌫---⌫--|----|---⌫----|--|
parle rachiausqui	-----⌫||-----|--|
aluiuenoient	|--|-------|
diuers languaiges q antsains h y lai res	-----|---------|-⌫--|----|-⌫-⌫---⌫--|
uint auliuousains anth oin es soloit	---|-|--|-|----|----⌫---⌫-|-----|
illeregarda m olt cartrop lisamloit	-|-|------|-⌫--|--|---|-|------|
delitablesla roc he	---------|-|---⌫-|
estoith aute et	-----|-⌫---|-|
beleetaupiedessoussordoientfontaines	---|-|-|--|------|--------|--------|
qu irendoientiauedouc h e	--⌫|--------|---|----⌫-⌫|
cle re et sor	---⌫-|-|--|
leru isse ldecesfon ta ines	-|--⌫----⌫|-|--|---⌫--⌫---|
siauoitdu ne partetdautr epalmi ers	-|----||-⌫-|---|-||----⌫|-----⌫--|
agrantplente qui	|----|-----|--|
grantporfit	----|-----|
rendoie nt	-------⌫-|
liu embeli ssoientmoltsain shylaires	--|------⌫------|---|----⌫|-------|
toutespars	-----|---|
aue cles deciples	---⌫|--|-------|
saintanthoinequil	----|-------|-|-|
auoittr o uéset	----|--⌫-⌫---|-|
sidisoientchie stoi tlisains h omenori sons	-|-------|--|-⌫----⌫|-|----|-⌫-|-|---⌫---|
ouroitiletdecha	-----|-|-|----|
s ereposoit	-⌫|-------|
ilqant il estoit lassés	-|---|-|-----|------|
che sarbre set	---⌫|-----⌫|-|
chesherbesplantailas es mainsetcele	---|-----|-----|-||-⌫-|----|-|---|
pechi nefistilpar	-----⌫-|---|-|--|
granttrauailpour	----|------|---|
a rrouser sencortisel etcestsarcloir	-⌫------|--|-------|-|---|-------|
moltlongu ementpo r	---|-----⌫----|--⌫|
sarcler et cest	------|-|---|
heuw el por	----⌫-|--|
h euwer se terre	-⌫----|-|----|
lisainshomsain s	-|----|--|----⌫|
hy lairessecouch oit	--⌫-----|-|-----⌫--|
enlecellesain tanthoine et baisoitle	-|-|----|----⌫|-------|-|------|-|
liuou ilauoitgeut outaussi dolceme nt	--|-|-|----|--|-⌫--|----|-------⌫-|
comlisain s h omigeust	--|-|----⌫|-⌫-||----|
lecell enau oit	-|----⌫||--⌫--|
plusdelonc	---|-|---|
ne dele seta ntnonconmezzhom	-|-|-|-|--⌫-|--|----|-|--|
sepooit estendredonts en	-|----|-------|---||-|
alerenta gr ant pa inne	------||--⌫--|--⌫---|
latroueren t ilyycelletesou	-|--------⌫|-|-|-------|-|
sainsan thoinesau oit habi t é por	----|--⌫------|--⌫--|----⌫-⌫-|--|
fuir et por	---|-|--|
esl o ngierla nu ides gens	---⌫-⌫----||-⌫--⌫|--|---|
quiu enoi ent	--|-⌫----⌫--|
agra n s torbesaluietces	|---⌫-⌫|-----||--|-|--|
yycelletes	-|-------|
estoient en tailliesenleuiuepierre	-------|--⌫-------|-|-|---|-----|
q ant il orentlaestés ireui nrr entarriere	-⌫--|-|----|-|----|-⌫|----⌫---⌫--|------|
elcortil et	-|-----|-|
qantili fur entysaa c	---|-||---⌫--|----⌫|
p ar laa saint hyl aireet si	-⌫--⌫-||----|---⌫---|-|-|
lidistueés	-|---|----|
uoscestpalmieret	--|---|------|-|
ce s arbr e sentour	--⌫|----⌫-⌫|-----|
ilauintcoseo r eatroisansque	-|----|---|-⌫-⌫||----|--|--|
de bestes saluaiges ui n rr entchis i	-|-----|--------|--⌫-⌫--⌫--|--|-⌫|
conmencherent	------------|
l erbeamengiereta	|---||------|-||
sains anthoi nescon mandal unedes maistes	----|------⌫--|---⌫----||--|--|------|
delesaarrester et puisq uelisains hom l	-|--||-------|-|-----⌫-|-|----|--||
conmandé lebeste nesosa	--------|-|----|-||--|
mouoirdont	-----|---|
leconmencha a	-|--------||
ba treparm i l escost es	--⌫--|----⌫|-⌫-|----⌫-|
et s ilidis tporqoimengiés uos	-|-⌫|-|---⌫|--|--|-------|--|
uosnesemastesm ieplus nedistsi	--|-|-------|-⌫-|---|-|---|-|
conmanda aleb est equel etenistsa	-------||-|-⌫---⌫|-|--⌫|-----|-|
aincpuiscel iourne furent lesbes tes	---|---|--|---|-|-----|--|---⌫--|
tanth ardies enc ore uen issenteles	---|-⌫-----|---⌫--|---⌫-----|---|
b o i re ale fontainnequeelesdesher be s	-⌫-⌫-⌫-||-|--------|--|---|--|---⌫--⌫|
decelcortilgo utassent	-|--|-----|--⌫-------|
qantlimoines	---|-|-----|
asainthylair e conte e cestecosesain s	|----|------⌫|-----⌫|----|---|----⌫|
hylaireslo r pria qu i lla tombe	-------|--⌫|---|-|-⌫|-|----|
a nth oinelorm oustrassentiene	-⌫---⌫---|--|-⌫----------|-|-|
limoustrerent neensegnerent	-|----------|-|----------|
anthoin es lorauoitde ffe ndu sicon	-------⌫-|--|----|--⌫---⌫--|-|--|
i eu osaicontédeuanten se	-⌫|-⌫-|-|-----|-----|-|-|
atant separt isains	----|-|----⌫|----|
h yl airesde la	-⌫--⌫----|-|-|
repairat antq uiluint	------|-⌫----⌫|-|---|
aucas tel deaffridicio nq u i	-|---⌫--|-|----------⌫|-⌫-⌫|
estoital entree	-----|||-----|
de le desert ineladepartiil tote	-|-|------⌫--|-|------|-|---|
seco npaignie	-|--⌫-------|
ne r etin tauec	-|-⌫----⌫|---|
luiqueyy freres	--|--|-|-----|
etpuis sen	-|---||-|
demorere l plus prochainhabitac le	------|-⌫|---|-------|-------⌫-|
quiil luecesto itpor m e neruiesol itair e	--|--⌫---|----⌫-|--|-⌫-⌫--|--|---⌫-----⌫|
dont conmencha	---|--------|
illuecend roit	-----|---⌫---|
auoir e nluisi grantabstine nche	----|-⌫|--|-|----|-------⌫---|
d et otes carneus	-⌫|-⌫---|------|
coseset atenir si	----|-||----|-|
silencecom si l	------|--||-⌫|
conmenchas tadontpremierement	----------⌫|----|-----------|
aseruirnost re seigneur	|-----|----⌫-|-------|
carilne qu id oit i a	--|-|-|--⌫--⌫--|-⌫|
que sech arshumaine	--|-|--⌫--|------|
peus testre a ssestraueil l iepor auoir	----⌫|----|-⌫---|-------⌫-⌫-|--|----|
deseruieuieparmanable	-------|--|---------|
enceltermine a dontauoi tyyans	-|--|------|-⌫---|----⌫|-|--|
qui nauoitpleuenchelecontree	-|||----|---|-|----|------|
si iestoi ent	-||-----⌫--|
lesherbessis equesque	--|-----|-|-⌫----|--|
her beneautre	---⌫-|-|----|
cose q ui d et eredeustn aistre	---|-⌫-|-⌫|-⌫--|----|-⌫-----|
nipo oitretenir	||--⌫--|------|
se uerdure e t	-|------|-⌫|
lesgensdisoien tquecele grant sek erec e	--|---|-------⌫|--|---|----|---⌫----⌫|
estoi tporle mortsaintanthoineet	-----⌫|--|-|---|----|-------|-|
elemen t le plouroi e ntcestqu eles	------⌫|-|-------⌫-⌫-||--|--⌫|--|
diaus d efaloie ntpor ceq uil	|---|-⌫-------⌫-|--|-|-⌫|-|
tr espassésdecestsiecl e etdont u int	--⌫--------|-|---|-----⌫|-|---|-⌫--|
le renonm ee	-|------⌫-|
delpaissainthyl aire si sesmu rent	--|---|----|---⌫---|-||----⌫---|
fem esqu i estoienttout	---⌫-|--⌫|-------|---|
descouloréparfam i ne s ili	----------|--|---⌫-⌫-|-⌫|-|
requi sent	-----⌫---|
et dema nderen tquil a nos treseign e u r	-|----⌫------⌫|-|-||---⌫--|-----⌫-⌫-⌫|
priasttantque pluieuenist sor	-----|------|----|-----|--|
dont ele fustarrousee qant	---|--|---|-------|---|
s ainshylaires	-⌫---|-------|
uit lepuep l een	--|-|----⌫-⌫|-|
tel destrece ilfu	--|-------|-|-|
enson c uerdontfist sorison	-|--|-⌫--|---|---||-----|
a nostreseigneurq u il enuoiastpluiesor	|-----|-------|-⌫|-|-------|----|--|
letere qui soustenuauoitgrantsekerece	-|---|--|-------|----|----|-------|
t antostcon mencha	-⌫-----|---⌫-----|
parlesp riere sde lsaint hom e etta ntostque	--|--|-⌫-----⌫|--⌫|----|---⌫|-|--⌫-------|
la do l chourde	-|--⌫-⌫----|-|
o t arrousee letere	-⌫|-------|-|---|
sigransplent e sde	-|----|-----⌫-⌫|-|
serpenset debestes	------|-|-|-----|
porto ie nts e sbolirentho rs	-----⌫--⌫-||-⌫--------|--⌫-|
que troppooit samlergr ant merueillee t	--|---|----|-----|--⌫--|--------|-⌫|
s ieusse nt mort m o ltdege nt	-⌫|-----⌫-|---|-⌫-⌫-|-|--⌫-|
contre eparlor	------⌫|--|--|
uenimsil nef ussent	----||-|-|-⌫-----|
alé asa in tylairequerr e secorsetaie	---||--⌫--⌫|-----|-----⌫|-----|-|--|
maislis ain shomlorbeneioilede	---|-|-⌫---⌫|--|--|----|---|-|
quoiliahanier et	---|-|------|-|
l ipasteurquides	-⌫|------|--|--|
serpense nuenimoient	------|-⌫----------|
oign oient	----⌫----|
lorplaieset tantoste st o ientgari par	--|-----|-|------|-⌫--⌫-⌫---|---|--|
oiledontleconmencherentch il de	---|---|-|------------|--⌫-|-|
contreeat enirensi granthonor et	------||-⌫---|-|-|----|----|-|
grantreuerencec onmec efustdeus en	----|--------|-⌫---|-⌫|---|---|-|
formedom e	----||--⌫|
quid escendusfus ta terre	--|-⌫-------|---⌫||----|
poriaussaluer delorau er sitesetdel or	--|---|-----|-|--|--⌫--⌫----|-|-|-⌫-|
gr ans dolours	--⌫--|------|
quanti lu it qu ilest oi tsidespuliés	----|-⌫|-⌫-|-|-|---⌫--⌫|-|---------|
en celeter eetqueon	-|---|---⌫|-|--|-|
li uo loit	-|--⌫---|
plusfairedonnor qu il ne uolsistil	---|----||----|-|-|-|------|-|
se parti de	-|----|-|
senalaen alixandre	|-|--|-|--------|
qu ils enuoloit aler	-|-||-|-----|---|
de sertinela nuitq uiluint	--⌫------|-|---|-⌫|-|---|
en alixandre	-|--------|
ne uoustilm ie herberger en leg rant	-|----|-|-⌫-|--------|-|-|-⌫---|
uileporce que puisqu i l	---|--|-|--|-----|-⌫|
au oit labit	--⌫--||---|
de moine r echeu n au oitilgeu en	-|----|-⌫----||--⌫--|-|--|-|
cite ainsse nal alenuit as	---|---||-⌫|--⌫|-|---|-|
quipres da lixand redemoroiente tbi en	--|---||-⌫------⌫-|---------|-⌫|--⌫-|
leconnoisso ientci l lerec hurenta	-|---------⌫---|--⌫|-|---⌫-----||
ioieqantuin tdeuan tlaiornee	---|---|---⌫|-----⌫|-|-----|
sidoi d ecipleconmencheren ta atorn er	-|--|-⌫-----|------------⌫||-----⌫-|
l asn e l esai nhome	|---⌫|-⌫|---⌫|---|
porte nirleur	--|--⌫--|---|
uoielimoinede se	---|-|----|-|-|
m aiso nlicaire nt	-⌫----⌫|-|-----⌫-|
aspi es etli	-|--⌫-|-|-|
pr ierentpord ieu que che	--⌫-----|--|-⌫--|--|--|
nefeistmienenele sdegerpeist car	-|----|--|-|-|--⌫|---------|--|
mieus uolroient mor ir	----|--------|---⌫-|
qui l ne ussent	-|-⌫||-⌫-----|
se conpeignieillor respondi quil	-|---------|-|--|-------|-|-|
dalerse uoieporce qu	|---|-|---|--|-|-|
neus sen tp ourluim olestec arbien	|---⌫---⌫|-⌫--|--|-⌫-----|-⌫-|---|
seuss entqu	-----⌫--|-|
ilsauroient par c hiaus	-|--------|--|-⌫----|
lui uenrro ientporquelcos e	--|------⌫---|--|---|---⌫|
ilenes toit	-|-|--⌫---|
alés a tant sedeparti	----|-⌫---|-|------|
et cil del a	-|--|-|-⌫|
citedegase	---|-|---|
uinrrent a	-------||
l abeiep o urles ai nt hom eet si le	|----|-⌫-⌫-|-|-⌫--⌫-|---⌫|-|-|-|
uoloientochirreluietesech iu msen	-------|------|--|-|-----⌫--⌫|--|
de c ipleparlecon mandement	--⌫-⌫---|--|-|---⌫--------|
lempereor quiquer r elefais oitpar	|-------|--|----⌫-⌫|-|----⌫--|--|
t outele ter reetqantcilquile	-⌫---|-|---⌫-|-|---|--|--|-|
que roientnele trouerent alabeie	---⌫-----|-|-|--------|||----|
oui l auoitl a nui t esté	-|-⌫|----|-⌫|---⌫|----|
si conmencheren t	-|------------⌫|
en tria usa dire queuoi reme n t	--⌫-|--⌫-||---|--|---⌫----⌫-⌫|
es toi tilenc ant eres sicom	--⌫---⌫|-|---⌫---⌫---|-|--|
tesmoig noientpuisquilsauo it	-------⌫-----|-----|-|----⌫-|
quiestoientaauen ir	--|-------||----⌫-|
ho mquide lae stoit	--⌫|--|-|-|-⌫----|
entra en le grantdeserti neetla fu	----|-|-|----|-------⌫-|-|-|-|
ilun an tantque plus ors	-|-|-|------|----⌫--|
gen slii sorent	---⌫||-|-----|
quiuinrrent alui	--|-------||--|
et quant il	-|----|-|
uit qu il nes e pooit celeren	--|-|-|-|-⌫|----|----|-|
ter r e qu iln efusttroués il	---⌫-⌫|-|-|-⌫|---|------|-|
quil se meter oit enmer e t qu erroit	-|-|-|-----⌫--|-|--|-⌫|--⌫-----|
troueroituneille	--------|--|---|
quineseroit habi teedenule	--|-|-----|----⌫--|-|---|
et laarresteroit	-|-|----------|
adon tuint	----⌫|---|
zzs iensdeciplesdep alestine alui	-|-⌫---|-------|-|-⌫-------||--|
adriensest oi t	------|---⌫--⌫|
apelé ssi l i distque	------⌫|-|-⌫|---|--|
iuliesliempereresestoitochis	-----|-|--------|-----|----|
i auoit cre stiene mper e orquigouuernoit	|----|---⌫----|-⌫----⌫-⌫-|--|---------|
le reg neetpor	-|---⌫-|-|--|
deustilrepairier	----|-|--------|
a ses freres qantli sainsh om	|--|-----|---|-|----|-⌫-|
l oiainssiparleril dist qu	|-|-----|-----|-|---|-|
retorneroit mie	----------|--|
d on tsedeparti	-⌫--⌫|-|------|
grantdesert ine	----|------⌫--|
duscauneci tedeli be qui	---||--|--⌫-|-|--⌫-|--|
seurle m eresto itfonde ela	---|-|-⌫-|----⌫-|-----⌫|-|
depar tiadrie nsdeluiqui moltli	-----⌫-|-----⌫-|-|--|--|---|-|
fist demal car il	---|-|--|--|-|
enporta sique lisains	------|-|--|-|----|
hom nenseutmotune	--||-|---|--|--|
u est eureque	-⌫---⌫---|--|
au oientenuo ié	--⌫----|----⌫--|
maismoltlecompera ilplus	---|---|-|------|-|---|
mo ltchiercar	--⌫-|----|--|
u n e enfermet es	-⌫-⌫|--------⌫-|
lepristdontil morutagran t	-|----|---|-|----||----⌫|
li sainshom	-|----|--|
qu iala cite	--⌫||-|---|
do ntieuo saideua nt	--⌫-|-|--⌫|-|----⌫-|
estoittroua	-----|----|
une n ef demarcheans	--|-⌫-|-|--------|
de uoien t aleren sesi lle	--⌫-----⌫|---|-|----⌫--|
il etsidoideciple nauoient	-|-|-|--|------||------|
plu sdetous	---⌫|-|---|
auoirst erriens cun	-----|-⌫------||-|
liurede u angileset	----||-⌫-⌫------|-|
nos uesteures	--|--------|
li sai ns homentraen le nef	-|---⌫-|--|----|-|-|--|
aueccesmarc heans et pensa	---|--|----⌫----|-|----|
qu ecelliure donrroit i l aunotoni er	--⌫|--|----|-------|-⌫|-|------⌫-|
porsedeserteq ant il fure n t	--|-|------|-⌫--|-|----⌫-⌫|
toutentréesnesetil ore ntgrant	---|-----|-|--|-|-|---⌫-|----|
courutbien	-----|---|
yyiors oupl us	-|---|-|--⌫-|
trauersede lemer	-------|-|-|--|
lid ealesen tr a	-|-⌫----|--⌫--⌫|
el cors dufilaunoton nie r	-|---|-|--|-|-----⌫---⌫|
sico nm encha	-|--⌫--⌫----|
acrie retadirehylairesers ihesu crist	|----⌫|-||---|------|---|----|----|
conment pu etce	------|--⌫-|-|
e stre quilnenos	-⌫---|-|-|-|--|
m iepor coique	-⌫-|--|--|--|
nossoions seu r	--|-----|---⌫|
ter e nee n mer	---⌫|-|-⌫|--|
donnem oies pace	----|-⌫-|--⌫---|
tantque i euiegneaterreque	------|-⌫|-----||----|--|
ie nesoi e	-|-|---⌫|
trebu schiésdech iendroitenlemer	-----⌫------|-|--⌫|------|-|-|--|
eten abism e	-|-|-----⌫|
sainshyla ir esl idistse	----|----⌫--⌫-|-⌫|---|-|
ihes uscri s	----⌫-|---⌫|
mesdeus totroiequ e tu	--|---||-----|--⌫|-|
i a rres tes	|-⌫----⌫--|
arresteit out p l ainnement ets il	------||-⌫--|-⌫-⌫--------|-||-|
tenu ieltoste rn e ie ter quem en	|-|-⌫---|----⌫|-⌫|--⌫--|--||-|
demande s tu	-------⌫|-|
q ui suih om pouresetpekie rres	-⌫-|--|-⌫-|-----|-|-----⌫---|
ched isoitilpo rcequ e	--|-⌫----|-|--⌫|-|--⌫|
linotonnier et	-|--------|-|
marche ant q uienlene festoie ntn e	------⌫--|-⌫-|-|-|--⌫|------⌫-|-⌫|
lensei gnas s e ntnedemoustrassent	|-----⌫----⌫-⌫-⌫-|-|-------------|
miracleqant ilue nissent atere	------|---|-|--⌫------||---|
ap rescenonmie granmentfu	--⌫--|-|--|--|-------|-|
et orentcouentausaint home	-|----|-----|-|----|---|
to utcilquien lene fes toientpar	--⌫-|--|--|-|-|--⌫|--⌫-----|--|
uer itequeiade luineparleroientadont	---⌫--|--|-|-|--|-|----------|----|
coururenttant	--------|---|
p arl emersansauoir	-⌫-|-⌫|--|---|----|
tor mentquila rriuerentet	---⌫---|-|-|-⌫--------|-|
port e nsesilledont tra ist li	---|-⌫|------|---|---⌫--|-|
h omle t exte deseuang i lles	-⌫-|-|-⌫---|--|-----⌫-⌫---|
etsaffubleure	-||---------|
sileuoustdonerau	-|-|----|----|-|
noton nie r	-----⌫---⌫|
p orsedese rte linotonnierqui	-⌫-|-|----⌫--|-|--------|--|
bi enueoien t queil nauoitnule	--⌫-|------⌫|--|-||----|---|
c r eature	-⌫-⌫-----|
autr ecose forsle uesteureetcelliure	----⌫|---|---|-|-------|-|--|----|
iureren t que il	-------⌫|--|-|
n enprenderoi ent	|-|---------⌫--|
nulerien mais li	---|---|---|-|
quiauoit aussi	--|----|----|
gr a ntfianceenlepourete	--⌫-⌫-|-----|-|-|------|
esioissoi tquelirikeche	---------⌫|--|-|------|
liuoloittotesheuresfaireprend r e	-|-----|----|-----|----|-----⌫-⌫|
cari l uo lsistquecilde la	--|-⌫|--⌫----|--|--|-|-|
co ntr eecuidass ent	--⌫---⌫-|-------⌫--|
eus tautre cos eforsqu	---⌫|----|---⌫|-----|
fustpour es etmen dislen otonnier	---|----⌫-|-|---⌫--|-|-⌫-------|
quiases coses pr endre neba oient	--||--|----|--⌫----|-|--⌫----|
sedepart irentdelui	-|------⌫----|-|--|
etil s e n	-|-||-⌫|
me r enu nestrangeliude se rt	--⌫|-|-⌫|-------|--|--⌫--⌫-|
porcequ eaucunmarche antquiuenissent	--|-|--⌫|----|------⌫--|--|--------|
dorien tne	|-----⌫|-|
lereconneussent	-|------------|
lac onquell oient	-|-⌫-------⌫----|
