dieu n ostre	---|-⌫----|
de mauestiez e tdepechie	-|--------|-⌫|-|-----|
uolentiers seruo itnostr edame	---------|-----⌫-|-----⌫|---|
sesho resdisoit car	--|--⌫--|-----|--|
au oitmiseenlese sperance	--⌫--|---|-|-||-⌫-------|
etquauroitp arleac ordan ce	-|-|-----|-⌫-|-|--⌫-----⌫-|
uers s o nchierfilzde	---|-⌫-⌫|----|---|-|
quil fesoit etqu	-|-|-----|-|-|
i l a uoitfez	-⌫|-⌫---|--|
dame ert sic o rs	---|--|-|-⌫-⌫-|
etla sa luet	-|-|--⌫---|
uolentie rs	--------⌫-|
neso tpa slagent	-|--⌫|--⌫|-|---|
fe s oitpriu eement	--⌫-⌫--|----⌫-----|
mess o npechi e tretuitsauoient	--|-⌫-⌫|-----⌫|------|-------|
c araper temen t	-⌫-|----⌫-----⌫|
leue oient	-|--⌫----|
autregentle f ontaut r ement	----|---|-|-⌫--|---⌫-⌫----|
l eur pechief ontceleement	-⌫--|-----|-⌫--|--------|
etlesbie ns q ue	-|--|---⌫-|-⌫-|
ilf ontpup lient	-|-⌫--|---⌫----|
glorefient	---------|
mesnuspor soiglo irefier	--|--|--|--|---⌫------|
ne doitsonbienfet	-|---|--|------|
neporo rguelnepor	-|--|-⌫----|-|--|
ne doit ilferedemonst rance	-|---|-|---|-------⌫----|
for stantqueson premeleuoie	---⌫|------|--|----|-|---|
porluymostrer de b ien la	--|--|------|-|-⌫--|-|
mes c hacun doitsonmal celer	--|-⌫----|---|--|--|----|
do i tfors	--⌫-⌫|---|
adeu reuel er	|--|-----⌫-|
quedoumonde n esoitrepr is	--|--|----|-⌫|---|----⌫-|
nemales sample n i seitpris	-|--|--⌫-----|||---|---|
cilchanc eliersf ist autrement	--|-----⌫-----|-⌫--|--------|
son malfesoitapertement	--|--|-----|---------|
comhomee nuic eauiu é	--|---|-⌫|---⌫|----⌫-|
et son bien	-|--|---|
f esoit enpriu é	-⌫----|-|----⌫-|
e npriantchacuneiorn ee	-⌫|-----|------|----⌫-|
dieue nno r ee	---|-⌫---⌫-⌫-|
queleparsamise ricord e	-|--|--|-|----⌫------⌫|
uerssonfilzli	---|--|---|-|
feistacorde	----|-----|
un iora uintpardestinee	-|--|-⌫---|--|-------|
en gu erreou enmellee	-|--⌫---|-|-|-----|
oucilchancelier	-|--|---------|
sestoi t mis	|-----⌫|--|
quocisfu deses anemis	-|---|-|-|--|-----|
siami lecors enporterent	-|--|-|---|----------|
me s lichanoinequi	--⌫|-|-------|--|
que ilfumors	--|-|-|---|
mauu e iseme nt	----⌫-⌫-----⌫-|
co m cilq uiuiuo it folement	--⌫|--|-⌫-|----⌫-|-------|
ne u oudr ent	-|-⌫----⌫--|
pas nen o rentcu re	--|-||-⌫---|--⌫-|
quouecelseustsepultur e	-|---|--|---|--------⌫|
metrelefire ntcom parire	----|-|----⌫-|--|--|--|
enunea n gled ouceme tire	-|--|-⌫-⌫--|-⌫-|----⌫---|
ou niauoitpas	-|||----|--|
leuh oneste	--|-⌫-----|
processionnea ut ref este	---------|-|-⌫--⌫-|-⌫---|
a en terre rle cors ne fir ent	|--⌫-----⌫|-|---|-|---⌫--|
poude terr e	--|-|----⌫|
le c ouurirent	-|-⌫--------|
tonbenesarqueu	----|-|------|
tre nteiors	---⌫--|---|
fue n it elleu	-|-⌫|--⌫-|--|
ladamequeil	-|---|--|-|
c ourroucieefuetmarri e	-⌫---------|-|-|-----⌫|
doufetetde lamespris on	--|--|-|-|-|-------⌫-|
siapparu t paraui so n	-|------⌫|--|---⌫--⌫|
augrei gneurse igneurdel iglise	-|----⌫----|--⌫-----|-||-----|
leliureprincelede uise	-|----|-----|-|--⌫---|
sili dis tcomencourrouc ant	-|-|---⌫|--|-|--------⌫--|
enblasmant	-|-------|
e t e nmana scent	-⌫|-⌫|----⌫----|
quilal assent sonchancelier	-|-|--⌫-----|--|---------|
ouilgesoitdreci er	-|-|-----|-----⌫-|
cil enqui stquido utantaloit	--|-----⌫-|--|--⌫----|----|
dequel chan ce lierel palloit	-|---|----⌫--⌫---|-|------|
gediditelledec elui	-|-|--|---|-|-⌫---|
que am onchancelier eslu i	--||-⌫-|---------|----⌫|
queauez geté	--|---|----|
de uostreestre	-|-----|----|
et melz que uos ideustestre	-|---|--|--||----|----|
sila uezdanné san z reison	-||-⌫--|-----|---⌫|-----|
domg euos preingaac heison	--|-⌫|--|-----||--⌫-----|
oraléstoutlecorsleue z	-|----|---|-|---|----⌫|
etl enter r és com	-||-----⌫-⌫--|--|
et ennora blesep ul ture	-|------⌫--|---⌫--⌫---|
sachiés quemauez fetiniure	-------|--||---|--|-----|
cl ercert quant ilu iu oit	--⌫--|--|----|-|-⌫--⌫--|
et deu ot ementmeseruoi t	-|---⌫--⌫----|-|------⌫|
liprincie rstantout sesueilla	-|-------⌫-|------||-------|
etmoultfo rmentse m erueilla	-|----|--⌫----|-|-⌫-------|
delauision q uaueue	-|-|-----|-⌫||---|
aumatin laam e nteue	-|----|||--⌫-⌫----|
s eigneursdel iglise	-⌫-------|-||-----|
quid unconsent	--||-|------|
etdune emprise	-||--|------|
uind rentla oum estre le	----⌫---|-|-|-⌫----|-|
etde terreledeffoirent	-|-|----|-|---------|
un eg ra ntmerueil leauint	--⌫|-⌫--⌫-|-------⌫-|----|
que do um orttrouerentlec ors	--|--⌫|-⌫--|--------|-|-⌫--|
sanspu eursan sen t echement	---|--⌫--|---⌫|--⌫-⌫-------|
e t ui rentl alanguem ouoir	-⌫|--⌫---|-⌫|-----|-⌫----|
eins int comiluossist	----⌫--|--|-|------|
loerdieuetsadouc em er e	---|---|-|-|----⌫|-⌫--⌫|
fleur luisantetclere	----|------|-|----|
uirentqu inessoitdesa	-----|--⌫|------|-|-|
de sa langued	-|-|-----||
une souche	--|-----|
essi un re in pleinde	---|-|--⌫-|----|-|
fleurestes	---------|
agraableset nou uelleste s	--------|-|---⌫--------⌫|
etcilreins	-|--|----|
sesforceit	|--------|
uoieparquoi essitdeterre	---|--|---|----|-|----|
lala ngueerteissinte nno ree	-|--⌫---|--|------|-⌫---⌫--|
qu ilauoits aluee	-|-|----|-⌫----|
souuent laglorieu sedame	------|-|-------⌫-|---|
biensorentquennor eeertlame	---|-----|-|-----⌫-|--||--|
quantlecors	----|-|---|
ertsiennor é	--|-|-----⌫-|
deleurmeffezont	-|---|-----|--|
tuitploré	---|-----|
ce que ertme ffeitamen deren t	-|--|--|--⌫----|----⌫-----⌫|
cartantostle c ors e nte rrerent	--|------|-|-⌫--|-⌫---⌫------|
enennorabl esepulture	-|--------⌫|--------|
etce st miracle	-|--⌫-|------|
enescriture	-|--------|
fir entmettrepor u oiree stoire	---⌫--|-----|--|-⌫---|-⌫-----|
fu sttouziors en me moi re	--⌫-|---|---|-|--⌫---⌫-|
qui uelto ir uers moise	--|---|-⌫-|---|--|-|
tale ntme st	----⌫-||-⌫-|
prisquencor retraie	---|-|----|------|
delasoustilfisiciane	-|-|------|--------|
del a sage cirurgiane	-|-⌫|---|---------|
dechart resunebellecure	-|-----⌫--|--|----|---|
nostredamepl usdenferscure	-----|---|--⌫-||-----|---|
quetuit ligrantfisicien	--|---|-|----|-------|
n e tuitliboncy rurgi en	-⌫|---|-|--|--⌫-----⌫-|
demontpelliernedesale rne	-|----------|-|-|----⌫--|
m alxtantsoit	-⌫--|---|---|
griesnefeud enferne	----|-|--||------|
ne puetdurer porriensqu auie gne	-|---|----|--|----|-|----⌫--|
en leunenplace ou	-|--||-|----|-|
ele ui e gne	--|--⌫-⌫--|
ilnest nul malstante nragiez	-||--|--|---|---|-⌫------|
ne soitas soag i ez	-|---|--⌫----⌫-⌫-|
queldaigne neisdou do ita ster	-|-|-----|---|--|--⌫|--⌫---|
moultse fetcertes bonh aster	----|-|--|-----|--|-⌫----|
etmoult estsagesqu isepa ine	-|----|--|----|--⌫|-|--⌫--|
etqu i metc uerentente etpa i ne	-|--⌫|--|-⌫--|------|-|--⌫-⌫-|
e n acointer dame	-⌫|-------|---|
nedoitdouternu l griefmalage	-|---|-----|--⌫|----|-----|
deenfermete	-|--------|
nulqu ibiensoitde no stre dame	--|--⌫|---|---|-|--⌫---|---|
de bel lescuresp a rfet t antes	-|---⌫--|----|-⌫-⌫---|-⌫----|
sauroitadirequantes	------||---|------|
cur ez estlo rs decorsetd	---⌫-|--|--⌫-|-|---|-||
cil e tce llequin ostredame	--|-⌫|--⌫--|--|-⌫----|---|
daigne atochier neis	-----|-------|---|
d e son doit	-⌫|--|---|
ci lbiencur éstoutestredoit	--⌫|---|---⌫--|---|----|---|
etsies til cestor	-|-|--⌫|-||--|-|
do u mains	--⌫|----|
qu ichie tentre ses blanch es mains	--⌫|----⌫|----|--|------⌫-|----|
lameredieu asi sainsdois	-|---|---||-|----|---|
siblanssilon ssidrois	-|----|-|---⌫|-|----|
quegu eris est	--|--⌫---|--|
toutmaintena nt	---|--------⌫-|
cilquelleenth oce	--|-|---|-|--⌫--|
tantnequ ant	---|-|--⌫--|
to st gar istam e depechie	--⌫-|---⌫--|--⌫|-|-----|
etsanetostcor s entechi é	-|---|---|---⌫|-------⌫-|
quantsanerdaignele lascors	----|----|-----|-|--|---|
quimuertaus si	--|----|---⌫-|
com f et uns pors	--|-⌫-|--|---|
et qu itou t ua enporreture	-|--⌫|---⌫|-|-|--------|
sach iez qua lame	----⌫--|-|||--|
met gr ant c ur e	--|--⌫--|-⌫--⌫|
q u idurra	-⌫-⌫|----|
sans d efineme nt	---|-⌫-------⌫-|
orentendé s	-|--------⌫|
pordieucomment	--|---|------|
ladou cedameresioi	-|---⌫-|---|-----|
icestpr e udom e deioi	----|--⌫-⌫----⌫|-|--|
aportersefist i la	------|-|---|-⌫||
sesuendeng es etse sdessert e s	--|-------⌫-|-|--⌫|-------⌫-⌫|
et sa g aai gne auoitperdue	-|-|-⌫---⌫--|----|-----|
porcequauo it o u pieeue	--|-|-|---⌫-|-⌫|--|--|
lo nctens n esai quelm aladi e	--⌫-|---|-⌫|--|---|-⌫-----⌫|
seuo suolezqueie ladie	-|--⌫|----|--|-|-|--|
ensauroie achi ef	-|------||---⌫-|
lepie auoi ta tel m eschief	-|--|----⌫||--|-⌫------|
et laiambesi	-|-|----|-|
borso uflee	-----⌫----|
siu es sieuseetsi	-|-⌫--⌫-----|-|-|
siplaine detrouset de	-|-----|-|----|-|-|
a uoitcecroide n aies	-⌫---|-|---|-|-⌫---|
etd est opesd em igiron	-||---⌫---|-⌫--⌫|----|
boeetuenimtote nuiron	--|-|----|--|-⌫-----|
de toutes parsensailloit h ors	-|-----|---|-|-------|-⌫--|
engrantmartyre estoits o ncors	-|----|------|-----|-⌫-⌫|---|
et iambe etpie auoitporri	-|----|-|--|----|----|
donast t out	-----|-⌫--|
france neng leterre	-----||---⌫------|
ne marc hast ildeuspiesdeterre	-|----⌫---|-|---|---|-|----|
robertcil ho mert	-----|--|--⌫|--|
ses p iez ert bi enendrapel ez	--|-⌫--|--|--⌫-|--------⌫-|
mesneq ue dentsi	--|---⌫--⌫---|-|
fortpu oit	---|--⌫--|
quedepueurlesgenst uoit	--|-|----|--|---|-⌫---|
qua ntoumoust ier	---⌫-|-|-----⌫--|
f uaportez	-⌫|------|
assezitru eueamortez	----||---⌫--|------|
etdem aladesqu ise	-|-|-⌫-----|--⌫|-|
p laignent	-⌫-------|
li un ardent li	-|-|-----|-|
a utree staignent	-⌫---|-⌫--------|
liun p leureliautrecr i e	-|-|-⌫----|-|----|--⌫-⌫|
robertquiag rief malad ie	-----|--||-⌫---|-----⌫-|
moult duremen t pleure	----|-------⌫|-----|
etgem is t	-|---⌫--⌫|
mesdes o n	--|-|-⌫-⌫|
piesal tforseti st	--|---⌫|---|-|-⌫-|
quid eco rreoncquesnef i ne	--|-⌫|--⌫--|------|-|-⌫-⌫-|
unepuente puazine	--|-----|------|
quetrestuitcil doumoustier	--|-------|--|--|-------|
etaus gardesen	-|--|-----|-|
plorantprient	------|-----|
d e lsho rsp ou rdieu lemeit e	|-⌫-|--⌫-|-⌫--⌫|---|-|----⌫|
qu ar i lputplus que	--⌫-|-⌫|--|---|--|
ne fetseite	-|--|----|
robert adoncesthorsboutez	-----|----|--|---|-----|
aus huisde forsest acoutez	--|---|--⌫---|--|------|
et bretlahucheet crie	-|---|-|----|-|---|
douce dame	----|---|
sainte marie	-----|----|
forsdetyglisemeboute on	---|-||-----|-|----|-|
etsi suites sersettes	-|-|--|--|---|-|--|
et deioitauilenez	-|-|--|-|---|--|
seigneursfetil	--------|--|-|
uou s uilenez	---⌫|------|
quan t m e boutezhor s	----⌫|-⌫|-----|---⌫|
c omunchien	-⌫-|-|----|
l as la s laslasor puisie	-⌫-|--⌫|--|--|-|---|-|
dire quepriuezma lacha te	---|--|-----|--⌫|----⌫-|
aluisdeforssur	||--|-----|--|
p arpl useursfoismoultse demen te	-⌫-|--⌫-----|---|----|-|-----⌫-|
ahifet ilpucelle gente	--|--|-|------|----|
uiergesacreedebon ere	-----|-----|-----⌫--|
que porraige dir e	--|-----|-|---⌫|
queporraidire	--|-----|---|
do u cedame	--⌫-⌫-|---|
quant i eneuo i home	----|-⌫|-|--⌫|---|
t antsoitde m alagesurpr is	-⌫--|---|-|-⌫----|-----⌫-|
broird e feudenfern espris	----|-⌫|--||----||-----|
qu anttuueux q uetostnega risse	--⌫--|-|---|-⌫-|---|-|--⌫----|
etil t ep lestqueiela ng ui sse	-|-|-⌫|-⌫---|--|-|--⌫--⌫--⌫--|
a grantdoleur eticimui re	|----|-----|-|--|---⌫-|
comuntorel m oziamuire	--|-|----||-|-|----|
unors cr ieret brere	-|--|--⌫--|-|----|
ne spastantdebonere	|-⌫|--|---|-------|
qu etu me daignesescouter	--⌫|-|-|------|-------|
qu antdeceiensmeuois	--⌫--|-|-----|-|---|
comungaignonhorsetc hacier	--|-|------|---|-|-⌫-----|
tu cue rplu sdurd acier	-|---⌫|---⌫|--||----|
quant desantet antne	----|-|----|-⌫--|-|
m en u oies	|--⌫-⌫---|
ka lermepuissetout esuoies	|-⌫--|-|-----|----⌫-|----|
ianestildamen ul	-||--|-|---|-⌫-|
en ciel ne n terre tant s oithauz	-|---||-⌫|----|---|-⌫--|---|
come stlitoe n sapres	--|-⌫-|-|---⌫-⌫|----|
c i lpoures aint	-⌫-⌫|----|-⌫---|
que fer ontil	--|---⌫--|-|
seprierles uois	-|----|--|---|
etre querre	-|--⌫-----|
quant tuqui d ouciel etdeterre	----|-|--|-⌫-|---|-|-|----|
roynees et emperer iz	----|-|-|-------⌫-|
sueffrez ainsisoieperiz	-------|----|---|----|
quitai requise a grant mesch ief	--||-|------||----|-----⌫--|
etqui teshoms suid e	-|--|--|---|--|-⌫|
monch ie f	--|--⌫--⌫|
qui demor éa icite lpiece	--|-----⌫-|-⌫|-|--⌫|----|
quemeslas pies totm e	--|--|--|---|--|-⌫|
se failatoie n	-|---||--|-⌫|
ces t e uile	---⌫-⌫|---|
ouardansasestains dis	-|-----|-|------|--|
et out ufe s tan t h aut miracle	-|-|-⌫|--⌫|---⌫|-⌫--|------|
asainteloy asai ntromacl e	|----|---||---⌫-|------⌫|
a sa int f iacrenasai nt	|--⌫--|-⌫----|||---⌫-|
queque rro iedamedi l e	--|---⌫---⌫-|---|-|-⌫|
la s sans nul seior	--⌫|---|--|----|
aus hu isdeforset nuiteti or	--|--⌫-|-----|-|---|-|-⌫-|
anostre damesedemente	|-----|---|-|------|
messespieslair tant enpul lente	--|--|---||--|---|-----⌫----|
qua pluseurs sembleetest aui s	-||-------|-----|-|--|---⌫|
quet restotsoit p lains liparuis	--|-⌫-----|---|-⌫----|-|-----|
de pullentieetcharoig ne	-|--------|-|-------⌫-|
l orslidist onsansn ule	-⌫--|-|---|-|---|-⌫--|
queenla uile plus	--|-|-|---|---|
netantne quantnei orne hor e	-|---|-|----|-|-⌫-|-|---⌫|
aus si trainer	---⌫-|------|
l e feralenhorsdelauil e	-⌫|---|--|---|-|-|---⌫|
comuncheuaxmorsdemorille	--|-|-----|---|-|------|
quantuoitli las	----|---|-|--|
queins il aui le	-|----⌫||---⌫-|
que tr ainerfo rsle uelton	--|--⌫----|--⌫-|-|---|-|
lorscrieetbr etamoult grantton	---|---|-|--⌫-||----|----|--|
aur o y deparadi s	-|-⌫-⌫|-|------⌫|
i eciesténue fio rs	||-|----|---⌫|--⌫-|
si comme cil qui esper oie	-|----|--|--|-----⌫--|
quaioimenralass eai oi e	-||--||-|------⌫||-⌫--⌫|
parton conseilet	--|--|------|-|
mesoncnefist m a mala die	--|--|-|---|-⌫|----⌫--|
s agregi er	|------⌫-|
nonmadouceda me	--|-|----|--⌫-|
ames enfa nsetama	|--|----⌫-|-||-|
re porteraipou resnoueles	--⌫-------|---⌫--|------|
dessouleres et descote les	--|-------|-|--|----⌫--|
leur gaaigna sseagr antplente	---|-------⌫--||--⌫--|-----|
manuoiassessant e	|---------|----⌫|
mesdoucedame	--|----|---|
totesuoi es	----|---⌫-|
por cesesantene m	--|-|-|----|-||
desesperer ne	---------|-|
me uoil pas	-|---|--|
co mme ntqu il m escuerslilas	--⌫---⌫---|-|-⌫-|----|-|--|
en tadouceuren co r	-|-|------|--⌫--⌫|
do ucemereaudo zroy	--⌫--|---|-|--⌫|--|
encorentaiaigrant	----|-|--|-|----|
dame encorgistgr antesperan ce	---|----|---|--⌫--|-------⌫-|
etrespouse	-|-------|
d edenz m onsain	-⌫----|-⌫-|---|
q uanttoiple raetfortet sain	-⌫---|--|---⌫-|-|---|-|---|
soie fetmaur as	---|--||---⌫-|
etloin g et presbie nensauras	-|----⌫|-|---|---⌫|-|-----|
achie f ue ni r ouqueie	|----⌫|--⌫--⌫|-|--|-|
d une coi g niemeferoie	|--|---⌫-⌫--|-|-----|
couperle pies a ns	-----|-|--|-⌫-⌫-|
sen ertlatres fermees perance	-||--|-|---|----|--⌫------|
quienmoncu erestaoncree	--|-|--|--⌫-|--|------|
pu isqu e stainsi ui er ge sac ree	--⌫---|-⌫-|----|--⌫--⌫-|---⌫--|
quelauileuuiderm	--|-|---|-----||
etautreme nt estrenepuet	-|-------⌫-|----|-|---|
atoicongiepraingdoucedame	|--|-----|-----|----|---|
comantmon cor s etmame	-----|--|---⌫|-||--|
p o rtermenferai	-⌫-⌫---||-|----|
monterla iset	-----|--⌫-|-|
iemen uois	-||-|---|
ainsi lilasmo ultlon guement	----|-|--|--⌫--|---⌫------|
sestdementésmoultdouc ement	|--|--------|----|----⌫----|
amadamesaintem a rie	|-|---|-----|-⌫-⌫--|
nesaysen le porte ouch a rie	-|--||-|-|----|-|--⌫-⌫--|
mes tantfetq ui l ert aio i	--|---|--|-⌫|-⌫|--||--⌫|
safameu np oul	-|---|-⌫|-⌫-||
la nu itprimiereque	-|--⌫-|-------|--|
mes ainsqueiors passassentuint	--|------|---|---------|---|
del uifutm oultla ss eet	-|-⌫-|--|-⌫---|--⌫--⌫|-|
moult fu st orpur e etbi en uane e	----|--⌫-|-|---⌫|-|--⌫-|----⌫|
ace tot defile s et on	|-|--|-|-|-|-⌫-|-|
que quantle sont etbia x	--|----|--⌫|--|-|---⌫|
lor sleurfontelm auues	---⌫|---|---|-|-⌫----|
a sses sou entteles ia	-⌫---|---⌫--|----|||
robertforments	-----|------||
asafa me et ases	|-|--⌫-|-||--|
biensetquelapueu restgrans	---|--|--|-|----⌫|--|----|
qui de luichie t sourt	--|-|--|----⌫|----|
e tdegoute	-⌫|------|
parpousafamehorsne	--|--|-|---|---|-|
desameson assezso ue nt	-|-|----|----|--⌫--⌫-|
metrayfeteleauuent	-----|--|--|-|---|
sireuil ainsors	---|---⌫---|--|
sestesne istiexqun	|----|--⌫-|---||-|
lasqued eu enir	--|--|-⌫--⌫---|
nepuetale r nepuet	-|---|---⌫|-|---|
sa fame agrantd angi erle couche	-|---||----|-⌫----⌫-|-|-----|
p lusle despituneuiezcouche	-⌫--|-|-----|--|---|-----|
n e fetr iens	-⌫|--|-⌫---|
nulequilcommant	---|-|-|------|
de totue ltferea	-|--|--⌫-|---||
son commant	--|------|
setalenta daucunechose	-|-----|||-----|----|
e t demander	-⌫|-------|
nerouerlose	-|----||--|
pas iure quediex	--|---|--|---|
q uemar futiexquil le	-⌫-|--|-|---|-|-|-|
qua ntquellefetfetsur	---⌫---|---|--|--|--|
quantueltp oree	----|---|-⌫---|
quantuelt pois lorsaporee	----|---|---|---||----|
moult estdo len teensacoree	----|--|--⌫---⌫-|-|-|----|
quantiltantuitetil t ant du re	----|-|---|--|-|-|-⌫--|--⌫-|
uie li mainepesmeetdure	--|-|----|----|-|---|
ag rantple nteenestde	|-⌫---|---⌫--|-|--|-|
qui neprisent pasdeusce neles	--|-|------|--|---|--⌫----|
leur baronspuisqu ilsu nt malade	---|-----|-----|-|--⌫-|-----|
moultt ost leursun tcorreu setfade	----|-⌫--|---|---⌫|------⌫|-|---|
e tdes mesonslorslesbarn e sse s	-⌫|--|-----|---|--|----⌫-⌫---⌫|
surleurbaronss efont metresses	--|---|-----|-⌫|---|--------|
mes sa lomonsd ituraiement	--|--⌫-----|-⌫-|--------|
quelamesonputledement	--|-|----|--|-------|
malpui squela fame	--|---⌫---|-|---|
su rl ome e n	--⌫||--|-⌫|
est me tresseetd ame	--|--⌫-----|-|-⌫--|
robertne saiquedire	-----|-|--|--|---|
quanteleuoi tade sempire	----|--|---⌫|---⌫|-----|
sile d esp itsile desdeigne	-|-|-⌫---⌫-|-|-|--------|
queneis tochier	--|---|------|
nedei g ne	-|---⌫-⌫-|
senostre dame aquitantpen se	-|-----|---||--|---|---⌫-|
a iderne se	-⌫---|-|-|
tropmeuendra a	---|-|-----||
grantmerueille	----|--------|
diraique llesommeille	----|-|-⌫--|--------|
quaresperanceetb on efoiz	---|--------|-|-⌫--⌫|---|
auci ellifetplusdecent	-|--⌫-|-|--|---|-|---|
chascune nuitleuerses mai ns	-------|---|----|--|---⌫-|
a mere dieufet ilau	|---|---|--|-|-|
quantnete plestqueie repas	----|-|-|----|--|-|----|
bo nfinementet bo ntrespas	--⌫|-------|-|--⌫|------|
procha inemen tdamem	------⌫------⌫|---||
mo inedroite uoie	--⌫--|-----|---|
aspo rue u	-|--⌫---⌫|
languit antaigeu	-----|-⌫--|-|--|
que iambe etpie	--|----|-|--|
ai totporri	-|--|----|
ie n aienfa ntienai norri	-||-|----⌫-|-||-|----|
qui m es i da int meitrelamain	--|-⌫-||--⌫--|-----|-|---|
chascund au x alecu er toutuain	------||--⌫||-|--⌫-|---|---|
tan t p ar suiorspucelemo nde	---⌫|-⌫-|--|--|-----|--⌫--|
que fleree tpua tout le monde	--|----|-⌫|-||---|-|----|
une nuitot ass ezoré	--|---|-|---⌫-|---|
et tantg emiet	-|---|-⌫--|-|
t antploré	-⌫--|-----|
qu ils endormitoten pl orant	-|-||------|--|-|--⌫----|
celeque trueu entsecorant	---|--|-----⌫--|-------|
etcilet celequ iil so ient	-|--|-|---|--⌫|-|--⌫---|
qui douc eme nt	--|----⌫---⌫-|
sou uentla proient	---⌫---|-|------|
ado ncat endre	---⌫-|--⌫----|
ni u eltplus	||-⌫--|---|
l a gran treyne	-⌫|----⌫|----|
qui dou c iel et deterr e	--|--|-⌫--|-|-|----⌫|
qu antuoitquefilz e tfilleet	--⌫--|---|--|---|-⌫|----|-|
lon tadossé	|--⌫|------|
etcomcharoigueenu n	-|--|--------|-|-⌫|
douto tlontmise nnonch aloir	--|--⌫||--|--|-⌫|-----⌫----|
aid er liu elt lorset ualo ir	---⌫-|-|-⌫--|---|-|----⌫-|
lo rsueltmonstrerquell e scet fere	--⌫-|---|-------|-|---⌫|---|---|
lors deuenir l ad ebonere	---|------|-⌫|-⌫------|
u eltuole ntiers cirurgiane	-⌫--|----⌫-----|---------|
latres doucefi siciane	-|---|----|--⌫------|
qu i tant pares tde	--⌫|---|--|--⌫|-|
francheorine	------|----|
quit restouzce ls s anee torine	--|-⌫------|--⌫-|-⌫--|-⌫|----|
qui onten luibone fiance	--|--|-|--|---|-----|
quantuoitla	----|---|-|
gr antpe rseueranc e	--⌫--|--⌫---------⌫|
depitieesttoutemeue	-|----|--|----|---|
d ou l as te lx	-⌫-|-⌫-|--⌫-|
p itieliestpri se	-⌫---|-|--|---⌫-|
quendurer ne p uet	-|------|-|-⌫--|
sa franchi se	-|-------⌫-|
nepor leplusne por	-|--|-|---|-|--|
qu el lemeismesdeses deus mai ns	-|--⌫-|------|-|--|---|---⌫-|
quitant parsu nt	--|---|--|--⌫-|
belleset sades	-----|-|----|
e tsainespor tas termal ades	-⌫|-----|--|---⌫--|---⌫---|
ta ster ets aner neleuiegn e	--⌫---|-|-⌫---|-|-|-----⌫|
ueltpor ri enqui auiegne	---|--|--⌫-|--|------|
diex huiet	---|--|-|
ilnasimerueilleusefame	-|||-|-----------|---|
entot l emontcumnostre dame	-|--|-⌫|---|--|-----|---|
merueilleusecertese st ell e	-----------|-----|-⌫-|---⌫|
lasainteuir gela	-|-----|---⌫-|-|
s itresdouceest etsitres pleine	-⌫|---|----|--|-|-|---|-----|
que nulledoceura lasie ne	--|----|-----||-|---⌫-|
comparerne se	-------|-|-|
puet neprendr e	---|-|------⌫|
lameredieup arestsi	-|---|---|-⌫-|--|-|
sip ite usesidebonere	-|-⌫---⌫--|-|-------|
queneliputne	--|-|-|--|-|
enferstantso itplainsd	-----|---|--⌫-|-----||
puisait pensee	---|--|-----|
net eetpure	---⌫|-|---|
ouestquiosast neis	-|--|--|----|---|
quetasterdai gnastnadeser	--|-----|---⌫----||-----|
nemanoier pornule	-|------|--|---|
lanaite fleur	-|----|----|
lanai terose	-|---⌫-|---|
lanate tez det otlemonde	-|----⌫--|-|-⌫-|-|----|
h ome tant ort netantimmo n d e	-⌫--|---|--|-|---|----⌫-⌫-⌫|
siplai nde bend iaus et denaies	-|----⌫|-|----⌫---|-|-|----|
sipl a inde trous siplainde	-|--⌫-⌫-|-|----|-|----|-|
sip lainderoigneetd ep o acre	-|-⌫---|-|-----|-|-⌫|-⌫-⌫---|
ousainteloio usaintfia cre	-|----|---|-⌫|----|---⌫--|
ide ustellebienenuoier	|--⌫--|---|---|------|
q uitiex gensseuent manoier	-⌫-|---|---|-----|------|
mes bien sauoit	--|---|-----|
d ou m ains	-⌫-|-⌫---|
nauoi entpas sis oes mains	|----⌫--|--|-|-⌫--|----|
c omele au oi tne s itre ssades	-⌫-|--|--⌫--⌫|-|-⌫|---⌫|----|
por bien sa nertelsgri esmalades	--|---|--⌫--|---|---⌫-|------|
eten sauoi t	-|-|-----⌫|
assez plus	----|---|
u oire p lusqu emilantemil	-⌫---|-⌫--|--⌫|------|--|
em eredie uq u estor de da m es	|-⌫--|---⌫|-⌫|--|-|-|--⌫-⌫-|
depu cell es dehautesf ames	-|--⌫----⌫-|-|-----|-⌫---|
qui les leurnes n en	--|--|---|--||-|
est oppas sent	---⌫-----⌫---|
etquit ot porri rlelessass ent	-|--|-⌫-|-----⌫|-|-------⌫--|
a inzqu daignassentatouchie r	-⌫----|----------|--------⌫|
leuernel dai gnoitnecoschier	----|-||---⌫----|-|-------|
neissa moillierd ame	---|-|-------|-⌫--|
mestu damequi eslaree	--|-|---|--|-|-|--|
toutedoceur eti st	----|-----|-|-⌫-|
porcequede	--|-|--|-|
cue r tereq uist	---⌫|-|---⌫---|
moultleda ignas	----|-|--⌫----|
bienaprochie r	---|--------⌫|
etses gries	-|--|----|
plaies atochi er	-----|------⌫-|
la g ran tdame detot	-|-⌫---⌫|---|-|--|
quitotesorritetsurond e	--|---|-----|-|------⌫|
de grantd oc eurde grantpitie	-|----|-⌫--⌫--|-|----|----|
quant uoit lilas	----|---|-|--|
sidegetié	-|-------|
queneissafameledegete	--|---|-|---|-|-----|
niamesnulquimain	|||--|--|--|---|
