quipetitseme petitq u eult	--|----|---|----|-⌫-⌫---|
donc descend ezet ildesce nt	---|-------⌫-|-|-|-----⌫-|
zzdesuall ezsonc he ualp rent	-|--|----⌫-|--|-⌫--⌫--|-⌫---|
des yyquifurentuenula	--|-|--|-----|---|-|
et li autresledesarma	-|-|-----|-|------|
siremestenla robe sote	-|-----|-|-|---|---|
esreuelinsete nlacote	-|-------|-|-⌫|-|---|
malfet eetmaltail li e	------⌫|-|-------⌫--⌫|
quesamereli otbaillie	--|-|---|-|-|------|
e tlipreudons	-⌫|-|-------|
c ha ucier	-⌫--⌫----|
de ses pero n stranchanzdacier	--⌫|--⌫----⌫-⌫|--------||----|
q ueliua llezot apo rte z	-⌫-|-|--⌫---|-|---⌫---⌫|
si estsor le	-|--|--|-|
ch eua l montez	--⌫---⌫|-----|
etlescup arlaguigepen t	-||---|-⌫-|-|----|---⌫|
a soncolet	|--|--|-|
lalanceprent	-|----|----|
etdistamisore aprenez	-|---|---|--|------|
darmesetg arde uos	|----|-|-⌫---|--|
co mmentlen doi t lan ce	--⌫----|--|---⌫|---⌫-|
son cheualpoi n dre	--|-----|---⌫-⌫--|
etret enir	-|---⌫---|
lorsad esp loieel	---||-⌫---⌫----||
ens eign e	---⌫----⌫|
etsi li enseigne	-|-|-|-------|
co mmentle ndoi t s o n	--⌫----|--⌫|---⌫|-⌫-⌫|
escu prendre	---|------|
z zpetitle auantpendre	-⌫|----|-|----|-----|
tantq au col	----|-|--|
au cheualse ioint	-|-----|-|----|
puis met lalanceel feu tre	---|--|-|----|-|---⌫--|
le cheual quiyym arsualoit	-|-----|--|-|-⌫--|-----|
que nusplus uolentiersnal oit	--|--|---|---------||--⌫--|
plustostnedeplusgrant	---|---|-|-|---|----|
lipreudon ssot	-|-------⌫|--|
moutdelescu	---|-||---|
etduc heualetde	-|-|-⌫----|-|-|
qu e illotapr is des s	--⌫|-||-|---⌫-|--||
siplot moutau	-|---|---|-|
ualletet dist	-----|-|---|
trestotquenqueliprodon sfist	------|------|-|------⌫|---|
qua ntilo tfettoutsonce nb el	---⌫-|-|-⌫|--|---|--|--⌫--⌫-|
ualletbien	-----|---|
queb iensen	--|-⌫--||-|
fu gardedon nee	-|----|---⌫--|
s en repere lanceleuee	|-|-----|----|----|
etdemandali	-|------|-|
sauriezuos fereautresi	------|--|---|------|
la lancee tles cude mener	-|----|-⌫||--⌫-|--⌫----|
et lecheual	-|-|-----|
poindreettor ner	------|-|---⌫--|
etcilli di ttouta deli ure	-|--|-|--⌫|---||----⌫--|
nequerroitia	-|-------|-|
plus longu esuiure	---|-----⌫-|----|
mesque a in si	-----|-⌫--⌫-|
fere seus t	---|----⌫|
cequen nesetpuet e naprendre	-|-|-|-|--|---|-⌫|-------|
qu ii ueltdebonc uer entendre	--⌫||---|-|--|-⌫--|-------|
fetlipreudons biax ami schiers	--|-|-------|---|---⌫|-----|
ilcouienta tozles	-|------||--|--|
etcueret p aine	-|---|-|-⌫---|
p ar cesyypuetentot sauoir	-⌫-|--|-|---|-|--|-----|
etq uantuosonquesnefeistes	-|-⌫---|--|-----|-|------|
n aa utrui fere neueistes	||-⌫----|---|-|------|
seuosferen elesau ez	-|--|---|-⌫|-|---⌫-|
honteneblasme	----|-|-----|
mesd onclauo it	--|-⌫--||---⌫-|
il fe t monter	-|--⌫|-----|
commenca a	-------||
siadroitlal anceetl	-||----|-|-⌫---|-||
c omsileust	-⌫-||-|---|
to zio rsuescu	--⌫|--⌫-|----|
ento rnoiement	-|--⌫--------|
etenguerre	-|-|-----|
etalépartre stouteterr e	-|---|--|---⌫-----|----⌫|
querantbatailleetau enture	------|-------|-|--⌫-----|
uenoitdenature	-----|-|-----|
e tquantna tureliaprent	-⌫|----|--⌫---|-|-----|
etlecuer du tout	-|-|---|-|---|
neli puetestre rie n sgreu aine	-|-|---|----|---⌫-⌫|----⌫---|
la ou natureetcuersp ai ne	-|-|-----|-|----|-⌫--⌫-|
yysib ienl efaisoi t	-|-|-⌫--|-⌫|------⌫|
queaupreudomem o utplesoit	--|-|-------|-⌫-⌫-|------|
etquildis oi te nsonco ra ge	-|-|-|---⌫--⌫|-⌫|--|--⌫--⌫-|
ilfusttot son	-|---|--|--|
darm e s pe nez	|---⌫-⌫|--⌫--|
etentrem is	-|------⌫-|
s en fustil ia	|-|---|-|-|
m outbienapris	-⌫--|---|----|
quant li uallez otfet sontor	----|-|-----|-|--|--|--|
d euantle prodomeauretor	-⌫----|-|------|-|----|
lanceleue es en repair e	----|----⌫||-|------⌫|
sicomilliotueufere	-|--|-|-|-|--|---|
etditsireai gebien	-|--|---|-|-|---|
cuidiezuosqueiamestiermet	------|--|--|-|------||-|
p o i nese gemetre	-⌫-⌫-⌫-|-|-|----|
onque s neuirentrienmih ueill	-----⌫|-|-----|---|-|-⌫----|
do ntsi gr antc ou uoitise	--⌫-|-|--⌫--|-⌫--⌫------|
autretant co muos ensauez	--------|--⌫|--|-|----|
f etli p r eudonsuosensaurez	-⌫-|-|-⌫-⌫-----|--|-|-----|
li preu doms	-|----⌫---|
paryy foizm onta	--|-|---|-⌫---|
etyyf oiees	-|-|-⌫----|
t o utquenqueil mostrer lenpot	-⌫-⌫-|------|-|------||-|--|
etqua nt trest otmostr éli ot	-|---⌫-|-----⌫-|-----⌫-|-|-|
e t p aryy foiz	-⌫|-⌫-|-|---|
et au derreniersili dist	-|-|--------|-|-|---|
ami sseu osenc ontr iez	---⌫|-|-⌫-|---⌫----⌫--|
zzc heuallier	-|-⌫--------|
q ueferiez	-⌫-|-----|
s il mef eroit g el referroie	|-|-|-⌫----|-⌫||--------|
etseuostrelancepe c oie	-|-|-----|----|--⌫-⌫--|
mesquaupoinz licorro iesu s	----|-|----|-|-----⌫-|--⌫|
amiscenefere zuos mie	---|-|-|----⌫|--|--|
que feraido nc	--|----|--⌫-|
paresc remie	--|---⌫----|
de lespeeledoizrequerre	-||----|-|---|-------|
lorsfichedeuantluienterre	---|----|-----|--|-|----|
lalancee n	-|----|-⌫|
estanttote droite	-----|---|-----|
lipreudomsquimoutle couoi te	-|-------|--|---|-|-----⌫-|
d armesenseingnier et	|----|----------|-|
queils ensa chebien desfen dre	--|-||-|--⌫--|---|------⌫--|
alespeesen	||----||-|
lerequiert	-|-------|
eten uair seliexen ert	-|--⌫---|-|---|-|--|
pui s amainal espeemise	---⌫||---|||----|---|
amisfe tilen i telguise	---|--⌫|-|-|-⌫--|----|
uosdesfendrez senuosassaut	--|---------||-|--|-----|
dece fetils ediexm esaut	-|-|--|-|-⌫|---|-⌫|---|
asb or riause taustele uaz	-|-⌫--⌫----|-⌫|--|----⌫--|
chiesmamer eest aprisassez	----|-|---⌫|--|----|----|
tan tques ouuanten fuil asse z	---⌫---|-⌫-----|-|--|-⌫----⌫|
orealonshui	--|----|--|
mesal ostel	--|||----|
fetlipreudon sq uen	--|-|-------⌫|-⌫-||
et uos au r ezquiqu i lennuit	-|--|--⌫-⌫-|----|-⌫|-----|
hostelsanzuilenieanuit	-----|---|------|----|
lo r ssenu ienentanduiencoste	--⌫-⌫||-|-⌫-----|----|-|----|
etl i uallezdit a sonoste	-|-⌫|-----|--||--|---|
siremameremense in g na	---|-|---||----⌫--⌫-⌫-|
qu a uechomen alass ei a	-|-⌫--|---||-----⌫|-⌫|
ne co mp aingniealuineuss e	-|--⌫--⌫------||--||----⌫|
grantm entqueson n onn eseusse	------⌫--|--|--|-⌫-|-⌫|-----|
etse lemenseing n asauoir	-||-⌫-||-------⌫-⌫|-----|
ieuuei lleuostre	-|----⌫|-|-----|
biaxam is chiers di tl ipreu don	---|--⌫-|-----|--⌫|-⌫|----⌫--|
g orn ementde	-⌫---⌫----|-|
g rohes ain on	-⌫----|-|-⌫-|
ainsiiusqu	----|----|
alostelsen uienent	||----||-|------|
et m ainamain anduise	-|-⌫--||---|----|-|
ala monte ed u	|-|-----⌫|-⌫|
uintzzuallettotde songre	---|-|-----|--|-|--|--|
qu i aportoit	--⌫|-------|
l eualletafubleren court	-⌫|-----|------|-|----|
qu apreslechaut nelep reist	-|----|-|----|-|-|-⌫----|
froid urequi	-----⌫--|--|
mallifeist	--|-|----|
bo nemeson e triche gant	--⌫-|----|-⌫|----|---|
ot li preudons et bon seriant	-|-|-------|-|--|------|
et le mengier fuator né	-|-|------|-|----⌫--|
e tbel e tbonbi en	-⌫|--|-⌫|--|--⌫-|
si l auerentlich eual l ier	-|-⌫------|-|--⌫----⌫-⌫--|
assistrent aumeng ier	---------|-|----⌫--|
e t li preudons	-⌫|-|-------|
lez luila sist	--|--||-⌫---|
ual lezaumengie r si st	---⌫--|-|------⌫|--⌫-|
auec lui aune es cuele	---|--||--|--⌫----|
faizau trenouele	---|--⌫--|-----|
quanzen iot	----|-||-|
ne q uelilfuren t	-|-⌫--|-|-----⌫|
mesassez men gierentet burent	--|----|---⌫------|-|-----|
dumeng ierne	-|----⌫--|-|
faizau trefable	---|--⌫--|----|
quantleuéfurent dela table	----|----|-----|-|-|----|
lipreudonsqui moutfucortois	-|-------|--|---|-|------|
destre ol u izzm ois	|----||-⌫-⌫|-|-⌫--|
qui d elez	--|-⌫---|
zza n t outpl ainseiluosist	-|-⌫|-⌫--|--⌫--|-|-|-----|
le retenistil uolentiers	-|-------|-|---------|
s ilapreistendementiers	-⌫||------|-----------|
tiexchosesse elsli pleussent	---|-----|-|--|-|--------|
quiabesoing mestiereussent	--||------|------|------|
et liuallezli	-|-|-----|-|
dist a pres	---|-⌫---|
sirene sai	---|-|--|
segesuipr es	-|-|--|--⌫-|
dumano ir oumamere	-|----⌫-|-|-|---|
p ri dieuqual i me m ain t	-⌫-|---|-||-⌫|-|-⌫---⌫|
tantqueielapuisse	------|-|-|-----|
quarpasmeel a uicheoir	---|-----|-⌫|-|-----|
auchiefdu pontdeua ntla	-|----|-|---|----⌫-|-|
sine sa ipasseele est	-|-|--⌫|--|-|--|--|
dedueldemoi	-|---|-|--|
quant lalessai	----|-|-----|
chaipasmeebienle	---|-----|---|-|
ce neporroitp asestr e	-|-|------|-⌫-|----⌫|
tantque ge	------|-|
se usse son estre	--⌫---|--|----|
que gefeisseloncseior	--|-|-----|---|----|
ainzmen iraidemainaui or	---||-|---|-----|-|-⌫-|
li preudons ot	-|-------|-|
queriensneuaut	--|----|-|---|
proiereetla parolefaut	------|-|-|-----|---|
siuontcouchier sa n z plusdeplet	-|---|-------|--⌫-⌫|---|-|---|
carlili testoient	--|-|--⌫|-------|
lipreudoms par matinleua	-|-------|--|----|---|
aulitauuallet	-|--|-|-----|
le trouuages an t	-|-----|---⌫--⌫|
s i lifistzz pre sentmout grant	-⌫|-|---|-|---⌫---|---|----|
chemiseetbra ie sdechainsil	------|-|---⌫--⌫|-|-------|
etc h auc e s	-|-⌫-⌫---⌫-⌫|
cotede dra pdesoieind e	---|-|---⌫|-|---|---⌫|
qui fu faizettissuz en inde	--|-|---|-|-----|-|---|
p o u rce queh ennor lifeis t	-⌫-⌫-⌫|-|--|-⌫----|-|----⌫|
lien uoi a	-|--⌫---⌫|
e tsi lidist	-⌫|-|-|---|
amiscezdrasque ci ue ez	---|--|---|--|-|--⌫-|
uestirezs euos	-------|-⌫|--|
etl iuallez respontbiausire	-|-⌫|-----|------|---|---|
seuosplestmiexp orriezd ire	-|--|----|---|-⌫-----|-⌫--|
li drapq ue mamereme	-|---|-⌫-|-|---|-|
doncneualent	---|-|-----|
ilmi exquecis t	-|--⌫-|--|---⌫|
uole zq ue ge	----⌫|-⌫-|-|
ualletfoi quege doi	-----|--|--|-|--|
sireainzualen t pis	---|---|-----⌫|--|
uos me deistes biaxamis	--|-|------|---|---|
quantge uosameneceanz	----|-|--|----|----|
c ommandemenz	-⌫----------|
feriezet ge si ferai	-----|-|-|-|----|
fetliuallez ia nen ferai	--|-|-----|-||-|----|
encontredeuosu nechose	-------|-|--|-⌫-|----|
uestirplusne repose	-----|---|-|-----|
s i alezsamerelessiez	-⌫||--|-|---|------|
etlip reudons s	-|-|-⌫------||
est abessiez	--|-------|
si lichaucal e sp eronde stre	-|-|-----||-⌫--⌫---|--⌫---|
lacos tumesouloit tel eestr e	-|---⌫---|------|---⌫|----⌫|
quecilquifesoitcheual i er	--|--|--|-----|------⌫-⌫-|
lespe ronchaucier	|----⌫--|-------|
dautr es uallezas se ziot	|----⌫-|-----|--⌫--⌫||-|
chascuns quiauenir i pot	-------|--|-----||--|
alui armerl a mainamise	|--|----|-⌫|---||---|
preudomslespeeapris e	-------||----||----⌫|
siliceintet	-|-|----|-|
s ile besa	-⌫|-|---|
etdi t qu edonnee lia	-|--⌫|--⌫|-----|-||
lap lus hauteordreototlesp ee	-|-⌫--|----|----|---||---⌫-|
qu ediexaitfeteetcommandee	--⌫|---|--|---|-|--------|
cestordredecheualleri e	|--|----|-|----------⌫|
q uidoi testresa nz ui lenie	-⌫-|---⌫|----|--⌫-|--⌫----|
etditbiaufrereor u ossoui egne	-|--|---|----|-|-⌫-|----⌫---|
seil auient quil uos	-|-|-----|-|-|--|
aucun cheua lie r	----|-----⌫---⌫|
iceuosuueildire et	--|--|----|---|-|
seu os e n	-|-⌫-|-⌫|
uenezau desus	----|-|----|
queuersuosnesepuisseplus	--|---|--|-|-|-----|---|
desfendre neco ntretenir	--------|-|--⌫--------|
ain z lest uiss ea merciuenir	---⌫||---⌫----⌫||----|----|
gar dezquemerci enaiez	---⌫--|--|----|-|---|
priq ue uos ne	--|-⌫-|--|-|
trop parlant	---|------|
netrop n o ue lie r	-|---|-⌫-⌫--⌫---⌫|
nus nepuetestretropparlier	--|-|---|----|---|------|
quesouuant t el ch ose	--|------|-⌫-|--⌫--|
quenli atourtauilenie	-|-|-|-----||------|
etlisagesdite ntrese t	-|-|----|--|-⌫------⌫|
qui tr op parolepechiefet	--|--⌫-|-----|-----|--|
p our cebia uf rere	-⌫--|-|---⌫|-⌫---|
u osc hast i	-⌫-|-⌫----⌫|
detropparl ere tsiuosp ri	-|---|----⌫-|-⌫|-|--|-⌫-|
seuostro u ezho menefame	-|--|---⌫-⌫-|--⌫-|-|---|
damoiseleou	--------|-|
desconseillied enu lerien	------------|-⌫|--⌫-|---|
c onseilliezl isife roi zbien	-⌫---------|-⌫|-|--⌫---⌫|---|
seuosc on seil lie rles	-|--|-⌫--⌫----⌫---⌫|--|
et lepooiren auez	-|-|----|-|---|
une au tre cho s e uos apraing	--|--⌫--|---⌫-⌫|--|------|
q uene tenezmie adesdaing	-⌫-|-|----|--||-------|
m iea resoingnier	-⌫-||----------|
uolentiersalez aumoustier	---------|---|-|-------|
prierceluiqui	----|----|--|
q ue deuostrea meme r ciait	-⌫-|-|-----|-⌫-|--⌫-⌫-|--|
etquencest siecl eterrien	-|-|-|---|-----⌫|------|
commeson crestie n	----|--|-------⌫|
etliuall ezditaupreudome	-|-|----⌫-|--|-|-------|
le s apostresd e rom e	--⌫|-------|-⌫|---⌫|
soiezu os beneoiz biausire	----|-⌫-|------|---|---|
q uautel o i mamere	-⌫|----|-⌫|-|---|
or nedites iames	-|-|----|----|
fetlipreudonsqueuostremere	--|-|-------|--|-----|---|
u osait aprisneenseing ni é	-⌫-|--|----|-|-------⌫--⌫-|
neuosblaim gie	-|--|----|--|
auezditiu squeci	---|--|--⌫---|-|
me sdesorm es uost rem er ci	--⌫|------⌫-|----⌫-|-⌫--⌫-|
uospri queu os	--|--|--|-⌫-|
ench astiez	-|--⌫-----|
carse uos plu sledis i ez	--|-|--|---⌫|-|---⌫-⌫-|
leten droiten	-|---⌫----|-|
u ospri g ardezuosen	-⌫-|--|-⌫----|--|-|
etq u ediraigedo nc bia u	-|-⌫-⌫|----|-|--⌫-|---⌫|
le uauasseurcep oe z	-|--------|-|-⌫--⌫|
quiuostreesperonuos	--|-----|------|--|
leuos aprist etenseingna	-|--|-----|-|--------|
etcil li al edon donné	-|--|-||-⌫|--|-----|
queiamesni aurasonné	--|----|||---|-----|
zzm ot tantcomi l seraui s	-|-⌫-|---|--|-⌫|---|--⌫|
sedelu i no n qu il	-|-|--⌫|--⌫|-|-|
q u ecees t bien qu illi	-⌫-⌫|-|--⌫|---|-|-|-|
e n se in gne	-⌫-⌫--⌫--⌫--|
li prodonsmaintenantleseigne	-|------|---------|-|-----|
sialamainleueeenhaut	-||-|---|----|-|---|
etditbiau fr e re dex uossaut	-|--|---|--⌫-⌫-|--|--|---|
ale zadieu	---⌫||---|
quiuos conduie	--|--|------|
demo rer uos	----⌫--|--|
le nouuel cheu aliersep art	-|-----|----⌫----|-|-⌫--|
de sonho stemoutlies t tart	-|--|--⌫--|---|-|--⌫|---|
queasamere	--||-|---|
u enirpui sse	-⌫---|---⌫--|
etque saine	-|--|----|
l at ruisse	-⌫|-⌫-----|
sisemetesforezsoutainnes	-|-|--|-|----|---------|
queassez miex queste rres	--|----|---|-|-|--⌫---|
esfore szserecon noissoit	-|----⌫-|-|-----⌫-------|
e tcheuauche tantq ueiluoit	-⌫|--------|-----⌫-|-|---|
zz chastelfort et bie n seant	-|------|---|-|---⌫|----|
mesforsdesmu rs	--|---|--|--⌫-|
nauoitnea nt	|----|---⌫-|
forsmereteueetterre	---|--|-|--|-|----|
derrer uers	|----|---|
le c hast else haste	-|-⌫----⌫-|-|----|
t antq u e deuantlaporteui nt	-⌫----⌫-⌫|-----|-|----|--⌫-|
meszz pont pas se r	--|-|---|---⌫--⌫|
si f oibleainzqualapo r teuiegne	-|-⌫----|-----||-|--⌫-⌫-|-----|
quapainecuit qu	-||----|---|-|
illeso stiegne	-|-|--⌫------|
licheualierss orlepontmonte	-|---------|-⌫-|-|---|----|
silep assequemalneho nte	-|-|-⌫---|--|--|-|--⌫--|
n eencombri er ne li auint	-⌫|--------⌫-|-|-|----|
iusquedeuantlaporte uint	-----|-----|-|----|---|
seltre uuef erme ́alac lef	-||---⌫--|-⌫----⌫||-|-⌫--|
iln ihurtamiesoef	-|||----|--|---|
etsinapela	-|-||----|
t a nti feriq ueneslepas	-⌫-⌫-||---|-⌫|--------|
fene stresdelasale	----⌫----|-|-|---|
unepucelemegreet pale	--|-----|----|-|---|
etdistq uiest q ui	-|---|-⌫-|--|-⌫-|
cilregardauers la	--|------|---|-|
s ilauoitet	-⌫|-|---|-|
dit be le amie	--|--⌫-|---|
z zcheuali ers uiquiuos prie	-⌫|-------⌫-|-⌫-|--|--|---|
queleanzme facieze nt rer	--|----|-|-----|-⌫--⌫--|
et l ostelannuit	-||----|-----|
mesprester	--|------|
sire feteleuosl aurez	---|--|--|--||----|
mes ia gre	--|-|--|
nenos ens aurez	-|--|-|-⌫----|
etneporquant	-|---------|
si uosf e ron	-|--|-⌫-⌫--|
si bonhostel c om	-|--|-----|-⌫-|
nosp or ron	--|-⌫--⌫--|
lorssestla	---||--|-|
pucelearr iers	-----|---⌫---|
et cilqui la	-|--|--|-|
pu celeaguete	--⌫---|-----|
c rien tne	-⌫----⌫|-|
facetropester	---|---|----|
sirecommenca	-|---------|
yys erian z iui n rent	-|-⌫-----⌫||--⌫-⌫---|
quigranzh a che senlormains	--|----|-⌫-⌫---⌫|-|--|----|
e t chascun sotceinteu neespee	-⌫|-------⌫|-|-----|-⌫-|----|
si ot laported e sfermee	-|-|-|----|-⌫-⌫------|
frereuenez	----|----|
sebienest eust	-|---|---⌫---|
aus serianz	--|------|
mout fus se ntbelmesilauoient	---|---⌫--⌫-|--|--|-|------|
meseseenta ntqu il	-----|-|--⌫---|-|
degeuneretde	-|-----|-|-|
te l qu ansenpeustmerueillier	--⌫|-|-||-|----|----------|
seilot bien deforst rou u ee	-|-|-|---|-----|-⌫---⌫-⌫-|
l ater re ga ste	-⌫|---⌫-|--⌫--|
e te ssilli ee	-⌫|-⌫------⌫-|
deden zriensne	-----⌫|----|-|
liame n da	-|---⌫-⌫-|
car par t restoutlaou	--|--|-⌫------|-|-|
treuuegastest ot es lesrues	-----|-----|-⌫--⌫-|--|---|
etlesmeson ssontdecheu es	-|--|-----⌫|---|------⌫-|
quehomenefameniauoi t	--|---|-|---|||----⌫|
yy mostiersen	-|-------|-|
lauile auoi t	-|---|----⌫|
queestoientyyabeies	--|-------|-|-----|
lune denonnesesbahies	|--|-|-----|-------|
de moine s esgarez	-|-----⌫|------|
ne trouua miebien parez	-|-----|--|---|----|
les moustiers ne bi enportend uz	--|--------|-|--⌫-|-------⌫-|
a inzsontetcreueze t	-⌫--|---|-|-----|-⌫|
l esmu rset	-⌫-|--⌫-|-|
lestorsdesco uuert es	--|---|-----⌫-----⌫-|
etlesporteserentouuertes	-|--|-----|----|-------|
ausidenu izcomm edeiors	---|-|--⌫-|----⌫|-|---|
mol insni meutnen i cuit	---⌫--|||---|-|||---|
lieude tou tlechastel	---|-|---⌫|-|------|
ne niauoitpainne ga stel	-|||----|---|-|--⌫---|
neriensnulequ i fustauendre	-|----|---|--⌫|---||-----|
dontlenpeust zzdenierp rendre	---|--|----|-|-----|-⌫-----|
e insitrouua	-⌫---|-----|
lechastel g aste	-|------|-⌫---|
quiln i trouua ne	-|-|||-----|-|
painne paste	---|-|----|
neuinnecidre ne	-|--|-|----|-|
uerszzpal es	---|-|---⌫-|
couuertdegloise	------|-|-----|
lenontyyserianzmené	|-|--|-|------|----|
etdescenduetdes armé	-|-------|-|---⌫----|
ettant ostzz	-|----⌫--|-|
ualleta uale	-----|-⌫---|
parmilesdeg rez	----|--|---⌫--|
d elas ale	-⌫|-|-⌫--|
q ui ap ortaz z mantelgris	-⌫-|--⌫---|-⌫|-----|---|
a ucol au cheualierlamis	-⌫|--|-|--------|||--|
etzz a utreraestable ́	-|-|-⌫---|-|-------⌫|
s on cheual laouil	-⌫-|-----|-|-|-|
qu aril nestoitenlameson	--⌫-|-||-----|-|-|----|
deuantels lefont	-----|--|-|---|
monterparzzde gre amont	-----|--|-|--⌫--|----|
enlasalequi m out f ubele	-|-|---|--|-⌫--|-⌫|---|
duiprodonm eetunepucele	--|-------⌫|-|--|-----|
lison ta l	-|---⌫|||
encontre uenu	-------|---|
lipre udomeestoientchanu	-|---⌫----|-------|----|
no npa sque ilf u ssentt uitblanc	--⌫|--⌫|--|-|-⌫-⌫----|-⌫--|----|
debe l aag ea	-|--⌫|---⌫||
tout lor sa nc	---|--|--⌫-|
etot out elorfo rcefus sent	-||-⌫---⌫|--|--⌫--|---⌫---|
sen nuietpesa ncen	|--⌫--|-|----⌫--||
etlapuceleui ntp lusiointe	-|-|-----|--⌫-|-⌫--|-----|
p lusacesme eetpluscoin te	-⌫--|------⌫|-|---|----⌫-|
queespre uiernepapegout	--|-----⌫---|-|-------|
s onmantel f u	-⌫-|-----|-⌫|
et son bliaut	-|--|-----|
duneporprenoire	|--|-----|----|
deueret n ertmiepe lee	-|--|-||--|--|--⌫--|
la pennequielmantelfu	-|----|--|-|-----|-|
d unsebelinuerte t chanu	|-|------|---|-⌫|----|
estoitt rop	-----|-⌫--|
lonc net rop le	---|-|-⌫--|-|
fulemantelaucol	-|-|-----|-|--|
o nquesfis deui se	-⌫----|--|----⌫-|
en biauteque diexeust mise	-|-----|--|---|---|---|
enchi efdefam eneen face	-|---⌫-|-|---⌫|-|-|---|
o r mereplestc uneenreface	-⌫|-|------||--|-|-----|
mentiraide	-------|-|
deslieefu etsio t	------|-|-|-|-⌫|
lescheuoxtiexs estre	--|-----|---||----|
quebien cuidas t qui laueist	--|---|------⌫|--|-|----|
q uiil fussenttuit definor	-⌫-|-|------|---|-|--|-|
tantestoient	---|-------|
luisante tsor	------|-⌫|--|
lef rontot	-|-⌫---|-|
bla ncetplain	---⌫-|-|----|
et lei lfust o urez amain	-|-|-⌫|---|-⌫---||---|
etd emaind omme portretfust	-|-⌫|---||---|------|---|
depierre d	-|-----||
iuoireoude fust	-----|-|-|---|
sor cilsbrunez etlarg een trueil l	---⌫---|-----|-|----⌫|--⌫------⌫|
enla teste fu rent	-|-|----|--⌫---|
riantetcl e ruert	----|-|--⌫-⌫|---|
lenes otdroitete stend u	-|--|-|----|-|-⌫-----⌫|
et miexli auenoitel uis	-|---|-|------|-|--|
leuermeil so rlebl anc assis	-|------|--⌫|-|--⌫--|----|
quesino plesorchierargent	--|----⌫--|--|----|-----|
por embler senset cu er	--|-----|---|-|--⌫-|
fist die u	---|---⌫|
de luipa ssemeruei lle	-|--|--⌫---------⌫--|
onc puis ne fist	--|---|-|---|
diexsap areille	---|-|-⌫------|
nedeu ant fete ne	-|---⌫--|---|-|
li c heualie rl a uo it	-|-⌫-------⌫|-⌫|--⌫-|
s ila salu e etelelui	-⌫|-|----⌫|-|--|--|
cheua llierenmedui	-----⌫----|------|
etl adamoiselel e	-|-⌫|--------|-⌫|
maindebonner ement	---|--------⌫----|
biau f rere uostre ostiex	---|-⌫---|-----|-----|
certes n iertmi e enquenuittiex	-----||---|--⌫|--------|---|
com apreudommeco u uendroit	--||--------|--⌫-⌫-------|
se ge uo sdisoie ore n droit	-|-|--⌫|-----|---⌫-⌫----|
totno strecoui neetnostr eestre	--|--⌫---|----⌫-|-|-----⌫|----|
uoscu ideriez puet ce es tr e	--|--⌫------|---|-|--⌫--⌫|
m a uues tieledeiss e	-⌫-⌫----⌫--|-|-----⌫|
qualer u osen feisse	-|---|-⌫-|-|-----|
mes seuosple store en	--|-|--|---⌫-|--|-|
losteltelcomil	|----|--|--|-|
est pre nez	--|---⌫--|
etdiexuosdoin tmeillordemain	-|---|--|----⌫|------|-----|
einsi l e maine parl amain	----|-⌫|----|--|-⌫|---|
unech ambrecelee	--|--⌫----|----|
qui mout fubeleet longueet lee	--|---|-|---|-|-----|-|--|
seur u ne cous tede samit	---|-⌫-|----⌫-|-|----|
quifu estandue enzzl it	--|-|-------|-|-|-⌫-|
sesont iluecandui assis	-|---|----|----|----|
cheuallier y y etyyetsis	---------|-⌫|-|-|-|--|
uinrent leanzetsi sasistrent	------|----|-|-||--------|
etnu lmotnedistrent	-|--⌫|--|-|-------|
de lezladame	--⌫--|-|---|
etmot n edist	-|--|-⌫|---|
porcede parler s e tenoit	--|-|-|-----|-⌫|-----|
cha sti lisouuenoit	---⌫--|-|--------|
pr eudomli auoitfet	--⌫----|-|----|--|
sien tienent e ntreeu s grantplet	-|-|------|-⌫---|--⌫|----|---|
tu it li che uali era con seill	--⌫-|-|---⌫----⌫-||---⌫----|
diexf etchascunsmout me	---|-⌫-|-------|---|-|
secelc heualier	-|--|-⌫-------|
est mui a uso	--|---⌫-⌫--|
grant d uelseroit quemou t estbiax	----|-⌫--|-----|--|---⌫|--|---|
cheua li ersne	-----⌫--⌫--|-|
fudesafram e	-|-|-|----⌫|
mo uta uient biendelezmadame	--⌫-|-⌫----|---|----|-|---|
etmadameausi dele z l ui	-|-|---|---|----⌫|-⌫-|
si lnefussent muelandui	|-⌫|-|------|---|----|
tant estcilbiaxetcelebele	---|--|--|---|-|---|---|
con quescheualiers	|--⌫---|---------|
ne p u cele	-|-⌫-⌫---|
nauinrentme sense nble	|-------|--⌫|----⌫---|
et de lunetdel autresemble	-|-||-|-|-||----|-----|
qu ediex lunpor	--⌫|---||-|--|
lautrefeist	|----|----|
porce quensemblelesmeist	--|-|-|-------|--|----|
chascungra n t parole	------|---⌫-⌫|-----|
e tladamoiseleante ndoi t	-⌫|-|--------|----⌫----⌫|
quil la cenastdequequ esoit	-|-||-⌫-----|-|-----⌫|---|
etlicheualli ersse tesoit	-|-|--------⌫--|-|-----|
tant qu ele uit	----⌫-|--|--|
tresbien e tsot	---|---|-⌫|--|
neli diroit iamot	-|-|-----|-|--|
selnela res onnoitauant	|-|-||-⌫---⌫-----|----|
etdistmout	-|---|---|
deb onerem ent	---⌫------⌫--|
si redonc u enistesuoshui	--⌫-|---|-⌫------|--|--|
damo iselef et	----⌫----|-⌫-|
chies zz pr e udome azz	----|-|--⌫-⌫----||-|
