abraham mangierlesueoit	------|------|--|----|
d o nt mul testg r ans	-⌫-⌫-|---⌫|--|-⌫-⌫--|
ligueredons	-|--------|
abr a hamas o n h uesretint	---⌫-⌫--||-⌫-⌫|-⌫--|-----|
c elpu isdo ntgransbiens li au int	-⌫-|--⌫-|--⌫-|----|----|-|--⌫--|
c est la font ainekine	|--|-|----⌫---|-|-|
nul ior tantface f r oitne chaut	--|--|---|---|-⌫-⌫--|-|----|
maintesgens	------|---|
ensunt abeu re ́	-|---|----⌫--⌫|
ian enseront	-||-|-----|
libons euré	-|--|-⌫----|
cele fontaines ad e etclere	---|-------|-⌫--⌫|-|----|
estsainteglise no stre mere	--|----|-----|--⌫---|---|
et kipor uoirlachose e nquist	-|-|--|---|-|----|-⌫-----|
cestlipuis qu a braham	|--|-|---|-|-⌫-----|
dont tot libiennaissent	---|--|-|---|-------|
etmueuen t	-|------⌫|
ensicom lib oen clerclo prueuent	---|--|-|-⌫--|----|-|-------|
de celpuistintlaseingnorie	-|--|---|---|-|---------|
abra hampar ancesserie	----⌫--|--|---------|
mult estliesmultsenesioist	---|--|---|---||-|------|
tantpui sbie n dir esens	---|---⌫|---⌫|---⌫|---|
quides bonsapostleslisire	--|--|---|-------|-|---|
s ains piere skip arson martir e	-⌫---|-----⌫|-|-⌫-|--|------⌫|
tantesbonesar nme s	-----|----|--⌫---⌫|
desainshome	-|----|---|
des aintesfemmes	-|-⌫-----|-----|
qua son martireontpris example	-||--|------|--|---|------|
par quo i il si ent largeetample	--|---⌫|-|--⌫--|----|-|----|
deshausciulsen	--|---|----|-|
oi oie neclartez n efaut	|-⌫--|-|------|-⌫|---|
la si entet	-|--⌫--|-|
lase dedui ssent	-|-|-----⌫----|
siquenulesriensn el es nuissen t	-|--|----|----|-⌫|-⌫-|-------⌫|
i ki deulo haut pere	-⌫-|--|-|---|---|
pa rlexemplealbaron saint pere	--⌫||------|-|----|----|---|
l a clartedelasus	-⌫|-----|-|----|
c i l ioieliabelistplus	-⌫-⌫|---|-|------|---|
kiluoit par son	|-|---|--|--|
queli siensm e i sme snefait	--|-|----|-⌫-⌫-⌫---⌫|-|---|
ta nten es tliestant	--⌫-|-|--⌫|---|---|
kebienuospui sdireabriefmot	-|---|--|---⌫|---||----|--|
de ceaskisunten celleio ie	-|---|-|---|-|----|--⌫-|
etparsamue teetp ar sauoi e	-|--|-|---⌫-|-|-⌫-|-|---⌫|
multli sietmul t liatalente	---|-|---|---⌫|-|-------|
bor imistsoncueret s ent ente	--||---|--|---|-||---⌫---|
por preeschier ceas ki	--|---------|---|-|
etk icel s ie geet celliuo nt	-|-⌫|--|-⌫--⌫-|-|--|--|-⌫-|
kedamredeusloraba ndon e	-|--------|--|---⌫----⌫|
parcesbiens do ble	--|--|----|--⌫--|
l a corone	-⌫|-----|
monsingneursaintpierre todis	--|-------|----|-----|----|
kiti entles clez deparadis	-|--⌫--|--|---|-|------|
sainspolslibon scle rsli hardi s	----|---|-|---⌫|---⌫-|-|-----⌫|
ki te xfupa rsens e tpa r	-|--⌫|-|--⌫|---|-⌫|--⌫|
mults esio i tetmultseslece	---||----⌫-⌫|-|---||-----|
porl on euretporl ehau tece	--||--⌫--|-|--|-⌫|---⌫---|
dece a s kil	-|--⌫-⌫||-|
pa rsonpreechier	--⌫|--|--------|
fist elregnedeu esl echier	---|-|----|--|---⌫-----|
etparsonamonestement	-|--|--|-----------|
lesuoitseoir multha utement	--|---|----|---|--⌫------|
elsi eg eki	-|--⌫--⌫|-|
iane f aura	-|-|-⌫---|
kitosior sual ut	-|--|---⌫|---⌫-|
ci d euroient	-|-⌫-------|
exemple prendr e	------|------⌫|
cilqua tos b i ensuuelen tentendr e	--|-||--|-⌫-⌫--|------⌫|-------⌫|
si fait cilki celep a rt	-|---|--|-|---|-⌫-⌫-|
parpreeschieretparmartire	--|---------|-|--|------|
b ien aue z ce s tegl ose oie	-⌫--|---⌫|--⌫-⌫-|--⌫--|--|
quimul tdoit estr eresioi e	--|---⌫|---|----⌫|------⌫|
de ces yysingne ursestretraite	-|--|-|------⌫--|--|-------|
kinostrecreanceontrefait e	-|-----|------|--|------⌫|
parabr ahamn ostrebuen pere	--|---⌫---|-⌫----|---|---|
kiles grans bien sfist ensauie	-|--|----|----⌫|---|-|-|--|
k aincde mauai stie noten uie	|---|-|-----⌫---||-|--⌫--|
k imain tegentret r a itasoi	-⌫|----⌫-|---|---⌫-⌫-⌫-||--|
par creancee tparbone foi	--|------|-⌫|--|---|--|
etmain tgr antbien resontpuisfait	-|----⌫|--⌫--|---|-----|---|---|
parsamu eteetparsonatrait	--|-|--⌫--|-|--|--|-----|
m ultes toitdebonemaniere	-⌫--|--⌫---|-|---|------|
totades au ant et ariere	--|---|--⌫--|-|-----|
estoit deboneuole nte	-----|-|---|----⌫--|
nusnel ueoitentalenté	--|-||----|---------|
satobi enn onedefiier	||-|--⌫-|-⌫-|-------|
nelpot nus espiier	-||--|--|------|
kunseul iorpoist	|-|---|--|----|
es tre oiseus	--⌫--|-----|
multestoit sagesetuiseus	---|-----|----|-|-----|
qui lp la ntoitles boisporrepren dr e	-|-⌫|-⌫--⌫----|--|---|--|------⌫--⌫|
gran tsensipooit onprendre	----⌫|---||----|-|------|
esgran sedef iskil f ais oit	-|----⌫|----⌫-||-|-⌫---⌫--|
cesach iéske	-|----⌫---|-|
multl iplaisoit	---|-⌫|-------|
ligaains enbo is	-|-----|-|--⌫-|
etent er re	-|-|-⌫--⌫-|
autr egaaingnedeuro itq uerre	----⌫|-----|-|-----⌫-|-⌫----|
orn acil nese nsnesa uoir	-|||--|-|--⌫-|-|--⌫---|
ki neuent upr este	-|-|---||--⌫---|
autrementneau r oiton	--------|-|--⌫-⌫--|-|
delboenclerc neplusquedell ai	--|---|----|-|---|--|--|-⌫-|
li pour e grantesm ai	-|----⌫|----|---⌫-|
qua nulbienne	-||--|---|-|
puentm onteir	----|-⌫-----|
so nloruosistadroit	|-⌫|--|-----||----|
del biendeu lor departis t	--|---|--|--|--------⌫|
maispreesc h e ment	---|------⌫-⌫-⌫---|
ualent quetex	-----|--|--|
le sdep art	--⌫|---⌫--|
quenedeus nesaint niontpar t	--|-|---|-|----|||--|---⌫|
mult iademalu ais meh ains	---|||-|----⌫--|---⌫---|
nerepre ntmiecil gaa i ns	-|-----⌫-|--|--|---⌫-⌫-|
issi comli	---|--|-|
ab rahamfist	--⌫----|---|
totquanqu ilpla ntabienreprist	--|-----|-|---⌫--|---|------|
si co milpeirt a sa	-|--⌫|-|----||-|
kisensfin cascuniorcommence	-|---|--|-----|--|-------|
c e qu abym elechs enal a	-⌫|-|----⌫----||-|--⌫|
lorsqu ed abraha m	------⌫||------⌫|
etf ico lsi tinrentloruoie	-|-⌫---⌫|||------|--|---|
d ire le mestu et toteuoie	-⌫--|-||----⌫-|---|---|
ia neremanrap orente ndr e	-|-|------|-⌫-|----⌫---⌫|
la uoieet c i stlasente	-|---|-|-⌫-⌫-|-|----|
c il retorne unau tre c hem in	-⌫-|------|-|--⌫--|-⌫---⌫-|
siconietruiselp archemin	-|--|-|----|-|-⌫-------|
ade uuat on	|--⌫|--|-|
par m ai ntesuoi es	--|-⌫--⌫---|---⌫-|
etenqe ilque	-|-|--⌫----|
liuquetu soies	--|--|-|----|
lepuesdireplus	-|---|---|---|
cilkideu aime etc roitet	--|-|--|---|-|-⌫---|-|
tor nesa uoie enmoniage	---⌫-|-|---|-|------|
liautre qu	-|----|-|
enretien tasa ge	-|------⌫||--⌫-|
d euient hermites	-⌫-----|-------|
cilne res tpa s	--|-|---⌫|--⌫|
delto t conclus	--|--⌫|------|
kimaintelfeuetenla	-|----|-|--|-|-|-|
s ilasesen fanset safamm e	|-||--|--⌫---|-|-|----⌫|
etsa maisn ie e nsama i s on	-|-|-----⌫-|-⌫|-|--⌫-⌫-⌫-|
iedibien pa r droi terai s on	-|-|---|--⌫|----⌫-|---⌫-⌫-|
s ilfait samosne de samain	|-|---||-----|-|-|---|
por deuet al	--|--|-|-|
soir etalmain	---|-|-|---|
quiu oitlo	--|-⌫--|-|
maletsil escue	--|-|-||----|
c ilki teiluie	-⌫-|-|---|--|
ama intenue	|--⌫------|
sine blesmist	||-|-------|
q uede ussabone garde	-⌫-|--⌫-|-|---|----|
kilefeu porroit e schueir	-|-|--|------|-⌫------|
ia nese deuro it	-|-|-|-----⌫-|
decestsi ecle	-|---|--⌫---|
bien uos di desorenauant	---|--|-|-----------|
kiliaplusors	|-|||------|
parleus pa r tenset	--|---|--⌫|---|-|
par termines	--|-------|
en cel fe uca ntonenes t cuis	-|--|--⌫|--⌫-|-|-|--⌫|---|
cil ki sageses tet recuis	--|-|----|--⌫|-|-----|
mede ci nesensainne	----⌫--⌫-||-|-----|
lemiasuaillans et	-|---|-------|-|
leplu ssa inne	-|---⌫|--⌫---|
e stlau monec ant onlafai te	-⌫-||--⌫---|-⌫--|-|||---⌫-|
cest lameci nekirafait	|--|-|----⌫-|-|-----|
kanque stmamise tempirie ́	----|-⌫-|----|-⌫|-------⌫|
kence sun ttu i tbiena tirié	|-|-|---⌫|--⌫-⌫|---|-⌫-----|
l aumonefaitstai nd relo malet c ueure	|-----|---|----⌫--⌫-|-|--|-|-⌫----|
la umonefaittos	|-⌫----|---|--|
biens esm euure	----|---⌫----|
enaum one a douceso leurs	-|---⌫--||-----|-⌫----|
au mone estpait uree t coleurs	--⌫---|--|----⌫--|-⌫|------|
de to sl esbie ns kisunt	-|--⌫|-⌫-|---⌫-|-|---|
adroitauersdeusesc outé	|----|----|---|---⌫----|
quisaumon eli	--||-----⌫|-|
puert ett ent	----|-|-⌫--|
quen aumone to s biens sestent	-|-|-----|--⌫|----||-----|
aumonemuetde grant large c e	-----|---|-|----|-----⌫-⌫|
ence luin at	-|--⌫--||-|
pointd e perece	----|-⌫|-----|
k i laumonefaituolenti ers	-⌫||-----|---|-------⌫--|
tosai nset tos en t ier s	-|---⌫-|-|--|--⌫-⌫---⌫|
quel aumo neestai ntto tleu isce	--||----⌫-|-----⌫-|--⌫|-|-⌫---|
multheitluxureetaua risce	---|---|-----|-|---⌫----|
l aumonekelenatpas	|-----||--||-|--|
parlisu nttuitlipech ie	--|-|--⌫-|---|-|----⌫-|
etesta int bien	-|----⌫--|---|
losa chiés t uit	-|--⌫-----|-⌫--|
ensonconduit	-|--|------|
ausi comlaigueestaintlo	---|--||----|------|-|
metu bien upeu	--||---||--|
to ta utresilaumoneestaint	--⌫|-⌫-----||-----|------|
lopechie kipal i s t et taint	-|-----|-|---⌫-⌫-⌫|-|----|
cestlasourainemed ecine	|--|-|-------|---⌫----|
cest litrons coest la	|--|-|----|-|--|-|
coestp itiescest kar itez	-|--|-⌫----||--|---⌫---|
cestl arge ce	|--|-⌫----⌫-|
ethumilitez	-|--------|
k ide laumo nesunt e tuiene nt	-⌫|-||----⌫-|---|-⌫|-----⌫-|
par qu oituitb ienensembletienent	--|--⌫-|---|-⌫--|-------|------|
abrahamde ces g r ansuertus	------|-|--|-⌫-⌫--|-----|
fu toiors sa isis etuestus	-|-----|--⌫---|-|-----|
deu lo saintparmanan t	--|-|----|--------⌫|
lof asoitsescuer s	-|-⌫----|--|----⌫|
si lapeloitp armaintes fois	-||------|-⌫-|------|---|
e t d euskiest p itiesetfois	-⌫|-⌫--|-|--|-⌫----|-|---|
le ntendoit k il	|-⌫-------||-|
eirtdeluipres	---|-|--|---|
bienoroizki l	---|----||-⌫|
auinta pres	----|-⌫---|
