ennonde dieule creat our	-|--|-|---|-|-----⌫--|
trouue rent mouttresgrant t resor	------⌫---|---|---|----|-⌫----|
or en paillol e ete ntarin	-|-|-------⌫|-|-⌫|----|
mainta neldo retm a intbacin	----|-⌫--||-⌫|-|-⌫-⌫--|----|
t rouuerent etmaintgrant ioue l	-⌫--------|-|----|----|----⌫|
quiestoie nte tric he	--|------⌫-|-⌫|---⌫-|
maint eriche uaisselement e	-----⌫|----|------------⌫|
trouuerent bele	---------|---|
poshanasetplat iausdarg ent	--|----|-|----⌫---||---⌫--|
es toientriche	--⌫-----|----|
liroiquis enerentfui	-|--|--||-|----|--|
q uantpoi nsenfudela parti	-⌫---|---⌫-|-|-|-|-|----|
sesont etarrie r retorné	-|---|-|-----⌫|-------|
quanttoutor e ntpriset troussé	----|---|--⌫-⌫-|---|-|-------|
marcadigass ideparti	---------|-⌫|------|
leg a ain g quif ufai si ki	-|-⌫-⌫---⌫|--|-⌫|---⌫|-⌫-|
kains nen reti n t quatre	|---||-|----⌫-⌫|-----|
seilenieustdista ns	-|-|-||---|--|--⌫-|
sil eust il trestoutdonné	-||---|-|-------|-----|
c eausqui en auoientsué	-⌫---|--|-|------|---|
etleursancespandu	-|---|---|------|
sages etlargese t	----|-|-----|-⌫|
dousienpropre t antleu r donna	--|---|-----|-⌫--|---⌫|----|
quechascunsdelui seloa	--|-------|-|--|-|--|
e nl eurpays sontre pairié	-⌫|-⌫--|---|---|--⌫------|
r iched auoir etdecuerlie	-⌫---||----|-|-|---|--|
de c equ edescon fitauoient	-|-⌫|--⌫|------⌫--|------|
ceausqui destruireles c uidoient	----|--|--------|--|-⌫-------|
m arc adigases tdemorés	-⌫---⌫-----|--⌫|-------|
richeset comb lés	-----|-|----⌫---|
sonroiaume a biend es fendu	--|------||---|-⌫--⌫----|
il et ses fieussontre uenu	-|-|--|----|---|--⌫---|
laoudoneyna be leestoit	-|-|---|---⌫--⌫-|-----|
et ses fille squemoutamoi t	-|--|-----⌫|--|---|----⌫|
nedemandezpass eilfurent	-|-------|--|-⌫|-|-----|
co nio yc ar estr ele dure nt	--⌫---⌫|-⌫-|----⌫|-|----⌫-|
quantdon e ynabele per coit	----|---⌫|------|---⌫---|
sonfi lldontt antde bienau oit	--|--⌫-|---|-⌫--|-|---|--⌫--|
oydir eles	-|---⌫|--|
moutf u s esc uers liezetioians	---|-⌫|-⌫-|-⌫---|---|-|-----|
carpar so nfaiterentuaincu	--|--|--⌫|---|----|-----|
de l ifu baisiez mout souuen t	-|-⌫|-|------|---|------⌫|
etdesesse r eursensement	-|-|--|--⌫-⌫---|-------|
cleomades unueu uou a	--------|-|--|---⌫|
telqueiamaisn e finer a	--|--|-----|-⌫|-----⌫|
deguerroier t ou slescinc rois	-|--------|-⌫--⌫|--|---|---|
quiorent fait	--|----|---|
tantd e desrois	---|-⌫|------|
ason chierpereparenuie	|--|----|---|--|----|
ouili lais sera	-|-||----⌫---|
ouilles ferarepentir	-|-|--|---|-------|
dec e quil cuidi erenthonnir	-|-⌫|-|-|-----⌫----|-----|
sonpere etceausd eson pays	--|---|-|----|-⌫|--|---|
ainsi l a uoué	----|||----|
etsachiez queto u t a cheua	-|------|--|--⌫-⌫|-⌫----|
le ueuainsriensnen oublia	-|--|---|----||-|-----|
lepeustfu rnir	-|----|--⌫---|
e tcouui nt il mai ntcoupferir	-⌫|-----⌫-|-|---⌫-|---|----|
etmaintegrant	-|-----|----|
p aineendurer	-⌫---|------|
nepourquantle fistacheue r	----------|-|---|------⌫|
tropimetr oie longue ment	---||----⌫--|------⌫---|
se ieuousdisoie conment	-|-|---|-----|------|
quilf ist achiefmena	-|-|-⌫--||----|---|
si asprement ceausg uerro ia	-|--------|----|-⌫-----⌫-|
quienuerssonpere	--|-----|--|---|
mespr irent	-----⌫----|
e t qu ialuigu erre e ntre prir ent	-⌫|--⌫||--|--⌫---|-⌫----⌫----⌫--|
quile n pris tcruel	-|-|-⌫|----⌫|----|
uengemen t	--------⌫|
m aisieu ou sdiraimoutbr i e ment	-⌫--|-|-⌫--⌫|----|---|--⌫-⌫-⌫---|
la ueni ancequeil	-|----⌫---|--|-|
ai nsi quelestoi reledist	--⌫--|--||-----⌫-|-|---|
cleo m adessise	----⌫-⌫---|-|-|
etsiesploita	-|-|-------|
queloez fudeses	--|---|-|-|--|
etdoutezdeses	-|-----|-|--|
cin cr oisquig ue rroiié	---⌫|-⌫--|--|-⌫--⌫------|
orentsonperee tdamagie ́	----|--|---|-⌫|-------⌫|
fi sttousuenira sa merci	--⌫-|---|----||-|----|
etfurenttouta	-|-----|---||
qua nta mercifurentuenu	---⌫-||----|-----|---|
telraenconetteltre u	--|------|-|--|---⌫|
li re nd irentconmelui plot	-|--⌫--⌫----|----|--|---|
netouten tourla terreno t	-|---|--⌫---|-|----||-⌫|
princeneroin ehaut baron	-----|-|--|-⌫|---|----|
n efusten lasubiection	-⌫|---|-|-|---------|
demarca di gasetde lu i	-|-----⌫--⌫--|-|-|--⌫|
trop longue men teta anui	---|------⌫---⌫|-||---|
u oustenroieserecor der	-⌫--|------|-|-----⌫--|
uousuouloieettout deuiser	---|------|-|---|------|
les emp risesles fereis	--|---⌫----|--|-----|
les ba taillesle s poigneis	--|--⌫------|--⌫|-------|
lesassausneles gr ansestours	--|-----|-|--|--⌫--|------|
des chastiausdes uilesdest o urs	--|--------|--|----|--|-⌫-⌫--|
les fuirsnelesenchauciers	--|----|-|--|----------|
lesretoursneles rali iers	--|------|-|--|----⌫---|
quiifurent ainskache uee	--||-----|----|----⌫--|
fustlague rrene	---|-|---⌫--|-|
ienelaroiepas conté	-|-||----|--|-----|
l epluslon c iour deste	-⌫|---|---⌫|---||---|
m a isparcl e omadesauint	-⌫-⌫-|--|--⌫-⌫-----|----|
q u elaguerre asifaitchief u int	-⌫-⌫|-|-----||-|---|----|-⌫--|
apainesuousre cord ero ie	|-----|---|--⌫----⌫---⌫-|
p enerne mensa roie	-⌫---|-||-|--⌫---|
laualourquien	-|-----|--|-|
luiestoi t	--|-----⌫|
etadesi mont eplioit	-|---||----⌫------|
c ertl i arbresdehardement	|--|-⌫|-----|-|--------|
enra cinez dapensemen t	----⌫----||---------⌫|
ente z detreshaute	----⌫|-|---|----|
fueillis donnouret dela rgece	-------||-----|-|-|--⌫----|
fl oris de bonn e u olente	--⌫---|-|----⌫|-⌫-----|
fructefiez de	---------|-|
assa uorez dumbledo ucour	----⌫----||----|--⌫----|
meursdefo rceetde	----|-|--⌫--|-|-|
sagentquiauoecluiestoient	-|---|--|----|--|-------|
sach ie z quesi grantcuerprenoient	----⌫--⌫|--|-|----|---|--------|
quechascu ns	--|------⌫-|
ha r disen	--⌫-⌫--|-|
licouar t hard ideuenoient	-|-----⌫|----⌫|---------|
quantlezcleomadesestoi ent	----|--|--------|-----⌫--|
tousc uidoitestre	---|-⌫-----|----|
ass eu rez	---⌫--⌫--|
qui l ez l uiestoitaioustez	--|-⌫-|-⌫-|-----|-------|
seshard emen setsesauis	--|----⌫----⌫|-|--|---|
faisoit les siens pr euset h ardis	------|--|----|--⌫--|-|-⌫----|
luihardemen ta u oit	--|--------⌫|-⌫-⌫--|
d etel pouoi rauoecest oit	-⌫|--|-----⌫|----|---⌫--|
ka paines pouoitilferir	||-----|-----|-|----|
nu luinelcouuenist c heir	--⌫--|-||--------|-⌫---|
deso n cheu al ouuif oumort	-|--⌫|----⌫-|-|--|-|---|
b iendu rentauoirgrant	-⌫--|--⌫---|----|----|
gentqui auoient telseigno ur	---|--|------|--|------⌫-|
ou tantot prouece	-|---|-|------|
etual ou r	-|---⌫--⌫|
mais d el uiore	---|-⌫|-⌫-|--|
dau trechoseuousparlerai	|--⌫--|----|---|-------|
sachiezque droit	------|--|----|
ac eluita ns	|-⌫---|--⌫-|
otelre gne	-|-|--⌫--|
desaufricans	--|--------|
tr oisro i s quigra nt richece auoient	--⌫--|--⌫-⌫|--|---⌫-|------|------|
carmou t tres grantterretenoient	--|---⌫|---|----|----|-------|
li unsdel autremarchissoi t	-|--|-||----|----------⌫|
moutpres et moutl uns	---|---|-|---||--|
l autrea moit	|----|-⌫---|
cha scunssauoitmo ut de c lergie	---⌫----|-----|--⌫-|-|-⌫-----|
d ingromance etd	|---------|-||
as tron o mie	--⌫----⌫-⌫--|
caracelui tans urai ement	--||----|---|----⌫----|
ertcoustumeconmunaum en t	--|-------|---------⌫--⌫|
q ueligrant seign ou rquiestoient	-⌫-|-|----|-----⌫--⌫|--|-------|
adontde clergie sauoient	----|-|------|-------|
etsauoi ent detousla ngages	-|-----⌫--|-|---|--⌫-----|
teuses t oita do ntliu sages	---|--⌫-⌫--|-⌫--⌫-|-|-⌫----|
roisuorrainonm e r	---|-----|----⌫-⌫|
dont i aiconmen ciéaparler	---||-|------⌫---||-----|
lunsauoitn on melocandis	|--|----|-⌫-|---------|
cilfu sages c lersetsoutis	--|-|----|-⌫---|-|-----|
gensnob l es	---|---⌫-⌫-|
et courtois	-|-------|
fue tdebarbarie ertroi s	-|-⌫|-|-------|--|---⌫|
et lautresotnonbaldigans	-||-----|-|--|--------|
cilrefugra ns	--|---|---⌫-|
clerset sachans	----|-|------|
etf u mout bi aus et	-|-⌫|---|--⌫--|-|
bientailliés	---|--------|
nesetcourtois etafaitiés	--|-|-------|-|--------|
plains fudegra ntcheua lerie	-----|-|-|---⌫-|-----⌫----|
tint laseignorie	---|-|--------|
et litiersauo itno ncr ompars	-|-|----|---⌫-|--⌫|--⌫-----|
cilsotpresquetous lesset	--|--|------|---|--|--|
laiset pet isfuet	---|-|---⌫-|-|-|
ieusen fosseze t ne sc amus	---|--⌫-----|-⌫|--⌫|-⌫---|
auoit et si ot cour bees c hine	----|-|-|-|----⌫-|--⌫-⌫---|
etle mentonsor lapoitrine	-|-|-----|--|-|-------|
moutfusageset	---|-|----|-|
bienlettrés	---|-------|
debougief u roisclam és	-|-----|-⌫|---|----⌫--|
un ioursefurent ai ou r né	-|---|-|-----|--⌫--⌫-⌫--|
ciltroiro ique	--|---|--⌫|--|
iaici nonme ́	|-|-|-----⌫|
enleur pay sie	-|---|---⌫|-|
maic edontleurparlemen s	--|-⌫|---|---|--------⌫|
sai ainsico mloyc o nter	--|----|--⌫||-|-⌫-⌫---|
moutauoientoyparl er	---|------|-|----⌫-|
des troisplus	--|----|---|
beles espaignoles	----|----------|
do ntontenistonq u es paroles	--⌫-|-|-----|---⌫-⌫-|------|
par oirdirele s amoient	--|--|---|--⌫|------|
c araincu eues	-⌫-|---|-⌫---|
nesauoi ent	|-|----⌫--|
aces assenti ren ttout t roi	|-||-------⌫---⌫|---|-⌫--|
quiliroientagran tconroi	-|-|------||----⌫|-----|
auroimarcadiga srouuer	-|--|---------⌫|-----|
sesfill espo uraus	--|----⌫-|--⌫-|--|
lorsses troiscrompars a uisés	---||--⌫|---|-------|-⌫-----|
qu el aidem en t e rt f igurés	--⌫|-⌫-----⌫--⌫|-⌫-|-⌫------|
etpou rc eenuis lid onroit	-|---⌫|-⌫|----|-|-⌫-----|
ci lroissafille saroit	--⌫|---|-|----||----|
seign eurfaitil ne stpas a gas	-----⌫--|---|-||-⌫-|--||--|
pouoirsmar cad igas	------|---⌫---⌫---|
car soug it et obeissa nt	--|----⌫-|-|-------⌫-|
t ou tsi marchissant	-⌫--⌫|-|----------|
parlaprouec edesonfill	--|-|------⌫|-|--|---|
maisquio re aro itcuersoutill	---|--|-⌫-|---⌫-|---|------|
par q uoi peussie ns a rreer	--|-⌫--|-------⌫-|-⌫----|
quechascun s peu st presenter	--|-------⌫|---⌫-|--------|
uniou el detresg ra nt riche ce	-|---⌫-|-|---|-⌫--⌫-|-----⌫-|
ace roi qui atelnobl ece	|-|--|--||--|----⌫--|
iec roique ualoir nou s porro it	-|-⌫--|--|-----|---⌫|-----⌫-|
lors di stchascunsbonlors amblo it	---|--⌫-|-------|--|--|-⌫-----⌫-|
quantcromparsot qui l s	----|-------|-|-|-⌫||
assento ient	-------⌫---|
queles ioiausf eroi ent	--|--|-----|-⌫----⌫--|
celec ho se mout li	---|-⌫--⌫-|---|-|
c arso nau antageicuidoi t	-⌫-|--⌫|--⌫-----||------⌫|
seig nou r faitilqu antfait	----⌫---⌫|---|-|--⌫--|---|
nos ioiaus tout	--|-----|---|
ensam ble irons	-----⌫--|----|
enes paignea cenoble roi	-|--⌫-----||-|----|--|
etsachiezbienquei ei	-|------|---|--|-⌫||
une chose sen	--|----||-|
quimoutnous puet	--|---|---|---|
metrea udesus	----|-⌫|----|
to u tces aii ebien u r aiement	--⌫-⌫|-|-⌫-|-⌫|---|-⌫-⌫------|
et uousdirairaison conmen t	-|---|----|-----|------⌫|
rois marcadigasa telnon	---|---------||--|--|
qu e chascunsdi st	--⌫|-------|--⌫-|
kainssi preudon	|---|-|------|
tel couuena nce	--|-------⌫--|
c artoutdie nt	-⌫-|---|---⌫-|
qu esans fail lance	--⌫|---|----⌫----|
tie nt kanq ueil encouu enta	---⌫-|----⌫-|-|-|----⌫--||
etpo urcekantnousuenron sla	-|--⌫-|-|---|---|------⌫|-|
nosioiau s	--|-----⌫|
lipresenteron s	-|-----------⌫|
par si cundonde luiarons	--|-||-|--|-|--|----|
t el que n ou sliuor rons rou uer	-⌫-|--|-⌫--⌫|-|---⌫---|---⌫--|
et il napaslecuer	-|-|||--|-|---|
ain s l asilarge qu e s ansfail le	---⌫|||-|----|--⌫|-⌫--|----⌫-|
nousdonral e don quoiqu	---|----|-⌫|--|-----|
c est li poins	|--|-|----|
parquoimieuspoons	--|---|----|----|
ueniracekempris	----||-||-----|
car sed eluiauons lotroi	--|-|-⌫|--|----||----|
sestroisfillesaurons	--|----|-----|-----|
lidirons c estlidons	-|-----||--|-|---|
que nousdelui	--|---|-|--|
auoir uolons	----|-----|
iani f aurron saumienespoir	-|||-⌫------⌫|-|---|-----|
car quanqu ildisttienton po ru oir	--|-----|-|---|----|-|--⌫|-⌫--|
tout troi sont acea ssenti	---|---|---||-|-⌫-----|
que il lef eroient	--|-|-|-⌫------|
neuous s ai pas	-|---|-⌫-|--|
bien de uiser	---|--⌫----|
conme nti ls orenta cheuer	-----⌫-|-⌫|-⌫----|-⌫-----|
les ioiaus ne quelt ermeilmir ent	--|-----|-|---|-⌫---|-|---⌫--|
aufairemais sifaislesfire nt	-|----|---|-|---|--|----⌫-|
qu enusnipeust	--⌫|--|||----|
ia ta ntsen s eustbien pener	-|--⌫-||-|-⌫---|---|----|
carli des iriers	--|-|---⌫-----|
da uoir celesdont tantooient	|-⌫---|----|---|---|-----|
direde bien	---|-|---|
atou tegent	|---⌫-|---|
leurifisttoutentierement	---||---|---|----------|
metrecueretcor set	----|---|-|---⌫|-|
tant fi rent quesi	---|--⌫---|--|-|
furent li iouel etsifai t	-----|-|----|-|-|---⌫|
co nques pu isnefurentsi	|-⌫----|--⌫-|-|-----|-|
o r deuiserai lesioi aus	-⌫|--------|--|---⌫--|
moutfuchasc unsriche set biaus	---|-|-----⌫--|-----⌫|-|----|
u ne ge line	-⌫-|--⌫---|
cem estuis	-||--|--|
fistmel ocandis	---|---⌫------|
et troispoucinesqu isiuo ient	-|----|-------|--⌫|----⌫---|
c elegelinee t	-⌫--|-----|-⌫|
sichantoient	-|---------|
si dou cementqueilsambloit	-|---⌫-----|--|-|-------|
chascun quichante rles	------|--|------⌫|--|
kains noys igr antmelodi e	|---||-|-⌫|--⌫--|------⌫|
bald igansnesoublia m ie	----⌫----|-||-----|-⌫-|
ains fist un	---|---|-|
home defino r	---|-|--|-⌫|
quiualoi t plusdungranttre sor	--|-----⌫|---||-|----|---⌫--|
une trompeensa	--|-----|-|-|
maintenoit	---|-----|
ou mainte richepie rreauoit	-|-----|----|---⌫--|----|
entelman i eree r tarre és	-|--|---⌫-⌫--|-⌫-⌫|----⌫--|
li tromperesetcompassés	-|--------|-|---------|
trompee ureust	-------⌫-|---|
trestout c ertaineme nt seust	-------|-⌫---------⌫-|----|
que senus pourc hacast uers	--|-|--|-----⌫-----|---|
traisonnemalne	------|-|--|-|
litromperest ro mpasttanto st	-|--------|-⌫--⌫----|-----⌫-|
h autque par miunost	-⌫--|--|---⌫-|-|--|
fustbi endetoutes	---|--⌫-|-|-----|
fu comieuousde uis	-|--|-|---|--⌫--|
oru ousdir aidour oicrompart	-|-⌫--|---⌫-|--|-⌫-|-------|
cilrefistgrandement sapart	--|-----|---------|-|---|
car ilfistu ncheual	--|-|---|-⌫|-----|
ienec roik aincp uis nus	-|-|-⌫--||---|-⌫--|--|
te u sfus t	--⌫-⌫|---⌫|
sifaitement leso t	-|--------|-|--⌫|
liroiscromp ars etarreer	-|---|-----⌫--|-|-----|
quequa ntiluouloitilestoit	--|---⌫-|-|------|-|-----|
asseztostou estreuouloit	----|---|-|----|------|
ettoutaus si tostretournés	-|---|---⌫-|---|---------|
erta rrierequ ant certses gres	--|-⌫-----|--⌫--||--|--|---|
l ich euaus erttous de be nus	-⌫|--⌫----|--|---|-|--⌫--|
forstantqued esouz et desus	---|------|-⌫----|-|----|
auoit cheuilletes dacier	----|----------||----|
parcescheuil lesa dreci er	--|--|------⌫--|-⌫-----⌫-|
pouoi t onfai re lecheu al	-----⌫|-|---⌫-|-|----⌫-|
s on uouloit	|-|------|
am on touaual	--⌫--⌫|-|---|
encost eoudetr auers	------⌫|-|-|--⌫----|
par f oi cil	--|-⌫-|--|
cheuausfu diue rs	------|-|----⌫-|
ca r quanton l auoitesm eu	--⌫|----|-||----|---⌫-|
iamaisnel euss e nt ueu	-----|-||----⌫-⌫-|--|
nu leg en tcesach iezdeuoir	--⌫-|-⌫--⌫|-|----⌫--|-|---|
sil ne fusse ntal esmouuoir	|-|-|-----⌫-|||--------|
nescil quiaum ouuoi r estoient	--|--|--|-|-⌫-----⌫|-------|
enpeti tdeureleperdoi ent	-|----⌫||---|-|------⌫--|
c art rop p lustost	-⌫-|-⌫--|-⌫--|---|
er tesloigni és	--⌫|--------⌫--|
quek arrelqui est	--|-⌫----|--|--|
descochiés	----------|
litroiiouel nonm é	-|---|----|----⌫-|
quim arcadiga s presenté	--|-⌫--------⌫|--------|
furen t pou rsesfill esauoir	-----⌫|---⌫|--|----⌫-|----|
ch asc unsualoit	--⌫---⌫--|-----|
mou tgrant auoir	---⌫|----|----|
gentdepe tit e ntendem ent	---|-|--⌫--|-⌫-------⌫--|
demande nta la	-------⌫-||-|
foisconme nt	---|-----⌫-|
telschosespu eente stre	---|-----|--⌫---|-⌫---|
queieuousai	--|-|---|-|
ic iretra ites	--⌫|-----⌫---|
a ucunensont	-⌫---|-|---|
toutesbahi	---|-----|
etsauezuous queieleurdi	-|----|---|--|-|---|-|
ieleu r di que nigromancie	-|---⌫|-|--|----------|
estmout merueilleuseclergie	--|---|-----------|------|
ca rmainte m erueil leen aon	--⌫|-----|-⌫------⌫-|-||-|
fa itepiecabie nle set on	--⌫--|----|---⌫|-|--|-|
biensauezque u irgiles fist	---|----|--|-⌫------|---|
grantmer ueilleq uant ila ssist	----|---⌫-----|-⌫---|-|-⌫----|
deuschastiausseurdeusoesenmer	---|--------|---|---|--|-|--|
et sil es sot	-|-|-⌫-|--|
si compasser	-|--------|
qu e qu il unde s	--⌫|--⌫||-|--⌫|
oesbriseroit	--|--------|
t anto stli chastiaus fonderoit	-⌫----⌫-|-|--------|--------|
ona ur oitluef	-|-⌫--⌫--||--|
e ncord iston	-⌫---|-⌫--|-|
queessaié	--|------|
fudun des chastiaus	-||-|--|--------|
ana pl es ledis t	|--⌫--⌫-|-|---⌫|
en co restlal autreschastiaus	--⌫--⌫|--|-||-----|--------|
qui enmersietet	--|-|--|---|-|
bons etbiaus	---|-|----|
o escestuer ites	-⌫-||--|---⌫---|
se urquoilichastiaus	--⌫-|---|-|--------|
es tfon dé s	--⌫|---⌫---⌫|
pres d enaples une	---|-⌫|-----|--|
pu cho le lec laim eon p ieca	--⌫---⌫-|-|-⌫----⌫|-|-⌫---|
ouu irgiles fist pluseursbains	-|-⌫------|---|-------|----|
quifa isoientm a lades sains	--|--⌫------|-⌫-⌫----|----|
etotseurchascun	-|-|---|------|
bai ngescrit	---⌫-|-----|
dequelmaladiegarit	-|---|------|----|
esto ientcilqu is ibaignoient	----⌫---|--|--⌫|||---------|
parl escripture le	--||---------|-|
m ais s ac hiezque	-⌫--|-⌫--⌫---|--|
quiontfaitma int m aletmaintbien	--|--|---|--⌫--|-⌫-|-|----|---|
depecierentt ous l e s esc r is	----------|-⌫--|-⌫-⌫|---⌫-⌫-|
carcen estoitpasleurpourfis	--|-||-----|--|---|------|
encorsedetelsbai ns es toient	----|-|-|---|---⌫-|--⌫-----|
cr oiiequepoulesameroient	--⌫-|-|--|--|--|--------|
anaples f istil	|-----|-⌫--|-|
se urunpiler un	--⌫-|-|----|-|
quichascun cheualgarissoit	--|------|-----|--------|
daucun mehaingseillauoi t	|----|------|-|-||----⌫|
mai scon l eloiastaupile r	---⌫||-|-⌫|-----|-|----⌫|
ca yp ouruoiroyconter	|-⌫|-⌫--|---|-|-----|
li mare sch al qui lors	-|----⌫---⌫-|--|---|
enzoupaysne g aa ign o ient	--|-|---|-|-⌫--⌫---⌫-⌫---|
nulerie ns am are schaucier	---|---⌫-||-⌫---⌫--------|
pourcele firentdep ec ier	---|-|-|-----|---⌫--⌫--|
dontil firentmale toutrage	---|-|-----|--|-⌫|------|
mais tro pleur faisoitg rantdamage	---|---⌫|---|------|-⌫---|-----|
iecroiqui a	-|---|--||
naple siroit	-----⌫|----|
ken co rlecheualtrouueroi t	|--⌫--⌫|-|-----|---------⌫|
aron mefistcestuerite s	|---⌫-|---||--|------⌫|
uirgiles plus	-------|---|
grantchoseassez	----|----|----|
ifis t un mir eoir	|---⌫|-|---⌫---|
onpou oitbien sauoir	-|---⌫--|---|-----|
par ymage quily	--|----|-|-||
senusu ers	-|--|-⌫--|
ronme pourchacoit	----|----------|
ne faussete n e trayson	-|-------|-⌫|------|
de ceausde	-|----|-|
leursu biect i o n	---|--⌫-----⌫-⌫-⌫|
etfistunemo uschedar ain	-|---|--|--⌫----||--⌫--|
enco rlepris	----⌫|-|---|
anaplescelemousche mi st	|-----|---|------|--⌫-|
etdet elmani erelafi st	-|-|-⌫-|----⌫--|-|--⌫-|
que tantc omlamo usche fula	--|---|-⌫-|-|--⌫----|-|-|
m ousche dedenznaplesnentra	-⌫-----|-----|-----||----|
maisie nesai	---|-|-|--|
que puis deuint	--|---|-----|
la m o usc he nequil	-|-⌫-⌫---⌫-|-|-|-|
encoruirg il es fist	----|----⌫--⌫-|---|
quilon guementaronm efu	--|---⌫------||----⌫|-|
adesetnu it etiour ar doit	---|-|--⌫-|-|---|--⌫---|
grant aise a pluseurs gen sfaisoit	----|---||-------|---⌫|------|
deu antce f euotun arcier	---⌫--|-|-⌫-|-|-|-----|
de fe rne d acie r	-|--⌫|-||----⌫|
ain s e rtdecoiuresisam blo it	---⌫|-⌫-|-|-----|-|---⌫---⌫-|
q u il uousis t t raire	-⌫|-|------⌫|-⌫----|
oufeu toutdroit	-|--|---|----|
enso nfr ontescritese st oient	-|--⌫|--⌫--|-------|-⌫--⌫----|
lettresquienebri eu disoient	------|--|-|----⌫-|-------|
q uime ferraie trai rai i a	-⌫-|-|----|-|----⌫--|-⌫|
e tunsmusarspassapar la	-⌫|--|-----|----|--|-|
quidunbasto n larcierf eri	--||-|-----⌫||-----|-⌫--|
etiltra istel feu sestaintsi	-|-|---⌫--|-|--||------|-|
queain spuis	--|---⌫|---|
ne fu ral umés	-|-|---⌫----|
ainsiauintcestuerites	----|----||--|------|
mout otenui rg ile	---|-|-|--⌫--⌫--|
etsoutieuc ar il fist a ronme	-|------|-⌫-|-|---||----|
mouten g ingneuse	---|--⌫-⌫-------|
moutsouti euetmout merueilleuse	---|-----⌫-|-|---|-----------|
briementlauo u sdeuiserai	-------|-|--⌫-⌫|--------|
auplu sd roitque ie porrai	-|---⌫|-⌫---|--|-|-----|
necuidiezpas	-|------|--|
quece s oit g ui le	--|-|-⌫--|-⌫--⌫-|
quatreco rsde	-----|--⌫-|-|
seur qua tre	---|---⌫--|
toursde la ci t e	----|-|-|--⌫-⌫|
quierentdelafermete	--|----|-|-|------|
fistquatregranshomesde	---|-----|----|----|-|
merueille us e manie re	---------⌫--⌫|-----⌫-|
e rentparnigromance	-⌫---|--|---------|
lalongueurd	-|-------||
une droite lance	--|-----|----|
eren tgrant etd une	----⌫|----|-||--|
seur chas cunetour	---|----⌫---|---|
t outen so n	-⌫--|-|--⌫|
enmist unq uantsi	-|---|-|-⌫---|-|
conmeluisis t	----|--|---⌫|
etcom luiplot	-|--|--|---|
en tel manierefait estoient	-|--|------|---|-------|
que toutdroitades se	--|---|----|---|-|
ch ascunstoussesmen bresauoit	--⌫-----|---|--|---⌫---|----|
tels com aucors aparte noit	---|--|-|---|------⌫---|
oruousdiraique	-|---|----|--|
la f aisoie nt	-|-⌫------⌫-|
c il home ne dequo i se ruoien t	-⌫-|---|-|-|---⌫|--⌫------⌫|
enla maind	-|-|---||
un desho mesmist	-|--|--⌫--|---|
uirgilesau iourquil	-------|-|---|-|-|
unegr antponme delaiton	--|--⌫--|----|-|-----|
parceleponmesauoiton	--|---|----|-----|-|
desq uatreta nsla	--|-⌫----|--⌫-|-|
sicomde printanset	-|--|-|-------|-|
e tdegaynqui apres uie nt	-⌫|-|---|--|----|---⌫-|
etpuisdyue rormeco uu ient	-|---||---⌫|-|-|--⌫--⌫---|
kentendre face clerement	|-------|---|--------|
deces tansle departement	-|--|---|-|----------|
pource fure nt	---|-|----⌫-|
l i honmemis	-⌫|----|--|
seurl estoursqueie uousdeuis	---|-⌫-|----|--|-|---|----|
lunedestou rso t	|--|--|---⌫-|-⌫|
nonpr intans	--|--⌫-----|
lasecondeestes li pl aisans	-|------|----|-|--⌫-----|
l atierc e	-⌫|-----⌫|
gay ns li amés	---⌫-|-|----|
l a quarteyue rliredoutés	-⌫|-----|---⌫|-|--------|
sit ostconmeprintans passoit	-|-⌫--|----|-------|------|
d ester eu enoit	|---|-⌫--⌫----|
l ihonsqu iertdesusla tour	-⌫|---|--⌫|--|----|-|---|
deprintansertdetel atour	-|-------|--|-|--|----|
queil getoit	--|-|-----|
droiten lamain	----|-|-|---|
delhomedestetou ta plain	-||---||---|---⌫||----|
laponmeque	-|----|--|
tenue auoit	----|----|
et lih omdest el agetoit	-|-|-⌫-||---⌫|-⌫|-----|
tou tdroit	---⌫|----|
aloume deg ayn	||---|-|-⌫--|
qu antsestermesauoitpri sfin	--⌫--|--|-----|----|---⌫|--|
etlihom degayn lauoit	-|-|--|-|---||----|
t antqueses	-⌫-----|--|
drois termes uenoi t	----|-----|-----⌫|
adontla getoitacepoint	----|-|-----||-|----|
a lonme dyuer tout	||---||---|---|
chas cunem ainertsi	----⌫---|-⌫--|--|-|
d e feretsibienatornee	-⌫|--|-|-|---|------|
queelebrisiernepouoit	--|--|------|-|-----|
quantla ponmee nl isasse o it	----|-|----|-⌫|-⌫||----⌫-⌫-|
ai nsialoit n i	--⌫--|----|||
faill istia	-----⌫--|-|
cele po nme qui	---|--⌫--|--|
d ontfu la	-⌫--|-|-|
car ades a point	--|---||----|
ses mouuoit	|--⌫------|
delu neto ur al	-||-⌫-|--⌫-|||
autreauoit	----|----|
c ai oytesmoig n ie r auma i ns	|-|-|-------⌫-⌫--⌫|-|--⌫-⌫-|
troismillesp o uplusou pou	----|-----|-⌫-⌫|---|-|--|
p ar c ele ponme adont sauoient	-⌫-|-⌫--|----|----|-------|
ledro itpointquantlitansentroient	-|---⌫-|----|----|-|---|--------|
pa rl achose	--⌫|-⌫|----|
queuo us deu is	--|--⌫-|---⌫-|
cilde ronmeetcil doupais	--|-|----|-|--|--|---|
etcildemainte	-|--|-|-----|
