oreoeztuitcomm unement	--|--|---|----⌫------|
gardefon tilqui l ne tef iere	----|---⌫|-|-|-⌫|-|-|-⌫---|
parmileuis le referoient	----|-|--|-|---------|
deleu ruer gesque	-|---⌫|---⌫--|--|
entreeus estoit comm e unsa ig neaus	----|--|-----|----⌫|--|-⌫--⌫----|
de tres t ouzestoitlip lusbeaus	-|----⌫-⌫--|-----|-|-⌫--|----|
auroi ihesu	-|--|----|
quanquilpooient	-----|-|------|
demalferen esefaignoient	-|--|---|-⌫|-|---------|
apresquant lont asez gabé	----|----||--|---|----|
etdebosté	-|-------|
einsi comme	----|----|
et d unepoupreiert af lubez	-||--|-----|---|--⌫----|
p il atelena horsmené	-⌫--⌫--||-||---|----|
a tozensem blel	|--|-----⌫--||
amos t ré	|---⌫-⌫--|
pilat e l etintpa r	-----⌫|-⌫|---|--⌫|
cesthomme distiluous	---|----|---|-|---|
nuleachoison	---|-------|
me respon tsebiennon	-|------⌫|-|---|--|
nepourbatre ne pour	-|---|----|-|---|
lieuesquedec eleloi	-|------|-|-⌫--|--|
l iph ariseuplainde desroi	-⌫|--⌫-----|----|-|-----|
pour riendedieu	---|---|-|---|
nau oien tcure	|--⌫----⌫|---|
nauoientpas uersluimesure	|------|--|---|--|-----|
touzs escrienta u neu o iz	---||-------||-⌫-|-⌫-⌫-|
quil soitc rucefiez	-|-|---|-⌫-------|
uous leprenezc e di stp ilates	---|-|-----|-⌫|--⌫-|-⌫-----|
clo fichi ezquil amen at es	---⌫-----⌫-|--||----⌫--⌫-|
n i puistro uuern ule	||---|---⌫---|-⌫--|
pa rquoiil face se biennon	--⌫|---|-|---|-|---|--|
ildit fontilqu ilest filz	-|--|---|-|-|-|--|---|
au roidesaintemaie ste	-|--|-|-----|----⌫--|
cen estpas uoir	-||--|--|---|
bienl e sau ons	---|-⌫|---⌫--|
tres bienoccirreledeuons	---|---|------|-|-----|
p uisceleeurequilsefet	-⌫--|---|---|-|-|-|--|
dotilmorir selonclalois	--|-|----|-----|-|---|
qui lenous	--|-|---|
enseigneet d euise	-------|-|-⌫----|
quesacharsoi tenlacroiz mise	--|-|---|---⌫|-|-|----|---|
pylatesotde	------|-|-|
cequildist	-|-|-|---|
com mechascunle	---⌫-|------|-|
c ontredi st	-⌫-------⌫-|
trestouzenson tencon tre	-------|-|---⌫|-----⌫--|
granzetpetiz	----|-|----|
c rientqueli	-⌫----|--|-|
p eupleu oirne di e	-⌫----|-⌫--|-|--⌫|
mai nesi li	---⌫-|-|-|
s il idemand edonties tu	-⌫|-⌫|------⌫|---|--|-|
li amotrespondu	-||--|-------|
ci lneli quier tse pour	--⌫|-|-|-----⌫|-|---|
quetrouueri	--|------||
cuideacheson	----|------|
cedist pilatean ostreroi	-|---|-----||-⌫----|--|
doncne croiz tu	---|-|----|-|
mal te p uisfere	--|-|-⌫--|---|
etdeli urerdecestafere	-|----⌫---|-|---|----|
l ap oeste	-⌫|-⌫----|
es tdeuers	--⌫|-----|
qu anque fe reuoudre de	--⌫----|--⌫-|-----|-|
enfere iesanzcontred it	-|---|-|---|-------⌫-|
sanzdem oura nceet sanzrespit	---|---⌫----⌫--|-|---|-----|
ihesu li respontsimplement	----|-|------|---------|
uersmoifetiln as tunoient	---|--|--|-||-|-|-----|
cesachestu depoest e	-|-----|-|-|-----⌫|
ne t estoi tdon né	-||-----⌫|---⌫--|
quia toimeliura	--||--|-|----|
plusgrantpe chiedetoiia	---|----|--⌫---|-|--|||
quant p ylates o tcequ	----|-⌫-----|-⌫|-|-|
uersles iui saq uerre	---|--|---⌫||-⌫----|
comfa itement deliuré	--|--⌫------|-------|
mes nenfis t pas cequil deust	--||-|---⌫|--|-|-|-|----|
enu ousissentil	-|-⌫--------|-|
sel peusti ldeliur erbien	-||----|-⌫|------⌫-|---|
sei gneurs fetilquarle	---⌫-----|--|-|---|-|
parfoi fontil que	--|--|---|-|--|
setu ihesu mlessesempes	-|-|-----⌫|-----|-|--|
ami scesarneser oizmes	---⌫|----|-|---⌫--|--|
que trestui t cilqueroice font	--|-------⌫|--|--|--|-|---|
contr e cesa rn o str eroisont	-----⌫|----⌫|-⌫-⌫---⌫|--|---|
quan t pilatesotce s p aroles	----⌫|------|-|--⌫|-⌫-----|
queliiuistie nnentafoles	--|-|---|---⌫----||----|
ihesumfe tuenirdeuantsoi	-----|--⌫|----|-----|--|
fetiluost reroi	--|-|----⌫-|--|
fe reem poezuozuolente z	--⌫-|-|---|--|-------⌫|
tot sicomme il uo us uienta gre	--|-|----|-|--⌫-|----||--|
d o nc s escri ent ahauteuoiz	-⌫-⌫-||-----⌫--||----|---|
crucef iezsoiten	------⌫--|---|-|
uoul ezq ueie	----⌫-|-⌫-|-|
le crucefi	-|------|
c estuostre roi que ueez	|--|-----|--|--|---|
par foi font i l	--|--|---|-⌫|
nulro inauons	--|--⌫||----|
seces airede romme non	-|---⌫---|-|----|--|
cestu iuoulonsq uencroizsoitmis	-----⌫|------|-⌫|-|----|---|--|
aufilz auroideparadis	-|---|-|--|-|------|
ledrap p orpri nlionttolu	-|---|-⌫-----⌫|-|--|---|
dras lont reuestu	---||--|------|
seigneursfontilfust	--------|---|-|---|
oupre ndron s	-|---⌫-----⌫|
dont nouslaseuecr oi z f ero n s	---|---|-|---|--⌫--⌫|-⌫---⌫-⌫|
i a adroite	-⌫||-----|
eureniert mesfeite	---||---|--|----|
orsoitcel e uiezpl anc h e trete	-|---|---⌫|---|--⌫---⌫-⌫|----|
de celru isselquela	-|--|--⌫----|--|-|
qu emoult par aq ue le nlimist	--⌫|----|--||-⌫-|--⌫|||---|
deltou t entout leho nnissons	--|---⌫|-|---|-|--⌫-------|
d equanque fereli p oon s	-⌫|------|---|-|-⌫---⌫|
le f ust font treredelbouier	-|-⌫--|---|----|--|-----|
yyparzenfontaunacier	-|---|-|---||-|----|
sile fon t en	-|-|---⌫|-|
s oncheuillier	-⌫-|---------|
ainzn i mand erent bon ouurier	---|||----⌫----|--|------|
isistsaintfus tdont ieuous di s	----|----|---⌫|---|-|---|--⌫|
aport ez f udeparadis	-----⌫-|-⌫|-|------|
un sfilza dan	--⌫|---|-⌫--|
lenap orta	|-|--⌫---|
etunsa int angreli bailla	-|-|--⌫--|----|-|-----|
qui o u sa flambo ia nt	--|-⌫|-|------⌫--⌫-|
deparadisgarde	-|------|----|
delpoumier fu	--|------|-|
oucrut lapom me	-|---|-|---⌫-|
amortlepr emi erhomme	|---|-|--⌫---⌫-|----|
le fustcypresapelion	-|---|-----|------|
quepresdi l ec letroua l on	--|---||-⌫-⌫-|-|----|-⌫-|
rois s alemon	---|-⌫-----|
trencherlefist	-------|-|---|
quantle temple	----|-|-----|
da medi e ufist	--⌫----⌫-⌫|---|
mescharpe ntiernepot	--|------⌫----|-|--|
quiainzle pe u staliuer	--|---|-|--⌫-⌫-|-----|
