formCi comence liseconz	---|-|------|-|-----|
che uauchieeporlepreu	---⌫-------|--|-|---|
emp ire doiuentauoirrestitucion en terine au si	---⌫--|------|----|----------|--⌫-----|--⌫-|
comlesme neursde.	--|--|--⌫----|-||
Decem etc esteloit el quas ualeriane stoitun	-|-|-⌫-|-⌫---|--|-⌫-|---|-------|-⌫----|-|
hautbaron ilestoit	---|----|-|-----|
horsde sonpaïs e nunecheuauchieeuneritacheli	---|-|--|----|-⌫|--|----------|-|-------|-|
Ildeuoitdemanderlaposse ssion	-|-----|-------|-|-----⌫----|
deceu sbiensde denz.	-|---⌫|----|--⌫---||
Ilnelademandaau ant	-|-|-|------|--⌫--|
Sono ir uo loitauoirrestitucion	--|-⌫-|--⌫---|----|----------|
au sicondeuoit auoir lemort	--⌫-|--|-----|----|-|---|
q ueletensquilesto it enlacheualerie ne	-⌫-|-|---|-|-|----⌫-|-|-|---------|-|
lifu st conté.	-|--⌫-|-----||
Fudema ndéàl	-|----⌫---|-||
empereor seil la deuoit	-------|-|-|-|-----|
li empereres r espon t que seualeri an	-|--------|-⌫-----⌫|--|-|------⌫-|
mourutenlach eu alerie puisque	-----|-|-|--⌫--⌫-----|---|--|
letensenqui il deuo itauoir d ema ndé la	-|---|-|--|-|----⌫-|----|-⌫---⌫---|-|
possessiondeces bienssis	---------|-|--|----|--|
oi rspoura	--⌫-|----|
auoirrestituciondedenz	----|----------|-----|
Liempereres	-|--------|
Al ixandredit Se aucunedeschosesdeceusquisont	--⌫------|--|-|-----|--|-----|-|---|--|---|
hors de leurpaïs	---|-|---|----|
pou r le comu ne l	---⌫|-|----⌫--⌫|
preudelemp ire	---|-||---⌫--|
estper duepar	--|---⌫--|--|
teneure que	------|--|
a utre ait fete aucu ntensouau cun	-⌫---|--|---|----⌫|---|-|--⌫--|
estde l iurédaucuneacciondon tili	--|--⌫-⌫----||-----|-----|---⌫|-||
estoitt enuil aura restitu cion en terin e parla	-----|-⌫--|-|---|-------⌫---|--⌫-----⌫|--|-|
ge neraliuridiccion dedenzunan qu ant ilau raaisede	--⌫----|----------|-----|-|-|--⌫--|-|--⌫-|---|-|
po urchacier la.	--⌫--------|-||
Cist mei me sempe rere s ditCequeaucun atenudes	---|---⌫--⌫|----⌫----⌫|--|-|--|----||---|--|
chosesàcelui q uiest oit	-----|-|----|-⌫-|---⌫--|
encheuale rie ouentens quil	-|-------⌫--|-|-|---|-|-|
estoitfors desonpai ̈setpour a c hoison	-----|---|-|--|---⌫-|-|---|-⌫-⌫-----|
de celeteneu reagaagnié lasegno rie decel echose	-|---|-----⌫-||-------|-|-----⌫--|-|---⌫|----|
puisque celuis era retorn é de sacheualer ieil	---|--|----|-⌫--|------⌫-|-|-|--------⌫-|-|
pour adem anderrestitucionenterine dede nzuna nqu	----⌫|---⌫----|----------|-------|----⌫-|-|-⌫|-|
aisedupourchacier	---|-|----------|
quilpui ssedemandercele cho secome	-|-|---⌫--|-------|---|---⌫-|---|
Ne l at eneure que l	-|-⌫|-⌫-----|--||
autreafete	----||---|
quanti lestoitfors	----|-⌫|-----|---|
neli n uis em esoutre	-|-|-⌫---⌫|-⌫-|----|
cel an nedoitp erdre	--|-|-|---|-⌫----|
aurag aa ngnieepourt eneure .	---|-⌫--⌫-----|---|-⌫-----||
Liemperer esGor dians	-|-------⌫-|---⌫----|
uniug eTu doizbien sauoir quee insi	-|---⌫|-|---|---|-----|--|-⌫---|
doizferecontreceusquisontforsd eleu r	---|---|-----|---|--|---|---|-⌫|---⌫|
païs po rle preudelempire queseaucun	----|--⌫|-|---|-||-----|--|-|----|
leurdemandeeti l n ont quilesdesfende	---|------|-|-⌫||--|--|--|-------|
ledemandeordo itestre mise n sais i ned eleurs bi ens	-|--------|--⌫-|----|--|-⌫|----⌫-⌫-|-⌫|----|--⌫--|
mes nedoiuentestre uendui usquesqi lsoient retorné	--|-|------|----|----|-⌫-----||-⌫|-----|-------|
Cist meimes emp ereresditL a t eneurede .	---|-----|---⌫-----|--|-⌫|-⌫-----|-||
anzqui aucunfet	--|--|----|--|
delachoseaut ruiquantil l	-|-|----|---⌫--|----|-||
aache teedel procureo rde la borsse	|----⌫--|--|--------⌫|-|-|-----|
lempereo r ia soit ceque	|-------⌫|-|---|-|--|
nuiseàaut res n e	----|-|---⌫--|-⌫|
pe utnui reàceusquiestoient fors	--⌫-|---⌫-|-|---|--|-------|---|
pourlepre u delempirene	---|-|---⌫|-||-----|-|
autr esquis ontdaag eq uiparaucune	----⌫-|--|-⌫--||---⌫|-⌫-|--|-----|
raisonpueen tpourchacie rre stitucion .	-----|-----⌫|----------⌫|--⌫--------||
Tuestoiesfors	-|------|---|
d et onpaïs	-⌫|-⌫-|----|
e n c h eualerieauoiesengagiee s tes tene ures.	-⌫|-⌫-⌫-------|-----|--------⌫|--|----⌫---||
Leso irsde ton	--|-⌫--|-|--|
crea ncieruendi rent	----⌫----|-----⌫---|
ces teneu r est u demandas coms eil làlempereoret	--|-----⌫-⌫-|-⌫|-------|----⌫---⌫|-||-------|-|
il r espontuat anauiugede la	-|-⌫-----|-||-|-|---|-|-|
terreetdeman desrestituci on enterinne etquant lauente	----|-|-----⌫--|---------⌫-|--------|-|----|-|----|
sera rapeleetu r eceuraste s	---|------|-|-⌫------|--⌫|
teneur es et	------⌫-|-|
tu paieras	-|------|
la detequetu	-|---|--|-|
d e uo iesoule	-⌫-⌫--⌫--|-|-|
prispourqui est oient uendue s	---|---|--|---⌫----|------⌫|
s e ilestmeinsque lede t or.	-⌫|-|--|----|--|-|--⌫-⌫-||
Ton perefistaucunmarchié où ilfuengi ngnie ́ .	--|---|---|----|-------|--|-|-|----⌫-----⌫||
A prés samort tu uouloisrapelercequi lauoit	-⌫----|-|---|-|------|------|-|-|-⌫|----|
fet pour ce que tu estoiescheu alier .	--|----⌫-|--|-|------|----⌫----||
empereresquele filzporacho iso ndesa	--------|--|-|---|--|----⌫---⌫|-|-|
cheualeri e ne doitrapel er ce	---------⌫|-|---|-----⌫-|-|
queli peres aura fet	--|-|----|---|--|
et meimementquantliperesn en fistn ule	-|--------|----|-|----||-|---|-⌫--|
querel een	------⌫|-|
LiempereresIu stin iansdit Nos establissonsque	-|--------|--⌫----⌫---|--|--|-----------|--|
ceustensenquicesquisontforsdeleur	---|---|-|--|--|--|---|---|-|---|
païs sont enb esongné	----|---|---⌫-------|
porlempireleurdoient	--||-----|---|-----|
seulementaidierà ce	--------|-----|-|-|
q ueq uant ildemanderont	-⌫-|-⌫---|-|----------|
leurchose que autretientcel	---|----|--|----|----|--|
nesepu issedesfe ndrep ourraisonde sa	-|-|--⌫---|-----⌫---|-⌫--|-----|-|-|
teneure età ce quil	------|-|-|-|-|-|
puissentpourchacie r re st itucione nterinne.	-------|----------⌫|--⌫--⌫------|-⌫-------||
Mes ceu s quinesont e nlabesongne de l	--|---⌫|--|-|---|-⌫|-|-------|-||
empireouilseiornenten leur	-----|-|-|--------|-|---|
o s t ie xne	-⌫-⌫-⌫--⌫|-|
leur u audront riens àceus preuil ieges	---|-⌫------|----|-|---|------⌫----|
Ciparol edesfemesauscheual iersqiontc eleraison	-|-----⌫|--|----|--|------⌫---|-|--|-⌫--|-----|
s eigneurs.	-⌫-------||
Cist titr epar oledes	---|----⌫|---⌫--|--|
femmesa s cheu a liers	-----|-⌫|----⌫-⌫----|
e tàceusquisont	-⌫|-|---|--|---|
forsdeleu rspaïspourbeso ngn es de l	---|-|---⌫-|----|---|----⌫---⌫-|-||
empirecar elesontrestituciona ucunef oiz .	-----|--|---|--|----------|-⌫----|-⌫--||
D eceditliempe rere sAlix andresC eestc hose	-⌫|-|--|-|----⌫----⌫|----⌫-----|-⌫|--|-⌫---|
coneuequ el esfemmes as cheualiers quiuont auec	-----|--⌫|-⌫-|-----|-|---------|--|---|---|
eu sfo r squantilso ntencheualerie	--⌫|--⌫-⌫|----|-|--⌫-|-|---------|
doiu entauoirrestitucion ausicome lescheu ali e rs meimes.	----⌫--|----|----------|---|---|--|----⌫---⌫-⌫-|-----||
Liemperere sDiocliciansdit au iug ede l a	-|--------⌫|----------|--|-|---⌫|-|-⌫|
prouince L ateneur e	-------|-⌫|------⌫|
de lonctens queaucun afete	-|---|---|--|----||---|
dela ch os e àcelefe mme	-|-|--⌫--⌫|-|---|--⌫--|
quia este ́auecson	--||----⌫|---|--|
baronfors dementiersqu ilentendoitàsa	----|---|---------|-|-|--------|-|-|
cheualeriene l i	---------|-|-⌫|
doitnuire mes	---|----|--|
pourceq u eaucunesfoizt ieusaleessefo ntpa r	-----|-⌫-⌫|------|---|-⌫---|----|-|--⌫-|--⌫|
f e int iseet parbar a tne nedoiuentn uireas	-⌫-⌫---⌫--|-|--|---⌫-⌫|-|-|------|-⌫---|-|
autres nosiui om qu ese	-----|--|---⌫-|--⌫|-|
telfemmemostre quelameson quiest uen d ue en	--|----|-----|--|-|----|--|--|---⌫-⌫-|-|
saforennet éestseue ele	-|--------⌫-|--|---|--|
tendrale prisp ourqui elefuuend ue	-----|-|---|-⌫--|--|--|-|----⌫-|
etsire couerrasameson .	-|-|--⌫------|-|----||
lot en sdela restitucion.	-|-⌫--⌫|-|-|----------||
Cist titreparo le	---|----|----⌫-|
deltensdelares titucion desme neurs de .	--|---|-|-|---⌫-------|--|--⌫----|-||
anzet des gregnorsetdes autr e spersones	--|-|--|-------|-|--|----⌫-⌫|-------|
q uipue entau oir resti tucionetdel e ursoirs.	-⌫-|---⌫--|--⌫--|-----⌫-----|-|-|-⌫-⌫--|---||
m e t laprumiereloid e cest titretelquasTu	-⌫-⌫|-|-------|--|-⌫|---|----|--|---|-|
e stoi es meneur d e .	-⌫----⌫-|-----|-⌫||
anzfusde ceuz en aucunmarch ie ́	--|--|--⌫---|-|----|-----⌫--⌫|
quetufe i s	--|-|--⌫-⌫|
en celaa ge	-|--|--⌫-|
auan tquepassasses	----⌫|--|--------|
celaage fus grantpieceen	--|---|--|----|----|-|
cheu alerie forsdel païsà	----⌫-----|---|--|----|-|
ton retoruo uloiesa uo i r rest itucion.	--|----|--⌫-----|-⌫--⌫-⌫|----⌫------||
Ditliem pereres que	--|-|--⌫------|--|
tup uezdemand er rest ituciontout lete ns	-|-⌫--|------⌫-|----⌫------|---|-|--⌫-|
d elache ualerie	-⌫|-|---⌫------|
carle tensqui estos troiéa ̀pourchacierrestitucionpuis	--|-|---|--|--|--⌫-----|-⌫|----------|----------|---|
an zne comenceà corre forsapr ésque len	--⌫|-|------|-|----|---|---⌫--|--||-|
estretor nédesach eua lerie	--|-----⌫--|-|-|--⌫---⌫----|
Tonpere quantil	--|---|----|-|
estoitmeneurde	-----|-----|-|
anzfistaucunsmarchi ez oùilauoitesté	--|---|-----|------⌫-|--|-|----|----|
engingni e z auantque i ldemand astrestituciondedenz	--------⌫-⌫|----|--|-⌫|------⌫--|----------|-----|
a pre ́sentens qu ilpouoit auoir restitucionil	-⌫---⌫-|-|---|-|-|-----|----|----------|-|
mou ruttu fu ssisoi rs	---⌫--|-|--⌫|--|--⌫-|
etende mentier s	-|----⌫-------⌫|
quetuest oies	--|-|---⌫---|
tens quepouoies auoirre stitucion	---|--|------|----|--⌫--------|
par lapersone	--|-|------|
deu mo rtt u	--|--⌫-|-⌫|
entendi sàcheualerie	-------⌫|-|---------|
D itli emperere s que l ei uge t esecorra	-⌫-|-|--------⌫|--|-⌫|-⌫--|-⌫|------|
parrestitucionquele	--|----------|--|-|
tensquetuestoiesencheualerie	---|--|-|------|-|---------|
netesera co nté .	-|-|---|--⌫---||
Aucu nauoituendu e tachoseet	----⌫|----|-----⌫|-|----|-|
celui qui cuidoitqu	----|--|------|-|
elefustde luendeori ltint.	--|---|--⌫|------|-⌫|---||
anzetsienf ufe ts irespar lachat	--|-|-|-|-⌫|--⌫|-⌫---|--||----|
et parla tene ure.	-|--|-|----⌫--||
Tuesto iesdede nzlete nsquetupo uoies	-|----⌫--|----⌫-|-|--⌫-|--|-|--⌫----|
dem an d er restitu cionetcomenças	---⌫--⌫-⌫-|-------⌫---|-|--------|
àalerfors de ton	-|---|---|-|--|
païs enc heua lerie.	----|-|-⌫----⌫----||
Cert es ditli	----⌫-|--|-|
empereres queia s oitce que	--------|--|-|-⌫--|-|--|
l acheteor detachoseeut complie	|-------|-|-|----|--|------|
s ateneureauantdeta cheualeri e lebenef ice de	-⌫|------|----|-|-|---------⌫|-|-----⌫--|-|
secontinueou l a	-|-------|-|-⌫|
cheual eriene suefrequetuaiesdoumagede	------⌫---|-|-----|--|-|---|------|-|
Tua uoi es.	-|-⌫---⌫-||
f rerescheualiersquiestoientmeneu rs	-⌫----|---------|--|-------|-----⌫-|
anzilauoient fezaucuns	--|-|------|--|-----|
marchiezdont	-------|---|
leu rau e noità	---⌫|--⌫-⌫---|-|
d em anderrestit uc ion.	-⌫--⌫----|------⌫--⌫--||
i lretornassentilmou rurentenleur	-⌫|-----------|-|---⌫-----|-|---|
cheualerieet	---------|-|
leureritachet escheï.	---|-------||------||
Di s tliempereres	--⌫-⌫|-|--------|
qu e tupuezde mander	--⌫|-|---|--⌫-----|
restitucionparleu r	----------|--|---⌫|
person escarlet ens	------⌫-|--|-|-⌫--|
q uilauoient àdemander resti tucionne	-⌫|-|------|-|-------|-----⌫-----|-|
leurcorraitt antcom il	---|------|-⌫--|--|-|
estoientfors p ourleurcheualeriemes	-------|---|-⌫--|---|---------|--|
toutlenuoierentàleuroir.	---||---------|-|---|--||
Li empereresdit Cequi	-|--------|--|-|--|
e stestabliesloi s desrestitucionsenteri nesco nu ient que	-⌫-|------|-|---⌫|--|-----------|------⌫--|--⌫--⌫---|--|
soitgardé et se auc unapourcha cié p a rdon d	---|-----|-|-|---⌫-||-------⌫---|-⌫-⌫---||
aagepar nostrebenefic edésleiorqui l	---|--|-----|-------⌫|---|-|--|-|-⌫|
auramost r é	---|----⌫-⌫-|
par deuantsoniugeno stre	--|-----|--|---|--⌫---|
induli an ceetlenli auraostr o ieeamis nistracion	------⌫--⌫-|-||-|-|---|----⌫-⌫--|----⌫---------|
deseschoses	-|--|-----|
lete ns quie stestablipar d roitàcomenci er et	-|--⌫-|--|-⌫-|------|--|-⌫---|-|-------⌫-|-|
a ̀f en irlesca us e sdel arestit u cionparsi	-⌫|-⌫--⌫-|--|--⌫--⌫-⌫|-|-⌫|------⌫-⌫---|--|-|
quetantcomil	--|---|--|-|
se rontm eneurde	--⌫---|-⌫----|-|
anz decequilauront fet	--|-|-|-|-|-----|--|
auantquilpou rc hacentpard ondaagepourront	----|-|-|---⌫--⌫-----|----⌫-||---|-------|
auoirrestit ucion enterinne .	----|------⌫----|--------||
Ets emeneura leritachedau tre	-|-⌫|-----|||-------||--⌫--|
l isoitd esfenduquil	-⌫|---|-⌫------|-|-|
r estitucionpuisqu	-⌫---------|---|-|
il seradaa ge de denzle tens	-|---||--⌫-|--⌫---|-|---|
oùceestostroié.	--|-|--|-------||
M esse le meneuralesc heoiteaume neurde	-⌫-|-|-|-----|||---⌫-----|-|--⌫---|-|
tan tcompartien t à cequi l ap ar	---⌫|--|-------⌫|-|-|-|-⌫||-⌫-|
laper sonedelgr egnor	-|---⌫---|--|--⌫----|
ilaurat a n tde	-|---|-⌫-⌫-⌫|-|
tensà come ncer età fenir lescauses	---|-|----⌫---|-|-|----|--|-----|
delarestituci onquan qen	-|-|---------⌫-|---||-|
estoitremé sau	-----|-----⌫|-|
mortqui iles toiroùqueil	---|--|-|--⌫|--|--|--|-|
alapos ses s i on	|-|---⌫---⌫-⌫-⌫-|
d esbiens .	-⌫-|----||
M esquantl egregnoraleritacheaumenorse	-⌫-|----|-⌫|------|||-------|-|----|-|
il asonheritageparle droitde	-||--|-------|--|-|----|-|
cité ou partestament	----|-|--|--------|
ou sanztestamen t let ens d edeman de rrestituc ionlicome ncera	-|---|--------⌫|-|-⌫--|-⌫|-----⌫--⌫|--------⌫--|-|----⌫----|
àcorresitostcomilaura p ris	-|----|-|---|--|-|---|-⌫--|
leritagem ess eleri tacheli eschietparle	|------|-⌫-|-⌫||---⌫----|-|------|--|-|
dro it dupreuo sts i	---⌫-|-|-----⌫-|-⌫|
i laurareceula	-⌫|---|----|-|
possession des biensliseracontéletensà	---------|--|----|-|---|-----|-|---|-|
comencier e t à	--------|-⌫|-|
fenirlac au se d el ar estit ucio n	----|-|-⌫--⌫-|-⌫|-⌫|-⌫-----⌫----⌫|
tout entier	---|-----|
sanznulmenui sem ent.	---|--|-----⌫---⌫--||
Cistmeimese m p erere s ditLes tens	---|-----|-⌫-⌫-⌫-----⌫|--|--|---|
estab liza ̀ donerrestitucionenterinneso ientbiengardé.	-----⌫--|-⌫|----|----------|--------|--⌫---|---|-----||
Se celiquidemande	-|---|--|------|
larestituciondemandeaucun delaiementse	-|----------|------|----|---------|-|
celdelaiementpuetestrecontenu	--|---------|---|----|------|
de d enzl etens de la res t itucionildo it	--⌫-⌫--|-⌫|---|-|-|---⌫-⌫------|-|--⌫-|
est re ostroiéàcuiqueledemant mes	---⌫-|-------|-|--|--|-|-----|--|
se ildemand eteldeloiement quin epuiseestreco mpris	-|-|------⌫|--|---------|--|-⌫|----|----|--⌫----|
dedenzletensd ela	-----|-|---|-⌫|-|
re stituc ion –caril	--⌫------⌫--||--|-|
demandeespoir l e	------|-----|-⌫|
d el aiement uersl a fi ndeu te ns	-⌫--⌫------|---|-⌫|--⌫|--|--⌫-|
delarestitu cionetdoitp asserou treceltens	-|-|-------⌫---|-|---|-⌫----|--⌫--|--|---|
–ledelai ement ne doit	|-|-----⌫----|-|---|
estreostr o iéaudemandee ur carile stoitensauole n té	----|----⌫-⌫--|-|--------⌫-|--|-|-⌫----|-|-|----⌫-⌫--|
de mo uo irsa	-|--⌫--⌫-|-|
querel el orsquantledeloiement	------⌫|-⌫--|----|-|---------|
quiluoudroitdemanderpourro itestr ee nclos ded enz	-|-|-------|-------|------⌫-|----⌫|-⌫----|---⌫--|
lete n sdel ar estitucion	-|--⌫-⌫|-|-⌫|-⌫---------|
Messecel u icontrequi	--|-|---⌫-⌫|-----|--|
lenpourchacerestitucion deman dedil acion	|-|--------|----------|-----⌫-|---⌫----|
pour soidesfe ndrenosuoulonsqu	---|--|-----⌫---|--|------|-|
i lisoit ost r oiés anzenpee schementdeutens	|-|---|---⌫-⌫---|-⌫--|-----⌫-------|--|---|
estoit mieen son	-----|--|-|--|
pouoir quant	-----|----|
lemetoit emplet.	-|-----|-|---||
Donqueselelidoitestre os troieeiasoit ce	------|--|-|---|----|--⌫-----|-|---|-|
qu el e pa sse	-|--⌫|--⌫--|
l etens de	-⌫|---|-|
larestitucion etse cil	-|----------|-|-|--|
quidesfe ntpourc hacele delo iementcilqui	--|-----⌫-|-----⌫---|-|----⌫-----|--|--|
deman deem porr aus eràreq uerre	-----⌫-|-|----⌫|--⌫-|-|---⌫----|
sesprueues.	--|------||
Liempere re sIu stiniansditNos uolons	-|------⌫--⌫|--⌫-------|--|--|-----|
os terissisuti litédelte n s	--⌫--|---|----⌫----|--|--⌫-⌫|
de donerresti tucio nquiestoit	-|----|-----⌫-----⌫|--|-----|
un an anci a nementque	-|-|----⌫-⌫-----|--|
l encontoit q uantl en auoitaüsé dedema nder	|-|------|-⌫---||-|----|-----|-|----⌫---|
restitucion .	----------||
Dontn osestablison	---|-⌫-|---------|
en lauielle	-|-|-----|
Rome eten cestecitéet	---|-|-|----|----|-|
enYtalieetenle sautr es ter resquepou r	-|-----|-|-|--⌫|----⌫-|---⌫--|--|---⌫|
cel anquiesto itconté àdemander restitucionsoie ntdonez	--|-|--|----⌫-|-----|-|-------|----------|----⌫-|----|
anz conti nuiz de l iordonts o l oitco rr el	--|-----⌫---|--⌫|--|---|-⌫-⌫-⌫--|--⌫--⌫||
E tcesttens soitcomunel en	-⌫|---|---|---|------|-|
touzle uscar	---|--⌫-|--|
nos n euoulon squenuledisferanceso it ence	--|-⌫|------⌫|--|---|---------|--⌫-|-|-|
pourl ad iuers sitédes leu s.	---|-⌫|-⌫-----⌫----|--|---⌫||
Et ceauraleu non	-|-|---|--|--|
seulementenlares titucio n	--------|-|-|---⌫-------⌫|
desmeneurs de	--|------|-|
anz à quicelancoumenc eroi t	--|-|--|--|-|-------⌫----⌫|
à correausitost	-|----|-------|
comleu int esisiemeanat ermoitmesencor een	--|-|-⌫---⌫-------|-|--⌫-----|--|-----⌫|-|
l arestitucion des g regneursde .	-⌫|----------|--|-⌫-------|-||
anz quepour l anqu isou loites treostroié	--|--|---||-|--⌫|---⌫---|--⌫--|-------|
s o ientdo nez .	-⌫-⌫---|--⌫--||
anzcon tinuizà comencie r	--|---⌫-----|-|--------⌫|
et à fenirl aquere led e	-|-|----|-⌫|-----⌫-|-⌫|
la restitu cion.	-|-------⌫---||
Etaus icon cesttens	-|---⌫|--|---|---|
ne cortas meneurs en	-|---|-|------|-|
m eneur a ageausinecorraa s gregn eurs	-⌫----|-⌫--|---|-|----|-⌫|-----⌫---|
let ensqu ils ontforsdeleurpaïs	-|-⌫--|-|-|-⌫--|---|-|---|----|
pourle preude	---|-|---|-|
lempireoù	|-----|--|
il sonten pe eschiez pour autresloiausessoinesq uisont	-|---|--⌫--⌫------|---|-----|-----|-------|-⌫-|---|
c o ntéesancianesloi s.	-⌫-⌫---|-|-------|---⌫||
Toutc eltensen soittret	---|-⌫-|---|-|---|---|
quen e soitdes senb lable lares titucionde sg regneurs etd es	--|-⌫|---|---⌫----⌫----|-|---⌫-------|--⌫|-⌫-------|-|-⌫-|
Cid i t par qeurai s on	-|-⌫-⌫|--|--|---⌫-⌫-|
endonerestitucio nàceusqio unt	-|---|----------⌫|-|---|-|-⌫--|
Cis ttitreparoledes cause s	---⌫|----|-----|--|-----⌫|
pourlesquel es	---|-------⌫-|
lesgre gneurs	--|---⌫-----|
anzp ueent auoirrestitucion.	--|-⌫----|----|----------||
Etdecerespont lie mpereresa ̀	-|-|-|------|-|-⌫-------|-⌫|
un quilidemandaS epo rce que tu fus	-|--|-|------|-⌫|--⌫--|--|-|--|
enle gacionpou rm oi fus condanpné sanzdesfendeor en la	-|--⌫-----|---⌫|-⌫-|--|---------|---|---------|-|-|
qu erelequetu au oiesàdr oi tde mande srestorementde	--⌫----|--|-|--⌫---|-|--⌫--⌫|--⌫-----⌫|----------|-|
iuiseq uepuissesuser d erechiefdetes desfenssionscarce us	----|-⌫-|------|---|-⌫-------|-|--|-----------|--|--⌫-|
q uifo nt osfice	-⌫-|--⌫-|-----|
delega cio n celpreuil ieg edoiuent auoir	-|----⌫---⌫|--|------⌫---⌫|------|----|
ceus qui sonthorsde l e ur païs	---|--|---|---|-|-⌫-⌫-|----|
pourlepreu delem pire.	---|-|---|-||--⌫---||
Unhuem es toitmis	-|---|--⌫---|--|
e m prisonparleb aill i	-⌫|-----|--|-|-⌫----⌫|
dela terr eilau oitplet par deuant	-|-|----⌫|-|--⌫--|---|--|-----|
uni ugeil ne	-|-⌫--|-|-|
potue niràson	--|--⌫--|-|--|
iorsifucomdampné.	--|-|-|---------||
Dit liemperere que ilaur a restorementdesa	--|-|-------|--|-|---⌫|----------|-|-|
Liemper eres Dioc lician s di tEs	-|-----⌫---|----⌫------⌫|--⌫|-|
m ar chiezquisont	-⌫--⌫----|--|---|
non seulement asmeneurs mesencore as gregneurs s ec ou rentles	--|--------|-|------|--|-----|-|--------|-⌫--⌫--⌫---|--|
dro izquant ilia	---⌫-|----|-|||
bon erai son.	---⌫|---⌫--||
Cistmeimesempereres ditLecomundela	---|-----|--------|--|-|----|-|-|
cité d eRomeusedeudroit	----|-⌫|---|--|--|----|
desmeno rsetpour c e ele	--|----⌫-|-|---|-⌫|--|
puet auoir r e stitucion ausicomil	---|----|-⌫-⌫--------|---|--|-|
Lesanemisdelempirepristrentm on pe re	--|-----|-||-----|--------|-⌫-|--⌫-|
e tmameremoururen t enchetiueté.	-⌫|-|---|--------⌫|-|---------||
delapr is on uouloie auoir	-|-|--⌫--⌫-|------|----|
ler itache d e m onpere	|--⌫-----|-⌫|-⌫-|---|
Lenme disoitencontrequemonpereet	|-|-|-----|-------|--|--|---|-|
ma mere es toien t mortenseru itude et	-|---|--⌫-----⌫|---|-|----⌫----|-|
nepou oient	-|---⌫----|
au oirnu l oir.	--⌫--|--⌫|--||
Ie demandai conseillàlempereoretilresp o ntque	-|-------|-------|-||-------|-|-|----⌫-⌫-|--|
lebenefice	-|-------|
delaloi Cornaille	-|-|--|--------|
mef et gaangnierl	-|-⌫-|--------||
eritache quelal oiCor neill e	-------|--|-|-⌫-|---⌫-----⌫|
feintquemonp eree tma	----|--|--|-⌫--|-⌫|-|
m erefurentmorzl	-⌫--|-----|---||
en q u ilfurent pris et pou r	-|-⌫|-|-----|---|-|---⌫|
cegepuisdemander l eurheri t ac he par teleaccionco n	-|-|---|-------|-⌫--|----⌫-⌫--⌫-|--|---|-----|--⌫|
fontceusqui ont pour chaciérestitucion–	---|---|--|--|----⌫------|----------||
m eslexcepcionqui se lt	-⌫-||--------|--|--⌫-|
estre posee –seienedemantdedenz	----|----||-|-|-|-----|-----|
que ie sui retornéetieaiai se dudemander	--|-|--|-------|-|-|-|--⌫-|-|-------|
Cidit deceusq imetentfors	-|--|-|---|-⌫|-----|---|
deleur maince	-|---|---|-|
dont enlesuetplaidoier .	---|-|--|--|--------||
paroledeceus quiestrange ntlachoseq	-----|-|---|--|--------⌫-|-|----||
iltenoientdautruiq uant	-|-------||-----|-⌫---|
que celuiquilachose estlauelt	--|----|--|-|----|--|-|---|
demandere tile strangentlachose	-------|-⌫|-|-⌫--------|-|----|
pourtrauei llierledemandeoretencest	---|------⌫----|-|--------|-|-|---|
quasaleurestitu cion.	---||--|-------⌫---||
Li empereresDio clicians ditLa teneure	-|--------|---⌫-------|--|-|------|
queaucuna dautruichosedon eaccio nen	--|----|||-----|----|---⌫|-----⌫|-|
lach oseàla uersaire	-|--⌫--|-||-⌫-------|
qu ilachose est.	--⌫|-|----|--||
Donque s seaucunestrange l achosequil	------⌫|-|----|-------|-⌫|----|-|-|
ten oitpo ur muer le	---⌫--|--⌫-|---|-|
iuisede soienau trerestituc ionenteri n n eestostroieeà	----|-|--|-|--⌫--|--------⌫--|------⌫-⌫-⌫|--|-------|-|
celiqu i la	---|--⌫|-|
cho seest .	---⌫-|--||
Donquesfetliempereresà celui quil en demandoit	------|--|-|--------|-|----|--||-|--------|
conseillsecil quitenoit t a	-------|-|--|--|-----|-⌫|
ch osel a uendié	--⌫--|-⌫|------|
por cequetune	---⌫-|--|-|-|
la lipeussesdeman deretlabailla	-|-|------|-----⌫--|-|-|-----|
à la cheteort u	-||-⌫------|-⌫|
aur as pouoirdepl edierquel quetu uoldras	---⌫-|-----|-|--⌫----|---|--|-|------|
ouleu endeorou	-|-|-⌫-----|-|
lacheteor.	|-------||
d esarbitres	-⌫-|-------|
qirec ̧ oiuentm ise qe nfetseureaus	-|---⌫-⌫-----|-⌫--||-⌫|--|---|---|
Ciuientle titr ed esa rbistres	-|----|-|----⌫|-⌫-|-⌫-------|
car li em pereres u e ut	--|-|--⌫------|-⌫-⌫-|
traitierci aprés des iu gem enz etpource	-------|-|-----|--|--⌫---⌫--|-|-----|
quelesarbitress on t	--|--|-------|-⌫--⌫|
àsenblantdeiuge m ent pourcemet auantle tit re	-|-------|-|----⌫-⌫--|---|-|--|----|-|---⌫-|
des arbit res.	--|-----⌫--||
Lie mper eres Antonin s d it	-|-⌫----⌫---|-------⌫|-⌫-|
Len nedoitapelerdel a sentancedel	|-|-|---|-----|-|-⌫|-------|-||
arbitr e quies t e slit parconsentementd es p ar ti es	------⌫|--|--⌫|-⌫---|--|-----------|-⌫-|-⌫--⌫--⌫-|
caraccionn	--|-----||
en es t doneeconde chose	-|--⌫|----|--|-|----|
