O rentendéz	-⌫|--------|
Belissansala	--------||-|
clerefasonNot meil lor dammeennul le	----|----||-|----⌫--|----|-|---⌫-|
Orerenuaa umon stier	---|-|-|-⌫|---⌫----|
Amilesu in ta sonco mpaingnon	-----|-⌫--⌫||--|--⌫--------|
ueill an tletre uuesi l a m is araison	-----⌫--⌫|-|---⌫--|-|||-⌫-||-----|
Amisbiaxfrere etc onmentuoz	---|---|----|-|-⌫-----|--|
Am is respont	--⌫-|------|
se biennon	-|---|--|
Dexleweultde	--|-|----|-|
Amisbiausfrere	---|----|----|
c e di stlicuensuaillans	-⌫|--⌫-|-|----|-------|
Porriiézuozleuerne tant	--------|--|----|-|---|
Siuoz menr aiaumonstierbonneme n t	-|--|----⌫-|-|-------|-------⌫-⌫|
Siuozt enrai	-|--|-⌫----|
e nmesbrastenrement	-⌫|--|---|--------|
Ieuo zdoi moultamer par	-|--⌫|--|----|---|--|
Leuostrecorsmeïstezenpr esant	-|-----|---|-------|-|--⌫----|
Enlabataillede	-|-|-------|-|
H ardréletyra nt	-⌫-----|-|----⌫-|
Ce fupormoifairedeffa ndemen t	-|-|--|--|----|-----⌫------⌫|
La compaingni e se uamoultdepa r tant	-|----------⌫|-|-|----|----⌫-⌫---|
Car uostrecors uamoult affoibloian t	--|-----|---|-|----|-----------⌫|
G loriouzpuissant	-⌫------|-------|
Ser iens sauoieencestsie cle	-|-⌫---|-----|-|---|---⌫--|
Quiuoz poïst faire assoua igement	--|--|-----|----|------⌫------|
Segendeuoie	-||-|-----|
quanquesamoiapant	-------||--|----|
uendre engai gierouliurer	-----|-----⌫---|-|-----|
Nesmesd ouzf iz certezou	--|--|-⌫--|-⌫-|-----|-|
Bel issant	---⌫-----|
Sile feroiegeluozdiet	-|-|-----|--|--|-|-|
Amisl oï tmoultgranspitiés l	---||---⌫|----|----|------||
enprantL iauedoucue riusq u as	-|----||---|--|---⌫|----⌫|-|
iexlide scent	--|-|--⌫----|
Deuenloele	--|-|--|-|
Gloriouzpuissant	-------|-------|
il bie n oite tuoit	-|---⌫|--|-⌫|---|
halaig r es	------⌫-⌫-|
Amilessiuoit	-----|-|---|
A m iplorer	-⌫-⌫|-----|
Forment lenp o iseselprenta	------||-|-⌫-⌫--|--|----||
Bi axdouzcom pains por	--⌫-|---|---⌫----|--|
Deu n e te sfr aer	--|-⌫||-⌫---⌫--|
Neu o z faudraitant	-|-⌫-⌫|------|---|
com puis sed urer	--|----⌫-|-⌫---|
sauoi enu lleriensporpan serSonme	-----⌫|--⌫--|----|------⌫--||-|-|
deuoi ttrestoutdesheriter	-----⌫|-------|---------|
Maisquesa nté uoz poïssedonner	---|--|--⌫---|--|------|-----|
Tostl eferoiegel uoz disans	---|-⌫|-----|--|--|-|---|
Caraubesoingpuetlihomesprouuer	--|-|------|---|-|--|--------|
Quiestamisnequileweulta mer	--|--|---|-|--|-|----|-⌫--|
Ce d i st l ic uens	-|-⌫-⌫-|-⌫|-⌫---|
Am is quigentiz estetber	--⌫-|--|-----|--|-|--|
Seuo z os oiema parole con ter	-|--⌫|--⌫--|-|-----|---⌫--|
Etuo liiéz otroieret	-|--⌫-----|------|-|
Seuo z uoléz bienm epoéz	-|--⌫|-----|---|-⌫|----|
miencorstresbienmedecin ner	---|---|---|---|-------⌫--|
Et en maformepremiere	-|-|-|----|-------|
Gel uozdi sansdout ance	--|--|-|---|----⌫---|
A mil es al a	-⌫---⌫-||-⌫|
pa roleo ïe	--⌫---|-⌫--|
Quaucompa ingnon	-|-|-----⌫-----|
porrabienfair e aïe	----|---|----⌫|---|
Lors sagenoille et	---||--------|-|
Deusumelie	--||-----|
Et enaoure le	-|-|----|-|
Co mpai ns dist ilnel meceler	--⌫----⌫-|---|-|--|-|----|
Isnellementsoit l achose iehie	----------|---|-⌫|----|----|
Non feraisireuoznel	--|----|---|--|--|
feri ié zmie	----⌫---⌫|--|
Sel tenriiézespoir adesuerie	--|--------|-----||-------|
Etaoultraige etamoultgr antfolie	-||--------|-||----|--⌫--|----|
Nel u oz diroie portoutlorde	--|-⌫-|-----|--|---||-|-|
Mieusai nzie iest reencestemalad ie	----|--⌫-|-|----⌫-|-|----|-----⌫-|
Et alanguir etasouffri rhaschie	-||------|-||-------⌫|------|
Compainsd istilor ne m	-------|-⌫--|-|-|-||
améz u ozmie	----|-⌫-|--|
Ieuozconiurde	-|--|-----|-|
Qu isuscita	--⌫|------|
no ztouz souffri	--⌫|---|------|
lagranthaschie	-|----|------|
Quesachars fu e nzen la	--|-|----|-|-⌫-|-|-|
crois drescie	----|------|
Etautierz iorreuintde	-|-|----|--|-----|-|
Sico mmauéz	-|--⌫||----|
la uostr e	-|-----⌫|
f oipleu ie	-⌫-|----⌫-|
E tnozauonsgardéla com pa ingn ie	-⌫|--|----|-----|-|---⌫--⌫----⌫-|
San sb oise mentsansnulletricherie	---⌫|-⌫----⌫---|---|----|--------|
Me soitdeuoz laparole iehie	-|---|-|--|-|-----|----|
Par q uoi aié zet santée t	--|-⌫--|----⌫|-|-----|-⌫|
Se g endeu oi etouz	-||-|---⌫--⌫|---|
lesiorsde mauie	--|---|-|-|--|
Aler ro uuantmonpainparabe ïe s	---|--⌫----|--|---|--|---⌫---⌫|
Et d elaissier	-|-⌫--------|
toutemamanandieSiertlisantéz p orquise	----|-|-------||---|-|------|-⌫------|
auézconiure ́	----|-------⌫|
Ornel tenézamal ne a uilté	-|--|-----||--|-||-----|
Sirecompai ns et ie le uozdire ́	---|------⌫-|-|-|-|--|----⌫|
Maisie uo z pro ipor	---|-|--⌫|---⌫|--|
Deude m aies té	--|-|-⌫----⌫--|
l e faiteznemensaichiézmal	-⌫|-----|-||-|--------|--|
Anuit denuit quantil	----|-|---|----|-|
fuensere ́	-|------⌫|
Etiemefuicou chiéz enlitsou ef	-|-|-|--|---⌫-----|-|--|---⌫-|
unsangresquigi etagrant clarté	--|-----|--|--⌫--|----|------|
Que menuoia	--||-----|
I hesu sde maiesté	-⌫----⌫|-|-------|
Depluis orschose s otmoul tamoi	-|-----⌫--|-----⌫|-|----⌫||--|
Demandamo i etbienmaesprouué	------|--⌫|-|---|||--------|
Se a nulioruoldroieau oirsanté	-||--|--|-------|--⌫--|-----|
Miexuoldroiefiner	---|-------|----|
Lorsmedist ilquene fui sse	---|-|---|-|--|-|---⌫--|
Ne mes maiaissemi e	-||--⌫-------|--⌫|
Cedis tliangres	-|---⌫|-|-----|
Un petit mentendéz	-|----||--------|
Etiesifiz ainsne uolsmo tsonner	-|-|-|--|---|-|---|--⌫|-----|
Sir e i lmedist i enel uoz quier	---⌫|-⌫|-|---|-⌫|--|--|----|
Queuozdeïssee tuolsisse	--|--|------|-⌫|-------|
Se uozdouzfiuls quetant poézamer	-|--|---|----|--|---|----|---|
Gascelin sli ber	--------⌫|-|--|
Seuozp ormoilesu o léz	-|--|-⌫-|--|--|-⌫-⌫---|
Le sanc r eso iurededens	-|---|-⌫---⌫---|-----|
unbacincler	-|----|---|
Etlemie ncors de	-|-|---⌫|---|-|
celu i sancl auer	----⌫|---|-⌫---|
Adonc porr oiema sante ́ recouurer	----|----⌫--|-|-----⌫|--------|
Lic u ens len tentsiconmenceaplorer	-|-⌫-⌫--||--⌫---|-|-------||-----|
Ne sotquefairenepot un m otson ne r	-|--|--|----|-|--|-|-⌫-|---⌫--⌫|
Moult l iestd uretau cuer	----|-⌫|--|-⌫-|-|-|---|
Deses douzfiu l s q u e	-|--|---|---⌫-⌫|-⌫-⌫|
i l o tengendréz	-⌫|-⌫|---------|
C omlespo rrao cir ree tafoler	-⌫-|--|--⌫--|-⌫---⌫-|-⌫|-----|
Se gens lese uentnus	-|---|-|--⌫---|--|
nel porr oit tenserC onnel fe ïstet	--|----⌫--|-----||-|--|--⌫---|-|
a utre partseprenta	-⌫---|---|-|----||
Am i quei l	--⌫|--|-⌫|
pot tantamer	--|---|---|
Quelui meïsmez	--|--|-------|
enlairoit afole r	-|------|-----⌫|
riens nullenele p orro it ueer	----|----|-|-|-⌫----⌫-|---|
Quantsescompainspuetsant érec ouurer	----|--|-------|---|----⌫-|---⌫-----|
C estmo ultgra ntchosedomme mo r tres torer	|--|--⌫--|---⌫-|----||---|--⌫-⌫|---⌫----|
Etsiest maus	-|-|--|---|
des douzanfanstu e r	--|---|-----|--⌫-⌫|
Nus nen p orroitle	--||-|-⌫-----|-|
pechiépard on ne r	------|----⌫--⌫--⌫|
Dexdegloirequiselai s sa pener	--|-|-----|--|-|---⌫-⌫-|----|
Amil esquitout	----⌫-|--|---|
as asauuer	-||-----|
Cist homsi	---|--|-|
mis t son co rspormoi tanser	---⌫|--|--⌫-|--|--|-----|
Enlabatai l ledoutraïtor	-|-|-----⌫-⌫-|--|-------|
Quanti e li puisde m oi sante ́	----|-⌫|-|---|-|-⌫-|-----⌫|
Demesa nfansqueie uolzengendrer	-|--|-⌫----|--|-|---|--------|
Demoisontilporuoir	-|--|---|-|--|---|
lepuis conter L	-|---|-----||
ore soit bonne que	--|---|----|--|
Dexlesfis tfor mer	--|--|---⌫|---⌫--|
Quantmes com pains enpue tce recouurer	----|--|---⌫----|-|---⌫|-|--------|
Qu e homqui	--⌫|--|--|
uiu eneli porroi tdonner	---⌫|-|-|------⌫|-----|
Dexdegloireq ui	--|-|-----|-⌫-|
toutaa sa uuer	---|||--⌫---|
Ie nel lairoieporlesmembres	-|--|------|--|--|------|
N e p o rtou tl	-⌫|-⌫-⌫|---⌫||
o rcon meseu ̈ s tdonner	-⌫||-|-|---⌫-⌫-⌫|-----|
Qua mesdouz	-||--|---|
fiznailleleschie ́scoper	--||----|--|----⌫-|----|
Ami faireaïe	--|----|---|
Am isco mp ainspu etc eiestreuertéz	--⌫-|--⌫--⌫---|--⌫-|-⌫|-----|------|
Queuozam oi	--|--||-⌫-|
c i deuiséauéz	-⌫|------|----|
Demesdouzfizse r as res uigou réz	-|--|---|--|--⌫-⌫-|---⌫-----⌫---|
Qu ant uozseroiz do usancdeu ls douz laué z	--⌫--|--|-----|--⌫|---||--⌫-|---|-----⌫|
Liuostres dis n	-|------|--||
tre spassé z	---⌫-------⌫|
A milestrestouzaban donnéz	-⌫----|-------|----⌫------|
Hors d ela chamb ree nlasaleestentréz	---|-⌫|-|-----⌫-|-⌫|-|---|--|------|
Ceulsq uiifure ntena t restozgie téz	----|-⌫-||----⌫-|-||-⌫-----|---⌫---|
Seri a nsuaslés et	----⌫-⌫-|------|-|
ch eu a li e rsmen brézN	--⌫--⌫-⌫--⌫-⌫-|---⌫----||
iremesth omquide me re	|-----|-⌫-|--|-|--⌫-|
Leshuis fermasi lesabienbarréz	--|---|----|-|--||---|------|
L es chambrescercheenuirondet ozléz	-⌫-|-------|-----|------|-|-⌫-|---|
Queaucunshomnefustlaienzreméz	--|-----|--|-|---|-----|-----|
Quan t uoitquilest laienz b iene sseulézC	----⌫|---|-|-|--|-----|-⌫--|-⌫-------||
orporrafairetoutesse s	-|----|----|-----|--⌫|
uolentézS	--------||
espeeprent etunb acindore ́	----|----|-|-|-⌫---|----⌫|
Dedens lachambres	-----|-|------||
en e stmoult tostal éz	-|-⌫-|----|---|--⌫--|
Ou lianfant	-|-|-----|
gisoientle ́za l éz	-------|--⌫-||-⌫--|
Dormansl es tre uue b r as abrasacoléz	------|-⌫-|---⌫--|-⌫-⌫-||---|------|
Notdouzsi biaxdesci	|-|---|-|---|----|
M oul t douc ementlesauoitresg ardéz	-⌫---⌫|----⌫----|--|----|----⌫-----|
Telpao r aq uecheu ̈z estpasméz	--|---⌫||-⌫-|----⌫-|--|------|
Quantser edresc e sidist	----|-|-⌫------⌫|-|---|
comcuensmembréz	--|----|-------|
Cha itisque porrai faire	---⌫---|--|-----|----|
Amilesfuforment esp er duz Alaterree st en uers	-----|-|------|---⌫--⌫--||-|----|-⌫-|--⌫---|
pas mézcheüz	---⌫---|-----|
Libacinsc hi ete tli	-|-----|-⌫--⌫-|-⌫|-|
bransd ac iernus	----||--⌫--|--|
Quantse redrescedistcomhom perceüz	----|-|-------|---|--|--|-------|
Ahi distil	--|---|-|
c hai tis com	-⌫---⌫--|--|
Q uant tesanfans a ur azl es	-⌫---|--|-----|-⌫--⌫-|-⌫-|
chie ́s toluz	----⌫-|----|
Mai snemenchautqua n tcilie rtsecorrus	---⌫|-||-|----|---⌫-⌫|--|--⌫-|-------|
Qu iestde sgens engra ntuil te ́ten uz	--⌫|--|--⌫|---|-|---⌫-|---⌫--⌫|---⌫-|
Etconmemorsestilame nteüz	-|----|---|--|-|---⌫-----|
Maisoru e n raen	---|-|-⌫-⌫-⌫-|-|
Amilesunpetitsataria	-----|-|----||-----|
uersles anfanspas por	---|--|-----|--|--|
Dormant lestreuuemoultp a r	------|--|-----|----|-⌫-⌫|
lesr esgardaSespee lieue o cirrelesu ol dra	--|-⌫------||----|----|-⌫----|--|-⌫--⌫--|
Maisde ferirun	---|-|----|-|
petitse taria	----|-|----|
Li a inznésfre res del effrois	-|-⌫------|---⌫--|-||-----||
Que licuensmainne	--|-|----|-----|
qui enlachambreentra	--|-|-|------|----|
Lanfessetor ne	|----|-|---⌫-|
sonpererauisa S espeeuoit moult gr ant	--|---|-----||----|---|----|--⌫--|
Son perea pellesil	--|---|-⌫----|-||
enarraison na	-|--------⌫-|
Biaxsirepere sp or	---|---|----⌫|-⌫-|
Deu qu itout fo rma	--|--⌫|---|--⌫--|
Queuo léz faire	--|--⌫---|----|
Nelmeceléz uozia	--|-|-----|--|-|
Ainzmaisnus	---|---|--|
c hose nepensa	-⌫---|-|----|
fiuls oc irreuozuoilia	----|--⌫---|--|---|-|
Etle tienfrere quidele ́ztoies ta	-|-|---|----|--|----⌫-|--|--⌫-|
Carmesc om pains	--|--|-⌫--⌫----|
Amisq uim oult mama	---|-⌫-|-⌫---||--|
Dou s ancde uo z	--|-⌫--|-|--⌫|
l i sienscor sg aristra	-⌫|----|---⌫|-⌫------|
Que gie téz e std ou	--|---⌫---|-⌫-|-⌫-|
douzperesdistl a nfes	---|----|---||-⌫---|
err amm e nt	---⌫---⌫-⌫-|
Q ua ntuosco mpains	-⌫--⌫-|--|--⌫-----|
aur a gariss ement	---⌫|------⌫----|
nossansasorso ilauement	--|---||--|--⌫|-------|
Nozsommezuostre deuostre en genrement	--|-----|-----|-|-----|--⌫--------|
Faireen poéz d el toutauotalent	----|-|----|-⌫-|---||-|-----|
Orn oz copé z leschi ésisn ellemen t	-|-⌫-|-----⌫|--|---⌫--|---⌫-------⌫|
Dex de glo irenozauraenpres ent	--|-|---⌫--|--|---|-|----⌫--|
Enparadiseniro mmezchantant	-|------|-|---⌫---|-------|
Et proiero mmez	-|-------⌫---|
Ihesu cui t o utapent	----|--|-⌫-⌫-|----|
Que doupechié	--|--|------|
uozfacetensement	--|---|--------|
Amiuostrecompain gnon gent	--|-----|-------⌫---|---|
Mais nostremerelabele	---|-----|---|-|---|
Beli ss a nt	----⌫--⌫-⌫-|
Nozsa lue ́z por	--|--⌫---⌫-|--|
Deuomnipoten t	--|---------⌫|
Li cuensloït moul tgranspitiésl enprent	-|----||---|----⌫|----|------||-|----|
Quetouzpasmézal a t e rre sestent	--|---|------||-⌫|-⌫-⌫--||-----|
redres ce s ir eprinst	------⌫-|-⌫|-⌫------|
harde m ent	-----⌫-⌫--|
Ororroiz iamer ueillesbonne	-|-----|-|---⌫------|----|
Quetexnoïste z en toutuostreuiu ant	--|--||------⌫|-|---|-----|---⌫--|
Amilesuint uersl elites rant	-----|---|---|-⌫|--|--⌫---|
Hau celespeelifi uls l ecol estent	---⌫-||----|-|--⌫--|-⌫|--|-----|
Ores tmerueil les seli cuers	-|--⌫|-------⌫--|-|-|----|
n elim ent	-⌫|-|-⌫--|
Latestecopeliper es	-|----|---|-|---⌫-|
L esansreciutelcler b a cind	-⌫|---|-----|-|---|-⌫-⌫--||
argent Apo inechi eta t erre	-----||--⌫|-|---⌫-||-⌫---|
Quantotocis	----|-|---|
licuens son fil	-|----|--|--|
Et lisansfucou léz	-|-|---|-|---⌫---|
elbacin ch ie r	-|----|--⌫--⌫|
L atest ecouche	-⌫|----⌫|-----|
del ézlecolarrier	---⌫--|-|--|-----|
Puisuientalautre hauc ele	---|----|||----|----⌫|-|
brantdacier	----||----|
Lech ief l itranch etresparmilecoli er	-|--⌫--|-⌫|------⌫|---|----|-|----⌫-|
Le sancrec iut	-|---|---⌫--|
el clerbacind or	-|---|----||-|
la testearrie r	-|----|-----⌫|
anf ans cou uri	---⌫--|---⌫--|
d unrichetapischi er	|-|----|----|---⌫-|
Hors dela chambreistli	---|-|-|------|--|-|
cuenssan s ta r gier	----|---⌫|--⌫-⌫---|
Moultpar afaitlesh uisbien	----|--||---|--|-⌫--|---|
ue rroillier	--⌫--------|
Am ilesar rier	--⌫---|--⌫---|
Quiellit i ut malades	--|-|--|-⌫-|------|
Amil es u enus	----⌫-|-⌫---|
Qui iu tmalades	--|--⌫|------|
entre lesarsuo lus	----|--|--|--⌫--|
Le bacin tintpla in de	-|----|---|---⌫-|-|
sance t desus	---|-⌫|----|
Dousancsesfiulscuiilauoit	--|---|--|----|--|-|----|
descorset co pézpar	--|---|-|--⌫---|--|
Amisle uoitmoult	---|-|---|----|
enestesperdu z	-|--|-------⌫|
O rs edeme nteetdist	-⌫|-⌫|----⌫--|-|---|
Lastantma rfu z	--|---|--⌫|--⌫|
Quetu uenisenterre	--|-|----|-|----|
Amis uo itl esancelbacin c ler	---|--⌫-|-⌫|---|-|----|-⌫--|
Sachié zdeuoir ni otqu	-------⌫|-|---|||-|-|
es poente rA tante zuo zdant	--⌫------⌫||---|-⌫|--⌫|---|
Amilele ber	----|-|--|
Soncompaingnonenprinst aapell er	--|----------|-|-----||-----⌫-|
Biaus sire	----|---|
Ami or poézbie nleuer	--|-|----|---⌫|----|
Se p art elchose puetuostre c ors	-|-⌫-|-⌫-|----|---|-----|-⌫--|
Dexdegl oi reuoz weult san téd onner	--|-|--⌫--⌫-|--|----|---⌫--|-⌫----|
Demesdouzfiulsqueieaidecole ́z	-|--|---|----|--|-|-|------⌫-|
Neplaingienulfoiquedoi	-|-----|-|--|--|--|--|
lie uesic onmence	---⌫-|-|-⌫------|
Sonc omp aingn onpu et ilbienesprouuer	--|-⌫---⌫-----⌫-|--⌫-|-|---|--------|
Qu e uol entiers il li	--⌫|---⌫------|-|-|
uoldroitdon ner	-------|---⌫--|
Sagari sons illapooitt ro uuer	-|----⌫--||-|-|----|-⌫--⌫---|
Unegrantcu ue fai t	--|----|--⌫-|---⌫|
Am ileaport e r	--⌫--|-----⌫-⌫|
Soncompaingnonafai t	--|----------||---⌫|
dedensentrer	-----|-----|
Mais agra ntpaingne i puetcil aualer	---||---⌫-|------||---|--|-----|
Tant fortestoi tma lades	---|---|-----⌫|--⌫----|
Amisenlacuue en pa rfont	---|-|-|---|-|--⌫----|
Amilestintlebaci n reont	-----|---|-|----⌫|----|
Dourougesan c l iafrotélefr ont	--|----|---⌫|-⌫||-----|-|--⌫--|
Le s ie x labouche	--⌫|--⌫|-|-----|
les membres	--|------|
quelcorssont	-|-|---|---|
Iambesetuentre etle	-----|-|-----|-|-|
cors contre mont	---|------⌫---|
Piéscu issesmains les es paules am ont	----|--⌫----|----|--|--⌫-----|--⌫--|
Dou san cpartout letou che	--|---⌫|------|-|---⌫--|
Am ilesfu etpreudometgentiz	--⌫---|-|-|------|-|-----|
Soncompaingnon quiotanon	--|----------|--|-||--|
Leu edou sanc e t la boucheetle uis	---⌫|--|---|-⌫|-|-----|-|-|--|
Moult pue tbiencr oir eque	----|---⌫|---|--⌫---⌫|--|
ilestse s amis	-|--|--⌫|---|
Qua n tsesdouzfiulsasi porluiocis	---⌫-⌫|--|---|----||-|--|--|---|
Oiéz seigno r comou ura	----|------⌫|--|--⌫--|
Ihesucr i s	-------⌫-⌫|
Sicom il touchele	-|--|-|-----|-|
sancel front	---|-|----|
laroiff edont ilestoitsozprins	-|-----⌫|---|-|-----|-------|
Les mainsgarissent	--|----|--------|
liue ntresetl ipis	-|--⌫----|-|-⌫|--|
Quantorleuoit	----|-|-|---|
Am ilesses a mis	--⌫---|--|-⌫--|
Deuenr entgrac esle	--|-|-⌫--|----⌫-|-|
Roide pa radis	--|-|--⌫----|
Etses sainset sessa intes	-|--|----|-|--|--⌫----|
Amilesli cu ensde ioi eplains	-----|-|--⌫--|-|---⌫|-----|
A misestoitgarisetsains	-⌫--|-----|----|-|----|
O rconnoist	-⌫|-------|
Amil es blanchesmains	--|-⌫-|-------|----|
Anduifontioiedecesoiézcer tain	----|---|---|-|-|-----|---⌫---|
P eres souuera ins	-⌫---|-------⌫--|
Graciie ́zsoiiézuoz	-------⌫-|------|--|
et tui t liuostres aint	-|---⌫|-|-----|-⌫---|
P ere esperitab les	-⌫--|---------⌫--|
Amisf uetgaris ethaitiéz	---|-⌫|-|----|-|-------|
Sachiézde uoirmoultfu	-------|-|---|----|-|
Amiles lié s	-----|----⌫|
Amisacolézetbaisiéz	---|------|-|-------|
D ex d egloire loézetgraciiéz	-⌫-|-⌫|-----|----|-|--------|
L i cu ens	-⌫|--⌫--|
A miles qui	-⌫----|--|
en sei ngniéz	--⌫---⌫------|
Cor ten sa chambre	---⌫|-|-|------|
bo nsdras en	--⌫-|---|-|
a gieti éz	|-----⌫--|
D ouz pair eensamble bieneniertaasiéz	-⌫--|----⌫|-------|---|-|---|------|
Cotessorquo sman ti auls	----|------⌫|---⌫--⌫---|
bienentailliéz D	---|----------||
oste rinfur entm oult bi en appar eilli éz	----⌫--|---⌫--|-⌫---|--⌫-|-----⌫-----⌫--|
Amissenuest	---||-|---|
qui e sts ai ns ethai tiéz	--|-⌫-|-⌫--⌫-|-|---⌫----|
m eïsmez s	-⌫------||
Or nestnus homde u erté le saichiéz	-||--|--|--|-|-⌫----|-|--------|
Quilesdo uzcontesueïstsi ati riéz	--|--|--⌫-|-----|-----|-|---⌫----|
Quelunsdelautrepar l uif ustia	--||--|-||----|--|-⌫-|-⌫--|-|
Tantfo rt se	---|--⌫-|-|
resambloi ent	---------⌫--|
D echi eres robesso ntuestu li	-⌫|---⌫---|----|--⌫-|----|-|
entresa mblentdeuiset dementon	-------⌫-----|-|--|-|-|-----|
Douc o nt enir delnésdela	--|-⌫-⌫--⌫---|--|---|-|-|
Quelesdouzcon tes	--|--|---|---⌫--|
nedesseue rroithom	-|-------⌫----|--|
Am is libaron	--⌫-|-|----|
Quantues tuf urentsiuo nta	----|---⌫-|-⌫----|-|--⌫-||
S imo nCestunsmon stier squiestde	-⌫---⌫||--|--|---⌫-----⌫|--|--|-|
grantr enon	----|-⌫---|
laclere faso n	-|----|----⌫|
Estoitalee porfaires	-----|---|--|----||
lagenti otagrant	-|---||-||----|
Amil ebaro n	--|-⌫|----⌫|
Quidoupalais des cen dent	--|--|-----|---⌫---⌫---|
Iusdoupala isdescendentmain amain	--|--|----⌫-|---------|---||---|
Li dui ba ron	-|--|--⌫--|
q uiontlescuerscertains	-⌫-|--|--|----|-------|
Sontdescendu	---|-------|
doupalaisiusau	--|-----|--|-|
Bienresambler enta mbe du ichastelain	---|---------⌫--|-⌫---⌫--⌫|---------|
M oultlesesgard entetboriois et	-⌫---|--|------⌫--|-|------|-|
Ne seuent pasnenesontbi en	-|-----|--|-|-|---|--⌫-|
Li queulsdeulsd ouzestlor	-|-----||---|-⌫--|--|--|
sires so uurains	----|--⌫------|
Tuitens ontendout ances	---|-|-⌫--|-|----⌫----|
Desdouz barons conseille ntcell egent	--|---|-----|---------⌫-|----⌫|---|
s euentfairedeuisem ent	-⌫----|----|-------⌫--|
Liq ueulsestsi res	-|-⌫----|--|--⌫--|
acuilonnorsap e nt	|--||-----|--⌫-⌫-|
Ta ntsontliconte	--⌫-|---|-|----|
y ngale td unsamblant	-⌫---|-⌫||-|-------|
L icompaingnon nifurentarre stant	-⌫|----------|||-----|----⌫----|
Iusqual egl iseou estoit	----|||---⌫--|-|-----|
Amilequi mo ul totle	----|--|--⌫--⌫|-|-|
Mainamainentrentdedenslo rchié s	---||---|------|-----|--⌫|-----⌫|
Diteiert lamesse	---|---|-|----|
s enissoi ent	|-|-----⌫--|
A mi lese n uenoita usim ent	-⌫--⌫-||-⌫|-----|-⌫----⌫--|
Mais quantel uitle scontesen	---|----|-|--|--⌫|-----|-|
esb a hinen soié z merueillan t	---⌫-⌫-||-|-----⌫|----------⌫|
Toutepasmeea laterre s	----|-----||-|----||
Dela merueille qu eelleuoitsigrant	-|-|--------|--⌫|---|---|-|----|
Auredres ciericorrentplus decent	-|------⌫---||------|---|-|---|
Quant seredresce	----|-|-------|
siparoleen oiant	-|-----|-|----|
Seigno r distellepo r	------⌫|---|---|--⌫|
Deu lero iamant	--|-|--⌫-----|
Iesaide uoiret croia	-|--|-|---|-|---||
en ciantLuns deuozdouzaenmoipart	--⌫----||--|-|--|---||-|--|---|
mo ult grant	--⌫--|----|
Amilesli hardis com b atans	-----|-|-----|---⌫-⌫----|
Mais ie nen sai	---|-||-|--|
f ai reconnoissem ent	-⌫--⌫-|----------⌫--|
uostres sui	------|--|
Ami lecombat ant	--|-|------⌫--|
Quialemal souffert tantlonguement	--||-|--|-------|---|---------|
Ihesucrislenaf ait	--------||-||-⌫--|
Queg arisest sic om estapparant	--|-⌫---|--|-|-⌫-|--|-------|
Ladammeloit sesmains uer s	-|----||--|--|----|---⌫|
Deuen tant	--|-|---|
Lasageno il lent plus	-||-----⌫--⌫---|---|
dedouzm ille	-|---|-⌫---|
Quituitenrendentmerciau	--|---|-|------|----|-|
Roipuissant	--|-------|
Sonn entc il saint etcilcle rcuon tchantant	----⌫--|-⌫-|----|-|--|---⌫-|---⌫|-------|
Etdepitiéen ploren t	-|-|-----|-|------⌫|
plusdecent	---|-|---|
Nefa itezioie tant	-|--⌫---|---|---|
Ans oizde uonsme nerdol ormoultgrant	---⌫--|--⌫---|--⌫--|---⌫-|----|----|
C ar mif il	-⌫-|-|-⌫-|
etmortsainglant	-|---|--------|
Ielesoci s a	-|--|---⌫||
monacerin brant	--|-----|----|
S i lorcop ai	-⌫|--|---⌫-|
l esch iéstout u oir ement	-⌫-|--⌫---|---|-⌫---⌫----|
Lesanc retin zenun bacin d ariant	-|---|-----⌫|-|-|----||-----|
Etsien fisa	-|-|-|--||
Amila uem ent	--|--⌫---⌫--|
Ilot tantost demalgarisse ment	-|-|------|-|--|-------⌫---|
Maistoutce fuparlamones te ment	---|---|-|-|--||------⌫--⌫---|
Perequitouzl esb iens cons e nt	---|--|---|-⌫-|-⌫---|----⌫-⌫-|
Orenuenéz	-|-|-----|
s i uerrézmon torment	-⌫|------|--|------|
Etmonma rtyree tmonduelqui	-|--|--⌫----|-⌫|--|---|--|
Quantlesauro n zent er rézrichement	----|--|----⌫-⌫|---⌫--⌫---|--------|
Puis noz cope ́zleschié sdema intenant	---|--|----⌫-|--|-----⌫|-|--⌫-------|
Cardeseru i l	--|------⌫||
Amil esa lachieremembre e	----⌫-||-|-----|------⌫|
uenézentuit	-----|-|---|
b on ne ge nthonoree	-⌫--⌫-|--⌫-|------|
Seria ntborioischeualier	-----⌫-|------|--------|
gentletree	---|-----|
Lassusamont en lasale pauee	-----|----|-|-|---|----|
Et siuerroiz	-|-|------|
tuitla f ortdestinnee	---|-|-⌫--|--------|
O nqu essi	-⌫---⌫-|-|
durenefumai sesg a rdee	---|-|-|---⌫|---⌫-⌫---|
Lors ueïssiézparmoul t gr an t estriuee	---|---------|--|----⌫|--⌫--⌫|-------|
Correles gensau an t de	----|--|---|--⌫--⌫|-|
ran donnee	---⌫-----|
Tr estuit enmontentenlasa lepauee	--⌫-----|-|------|-|-|--⌫-|----|
Sonnentlisaintpart oute	------|-|----|--|-⌫---|
Por les anfans fu moultgrans	--|--|-----|-|----|----|
