apr esde ceque sainz	---⌫-|-|-|--|----|
sedex liperesresuscitaison	-|--|-|----|---------|--|
seh eliesetheliscesresuscitent	-|-⌫----|-|-------|----------|
mors plu sle gieremantdex liperesresuscita	---|---⌫|--⌫--------|--|-|----|--------|
etcilquideuantsapassio nresuscitaimainzmorsil	-|--|--|-----|-|------⌫|---------|----|---|-|
po tlegieremantrel euer	--⌫|----------|---⌫---|
perlui etf aire	--|--|-|-⌫---|
quil nef ust	-|-|-|-⌫--|
detenuz p e r mortde uantcuif uit	------|-⌫-⌫|---|--⌫---|--|-⌫--|
etasauoizres uscitent	-||-|---|---⌫-------|
ieuoiassez cequetu dizdi t	-|--|----|-|--|-|--|--⌫|
fernaguz mas comant iltresp ercailesc iels	-------|--|-----|-|-----⌫----|--|-⌫---|
dit roo lanz qu i descend itd escielsle gieremanti	--|---⌫---|--⌫|-------⌫-|-⌫-|----|--⌫--------||
potmonter .	--|-----||
etbien potce faire qua nt il	-|---|--|-|----|---⌫-|-|
resu scitape rluim eisme s.	----⌫----|--⌫|--|-⌫-----⌫||
et cesaich es	-|-|-----⌫-|
perlexe m pledemaintes	--||---⌫-⌫--|-|------|
molin quita nt	----|--|--⌫-|
remuntearriers c om eeledescent .	------|------|-⌫--⌫|--|------||
li oiseaus uolanzen	-|------|-----|-|
cumildescen tetta nt mo nte	--|-|------⌫|-|--⌫-|--⌫--|
et tu me isme ssetues descen duzdunmont	-|-|--⌫----⌫|-|-|-|------⌫--||-|---|
tupuezbien	-|---|---|
arriersremonter .	------|-------||
l isoulazleuaihieruersoriante t	-⌫|-----|----|---|---|-----|-⌫|
de scendien	--⌫-----|-|
oc cidant e t hui estr eleuez ason permerainleu .	--⌫-----|-⌫|--|--|-⌫-----||--|--------|--||
por quoi ietedique li	--|---|-|-|-|--|-|
fiz deupotbienretornerla i d onil	--|--|--|---|-------|--⌫|-⌫-|-|
pertelcouantme combatr aiieatoidi t fernaguz	--|--|-----|-|-------⌫-|-||--|--⌫|-------|
qua rs i lifoiz	---⌫|-⌫|-|---|
dizestueraieq uetumeuai nquese t s ale	--|--|-----|-⌫-|-|-|---⌫----|-⌫||--|
estfa u se queietepuisse ua increet	--|--⌫-⌫-|--|-|-|-----|--⌫----|-|
so it enrapruche atoziors	--⌫-|-|-------||--|---|
a u ainquetengloireauain quor.	|-⌫----|-|-|-----||----⌫---||
bienleuoild itroolanz	---|-|---|-⌫-|------|
entelmeniere ilencomancerent l or	-|--|------|-|------------|-⌫-|
bataille et roolanzc orrutsusapaiien .	-------|-|------|-⌫----|--||-----||
etfernaguz	-|-------|
g e tail e co lde s	-⌫-⌫--|-⌫|--⌫|-||
aspee uersroolant .	----|---|------||
masroolanzsaillias enestreetrecutlecopde	--|------|-----||-⌫------|-|----|-|--|-|
s aspeesor sonbasto n liquexfucopez	|----|--|--|-----⌫|-|---|-|----|
etligehanzcorru st sus roolant et	-|-|-----|-----⌫-|--|------|-|
leprist et legetai sozluiaterre	-|----|-|-|----|--|--||----|
etro olanzquiseuiten	-|--⌫----|--|-|--|-|
pe ril demortcomancaia apeler	--⌫--|-|---|-------||-----|
lauir gemarie en a ideets etrest orn ai	-|---⌫-|----|-|-⌫--|-|-⌫|-----⌫---⌫-|
p er de souzlegeh ant	-⌫-|--⌫---|-|---⌫--|
aspe eet lefe rit un petit	----⌫|-|-|--⌫--|-|----|
delapainteen	-|-|-----|-|
l um berilet seas chapai de	|--⌫----|-|-|--⌫-----|-|
etli geha nz	-|-|----⌫-|
criaia haut euoizmahumet mahumet	----||----⌫|---|------|------|
mesdexsecormoi	--|--|----|--|
qu ar iem ur.	--⌫-|-|-⌫-||
e tmaintenantuind rent	-⌫|---------|----⌫---|
lisarraz in et l	-|------⌫-|-||
anporter ent uersle ch astel e troolanzs	--------⌫--|---|-|--⌫----|-⌫|------||
anr epairato z sainsas suens.	-|-⌫-----|--⌫|----|-|----||
etmaintenantlicrestiens encorrurentau eclessarr azins	-|---------|-|-------||-|--------|--⌫-|--|----⌫----|
qui portoien t le	--|--------⌫|-|
cors etpr istrent le chastele tla cite	---|-|--⌫------|-|------|-⌫|-|---|
etdeliur ent	-|------⌫--|
lo rpr isoniers .	--⌫|--⌫-------||
a pres cedenu nc onacharlonquebra im r ois de	-⌫---|-|----⌫-|-||------|-|----⌫-|-⌫--|-|
sibileetalt umaiorquis	-----|-|---⌫-----|--||
anfoirentdela ba tai lledepam p i l o inelatand oient	-|------|-|-|--⌫---⌫--|-|---⌫-⌫-⌫-⌫-⌫--||-----⌫----|
a cord ube p or comb atr eet	|----⌫--|-⌫-|----⌫---⌫|-|
auoientenai dele sgenzd eyycite z	------|-|--⌫-|--⌫|---|-⌫|-|----⌫|
desibi lede	-|----⌫-|-|
granad edesatiue ded eniedeube be d e	------⌫|-|-----|-|-⌫---|-|---⌫-|-⌫|
a b le etdebaecie.	-⌫-⌫-|-|-|-----||
etcharles s	-|------||
ap paraillade lalerencontr e	--⌫-------|-||---|-------⌫|
et quant ilfu stpre sdecordube	-|----|-|--⌫-|---⌫|-|------|
cildeleanzsa i llere nt	--|-|----|--⌫-⌫-----⌫-|
fors et liuindrenta	---|-|-|-------||
deuantper laspaced e troi s milleset	-----|--||-----|-⌫|----⌫|-----|-|
es toientl isarrazi n	--⌫-----|-⌫|-------⌫|
d euer onyyetli crestien	-⌫----⌫-|-|-|-|-------|
et charlesordena s onot ent roispart ies lapremier e	-|------|-----|-⌫-|-|-|-⌫---|----⌫--|-|-------⌫|
desp lusprouzche ualiersla secu nd ede	--|-⌫--|----|---⌫------|-|----⌫--⌫|-|
pi ee t la tier cede	--⌫|-⌫|-|----⌫-|-|
cheualiers.	---------||
etlisarrazin	-|-|-------|
fi re nt ausiment .	--⌫--⌫-|-------||
e tquant il	-⌫|----|-|
sessamble re nt li sarrazinuin dren tadeuantdecheua liers	|--------⌫--⌫-|-|-------|---⌫----⌫||-----|-|-----⌫----|
tuitapiequiportoientlarues	---||--|--|--------|-----|
estranges cornues sambla nz adyab leettenoit chascu nsd aus	--------|------|------⌫-||----⌫-|-|-----|------⌫-||--|
uneclochetea	--|-------||
quoiil s onoien t	---|-|-⌫------⌫|
fo rmant .	--⌫----||
etquantliche ualdenosc heualiers	-|----|-|---⌫--|-|--|-⌫--------|
oi rentl es uoizet le so n	--⌫---|-⌫-|---|-|-|--⌫|
eti luire n t	-|-⌫|----⌫-⌫|
lessigneshorrible ss ifurent molt	--|-----|--------⌫|-⌫|-----|---|
es paonté ets	--⌫------|-||
an foirent	-|------|
arrier s comef ordusans malgrec esqui sus	------⌫|---|-⌫-------|-----|-⌫-|--|--|
etqu antles autres	-|--⌫--|--|-----|
d oe spar tiesde nosgenzuidrent	-⌫--⌫|---⌫---|-|--|---|------|
foirlapre mie resisafoi rentensamble.	---|-|---⌫---⌫-|-|||---⌫---|-------||
etlisarrazin quiestoientde c eioian t	-|-|-------|--|-------|-|-⌫|-----⌫|
le s seg uire n tiusquea u ne montai gn e	--⌫|---⌫----⌫-⌫|-----||-⌫-|------⌫--⌫|
etenquinosfumeset les antandismes	-|----|--|----|-|--|----------|
abataille.	|-------||
e tquan tc il le uire nt	-⌫|----⌫|-⌫-|-|----⌫-|
sisere t rairent arriers	-|-|--⌫-⌫------|------|
e tnosdraces mesnos tantes	-⌫|--|------⌫--|--|-----|
etfum esenqui ius qu e	-|---⌫-|----|---⌫--⌫|
landemain.	|-------||
et p riasmesa co nso i lensamble quel i cheualausien t	-|-⌫------||--⌫---⌫-⌫|-------|--|-⌫|-----|------⌫|
de uantles eauzl ancuez	--⌫---|--|---|-⌫-----|
oudras e tle sor eilles bouchiesporle son e t	-|---|-⌫|--⌫|--⌫-----|-------|--|-|--|-⌫|
porlorriblete dec eus .	--||--------|-|-⌫--||
et ce f ai tli nostre feri re n ta	-|-|-⌫--⌫|-|-----|----⌫--⌫-⌫||
c e us san zredouta nceet a n occirentmaintes	-⌫-⌫-|---⌫|-------⌫--|-|-⌫|-------|------|
etmain tenantlisarrazinse m i stren tensa mbleetenmi	-|----⌫-----|-|-------|-|-⌫-⌫-----⌫|----⌫---|-|---|
de ceusauoit uncherab ue ssusq uoi	-|---|----|-|---||-⌫--⌫|--|-⌫--|
estoitdrecie	-----|-----|
lore n soigneue rmoi lle .	--|-⌫-⌫-----|--⌫----⌫--||
et c ila uo ientde costumeque nuns	-|-⌫-|-⌫--⌫---|-|------|--|---|
n e foitdebatail l etantc um	-⌫|---|-|------⌫-⌫|---|-⌫-|
ilueist l ensoign edroit e.	-|----||-------⌫|-----⌫||
charles ce soti lseferientre	------|-|--|-⌫|-|---|----|
a us biena rmezet	-⌫-|---|-⌫---|-|
lesdecopaitade xtreeta	--|-------||--⌫---|-||
s enest reiusq uea	-⌫-----⌫-|----⌫-||
cequiluint	-|-|-|---|
ettranch a asa spee	-|------⌫|||-⌫---|
laperche q uisostenoitl orensoigne .	-|-----|-⌫-|--------|-⌫-|-------||
et maintenantli sarrazin furen tdesconfitet	-|---------|-|-------|-----⌫|--------|-|
aniot de mors	-||-|-|---|
iusqueayy.	-----||-||
et li rois desib i leifu	-|-|---|-|---⌫-⌫-||-|
oc c isetaltumaiors	--⌫-⌫-|-|---------|
sanfoit en lacite	|-|---|-|-|---|
comeuainc uz entelmeniereq uilsebapt izeroit	---|-----⌫-|-|--|------|-⌫|-|-|----⌫------|
et seroi tseshonset	-|-----⌫|--|---|-|
antandroitla cite.	-|-------|-|---||
e tcef ai tcharlesdepartilesterres	-⌫|-|-⌫--⌫|------|------|--|-----|
etl esprouin c esde	-|-⌫-|------⌫-⌫-|-|
espaigne a s es g enz q uiuosire ntdemorer	-------||-⌫-|-⌫--|-⌫-|------⌫-|------|
enceleterre.	-|---|----||
laterredesnauarroiset desbacloisdonai	-|----|--|--------|-|--|------|----|
asbritonsetla terre de ca st il einneas	-|------|-|-|----|-|--⌫--⌫--⌫----|-|
fr an c oi s et lat e rredenager e et	--⌫--⌫-⌫--⌫|-|-|-⌫-⌫--|-|-----⌫|-|
sar ragoce asgrezeta ceusdepui ll eet	---⌫-----|-|---|-||---|-|---⌫--⌫|-|
la terredarragonis	-|----||--------|
aspoicteuin s	-|---------⌫|
et laterrealandaluf	-|-|----|--------|
delezlame rasalemanz et	----|-|--⌫|-|------|-|
late rr ede portugalas	-|--⌫--⌫|-|-------|-|
dac iens et	---⌫---|-|
asfl andr iens.	-|--⌫----⌫---||
enlate rred egaliceneuosirentdemorerlifrancois	-|-|--⌫--|-⌫|-----|-|-------|------|-|-------|
qua relelorsambl oi testretropaspre.	---⌫|--|--|-----⌫--⌫|----|---|----||
etdes e nquienauantnunsnes osai	-|--|-⌫---|-|----|---|-||---|
reu elercontrecharl e.	---⌫---|-----|-----⌫||
fait charlessanalaiasaint iasque	---|------||-|---||----|-----|
e t edifiai les cresti ensquilitrouaie t	-⌫|------|--|------⌫--|-|-||-----|-⌫|
ce usquile stoien t r etornéa	--⌫-|---|-⌫------⌫|-⌫------||
la me screand ise dessar razins	-|--⌫-------⌫--|--|---⌫-----|
occit ouill esan enuoiaen essil	----|-|-|-⌫-|-|-----|-|----|
et estaub lit	-|------⌫--|
auesque setprouoires pe r le scite z.	-------⌫|-|--------|--⌫|--⌫|----⌫||
etfistc r ier conciledeauesques e tde	-|---|-⌫-⌫--|------|-|-------|-⌫|-|
princ esenla citede	-----⌫-|-|-|---|-|
co mposteleet estaublitporlamordesaint iasque	--⌫-------|-|--------|--||---|-|----|-----|
quetuitli auesqueet	--|---|-|------|-|
li prin ceetliroid espai gneetd e	-|----⌫-|-|-|--||-----⌫--|-|-⌫|
galice p resentet a uenirobeissesenta	-----|-⌫-----|-||----|----------||
l auesquedesain tiasq u e .	|------|-|----⌫|----⌫-⌫||
a yrie nefist p oi ntde auesquene ne	|---|-|---|-⌫--⌫-|-|------|-|-|
uositquale fust	----|-|--|---|
citezma sq ueuneui lesogesan zasei gedecomposte le.	----|--⌫--⌫-|--|--⌫-|-------⌫||---⌫-|-|--------⌫-||
etieturpinsarceues quesd e	-|-|------|-------⌫---|-⌫|
rainsensamble	----|-------|
yyauesques	-|-------|
alar equeste	|-|-⌫------|
de charlondedyail	-|------|-----||
engliseetlautelde sa int iasqueaiorde	------|-||----|-|--⌫--|-----||--|-|
kalendesdeioig	-------|-|---|
et li roissom ist totela	-|-|---|---⌫--|---|-|
terr ed as paig ne etd ega licea la	----⌫||--⌫----⌫-|-|-⌫|--⌫---||-|
diteenglisede	---|------|-|
s a intiasque etcomandaque c hasque	-⌫-⌫--|-----|-|------|--|-⌫-----|
feus deespai gne	---|-|-----⌫--|
e tdegalicep aassientde da teun	-⌫|-|-----|-⌫-------|-|--⌫-|-|
chascunan a	------|-||
ladite engl is eyydeniers	-|---|----⌫--⌫|-|------|
et por tantfusientqui tte	-|--|---|------|---⌫--|
detot seruitute	-|--|--------|
e stau blia	-⌫----⌫--||
celior que celeeng l isef us t apeleeseiges d	--|--|--|---|---⌫-⌫--|-⌫--⌫|-----|-----||
apostoil eporceque sai nz	--------⌫|--|-|--|---⌫-|
iasq uesapostres	----⌫--|-------|
etquontei g ne e nqui	-|-|-|---⌫-⌫-|-⌫---|
so uantles	--⌫---|--|
concile sdas aua sques	-------⌫|--|---⌫----|
espaigneet	-------|-|
que li auesques	--|-|-------|
d eceleciteo rdenoit	-⌫|---|---|-⌫------|
enquitoz less off raga ne i nsauesqueset le s	----|--|--|-⌫---⌫----⌫--⌫-⌫-|-------|-|--⌫|
rois icoron oit	---||-----⌫--|
p orl amorde saintiasque.	-⌫-||---|-|----|-----||
etper bondro itlafoid oit	-|--|--|---⌫-|-|--|-⌫--|
estr ereco ncil ieen	----⌫|----⌫----⌫-|-|
cel eenglisequarau siccumper	---⌫|------|---|--⌫--|--|--|
sa intieham	--⌫--|----|
euangelisteen e phesumuers oriantl a foi	----------|-|-⌫-----|---|-----|-⌫|--|
ihesuc rizetli siegesl apostoilees testau bliz ausic	----|-⌫--|-|-|-----||--------|--⌫|-----⌫---|----|
e nla p artie	-⌫|-|-⌫----|
doccident c elemeismefoiz	|-------|-⌫--|-----|---|
deuetli siegesdeapostoile	--|-|-|-----|-|--------|
estesta bliepersai nt iasque.	--|----⌫---|--|---⌫-|-----||
et cesont lisiegeouraaine	-|-|---|-|----|-|-----|
ihe su critephesusquies t adextre	---⌫-|---|------|--|--⌫||-----|
etcompostele quie stadextrelesquexd oesprouinces	-|---------|--|-⌫-||-----|--|---|-⌫--|--------|
auienentacesdos	-------||--|--|
freres enladi uision	-----|-|-|--⌫-----|
desapos tres.	--|----⌫---||
quarilauoient r equisa	---|-|------|-⌫----||
nostreseign orq ueli uns seist	-----|-----⌫-|-⌫-|-|--|----|
dextre et l i autresa	-----|-|-⌫|-----||
s inestre.	-⌫------||
e t t ro is sie ge sdeapo stoileperb on	-⌫|-⌫--⌫-|---⌫--⌫|-|---⌫-----|--|-⌫-|
d roitreligions cresti eine aacostu mé	-⌫---|--------|------⌫---||------⌫--|
ahon o rerdeu ant	|---⌫-⌫--|---⌫--|
toza utres siegesdousie glecelu ider ome	--|-⌫----|-----|--|---⌫--|----⌫|-|-⌫--|
celuidegali ceet	----|-|----⌫-|-|
c eluid e eph es um	-⌫---|-⌫|---⌫--⌫-|
quar ensiccumnostr esiresset ransfig uraenla	---|----|--|-----⌫|----|-|-⌫-------⌫--|-|-|
presenc e de	-------⌫|-|
c e stroi ssain pere sa int iasqu e	-⌫-⌫|----⌫|---|---|--⌫--|-----⌫|
etsai n tiehamausi	-|---⌫-⌫|----|---|
cest ro iss iegesdeu anttoza utresilcomanda	--|-⌫--⌫-|-⌫----|---⌫--|--|-⌫----|-|------|
ahon orer .	|---⌫---||
etperbondroit	-|--|--|----|
ilsontditpr incipal quarensic cum	-|---|--|--⌫------|---|----|--|
cisttroiapostre eurent	---|---|------|-----|
lecel le nces urtozautre s apost res.	|----⌫--⌫--|-⌫-|--|-----⌫|-----⌫--||
cil tro i saintleuou i l prache rent etfuren tseueli	--|---⌫|----|--|-|-⌫|------⌫---|-|-----⌫|-----|
doiuentauoirladignetesortozau tresleus	------|----|-|------|--|--|--⌫---|---|
etperbon d roi t	-|--|--|-⌫---⌫|
p remie rs sieges po r	-⌫-----⌫-|-----|--⌫|
cequesa inzperesp rincepsdesapostres	-|--|--⌫--|----|-⌫------|--|-------|
l eded ya perso n	-⌫|---⌫-|--|--⌫|
sanc etper sa sepulture	---|-|--|-|--------|
compostellisecons	--------|-|-----|
po rcequesainz ias ques fupl us	--⌫|-|--|----|---⌫---|-|--⌫-|
granzdesaut res perdign it eet perh onorapressaint	----|--|---⌫--|--|----⌫--⌫|-|--|-⌫---|----|----|
per eetquilfupremi er s m art yriez	---⌫|-|-|-|-|-----⌫--⌫|-⌫---⌫----|
i lsa crai l e	-⌫|--⌫---|-⌫|
leuper sa p r edicati onetpersa	--|--|-|-⌫-⌫-------⌫-|-|--|-|
sepulture etl enlumine un	--------|-||-------|-|
chascun ior	------|--|
p er g ranz mira cles	-⌫-|-⌫---|----⌫---|
li tie rssiegesestephesuspor ceq ue	-|---⌫-|-----|--|------|--|-|-⌫-|
sainziehanz fiste nq uis auangile et	----|-----|---|-⌫--⌫-||-------|-|
fistenqui leconc iledesauesqu e squ	---|----|-|----⌫--|--|------⌫-⌫|-|
il auoit mis	-|----|--|
ascitezle s quex il	-|----|--⌫|---|-|
apele ang esensapo cal ipseetquiled ifiaile	----|---⌫-|-||---⌫---⌫---|-|-|-|--⌫----|-|
doctri neetpe rsa	------⌫-|-|--⌫|-|
propre sep ulture leco ns ecrai .	-----|---⌫-----|-|--⌫--⌫----||
etce qu inepuet	-|-|--⌫|-|---|
estredif f ini ou	----|---⌫-⌫--|-|
dete rminéas	----⌫-----|-|
au tressi eges doumu ndeperaucune diff iculte e n l	--⌫---|--⌫---|--|--⌫--|--|-----|----⌫-----|-⌫||
u n decestroissi egesdoitestr ediffin ie t	-⌫|-|--|----|--⌫---|---|----⌫|------⌫|-⌫|
lealmentde t erm iné	-------|--⌫-⌫---⌫---|
en tel me nieregaliceespur giedes	-|--|--⌫----|-----|-----⌫--|--|
sa rrazinsper lauertude deuet	--⌫------|--|-|----|-|--|-|
desaintiasqu eet per l aidedecharlon	-|----|-----⌫|-|--||---|-|------|
esth onesteiusq uea iordehores	--|-⌫-----|----⌫-||--|-|----|
perlaf oicrest ienn e.	--|-|-⌫-|-----⌫----⌫||
liroischarles auoitbrunslecheuoz	-|---|------|----|----|-|-----|
roigeuisaige	----|------|
corsbe leta ue nantetcruias de	---|--⌫|-|-⌫--⌫---|-|-----|-|
le lonc auoitle loncde yydeses	-|---|----|-|---|-|-|-|--|
p iezqui e stoient mu l t grant	-⌫--|--|-⌫------|--⌫-⌫|----|
amples p e rrains perlesflansauenanzgros	-----|-⌫-⌫|----|--|--|----|------|---|
groissescui sses	-------|---⌫---|
fo rzdemambressaigesdebatailleapres	--⌫-|-|------|-----|-|-------|----|
cheualiers .	---------||
aspa net demiauoit defac eet libarbe	----⌫|-|---|----|-|---⌫|-|-|----|
li nesundemiet	-|--|-|---|-|
li fronsle.	-|----|-||
sorcildes eseauza u oientdemi	-----|-|-⌫-|---|-⌫-⌫----|---|
tozestoitasp aontezcuiilregadez cor rociez.	--|-----|---⌫-----|--|-|------|---⌫-----||
sacincture auo it yyespanzdeloncsa nz ce	-|-------|---⌫-|-|-----|-|---|--⌫-|-|
pando itaual.	-----⌫-|---||
p ou depainmangietmasilmangiet bie n zz	-⌫-|-|---|------|--|-|------|---⌫|-|
quartier dec hastr un ou yygelines ouune	-------|-|-⌫-----⌫-|-|-|------|-|--|
hoeouune espalled eporcouz z	--|-|--|------|-⌫|---|-|-⌫|
pa onouun eg rueou	--⌫-|-|--⌫|-⌫--|-|
zzl i eure enti er.	-|-⌫-⌫---|----⌫-||
uinbeuoitt empre ́	--|-----|-⌫-----⌫|
de sigrantforceestoit	-|-|----|----|-----|
fandoit bienzz	------|---|-|
cheual ierarme ́ detotesarmesdeslec hief iusque a	------⌫--|----⌫|-|----|----|--|-|-⌫---|-----||
lafor c heureet s on cheualauequesau nsoulcop	-|---⌫-⌫----|-|-⌫-|-----|------||-⌫|---|--|
de sespee etextandoit ases	-||----|-|--------||--|
m ai ns yy ferrures de	-⌫--⌫-|-|-------|-|
uncheualie ra rmé le ueztot estantde terres us	-|--------⌫|-⌫---|--⌫--|--|-----|-|----|-⌫-|
sapasmeiusqu easonchie f	-|----|-----⌫||--|----⌫|
ilest oitlarges donerres	-|---⌫--|-----|-------|
dr o ituriers iuiges etbeau sparlerr e s .	--⌫-⌫-------|-----|-|----⌫|-------⌫-⌫||
enq uat refestesanuas per chascunantenoitsacort	-|-⌫---⌫-|-----|----|--|------|-|-----|-|---|
enespa igne	-|----⌫---|
enc orone reial et ensignedes ignor iec	-|-⌫----|----|-|-|----|-|-⌫-----⌫-||
est as auoir anatiui teapasques	--||-⌫----||------⌫-||------|
apanthec os teetle	|-------⌫--⌫-|-|-|
iordesai ntiasque.	--|-|---⌫-|-----||
deuantsontref	-----|--|---|
liporto itonsa spee n ueenmen ieredou signe	-|-----⌫-|-||-⌫---|-⌫-|-|---⌫---|--|----|
e mpe rial .	-⌫---⌫---||
deui ron son	----⌫--|--|
li t par chascunenuit auo itacos t umeem antyy cheual iersarmez	--⌫|--|-------|---|---⌫-|----⌫-⌫-----⌫--|-|------⌫---|----|
etcrestien s	-|--------⌫|
desquexliyygardoientla p remie re uigile dela	--|---|-|-|--------|-|-⌫-----⌫-|-----|-|-|
li yyadextreetli yya senestrequ i	-|-||-----|-|-|-||-------|--⌫|
tenoientlor espeesnues enlu ne des	-------|--|-----|---|-||-⌫-|--|
mainsete nlautre	----|-|-⌫||----|
chandoill es .	---------⌫-||
secundeuigileyyetlatier ce yyqui	------|-----|-|-|-|----⌫-|-|--|
legardoientiusq u e a io r.	-|--------|----⌫-⌫||--⌫||
etd eman tiersqu e liun epartie uoilliet	-|-⌫----⌫-------⌫|-|--⌫|-----|-------|
etliautr edormoit .	-|-|----⌫|------||
et se ie uos	-|-|-|--|
u ol oietoz sesfaizr ecompert rop ia uro it	-⌫--⌫--|--|--|---|-⌫------|-⌫--||-⌫---⌫-|
afaire comant ga laf resliamirau zle gar dai	|----|-----|--⌫---⌫--|-|------⌫|-|---⌫--|
e n sanfancee tlornaidehabitd e	-⌫||------|-⌫||----|-|----|-⌫|
cheualieretcomantcharlesporl amorde	--------|-|-----|------|--||---|-|
g alafr eoccitenbata illebraimancon le	-⌫-----⌫|----|-|----⌫---|---------|-|
r oidessarr az in setcom ant il	-⌫-|--|----⌫--⌫--⌫|-|---⌫--|-|
aquistdiuerseste rres	-----|-------|--⌫---|
c itezetchastea set	-⌫---|-|-------⌫|-|
c omanti ledifi aimaint eseglise s	-⌫----|-⌫|-----⌫-|-----⌫-|------⌫|
etmaintesabbaies	-|------|------|
et coma ntilado na i maint esc orset	-|----⌫-|-|---⌫--⌫|-----⌫-|-⌫--|-|
mai ntes reliquesde sainzenor	---⌫---|-------|-|----|-|-|
et enargent etcoma nt il f uempareres de	-|-|-----|-|----⌫-|-|-⌫|--------|-|
ro meet comantilalai a sepulcreetcomant	--⌫-|-|-----|-|---||-------|-|-----|
ilanaportai la	-|-|------|-|
sainte c roiz de	-----|-⌫---|-|
quo iil a orn aima intes	---⌫|-|-⌫---⌫-|--⌫----|
eglisestotceie	------|--|-|-|
ne uospuisescr i re quar auantme	-|--|---|----⌫-⌫-|---|----|-|
faudroitlamainsetlipanne	-------|-|----|-|-|----|
quelame tiere	--|-|--⌫----|
delestoire .	-||------||
tot e uoieb riemantdiraicomant	---⌫-⌫---|-⌫------|----|-----|
i lre paira en	-⌫|--⌫----|-|
pu isque char le s otconquis	--⌫----|----⌫--⌫|-|------|
espaigneet ilserepair ast en	-------|-|-|-|------⌫--|-|
france il sostelai	-----|-||------|
aettoz sesoz	|-|--|--|-|
etdesenquiil	-|--|----|-|
man da iperguenelona marsi lle leroi	---⌫--⌫|--|-------||-----⌫--|-|--|
eta be ligant son frer equiadonquesdemoroienten	-||--⌫-----|--|----⌫|--|-------|---------|-|
sarragos equeliamiran z de	--------⌫|--|-|------⌫|-|
babilo ine auoi t	------⌫--|----⌫|
enquien uoiez	----|--⌫----|
dela terrede	-|-|----|-|
persequilse	----|-|-|-|
baptisa ssient ouil	-------⌫-----|-|-|
lienuoiassienttr ahul.	-|-----------|--⌫---||
liquel l i enuoe r entmasde cuersodu antyycheuas	-|---|-⌫|-----⌫-⌫--|--|-|---|----⌫--|-|-----|
cha rgiezd oretdargentet desric he ce sde	---⌫----||-|-||-----|-|--|---⌫--⌫--⌫|-|
etenuoierentascombatorspor baire yy	-|---------|-|--------|--|----|-|
cheu aschargie zdeuin fortet	----⌫-|-------⌫|-|--|---|-|
pur etmil beless arra cines.	--|-|--|----|-⌫----⌫----||
et aguenelon do nerentyycheuas c ha rgi ez d oret	-||-------|--⌫-----|-|-----|-⌫--⌫---⌫-||-|-|
darg entet	|---⌫--|-|
depai llesenfraudepo rc e	-|---⌫---|-|-----|--⌫|-⌫|
qui llorba illast enl ormainsles combateo r	-|-⌫|--|--⌫-----|-|-⌫-|----|--|--------⌫|
pertraison.	--|------||
et ci lloroutroiaet anrecut l eloier	-|--⌫|--|------|-|-|----|-⌫|----|
entraus latrai son perco nuenanc esguenelonssan	---|--|-|----⌫--|--|--⌫-------⌫-|--------||-|
ret ornai ach arleetlip resent ailesrichec esque	---⌫----||--⌫---|-|-|-⌫------⌫-|--|------⌫-|--|
enuooient etditque	--------|-|--|--|
mars ille s uol oitestr ecrestiens et	----⌫----⌫|---⌫--|----⌫|--------|-|
qui ls appar ailliedeuenir apres lui	-|-⌫||-----⌫-----|-|----|----|--|
enfra nceenen quipanroi tbaptoime	-|---⌫--|-|--⌫--|------⌫|-------|
et tanroi tdesen q uien auant	-|------⌫|--|--⌫-⌫-|-|----|
de lui espaig ne.	-|--|------⌫-||
l igrant co mbateorprirentsol emantl euine tli	-⌫|----|--⌫------|------|---⌫----|-⌫|--|-⌫|-|
m enorlesf ammes.	-⌫---|--|-⌫----||
et charlesqui	-|------|--|
creus tasparo l es	-----⌫|-|----⌫-⌫-|
guenelonapparai llaicom antilpassas t les	-------|-------⌫---|---⌫--|-|------⌫|--|
por z decisareporr epairie r en	---⌫|-|-----|--|-⌫-------⌫|-|
consoil de gue nel oncharles	------|-|---⌫---⌫-|------|
comandairoolant et	-------|------|-|
oliuierqu ilfeissientlareregarde enronceuasensamblelor	------|-|-|--------||---------|-|-------|-------|--|
de s plusgranzcombator setyycrestiens iusque	--⌫|---|----|--------⌫|-|-|--------|-----|
a tan tquil	|---⌫--|-|
ozosien t p assé	-|-----⌫|-⌫----|
e tensifufai t.	-⌫|---|-|---⌫||
et porcequeacu n enla nuitdeuantse	-|--|-|--|---⌫|-|-|---|-----|-|
furenteniuré dou	-----|------|--|
uinsarrazenois	--|----------|
etacun auoienatochiéperl uxurelespain eset	-|---|-----|-------|--|-⌫----|--|----⌫-|-|
lecrestienesqu	-|---------|-|
il auoientamenees aue casdefrance il	-|------|------|---⌫|-|-|-----|-|
encorrentlamo r t.	--------|-|--⌫-⌫||
andiroie plus	-|-----|---|
deman tiersque c harles etguenelonsetturpin sensamble	-----⌫-------|-⌫-----|-|--------|-|------⌫|-------|
yytraspasseuentlesporset	-|------------|--|---|-|
liautre feissientlareiregarde	-|----|--------||----------|
marsill es et be liganz at o tyy m illiers	-------⌫-|-|--⌫-----|--⌫-⌫|-|-⌫------|
desarrazins	-|--------|
exir entapointdouiordesboiset	----⌫--||----|--|--|--|---|-|
de smontaig nesouilses t oientescundu per	--⌫|-------⌫--|-|-||--⌫-⌫----|------|--|
