kipetitsemmepetitque lt	-|----|----|----|---⌫-|
maisuol ezuos plusdi rer i en	---|---⌫-|--|---|--⌫-|-⌫-⌫-|
oiletcoitan tetnonmais	--|-|--|---⌫|-|--|---|
queuosme h ebergiezhuimais	--|--|-|-⌫-------|--|---|
moltuolen tiersfaitlipreud o m	---|-----⌫----|---|-|-----⌫-⌫|
maisqueuosmotroiez un don	------|--||------|-|--|
dontgrant bien uenir uo s uerrés	---|----|---|----|--⌫|------|
etquelf ait ilqu e	-|---|-⌫--|-|--⌫|
uosquerrez	--|------|
le conse iluostremereetmoi	-|-----⌫-|-----|---|-|--|
parfoifaitiletielotroi	--|--|---|-|-|-||----|
dontdescendezetilde scent	---|--------|-|-|--⌫----|
unsdesualles	--|--|-----|
son c heual prent	--|-⌫----|----|
desdeusquifure ntuenul a	--|---|--|----⌫-|---|-⌫|
etli autresles	-|-|-----|--|
sir emestenlaroube	-|-⌫----|-|-|----|
esreuelinseten la	-|-------|-|-|-|
de cer fma lfaite etmaltaillie	-|---⌫|--⌫-----|-|---------|
que samere li otbailli e	--|-|---|-|-|------⌫|
preudomsefistcauchier	------|-|---|-------|
lesesp ero ns trenchansd acie r	--|---⌫---⌫-|--------||----⌫|
qu eliualles ot	--⌫|-|-----|-|
etsorsoncheu a l	-|--|--|----⌫-⌫|
escuparla guigepent	---|--|-|----|---|
ason colet la	|--|--|-|-|
lance pr ent	----|--⌫--|
et d istami s oreaprenez	-|-⌫--|---⌫|--|------|
d arm esetgardeuos	|---⌫-|-|----|--|
co mentondoitlancetenir	--⌫---|-|---|----|----|
etc heual poindre et retenir	-|-⌫----|------|-|------|
l o rsadesploielensa igne	-⌫-⌫-||-------||----⌫---|
seli m os tr e etsil ien sa igne	-|-|-⌫--⌫--⌫|-|-|-⌫|--⌫--⌫---|
com e nt on doit	---⌫-⌫-|-|---|
son escuprend re	--|---|-----⌫-|
unpetitlefai tauantpendre	-|----|-|---⌫|----|-----|
tant quaucol	----⌫-|-|--|
d elcheual le io i nt	-⌫-|-----|-|--⌫-⌫-|
etmetla l anc e el feutr e etpoint	-|--|-|-⌫---⌫|-|-----⌫|-|----|
lecheua lqui ce ntmarsualoi t	-|-----⌫|--|--⌫-|---|-----⌫|
que nusplusuolentiersnaloit	--|--|---|---------||----|
plus to st	---|--⌫-|
nede greign or uert u	-|-|------⌫-|----⌫|
lipreudomsotmoltde	-|------|--|---|-|
et delche ualetdelala nce	-|--|---⌫--|-|-|-|--⌫--|
que illotapr isdes enfance	--|-||-|---⌫-|--|------|
sip leut molta uualletetsist	-|-⌫---|---|-⌫|-----|-|---|
trestotquanques	------|-------|
lip reudom fist	-|-⌫-----|---|
quantil otfaitto tson	----|-|-|---|--⌫|--|
de uan tleuallet	--⌫---⌫|-|-----|
bien etbel	---|-|--|
qui biensen otgard e	--|---||-|-|----⌫|
c ilsenreuient la nce	-⌫-||-|------|--⌫--|
auual letetdemande li	-|---⌫--|-|------|-|
a miss au riiezuos ensi	-⌫--|-⌫--⌫----|--|---|
etlescude mener	-||---|--⌫----|
etl e cheualpoi n dree tmener	-|-⌫|-----|---⌫-⌫--|-⌫|----|
et dist quet o tadeliure	-|---|--|-⌫-⌫||------|
nequerroi tiaun	-|-------⌫|-|-|
iorp lusuiu re	--|-⌫--|---⌫-|
enauantneauoir	-|----|-|----|
quilensif ai releseust	-|-|---|-⌫--⌫-|-|----|
cequen ne set	-|-|-|-|--|
puet onapr e ndre	---|-|---⌫-⌫---|
qui iueltpener e tentendre	--||---|----|-⌫|-------|
faitli preudombiaxamis	---|-|------|---|---|
ilcouientatozles mestiers	-|------||--|--|-------|
etcuer e tpain eet usauoir	-|---|-⌫|----⌫|-|-|----|
parces troislepue ton s auo ir	--|--|----|-|---⌫|-|-⌫---⌫-|
etquantuos on ques nelfei stes	-|----|--|--⌫---|-||---⌫---|
nea utrui f airen elueis tes	-|-⌫----|-⌫---|-⌫||----⌫--|
se uosfa irenelesau ez	-|--|--⌫--|-|-|---⌫-|
honte n e blasmen iauez	----|-⌫|-----|||---|
lors lefistlipre udom m on ter	---|-|---|-|---⌫---|-⌫--⌫--|
etilcomen cha a porter	-|-|-----⌫--||-----|
siadroitlalanceet lesc u	-||----|-|----|-||---⌫|
c omsileust toz	-⌫-||-|---|--|
io rsuesc hu	--⌫-|----⌫-|
en torn o iemenseteng uerres	-|----⌫-⌫-----|-|-|-⌫-----|
e t alépar	-⌫|---|--|
touteslester res	-----|--|---⌫--|
queran t batail l eetauenture	------⌫|------⌫-⌫|-|-------|
caril liuen oitde nature	--|-|-|---⌫--|-|-----|
etqu antnature	-|--⌫--|-----|
etli cue rs deltoti en tent	-|-|---⌫-|--|--||--⌫---|
est rerie ngre uaine	---⌫-|---⌫|---⌫----|
la ounatur e	-|-|-----⌫|
e t cuerssepaine	-⌫|----|-|----|
par tot sibien	--|--|-|---|
siessaioit	||-------|
qu ealpreudomem olt plaisoit	--⌫|-|-------|-⌫--|-------|
et sidisoiten	-|-|-----|-|
que sil s efusttot	--||-|-⌫|---|--|
darmespenezet entremis	|----|----|-|-------|
sen fustil assezb ienapris	|-|---|-|----|-⌫--|----|
quantliuall esotfaitson tor	----|-|----⌫-|-|---|--|--|
deuantle preudomealretor	-----|-|-------|-|----|
lance leue ese n	----|----⌫||-⌫|
si come il li	-|---|-|-|
otueufaire	-|--|----|
sidist sir e	-|---|---⌫|
aileiebienfait	-|-|-|---|---|
c uidi ezuos que i a	-⌫----⌫-|--|--|-⌫|
mestiermait	------||--|
p ai ne seie metre	-⌫--⌫-|-|-|----|
onques ri en neuirentmi	-----|--⌫-|-|-----|-|
dont ie sigrantenuieeusse	---|-|-|----|----|----|
mol tuoldr o ie q ue i enseusse	---⌫|-----⌫-⌫-|-⌫-||-|-----|
aut r etan t comuosen s auez	---⌫-⌫----⌫|--|--|-|-⌫---|
cueri a uez	---||-⌫--|
preudomu os ensarois	------|-⌫-|-|-----|
iamarcusenconenaurois	-|--|-------|-|-----|
lipreudompartr oisfoism o nta	-|------|--|--⌫--|---|-⌫-⌫--|
p ar troisfois darmes	-⌫-|----|---||----|
itantcomeensai gnier	----|---|-----⌫----|
tantq ue assezensaigniélot	-----⌫-|----|---------||-|
etpar troisfoismonter lefi st	-|--|----|---|-----|-|--⌫-|
alad a errainelidi st	|-|-⌫-⌫------|-|--⌫-|
amis seuosencontriie z	---|-|--|----------⌫|
uncheualier	-|--------|
queferiiez	--|------|
sil uosferoi tie lrefer r oie	|-|--|-----⌫|-||-----⌫-⌫--|
etseu ostrelance	-|-|-⌫----|----|
apresche ni auroit il	----|--|||-----|-|
maisquas poinzli	-----|-|----|-|
corroie sus	------|--|
amis ce nef eriez uos	---|-|-|-⌫----|--|
quef eraidont parescremie	--|-⌫---|---|--|-------|
espee le doisrequerre	----|-|---|-------|
lors fichedeuantluien terre	---|----|-----|--|-|----|
lalanceenestantto tedroi te	-|----|-|-----|--⌫-|----⌫-|
lipreudomquit antle	-|------|--|-⌫--|-|
darmese nsaignieret	|----|-⌫--------|-|
qu eil sesach ebi en de s fendre	--⌫|-|-|----⌫|--⌫-|--⌫-⌫-----|
al espee s onlerequiert	||----||-|-|-------|
etenu airquant liuseniert	-|---⌫--|----|---|-|---|
puis amainal	---||---|||
a misfaitil enitelguis e	-⌫--|---|-|-|---|----⌫|
uosdesfendez son uos ass aut	--|--------||-|--|---⌫--|
deche fait	-|--|---|
diexmesal t	---|-|---⌫|
ne setnusta ntc omei efaz	-|--|--|--⌫-|-⌫--|-⌫|--|
quasboriax	-|-|-----|
chiez ma me reen aprisassez	----|-|--⌫-|-|----|----|
tantquesouent e n fui las sez	------|-----|-⌫|--|---⌫--|
dont alons huimai sa	---|----|--|---⌫||
faitlipreudomi en i	---|-|------|-⌫|||
aur on scuiq u il a nuit	---⌫--⌫|----⌫|-|-⌫---|
los telsaintiul iien anuit	|--⌫--|----|---⌫---|----|
lorssenuont anduicostea	---||-|---|----|----||
et liuall es d is tasonhoste	-|-|----⌫-|-⌫--⌫||--|----|
siremam ere mens aigna	---|-|-⌫--||---⌫----|
qua uech omenalaisseia	-|-⌫--|-⌫--||------|-|
nec ompaignienie usse	-|-⌫--------|||-⌫---|
granmentque son nonn e seusse	-------|--|--|--|-⌫|-----|
e tselemen saignas auoir	-⌫||--||--⌫-----|-⌫----|
uostren onsauoi r	-----|-⌫-|-----⌫|
biaxchi ersamisfai tl i	---|---⌫--|---|---⌫|-⌫|
gorne mansdegorhautainon	-----⌫---|-|------|-|--|
e i nsiiusqu alostel e n uie nent	-⌫-⌫--|----|||----|-⌫|---⌫---|
etmainamainandui	-|---||---|----|
se tienent	-|------|
alamonteedudegre	|-|-----|-|----|
uintunsu a ll estotdesongre	---|--|-⌫-⌫--⌫-|--|-|--|--|
quiaportaunmantel cort	--|-----|-|-----|---|
leuallet af fub lere n	-|-----|--⌫---⌫--|-⌫|
lechaut n e	-|----|-⌫|
froidurequimallifeist	-------|--|--|-|----|
richesmaisonsbe lesetgrans	-----|------|--⌫--|-|----|
otl ipreudometbons sergans	-|-⌫|------|-|---|------|
et li mengiersfuatornez	-|-|-------|-|------|
bonsetbiax	---|-|---|
etbienc on raez	-|---|-⌫--⌫---|
si laue rent lic heual ie r	-|----⌫---|-|-⌫-----⌫--⌫|
puissis asient almengier	---|-||-----|-|------|
etlipreudo mlez	-|-|------⌫|--|
luiassi st	--|----⌫-|
leualletetmengierle fist	-|-----|-|------|-|---|
auecluia uneescuele	---|--||--|------|
desmesn efazautref auele	--|--|-⌫|--|----|-⌫----|
quans eni ot nequelfurent	----|-||-|-|---|-----|
mai sass ezmengierent etbu rent	---⌫|---⌫-|---------|-|--⌫---|
delmen gierne fasautrefable	--|---⌫---|-|--|----|----|
quantleué furentde la	----|----|-----|-|-|
lipre udomqu imolt fuco rtois	-|---⌫---|--⌫|---|-|--⌫----|
priader emanoir unmois	---|-|-⌫------|-|---|
leualletquidalez	-|-----|--|----|
u n antotplainse iluolsist	-⌫|-|--|----|-|-|------|
leretenist	-|-------|
mo ltuolentiers	--⌫-|---------|
siapr esis t	-|---⌫----⌫|
endementie rs	----------⌫-|
t elschoses	-⌫--|-----|
seleslip leussent	|---|-|-⌫-------|
quaub esoing	-|-|-⌫-----|
me sti erlieussent	--⌫---⌫-|-|------|
etliualles li dis tapres	-|-|-----|-|---⌫|----|
si renesai seie su ipres	--⌫-|-|--|-|-|--⌫|---|
delmanoirouma meremaint	--|-----|-|-|---|----|
m ais ie pridieuqua	-⌫--|-|--|---|-||
tan tquencor	---⌫--|----|
lep uisseue oir	-|-⌫----|--⌫--|
carpasme ele uicheoir	--|-----⌫|-|-|-----|
alpi edel pont deuant laporte	-|--⌫|--|---|-----|-|----|
sinesais eleest ui ue	-|-|--||--|--|--⌫-|
d el doeldemoiq uan tle laissa i	-⌫-|---|-|--|-⌫---⌫|-|------⌫|
chai pasmeebien le sa i	---|-----|---|-|--⌫|
et por ce ne	-|--|-|-|
porroitpasestre	------|--|----|
tantqueiese uss eson estre	------|-|--⌫---⌫|--|----|
li preudom uoitque riens	-|------|---|--|----|
proi erelorparol efaut	----⌫--|--|-----⌫|---|
siuon tcou chiers a nzplus de pl ait	-|---⌫|---⌫----|-⌫-⌫-|---|-|--⌫--|
quelilit estoientiafait	--|-|--|-------|-|---|
lipre udompar matinleua	-|---⌫---|--|----|---|
au litleual leten	-|--|-|---⌫--|-|
laouill e trouagisant	-|-|-|-⌫|----|-----|
silifi s tporterenpresant	-|-|--⌫-⌫|-----|-|------|
che miseetbr aies decensil	---⌫---|-|--⌫---|-|-----|
et caucesenbresil	-|-----|-|-----|
dundrapdesoieynde	|-|---|-|---|---|
qu ifu tyssus	--⌫|-|-----|
etfai seny n de	-|---⌫|-|-⌫-⌫-|
porc heque	--|-⌫-|--|
uestir lifesist	-----|-|-----|
li e nu oia etsi lidist	-|-⌫--⌫--|-|-|-|---|
a miscesdra s quech i ueez	-⌫--|--|---⌫|--|--⌫|---|
u e stirez se uos me ncreez	-⌫-⌫-----|-|--||-⌫|----|
et liualles	-|-|-----|
respon tbiaxsire	------⌫|---|---|
uos por riiezassezmix dire	--|---⌫----|----|--|---|
lidrap quema	-|---|--|-|
merem efist	---|-⌫|---|
dont neu ale ntilmiex quecist	---|-|-⌫---⌫-|-|---|--|---|
e tuos uolezqueielesues te	-⌫|--|----|--|-|--|---⌫-|
uallet foique iedoi ma	-----|--|--|-|--|-|
nefoi queiedoi	-|--|--|-|--|
mes deusoe x	--|---|--⌫|
a incoisualent	-⌫-----|-----|
cis t a ss ez miex	---⌫|-⌫--⌫-|---|
fait liualle sa in sualentpis	---|-|-----⌫|-⌫--⌫|-----|--|
uosmedeistesbiax	--|-|------|---|
quantie u osamenaicaiens	----|-|-⌫-|-----|-----|
q ueuos toz mescomandemens	-⌫-|--|--|--|----------|
ferii ezetie s i	-----⌫-|-|-|-⌫|
faitliuallesia n	---|-|-----|-||
encon treuo s de nule chose	-----⌫--|--⌫|-|---|----|
asdras uestirplus n erepose	-|---|-----|---|-⌫|-----|
si a lessame relaissiez	-||--|-|--⌫-|-------|
etli preudom	-|-|------|
sestab aissiez	|--|--⌫------|
si lichauchalesp erond estre	-|-|------||---⌫---|-⌫----|
lacost ume	-|----⌫--|
soloittexestre	-----|--|----|
quecilqu i	--|--|--⌫|
faisoit cheualier	------|--------|
lesperon cau chier	|------|---⌫----|
dautres uallesasseziot	|-----|-----|----||-|
cha scuns quiaueniri pot	---⌫----|--|-----||--|
aluia rmer asamain mise	|--|-⌫---||-|---|---|
et l i pre u d omlespee	-|-⌫|---⌫-⌫-⌫-||----|
silicainstetsile baisa	-|-|-----|-|-|-|----|
quedonee lia	--|----|-||
le plushaute ordeneapres l	-|---|----|-----|----||
quedi e x ait faite	--|--⌫-⌫|--|----|
et comandee	-|-------|
c est lordred e c h eualerie	|--||----|-⌫|-⌫-⌫-------|
estresanz uilon nie	----|---|-----⌫--|
et distb iax frere oru os souiegne	-|---|-⌫--|----|-|-⌫-|-------|
seilauientquiluos couieg ne	-|-|-----|-|-|--|------⌫-|
combatrea aucuncheu alie r	-------||----|----⌫----⌫|
ich euo sweildir eetproier	---⌫|--⌫|---|---⌫|-|-----|
s euosenuene zal desus	-⌫|--|-|----⌫|-|----|
queuer suos ne	--|---⌫|--|-|
desfe ndre necontretenir	-----⌫---|-|----------|
ainzl estuece a merchiuenir	---||------||-----|----|
gardezquemerchi	-----|--|-----|
nencontreche n el o ciiez	|-------|--|-⌫||-⌫----|
parleztrop uolentiers	-----|---|---------|
nusn epuetest ret rop	--|-⌫|---|---⌫-|-⌫--|
parl ier s	----⌫---⌫|
quisoue nttelchosenedie	--|----⌫-|--|----|-|--|
qu itornéli	--⌫|-----|-|
esta folie	--||----|
car lisages dit	--|-|----|--|
quitropparol ei ls eme sfai t	--|---|-----⌫|-⌫|-⌫|--⌫----⌫|
biax amisuoscha stoi	---|---|--|---⌫---|
detrop parl er	-|---|----⌫-|
etsiuosproi	-|-|--|---|
s e uostro uezhomene fame	-⌫|--|---⌫--|---|-|---|
o rfenins ou	-⌫------|-|
s oit dame	-⌫--|---|
desc onsei lliezd	----⌫-----⌫----||
aucuner ien	-----|-⌫--|
cons eilliezle s si ferezbien	----⌫------|--⌫|-|----|---|
s e uos conseillie rlessauez	-⌫|--|----------⌫|--|----|
etse uos po oiren	-|-|--|--⌫--|-|
uneaut rechose uos	--|---⌫-|----|--|
quene tenezmieade sdaig	--|-|----|--||--⌫----|
carnefait pasadesd a ig nier	--|-|---|--||----⌫-⌫--⌫---|
uo le ntiersalezalmostier	--⌫--⌫-----|---|-|------|
pro iercelui quitotafait	---⌫--|----|--|--||---|
uostr e amemerchi ait	-----⌫|--|-----|--|
eten cestsiecle terrien	-|-|---|-----|------|
uosgart come	--|---|---|
soncrestien	--|-------|
liual lesadit aupreu do me	-|---⌫--||--|-|----⌫--⌫-|
de tozlesap ostre sde rome	-|--|--|--⌫-----⌫|-|---|
soiezuosbe neois biax sire	----|--|--⌫----|---|---|
quaut eloi	-|---⌫-|-|
m ameredi r e	-⌫|---|--⌫-⌫|
ornedite s iamaisbia xfrere	-|-|----⌫|-----|---⌫|----|
fa itlipreu dom queuostr emere	--⌫-|-|----⌫--|--|-----⌫|---|
uosait aprisrien seie non	--|--|----|---|-|-|--|
et sa chiezquene uosblasmon	-|--⌫----|--|-|--|------|
se uoslau ez ditdusqua c hi	-|--||--⌫-|--|----||-⌫-|
et des ormais uostremerchi	-|---⌫-----|-----|-----|
uospr oi qu euosenc hastiiez	--|--⌫-|--⌫|--|-|-⌫-------|
c ar se uos plus	-⌫-|-|--|---|
ledisii ez	-|-----⌫-|
afoliele tenroitlen	|----|-|------|--|
porcheuos proigardezuosen	--|--|--|---|-----|--|-|
comen td iraidont b iaxdolss ire	-----⌫|-⌫---|---|-⌫--|---|-⌫--|
liuau asors ce porrez dire	-|---⌫----|-|-----|---|
qui uos treesp er onuosca ucha	--|---⌫--|---⌫--⌫-|--|--⌫---|
leuosapristet ensaigna	-|--|-----|-|-------|
etcil l en a ledon	-|--||-||-|--|
queiamaista ntcomeil	--|-----|--⌫-|---|-|
nenparlera	|-|------|
d eceso itfis	-⌫|-|--⌫-|--|
lu inon quillie st uis	--⌫|--|-|-|-|-⌫-|--|
q ue cesoit biensqu il liens aign e	-⌫-|-|---|----|-|-|-|---⌫----⌫|
maintenantli preudomle saigne	---------|-|------|-|-----|
desamain quotenhaut	-|-|---|-|-|-|---|
et distpuisq ue lalerst a gr ee	-|---|-----⌫-||----||-⌫--⌫-|
oruaa dieu quit e cond uie	-|-||---|--|-⌫|----⌫--|
puisque li demorers tanuie	------|-|-------||----|
linouiaxcheualiers separ t	-|-----|---------|-|---⌫|
hosteetmolt liest ta rt	----|-|---|-|--|--⌫-|
qu ilas a mere	-|-||-⌫|---|
uenirpuisse	----|-----|
etq ueuiue	-|-⌫-|---|
le truisse	-|------|
lor s sestmise s	---⌫||--|--|-⌫|
foressou taines	----|---⌫-----|
carplus iset	--|---||--|
qua terres plai nes	-||-----|----⌫--|
f ores s eco nissoit	-⌫---|-⌫|--⌫------|
etcheualc hatantqueiluoit	-|-------⌫-|------|-|---|
unchastelfortetbien seant	-|------|---|-|---|----|
deforslesmurs n auoit	-----|--|---||----|
etai ueetterre gaste	-|--⌫-|-|----|----|
desr eru erslecha stel sehast e	|---⌫-|-⌫--|-|---⌫---|-|----⌫|
tantquedeuantla porteuint	------|-----|-|----|---|
mais unpontpa ss erlicouint	---|-|---|--⌫--⌫-|-|-----|
sifebl eainzqu alapor t e	-|----⌫|-----||-|---⌫-⌫|
qu apaines croitq ui lle sostiegne	-||-----|----|-⌫|-⌫|-|--------|
l i uallessor lepo ncelmonte	-⌫|-----|--|-|--⌫---|----|
s ilapassé	-⌫|||-----|
cainc malne	|---|--|-|
n e encom brier neliauint	-⌫|-----⌫----|-|-|----|
d esquedeuant lapo r teuint	-⌫----|-----|-|--⌫-⌫-|---|
fermee le trou ealacl ef	-----|-|----⌫||-|--⌫-|
hurte mie s oef	----|--|-⌫--|
nenapelemiet r opbas	-||----|--|-⌫-⌫-|--|
tant iferi	---||---|
qu isne llepas	-|----⌫-----|
uint asfenestr esde	---|-|-------⌫-|-|
unepuc el ema ig re etp ale	--|---⌫--⌫|--⌫--⌫-|-|-⌫--|
etd istqui estcil qui apele	-|-⌫--|--|--|--|--|----|
c i l regardeue rs la pucele	-⌫-⌫|------|--⌫-|-|-----|
sile uoitet distbele	-|-|---|-|---|---|
unscheualierssui qu iuos prie	--|---------|--|--⌫|--|---|
que laiensmefaciezentrer	--|-----|-|-----|-----|
oste lanuit maispre ster	----⌫|----|---|---⌫---|
sir e fait e l e uoslarez	---⌫|---|-⌫-⌫|--||---|
ma is pe titdegre men s arez	--⌫-|--⌫--|-|--||-|-⌫---|
et nep orquant nos	-|---⌫------|--|
sibel ho s tel com	-|--|--⌫-⌫--|--|
nousporro ns	---|-----⌫-|
lors sestlapucelearrie rt raite	---||--|-|-----|-----⌫|-⌫----|
etcilquiale	-|--|--||-|
p o rteagaite	-⌫-⌫--|-----|
trop ester	---|----|
sirecomen cheara pele r	-|-------⌫--||--⌫----⌫|
ettantostquat re seriantuindren t	-|------|----⌫-|------|-------⌫|
quihach es	--|----⌫-|
etot c hascuns ca int	-|-|-⌫------|--⌫--|
sio ntla p orte desfermee	-|-⌫-|-|-⌫---|--------|
uenezauant	----|----|
fui ssen tli seriant	---⌫----⌫|-|------|
moltfuissentbelmais	---|-------|--|---|
ilauoie nt	-|-----⌫-|
mesaise eu tantquil esto i ent	------|-|-----|-|----⌫-⌫--|
deieuneretdeueillie r	-|-----|-|-|-------⌫|
tel con s en peustmerueil lier	--||-||-|----|-------⌫---|
car cileut	--||-|--|
bi endefors t r ouee	--⌫-|-----|-⌫-⌫---|
nue etd es ertee	--|-|-⌫--⌫----|
etded ens molt pe t it	-|---⌫--|---|--⌫-⌫-|
cartotpar totouilala	--|--|--|--|-|-|--|
trouadegasteesles rues	----|--------|--|---|
et l esmaisonsuitdecheue s	-|-⌫-|------|--|-------⌫|
c omenefemen	|--|-|---||
deusmostiersen	---|-------|-|
lauil e auo it	-|---⌫|---⌫-|
quii afur ent	--|-⌫|---⌫--|
deusabei es	---|----⌫-|
lune denonainsesbahies	|--|-|------|-------|
l autre de	|----|-|
moignese sgarez	------|-⌫-----|
netrouamie	-|----|--|
bi enparez	--⌫-|----|
ces mosti ers	--|-----⌫--|
po rtendus	--⌫------|
a incoisuitcreueze tfen dus	-⌫-----|--|-----|-⌫|---⌫--|
l esm urs etlest ors descou erte s	-⌫-|-⌫--|-|--|-⌫--|------⌫----⌫|
e tles maisonse rentoue rtes	-⌫|--|------|-⌫---|---⌫---|
auside nuitcomede iors	---|-|---|---|-|---|
mol insni m uetneniquistfors	---⌫--|||-⌫--|-|||----|---|
de tot lechastel	-|--|-|------|
nilnia uoit	|-|||-⌫---|
uin neg astel	--|-|-⌫----|
n e riennulequifust	-⌫|---|---|--|---|
do ntlenpoistun denierprendre	--⌫-|--|----|-|-----|------|
ens itroual ech astelgaste	---⌫|----|-⌫|--⌫----|----|
niau oit nepain	||--⌫--|-|---|
ne uinne sydre	-|--|-|----|
ne cer uoise	-|---⌫----|
ue rsunpalaiscouert	--⌫-|-|-----|-----|
lont liquatreseriantmené	|--|-|-----|------|----|
e t desce ndu	-⌫|-----⌫--|
etdesarmé	-|-------|
ettant ostu n s ual lesauale	-|----⌫--|-⌫-⌫|---⌫--|----|
p arundes degresdelasale	-⌫-|-|--|-----|-|-|---|
q ui aport a un ma ntelgris	-⌫-|-----⌫|-|--⌫---|---|
aucolauch e u alierlamis	-|--|-|--⌫-⌫-⌫----|||--|
etunsautresaestablé	-|--|-----||-------|
soncheu allaouil n otble	--|----⌫-|-|-|-||-|--|
nefainnauai nese peunon	-|---||----⌫-|-|--|--|
carilnestoiten lamaison	--|-||-----|-|-|-----|
de u antel slefont	--⌫-⌫--|--⌫|-|---|
parunsdegr ezm onter amont	--|--|----⌫-|-⌫----|----|
m olt ert bele	-⌫--|--|---|
dui preudome et une puce le	--|-------|-|--|----⌫-|
l ison ta lencontre uenu	-⌫|---⌫|||-------|---|
l i preudomeestoientchenu	-⌫|-------|-------|----|
nonp assiqu e	--|-⌫-|-|--⌫|
t otfuiss entblanc	-⌫-|-----⌫--|----|
d ebel eagea totlor	-⌫|--|---||--|--|
etatoutelor forcefuissen t	-||----|--|----|-------⌫|
sed oe let	-|-⌫--⌫|-|
pesanceneus sent	------||---⌫---|
et lapu celeuintplusco inte	-|-|--⌫---|---|---|--⌫---|
etplusaces mee etplusiointe	-|---|----⌫--|-|---|-----|
queespreuiers nepapegau s	--|---------|-|-------⌫|
ses mantiaxfuetsesbliaus	--|------|-|-|--|-----|
dune p or pre noire e st elee	|--|-⌫--⌫--|----|-⌫--⌫---|
dore tnestoit miepel ee	|-|-⌫||-----|--|---⌫-|
lap enn equid ermi ne	-|-⌫---⌫|--||----⌫-|
dun sebelin noiretchen u	|-|------|---|-|----⌫|
quin es toi ttroplons netro p lez	--||--⌫---⌫|---|---|-|---⌫|--|
ful i mantia x	-|-⌫|------⌫|
etseieonquesfisdeuise	-|-|-|-----|--|-----|
enb iaute que diex	-|-⌫----|--|---|
e nc ors de	-⌫|-⌫--|-|
femenee n face	---|-|-⌫|---|
or me replaistqueune enface	-|-|-------|--|--|-|---|
desfub lee fue ts iot	------⌫--|-|-⌫|-⌫|-|
leschaueusti e x sestre poist	--|------|--⌫-⌫||----|----|
quebienquidas tquiles	--|---|------⌫|--|--|
f uissenttotde fin or	-⌫------|--|-|--|-|
tant estoientluisa ntet	---|-------|-----⌫-|-|
othaut et bla ncet plain	-|---|-|---⌫-|-|----|
co me silfust ourez	--⌫-||-|---|----|
et q uede maind omeourez	-|-⌫-|-|---||--|----|
depierreoudyu oir e ou d efust	-|-----|-||--⌫---⌫|-|-⌫|---|
sorcie xbienf ais	------⌫|---|-⌫--|
etlarge entrueil	-|----|-------|
enla te stef urent	-|-|--⌫--|-⌫----|
rian t cler etfendu	----⌫|---|-|----|
lenezotdroit	-|--|-|----|
et estendu	-|------|
et miexauenoiten	-|---|------|-|
sorle blanc	--|-|----|
qu e lisinople sso rl	--⌫|-|-------⌫|--⌫||
emblerles cuers d e gent	-----|--|----|-⌫|---|
fist diexe n li	---|---|-⌫|-|
pass eme rueil le	----⌫---⌫-----⌫-|
co nquespui snefist	|-⌫----|---⌫|-|---|
sapare ille	-|----⌫---|
ned eua nt faite	-|-⌫---⌫-|----|
nel au oit	-||--⌫--|
et quantlicheual i e rsl euoit	-|----|-|------⌫-⌫-⌫-|-⌫|---|
silesalu eetele lui	-|-|----⌫|-|--|--|
che ualiera mbedui	---⌫-----|-⌫-----|
et ladamoisele	-|-|--------|
parlema in debonairemen t	--|-|--⌫-|------------⌫|
et di stbiaxsireu ostre hosteus	-|--⌫-|---|---|-⌫----|------|
cert esniert	----⌫-||---|
mie anquenuitteus	--|--------|---|
com ea preudome couenr oit	---⌫||-------|------⌫--|
seieuos dis oie orendroit	-|-|--|---⌫--|--------|
cou ineettotnostre	---⌫--|-|--|-----|
uosc uider iiez pu etcele stre	--|-⌫-----⌫---|--⌫-|--|-⌫---|
que parma uuestie ledeisse	--|--|--⌫------|-|-----|
uos enfeisse	--|-|-----|
maissil u os	---||-|-⌫-|
pl aist ore iuenez	--⌫---|--||----|
losteltelcomeil es tp r enez	|----|--|---|-|--⌫|-⌫-⌫---|
et di ex u os doin st	-|--⌫-|-⌫-|----⌫-|
meillor dema in	------|----⌫-|
e i nsil enm aine parlema in	-⌫-⌫--||---⌫---|--|-|--⌫-|
ius quau nechambrecelee	---⌫-||-⌫-|------|----|
qui molt f ubeleetlongueetlee	--|---|-⌫|---|-|-----|-|--|
sorunecoutede sam it	--|--|----|-|---⌫-|
quifu es tendueenun lit	--|-|--⌫-----|-|-|--|
l a iens a nduiassis	-⌫-⌫---|-⌫---|----|
cheualierq ua tre cincetsis	--------|-⌫--⌫--|---|-|--|
uin rent laienset sises istrent	---⌫---|-----|-|-|-|-⌫------|
pargranstropia x	--|----|------⌫|
etmot nedistrent	-|--|-|-------|
etuirent celuiquise	-|-----|----|--|-|
dalezlordameetmotnedist	----|--|---|-|--|-|---|
p or chedeparler s e t e noit	-⌫-|--|-|-----|-⌫|-⌫-⌫---|
quedelchas toilisouenoit	--|--|----⌫--|-|-------|
preudo ml i	------⌫|-⌫|
auoi tf ait	----⌫|-⌫--|
sen tenoiententraxgrant	|-|-------|---|-|----|
tuit liche u aliera conseil	---|-|---⌫-⌫----||------|
d iex faitc hascuns m o ltme merueil	-⌫--|---|-⌫------|-⌫-⌫-|-|------|
secilcheual iersest	-|--|------⌫---|--|
