aladolour del	|-|-----|--|
bienetalbon d oefe t a	---|-|----||--|-⌫||
lesstopes messusuneior	--|-----|--|--|--|--|
etune nuit.	-|--|---||
alenfleure est chi .	||-------|--|--||
alenf leureetalad olourdelpoumo nt	||---⌫----|-||-|-⌫----|--|-----⌫-|
pren slesfuelh esde l	----⌫|--|-----⌫-|-||
aloesn eetdelrueetdel	------⌫|-|--|--|-|-||
yso peetlesemence	---⌫-|-|-|------|
d e lortie etlesracinesdelneeet	-⌫||----|-|--|------||----|-|
d elfenoil etlecento i neetmiel auecet	-⌫-|-----|-|-|-----⌫-⌫-|-|---|---|-|
doneb oir esouent.	---|-⌫---⌫|-----||
etalspenisse	-|-|-------|
e al ciefest chi.	|-|---|--|--||
a lspeniscemi fuelhboi s ulebiuu t.	-⌫|-------|--⌫----|---⌫||-|----⌫||
ala dolo ur delcief pe n	|-|----⌫-|--|---|--⌫|
liacoul le	-||---|-|
racinedelbiu ueut .	-----|--|---⌫---||
al ad olourdesd ens maingies la racined el	|-⌫|-⌫----|--|-⌫--|-------|-|-----|-⌫-|
bri seure de l	---⌫----|--⌫|
alabriseuredel	|-|-------|--|
chiefprenslebetoinetruilei s e tme ssusse	----|----|-|------|-------⌫|-⌫|--⌫|--|-|
saneetsi e stsi	---|-|-|-⌫-|-|
fortke liosbrisiés	---|-|-|-|-------|
estraintfors.	-------|---||
ale spur gement delcieflib al sames goteis	|-|----⌫-----|--|---|-|-⌫--⌫----|-----|
esoreilhess ile san e etspurge.	-|-------|-⌫|-|---⌫|-|-----||
cest az cutu res	|--|-|----⌫--|
etazplaies	-|-|-----|
alzcuituresprens	--|-------|----|
leslie setsic uis bie n	--|---⌫|-|-|-⌫--|---⌫|
enaig ue et leuelarsure	-|---⌫-|-|---||-----|
ule cui tu resouentsisanerat	|-|---⌫--⌫-|-----|-|------|
ua zplaiesle ruhiend elfer	|-⌫|-----|-|-----|-⌫-|--|
k ichiet delenglumetr ui le auecmiel et	-⌫|----|-||------|--⌫--⌫-|---|---|-|
aisilet mesenl aplaieetancorlefrigon	----|-|--|-|-⌫|----|-|----|-|-----|
boireauec .	----|---||
alasc ape etazplantesest	|-|--⌫--|-|-|------|--|
prensrumarinauecui esuienetc haide	----|------|---|--⌫-|---|-|-⌫----|
aiguesiboiuepar	----|-|----|--|
az plantesuensiescomientruil e it auec	-|------|------|-----|-----⌫-⌫-|---|
oil e prens et silen oinssouentet fuel l	---⌫|----|-|-||-|---|-----|-|----⌫|
a la dolour des	|-|-----|--|
aladol ourde sar tes prensquin tefuelhe	|-|---⌫--|--⌫|--⌫--|----|----⌫-|-----|
truillesi loiesus	------|-|---|--|
auecuies oint.	---|---|---||
palesienci.	-------|-||
a pales ienprenss aigeetsauine	|-----⌫--|----|-⌫---|-|-----|
etma rone etmentenoire	-|--⌫---|-|----|----|
et b etoi n eetagremoine ets ar ie	-|-⌫----⌫-⌫|-|--------|-|-⌫--⌫-|
etpe pineleetca rdonetfrasiertruil eeauec	-|--⌫-----|-|--⌫---|-|------|-----⌫-|---|
ui ene t poiureetsili doneboireet	--⌫-|-⌫|-----|-|-|-|---|----|-|
m ainetas or etancor le	-⌫--|-||-⌫-|-|----|-|
fl ammeki semble gl aiuelsi prens	--⌫---|-|-----|--⌫----|-|----|
etle r ue et l epoliulet	-|-|-⌫-|-|-⌫|-----|-|
et lesc o ruce de ltrainle e t sidone boire	-|-|--⌫-⌫---|--⌫|------|-⌫|-|---|----|
sileuomistu iert	-|-|-----||---|
ces taz oelhlar moians etala pa r ole	|--⌫|-|---|---⌫-----|-||-|--⌫-⌫--|
kiparl eirnepuetmesli	-|----⌫--|-|---|--|-|
les aig esor le laing ue.	-|-⌫---⌫|--|-|-----⌫-||
azoe ll ki l armoi ent rue seche	-|--⌫-|-|-⌫-----⌫--|--|----|
auec miesetaisil t ruileit	---|---|-|----|-⌫------|
e tbiencolleitprens et sien	-⌫|---|------|----|-|-|-|
oi ngneles oelh siosterat leslarmes	--⌫---|--|---|-|------|--|-----|
cestalcuer boen.	|--|-|---|---||
al cuercoci unpre nsl o ski estel	-|---|----⌫-|---⌫-||-⌫|-|--|-|
cuerde lcerf etsi	---|--⌫|---|-|-|
etsienfaispoure	-|-|-|---|----|
etsidone boireauecpoliultruile itena igue	-|-|---|----|---|-----|------⌫-|-|-⌫---|
chaudeauecuienetmiel.	-----|---|---|-|---||
a ceazki chi entest .	|---|-|---⌫--|--||
a ceazkici ent	|---|-|--⌫--|
l e racine del	-⌫|-----|--|
uiszalbetrui le	-------|----⌫-|
e tmes auecuienetlas emencedesrapes	-⌫|--|---|---|-|-|-⌫-----|--|----|
et lidoneboi rele p romieriordaw oust	-|-|---|---⌫-|-|-⌫-----|--||--⌫---|
en totlan s erat sains.	-|--||-|-⌫---|----||
cestb oena fifaire.	|--|-⌫--||-|----||
iorsmaniu st	---|-----⌫-|
leprom ier	-|----⌫--|
iors unescliepeetle	---|--|------|-|-|
secondoise tlet i ertro is	----|---|-⌫|-|-⌫-⌫-|---⌫-|
etlequaryye tle	-|-|---|-|-⌫|-|
cinquemeyy e tlesi xteyyet	-------|-|-⌫|-|--⌫--|-|-|
l e seteime yyetl utemeyy	-⌫|------|-|-||----|-|
etlenoue me	-|-|----⌫-|
sigaratt ous.	-|----|-⌫--||
a ladolour	|-|-----|
desn ari nesqui souent	--|-⌫---⌫--|--|-----|
anco resc risenladexstre spaule	----⌫|---⌫--|-|-|------|-----|
de celui kisainne parle	-|----|-|-----|--|-|
neissiesta nc erat .	---|-|----⌫--⌫---||
alauois es cla rcierest .	|-|---|--⌫---⌫----|--||
uoisesclarcier prensle	---|---------|----|-|
brendelorge	---|-||---|
cuisenl aig uebi en a la	---|-||---⌫-|--⌫-||-|
tierceetc elle aigue	-----|-|-⌫---|----|
tie ns enta bo ucheetget eforspa r	---⌫-|-|-|--⌫---|-|---⌫|---|--⌫|
yyf o isu yyu l e muls e	-|-⌫-⌫-||-||-⌫|----⌫|
ensiment .	-------||
mul seestlesdoi sp ar s aigueet	---⌫-|--|--|---⌫|-⌫--⌫|----|-|
latiercemiele	-|-----|---||
qua nte lleestbien	---⌫-|-⌫--|--|---|
ulepoiures iletienslongemen te n ta bo uche	|-|-----|-⌫|-|----|--------⌫|-⌫|-|--⌫---|
a ladolordel	|-|----|--|
a ladolour	|-|-----|
deluessiefuetleglaiueletsechebien	--|-----|---|-|------|-|----|---|
larac inee t	-|---⌫--|-⌫|
selboi sauien.	-||---⌫||---||
ales crac heest chi.	|-|-⌫----⌫-|--|--||
a lescracequinte	|-|-----|-----|
fuelh etdel uiesoi ntsi	----|-|--|---|--⌫-|-|
les tampebienfortdonfu is tenun	-|-⌫----|---|---||-|--⌫--⌫|-|-|
uaseld efuis tetsimes	----|-⌫|----⌫|-|-|--|
uienetl ong ementdesoir.	---|-||---⌫----|-----||
cestkisaincuom ist chi	|--|-|----|---⌫--|--|
kisaincuomi stp rensl a pie et le	-|----|----⌫-|-⌫---||-⌫--|-|-|
mente e t la	----|-⌫|-|
ruesilesboul een lait etsi	--|-|--|----⌫|-|---|-|-|
lidon eb oire.	-|---⌫|-⌫---||
azceueazcreistrefaire.	-|-----|-------|----||
az c e u eaz	-|-⌫-⌫-⌫--|
creist re .	------⌫-||
prenslebotoine etle	----|-|------|-|-|
cuisenlairt et enaigueetle prom ie r	---|-|----|-|-|----|-|-|----⌫--⌫|
iorcommet ul aztondutl eleuesde	--|----|-⌫||-|-----|-⌫|----|-|
crue ai gue.	---|--⌫--||
cellequec uissis.	----|--|-⌫-----||
et pu isleleu esde	-|--⌫-|-|---⌫-|-|
crueai gueetp uis li oingned o ile .	---|--⌫--|-|-⌫--|-|-----||-⌫--||
ce stacefar.	|-⌫-||----||
azpoustoli rest	-|---|----⌫|--|
a ce farar t lelinus e t	|--⌫--|--⌫|-|----|-⌫|
meslele pour eauecoile.	----|-|----⌫|---|---||
uce fa itruileai gremoine auec	|-|--⌫|-----|--⌫-------|---|
lai tde chie u ree tsi le noi nt.	---⌫|-|----⌫-⌫-|-⌫|-||-⌫|--⌫-||
a pous tolirou leetru hien defer	|---|----|--⌫-|-|--⌫---|-|--|
pren senuolupez melle	----⌫|--------|----|
etfrotela.	-|----|-||
az ming nesetazplaiesestchi.	-|----⌫--|-|-|-----|--|--||
a mingnestolir aunixeet	|------|----|-----|-|
fort prens etsusmes .	---|----|-|--|--||
azp laiesc hanc roises prensaigremoine tr uileitauec oe f	-|-⌫----|-⌫----⌫-----|----|---------|--⌫-----|---|--⌫|
e tmessus.	-⌫|--|--||
tolirest .	----|--||
aluenien tolirla seme nce etle fu e lh	-|-----|----|-|----⌫--|-|-|--⌫-⌫-|
delcaneu etru ilee aueclaitdechiuere	--|-----⌫|---⌫---|---|---|-|------|
et dain e sseetdoneli boire.	-||---⌫-⌫--|-|---|-|----||
cest ala flegme.	|--||-|-----||
ale as s on leeeluentre	|-|--⌫-⌫--⌫--|-|-----|
prensra ue ne	----|--⌫--⌫-|
maniust asseiset	------|-----|-|
aigueboiue	----|----|
azosses plo iés	-|----|---⌫---|
elchiefes t chi.	-|----|--⌫|--||
azos ploiése lch ief pren s semencedegenestretemp re	-|-|------|-⌫|--⌫--|----⌫|------|-|-------|----⌫-|
b ieny yio rs en uiene t en aigue	-⌫--|-⌫|--⌫-|-|---|-⌫|-|----|
et s idoneboire.	-|-⌫|---|----||
et ancor le iu sbetes etdes m aluesprens	-|----|-|--⌫|----|-|--|-⌫----|----|
enoing le cief.	-|---|-|---||
etancorscuislesf loursda nnet el	-|-----|---|--|-⌫----||-⌫---|-|
uienet enoingelefront.	---|-|-|----|-|----||
cesta u ers.	|--||-⌫--||
pue tdormi r.	---⌫|-----⌫||
seliuerssunt en	-|-|---|---|-|
iu s defo rt et de	--⌫|-|--⌫-|-|-|
maroign esimes ens.	-------⌫|-|--|--||
ki dormirnepul en tprensfort	-|-----|-|---⌫--⌫|----|---|
auecu ien etaig ue chaudeboiueet ancorse mence d	---|-⌫--|-|---⌫-|-----|----|-|----|--⌫----||
oiledepauoirboiueauecu ienu	---|-|-----|----|---|-⌫--||
e tse li cheueaz c hiet.	-⌫|-|-|------|-⌫---||
etaluentre .	-|-|-----||
seli cheueaztoi chaentcuis les	-|-|------|--|-----|---|--|
maulesatoteslesrac i neset	-----||----|--|---⌫-⌫--|-|
sileuelecief .	-|---|-|---||
eta ncor se ch esle cauordesalu aige ulaltre	-|-⌫---|--⌫--⌫-|-|------|----⌫---|||----|
etfais poure etsi mes sus quant tu	-|---|----|-|-|--|--|----|-|
et defortestcemeismesuaut	-|-|---|--|-|------|---|
alatiengn e.	|-|------⌫||
aladolou r	|-|-----⌫|
del uentretruile	--|-----|-----|
l erueetbo isadesule ius	-⌫|--|-|--⌫-|---||-|--|
boif de l pl a intainades teue .	---|--⌫|--⌫-⌫-----|---|---||
aluentre estraindreest.	-|-----|---------|--||
al uentr eestra in dreprensiusdeplaintaincuit a uecasile	-|-----⌫|-----⌫--⌫--|----|--|-|--------|---|-⌫--|----|
sileboiue engunz plainsyyc uilhiersu	-|-|----|-----|-----|-|-⌫-------||
otantdeliu s demifuelhauecuie n	----|--|--⌫|-|------|---|---⌫|
d o lorde s ra ins.	-⌫-⌫--|--⌫|--⌫--||
a lado lourd e s rainsplaineunuefd eius	|-|--⌫---|-⌫-⌫|----|-----|-|--|-⌫|--|
d ebetoineen uieneten mieltruleite ns onleet	-⌫|------|-|---|-|-|---|------|-⌫--⌫---|-|
yygrainsdepoiure etce bo iue	-|-----|-|-----|-|-|--⌫--|
paryyiorsengun em ent.	--|-|---|-----⌫--⌫--||
etdelplaie est.	-|--|----|--||
ala uess iesaxefrikeboiuea uien	|-|----⌫-|--------|----||---|
alaplai e rueplaintentruileit auie zointsi	|-|----⌫|--|-------|-------||---⌫|---|-|
m es sussicom meenplaistre	-⌫-|--|-|---⌫-|---------|
delmo rtchair .	--|--⌫-|----||
morte charle s	----|---|--⌫|
escaillon s desnoisgalgesseil et	---------⌫|--|---|-----|---|-|
sa uontru i leitensembleet mes dedens.	--⌫--|---⌫-⌫---|-------|-|--|-----||
azdeu is eeherbes.	-|---⌫--⌫-|-----||
azdiuisages h er besrartilieetlewa ngil e etboun	-|--------|-⌫--⌫--|-------|-||---⌫----⌫|-|---|
ecens p ortesorluitoutans.	----|-⌫---|--|--|--|---||
et anco rs	-|----⌫-|
e t prendeplonke	-⌫|-----|-----|
ets ien faceune	-|-⌫|-|---|--|
croi setsienscriuetoutel ant er n e deuens.	----⌫|-|-|-------|----||---⌫--⌫-⌫|-----||
etce loiealco l	-|-|---|-|--⌫|
del malade et si	--|-----|-|-|
gard eiskeilh nedormepartrois	----⌫--|-|--|-|----|--|----|
nuze tpar t rois meridianess i gara t.	--|-⌫|--|-⌫---|---------|-⌫|----⌫||
cestat o uteenferteis.	|--||-⌫-⌫--|--------||
enferteis lessemencesde	--------|--|-------|-|
cezh erbes delapie	--|-⌫----|-||---|
fenoil auueclouestrepe resien rue cous panaisec oriandresarie	-----|----|-------|--⌫-----|--|---|------|-⌫-------|----|
comiencerfuelhc ress onbet eyso pesaxe frik e totei sn element	-----|-------|-⌫----⌫-|---⌫|---⌫-|----⌫----⌫|---|-⌫--⌫------|
truileitetsiboiue.	-------|-|-|----||
lecoriandreespartel maison.	-|--------|-----|-|-----||
faire cleirue i res t.	----|----|--⌫-⌫|--⌫||
a faire clei rfacecuis le	|----|----⌫|---|---|-|
racine delouestreeten l	-----|-|-------|-|-||
aigu e sien	----⌫|-|-|
leuesouent tefa ice.	---|-----|-|--⌫--||
par cleir ue irest.	--|----|--⌫-|--||
ueirbe toineman ioisior	---|--⌫----|---⌫---|--|
kisouentflaireleruele	-|-----|-----|-|--|-|
saincens traint.	----|---⌫-----||
cest a d olour del	|--||-⌫----|--|
kid olourat ent or lecuerule	-|-⌫----|-|---⌫-|-|---||-|
piz poli ulmani oi seuleme n te boiue	--|----⌫-|----⌫--⌫-||-|--⌫-⌫-|----|
auec uienetseilule centore auec ui en	---|---|-|---||-|------|---|--⌫-|
cestpar puize t	|--|--|---|-⌫|
apuize tlenzo steirdelrue	|---|-⌫|---|-⌫----|--|--|
t ru i leeaoile	-⌫--⌫-⌫--||---|
froieslechief	-----|-|----|
desuerdesbetesl	--|-----|----||
ki trop paroleua	-|---|-----|||
h o mei rus .	-⌫-⌫-|-⌫--||
alo homeirousapie b oiu eades	|-|---|----|---|-⌫---⌫|---|
kiparnuisparolee u eroine	-|--|---|-----|-⌫-⌫-----|
b oiue aueca isil.	-⌫---|---|-⌫---||
azlous oc ire est .	-|---|--⌫--|--||
lousociere uaz aultres beste	---|-----||-|------|----|
lewimauletruilea	-|------|-----||
sei letespartsor les charsetk i	---⌫|-|-----|--|--|----|-|-⌫|
enmai ngera tprende le po rastoust	-|---⌫-----⌫|-----|-|--⌫--|----|
ula semencedes	|-|------|--|
i u nke truileet si	-⌫-⌫--|-----|-|-|
lemelleauec les	-|----|---|--|
c estla medecinedespor s.	|--|-|-------|--|---⌫||
promiers tu	-------|-|
dois dieresorun pain .	---|----|--|-|---||
etpuis sidisne d e.	-|---|-|--|-|-⌫||
nedautre enferteit	-||----|--------|
aitmalznemort.	--|---|-|---||
cellep ai n doneis les	----|-⌫--⌫|-----|--|
p or smai ng ieren goincu e r	-⌫--⌫|---⌫--⌫--|--⌫---|--⌫-⌫|
cestalafiure.	|--||-|----||
alfiureprensunepomesienfais	-|----|----|--|---|-|-|---|
yy p iec eet silefen s det reuer s et disoure	-|-⌫---⌫|-|-|-|---⌫|-|-⌫-----⌫|-|------|
chas c onn e piece	----⌫-⌫---⌫|----|
e ts ifa icroi s.	-⌫|-⌫|--⌫|----⌫||
ete scris en	-|-⌫----|-|
chascune pieceet desci	-------|----|-|----|
atroisio rsd oneis lefiuroischasco n iors	|----|--⌫-|-⌫----|-|------|------⌫|---|
unepiecemaing ie r sigarat et	--|----|-----⌫--⌫|-|----|-|
a eng uncuer.	|---⌫-|---||
a loiegr iefo i n t	||--|--⌫--|-⌫-⌫-⌫|
dawe au uec iusde	|--|--⌫--|--|-|
fortlemesen lo rei lhet	---|-|--|-||-⌫---⌫-|-|
lei usdecoriandre	-|-⌫-|-|--------|
auecl elaitd e fe mme	---|-⌫|---|-⌫|--⌫--|
ki f ilhalait e.	-|-⌫--|-----⌫||
atou sest .	|---⌫|--||
alsecchetoussemeced	-|-----|---|-----||
appeet defenoil etda nnetis nellement	---|-|-|-----|-||-⌫---|--⌫--------|
e tp oiureencontreetmellebien truileitenmiel	-⌫|-⌫----|-------|-|----|---|-------|-|---|
etuies uien etdon e	-|---|---|-|---⌫|
par tailhierarb res.	--|-------|---⌫--||
delquinsemelune dechi aleuin t eme	--|-------|---|-|--||-|---⌫-⌫--|
prime doit onstailhi erles	----|---|--|------⌫-|--|
cestazo elhc alin.	|--|-|-⌫--|-⌫---||
des oelhpr ensl aracinedelfenoilettruile	--|---|--⌫--|-⌫|-----|--|-----|-|-----|
b ienauecle p ai ndefor ment	-⌫--|---|-|-⌫--⌫|-|---⌫---|
etm essu sle	-|-⌫-|--⌫|-|
ki pissiernepuet.	-|------|-|---||
nepuet prenssauin e	-|---|----|-----⌫|
sile truillebiena	-|-|------|---||
asile to li	---|-⌫|-⌫-|
rousat etbienle melleet	-----|-|---|-|----|-|
ointle chief forte m ent.	---|-|----|-----⌫-⌫--||
cest po r lefi	|--|--⌫|-|-|
a l ficc eloigneet cerfuelh	-⌫|--|-⌫------|-|-------|
auecpoiure etauecceruois ese	---|-----|-|---|-------⌫|-|
lid on eboire.	-|-⌫--⌫|----||
leslune squant ifait bon seignier	--|----⌫|----||---|--|-------|
enpr imelu nefait bone seingnier.	-|--⌫--|--⌫-|---|---|--------||
secun de n om	-----⌫-|-⌫-|
tierce bun.	-----|--||
matin ee bun .	-----⌫-|--||
quintemale .	-----|---||
sixtemale .	----|---||
setimebune.	-----|---||
uime denuene	---|-|----|
iu squ aluespre bun .	--⌫--|-|-----|--||
dismebune.	----|---||
unzime male .	-----|---||
tresimebuntroisqua nune.	------|--|------||---||
quatozimeb une.	--------|-⌫--||
q uinzimemale.	-⌫------|---||
sez imema le.	---⌫--|--⌫-||
disetimebun.	-------|--||
disuitimemale.	--------|---||
d isenu mebone .	-⌫-----⌫-|---||
ui ntismebun.	--⌫-----|--||
etunebune.	-|--|---||
uientet d o isbunetresquamedis .	----|-|-⌫-⌫-|---|-----||----||
uienttroisdelbun eoure	----|----|--|---⌫|---|
et auantbune.	-|----|---||
uientquatrebune.	----|-----|---||
uient yym ale.	----|-|-⌫--||
uientyymale .	----|-|---||
uient yymale .	----|-|---||
uie n tyyma le .	---⌫-⌫|-|--⌫-||
litrenteumem ale .	-|--------|-⌫--||
promiereluneestb o nepartotecomencier	-------|---|--|-⌫-⌫-|--|---|--------|
enfeski nais tclersestuois oie s sagesletrez	----|-|----⌫|----|--|----⌫---⌫|----|-----|
etenaigue peristra	-|-|----|-------|
etsilesca p elongementuiurat	-||-|----⌫-⌫|--------|-----|
pucellene e let tree castedoulcebellepla isa nsahome	------|--⌫|---⌫---|----|-----|----|---⌫---⌫-||---|
droitsaratdeuiseir en	----|----|-------|-|
s onderaineiagegiratlongeme ntmalade.	-⌫-|-----|----|----|-------⌫-|-----||
ense ingn e araten	----⌫----⌫|---|-|
lab o uche	-|-⌫-⌫---|
uelsurcil.	|-|-----||
kichietene nferteitlongement	-|----|-|-⌫-------|--------|
li s on geioie	-|-⌫--⌫-|---|
sene fient.	----⌫----||
c estlune.	|--|---||
atote schosesfai reest bon euen dreachate ir	|----⌫|-----|---⌫-|--|---⌫|---⌫--|------⌫-|
entreren nef	-----|-|--|
enfeznezsaige suois ousdoul z bie nourous .	----|--|-----⌫|----⌫--|----⌫|---⌫------||
pucelleensiment .	------|-------||
kigiesttoust gar ist.	-|----|----|---⌫--||
soingesuntuaie n .	-----|---|----⌫||
litierceue ure nest	-|-----|--⌫--||--|
pasa comencier se	--||--------|-|
c ellenon ki p uet ren aistre	-⌫---|--|-|-⌫--|---⌫-----|
str eperbes tedonteirue rscast ier	---⌫---|---⌫-|------|--⌫-|----⌫--|
necortillier	-|---------|
fuitoustoust ie rt	------|----|--⌫-|
troue it .	-----⌫-||
enfertostgaris tulonc perilh sostien t.	----|---|-----⌫||---|-----|-------⌫||
enfeznez cor aiousde	----|--|---⌫----|-|
la truiiertuiez malemort	|-⌫---|---|---|---|---|
pucelleen simen t trau ilhoiseiertetconuoutouse	------|--⌫-----⌫|----⌫------|---|-|----------|
deplusursh omes maisn esaratia uielhe .	-|------|-⌫---|---|-⌫|----|-|-----||
soingesuntnient.	-----|---|----||
l iquarteest	-⌫|-----|--|
bonep or ourecom enc ieren fantmettrea let tres.	---|-⌫-|---|---⌫---⌫--|--⌫---|-----||---⌫---||
kifuist toust entrouez	-|----|----|-|-----|
pr ens toistmou rtu	--⌫--|----|---⌫-||
afor cegarist.	|---⌫-|-----||
kinaist traueilho is estse il huitult re doiz	-|----|---------⌫-|--|-|--⌫|--|---⌫-|---|
ans put eresi ert	--|---⌫---|-⌫--|
etric es et e np erilh	-|---⌫-|-|-⌫|-⌫----|
ainsonkesferat bien.	---|----|----|---||
cestlunequinte.	|--|---|-----||
liquintenest pasbune	-|-----||--|--|---|
par serreme ntf aire	--|-------⌫-|-⌫---|
kifuisttoustiert mo rs	-|----|----|---|--⌫-|
uloizrepai re.	|---|-----⌫-||
lar reciensapa inne reuient	---⌫------||--⌫---|------|
enfesnez apainesuitapres	----|--||-----|--|----|
yyanzsouent est malua is et.	-|--|-----|--|-----⌫-|-||
la pu celleensiment.	-|--⌫----|-------||
kiestenfers i	-|--|-----||
distnest prous.	---||--|----||
lisisieme larci ens ne	-|------|-----⌫--|-|
enfer slanguistlonge ment.	-----⌫|-------|-----⌫---||
ki naisthar disest e tgranzmult	-|----|---⌫--|--|-⌫|----|---|
seilhuitultre yyan s	-|--|--|----|-|--⌫|
apre sauenturous	----⌫|---------|
uens oingneauraten lades tremain .	|---⌫-----|----|-|-|---⌫--|---||
pucelle ne e cas teplaisansa ho mes	------|--⌫|---⌫-|-------||--⌫--|
etentoz liesamee.	-|-|--|---|---||
soi ngesunt	---⌫--|---|
ura i maispas .	---⌫|---|--||
li s etemelune.	-|-⌫----|---||
li seteme fa itbonsangierdonte ircastiermed ecineir.	-|-----|--⌫-|--|------|-----⌫-|------|---⌫------||
fuitouse t	------|-⌫|
lerestoust	----|----|
sunttroueis .	---|------||
kin ais tpro us de uient et retenans de cekeilh	-|-⌫---⌫|---⌫-|--⌫----|-|-------|-|-|-|--|
uoitetoitapris	---|-|--|----|
let tréssages	---⌫----|----|
uraisamia bles	----|----⌫---|
en s eingneatelfront.	--⌫-⌫-----|-|-|----||
pu cellenee enparleeacitable ahome s	--⌫----|--|-------|-------||----⌫|
e nseingn eatelfronte tenselel	-⌫-------⌫|-|-|----|-⌫|--|-|-|
suralels enest remamelle.	----|-|-⌫-----⌫-|------||
malad esp ormedecineirpora tg arir.	-----⌫-|-⌫-|---------|----⌫|-⌫---||
liuteme l une	-|----|-⌫--|
liutemefa i t bons eme ir et ei s	-|----|--⌫-⌫|--|-⌫---⌫-|-|--⌫|
la recin ne rauras.	--⌫----|-|-----||
enfeskin ast neseconoist cointes deuient	----|-|-⌫--|-|-|------|------|------|
so uentperil le	--⌫---|-----⌫-|
etliplus enaig u e	-|-|---|-|---⌫-⌫|
eldestrelezatenseingne	-|-----|--|-|--------|
et lipucelle eldes tresurci l	-|-|------|-|---⌫--|-----⌫|
hont eos e utele se	----⌫---⌫|----|-|
el athomeamee	-|-|---|---|
enf ers tou st	---⌫--|---⌫-|
soingetoustseratfais adeu	-----|----|----|---||--|
lecommande.	-|-------||
li nouemesdetoteschosesf air ee st	-|------|-|----|-----|-⌫---⌫|-⌫-|
bunefuitouse s ttr ou ez.	---|------|-⌫-⌫|--⌫--⌫-||
maladestoust	------|----|
enfeskinaist uo iseus	----|-|----|--⌫----|
gloriouscle rsd ebun esgratieus	-------|---⌫-|-⌫|---⌫-|-------|
deci auitanz peri lhous	---||--|--|----⌫----|
enseing nealedes tremain	-------⌫-||-|---⌫--|---|
s iluityyan s ricesiert.	|-|--|-|--⌫|----|---||
pucell enee iert bi enaprise plais encibleu tellecaste	------⌫|--|---|--⌫-|-----|-----⌫------|-⌫----|----|
ense in gneat	----⌫--⌫--|-|
en la destremain.	-|-|-----|---||
s oinges atprofitneluel diere	-⌫-----|-|-----|-||--|----|
lidisimes utelle sesttoutes	-|------|------⌫|--|-----|
c hoses fai remett re alet tes	-⌫----|---⌫-|----⌫-||---⌫--|
enmais on nuueen trer	-|----⌫-|---|--⌫---|
en fezneeob liez	--⌫--|--|--⌫---|
promier eai ge.	------|---⌫-||
pucellei ertlan ier e.	------|-⌫--|---⌫---⌫||
ensoneiagee t	-|--|----|-⌫|
mielz et mielz	----|-|----|
e nfe rs utou st	-⌫---⌫-||---⌫-|
moratutoustgarat.	----||----|----||
soinge suntuain .	-----|---|---||
li unzemesuit	-|-----|---|
bunbenef icepr oirarbres	--|-----⌫--|--⌫--|-----|
tre nciereisenchacier.	---⌫----|--|--------||
en fez k i	--⌫--|-⌫|
nastardanse st corochous az derriensmildres	---|-----|-⌫-|--------|-|-------|------|
lapu celle	-|--⌫----|
enseingne enlamamelleu lef ront ca ste	--------|-|-|------||-|-⌫---|--⌫--|
n emuert pasbune .	-⌫|----|--|---||
enferslangu istlon geme ntuto ustgari st .	-----|-----⌫--|---⌫----⌫-||--⌫--|----⌫-||
soingede densyyiorsauint	-----|--⌫---|-|---|----|
u eldiere.	-⌫-|----||
lidoz emesest ute l lea	-|---⌫---|--|---⌫-⌫-||
tote schosesfemme prendresemeruoief are.	----⌫|-----|----|------|----|---|-⌫--||
bunsamiabl es	---|------⌫-|
enseingne at en	--------|-|-|
ladestremainu	-|-----|---||
elgen oilhperilhou s est.	-|---⌫---|--------⌫|--||
lapucelleenla mamell e	-|------|-|-|------⌫|
nientauratloingeuie .	----|----|-----|--||
enfer stoust	-----⌫|----|
moratulongementlanguirat.	----||--------|--------||
soinge ur aisest .	-----|--⌫--|--||
litraseme pe rilhoseestporcom e ncie r	-|------|--⌫------|--|--|---⌫-⌫----⌫|
etpo rsesam i sa	-|--⌫|--|--⌫-⌫||
fuituztoust ier	-----|----|--|
t r oueit.	-⌫-⌫----||
enfezne z iert coraious	----|--⌫|---|-------|
en tu erle soelhauraenseingne h ardis rauiss a bleo r guilhousa	--⌫--⌫-|--⌫|---|---|--------|-⌫----|------⌫-⌫--|-⌫-⌫-------||
soisoulplaisans	--|---|-------|
p auuiurat .	-⌫-|-----||
lapucellesigneatue n sonciefuen	-|------|----|-||-⌫|--|---||-|
lecusseorguilhoseco raiouse trop	-|----|---------|--⌫------|---|
pouuiurat .	--|-----||
enferstous t g ari stulon gement languist.	-----|----⌫|-⌫---⌫-||---⌫-----|-------||
soingede densyyiorsauient	-----|--⌫---|-|---|-----|
li quatuos eme estpartotebuneachateir femme	-|-------⌫--|--|--|---|---|-------|----|
prendreenfans	------|-----|
metre alatres.	----||-----||
enfe z neis marcheans	----⌫|---|--------|
u e nsiengn eaura entuerlesoel huencuisses	|-⌫-------⌫|---|-----|--|---⌫||-|------|
hardi sorguilhous soiplaisanz	-----⌫|---------|--|-------|
pau nia ura.	--|-|-⌫--||
pucelleat en seingne	------|-|--⌫------|
lecieforguilhouse trophardieplusu rhomes des ierrat.	-|---|----------|---|-----|-----⌫|----|---⌫-----||
en fers utoustmoratu toustgarrat	--⌫---||----|----||----|-----|
soinge to ust auient .	-----|--⌫--|-----||
l un e est q uinseme.	-⌫--⌫|--|-⌫------||
liquinsemem ale tesm oin fa it.	-|-------|-⌫--|----⌫--|--⌫-||
