communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
armest out asontalentdemain auiour	----|-⌫--||--|-----|-----|-|---|
sanscont redit ian	---|----⌫----|-||
en que rra plusde respit .	-|---⌫--|---|-|-----||
sifist i l.	-|---|-⌫||
lendema inau iourlicainstl esp e eetpour	|------⌫-|-|---|-|-----||---⌫-⌫|-|---|
samour c en t dam o isiauspreus etuaillan s	|----|-⌫--⌫|---⌫-⌫-----|----|-|-------⌫|
d ounaarmesetcais tles	-⌫---|----|-|----⌫|--|
br ans etsitin tcortrice	--⌫--|-|-|---⌫|---|---|
eth oune steetfist mu lt ioieet	-|-⌫----⌫--|-|---|--⌫-|---|-|
gr a nt feste.	--⌫-⌫-|----||
cheuali ers amad as	-------⌫--|----⌫-|
aumie n espoir iene	-|---⌫|-----|-|-|
cuicpasq ui l aitun	---|--|-⌫|-⌫|--|-|
si uailla ntdanzeln e	-|------⌫-|-----|-⌫|
s ial ignié tnesibel	-⌫|--⌫------⌫|-|-|--|
deca les mo ns en nu lpaisde	---|--|--⌫-|-|--⌫|---|-|
facondecorsnedeuisneplus	----|-|---|-|-|--|-|---|
sag ene plussoutiln entout eriens un plus	---⌫|-|---|-----||-|----⌫|----|-|---|
gen tilmultpar iabi au che ualie r.	---⌫--|---|--|||--⌫-|---⌫-----⌫||
alostel u aitapres	||----|-⌫--|----|
mengierouil sefait a so nplaisir	------|-|-|-|---||--⌫|------|
etbel etri c ementser uir.	-|--|-|--⌫-⌫----|---⌫--||
multl argement do un e et	---|-⌫-------|--⌫--⌫|-|
despentsiquetuitcilcommun aume ntquide rien s	------|-|--|---|--|------⌫----⌫-|--|-|----⌫|
la imentet sontliet	|-⌫----|-|---|---|
l endemain	|-------|
pr ent a uduc congietal erue ut son p ri spourcachierparmi	--⌫--|-⌫|--|------|--⌫-|--⌫-|--|-⌫--⌫|----------|----|
les marcestourn oiier.	--|-----|-----⌫----||
amieot a ins	---|-|-⌫--|
parléet elealuiauolente .	-----|-|--||--||------||
pardruer ie li	--|-----⌫-|-|
enuoieuneense ignede	-----|--|----⌫---|-|
fine soie bien ouuree d oeuresoutiletu nemance	---|---|---|-----||----|-----|-|-⌫-|----|
de cains iletuneca int urea armer .	-|-----⌫-|-|--|--⌫---⌫--||----||
ama dasnefine d errer a	---⌫--|-|---||----||
grantioie detere en t erepour	----|---|-|---|-|-⌫--|---|
sonlos etsonpris conque rre.	--|--|-|--|---|------⌫--||
erreenuoisiement.	---|-----------||
assesa eto ret ar gentetbeles	----||-|-⌫|-|--⌫---|-|----|
a rmesaplaisir	-⌫---||------|
etboines gens por	-|-----|---|--|
lu iseruir	--⌫|-----|
nefinera cem estauissau ra	-|-----|-||--|---||--⌫-|
este ́enmaintp aisparles gransmarcesde	----⌫|-|----|-⌫--|--|--|----|-----|-|
bou rgoigne etd eb err i e tdega scougne	---⌫------|-|-⌫|-⌫---⌫|-⌫|-|--⌫------|
eten prouuenceetuers saintgilleco n cil	-|-|--------|-|---|----|----|--⌫|--|
q u i lecuer a nobile.	-⌫-⌫|-|---||-----||
puiss enpasseoutreenlombardie	---||-|----|----|-|--------|
sicerketoute roumenie	-|----|----|-------|
puiss enreuientparle scontrees quidegrans	---||-|------|--|--⌫|-------|--|-|----|
guerres sonttourb l ees	------|---|-----⌫-⌫--|
toutdr oitem ent paralemaigne	---|--⌫-----⌫--|--|--------|
puis faitson	---|---|--|
tourp armi bretaigneetenhai neaueten	---|-⌫---|--------|-|-|---⌫---|-|-|
b r e bant etesmarces uers ostre uant	-⌫-⌫-⌫---|-|-|-----|---|-----⌫---|
enuimeuenponthieugrant pose tourno ie	-|----|-|-------|----|---|------⌫-|
armessa lose	----||-⌫---|
enflandres et ennormendie fai tmainte	-|-------|-|-|--------|---⌫|-----|
grantche ualerie.	----|---⌫------||
si es tren oumés parsalan ce quentout	-|--⌫|---⌫-----|--|-|---⌫-|-|-|---|
le ro iaum e	-|--⌫----⌫|
toutseulcheualiersigra ntprisa itdeto urn oiie r.	---|---|--------|-|---⌫-|---|-⌫-|-|--⌫---⌫----⌫||
en toutesles pl acesouu ie ntdarmesporters i	-|-----|--|--⌫---|-|-⌫--⌫-||----|-----|-⌫|
se contient quedes eur	-|-------|--|---⌫--|
tout ena le pris .	---|-||-|---||
puisa cerkiét	---||-------|
tout lepaisd angaudumaineetde	---|-|---||----|-|----|-|-|
to uraine.	--⌫-----||
espandueestia	-------|--|-|
enbourgongnedeluil a	-|---------|-|--|-⌫|
haute renoumee qu	----|-------|-|
ilconq uiert	-|----⌫----|
e t despee	-⌫||----|
etpa rpoitauetpa r	-|--⌫|-----|-|--⌫|
bre taign equ	---⌫-----⌫|-|
il nad usq uesas po r sd espaignec ite	-|||-⌫---⌫--|-|--⌫-⌫||-------|-⌫--|
n ecastel ne contree	-⌫|-----|-|------|
nemarcedeguerre tourbl eeou	-|----|-|-----|------⌫-|-|
n aitcheualier	|--|--------|
multen apris et rete nu	---|-||---|-|----⌫-|
etmainte ioustei	-|-----|-----||
aiafait eetmaint eg rosse la ncefraiteef eru	|-|----⌫|-|-----⌫|-⌫----|--⌫--|-----||-⌫--|
maintgrantcopdespee .	----|----|--||----||
estueritesprouu ee to usses faisne	--|------|-----⌫-|--⌫-|--|---|-|
poroiedireque	-----|---|--|
longue matire	-----|-----|
maistant a faitpar	---|---||---|--|
samaindestrequ epart restoutcestm ontte rre stre	-|---|-----|--⌫|--|-⌫------|---|-⌫--|--⌫---⌫---|
ou ilaitcrestienegent etsar rasinstouten sement s	-|-|--|--------|---|-|---⌫-----|---|--⌫-----||
uncampmortelou unebat aillecampeloucheualiersbien	-|---|-----|-|--|---⌫----|-----|-|---------|---|
lefesistque ianushons qui le ueist	-|-----|--|-|--|---|--|-|----|
aatis tn a certes n	-----⌫|||-----||
agas sesfaisen uersles	|--|--|---|--⌫---|--|
carentous li ussile	--|-|---|--⌫-|-|-|
faisoitqua s autresexamp laireestoit desens et	------|-|-⌫|-----|-----⌫----|-----|-|---|-|
de ceualeriedensegnementdecourto isieet de	-|--------||----------|-|------⌫---|-|-|
francisee tdelargece	-------|-⌫|-|------|
delui et de sa g r antprouece	-|--|-|-|-|-⌫-⌫--|------|
estlarenoumee siamplequet ous li	--|-|-------|-|----|--|-⌫--|-|
monsi pr ent exam pl e.	---||--⌫--|----⌫--⌫||
naincnu sfranshomnot	|---|--⌫|----|--||-|
tel maisnie	--|------|
co milanesi	--⌫|-||-|-|
enuoisiecar ila	-------|--|-||
com paignonssibonsc ain cno tmilleurs	---⌫-------|-|---||---⌫||-⌫|-------|
tanta erréde tere e nterela	---||----|-|---|-⌫|---|-|
ou i l seuttournoinegu erretrois	-|-⌫|---|------|-|--⌫---|----|
ansentirscerk esonpris noblemen t par pl useur spais	--|-----|----⌫|--|---|--------⌫|--|--⌫-----⌫|---|
quebie n u ousdisa nspo in t	--|---⌫|-⌫--|-|--⌫-|--⌫--⌫|
dalo ignemult estdesire ́sen	|---⌫---|---|--|------⌫-|-|
bour g oigne .	----⌫-⌫----||
mu lt enfu lie s	--⌫-|-|-|---⌫|
quantloidire	----||-|---|
li du xetm ul tpar ledesire pourlesgran s	-|--⌫|-|-⌫--⌫|--|-|-----|---|--|----⌫|
bie nsquedeluiot.	---⌫-|--|-|--|-||
ydoineso urtoussenesg ote t plus	-----|--⌫-|---||-|---⌫-|-⌫|---|
agrand desirde lui ue oir	|----|----|-|--|--⌫--|
etdesentir.	-|-|-----||
ne litournepas	-|-|-----|--|
aanui lagransbo ntesque le otde	|---|-|----|--⌫---|-|-⌫-|-|-|
luiainslaime	--|---||---|
plu sasses quesoi.	---⌫|----|--|--||
souu entpri ediulehautroiqu	----⌫--|---⌫|--|-|---|--|-|
desfende de to us m aus et detrestousperi usmor ta usde	-------|-|--⌫-|-⌫--|-|-|-------|----⌫-|---⌫--⌫-|-|
mort d e n combr ierdeprison	---||-⌫-⌫-----⌫--|-|-----|
q ue silauoit	-⌫-||-|----|
ri ens sebienno n	--⌫--|-|---|--⌫|
iamaisio ieanulio u r n	-----|--⌫-||--|--⌫-⌫||
a angousseetaduel moroit	|-------|-||---|-----|
oulangui roitiusquala	-|------⌫---|----||-|
m ort sansauoirdelit	-⌫--|---|----|----|
ne conf ort.	-|----⌫--||
sigrantioi eaen	-|----|---⌫||-|
soncorag edecequil maine	--|-----⌫|-|-|-|-|----|
tel barna gecoutreb iaute e n	--|-----⌫-||----|-⌫----|-⌫|
abe list etsescuers de ioiefl ourist.	---⌫---|-|--|----|-|---|--⌫-----||
souuent litr ametses messagesqui	------|-|--⌫---|--|-------|--|
licontent se s uasse lages et les	-|------|--⌫|-----⌫----|-|--|
proueces queilf a i tdont ydoinemaintsouspir trait	-------|--|-|-⌫-⌫-⌫|---|-----|----|------|----|
d e laioiequa des	-⌫|-|---|-||--|
nouuel es.	------⌫-||
sesricesdrue ries bel eslirenuo iesouuentes	--|----|----⌫---|---⌫-|-|-----⌫-|--------|
asguerresetastournoisan iauscaintures guimples	-|------|-|-|-------|--⌫---|--------|-------|
mancesde cainsilrid eeset blances.	-----|-|------|---⌫--|-|------||
pour ceabati	---|-|----|
cent u assa usetgaaignacinccen sche uaus	---|-⌫----⌫-|-|------|---|---⌫|---⌫---|
dontsigrant estla renoume e delui par	---|-|----|--|-|-------⌫|-|--|--|
t out l emon talee qued	-⌫--|-⌫|---⌫|---|--||
engleterreiusquaroume nestparoled	---------|----||----||--|-----||
un toutseul	-|---|---|
home enuer s luide cheua l erie .	---|-----⌫|--|-|-----⌫-⌫---||
ydoineen aioie sami e .	-----|-||---||---⌫||
parpri ués messag es qu	--|---⌫---|------⌫-|-|
ilon tquisouu e nt	-|--⌫|--|----⌫-⌫-|
uienentet reuonts	------|-|-----||
entremandent a leur pla isir	-----------||---|---⌫---|
leurpriuauteet leurde sircar ilsontsi	---|-------|-|---|--⌫--|--|-|---|-|
aun acortdeuantquilpart irontpar mortn	|-|----|-------|-|----⌫----|--|---||
ier ent mai sleurdoi	---⌫--|---⌫|---|--|
cuerqueunsif inementaime	---|--|-|-|-⌫------|---|
oiaué sco n faitements	-|----⌫|--⌫|--------||
en trai m ent de cue rloiaument	--⌫----⌫-⌫--|-|---⌫|--------|
cildoiam ant agr an t hounourparfine	--|--|--⌫--||--⌫--⌫|------|--|---|
enleurcorage nadeuisede n ulepartn	-|---|-----|||-----|-|-⌫--|---||
i afaintise	||-------|
ceq uel unplaistliautres ueutli	-|-⌫-||-|-----|-|-----|---|-|
uns sans l aut rerie nsne d eut	--|---||---⌫-|---⌫-|-|-⌫--|
liunsnaioie	-|--|||---|
neleecepour	-|----|---|
coi li autresaittri strece.	--|-|-----|--|---⌫-----||
t an tp arest	-⌫--⌫|-⌫-|--|
le ur am orslo ialesan sfaintiseet san s tech e	--⌫-|--⌫--|--⌫---|---⌫|-------|-|---⌫|----⌫|
malequeluns nepuetsansl a utr e	---|--||--|-|---|---||-⌫---⌫|
auoi rnebienne malsa ns	----⌫|-|---|-|--|--⌫-|
nul u oloi rne iadepa rtisonderienen sambleunmal	--|-⌫----⌫|-|-|----⌫-----|-|---|--⌫-----|-|--|
ensambleunb ien	-------|-|-⌫--|
communax leur estacoustume mausbiens doleu rse ta mertu me	-------|---|--||-------|---|----|-----⌫-|-⌫|-⌫-----⌫-|
de t outeriens sont sia un	-|-⌫---|----|---|-||-|
quetoutrecoiuenten co mmu n.	--|---|--------|-|--⌫---⌫||
t anta erré de tereen	-⌫--||----|-|---|-|
tereamadaspour	---|-----|---|
sonpris conquerrequepas sé	--|---|--------|--|---⌫--|
son tmie nescienttrois a ns tos	---⌫|---⌫|------|----|-⌫-|--|
plainsbien	-----|---|
lar gement .	---⌫-----||
oreaencet otson cuer mi s c	--||-|-|-⌫-|--|---|--⌫||
reueu t ens onpaisnon	-----⌫|-|-⌫-|---|--|
pa spource quil	--⌫|---|-|-|-|
naita gre oret argentagrantplente	|--||--|-|-|-----||----|-----|
etquanque liuientatalentmais ne	-|------|-|----||-----|---|-|
puetmaispluslongemen t	---|---|---|--------⌫|
s ousfri rqu iln e	-⌫------⌫|-|-|-⌫|
u oie samie .	-⌫--||---||
de seshoumesmult	-|--|-----|---|
grantpartie	----|-----|
en enuoieen	-|-----|-|
bou rg ongne auante tauduc	---⌫--⌫----|----|-⌫|-|--|
unche ual coura nt enu oie dontil	-|---⌫--|-----⌫-|---⌫--|---|-|
aui ouster fistiusun	-|-⌫-----|---|--|-|
hautbaro nuers er freresestoitleroi	---|----⌫|----⌫-|-----|-----|-|--|
de fr ance	-|--⌫---|
par grantorgueletpar	--|----|-----|-|--|
beubanceauoit priset paraatie unt ournoi	-------|----|---|-|--|----|-|-⌫-----|
etpar grantenu ieet	-|--|----|---⌫-|-|
m u ltfugransetdur se tfiersemeruell e s	-⌫-⌫-|-|----|-|---⌫|-⌫|----||-------⌫-⌫|
boinscheualier s .	----|---------⌫||
puis biendiresansgasqua cest	---|---|---|---|--|-||---|
tournoip rist	------|-⌫---|
amadaslefrereaurice	-----|-|----|-|---|
roidefrance.	--|-|-----||
sile fistd	-|-|---||
espeeetde lan celeiour ou	----|-|-|---⌫-|-|---|-|
gra nttourn oiemen tque det restous communaume ntsans	---⌫-|-----⌫------⌫|--|-|-⌫------|----------⌫-|---|
cont redit enotleprismaugre trestoussesanemis	----⌫----|-|-|-|---|-----|-------|--|-----|
illoecconq u istlebon ceual	-----|----⌫-⌫--|-|--|----|
qui plusuato st etpui etual	--|---|-|--⌫-|-|--|-|--|
quedromadairesporbesongn e	--|----------|--|-------⌫|
par unsien uallet	--|-|---|-----|
enb ourgoignelenuoie	-|-⌫--------||-----|
etparm ult gr antc iertecar	-|--|-⌫--|--⌫--|-⌫----|--|
telno te ncres tie nte	--||-⌫|-⌫|----⌫---⌫--|
ledu c tra metlemissaudour	-|--⌫|---⌫--|-|---------|
etun salu comasignou r	-|-|---|--||------⌫|
etsi limandepar	-|-|-|----|--|
amou rco mme a	----⌫|--⌫--||
houme degra ntualor quil s en uenra	----|-|---⌫-|----|-|-||-|----|
hast iuementlid usen estli esetioians	----⌫------|-|-⌫-|-|--|--⌫-|-|-----|
mul t loent tuit	---⌫|----|---|
lebon ceual etli	-|--|----|-|-|
bon uas salqui paramors l i	--|---⌫--|--|--|----|-⌫|
ot tramis .	-|-----||
si u ousdibiencau mien auisqu	-|-⌫--|-|---||-|---|---|-|
idoinen est mie paulie	-----||--|--|-----|
ainsestsif ineme nthaitie	---|--|-|-⌫-----⌫-|-----|
desmessages dou mandement quelitrame t pri ue eme ntquetout	--|-------|--|--------|--|-|-----⌫|---⌫--⌫---⌫-|--|---|
lecuera dedouco ure mbrasé etde fine	-|---||-|-----⌫-|-⌫------|-|-|---|
icilairaide lui esteretdamad asr euoe l	--|-----|-|--|----|-||----⌫-|-⌫----⌫|
par lerquiau necite	---⌫--|--||-⌫-|---|
seiourneo uils aparel leetatourne pourb iau uenir	-------|-⌫|-||------⌫-|-|------|---|-⌫--|----|
en son pai s.	-|--|---⌫||
maisoiacauoientprispar aa tie	---|-|||------|---|--|--⌫--|
et par desroidoihaut b aronu ng ranttor noiet	-|--|-----|--|---|-⌫---|-⌫|-⌫---|---⌫--|-|
doitestreaqu aranteiours.	---|----||--⌫-----|----||
siuousdibienquelonsseior s licous te	-|---|-|---|--|---|-----⌫|-|----⌫-|
mult degrantmesu re	---|-|----|----⌫-|
enuintgransmessaue n ture par locoisonde	-|---|----|-------⌫-⌫---|--||------|-|
cestafair euou	---|-----⌫|--|
lor és bien	|--⌫--|---|
auantr etraire	----|-⌫------|
demourerueutpor auoi r prisa cesttou rnoi	-------|---|--|----⌫|---||---|---⌫---|
ce mest a uis	-||--|-⌫--|
lade mourance ledechut.	-|--⌫-------|-|-----||
quantuint aui orquees tred ut	----|---|-|-⌫-|--|--⌫--|-⌫-|
liroisdefrancele d es fist carilcremoit	-|---|-|-----|-|-⌫--⌫---|--|-|------|
quil ens oursist	-|-|-|-⌫------|
guerremortextot sansfail lan ce	-----|-----|--|---|----⌫---⌫-|
partoutes les marcesdefrancedesfendiquenus tne	--|-----|--|-----|-|-----|-------|--|---⌫|-|
passastqui atournoiementa las t	------|--||-----------|-⌫---⌫|
siremestparcestocois oncar multerent	-|-----|--|---|-----⌫-|--|---|----|
lidoib arondeh autafaire et	-|--|-⌫---|-|-⌫--|-----|-|
degrantprismai s poritan tce	-|----|---|---⌫|--|----⌫|-|
queilerent andoi parmalde	--|-|----|----|--|--|-|
loncdunewere m ortal	---||--|---|-⌫----|
remesestli	----|--|-|
to ur noiemensd ont amadase stmult dole nt carmult	--⌫--⌫-------|-⌫--|-----|-⌫-|---|----⌫-|--|---|
sequidoit aloser l e	-|------|-----|-⌫|
ior parlesarmesporter	--|--|--|----|-----|
maisnes t pas	---||--⌫|--|
uolenteainsena mu l t	------|---|-||--⌫-⌫|
lecuer iréde	-|---|---|-|
ceque afairel	-|--||----||
quantuoitqueil	----|---|--|-|
e strenepuetsisap arel lerichemen t etsescompaignons	-⌫---|-|---|-||--⌫----⌫-|--------⌫|-|--|----------|
tourne le grantche min droituer sbour go n gne aun matin	-----|-|----|---⌫--|----|---⌫|----⌫--⌫-⌫--||-|----|
et tuitsico mpaigno n	-|---|-|--⌫-------⌫|
olui a mult grantioiesansanui.	|--||---|----|---|---|---||
bienerentcommecheualie r qui	---|----|----|--------⌫|--|
d arme s aimentle	|----⌫|-----|-|
mestie r qu enla r outea	------⌫|-|-|-|-⌫---||
multbi a usescusha ubers	---|--⌫-⌫-|----|--⌫----|
saff réshi aumes agu sriches cheuaus etde g rant	----⌫---|--⌫----|---⌫|-----|------|-|-|-⌫---|
priset io uleshoumesetiolis.	---|-|--⌫---|-----|-|----||
m ulterren t	-⌫--|-----⌫|
en uoisiement	--⌫---------|
grantdesiront et grantta l ent	----|----|--|-|----|--⌫-⌫--|
derepairierenleurreg neou	-|--------|-|---|---⌫-|-|
orentpiecha e sté tan t erré et bos etplain a	----|-----|-⌫---|---⌫|----|-|--|-|----||
gr ansiourn eess oiretmainquei as ontpresde	--⌫--|-----⌫--|-⌫--|-|---|--|-⌫|-⌫--|---|-|
ensiauintce	---|----|-|
m estauiscuniourmur entd une	|--|---||-|---|---⌫--||--|
citeouau o ientuniourd igné .	---|-|--⌫-⌫---|-|---|-⌫----||
litansfucauset cl ersetbiaus	-|---|-|---|-|--⌫--|-|----|
multfuhaitiésli damo is i ausde ce qu ap r ocele	---|-|-------|-|----⌫--⌫-⌫--|-|-|-|--⌫-⌫--|-|
pai s ulabeleest o	---⌫||-|---|--||
lecleruis qu ilaimep lusque riensuiu ant	-|---|--|-|-|---|-⌫--|--|----|---⌫--|
eteleluitoutau tretant .	-|--|--|---|--⌫------||
il estuestus co mmee nuoisiés	-|--|-----|--⌫--|-⌫--------|
d u nf resbliautquistentailliés auques courtet	|-⌫|-⌫--|-----|--|-|----------|-----|----|-|
tresbienseant etd	---|---|----|-||
unma n teltr esbien seant dem eismes lonca	-|--⌫-⌫--|--⌫-|---|----|-|-⌫-----|---||
cains dunecainturequepour mil mars ne dounas t	----||--|-------|--|---|--|---|-|------⌫|
miec art ram ise liot s	--|-⌫-|-⌫---⌫--|-|-||
amiepo urcesichierela tenoit	---|--⌫-|-|-|-----|-|-----|
brai es etcemisesauoientdetoilefaitederentiie n	----⌫-|-|------|------|-|----|----|-|-------⌫|
m ult d elieces achi ésbien	-⌫--|-⌫---|-|-⌫----⌫--|---|
un fremail etunan el et un rubimeruelles	-|------|-|-|--⌫-|-|-|---|--------|
belsado uceamielid ounaquantd e	--|-|--⌫--|---|-|-⌫---|----|-⌫|
bourgongnesen ala .	---------||-|--||
si fumultcointement cauciéscomhon s	-|-|---|---------|-------|--|---⌫|
io liset en uois iésdune scauc esbienentailliesde	--⌫--|-|--⌫----⌫---||---⌫|----⌫-|---|---------|-|
noire t de	---|-⌫|-|
u ermelbiies.	-⌫----|----||
d esouso tespe r ons aoretsistsourunpalefro i	-⌫----|-⌫|----⌫-⌫--||-|-|---|---|-|-------⌫|
sor beletcrenusouef portant on	--|--|-|----|----|------|-|
netrouua st nulm ixambl ant.	-|------⌫-|--|-⌫-|----⌫--||
sourtres to usautre sdam oisiauset	---|----⌫--⌫-|-----⌫|---⌫------|-|
amadasientixetbi a us humleset	-----|-----|-|--⌫-⌫-|-----|-|
fransde b oi ne smourstresgen tixer tde	----|-|-⌫--⌫--⌫|----|---|---⌫--|--⌫|-|
gr anshoun ors.	--⌫--|----⌫--||
l ambleu re uai t li m es cincantantun	|------⌫-|---⌫|-|-⌫--⌫--|------|-|
sonnet poiteuindelagra ntioie queil	-----|-------|-|-|---⌫-|---|--|-|
a qu esamiepar	|--⌫||---|--|
t ansuerra.	-⌫--|----||
parenuoiseure a ieté aunsien compaignonpriué le	--|---------||----||-|---|---------|-----|-|
b racauc ol	-⌫--|-|-⌫-|
pardroite io ie.	--|-----|--⌫-||
cantantuad y doinelabloiemulthaut et	------|-||-⌫----|-|----|---|---|-|
clerpar grantdoucoure t	---|--|----|------|-⌫|
cou rto is mospargrantamour .	---⌫---⌫-|--|--|----|----||
si com p aigno n enuironluierro ie nt	-|---⌫-⌫-----⌫|------|--|----⌫--⌫-|
apresduiet	----|--|-|
duisescoutoien t	--||----------⌫|
pargran tde litlacancounette	--|----⌫|--⌫--|-|----------|
q uei ldist	-⌫-|-⌫|---|
carbie nuousditou turaiementde cuer	--|---⌫|---|-|---⌫|--------|-|---|
laim ecert ain ementetil	|---⌫|----⌫---⌫----|-|-|
leurest etdo us	---|--|-|--⌫-|
et pieus etamia ules entouslieus	-|----|-|----⌫---|-|---|----|
debela pe ldedous	-|--|-⌫--⌫|-|---|
re s pons e tl arges	--⌫-⌫---|-⌫|-⌫----|
desesric esdons .	-|--|---⌫-|---||
pourc elaime	---|-⌫||---|
cascunspar soiaun endroi t	------|--|--||-|------⌫|
tantcommesoi.	---|----|--||
q uequi l entendenta oirlesones qu esfait	-⌫---|-⌫|--------||--|-|----|-|-|---|
lo ursiresal oit cantant siu irentloing uenirtrota nt	--⌫-|----|--⌫--|------|-|-⌫----|----|----|-----⌫-|
encontr eusunua llet	------|--|-|--⌫---|
bi enparlant	--⌫-|------|
et bienafait iédune	-|---|-----⌫--||--|
soieuermelle en	---|-------|-|
lamil leur	-|---⌫---|
c onquesfustdelaine auot	|-----|---|-|----|---|
cotemultenuoisielarge si	---|---|-------|----|-|
sitailliequ a meru ellesli	-|------|-||----⌫----|-|
manteldem eisme s auo itfourré dun	-----|-|-⌫-----⌫|---⌫-|------||-|
porprecendal ci er .	-----|-----|--⌫-||
pour tostaler	---|---|---|
etplu slegier e tpourlecaut quil	-|---⌫|-----|-⌫|---|-|---|--||
otgreue ́ auoi tmise tenuolepéenuiron	-|-----⌫|----⌫|--|-⌫|--------|------|
sonchief s onmante l.	--|----|-⌫-|-----⌫||
ens a mai nporte unbastoncel decouleurs e td	-|-⌫|---⌫|----|-|--------|-|-------|-⌫||
or tropbien paint	-|---|---|----|
et autissu qui lauoitcaint	-|-|----|-|-⌫|----|----|
otuneboistede bri es plaine .	-|--|-----|-|---⌫-|-----||
detostalerforment	-|---|---|------|
sepainebien pertqu ila	-|----|---|---|-|-||
besongnegran t.	-------|----⌫||
pourle cau tdus olelardantaga randir ses	---|-|---⌫|-|-⌫---|-----||--⌫-----|--|
bel es mains	---⌫-|----|
n est mieuilains otunsb lans	|--|--|------|-|--|-⌫---|
gans de castiaudun.	---|-|---------||
aincmaisne uiual letni sun	---|---|-|-|---⌫--|--⌫--|
miusacesménemix	---|------|-|--|
ama dasc eu auc edeuantsi la trestout p remiers ueu	---⌫--|-⌫--⌫---⌫|-----|-|||-------|-⌫------|--|
sil amultb ienrecoune u bie nset	-|||---|-⌫--|-------⌫|---⌫|--|
c e st liuallessamie ca rmaintebeledruerie	|-⌫-|-|-----||---|--⌫|-----|---|------|
liot aporteesouuent etma intdeliteusmandement.	-|-|------|------|-|--⌫--|-------|--------||
de lagrant ioie	-|-|----|---|
queilaque nouuelesdeliorale	--|-||--|-------|-|-|--|-|
pal efroidesesperons apointet laistsescompaignons	---⌫----|--|-------||----|-|----|--|----------|
contrecel uienu ai tpoignant.	-----|---⌫-|-|-⌫--⌫|-------||
sicompaign onen sont ioian t	-|--------⌫-|-|---|-----⌫|
multboinem ent t restuitenrientetpar	---|------⌫--|-⌫------|-|----|-|--|
enuoiseuredientq ueta lenta	---------|----|-⌫-|--⌫---||
etgrantdesirde stra ng e s nouuelesoir	-|----|----||-⌫----⌫--⌫-⌫|-------|--|
ciles tiaauual let	--|--⌫|-|-|---⌫--|
uenusdupalef roiestdescendus	----|-|-----⌫--|--|--------|
entr e se sbrasmultt os t l	----⌫|--⌫|---|---|-⌫--⌫||
aprisuint fois leb ais e etdistamis	|---|---|---|-|-⌫---⌫|-|---|---|
di moicomment	-|--|------|
lef aitm am iemesdouscue rsmai oiema	-|-⌫--||--⌫-|--|---|---⌫-|-|-⌫--|-|
ellees tetbien haitieet	---|--⌫|-|---|-----|-|
dimenttostenouuel ecertainequant lauei stu	-||--|----|------⌫|-------|----|-|---⌫|-|
estu npoipensis	--|-⌫|--|-----|
e tderesp on dre mult	-⌫|-|----⌫--⌫--|---|
s es mai eq u	|--⌫---⌫|-⌫|
i lcrientlanouueleueraie	-⌫|-----|-|------|-----|
etnonpourquan tachi efdeposerespo nt	-|-----------⌫||---⌫-|-|---|-----⌫-|
queplus targier ne	--|---|------|-|
l osesirefait ili euousdiraicertai nement	|--|---|---|-|-⌫|---|----|------⌫-----|
lesaiueraies	-|--|------|
nouu elesdeli	----⌫---|-|-|
mandecomaami	----|--||--|
par fincorage autantsa lus	--|--|-----|-----|--⌫--|
com otestéa touslesdrus	--|-|----||---|--|---|
mandépuislespremi ersa m a ns	-----|---|--|-----⌫--|-⌫-⌫-⌫-|
sa lus d amor suous mandeautanscomlaplus	--⌫--||----⌫|---|----|-----|--|-|---|
dolereuse druequisoit	--------|---|--|---|
siuousmande queleest dounee	-|---|----|-|--|--|-----|
et quepar tans ert e spou se elicuensde	-|--|--|---|--|-⌫----⌫--⌫|-|----|-|
d oit prendrededens	-⌫--|------|-----|
quart ioursansplu sat endre .	----|---|---|---⌫|--⌫----||
mais uous di	---|---|-|
mallapren draque n ul	--|-|----⌫--|--|-⌫-|
soulasde linaura	-----|-|-||---|
iamaistantcomele ai t aui ur e	-----|---|--|--|--⌫||--⌫--⌫|
gr ant angoussedeliure améuous	--⌫--|-------|------|---|---|
a e ttant uous aim eet	|-⌫|---|---|---⌫|-|
tantuou sregre teetrecl aimeque	---|---⌫|-----⌫-|-|----⌫---|--|
pas l ongues s aui es	--|-⌫-----|-⌫|--⌫||
ele estiss i	--|--|---⌫|
de uouspart ie.	-|---|----⌫-||
b ri es uo u s apor tde sesdo lors	-⌫--⌫-|--⌫-⌫|----⌫|-|--|--⌫---|
etdeuospriuees amo urs.	-|-|--|------|---⌫--||
quiuousd irontde sa	--|---|-⌫----|-|-|
tri s t eurdontenf inestore	---⌫-⌫-⌫--|---|-|-⌫-|--|--|
a doleurmienesci en tmorteporuous	|-----|---|----⌫--⌫|----|--|---|
necuitquilsoit	-|---|-|-|---|
sidolereu scue rs	-|-------⌫|---⌫-|
den ulco rsdefeme	-|-⌫-|--⌫-|-|---|
umontdetoutesceles	|---|-|-----|----|
qui i sontcommelisie nsb ien	--||---|----|-|---⌫-|-⌫--|
leuousdipourcouk ainsi	-|---|-|---|--||----|
serés parti.	-----|----||
quantamadasotlemessagequiliconteson	----|-----|-|-|------|--|-|----|--|
grantdam agetel angousse a et	----|---⌫--|--|-------||-|
sig ranti re que ilnepuetun	-|-⌫---|-⌫-|--|-|-|---|-|
