decesmessages enuoiathiebauz	-|--|-------|-----|-------|
a lorb on pereque	|--|-⌫-|---|--|
alorc onmand oizuostrecomandement queil	|--|-⌫------⌫--|-----|----------|--|-|
s ont prest de faire	-⌫--|----|-|----|
e tli apostoilledistaus	-⌫|-|---------|---|--|
messag esquil	------⌫-|-|-|
sa uoitbien qu epor la	--⌫---|---|--⌫|--|-|
defautedes autres lorconuint	------|--|-----|--|------|
grantpitiee tl ors manda	----|----|-⌫|-⌫--|----|
ba rons etaspe lerins	--⌫---|-|-|--⌫-----|
et qu illesasolt	-|-|-|--|----|
filz etlor	---|-|--|
c onm a ndoitet pr ioitqu e	-⌫---⌫-⌫----|-|--⌫---|--⌫|
t enissent los tense mble car	-⌫-------||--⌫|----⌫---|--|
ilsauoit bienquesanz	-|-----|---|--|---|
celeost ne po oitl i	---|--|-|--⌫--|-⌫|
seruisesdieuestre faise tdona	-------|---|----|---|-⌫|---|
plainpo oir	----|--⌫--|
aneuelonlo	|------|-|
ues quedeso isonsetamaistre	---⌫--|-|--⌫----|-||------|
iohandenoiondeli er	----|-|----|-|--⌫-|
etde des lierl es pelerins	-|-|---⌫---|-⌫-|-------|
trosquad oncque li	-----|--⌫--|--|-|
car donax uendroitenlo st	---⌫----|-------|-||-⌫-|
t en sp asséqueli quaresme	-⌫--⌫|-⌫----|--|-|-------|
fuetatornerentlor	-|-|---------|--|
nauil epor m ouoira	-----⌫|--|-⌫----||
pasque quant lesnes	-----|----|--|--|
furentcharg ies l endemainde	-----|-----⌫--||-------|-|
lapasq ue silo gierentli	-|----⌫-|-|--⌫------|-|
pelerinsfor delau ileso r	-------|--|-|-|-⌫--|--⌫|
etliuenisien	-|-|-------|
firentabatrel auille et les	-----|-----|-⌫|----|-|--|
torsetlesmurs	---|-|--|---|
et donta uin t	-|---|-⌫---⌫|
uneauenture dontmultp esa	--|-------|---|---|-⌫--|
delostqueu ns	-||--|--|-⌫-|
des hal zbaronsdel	--|---⌫|-----|-||
au oit nomsymons de	--⌫--|--|-----|-|
otfait sonplaital	-|---|--|----|-|
hungri equi anemises toit	------⌫|--|-----|--⌫---|
a celsdel ost	|---|-||--|
ala aluiet	--||--|-|
lostaue c luiala gu is	|--|---⌫|--|--|--⌫-|
monfort s esfrer es	------|-⌫-|----⌫-|
symonsdeneafleetroberz	-----|-|-----|-|-----|
mal uo isis etdri us	---⌫--⌫---|-|---⌫-|
cressonessartetlabes de	------------|-||---|-|
ual s quier emoi nede	---⌫|--|--⌫|---⌫-|-|
l or dredeci stiauset	|--⌫--|-|--⌫-----|-|
mai ntautreet netarda	---⌫-|----|-|-|----|
gu aire sapresques enala	--⌫----⌫|----|--||-|--|
unsautr es halzhom de	--|----⌫-|---|--|-|
engelra nz de	-------⌫-|-|
bo ueere ap ellez et	--⌫-|--|--⌫----|-|
sesfr e res etlesge nz	--|--⌫-⌫--|-|--|--⌫-|
delorpaisce	-|--|---|-|
quei lenporent	--|-⌫|-|-----|
ensipartirentcil	---|--------|--|
ost com uo sauez oi	--|--|--⌫|---|-|
multfugranzdomages	---|-|----|------|
ost ethonteacelsq ui	--|-|----||---|-⌫-|
le firentlorsc o mencierenta	-|-----|---|-⌫-⌫---------||
n es etles	-⌫-|-|--|
uissiersetfu deui sé que	-------|-|-|----⌫--|--|
ilprendroient	-|----------|
p ortacorfol	-⌫--||-----|
u neysle enroman ie	-⌫-|---|-|-----⌫-|
etlipr emierattendroient	-|-|--⌫----|-----------|
lesdarraienstan tque	--|--------|---⌫|--|
ilseroientensemble	-|-------|-------|
ainzque li duxnelimarc his	---|--|-|--|-|-|----⌫--|
partissent	---------|
deia dres ne	-|--⌫---|-|
le sgaliesuint alex isli	--⌫|-----|---|----⌫-|-|
lempereorsursacde costantinople	|-------|-----|-|------------|
etl ienuoiali	-|||-----|-|
roispheli ppe d	---|-----⌫--||
alemaignee t	--------|-⌫|
amultg rant	|---|-⌫---|
amu ltgr anthon or	|--⌫-|--⌫--|---⌫-|
etain sibaillali	-|---⌫-|-----|-|
g alie setlesua issials	-⌫----⌫|-|--|--⌫------|
tantco ml uiconuint et	---|--⌫|-⌫-|------|-|
ensipa rtirentdel portd e	---|--⌫------|--|---|-⌫|
orentbonuent	----|--|---|
etaler e ntta ntque	-|----⌫-⌫-|--⌫-|--|
ilpristrentportaduraz	-|--------|---||----|
enquirendi rent cil dela	----|-----⌫---|--|-|-|
ui l le la u illealo rseignor	--⌫-⌫-|-|-⌫---||--⌫|------|
quantil le uir ent	----|-|-|---⌫--|
multuolentiersetli firent	---|---------|-|-|-----|
etdenqui s	-||----||
enpartirent et uindrent a	-|--------|-|-------||
corfolettr ouerent	-----|-|--⌫------|
quierelogiedeu an t	--|--|----|---⌫--⌫|
uileettenduztrez	---|-|-----|---|
et paueillonsetles	-|---------|-|--|
traisdesuissier spor	----|--|-------⌫|--|
re f raichiret cum il oi rent	--⌫-⌫------|-|--|-|--⌫---|
que lifil sl	--|-|---⌫||
empereordecostant in op l e	-------|-|-------⌫--⌫--⌫-⌫|
erearriuez	--|------|
al por tsi	-|---⌫|-|
ue issiezmaint	--⌫-----|----|
boncheualier	--|--------|
etmain t bon	-|----⌫|--|
se riantalerenc ontreetme ner mai nt	--⌫----|---|---⌫----|-|--⌫--|---⌫-|
bel destr ier	--|-----⌫--|
recurenta mult	-------||---|
grantio ieet a mult grant	----|--⌫-|-||---|----|
honoret ilfi t s ontre	----|-|-|--⌫|-⌫-|--|
tend reenm ilost etli	----⌫-|---⌫||--|-|-|
dem onferrat	-|-⌫-------|
delez enc ui garde le	----|-|-⌫-|----|-|
roiphelippe l a uoit	--|-------||-⌫---|
conmand éq uisuesero rauoit	-------⌫-|-⌫-|--|----⌫|----|
ensiseiorn erente nceleys leyysema i nes	---|------⌫----|-⌫|---|--⌫-|-|----⌫-⌫--|
quimulte re riche	--|---|-⌫-|----|
etp l enteuroiseet de de nz	-|-⌫-⌫---------|-|--⌫--⌫-|
seior lor auintun emesaue nture	----|--|----|--⌫|------⌫----|
q ui fupesmee t	-⌫-|-|----|-⌫|
du reque unegrantpartie	--⌫-|--|--|----|-----|
d ecel squiuo loient	-⌫|---⌫|--|--⌫-----|
depe cieret quiauoie ntautre f oizestéencont r e	----⌫---|-|--|-----⌫-|----|-⌫--|----|------⌫-⌫|
lostparlerent ensembleetdistrent	|--|--------|-------|-|-------|
chos e l orsembloit estre mult	----⌫|-⌫-|-------|----|---|
longee tmult peril lose	----|-⌫|---|-----⌫---|
etqueil remanroientenl	-|--|-|----------|-||
lairoi entlost	------⌫--||--|
aleretparle conduit	---|-|--|-|------|
acels de corfoletq uant	|---|-|-----|-|-⌫---|
al ee renuoie roient au contegautier	--⌫-|-------⌫-----|-|----|------|
tenoitbrand iz quillor	-----|-----⌫-|-|-|--|
enuoia stua i ssiauspor aler	------⌫-|--⌫-⌫-----|--|---|
tozc el s nomerqui a	--|-⌫--⌫|----|--||
cesteouu refaire furentmes	----|---⌫-|----|-----|--|
i e uosennome raiune	-⌫|--|-|----⌫--|--|
partiede splusmaistres	-----|--⌫|---|-------|
cheuetainesdecelsfuli	----------|-|---|-|-|
unsodes l i	--|---|-⌫|
champenoisd echamliteiaqu es	---------|-⌫|-------|----⌫-|
dauesne s pierresd	|------⌫|------||
amien s guis l ichaste lla ins	-----⌫|---|-⌫|------⌫---⌫--|
cociogier s de	---|-----⌫|-|
cheronguisdechappes et	-----|---|-|------|-|
cl arenbau sses niersgui llelmes	--⌫-------⌫|--|----|---⌫------|
d auno i pierres	|----⌫|------|
cois eausgu isdepesm es	----⌫---|--⌫-|-|----⌫-|
ethaimm esses freres	-|-----⌫-|--|-----|
g uisdecouuelansric harzdedam pierresodes	-⌫--|-|--------|---⌫---|-|---⌫------|---|
se sfreresetmaintautr e	--⌫|-----|-|----|----⌫|
quilo r auoient cr eanté pa r	--|--⌫|------|--⌫-----|--⌫|
darriere quilsetenroient	-------|-|-|-|--------|
lorpartiequinel osoient	--|-----|--|-||------|
mostrerpar deuan tp o r la	------|--|-----⌫|-⌫-⌫|-|
hont e s i	----⌫|-⌫|
queliliure testi moig ne	--|-|----|-----⌫----⌫-|
moiti ede lostse t enoie nt	-----⌫|-||--|-|-⌫-----⌫-|
etquantceoitlimar chisde monferrat	-|----|-|--|-|---⌫---|-|--------|
etlicuens baudoins	-|-|----|-------|
d ef landres et	-⌫|-⌫------|-|
loey setlicu ens	----⌫|-|-|--⌫--|
teno ienta lor	----⌫---||--|
furent multesmaié etdistrent	-----|---|------|-|-------|
seignornos sommes mal	------|--|-----|--|
bailli s ecestegentse	-----|-⌫|----|---|-|
partentde nosaueccels	------|-|--|---|---|
quisensont partip ar	--||-|---|----|-⌫-|
maint es foiznostre ostse ra	-----⌫-|---|-----|--|--⌫-|
fa i lieetn osneporrons	--⌫-⌫--|-|-⌫-|-|------|
nu lleconq u este f aire	--⌫--|----⌫-⌫---|-⌫---|
aelsetlorcrions	|--|-|--|-----|
me r c ique ilaientpor	--⌫-⌫-⌫|--|-|----|--|
d ieupi t ie	-⌫--|--⌫-⌫-|
et denos e tque	-|-|--|-⌫|--|
iln e se honissent et	-|-⌫|-|--------|-|
queil netoillentla rescosse	--|-|-|-------|-|-------|
ensifu li consel sacor d ezetal erent	---|-|-|------⌫|----⌫-⌫-|-|--⌫----|
en semble en uneualee	--⌫-----|-|--|----|
ouci l ten oient lorparlement	-|--⌫|---⌫----|--|--------|
etmenerentau ecals le	-|-------|--⌫-|--|-|
fillempe reorde costantinoble	--||----⌫---|-|------------|
ettoz l eseu esquesettoz	-|--|-⌫-|--⌫-----|-|--|
lesabbezde l	--|----|-||
uin dr e n t lasi	---⌫--⌫-⌫-⌫|-|-|
descendire nta	----------⌫-||
pi ee t cilcu m	--⌫|-⌫|--|--⌫|
uire ntsi descendir ent	----⌫-|-|---------⌫--|
de lorcheuause talerent	-|--|------|-⌫|------|
enc ontreetliba r onlor	---⌫----|-|-|--⌫-⌫-|--|
cheirentaspi e s m ultplorant	-------|-|--⌫-⌫|-⌫--|------|
etdis trent qu eil	-|---⌫----|--⌫|-|
mouroient tr esque	--------|--⌫----|
ci l a r oientcreant é q uil	--⌫|-⌫-⌫----|------⌫-|-⌫|-|
nese mo uroientd	-|-|--⌫------||
et quantcil uir ent cesioren t mult	-|----|--|---⌫--|-|-|----⌫|---|
gr antpitieetplore rentm ultdure m ent quantil	--⌫--|----|-|-----⌫---|-⌫--|----⌫-⌫--|----|-|
s eignorse tlor	-⌫------|-⌫|--|
p arenze tloramis	-⌫----|-⌫|--|---|
lor piezsi	--|---|-|
queilenparleroient	--|-|-|----------|
tr ai stre nt aune part	--⌫--⌫----⌫-||--|---|
et par lerentensembleet	-|---⌫-----|-------|-|
s ummedelorconseilfu	-⌫---|-|--|------|-|
telsqueilseroi entencor	---|--|-|-----⌫--|----|
auecelst r es qua la	---|--|-⌫-⌫--⌫-||-|
sainmichelpar	---|-----|--|
telconu ent	--|----⌫--|
queil l or iu reroi entsor	--|-|-⌫-|--⌫-----⌫--|--|
sainz loialm ent quedes	----|------⌫--|--|--|
enq uiennauant queleeure queil less emonroient	---⌫-|-------|----|---|--|-|--|-⌫---------|
ded enzlesyyiors q ue	---⌫--|--|-|---|-⌫-|
ill ordonroie nt nau iea	-|-⌫-|-------⌫-|---⌫-||
sa nzma l engin	--⌫-|--⌫|----|
dont ilporoientalere n	---|-|-------|---|-⌫|
ensifuotroié et	---|-|------|-|
iuré etlor sotgrant	----|-|---⌫|-|----|
i oi epar tote lo st	-⌫--⌫|--|---||-⌫-|
se recuillier ent	-|----------⌫--|
esneset li	-|--|-|-|
cheu aus fure nt	----⌫--|----⌫-|
mis esuissiers	--|-|-------|
ensisep arti rentdelpor tde corfo l la	---|-|-⌫----⌫---|--|---⌫|-|-----⌫|-|
uei lledepentecoste	---⌫--|-|---------|
q u ifu yy	-⌫-⌫|-|-|
an zet t rois	--⌫|-|-⌫---|
inc arnationnostre seignori esucr istet	---⌫-------|-----|------|-⌫--|--⌫--|-|
enqui furenttotes les	----|-----|----|--|
nes ensemble ettuitli	--|-------|-|---|-|
u i s si eret	-⌫-⌫-⌫--⌫-|-|
t otes lesgal ies	-⌫---|--|---⌫--|
ost e t asse zdautre s	--|-⌫|----⌫||-----⌫|
marcheans qui auecserent	--------|--|---||----|
aroutees et liiorsfu	-------|-|-|---|-|
bels etcl ersetli	---|-|--⌫--|-|-|
uenzdolzetsoesetill aissent	---|---|-|---|-|-|-⌫------|
alerlesuoillesaluent	---|--|------|-|---|
etbie ntestim o igne iof froi s li	-|---⌫|------⌫-⌫---|---⌫----⌫|-|
mar eschaus	---⌫------|
de champaignequiceste	-|---------|--|----|
oeureditaque	----|---|--|
i menti de mot	|----|-|--|
as o nes cientsi com	|-⌫-⌫|--⌫----|-|--|
atoz l esc onseilsf u que	|--|-⌫-|-⌫------|-⌫|--|
oncsibelechosenefu	--|-|---|----|-|-|
ueueetbie nsem bloit	---|-|---⌫|---⌫----|
estoi requiterredeust conquer re	-----⌫-|--|----|----|-------⌫-|
quetantque	--|---|--|
p o oitueoir aoil	-⌫-⌫--|----||--|
ueoirseuoil l es	----|-|----⌫-⌫-|
e tdeua issiaus	-⌫|-|--⌫------|
si queli cuer des	-|--|-|---|--|
hommessenesio isso ientmult	-----||-|----⌫----⌫---|---|
ensicorurentpa rmer ta nt	---|-------|--⌫|--|--⌫-|
queiluindrent	--|-|-------|
acade me leea untrespas	|----⌫--⌫--||-|------|
qui sormer s ietetlors	--|--|--|-⌫--|-|---|
e nco ntrerentyy	-⌫---⌫-------|-|
pelerinsetdecheualierset	-------|-|-|---------|-|
d eserian squirepairoie nt de	-⌫|------⌫|--|---------⌫-|-|
sur ieetceestoientd e	---⌫-|-|-|-------|-⌫|
celsqui estoientalé	---|--|-------|---|
alportdemarse illepas s er	-|---|-|-----⌫---|---⌫-⌫-|
etqua ntiluirent	-|---⌫-|-|-----|
l estoiresi	|------|-|
belle et s ir i chesi	----|-|-⌫|-⌫-⌫--|-|
orenttelh ont eque il	----|--|-⌫---⌫|--|-|
ne souserentmostrer etli	-||-------|------|-|-|
cuensbaudoinsdeflandres	----|-------|-|-------|
et de hennau t	-|-|------⌫|
labargedesanef	-|----|-|-|--|
por sau oirquel genzceestoient	--|---⌫--|---|---|-|-------|
et ildistr entqu	-|-|-----⌫--|-|
i l estoient	-⌫|-------|
etunsserian zse	-|--|------⌫|-|
laitcollercontreual de	---|-----|--------|-|
lanef e nla	-|--|-⌫|-|
bar geet dist	---⌫-|-|---|
acels dela	|---|-|-|
clainc uitecequi remaint	----|-⌫---|-|--|------|
en lanef dou mien qar	-|-|--|--|---|--|
ie m en iraiauec ces	-||-|---|---|--|
quarilsemble	---|-|-----|
bien queil	---|--|-|
doiuentterr e conquerre a	------|----⌫|--------||
grant bie nfuatorne z	----|---⌫|-|------⌫|
auseriantetmu lt fu	-|------|-|--⌫-|-|
uolentie rsen l ost ue uz et	--------⌫-|-||--|--⌫-|-|
porc e dithomque	--|-⌫|--|--|--|
m ilmale su oies pueton	-⌫-|----⌫|-⌫---|---|-|
tr osque a	--⌫----||
nigre nigresi	----|----|-|
est unemultbon eysl e	--|--|---|---⌫|---⌫|
etune multbone citez	-|--|---|---|----|
ona ppelle	-|-⌫-----|
nigrepontenquisi pristrent cons eil	--------|----|-|--------|----⌫--|
b aronsise nala	-⌫---|-||-⌫|--|
lim arc his	-|-⌫---⌫--|
bonifacesde mo nferrat	--------|-|--⌫------|
etlicuen s baudoi ns	-|-|----⌫|------⌫-|
deflandresetdehennaut	-|-------|-|-|------|
a g rantpart i edesuissie rsetdes	|-⌫---|----⌫-⌫|--|------⌫-|-|--|
auec lefi l	---|-|--⌫|
l empereor s urs acdecostant inop le	|-------|-⌫---⌫-|-|-------⌫----⌫-|
en u neysle que	-|-⌫-|---|--|
appel le andr eet	-----⌫-|----⌫|-|
des cendirenta	---⌫--------||
licheu alier etc orurent	-|----⌫----|-|-⌫------|
lat err e etla genzdel	-|-⌫---⌫|-|-|---|--|
pais uindren tamercialfil	---|-------⌫||----|-|--|
le mpereordecostan tinoble	|-⌫------|-|------⌫------|
etlidonerenttant dou	-|-|-------|---|--|
lorquepai sfi renta lui	--|--|---⌫|--⌫---||--|
etrentrerenten	-|---------|-|
lor uaissiausetcoru rent	--|--------|-|----⌫---|
parmerlorsauint	--|--|---|----|
un granzdomaigesqueuns	-|----|-------|--|--|
halzh omdelost	---|-⌫-|-||--|
quiauoitnomguis li	--|----|--|---|-|
castelai ns	--------⌫-|
decocimoru tet	-|---|----⌫|-|
fugitezen l a m er	-|----|-|-⌫|-⌫-|
les autresn es qui	--|-----|-⌫-|--|
ner ent m ie c elepart	|--⌫--|-⌫-|-⌫--|---|
guenchies furententrees enboche	--------|-----|------|-|----|
dauie etceest	|---|-|-|--|
laoulib raz	-|-|-|-⌫--|
s ainiorge	-⌫--|----|
chietenla grant mer	----|-|-|----|--|
corurentcontrementl ebraz	-------|---------|-⌫|---|
tresquea unecite	------||--|---|
onappel le aiue quisiet	-|-----⌫-|---|--|---|
sorle br a zs aingeorge	--|-|--⌫-⌫|-⌫--|-----|
de uerslaturchie	--⌫---|-|------|
etm ultbienasise	-|-⌫--|---|----|
enqui pristrentport etdescendirenta ter re et	----|--------|---|-|-----------||---⌫-|-|
cilde la ci teuin dren t	--|-|-|--⌫-|---⌫----⌫|
encontreels et lorrendirent	-------|--|-|--|--------|
lauille s ic o m	-|----|-⌫|-⌫-⌫|
nel osoien tdefendre	-||------⌫|-------|
fisentmultb iengardersi q ue	-----|---|-⌫--|-----|-|-⌫-|
c i l delauillen	-⌫-⌫|-|-|----||
pe rdire nt uaillantundener	--⌫-----⌫-|-------|-|----|
ensi seiorn eren t enq ui yy	---|------⌫----⌫|---⌫-|-|
le s nesetlesgalie s	--⌫|--|-|--|-----⌫|
uiss iersquiestoient	----⌫---|--|-------|
encorauenir e t	----||----|-⌫|
dedenz c elseior	-----|-⌫-|----|
pr istre ntdes	--⌫-----⌫-|--|
blez enla terre	---|-|-|----|
moisonse t il	------|-⌫|-|
auo ientgrantmestierquar	---⌫---|----|------|---|
il enauoientpouet	-|-|------|--|-|
d edenz ces yyiorz furent	-⌫----|--|-|---|-----|
uenu tuitliuaissel et	---|---|-|------|-|
lib aronetdieu slordon abontens	-|-⌫---|-|----⌫|--|---⌫|--|---|
lorsse partirent delportdauie tu it	---|-|--------|--|---||---|--⌫-|
ensemblesi	-------|-|
peussiezueoir	-------|----|
brazsa in i o rge	---|--⌫-|-⌫-⌫--|
con t remo ntd eneset	---⌫-⌫----⌫-|-⌫|--|-|
galiese tdeuiss ierset	-----|-⌫|-|----⌫---|-|
mu ltgr antmeruoill e	--⌫-|--⌫--|--------⌫|
labialtezar egard er	-|------||-⌫-----⌫-|
ensicor uren t	---|---⌫----⌫|
contre mont lebra z s a iniorg e	------⌫---|-|---⌫|-⌫-⌫-|----⌫|
t an t queil uin dre nta	-⌫--⌫|--|-|---⌫---⌫-||
sa intes ti ene aune	--⌫--|--⌫--⌫--||--|
quier eatroi s	--|--⌫||----⌫|
lieuesd e costantinopleetlors	-----|-⌫|------------|-|---|
uirenttoutaplai ncostantinople	-----|---||----⌫|------------|
n es etdes	-⌫-|-|--|
galiesetdes ui ssiers pristrent portetaancrerent	-----|-|--|--⌫-----|--------|---|-|---------|
loruaissiaus	--|--------|
sauoirquemult es gardere n t	-----|--|---|--⌫-------⌫-⌫|
costantinopl ecilquionques	------------⌫|--|--|-----|
maisnelauoien t	---|-||------⌫|
que ilne pooi entmi e	--|-|-|----⌫--|--⌫|
cuidier que siri che u ille	------|--|-|--⌫--|-⌫---|
peust estre ento tle	----|----|-|--⌫|-|
mondecumiluir entc es	----|--|-|---⌫--|-⌫-|
m urset cesr ic hes toursdont	-⌫--|-|--|-⌫--⌫--|----|---|
eleereclo setotentora	--|--|---⌫-|--|----||
la reo nd e etcesr iches	-|---⌫--⌫|-|--|-⌫----|
pala is etceshaltesyglises	----⌫-|-|--|-----|------|
donti li auoittantquenuls	---|-⌫||----|---|--|---|
nel poistcroireseil nele	-||----|-----|-|-|-|-|
oiletlelonc	--|-|-|---|
etl e ledelau illequide	-|-⌫|-|-|-|-⌫---|--|-|
totes lesaut resere so ueraine	----|--|---⌫--|--|--⌫------|
etsachiez que	-|------|--|
otsihardicui lacar	-|-|----|--|-|--|
nefremistetce nefumie	-|------|-|-|-|-|--|
m eruoil lequ eonquessi	-⌫------⌫-|--⌫|-----|-|
g r an taffai res nefue mpr is	-⌫-⌫--⌫|-----⌫--|-|-|-⌫---⌫-|
detantdegent	-|---|-|---|
puisque li monz	------|-|---|
fu estorez	-|------|
lo r sdescen dirent a	--⌫-⌫|------⌫-----||
ter relicon te et	---⌫-|-|---⌫-|-|
uenise etf u	-----|-|-⌫|
liparlemenzou	-|--------|-|
mo s tiers ain t	--⌫-⌫---|-⌫---⌫|
estienel a ot	------|-⌫|-|
maintconseil	----|------|
priset d oné	---|-|-⌫---|
toteslesp ar olesqui	----|--|-⌫--⌫---|--|
furentditesne	-----|----|-|
uos con te ra	--|---⌫--⌫-|
liur es mes l a summe	----⌫-|--|-⌫|----|
de l conseilsifu	--⌫|------|-|-|
t iels que	-⌫---|--|
li du x deuenisese	-|--⌫|-|-----|-|
estant etlor	-----|-|--|
sei gnori e sai	---⌫---|-⌫|--|
del conu ine decestpais	--|----⌫--|-|---|---|
f ai tescar	-⌫--⌫--|--|
estéuosauez	----|--|---|
le pl usgrantafaireet	-|--⌫-|----|-----|-|
leplus perillousentrepris que	-|---|--------|--------|--|
o n qu esgenzentre prei sse ntporce	-⌫-⌫--⌫-|---|-----⌫----⌫---⌫-|--|-|
siconuen droit	-|------⌫----|
q ueonourastsagement	-⌫-|-|-----|-------|
senosalo nsala	-|--|---⌫-||-|
terreferm elater re	----|----⌫|-|---⌫-|
s ontpoureet diseteus	-⌫--|----|-|-------|
dela uiandesis e s pan dr o nt	-|-|-----|-||-⌫-⌫---⌫--⌫-⌫-|
terre p or querrela	----|-⌫-|-----|-|
uiandeeti li amult	-----|-|-⌫|||---|
g rantplentede lagent	-⌫---|-----|-|-|---|
porriens tot	-------|--|
ga rderquenos	--⌫---|--|--|
perdiss iens etno snauons	-------⌫---|-|--⌫||----|
me stierdep erdrequ emult	--⌫----|-|-⌫----|--⌫|---|
auonspoidege ntace	----|--|-|--⌫-||-|
quenosuolon sf aire	--|--|-----⌫|-⌫---|
islescip res	----|-|-⌫--|
que uospoezueoir	--|--|---|----|
ciq ui s on thab itees	-|-⌫-|-⌫--⌫|---⌫----|
gen z et laborees	---⌫|-|-------|
deuiandesetd	-|------|-||
autre sbiensalons iki pre n dre	-----⌫|----|----|--|---⌫-⌫--|
portetrecu ill ons le s bles	---|-|----⌫---⌫--|--⌫|---|
etlesuiandes del pais et	-|--|------|--|---|-|
qua ntnosauronsle suiandes recu illiesalomes	---⌫-|--|-----|--⌫|------|----⌫-----|-----|
d euantla u illeetfesons	-⌫----|-|-⌫---|-|-----|
cequ eno stre siresnos	-|--⌫|--⌫---|----|--|
aura porueuquarplusse urement	---|-----|---|---|--⌫------|
guerroiecil	-------|--|
en apoint aces t cons eil	-||----||---⌫|----⌫--|
sacorderentli contee t	|---------|-|----|-⌫|
li baro netsenr alerent	-|----⌫|-||-|-⌫------|
tuitalo rnes	---||--⌫|--|
chascun seta	-------⌫|-||
ses uaissi au s	--|------⌫--⌫|
ensi re pouserent c elen uit	---|--⌫--------|-⌫--|-⌫--|
quifu leiorde	--|-|-|--|-|
mon seignor	--|------|
sain iohan	---|----|
baptis teen	------⌫-|-|
iuing furent	----|-----|
d recieslesbani ere s etli	-⌫-----|--|----⌫---⌫|-|-|
confa nones chast ia lsdes	-----⌫--|-|-----⌫--⌫-|--|
nesetlesho sches	--|-|--|--⌫----|
des escus etportenduz	--|----|-|--------|
les bo rsdesnesch a scuns	--|--⌫-|--|--|--⌫-⌫----|
reg ardoit sesar mes telscon	---⌫-----|--|--⌫--|---|--|
a luiconui ntque de fi	|--|-----⌫-|--|-|-|
seussentquepar tensenaro ntmestier	-------|--|--|---|-|---⌫-|------|
limariniertrai st rentle sa ncreset	-|-------|----⌫--⌫---|--⌫|-⌫----|-|
laissentlesuoil lesal uent	-------|--|----⌫--|-|---|
alere t diexlor done	---|-⌫|---|--|---|
te l c ona	--⌫|-⌫-||
elsconuintsi senpass ent tr es	--|------|-||-|----⌫--|--⌫-|
parde uantcostantino pl es i	--|--⌫---|----------⌫--⌫|-⌫|
presdesm ursetdes	---|--|-⌫--|-|--|
tours que am aintesdelor	----|--||-⌫-----|-|--|
n es tra ist	-⌫-|---⌫--|
onsiiauoit	-|-||----|
tan tdegent sor	---⌫|-|---|--|
et sorl est oursque il	-|--|-⌫-|-⌫---|--|-|
semblo it queiln aust s elan on	------⌫-|--|-||---|-⌫|-|-⌫-|
ensilor bestorna diexnostresirele	---|--|-------|---|-----|---|-|
conseilquifupris lesoir	------|--|-|---|-|---|
detorneresyslesausico n	-|-----|-|----|---|--⌫|
sec hascuns nen aust	-|-⌫------||-|---|
onques oi parler etmai nten ant	-----|-|-----|-|---⌫----⌫--|
traienta la ferme	------||-|----|
terreplusdroitque	----|---|----|--|
onque s puen t	-----⌫|----⌫|
etp r istrentportdeuant unpal ais	-|-⌫-⌫------|---|-----|-|---⌫--|
l emper eor alexidont	|-----⌫--|----|---|
lileusestoitappellezcalchidoines	-|---|-----|-------|-----------|
en droit costantinop le	--⌫----|-----------⌫-|
part del braz deuersla	---|--|---|-----|-|
turchi ecil	------⌫|--|
pa l ais fuuns	--⌫-⌫--|-|--|
des plusbiaxetdes	--|---|---|-|--|
plusdelitablesqu e onquesoel	---|---------|--⌫|-----|--|
peus se ntesgarderdetoz	----⌫--⌫-|-------|-|--|
lesdelizqueil	--|----|--|-|
aco rs domeque	|--⌫-||--|--|
enmaisondep rincedoitauoir	-|-----|-|-⌫----|---|----|
e tlic onteet	-⌫|-|-⌫---|-|
li baron descendirent ala	-|----|-----------||-|
t erreetseherberg ierentel	-⌫---|-|-|-------⌫-----|-|
pal aisetenlauille	---⌫--|-|-|-|----|
l ipl usor	-⌫|--⌫---|
tendirentlorpauei l ons	--------|--|-----⌫-⌫--|
furentlicheua ltrait fors	-----|-|-----⌫|----|---|
desuissiersetli	--|-------|-|-|
et li seriantdes cendirenta	-|-|------|---⌫--------||
laterreatoteslor	-|----||----|--|
armessi q ue iln e	----|-|-⌫-|-|-⌫|
r e mestesua issiaus	-⌫-⌫---|-|--⌫------|
marini erla contree	------⌫-|-|------|
et r icheet plante uro se	-|-⌫---|-|------⌫---⌫-|
detozbiensetles	-|--|----|-|--|
moiesdes blezquiestoien t	----|--|---|--|-------⌫|
m essonéparmi	-⌫------|----|
lescamp stantqu e	--|----⌫|---|--⌫|
chas cu nsen	----⌫--⌫-|-|
uoltprendre si enprist	---|------|-|-|----|
cumcilqui grantmesti er	--|--|--|----|-----⌫-|
enauoie n t	-|-----⌫-⌫|
ensi sei ornerentenc el	---|---⌫-------|-|-⌫-|
ende ma in	----⌫--⌫-|
etaltie rz	-|-|---⌫-|
die xbon uent et cilmarinier	---⌫|--|---|-|--|-------|
resachent lorancres e t dressentloruoille s	--------|--|-----|-⌫|-------|--|------⌫|
u entensi qu ils	-⌫--|---|-|-||
enuontcontremontlebraz	-|---|---------|-|---|
bienunelie uedesorcon stantinopl ea un	---|--|---⌫-|----|---⌫----------⌫||-|
qu ier e lempereor	--⌫|--⌫||-------|
quier ea ppellez	--|--⌫|-⌫------|
lescutaire	|--------|
ancreerentle s	---------|--⌫|
neset liuiss i ers et	--|-|-|----⌫-⌫--|-|
totesl e sga lies et	----|-⌫-⌫|--⌫---|-|
ch eualeriequi	--⌫-------|--|
