O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Liroi sGuis lescommande au fil saint e Marie	-|---⌫|---|--|-------|-|--|-----⌫|----|
Quillesp uisseaconduireà santé	-|-|--|-⌫----|--------|-|-----|
et àui e .	-|-|--⌫||
Etli baroncheuauchent qui Ihes ubenéie	-|-|----|----------|--|----⌫|------|
O nq uescil nefi nerentdeci enAug orie	-⌫--⌫--|--|-|--⌫-----|-|-|-|---⌫---|
H uidelonua deuantetsagent de	-⌫------|-|-----|-|-|---|-|
Qui tuit erentarméàl aloi p aienie	--|---|----|----|-|-⌫|--|-⌫-----|
Parla portes an entrentenlacite ́garnie	--|-|----||-|------|-|-|----⌫|-----|
I lni otsih ardiqui	-⌫|||-|-|-⌫---|--|
pas lecon tredie.	--|-|---⌫-----||
Etci lont che uauch ie ́à beleco mpaignie	-|--⌫|--|---⌫-----⌫--⌫|-|---|--⌫-------|
uenuso ntàlapor tedelagra nt tor ga rnie	---|--⌫-|-|-|---⌫-|-|-|---⌫-|--|--⌫---|
Hui d elonlesapeleàl aloi paienie	---⌫-⌫---|--|----|-|-⌫|--|------|
Etlipo rtierslioe urenelic ontre ditmie .	-|-|--⌫-----|-|--⌫--|-|-|-⌫-----⌫--|--||
Quan t uirentHuidelon mult gr antioielifirent	----⌫|-----|-------|---|--⌫--|---|-|-----|
Mais quantuoientFra nç ois forment se nesbahirent.	---|----|-----|---⌫---⌫--|------||-⌫|---------||
DientàHu id elon Bi enuig n iezuos biaussire.	----|-|--⌫--⌫---|--⌫-|---⌫-⌫--|--|----|---||
Sonttui tci lcheu al ier	---|---⌫|--⌫|----⌫--⌫--|
deuos treco mpaignie	-|---⌫--|--⌫-------|
QuantDan emont lent entà	----|---⌫----||---⌫--|-|
haut euoissescr ie	----⌫|---||----⌫-|
uoslesaurois multbieneins eure	--|-|------|---|---|---|---|
decomp lie.	-|----⌫--||
O ùestroisEscorfau sa ̀l a	-⌫-|--|---|--------⌫|-⌫|-⌫|
cher ehardie	----⌫|-----|
-Bia ussireilest la ̀s usà mesni e esch arie	|---⌫-|---|-|--|--⌫|-⌫-|-|-----⌫|----⌫---|
Naque .C.cheualie r solui	||--||||--------⌫-⌫||--|
e ncompaignie.	-⌫|---------||
Quan tHuidelon lententnepuet muer ne rie.	----⌫|-------||-----|-|---|---|-|--||
Lo rsd escendi renttuit	--⌫-|-⌫-------⌫---|---|
oliue foillie	----|------|
Etmo nterent amontenlasale	-|--⌫------|----|-|-|---|
Ettrueuent	-|-------|
Esc orfau t àla barbe f lorie.	---⌫-----⌫|-|-|----|-⌫----||
QuantHu id elo nleuo itfierement	----|--⌫--⌫---⌫|-|--⌫-|--------|
Biaus nié sdistH uide loniene	----|----⌫|---|-⌫----⌫--|-|-|
uou s sa lu mie.	---⌫|--⌫-|--||
Len fes GuideBo rgoigne qui tantaseignorie	|--⌫--|--|-|--⌫------|--|---||--------|
Detrestout ematerre	-|--------⌫|-|----|
nemailless iémie	-|||-|----⌫--|--|
prangederanteualissant	-----|-|----|--------|
QuantlententEscorfautn e	----||-----|--------|-⌫|
pu etmuernedie	--⌫-|---|-|--|
Marlepansali glou s	--|-|----|-|----⌫|
par m abarbefl o rie	--|-⌫|----|--⌫-⌫--|
O r manderaipaiensdeci en Au gorie	-⌫|-------|-----|---|-|--⌫----|
Etsi feraiuenir Butorde Salorie	-|-|----|----|----|-|------|
Etmanderai Mau dran	-|-------|---⌫---|
d eMau dran e l ariche.	-⌫|---⌫----⌫|-⌫|----||
Quant iaurai assamblémagrantcheualerie	----||----|--------|-|----|---------|
Lors men ir aiuers Guisin em	---||-|--⌫-|---|--|-|-⌫||
Trencher ail u i la testeàm espée	--------⌫-|-⌫-⌫|-|----|-||-----|
Etsiferai destruiresa	-|-|----|--------|-|
gra ntch eualer ie	---⌫-|--⌫------⌫-|
Raemp l ir anfer aimater redesert ie	-----⌫-⌫-|-|---⌫-|-|---⌫-|------⌫-|
QuantBertransle ntendi tous li	----|-------||-⌫-----|---|-|
sa nslifremie	--⌫-|-|-----|
Oùqueil uo itBerart	--|--|-|--⌫-|-----|
enba ssetliescrie	-|--⌫---|-|-----|
Aués oï paiensu a nter	----|--|-----|-⌫-⌫---|
deg rant folie	-|-⌫---|----|
Mar lepansaliglou s se	--|-|----|-|----⌫|-|
Diexme bene ́ie	---|-|----⌫--|
-SeignorceditEstousporDi eu	|------|-|--|-----|--|--⌫-|
lefilMari e	-|--|----⌫|
uou spri ieet requierqu ene uos	---⌫|--|-|-|------|--⌫|-|--|
hastés mie	------|--|
Quantamené	----|-----|
n os ontcestegent paien ie	-⌫-|--|----|---|-----⌫-|
Etsesontba utoizie ́	-|-|---|--⌫-------⌫|
porDi eule filMarie	--|--⌫-|-|--|----|
Et semiexnenosfontiln eno s	-|-|---|-|--|---|-|-⌫|--⌫|
faud rontmie.	----⌫---|--||
Etseuo s u éés	-|-|--⌫|-⌫----|
c ommencerlafolie	-⌫-------|-|----|
Chascunsfieregrantcopde	-------|----|----|--|-|
le spéeforbie .	|-⌫----|-----||
Quan tlienfant	----⌫|-|-----|
len tendentchasc un da usl i esc ri e	|--⌫------|-----⌫-||-⌫-|-⌫|---⌫--⌫|
Bienfait ào tro ier . Diexnos soit	---|---|-|-⌫---⌫--||---|--|---|
Sor uo loitHui delonàla ba rbeflorie	|-|--⌫---|---⌫----|-|-|--⌫--|-----|
Nos a urïonsan qui ceste gr anttorgarnie	--|-⌫------|--⌫--|----|--⌫--|--|-----|
E tren drionsGuionces te c hast e lerie .	-⌫|---⌫-----|----|---⌫-|-⌫----⌫-⌫----||
- Certesdi stDanemo n s i lneuos faudramie.	|-----|--⌫-|------⌫-⌫|-⌫|-|--|-----|--||
ESCO RF AUTd	----⌫--⌫--||
Aumarie est leue ́s anest ant	------|--|----⌫-|-|---⌫--|
Bien c onnu tauuiaireetBer art etB ertra nt	---|-⌫----⌫|-|-----|-|---⌫--|-|-⌫-----⌫-|
Quei lestoientnédelaterredesFrans.	--|-⌫|-------|--|-|-|----|--|----||
u oitHuidelonsilidi st mainte n an t	-⌫--|-------|-|-|--⌫-|------⌫-⌫--⌫|
cilcheuali ercelern iuaut	--|-------⌫-|----|||---|
ParMahomet mon Dieu	--|------|--|---|
ilnosuontmultgabant	-|--|---|---|-----|
Silnesontàlaloi	|-|-|---|-|-|--|
Il p e rdro ntia lestes tesà monacerinbrant	-|-⌫-⌫----⌫-|-|--|---⌫--|-|--|-----|----|
QuantD anemontlentent	----|-⌫------||-----|
sisaill imai ntena nt	-|-----⌫|---⌫-----⌫-|
SeDie x maïtbiauson cles cel er	-|---⌫||---|----|--⌫---|---⌫-|
n iua utnoiant .	||--⌫-|-----||
Où qui luoi tEsco rfautsilidisten	--|-|-⌫|---⌫|----⌫----|-|-|---|-|
Ilsont homeGuioncecheualier uail lant.	-|---|---|----|-|--------|----⌫---||
Ceuosmande par nous	-|--|----|--|---|
irïon celant	-----|-----|
Que deu enéssesh om	--|---⌫----|--|-⌫-|
hui ces tiorenauant	--|---⌫|--|-|----|
Etcréé senIhes u lepere omnipotant.	-|------⌫|-|----⌫|-|---|---------||
Et setusinelf aisde ta uieest	-|-|-|-|--|-⌫--|-|-|--|--|
Herberg iéas t e us hostes qui t ef ero ntdolant	-------⌫--|-|-⌫-⌫-|-----|--|-⌫|-⌫---⌫-|-----|
HUI DELONlor guilleusfis t	---⌫----||--⌫-------|---⌫|
forme nt àproisie r	-----⌫-|-|-------⌫|
Où quilu oitEscorfauts i li	--|-|-|-⌫--|--------|-⌫|-|
pris t àhuchie r	----⌫|-|------⌫|
Amiscedistl iroisàce ler	---|-|---|-⌫|---|-|--⌫--|
neluousquier	--|---|----|
Diex nousaassenéau meillo rcheualier	---|---||------|-|------⌫|--------|
Quion quesporta s t	--|--⌫---|-----⌫-⌫|
armesnemon tastandestrier	----|-|---⌫---|-|-------|
Ilnosafaittres tousleuer et ba toizi er	-|--||---|----⌫---|----|-|--⌫-----⌫-|
E tsinosarand ues nos terres	-⌫|-|--||----⌫--|--|-----|
etnos fiés .	-|--|----||
Orte somesuenuporDie u querreetproier	-|-|----|---|--|---⌫|-----|-|-----|
rans taterretes homesettes	---|-|----|--|----|-|--|
Ou cen onparlapostreque	-|-|-⌫-|--||------|--|
quierentcheualie r	-------|--------⌫|
A morsneparentagenet	-⌫---|-|--------|-||
tefaceiala t estero o ignier	-|---|-|-|-⌫---|--⌫-⌫-----|
Etarrach erducorset lesm ains	-|------⌫-|-|---|-|--|-⌫---|
et lespi e ́s.	-|--|--⌫-⌫-||
Apr èsce mot regardeBertran tletimonier	---⌫--|-|--|------|-------⌫|-|-------|
Estoutau siBe rartde	-----|--⌫-|--⌫---|-|
Mondisdier.	---------||
Quantli enfantleuoient nese uodrent targier	----|-|-----|-|-----|-|-|------|------|
Ainsdesuestentles	---|---------|--|
chapestr aientles bransdacier .	-----|--⌫----|--|----||----||
BertranslifilsN aimonuaferir Marchepi er	-------|-|---|-⌫----|-|----|--------⌫-|
EtBerartuait	-|-----|---|
ferir Mu rg alantde R ausier	----|--⌫--⌫----|-|-⌫-----|
larcheuesq ue sleroi de	|---------⌫--⌫|-|--|-|
Ettuitliautrei fierentne se uodrent	-|---|-|----||------|-|-|------|
Estouslifils Oedonà	-----|-|---|----|-|
Es corfautsan u ient	--⌫------||-|-⌫---|
Ialeferistdu branc s ans p lusde deloie r	-|-|-----|-|----|-⌫--|-⌫--|-|------⌫|
QuantHuidelonlic rie PorDieunele touchier	----|-------|-|-⌫--|--|---|-|-|-------|
Es corf aut s	--⌫----⌫--||
a nfuioitàHuid el on le ui el	-⌫|-----|-|----⌫--⌫-|-|--⌫-|
Bienuoitni uaut forc eualissant.I.	---|---|||---|----⌫|--------||||
Asa uoisquil ot clere	|-|---|-|-|-|----|
commen çaà huchie r	------⌫--|-|------⌫|
Fai tese ns reboutercesrichesbransd	---⌫--|-⌫-|-------|--|-----|----||
rend rai Gu ion meste r reset mesfiés	----⌫--|--⌫--|--|--⌫-⌫--|-|--|----|
Et creraien Ihe su	-|-----|-|---⌫-|
quilemont doitiugier .	--|-|---|---|-----||
M ieus aimmater reperdr e quelateste	-⌫---|--|-|---⌫-|-----⌫|--|-|----|
tranch ier	------⌫--|
Maiscest li pluspar forceli	---||--|-|---|--|----|-|
moinsparamistiés .	----|--|--------||
-Nem enchaut	|-||-|----|
ce distHu idresquei eensuitouzliez.	-|---|--⌫----|--|-⌫|-|--|---|---||
QUA NT o ruoitEscor fautque	---⌫-|-⌫|---|-----⌫---|--|
ilest si sor pris	-|--|-|---⌫---|
Otroierli conuientet lor faiset	------|-|-------|-|--|---|-|
Oucenon de	-|-|--|-|
sauie est maluaisement fis.	-|--|--|-----------|--||
Où quil uoitHuidelonsil icrie àha us	--|-|-|---|-------|-|-⌫|---|-|--⌫-|
Orsera lirois	-|---|-|---|
Guisdema terresaisis	---|-|-|----|-----|
Etsifera gar derm a terreet	-|-|---|---⌫--|-⌫|----|-|
monpaïs .	--|----||
m on chief cedis t Huidresmer ueillesau és	-⌫-|----|-|---⌫|------|---⌫------|--⌫--|
uo s n iperdro isu oir u ail lant	--⌫|||------⌫-|-⌫--|-⌫---⌫---|
. I .angeuin	|||------|
Ains meté s	---|-----⌫|
uo strecorsdu touten	--⌫---|---|-|---|-|
son plaisir	--|------|
Queuosniaurois maldont	--|--|||-----|--|---|
uosp uiss eg arir.	--|-⌫----⌫|-⌫---||
Et Es co rfautrespontToutàuostr eplaisir.	-|--⌫--⌫----|------|---|-|-----⌫|------||
Par unedes	--|--|--|
fenestres a deforssonchief mis	--------||-----|--|----|--|
Etchoisiles paiensarméset	-|-----|--|-----|-----|-|
ferue sti s	-----⌫---⌫|
Plusde. XXXm.hom essesaà	---|-||---||---⌫-|--||-|
rai so n mis.	---⌫--⌫|--||
Seig nordist Esc orfauten tendezenuers mi	----⌫--|---|---⌫-----|--⌫-----|-----|-|
Ia ira nduasF r ançoisma terre etmon	|-⌫|--⌫--|-|-⌫-⌫------|-|----|-|--|
Baptisiermefe raiqueieleuoiliss i	--------|-|--⌫--|--|-|-|---|---⌫|
Ieuoil que uousrandoisuoste rresau tresi	-|---|--|---|------|--|--⌫---|--⌫----|
Etpaien respondirentP ar noD ieuApo lin	-|----|-----------|-⌫-|-|-⌫--|---⌫--|
Nous lesassaudronsiapar forceetparestri	---|--|---------|-|--|----|-|--|----|
Tantque tousle sauronsdetranc iés et ocis.	---|--|---|--⌫|-----|-------⌫---|-|---||
E tEscorfaut respontMer uei l les pu is o ïr	-⌫|--------|------|---⌫---⌫-⌫--|--⌫-|-⌫--|
Ouuos fe roi stotc e	-|--|--⌫---⌫|--|-⌫|
queieuous airequis	--|-|---|-|-----|
Ouuosmeuerrois ia	-|--|-|------|-|
dema lem ort	-|--⌫-|-⌫--|
SEIGNORdist Escorfau t	------|---|--------⌫|
neluousqui er	--|---|---⌫-|
faitesce que u ouspriet requier	-----|-|--|-⌫--|--|-|------|
Iame uerr oisla t este	-|-|----⌫--|-|-⌫---|
bu rooignier	-|--------|
Queie uo i làGuionqu i	--|-|--⌫|--|----|--⌫|
fa itsa gen t log ier.	--⌫-|-|---⌫|---⌫--||
Etcillirespondire nt	-|--|-|----------⌫-|
Nosestuet otroier	--|-----|------|
Nousne uous	---|-|---|
faudronsmiepor le stestestrenchier.	-------|--|--|--⌫|-----|--------||
Lapor tefont	-|---⌫-|---|
o uri retles pons abessi er	-⌫---⌫|-|--|---|------⌫-|
Puis m ist re nt iuslesarmessan s	---|-⌫---⌫--⌫-|--|--|----|---⌫|
poitdedelaier.	---|-|------||
Del palais a ualerent	--|-----|-⌫-------|
seri ant e tescuier	----⌫--|-⌫|------|
Et uontenl ost Guion	-|---|-||--|----|
lesnou ele s noncie r .	--|---⌫---⌫|------⌫||
Bertransl ifils Naimon est ale ́s atachier	-------|-⌫|---|-----|--|---⌫-|-------|
Aup ome l de lato r dugrantpalais	-|-⌫---⌫|-|-|--⌫|-|----|-----|
U ne enseigneuer meilleia fait baloie r	-⌫-|-------|---⌫-----|||---|------⌫|
Cil delostla choisirentli ionecheualier	--|-||--|-|---------|-|---|--------|
L enfe sGui d eBorgoig necommenç a	|----⌫|--|-⌫|-------⌫-|--------⌫|
à huchier	-|------|
Ortost lau ileestnostrepenso nsde	-|---|-|-⌫--|--|-----|-----⌫-|-|
l esploitier.	|---------||
D i euen d euons ensamble	-⌫-⌫-|-|-⌫----|-------|
loer et gra cier	---|-|---⌫---|
mot enmonterent	--|-|--------|
tel .L. millier	--||||------|
Q uiiuscàl acite ́ ne seu odrent	-⌫-|---|-|-⌫|----⌫|-|-|-⌫-----|
Acesdamesdes	|--|----|--|
char sn io t quesl éecier	----⌫|||-⌫|-|---⌫------|
Dont chascunete noitson	---|-------|--⌫---|--|
liure ouson	----|-|--|
ENlacit éentrerent	-|-|---⌫-|--------|
li cheualier ua illant	-|--------|--⌫-----|
Etontprisela	-|--|----|-|
uile etari ere e tauant.	---|-|---⌫--|-⌫|----||
Le nfesG uisfait crierpar	|-⌫---|-⌫--|---|----|--|
lacité uaillant	-|----|-------|
Quilni aitcheua li er tants oi t	-|-|||--|-----⌫--⌫-|---|-⌫--⌫|
de haute g ent	-|----|-⌫--|
QuitoilleàSarraz inson orne so n	--|-----|-|------⌫-|--|-|-|--⌫|
Tyrespailesnedra s nerienssansson co mma nt	----|-----|-|---⌫|-|----|---|--|--⌫---⌫-|
Ilenperdral a	-|-|-----|-⌫|
testeianiauragarant .	----|-|||---|-----||
QuantSarraz in	----|------⌫-|
lentendent sen	|--------||-|
sont lié et ioiant	---|---|-|-----|
unsàlautreCi	--|-||----|-|
amultbonegent	|---|---|---|
P ore usdeu onsno s	-⌫-|-⌫-|---⌫--|--⌫|
croire enDieu communem ent.	-----|-|---|--------⌫--||
At antesHuidelonetsonfilDragolan t	--⌫--|-|-------|-|--|--|--------⌫|
QuitienentEscorfautetder i eret	--|------|--------|-|---⌫-⌫-|-|
Hui delonuoi tGuionsi li	---⌫----|---⌫|----|-|-|
ua escriant	-|-------|
Tenezs iredist ilroi Escorfautuosrant	----|-⌫--|---|-|--|--------|--|---|
Luiettotesaterrepor faireu otalant .	--|-|---|-|----|--|----|-⌫|-----||
- Sei gnor	|---⌫---|
enfesGuiIhesuomnipotant	----|--|----|---------|
Noslaistsi esploitier dès icienau an t	--|----|-|---------|---|--|-|--⌫--⌫|
Q uepuissons faire à Karleauquesde ses ta lans	-⌫-|-------|----|-|----|-----|-|--|--⌫---|
L aissiésmeàE scorfaut	-⌫-------|-|-|-⌫-------|
parlerparaue nant	-----|--|---⌫---|
Amisueustureço iurec re ́ance uoiremant	---|---|-|-----⌫---|-⌫--⌫----|--------|
Fo ie t humi litée tsa i ntbau tisemant	--⌫|-⌫|----⌫----|-⌫|--⌫-⌫-|---⌫-------|
- Siredi stEscorfautgeluoil moultb onement	|---|--⌫-|--------|--|---|----|-⌫------|
Larcheues quesTurpinualesfons a prestant	|--------⌫---|-----|-|--|---|-⌫-------|
Leseign o ribapti sentetdessiensne	-|-----⌫-⌫||-----⌫---|-|--|----|-|
Et quiDi eune	-|--|--⌫-|-|
ueut cro iretous les uonto cia nt.	---|---⌫--|---|--|---|-⌫---⌫-||
puetonparlemienenciant	---|-|--|-|---|------|
Ap lu sde .XXXm.quienD ieusont	|-⌫--⌫|-||---||--|-|-⌫--|---|
cr éan t .	--⌫----⌫||
EtHuidelonan ot.XXXm.e t.	-|-------|-|-||---||-⌫||
Etl enfes Gui.L mquit uit	-||----|--||-⌫|--|-⌫--|
furentcréant .	-----|------||
Bi enfurent.C.	--⌫-|-----||||
millierce leco mpaigne	------|--⌫-|--⌫------|
Qui tuitsont à	--|---|---|-|
Karl o n de b ien faire	----⌫-⌫|-|-⌫--|----|
entendant .	--------||
Lacite ́commanderentà	-|----⌫|-----------|-|
Et E scorfaut sent orneetHuidel on	-|-⌫-------||-|-⌫---|-|------⌫-|
DaleràKa r lem aine	|---|-|--⌫-⌫---⌫---|
estcha scunsdesirans.	--|---⌫----|-------||
O r ironttuit ensamblel i	-⌫|----|---|-------|-⌫|
uielet lienfant	---|-|-|-----|
Leche minuers LuiserneseDiex	-|---⌫--|---|-------|-|---|
lelorconsan t .	-|--|------⌫||
ORcheua uchent ensamb le l i cheualierde	-|-----⌫-----|------⌫-|-⌫|--------|-|
fontarout e rsileso ntdeuantmis.	---|-----⌫-⌫|-|--|-⌫-|-----|--||
Orlescond uieDiexliroi s	-|--|----⌫--|---|-|---⌫|
L enfesGu i sd eBo rgoigne fucheualiersde	|----|--⌫-⌫|-⌫|--⌫------|-|---------|-|
Huidelon enapele et Danemont son fis	-------|-|----|-|-------|--|--|
Etliro iEscorfautet Drag ol ant	-|-|--⌫|--------|-|----⌫--⌫--|
Encon b ie nuenronsnous àLuiser nelacit	-|---⌫-⌫--⌫|------|---|-|------⌫-|-|--|
-Parfoidis tHuidelongeluosaurai	|--|--|---⌫|-------|--|--|----|
Ianeu errois .	-|-|-⌫-----||
III.iorspassé s neacomplis	--||---|------⌫|-|-------|
Que n osu err onsKarlon le roi deSaintDenis	--|-⌫-|-⌫---⌫--|-----|-|--|-|----|----|
Etlesba ron s	-|--|--⌫---⌫|
de France qu e uosdesirr és si.	-|-----|--⌫|--|------⌫--|-||
QuantEscorfaut l	----|--------||
ententsi a gi té . I.ris	-----|-||--⌫--||||--|
Et dit àHuidelonMerueillesauésd it	-|--|-|-------|---------|----|-⌫-|
Ai nçois aurons trouéune mult ri checit	--⌫-----|-----|-----|--|---|--⌫--|--|
Qu e plusriche netintpaiens n e	--⌫|---|----|-|---|-----|-⌫|
Etsietsor .	-|---|--||
I. r egortsor . I.ro chie r	||-⌫----|--||||--⌫----⌫|
Li muren s on ttrestuit dem arbreuerte tbis	-|--|-|-⌫--⌫|-------|-|-⌫----|---|-⌫|--|
.Xu.toursia	|-||----|||
hautesquisontde	-----|--|---|-|
marbr ebis	-----⌫|--|
Entor chascune cort demur	----|-------|---|-|--|
.I.mu lt grantfil	|||--⌫-|----|--|
chas c une porteestli	----⌫-⌫--|----|--|-|
p ons t orn éi s.	-⌫--|-⌫---⌫---⌫||
Lisiresqui	-|----|--|
l at ient iapardroit assis	-⌫|-⌫---|||--|----|----|
. C.homesqui	|||----|--|
lag arden tarméetferuestis	-|-⌫-----⌫|----|-|--------|
Onques Diexnefisthometantsoit po estéis	-----|---|-|---|---|---|---|--⌫------|
Netan t éust	-|---⌫|----|
oluide cheualie rs	|--|-|--------⌫-|
Qu ilapréis t parforce iuscauiordo uioïs	--⌫|-|------⌫|--|----|---|-|--|--⌫|----|
-Com men tanon	|---⌫---⌫||--|
biaus sire celiadit roisGuis.	----|---|-|-||--|---|---||
apele Maudrane Escorfautrespon di	----|-------|--------|------⌫-|
S i la tient Emaudras.I .	-⌫|-|----|-------||||
cuiuersmal éi s	------|---⌫---⌫|
Ilfude maserournezet angenoï s .	-|-|-|-|-----|--|-|--------⌫||
Sil aprèsmoidemeureb iennosaura	|-|-----|--|------|-⌫--|--|---|
Mais se g en	---|-||-|
deuoieestretrai ̈nez àro ncis	-----|----|----⌫---|-|--⌫---|
Nedemorrail paspar foi	-|------|-|--|--|--|
le u ospl euis.	-|-⌫-|--⌫---||
Seilueuttres passernemesfais mesdiz	-|-|---|----⌫-----|-|--|---|--|--|
Ie liferai	-|-|----|
creuerle cuer desou s	-----|-|---|-----⌫|
uésc i Huidelonparl uisui	---|-⌫|-------|--|-⌫-|--|
Ausie rtilpar	---|-⌫-|-|--|
moiparfoileuospleuis	--|--|--|-|--|-----|
Si enferaipresentKarlo nde Saint	-|-|----|------|-----⌫|-|----|
Quant lenfes Guislenten ts i	----||----|---||-----⌫|-⌫|
a gité. I.ris	|----||||--|
len randi plusde.uc.	|-|----|---|-||-||
Icelenuitse logentenmile	----|---|-|-----|---|-|
pr éflori	--⌫-|----|
Etlende mainà laube	-||----⌫---|-||---|
OR cheuauchentensembleà	-|----------|-------|-|
ioi elibaron .	---⌫|-|----||
Cilsi resles condui e quiLongisfistpardon	--|--⌫--|--|------⌫|--|-----|---|-----|
L i charerent	-⌫|---|----|
dames sont	----|---|
Quiuolenters ue rroien tlemp eréor Karlon	--|--------|--⌫------⌫||---⌫-----|-----|
Lor costoientla mer	--|--------|-|--|
qui brunoie enuiron .	--|------|------||
Aesploitc heu aucher e ntiuscànonede	|------|-⌫---⌫------⌫-⌫-|---|-|---|-|
Puism ontent	---|-⌫-----|
puie tregarden t deso us	--|-⌫|--------⌫|----⌫-|
Et uoientlacité s our . I	-|-----|-|----|-⌫--|||
. regortréont	|-----|-----|
Etau si grant	-|--⌫-|----|
richesceteleneuitnushon	-------|---|-|--|--|--|
Meso nssalespe rrines	----⌫-|----|--⌫-----|
quibienfondées	--|---|-------|
Etch oisirent lesmu rsquihautsontcontremont	-|--⌫-------|--|--⌫-|--|---|---|---------|
uo i entl e s. Xu	--⌫-⌫--|-⌫-⌫||-|
.portesoùli ch eualie r	|-----|--|-|--⌫------⌫|
Li. Xu. brasdemerqui gietent	-||-||---|-|--|--|------|
grantbruior	----|-----|
Etde léot	-|-|--|-|
c hascunletrait a ̀	-⌫-----|-|----|-⌫|
Etu oi entles forèsetuignes	-|-⌫--⌫--|--|-----|-|-----|
Etsi tr e ̀s g rantrichesceteleneuitnushon	-|-|--⌫-⌫-|-⌫---|-------|---|-|--|--|--|
L enfesGuisde Borgoi gn een d r eçalemen ton	|----|---|-|------⌫--⌫|-|-⌫-⌫---|-|---⌫--|
Escor fau ten a peleet leu ie lHuidelon	-----⌫---⌫|-|-⌫---|-|-|-⌫--⌫|-------|
Orpoés uous uéoir	-|----|---|-----|
deMaudranela to ur.	-|-------|-|--⌫-||
-uosdit es	|--|---⌫-|
uoir bia u ssire ce respontHuidelon.	---|---⌫-⌫|---|-|------|-------||
Orfaisom eslogernostre	-|------⌫-|----|-----|
ost cien uiron.	--|-|--⌫----||
engin nestpr is e	----||--|--⌫--⌫|
ia dede nsnentr eron	-|----⌫-||----⌫---|
Setresto usliempires dela terreKarlon	-|------⌫-|-|------|-|-|----|-----|
Et tuitl iSa rrazinquiai nsfur ent nesont	-|---|-⌫|--⌫-----|--|--⌫-|---⌫--|-|---|
Lauoientassegieentour	|------|------|-----|
ete nuir o n	-|-⌫----⌫-⌫|
Siporroientiles treiuscauda errainior	-|--------|-|--⌫--|---|-|--⌫-----|--|
n imefferoient	||----------|
lamontedun boton	-|----||-|----|
en te nt sitint lechiefenbron.	--⌫--⌫-|-|---|-|----|-----||
esmaiezmiesiredistHuidelon	------|--|---|---|-------|
SeDieup lais t ets aintPierrec	-|---|-⌫----⌫|-|-⌫---|-----||
onquiert en préNoiron	-|-----|-|---|-----|
A insdemain à c este eurelacitéuos	-⌫--|-----|-|-⌫---|---|-|----|--|
Chargiésmo ide uos homes . Xm.compa igno ns	--------|--⌫|-|--|----||-||-----⌫----⌫-|
Et gen m enrai	-||-|-⌫----|
.X m. demesprisiés barons	|-⌫||-|--|-------|-----|
ferail ierasuos et p iés et p ons	----|-⌫--|-|--|-|-⌫---|-|-⌫--|
Sau rachas cu nuestuson haubertfremillon	|--⌫-|----⌫--⌫|----|--|------|--------|
Leuerthiaumelaciéce intlebr ant d ecolor	-|---|-----|-----|--⌫--|-|--⌫--|-⌫|----|
Etsiserrachas cunsor son	-|-|----|----⌫--|--|--|
destrier g ascon.	-------|-⌫----||
Quant nos uenronsàceusquilàgardent	----|--|------|-|---|--|--|------|
Si lor feronsacroire quec es onttuitprison	-|--|-----|------|--|-⌫|-⌫--|---|-----|
Sesa uonsgaaigniezenlostle	--|-⌫---|--------|-||--|-|
E tpori ust icefai rea ̀Maudras le s men on.	-⌫|--|-⌫---⌫--|---⌫-|-⌫|------|--⌫|---⌫-||
Paricelemaniere làdedens en trer ons	--|----|------|--|-----|--⌫----⌫--|
SeDieu plais tetsaintPie rrelauileis si	-|---|-----⌫|-|----|---⌫--|-|---|--⌫-|
pa nrons .	--⌫----||
chief c ed istGui sci a	----|-⌫|-⌫--|---⌫|-||
boneraison	---|-----|
Maisgardezbia us doussi requilni	---|-----|---⌫-|---|--⌫-|-|-|||
ait traison.	--|------||
ce lseignor distHuidres q ui soffri	--⌫|------|---|------|-⌫-|-----|
Ie nelferoi e mi epor paorde pris on	-|--|-----⌫|--⌫|--|---|-|----⌫-|
Quimede u roittolirle chief sous l eme nton	--|-|--⌫-⌫---|----|-|----|---|-⌫|--⌫---|
Etli an fesr espontDiex	-|-|--⌫--|-⌫-----|---|
uos face pard on	--|---|----⌫-|
Bo rgoig ne quitantf a it àproisier	--⌫-----⌫-|--|---|-⌫-⌫-|-|-------|
Bertr ant lefilsN a imonen pristà	-----⌫--|-|---|-⌫-⌫---|-|----|-|
ar a isnier	--⌫-⌫-----|
Estout le filOdo nBerartde Mondisdier	-----|-|--|---⌫|-----|-|---------|
Se ignorfait esàH uidretotcequil u osrequier t	--⌫----|----⌫-|-|-⌫----|--|-|-|-|-⌫-|-------⌫|
Etsipa nsé sporDieude monoressaucier.	-|-|--⌫----⌫|--|---|-||---|--------||
respondirentCefaitàotroie r.	-----------|-|---|-|------⌫||
Tostetisne lementse uon t a p are illie r	---|-|----⌫-----|-|---⌫|-⌫-⌫---⌫-----⌫|
Eterralmentsadoubent.	-|--------||-------||
Qui porDieus e s onttuit leué e t bautisié	--|--|---|-⌫|-⌫--|---|----|-⌫|--------|
Quantilfurentensamblebien furent .X X.	----|-|-----|-------|---|-----||-⌫||
Hui delon lescondui tetEscorfaut	---⌫----|--|------⌫|-|--------|
EtDragola n s lipreus etDanemonsli fie rs.	-|-------⌫-⌫|-|----|-|-------|-|---⌫-||
