unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
respu ndi grantmaremen t	-----⌫--|----|-------⌫|
aiou dpur l amurnostreseignurde	-|--⌫|--||---|-----|------|-|
coq ue guerpid	-|-⌫-|------|
unticilde israelsiretes	--|---|-|-----|---|--|
altelsun tabatu detes	-----|--⌫|-----⌫||--|
prophete socis eio	--------⌫|---||-|
sul su iremése	--|--⌫|-----||
malm equierent	--|-⌫|-------|
ecil ki par ladahelyerespu ndid	|--|-|---⌫--||----|-----⌫---|
muntdeuantnos treseignur esteleuusli sires	---|-----|---⌫--|------|--------|-|----|
ipas set e	|---⌫--||
un terr emote merueillusu endrad d euant luimaisne uendrad	-|----⌫----|---------|-⌫-----|-⌫----|--|---|-|------|
p as li sires a cel t erre m otea presleterremote	-⌫-|-|----||--|-⌫----⌫-⌫--|-⌫---|-|--------|
uendra dun	------⌫|-|
estur be illu nestrange maisale stu rbeillun neuendradpas	-----⌫--⌫----⌫|-------|---|||-⌫---⌫-------|-|------|--|
sires apres lesturbeillunleuer aduns fusmais	----|----||-----------|-----⌫-|--|--|---|
od lefu ne	-|-|-|-|
uendr ad paslis ires	-----⌫-|--|-|-⌫---|
apres lefu ue ndradunsuefespire ment	----|-|-|--⌫----|-|---|------⌫---|
de unpetituentloresapr es	-|-|----|---|----|---⌫-|
uendradlisires	------|-|----|
sip a rlerada	-|-⌫-⌫-----||
tei cumecooid helye sd e	--|---|-|--|-----⌫|-⌫|
sunafublailcuuer idsun	--|-------|-----⌫-|--|
uiari eee isside	-----⌫||-⌫----||
estut enlusseriedelaca u e elauoiz	----|-||------|-|-|--⌫-⌫||-|---|
uintderechief si dis t que fa is tuc ihelye	---|--------|-|---⌫|--|--⌫-|-|-⌫|----|
h elyesir egrantm ar ementa ioud puramur	-⌫---|---⌫|----|-⌫--⌫----|-⌫|--|--|---|
nostreseign ur	-----|-----⌫-|
quelifizisraelunt en frainte la	--|-|--|-----|--|--⌫------|-|
cuuenanceq ueil	--------|-⌫-|-|
fe rmeeo dlu ites	--⌫---|-⌫|--⌫|--|
altel suntde struize	-----⌫|--|--⌫-----||
tes prophetes ocis	--|--------|---|
ei osuls sui re méseneisa	|-⌫|---|--|--⌫---||---||
me iquierent m al emortdunc	--⌫|-------|-⌫-||---|---|
res pundino st re seignur uaereturne	---⌫----|--⌫--⌫-|------|-||------|
elchemindeld es ert	-|-----|--|-⌫--⌫--|
dreitadamaschecume	----||-------|---|
tulauendrasaza el enuindras	-|-|------|---⌫-|--------|
sursyriee ih eule	--|----||--⌫-|-|
fiz nansisur i srael ehelys eu	--|----|--|-⌫----||-----⌫-|
lefiz sa pha tkiestdeabelmaula en uindras queil	-|--|--⌫---⌫|-|--|-|--------|--⌫------|--|-|
prop hete purteikiqunqueseschaperaddelas peeazael	----⌫---|--|--|--------|---------|-|-|-⌫--|----|
locir ad e ki aiheuesc aperadhelise u	|----⌫-||-||---|---⌫-----|------⌫|
li prophetes	-|--------|
eiogua rderai a mu noessetmiliehume s	|-|---⌫-----||--⌫|--|--|----|----⌫|
kiun coreunches	-|--⌫---|-----|
necurberentlegen uildeu a ntbaal	-|--------|-|---⌫--|---⌫-⌫-|---|
eguardera i tutes le sbuche s	|--------⌫|----|--⌫|-----⌫|
ki nel u ntauréd ne	-|-||-⌫-|-----|-|
lesmains neliuntbais éd	--|----|-|-|--|----⌫--|
h elyes mutdilocetruuad	-⌫----|--||---||-----|
helyseu lefiz saphat	------|-|--|-----|
ealtr eso d luiabieniesque a	|----⌫-|-⌫|--||---|-----||
duzeiu s debo es ehelyes	---|--⌫|-|--⌫-||-----|
mis t sunmantel	---⌫|--|-----|
surhelys euehel ys eu cumenchaderra nment	--|-----⌫-||---⌫--⌫-|--------|----⌫----|
aprop hetizer e g uerpidsesboese sewidhelye	|----⌫------||-⌫-----|--|---||----|----|
dist io e niraiecungie	---|-|-⌫|---||-----|
prendraide mun peree	-------|-|--|---||
mere epuiste siwerai helyes respundiu a	---||---|-|------|-----|-------|-⌫|
ten si returne	|-|-|------|
faitaitantcumemeiapurtint	---|-|---|---|--|-------|
helyseucume	------|---|
bo es sacrefiadeam angierlesdu nadal pople	--⌫-|--------|||-⌫-----|--|--⌫--|-|----|
uinta helyele	---||----|-|
prophet esi l seruid	-------⌫|-||-----|
benadabli reis	------|-|---|
des yrie ase mblad ostmerueillusefort	-|-⌫---|---⌫----|--|---------||---|
ef iertrentedou sreisodcheualseo dc urre s	|-⌫--|-----|---⌫|---|-|------||-⌫|-⌫----⌫|
g ranta pareil	-⌫---|-⌫-----|
euintenisrael aseiadsamarie e tramistsesmessages	|---|-|-----|-----|------||------|--|-------|
aachabl ereideisrael	|----|-⌫|--|-|-----|
e cezp aroles li mandad	|--|-⌫-----|-|-----|
etun argen tetes femmesetes fi z	|--|-----⌫||--|-----||--|--⌫|
s untmiensre spundi	-⌫--|----|--⌫-----|
li reisdeisraelueirse st	-|---|-|-----|----|-⌫-|
sire iosui li tuens e	---|-|--|-|----||
meschosesderechiefenueiadbenadab	--|-----|--------|------|------|
sesmessages	--|-------|
achabsilimandad qu el	----|-|-|-----|--⌫||
e n demain ienueierei tses	-⌫-⌫-----||---------⌫|--|
m es sages	-⌫--⌫----|
ee s cerchiereientsunpalei sele	|-⌫-⌫------------|--|-----⌫||-|
o stelsatuzse shu mese	-⌫----||--|--⌫|--⌫--||
qua nque lurp l a rr eittut	---⌫---|--|-⌫-⌫-⌫--⌫--|--|
prendreientetutlen merr eientl o res	----------||--||--⌫----⌫----|-⌫-⌫--|
m anda dli	-⌫----⌫|-|
reisdeisraeltuzles antifshum mesd e	---|-|-----|--|--|-----|---⌫--|-⌫|
lurdist cunreienpernezqueli	--|---|-----|-|-----|--|-|
reisb enadabmeu ait	---|-⌫-----|-|-⌫--|
aguaitile nueiad amei purmes femmes e	-----|-|-⌫-----||--|--|--|-----||
ore purmun ar gent e	-||--|--|--⌫---||
ni entneliescundiso resur co	--⌫--|-|-|-------|-⌫-|--|-|
mandé d que al telsuffre deuuse deuoz	------⌫|--|--⌫--|-----|-|--||-|--|
uozchate ls purcopurueez	--|-----⌫-|--|-|------|
sigranterleuolez respundirent	-|------|-|----|-----------|
liantifhu m e deisrae leli	-|----|--⌫-⌫|-|-----⌫||-|
einznezde tut	------|-|--|
ne lifrasnenien tni ass entiras	-|-|---|-|----⌫|||---⌫------|
at ant res pundilireis d e	|-⌫--|---⌫----|-|---|-⌫|
israela s messag eslu reibenadab quanq ueme ssirescumande	-----|-⌫|------⌫-|-|--|------|-----⌫-|--⌫|----|------|
bon ement lifraif o rscestech ose quefa irene	---⌫----|-|---|-⌫-⌫-|----|--⌫--|--|--⌫--|-|
nulebaillieli messag e reuindrentalur	---|------|-|------⌫|---------||--|
seignuremustrerent	------||---------|
l e respunslurei	-⌫|------|-|--|
deisrael e l ireisbenadab	-|-----||-⌫|---|------|
sencuruchadeses	|-|-------||--|
messag es alrei	------⌫-|-|--|
a chabenue iadsi	-⌫---|----⌫--|-|
limand adp ar desdeinq ue t ant	-|----⌫-|-⌫-|------|-⌫-|-⌫--|
ou tgenten se	--⌫|---|-|-|
chas cunsruastpleinpuinde	----⌫---|----|----|---|-|
terredelet	----|----|
plusserreit halt li	---|------|---|-|
m unzque limursli	-⌫--|--|-|---|-|
reisachab respundi	---|----|-------|
ac estmes sageditesa uostre seignurque	|-⌫--|---⌫---|----||-----|------|--|
glorifier ci lkienc oreestar mez cumquantapressa	--------|--⌫|-|---⌫--|--|--⌫--|--|----|----|-|
desa rmez lir eis benada b	----⌫---|-|-⌫--|------⌫|
suncunu iu ieod	--|----⌫--⌫-|-|
lesreis kiuenuzfurentasaaiequantil	--|---|-|----|-----||-|--|----|-|
oid ces tmandement	--|---⌫|--------|
ecumandaderranmentque	|-------|--------|--|
auiruna s te	-------⌫-⌫||
plu spresla seiast	---⌫|---||-⌫-----|
lo res uint un prop hete nostresei gnural	--⌫--|---|-|----⌫---|-----|---⌫---|-|
si lid i stco	-|-|-⌫-⌫-|-|
ditnostresires ces te meru eillus emult itudine	--|-----|----|---⌫-|----⌫------⌫|----⌫------|
depopleque tu a su eue te	-|----|--|-|-⌫|-⌫--|-|
liuera i acestiurdeuiqu e tu	------⌫||---|--|-|-|--⌫|-|
sachesueireme n t que i osuisire s forze poestifs	-----|-------⌫-⌫|--|-⌫|--|----⌫|---||-------|
respundi achaben qu elma niere	-------|----|-|--⌫-|--⌫----|
frad coeparq uirespundid	---|-||--|-⌫-|--------|
l iprophe tesparles fizasprincesde	-⌫|------⌫--|--|--|--|-|------|-|
cestecuntr ee	----|-----⌫-|
respundi a chabe ki cumender ad la	-------|-⌫---||-|--------⌫-|-|
medlee respundi	-----|-------|
prophetes tua tantf ist li	--------|-||---|-⌫--|-|
reis asemblere anumbrerles	---|-------||-------|--|
fiz aspri ncesdela cuntreesii	--|-|---⌫---|-|-|------|-||
truua ddous	-----⌫|---|
cenz etrente	---||-----|
dousea pre s	---||-⌫---⌫|
fistanumbr erlepo pl e e truua d	---|------⌫-|-|--⌫--⌫||-----⌫|
iset milie	|--|----|
cumb atanzben adab beueit e	----⌫----|---⌫---|-----||
fudiaeniur e zensun	--|-|-----⌫-⌫|-|--|
pau eillun	---⌫-----|
odtrente dousreis k i fure n ta	-|-----|---|---|-⌫|----⌫-⌫||
saaieuenuz e li fizasprinces	-|--|----||-|--|-|------|
desamarie eissirentfo rsdelacite i d uer s	-|------|--------|--⌫-|-|-|----⌫-⌫|---⌫|
c el ostec il	-⌫-|--||-⌫-|
ost le firentsa ue i rt ostalur seignu r	--|-|-----|--⌫--⌫-⌫|-⌫--||--|------⌫|
e ilcumandadchalt pasuiluien gentpar	|-|-------|----|--||-|----⌫---|--|
purbatailleuifs	--|-------|---|
lesper n ez e tut liezlesme menezli	--|---⌫-⌫-||--|---|--|-|----|-|
fiz as princesfurenteissud al	--|-|------|-----|-----|-|
premier fruntsisecumbatire nt	------|----|-|-|---------⌫-|
asguait esde lo stsis descunfistrent	-|-----⌫-|-||-⌫-|-||-------------|
eocis trentcumeco	|----⌫----|---|-|
li re iac habki	-|--⌫|--⌫--|-|
fudenlaciteid t utesagentfist	--|-|-|-----|-⌫--|-|---|---|
eiss i r el	----⌫-⌫|-|
c hampe fire n t cilunfi erasaltsur	-⌫---||----⌫-⌫|--|-|--⌫-|----|--|
leostsildescumfi strent	-|--|-||--------⌫-----|
syrieacu illirent a fuiee israel les e nchalcade	----|---⌫-------||---||-----|--|-⌫-------||
li reismeimebenadab s	-|---|----|------||
e nfuide grantf ud la	-⌫----||----|-⌫-|-|
descunfituredes syriensdu nc uintu ns pr ophetesal	-----------|--|------|--⌫-|---|-⌫-|--⌫------|-|
r eiachab si	-⌫-|----|-|
lidistao rese ies tuheai ti edze	-|---||-⌫-|--⌫--|-|----⌫--⌫--||
bienpuruei	---|-----|
quetuf ras k arlireis	--|-|-⌫--|-⌫-|-|---|
desyrieuendrad	-|----|------|
s u rtei entens	-⌫-⌫|--|-|---|
lireisdes yrie	-|---|-|-⌫---|
f ud de scumfizasa m arieereturnezf u d	-⌫-|--⌫------||--⌫-⌫---||-------|-⌫-⌫|
e n sater reeses hummes le cunfortere nt	-⌫|-|---⌫-||--|-----|-|----------⌫-|
delgrantd amage	--|----|-⌫----|
que ilio utencuntrés ilidistre nt	--|-||-⌫-|--------|-⌫|-|------⌫-|
le sdeusis rael sun t	--⌫|---|--⌫---|---⌫|
de munz pur	-|---|--|
co nusuenquirentq uant nusnus cumbatime s	-|--|---------|-⌫---|--|--|---------⌫|
as mu nzmaisdesor ea l a	-|--⌫-|---|--|--⌫||-⌫|
c ham pai nne nus	-⌫---⌫---⌫--|--|
cumbatrums e	---------||
tostrec rea nz lesr endrumspurcobelsirecung eie	---|---⌫---⌫-|--|-⌫------|--|-|--|---|----⌫--|
l e s reis	-⌫-⌫|---|
kiui ndr enta	-|--⌫---⌫--||
sir e turntchascunsen	-|-⌫-⌫----|-------|-|
sunpai seretien	--|---⌫||-----|
lurc heualerie eas sie	--|-⌫--------||--⌫--|
cunes tab less ur tute ce leche ualer i ee	-----⌫---⌫--|-⌫-|---|--⌫-|---⌫-----⌫-⌫||
rest orealtant ch eu alierscume ocisi	----⌫--|-----|--⌫--⌫-----|---|---||
fur entdeta pri ueemaignee	---⌫--|-|-|---⌫--|------|
etanzch euals e tanz	|---|--⌫----||---|
curres cume d uncou s e puis	-----|---|-⌫--|--⌫||---|
enl a champ aigne	-|-⌫|-----⌫----|
nuscum batrumse u e rr asq uenusles	--|---⌫------||-⌫-⌫--⌫-|-⌫-|--|--|
descum f irums	------⌫-⌫----|
lireis se tinta cestcun seil	-|---|-|---||---|---⌫---|
efis tlesiapres lean	|---⌫|-|-|----|-|-|
a tute s eosteuintenterredeisrae l	|---|-⌫|--||---|-|----|-|-----⌫|
numeement en	--------|-|
afec ece zde israelse asem blerent euindrentencun tre	---||--⌫|-|-----|-|----⌫------||-------|-----⌫--|
s isealogierentcumeco fussentdousp etizfulcsde	-⌫|-|---------|---|-|------|---|-⌫---|----|-|
che uerels	---⌫-----|
maiscesde syriecuu erirentt utelaterre duncuint	---|--|-|----|---⌫------|-⌫--|-|----|---|---|
unshu e m de ual rei de israelsi lidist	--|--⌫-⌫|--⌫|-|--|-|-----|-|-|---|
codi t nost re sire	-|--⌫|----⌫-|---|
purcoque c ildesyrieun	--|-|--|-⌫-|-|----|-|
dit quele de u	--|--|-|--⌫|
israele stdeu	-----|-⌫-|--|
de munzenunde u a lstutecest e	-|---||--|-|-⌫-⌫-|---|----⌫|
mul titudin e teli u eraie	---⌫-------⌫|-|--⌫-⌫---||
sa uerasq ue iosui	--⌫----|-⌫-|-|--|
sire s e sforciblesepui ssanzset iurs	----⌫|-⌫---------||---⌫----|--|---|
sapresterentalabatail le li une	|----------||-|------⌫-|-|-||
lialtreealsetme iur	-|----||-|----|--|
fudla bataille elade scunfiture tur nadsur	--|-|-------||-|--⌫---------|---⌫--|--|
cezdes yr iee	--|-|-⌫--⌫-||
cildeis rae l en ocistrent	--|-|--⌫---⌫|-|--------|
cent m i liedegel d een un iur	---|-⌫-⌫--|-|---⌫-⌫|-|-|--|
e li al tresyr ie nfuirent en	|-|--⌫--|---⌫--⌫|------|-|
affecelimur s ch aidsur e l ssi	----||-|---⌫|--⌫--|--|-⌫-⌫|-|
agrauentadeocist	---------||----|
u inteset milliersmais benada b se nfu id	-⌫--||--|-------|---|------⌫||-⌫---⌫-|
enz enlaciteideen tradenune	--|-|-|-----||--⌫---|-|--|
c hambrek ifud	-⌫-----|-⌫|--|
u ne altrecham br eel a	-⌫-|----|----⌫--⌫||-⌫|
seta pid la parlerentsi p riue a	-|--⌫--|-|--------|-|-⌫---||
silidist rentlumdit co que	-|-|----⌫---||-|--|-|--|
li rei deisrael sunt	-|--|-|-----|---|
merciablepur	--------|--|
conusnus uest ir um s d e sacseuendrums	-|--|--|----⌫--⌫--⌫|-⌫|---||-------|
d eua nt lur eilehart elcol sipar	-⌫---⌫-|-|-⌫-|-|---|-|--|-|--|
auentureu ol sistmerci	-------|-⌫--⌫---|----|
de nustutissilfi rentedeuantlurei	-|--|--|----|--⌫---||-----|-|--|
uind rentsi li	----⌫---|-|-|
d istrentsi resiret isserfsbenadabrequiert mercil i	-⌫------|--⌫-|---|-⌫-|----|------|-------|----|-⌫|
reis achabrespundisi benadabui tencore	---|----|-------|-|------|--⌫|-----|
iol receue rai	-||------⌫--|
unurr aicumefre reelim essageben adab tant	-----⌫-|---|---⌫-||-|-⌫-----|---⌫---|---|
qu eli reisachab iurad	--⌫|-|---|----|----|
que maln i auereit	--|--|||------|
turneren tli mes sageefirentuenir	--------⌫|-|---⌫---||-----|----|
l urseignurdeu antacha b	-⌫-|------|---⌫--|----⌫|
de lau ilsefud re postlireis	-|-||-|-|--|--⌫---|-|---|
ach abcum ebenadab	---⌫-|---⌫|------|
li reis desyr ie uintde uant	-|---|-|---⌫-|---|--⌫---|
l u ierranmentliietadla	-⌫-⌫|--------|-|----|-|
mainsilleuaddesur s un	---|-||----|----|-⌫-|
c u rresilbaisadb o nementedist	-⌫-⌫--|-||-----|-⌫-⌫-----||---|
tutfusta seursque	--|---|-⌫----|--|
mal niauereitd unc li	--|||------|-⌫--|-|
ben adables	---⌫---|--|
citeizquemis perespristsurletun ios	-----|--|--|----|----|--|-|--|-||
rendraie a iesdesoree n damascherece te	------||-⌫--|--|--|-⌫|-------|----⌫||
repairsi cume	-----|-|---|
misperesoutiaensama riee	--|----|--|-|-|----⌫--||
iomatriwer ai efermealiance	-||-------⌫-||----|------|
fraiod teie lire is achabrechutla tri we	---|-|--||-|--⌫-|----|-----|-|---⌫-|
e benadabs en	|------||-|
tu rn aduers	--⌫--⌫-|---|
entreces afaitesli prophetesmicheasparla uolente	----|--|------|-|--------|------|--|-|------|
parlad a un suncumpaignun sil i	-----||-|--|---------|-|-⌫|
dist fiermesur	---|---|-|--|
ma iscil n e luolt	--⌫-|--|-⌫-⌫|---|
pasferirpur colid istli	--|----|--|-|-|-⌫--|-|
proph et esmicheas	-----⌫--⌫-|------|
purcoq ue tuesinobedi entalauoi z	--|-|-⌫-|-|-|-------⌫--||-|---⌫|
nostreseignurq uant	-----|------|-⌫---|
demeipa rt ir a sun leunencu ntreras eilt e	-|--|--⌫--⌫--⌫-⌫|-|---|----⌫------||-|-⌫|
o cirad e tut	-⌫----||--|
issiauintp uisruuadliprophetes	---|----|-⌫--|----|-|--------|
auna ltrehumme que il	|-|-⌫---|----|--|-|
le fe ris te	-|--⌫---⌫||
si l nafrade lch ie f loresliad li prophet es	-||-----|-⌫|--⌫--⌫|----|---|-|-------⌫-|
sunchiefede sguiset se id e	--|----||--⌫------|--⌫|-⌫|
puld reduntilentalemasc h adsun	----⌫-|---|-|----------⌫-⌫-|--|
uissi uintdeuan tlerei silidi st	--|-|---|-----⌫|-|--|-|-|--⌫-|
s irecumeio	-⌫--|---|-|
fu ienlabatailleun des	--⌫|-|-|-------|-|--|
c unes tab lesme liurad unpr isun	-⌫----⌫---⌫--|-|-----|-|--⌫---|
enguardee dist m ei	-|-----||---|-⌫-|
q ue seilm eschapout que ioe nm u rreie	-⌫-|-|-||--------|--|-|-⌫|-⌫-⌫----|
uunt alentde	|-|-⌫----|-|
arge ntli durreie eli	----⌫-|-|------||-|
pr is u nss e nestfui z	--⌫--⌫-⌫-||-⌫|--|---⌫|
euientlicun estables	|----|-|---⌫-------|
eaocireme manacerespundi	||----|-|-----|-------|
lireis tumeime a s dit le	-|---|-|----|-⌫|--|-|
dreitiugementqu e	----|-------|--⌫|
estreen deit	----|-|---|
atantdes liad li pro phetessun ch iefeosta dla	|---|---⌫---|-|---⌫-----|--|--⌫--||----⌫|-|
sun uiselireisle	--|--||-|---|-|
c unuteil redi st alrei codit nostre	-⌫---||-|----⌫-|-|--|-|--|-----|
sirespurcoqu e tu as laissédaleren b ien	----|--|-|--⌫|-|-|-------|---|-|-⌫--|
be nadab k imesdistden ostreseignur ed ignefudde	--⌫----|-⌫|------|-|-⌫----|------||-⌫---|--|-|
latueanemeiertpurla sue	-|--|----|---|--|-|--|
el i tuenspoples iertpurle	|-⌫|----|-----|---|--|-|
s u enpop leac ez	-⌫-⌫-|---⌫-||-⌫-|
parolesse curuchad	------|-|-------|
formentlire ise	------|-|--⌫-||
cumandadquemicheasfu stpris e r etenu zene tin t	-------|--|------|--⌫-|---||-⌫-----⌫||-|---⌫|
paroles leprophete maistut	------|-|-------|---|--|
f orsenez de ireuintensamari e	-⌫------|-|--|---|-|------⌫|
nabothdeiezrael	-----|-|------|
outuneuign e	--|--|----⌫|
ue is inee multpres	--⌫--⌫--||---|---|
palaisl urei acha belireis	-----|-⌫|--|----⌫||-|---|
la cuueita d ee nceste	-|-------⌫||-⌫|----|
bail lie an abothp a r laddunemeitauigne	----⌫--||-⌫----|-⌫-⌫-⌫--|---|--|-|----|
si enfraicur til	-|-|---|---⌫--|
karpresea aisemees teiote	--|---|||---|-|--⌫||-|-|
durrai une	-----|--|
altreuigne ki	----|----|-|
plus ualdrad	---|------|
usimielzteplaisttant de	|-|----|-|-----|---|-|
argentcumea	-----|---||
munte radrespundinabot hdeu	-----⌫--|-------|-----⌫|--|
meseitpropi ce	-|---|-----⌫-|
nefac eque neduinse ne	-|---⌫|--|-|-----|-|
despendeleheri tage ames	-------|-|----⌫---||--|
cumecist naboth	---|---|-----|
outsirespundudli reis	--|-|--------|-|---|
return adasun	------⌫-||--|
palais odg rantdesdei ngdecoqueilli	-----|-|-⌫---|------⌫-|-|-|--|-|-|
outlaui gneescundite	--|-|--⌫--|--------|
eaculchade iutencuntre	|-------||--|-------|
li temangierne uolt	--⌫||------|-|---|
iez abelentradenla c ha mb re ulir eiserte	---⌫---|-----|-|-|-⌫--⌫--⌫-||-|-⌫--|--||
enquistpurquei	------|------|
ilfust des haitédepurquei ne	-|---|---⌫------||------|-|
maniastlire isrespundidque	------|-|--⌫-|--------|--|
parlédouta nabothdeiezraelquesa uigneli	------|--||-----|-|------|--|-|----|-|
laissastpur	-------|--|
une altreuignekiplu s ualsis tu en	--|----|----|-|---⌫|------⌫||-|
argentsunprispreist	-----|--|---|-----|
e quenabo th neluo ltoir	|--|----⌫-|--|--⌫-|--|
deni ers prendre ne eleschangi er	----⌫--|------|-|-|--------⌫-|
respundidlarei neiezabelbi en	--------|-|---⌫-|------|--⌫-|
esreis de grant	-|---|-|----|
af aireebienguuern es	--⌫---||---|------⌫-|
lu real m ede isr aelor elieue	-|----⌫-⌫|-|---⌫--|--⌫|----|
maniuee b ei fhaitee menteio	-----||-⌫--⌫|------⌫---||-|
boncunrei enprendrai	--|-----|-|-------|
uig ne qu et u	---⌫-|--⌫|-⌫|
des iresiolatedurra i duncfistlarei ne	---⌫---|-|-|-|-----⌫|---|---|-|---⌫-|
fai reunbr iefdepartlereie	---⌫-|-|--⌫--|-|---|-|--||
mais t res eas	----⌫-⌫--||-|
plus antif shumesd e	---|-----⌫|----|-⌫|
laciteid un abot hmist	-|-----||-⌫----⌫|---|
s i outalb riefc u mand ementque	-⌫|--|-|-⌫---|-⌫-⌫----⌫----|--|
ilseassemblassent efeisse nt	-|-|------------||------⌫-|
na bothaundes plus onurez lieussede ir	--⌫---||-|--|---|-----|----|----⌫-|
ef e isse nt	|-⌫-⌫----⌫-|
humesauantuenir ki n aboth	----|----|----|-|-⌫----|
acusassente su rluitest emoniassent	---------||--⌫|--|----⌫----------|
mesparl éd dedeu m eimeedel	-------⌫--|-|--|-⌫---||--|
lef irentt utissie	-|-⌫----|-⌫-|---||
cuntreleiea to rti ugie re ntnab o tha mort	-----|--|||--⌫-|-⌫----⌫--⌫-|---⌫-⌫-||---|
e fudna bozhorsdelacitedietezeerranment	|--|--⌫--|---|-|-|----|----||--------|
lapide z puis	------⌫|---|
cil d e l acitedmanderenta	--|-⌫|-⌫|----|--------||
lareineie zabel cumeil	-|----|--⌫----|---|-|
uueréd e qu edanz nab ozfud	------||--⌫|---|---⌫-|--|
reine sout	----|---|
que morzfudn ab otherranmen tui nt	--|---|--|-⌫--⌫--|--------⌫|--⌫-|
distli eue	---|--⌫--|
lieue euasaisirla uignenabo thde	----||-|-----|-|----|----⌫-|-|
iezraelki nelateuol t	------|-|-|-|-|---⌫|
ot r eiernepar esch a nge	--⌫-⌫---|-|--|----⌫-⌫--|
nep uraueirnaboth	-|-⌫-|----|-----|
ma isilest morzcume cosoutlireis	--⌫-|-|--|---|---|-|---|-|---|
achabcha l tpas	----|---⌫-⌫|--|
leuad euer s la uignealad	----||---⌫|-|----|---|
pur laui gnesaisir	--|-|--⌫--|-----|
l oresparladnostre	-⌫---|-----|-----|
seig nu rahelye le pro phetesili	----⌫--⌫||----|-|---⌫----|-|-|
distu a encun trele	---|-⌫|-----⌫--|-|
reiacha b ki oreenuaitp ur s aisir	--|----⌫|-|--|-|---|-⌫-|-⌫----|
e reteni r a su noes lauigne	|------⌫||--⌫|--|-|----|
nabothdeiezraelsilidi	-----|-|------|-|-|-|
coditnostre	-|--|-----|
sires tu asnaboth	----|-|-|-----|
o cis eoresaisis	-⌫--||--|-----|
uigneatort purcoa	----||---|--|-||
cell ie uquechienslechi erent	--|-⌫--⌫|--|-----|-----⌫----|
naboth illecherunt	-----|-|--------|
letuenrespundiachab a s metu	-|---|-------|----|-⌫|-|-|
tru uédp urt u n enemir espundihely esolkar	---⌫---|-⌫-|-⌫-⌫|----|-⌫------|----⌫-|-|--|
t utduneza mal p urco redit nostresire sgra nz	-⌫-|----||--|-⌫-|-|----|-----|----⌫|---⌫-|
teied estruiraieocirai	--||-⌫--------||-----|
teseirse tun	--|---||--|
lign ageequanq ueatei apent ies quealchien	----⌫--||-----⌫-||--|----|---⌫--|-|----|
b aspar tuteisraeletutissilefrai de	-⌫-|--|---|-----||--|---|-|---|-|
tam aisunsic ume	-|-⌫----|---⌫--|
laierob oam lefizn abathe d elamaisun	-|-----⌫--|-|--|-⌫----||-⌫|-|-----|
aia k artuas	--|-⌫-|-|-|
pesmementuuere ́dpurmeiattarie re	--------|-----⌫-|--|--|-------⌫||
curuciere a sfait pecchier	-------||-⌫|---|-------|
etareineiezabelmangeru nt	|-|----|------|-------⌫-|
chie nselchampd eiez rael	----⌫-|-|----|-⌫|---⌫---|
esitumursenciteid	|-|-|---|-|-----|
chiens tedeuurrunt	-----|-|--------|
esidefors citeidoiselstema ng erunt	|-|-----|-----|-----|-|--⌫--⌫----|
telsrei s ne	---|---⌫|-|
f udnuls cumeachab	-⌫-|---|---|----|
kisimaleme ntu u erast	-|-|------⌫-|-⌫-⌫----|
uersnos treseign urkarsareine	---|---⌫--|-----⌫-|--|-|----|
iezab el lemi st encosi	-----⌫-|-|--⌫-|-|-|-|
queila urad neis les ydles	--|-|-⌫---|---|--|----|
asam orriens	-|--⌫------|
qu id eumeim e	--⌫|-⌫-|----⌫|
outdestrui za l a uenuedecezdeisrael	--|-------⌫||-⌫|----|-|--|-|-----|
en cele t erre	-|---|-⌫---|
cumli reisachab outoid	--|-|---|----|--|--|
les p arole s n ostreseignur	--|-⌫-----⌫|-⌫----|------|
erranmentdessira ddedo lsesguarn emez	--------|-------⌫|-|--⌫|--|-----⌫---|
dum i lert afubl ez	--|-⌫|--|-----⌫-|
s edehair eapressa charne	-⌫|-|----⌫|----|-|----||
iunade forments e	----||------|-⌫|
plainst nos tresir ereparlada helye sl e pro phete	------|---⌫--|---⌫|-------||-----⌫|-⌫|---⌫----|
silid is t	-|-|-⌫--⌫|
dunenastuu eudcum eachabse estdeuant	---||-|-|-⌫--|---⌫|----|-|--|-----|
me i enhumiliez	--⌫|---------|
epu rco queilse	|--⌫|-|--|-|-|
estenhu miliezpurcrieme dem ei	--|----⌫-----|--|-----|-|-⌫-|
nefurnirai	-|-------|
pas lemal que ioai	--|-|--|--|-|-|
parl éden ses	----⌫--|-|--|
mais eltenssunfiz	---|-|---|--|--|
iosaphat hl i	--------⌫|-⌫|
fizasa regnad eniudae mu lt	--|--|-----|-|---||--⌫-|
s a uig urad	|-⌫---⌫---|
encuntre israel emistcheualerie en tutes les	-------|-----||---|---------|-|----|--|
citez deiuda	----|-|---|
de effr aim	-|----⌫--|
queses pereso ut cunqui se deu	--|--|----|-⌫-|------⌫||--|
od luikariltint lesbonesueie s	-|--|--|-|---|--|----|----⌫|
daui dene nout	----⌫||--⌫|--|
pasesperanc eenbaalimmaisa	--|--------⌫|-|-----|---||
nos tre seignu redeucunfermad	---⌫--|------⌫||--|--------|
leregne en sa main etuitcilde	-|----|-|-|---||---|--|-|
iu dali d unerent	--⌫-|-|-⌫------|
siquenefud	-|--|-|--|
n umbr edesaricheise	-⌫----⌫|-|-|-------|
