form Cilqu ifist	---|--|--⌫|---|
Einz nemep lot mes or	---|-|-|-⌫--|--|-|
me nestUneioieetunepleisance	-|---|--|---|-|--|--------|
Po r Pauiene	--⌫|----|-|
por PleisanceS achieznelauoldroi eperdre	--|--------|-⌫-----|-|-|-------⌫|-----|
Car moncuern en	--|--|---||-|
puisdesa erdre Neiene lenferaii a	---|----⌫----|-|-|-||-|----|-⌫|
En moinam es forsque l	-|--|||-⌫-|---|--||
escorce Car sanz c uer uif etsanzcu er	------|--|---|-⌫--|--|-|---|--⌫-|
Nonquesan Bretaignene	|-----|-|--------|-|
a me scuersloncseiorfetNe sai	|--⌫|----|---|----|--|-|--|
s ilab ienoumal fet.	|-||-⌫--|-|--|--||
Dam eq uantfu uostre c ue rs	---⌫|-⌫---|-|-----|-⌫--⌫-|
l aDitesmoiquantili ala	-⌫|----|--|----|-||--|
anquelseiso nSecestchose	-|---|-----⌫|-||--|----|
quep arreisonDoiezdi remoineautrui Sil	--|-⌫-|-----|----|--⌫-|--|-|-----||-|
ifulorsquant iei fui.	|-|---|----|-||--||
Oïl mesne leconeüstes.	---|--|-|-|---------||
quantuos ifustes Etauoec uo ss	----|--||-----|-|----|--⌫||
andepa r ti.	-|----⌫-⌫-||
isoine ne ui.	|--|-|-|-||
Dex qu e nelsoiSele seüsseCer tes	--|--⌫|--|--|-|-|------|---⌫--|
d ameielieu ̈sseBoenecon paingnie	-⌫--|-|-|--⌫---|----|---⌫-------|
Mo utmeüsto rr econforté.	--⌫-||----|-⌫|-⌫---------||
A misbien le deüssiezfeireCar	-⌫--|---|-|--------|----|--|
iefussemoutdeboneire Auostrecuer seluipleüst	-|----|---|--------||-----|---|-|--|------|
Aue nir l aoume	|--⌫--|-⌫|-|-|
Damecerteso	---|-----||
uos uintil.	--|---|-||
OmoiNoti lpastrop	|--||-|-⌫|--|---|
de ssilQuausi ral alimienso	|-⌫---|-|---|---⌫|-|----||
Damed onsont ci auoec nosEn du il icuer	---|-⌫-|---|-|----|--|--⌫--⌫|-⌫|---|
sicon uo sditesC arlimiens	-|--|--⌫|----|-⌫-|-|----|
est u ostre st ozquites.	--|-⌫-----⌫|-⌫-|-----||
Am iset uos rauezlem ien Si	--⌫-|-|--|----|-|-⌫--|-|
nos antrauenomes bien	--|-----------|---|
E tsachiez	-⌫|------|
bien seDex megart Qu	---|-|--|-|---|-|
ain zuostr e	---⌫|-----⌫|
on clesnotenm oipartCar	--⌫---||-|-|-⌫-|---|--|
moin eplotn elui nelut	--|-⌫|---|-⌫|--|-|--|
O nquesancorne me	-⌫----|----|-|-|
conu tSico mAdanzconutsa	----⌫|-|--⌫|----|----|-|
Atortsui apele edameMe sbiens aiquidame	|---|--|-----⌫|---|--⌫|---|-⌫-|--|---|
mapeleNesetque	|----|-|--|--|
pucele Ne ïsuostre oncles	-----|--⌫--|-----|-----|
nel setmie Quila b eüdel	--|--|--|-|-||-⌫--|-||
endormieEtue illi ercuidequantildor tSilisanble	-------|-|--⌫----⌫-|----|----|-|---⌫|-|-|-----|
que son dep ort Aitdemoitotasade uise	--|--|---⌫--|--|-|--|--||-|--⌫---|
A usi consantre mes braz giseMe sbien	-⌫--|--||----|--|---|---|--⌫|---|
lena i mis	|-|-⌫|--|
uo streestmesc uersuos tr e estmes cors	--⌫---|--|--|-⌫---|---⌫--⌫|--|--|---|
ess anplaireNaprend ra uileniea fair eCarquant mes	---⌫-------||------⌫-|------||----⌫|--|----|--|
cu ersan uosse mist	--⌫--|-|--|-|---|
Lecorsuo s	-|---|--⌫|
do naetpromistSi quaut res	--⌫-|-|------|-|-|---⌫--|
Amors por uos simen auraQuei a	----|--|--|-|-|-⌫---|--|-⌫|
me sne cuidaiga rirSimauezfet	--⌫|-|-----|--⌫--|-||---|--|
maintmalsofrir.	----|--|-----||
Seieuo saimetuosm	-|-|--⌫|--|-|--||
amezIan enseroiz	---|-||-|-----|
Tristanz clamezNeie n	-------|-----|-|-||
Ys euzCarpuisne seroitla morspreuzQ u il	--⌫--|--|---|-|-----||-⌫---|----|-⌫|-|
iauroitblasme neu ice .	|-----|-----|-|-⌫--||
Iade mon cors n auroiz	-|-|--|---||-----|
deliceAutr equ euosore nauez	-----|----⌫|--⌫|--|-|-⌫|---|
Seapanser neuospoezComantie	-|------|-|--|---|-----|-|
poï sse es t reanbleeAu ostre onc leetdesasanble eS i	----⌫--|--⌫-⌫-|-----||-⌫----|---⌫-|-|----------⌫|-⌫|
queiame sneme r et ruisseNe	--|-|--⌫|-|-|-⌫--⌫-----|-|
uosb lasmer	--|-⌫-----|
nepuisseNeia	-|-----|-|-|
n esan sacheacui prandre.	-⌫||-|----||--|------||
Enuituosicouient antendreEtdemaindire mesaurez	----|--||------|-------|-|-----|---|-|-----|
Lemialzq ue pansé	-|----|-⌫-|-----|
enau rezEt ie ausiipensserai	-|--⌫--|-|-|---||--------|
Dema inquantleue eserai ue nez matina moi parlerEt	----⌫-|----|----⌫|----|--⌫--|----||--|-----|-|
dira chascuns sonpensser Et fero nsaoeure	---|-------|--|------|-|----⌫-||----|
uenirCel uiquemialz	----|---⌫-|--|----|
uoldronste n ir.	-------|--⌫-⌫-||
QantCligésotsa	---|------|-|-|
uo lanté Siliatotacreanté Et dist	--⌫-----|-|-||--|--------|-|---|
quemoutserabienfet.	--|---|---|---|--||
Lieelaleis se etliezsanuetEtla	---|-|----⌫-|-|---||-|--|-|-|
nuitchascunsan	---|-------|-|
sonlit u oi lleetestchascuns an	--|--|-⌫--⌫--|-|--|-------|-|
p ans er cequiboenli sanb le.	-⌫---⌫-|-|--|---|-|----⌫-||
reuie nenta nsanbleMaintenant qu ilfu rentleuéEt furenta	-----⌫---|-⌫------|---------|-|-|--⌫---|----|-|-----||
consoil priuéSi com il lorestoit	------|-----|-|--|-|--|-----|
Cligés di tet	------|--⌫|-|
contepr emiers Cequilauoitpansélanuit .	----|--⌫-----|-|-|-|----|-----|-|---||
Da mefetilie	--⌫-|--|-|-|
croietcu it Qu emialzfeire ne porriens	---|-|--⌫-|--⌫|----|----|-|-------|
Que sanBretaingnee nal iens	--||-|---------|-⌫|--⌫---|
La ai panséque uosan m aingne .	-|-|-----|--|--|-|-⌫-----||
O rgardezquanu osne rem aingne	-⌫|-----|-|-|-⌫-|-|---⌫-----|
Con ques nef ua sig rantioie Elei n ne	|--⌫---|-|-⌫||-|-⌫---|---|----⌫-⌫-|
rec eü eaTroieQant	---⌫---⌫||----|---|
Pa risl i o tamenee Que plusnen	--⌫--|||-⌫|-----|--|---||-|
s oitdeu os	-⌫--|-|-⌫-|
menee Pa rtote	----|--⌫|---|
l aterre le roiM on	-⌫|----|-|--|-⌫-|
oncledeuos etde moi.	----|-|--|-|-|--||
Et sece bien neuosagr ee	-|-|-|---|-|--|---⌫-|
Dites moilauostrepanseeCar	----|--|-|-----|-----|--|
ie suiprez	-|--|---|
quequan aueingneQuea uostre co n soil	--|-|-|-------|--||-----|--⌫-⌫---|
Cele respont	---|------|
E tiediraiI aauoe cuosensinir ai Car	-⌫|-|----|-⌫|----⌫|--|---||--⌫-|--|
lor sseroitpartot	---⌫|-----|--|--|
lemond eAusicomed	-|----⌫|---|---||
YsoltlaBlondeEt	----|-|-----|-|
d eTr i s tant denos parle ́.	-⌫|--⌫-⌫-⌫---|-|--|-----⌫||
Qantnosan seriens alé	---|--|-|------|---|
Etcietlatotesettuit	-|-|-|-|----|-|---|
Blasmeroientno strededuit .	-----------|--⌫---|-----||
Nusne di r oitnedeuroit c r oirreLa	--|-|--⌫-⌫--|-|------|-⌫-⌫----|-|
chosesic omeleestuoire.	----|-|-⌫-|--|--|----||
Deuo stre onclequ i c r erroit do ns Queiesi	-|--⌫---|----|--⌫|-⌫-⌫-----|--⌫-|--|-|-|
pa rdonsPuceleestorseet eschapee Po r	--⌫----|-----|------|-|-------|--⌫|
tropbaude et trop esta peeMet endro itl	---|----|-|---|----⌫--|-|-⌫-----⌫-||
en etuosporfol.	-|-|--|--|--||
M eslecomandemant	-⌫-|-|----------|
sa intPolFetboengarderetrete nirQ uich astene	--⌫--|--|--|---|-----|-|----⌫--|-⌫-|--⌫---|-|
se uialtt enir Sa inzPosa fe ire	-|----|-⌫---|--⌫--|--||--⌫--|
bienanseingneSisag emant queiln an pre i ngne Ne	---|--------|-|---⌫----|--|-||-|---⌫-⌫---|-|
crinebla sme ne	--|-|---⌫--|-|
r eproch e.	-⌫------⌫||
Boenestoperfet male bocheEtdec es	---|------|--|---|----|-|-|-⌫||
ilneuoses tgrief	-|-|--|--⌫|----|
Pui siemoutbien u enira	---⌫|-|---|---|-⌫---||
chief Carie	----|--|-|
meuold rai	-|----⌫--|
feiremorteSicomme spansez lemaporte.	----|----|-|--|--⌫|-----|-||-----||
Ma lade me	--⌫---|-|
feraipa rt ens	----|--⌫|-⌫--|
E tuosresoiez	-⌫|--|------|
anp orpens D eporue oirmase po uture.	-|-⌫-----|-⌫|-----⌫--|-|--⌫--⌫----||
me t ezantenteet	--⌫-⌫-|------|-|
cureQue feit e soitantel	---|--|----⌫|---|-|--|
menie reEtlasepoutureetlabiereQueie	-----⌫-|-|-|--------|-|-|----|--|-|
n imuirene estain gne Ne ianus	||----|-|------⌫--|-|-|--|
s anpra ingneEt si	|-|---⌫----|-|-|
mequere zt elrep eireLanuit	-|-----⌫|-⌫-|---⌫---|-|---|
quantuosm an	----|--||-|
uoldroi z treire Que	-------⌫|-----|--|
ian usfors uosnemeu oieNe	-|-⌫-|---|--|-|-|-⌫--|-|
nuleri ensne me poruoieDontiaiemestier	---|--⌫--|-|-|------|---||--|------|
nebe soing Forsuos	-|--⌫----|---|--|
cuii emotroiet	--|-⌫||----|-|
Iame santrestotemauieN e	-|--⌫|-|-------|-|--|-⌫|
q uierdau t re homee streseruie .	-⌫---||--⌫-⌫-|---|-⌫---|-----||
Mesami smes	--|---⌫|--|
s ergenz serez	-⌫-----|----|
B oenmier tquanque uo sme	-⌫--||---⌫|------|--⌫|-|
fere z Ne iamesnesera idempire	----⌫|-|-|--|-|----⌫||-----|
Damese uos n	---|-|--||
enest e s sire.	-|---⌫-⌫|---||
Un s pouresleusoscursetpalesM ie rtplus	--⌫|-----|---|-----|-|----||--⌫-|---|
clers quetotesces sal es .	----|--|----|--|---⌫-||
Etselach osee stparsan	-|-|-|--⌫--|-⌫-|--|--|
fei teI ae n m alneseraretre iteC arianus	---⌫-|-⌫|-⌫|-⌫-|-|---|-----⌫--|-⌫-|-|--|
nenporram esdire Qu ancuide rapartot l	|-|----|-⌫-----|-|-|-----⌫-|--|--||
empire Q ue iesoie a nterreporrie	-----|-⌫-|-|---|-⌫|----|-----|
EtTes s alaqui ma norrieMa	-|---⌫-⌫--|--|||-----|-|
mestre a n cuiie	-----|-⌫|--|-|
moutmecroiMen eiderae nboe nefoi	---|-|---||-|-----|-⌫|---⌫-|--|
Car mout e st sa geet	--|---|-⌫-|--⌫-|-|
moutm ifi.	---|||-||
Clig ésquantsamie en t andi Respont Dame	----⌫--|----||---|--⌫-⌫---|------|---|
seilpuet estre Et uoscuidiez	-|-|---|----|-|--|------|
que uostrem estre uosandoie a	--|-----|-⌫----|--|-|---||
droit c onsei llier N iaforsdela pareill ier Et	----|-⌫-----⌫----||||---|-||-⌫-------⌫--|-|
de l fe i rehastiuemantMessenel f eison ssag e mant A lésomes	--⌫|--⌫-⌫-|----------|--|-|--|-⌫-----⌫|---⌫-⌫---|-⌫--|----|
sanzrecour ier .	---|------⌫--||
mestre ai queie n uu elp roierQuimeruoilles	-----|-|--||-⌫|--⌫-|-⌫----|--|---------|
t ai lle e t debois se	-⌫--⌫--|-⌫|------⌫-|
N est terreou len	|--|----|-||-|
nele cono i ssePar les oeu resqueil	-|-|----⌫-⌫--|--|--|---⌫--|--|-|
a feitesE tdeboissiees et portreites.	|-----|-⌫|----------|-|---------||
Iehanzanon	-----||--|
estmess ers.	--|--|-⌫--||
Nestnusmestierstant	|--|--|-------|---|
soit diuers SeIe hanzi	---|-----|-|--⌫---||
uoloitentan dre Quealuisepoïstnus	-----|-----⌫--|--||--|-|-----|--|
prandre Caranuerslu i	------|--|-----|--⌫|
son ttuit nouiceConanfesqu iest a	---⌫|---|-----|--|----|--⌫|--||
n o rrice.	-⌫-⌫----||
Ass oesoeures co ntrefeire	-|-⌫--|-----|--⌫--------|
Ont apr is quanquil seuentfeireCil d	--|---⌫-|-----|-|-----|----|--||
Antioche etcildeRo me	-------|-|--|-|--⌫-|
Mesanne set	--|-|-|--|
plus l eal ho me.	---|-⌫--|--⌫-||
M e sorle u oldrai	-⌫-⌫|-|-|-⌫-----|
esprouerEtse	-------|-|-|
i ei puis foit rouer Luietses oirs	-⌫||---|--|-⌫----|--|-|--|---|
tozfranchira iNeia	--|---------⌫|-|-|
nentricheraiQue	|-|--------|--|
uostreconsoilne	-----|------|-|
lidi eSeilcemeiure eta fie	-|--⌫|-|-|-|-|---|-|-⌫--|
Qu ele ̈aumant	--⌫|--⌫------|
man ei deraNeian e m	|-|--⌫---|-|-|-⌫||
ande scoue rr a .	-|--⌫-----⌫--⌫||
Celerespont	---|------|
Orsoi tensiAtant	-|---⌫|---|----|
Cligésfors sen	------|---||-|
issi Pars ongr é	---|--|-⌫-|--⌫-|
etsi senal a.	-|-||-|--⌫||
Et celem ande	-|---|-⌫---|
Tessa la Samest re q u eleotamenee De sa te rre	-----⌫-|-|----⌫-|-⌫|--|-|-----|-|-|--⌫--|
dome l fu nee EtTessala uinten esl	--|-⌫|-|--|-|------|---|-|-||
or eQ uelene tarde nedemo re Mese lne	--⌫|-⌫|--|-|----|-|----⌫-|--|-⌫|-|
se tporcoila	--⌫|--|--|-|
Apriuéco n soillidemandeQu e ele	|-----|--⌫-⌫---|-|------|--⌫|--|
uialtet queli plest .	----|-|--|-|----||
Celeneli ço ilen e	---|-|-|---⌫--|-⌫|
testD eson pansernesune r ien.	---|-⌫|--|-----|--|--|-⌫--||
Mestr efetele ie sai bie n Que choseq ue	-----⌫|--|--|-|--|---⌫|--|----|-⌫-|
ieci uosdie Niert i aparuos	-|-|--|--||---|-⌫|--|--|
auantoïeCarmo utuosaibien esproueeEt	----|---|--|--⌫-|--|-|---|-------|-|
moutuo s ai saget rouee.	---|--⌫|-|---|-⌫----||
Tantmauez f et quemoutuos	---||---|-⌫-|--|---|--|
D etoz me s maxa	-⌫|--|--⌫|--||
uo smeclaim Ne ienan	--⌫|-|----|-|-||-|
praing ai llors consoil .	-----|--⌫----|------||
u o ssauezbienporcoiie uoil	-⌫-⌫|----|---|--|--|-|---|
ie pansetqueieuoel.	-|---|-|--|-|---||
Rie nnepue ent ueoirmioelFors	---⌫|-|---⌫--|----|-|--|---|
unechos e quimepleiseMesienena u ra i	--|----⌫|--|-|-----|--|-||-|-⌫-⌫--⌫|
ia moneiseSa in çoismou t	-|--|---||-⌫--⌫----|---⌫|
chierneleconper .	----|-|-|-----||
Et siai iatroué	-|-|-|-|-----|
Ca rseieluuel	--⌫|-|--|---|
ilmereuialtSe	-|-|------|-|
ie me duelilseredialt	-|-|---|-|-|------|
Demadoloretde m	-|-|----|-|-||
angoisse .	-------||
Or mestue tqueuos reconoisse	-||-----⌫|--|--|---------|
Mon pen seretmonparlemantA coinosduitant	--|---⌫--|-|--|--------||--|--|--|---|
seul emantNos somes pris	----⌫----|--|----|---|
etacor dé.	-|----⌫--||
Lo rslia ditetrecordé	--⌫-|-||--|-|-------|
Queleseu ia ltmal ade f aindre Etditquetant	-|--|-|-⌫--⌫-|---⌫--|-⌫-----|-|--|--|---|
seuol draplain dre Qu	-|---⌫--|-----⌫--|-|
morte seferaEt lanuitCligés	----|-|---|-|-|---|------|
lanblera Siserons mestoz	|------|-|-----|--|--|
io rzansanble .	--⌫-|-------||
En autreguiseceli san bleNeporroie nt auoir	-|----|----|-|-|---⌫--|-|-------⌫-|----|
duree Messeleestoit aseüreeQueelelen	----|--||--|-----|-------|--|--||-|
uols isteid ierAusicomeporsohaid i er	----⌫--|---⌫--|---|---|--|------⌫-⌫-|
D eu roit feire cestebesoi ngneMes tro pmetard e	-⌫--⌫---|----|----|-----⌫---|--|---⌫|-|----⌫|
et tropmesloingneM aioie et	-|---||--------|-⌫|---|-|
m aboe ne auenture.	-⌫|---⌫-|-------||
Et sa mestre liaseu ̈r e Quelelen	-|-|-----|-|----⌫--⌫|-|--||-|
eide r a del t otIa	----⌫-⌫|--|-⌫-|-|
cr iemene r edotEt	--⌫---|-|-⌫---|-|
ditque telpoinnei	--|--|--|-----||
me traPuisquelesan entrem etraQue	--⌫--|---|-|--||-|------⌫---|--|
ian ier t un s seusquila	-||---⌫|--⌫|---|--|-|
tot ce rtain ne ma ntn e	--|--⌫-----⌫--⌫--⌫-|-⌫|
cro ie Quelame s oitdelcorsseuree P uis	---⌫-|--||--|-⌫--|--|---|-----|-⌫--|
l auraa be ur e eD un	|---|-⌫--⌫--⌫-⌫||-|
boi ure quilaf eraf r oide	---⌫--|--|-|-⌫--|-⌫-⌫---|
Descoloreepale et	---------|---|-|
roide Etsanz paroleets anz	----|-|---|-----|-|-⌫--|
a lainneEt si	-⌫-----|-|-|
e ster auiueet sainneNebien	-⌫----⌫|---|-|-----|-|---|
nemalnesentiraNeiarienne ligreuera	-|--|-|------|-|-|---|-|-|------|
iornedunenuitant iereNen	--|-||--|---|---⌫---||-|
sepo ltureneanb iere .	----⌫----|-|-|-⌫---||
Qant Fenice	---|-----|
ottot entanduSi lia	-|--|------|-|-||
di t etre spo nd u Damedeltotanuo sme	--⌫|-|--⌫---⌫--⌫|---|--|--|-|--⌫|-|
me tDemoisor	--⌫|-|--|--|
uosne mantr emet	--|-||----⌫---|
uospansezdemoiEtd ites asge nzque	--|-----|-|--|-|-⌫---|-|--⌫-|--|
ciuoiQuenulni ait	-|--|--|--|||--|
Mala de suisi mefontnoise.	----⌫-|--|-|-|---|----||
ditcomafeitiee Seignormadameestdeshei tie eSi dit	--|--|-------|------|-|---|--|------⌫---⌫|-|--|
etuialt queen aill iezCa rtrop	-|----|--|-|----⌫--|--⌫|---|
parl ezettrop noisiez Et la noi selies tmalueise	----⌫-|-|---|------|-|-|---⌫-|-|--⌫|-------|
Elenau rarepos	--||--⌫-|----|
n eeiseTantcon seroiza ncestechanbre .	-⌫|---|---|--|-----|-⌫|----|------||
O nques me sd om	-⌫----|--⌫|-⌫-|
il meremanbreNo tmal do n	-|-|-------||-⌫|--|--⌫|
ie loïsse plaindreE tdetantestma	-||-----|-------|-⌫|-|---|--|-|
do lors graindre.	--⌫---|-------||
A lezuosanneuosenui tNeparleroiz	-⌫--|--|-|-|--|----⌫|-|--------|
luésqu elotcomandé.	----|--⌫||-|-------||
Et Cligé saIehan m a ndéAs onostelpriu eem an t	-|------⌫||----|-⌫-⌫---||-⌫-|----|----⌫---⌫--⌫|
Si lia ditceleemantIohansez	-|-||--|--------|----|--|
tuquete uoel di r e Tu	-|--|-|---|--⌫-⌫|-|
esm es sersie	-|-⌫-|---|-|
s uitessire Cari e	-⌫-|--|---|--|-⌫|
t epui sdonerou uandreEt	-⌫|---⌫|----|-|-----|-|
t on co rsettona uoir p randreComela chose	-⌫-|--⌫-|-|--|-⌫---|-⌫-----|---|-|----|
qui estmo ie.	--|--|--⌫-||
Messantoifier	--||-|--|---|
mepo oieDun m ienafeire	-|--⌫--||-|-⌫--|-----|
iepan sAtoz	-|---⌫||--|
iorzmessero iesfra ns	---|--|----⌫--|---⌫-|
E tlioirquide	-⌫|-|--|--|-|
toiseront.	--|-----||
EtIehanzmain tenant respont Q ui moutdesirre lafranc hise	-|-----|----⌫-----|------|-⌫-|---|------|-|-----⌫---|
Sire fet ilt ota deui seNestchoseque	---|--|-|-⌫-||----⌫-||--|----|--|
ie ne feï sse Me s que partantf r ancmeueïsse	-|-|----⌫--|--⌫|--|--|---|-⌫-⌫--|-|------|
Et m a fame et mesanfanzqui tes	-|-⌫|---|-|--|-----|---⌫--|
uo st re c omand eman t meditesIanie rtlacho se	--⌫--⌫-|-⌫-----⌫----⌫|-|----|-||--⌫-|-|---⌫-|
si greua in ne	-|-----⌫--⌫-|
Queil me soittrauauzne	--|-|-|---|------|-|
painneNei anemegreuerar ien .	-----|-|-⌫|-|-|------|-⌫--||
maleoitgré mienLe	------|---|---|-|
mecouandroit ilafei reE tleissie rtot	-|---------|-||---⌫-|-⌫|-------⌫|--|
lemi enafeire.	-|--⌫-|-----||
uo ir eIehan mes cest	--⌫--⌫|----|--||--|
tex choseQuema b oche di renetochelose	--|----|--|-|-⌫---|--⌫-|-|----||--|
Setune me p leuisetiuresEtdel	-|-|-|-|-⌫----|-|----|-|--|
totnemanaseüresQue tuaf oim	--|-||-|-------|--|-||-⌫-||
aneiderasNe iane mandescouerras	-|------|-|-|-||-|----------|
u olantierssireditIehanz Iamaransero iz	-⌫--------|---|--|-----|-|--|-|----⌫-|
mescr eanzCarie u os iurbienetpleuisQueia	-----⌫---|--|-|-⌫-|--|---|-|-----|--|-|
ior q ue iesoi euisNe diraic h ose que ie	--|-⌫-|-|---⌫|--|-|----|-⌫-⌫--|--|-|
c uitQui uos	-⌫--|--|--|
grie t n equiu os e nuit.	----⌫|-⌫|--|-⌫-|-⌫---||
porsosfrirmartire Nest	--|------|------||--|
homcuiielosasse direCe	--|--|-||-----|---|-|
doncon soil que rre	--|---⌫---|---⌫--|
te uuelEinzmeleiroiecr euerluel.	-|---|---|-|------|--⌫---||--||
Bien ferasce cu it monpleisir	---|----|-|--⌫-|--|------|
Etdeleidieretdeltei sir.	-|-||-----|-|--|---⌫--||
uoiresireseDex	----|---|-|--|
ma ïtAtant Cligés liconte	|-⌫--|----|------|-|----|
ueritétot	------|--|
e n ap er t.	-⌫|--⌫--⌫||
EtquantilliadescouertLeuoir	-|----|-|-||--------|-|---|
siconuoslesauez Caroï	-|--|--|-|----|--|--|
direlem aue zLors di t	---|-||---⌫|---|--⌫|
Iehanzquil laseüreDe bien	-----|-|-||------|-|---|
f eirelas epolture Aumialz qu ils ansau ra	-⌫---|-|-⌫-------|-|----|-|-||-|---⌫-|
penerEtditquille uol dra mener	----|-|--|-|-|-|---⌫--|----|
ueoirunesoe	----|--|--|
meison Etceconques mes ne uit	-----|-|-||-----|--|-|--|
omNe fame ne anfan tqu il	-|-|---|-|-----⌫|-|-|
Most errali cequ ilaf aitSel ui	----⌫---|-|-|-|-||-⌫--|-|-⌫-|
ple stqueauoeclui	---⌫-|--|----|--|
ailleL aouil oeur e et pointett ailleTot	----|-⌫|-|-|----⌫|-|----|-|-⌫----|--|
s eu l a s e ul s anzplusd e gent	-⌫--⌫||-⌫-⌫-|-⌫--|---|-⌫|---|
L ouplu s b e auleuetlo u	-⌫-|---⌫|-⌫-⌫-|--|-|--⌫|
pl usgentLimosterraqu il	--⌫-|---|-|-------|-|-|
ueïst on ques	-----|--⌫---|
Clig ésrespont Alons idonquesDeso z	----⌫--|------|----||------|----⌫|
lauile en.i.	-|---|-|--|
destor Auoit Iehan z feiteunet orSiot	-----|----|-----⌫|----|--|-⌫-|||-|
parmoutgr antsanpené.	--|---|--⌫--|--|----||
Laa Cligés	-||------|
Iehanz menéSile	-----|----|-|-|
mainn e par lesestag esQuiestoientpoi nt a ymages	-----⌫|--|--|-----⌫-|--|-------|---⌫-||-----|
Belesetbie n anlumin ees	----|-|---⌫|-------⌫--|
L esc hanb res etleschem inees	-⌫-|-⌫----⌫--|-|--|----⌫----|
Li mo street	-|--⌫---|-|
sus et ius	--|-|--|
le ma in n e .	-|--⌫--⌫-⌫||
Cligésuoitlam e i son	------|---|-|-⌫-⌫-⌫--|
s ostainne Qu e nusn	-⌫-------|--⌫|--||
imaintneneconuerse .	|----|-|-|-------||
Dunec han bre en	|--|-⌫---⌫--|-|
autretrauerseTantque totcuide auoir	----|-------|---|--|--|----|----|
ue ü Siliamoutle	--⌫-|-|-||---|-|
t orzp leüEtditquemout	-⌫--|-⌫---|-|--|--|---|
estboene e tbele .	--|----|-⌫|---||
Bi eniserasadameisele Tozlesio rz	--⌫-||---|-|--------|--|--|--⌫-|
q ueeleu iur a	-⌫-|--|-⌫---⌫|
Queia nush on	--|-|--|-⌫-|
nelisaura.	-|||----||
Nonuoi r sireia niert seüe.	--|---⌫|---|-||---|----||
Or cuidiez uosauoirueüeTote	-|------|--|----|----|---|
ma toretmes dedui zEncoria de tex	-|--|-|--|-----⌫|----|||-|--|
reduizQuen us ho m	-----|--|-⌫-|--⌫|
seu osi loistesprouerAu	-|-⌫-||----|-------|-|
uo sporr o izce rchier Ia	--⌫|----⌫-⌫-|--⌫-----|-|
ni sau roi ztant	||---⌫---⌫|---|
reu erchierNenustantsoits out ixet	---⌫------|-|--|---|---|-⌫---⌫-|-|
sagesQueplus trouastce anz estages S ainçois ne li	----|--|---|------|--⌫--|------||-------|-|-|
mostremout	-----|---|
Sachiezil ni faut nulerie n Nechosequ	------|-|||---|---|---⌫|-|----|-|
adameco ueingn e.	|---|--⌫------⌫||
O rn iaplusmesque	-⌫||||---|--|--|
ç aueingneCarmout estbel eet	--⌫|------|--|---|--|---⌫|-|
aeisieeEt s est	------|-||--|
esleis iee Ce st e torzsi conu os uerrez	------⌫--|--⌫--⌫|---|-|--|-⌫-|-----|
Neialuistrouer ni	-|-||--|-----|||
porrezN e a n treede nulepart.	-----|-⌫|-⌫-⌫---|-|---|---||
Pa rteleng in et	--⌫|--|---⌫-|-|
partelart Estfezl ihu is d e pierre	--|--|--|--|--|-⌫|--⌫-|-⌫|-----|
du r e Q ueianitr oueroiz ioin ture.	--⌫-⌫|-⌫-|-|||--⌫------|----⌫---||
Oroi meruoill efet Cligés	-|-|--------⌫|--|------|
Alezauant etieaprésCa rmoutm	---|----|-|-|-----|--⌫|---||
est tartqueiece uoie	--|---|--|-|-|---|
Lors sestIeha nzmisalauoi e Si m ai nne	---||--|----⌫-|--||-|---⌫|-|-⌫--⌫--|
Clige ́spa rla mai nIusqua	-----⌫-|--⌫|-|---⌫|----||
et plain Qui	-|----|--|
tozes tpoi nze tco lorez .	--|--⌫|---⌫-|-⌫|--⌫----||
Io han zacos tez Et t intCligésparlamaindestr e.	--⌫---⌫|----⌫--|-|-⌫--|------|--|-|---|-----⌫||
Sire f etilhu isnefe nestreNes t	---|-⌫-|-|--⌫-|-|--⌫-----||--⌫|
homquiancestmur	--|--|-|---|--|
Etcuidiez u os quel enp eüst Ann ul e guis e	-|------|-⌫-|--||-|-⌫----|-|-⌫--⌫|----⌫|
trespasserSanza n pirier et sanz	---------|---|-⌫-⌫-----|-|---|
quasser Cligésrespontque i lnelcro itNenel	------|------|------|--|-⌫|--|---⌫-|-|--|
c re rra iasilne l	-⌫--⌫--|-||-|--⌫|
Lorsdit Iehanzqu il leuer r aEtl	---|--|-----|-|-|-|---⌫-⌫|-||
uisdelmu r li ouerra	--|--|--⌫|-|-----|
Ieha nz qui auoitfeit el	----⌫-|--|----|----⌫||
ue ur eL uisdel m ur lidesse rre	--⌫--⌫||--|--|-⌫-|-|-----⌫--|
e toe ure Si nelemalmetnene	-⌫|--⌫--|-|-|-|-----|-|-|
Li unsauantlautretrespa sse Etdescendent	-|--|----||----|------⌫--|-|---------|
paru neuizPa rmi.i.	--|-⌫-|--|--⌫--|--|
estage uostizOuIe hanz	-----|-----|-|--⌫---|
se s oeures feisoit Qantriens	--⌫|-----|------|---|----|
afeirelipleisoit.	|----|-|-------||
Sirefetilciounos	---|--|-|-|-|--|
otonques detrestozles	-|-----|-|------|--|
homesQueDex a	----|--|--||
fez f orsquenosdeusEt	--|-⌫--|--|--|---|-|
sestsiaeisie zcist leusCon uosuerr oiziusqu	|--|-|------⌫|---|---|--|--|----⌫--|----|
agair e s.	|----⌫-⌫||
