S ii ertilsi	-⌫|-⌫--|-|-|
Defelu n s sarazinsqu illi	-|----⌫-⌫|-------|-|-|-|
f a centturment.	-⌫-⌫---|-------|
Mesen B retaignefui	--|-|-⌫-------|--|
uallet en mun	-----|-|--|
Odun pr ud omeifisun	-|-|--⌫--⌫--||--|-|
poidarestement.	--||----------|
Unefille quilot uers mei	--|----|-|-|-|---|--|
fistliëment	---|-------|
Sique le mamereit e ioeliensement.	-|-|-⌫-||------||--|-|--------|
deuauasuretiels unt	-|------||---|-⌫--|
Biensume spariga le dunordeinem ent.	---|----⌫|------⌫|||-|--------⌫---|
Iamuill er nepren draiod	-|-----⌫-|-|----⌫---|-|
mun dreitescïent [f. 76a]	--|----|--------⌫---⌫---|
Ta untkesace uers m eiseit ten u eleau ment	--⌫--|-|---|---|-⌫-|---|---⌫-⌫|----⌫---|
Cumiert de nostreamu rs	--|---|-|-----|---⌫||
e lmet endracouent.	-⌫|-|-⌫----|------|
Pa rD euçoedi tli reis	--⌫|-⌫-|---|--⌫|-|---|
tro p parle zfi erement	---⌫|-----⌫|--⌫------|
C ̧oequai oïdeuusbie nest ueir	-⌫--|-|-|--|-|--|---⌫|--|---|
u eirement .	-⌫--------⌫|
M e sn estpasbi ensagepar le	-⌫-⌫||--|--|--⌫-|---|--|-|
mien iogement	---|-------|
K ilaitfille derei ea	-⌫|---|----|-|--|||
plus bas se se p rent	---|---⌫-|-|-⌫---|
Ki regnepoe taueir	-|----|---⌫|----|
etie lcummande ment	|---⌫|--------⌫---|
Çoemestuiski c ̧oel ai tqu	---||--|--|-|-⌫--|-⌫--⌫|-|
illefaitfolement.	-|-|---|--------|
Entr e taun tke il sunten icestp ar lem en t	----⌫-⌫----⌫|-|-|---|-|----|-⌫--⌫---⌫--⌫|
Enzal usde	--|-|-|-|
la s aleentra t u terraument	-|-⌫--|----|-⌫-⌫|--------|
Unpaum e r pelerinbienresemblap e ne nt .	-|----⌫-⌫|------|---|-------|-⌫-⌫--⌫--⌫|
Celep art uueitHorntutdreitsauoie	---|-⌫--||---|---|--|----|-|---|
este ntr éli p aumerpelerin	--|-⌫---⌫-|-|-⌫----|------|
Escreppe oteb urduneu n chape au feutrin	-------|-||-⌫----||-⌫|-----⌫-|------|
Parmiçoe quepoureiertb ien sembl ot debo n	--|-|---|--|----|---|-⌫--|-----⌫-|-|--⌫|
Lau uitsëeirHorn la tin tdreitsun chemin	-||--|-----|---|-|---⌫|----|--|-----|
Bien conutsafaçuneleuis qu	---|----|-|-----||-|--|-|
E tre sq u iluintalia ses	|---⌫--⌫|-|---||-||--|
pi ezchie te ncli n.	--⌫-|----⌫|-⌫----⌫-|
Si lidistSire Horndemeiai ezmer cin	-|-|---|---|---|-|--|--⌫-|---⌫--|
conoissezpas b i en lesaiedeu in	--------|--|-⌫-⌫-|-|--||---⌫-|
Ka rioesui	--⌫|--|--|
cunréé cum metafor tapin.	-------|---⌫-|----|-----|
da nH erlandkiu usnurr i mes chin	--⌫|-⌫-----|-|-⌫-|----⌫|---⌫---|
Seneschal fud Hu n lafl eb on r eipalaïn.	--------|--|--⌫-⌫--|-⌫|-⌫-|-⌫-|-------|
Wikel epur	-----⌫|--|
uostreamu rl	-----|---⌫||
ad misa male	-|--||---|
fin[f.7 6b]	-------⌫--|
Ch aciélad	--⌫----||-|
delpai ̈s nad	--|---⌫-||-|
de st rier n eruncin	--⌫--⌫---|-⌫|-----|
Tutadperdupur uu suere grise	--|-|----|--|--⌫|--||---||
Lez serreitsilaueitu n	--|------||-|----|-⌫|
man tel mutunin.	---⌫--|-------|
Fu ïz estdelpaïscumchaitifmiserin.	--⌫--|--|--|----|--|------|-------|
Eile stsenes chala luisun t tuita c li n	|-|-⌫-|-----⌫---||--|---⌫|---|-⌫-⌫--⌫|
Li homedel	-|---|--|
païsesiwentsun	----||-----|--|
Tauntuusaip artutquisketut	----|--|-|-⌫-|--|---|-|--|
suibarbarin	--|-------|
Ne mec on oistron tmesnëamine	-|-|-⌫--⌫-------⌫|--|--|--|-|
Treisanzadia pa ssénefina i	----|--|-|-|--⌫---|-|----⌫|
Pur uus quer r epartutparte r rë eparm e r	--|--|----⌫-⌫|-----|--|--⌫-⌫--||--|-⌫-⌫|
Mesail lorsne uus	--|---⌫---|-|--|
poifors or eici trouer.	--|---|--⌫|--|------|
ÇoeuusmandeHerlands ionc loüsteschier	---|--|----|------|-⌫|--||------|----|
K ene le ssezpurrien ne li	-⌫|-|--⌫---|--|---|-|-|
uiengezaid er	------|---⌫-|
Adestruire pur luice lmalueislosengie r	|--------|--|--|--⌫|------|--------⌫|
K isiaduus e	-⌫|-|-|--||
lui delrei fai t	--|--|--|---⌫|
esloigne r	--------⌫|
Par sesg ranzmençonges	--|--|-⌫---|---------|
epar s unencuser.	|--|-⌫-|-------|
Encoreiadun elke ne	-----||-|-|-|-|-|
uus uuilc eler	--|---|-⌫---|
Kem ec unt ad unshom lautrier al ar iuer	-|-⌫|-⌫---⌫-|--|--||------|-|--⌫---|
Kide B ret aign euint– si	-|-|-⌫---⌫----⌫|---||-|
uusquie rtcumioe quier	--|----⌫-|--|--|----|
Keparse spramesse s parsunamonester	-|--|--⌫|--------⌫|--|--|--------|
Ke lire is[dan] Hunlaf	-|-|--⌫-|----|-----|
fe tRi gmel espuser	--⌫|--⌫---|------|
Alrei d eFenenie	-|--|-⌫|------|
– sil oïcil	|-||--|--|
Iouence ldegrantpris purbarnag e mener	-------⌫|-|----|---|--|------⌫|----|
Sideit Wikelëaueir pu rcest fait g ran tloier. [ f. 77a]	-|---|------|----|--⌫|---|---|-⌫---⌫|------⌫-⌫--⌫---|
Çoefufiz Haderof	---|-|--|------|
ki fudreis pri[n ]ciper	-|--|---|-----⌫-----|
e npe rereB ad er o fki fudbier	-⌫---⌫---|-⌫--⌫--⌫-⌫|-|--|---|
Aioluost re perecumloïdeuiser.	---|----⌫-|---|--||--|-------|
Cis test u ostrecosin– bienlesaiacunter	---⌫|--|-⌫----|----||---|-|--|------|
Quantserronsa leisi r e i l	----|------||-----⌫||-⌫|
eniertmestier–	-|---|------||
Mes n iadforsun	--|||-|---|-|
meispurcest	---|--|---|
pl ai def ine r	--⌫-|---⌫---⌫|
iorzest asi s.uuscouient	---|--|---⌫-|--|------|
Targez nepoez	-----|-|---|
uusuulez uenger.	--|----|------|
Ç oe keest ketu dizbeaus a mis	--⌫-|-|--|-|-|--|----|-⌫--|
I oenesui pa s icilketu uais	-⌫-|-|--|--⌫|---|-|-|---|
siquerant.	-|-------|
Hom ma peleGudmod.	--||-⌫---|------|
uasi querHornauan t	-|-|---|---|----⌫|
conoissant.	----------|
Biendiz cum[e]paumermenc ̧ onges uastrouant	---|--|-----|-----|----⌫-⌫----|--|------|
Leiest de peler innulneme ntira taunt	--|--|-|-----⌫-|--|-|--⌫----|----|
Ia n edi rrontta untueirkeie·s seiecreant.	-|-⌫|--⌫----|--⌫--|---|-|---|---|------|
Autrechosemedi	----|----|-|-|
çoenes tueir tauntnequant	---||--⌫|---|----|-|----|
Kar ne·lfereitRigmeltau ntcum	--|---|-----|-----|---⌫-|--|
Tauntcumfui elpaïs	----|--|--|-|----|
bien conui sun	---|----|--|
Ele estsienterine keianen	--|--|-|-------|-|-|--|
iertboisant .	---|-------⌫|
Nun dis t l ipelerins s ilfustasu ngräa un t.	--|---⌫|-⌫|-------||-|---||--⌫|-----⌫--⌫-|
Mes s i speresle nuait	--|-⌫-⌫|----||-⌫|---|
[mut]formentesfo rçant	----|------|----⌫-----|
lenestdequoer a mo n estant.	|-|--|-|----|-⌫--⌫-⌫------|
Bie n saikes tes cilHornk ee lefu dtaun t	---⌫|--||--⌫--|--|---||--⌫-|--⌫|----⌫|
socor[e z]iaestutauntuaillant.[f.77b]	-------⌫-|-|-|-|----|---------------|
Quantmedesconoissie z mut m ensui	----|-|------------⌫|--||-|--|
merue il lant	-----⌫--⌫---|
IoefuinorrioduussiainunIocerand .	--|--|----|-|--|-|-|--|--------⌫|
Conoistreme deuez	--------|-|----|
k a r io e	-⌫-⌫|--⌫|
suif izHerland	--|-⌫-|------|
bienuusn orriquant	---|--|-⌫---|----|
er ïez enfant.	--⌫---|------|
Purçoene·m conois se zk eioe sui pa in querant.	--|---|---|------⌫--⌫|-⌫|--|--|--⌫-|-------|
Çoe aiioet ut	---|-|--|-⌫-|
pur uuskiu us	--|--|-|-⌫-|
suibien uoillant	--|---|-------|
Emis peresaussipuruusest	|--|----|----|--|--|--|
eis sillant	---⌫------|
U ildormeune nuitn	|-|----|--|---||
ad de terrepl eingant.	-|-|----|--⌫--|----|
Tuitcildela mesunki·lfurent escotant	---|--|-|-|----|---|-----|-------|
E luntoï parlersensunte smeru eillant.	||--|--|-----||-|---|-⌫-----⌫-------|
trestut oïsi·nestformentdolent.	------|--|---|--|------|------|
Bienconut Iocer ankile m essage	---|----|-----⌫-|-|-|-⌫-----|
N ese potme s	-⌫|-|--|--⌫|
cele r kar grantpitiéle nprent	----⌫|--|----|-----||-⌫|----|
Orl irespun draia tut	-|-⌫|------⌫--|-|--|
issifaitement	---|--------|
Ami sbien uusconoisçoe sace zueir ement	---⌫|---|--|-----|---|----⌫|----⌫----|
Ebi enco noisHerland grant tort	|--⌫-|--⌫---|------|----|---|
fu stautr ement.	--⌫-|----⌫-----|
Tu tleb ie nkeioesai etu t	--⌫|-|-⌫--⌫|-|--|--||--⌫|
laf etement	|--⌫------|
eio· l sai de	|---⌫|--|-|
sun e nsei gnement.	--|-⌫----⌫-------|
Sil ad perdu	|-|-|----|
parmei c ̧oepeise meiforment.	--|--|-⌫--|----|--|-------|
Ferailen quant	----||-|----|
purra i mutbonrestoremen t.	-----⌫|--|--|----------⌫-|
Ioesuiueir ement Hornduntparole nt lag ent	--|--|----⌫----|---|---|------⌫-|-|-⌫--|
F i zle rei Aäl ofkibien	-⌫-⌫|-|--|----⌫-|-|---|
fudcu nquerent.	--|--⌫--------|
I oe ne fineraimessi	-⌫-|-|------|--|-|
aurai uengement	----|--------|
mal traït re Wikelele recreënt.[f.78a]	--|------⌫-|-----|-|----------------|
ParDeuduceRigmelnedir rez	--|--|---|-----|-|---⌫--|
Parmei aurezsocur s	--|--|----|-----⌫|
eçoe hastiuement.	|---|-----------|
Ore iiertdespendumunor	--||---|-------|--|-|
e m unargent	|-⌫-|-----|
Si ortrofssoudeierssi·nauronta tale nt.	-|-|----|--------|---|-----||----⌫--|
gäaignéDe u	--------|--⌫|
mercir icheme nt.	----|-⌫------⌫--|
Eli re isGudrechelotbientut e entent	|-|--⌫-|-------||-|---|--||-----|
Uncne ueïstesmaisnulhome taunt ioënt	--|-|-------|---|--|---|----|-----|
A lui u ienttutcorant	|--|-⌫---|--|-----|
piezs estent	---||-----|
Ia dira sa raison	-|---|-|-----|
entie l cummencement	-|---⌫|-----------|
S ireHorn bea usamismut	-⌫--|---|---⌫-|---|--|
pa rsu iengigne ́	--⌫|--⌫|-------⌫|
Ketauntpoi uus ai	-|----|--|--|-|
fait b ien d eiestreblasmé.	---|-⌫--|-⌫-|----|-------|
Mesorconoisdeu usla	--|-|-----|-|-⌫-|-|
pu reueri t é.	--⌫-|----⌫-⌫--|
Nepurquant [quant]uus	---------|------|--|
ui p r imes [ben]oi	-|-⌫-⌫---|----|-|
Par lesemblantdeuus	--|-|-------|-|--|
eal ui scoluré	|-|--⌫|------|
Ke uusestei ez [nez]de	-|--|-----⌫-|----|-|
gentilparenté	-----|-------|
rei Aälofkiestei t	--|-----|-|-----⌫|
muniure ́.	--|----⌫-|
Deuquantio· l deman dai purquei	--|----|---⌫|-----⌫--|--|---|
mefu celé	-|-|----|
Abaundunoüssez	|------|------|
emei e m un	|--||-⌫-|
Li mienuu s seruissentsifussez	-|---|--⌫|---------|-|-----|
Kiuusfurentseignurl ors uusfussent alpé.	-|--|-----|------|-⌫--|--|------|-|---|
Mesquantduncne fud fait oresi	--|----|---|-|--|---|--|-|
sei tcumm encie ́	---⌫|----⌫-----⌫|
Oraie ztutl	-|---⌫|--||
sisee zcoro né	-|---⌫|----⌫--|
Nesaiho me suzciel ume lz	-|--|--⌫-|--|---||--⌫-|
seit enpleié –	---|-------||
Ema fil le Lenburcod l ecors	|-|---⌫-|------|-|-⌫|---|
bien moull é.[f.78b ]	---|-----⌫---------⌫|
Ioemer epos erai kiuieill	--|-|-⌫----⌫---|-|-----|
suie d ëéd.	--|||-----|
Parcestcunquerr ezpusS uddene	--|---|--------⌫-|--|-⌫-----|
auolente ́	|-------⌫|
Regne fuduostre aiol k imutfudalosé	----|--|-----|---|-⌫|--|--|-----|
uostre pere le tintaprespargrantfierté	-----|---|-|---|----|--|----|------|
Siu usuenger ez	-|-⌫-|------⌫-|
biendeRodmundlemalfé	---|-|------|-|-----|
Ki oc is tuostrepereAälofpar pechié.	-|--⌫--⌫|-----|---|-----|--|-------|
Tutmun[aueir]aurezd unt ioe	--|--|------|----|-⌫--|--|
aiaplenté	-||------|
Esimerrezoduus d elpaïslebarné	|-|-----|-|--|-⌫-|----|-|-----|
u u s siwrontuole n ti e rssils untbien	-⌫-⌫|------|----⌫-⌫--⌫-⌫-||-|-⌫--|---|
Sir er eiço e di stHorn	---⌫|-⌫-|---⌫|--⌫-|---|
bien uusaies cuté.	---|--|-|--⌫-----|
Dequantq ue ma ue zdit Deuuus e nren de	-|------⌫-||-⌫--⌫|--|--|--|-⌫|---⌫-|
Mes ne poe t	--|-|---⌫|
estr esicuml auezd e uisé	----⌫|-|--||---|-⌫-⌫----|
I ssi maït icilkituz nusad crié .	-⌫--||---|---|-|--|--|-|-----⌫|
Reisla uostre	---|-|-----|
merc imutm off rez	----⌫|--||---⌫--|
granthonur	----|----|
Çoeestuo s treregne	---|--|--⌫-⌫--|----|
Biensipoet	---|||---|
e nplei er fiz	-⌫-----⌫-|--|
dunenpereür –	|-|--------||
Mesnepoet s ie stres iuu splest a	--|-|---|-⌫|-⌫---|-⌫|--⌫|----||
[Me sc im aït cilki nus	---⌫|-⌫||---|--|-|--|
e statu z cre at ur]	-⌫-||--⌫|---⌫--⌫--|
Ioene·l lais par	--|---|---|--|
orgoillnepurautr efieror	------|-|--|----⌫|-----|
Ne puruilté	-|--|-----|
çoe sereit folur	---|-----|----|
Ainzle lais puriçoekei	---|-|---|--|----|-||
aiaill orsamu r	-|----⌫--|---⌫|
uerskitau ntcumuiurai	---|-|---⌫-|--|-----|
ne seraiboisëur	-|----|-------|
Ianemiert repruuékeseië mentëor.	-|-||---|-------|-|----|--------|
Orirraia l païs siple st al	-|----|-⌫|----|-|---⌫-|-|
Enquerraiquele	--------|-|--|
adfaitt ost en	-|---|-⌫--|-|
aurai ditur.[f.79a]	----|------------|
Siadfaitparmal a rticil fel	-|-|---|--|--|-⌫-|---|--|
Qu[ë]el e ma it	-----|--⌫||-⌫-|
gu erpipurpre ndre autre	--⌫---|--|---⌫---|----|
T ostreuendraia uusniferail ongsoior	-⌫--|--------||--|||----|-⌫--|----|
Cr erai uostrecunseilkarçoemiertlimeillor .	--⌫---|-----|------|--|---||---|-|-------⌫|
E siç oeu eir nen est laprendra i	|-|--⌫-|-⌫--|--|--|-|-------⌫|
E deu usnepurqua ntsiierc meintenëur	|-|-⌫-|--------⌫-|-|---|----------|
Neu us for f eraiaamirail n	-|-⌫-|---⌫-⌫--|-|------||
Ke sem presne·luus	-|---⌫---|---|--|
mat ene·lmeteadolur.	--||---|---||-----|
sacezreiscummentqu eau gelepla i	----|---|------|-|---⌫-|-|---⌫|
uuseu os trere gne	--||-⌫--⌫--|--⌫--|
p artutbien meintendrai	-⌫-|--|---|----------|
forfaitbi enuus	------|--⌫-|--|
enuengera i	-|-------⌫|
Deuozfilles d o nermu tme [ n ]entremetrai	-|--|-----|-⌫-⌫--|--⌫||-⌫-⌫-⌫|----------|
A a us ibo nscum io esu isi Deuplest si ·s	|-⌫--⌫|--⌫-|--|--⌫|--⌫|-|--|----|--⌫-|
D ice st reimecréézsi·[l] dotezio·l iurr ai.	|---⌫-|--|-|------|-----|----|---|----⌫--|
uëeirR igm el enBretaig neeinzirrai	-----|-⌫---⌫-|-|-------⌫-|---|----|
Fill eestlo reiHunla f keioeiamutamai	----⌫|--|-|--|-----⌫|-|--|-|--|---|
n elad for fetencorelame rai.	|---|---⌫--|-----||---⌫---|
Wikel[e] lecumpa rrasi	-------|-|-----⌫--|-|
ioeeis ese nai	--|---⌫-|-⌫|-|
autrëamipar l uiest	-----|--|--|-⌫-|--|
bien le sa i	---|-|--⌫|
Ioe menuengerai	--||-|-------|
to stLenburcespuserai.	--⌫-|------|---------|
Çoe sacezbien de	---|----|---|-|
fi couenant	-|-------|
u ustendrai.	-⌫-|-------|
Deul ed oinst ditlirei sissil otrïerai .	--|-⌫|-⌫----|--|-|---⌫|---||---------⌫|
Sireç oe l i distHorn amunostel irrai	---|--⌫-|-⌫|---|---||--|----|----|
Ecest mienpelerine n se mbl eod	|---|---|------|-⌫-⌫--⌫---⌫|-|
meime rr ai[f. 79b ]	--|--⌫--⌫-----⌫---⌫|
Sai gnere reposere	---⌫---||------||
baignerleferai.	------|-|-----|
Cheu alierseserianzentretauntmanderai	----⌫-----||------|---------|-------|
Munore munarge ntlargementlur dorrai	--|-||--|----⌫-|--------|--|-----|
kedonertuz	-|----|--|
lesenricherai.	--|----------|
Dep aienst raïturs	-|-⌫----|-⌫-------|
trestut legäaignai.	------|-|---------|
Litermesestmutbriefsp lus ni	-|-----|--|--|-----|-⌫--|||
atargerai.	---------|
I oceranzautrements ereitlai.	-⌫------|--------|-⌫----|---|
E nseschambr esoï dLenburcbi en	-⌫|--|------⌫-|---⌫|------|--⌫-|
KeceiertHorn	-||----|---|
kiGudmod sefese i tap eler .	-|-----|-|----⌫-⌫|--⌫----⌫|
grant piecëa dparler	----|-----|-⌫|-----|
K eil soleitRigmel	-⌫|-|-----|-----|
eelelui amer	|--|--|---|
K iiertfilleHu nlaf le bonreiprinciper	-⌫|---|----|--⌫---|-|--|--|--------|
Celekip arbeautésoutle sau tres	---|-|-⌫-|------|---|--⌫|--⌫---|
Parle cors bien moullépar le uisagec ler	--|-|---|---|------|--|-|-----|-⌫--|
n u leal iencest mundcu mpa rer.	-⌫-⌫-||-⌫|-|---|---|--⌫---⌫---|
Dunc addi tasespersNeme	---|-|--⌫||--|---|-|-|
deimerue i l ler	--|-----⌫-⌫-⌫--|
Secistho mne ma mot kiot c hoisi	-|---|--⌫|-||-⌫--|-|-|-⌫----|
Cum l abeleRigmelkomnepo e t teltroue r .	--|-⌫|---|-----||-|-|--⌫-⌫|--|-----⌫-⌫|
Deumerci Iesu Cris tc umse	--|----|---|----⌫|-⌫-|-|
pouttaunt celer	---|----|----|
cielki·l pusseresembler.	---|---|----|---------|
Tu ziceusdelmu nde poet ilbien surm unter	--⌫|----|--|--⌫--|---|-|---|----⌫----|
c hambre sc ̧oecrei ueintreittuzpa r ioer	-⌫------⌫|-⌫--|---|--------|--|--⌫|---|
Nepur çoene	-|--|---|-|
lorraia nul home uaun ter.	|---|-|--|---|----⌫---|
Misperesuoleit mut qu	--|----|-----|--|-|
ildoüst ci	-|-----|-|
regner[f.80a]	------------|
Eod ç oe si uoleit	|-|--⌫-|-|-----|
qu ilmoüstam oillier	-|-||----||-⌫------|
Me stutl enescundistne	--⌫|--||-|--------|-|
l ensot tauntpreie r	|-|--|----|-----⌫|
Çoefutu t purRigmelke	---|-|--⌫|--|-----|-|
l omsouttaunt	|-|---|----|
Nadtauntbelesuzcielcumterrec lot	|-|----|---|--|---|--|----|-⌫--|
Demeinsme preng uerslu i bienli	-|----|-|----|---|--⌫|---|-|
dei pardoner	--|-------|
Mes sipur autrefustd onclen dousseblasmer.	--|-|--|----|---|-⌫--||-|-----|-------|
Ilest formentle aus ne li	-|--|------|--⌫--|-|-|
ueut pasboi si er.	---|--|---⌫--⌫--|
Mes quantaue ir ne·l pus	--|----|---⌫-|---|--|
simaï tsaintRicher	-||---⌫|----|-----|
Iames autr en a urai	----|----⌫||-⌫---|
encestsieclë aper	-|---|------||--|
IesuCr ist s eruirainonainme fra iueler	---|--⌫--|-⌫------|-----|-|---⌫|----|
Pu r s amuratuziorz	--⌫||---||--|---|
hanterailemusti er	-------|-|-----⌫-|
Epurmesbienfaitorslalirrai mun	|--|--|----------|-|-----|--|
Bienad oïli	---|-|--|-|
r eis ke adLen burc en plei sir.	-⌫--||-⌫-|---⌫---|-|----⌫---|
Purledo el koutdeluiadieté un	--|-|--⌫-||--|-|--|-|----|-|
Pusad ditsi as	--|-|--|-|-|
soens Moine	----|----|
uuil ldeu enir	----⌫|---⌫---|
Hornsilarr aimunregn edeWes tir.	---|-|----⌫-|--|----⌫|-|---⌫---|
EdanHornliaddit Niad	|--|---|-|-|--|||-|
riendelguerpir	---|--|------|
Ainzlegarderez bien	---|-|-------|---|
tresquamunreuenir.	-----||--|-------|
enauantl e uoldra icos teïr	-|----|-⌫|------⌫|---⌫----|
fillesidon c dorraialurc hoi sir	-----|----⌫|-----||--|-⌫---⌫--|
ple isirdeltutuui lo bbeï r.	---⌫---|--|--|---⌫|-⌫-----⌫-|
Si n ul d es	-|-⌫-|-⌫-|
uoze ntaun tu ersu usi u eut	--|-⌫|----⌫|-⌫--|-⌫-||-⌫--|
Çoes ach iez malementliuodrairemer ir.	---|-⌫---⌫--|-------|-|-----|-----⌫--|
eschaper n el estoecemu rir[ f.80 b]	-------|-⌫||------|--⌫----⌫----⌫-|
U parestredetra ituparfur c hesperir.	|--|----|-----⌫-||--|---⌫-⌫--|-----|
Mesa inzs ir e m est oetc esteirë acu mplir	--|-⌫--|-⌫--⌫||---⌫--|-⌫--|----|---⌫----|
D emunheritag et utmunuoleir	-⌫|--|-------⌫|-⌫-|--|-----|
EWike l[e]le	|----⌫---|-|
felunfrai deua ntmeitapir	----|---|----⌫-|--|----|
K il eper ecestuiadf ait	-⌫|-⌫|---⌫|-----|-|-⌫--|
del rei fuïr	--|--|----|
Cestlarien delmun dekëoreplus	|--|-|---|--|---⌫-|--|--|---|
Keme seië ueng édel	-|-|----|----⌫-|--|
culuer ta çoetir.	------⌫||---|---|
Neliremei ndrar i en	-|-|-----⌫---|-⌫-⌫-|
keli pu is set olir	-|-|--⌫--⌫-|-⌫---|
Quenuers meiestpar iu re li feraitut ge i ̈r	-|-----|--|--|---⌫--⌫-|-|----|--|--⌫-⌫-|
E lecunseilde luife raia l rei[re]len quir	|-|------|-|--|--⌫--|-⌫|--|-------⌫---|
este n trau sferaitute pa rtir.	--|-⌫-⌫-|--⌫|----|---|--⌫----|
SireHornd istlire is bien	---|---|-⌫--|-|--⌫-|---|
saicer tai nement	--|---⌫---⌫-----|
Forssicuml	---|-|--||
auez d i t nir ra tpas au tr ement	---|-⌫-⌫||--⌫--⌫|--|--⌫--⌫----|
otr eiissitu t auo s tret al e n t.	---⌫-|---|--⌫||--⌫-⌫--|-⌫--⌫-⌫-⌫-|
Mesquant uusreuendrezsime	--|----|--|--------|-|-|
t enez kouen t	-⌫---|-----⌫|
Karioecreifo rment bien	--|--|---|--⌫----|---|
uost re pramete ment	----⌫-|-------⌫---|
Biensaiueiee ntent	---|--|--||-⌫----|
nadboi sement.	|-|---⌫------|
Perneztuta pleisir munor emun	-----|--||------|--|-||--|
Eleme uzeslisez d e trestot emagent	|-|--⌫-|------|-⌫|-------⌫|-|---|
K euusmerrez oduuspu r	-⌫|--|-----|-|--|--⌫|
fair euengeme nt	----⌫|-------⌫-|
Edesnefs acel po rt al uos tre	|--|---||--|--⌫-|-|---⌫--|
esgard emen t	------⌫----⌫|
Seientpres testurmane	-----|----⌫|-------||
eskipreuaillent	------|-------|
Kia u us e asuozser uent de	-||-⌫-||-|--|---⌫---|-|
Tutauostrepleisir	--||-----|------|
eacoman dement. [f.81a]	||-----⌫------|------|
Quantçoe oïdan zHorn mut	----|---|--|---⌫|---|--|
grant merciz lenrent.	----|-----||-|----|
Pus senuet	--||-|--|
a lostelfait	||----|---|
sunapres tem ent	--|-----⌫---⌫--|
Eleioradasiske fra dsun mo ue ment	|-|--|-|---|-|---⌫|--|--⌫--⌫---|
Acelskio d lui	|---||--⌫|--|
irrontdunë orea rgent	-----|----|-||-⌫----|
P urçoeuie n ent aluide tutesparz	-⌫-|---|---⌫-⌫--||--|-|----|---|
E il les retint	|-|--|-----|
tuz eçoe corteise ment	--||---|--------⌫---|
Eatuzdone siqu	||--|---|-|-|
suntbienuoillent.	---|---|--------|
Ala s ise del ior si sunt tuit	||-⌫-⌫--|--|--|-|---|---|
Kod luid eiuentalere bien sunt aturn ez	|-|--|-⌫-----|---||---|---|-----⌫-|
Mut ontbo nes armes bonsd estrierssoiorn ez.	--|--|--⌫--|----|---|-⌫-------|------⌫--|
rei fud p ris	--|--|-⌫--|
d el alerl icun giez	-⌫-|---|-⌫|---⌫---|
Tostsuntas	---|---|-|
nefsuenuz etostsunt eschip ez.	---|----||---|---|------⌫--|
Lesueilzt rai entamuntkarbo nfud	--|----|-⌫---⌫--|----|--|--⌫|--|
Ia ne finer ontmais siserontariuez.	-|-|-----⌫--|---|-|-----|------|
Ic ̧ oefudalti erzdiquantlii orzfud finez	--⌫-⌫-|--|-|--⌫--|-|----|-|-⌫--|--|----|
K eilp ristrent	-⌫|-|-⌫-------|
u nportq uimutlurf u deisiez	-⌫|---|-⌫-|--|--|-⌫-⌫|-----|
Kardeuileedegent fudaukes esloignez .	--|-|---||-|---|--|----|---------⌫|
Boisiout enuirondedenz suntenbuschiez	---||--|------|-----|---|---------|
Qui trestu tles cour it quil nesuntauisez	--|------⌫|--|----⌫-|-|-|-|---|-----|
La poüs tbi endanH or nluncte ns estre mucie z	-|-----⌫|--⌫-|--|-⌫--⌫|---|--⌫-|----|-----⌫|
Quilnifus t par	-|-|||---⌫|--|
homene oïzne trou ez.	---|-|---|-|----⌫--|
Lematinqu an t f udior	-|----|--⌫--⌫|-⌫-|--|
s estHornb ien	|--|---|-⌫--|
Si lifud u ndestrierbie ncorantamenez.	-|-|--|-⌫|-------|---⌫|-----|------|
Ases hom esad ditSeignurs cimatendez[f.81b]	|--|---⌫-|-|--|-------|-||-------------|
Tresqueioe reuiengenese	------|--|-------|-|-|
moeu ëu npiez.	----⌫-|-⌫|----|
Ioeirrai suse lpai ̈s	|------|--|-⌫|---⌫-|
uisiter l es cit ez	------|-⌫-|---⌫-|
No uele sd emander –si	--⌫----⌫|-⌫------||-|
m endirron tasez	|-|------⌫|---|
Cumse cuntientli reise il[e]sum	--|-|-------|-|---||-|--|--|
Del abele Rigmelodlesfr esches	-|-⌫|---|-----|-|--|--⌫-----|
Si uenuz estsisdr uzse	-|----|--|--|--⌫-|-|
ilsuntes pusez.	-|---|--⌫-----|
Quanta uraitutenquis	----|-⌫---|--|-----|
e sera irepairez	|----⌫|-------|
PussiferomqueDeus nusaura	--|-|----|--|---|--|---|
des tinez.	---⌫-----|
Siretuitli dientsiseit	---|---|-|----|-|---|
cumuusu oldrez	--|--|-⌫-----|
uostre pleisir feronça nusauezg w iez.	-----|------|----|--|--|---|-⌫-⌫---|
Hornprent c ungiéd e	---|----|-⌫-----|-⌫|
Mun te ́ iertel destrier kimut	---⌫--⌫|---|-|-------|-|--|
fu tostcorant	-|---|-----|
N epo rtëarme odseiforssulementun brant	-⌫|--⌫---|---|-|--|---|-------|-|----|
E quantfudesloign é el	|----|--|-------⌫-|-|
païsla auant	----|-|----|
Ensaueieencuntr aun	-|-|---|-------⌫|-|
pa umerpen[ë ]ant.	--⌫---|------⌫----|
Primeslesaluae	-----|-|----||
pus fudenquerant	--|--|--------|
cu rte del reiu	--⌫-||--|--||
il fud lorsmanant	-|--|---|-----|
Desafil leRigm e l	-|-|---⌫-|----⌫-⌫|
