apresce quemestres gautiersma pot	----|-|--|------|-------|--⌫|-|
celuiquege aing	----|--|-|---|
detoutmon cueretameraiatouz	-|---|--|---|-|-----||---|
lesiorzdem auie.	--|---|-|-⌫|--||
mess iregauuai nsentent cele qu i	--|-⌫--|------⌫-|-----|---|--⌫|
sifierements esco nditsili	-|--------||----⌫---|-|-|
responttropcorroucie z	------|---|---------⌫|
damoisele orfetestant	--------|-|----|---|
parco rtoisie	--|--⌫------|
etpor l amou rde	-|--||----⌫|-|
m oiqu ege	-⌫-|--⌫|-|
puis seprouu er encontrelui que	----⌫-|-----⌫-|-------|--|--|
ge uail lmieuzas a rmes quei l	-|----⌫|----|-|-⌫---|--|-⌫|
ets eg ele puis	-|-⌫|-⌫|-|---|
conquerre a s a rmes lessiezleetmepr e nez.	--------|-⌫|-⌫---|------|-|-|-|--⌫-⌫--||
conmentsirecheuali e rs fe t	------|---|-------⌫-⌫-|--⌫|
el ecuidiezuos	--⌫|------|--|
qu e gelefeisse en	--⌫|-|-|-----|-|
telman iere	--|---⌫---|
einsiporroiegefere m orirdeusdes plus	----|------|-|---|-⌫---|---|--|---|
preudome sdel monde	--------⌫|--|----|
conmentd amoi sele fetmes	------|-⌫----⌫---|--|--|
s ireg auuainse stildonquesu ns des plus	-⌫--|-⌫------|-⌫-|-|------|-⌫-|--|---|
preudomes delmonde	--------|--|----|
sire fet ladamoi sele i l	---|--|-|-----⌫---|-⌫|
na miegranment que gel	||--|-------|--|-||
oites moignierau meilleur	-|---⌫-------|-|-------|
ch e uali erdel siecle .	--⌫-⌫----⌫-|--|-----||
damoiselefetmes	--------|--|--|
s iregauuainscommentail non u ostre a mis	-⌫--|-------|------||-|--|-⌫----|-⌫--|
s ire fetla	-⌫--|--|-|
damois elesonn onne	------⌫--|--|-⌫-|-|
uosdiraigemie	--|----|-|--|
mesgeuos mostreraisonescu	--|-|--|--------|--|---|
lessa ceanzquanti l	----|----|----|-⌫|
alaal assembleedewincestre	--|||--------|-|--------|
lescu feti luueill gebien	|---|--|-⌫|-----|-|---|
car se il est cheualiersde	--|-|-|--|---------|-|
telproescecomuos dite silnepue t	--|------|--|--|----⌫|-|-|---⌫|
e st r equege	-⌫--⌫-⌫|--|-|
ne l connoisse	-||--------|
pa r lescu.	--⌫||---||
l escufeteleuerroizuosqua nt	|---|--|--|------|--|---⌫-|
uosuoud roiz	--|----⌫---|
car ilpent	--|-|---|
enlachambreouuosger roiz	-|-|------|-|--|---⌫---|
ennuitdeuan tuostrelit .	-----|-----⌫|-----|--||
etillirespontquedo nquesl euerra	-|-|-|------|--|--⌫----|-⌫|----|
ilass ezpro ucheinneme nt.	-|---⌫-|---⌫----------⌫-||
lorss e lieuetoutmein tena ntet ausise li euent	---|-⌫|----|---|----⌫----⌫-|-|---|-|--⌫----|
tuitliautre quanti luoient	---|-|----|----|-⌫|-----|
quemessiregauuainsse nuelt aler.	--|--|---|-------||-⌫|---|---||
et ilprist	-|-|----|
lap uceleparlamaine t s	-|-⌫----|--|-|---|-⌫||
enentrer ent enl os te letlia ut reapr es	-|------⌫--|-||--⌫--⌫|-|-|-⌫--⌫-|---⌫-|
etla puce lel enme inne	-|-|----⌫-||-|--⌫---|
enla chambreou il auoi t	-|-|------|-|-|----⌫|
si grantclarteets igr a nt	-|----|-----|-|-⌫|--⌫-⌫-|
luminairedeciergesetd etortiz	--------|-|------|-|-⌫|-----|
commesetoute lachambrefust	----|-|----|-|------|---|
esprisede feu .	------|-|--||
etelelimoustr e toutmeintenantl es cu	-|--|-|------⌫|---|---------||--⌫-|
e tliditsireuezci l escu al	-⌫|-|--|---|--|-||---|||
omedel mondeque gemieuzain g .	--|--|----|--|-|----|---⌫||
or gardez s e	-|-----|-⌫|
uossaue zquilich eualiersestet seuosle	--|----⌫|--|-|--⌫-------|--|-|-|--|-|
connoissiezporsauoir	----------|--|-----|
seuos u os porri ezacor der a ce quei lfust	-|--|-⌫-|-----⌫-|----⌫--||-|--|-⌫|---|
limield res	-|-----⌫--|
che uali er sdelmonde.	---⌫----⌫--⌫|--|----||
m essiregauuainsr egarde	-⌫-|---|-------|-⌫-----|
lescu et connoist quilestoitlancelotdel	|---|-|-------|-|-|-----|-------|--|
sisetretarrierestr op	-|-|---|-------|--⌫-|
esbahizettrop	------|-|---|
dolenz des parole squil au oitditesa	-----|--|------⌫|-|-|--⌫--|----||
lapucele caril a poo r	-|-----|--|-||---⌫|
de lancelotqu	-|-------|-|
ilnel sac he.	-|-||---⌫-||
etneporquantsilpo oitsap esfere	-|---------||-|--⌫--|-|-⌫-|---|
a lada mois eleils	|-|--⌫----⌫--|-||
entendroita	-|-------||
b ienpaié.	-⌫--|----||
lo rsdis tala dam o isele	--⌫-|---⌫||-|---⌫-⌫----|
dam oi sele por	---⌫--⌫---|--|
di euneuospoist	--⌫-|-|--|----|
des parolesquegeuosaiditesca r ge me	--|------|--|-|--|-|----|--⌫|-|-|
tieng aueincud e cestechose	----||-----|-⌫|----|----|
sim ac ortauospo ru o i r.	-||--⌫--||--|--⌫|-⌫-⌫-⌫||
amezest l imieudr esc heualiers delmondene	---|--|-⌫|------⌫-|-⌫--------|--|----|-|
il nada moisele	-|||--⌫------|
el mo ndeporquoi	-|--⌫--|--|---|
e le deustamerp aramorsqui pa rdr oit	-⌫-|----|---|-⌫-|----|--|--⌫|--⌫--|
neme lessastetretenistlui	-|-|------|-|-------|--|
car i l est mieud r es cheualiers	--|-⌫|--|-----⌫-⌫-|---------|
quegenes uietplus biax etplus	--|-|-|-⌫-|-|---|---|-|---|
a uenanzetplus	-⌫-----|-|---|
preud o m.	-----⌫-⌫||
ge cuidasse	-|-------|
quece fustilet	--|-|---|-|-|
que u o s eus siezcuer de si haute mentamer ia	--|-⌫-⌫|---⌫---|---|-|-|-----⌫---|---|-|
certesnemenfus seentremisde	-----|-||-|---⌫-|-------|-|
uo s prier nerequerre d amor s	--⌫|----|-|-------||----⌫|
neporquants iuosdi	---------|-⌫|--|-|
g e uerai ement queu osestes ladamoisele del mond e	-⌫|-----⌫----|--|-⌫-|----|-|--------|--|----⌫|
qu e ge mielzuols isseq uima mastparam ors s e	--⌫|-|----|----⌫---|-⌫-||-⌫---|--|--⌫--|-⌫|
i l n i eust	-⌫|||---|
sigran t contreditcom e i lia.	-|----⌫|--------|---⌫|-⌫||||
etcertess eilest einsique mes	-|-----|-⌫|-|--|----|--|--|
sire lancelo s uosai ntautan tcom ge	---|-------⌫|--|--⌫-|-----⌫|--|-|
croiqueuosl	---|--|--||
amez onquesmes a dam enea d amoisele nauint	---|-----|--||---⌫|-||-⌫-------||----|
sibiendamors	-|---||----|
et pordieuge	-|--|---|-|
uospriquesege	--|--|--|-|-|
uosaiditechose	--|-|---|----|
qui uosdesplese	--|--|-------|
que uos lem epardoing n iez.	--|--|-|-⌫|--------⌫-⌫--||
si r efetel euolen tiers.	--⌫-⌫|--|--⌫|-----⌫----||
quantmessiregauuai nsu oit	----|--|---|------⌫-|-⌫--|
que lapucele li acreantéqu ed eparole	--|-|-----|-||-------|--⌫|-⌫|-----|
quilaitdite n esera iariens conté	-|-|--|---|-⌫|---|-|----|-----|
alancelotneaautresilidi st damoiseleie	|-------|-||----|-|-|--⌫-|--------|-|
uospriqueuosmediez	--|--|--|--|-|---|
quex arme sme ssirel ancelospo rta	---|----⌫|--⌫|---|-⌫------|--⌫--|
assemblee de	--------|-|
wincestre .	--------||
sirefeteleil portaunescu	---|--|--|-|----|-|---|
uermeilletc ouuert u res autreteles etot sus son	-------|-|-⌫------⌫-⌫--|---------|-|-|--|--|
hiaumeun e man che	-----|--⌫|---⌫--|
de soiequegeli donaipar	-|---|--|-|-|----|--|
parmonchiefdamoisele f etmessire gauua i ns	--|--|----|--------|-⌫-|--|---|-----⌫-⌫-|
bonesenseignes	----|--------|
caril i fuetgeliuitout	--|-||-|-|-|||-|---|
entelmanierecomuos auezdeuisé	-|--|------|--|--|---|------|
croioresmie uzqueiluosaintpa r amorsque	---|---|---⌫-|--|-|--|---|--⌫|----|--|
ge nefi so nqu es	-|-|--⌫|-⌫---⌫-|
mescarautrementneust ilmieport ee	--|--|--------||---|-|--|----⌫-|
teleenseigne .	---|-------||
simes tauis	-||--⌫|---|
q u e moult uosdeu ez	-⌫-⌫|----|--|---⌫-|
pri si erquantuos estes	---⌫--⌫-|----|--|----|
amieasi preudome .	---||-|-------||
etcertesilmes t moultbelqu e	-|-----|-||--⌫|----|--|--⌫|
ca ril ses tt oziorzsicelezuer s	--⌫|-||--⌫|-⌫-|---|-|----|---⌫|
toute ge nt	----|--⌫-|
quelennepot	--|--|-|--|
onquess auoirueraiementaco rtqueila mast pa ramors	-----|-⌫----|---------||--⌫-|--|-|-⌫---|--⌫|----|
feteletant	--|--|---|
uaut il mielz	---|-|----|
caruo s sauez bienqueamorsd e scouu ert esne	--|--⌫|----|---|--|----|-⌫-⌫-----⌫---⌫-|-|
pueent pasengra ntpr is monter.	-----|--|-|---⌫-|--⌫-|-----||
ata ntse partiladamoiseled ele an z et messire	---⌫-|-|----|-|--------|-⌫|--⌫--⌫|-|--|---|
gau uain sla	---⌫----⌫|-|
co nuo ia etpuissala cou chie r	--⌫---⌫-|-|---||--|---⌫----⌫|
m o ultce le nuital a ncelotet dista soi mei sme s	-⌫-⌫--|--⌫-|---||-⌫-⌫-----|-|---||--|---⌫---⌫|
queilnecui dast pasque l anc el osbeast en	--|-|-|---⌫---|--|--|-⌫---⌫--⌫-|----|-|
leu ouilu olsis t	--|-|-|-⌫-----⌫|
metreiames	----|----|
soncuer sece nefust	--|---|-|-|-|---|
enplushautleuete n	-|---|---|--|-|-⌫|
plusenn orabl e que autr es .	---|---⌫-----⌫|--|----⌫-||
etnepor quantfetilge ne	-|-----⌫----|--|-|-|-|
lenpuisadroitblasmers eila inmeceste	|-|---||----|------|-⌫|-|-⌫---|----|
da moisele	--⌫------|
c areleestsi beleetsiauenantentoutes	-⌫-|--|--|-|---|-|-|------|-|-----|
c ho s esquese	-⌫--⌫-⌫-|--|-|
liplus h auzho mdelmonde i	-|---|-⌫--|--⌫|--|----||
e ustm is soncu ersi lauroit	-⌫--|-⌫-|--|--⌫-|-||-----|
ilbie ne mploiécem estauis	-|---⌫|-⌫------|-||--|---|
celenuitdo rmimes	---|---|--⌫--|--|
s irega uuains	-⌫--|--⌫-----|
moultpetitcarass ezpensaa	----|----|--|---⌫-|----||
la damois eleet alan celo t	-|------⌫--|-||---⌫----⌫|
etau mat in s i	-|-|---⌫-|-⌫|
tostco milfu aior né	---|--⌫|-|-|----⌫--|
ausifirenttuitliautre	---|-----|---|-|----|
carli roisauoit	--|-|---|----|
iamandéam ons eigneur gau u ainquei lmontas t	-|-----||-⌫-|-⌫------|---⌫-⌫--|--|-⌫|------⌫|
c aril senu ouloitaler	-⌫-|-||-|-⌫-----|---|
delchastel .	--|------||
et q uantil furent tuita pareilli é messire	-|-⌫---|-|-----|---|-⌫--------⌫-|--|---|
gauuains uinta sonostesilecom manda	-------|---||--|---|-|-|---⌫----|
adieuet mo ultlemerci a d elabele	|---|-|--⌫--|-|-----⌫|-⌫|-|---|
chiere queilli otfeteen	-----|--|-|-|-|---|-|
puisreuinta la	---|-----||-|
d am o isele et	-⌫--⌫-⌫----|-|
lidist da moiselegeuos comma ntmou lt	-|---|--⌫------|-|--|-----⌫-|---⌫-|
e ts achi ezque gesui uos treche ual iersen quelquele u	-⌫|-⌫----⌫-|--|-|--|---⌫--|---⌫---⌫---|-|------|--⌫|
q uege soiene	-⌫-|-|---|-|
ilnest siestranges leussegi	-||--|-|--------|---|-|||
estoieetuosmeman diss ieza uostrebeso ingque ge	-----|-|--|-|---⌫----⌫--||-----|----⌫--|--|-|
niuenissea	||------||
m on pooir	-⌫-|----|
etpor dieusaluezmoimo nseigne urlancelot	-|--|---|-----|--|--⌫|------⌫-|-------|
quegecuitbienque uos le	--|-|---|---|--|--|-|
uerroizaincoisq ueg eneferai.	------|------|-⌫-|-⌫|-|----||
et ladamoiseleli responttoutmeintenant que	-|-|--------|-|------|---|---------|--|
iasi tostneleue rra	-|-|---|-|-|--⌫--|
comm eelelesaluera de par monse i gneur	----⌫|--|-|------|-|--|--|--⌫-⌫----|
etmessire gauuainsle n merci emou ltet	-|--|---|-------||-⌫|-----⌫|---⌫-|-|
sen partatant	|-|---|----|
deleanztouzmontezett rueu e enmilacort	-|----|---|-----|-|-⌫----⌫|---|-|---|
leroiartus onon cletou tmontéqui	-|--|---|-⌫-|--⌫--|---⌫|-----|--|
l aten doitag rant co mpaignie deche ualie rs	|----⌫---||-⌫---|--⌫-------|-|---⌫-----⌫-|
sisentresaluent	-||-----------|
etsemetentenleurcheminet s	-|-|-----|-|---|-----|-||
enuon tensembl ep arlant	-|---⌫|-------⌫|-⌫-----|
d emeintes choses	-⌫|------|-----|
distmes sire gauuains au	---|--|---|-------|-|
roisire sauezuosquili	--|---|----|--|--|-|
c heualiersest quia	-⌫--------|--|--||
ueincuc este ass emble e dewince stre cil asarmesuermeilles qui	-----|-⌫---|---⌫-----⌫|-|-----⌫---|--|-|----|---------|--|
p o rtoitlamancheseu rsonhiau me	-⌫-⌫----|-|-----|---⌫|--|----⌫-|
por quoil e demande zuos	--|---|-⌫|-------⌫|--|
fetlirois.	--|-|---||
porce fetmes siregauuainsquegenecuit	--|-|--|--|---|-------|--|-|-|---|
pasqueuoslesachiez.	--|--|--|-|------||
sisa ibie n fet li	-|--⌫|---⌫|--|-|
roi smes uo snele sauezpas	---⌫|--|--⌫|-|-|----|--|
etsi le deuss iezuosbien conn oi stre a	-|-|-|-----⌫--|--|---|----⌫--⌫---||
la merueillequ e il	-|--------|--⌫|-|
fesoit darme sc ar	-----||----⌫|-⌫-|
luise ulementnenpoist	--|--⌫------||-|----|
autan t f ere.	-----⌫|-⌫--||
certessiref etmes s ire gauuainsuoireme n tle	-----|---|-⌫-|--|-⌫--|-------|-------⌫-⌫|-|
deusse g eb ie n	-----|-⌫|-⌫--⌫|
conno ist re	-----⌫---⌫-|
c ar mein tefoiz liaige	-⌫-|----⌫-|---|-|-|-|
ueufereautretant	--|---|--------|
queilse desguis a	--|-|-|-------⌫|
en semblancedeno uuel cheua lier m e ntoli	-|--------|-|--⌫---|-----⌫---||-⌫|---|
ladr oiteconnoi ssance .	-|--⌫---|------⌫-----||
puistantaprisq uege sai u eraiement quecefu	---|---|----|-⌫-|-|--|-⌫--------|--|-|-|
et qui fuce	-|--|-|-|
f etlirois	-⌫-|-|---|
iesauraibien seuo sditesuoir.	-|-----|---|-|--⌫|----|---||
si refetil ce fu m essire	--⌫-|--|-|-|-|-⌫-|---|
lancel os del lac .	------⌫-|--|--||
ceestuoirsfetlirois	-|--|----|--|-|---|
etsiu intsic o uuertementauto urn oiem ent por	-|-|-⌫--|-|-⌫-⌫---------|-|--⌫---⌫----⌫--|--|
c e q uen usnerefus a sta	-⌫|-⌫-|-⌫-|-|-----⌫-⌫-||
iouster alui parconnoi s sance	------||--|--|------⌫-⌫----|
certesuoirem entestil li p lus	-----|------⌫--|--|-|-|-⌫--|
pr eudomdelmon dee tlimieudresche ua liers qui uiue .	--⌫----|--|---⌫-|-⌫|-|-------|---⌫--⌫----|--|---||
etseieus secr eu agra u ainuostref rere	-|-||---⌫-|--⌫-|----⌫-⌫--|-----|-⌫---|
gel eussefetocirre	-||----|--|-----|
sieneuss ef e tgrantfelon nie	-|-|----⌫|-⌫-⌫|----|-----⌫--|
ett r opgrant desloiaute si	-|-⌫-⌫-|----|---------|-|
quetouzl imondes mend eust ho nnir .	--|---|-⌫|-----||-|-⌫---|--⌫---||
uoirefet mes sireg auuains	----|--|--|---|-⌫------|
queuos endi st ildon ques	--|--|-|--⌫-|-|---⌫---|
agrauainsmesfre res	--------|--|---⌫--|
ceuos diraig e bien	-|--|----|-⌫|---|
fetli rois	--|-|---|
il uintl autreior	-|---||----|--|
amoi etsime	|--|-|-|-|
distqueil se merueilloitmoultconme n t	---|--|-|-|----------|----|-----⌫-⌫|
iauoiel e cuerdetenir lancelotentor moi	|----|-⌫|---|-|----|-------|----|--|
quisi granthon t e	--|-|----|---⌫-⌫|
commed em oi uergo ignierd emafame	----|-⌫|-⌫-|-----⌫-----|-⌫|-|---|
etsi me dist	-|-|-|---|
outr eement que	----⌫-----|--|
la nceloslamoit defoleamorparde	--⌫-----||----|-|---|---|--|-|
i oustem oietque illauoitconneue charnelmentet	-⌫----|-⌫-|-|--|-||----|------|----------|-|
quegef ussetoutasseurqueilnestoi t	--|-|-⌫---|---|-----|--|-||-----⌫|
por autrech oseremesa	--|----|--⌫--|----||
kamaalot forspor auenira	-------|---|--|-----||
la reine asauolentequa n t geseroi e meuzpo r	-|----||-|------|---⌫-⌫|-|-----⌫|---|--⌫|
uenirautornoieme n tde w incestr e.	----|-|---------⌫-⌫|-|-⌫-------⌫||
ettouti cemefistacroirea gra u ainsuostrefrer es	-|---|-⌫-|-|---||-----|-⌫---⌫-⌫---|-----|----⌫-|
simete ni sseore bienahonnise	-|-|--⌫--⌫--|--|---||----|-|
geleusse creud esamenconge	-||----|---|-⌫|-|-------|
cargese iorbien	--|-|--⌫|-|---|
que sel ancelosamastlar einepar	--|-|-⌫------|----|-|-⌫---|--|
amors i lnesefustpas rem uezdeka maalo t	----|-⌫|-|-|---|--|---⌫--|-|--⌫-----⌫|
g efus sehorseinzi fust	-⌫|---⌫-|---|---||---|
remesporauoir	----|--|----|
dela r einesauolente.	-|-|-⌫---|-|------||
c er tessirefet mes	-⌫--⌫--|---|--|--|
siregau uainsonqu es	---|---⌫----|----⌫-|
la nc elosnirem est fors	--⌫--⌫---|||---⌫--|---|
po r ue nirpluscouuert em en t au tornoi em ent	--⌫|--⌫--|---|-------⌫--⌫--⌫|-|------⌫--⌫--|
et t ou tcepoezuosbien enco reconno istre	-|-⌫--⌫|-|---|--|---|----⌫-|-----⌫----|
que ceestuerite	--|-|--|-----|
etgardezqueuosne creez ia	-|-----|--|--|-|----|-|
mes homequ iuosena porttieu sparoles	--|---|--⌫|--|-|-⌫---|----⌫|------|
cargeuos di	--|-|--|-|
ue raiementque	--⌫-------|--|
onqueslanc el osnepensa detela mo r uersla	-----|----⌫--⌫-|-|----|-|--|-⌫--⌫|---|-|
reine einzuos	----|---|--|
diueraiementquilainm e	-|---------|-|-|----⌫|
uned esplusbeles	--|-⌫-|---|----|
damoiselesd elmondeet e l elui etestencore	---------|-⌫-|----|-|-⌫-⌫|--|-|--|-----|
e tencor sa u on snosbienquila amee	-⌫|----|--⌫-⌫--⌫|--|---|-|-||---|
detoutsoncuer lafilleleroi	-|---|--|---|-|----|-|--|
pelles dont galaa zlitresbonscheualiersfu	-----|---|-----⌫|-|---|---|---------|-|
nezcil quimis t afinl es	--|--|--|---⌫||--|-⌫-|
auent ures dels eintgraal .	-----⌫---|--|-⌫---|----||
certesfetliroi s sil	-----|--|-|---⌫||-|
est oituoirs qu elance los	---⌫--|----|--⌫|-----⌫--|
paramorssi	--|----|-|
n elporroiegepas croire quil e ust cuer	-⌫||------|-|--|-----|-|-|-⌫--|---|
d eferesigrant desloi aute	-⌫|---|-|----|------⌫---|
com me demoihonir de ma fame	---⌫-|-|--|----|-|-|---|
car encuer	--|-|---|
ouilasigrant proescene	-|-||-|----|------|-|
se porroitenba tret rai sons	-|------|----⌫--|-⌫---⌫---|
secen est oitlagreigneurdeabliede lmo nde.	-|-||---⌫--|-|--------|------|--⌫|--⌫--||
e insidist li roisartusde lancelot.	-⌫---|---|-|---|----|-|-------||
etmessire gauuain slidistbienqu il	-|--|---|-------⌫|-|---|---|-|-|
ensoit t outasseurque onque s	-|---|-⌫--|-----|--|-----⌫|
lancelos n ebaa a lareinede	-------|-⌫|--||-|----|-|
amorcommeagrauainslia missus.	---|----|--------|-||--|--||
etencore uosdigebiensirefet il	-|-----|--|-|-|---|---|--|-|
quegesentlancelotsisaufde ces techose	--|-|---|-------|-|---|-|---⌫-|----|
q ueiln aelmondesiboncheu alierse	-⌫-|-|||-|----|-|--|----⌫----|-|
apeloitque ge nenentrasse ench a mp enc ontre	------|--|-||-|-------|-|--⌫-⌫-|---⌫----|
luiporlancelot	--|--|-------|
deffe ndr e.	-----⌫---⌫||
etque ndiriezuos	-|-|-⌫|-----|--|
se touzli monz lemaloit disant de	-|---|-|---|-||----|-----|-|
i ore n iornenem	-⌫-|-⌫|--|-|-||
ena perceussemieuz quege m	-|-⌫--------|----|--|-||
ensuiaperceuzsine lcreroiege	-|--|-------|-|-||------|-|
et messiregauuain sliloe	-|--|---|-------⌫|-|--|
moultquilne	----|-|-|-|
ser emutdecelebone	-|-⌫---|-|---|---|
uol enteou ilest.	---⌫---|-|-|--||
atantenlessentla parole esteretcheuauchent apetites	----|-|------|-|-----|----|-|----------||------|
io r nees tant qu e il uindre nta k am aalot	--⌫-⌫---|---|--⌫|-|------⌫-||-⌫--⌫----|
etq ua ntilfurent descen duass ezfuquideman da	-|-⌫--⌫-|-|-----|------⌫-|---⌫-|-|--|-----⌫-|
nouu elesdel tornoiementetquilauoitueincu	----⌫---|--|----------|-|--||----|-----|
me siln eniauoitnulfors l e roi	--⌫|-||-||----|--|---|-⌫|--|
etmons eigneurgauuain et	-|--|-⌫------|------|-|
g irfle tq uileur	-⌫-----⌫|-⌫-|---|
dire ueraies nouuelesne cilnel eu ouloie n tpas	---|------|-------|-|--|-|-⌫|-⌫------⌫-⌫|--|
encoredescourir	-----|--------|
por ce queilsauoient	--|-|--|-|-------|
b ien quelancelosseuol oit	-⌫--|--|-------|-|---⌫--|
sidi st messire	-|--⌫-|--|---|
ga uuain sala reine	--⌫-----⌫||-|----|
damen os nesauons pastres	---|-⌫-|-|-----|--|---|
bienqu icilfu	---|--⌫|--|-|
q uiu einquileto rnoiementca rnoscuidonsqu ecefust	-⌫-|-⌫-----|-|--⌫--------|--⌫|--|------|--⌫|-|---|
unscheu aliersest ranges	--|----⌫-----|---⌫-----|
mesta ntuos s auonsnosbiendirequ e	--|--⌫-|--|-⌫----|--|---|---|--⌫|
as semblee armes	--⌫------|----|
uermeillesetseurs onhiaumeen un p an oncelune ma nche	---------|-|---|-⌫-|-----|-|-|-⌫--⌫----|--|--⌫---|
adameou adam oisele.	|---|-||---⌫-----||
et lors pen sa m eintenant lareine	-|---|---⌫-|-⌫--------|-|----|
quecenefumie lance l oscarele	--|-|-|-|--|-----⌫-⌫-|--|--|
n ecuido it	-⌫|-----⌫-|
pasquilportastatornoiementnuleenseign esele	--|-|-|------||----------|---|-------⌫||--|
n eli eustbailli ee.	-⌫|-|---|------⌫-||
sienlesseat antl a	-|-|----|--⌫--|-⌫|
par ole qu e plusnenenquie rt f orsqueeledemande	---⌫--|--⌫|---||-|------⌫-|-⌫--|--|--|------|
a m onseigneur gauuain nefumielanc elos	|-⌫-|-------|------|-|-|--|----⌫---|
a cestea ssemb lee	|----|-⌫-----⌫--|
ifu etgeli uine l c onnui	|-|-|-|||-|-||-⌫----|
etse il ifustge croi bienqueil	-|-|-||---|-|---|---|--|-|
eust ueincule tornoiement	---|-----|-|----------|
etne porquant	-|--⌫-------|
no s auo nsse s	--⌫|---⌫-|--⌫|
armes ueuest antesfoizquese	----|----|-⌫----|---|--|-|
i lifustuenuzseil ni uenisten	-⌫||---|----|-|-|||-----|-|
lepeussonsbiencon no istre .	-|-------|---|---⌫--⌫----||
e tgeuos difetlarein equ eili	-⌫|-|--|-|--|-|----⌫|--⌫|-||
ala auplus couue rteme ntqueil pot .	--|-|---|-----⌫-----⌫-|--|-|--||
etgeuos di damef etmes siregauuains que	-|-|--|-|---|-⌫-|--|---|-------|--|
seilifu cefuc ilas armes	-|-||-|-|-|-⌫-|-|----|
uermeilles qui ueinqui	---------|--|------|
letornoiement.	-|----------||
cenefuilpasfetlareinece	-|-|-|-|--|--|-|----|-|
s achiez uer ai emen t	-⌫-----|---⌫--⌫----⌫|
nestpastant tenuz	|--|--|---|----|
a damene damo i selequil	|---|-|----⌫-⌫---|-|-|
enpo rtastenseigne .	-|--⌫----|-------||
lor ssautaua nt	---⌫|---|---⌫-|
d ist ala reine dames achiezueraiementq ue	-⌫--||-|----|---|-⌫-----|---------|-⌫-|
cil a s a rmesuermeillesquiportala ma nc hedesus	--|-⌫|-⌫---|---------|--|----|-|--⌫--⌫-|----|
so nhiaumefulancelos	--⌫|-----|-|-------|
carqua nti l otueincuelassembl ee	--|---⌫-|-⌫|-|------||-------⌫-|
et ilsen parti	-|-||-|----|
ie alaiapr eslui	-|---|---⌫-|--|
p o r sauoirsece est oi t il	-⌫-⌫|-----|-|-|---⌫--⌫|-|
ete ncore en doutoiegepor	-|-⌫----|-|------|-|--|
cequ il estoi tsi desguisiez	-|-|-|-----⌫|-|---------|
sialait antque i e le ui tot	-|---|-⌫--|--|-⌫|-|-|--|
ap ertement enmile uisouils	--⌫-------|---|-|--|-|-||
enaloit mo ult naureza uecun cheualie r ensi arm é	-|----|--⌫--|-----|-⌫--|-|--------⌫|---|---⌫-|
com ilest oitcar il au oient	--|-|---⌫--|--|-|--⌫----|
a mbeduiar mesdunem anier e	-⌫-----|--⌫--||--|-⌫-----⌫|
e tdunsembl an t .	-⌫||-|-----⌫--⌫||
m es s iregauuain fetlare in ecuidi ezuo s que	-⌫-|-⌫--|------|--|-|--⌫--⌫|-----⌫-|--⌫|--|
il dieuoir	-|--|---|
parlafoiqueu os	--|-|--|--|-⌫-|
deuezmonseigneur	----|--|-------|
leroiditesmoi c eque	-|--|----|--|-⌫|--|
uosensauezseilesteinsique	--|-|----|-|-|--|----|--|
uos ensachieznule rien s.	--|-|------|---|----⌫||
damefetiluosm	---|--|-|--||
aueztant coniuréq ue	---|---|-------|-⌫-|
ce leroierien squegenseusse	--⌫-----|----⌫|--||-|-----|
ieu o sd iueraiement quec efuil	-|-⌫-⌫|-⌫|---------|--|-⌫|-|-|
sescorsmeismesqui	--|---|------|--|
otarm esuermeilles	-|---⌫-|---------|
etquiporta lamanche se ursonhia um e et	-|--|----|-|-----|--⌫-|--|---⌫--⌫|-|
ueinqu ilet ournoiement.	------⌫|-|-⌫----------||
e t quantlareineen t entceste paro le sisen	-⌫|----|-|----|--⌫-⌫--|----|----⌫-|-||-|
testatantets en entre	---|----|-||-|----|
en sachambre	-|-|------|
lermoiantdeseuzdel chief	--------|--|--|--|----|
si fe soittropgrant dueletdisoit	-|--⌫---|---|----|---|-|-----|
asoimeismes ha	|--|------|-|
dext ant mauilei nnemen ttrichi eecilenquicuer	--|-⌫--|||-----⌫------⌫|------⌫-|--|-|--|---|
gecui doie	-|---⌫---|
que touteloiautef ustherbe rgieeporquiiau oietant	--|----|------|-⌫--|-----⌫----|--|--||--⌫--|---|
fetq ue pourlamor deluiauoie	--|-⌫-|---||---|-|--|----|
honnileplus preudomedelmonde	----|-|---|-------|--|----|
dexquiesprouerames loiaute ennulcheualier	--|--|--------|--|------|-|--|--------|
neennulhome quantdesloi a u te	-|-|--|---|----|------⌫-⌫-⌫-|
se stherbe rgiee elme i lleur	|-⌫-|-----⌫----|-|--⌫-⌫----|
detouzles bons	-|---|--|---|
tiexparole sdisoitla rei neasoim e ismescarel e	---|------⌫|-----|-|---⌫-||--|-⌫-⌫----|--|--⌫|
cuidoitu eraiementquela ncelos amastcelequimanch e ilauoit	------|-⌫--------|--|--⌫-----|----|---|--|-----⌫|-|----|
porteeau t ornoiem entetqu i ll eustlessiee.	-----|-|-⌫-------⌫--|-|-|-⌫||---|------||
sienesttantamales e	-|-|--|---||-----⌫|
quelenes etq uel	-|--|-|-⌫-|-⌫--|
conse illprendredesoiforstant que eles euenchera	-----⌫--|------|-|--|---|---|--|--|-⌫|-------|
