Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
Enplura nt odgemise ment	-|-----⌫-|-|------⌫---|
Dist sesu res pitusement	---|--|-⌫--|---------|
Ne l aiss a rien qu equefeïst	-|-⌫----⌫|---|--⌫|--|-----|
Quea su nserui se aparte nist	--||--⌫|-----⌫-|------⌫---|
Dist lic esteantief ne n ouele	---|-|-⌫---|------⌫-|-⌫----|
Dei g e nitrixbele	--|-⌫-⌫-----|---|
Esioïs mere	------|---|
Deuhaitié	--|------|
Deuirginité nientblescié	-|---------|----|-------|
Chiereduce dameesio ïs	-----|---|---|----⌫--|
Kidel angel eioiepre ïs	-|-||-----⌫|---|---⌫--|
Esio ïs quengendras	----⌫--|-|--------|
Laclar té de pard urable	-|----⌫--|-|----⌫-----|
Esio ïsmere	----⌫--|---|
Esioïs meresaint eebel e	------|---|-----⌫||---⌫|
T usule me re	-⌫|---|--⌫-|
sain te e pu r e Téloec haünefaiture	----⌫-||--⌫-⌫|--|--|-⌫-----|------|
n ustonfizch ier Çodis teled e queo r	-⌫-|--|--|--⌫--|--|---⌫|--|-⌫|----⌫|
En remembra nce	-|--------⌫--|
des cin cplaies	--|---⌫|-----|
Deu s uff ripu r nusue raies	--|-⌫---⌫-|--⌫|--|--⌫----|
Cincfei zdist	---|---⌫|---|
Ga ude par tendrur	--⌫--|--|------|
Cin cfei zsagenuillale ior	---⌫|---⌫||--------|-|--|
cinc feizsa genuill aE nus	---|---||-⌫-------⌫||--|
Saluumladame souent Emustrum	-----|-|---|-----||------|
alin ostreplain t e	|-|-⌫----|-----⌫-⌫|
Dium li c est antiefneseinte	---|-|-⌫--|-------|-----|
Karcer tes	--|---⌫--|
m ult estprofitable	-⌫--|--|---------|
Kibienladitde	-|---|-|--|-|
c uere stable	-⌫--|-⌫-----|
La nunainla dist b o nement	-|-----|-|---|-⌫-⌫-----|
Bo nluiereno ut	--⌫|----|-|-⌫-|
u eirement	-⌫-------|
Estre ceoqueeletan t	----|--|--|--|---⌫|
mult bonement	---|-------|
Ses cumpai gnesel ecouent	--|------⌫---||-⌫|-----|
esteitdebonair e	-----|--------⌫|
Ach aün u oltbienfai re	|--⌫---|-⌫--|---|---⌫-|
Multlesamamultlesse ru i	---|--|--|---|--|--⌫--⌫|
Chaünepars eiencheri	------|--|-⌫-|------|
Quant parchasté	----|--|------|
ne spoei t	--⌫|----⌫|
Les altresm alfaiz	--|-----|-⌫-----|
uolteschi ure	---|-----⌫--|
Quant p a rce onespo et resembler	----|-⌫-⌫|--⌫|--|--⌫-|--------|
Chaüneuoltde	------|---|-|
qu eorame r	--⌫--|---⌫|
Qua ntresemblern e spoeit mie	---⌫-|--------|-⌫-⌫|----|--|
Parc hasteéparnette uie	--|-⌫------|--|----|--|
Par s eruise uolt purcha cier	--|-⌫-----|---|------⌫---|
Lu ramursanz rienlosenger	--⌫|---|---|---|-------|
Ne lur uol t mesdire de	-|--|---⌫|------|-|
rien Atutesuo leit fa irebien	---||----|--⌫---|--⌫--|---|
Nes uoleitd erien e mpeirer	--|-----|-⌫|---|-⌫------|
Enue rs ladam edel m ustier	----⌫-|-|---⌫|--|-⌫-----|
Tint lurgran t bienmatineseir	---|--|----⌫|---|----||---|
Maintbiend elilurfist aueir	----|---|-⌫|-|--|---|----|
Eleertpare ntealaba ësse	--|--|----⌫--|||---⌫----|
Surlesaltresp ar ceo mei st resse	--|--|-----|-⌫-|--|---⌫--⌫----|
M aisnepristpassur sei	-⌫--|-|----|--|--|--|
Tutesserui	----|----|
es anzen uie	|-⌫--|--⌫--|
Par ceopurchaçaluramur	--|--|--------|--|---|
Chaüneliportahonur	------|-|----|----|
Ladamelama durement	-|---||--|-------|
Plu s quenula ltre	---⌫|--|--|-⌫---|
de lcouentDiceo out elcuergranttendrur	--⌫|-----||---|--|-|---|----|------|
li fi r enth onur E	-|--⌫-⌫--|-⌫---||
p ensa quedignenes teit	-⌫---|--|----||--⌫---|
Delhon urq uelenli	--|---⌫-|-⌫-||-|-|
C e l h onurlosta delpe chié	-⌫-⌫|-⌫---||---|--|--⌫----|
Quele sel thanterparma lu estié	-|--|---⌫|-----|--|--⌫--⌫-----|
Pitiéoutgra ntde sa	-----|--|---⌫-|-|-|
Deul i suffritel honu rKelenenout	--|-⌫|-----|--|----⌫||--|--|--|
pasdeserui e	--|-------⌫|
Criamercidesafolie	---|----|-|-|----|
l abbaësse	|--------|
Distlisunpechie ́ enplurant	---|-|--|------⌫|-|------|
Merc icriadesespechi e z	----⌫|---|-|--|-----⌫-⌫|
Estend u e geutas es piez E l	------⌫-⌫|---||-⌫-|---|||
ab beessebonemen t	--⌫-----|-------⌫|
Larece utenbienumblement	-|----⌫-|-|---|--------|
N eli di st orguil nesurfait	-⌫|-|--⌫-|-----|-|------|
Amiablementlad	----------||-|
Encuragalade pardun	-------|-|-|-----|
Iuinstlipuis en confessi un	-----|-|---|-|--------⌫-|
L apenitenceke deu t f aireE	-⌫|--------|-|---⌫|-⌫---||
Filledebonai re	----|-------⌫-|
Aie zoreengrant hau ̈r	---⌫|--|-|----|---⌫-|
Ton pechié etafol err u r Eliefen	--|------||-|--|---⌫-⌫||---|-|
a mend e ment	-⌫----⌫-⌫---|
D eusestmult	-⌫--|--|---|
pi usu erstut egent	--⌫-|-⌫--|---⌫|---|
Kar tute gent uelt adrescier	--|---|---|---|--------|
Kis euoelentde m al n eier	-|-⌫|------|-|-⌫-|-⌫---|
Efill e tufai	|----⌫|-|--|
N euo ltpastune mpeirement	-⌫|--⌫-|--|--|-⌫---------|
Deulabone uree	--|-|----⌫---|
Dek i tu as estépriuee Ten	-|-⌫|-|-|----|-----||-|
aiderasic umio espeir	-----|-|-⌫-|-|-----|
Adres ce tei atunpoeir	-----⌫-|--||--|----|
Purl onur ketu liasfait	--||---|-|-|-|-|---|
Te mettraen espeirparh ait	-|-----|-|-----|--|-⌫--|
E iomeïmesteaiderai	|-|------|-|------|
fairepurrai	----|-----|
Pa ral moneseparpreiere	--⌫|--⌫----||--|------|
Cum meredeitsafillechiere	--|---|---|-|----|-----|
Cele receutla penitence	---|-----|-|--------|
Ent ente mista la faisance	---⌫---|---||-|-------|
Maisainceisquel eüstparfaite	---|------|--||----|-------|
Esteit mortee	-----|----||
delsiecletraite	--|-----|-----|
Duntlabba ëss eoutgrant pitié	---||----⌫----⌫|--|----|-----|
Epourde l i	|---|-|-⌫|
purlepech ié	--|-|----⌫--|
De ce lpechiésedesc u mforte	-|--⌫|------|-|----⌫-⌫-----|
Purceoquel e esteitsito stmorte	--|--|-|--⌫|-----|-|--⌫-|----|
Asembladun kes celcouentEeniui nstlurpitusem ent	------|---⌫--|--|-----||-----⌫--|--|-------⌫--|
L apeni tenced ela	-⌫|----⌫----|-⌫|-|
Kitant les	-|---|--|
amade bo n cuer	--|-|--⌫|---|
K eelespur lasorurpre ̈as sent E	-⌫|---|--|-|----|---⌫---⌫---||
lalmedepei ne apelasse n t Ee le sreceurentde	|---|-|---⌫-|--------⌫-⌫||-⌫--⌫|--------|-|
Lapenitenceensaluete ́	-|--------|-|-------⌫|
Prierentdunc purliadés	-------|---|--|-|----|
A latrentim enuitapré s	|-|-------⌫|---|-----⌫|
Si cuml ab aëssedormi	-|--||--⌫-----|----|
uintlamortenunain	---|-|----|-----|
Maisladame nenoutpoür	---|-|---||-|--|----|
Demandalibelpara mur	------|-|--|--|-⌫--|
estutcumlefeïst	----|--|-|-----|
Parq uelache isuniuenistElanunain	--|-⌫--|----⌫---||-----||-|-----|
li respundi	-|-------|
Bienle fraiuost reme rci	---|-|---|----⌫-|--⌫--|
Paruozureis uns airefui	--|--|-----⌫--|-|----|
Mais uncoreengrant	---|-----|-|----|
turmen tsui	------⌫|--|
Saciez q u e	-----|-⌫-⌫|
i oai bonee speranceDaueir de	-⌫|-|---|-⌫-------||----|-|
peinesdeli ue rance	-----|----⌫--⌫----|
Pur le ser uisequ eiofisAla	--|-|---⌫---|--⌫|-|--||-|
da me de p arai ̈s	--⌫-|-|-⌫----⌫-|
P ur ceo ke	-⌫-|--|-|
sesuresdiseie	--|---|-----|
uinte l e la ui oesteieE assuaga	---|-⌫-⌫|-||-⌫|-----||------|
mesdolur s	--|-----⌫|
Mesgranzturmenze mes poürs	--|----|------||--|-----|
Karlesecundiorpuisma mo rt	--|-|-----|--|---|-|--⌫-|
Cu m enpeines	--⌫|-|-----|
fu isanzc umfort	--⌫|---|-⌫-----|
Luin zgardai	----⌫|-----|
nesoiuentendre	-|--||-------|
uiladuncanosfeusdescendre	-|-|---||--|---|--------|
quantloiap arceue	----||-|--⌫-----|
Cument iesdelciel	-----|--|--|---|
desc endue	----⌫----|
Desq ueçaences tordeeNafiert pasa	----⌫-|--|-|---⌫|----||-----|--||
tad igneté	-|-⌫------|
K arces tliu n estp ascouena bleA	-⌫-|---⌫|--||--|-⌫-|------⌫--||
tel edame tant honurableE dunt	---⌫|---|---|--------||---|
ne mepoet profiter	-|-|---|-------|
C eoketesoi ltant sa lu er	-⌫-|-|-|---⌫|---|--⌫--⌫-|
Tant saluzte soila nun cie r	---|----|-|---|-⌫---⌫---⌫|
Tantesle rmesouoclaisser	-----|--⌫---|---|------|
De uant tonalteren l eglise	--⌫---|--|----|-||-----|
D unnemeualdr acelseruise	-⌫-|-|-|-----⌫|--|------|
Neueis tuc umc ha itiueme nt	-|---|-|-⌫-|-⌫--⌫-------⌫-|
S ui turmenteeencest tu rmen t	-⌫-|--------|-|---|--⌫----⌫|
Tunendismotmes soef res tut	-||-|--|--|--|----⌫--|--|
Ecistmalfé suntfeleglut	|---|-----|---|--||---|
Lada me duncsuemer ci	-|--⌫-|---|--|---⌫-|
Curageecumfor t merendi Edis tN aipa s	-----||------⌫|-|----||---⌫||-|--⌫|
enublimi s	-|---|--⌫|
Le seruisequeme	-|------|--|-|
Liluiersunt granta uenir	-|----|---|----||----|
Maisainzte st oetp einessofrirEtespe ch iez ci	---|---||-⌫--⌫--|-⌫----|-----||--|--⌫--⌫--|-|
a dresc ierEtes	-⌫-----⌫--||--|
f olieses purgier	-⌫----|--⌫------|
Kar plaieperill u se	--|----|------⌫-⌫-|
Lun ge mescinedema nd eE griefforfaitsi	---⌫-|------|----⌫--⌫||----|------|-|
c um afi er t	-⌫-|---⌫--⌫|
Dureueniancepui srequiert	---|-------|---⌫|-------|
Quelforfaitnefustmainsgreuus	---|------|-|---|----|-----|
Detun pe chiétantennu ius	-|--|--⌫----|---|----⌫--|
Kiuio las partesdeliz	-|---⌫--|--|--|----|
Le sainttemplede m unchie rfiz E a	-|----|-----|-|-⌫-|----⌫|--|||
meifeïsgrant	--|----|----|
Kisuimestredepucel ageE de	-|--|-----|-|-----⌫--||-|
u irginit épremier eEde chast eégumfanunir e	-⌫-------⌫-|-------⌫||-|-----⌫--|----------⌫|
Lesigna cle dedeïté	-|-----⌫--|-|------|
Estblescié par ta uole nté	--|-------|--|-|----⌫---|
Ma ilaissas	--⌫|------|
pura m uruilai n e	--|-⌫-⌫-|-----⌫-⌫|
U n poit estoetdureren peine	-⌫|--||-----|----|-|----|
Desque t useiesmi saf lurs	-----|-⌫|----|--⌫||-⌫---|
Par l esle rmesde	--|-⌫-|--⌫---|-|
luinzt on rechatement	----|-⌫-|----------|
Tostaur asbonalegemen tL entent equeiadis aueies	---|---⌫-|--|--------⌫||------⌫|--|----|-----|
Q uanttu mu nseruisefes eies	-⌫---|-|--⌫|------|---⌫---|
Tes granz peinesaleggeraE tunpardun	--|----|-----|-------||--|-----|
mult hastera	---|------|
Nefrai miegr a ntde mura nce	-|---|--|--⌫-⌫-|--⌫----⌫--|
Quen eteface	--|-⌫|-|---|
deliueranc eD icestgrantturmentuus	----------⌫||----|----|------|--|
prendrai A m un fizte pres enterai	-------||-⌫-|--|-|----⌫------|
Misfizn e prent en sunre cet	--|--|-⌫|----|-|--|--⌫--|
Nul eriensil ne seit bie n	---⌫|---||-|-|---|---⌫|
Purceotestoetun poi s uffr ir E	--|--||-----|-|--|-⌫----⌫-||
tespechiez espenir	--|------|------|
I ceomedistla	-⌫--|-|---|-|
sain te mere	----⌫-|---|
Ki po r tasun fize sun pere	-|--⌫-⌫-|--|--||--|---|
Marie Eioldiateibel e	----||--|-||--|---⌫|
amieE t ua saltresle	---||-⌫|-⌫|-----|-|
Quec haün esegardede hun te	--|-⌫-----⌫|-|----|-|---⌫-|
Deu nesei espereçuse	--|-|---⌫-|--------|
D ema sal u mais curiuseE dias sorurs	-⌫|-|---⌫|---|------||-|-|-----|
q ueeles meai dent E les granz feus	-⌫-|---|-|--⌫---||--|----|---|
denferrefr eidentL abbaësseatantsesue il la	|----|----⌫-----||--------|----||----⌫--⌫-|
L auisi un tut ecuntaAceles	|-----⌫-|---⌫|----||----|
da mesdel c o uent	--⌫--|--|-⌫-⌫---|
Lecuntaor deneeme nt	-|----|--⌫-------⌫-|
Chaüne mistsurseisignacle	------|---|--|--|-------|
me ru eill edelmiracle	--⌫--⌫----⌫|--|------|
Haitiés erent	-------|----|
les soru rs	--|----⌫-|
Queleaureitp ar elessucurs	-|--|-----|-⌫-|---|-----|
De boncue r	-|--|---⌫|
Requistrent	----------|
Deud esicel	--|-⌫-|---|
Pur lalmedicel esorur	--||---||----⌫|----|
Dunt pit iéeurent e tendrur	---|---⌫--|-----||------|
Cipout len oïrpar rais un	-|---||-|---|--|----⌫-|
Kemultualt de	-|---|---|-|
queorurei sunE repentanceapenitence	----|----⌫--||---------||--------|
Ainzquelenait	---|--||-|--|
de mor tla la nceEque	-|---⌫|-|--⌫--||--|
mult ualtled uzse r uise	---|---|-|-⌫-|--⌫-⌫---|
Dam esanzfeintise	---⌫|---|-------|
Kar n euoltrien	--|-⌫|---|---|
mettr e enubli	-----⌫|-|---|
Quan tmestiers estsue	----⌫|-------|--|--|
El grantbusuignseit bienmustre r	-|----|------|---|---|------⌫|
Comentel e uoltlessuensame r	-----|--⌫|---|--|----|---⌫|
D eu merci	-⌫-|----|
Parce o quela dame bi enserui	--|--⌫|--|-|---|--⌫-|----|
Multestbo nedameaseruir	---|--|--⌫-|---||-----|
Kar sanzdel aiu el t bienmerir	--|---|---⌫-|-⌫--⌫|---|----|
quelen lifait	--||-|-|---|
Chaünshoemlas erueparhait	------|---|-|-⌫---|--|---|
C i poetlembiene spermenterEsanz	-⌫|---||-|---|-⌫---------||---|
cuntredi tbien	--------⌫|---|
Quegrantmalest detrop pechierEpise st	--|----|--|--|-|---|------||--|-⌫-|
qu inelue ltl a issier	--⌫|--|--⌫-|-⌫-⌫-----|
Ch aüns quip ecchefolement	--⌫----|--|-⌫----|-------|
Sedeitretraireignel mentNest	-|---|-------|-----⌫---||--|
pasmerueillesil	--|--------|-||
Malfai tqui elpechi e ́ se	--|---⌫|--|-|-----⌫-⌫|-|
tientE pu is	----||--⌫-|
nadcuredeleuer	|-|---|-|----|
adresciereamen d er	--------||----⌫-⌫-|
Pecheu rueu st u deses perer	------⌫|---⌫|-⌫|-----⌫----|
De u net epuissealeuer	--⌫|-|-⌫|-----|-----|
Dete spech i ez	-|--⌫|----⌫-⌫-|
de t a uieorde	-|-⌫|--|---|
duce m ise ricorde	---|-⌫---⌫------|
uols tuduteren	---|-|----|-|
De la uertusain te	-|-|----|----⌫-|
Kidese ncu ntre dizpe chiez	-|--|-⌫---⌫----⌫--|--⌫----|
Deusun tescumeng iez	--|---⌫|--------⌫--|
M eineh umme saremissiun	-⌫---|-⌫----⌫||--------|
Suue ntparpetite achaisu n	----⌫-|--|-----|-------⌫|
Par lipuissumestreadrescié	--|-|------|----|--------|
Saluébonur éeshalcié	-----|-----⌫-|--------|
Cilqui estra is t sanz boba n	--|--|-----⌫--⌫|---|----⌫|
Lauiedes aint	-|--|-|-⌫---|
Recuntekeunedamees teitA	------|-|--|---|--⌫---||
GlastingebiremaneitEsi	------------|-----||-|
ertderëallignie	--|-|----|-----|
Fra nche dameeenseignie	---⌫---|---||--------|
Lefizdu n rei	-|--||-⌫|--|
nurri aue i t	----|---⌫-⌫|
kicurteiseeste it	-|-------|----⌫-|
Tutfusteledetel parageE	--|---|--|-|--|-----||
neede rëallignage Ditantesteit	--|-|----|------||----|-----|
plus amiable	---|------|
Plu s debon aireplusestable	---⌫|-----⌫---|---|------|
Tr es tu t s unaueirdeparti Apoures e	--⌫--⌫--⌫|-⌫-|----|------||-----||
cler s ac uilli	----⌫|--⌫----|
Alseruis e sainte	-|------⌫|-----|
Sa subst ancel urad departie	-|-----⌫---|-⌫-|-|-------|
Q u asezeurentp ar auena n t	-⌫|---|-----|-⌫-|-----⌫-⌫|
eurentle remanant	-----|-|-------|
Elemeimesdel surplu suesqui	--|-----|--|------⌫|-----|
Ecriaduremen t merciA	|---|-------⌫|----||
Parurei sunsparb one	--|----⌫---|--|-⌫--|
engrant am ur	-|----|--⌫-|
La sai ntemere	-|---⌫--|---|
alsalue ür	-|-----⌫--|
Si q uebienesperoutaueir	-|-⌫-|---|-------|----|
De ladametuitsunuolei r	-|-|---|---|--|-----⌫|
Eplus cumparcomandement	|---|--|--|----------|
Keparp reiere simplement	-|--|-⌫-----|---------|
Essampl e a	-------⌫||
r ais unm usterai	-⌫---⌫-|-⌫------|
P ari ceo k eciu usdirrai	-⌫-|-⌫--|-⌫|-|-⌫-|-----|
Athe lst ans l i	----⌫---⌫--|-⌫|
Kitan toutde	-|---⌫|--|-|
buntégrantpris	-----|----|---|
Engleterren outson	---------||--|--|
De s ainteu iedem ener	-|-⌫----|-⌫-|---⌫---|
Deuser u iseE grantbien fi st asain te	--|---⌫-⌫--||----|---|--⌫-||----⌫-|
Lauladame ertuint u rer	-||-|---|--|---|-⌫--|
Enzelmustier uselthanter	--|-|------||---|-----|
Q uantoutsaurei sunfinee	-⌫---|--|-|----⌫--|----|
uintaliladame	---||-|-|---|
h o nur ee	-⌫-⌫---⌫-|
Requistle ke s efus t s un pla isi r	------|-|-|-⌫|---⌫|-⌫-|---⌫---⌫|
Deina stasa maisunue nirE pu r	-----⌫-||-|-----|--⌫--||--⌫|
humiliastEtantcumli pleust iamenast	--------||---|--|-|-----||------|
Dist kefaire poeits anz	---|-|----|----|-⌫--|
D escendr e a maisunsan u rice	-⌫-------⌫||-----|-|-⌫-⌫---|
le desditlu ngement	-|-----|--⌫------|
Kar ilo u toué	--|-|-⌫-⌫|---|
seigrant gent	--|----|---|
qu e r e i serthunte auei tEd a ltre	--⌫|-⌫-⌫-⌫|--|----|----⌫|||-⌫---|
parte n du te estei t	---|-⌫|--⌫-|-----⌫|
Kesanur ice tropg re ua st	-|-|---⌫--|---|-⌫--⌫--⌫-|
sagentialast	-|---||----|
Requ idoutsille	----⌫----||-|-|
Que ele a orguil	--|--||-----|
Encesteman i er e	-|----|---⌫-⌫--⌫|
er tdutus E d	--⌫|----|||
altrepartsierth untus	----|---|-|--|-⌫----|
P urc eoqu il s oleit	-⌫-|-⌫-|-|-|-⌫----|
largeme nt	-------⌫-|
Duneram ange r asagent	----||-⌫----⌫||-|---|
Quanttuit a ueitbarate ́Lotrialireisde	----|---|-⌫---|------⌫||----|-|---|-|
Q u euolen tiers i uendrei tEbone men ti dign ereit	-⌫-⌫|-----⌫----||-------⌫||----⌫---⌫||----⌫----|
Des soensa	--|----||
lamaisuntramist	-|-----|------|
Ainzqu il meïme s	---|-|-|------⌫|
C il reuindrentedistrentbienK asez	-⌫-|---------||-------|---||---|
iou tde tuter ien	|--⌫|-|---|-⌫--|
Fo rs abeiurep oiiaueit	--⌫-||-----|-⌫-||----|
uaisseli esteit	------||-----|
La bone dame	-|---|---|
multhaitié	---|------|
Lur respun dicum	--|------⌫-|--|
enseignié	---------|
cielo u t safianceE dist D iceon	---|-⌫-⌫|-|-----||---||---||
aiezdu tance	---|--⌫----|
Sa ciez iceoneuusfaldra	--⌫---|---|-|--|-----|
Maisa plentéuus suffira	---||------|--|------|
Ore uus seez ha i tiement	--|--|---|--⌫-⌫------|
uus serianzse ruezbonement	--|------|--⌫---|-------|
Puis turn a u npoial musti er	---|----⌫|-⌫|--|-|-----⌫-|
Ep r is tdunkesa genuill ier	|-⌫-⌫--⌫|-----||-------⌫--|
Requistlamere	------|-|---|
Keac el puintaidastsa	-||-⌫-|----|-----|-|
Kecelbei urenedefa ill i st	-|--|---⌫--|-|----⌫---⌫-⌫-|
Reuinte haitiése f ist	-----||------|-|-⌫--|
Damelifistmer ci E	---|-|---|---⌫-||
bien l e n otria sunpri	---||-⌫|----|--|--|
mede urenttrestutAb e iureasezdesqua	---|----|------||-⌫-⌫---|---|----||
la nuit D unpetituaisselsulement	-|---||-|----|------|-------|
T uitleiorbeure nt liem e nt	-⌫--|-|--|-----⌫-|----⌫-⌫-|
Uncoreleseir alderain	-----|-|---|-|-----|
Ert liuaisselprest utpl ain	--|-|------|---|-⌫-|--⌫--|
Cel mira cl eertesparpeillie ́	--|----⌫--⌫|--|------------⌫|
Par c e o quef urenttantlié	--|-⌫-⌫|--|-⌫----|---|---|
K aril ioutasez	-⌫-|-||--|---|
Delpai ̈s estre lesrëals	--|---⌫-|----|--|-----|
Damesain te	---|----⌫-|
Fist al af emmet elaïe	---||-⌫|-⌫---|-⌫-|---|
Sicumad fa it	-|--|-|--⌫-|
en liusplusurs	-|---|------|
Ass oens m ultgl ori ussucurs	-|-⌫---|-⌫--|--⌫---⌫-|-----|
Neuoltsuffrirquehunteaient	-|---|------|--|----|----|
Cilkide ser uiselapaien tE	--|-|-|---⌫---|-|-----⌫||
seinte r ien	-----|-⌫--|
Icelenusament	----|--|----|
Dede usfemm esdiraibriefment	-|--⌫-|----⌫-|----|--------|
KisentrehaïrentformentL uneou tespuse	-||------------|------||--|--⌫|----||
dreit mariE	----|---||
lal t re encuntre leiue squiLespus del	|--⌫-⌫-|-------|--|--⌫---||----|-||
uintE fistson bonsi l a mai ntint	---||---|--|--|-|-⌫|---⌫----|
Ecelekiertesp usee	|---|-|--|---⌫---|
Ladecri ap ar lacuntreeEoutenuers	-|-----⌫|-⌫-|-|------||--|-----|
lim or telenuie Es encria a sai n t e	-|-⌫--⌫--|----|||-|---||---⌫-⌫-⌫|
MarieKel edicele lauenia s tEmort	----||--⌫||----|-|-----⌫-⌫||---|
subitelidunast	-----|-|-----|
Pars ungesilidefendi	--|-⌫---|-|-|------|
Kemesnel a requeïstEpuis a pert eme ntli dist	-|--|-|-⌫|--------||---|-⌫----⌫---⌫-|-|---|
Iaseiticeo quele	-|---|---|-|--|
faitf olie	---|-⌫---|
Neuoil pasquel eseit per ie	-|---|--|-|--⌫|---|---⌫-|
Neliuo il ma lele e st	-|-|--⌫-|--⌫|--|-⌫-|
Chas cuniorcent feiz mesalue	----⌫--|--|---|---|-|----|
Centfei zsagenu ille	---|---⌫||-----⌫---|
ensementA meichaüniorbon ement	-------||--|-----|--|---⌫----|
Pu r c e oneuoil keseit perie	--⌫|-⌫-⌫|-|---|-|---|----|
La issiezentr euus	--⌫-----|----⌫|--|
la folie Edemustrez lauisiun	-|----||--------||------|
uerai esanz mal achaisu n Ekeele	-----⌫|---|--|-------⌫||-|--|
ent reelsmeïst sac ureA	---⌫-|--|-----|-|-⌫--||
lendemainpar	|-------|--|
elessen cuntrerent	---||--⌫---------|
Pr iuee mente belpa rlerent	--⌫----⌫---||--|--⌫------|
Apeise rentlur ma ltalent	------⌫---|--|--⌫|-----|
Sisacorderent b onement	-||---------|-⌫------|
Quantl unel aissa sunt encer	----||--|-⌫----|--|-⌫----|
Dun c sestin tlaltrede	---⌫||-----⌫||----|-|
Ore p oëztresb ienentendre	--|-⌫---|---|-⌫--|-------|
Com entla dame u olt defend re	---⌫--|-|---|-⌫--|------⌫-|
T uz sesam ise	-⌫-|--|--⌫-||
D emo rt dema l e	-⌫|--⌫-|-|--⌫||
d e folie sL une	-⌫|-----⌫||--|
demandauengemen t L altre	------|--------⌫||----|
requistamendemen t	------|---------⌫|
quid o utdre it au eir	----⌫-⌫-|---⌫-|--⌫--|
Outtortceopo ëz bie n saueir	--|---|--|--⌫--|---⌫|-----|
Qu anteledemanda ueniance	--⌫--|--|------|-------|
Parpechiéditel fesance	--|------||---|------|
Maisladamelasai nterien	---|-|---|-|---⌫--|---|
Adr esçaam besdousenbien	---⌫----|--⌫------|-|---|
Si ken ulenesteitperie	-|-|-⌫--||-----|----|
Chaünelaissasafolie E	------|-----|-|----||
Deunusd uinst	--|--|-⌫----|
amendeme nt	--------⌫-|
Parceste dame	--|----|---|
asontalentN	|--|-----||
estmiedanci enté	--|--||----⌫----|
I ceokeuu si e rticicunté	-⌫--|-|--⌫|-⌫-⌫-|--|-----|
K e lempe reurde	-⌫||----⌫---|-|
Ba biloine	--⌫------|
Kitant estdefiertestimoi ne	-|---|--|-|---|--------⌫-|
Enuë at ses	-----⌫-|--|
Sespaënsses	--|-----|--|
Encuntrelerei	-------|-|--|
Iherus alemenfi nDiceleterre	------⌫---|-|--⌫||----|----|
e steitilr eis	-⌫----|-|-⌫--|
Pre uzeuail lanze c urteis	---⌫-||----⌫---||-⌫-----|
Sarr azindeputefeiLas istren t e ntu r	----⌫---|-|---|--||--⌫------⌫|-⌫---⌫|
Deuenqu irentlesilchacere nt	-------⌫----|-|--|-------⌫-|
Pris tre ntdes soenssislierent	----⌫---⌫-|--|----|--|------|
De lauentu re enorguillirent Ade smesu res esioïrent	-||------⌫-|-------------||--⌫-----⌫-||---------|
Delb ienke lur ert auenu	--|-⌫--|-|--|--|----|
Que l erei aueientu encu	--|-⌫|--|------|-⌫---|
Deguasterentlar egiun	-----------|-|-⌫----|
Ascal one e tutd	-----⌫--||--||
enu i r un	---⌫-⌫-⌫-|
Mistr ent l es iglises a terre	-----⌫--|-⌫-|------||----|
Nefine rent unkdec unquer e	-|----⌫---|--|-|-⌫------⌫|
Desig lises	--|--⌫----|
nientparfurnies	----|---------|
Firentadunc ma humeries	-----|----|--⌫-------|
At ant uindren tauneiglise	--⌫--|-------⌫||--|-----|
Marieertas ise	----|--|--⌫--|
Lespare izerent dep eintesDymag esde sainze de	--|----⌫-|----|---⌫-----||----⌫-|-|----||-|
sai ntesEliculuert lestrespercerent	---⌫---||-|------|--|------------|
De lur ha nstesles	-|--|--⌫----|--|
es ticherent	--⌫--------|
Desalquantes lesoilz	--|--------|--|---|
creuere ntElesalquantese snaserentE colp erent deplusu rs	-------⌫-||--|--------|-⌫--------||----⌫----|-|-----⌫-|
lespiezEesgareterenta espiez	--|---||-----------||-----|
A l derainuindrentlifelunAune de be le	-⌫|-----|-------|-|----||--|-|--⌫-|
Siestait desainte	-|-----|-|-----|
Remustrerent lu rdes uerie	-----------|--⌫|---⌫----|
Celeuoleien tr estic hier	---|-------⌫|-⌫-----⌫---|
Maisnepoeient	---|-|------|
Luineren t igranttens del	--------⌫||----|---|--|
S isentre mistrentliplusur	-⌫||-----⌫-------|-|-----|
Mais nuld elsne pout e spleit er	---|--||--|-|---|-⌫------⌫-|
Uncnelapoeie n tblescier	--|-|-|-----⌫-⌫|-------|
Tuziorzquant	--|---|----|
mi el zf erir quider ent	--⌫--⌫|-⌫---|------⌫--|
Faillire n tlur mainsetremblerent	--------⌫-⌫|--|----||----------|
Pui squantildelp ai ̈s	---⌫|----|-|--|-⌫--⌫-|
turnerentA	--------||
lur cu mp aignunslecunterent	--|--⌫--⌫------|-|--------|
lymagefe ri re n t	|----|--⌫--⌫--⌫-⌫|
bien loïre nt	---||-----⌫-|
K eli culue r t	-⌫|-|-----⌫-⌫|
aueientpris	------|---|
Chaünpluradeso ilz del	-----|----|--|-⌫--|--|
Qu antcelmiracleoïaue ient	--⌫--|--|------|--|---⌫---|
Tuitplurerentedoel feseient A	---|--------||---|-------||
ladamefir en tlur	-|---|---⌫--⌫|--|
