cil qui se uent	--|--|--⌫---|
detelecho sefontsemblant	-|---|---⌫-|---|-------|
porautresgent faire	--|-----|---|----|
quil or nepuetauoi r	--|-⌫-|-|---|----⌫|
unmeigeconte queseig na	-|----|----|--|----⌫-|
ungrantric he home	-|----|---⌫-|---|
quil garda	-|-|----|
enm olttresgrantenfermete	-|-⌫--|---|----|--------|
pu izauoit	--⌫-|----|
lesan c comandé	-|---⌫|-------|
quele gardast	--|-|------|
qu enuleri en n iadesast	--⌫|---|--⌫-|||------|
ca rparl e sancbienconoistr o it	--⌫|--|-⌫|---|---|--------⌫-⌫-|
quelenfermet eilauoit	---|--------⌫|-|----|
lame schine portelesanc	-|--⌫-----|----|-|---|
en la chanbredesuzunb anc	-|-|------|----|-|-⌫--|
maizmoltli est mesauenu	---|---|-|--|-------|
cartotle sanc aespandu	--|--|-|---||------|
diren emo strer	---|-⌫|--⌫----|
n autreconsel	|----|-----|
ne sout trouer	-|---|-----|
mai zs oi meismezf it	---⌫|-⌫-|------|-⌫-|
ic el sanc laissaref roidier	--⌫-|---|-----|---⌫------|
tantque li	---|--|-|
me gez toutue u	--⌫--|---|--⌫|
sanca apa r ceu	---||---⌫-⌫--|
qu ecile stpreinzq ui	--⌫|--|-⌫-|-----|-⌫-|
lotlai ssé	|-|---⌫---|
l eriche home asi esmaié	-⌫|----|---||-|------|
quil cuidoitbien auoire nf ant	-|-|------|---|----|-⌫--⌫--|
fait uenirauant	---|----|----|
tantpar destroit	---|--|-------|
tantparamor	---|--|---|
lifaitreco noistre	-|---|----⌫------|
delsancli d it	--|---|-|-⌫-|
etque liautrez fudeli	-|--|-|-----|-|-|-|
autresi uaitdez trich eors	------|---|--|-----⌫---|
dezlarr onzetdezconchio rs	--|----⌫--|-|--|-------⌫-|
folieuient	----|----|
p a reusm eismezsont	-⌫-⌫|--|-⌫-----|---|
quant miauzse gard ent d	----|----|-|----⌫--||
sisontencombréet	-|---|--------|-|
dunuil e ind it q ue segisoit	|-|---⌫-⌫-|-⌫-|-⌫-|-|-----|
sola ilouse dormoit	----⌫-|-|-|------|
a denzcestmis tozdescouerz	|---||--|--|--|--------|
et sonpertuizest tozouers	-|--|------|--|--|----|
unesc harbot dedenzentra	-|---⌫-----|-----|----|
etliui l einzsenesui lla	-|-|--⌫-⌫---||-|----⌫--|
gran tmalli fit tant qua unmire	----⌫|--|-|--|---|-||-|---|
lestuet alerconteretdire	|-----|---|-----|-|---|
ilestoitpreinz	-|-----|-----|
qu il nefuai nz	-|-|-|-|--⌫-|
car liuileinzbienlecre oit	--|-|------|---|-|---⌫--|
et lifo uzpue p lezquiestoit	-|-|--⌫-|---⌫-⌫--|--|-----|
a celuiqui	|----|--|
bienn ecroie	---|-⌫|----|
quegrant maluenire ndoie	--|----|--|----|-⌫|---|
tante stli poplezfouzmuablez	---|-⌫-|-|-----|---|------|
qu a suein ezc hoseznientestablez	-|-⌫|----⌫-|-⌫----|----|-------|
ontlorcrea nc eetlore spo ir	--|--|----⌫--⌫|-|--|-⌫---⌫-|
leuilein ga itentpor sauoir	-|-----|--⌫----|--|-----|
parouli enfezdeuo itnaist re	--|-|-|----|----⌫-|-----⌫-|
li es char botparla	-|--⌫----⌫--|--|-|
o uilentra sen es tissuz	-⌫|-|----||-|--⌫|----|
doncf urentil tozdeceuz	---|-⌫----|-|--|-----|
essampl e le uosdi	-------⌫|-|--|-|
de s nonsachanz es t autresi	--⌫|--|------|--⌫|------|
qu i c roientce qu estrenepuet	--⌫|-⌫-----|-|-|----|-|---|
ouuanitezle z trai tetmuet	-|------|--⌫|----⌫|-|---|
d unuileinconteq ue gaita	|-|-----|----|-⌫-|----|
dedenssonhuissies pia	-----|--|---|-|--⌫--|
unautrehomeu i tso r	-|----|---|-⌫-⌫|--⌫|
o safamefitson	|-|---|--|--|
halasfaitquaiieueu	-|--|---|-|-|-|--|
donc a la fame respondu	---||-|---|-------|
que ueezu os	--|---|-⌫-|
biauz douz amiz	----|---|---|
unau trehom e	-|--⌫--|---⌫|
cemest auiz	-||--|---|
seur monlittetie nten bra ciee	---|--|--|-|---⌫-|--⌫---⌫---|
ceditlafamecoro cee	-|--|-|---|----⌫--|
bie nsai faitelece ni etmie	---⌫|--|---|--|-||-⌫-|--|
est uostre malef ol ie	--|-----|---|-⌫--⌫-|
tuuiauztenir	-|----|----|
m e nsongea	-⌫-⌫-----||
fait ilsi l doi bien croi re	---|-|-||--|---|----⌫-|
fouziesfaitellesetucr oiz	---|--|---|---|-|-|--⌫--|
parueritequanquetuuois	--|-----|------|-|---|
le pren tolilemeine	-|----⌫||-|-|----|
a unecuu e	|--|---⌫|
daiguepleine	|----|-----|
dedenz laiguelef it garder	-----||----|-|-⌫-|-----|
puizlicomen ce ademander	---|-|-----⌫-||-------|
quiluoit deden z	-|-|---|-----⌫|
et il lidi t	-|-|-|--⌫|
ques o ue imageme ism euit	--|-⌫-⌫-|----|--⌫---⌫|--|
porce dit elen ie snipas	--|-|--|--||--⌫|||--|
d ede nsla cuue otoztez	-⌫---⌫-|-|---||--|--|
setu uoiez unesembl ance	-|-|----|--|-----⌫---|
tu nedoiz pasauoir	-|-|---|--|----|
ent e l ziauzqu i mententso uent	-|-⌫-⌫-⌫|---|--⌫|------|--⌫---|
dit liuileins ormerepent	--|-|------|-|-|-----|
c hacunz doitmia uzcroireet sauoir	-⌫-----|---|---⌫-|-----|-|-----|
ceque sa fameditpor uoir	-|--|-|---|--|--|---|
q ue cequesimalueloy luoie nt	-⌫-|-|--|-|-----|--⌫|----⌫-|
q u e paruenetelefoloie nt	-⌫-⌫|--|-----|-|------⌫-|
e ssamplenosdeuise	-⌫------|--|-----|
que moltuautmia uzsenz	--|---|---|---⌫-|---|
etcointise	-|-------|
et pluzaiea meinte	-|---|--||-----|
quesonauoirne si	--|--|----|-|-|
dunuileinue ilci reconter	|-|-----|--⌫-|-|-------|
quis afameuit droit	--|-⌫|---|--|----|
u ersla fores tsondruio lui	-⌫--|-|-----⌫|--|---||--|
apr escorrut c ils	---⌫-|-----|-⌫-||
est de den sleboizmucez	--|--⌫---⌫|-|---|----|
e tcilretornet otirez	-⌫|--|------|-⌫-|---|
safame laidiet blasma	-|---|----|-|-----|
etladame lideman da	-|-|---|-|-----⌫-|
po rquoiparloitensi uerz li	--⌫|---|------|---|---|-|
etsonbaro n	-|--|----⌫|
lire spondi	-|--⌫-----|
ot ueuso nlecheor	-|--|--⌫|------|
honteetdeshono r	----|-|-------⌫|
aler olu iuerslaf orest	---||--⌫|---|-|-⌫----|
ieluif a it	-||-|-⌫-⌫-|
il f ouizs	-|-⌫---||
lassefait elem ortesui	----|---|--|-⌫---|--|
demein morrao uencor	-----|----|-⌫|----|
amaioleauint	||----|----|
eta mamer e bien	-||-|---⌫|---|
qunbachelerlezco nd u iss oit	|-|-------|--|--⌫--⌫-⌫---⌫--|
maizne sor e ntou c il	---|-|---⌫-⌫-|-|-⌫-|
ors ai ie bie nprez es tm afin	-|-⌫-|-|---⌫|---|--⌫|-⌫|--|
mandez sire tozmez cosin	-----|---|--|--|----|
sede partironcestau oir	-|--⌫-------|---|--⌫--|
nosel siecle pluzrema noi r	|-|-|-----|---|----⌫---⌫|
o totelamoieparti e	|---|-|---|-----⌫|
m emetraenunea baie	-⌫|----|-|--|-⌫---|
liuileinz loitmercili crie	-|------||--|----|-|---|
las siezester fait	---⌫---|----|---|
ne departe z demoiissi	-|-------⌫|-|--|---|
menso nge fuq uanque ie u i	-----⌫--|-|-⌫-----|-|-⌫|
niosefaitelle	||--|---|---|
cardem ame	--|-||--|
me stuetpenser	|-⌫----|-----|
e nsorquetotporlagranthonte	-⌫---------|--|-|----|----|
auezfaitsi g rantconte	---|---|-|-⌫---|----|
me seroit reproché	-|-----|--------|
quema lementauraier ré	--|--⌫-----|----|--⌫--|
seuozne iu r ez	-|--|-|--⌫-⌫-|
sa irement	--⌫------|
s iqueleuoi etot e	-⌫|--|-|---⌫|---⌫|
quene ueitez	--|-|-----|
homeo m oy	---||-⌫-|
puiz afiezla	---|----|-|
u ostrefoi	-⌫----|--|
que uosi am a iznemesi urez	--|--|-⌫--⌫-⌫-|-|-|--⌫---|
ne lmerep rocherez	-||-|---⌫-------|
uolentiers dameillirespont	---------|---|-|-|------|
a unmostier ensem bleuont	|-|------|-----⌫--|---|
la l iiu race	-|-⌫|--⌫-|-|
quelequ i st	-|--|--⌫-⌫-|
etplusases qu e	-|---|---|--⌫|
por cedit onr e p roui er	--|-|--|-|-⌫-⌫-⌫----⌫-|
quefamez seuent en gigner	--|----|-----|--⌫-----|
les mensongezfonta u erables	--|--------|---|-⌫-⌫------|
ontu nar tp luz que	--|-⌫|--⌫|-⌫--|--|
d un uassalnos r econte ci	|-|-----|--|-⌫-----|-|
quiauoit u ncheualnorri	--|----|-⌫|-----|----|
tantlotg ardé	---||-|-⌫----|
q u il le uout uendre	-⌫|-|-|---|-----|
de niersenuoloi t porluipr e nd re	--⌫----|-|-----⌫|--|--|--⌫-⌫--⌫-|
poryysouzsedi t le donra	--|-|---|-|--⌫|-|----|
zzsi en ueisi n leba rgi n a	-|--⌫-|-----⌫|-|--⌫---⌫-⌫|
maiz ni uoutunetantdoner	---|||---|--|---|----|
aumerc hiele	-|----⌫--|-|
co uientaler	--⌫----|---|
ic ilcuili cheuaus estoit	--⌫-|--|-|------|-----|
li ot riaquil li	-|--⌫--|-|-|-|
lair roi t	----⌫---⌫|
a prizque celuii metroit	|---|--|----||------|
qui encon treia uz primez uendro it	--|-----⌫--|--⌫-|-----|------⌫-|
d es quiluendro ent au	-⌫--⌫-|-|------⌫--|-|
detotez pars on to tro ié	-|----|---|--⌫|-⌫---⌫--|
quantalmarch ie fu rent entré	----|-|-----⌫-|--⌫---|-----|
un homeborgneonten contré	-|---|-----|--|--⌫------|
qui le destr eoylauoitperdui	--|-|-----⌫|--|----|-----|
ensembleoe auzlont r etenu	-------||-⌫--||--|-⌫----|
si lidemandents onau is	-|-|--------|-⌫-|--⌫-|
que doucheua l	--|--|-----⌫|
dielepri s	--|-|---⌫|
illor res pontque zz souzuau t	-|--|---⌫---|--|-|---|---⌫|
isne au zetso uefuait	----⌫--⌫|-|--⌫--|---|
cil qui lecheual bargigna	--|--|-|-----|-------|
d elasoueparotroia	-⌫|-|---|--|-----|
m aizlia utrezlecontredit	-⌫--|-|-⌫----|-|--------|
car tropl au oitprise ́peti t	--|---||--⌫--|-----⌫|----⌫|
tantontparlé c iles tal é	---|--|-----|-⌫-|--⌫|--⌫-|
iustisel a m ené	------|||-⌫---|
mostra comentcefue	-----|-----|-|--|
e t liuileinzla respondu	-⌫|-|------|||-------|
iasonche u a lnaurapor tant	-|--|---⌫-⌫-⌫||---|--|---|
nenetendralecouenant	-|-|-----|-|-------|
cil uout mostr er re nablement	--|---|-----⌫-|--⌫--------|
que b ienlidoittenirco uent	--|-⌫--|-|---|----|--⌫---|
qu antporluinefu mesprisez	--⌫--|--|--|-|-|--------|
nep orlautrepl uzauilés	-|-⌫-||----|--⌫-|------|
onqueznel conui stn e	-----|-||-----⌫-|-⌫|
li uileinneueuttenirsonasgart	-|-----|-|---|----|--|-----|
carneleui tfors	--|-|-|--⌫|---|
porcelauoit	--|-||----|
de mipr ise ́	--⌫-|--⌫---⌫|
caril ne uit	--|-|-|--|
f orla meitie	-⌫-|-|-----|
nepotmiedun oy lue oir	-|--|--||-|--⌫|--⌫--|
quel icheuaizd euoit ua loir	--|-⌫|------|-⌫----|--⌫---|
cilquiau plait	--|--|-|----|
oeausestoient	|---|-------|
etleuilein	-|-|-----|
parleroie nt	-----|---⌫-|
le to rnerent agaberie	-|--⌫------||------|
nia unseul quine s enrie	|||-|---|--|-||-|--|
ch eualsen	--⌫---||-|
par biauparlersest	--|---|-----||--|
porc e uo sueul	--|-⌫|--⌫|---|
icimostrer	--|------|
e tenseigner etdotriner	-⌫|--------|-|-------|
qui conquessoit	--||-----|---|
sientrepriz	-|--------|
etnait osoysez bonsa miz	-||--||--|--|---|-⌫--|
sachentconsei l doner	------|------⌫|----|
qui b iensedoit	--|-⌫--|-|---|
contregarder	-----------|
uns feurezfitun e cognee	--|-----|--|--⌫|-----|
dur eettranc hant etbien fo rgie	---⌫|-|-----⌫---|-|---|--⌫---|
ma iz nese puetrienaidier	--⌫-|-|-|---|---|-----|
ne o lirienn e puet	-||-|---|-⌫|---|
tre nc hier	---⌫--⌫---|
de ce quele fu enmanc hee	-|-|-|--|-|------⌫--|
etd aucunf uis taparaillee	-||----|-⌫---⌫|---------|
au boisalapordemander	-|---|--|--|-------|
aucun fu i st quilpeu ttrouer	----|--⌫-⌫-|-|-|---⌫|-----|
liloe nt entendre	-|---⌫-|-------|
dequoiil puisse manche	-|---|-|-----|-----|
qu ant ensembleor entpar l é	--⌫--|-------|--⌫--|---⌫-⌫-|
comunaulmentliont l oé	-----------|-|--|-⌫--|
quilpreignedela	-|-|------|-|-|
n oir eespine	-⌫---⌫|-----|
neisl e s c orceetlaueine	---||-⌫-⌫-⌫---|-|-|----|
ele estmoltdu r e a	--|--|---|--⌫-⌫||
decelpuet bienenm an c hier	-|--|---|---|---⌫--⌫-⌫---|
le folalor conse il	-|--||--|-----⌫-|
car nelontmiedeceu	--|-||--|--|----|
delas pinea	-||--⌫---||
lem anchepris	-|-⌫----|---|
si laen sacoignee	-|||-|-|------|
a meis mezce le coignee	|----⌫--|--⌫-|------|
apu izlespinedetrench ee	|--⌫-||-----|--------⌫-|
mal guere donli aren du	--|-----⌫--|-||---⌫-|
que de lui a sonmanchee u	--|-|--||--|-----|-⌫|
totautresiest dezm aluaiz	--|------|--|--|-⌫-----|
dezt rezfelonze tdezeng rez	--|-⌫--|-----|-⌫|--|---⌫--|
quantunpro dome lez	----|-|---⌫---|--|
met aua nt	--|---⌫-|
etpa rlu isontriche etm an ant	-|--⌫|--⌫|---|----|-|-⌫--⌫--|
seilsorm ententpluzdelui	-|-|----⌫-----|---|-|--|
toz i ors li	--|-⌫--|-|
fonthon teet	---|---⌫-|-|
acel u ifo ntil totle piz	|---⌫-⌫|--⌫-|-|--|-|--|
qui pluzlez aa u d esusmiz	--|---|--||-⌫|-⌫---|--|
ne es t apruu enuz	-|--⌫|-----⌫---|
quiparplait ne ontpasperd uz	--|--|----|-|--|--|----⌫-|
a plusorsestsi	|------|--|-|
souuentez foizy ontperdu	--------|---||--|----|
et qui tropcroit autrui	-|--|---|----|-----|
qu etou tledesoitetafole	--⌫|---⌫|-|-----|-|----|
lifouz c uidemal eurte	-|---|-⌫---|--|----|
q ue ne ueutestre conseillé	-⌫-|-|---|----|---------|
soimeis mezsouuent des oit	--|----⌫--|------|---⌫--|
c ar tantn e	-⌫-|---|-⌫|
sepo ruoit	-|--⌫----|
gopild it queunenuit	----|-⌫-|--|--|---|
est oitalezenson deduit	---⌫--|---|-|--|-----|
sor la mar ine tresp assa	--|-|---⌫--|-----⌫---|
quant de denzl aigu e regarda	----|--⌫---||----⌫|------|
l omb re dela	|---⌫-|-|-|
lun eaue u	---⌫||--⌫|
maiznesout	---|-|---|
mieque cefu	--|--|-|-|
puiza penséensoncoroige	---||-----|-|--|------|
q uilaueu ungrantformage	-⌫|-||--|-|----|------|
laigueco mence aregard er	|----|--⌫----||------⌫-|
tres biencuida ensonpenser	---|---|----|-|--|-----|
quelefo rm agepeut prend re	--|-|--⌫--⌫--|---|-----⌫-|
tantabeu qu ilcreua	---||--|-|-|----|
illue cdelapuizneleua	-----⌫|-|-|---|-|---|
meint h omee spoireoutreledro it	----|-⌫--|-⌫-----|----|-|---⌫-|
etoutre ce	-|----|-|
nede uroit	-|--⌫----|
d auoirt otez c ezuolentez	|----|-⌫---|-⌫-|-------|
dontpuiz e stmoretafolez	---|---|-⌫-|--|-|-----|
du nloucontequiuitiadis	|-⌫|--|----|--|--|----|
ouzzcorbele s toita ssiz	-|-|-----|-⌫-⌫---|-⌫---|
desuzle dos duneberbiz	----|-|--||--|-----|
li louzp arl aquifu	-|---|-⌫---⌫|--|-|
ieuoifaitilmolt	-|--|---|-|---|
gra n tm e rueille	---⌫-⌫|-⌫-⌫------|
suz l edosd	--|-⌫|--||
une oeille	--|-----|
creint ilnenulerien	-----|-|-|---|---|
se ie se issei el	-|-|--⌫---|-⌫||
saimoltbien	--|---|---|
quetotezgentme hueroi ent	--|----|---|-|------⌫--|
detotez pars me	-|----|---|-|
crier o ient	-----⌫-⌫---|
queielauodroi em angier	--|-|-|------⌫|-⌫-----|
nemelarroientaprisnie r	-|-|--------|--------⌫|
totensiestdou	--|---|--|--|
enef froyestetenpaor	-|--⌫---|--|-|-|---|
saconcience	-|--------|
queto zc onoissent	--|--⌫|-⌫--------|
sontalen t	--|-----⌫|
formentl i poisse	------|-⌫|-----|
quenetornecezfau z a ma l	--|-|----|--|---⌫||--⌫|
dun co cracontequi e stoit	|-|--⌫|------|--|-⌫----|
s uz unfumier etsi	-⌫-|-|-----|-|-|
pardel e zlui	--|---⌫-⌫|--|
uintz z gopi lz	---|-⌫|----⌫-|
si lapel apar	-||----⌫|--|
moltbiauzdi z	---|----|--⌫|
sirefa itil moltte uoibel	---|--⌫-|-|---|-|--|--|
onque z ne uit	-----⌫|-|--|
si gent oysel	-|---|----|
c l ereuoi z assuztotez	-⌫-⌫--|---⌫|-|--|----|
forston pere queieuibien	---|--|---|--|-|-|---|
onquezoy selmiauznechanta	-----|--⌫--|----|-|-----|
maiz encha ntantlezyays clina	---|-|---⌫----|--|---|----|
ie f aire di tlicos	-|-⌫---|--⌫|-|--|
lez elezba tle zy aysacloz	--|---|--⌫|--⌫|-⌫--||---|
chanterc uidapl uz	------|-⌫---|--⌫-|
li gopi lzuait auan tsilepre nt	-|----⌫-|---|----⌫|-|-|---⌫-|
uerslaf orest olcocse nua	---|-|-⌫----|||--||-⌫|-|
p armiunch anp oui lpassa	-⌫---|-|--⌫--|-|-⌫|----|
corrent apres	------|----|
tuitlipastor	---|-|-----|
lezchie ns li huenttote ntor	--|----⌫-|-|----|--|-⌫---|
lor escr ie	--|----⌫-|
cari esuiz tiens	--|-⌫|---|----|
nemelaizmie	-|-|---|--|
li gopilzuot pa r lere n haut	-|-----|--|--⌫-⌫--|-⌫|---|
etlicosde sabouche saut	-|-|--|-|-|-----|---|
sorun hautfuists	--|-|---|----||
en estmontez	-|--|-----|
quant lig opilzse tregar de ́s	----|-|-⌫----||-⌫|-----⌫--⌫-|
moltpar sen	---|--||-|
tien t malcon chiez	----⌫|------⌫----|
quant l ecoclasie ngi gnez	----|-⌫|--|||-|-⌫---⌫---|
demau talentetdedroiteire	-|---⌫-----|-|-|-----|--|
sa bouchee nchouseet	-|-----|-⌫------|-|
qu i trop pa routquantdeu roit teireli	--⌫|---|--⌫---|----|---⌫---|----|-|
cosres pont si doiiefaire	--|---⌫---|-|--|-|----|
maudireloilquiueutcliner	------||--|--|---|-----|
quantd oitgarderet agaiter	----|-⌫--|-----|-|------|
quema lne u eigne asons ei gnor	--|--⌫|-|-⌫----||--|-⌫--⌫---|
cefon tli fo l tot li	-|---⌫|-|--⌫|--|-|
quepa rlent quantdeiuentce sser	--|--⌫----|----|------|--⌫---|
carn eseu eul entbiengarde r	--|-⌫|-|-⌫---⌫--|---|-----⌫|
dunc olonpcontequeiadiz	|-|-⌫----|----|--|----|
estoit su zunecroiz	-----|--⌫|--|----|
uint d esouz cel	---|-⌫----|-||
enhautp arla silia	-|---|-⌫---|-|-||
por quoifaitilye ztulasus	--|---|---|-|--⌫|-|-|--|
en sigrantuentcardecent	-|-|----|---|--|-----|
seezpresdemoy	---|---|-|--|
i e n os parfoyci lrespo n di	-⌫||-|--|--|--⌫|-----⌫-⌫-|
por nient aspao urde	--|----|-|---⌫-|-|
sit e saibien	-|-⌫|--|---|
iefui orei nzen	-|--|-|--⌫-|-|
ougra ntpueple	-|---⌫-|-----|
fua ssenblé	-|-⌫-------|
iuint deparle r o y	|---|-|--|-|-⌫-⌫|
quicomande	--|------|
par dro ite	--|---⌫--|
quebestea autre	--|----||----|
pa i z ueutmetr ed edenzsaterre	--⌫-⌫|---|----⌫|-⌫----|-|----|
anse nb lepoonsmaiza ler	----⌫--⌫-|----|---|-⌫--|
oyseauset bestesetiouer	------|-|-----|-|----|
doncuendr ai ief aitli	---|-----⌫-|-|-⌫--|-|
maizieuoila le z	---|-|--|-|--⌫|
ce sbussons	--⌫|------|
zzc heualiersmolt tost aler	-|-⌫--------|---|---|---|
sif ont zz	-|-⌫--|-|
c hiens oyauz mener	-⌫----||---|----|
ditli gopilz sont	--|-|-----|---|
ilb ie n prez	-|-⌫--⌫|---|
i lc heuauchent faitiladez	-⌫|-⌫---------|---|-|---|
mieuz uautqu en	----|---|-|-|
celegrau e uo ise	---|----⌫|--⌫--|
qui pary aus	-||--|-⌫--|
ai eplaitnenoise	--⌫|----|-|----|
nesai silont lebriefoi	-|--||-|--|-|----|-|
q uiuintdouroy ieuosafi	-⌫-|---|--|--|-|--|--|
nemes touroitpoin tremuer	-||--⌫------|----⌫|-----|
sileussent oiconter	|-|------|-|-----|
siuaitdesfelons uesiniers	-|---|--|-----|--------|
paryaus sontplusors e ngignez	--|---|---|------|-⌫------|
par lorparoleet	--|--|-----|-|
lor se rmon	--|--⌫---|
c omcil uoutfaire d ou colon	-⌫-|--|---|----|-⌫-|----|
lia iglezdezo yse auz rois	-|-⌫----|--|-⌫---⌫--|---|
por ce que est prouze tcortois	--|-|--|--|----|-⌫|------|
etlihostorssezseneschau s	-|-|------|--|---------⌫|
s i l nest ilm ie loiauz	|-⌫||--|-|-⌫-|-----|
liai glezs it un ior de	-|--⌫---|-⌫-|-|--|-|
unchaneenha ut	-|----|-|--⌫-|
liestorssitplusbaisdel ui	-|-----|--|---|---|-|-⌫-|
gar daa ual	---⌫-|-⌫--|
lez col onsqui desuz liuoloient	--|---⌫--|--|----|-|-------|
iuse nlaterreentrauziuo ient	--|-⌫|-|----|---|--|---⌫---|
uoziuezfaitildesozmoy	--|---|---|-|----|--|
ueezci laigle u ostrer oy	---|-||----|-⌫----|-⌫-|
s e ilfuitdecire mués	-⌫|-|---|-|-|--⌫----|
etsusun autrefutuol e z	-|--|-|----|--|---⌫-⌫|
ligen siroite nautre	-|---⌫|----|-⌫|----|
ie feroiedeuosiu stise	-|-----|-|--|--⌫----|
ne doitprinceuoler	-|---|-----|----|
seneschaule n son	---------|-⌫|--|
r eaume auer	-⌫----|---|
nec ou oiteuz ne menteor	-|-⌫--⌫-----|-|------|
lueutfair esonseignor	|---|----⌫|--|------|
uncheualu i touherbecruit	-|-----|-⌫-⌫|-|----|----|
dedensunpremai zne paruit	-----|-|--|---⌫|-|-----|
laha iedont clo s	-|--⌫-|---|---⌫|
ausallirenestafo lez	-|-----|-|--|---⌫--|
plusor bien le sauez	-----|---|-|----|
ta ntco uoi ent l oruolentez	--⌫-|--⌫---⌫--|-⌫-|-------|
ne uoient pas	-|-----|--|
quelle auentu rei	-----|------⌫--|
enuienta pre zpesant	-|----|-⌫---⌫|-----|
unsrichezc edit auoit	--|-----|-⌫|--|----|
un cheu al qu e uendreuoloit	-|----⌫-|--⌫|-----|-----|
etunsienb ueftot a un pri s	-|-|---|-⌫--|--||-|---⌫|
po r y ysouz di ta cez am is	--⌫|-⌫|---|--⌫||--|--⌫-|
quechacu nsdia u zuoloi t	--|-----⌫-||--⌫-⌫|-----⌫|
senus leuoloit achete r	-|--|-|-----|------⌫|
un mar chea ntassezbargina	-|---⌫----⌫-|----|------|
lecheualditqu achetera	-|-----|--|-|-------|
maizle bu e f neuoloitnient	---|-|--⌫-⌫|-|-----|----|
li riche zhonsparmaltalent	-|-----⌫|---|--|--------|
ditquil n e n	--|-|-||-⌫|
feroitnient	-----|----|
ouquelezyyache teroit	-|--|--|-|----⌫-----|
ouambe yylez li lai roit	-|---|-|--|-|---⌫---|
u eir p oezdelnient sa ch ant	-⌫--|-⌫--|--|----|--⌫--⌫--|
quisonmal pris eestautreta nt	--|--|--|----⌫|--|-------⌫-|
combien tot	--|---|--|
sonapertement	--|---------|
n epuetlasiers onfol talent	-⌫|---|-----|-⌫-|--|-----|
contequeunslous	----|--|--|---|
en unegraueiuttozsous	-|--|----|--|--|---|
desouzlacoueaualli entre	-----|-|---|---|-|----|
zz e scarbo tdec i q uau	-|-⌫------⌫|-|-⌫|-⌫|-|
liloussautsuzse suei lla	-|---|---|--||-⌫----⌫--|
moltan guoissousementcr ia	---|--⌫-------------|--⌫-|
uoutraet tant s all i	-----|-|---|-⌫---⌫|
escharbotsis enissi	--------|-||-|---|
quant lilo uz regarda	----|-|--⌫-|------|
molt parlise mblagrantdespit	---|--|-|--⌫---|----|-----|
halasfaitildolens	-|--|---|-|-----|
quantded en smoy te s toiezmiz	----|---⌫--⌫|--||-⌫-⌫----|--|
liesch arbo z arespondu	-|----⌫----⌫||-------|
cer tezfaitil c	---⌫--|---|-||
estbien seu	--|---|--|
queieu auz	--|-|-⌫--|
ass ezm ausdet oy	---⌫-|-⌫--|-|-⌫-|
qua nttudemeineztelbufoy	---⌫-|-|-------|--|----|
orassenbletaconpai gnie	-|-------|-|------⌫---|
etciauz quite sont	-|----|--|-|---|
r esem b ler a ima gent	-⌫----⌫-⌫---⌫-⌫|-|---|
et mezamizet mespa rent	-|--|---|-|--|--⌫---|
demenfaisons u nebaitaille	----|------|-⌫-|--------|
en micelchanp	--⌫-|--|----|
se onssa nzfaill e	--⌫--|--⌫-|-----⌫|
li louzla ens iotr oié	-|---|||---⌫|---⌫---|
por sesa id ans aen uoié	--|--|-⌫--⌫--||--⌫----|
etleschar botlezsiens	-||------⌫--|--|----|
ni auo it nul felon remez	||---⌫-|--|----|----|
nenuleguespene	-|---|-----|-|
quantildeuoientaprimer	----|-|-------|------|
li lousuiau tlezsienzenseigner	-|---|----⌫|--|----|--------|
consel cedi tlorestuetpre n dre	-----|-|--⌫|--|-----|---⌫-⌫--|
silseu eulent	|-|-|-⌫-----|
deciauzde ffendre	-|----|--⌫------|
cha cun sestuetga rder saqu eu e	---⌫---⌫|-----|--⌫---|-|--⌫--⌫|
ouel eira amaleue ue	-|--⌫|--||---|--⌫-|
licerslidit carl ezbendonz	-|---|-|--|--|-⌫-|------|
doncpo rronzpluz	---|--⌫----|---|
ensio ntfait comun au ment	---|-⌫-|---|-----⌫--⌫---|
bendése sont	-----|-|---|
moltferm ement	---|----⌫----|
maizquant ce fut	---|----|-|--|
al asenblee	||-------|
u negues pe	-⌫-|----⌫-|
si p ointle cerfpar	-|-⌫---|-|---|--|
le zcostez	--⌫|-----|
et ilsalisi effreé s	-|-|---|-|-------⌫|
qu ilse mef fittrop uilement	-|-|-|---⌫--|---|-------|
et labendeder o n tetfent	-|-|----|---⌫-⌫-⌫|-|---|
cedi tlilouz q uiestoit	-|--⌫|-|---|-⌫-|-----|
seig nor s po rdieunies tonmez	----⌫---⌫|--⌫|---|||--⌫--|--|
moltp arnos estmalauenu	---|-⌫-|--|--|--|----|
quantliliennos est ronpu	----|-|---|--|--|----|
fuonsnosonhastiu eme	----|--|-|------⌫--|
de moronz nient	--⌫-----|----|
iaunsolde n os	-|-|--|-|-⌫-|
qui sou zla coue nen a it yy	--|---⌫|-|---||-|-⌫-|-|
ces teesem plenosd itdeciauz	---⌫-|----⌫--|--|-⌫-|-|----|
qu idespe rsetlesmen orzd i auz	--⌫|-----⌫---|--|---⌫--||-⌫--|
tant lesauilentde lordis	---|--|------|-|--|--|
a ugrant besoing e n son thoniz	-⌫|----|------|-⌫|---⌫|----|
quimiauzseuentcilg arder	--|----|-----|--|-⌫----|
la ou ilontgre gno rmestie r	-|-|-|--|---⌫---⌫|------⌫|
queciauzq u ilez uont	--|----|-⌫-⌫|--|---|
qui sont si lonc	--|---|-|---|
