soignorsorescoutezque	-------|-|-------|--|
ason col sonescu puisaiprisl e c ongie	|--|--|--|---|---|-|---|-⌫|-⌫----|
et isi dela uil e	-|--|-|-|---⌫|
quantil futanutiez	----|-|--|------|
onquesdexne fita	-----|--|-|--||
cui prei t congie	--|----⌫|-----|
a lisird elauilepansede	||---|-⌫|-|---|----|-|
ch e uau chi er	--⌫-⌫---⌫---⌫-|
ilentraien	-|-----|-|
zzbois aut et	-|---|--|-|
grant etpleni er	----|-|-----⌫-|
alisuedo ub oistroua izzcheualier	||---|--⌫|-⌫--|-----⌫|-|--------|
quifutfizemel onquidux	--|--|--|----⌫-|--|--|
futdebauiers	--|-|------|
quesarazinsauoe ntdes aterrechacié	--|-------|----⌫-|-|-⌫|----|------|
leuezestoit matin porsoiesbe laiier	----|-----|----|--|--|----⌫-----|
y yl ieuesplenie resauoitle boiscerchié	-⌫|-⌫----|------⌫--|----|-|---|-------|
quen ifusentreme ssaraz ins n epaiens	--|||-----|----⌫|-----⌫--|-⌫|-----|
esgarde deuantsois i uit uen irri chier	------|-----|--|-⌫|--|---⌫-|--⌫----|
plu s totqu ilonquespout	---⌫|--|-|-|-----|---|
es tmont ezoud estri e	--⌫|----⌫-|-|-⌫-----⌫|
etb r oichel echeuau l et ua iferirric hier	-|-⌫-⌫----|-⌫|------⌫|-|--⌫|----|---⌫---|
quant richiersl aiueu	----|-------||-|--|
pasresoinié	--|--------|
se luns f utorgoulouset lia utr espl u sfiers	-||--|-⌫-|--------|-|-|-⌫---⌫-|--⌫-⌫|----|
liunsne d oi gnail autreparlern eacoitier	-|--|-|-⌫--⌫---||----|-----|-⌫|-------|
gra n tzcousse sont don ez	---⌫-⌫-|---|-|---|---⌫-|
ese scuz decartiers	-|-⌫---|-|-------|
totesploi neslor	----|----⌫--|--|
la ncesse sont iustrabuchi ez	--⌫---|-|---|--|--------⌫-|
p uistraii entlesespe esau poind	-⌫--|-----⌫--|--|----⌫-|-|---||
ourantailié	--|--------|
gran z cou s sesont	----⌫|---⌫|-|---|
donez sor leshiaumes	----|--|--|------|
o nc porneantneuistel estour co nmancier	-⌫-|--|----|-|--|--|-----|--⌫-------|
con ce duibaronzf unt sor slesel mesuergiez	--|-|--|-----|-⌫--|---⌫|--|--⌫--|------|
richiers a i traiti oieuse	-------|-⌫|----|-⌫-----|
morzestcui ilanf iert	---|--|--|-|-|-⌫---|
i l atientle uersaul	-⌫|-----|-|------|
so rsonelme uergi é	--⌫|--|---|-----⌫-|
que to tl aiporfanduiiusquauno udou	--|--⌫||-|--------|----|-|--⌫|--|
richiersestort soncoupsi	-------|-----|--|---|-|
l a im ort	|-⌫|-⌫--|
trabuchié	---------|
qua nt celuiot ocis	---⌫-|----|-|---|
meruoilesanfutliez	--------|-|--|---|
carilcudoi tqu	--|-|-----⌫|-|
p aiens renoi ez	-⌫----|-----⌫-|
e lass imarl aifait tant ai maul	|--|-⌫|--||-|---|---|-|---|
es plo itié	--⌫---⌫----|
se da medex nan panse por lasue	-|--⌫----||-|----|--|-|--|
onques mais nefitcho sedontantfut coroc iez	-----|---|-|--|---⌫-|--|---|--|-----⌫--|
illai saile	-|---⌫--|-|
chemin si setintau	-----|-|-|---|-|
chat elloupereac estmortcheualier	----⌫-|--|---||-⌫--|---|--------|
ne fine s iestuenuzrichiers	-|---|||--|----|-------|
d esozzzpinf ollup ordesus	-⌫---|-|--|-⌫---|-⌫-|----|
estrichiers des canduz qui m olt	--|-------|---⌫-----|--|-⌫--|
fita prisier	--||------|
l idux futpereau mor temel on d e	-⌫|--|--|---|-|---⌫|----⌫-|-⌫|
uenuzestpor desdure oyycheu alier	----|--|--|------||-|----⌫----|
biensontu estuz derminesde	---|---|-⌫----||------|-|
bli ausant ailiez	---⌫--|---⌫-----|
port entoit oursde muefaucons	----⌫--|---⌫---|-|--|------|
espriuiers	---------|
sorleuedeienor uind rent	--||--|-|----|----⌫---|
esbelaiier	---------|
aice lle p arole iestu enuzrichiers	|---⌫--|-⌫----||--|-⌫---|-------|
tre stouzlessa lua ique bie nfuta ns aigniez	---⌫----|--|--⌫---⌫|--|---⌫|--|-⌫--⌫------|
cildamedex de	--|------|-|
gloirequiest	-----|--|--|
laisusoucie l	-----|-|---⌫|
trestoz ansanbl en o bilescheualie r	------|-------⌫|-⌫-⌫----|--------⌫|
ne saiqui est	-|--|--|--|
l i s iresneuosanmelu oiliez	-⌫|-⌫---|-|--|-|----⌫-----|
caronquesn elouuis	--|-----|-⌫|--|--|
iesoieui s	-|---|--⌫|
masdex uos	--|--|--|
sauttre stou zetluitr e stout pr emiers	---|---⌫----⌫|-|--|--⌫-⌫----|--⌫-----|
iesuiszzchaitishonsdolanz e tcorocie z	-|---|-|------|---|-----|-⌫|-------⌫|
quison seignour uaiquerre	--|--|-------|--|-----|
anestra nger eni er	-|-----⌫--|-⌫---⌫-|
que ansaprisont ientla mir auxgaliiens	--|-|-|-----|-⌫---||-⌫---⌫--|-------|
h erbergi e z moi	-⌫-------⌫-⌫|--|
biaussirepo rdeuledroi t urier	----|---|--⌫|--|-|----⌫-⌫----|
pormiceste fores taiyyiorsc heuau chié	----|----|-----⌫|-|-|---|-⌫-----⌫----|
defour re ne dauoinene meinga i mesdestres	-|----⌫-|-||-----|-|------⌫|--|------|
emelonsleregarde sou uitbel cheualie r	------|-|------||-|--|--|--------⌫|
bel emant liadi t	---⌫----|-||--⌫|
uersaul aulez a pie	------|----||--|
por l amour damedeu sarois	--||----|------|-----|
uosab ergi ez	--|--⌫----⌫-|
decique ademain neperdras zz	------||-----|-|------|-|
sonmarechaudemoineapale leplus chier	--|-------|------|----|-|---|----|
etliaiconmandéuaisi	-|-|-|--------|--|-|
pran cedest rier	---|-|----⌫---|
doufain etd e	--|---|-|-⌫|
l auoi ne ait a s ezamengier	|----⌫-|--|-⌫-⌫-||------|
moin elaisuislecors doucheua l ie r	----⌫|------|-|---|--|-----⌫-⌫--⌫|
mon mantel liaporte lou muedreet le	--|-----|-|-----|--|-----|-|-|
pluschi er	---|---⌫-|
gar det res bienqu	---⌫-|-⌫--|---|-|
asez aitameng ie r	---|--||----⌫--⌫|
conmemonc ors meimesbi enle conraez	----|--|-⌫--|-----|--⌫-|-|------|
et illi respond isi remoltuelontiers	-|-|-|-------⌫|--⌫-|---|---------|
lim arecha usan m oine	-|-⌫------⌫-|-|-⌫---|
le boncorant d estrie	-|--|-----|-⌫-----|
lic h anbellanzap or tezzgar n emant montchi er	-|-⌫-⌫--------|--⌫--⌫-|-|---⌫-⌫----|---|---⌫-|
etgrantmanteld ermi nepandiaucoulp rich ier	-|----|-----||----⌫-|----|-|----|----⌫--|
et p uis l	-|-⌫--||
anamene ́ ougran tpalaispleni er	-||----⌫|-|----⌫|-----|-----⌫-|
et li a ido né l euesil	-|-|-⌫|--⌫--||--|-||
a s ietaudiner	-⌫-⌫--|-|----|
asezotuenoison etclareetuinuiez	---|-|-------|-|----|-|--|---|
lise ne c haus moimes lia i de uant	-|--⌫--⌫-⌫---|-----|-|-⌫|--⌫---|
treinchié	---------|
e lasmar i	|--|--||
me nga idem aul ehor e icisiet	--⌫---⌫|-|-⌫---⌫|---⌫|--|---|
sedamedexn	-|------||
anpanseporlas ue	-|----|--|-|-⌫-|
onques maisnef itch osedon	-----|---|-|-⌫-|--⌫--|--|
ta ntse repantie t	--⌫-|-|--------⌫|
fu tmarriza nuliorsdesolciel	--⌫|-----||--|---|----|---|
richie rsfut oupal ais aumengierfutess is	------⌫-|--|-|---⌫--|-|------|--|---⌫-|
mengieetclareetuiez uin	-----|-|----|-|---|--|
il nedemoraiga iresque	-|-|------|--⌫---|--|
zze s cu iers	-|-⌫-⌫--⌫---|
quiportois onsei gnorque richiers ot oci s	--|-----|-⌫-|---⌫---|--|-------|-|---⌫|
la noiseesta meue por trestotlepais	-|----|--|-⌫---|--|------|-|---|
e st granzlidia usquant emelonsleuit	-⌫-|----|-|---⌫-|----|------|-|--|
yyfoizsepau m aisorle coulde sonfiz	-|---|-|---⌫-⌫-|--|-|---|-|--|--|
pluslia i de mandé escuiers qui	---|-|-⌫|--⌫-----|-------|--|
foi sirezzd amoisiaus depris	--|---|-|-⌫--------|-|---|
q uimonte s t des esarme s coraigousetardiz	-⌫-|---|-⌫-⌫|-|-⌫-|----⌫|--------|-|----|
mes siressi	--|----|-|
otto rt quipr emierslan uai	-|--⌫-|--|--⌫-----||--⌫--|
sire die nt siome	---|---⌫-|-|--|
pormafoi ce estcil	--|-|--|-|--|--|
qui laisusaumengier estou palaisa sis	--|-----|-|------|--|-|-----|-⌫--|
bercar anf ai iotisesilicope	--|--|-|-⌫-|-----|-|-|---|
quant l an tant	----||--⌫---|
emelonslesancudemarrir	------|-|--|---|-----|
si cheu aliersecorentalor ostegarnir	-|----⌫----|-|-----||--|---|-----|
enlasaules an	-|-|----||-|
uindrentcoroc ousetm arris	-------|-----⌫--|-|-⌫----|
laiouric hiersestoit asonmengieressis	--|-|---⌫----|-----||--|------|----|
illause i n tiamortde trainch ié	-||----⌫-⌫-⌫|-|---|--⌫-------⌫--|
quant e melonsan gurel e cors	----|-⌫-----|-|---|-⌫|---|
mariser ai	--||---⌫-|
t ochiezl i cheualier	-⌫-----|-⌫|--------|
po rmautal antenmontetozles	--⌫|------⌫--|-|----|--|--|
degre zmabrins	-----⌫|------|
etprist dousenecha uloucoutailqueil	-|----|--|-------⌫|--|------|--|-|
talantot enson corque	-----|-|-|--|--|--|
richierenferit	------|-|----|
emelonsfut proudo ns	------|--|------⌫-|
sonmautalantre tin t	--|--------|--⌫---⌫|
apres sepor pansai li n obilesmarchis	----|-|---⌫-----|-|-⌫-----|------|
qu il nel ocirai	-|-|-||-----|
miecarilserai hon is	--|--|-|----|---⌫-|
tres por deuant ri ch ier ferile	---|--|-----|--⌫--⌫--|---|-|
d esusrichie ran uolen tlesesclacesdouuim	-⌫---|------⌫|-|-----⌫|--|-------|--|--|
uersa uzdi tem el onsmaulemantmasbaili	-----⌫-|--⌫|--⌫--⌫--|--------||-|----|
det oz anfan zen terren	-|-⌫-|-----⌫|-|----||
auoiec onchersfi z	----||-|----|--⌫|
celuima spor orguield et renchiée tocis	----||-⌫|--|------|-⌫--⌫-------|-⌫|---|
ieteferaiencui toz le s	-|-|----|----|--|--⌫|
ma nbre s t olir	--⌫----⌫|-⌫---|
e n tandiri chierstoz l i	-⌫-⌫----|--⌫-----|--|-⌫|
sanz li fremit	---|-|-----|
il laisaile	-|-----|-|
mengierde paourne	------|-|----|-|
rich iers ui temelonsle b onducdeuantsoi	----⌫---|--⌫|------|-|-⌫-|--|-----|--|
por la m or son	--|-|-⌫-|--|
anfant coro cous etdestr ois	-----|----⌫---|-|-----⌫--|
