messiresnoblesl ilions	--|----|-----|-⌫|----|
etler o idebienenorter	-|-|-⌫-⌫|-|---|------|
po rfaire renart deliurer	--⌫|----|-----|-------|
si le puet	||-|---|
uersl eroi	---|-⌫|--|
gentishonsfetil entendez	-----|---|--|-|-------|
eta maparoleentendez	-||-|-----|-------|
nepuetauoirdecees tat	-|---|----|-|-|--⌫--|
qu inepardonne	--⌫|-|-------|
aucunpecat	----|----|
ihe su cri st pard onnasa mort	---⌫-|---⌫-|----⌫---|-|---|
al ui deuez prandrec onfor t	|-⌫-|----|------|-⌫-----⌫|
aiezmercidelpecheour	---|----|--|-------|
seuer sdi euasnesuneamour	-|---⌫|--⌫-|-|-----|----|
partel conseil	--|--|------|
cons aidonner	--|-⌫-|-----|
sien less iez renartaler	-|-|----⌫--|-----|---|
poru ostreamorsuisiuenuz	--|-⌫----|---|--|-|----|
e tqueren art ne so it pendu z	-⌫|--|---⌫--|-|--⌫-|-----⌫|
sireempereor	---|-------|
ne cree z ialoseng eor	-|----⌫|-|------⌫--|
quisiecl enefont elquemal	--|-----⌫|-|---|-|--|--|
lapai neauront	-|---⌫-|-----|
eninfernal	-|-------|
porquantserenart ertuai ncuz	-------|-|-----|--|---⌫---|
donnezlenos siertrenduz	-----|-|--|-|--|-----|
encoreporr adie u	-----|----⌫|---⌫|
tamesalu er	|--|----⌫-|
s irep ord ieu le nos donez	-⌫--|-⌫-|-⌫--|-|--|----|
uossuis effiez	--|---|-----|
mo i neen fera id ieupo rgarra	--⌫-⌫-|-|----⌫|-⌫--|--⌫-----|
or dreamendera	--⌫--|-------|
dieu ne ueltmort d e pecheor	---|-|---|---|-⌫|------|
sirefaitil endieu amor	---|---|-|-|---|---|
am entsoiet facea ucunbie n	--⌫--|--|-|---|-⌫---|---⌫|
sauuersepuet s	-----|-|---||
alinetient	|-|-|----|
seloncl estatd egoupil lage	-----||----|-⌫|------⌫---|
iert me sadez elmoni a ge	---|--⌫|---|-|----⌫-⌫-|
lir ois ententquebienadi t	-|-⌫--|-----|--|---||--⌫|
nelueud ro i tauoi r escondit	-||----⌫--⌫-⌫|----⌫|-------|
que illidemanda st	--|-|-|-------⌫-|
n equea fairelirouuast	-⌫|--||----|-|------|
renartlir endi bonnement	-----|-|-⌫---|--------|
sa nsnulautreretenement	--⌫-|--|----|---------|
renartagité d epriso n	-----||----|-⌫|-----⌫|
frereb e rnart	----|-⌫-⌫----|
an sa m aison	-|-|-⌫----|
p oissonslidonne poramordre	-⌫------|-|----|--|------|
bienle n doctrinede lorordre	---||-⌫-⌫-------|-|--|----|
des dras del	--|---|-||
ordrelontuestu	----||--|----|
lifilaputain le raffu	-|--||-----|-|----|
fusti o rsfu	---|-⌫-⌫-|-|
ce q uesi est si amor t is	-|-⌫-|-|--|-|----⌫-⌫-|
res passez	---⌫-----|
cilqui mai ns mausa re s passez	--|--|---⌫-|---||--⌫-⌫-----|
bien reti entce q ueon lensoigne	---|----⌫--|-|-⌫-|-||-------|
nefetpas samblant qu	-|--|--|-------|-|
ilsefoigne	-|-|-----|
lesig nefetdelmoniage	-|---⌫-|--|--|------|
mol tletienent li	---⌫|-|------|-|
f rere age	-⌫---|--|
chiers esttenuzetmolt amez	-----|--|----|-|---|---|
et f rere r enartestclamez	-|-⌫---|-⌫----|--|-----|
etil fait mol t	-|-|---|---⌫|
lepape lart	-|----⌫---|
tantqu i lan puistissir	-----|-⌫|-|----|----|
renart debelseruise	-----|-|--|------|
uole ntiers ua	----⌫-----|-|
asainte yg lise	|-----|--⌫---|
souantli menbredes gelin es	-----|-|-----|--|-----⌫-|
dontilsetrun gerl ese s chi nes	---|-|--|---⌫--|-⌫-|-⌫-⌫---⌫--|
souante n atempt acions	-----|-⌫||-----⌫-----|
apai nestientest aci o ns	|---⌫--|----|---⌫---⌫-⌫-|
bienlisieut sunuestement	---|-|----|--|--------|
m oltsecontienthonnestement	-⌫--|-|-------|-----------|
si mists e ntenteenlo rdreaprandre	-|---||-⌫-----|-||-⌫---|-------|
quenusnel e n porroitr eprandr e	--|--|-||-⌫|------|-⌫-------⌫|
iorfulamessechante e	--|-|-|----|------⌫|
renartla dec uer escoutee	-----|||-|-⌫--|-------|
tout darreain sistd u mons tier	---|--------⌫|--|-⌫|----⌫---|
tenoit zz sautier	-----|-|------|
yy chaponstou z	-|------|---⌫|
lor auoitzz	--|----|-|
bo riois donnez	--⌫----|-----|
q uiauoitnonthibautl erich e	-⌫-|----|--|------|-⌫|----⌫|
niertpasuerseusa u ers	|---|--|---|--|-⌫-⌫--|
ne chic he	-|----⌫-|
rena rtl es aapa rceus	----⌫-|-⌫-||---⌫----|
iltropdeceuz	-|---|-----|
seilnenfetsesgren onsbruir e	-|-||-|--|--|----⌫--|-----⌫|
en cuida dedu ir e	-|----|----⌫--⌫|
p ardieufetilnemaparti ent	-⌫-|---|--|-|-||------⌫--|
mengierset ie nt	------|-|-⌫--⌫-|
neaifet ueu	-|-|--|--|
demengie rchar	-|------⌫|---|
moltletenroieagrant	---|-|------||----|
quitelueufere mefe r oit	--|--|--|---|-|--⌫-⌫--|
dieu slesettropmemef feroit	----⌫|-|--|---|-|---⌫-----|
dec harnemepuis	-|-⌫--|-|-|---|
puisenleuuenir	---|-|--|----|
iemonstrerai queien s aif aire	-|---------|--||-|-⌫-|-⌫---|
quiqu andoie	--|-|-|---|
pa rlernetaire	--⌫---|-|----|
liiorstrespasselanuit	-|---|--------|-|---|
renartcuidescha pons souient	-----|--|--|---⌫---|------|
nel es puetmetre	-|-⌫-|---|----|
enoubliance	-|--------|
tresp asse obediance	-----⌫---|--------|
uie n taschapon sune n de scoche	---⌫-⌫|-|------⌫|-|-⌫|--⌫-----|
sileme n ga abo neb ouche	-|-|--⌫-⌫-||--⌫-|-⌫----|
lesautresyyamisen	--|-----|-||--|-|
quelandemain	--||-------|
cou rer les abiendou	---⌫--|--||---|--|
arrieresestuenuzc ouchier	-------|--|----|-⌫------|
n esetnul motdeatret	-⌫|--|--|--|-|----|
doularrecinque ilafe t	--|-------|--|-||--⌫|
bienlichaitde sanat ure	---|-|----|-|-|---⌫--|
mo lt retraitbiena sa nature	--⌫-|------|---||-|-----|
l andemainapres les	|-------|----|--|
renartq uimol taimme geline s	-----|-⌫-|---⌫|----|------⌫|
deyy chaponsseres t dis nez	-|-|------|-|---⌫|---⌫--|
arrieresretorne z	-------|-------⌫|
lesyyme ngaque	--|-|--⌫--|--|
a uquartmengiernefu passot	-⌫|----|------|-|-|--|--|
zz freresqu ibi en	-|-----|--⌫|--⌫-|
que re nartlirouslesd esut	--|--⌫---|-|---|--|-⌫---|
quantracontezfuencoua nt	----|-------|-|-|----⌫-|
renar t en	-----⌫|-|
fublasmezsouant	-|------|-----|
loren uo st droitoffrir	--|-|--⌫-|----|-----|
frerebernartneluost	----|------|-||---|
car m engié auoitzz	--|-⌫-----|----|-|
qu ilauoienten lor	-|-|------|-|--|
ta nt larrecinl or	--⌫-|-------|-⌫-|
carb i enseuentquilamef fet	--|-⌫-⌫-|-----|-|-||---⌫--|
a renart onttolules	|-----|--|---|--|
congie li do nnent	-----|-|--⌫----|
toten g ras	--|-|-⌫--|
ilnedesiro itautresriens	-|-|------⌫-|-----|----|
mesquilfu fors delorli ens	----|-|-|---|-|--|--⌫--|
ameru eilles	|----⌫-----|
liez ene st oit	---|-|-⌫--⌫--|
carl iordre li des plaisoit	--|-⌫|----|-|---⌫-------|
torne z senesttout le ch emin	-----⌫||-|--|---|-|--⌫---|
encornuira a ysa ngrin	----|----||---⌫----|
que ilhetdetrestoutsoncuer	--|-|--|-|-------|--|---|
amernuporroita nul fuer	---|||------||--|---|
lifreressenuaa	-|-----||-|-||
mol t menas esesanemis	---⌫|-----⌫|--|-----|
parc ui il	--|-⌫-|-|
fu sientrepris	-|-|--------|
parquoiaitelpainepenee	--|---|-|--|----|----|
s ireniertpard o nn ee	|--||---|----⌫-⌫--⌫-|
ys angr inne athibe r t	--⌫----⌫-|-||-----⌫-⌫|
ilatan tmals ou fert	-||---⌫|--|-⌫--⌫---|
roeniause rtlezune haie	-------|-⌫-|--|--|---|
comilleuoitdeloins	--|-|-|---|-|----|
et sescr ieu oizlerendu	-||----⌫-|-⌫--|-|----|
que deumes	--|-----|
auoirpen du	----|---⌫-|
ren ar t n	---⌫--⌫||
asoingderampro ner	|----|-|------⌫--|
necure nadere torner	-|---|||-|--⌫-----|
ainzsen uaduremen t or ant	---||-|-|-------⌫|--⌫--|
s ouent regard a nt	-⌫----|------⌫-⌫-|
tantqu eiluientensataisniere	------⌫|-|----|-|-|--------|
o uiltrouasa famechiere	-⌫|-|----|-|---|-----|
quantele uoitgrantioieen	----|--|---|----|---|-|
ainzenson cuersesle e sc a	---|-|--|---||----⌫-⌫--⌫|
et lian fantsirerenart	-|-|--⌫---|---|-----|
firentgrantioie da utrepart	-----|----|---||-⌫---|---|
atant es tl iro mansfinez	----|--⌫|-⌫|--⌫---|----|
quiderenartestt ermin ez	--|-|-----|--|-⌫-----⌫-|
plusnend irai ence ste branche	---||-|-⌫---|-|--⌫--|------|
de luiuos est anche	-|--|--|---⌫----|
etautreredira iapres	-|----|------⌫|----|
a itan t d ecestui uosles	|----⌫|-⌫|-----|--|--|
