auiures negarison	|-----|-|------|
e sortuz lespri nc esdelmunt	|--|--|--|---⌫--⌫-|--|---|
qu i oiuiuentne quioi	--⌫|-|-----|-|--|-|
u o ilmander	-⌫-⌫-|-----|
parmessageautre quepa rmei	--|------|----|--|--⌫|--|
c est e oureq uequerreuosuo il	-⌫---⌫|---|-⌫-|-----|--|--⌫-|
qu uos nel te nissiezao rguil	-|--|-||--⌫------||-⌫----|
uostreserorquimul tes tsage	-----|----|--|---⌫|--⌫|---|
demantenmariag e	-----|-|------⌫|
por aueiroduosaliance	--|----|-|--|------|
a mortenemenzefiance	-⌫--|-------||-----|
duntnosseionmais	---|--|----|---|
entre nosdeusc harneus amis	----|--|---|-⌫------|---|
n enuoil nuletantqueie sa ce	|-|---|---|---|--|-|--⌫-|
orsitantestque	-|-|---|--|--|
eu uosplace	-|--|----|
faire enpoez richecontesse	----|-|---|----|-------|
neuosen saifaireautre prames se	-|--|-|--|----|----|------⌫-|
lidu x li res p un ta dreiture	-|--⌫|-|---⌫-⌫--⌫||-------|
par gaseparen ueisur e	--|--||--|--⌫------⌫|
ueiref aitilmaispeiteuin	----|-⌫--|-|---|-------|
d epereen fil	-⌫|---|-|--|
ditlo m enfin	--|--⌫|-|--|
quil suntod armespo i	-|-|---|-|----|--⌫|
poi har die	--|---⌫-||
po ico nquerant	--⌫|--⌫-------|
auerssur autresgenz leg i ere	----|--|-----|---|---⌫-⌫--|
poiesta blepo i u erteiere	--|----⌫--|--⌫|-⌫-------|
s isere itpechi eedolor	-⌫|----⌫-|-----⌫||----|
q uepu cel e des a	-⌫-|--⌫---⌫|-|-⌫|
des a beautedesafr anchise	-|-⌫|-----|-|-|--⌫------|
fust marieeennulegu ise	---|-----|-|---|--⌫--|
si mu ltben	-|--⌫-|--|
nonehautement	--||--------|
liq uenslesparoles entent	-|-⌫---|--|------|-----|
contrairesm ultasabesoigne	---------|-⌫--||-|-------|
me r ueill esenout gran tuergoign e	--⌫-⌫-----⌫-|-|--|----⌫|--------⌫|
ni respont riennemotn	||------|---|-|--||
elidusapresl arei sone	|-|--|----||----⌫---|
orsi req uensfaitillaissiez	-|--⌫-|-⌫---|---|-|-------|
e iemenserai	|-||-|----|
conseilliez	----------|
odmesfee ilz odm esbar ons	-|--|---⌫--|-|-⌫-|---⌫--|
apresu osenferai	----|-⌫-|-|----|
d esqu ademainnetenezmie	-⌫---||-----|-|----|--|
ceq ueiedi en	-|-⌫-|-|-|-|
oduos menueis eieu en ri	-|--||-----||--|-|-|
sicum souentfuntb uenami	-|--|-----|---|-⌫--|--|
aceu squ ili fu rent feeil	|---⌫|--⌫|-|--⌫---|----|
pristlende mainl iduxconseil	----||----⌫---|-⌫|--|------|
aldu ch uun alconteh erbert	-|--⌫|-⌫--|-|----|-⌫-----|
ouretutena p ert	---|--|-|-⌫-⌫--|
trestuit liuntl oure loee	-------|-|--||---|---|
dambesdousp arz fugraantee	|--------|-⌫--|-|-------|
cine saiplu sque ie	-|-|--|---⌫|--|-|
au pe iteu ind onasa suer	-|--⌫----⌫-|-⌫--|-|---|
a snocail les out	-⌫|------⌫--|--|
gra ntleece	---⌫-|----|
edemenee grantrich ece	|------|----|----⌫--|
audepartirfuliconreiz	-|-------|-|-|------|
esigranz faiz li a pa reilz	|-|----|---|-|-⌫--⌫----|
dedras de robee	-|---|-|---||
deuaissele	-|-------|
e dedesp uille chere ebele	|-|----⌫----|----||---|
dor edargentede	|-|||-----||-|
edaueirspr ecio sechers	||-----|--⌫----⌫||----|
c unque s n	|-----⌫||
a l a dame a	-⌫-⌫|---||
plusrichement n amairehonor	---|--------|||----|----|
cheualierssagesde	---------|----|-|
gra ntt ens	---⌫-|-⌫--|
danzeaus uaslezec hamberle ns	-------|-----||-⌫--------⌫-|
da mese puc elespreis ees	--⌫--||---⌫---|-----⌫--|
gentizfemmes e	-----|-----||
enseignees	---------|
f az a utredeuise	-⌫-|-⌫---|-----|
liq uonsqui l aueitespusee	-|-⌫---|--||----|------|
enlas ale fu receue	-|-|-⌫--|-|-----|
de richespailespurtendu e	-|-----|-----|--------⌫|
odioieodfestee od honor	-|---|-|----||-|----|
maint p r esentl enfufait leior	----|-⌫-⌫----||-|-|---|-|--|
hauteda me o ut enlies ag e	----|--⌫-|-⌫-|-|-||-⌫--⌫|
multen essaucason lign ag e	---|-|------|--|----⌫--⌫|
l iquensherbe r t	-⌫|----|-----⌫-⌫|
u eitlanob lece	-⌫--|-|---⌫---|
ua lor ueit	--⌫--|---|
senotla re nomee	--|-|-|--⌫----|
delducwillaume	--|--|-------|
longeespee	----|----|
cum il e s t richesde	--|-|-⌫-⌫|-----|-|
d amisedaueir	|---|||----|
leiause uersdeentent is	-----||---|-|------⌫-|
oiez du ntertuol unteris	---|--⌫-|--|---⌫------|
f il leplusb ele	-⌫--⌫-|---|-⌫--|
q ued amenulenepucele	-⌫-|-⌫--|---|-|-----|
quel om seu sten totefr ance	--|-⌫-|---⌫-|-|---|--⌫---|
doneralducsenzdem oran ce	----|-|--|---|---⌫----⌫-|
faireenuo ut mult lasembleison	----|-|--⌫-|---||----------|
co nseilalduchuun	--⌫----|-|--|---|
doneeeottreiee	----||-------|
el ibo n sdux l	|-⌫|--⌫-⌫|--||
a no ceiee	|--⌫----|
od aueirsqui nons un tnombrez	-|-----|--|--|-⌫--⌫|------|
tropgranz e trop desmesu re z	---|----||---|-------⌫--⌫|
que teus ne	--|---|-|
fure ntmaiso iz	----⌫-|---|-⌫-|
prisn edonez ne departi z	---|-⌫|----|-|-------⌫|
senuintla dame	|-|---|-|---|
a sonsei g n or	|--|---⌫-⌫-⌫-|
grantioieodtelhonor	----|---|-|--|----|
odplusricheapareillemen t	-|---|----|------------⌫|
ne uplus eus t d ehaute gent	-||---|---⌫|-⌫|----|---|
puce le m a riee	----⌫-|-⌫-⌫---|
ne receu e	-|-----⌫|
elpalais hautor	-|-----|-----|
outgrant ioiemené	--|----|---|----|
q ueeleiuint premierement	-⌫-|--||---|-----------|
uaisseleedras	-------||---|
i outdonéuaillant	|--|----|-------|
e autremi lal	|----|--⌫|-|
p luseschars	-⌫--|------|
eissifu liduxmariez	----|-|-|--|-----|
eissi poi erentse sbontez	----|---⌫----|--⌫|-----|
d eresplendisseit	-⌫|-------------|
donorde iusticeede dre i t	|---|-|------||-|---⌫-⌫|
cr ueu sesteiteha ynos	--⌫---⌫|-----||--⌫---|
atozdesleiezo rgo il lus	|--|-------|-⌫---⌫--⌫--|
aidablesertesec oranz	-------|--||---⌫----|
ah umleseabienuoillanz	|-⌫----|||-----------|
a totesnon cre ables	|----|--|---⌫----|
ertdeb ue n s amon estemen z	--|-|-⌫--⌫-⌫|----⌫-------⌫|
edat ornerle s	||--⌫----|--⌫|
aueitsesq uo rsgra ntesioia nce	----|--|-⌫--⌫-|---⌫-|------⌫--|
maintam enamainten conquist	----|--⌫--|----|-|-------|
al loe nge de iesucrist	-|---⌫--|-|---|----|
saduche es un tenemen t	-|-----⌫|-⌫-|-------⌫|
nego uuernou tpas sole men t	-|--⌫-------⌫|--|----⌫---⌫|
qui toteslesaffin itez	--|----|--|-----⌫---|
qu i aso nregneere ntiust ez	--⌫||--⌫|----|---⌫-|----⌫-|
len eren tefeeil	|-|----⌫||----|
lihomeparsu nt haut	-|---|--|--⌫-|---|
nuspr inces ni e rta luiseg unt	--|--⌫----||-⌫-⌫-||--|---⌫--|
quelomseustentut lemunt	--|--|----|-|--|-|---|
quantalestanli noblesrei s	----|------|-|-----|---⌫|
cil quiertsiredes	--|--|--|---|--|
sout eoilarenomee	---||-|-|------|
delducguillaume l onge	--|--|--------|-⌫---|
q ueod franceis siert aliez	-⌫-|-|-------||---|----|
e que ntreuser tteus amistiez	|-|-⌫--|--|--⌫|---|-------|
aueitpris ede	----|----⌫|-|
l orregn e	-⌫-|----⌫|
lafi l lea u	-|--⌫-⌫-|-⌫|
conteherbertafem me	----|------||---⌫-|
multlesaueitasunuolei r	---|--|----||--|-----⌫|
desunneuoqui	-|--|---|--|
ert lureir	--|--|--|
loeisditlefizcharlon	----|--|-|--|------|
cilqui morutenlapriso n	--|--|----|-|-|-----⌫|
sepurp ensa del ducrequerre	-|----⌫---|--|--|-------|
e uslipo rcha cas tsa terre	-⌫-|-|--⌫----⌫---⌫|-|----|
karparluiepar	--|--|--||--|
sa preiere	-|------|
rapeaug entarr ere	-------⌫--|---⌫--|
ses messagespristenor ez	--|-------|----|----⌫-|
od riches donseod pr ese nz	-|-----|---||-|--⌫---⌫-|
granz beauseprecios eienz	----|----||------||---|
s ise nueiaalducuaillant	-⌫||-⌫----|-|--|-------|
e cil lifu rentdep reiant	|--|-|--⌫---|---⌫-----|
lurnaturel seignor	--|------|------|
q uilirequiertdegra n tducor	-⌫-|-|-------|-|---⌫-⌫|----|
quedesonneu oait	--|-|--|---⌫|--|
qui sie stde france essil lié	--|-|-⌫-|-|-----|-----⌫---|
k ar c e setbiencertai ne ment	-⌫-|-⌫|--|---|------⌫--⌫---|
que tot lere gnel i apent	--|--|-|--⌫--|-⌫|----|
pur deuepursonorliplace	--|--||--||---|-|----|
que uers franceispo r chaste face	--|---|-------|--⌫-⌫----||---|
quillap eaugenta seignor	-|-||--⌫------||------|
eq ueillirendents	|-⌫-|-|-|------||
karlordrei t e ireste	--|--|----⌫|-⌫-|--||
iceo nepotnulshomdesd ire	---|-|--|---|--|----⌫--|
setsepar luinest engignie ́	--|-|--|--||--|--------⌫|
ia parautr e nertpurcha cié	-|--|----⌫||--|------⌫---|
fac e lereiqua sonuiu ant	---⌫|-|--|-||--|---⌫--|
ilmai srede uant	-|---⌫|----⌫---|
qu ilaueiteis il li é	-|-|----|---⌫--⌫--⌫-|
debretaignefors chacié	-|--------|---|------|
repriemoltq uil l ipardont	-----|---|-⌫|-|-⌫|------|
terreliren deed unt	----|-|---⌫-||-⌫--|
itant liplaceesi l tan tuo ille	----|-|----|||-⌫|---⌫|--⌫---|
quensons er uisele	-|-|--|-⌫--⌫---|-|
aprescestgran t requerement	----|---|----⌫|----------|
cestdunecestsuple iement	---|--||---|-----⌫-----|
a prisodf rance isparlement	|---|-|-⌫-----⌫-|--------|
mult ii ostade hautegent	---||-⌫---|-|----|---|
tuit i iostere ntli euesque	---||-------⌫-|-|------|
li bar oneliarceuesque	-|---⌫-||-|---------|
auconte he r bertal duchuun	-|----|--⌫-⌫---|-|--|---|
qu ilplusaueit en	-|-|---|----|-|
parla li du xpriu eement	----|-|--⌫|----⌫-----|
sauolen tee	-|-----⌫-||
ligraant e renttotafaire	-|------⌫-⌫---|--||----|
niuoudre nt plus	||------⌫-|---|
estre contraire	----|--------|
par sonpu r chazb ienl euossai	--|--|--⌫-⌫---|-⌫--|-⌫|--|--|
eue squeearceuesquee	---⌫---||---------||
etuit li barondes franceis	|---|-|----|--|-------|
uou drentquelowi s fust reis	---⌫----|--|----⌫|---|---|
mandé lunt senzp orl oigneme nt	-----||--|---|-⌫---⌫-------⌫-|
ereceu mu l thautement	|----|--⌫-⌫|--------|
puisfuenoinz	---|-|-----|
ereissacrez	|---|-----|
e od hautesce coronez	|-|-------|------|
par deuepa rlerei	--|--||--⌫|-|--|
guillau me	-------⌫-|
laterre e le	-|----||-|
pardunrefist auconte alain	-----|-----|-|----|----|
poramordelreia lestain	--|---|--|--|-⌫------|
quilert uenuz	-|-|--|----|
li fu entiersfe usrenduz	-|-|------|--⌫-|-----|
sa terre rout tote e sonor	-|----|---|---|||---|
un quespuisqu iluesqui nul ior	--⌫---|---|-|-|-----|--|--|
nefist a l ducsiseruirnon	-|---|-⌫|--|-|-----|--|
od quorde bone	-|---|-|---|
n o ut que	|-⌫-|--|
cem estauis	-||--|---|
tenute rre reisloew is	---|--⌫--|---|----⌫-|
queu erslui furentcil de france	--|-⌫--|--|-----|--|-|-----|
enire e en grant ma uuo illan ce	-|--||-|----|--⌫---⌫-----⌫-|
multhairent estrangement	---|------|-----------|
e luie son seign oreme nt	|--||--|-----⌫-----⌫-|
m aintes laides oppressions	-⌫-----|-----|----------|
e maintesg ranzenuasions	|------|-⌫---|--------|
l i firentsoue nteme nu	-⌫|-----|----⌫-||--⌫-|
siqueatantesteit ue nu	----|----|-----|--⌫-|
queuolentiers	--|---------|
lit olissen t	-|-⌫-------⌫|
le reaume si l	-|-----||-⌫|
cil ne lp oe itplu sconsentir	--|-||-⌫--⌫-|---⌫|--------|
karniaueitmais	--|||----|---|
ede laterree nfin uoidier	|-|-|----|-⌫|--|------|
quantiltramistsonmessag ier	----|-|------|--|------⌫--|
outrele rimalreihenri	----|-|--|-|--|----|
manderprei erc rie r	-----|----⌫-|-⌫---⌫|
que illifust peree	--|-|-|---|---||
en uersses mort e us e nemis	--⌫---|--|----⌫-⌫-|-⌫----|
damorfacent aliement	|---|-----|-------|
euienge a lui a l parle ment	|-----||--|-⌫|-----⌫---|
karriensnestnulequi li	--|----||--|---|--|-|
quetuit neli ottreit	--|---|-|-|------|
de ceste nout soiglireis	-|----||--|---|-|---|
ainz dit que i a	---|--|--|-⌫|
n erentamis	|----|---|
ne parolen er t deeusios tee	-|-----||--⌫|-|--|---⌫--|
fors pargu illaumel onge	---|--|--⌫------|-⌫---|
i lse uoleit pener	-⌫|-|-----|----|
faireassembler	----|--------|
damorenterrine	|---|--------|
leia smaisetenable e f ine	----⌫|---||------||-⌫--|
p arnulautreniparle reit	-⌫-|--|----|||-----⌫---|
nip arnu l autr eni uendreit	-|-⌫-|--⌫|----⌫|||-------|
q uant ceo sou t lireislowis	-⌫---|--|---⌫|-|---|----|
gregi ezde strei z eentr ep ris	-----⌫-|--⌫-----⌫||----⌫--⌫--|
delaiduresded esestances	-|-------|-|-⌫---------|
ede greuosesm eschaa nces	|-|-------|-⌫------⌫---|
mande al ducprie	----|-|--|---|
qu encontr eluiuienge	-|-------⌫|--|-----|
l aliapreié e re quis	-⌫|-||-----||--⌫---|
multcheremen t reislowis	---|--------⌫|---|----|
aiutuer sceusde franc e	---|---⌫|---|-|-----⌫|
qui tornélunt en auilta nce	--|-----||--|-|------⌫--|
e e ndespitdeluipart i	|-⌫|-----|-|--|----⌫|
e p rieuer slereihenri	|-⌫--|---⌫|-|--|----|
lerimlefac ebie n	-|--|-|---⌫|---⌫|
ceodesir esortuter ien	--|-----⌫|--|---|-⌫--|
ditliquil lefistcorone r	--|-|-|-|-|---|------⌫|
sinel la i st	-|-||--⌫-⌫-|
pasd esheriter	--|-⌫--------|
ten dres fu liduxe	---⌫---|-|-|--||
delrei quiluit sidole ros	--|--|-|-|--|-|----⌫--|
esiap r ienzdesa	|-|--⌫-⌫---|-|-|
purceoquil	--|--|-|-|
ertuers eus en dote	--|---|--|-|---|
ro emlen mein e	--⌫-||-|----⌫|
enlasuesale demaine	-|-|--|---|------|
lefist seru i r e honore r	-|---|----⌫-⌫||------⌫|
esi hau tementc ele b rer	|-|---⌫-----|-⌫---⌫-⌫--|
luie lessoenscu n cmaisnul	--||--|----||-⌫-⌫|---|--|
f aite telehonor	-⌫---|---|----|
ioi zeisifaitere ment	---⌫|---|-------⌫---|
lifist seiorn er	||---|------⌫-|
maisli reis nes ub l io utmie	---|-|---|-||--⌫-⌫--⌫-|--|
de querre l iforcen aie	-|-----|-⌫|----||--|
t a n tqueliduxa	-⌫-⌫-⌫---|-|--||
pristigier	---|-----|
u nsuenmul t u aillant	-⌫|---|---⌫|-⌫------|
degent sembla ntedeb el	-|---|------⌫-||-|-⌫-|
sama isonemaistre	-|--⌫---||------|
dea ees teitnie rt pasm e schi n	-|-⌫|--⌫---||--⌫-|--|-⌫-⌫----⌫|
alreihenriu trelerim	-|--|----|-⌫--|-|--|
laenueie ́	||------⌫|
queceo que	--|--|--|
li reis lowis	-|---|----|
liad mandé	-|-|-----|
quece li face	--|-|-|---|
karcertement e def isa c e	--|--------||-|-⌫|--⌫-⌫|
quece prendra iltotenm ain	--|-|------|-|--|-|-⌫--|
du nechoseertl i dux	|-⌫-|----|--|-⌫|--|
d estreen amorliéuerslu i	|----|-|---|---|---|--⌫|
c aueient fai tpiecaildu i	|------|---⌫|----|-|--⌫|
defei p orter ed	-|--|-⌫----|||
par serre m enzeparf iance	--|-----⌫-⌫--||--|-⌫----|
serentpiecaentramiié	|----|----|---------|
e liunsuers	|-|--|---|
tigierqui portalemes sa ge	-----|--|----|-|---⌫--⌫-|
fr anc cheuale re proz	--⌫--|-------⌫||---|
d elreiienzr ecoilliz	-⌫-|--|---|-⌫-------|
emulthon orezecheriz	|---|---⌫---||-----|
bienfistlafaires onseignor	---|---||-----|-⌫-|------|
mais ainzq ueue nistalretor	---|-----⌫-|--⌫---|-|----|
departir nal	-------||-|
cong i ep rendr e	----⌫-⌫|-⌫-----⌫|
nefuren tsidonderienmendre	-|-----⌫|-|--|-|---|-----|
quilneuausissentc entbes anz	-|-|-|---------|-⌫--|---⌫--|
a lducs enrepairamananz	-⌫|--||-|------|-----|
c umeson priue ́ ch e ua lier	-⌫--|--|-----⌫|--⌫-⌫--⌫---|
sonmaistreconseiller	--|------|---------|
en e nueiaau duc od	-|-⌫----|-|--|-|
aroemuindren tcistam dui	|---|-------⌫|---|--⌫--|
conee bienue nuz	---||------⌫--|
eioiosement receuz	|---------|-----|
multpar liafait	---|--|-||---|
belsemblant	--|-------|
li duxgui llaumesl enormant	-|--|---⌫------|-⌫|------|
de mande eenquert lac haison	--⌫----||------||--⌫-----|
duntsihau zhomedet elnon	---|-|---⌫|--||-|-⌫-|--|
u eneita luiedesiloinz	-⌫----||--||-|-|----|
equeusenesteitlibesoinz	|----|-|-----|-|------|
e cone respuntfra nchement	|---|------|---⌫-------|
tuenueiasnouelement	-|------|---------|
siliasrequisparamor	-|-|-|-----|--|---|
quo dle r ei	-|-⌫|-|-⌫-|
de fr ance	-|--⌫---|
siqueluns en laut re se	----||--|-||---⌫-|-|
unsa lautresecure	--|||----|-----|
quantleusserae tens	----|---|---||---|
dun uoleir seientduna cort	|-|-----|-----||-|-⌫---|
si lunfaiseita nuldeus tort	-||-|------||--||--|---|
queli a utr es	--|-|-⌫---⌫-|
se nzde morance	--⌫-|--⌫------|
e nalastpre n dr e	-⌫|----|---⌫-⌫--⌫|
laueniance	-|-------|
mis sireen a	--|---|-||
puisconse il pris	---|-----⌫-|---|
s i creitequide eli est uis	-⌫|----||----||-|--|--|
quec eli seithon orse biens	--|-⌫|-|---|---⌫--||----|
desquetucestoure maintiens	-----|-|---|---|--------|
etquepartamai nserafai te	-|--|--|-|---⌫|---|---⌫-|
edite e pa rleee retr aite	|---||--⌫---||----⌫---|
sisi agr ee	-|||---⌫-|
e silot t r ei e	|-||--⌫-⌫-⌫--⌫|
epur cecaateimenue ie	|--|-|-||--||----⌫-|
quetumeingesseurem ent	--|-|------|------⌫--|
lereia lu i a	-|--||--⌫||
parlem en t	------⌫--⌫|
queuosnela	--|--|-|-|
gent queuosme rrez	---|--|--|--⌫---|
necriengiezri enn e nedoteiz	-|--------|--⌫-|-⌫|-|-----|
osn iuiengemeschaances	-|||-----|----------|
m e remai nd raic ien	-⌫|-----⌫--⌫--|-⌫|-|
tenir me faiteseg arder	----|-|-----||-⌫----|
l auuos uou drei z deuiser	-⌫||--|---⌫----⌫|------|
deciq ueuoss eez repai r iez	---|-⌫-|--|-⌫--|-----⌫-⌫--|
sainse saufsioios e liez	----||----|----||---|
siree sil com ande	---||-||---⌫---|
etresto teis ile	|------⌫|---⌫|-|
lemessagel entendeme n t	-|------||---------⌫-⌫|
e trestotl ase gurement	|------||---⌫-------|
quelireis si f aitpar conun	--|-|---|-|-⌫--|--|----|
s unr ich e duc	-⌫-|-⌫---⌫|--|
e sonbaron	|--|----|
mandeguillaumealowi s	----|--------||----⌫|
lor mue te unt em p ris	--|---⌫-|--|--⌫-⌫--|
chascun mandasa	------|----|-|
gent ase i	---||--⌫|
odgran t he r neis	-|----⌫|--⌫-⌫---|
eod conrei	|-|-----|
d eproz cheualiers	-⌫|---|---------|
oda rmesbien	-|-⌫---|---|
cinccen zeplus	---|---⌫||---|
odbonsdest re rs isnea usd ep ris	-|---|----⌫--⌫-|-----⌫-|-⌫|-⌫--|
d ermineede uai r edegris	|-----||-|---⌫||-|---|
ient co n re i zebeauu estuz	---|--⌫-⌫--⌫-⌫||---|-⌫----|
ia encelleunier entueuz	-|-|--|--||---⌫--|---|
quel e m nediecestmaisnee	--|-⌫-⌫|-|--||--|------|
so rautresgenta pareillee	--⌫|-----|---|-⌫--------|
a conealbuenduc de seisoigne	|---|-|---|--|-|--------|
qui uenuzert e n labesoigne	--|----|--|-⌫|-|-------|
parlaguillaume	----|--------|
long eespee	----⌫|----|
a mi sfa it ildesorm a gree	-⌫--⌫|--⌫-|-|--|-||-⌫---|
que abaiusu os	--||----|-⌫-|
e ntr eme ielere i	-⌫---⌫|--⌫||-|--⌫|
deuo s tre seignorrepairom	-|--⌫-⌫--|------|-------|
s enzma lsenziree	-⌫--|--⌫|---|--||
sen ztencon	---⌫|-----|
qu eisi le moffreizuo s	-|---|-||------|--⌫|
ia ne uosertire n econtraire	-|-|--|--|--|-⌫|--------|
eiss ile uo leitessaier	----⌫|-|--⌫---|------|
chose nencombri er	----||--------⌫-|
neseust siscorsnepensa st	-|----|--|---|-|-----⌫-|
qu il det enis tnequil cel as t	-|-|---⌫----⌫|-|-|-|---⌫--⌫|
ec one res pontbone men t	|-⌫--|---⌫---|----⌫---⌫|
atadanesc he	|-|------⌫-|
menueielaou teiplarra	|-----|-|-|--|-----|
sachesianeme pesera	-----|-|-|-|-----|
faitliduxami	---|-|--|--|
tantuos crei	---|--|---|
quaup la ituendre izensenbleodmei	-|-|-⌫--⌫-|------⌫-|-------|-|--|
ne me defi	-|-|---|
derien d euos	-|---|-⌫|--|
econe respontaestros	|---|------||-----|
sabaieusmeueuslaissier	||-----|-|---|-------|
i at am erai e aurai c hier	-⌫||--⌫---||----|-⌫---|
uoudrai multpener	------|---|----|
cum iete serue	--|-|-|----|
feeaumen t	--------⌫|
sitedibien certainemen t	-|-|-|---|-----------⌫|
deriennedoten et esfrei e	-|---|-|---|-⌫||------⌫|
la ouiepuisse neieseie	-|-|-|-----|-|-|---|
ga rdeserraipar totdetei	--⌫--|-----|--|--|-|--|
ceo taseurbiene	--||----|---||
cinout autre	-||--|----|
p orloignement	-⌫-----------|
sunt alparlement	---|-|--------|
cem est a uisquen	-||--|-⌫--|-|-|
ius terentliduxe li reis	---⌫-----|-|--||-|---|
la a semblalaco mpaignie	-|-⌫-----|-|--⌫-------|
delafiere cheuale rie	-|-|----|-------⌫--|
lecont e her ber t huun le maigne	-|----⌫|---⌫---⌫|---|-|-----|
neuolentquapres eusremaigne	-|-----|-|----|--|-------|
delest eientsemuns	-||---⌫----|-----|
m ultmenerent	-⌫--|-------|
cistcompa igno n s	---|-----⌫----⌫-⌫|
gentdesm esu ree	---|----⌫---⌫--|
auduc guillaume longees pee	-|--|--------|----|--⌫--|
tanta n ormanzt anta	---||-⌫-----|-⌫--||
sorfaizorgu illos e	------|----⌫----||
que cedie ntsi n	--|-|---⌫-|-||
unt cremur	--|-----|
tro psu ntpoi	---⌫|--⌫-|--|
gentauers lal or	---|----|-|-⌫-|
tencon sor temeslee	-----|---⌫||-----|
ne po rraestre choseostee	-|--⌫--|----|----|----|
ques emprestoznenos deuor en t	--|-⌫-----|--|-|--|-----⌫--⌫|
sicumelousquaigneaus	-|---|---|-|-------|
des iceliorsunt de ss euree s	--|---|--|---|--⌫--⌫-----⌫|
p uis nefurentai ostees	-⌫--|-|-----|--⌫-----|
chascun ealaparsei	-------⌫|--|--|--|
lesg enz le duce cel eaurei	--|-⌫--|-|--||---⌫|-|--|
neuolent pa squ	-|-----|--⌫|-|
il s en tr asenblent	-||--⌫--⌫--------|
quedaucone	--||-----|
ourene contendent	---|-|---------|
sor m uese estei tlireis henris	--|-⌫---|-----⌫|-|---|-----|
oddela gent	-|-|-|---|
de so n pais	-|--⌫|---|
tantdununregne	---|--|-|----|
uune t er re	|--|-⌫--⌫-|
de usttres	--⌫--|---|
bienode uscon querre	---|-|-⌫-|---⌫-----|
asemb le zsuntalparle ment	-----⌫--⌫|---|-|-----⌫---|
esisaibienc ertainement	|-|--|---|-⌫----------|
lileusou plusfurent	-|---|-|---|-----|
ou tnonueus egus en	--⌫|--|----⌫---|-|
reislowisq uel es treueie	---|----|-⌫-||--⌫--|---|
led ucgui llaumeauant	-|-⌫-|---⌫-----|----|
odt reisc enzcheualiers	-|-⌫---|-⌫--|---------|
estd reitalreihenrial e z	--|-⌫---|-|--|----|--⌫-⌫|
co n es l iduxe stguieor	--⌫-⌫-|-⌫|--|-⌫-|-----|
cil uintpremiers a son seign or	--|---|-------||--|-----⌫-|
saluzlirendea morsgranz	----|-|---||-⌫---|----|
d eparlebon	-⌫|--|-|--|
duc desnormanz	--|--|------|
edistsi reci uienta tei	|---|--⌫-|-|----||--|
nemeuoutlaissier apressei	-|-|---|-------|----|--|
tant estuaillanz e prozes age	---|--|-------||---||-⌫--|
quncnetenance	|--|-|------|
neuo utdeuos prendren	-|--⌫-|-|--|------||
nefumaisho mdesunsaueir	-|-|---|--⌫|-|--|-----|
faitsei li	---|--|-|
reishen ris	---|---⌫--|
q uels estsa terree	-⌫---|--|-|----||
sad igneteesa u alors	-|-⌫-----||-|-⌫----|
biengrandes	---|-----||
l amors el aliance	|----|||------|
dunt nusdou s su me spar	---|--|---⌫|--⌫--⌫|--|
ser eittenabledeuerslui	---⌫--|------|-----|--|
ecil respu n tsicum iequi	|--|-----⌫-⌫|-|--|-|--|
entutlemuntn acheualer	-|--|-|---|||-------|
q uiplusdelui	-⌫-|---|-|--|
faceapr eisier	---||--⌫-----|
quil est sachanze	-|-|--|------||
proze uice	---||---|
de paizten ir e	-|---|---⌫-||
leiauslargesedreituriers	-----|-----||----------|
charitabl es e almosniers	---------⌫-||---------|
for su osqueie m ettrenidei	---⌫|-⌫-|--|-|-⌫----|||--|
sihautquor n aprinc ene	-|---|---|||-----⌫|-|
dema isneesdec ompaignons	-|--⌫-----|-|-⌫---------|
su nttuzio rzpleines	--⌫-|--|--⌫-|------|
s esm aisons	-⌫-|-⌫-----|
e toz iorzfaits eru ir sa	|--|---|---|-⌫---⌫-|-|
enuaisseled	-|-------||
nulec ortne stsi	---|-⌫--||-⌫-|-|
bel s eruie	--|-⌫----|
nestsiesioie	|--|-|-----|
nul sda mer	---⌫||-⌫--|
prisplusne se paine	---|---|-|-|----|
i ors de la semaine	-⌫--|-|-|------|
qua ntbie n	---⌫-|---⌫|
uos sereientretraiz	--|-------|------|
nulsnest siiustes	---||--|-|-----|
nulsn aparoleplustenabl e	---|||-----|---|------⌫|
ne p lussaintene	-|-⌫--|-----|-|
plusestabl e	---|------⌫|
e st odarmesplu sp ui s s an z	-⌫-|-|----|---⌫|-⌫--⌫-⌫-⌫--⌫|
plus hardiz	---|-----|
neplus empernan z	-|---|--------⌫|
g aa ig neoremarcheant	-⌫--⌫--⌫---||--------|
p armi s ate rretrespass ant	-⌫---|-⌫|--⌫--|--------⌫--|
suntasseur	---|-----|
ne dotentrie n	-|-----|---⌫|
ce lesdreituresgardentbien	--⌫--|--------|------|---|
qu esis pereslia	--⌫|--|----|-||
lais siee s	----⌫----⌫|
nesuntparlui de	-|---|--|--|-|
rienbaiss ies	---|-----⌫--|
queuosdireie cestueir laflor	--|--|-----||--|---|-|---|
de tuz princesele meillor	-|--|------||-|------|
parol esuintlidux	-----⌫-|---|-|--|
od cinccenz cheualierse	-|---|---|---------||
conelrecutepri s t s espee	----|----||---⌫-⌫||----|
de luia grantioiemenee	-|--||----|---|----|
li reishenri smultl abai sié	-|---|-----⌫|---|||---⌫---|
eacoléeembracie ́	|-----||--------⌫|
